Orthogroup	Microcebus_murinus	Mesocricetus_auratus
OG0001810	XP_020140651.1, XP_012597734.1	XP_040600749.1, XP_040596788.1
OG0001811	XP_020136414.1	XP_040605616.1, XP_021086267.2, XP_040605620.1
OG0001812	XP_012607742.1	XP_005085438.1, XP_005085437.1, XP_005085441.1, XP_040587817.1, XP_012980152.3, XP_040589868.1, XP_040584888.1, XP_040584867.1, XP_040584878.1, XP_005085443.1, XP_021091777.1, XP_005085434.1
OG0001816	XP_012620961.1, XP_012620960.1	XP_005087059.1
OG0001816	XP_012641552.2	XP_005087216.2
OG0001817	XP_012634923.1	XP_012977150.1
OG0001818	XP_012642605.1	XP_005067017.1
OG0001818	XP_020137056.1	XP_021088568.1
OG0001819	XP_012626486.1	XP_005082363.1
OG0001820	XP_012610621.1, NP_001296849.1	XP_012967855.1, XP_005068717.1
OG0001821	XP_012636041.1	XP_021083643.1, XP_012970053.1, XP_012970052.1, XP_040606751.1, XP_040606750.1, XP_021083644.1, XP_012970055.1, XP_005071544.1, XP_012970054.1
OG0001822	XP_012625685.1, XP_012625686.1, XP_012625689.1, XP_020140263.1, XP_020140276.1, XP_020140190.1	XP_012977678.1, XP_021089862.1, XP_005082380.1
OG0001824	XP_012636342.2	XP_005073872.1
OG0001825	XP_020144669.1	XP_005080758.1
OG0001825	XP_012619180.1	XP_005069201.1
OG0001826	XP_012625169.1	XP_040613127.1, XP_040590253.1, XP_012979905.2, XP_040601505.1
OG0001827	XP_012625641.1	XP_005067914.2
OG0001828	XP_012637462.1	XP_040601110.1
OG0001829	XP_012617352.1	XP_005067284.1
OG0001829	XP_012617320.1	XP_005067283.1
OG0001830	XP_020142109.1	XP_005064903.1
OG0001832	XP_012607747.1, XP_012639820.1	XP_005076457.2
OG0001832	XP_012639771.1	XP_005076458.1
OG0001833	XP_012605434.1	XP_040588530.1, XP_040588521.1
OG0001834	XP_012605414.1	XP_012966132.1
OG0001834	XP_012605416.1	XP_005063844.1
OG0001835	XP_012602099.1, XP_012602113.1	XP_005064670.1, XP_012975971.2
OG0001836	XP_012641911.1, XP_012641910.1, XP_012641909.1	XP_005087521.1
OG0001837	XP_012608052.1	XP_040596861.1, XP_040596958.1
OG0001838	XP_012597480.1	XP_005086740.2
OG0001838	XP_012613562.1, XP_012618584.1	XP_005067778.1
OG0001839	XP_012607810.1	XP_005078246.1
OG0001840	XP_012636662.1	XP_005065453.1
OG0001841	XP_020142847.1, XP_012615147.1, XP_020142848.1	XP_005065932.1
OG0001842	XP_020138791.1, XP_012609792.1, XP_012640996.1	XP_005084903.1
OG0001843	XP_012609801.1, XP_012609800.1, XP_012609799.1	XP_005084743.1
OG0001844	XP_012616790.1, XP_012616791.1	XP_040590553.1
OG0001845	XP_012644520.1	XP_012979987.1, XP_005085228.1, XP_040611290.1
OG0001846	XP_012604121.1	XP_005081334.1
OG0001847	XP_012599415.1, XP_012599413.1, XP_012599414.1, XP_012599417.1	XP_005078685.1
OG0001848	XP_012619877.1	XP_012975373.1
OG0001849	XP_012606211.1, XP_012606212.1	XP_012975683.1, XP_005079615.1, XP_012975682.1, XP_021088339.1, XP_021088338.1, XP_005079614.1
OG0001850	XP_012605919.1	XP_005079645.1
OG0001851	XP_012599293.1, XP_012599295.1, XP_012599297.1, XP_012599296.1, XP_012599294.1, XP_012599292.1	XP_005081699.1, XP_040604136.1
OG0001852	XP_012622253.1, XP_012622250.1, XP_012622251.1, XP_012622252.1	XP_005065569.1
OG0001853	XP_012603912.2	XP_040612716.1, XP_040612774.1
OG0001855	XP_012593717.1	XP_021083860.1, XP_021083856.1, XP_021083858.1, XP_021083855.1, XP_040601924.1
OG0001856	XP_012618065.1	XP_012969413.1, XP_005070895.1
OG0001857	XP_012620164.1	XP_005081047.1
OG0001858	XP_012610429.1	XP_040602259.1
OG0001858	XP_012636423.1	XP_005072001.1
OG0001859	XP_012646676.1, XP_012646655.1, XP_012646666.1	XP_040597700.1
OG0001860	XP_012597014.1, XP_012597017.1, XP_012597013.1, XP_012597015.1	XP_005074739.3, XP_040596877.1
OG0001861	XP_012629031.1	XP_005069327.1
OG0001861	XP_012612311.1	XP_005087040.1
OG0001862	XP_012634905.1, XP_020136450.1	XP_005067555.1
OG0001863	XP_012603418.1	XP_005067911.2
OG0001863	XP_012603419.1	XP_021081450.1
OG0001864	XP_012631767.1	XP_012970358.1, XP_012970359.1, XP_012970356.1, XP_012970360.1, XP_012970354.1, XP_040612959.1
OG0001865	XP_012631906.1, XP_020136890.1	XP_040590968.1
OG0001866	XP_012631929.1, XP_012631932.1, XP_012631931.1	XP_012975517.2
OG0001867	XP_020138427.1	XP_005078703.1
OG0001868	XP_012614519.1	XP_005080425.1
OG0001868	XP_012637726.1	XP_021089001.1
OG0001869	XP_012614521.1, XP_012614522.1	XP_040587620.1
OG0001870	XP_012644913.1	XP_005069876.1
OG0001870	XP_012614504.1	XP_005080015.1
OG0001871	XP_012619814.1	XP_005064431.2, XP_040610022.1
OG0001872	XP_012635567.1	XP_040610729.1
OG0001873	XP_012591519.1	XP_012972932.1
OG0001874	XP_012642737.1	XP_012978651.1
OG0001874	XP_012642746.1	XP_040607537.1
OG0001875	XP_012642882.1, XP_012642891.1	XP_040607534.1, XP_040607533.1
OG0001876	XP_012602971.1, XP_012613427.1	XP_040607238.1
OG0001877	XP_012591645.2, XP_012591644.2, XP_012591646.2	XP_005081261.1
OG0001878	XP_020142422.1	XP_040589298.1
OG0001878	XP_012599768.2	XP_040593201.1
OG0001879	XP_012601850.1	XP_005068365.1
OG0001879	XP_012606754.1	XP_040593531.1
OG0001880	XP_012646649.1	XP_040608287.1
OG0001881	XP_012601625.1, XP_012601628.1, XP_012601626.1	XP_040613759.1
OG0001883	XP_020141725.1	XP_021091917.2, XP_040596667.1
OG0001884	XP_012608068.1, XP_012608069.1	XP_040596604.1, XP_040596605.1, XP_040596602.1, XP_040596603.1, XP_040599651.1
OG0001885	XP_012613354.1, XP_012613355.1	XP_012970862.1
OG0001886	XP_012597745.1, XP_012597756.1, XP_012597758.1, XP_012597750.1	XP_040598670.1
OG0001887	XP_012598582.1	XP_005084050.1
OG0001888	XP_012632726.1	XP_012968745.1, XP_012968750.1, XP_040606154.1, XP_012968749.1, XP_012968748.1, XP_005069835.2
OG0001889	XP_012621455.1, XP_012621451.1, XP_012621454.1, XP_012621452.1, XP_012621446.1, XP_012621450.1, XP_012621453.1, XP_012621448.1, XP_012621447.1	XP_021086197.1, XP_040605515.1
OG0001890	XP_012639906.1	XP_005083778.1
OG0001891	XP_012627210.1	XP_040591626.1
OG0001891	XP_020145147.1, XP_012637544.1, XP_012637543.1	XP_012978713.2
OG0001892	XP_012627652.1, XP_012627654.1, XP_012627656.1, XP_012627659.1, XP_012627658.1, XP_012627657.1	XP_005085553.1
OG0001893	XP_012627481.1	XP_040591568.1
OG0001894	XP_012608817.1, XP_012608820.1, XP_012608802.1, XP_012608811.1	XP_021088491.1, XP_012975728.1, XP_005079768.1
OG0001895	XP_012644170.1	XP_021089401.1, XP_012977019.1, XP_005081547.1
OG0001896	XP_012597156.1	XP_005067079.1, XP_012966789.1, XP_040608674.1
OG0001897	XP_012597214.1, XP_012597212.1, XP_012597213.1, XP_012597215.1	XP_040610069.1, XP_005067043.1
OG0001898	XP_020143452.1	XP_005083862.1
OG0001899	XP_020143308.1	XP_040611119.1, XP_021090768.1, XP_005083852.1
OG0001900	XP_012593076.1	XP_012969271.1
OG0001901	XP_012642474.1	XP_012972832.2, XP_040607327.1
OG0001902	XP_012642826.1, XP_012642825.1	XP_012970168.1
OG0001903	XP_012617640.1, XP_012617633.1, XP_012617639.1, XP_012617642.1, XP_012617638.1, XP_012617636.1, XP_012617635.1, XP_012617641.1, XP_012617637.1	XP_040604515.1
OG0001904	XP_020144944.1, XP_020144945.1, XP_020144946.1	XP_005080879.1, XP_040596240.1
OG0001905	XP_012624536.1	XP_005078944.1
OG0001906	XP_012624334.1, XP_012624332.1, XP_012624335.1	XP_012972566.1
OG0001907	XP_012624614.1	XP_040595983.1, XP_040595982.1, XP_040595979.1, XP_012971505.1, XP_040595985.1, XP_040595980.1, XP_040595984.1, XP_040595981.1, XP_012971506.1
OG0001908	XP_012628711.1, XP_012628708.1	XP_005072445.1
OG0001909	XP_012624894.1, XP_012624895.1	XP_040596579.1
OG0001910	XP_012624886.1	XP_040596616.1
OG0001911	XP_012617483.1	XP_005072702.1
OG0001912	XP_012638066.1, XP_020144634.1	XP_012980209.1
OG0001913	XP_012608388.1, XP_012608387.1	XP_040594330.1, XP_012980592.2, XP_005086017.3
OG0001914	XP_020139826.1	XP_040603091.1
OG0001916	XP_012601006.1	XP_040610911.1
OG0001917	XP_012631186.1	XP_012974462.1
OG0001917	XP_012639191.1	XP_005080151.1
OG0001918	XP_012641691.1	XP_005084265.1
OG0001918	XP_012594940.1	XP_040595348.1
OG0001919	XP_012633457.1	XP_005064005.1, XP_040604868.1
OG0001919	XP_012643821.1	XP_005073635.1
OG0001920	XP_012643828.1, XP_012643829.1, XP_012643830.1	XP_005073639.1, XP_040586798.1
OG0001921	XP_020141927.1	XP_012974698.1
OG0001922	XP_012623025.1, XP_012623027.1, XP_012623028.1, XP_012623034.1, XP_012623029.1, XP_012623036.1, XP_012623038.1, XP_012623031.1, XP_012623026.1, XP_012623030.1, XP_012623037.1, XP_012623032.1, XP_012623035.1	XP_040608199.1, XP_005084355.1
OG0001923	XP_012605442.1	XP_005065142.1
OG0001924	XP_012591463.1	XP_040602584.1
OG0001925	XP_012602429.1	XP_005080916.1
OG0001925	XP_012616150.1	XP_040594251.1, XP_012965947.1, XP_005066212.1
OG0001926	XP_012613611.1	XP_040601918.1
OG0001927	XP_012633652.1	XP_005063928.1
OG0001928	XP_012633775.1, XP_012633776.1, XP_012633777.1	XP_040603587.1
OG0001929	XP_012639636.1	XP_012968557.1, XP_005069753.1, XP_040610407.1, XP_040610406.1
OG0001930	XP_012631224.1, XP_012604683.1	XP_040594447.1
OG0001933	XP_012627031.1	XP_040603730.1
OG0001934	XP_012626900.1	XP_040596136.1
OG0001936	XP_012613777.1	XP_005087609.1, XP_040610865.1
OG0001937	XP_012646216.1	XP_005085327.1
OG0001939	XP_020139497.1, XP_012601264.1, XP_020139499.1, XP_020139498.1	XP_021090534.1
OG0001940	XP_012641876.1	XP_005074205.1, XP_040587601.1
OG0001941	XP_012600620.1	XP_012971701.1
OG0001942	XP_012600392.1	XP_005074102.1
OG0001943	XP_012612178.1	XP_005083269.1, XP_021090413.1, XP_021090412.1
OG0001944	XP_012623974.1	XP_005077962.1
OG0001944	XP_020145952.1	XP_040584417.1
OG0001945	XP_012594652.1	XP_040602392.1, XP_040602391.1, XP_040602390.1
OG0001946	XP_012636289.1, XP_012636290.1	XP_005068757.1, XP_012967856.1
OG0001948	XP_012641245.1	XP_040602272.1, XP_040594530.1
OG0001949	XP_012610582.1, XP_012610583.1, XP_012610579.1, XP_012610580.1, XP_012610581.1	XP_005068706.1
OG0001950	XP_012598359.1, XP_012598360.1, XP_012598357.1	XP_005085047.1
OG0001951	XP_012628396.1	XP_040588588.1
OG0001952	XP_012628458.1, XP_012628457.1, XP_012628459.1	XP_040588627.1, XP_040600935.1
OG0001953	XP_020145870.1	XP_040596514.1, XP_040596513.1, XP_040596512.1, XP_040596515.1, XP_040596516.1
OG0001954	XP_012636884.1	XP_005064320.1
OG0001954	XP_012630796.2	XP_005075281.1
OG0001955	XP_012594773.1, XP_020138315.1, XP_012594774.1, XP_012594775.1	XP_040591801.1
OG0001956	XP_012640548.1, XP_012640547.1, XP_012640546.1	XP_040598137.1, XP_005075260.1
OG0001957	XP_012637634.1, XP_012637635.1	XP_040587383.1, XP_040587385.1, XP_040587384.1, XP_040587388.1, XP_040587387.1, XP_040587386.1
OG0001958	XP_012618349.2	XP_005063746.1, XP_040601397.1, XP_040601405.1, XP_040601412.1
OG0001959	XP_012638646.1	XP_040593196.1, XP_040593195.1, XP_040593194.1, XP_040593192.1, XP_040593193.1
OG0001960	XP_012629880.1	XP_040599356.1, XP_040599354.1
OG0001961	XP_012640927.1	XP_040599479.1
OG0001962	XP_020143165.1	XP_021084547.1
OG0001963	XP_012644719.1	XP_012970982.1, XP_021084568.1, XP_005073010.1, XP_021084570.1, XP_021084571.1, XP_021084569.1
OG0001964	XP_012603574.1, XP_012603632.1, XP_012603497.1, XP_012603434.1	XP_040609850.1, XP_040609849.1
OG0001965	XP_020143059.1, XP_020143060.1, XP_020143055.1, XP_020143058.1, XP_012615510.1, XP_012615294.1, XP_020143057.1, XP_020143062.1, XP_012615420.1, XP_012616028.1, XP_020143061.1, XP_012616269.1, XP_020143056.1	XP_005067253.1
OG0001966	XP_012619796.1	XP_012966716.1
OG0001967	XP_012622978.2	XP_012965671.2
OG0001967	XP_012622971.1	XP_005063242.2
OG0001969	XP_020136291.1	XP_040598141.1
OG0001971	XP_012610912.1	XP_040608103.1
OG0001971	XP_012626385.2	NP_001268625.1
OG0001972	XP_012618979.1, XP_012618978.1	XP_040602152.1, XP_012967863.1, XP_021081963.1, XP_005068518.1, XP_012967862.1
OG0001973	XP_012590930.1, XP_012590931.1	XP_005069649.1
OG0001975	XP_012619922.1	XP_005073911.1
OG0001976	XP_012621642.1, XP_012621640.1, XP_012621639.1	XP_040607745.1, XP_040607749.1, XP_040607746.1, XP_040607744.1, XP_040607747.1, XP_040607748.1
OG0001977	XP_012626426.1	XP_021089633.1
OG0001978	XP_012632626.1	XP_040606640.1
OG0001979	XP_012634675.2	XP_040610481.1
OG0001980	XP_020141915.1	XP_005069816.1
OG0001981	XP_012623870.1, XP_012623874.1, XP_012623872.1, XP_012623873.1, XP_012623877.1, XP_012623875.1, XP_012623878.1	XP_012966037.1
OG0001982	XP_012591741.2	XP_005087255.2
OG0001983	XP_012641338.1, XP_012641340.2, XP_012641339.2	XP_040601559.1, XP_040601560.1, XP_040601562.1
OG0001984	XP_012595622.1	XP_005070528.1
OG0001985	XP_012615603.1, XP_012615563.1, XP_012615573.1, XP_012615583.1, XP_012615594.1, XP_012615609.1	XP_021079397.1, XP_012981632.1, XP_021079396.1, XP_021079394.1, XP_005087399.1
OG0001986	XP_012624057.1, XP_012624059.1	NP_001268264.1
OG0001987	XP_012640275.1	XP_040599969.1
OG0001988	XP_020140611.1, XP_020140610.1	XP_040599993.1
OG0001990	XP_012591694.1, XP_012591693.1	XP_040600174.1
OG0001991	XP_020140588.1	XP_040600320.1, XP_040600321.1
OG0001992	XP_012594547.1, XP_012594529.1, XP_012594539.1, XP_012594524.1, XP_012601741.1	XP_012978263.1, XP_005083170.1
OG0001993	XP_012601097.1	XP_021086695.1, NP_001366030.1, XP_040602499.1
OG0001994	XP_012611537.1, XP_012611538.1	XP_040600756.1, XP_040600754.1
OG0001996	XP_012604981.1	XP_040590063.1, XP_040590064.1, XP_040590062.1, XP_021091954.2
OG0001997	XP_012594493.1	XP_005070665.1
OG0001998	XP_012602515.1, XP_012602514.1	XP_012971589.1
OG0002001	XP_020143577.1	XP_040587667.1, XP_040610761.1
OG0002002	XP_012638643.2	XP_005065665.1
OG0002003	XP_012625887.1	NP_001268870.1
OG0002004	XP_020136043.1	XP_040591846.1
OG0002005	XP_012618712.1	XP_012974422.1
OG0002005	XP_020137710.1	XP_005074710.1
OG0002006	XP_020140052.1	XP_040593898.1
OG0002007	XP_012641134.1	XP_005072832.1
OG0002008	XP_012609584.2	XP_040603877.1, XP_005084771.1
OG0002009	XP_012630631.1	XP_021089574.1, XP_012977203.1, XP_005081825.1
OG0002011	XP_012616252.1, XP_012616251.1	XP_040585477.1
OG0002012	XP_012598092.1, XP_012598093.1	XP_021084595.1, XP_021084596.1, XP_005139405.2
OG0002013	XP_012639288.1	XP_012974313.1, XP_012974314.1, XP_040590777.1
OG0002015	XP_012618641.1	XP_005076537.1, XP_005076563.1
OG0002016	XP_012605413.1	XP_005063845.2, XP_005063298.1, XP_005063842.1
OG0002017	XP_012643296.1	XP_040601663.1
OG0002018	XP_012610465.2, XP_012610114.1	XP_040610207.1
OG0002019	XP_020142429.1	XP_005074160.1, XP_005074149.1
OG0002020	XP_012630157.1, XP_020139048.1	XP_040590542.1
OG0002021	XP_012593197.1	XP_005065459.1
OG0002022	XP_012612257.1	XP_005065925.1
OG0002023	XP_012615103.2, XP_012619234.1	XP_040614115.1, XP_040614116.1, XP_040599864.1
OG0002024	XP_012602579.1	XP_012966133.1, XP_012966134.1, XP_012966136.1, XP_012966135.1, XP_012966137.1, XP_040611891.1, XP_021080582.1, XP_021080583.1
OG0002025	XP_012609610.1, XP_012609609.1	XP_005084840.1
OG0002026	XP_012609783.1	XP_012979644.1
OG0002027	XP_012609860.1	XP_040591949.1, XP_040591948.1, XP_005084758.1, XP_040591950.1, XP_040591951.1, XP_040591947.1
OG0002029	XP_012630073.1	XP_005086286.1
OG0002029	XP_012636408.2	XP_005072000.1
OG0002030	XP_020140268.1	XP_005081863.1
OG0002030	XP_012629014.1	XP_005070739.1
OG0002031	XP_012630497.1	XP_040591456.1, XP_021089578.1
OG0002032	XP_012593453.1, XP_012593452.1	XP_040611421.1, XP_040611422.1
OG0002033	XP_012604460.1, XP_012604458.1	XP_012968212.1, XP_005069266.1
OG0002034	XP_020145673.1	XP_021079831.1
OG0002035	XP_012644439.1, XP_012644438.1	XP_040600235.1
OG0002037	XP_012605957.1, XP_012605958.1, XP_012605960.1, XP_012605959.1, XP_012605961.1	XP_021088369.1, XP_005079674.1
OG0002038	XP_012624142.1, XP_012624140.1, XP_012624141.1	XP_040613364.1, XP_005081081.1
OG0002039	XP_012643152.1	XP_005081116.1
OG0002039	XP_012643151.1	XP_005081115.1
OG0002040	XP_012629235.1	XP_040584861.1
OG0002041	XP_020143338.1, XP_012609189.2, XP_012609190.2	XP_012970984.1
OG0002042	XP_012618709.1, XP_012618710.1	XP_040585472.1, XP_040585466.1
OG0002043	XP_012618679.1	XP_040585299.1
OG0002044	XP_012592818.1	XP_040602859.1
OG0002045	XP_012593130.1	XP_005068845.2
OG0002046	XP_012618053.1, XP_012618051.1, XP_012618050.1, XP_012618052.1	XP_012969393.1, XP_005070898.1
OG0002047	XP_012641797.1	XP_005071984.1, XP_021083957.1
OG0002048	XP_012626134.1	XP_005075210.1
OG0002048	XP_012610947.1	XP_005067791.1
OG0002050	XP_012613586.1, XP_020145650.1, XP_020145649.1	XP_005078057.1
OG0002051	XP_012631234.1, XP_012631235.1, XP_012631233.1, XP_020136827.1	XP_012975400.1
OG0002053	XP_012629030.1	XP_005069489.2
OG0002054	XP_012603417.1, XP_012603416.1	XP_040604793.1, XP_040604792.1
OG0002055	XP_012603423.1, XP_012603421.1, XP_012603422.1, XP_012603424.1, XP_012603425.1	XP_012967258.1
OG0002056	XP_012622539.1	XP_040613062.1
OG0002057	XP_012631840.1	XP_005079280.1, XP_040590902.1, XP_021088174.1, XP_040590903.1
OG0002058	XP_012604135.1, XP_012602021.1	XP_005073125.1
OG0002059	XP_012627917.1, XP_012627918.1	NP_001268606.1, XP_012971020.1
OG0002060	XP_012627914.1	XP_040592802.1
OG0002061	XP_012597858.1	XP_021086451.1
OG0002062	XP_012597814.1, XP_012597812.1, XP_012597811.1, XP_012597813.1	XP_005076378.1, XP_040592554.1
OG0002063	XP_012619573.1	XP_040609382.1, XP_040609360.1, XP_005064372.3, XP_040609371.1, XP_012967883.1
OG0002064	XP_012619538.1	XP_040587240.1
OG0002065	XP_012591779.1	XP_005063259.1, XP_005087648.1
OG0002066	XP_012619762.1	XP_021084593.1
OG0002067	XP_012598962.1	XP_005081647.1
OG0002068	XP_012603872.1	XP_040607931.1, XP_040607929.1, XP_040607927.1, XP_040607930.1, XP_040607928.1
OG0002069	XP_012646421.1	XP_040607872.1
OG0002070	XP_012599834.1, XP_012599833.1	XP_005073505.1, XP_012971358.1, XP_012971359.1
OG0002071	XP_012623133.1	XP_012976154.1
OG0002072	XP_020141266.1	XP_040598233.1, NP_001268880.1
OG0002073	XP_012597630.1	XP_040598680.1, XP_040598679.1, XP_005086457.2, XP_040598678.1
OG0002074	XP_012602789.1, XP_012602787.1, XP_012602783.1, XP_012602788.1, XP_012602784.1, XP_012602786.1	XP_005070090.1
OG0002075	XP_012606542.1	XP_012968713.3, XP_040604667.1, XP_005067756.1
OG0002076	XP_012621346.1	XP_040608078.1, XP_040605577.1
OG0002077	XP_012621471.1	XP_012973160.1, XP_005075945.1, XP_021086191.1
OG0002078	XP_012627297.1	XP_012977469.1
OG0002079	XP_012608593.1, XP_012608601.1	XP_005079763.1, XP_012975722.1, XP_012975723.1
OG0002080	XP_012609126.1	XP_012975725.1, XP_005079775.1, XP_012975726.1, XP_012975724.1
OG0002081	XP_012597204.1, XP_012597203.1, XP_012597202.1	XP_005067045.1
OG0002082	XP_012642483.1, XP_012642484.1, XP_012642485.1, XP_012642482.1	XP_040585209.1
OG0002083	XP_012633276.1	XP_040589078.1
OG0002084	XP_012605616.1, XP_012605614.1, XP_012605613.1, XP_012605615.1, XP_012605617.1	XP_021082978.1
OG0002085	XP_012625460.1, XP_012625459.1	XP_040595316.1
OG0002086	XP_012625413.1	XP_005078823.1
OG0002087	XP_012624454.1, XP_012624453.1, XP_012624451.1, XP_012624452.1	XP_040594498.1
OG0002088	XP_012624331.1, XP_012624330.1, XP_012624329.1	XP_040613319.1, XP_040613317.1, XP_040613318.1
OG0002089	XP_012596449.1	XP_005086882.1
OG0002090	XP_012602384.1, XP_012602380.1, XP_012602382.1, XP_012602383.1, XP_012602381.1	XP_040588128.1, XP_005084967.1, XP_012979757.1
OG0002091	XP_012616236.1	XP_040585073.1
OG0002092	XP_012607201.1, XP_012607202.1	XP_012980224.1
OG0002093	XP_012615597.1	XP_040592225.1
OG0002094	XP_012607741.1	XP_005085444.1
OG0002095	XP_012637900.1	XP_040584543.1
OG0002096	XP_012644565.1	XP_005078124.1
OG0002096	XP_012644745.1, XP_012599811.1	XP_005077731.1
OG0002097	XP_020145394.1	XP_040584714.1
OG0002098	XP_012628781.1	XP_040593380.1
OG0002099	XP_012635359.1	XP_040612613.1
OG0002100	XP_012631392.1	XP_005083969.1
OG0002101	XP_020135759.1, XP_012612560.1, XP_012633752.2	XP_021078415.2
OG0002102	XP_012640323.1	XP_040587886.1
OG0002102	XP_012595090.1	XP_040591172.1
OG0002103	XP_012598162.1	XP_012977719.1
OG0002105	XP_012637253.1, XP_012640412.1	XP_040587635.1, NP_001268511.1
OG0002106	XP_012640446.1, XP_012640447.1	XP_040587673.1, XP_005066580.1
OG0002107	XP_012614020.1, XP_012614021.1	XP_005079120.1
OG0002108	XP_012643518.1	XP_012975288.1, XP_005079163.1
OG0002109	XP_012617293.1	XP_040608082.1, XP_040608083.1, XP_005076570.1, XP_021086584.1
OG0002110	XP_020140979.1, XP_012619298.1, XP_020139444.1	XP_005080322.1
OG0002111	XP_012601899.1	XP_005076299.1
OG0002112	XP_012634973.1, XP_012634975.1, XP_012634974.1	XP_040584439.1, XP_040584435.1, XP_040584440.1, XP_040584438.1, XP_012978649.1, XP_040584436.1, XP_040584437.1
OG0002113	XP_012624922.1, XP_012624928.1, XP_012624925.1, XP_012624920.1, XP_012624923.1, XP_012624927.1, XP_012624921.1, XP_020142028.1, XP_012624926.1	XP_012979151.1
OG0002114	XP_012633549.1, XP_012633551.1, XP_012633550.1	XP_005064047.1, XP_005064046.1, XP_005064045.1
OG0002115	XP_012633338.1, XP_012633332.1, XP_012633334.1, XP_012633337.1, XP_012633336.1, XP_012633335.1	XP_005063954.1
OG0002116	XP_012633661.1	XP_012969027.1
OG0002117	XP_012605318.1, XP_012605329.2	XP_040591888.1, XP_040586924.1, XP_040588423.1
OG0002118	XP_020144110.1	XP_005079941.1
OG0002119	XP_020139128.1, XP_020138877.1, XP_020139129.1	XP_040594513.1
OG0002120	XP_020139879.1	XP_040592985.1
OG0002121	XP_012595935.1	XP_040594180.1
OG0002122	XP_012644787.1	XP_021087039.1
OG0002123	XP_020135987.1	XP_012974263.1
OG0002124	XP_020139520.1	XP_005087158.2
OG0002125	XP_012624775.2	XP_012978370.1, XP_021090476.1
OG0002126	XP_012641139.1	XP_040612191.1
OG0002127	XP_012638165.1	XP_040586234.1, XP_040586197.1, XP_040586263.1
OG0002128	XP_012638183.1	XP_040587894.1, XP_005071011.1
OG0002129	XP_012617832.1, XP_012617834.1, XP_012617833.1	XP_040595744.1, XP_040595743.1, XP_040595745.1
OG0002130	XP_012636281.2	XP_005068747.1
OG0002131	XP_012636270.1	XP_005068743.1
OG0002132	XP_012636390.1	XP_040588695.1
OG0002133	XP_012615793.1	XP_012972130.1
OG0002134	XP_012621619.1, XP_012621618.1	XP_012972147.1, XP_005074483.1
OG0002135	XP_020138592.1	XP_040587000.1
OG0002136	XP_012623657.1	XP_040609653.1
OG0002137	XP_020138505.1, XP_012622474.1	XP_040587516.1, XP_040587513.1, XP_040587514.1, XP_021089003.1, XP_021089005.1, XP_040587515.1, XP_021089006.1
OG0002138	XP_012616071.1	XP_040593517.1
OG0002139	XP_020143218.1	XP_040599352.1
OG0002140	XP_012603593.1	XP_021084565.1, XP_005073007.1
OG0002141	XP_012627746.1	NP_001268771.1
OG0002142	XP_020136315.1	XP_005064309.1, XP_012971817.1
OG0002143	XP_012629690.1, XP_020144496.1, XP_012599997.1	XP_021080939.1, XP_012966438.1, XP_005066861.1, XP_021080940.1
OG0002144	XP_012621818.1	XP_012975511.2
OG0002144	XP_012621775.1	XP_005064829.1
OG0002145	XP_012590845.1	XP_012968415.1
OG0002146	XP_012608045.1	XP_040596860.1
OG0002147	XP_012593872.1	XP_040607660.1, XP_040607662.1, XP_040607663.1, XP_040607661.1
OG0002148	XP_012622194.2	XP_012981450.1, XP_040603443.1
OG0002149	XP_020143030.1, XP_020143032.1, XP_020143035.1, XP_020143038.1, XP_020143036.1	XP_040606726.1, XP_040606727.1
OG0002150	XP_012643380.1	XP_005076783.1
OG0002151	XP_012634665.1, XP_012634664.1, XP_012634663.1, XP_012634666.1	XP_005076191.1, XP_040608571.1
OG0002152	XP_012608954.1	XP_012966113.1
OG0002153	XP_012609121.1	XP_040611666.1
OG0002154	XP_012632315.1	XP_005084544.1
OG0002155	XP_012606935.1	XP_005070599.1, XP_040609328.1
OG0002156	XP_012591000.1, XP_012591002.1, XP_012591001.1	XP_005078171.1
OG0002157	XP_012604679.1	XP_021087570.1
OG0002158	XP_012620255.1	XP_040600564.1
OG0002159	XP_020140533.1, XP_020140535.1, XP_020140532.1, XP_020140536.1, XP_020140534.1	XP_021079592.2, XP_040600221.1
OG0002160	XP_012636992.1	XP_040611927.1
OG0002162	NP_001296882.1, XP_012613553.1	XP_040590163.1, XP_040590164.1, XP_040597119.1, XP_040597118.1, XP_040597287.1, XP_040590190.1
OG0002164	XP_012632172.1, XP_012632176.1	XP_040599798.1, XP_005072536.1
OG0002165	XP_012625969.1	XP_040590704.1
OG0002165	XP_012625968.1	XP_040590708.1
OG0002166	XP_012591532.1	XP_005063475.1
OG0002167	XP_012598643.1	XP_040605671.1
OG0002167	XP_012598650.1	XP_040605664.1
OG0002168	XP_012614122.1	XP_040595577.1
OG0002168	XP_012613861.1	XP_005087136.1
OG0002169	XP_012620395.1	XP_005070452.2
OG0002169	XP_012612932.1	XP_040605758.1
OG0002170	XP_012629454.1	XP_005068487.1
OG0002171	XP_012606323.1, XP_020136561.1, XP_012606320.1, XP_012606325.1, XP_020136564.1, XP_020136560.1	XP_012976656.1
OG0002172	XP_012609958.1	XP_005082275.1, XP_040608985.1, XP_021089823.1
OG0002173	XP_020140181.1	XP_005071245.1
OG0002174	XP_012646365.1, XP_012646366.1	XP_040589488.1
OG0002175	XP_012600415.1, XP_012600414.1	XP_040613536.1, XP_005074189.1
