Orthogroup	Microcebus_murinus	Ictidomys_tridecemlineatus
OG0000905	XP_012598028.1	XP_040135277.1
OG0000905	XP_012598030.1	XP_040135278.1, XP_040135280.1
OG0000906	XP_012609809.1	XP_005341753.1
OG0000907	XP_012630560.1	XP_040135792.1
OG0000908	XP_012646012.1, XP_012646013.1, XP_020139529.1	XP_013218775.1, XP_021589564.1, XP_040146355.1, XP_021589563.1, XP_005336241.1, XP_040146354.1
OG0000909	XP_012601999.1, XP_012602000.1, XP_012602001.1, XP_020146043.1, XP_012602002.1, XP_012602004.1	XP_040137568.1, XP_040137565.1, XP_040137566.1, XP_005317123.1, XP_040137569.1, XP_040137567.1
OG0000910	XP_012636343.1	XP_021581003.1
OG0000911	XP_020140639.1, XP_012622877.2, XP_020140640.1	XP_013220840.1, XP_021576165.1
OG0000913	XP_012602103.1	XP_005331753.1
OG0000913	XP_012602168.1, XP_020142266.1	XP_005331670.1
OG0000914	XP_012630989.1	XP_040125348.1
OG0000915	XP_012633163.1, XP_020136258.1	XP_005333661.1
OG0000916	XP_012615065.1	XP_040139424.1
OG0000917	XP_012632256.1	XP_005321493.1
OG0000917	XP_012637274.1	XP_005324107.1
OG0000919	XP_012630135.1, XP_012630133.1, XP_012630134.1	XP_005336459.1
OG0000920	XP_012604557.1	XP_005324314.3
OG0000920	XP_012613998.1	XP_005330282.1
OG0000921	XP_012606885.1	XP_005318276.1
OG0000922	XP_012640176.1	XP_040147719.1
OG0000923	XP_012636508.1	XP_005327188.1
OG0000923	XP_012606052.1	XP_005317764.1
OG0000924	XP_012625962.2	XP_005329143.1
OG0000924	XP_020137185.1	XP_021589343.1
OG0000926	XP_012615734.1, XP_012615736.1, XP_012615735.1, XP_012615732.1, XP_012615733.1	XP_040130401.1, XP_021584649.1, XP_040130402.1, XP_040130404.1, XP_040130399.1, XP_040130403.1, XP_040130400.1
OG0000927	XP_020144661.1, XP_020144662.1, XP_020144660.1, XP_020144663.1	XP_040131212.1, XP_005320167.1
OG0000928	XP_012638301.1	XP_005339078.1
OG0000928	XP_012634879.1	XP_005337412.1
OG0000929	XP_012597918.1, XP_012597921.1	XP_005318390.1, XP_021577347.1
OG0000930	XP_012614779.1	XP_013220387.1, XP_040133666.1
OG0000931	XP_012599210.1, XP_012599209.1, XP_012599211.1	XP_040134108.1
OG0000932	XP_012593233.1, XP_012593239.1, XP_012593237.1, XP_012593234.1, XP_012593241.1, XP_012593238.1, XP_012593235.1, XP_012593236.1	XP_005323725.1
OG0000933	XP_012623350.1	XP_005331374.1
OG0000934	XP_012596934.1, XP_012596905.2	XP_005321264.1
OG0000935	XP_012601794.1	XP_005334721.1, XP_021588441.1, XP_040129986.1
OG0000936	XP_012642163.1	XP_005328163.1
OG0000937	XP_012621490.1, XP_012621491.1	XP_040126447.1
OG0000938	XP_012636300.1, XP_012636299.1, XP_012636298.1, XP_012636297.1	XP_005320519.1, XP_005320518.1, XP_021578930.1
OG0000939	XP_012627394.1	XP_040142270.1, XP_005321033.1, XP_005321032.1
OG0000940	XP_012597387.1, XP_012597386.1	XP_005322312.1, XP_040133952.1, XP_040133951.1
OG0000941	XP_012605594.1, XP_012605595.1, XP_012605593.1, XP_012605592.1	XP_005322174.1
OG0000943	XP_012602215.1, XP_012602216.1	XP_021577685.1, XP_005318848.1
OG0000944	XP_012617495.1	XP_005316351.1
OG0000944	XP_012617499.1	XP_021580688.1
OG0000945	XP_012598759.1, XP_012598757.1, XP_012598756.1, XP_012598761.1, XP_012598763.1, XP_012598758.1, XP_020144596.1, XP_020144597.1	XP_005316251.1
OG0000946	XP_012640833.1	XP_040149603.1, XP_040149604.1, XP_013212611.1, XP_040149602.1
OG0000947	XP_012631485.1, XP_012631486.1	XP_040144525.1, XP_013220329.1, XP_005318034.1
OG0000948	XP_012623596.1, XP_012623597.1, XP_012623595.1	XP_040147247.1
OG0000949	XP_012643801.1	XP_040131810.1
OG0000949	XP_012643799.1	XP_005322542.1, XP_040127468.1
OG0000950	XP_012600747.1	XP_005319909.2
OG0000950	XP_012617351.1	XP_021577057.1, XP_021576959.1, XP_005342123.1
OG0000951	XP_012639625.1, XP_012639626.1, XP_012639624.1	XP_005336576.1, XP_040149256.1
OG0000952	XP_020138787.1, XP_020139132.1	XP_021575976.2
OG0000953	XP_012626492.1	XP_013217232.1, XP_005332974.1
OG0000953	XP_012645079.1	XP_005331044.1
OG0000954	XP_012646047.1	XP_040146370.1, XP_005336217.1, XP_005336219.1, XP_005336218.1
OG0000955	XP_020142249.1	XP_021590141.1, XP_005337242.1
OG0000956	XP_012600573.1, XP_012600572.1	XP_040140909.1, XP_005323282.1
OG0000957	XP_012600105.1, XP_012600107.1	XP_040140521.1, XP_013215314.1, XP_013215313.1, XP_040140522.1, XP_040140520.1
OG0000958	XP_012603966.1	XP_005341441.1
OG0000959	XP_012604949.1, XP_012604946.1	XP_040123892.1
OG0000960	XP_012602700.1, XP_012602699.1, XP_012602707.1, XP_020143589.1, XP_012602708.1, XP_012602698.1, XP_020143592.1, XP_012602706.1, XP_012602703.1, XP_020143590.1, XP_012602705.1, XP_020143594.1, XP_012602701.1, XP_020143591.1, XP_012602704.1	XP_040137092.1
OG0000961	XP_012596931.1, XP_012596932.1, XP_012596935.1, XP_012596930.1, XP_012596936.1, XP_012596933.1	XP_005342647.1
OG0000962	XP_020143323.1, XP_012596079.2	XP_013213923.1
OG0000963	XP_012629542.1	XP_005322984.1, XP_005322985.1, XP_040149977.1, XP_005322983.1
OG0000964	XP_012598476.1, XP_012598477.1, XP_012598474.1, XP_012598480.1, XP_012598479.1, XP_012598478.1	XP_040142870.1, XP_005334227.1
OG0000965	XP_020140157.1	XP_005337578.1, XP_040149031.1
OG0000966	XP_012643026.1	XP_013215155.1
OG0000967	XP_012615812.2, XP_012615811.1	XP_005338880.1, XP_005338881.1, XP_005342609.1
OG0000968	XP_012643360.1, XP_012643361.1, XP_012643359.1, XP_012643362.1, XP_012643358.1	XP_005323466.1, XP_021580911.1, XP_040139690.1, XP_005323465.1, XP_040139688.1
OG0000969	XP_012591372.1, XP_012591373.1	XP_040142723.1, XP_013219815.1, XP_021591080.1, XP_040142722.1
OG0000970	XP_012644295.1	XP_040145078.1, XP_013219816.1, XP_021591071.1, XP_040142759.1, XP_040142753.1, XP_040142761.1, XP_040142756.1, XP_013219818.1, XP_040142752.1, XP_021591070.1
OG0000971	XP_012635476.1	XP_005342940.1
OG0000972	XP_020141415.1	XP_040130038.1, XP_005322910.1
OG0000975	XP_012605883.2	XP_021579280.2, XP_005320459.1, XP_005339808.1
OG0000976	XP_012642410.1	XP_005339655.1
OG0000976	XP_012625440.1	XP_005333676.1
OG0000977	XP_020138643.1	XP_040145367.1
OG0000978	XP_012634345.1, XP_012634346.1	XP_005332656.1, XP_040124347.1
OG0000979	XP_012632161.1	XP_021588327.2
OG0000979	XP_012619772.1	XP_013213311.3
OG0000980	XP_012608219.1, XP_012608216.1, XP_012608220.1, XP_012608218.1, XP_012608221.1, XP_012608217.1, XP_020141484.1, XP_012608222.1	XP_005341462.2
OG0000981	XP_012645101.1	XP_013216505.1
OG0000981	XP_012631636.1	XP_005332864.1
OG0000983	XP_012617203.1, XP_012617192.1, XP_012617199.1	XP_040136631.1, XP_005324983.1, XP_040136632.1
OG0000984	XP_012601088.1	XP_005319396.1, XP_040141048.1, XP_005319397.1
OG0000985	XP_012606197.1, XP_012606198.1, XP_012606196.1, XP_012606200.1, XP_012606199.1	XP_040144148.1, XP_040144147.1, XP_040144146.1, XP_013218703.1
OG0000986	XP_012604369.1	XP_005324277.1
OG0000987	XP_012643287.2	XP_005330016.1, XP_005330136.1, XP_005330131.1
OG0000988	XP_012607927.1	XP_005339564.1
OG0000988	XP_012638749.1	XP_013215413.1, XP_040142739.1
OG0000989	XP_012611198.2, XP_012611199.2, XP_012644145.2, XP_012611056.1, XP_012611057.1, XP_012611197.1	XP_005339722.1, XP_005339723.1
OG0000990	XP_012642644.1, XP_012614243.1	XP_013213199.1
OG0000991	XP_012635455.1, XP_020137810.1	XP_005342176.1
OG0000992	XP_012601406.1	XP_040126730.1
OG0000993	XP_012592060.1	XP_040139214.1
OG0000994	XP_012626349.1, XP_012626350.1, XP_012626351.1, XP_012626353.1, XP_012626352.1	XP_005342838.1
OG0000995	XP_012614480.1, XP_012622669.1, XP_012628734.1	XP_005339796.1, XP_040143254.1
OG0000996	XP_012626282.1	XP_013221623.1
OG0000997	XP_020135946.1, XP_012630484.1	XP_005328502.1
OG0000998	XP_012630658.1	XP_013216370.1, XP_040134998.1, XP_005330703.1, XP_013216371.1, XP_005330702.1, XP_013216369.1
OG0000999	XP_012621140.1	XP_005320328.1
OG0001000	XP_012606881.1, XP_012606880.1, XP_012606879.1	XP_013221500.1, XP_013221498.1, XP_013221499.1, XP_005318281.1
OG0001001	XP_012619221.1, XP_012619222.1, XP_012619220.1, XP_012619219.1	XP_021583362.2, XP_013215028.1, XP_040128192.1
OG0001002	XP_012593663.1	XP_040133255.1
OG0001003	XP_020136355.1, XP_020136356.1, XP_020136359.1, XP_020136358.1, XP_020136357.1	XP_040127969.1, XP_005340136.1
OG0001004	XP_012646519.1, XP_012646521.1, XP_012646495.1, XP_012646529.1, XP_012646504.1, XP_012646486.1, XP_012646513.1, XP_012646491.1	XP_005324213.1
OG0001005	XP_012603471.1, XP_012603467.1, XP_012603466.1, XP_012603469.1, XP_012603472.1, XP_012603468.1, XP_012603470.1	XP_005334259.1, XP_013217813.1, XP_040141177.1
OG0001006	XP_012604996.1	XP_021588079.1
OG0001007	XP_012592698.1	XP_040135589.1, XP_040135584.1, XP_040135585.1, XP_040135588.1, XP_040135586.1, XP_005335471.1, XP_040135587.1, XP_040135592.1, XP_040135583.1, XP_040135590.1
OG0001008	XP_012598077.1	XP_013221956.1
OG0001009	XP_012614538.1	XP_005328557.1
OG0001010	XP_012614502.1	XP_013220380.1, XP_005339790.1
OG0001011	XP_012645606.1, XP_012645607.1, XP_012645604.1, XP_012645605.1	XP_021581118.1, XP_021581117.1, XP_013213451.1, XP_005323786.1
OG0001012	XP_012599062.1, XP_012599067.1, XP_012599066.1, XP_012599068.1, XP_012599065.1, XP_012599063.1	XP_021590594.1, XP_021590593.1, XP_021590597.1, XP_021590596.1
OG0001013	XP_012599021.1	NP_001269197.1, XP_021590533.1
OG0001014	XP_012644861.1	XP_005332738.2
OG0001014	XP_012606801.1	XP_005326590.1
OG0001015	XP_020139915.1	XP_040134665.1, XP_040134479.1
OG0001016	XP_012637179.1, XP_012637177.1, XP_012637180.1, XP_012637178.1, XP_012637176.1	XP_021584892.1, XP_040132620.1, XP_021584894.1, XP_040132618.1, XP_005329522.2
OG0001017	XP_012606732.1	XP_021582840.1, XP_040134035.1, XP_005326585.1, XP_040134034.1
OG0001018	XP_012646723.1, XP_012646724.1, XP_012646720.1, XP_012646722.1, XP_012646721.1, XP_012646725.1, XP_012646719.1	XP_005331319.1
OG0001019	XP_012601586.1, XP_012601589.1, XP_012601588.1, XP_012601587.1	XP_005334925.1
OG0001020	XP_012642287.1	XP_013215390.1
OG0001021	XP_020143140.1, XP_012610062.1, XP_020143138.1	XP_005335708.1
OG0001022	XP_012644192.1	XP_005328797.1
OG0001023	XP_012599710.2	XP_005326848.3
OG0001024	XP_012642392.1, XP_012642398.1, XP_012642395.1, XP_012642393.1, XP_012642396.1, XP_012642394.1, XP_012642397.1	XP_005339652.1
OG0001025	XP_012620323.1, XP_012620321.1, XP_012620325.1, XP_012620322.1, XP_012620324.1	XP_005322109.1
OG0001026	XP_012617568.2	XP_005335837.1
OG0001026	XP_012617569.2	XP_005335836.1
OG0001027	XP_012625601.1, XP_012625599.1, XP_012625598.1, XP_012625600.1	XP_005326260.1, XP_040141864.1, XP_005326258.1, XP_021582605.1, XP_021582604.1
OG0001028	XP_012625543.2, XP_012625546.2	XP_040139743.1, XP_040141901.1
OG0001029	XP_012628623.1	XP_040138636.1
OG0001030	XP_012615430.1, XP_012615431.1, XP_012615432.1	XP_013212227.1
OG0001031	XP_012591272.1	XP_013219862.1
OG0001032	XP_012643687.1, XP_012630131.1	XP_021580258.1
OG0001033	XP_012633943.1, XP_012633942.1, XP_012633941.1	XP_021590440.1, XP_040143324.1, XP_040143325.1, XP_005337680.1
OG0001035	XP_012601820.1	XP_040147590.1
OG0001036	XP_012645273.1, XP_012645257.1, XP_012645282.1	XP_005330059.1, XP_013216069.1
OG0001037	XP_012616036.1, XP_012616037.1	XP_040146616.1, XP_021587695.1
OG0001038	XP_012626966.1, XP_012626964.1, XP_012626965.1, XP_020135957.1	XP_021583212.1
OG0001039	XP_012607684.1, XP_012607682.1, XP_012607683.1, XP_012607686.1, XP_012607681.1	XP_040130803.1
OG0001040	XP_012603580.1, XP_012603578.1, XP_012603579.1	XP_005317160.1
OG0001041	XP_020146049.1	XP_040137581.1, XP_021585775.1, XP_005317109.2
OG0001042	XP_012611175.1	XP_005339700.1
OG0001043	XP_012612085.1	XP_005340151.1
OG0001044	XP_012609192.1, XP_012609191.1, XP_012609193.1, XP_012609195.1, XP_012609194.1	XP_040136896.1, XP_040136897.1, XP_005331942.1
OG0001045	XP_012618365.1, XP_012618372.1, XP_012618370.1, XP_012618362.1, XP_012618368.1	XP_005325039.1
OG0001046	XP_012634376.1	XP_040129759.1, XP_040129758.1, XP_040129757.1
OG0001047	XP_012636828.1	XP_005320821.1
OG0001048	XP_012595470.1	XP_040149845.1, XP_040149846.1, XP_005336067.1, XP_021589411.1
OG0001049	XP_012623751.1, XP_012623752.1, XP_012623753.1, XP_020141657.1	XP_013213984.1, XP_005316808.1
OG0001050	XP_012612686.1	XP_005340677.1
OG0001051	XP_012592401.1, XP_012592403.1	XP_005331124.1
OG0001052	XP_012597492.1, XP_012597557.2	XP_005340198.1, XP_040138163.1
OG0001053	XP_020142919.1	XP_021591276.1
OG0001054	XP_012634928.1, XP_012634929.1	XP_005324450.1, XP_021581452.1
OG0001055	XP_012593549.1	XP_040136059.1, XP_040136018.1
OG0001056	XP_012593540.1, XP_012593537.1, XP_012593539.1	XP_013219902.1, XP_013219900.1, XP_005338716.1, XP_013219901.1
OG0001060	XP_020143016.1, XP_012610096.1	XP_013221336.1, XP_005342289.1, XP_005342492.1
OG0001061	XP_012612098.1	XP_013219017.1
OG0001062	XP_012623433.1	XP_005332474.1
OG0001062	XP_012593225.1	XP_005323726.1
OG0001064	XP_012600553.1	XP_005323256.2
OG0001064	XP_012600552.2	XP_021580862.1
OG0001065	XP_020144800.1, XP_020144854.1	XP_005334943.1
OG0001065	XP_012603657.2	XP_005334944.1
OG0001066	XP_020144141.1	XP_040127571.1, XP_040127570.1, XP_040129802.1, XP_040129803.1, XP_040124052.1
OG0001067	XP_012616802.1	XP_005338255.1
OG0001067	XP_012616814.1	XP_005338257.1
OG0001068	XP_012630579.1	XP_040135958.1
OG0001069	XP_012593457.1	XP_005334329.1
OG0001070	XP_012638659.1	XP_013215640.1
OG0001071	XP_012606073.1, XP_012606074.1, XP_012606075.1, XP_012606071.1, XP_012606076.1, XP_012606072.1	XP_013219765.1
OG0001072	XP_012615437.1	XP_040131703.1, XP_013215148.1, XP_005316943.1, XP_040131705.1, XP_040131704.1, XP_021584609.1, XP_040147853.1
OG0001074	XP_012617948.1, XP_012617947.1, XP_012617949.1, XP_012617950.1	XP_021591114.1
OG0001074	XP_012618316.1	XP_005342733.4
OG0001075	XP_020137490.1, XP_012634453.1	XP_005339862.1
OG0001075	XP_020136034.1, XP_012612376.1	XP_021582478.1
OG0001076	XP_012606958.1, XP_020136086.1, XP_012606968.1, XP_020136085.1, XP_020136082.1, XP_012606965.1, XP_012606959.1, XP_020136087.1, XP_012606969.1, XP_020136083.1, XP_020136084.1, XP_020136081.1	XP_021584752.1, XP_040127892.1, XP_021584753.1, XP_021584754.1, XP_021584755.1
OG0001077	XP_012611873.1, XP_012634783.2	XP_021590293.1
OG0001078	XP_012603407.1	XP_013217230.1, XP_040150395.1, XP_040144685.1, XP_040139697.1, XP_040138555.1, XP_040137922.1, XP_040139567.1
OG0001079	XP_012631873.1, XP_012631872.1	XP_005339311.1
OG0001080	XP_012614859.1	XP_040133003.1
OG0001080	XP_012597334.1	XP_040133987.1
OG0001081	XP_020137288.1, XP_012619784.1, XP_012619786.1	XP_005323866.1
OG0001082	XP_012640774.1	XP_005327222.1
OG0001082	XP_012597153.1	XP_005322258.1
OG0001083	XP_012599000.1, XP_012599001.1	XP_040142910.1, XP_021590628.1
OG0001084	XP_012606776.1	XP_005326605.1, XP_013214656.1, XP_040132857.1, XP_040132858.1, XP_013214655.1, XP_005326606.1
OG0001085	XP_012623155.1	XP_021586223.1
OG0001086	XP_012600804.1, XP_012600805.1, XP_012600807.1, XP_012600806.1	XP_021580701.1, XP_040129246.1
OG0001087	XP_012611470.1	XP_013219954.1, XP_013218261.1
OG0001087	XP_012609104.1	XP_005329193.1
OG0001088	XP_012636605.1	XP_005322881.1
OG0001089	XP_012601793.1, XP_012643343.1	XP_005334722.1, XP_040129984.1
OG0001090	XP_012634250.1	XP_005332614.1
OG0001091	XP_012596519.1	XP_005339068.1
OG0001091	XP_020145128.1	XP_005321144.1
OG0001092	XP_012627434.1	XP_005321044.1
OG0001093	XP_012608934.1	XP_040136405.1
OG0001094	XP_012628189.1	XP_005322396.1, XP_040134945.1, XP_021580144.1
OG0001095	XP_012593085.1	XP_005339146.1, XP_005342973.3
OG0001096	XP_012593109.2	XP_040126754.1
OG0001097	XP_012642465.1	XP_013218857.1
OG0001098	XP_012624279.1	XP_040142139.1
OG0001099	XP_012627154.1	XP_040142161.1, XP_040142159.1, XP_040142163.1, XP_040142160.1, XP_040142164.1
OG0001100	XP_012596490.1	XP_040138307.1, XP_005339055.1, XP_040138306.1
OG0001101	XP_012616248.1, XP_012616250.1, XP_012616249.1, XP_012616247.1, XP_012616246.1	XP_005318777.1
OG0001102	XP_012624912.1, XP_012624913.1	XP_013219579.1, XP_005338069.1
OG0001103	XP_020139835.1	XP_040148248.1, XP_005333351.2
OG0001104	XP_012634978.1	XP_040147639.1
OG0001104	XP_012626914.1	XP_005327031.1
OG0001105	XP_012591348.2	XP_005319331.1
OG0001106	XP_012596721.1	XP_040147760.1, XP_005319235.1, XP_040147759.1, XP_040147761.1, XP_040147758.1
OG0001107	XP_012632818.1	XP_040124208.1, XP_005330621.1, XP_013216378.1, XP_040124212.1, XP_040124216.1, XP_040124215.1, XP_040124209.1
OG0001108	XP_012631187.1	XP_040124908.1, XP_013220532.1
OG0001109	XP_012643702.1	XP_013212819.1
OG0001110	XP_020141785.1, XP_012644129.1, XP_012644120.1	XP_040127245.1, XP_005322226.1, XP_013212612.1, XP_021580042.1, XP_021580044.2, XP_021584840.2, XP_040127248.1
OG0001111	XP_012605404.1	XP_005331612.1
OG0001111	XP_020138567.1	XP_040145372.1
OG0001112	XP_012605315.1	XP_040140265.1
OG0001113	XP_012633503.1, XP_012633502.1, XP_012633504.1	XP_013217489.1, XP_005333505.1, XP_040140070.1
OG0001114	XP_012633795.1	XP_005331589.1
OG0001114	XP_020138612.1, XP_020138613.1	XP_040146860.1
OG0001115	XP_012614244.1	XP_040149921.1, XP_013220829.2
OG0001115	XP_012622890.2	XP_040136410.1, XP_021576138.1
OG0001116	XP_012645850.1, XP_012645852.1, XP_012645848.1, XP_012645847.1, XP_012645851.1	XP_005336290.1
OG0001117	XP_012646101.1, XP_012646098.1, XP_012646096.1, XP_012646100.1, XP_012646097.1	XP_040146398.1, XP_005336185.1
OG0001118	XP_012612458.1, XP_012612474.1	XP_005331597.1
OG0001119	XP_012618803.2	XP_005337240.1
OG0001120	XP_012590985.1, XP_012590986.1, XP_012590987.1	XP_005336022.1
OG0001121	XP_012592775.1	XP_005330267.1, XP_040137484.1, XP_040137486.1, XP_040137485.1, XP_040137487.1
OG0001122	XP_012592766.1, XP_012592767.1, XP_012592764.1, XP_012592765.1	XP_005330265.1
OG0001123	XP_012626483.1, XP_012626482.1, XP_012626480.1, XP_012626481.1	XP_005337970.1
OG0001124	XP_012643236.1	XP_005327091.1
OG0001125	XP_012638276.1, XP_012638275.1	XP_005325778.1
OG0001126	XP_012598384.1	XP_040131378.1
OG0001127	XP_012601984.1	XP_005317125.1, XP_040137564.1, XP_013216393.1
OG0001128	XP_012590786.1, XP_012647081.1	XP_021582766.1
OG0001129	XP_012608747.1, XP_012608743.1, XP_012608745.1, XP_012608746.1, XP_012608744.1	XP_005326456.1
OG0001130	XP_012623523.1	XP_005335301.1
OG0001131	XP_012595482.1, XP_012595481.1	XP_005338101.1, XP_040149858.1, XP_040149857.1
OG0001132	XP_012614027.1	XP_005316993.1, XP_040131229.1
OG0001133	XP_012603727.1, XP_012603728.1, XP_020141670.1	XP_040129914.1
OG0001134	XP_012599645.1	XP_005337314.1
OG0001135	XP_012637354.1, XP_012637357.1, XP_012637356.1, XP_012637358.1, XP_012637355.1, XP_012637359.1	XP_021581579.1, XP_005324626.1, XP_040150375.1
OG0001136	XP_012637401.1	XP_005324658.1
OG0001137	XP_012623998.1	XP_013221431.2
OG0001138	XP_012615018.1, XP_012615017.1	XP_005319561.1
OG0001138	XP_012616392.1	XP_040141089.1
OG0001139	XP_012623855.1, XP_012623856.1	XP_040139605.1, XP_005327557.1, XP_040139606.1
OG0001139	XP_012613629.1	XP_005340705.1
OG0001144	XP_012593664.1, XP_012593674.1, XP_012593685.1	XP_040141673.1
OG0001145	XP_012619793.1	XP_013211801.2
OG0001145	XP_012629990.1	XP_005336504.1
OG0001146	XP_012594102.1	XP_005323033.1
OG0001146	XP_012608103.2	XP_005341536.1
OG0001147	XP_012626592.1	XP_005333139.1
OG0001148	XP_020141351.1, XP_012638328.1, XP_012638325.1, XP_012638324.1, XP_012638327.1, XP_020141354.1	XP_005339969.1, XP_040125929.1, XP_040125930.1
OG0001149	XP_012592093.1, XP_012592091.1, XP_012592092.1, XP_012592089.1, XP_012592090.1, XP_012592088.1, XP_012592087.1	XP_013215970.1
OG0001150	XP_020142546.1, XP_020142545.1	XP_005338991.1
OG0001152	XP_012625236.1	XP_005335975.1
OG0001152	XP_012625237.1	XP_005335984.2
OG0001153	XP_020139882.1	XP_040146352.1
OG0001154	XP_012602119.2	XP_013221781.1
OG0001154	XP_012602178.1, XP_012602179.1, XP_012602177.2	XP_005331759.2
OG0001155	XP_012641925.2	XP_005342148.1, XP_005342165.1
OG0001156	XP_012611299.1, XP_012638750.1	XP_005328465.1
OG0001158	XP_012604156.1	XP_005339486.1
OG0001158	XP_012604158.1	XP_005339485.1
OG0001158	XP_012604139.1	XP_040145032.1
OG0001159	XP_012607920.1, XP_012607915.1, XP_012607939.1, XP_012607974.1, XP_012607984.1, XP_012607957.1, XP_012607948.1, XP_012607965.1, XP_012607926.1, XP_012607931.1	XP_040137998.1
OG0001160	XP_012598216.1, XP_012598219.1, XP_012598220.1, XP_012598218.1	XP_005334899.1
OG0001161	XP_012642725.1, XP_012642722.1, XP_012642723.1, XP_012642721.1, XP_012642719.1, XP_012642724.1, XP_012642720.1	XP_005337492.3, XP_040141538.1, XP_040141540.1, XP_005337490.1, XP_040141539.1
OG0001162	XP_012629281.1, XP_012629284.1, XP_012629283.1, XP_012629282.1	XP_005340481.1
OG0001163	XP_012605696.1	XP_005342267.1, XP_021577026.1
OG0001164	XP_012616873.1, XP_012616871.1, XP_012616877.1, XP_020138983.1, XP_012616879.1, XP_012616875.1, XP_012616874.1, XP_020138982.1, XP_020138980.1, XP_012616876.1, XP_020138981.1	XP_040135563.1, XP_021590879.1, XP_040135562.1, XP_040135561.1
OG0001165	XP_012630017.1	XP_005336494.1
OG0001166	XP_012630598.1	XP_021585730.1
OG0001167	XP_020139793.1	XP_040134078.1
OG0001168	XP_012606108.1	XP_013218804.1, XP_005317742.1, XP_040144149.1, XP_021590389.1
OG0001169	XP_012640803.1, XP_012640805.1, XP_012640806.1, XP_012640807.1	XP_021589120.1
OG0001170	XP_020137428.1	XP_013211344.1
OG0001171	XP_012620630.1	XP_013217597.1
OG0001171	XP_012620626.1	XP_013217575.1, XP_005333804.1, XP_013217596.1, XP_013217584.1, XP_040129214.1
OG0001172	XP_012607994.1	XP_013220278.1
OG0001172	XP_012607991.1	XP_005339565.1
OG0001174	XP_012603368.1	XP_040125567.1, XP_013220272.1, XP_005339522.1, XP_013220271.1, XP_013220270.1
OG0001175	XP_012627927.1, XP_012627923.1	XP_005318475.1
OG0001176	XP_020138331.1, XP_012627875.1, XP_012627876.1, XP_012627874.1	XP_005318459.1
OG0001177	XP_020137208.1	XP_040134045.1
OG0001178	XP_012622003.1	XP_013214707.1
OG0001179	XP_020136493.1	XP_021589394.1
OG0001179	XP_020137133.1	XP_021575638.2
OG0001180	XP_012614624.1, XP_012614622.1, XP_012614623.1	XP_005339889.1, XP_040134229.1, XP_040134230.1, XP_021575489.1
OG0001181	XP_012607076.1	XP_005338148.1
OG0001181	XP_012634947.1	XP_005340722.1
OG0001182	XP_012603027.1	XP_005334128.1
OG0001183	XP_012594631.1, XP_012619382.1, XP_012619386.1, XP_012619379.1, XP_012619384.1, XP_012619383.1, XP_012619381.1, XP_012619387.1, XP_012619385.1, XP_012619380.1	XP_005319422.1
OG0001184	XP_020139965.1	XP_040134152.1
OG0001184	XP_020139996.1	XP_040134153.1
OG0001185	XP_012591670.1, XP_012591678.1, XP_012591643.1, XP_012591653.1, XP_012591664.1	XP_005319749.1
OG0001186	XP_012639378.1, XP_012639377.1	XP_013211628.1, XP_005319884.1
OG0001187	XP_012619488.1, XP_012620783.1	XP_040136469.1
OG0001188	XP_012611461.1	XP_040130054.1
OG0001189	XP_012645478.1	XP_021585298.1
OG0001190	XP_012634085.1	XP_040125029.1, XP_005321588.1, XP_040125030.1, XP_040125028.1
OG0001191	XP_020145143.1	XP_021590045.1
OG0001192	XP_012597289.1, XP_012597293.1, XP_012597290.1, XP_012597288.1, XP_012597291.1, XP_012597287.1, XP_012597294.1, XP_012597292.1	XP_040133163.1
OG0001193	XP_012617716.1	XP_021589281.1
OG0001194	XP_012609241.1, XP_012609240.1, XP_012609239.1	XP_005340444.1
OG0001195	XP_020142490.1	XP_005341098.1
OG0001196	XP_012596624.1	XP_013220069.2
OG0001197	XP_020142566.1	XP_005318831.2
OG0001198	XP_012619145.1, XP_012619142.1, XP_012619140.1, XP_012619144.1, XP_012619143.1, XP_012619146.1	XP_040138917.1
OG0001199	XP_012624600.1, XP_012624601.1, XP_012624595.1, XP_012624594.1, XP_012624599.1, XP_012624598.1, XP_012624596.1, XP_012624597.1	XP_005324817.1, XP_021581735.1, XP_021581734.1, XP_040138928.1
OG0001200	XP_012608685.1	XP_005330194.1
OG0001201	XP_012608574.1	XP_005330198.1
OG0001201	XP_012591679.1	XP_005340029.1
OG0001202	XP_012641381.1	XP_005333322.1
OG0001203	XP_012635040.1, XP_012635041.1, XP_012635039.1	XP_005334744.1, XP_040147403.1
OG0001204	XP_012628803.1	XP_040147716.1, XP_040147715.1, XP_021577924.1, XP_013211402.1, XP_005319188.1
OG0001205	XP_012598782.1	XP_040147772.1, XP_040147773.1
OG0001206	XP_012620660.1, XP_012620659.1, XP_012620658.1	XP_005317879.1
OG0001207	XP_012591294.1	XP_040144403.1, XP_040144404.1, XP_021591705.1, XP_040144405.1
OG0001208	XP_012608130.1	XP_021576572.1, XP_040130359.1, XP_013221223.1, XP_040130358.1, XP_021576571.1, XP_013221224.1
OG0001209	XP_012628173.1, XP_012628175.1, XP_012628177.1, XP_012628174.1, XP_012628176.1	XP_040134995.1, XP_005342695.1
OG0001210	XP_012639238.1, XP_012639239.1	XP_005327604.1
OG0001211	XP_020135755.1	XP_040149139.1
OG0001211	XP_012603533.1	XP_021586076.1
