Orthogroup	Microcebus_murinus	Rattus_norvegicus
OG0002402	XP_012600315.1	NP_062227.2
OG0002404	XP_020136396.1	NP_071959.1, NP_001395822.1, XP_063126932.1
OG0002405	XP_012612716.1, XP_012612717.1	NP_058783.1
OG0002406	XP_012633194.1	NP_001399118.1, NP_001002289.2
OG0002407	XP_012645100.1, XP_012645097.1, XP_012645098.1	XP_038943914.1, NP_653345.1
OG0002408	XP_012639850.1	NP_001257535.1, NP_001274352.1
OG0002409	XP_012629870.1, XP_012629869.1	XP_017447925.1, NP_036706.1
OG0002410	XP_012619789.1	NP_001006972.1, XP_038963168.1
OG0002411	XP_012629968.2	NP_036674.1
OG0002412	XP_012646834.1	XP_038967041.1
OG0002413	XP_012646836.1, XP_020142532.1	NP_997671.1, NP_001158190.1
OG0002414	XP_012643888.1	XP_008762647.2, NP_062208.2
OG0002415	XP_020144498.1, XP_020144499.1	XP_008759064.1, NP_001101130.1
OG0002416	XP_012596927.1	NP_001037763.1
OG0002417	XP_012593307.1, XP_012593306.1, XP_012593303.1, XP_012593308.1	XP_006246126.1
OG0002418	XP_012619167.1, XP_012619170.1, XP_012619168.1, XP_012619169.1, XP_012619175.1, XP_012619173.1, XP_020145789.1, XP_012619174.1, XP_012619176.1, XP_012619177.2	NP_001102360.1
OG0002419	XP_012633255.1	XP_063129513.1, NP_001102334.1
OG0002420	XP_012614992.1	NP_001102062.1
OG0002421	XP_012612420.1	NP_037124.1
OG0002422	XP_012617627.1	XP_063124657.1, NP_001007609.1
OG0002423	XP_012600408.2	NP_001099754.1, XP_006229932.1
OG0002424	XP_012615113.1, XP_012615110.1, XP_012615114.1, XP_012615111.1	NP_036889.1, XP_006227922.1
OG0002425	XP_012592148.1, XP_012638570.2, XP_012638563.2, XP_012638556.2, XP_012638565.2	NP_001032387.1, NP_908937.2
OG0002426	XP_012602792.1, XP_012602793.1, XP_012602794.1	NP_001007614.1, XP_008766535.1
OG0002428	XP_012632854.1	NP_579839.1, XP_038950103.1
OG0002429	XP_012639766.1	XP_006241630.1, NP_072107.2, NP_001288631.1
OG0002430	XP_012646701.1	XP_006232663.1, NP_001099908.1
OG0002432	XP_012604151.1, XP_012604152.2	NP_001000086.1, NP_001000910.1
OG0002433	XP_012611303.2	NP_001000477.1, NP_001000474.1, NP_001000790.1
OG0002434	XP_012642088.1, XP_012642089.1, XP_012641905.1, XP_012620141.1	XP_038953711.1
OG0002435	XP_012615173.1, XP_012615172.1, XP_012615175.1, XP_012615174.1	NP_001100939.1, XP_006227678.1
OG0002436	XP_020139198.1, XP_020139199.1	NP_631924.1, XP_006228446.1
OG0002437	XP_012636678.1	XP_006255085.1, NP_001012758.1
OG0002438	XP_012600933.1	NP_001071135.1, XP_038952586.1
OG0002439	XP_012598195.1	XP_006227701.1, NP_001100940.1
OG0002440	XP_012596376.1, XP_012596375.1, XP_012596373.1, XP_012596374.1	NP_001035217.2, XP_017444360.1
OG0002441	XP_012615078.1, XP_012615081.1, XP_012615080.1, XP_012615079.1	NP_596897.1, XP_006227918.1
OG0002442	XP_012593282.1	NP_113702.1
OG0002443	XP_012631009.1	NP_640354.1, XP_006228310.1
OG0002444	XP_012640990.1	NP_001102613.1, XP_038943304.1
OG0002445	XP_012609791.2, XP_012609790.2, XP_012609789.2, XP_012609788.2	XP_006229042.1, NP_758839.3
OG0002446	XP_012600109.1	NP_068623.1
OG0002446	XP_012609858.1	NP_068526.1
OG0002447	XP_012616999.1, XP_020138918.1, XP_020138917.1, XP_012617000.1, XP_012617001.1	XP_006228414.1, NP_001003710.3
OG0002448	XP_012609229.1	XP_038951971.1, NP_071560.2
OG0002449	XP_012638509.1	NP_001102406.1, XP_008758901.1
OG0002450	XP_012599411.2	NP_001099639.1, XP_006255141.1
OG0002451	XP_012619888.1, XP_012619887.1, XP_012619889.1	XP_006255322.1, NP_001100885.2
OG0002452	XP_012620843.2, XP_012620845.2	NP_001386079.1
OG0002453	XP_012606048.1	XP_063143330.1, NP_058905.1
OG0002454	XP_012606193.1, XP_012606192.1, XP_012606191.1	NP_001120997.1
OG0002455	XP_012643137.1, XP_020136735.1	NP_113797.2
OG0002456	XP_012618577.1	NP_001101459.2, XP_038965998.1
OG0002457	XP_012618529.1	XP_038967263.1, XP_038967262.1
OG0002458	XP_012619206.1	NP_001102358.2
OG0002458	XP_020139574.1	XP_006241029.2, NP_001013236.1
OG0002459	XP_012628944.1	NP_037132.2, XP_017451775.1
OG0002460	XP_012619955.1	NP_542956.1
OG0002460	XP_012607258.1	NP_112392.2
OG0002461	XP_020145723.1	NP_001128177.1, XP_038943559.1, XP_038934109.1
OG0002462	XP_012636997.1, XP_012636996.1, XP_012636998.1	NP_036678.3, XP_006253661.1
OG0002464	XP_012618081.1, XP_012618084.1, XP_012618080.1, XP_012618085.1, XP_012618086.1, XP_012618083.1	XP_008771110.1, NP_001132955.1
OG0002465	XP_012643492.1	XP_008769357.2, NP_001020199.2
OG0002466	XP_012642771.1	NP_001388465.1, XP_006253683.1
OG0002467	XP_012617218.1, XP_012617219.1	NP_001007610.1, XP_006246441.1
OG0002468	XP_020145785.1, XP_020145663.1, XP_020145664.1	NP_001014059.1, XP_038958182.1
OG0002469	XP_012613663.1, XP_012613664.1	XP_038958050.1, NP_058964.1
OG0002470	XP_012622386.1, XP_012622385.1, XP_012622388.1	XP_006252644.1, NP_001007624.1
OG0002471	XP_012638752.1	XP_063122278.1, NP_112328.1
OG0002472	XP_012638738.2	NP_001258207.1
OG0002473	XP_012645303.1	XP_006243164.1, NP_620797.1
OG0002474	XP_012628991.1	XP_038937350.1, NP_001020181.1
OG0002475	XP_012629223.1, XP_012629222.1, XP_012629224.1	XP_017451518.1, NP_001386239.1
OG0002476	XP_012603362.1, XP_012603363.1	XP_008766041.2, NP_001258136.1
OG0002477	XP_012640198.1	XP_063129915.1, NP_112363.1, XP_038943129.1, XP_038938152.1, XP_038948683.1
OG0002478	XP_012593912.1, XP_012593913.1, XP_012593914.1	NP_612513.1, XP_006255768.1
OG0002479	XP_012598746.1	XP_063118859.1, XP_063118860.1, XP_063118861.1, XP_063118866.1, XP_063118864.1, XP_063118863.1, XP_063118865.1, XP_063118862.1, XP_063118790.1, NP_001123353.1, XP_063134347.1
OG0002480	XP_012597840.1	NP_001100895.1, XP_008770725.1
OG0002482	XP_012614590.1	NP_742006.2, XP_038945765.1
OG0002483	XP_012614760.1	XP_017453816.1, NP_001100603.1
OG0002484	XP_012614477.1	XP_038945270.1, NP_001388048.1
OG0002485	XP_012619689.1	XP_008758155.1, NP_001387690.1
OG0002486	XP_012619728.1	XP_006230397.1, NP_075226.1
OG0002487	XP_012619776.1, XP_012619775.1	NP_569095.1, XP_017444198.1
OG0002488	XP_012614357.1	NP_001094132.1
OG0002489	XP_012599228.1	NP_001382483.1, XP_063124608.1
OG0002490	XP_012598935.1	NP_001299592.1
OG0002491	XP_012593263.2	NP_001102948.1
OG0002492	XP_012607099.1, XP_012607102.1, XP_012607100.1, XP_012607101.1, XP_012607098.1	XP_006233190.1, NP_596905.2
OG0002493	XP_012607133.1	NP_001121016.1
OG0002493	XP_012607158.1	NP_001103110.1, XP_017446612.1
OG0002494	XP_020138648.1	XP_008768144.1, NP_001099463.1
OG0002495	XP_012595989.1	NP_598259.2, XP_017451748.1
OG0002496	XP_012606600.1	NP_001102550.1, NP_001007557.1
OG0002497	XP_012591221.1	NP_001014006.1, XP_006250059.1
OG0002498	XP_012606774.1, XP_012606773.1	XP_038947059.1, NP_001380594.1
OG0002499	XP_012623191.1	XP_006232752.1, NP_001102026.1
OG0002500	XP_012623214.1	XP_006232701.1, NP_001012078.2
OG0002501	XP_012645760.1, XP_012645759.1	NP_001414555.1, XP_038953131.1
OG0002502	XP_012601709.1, XP_012601707.1, XP_012601710.1, XP_012601711.1, XP_020137828.1, XP_012601708.1	NP_062058.2
OG0002503	XP_012613478.1, XP_012613477.1, XP_012626124.1	NP_001128228.1, XP_006251846.1, NP_001128229.1
OG0002504	XP_012601371.1	NP_001029123.1
OG0002505	XP_020141173.1, XP_020141172.1, XP_012629439.1, XP_012629434.1, XP_012629436.1, XP_012629435.1, XP_012629438.1	NP_001101517.1, XP_006240491.1
OG0002506	XP_012594094.1, XP_012594095.1, XP_012594093.1	XP_017449517.1, NP_620180.2
OG0002507	XP_012646510.1	NP_001012194.1, XP_006240592.1
OG0002508	XP_012620262.1	NP_001119563.1, XP_038962522.1
OG0002509	XP_012644886.1, XP_012644885.1	XP_006247959.1, NP_001007006.1
OG0002510	XP_012611685.1	NP_001385875.1, XP_038943418.1
OG0002511	XP_012634369.1	XP_006247875.1
OG0002511	XP_012612379.1	NP_001009720.1
OG0002512	XP_012634309.1	XP_038942359.1, NP_001101777.1
OG0002513	XP_012602890.1, XP_012602889.1, XP_020136783.1, XP_012602892.1	XP_038942350.1, NP_001014143.1
OG0002514	XP_012602964.1	XP_038942652.1
OG0002515	XP_012642119.1	NP_001401143.1, NP_001401151.1, NP_445965.1, XP_008766350.1
OG0002516	XP_012637527.1	XP_006233741.1, NP_001094003.1
OG0002517	XP_012609230.1	XP_063120332.1, NP_001071053.1
OG0002518	XP_012597361.1	XP_038935914.1, NP_445912.2
OG0002519	XP_012642558.1	NP_445783.1
OG0002520	XP_012595995.1	NP_037169.1, NP_001121161.1, XP_006244801.1
OG0002521	XP_020141878.1, XP_020141881.1, XP_020141880.1, XP_012595973.1, XP_020141877.1, XP_020141879.1	NP_001399523.1, NP_001399522.1, XP_006244809.1
OG0002522	XP_012642421.1	XP_038940152.1
OG0002523	XP_012642414.1, XP_012642413.1	XP_006244823.1, NP_001012002.1
OG0002524	XP_012596587.1	NP_997713.1, NP_001159373.1, XP_006255984.1
OG0002525	XP_012642827.1	XP_006246267.1, NP_001017473.1
OG0002526	XP_012644021.1	NP_001100850.1
OG0002527	XP_012619853.1, XP_012619852.1	NP_059017.2
OG0002528	XP_012625590.1	NP_001102441.1, XP_006238156.1
OG0002529	XP_012624517.1	XP_008761912.1, NP_001101407.2
OG0002530	XP_012624340.1	XP_063144605.1
OG0002531	XP_020142594.1	NP_001386395.1, NP_001386394.1, NP_001386396.1
OG0002532	XP_012602212.2	XP_017457133.1, NP_001007696.1
OG0002532	XP_012614254.2	XP_008771682.3
OG0002533	XP_012602244.1	XP_063135107.1, NP_001013091.1
OG0002534	XP_012615780.1, XP_012615781.1	NP_620808.1
OG0002535	XP_012606584.1	NP_001020872.1
OG0002536	XP_012612806.2, XP_012612805.1	NP_001406953.1, NP_036669.3, NP_861545.1, NP_036670.2, XP_063119046.1
OG0002537	XP_020145874.1	XP_063126174.1
OG0002538	XP_012608886.1	NP_001348329.1, NP_001348330.1
OG0002539	XP_012644550.1, XP_012644551.1	NP_001382081.1, XP_063142551.1, NP_001382080.1, XP_063123933.1
OG0002540	XP_012612579.1, XP_012612582.1, XP_012612580.1, XP_012612581.1, XP_012612578.1	XP_038963435.1, NP_001004267.1
OG0002541	XP_012636479.1, XP_012636478.1	NP_001100195.1, XP_006240103.1
OG0002542	XP_012628783.1	NP_001178678.1, XP_038963654.1
OG0002543	XP_012591335.1	NP_001020234.1, XP_006236574.1
OG0002544	XP_012591608.1, XP_012591609.1, XP_012591610.1	NP_001014076.1
OG0002545	XP_012620935.1	NP_062114.1
OG0002547	XP_012635392.1, XP_012635390.1, XP_012635389.1	XP_063143821.1, NP_001071139.1
OG0002548	XP_020146136.1	XP_008762243.1, NP_001009693.1
OG0002549	XP_012620728.1, XP_012620727.1, XP_012620731.1, XP_012620734.1, XP_012620736.1, XP_012620730.1, XP_012620735.1, XP_012620737.1, XP_012620733.1, XP_012620732.1	NP_001102151.1, XP_017448998.1
OG0002550	XP_012605807.1, XP_012605804.1	NP_803174.2
OG0002551	XP_012630786.1, XP_012630787.1, XP_012630790.1, XP_012630789.1	XP_038934621.1, NP_001100249.2
OG0002552	XP_012628164.1, XP_012628163.1	NP_001129038.1
OG0002553	XP_012628167.1, XP_012628169.1, XP_012628170.1, XP_012628166.1	XP_008763518.1
OG0002554	XP_012639217.1	XP_038953513.1, NP_001010948.1
OG0002555	XP_012639060.1, XP_012639059.1	XP_006232579.1, NP_001102021.1
OG0002556	XP_012641640.1	XP_006236000.1, NP_001385782.1
OG0002557	XP_012618388.1	NP_001099558.1, XP_008769545.1
OG0002558	XP_012595280.1	XP_006253277.1, NP_620267.2
OG0002559	XP_012595248.1, XP_012595246.1, XP_012595249.1, XP_012595247.1	NP_001100785.1, XP_038950470.1
OG0002560	XP_020144270.1	NP_001414101.1
OG0002561	XP_012643738.1, XP_012643739.1, XP_012643737.1, XP_012643740.1	XP_038968855.1, NP_001103144.1
OG0002562	XP_012643949.1, XP_012643948.1, XP_012643950.1	NP_001178836.1, XP_038968537.1
OG0002563	XP_012629760.1	NP_001385641.1
OG0002565	XP_012609565.1	NP_001065244.1
OG0002566	XP_012622900.1	XP_038958712.1, NP_001128065.1
OG0002567	XP_012622969.1, XP_012622968.1, XP_020139666.1	NP_001414341.1
OG0002568	XP_012633802.1	NP_803435.1, XP_008758450.1, NP_997476.2, XP_017445968.2
OG0002569	XP_012607731.1	XP_038952038.1
OG0002570	XP_012612868.1, XP_012612867.1, XP_012612866.1	NP_954520.3, XP_008758319.1
OG0002571	XP_012633619.1	NP_446083.1, XP_006230692.1
OG0002572	XP_012633641.1	XP_006231059.1, NP_113892.2
OG0002573	XP_012633701.1, XP_012633700.1	NP_659557.1
OG0002574	XP_012606953.1, XP_012606948.1, XP_012606939.1	XP_006237046.1, NP_001032440.1
OG0002575	XP_012644819.1	NP_665713.2, XP_006251805.2
OG0002576	XP_020139377.1	XP_008769378.3, NP_446032.2
OG0002577	XP_012617197.1	XP_002729925.1, XP_038938730.1
OG0002578	XP_012601292.1	NP_001387889.1, XP_038934914.1
OG0002579	XP_012601162.1	NP_001257986.1, XP_038934518.1, NP_877970.1, NP_001403645.1, NP_071961.2
OG0002580	XP_012600499.1, XP_012600501.1, XP_012600502.1, XP_012600500.1	XP_063133414.1, NP_604456.2
OG0002581	XP_012639406.1	NP_001108517.1
OG0002583	XP_012638136.1	NP_001099521.1, NP_001257794.1, XP_063130235.1
OG0002584	XP_012625192.1	XP_063130244.1, NP_001099528.1
OG0002585	XP_012594675.1	NP_001102067.1
OG0002586	XP_012600991.1, XP_012600989.1, XP_012600986.1, XP_012600992.1, XP_012600988.1, XP_012600987.1, XP_012600990.1	NP_001020191.1, XP_017447401.1
OG0002587	XP_020137511.1	NP_001178748.1
OG0002588	XP_020144479.1	NP_001414260.1, XP_038950905.2
OG0002589	XP_012638286.1	XP_063137357.1, NP_001257890.1
OG0002590	XP_012638294.1, XP_012638296.1, XP_012638295.1	NP_001020040.1
OG0002591	XP_020137335.1	XP_006235136.1, NP_001099984.1
OG0002592	XP_012610524.1	XP_006235417.1, NP_001071148.2
OG0002593	XP_020137336.1	NP_663773.1, XP_063139211.1
OG0002594	XP_012610120.1	NP_001257876.1, XP_003749646.1
OG0002595	XP_020137496.1	NP_001032429.1
OG0002596	XP_012636280.1, XP_020137484.1	NP_001100007.1, XP_006235591.1
OG0002597	XP_012598435.1	XP_063139942.1
OG0002598	XP_012625947.1, XP_012625946.1, XP_012625945.1, XP_012625944.1	XP_006235754.1, NP_001028880.1
OG0002599	XP_012628368.1, XP_012628370.1, XP_012628369.1	XP_017446938.1, NP_598292.2
OG0002600	XP_012628529.1	NP_001128092.1, XP_006235854.1
OG0002601	XP_012628436.1	XP_008760732.1, NP_001101278.1
OG0002602	XP_012603587.1	NP_001102654.1, XP_006232430.1
OG0002603	XP_012634133.1	NP_001380751.1, NP_001128462.1, XP_038949067.1
OG0002604	XP_012608409.1	XP_017455183.2, NP_001100740.1
OG0002605	XP_012608424.1	NP_001102572.1, XP_008768993.1
OG0002606	XP_012594737.1, XP_020138288.1, XP_020138286.1, XP_012594740.1, XP_020138285.1, XP_012594741.1, XP_020138287.1, XP_012594739.1, XP_012594738.1	NP_001100746.1, XP_006252333.2
OG0002607	XP_012637696.1	XP_008767473.1
OG0002608	XP_020138554.1, XP_012637791.1, XP_020138552.1, XP_020138553.1	XP_017454007.1
OG0002609	XP_012611966.1	NP_112325.1
OG0002610	XP_012612129.1	XP_008767573.1, NP_001009716.1
OG0002611	XP_012619246.1	NP_001008508.2, XP_063127288.1
OG0002612	XP_012619287.1	NP_001388335.1, XP_038948144.1
OG0002613	XP_012619314.1	NP_001388336.1
OG0002614	XP_012619415.1, XP_012619414.1	XP_017454807.1, NP_001019442.1
OG0002615	XP_012619439.1	NP_001364036.1
OG0002616	XP_012604735.1	XP_038955000.1
OG0002617	XP_012604764.1	XP_008771081.2, NP_445745.1
OG0002617	XP_012604763.1	NP_001385971.1, XP_063135537.1
OG0002618	XP_012632071.1	XP_006248768.1, NP_001101795.1
OG0002619	XP_012632162.1, XP_012632163.1, XP_012632164.1	XP_006248733.1, NP_001099331.1
OG0002620	XP_012603191.1	NP_001385778.1, XP_063142190.1
OG0002621	XP_012638578.1, XP_012638577.1	NP_076444.1, XP_063142734.1
OG0002622	XP_020138666.1	XP_006237763.1, NP_942067.1
OG0002623	XP_012644152.1, XP_012644153.1, XP_012644151.1	XP_006242239.1, NP_476459.1
OG0002624	XP_012601947.1, XP_012602009.1	XP_038936267.1, XP_017450796.1, XP_063120524.1, XP_002729893.2, XP_006242333.2
OG0002625	XP_012617407.1	XP_063120354.1
OG0002627	XP_012621545.1	NP_001020817.1, XP_006231380.1
OG0002628	XP_012624602.1	NP_001028236.1, XP_038964996.1
OG0002629	XP_012624718.1	XP_006231592.1, NP_001007149.2
OG0002630	XP_012594592.1	NP_001100918.1
OG0002631	XP_012632238.1	NP_955419.1, XP_006241571.1
OG0002632	XP_012592859.1	XP_063129062.1, NP_062055.1
OG0002633	XP_012638503.1	XP_006243407.1, NP_037308.1
OG0002634	XP_012614160.1, XP_012614161.1	NP_001400472.1
OG0002635	XP_012590844.1	NP_001101620.1, XP_006243179.1
OG0002636	XP_012636332.1	NP_001413919.1, XP_038944709.1
OG0002637	XP_020140193.1, XP_012597085.2, XP_020140141.1	NP_001358896.1, XP_017454919.1
OG0002638	XP_012635983.1	XP_006248466.1, NP_001414377.1
OG0002639	XP_012635868.1, XP_012635869.1, XP_012635867.1, XP_012635870.1	NP_001014252.1, XP_006248517.1
OG0002640	XP_012646590.1, XP_012646593.1, XP_012646591.1	NP_001008770.1, XP_063137823.1
OG0002641	XP_012629596.1, XP_012629595.1, XP_012629597.1	NP_942061.2
OG0002642	XP_012592466.1, XP_012592465.1, XP_012592467.1	NP_620432.2, XP_038957607.1
OG0002643	XP_012623853.1	NP_001011923.1, XP_038951416.1
OG0002644	XP_012597438.1, XP_012597437.1, XP_012597440.1	XP_003751758.1, NP_001414128.1
OG0002645	XP_012600687.1	NP_001414369.1, XP_006234278.1
OG0002646	XP_012637360.1	NP_001127976.1, XP_006234375.1
OG0002647	XP_012608871.1, XP_012608873.1, XP_012608868.1, XP_012608869.1, XP_020143953.1, XP_012608872.1, XP_020143954.1, XP_020143952.1	NP_001257967.1, XP_038960342.1
OG0002648	XP_012594507.1	XP_006245018.1, NP_001012003.1
OG0002649	XP_012594510.1, XP_012594512.1, XP_012594515.1, XP_012594513.1, XP_012594511.1	XP_006245020.1
OG0002650	XP_020143867.1, XP_020140464.1	NP_598244.2, XP_008765294.1
OG0002651	XP_012595769.1	XP_038940565.1, XP_063124230.1, XP_006245350.1, XP_063124229.1
OG0002653	XP_020139932.1	XP_038946574.1, NP_001005871.1
OG0002654	XP_012627863.1	NP_001381099.1, XP_006250017.1, NP_001381100.1, NP_001381101.1
OG0002655	XP_012610814.1	NP_446093.1
OG0002656	XP_012610816.1, XP_012610815.1, XP_012610817.1	XP_063136090.1, NP_001171153.1
OG0002657	XP_012610951.1, XP_012610952.1	NP_001100406.1, XP_006257243.1
OG0002658	XP_012643375.1, XP_012643349.1	NP_001070903.1, NP_001032442.1, XP_063134716.1
OG0002659	XP_012594040.1, XP_012595905.1	NP_001395770.1, NP_001101411.1
OG0002660	XP_012640047.1	NP_001094012.1
OG0002661	XP_012637255.1	XP_038955687.1, NP_001178515.1
OG0002662	XP_012603875.1	NP_037329.1, XP_038955432.1
OG0002663	XP_012604088.1, XP_012591685.1, XP_012591687.1, XP_012591686.1	XP_006257176.1, NP_001387859.1
OG0002664	XP_012591690.1	NP_001100415.1, XP_063135965.1
OG0002665	XP_012605884.1	NP_001178664.1, XP_038955603.1
OG0002666	XP_012613640.1	XP_008771823.1, NP_954534.1
OG0002667	XP_012623950.1	NP_001128318.1
OG0002667	XP_012591426.1	NP_001102562.1
OG0002668	XP_012629481.1, XP_012629476.1, XP_012629477.1, XP_012629480.1, XP_012629478.1	XP_006236653.1, NP_062042.1
OG0002669	XP_012627705.2, XP_012627704.1, XP_012627706.1	XP_017447852.2, XP_038961983.1
OG0002670	XP_012614458.1	NP_001414447.1
OG0002671	XP_012643115.1	NP_113786.3, XP_006239208.1
OG0002676	XP_012641760.1	XP_063119311.1, NP_001009665.1
OG0002677	XP_012606869.1, XP_012606870.1, XP_012606868.1	NP_476492.2, XP_063133813.1
OG0002678	XP_012605027.1, XP_012605026.1	NP_062038.2, XP_063121073.1
OG0002679	XP_012597436.1	NP_671694.1
OG0002679	XP_012597433.1	NP_001099208.1
OG0002680	XP_012601684.1	XP_063122722.1
OG0002681	XP_012621139.1	NP_001163814.1
OG0002682	XP_012627040.1	XP_063131118.1, NP_579841.2
OG0002683	XP_012598284.1	NP_113700.2
OG0002684	XP_012611419.1	NP_001041330.1, XP_038946578.1, NP_001041338.2, XP_017454266.1, XP_063128298.1, NP_001316828.2
OG0002685	XP_012640272.1, XP_012640273.1	XP_017457568.1, NP_001091051.1
OG0002686	XP_020144183.1	XP_006239767.1, NP_001178698.1
OG0002687	XP_020140118.1	NP_001019430.2, XP_063138049.1
OG0002688	XP_020144689.1	NP_112274.1, XP_006229469.1
OG0002689	XP_020143179.1	NP_113838.1
OG0002690	XP_012609732.1, XP_012609733.1	NP_037316.3, XP_038958178.1
OG0002691	XP_012609731.1	NP_036990.1
OG0002692	XP_012625197.1	XP_038948894.1, NP_596902.1
OG0002693	XP_012619039.1	XP_006236664.1, NP_113832.1
OG0002694	XP_012605223.1	NP_001178597.1
OG0002695	XP_020139112.1, XP_012607122.1, XP_020139113.1, XP_020139114.1, XP_012592172.1	NP_001290545.1
OG0002696	XP_012614067.1, XP_012638022.1	NP_071955.1
OG0002697	XP_012606058.1, XP_012606061.1, XP_012606059.1, XP_012606053.1, XP_012606057.1, XP_012606060.1, XP_012606056.1	NP_065418.3
OG0002698	XP_012618620.1	NP_001273867.1, NP_001013115.1
OG0002699	XP_012611812.1	NP_001101729.1, XP_063136174.1
OG0002700	XP_012624037.1, XP_012624036.1	NP_037244.1, XP_006250300.1
OG0002701	XP_012613156.1, XP_012613157.1, XP_012613158.1, XP_012613159.1	XP_038958447.1, NP_714944.1
OG0002702	XP_020136158.1	XP_038956260.1
OG0002703	XP_012603891.1, XP_012603893.1	XP_008759681.1, NP_058997.1
OG0002704	XP_012618509.1	XP_017450522.1, NP_001008805.1
OG0002705	XP_012632311.1	NP_001100233.1
OG0002706	XP_020142184.1	NP_072160.2, XP_008758034.2
OG0002707	XP_012602123.1	NP_001000567.1
OG0002710	XP_020145273.1	NP_001000975.1
OG0002711	XP_012641955.1	NP_001001287.1, NP_001001281.1, XP_038941007.1, NP_001388431.1
OG0002712	XP_012608336.1	XP_038949982.1, NP_001001015.1
OG0002713	XP_012610177.1	NP_001000487.1, XP_017450284.1, NP_001000073.1, NP_001000076.1, NP_001000057.1, XP_017453530.1, NP_001000705.1
OG0002714	XP_012624136.1	NP_741991.3
OG0002715	XP_012632917.1	XP_063138905.1, NP_001138331.2
OG0002717	XP_012629941.1	NP_001094054.1, XP_038946774.1
OG0002718	XP_012600938.1, XP_012600939.1	NP_445911.1, XP_006254992.1
OG0002719	XP_012601657.1	NP_001008300.1, XP_006254956.1
OG0002720	XP_012592083.1, XP_012592082.1, XP_012592084.1	XP_017445133.1, NP_068641.2
OG0002721	XP_012598215.1	NP_001263691.1
OG0002722	XP_012632274.1	NP_001414406.1, XP_038955797.1
OG0002723	XP_012593153.1	XP_038940342.1, NP_001014187.1
OG0002724	XP_012626291.1	XP_063143047.1
OG0002725	XP_012609750.1	NP_001020039.1, XP_063140249.1
OG0002726	XP_012609900.1	NP_001017514.1, XP_038943426.1
OG0002727	XP_012616884.1, XP_012616883.1, XP_012616885.1, XP_012616886.1, XP_012616887.1	XP_006228457.1, NP_001099698.1
OG0002728	XP_012616731.1	NP_001257630.1, NP_001257631.1, XP_006228531.1, NP_075410.2, NP_001257632.1
OG0002729	XP_012613980.1	NP_446106.1, XP_006228427.1
OG0002730	XP_012630089.1	XP_063122552.1, XP_038950006.1, XP_038961985.1
OG0002731	XP_012609217.1	NP_001026813.1, XP_063132319.1
OG0002732	XP_012604514.1, XP_012604513.1, XP_012604512.1	NP_001387844.1
OG0002733	XP_012643126.1	NP_001013111.1
OG0002734	XP_012643134.1, XP_020136740.1, XP_012643133.1	NP_001030121.1, XP_006239324.1
OG0002735	XP_020137176.1, XP_020137177.1, XP_020137175.1	XP_008762495.1
OG0002736	XP_020145764.1	XP_063137517.1, NP_001414001.1, NP_001414002.1
OG0002737	XP_012636942.2	XP_006231791.1, NP_001102938.1
OG0002738	XP_012639257.1	XP_038957600.1, NP_612525.1
OG0002739	XP_012644343.1, XP_012644340.1, XP_012644341.1, XP_012644342.1	XP_008757783.1, NP_445980.2
OG0002740	XP_012592815.1, XP_012592817.1, XP_012592814.1, XP_012592816.1	XP_006251308.1, NP_001178609.1, NP_001399442.1, NP_001399441.1
OG0002741	XP_012621530.1	XP_038948455.1, NP_001414394.1
OG0002742	XP_012638845.1	NP_954545.1
OG0002743	XP_020137413.1, XP_020137412.1, XP_012638844.1	NP_071623.2, XP_063129644.1
OG0002744	XP_012618266.1	NP_001291670.1, XP_017457017.1
OG0002745	XP_012618100.1, XP_012618101.1, XP_012618099.1	XP_038954535.1, NP_001120924.1
OG0002746	XP_012618144.1	XP_038955084.1, NP_612539.2, XP_017457025.1
OG0002747	XP_012596338.1	XP_008765881.1, NP_569099.1
OG0002748	XP_012633232.1	NP_788263.2, XP_008758969.2
OG0002749	XP_012640048.2	NP_001099205.1, XP_038942734.1
OG0002750	XP_012628978.1	NP_446226.3, XP_038936630.1
OG0002751	XP_020142279.1	NP_001101614.1, XP_006243068.1
OG0002752	XP_012629361.1	XP_006240547.1, NP_067734.1
OG0002753	XP_012603354.1	NP_001013879.1, XP_063124683.1
OG0002754	XP_012622559.1	NP_001101418.1, XP_038965839.1
OG0002755	XP_012646891.1	XP_038966422.1, NP_001102448.1
OG0002756	XP_012627990.1	NP_001386043.1, NP_001386042.1
OG0002757	XP_012602451.2	NP_001020229.2
OG0002758	XP_012614265.1, XP_020136948.1, XP_020136952.1, XP_020136949.1, XP_012614751.1, XP_020136951.1, XP_020136950.1	XP_221997.5
OG0002759	XP_012602989.1	XP_063138300.1, NP_958822.1
OG0002760	XP_012614728.1, XP_012614724.1, XP_012614725.1, XP_012614727.1, XP_012614726.1	NP_112259.1, NP_001382504.1, XP_038945218.1
OG0002761	XP_020137280.1	NP_001020204.1, XP_063127647.1
OG0002762	XP_012619621.1	NP_001414023.1
OG0002763	XP_012591546.1, XP_020137093.1	XP_063125336.1, NP_001013143.1
OG0002764	XP_012640727.1, XP_012640734.1	XP_006245822.1, NP_112265.1
OG0002765	XP_012599044.1	XP_017453011.1, NP_071799.2
OG0002766	XP_012598910.1, XP_012598906.1, XP_012598908.1, XP_012598907.1	NP_001414055.1, XP_038943020.1
OG0002767	XP_012607081.1	NP_001020189.1, XP_006233185.1
