Orthogroup	Microcebus_murinus	Loxodonta_africana
OG0002548	XP_020146136.1	XP_003415546.1
OG0002549	XP_012620728.1, XP_012620727.1, XP_012620731.1, XP_012620734.1, XP_012620736.1, XP_012620730.1, XP_012620735.1, XP_012620737.1, XP_012620733.1, XP_012620732.1	XP_023410275.1
OG0002550	XP_012605804.1	XP_003405265.1, XP_010597279.1
OG0002551	XP_012630786.1, XP_012630787.1, XP_012630790.1, XP_012630789.1	XP_023395468.1
OG0002552	XP_012628164.1, XP_012628163.1	XP_003405349.1
OG0002553	XP_012628167.1, XP_012628169.1, XP_012628170.1, XP_012628166.1	XP_003405685.1
OG0002554	XP_012639217.1	XP_003417594.1
OG0002555	XP_012639060.1, XP_012639059.1	XP_023414261.1, XP_003418544.1
OG0002556	XP_012641640.1	XP_010588378.1
OG0002557	XP_012618388.1	XP_003412458.1
OG0002558	XP_012595280.1	XP_010590783.1
OG0002559	XP_012595248.1, XP_012595246.1, XP_012595249.1, XP_012595247.1	XP_023406913.1, XP_003412467.1
OG0002560	XP_020140981.1, XP_020144270.1	XP_023406172.1, XP_003411921.2
OG0002561	XP_012643738.1, XP_012643739.1, XP_012643737.1, XP_012643740.1	XP_023406312.1, XP_023406311.1, XP_023406313.1
OG0002562	XP_012643949.1, XP_012643948.1, XP_012643950.1	XP_023411066.1, XP_010594184.1, XP_003416137.1, XP_010594182.1, XP_023411065.1, XP_010594181.1, XP_010594185.1
OG0002563	XP_012629760.1	XP_003420454.2
OG0002564	XP_012644064.2	XP_023408567.1
OG0002565	XP_012609565.1	XP_003409557.1
OG0002566	XP_012622900.1	XP_010587958.1
OG0002567	XP_012622969.1, XP_012622968.1, XP_020139666.1	XP_003409530.1
OG0002568	XP_012633802.1	XP_023415535.1
OG0002569	XP_012607731.1	XP_003406941.1
OG0002570	XP_012612868.1, XP_012612867.1, XP_012612866.1	XP_010597293.1
OG0002571	XP_012633619.1	XP_003419626.1
OG0002572	XP_012633641.1	XP_003419687.1
OG0002573	XP_012633701.1, XP_012633700.1	XP_003419527.1, XP_010597415.1
OG0002574	XP_012606953.1, XP_012606948.1, XP_012606939.1	XP_003409827.1
OG0002575	XP_012644819.1	XP_003409873.1
OG0002576	XP_020139377.1	XP_023407628.1
OG0002578	XP_012601292.1	XP_023397561.1
OG0002579	XP_012601162.1	XP_010596457.1, XP_023397548.1
OG0002580	XP_012600499.1, XP_012600501.1, XP_012600502.1, XP_012600500.1	XP_003420073.1
OG0002581	XP_012639406.1	XP_010590553.1
OG0002583	XP_012638136.1	XP_003412663.1
OG0002584	XP_012625192.1	XP_003409661.1
OG0002585	XP_012594676.1, XP_012594675.1	XP_010590100.2
OG0002586	XP_012600991.1, XP_012600989.1, XP_012600986.1, XP_012600992.1, XP_012600988.1, XP_012600987.1, XP_012600990.1	XP_003411661.1
OG0002587	XP_020137511.1	XP_010593825.1
OG0002588	XP_020144479.1	XP_010598772.1
OG0002589	XP_012638286.1	XP_023411197.1
OG0002590	XP_012638294.1, XP_012638296.1, XP_012638295.1	XP_003416208.1
OG0002591	XP_020137335.1	XP_023405786.1
OG0002592	XP_012610524.1	XP_023405918.1
OG0002593	XP_020137336.1	XP_023405919.1
OG0002594	XP_012610120.1	XP_023405695.1
OG0002595	XP_020137496.1	XP_003411566.2, XP_023405941.1
OG0002596	XP_012636280.1, XP_020137484.1	XP_003411774.1
OG0002598	XP_012625947.1, XP_012625946.1, XP_012625945.1, XP_012625944.1	XP_003419961.1
OG0002599	XP_012628368.1, XP_012628370.1, XP_012628369.1	XP_023396580.1
OG0002600	XP_012628529.1	XP_003421832.2
OG0002601	XP_012628436.1	XP_003421808.1
OG0002602	XP_012603587.1	XP_023402990.1
OG0002603	XP_012634133.1	XP_003414048.2
OG0002606	XP_012594737.1, XP_020138288.1, XP_020138286.1, XP_012594740.1, XP_020138285.1, XP_012594741.1, XP_020138287.1, XP_012594739.1, XP_012594738.1	XP_003412525.1
OG0002607	XP_012637696.1	XP_023395012.1
OG0002608	XP_020138554.1, XP_012637791.1, XP_020138552.1, XP_020138553.1	XP_023395069.1
OG0002609	XP_012611966.1	XP_003419406.1
OG0002610	XP_012612129.1	XP_003419143.2
OG0002611	XP_012619246.1	XP_010597073.1
OG0002612	XP_012619287.1	XP_010597061.1
OG0002613	XP_012619314.1	XP_010597056.1
OG0002614	XP_012619415.1, XP_012619414.1	XP_003419103.1
OG0002615	XP_012619439.1	XP_023414984.1
OG0002617	XP_012604764.1, XP_012604763.1	XP_023415103.1
OG0002618	XP_012632071.1	XP_023415152.1
OG0002619	XP_012632162.1, XP_012632163.1, XP_012632164.1	XP_023415171.1, XP_023415168.1, XP_023415169.1, XP_023415170.1
OG0002620	XP_012603191.1	XP_003410803.1
OG0002621	XP_012638578.1, XP_012638577.1	XP_003410826.1
OG0002622	XP_020138666.1	XP_003405423.1
OG0002623	XP_012644152.1, XP_012644153.1, XP_012644151.1	XP_023411114.1
OG0002624	XP_012601947.1, XP_012602009.1	XP_023411239.1, XP_010594241.1, XP_003405773.1, XP_010594235.1
OG0002626	XP_012618313.1	XP_023412335.1
OG0002627	XP_012621545.1	XP_003409279.1
OG0002628	XP_012624602.1	XP_003409020.1
OG0002629	XP_012624718.1	XP_003409217.1
OG0002630	XP_012594592.1	XP_010587263.1, XP_003409151.1, XP_010587264.1, XP_023402443.1, XP_010587262.1, XP_023402442.1
OG0002631	XP_012632238.1	XP_003408451.1
OG0002632	XP_012592859.1	XP_010589648.1
OG0002633	XP_012638503.1	XP_003418375.1
OG0002634	XP_012614160.1, XP_012614161.1	XP_003418407.1
OG0002635	XP_012590844.1	XP_003413879.1
OG0002636	XP_012636332.1	XP_023404225.1
OG0002637	XP_020140193.1, XP_012597085.2	XP_023408990.1
OG0002638	XP_012635983.1	XP_023407253.1
OG0002639	XP_012635868.1, XP_012635869.1, XP_012635867.1, XP_012635870.1	XP_010591199.1
OG0002640	XP_012646590.1, XP_012646593.1, XP_012646591.1	XP_003408138.1
OG0002641	XP_012629596.1, XP_012629595.1, XP_012629597.1	XP_003422820.1
OG0002642	XP_012592466.1, XP_012592465.1, XP_012592467.1	XP_010591277.1
OG0002643	XP_012623853.1	XP_010595851.1
OG0002644	XP_012597438.1, XP_012597437.1, XP_012597440.1	XP_010598983.1
OG0002645	XP_012600687.1	XP_023398695.1
OG0002646	XP_012637360.1	XP_023398630.1
OG0002647	XP_012608871.1, XP_012608873.1, XP_012608868.1, XP_012608869.1, XP_020143953.1, XP_012608872.1, XP_020143954.1, XP_020143952.1	XP_003406253.1
OG0002648	XP_012594507.1	XP_010600826.1
OG0002649	XP_012594510.1, XP_012594512.1, XP_012594515.1, XP_012594513.1, XP_012594511.1	XP_023398265.1
OG0002650	XP_020143867.1, XP_020140464.1	XP_010600781.2
OG0002651	XP_012595769.1	XP_023397396.1
OG0002652	XP_012604140.1, XP_012604147.1	XP_003415005.1
OG0002653	XP_020139932.1	XP_010588531.1
OG0002654	XP_012627863.1	XP_023404934.1
OG0002655	XP_012610814.1	XP_023407158.1
OG0002656	XP_012610816.1, XP_012610815.1, XP_012610817.1	XP_010591005.1
OG0002657	XP_012610951.1, XP_012610952.1	XP_003412810.1
OG0002659	XP_012594040.1, XP_012595905.1	XP_003414888.1, XP_003414804.1
OG0002660	XP_012640047.1	XP_003415995.1
OG0002661	XP_012637255.1	XP_023413733.1
OG0002662	XP_012603875.1	XP_010598220.1
OG0002663	XP_012604088.1, XP_012591685.1, XP_012591687.1, XP_012591686.1	XP_003412731.2
OG0002664	XP_012591690.1	XP_003412784.1, XP_010591032.1, XP_023407220.1
OG0002665	XP_012605884.1	XP_023409598.1
OG0002666	XP_012613640.1	XP_023396514.1
OG0002667	XP_012623950.1, XP_012591426.1	XP_003407109.1
OG0002668	XP_012629481.1, XP_012629476.1, XP_012629477.1, XP_012629480.1, XP_012629478.1	XP_023409013.1, XP_023409014.1, XP_023409012.1
OG0002669	XP_012627705.2, XP_012627704.1, XP_012627706.1	XP_010586299.1, XP_010586300.1
OG0002670	XP_012614458.1	XP_003422552.2
OG0002671	XP_012643115.1	XP_003413170.1, XP_023407679.1, XP_023407677.1
OG0002676	XP_012641760.1	XP_010586758.1
OG0002677	XP_012606869.1, XP_012606870.1, XP_012606868.1	XP_003416401.1
OG0002678	XP_012605027.1, XP_012605026.1	XP_010593769.1
OG0002679	XP_012597436.1, XP_012597433.1	XP_023396027.1
OG0002680	XP_012601684.1	XP_003406426.1
OG0002682	XP_012627040.1	XP_010588045.1
OG0002683	XP_012598284.1	XP_003417444.1
OG0002684	XP_012611419.1	XP_010594717.1
OG0002685	XP_012640272.1, XP_012640273.1	XP_023410993.1
OG0002686	XP_020144183.1	XP_023411086.1
OG0002687	XP_020140118.1	XP_003410443.2
OG0002688	XP_020144689.1	XP_010592130.1
OG0002689	XP_020143179.1	XP_023410503.1
OG0002690	XP_012609732.1, XP_012609733.1	XP_010584815.1
OG0002691	XP_012609731.1	XP_010584816.1
OG0002692	XP_012625197.1	XP_010587690.2
OG0002693	XP_012619039.1	XP_003414124.1
OG0002694	XP_012605223.1	XP_010594704.1
OG0002695	XP_020139112.1, XP_012607122.1, XP_020139113.1, XP_020139114.1, XP_012592172.1	XP_003409589.1
OG0002696	XP_012614067.1, XP_012638022.1	XP_010596376.1
OG0002697	XP_012606058.1, XP_012606061.1, XP_012606059.1, XP_012606053.1, XP_012606057.1, XP_012606060.1, XP_012606056.1	XP_023410126.1, XP_023410125.1
OG0002698	XP_012618620.1	XP_010590189.2, NP_001272954.1, XP_023406137.1
OG0002699	XP_012611812.1	XP_010598347.1, XP_010598346.1
OG0002700	XP_012624037.1, XP_012624036.1	XP_003415061.1
OG0002701	XP_012613156.1, XP_012613157.1, XP_012613158.1, XP_012613159.1	XP_010597287.1, XP_010597288.1
OG0002703	XP_012603891.1, XP_012603893.1	XP_023403192.1
OG0002704	XP_012618498.1	XP_003405087.1
OG0002704	XP_012618509.1	XP_010595193.2
OG0002705	XP_012632311.1	XP_010601065.1, XP_010601062.1
OG0002706	XP_020142184.1	XP_023394776.1
OG0002707	XP_012602123.1	XP_003422694.1, XP_010600682.1
OG0002709	XP_012645291.1	XP_010596244.1
OG0002709	XP_012645292.1	XP_003418322.1, XP_003418258.1, XP_003418257.1
OG0002710	XP_020145273.1	XP_010598439.2
OG0002711	XP_012641955.1	XP_010599234.1
OG0002712	XP_012608336.1	XP_010601033.1, XP_003418709.1
OG0002713	XP_012610177.1	XP_003405548.1
OG0002715	XP_012632917.1	XP_023414276.1
OG0002717	XP_012629941.1	XP_023399515.1, XP_003406318.1
OG0002718	XP_012600938.1, XP_012600939.1	XP_023399544.1, XP_003406761.1
OG0002719	XP_012601657.1	XP_010585176.1, XP_010585178.1, XP_010585177.1, XP_023399779.1, XP_003406442.1
OG0002720	XP_012592083.1, XP_012592082.1, XP_012592084.1	XP_003404065.1
OG0002721	XP_012598215.1	XP_003404023.1
OG0002722	XP_012632274.1	XP_003419262.1
OG0002723	XP_012593153.1	XP_023395194.1
OG0002724	XP_012626291.1	XP_003406905.1
OG0002725	XP_012609750.1	XP_023399009.1
OG0002726	XP_012609900.1	XP_003406572.1
OG0002727	XP_012616884.1, XP_012616883.1, XP_012616885.1, XP_012616886.1, XP_012616887.1	XP_003406504.1
OG0002728	XP_012616731.1	XP_023398908.1
OG0002729	XP_012613980.1	XP_003406448.1
OG0002730	XP_012630089.1	XP_003420822.1
OG0002731	XP_012609217.1	XP_023404658.1
OG0002732	XP_012604514.1, XP_012604513.1, XP_012604512.1	XP_023405365.1
OG0002733	XP_012643126.1	XP_023407748.1
OG0002734	XP_012643134.1, XP_020136740.1, XP_012643133.1	XP_023407755.1
OG0002735	XP_020137176.1, XP_020137177.1, XP_020137175.1	XP_003413499.1
OG0002736	XP_020145764.1	XP_003405036.1
OG0002737	XP_012636942.2	XP_003405027.1
OG0002738	XP_012639257.1	XP_010586521.1
OG0002739	XP_012644343.1, XP_012644340.1, XP_012644341.1, XP_012644342.1	XP_023408800.1
OG0002740	XP_012592815.1, XP_012592817.1, XP_012592814.1, XP_012592816.1	XP_010589757.1
OG0002741	XP_012621530.1	XP_023405605.1
OG0002742	XP_012638845.1	XP_010589657.1
OG0002743	XP_020137413.1, XP_020137412.1, XP_012638844.1	XP_010589748.1
OG0002744	XP_012618266.1	XP_023402969.1
OG0002745	XP_012618100.1, XP_012618101.1, XP_012618099.1	XP_023402794.1, XP_003409356.1
OG0002746	XP_012618144.1	XP_003409341.1
OG0002747	XP_012596338.1	XP_003404659.1
OG0002748	XP_012633232.1	XP_003407946.1
OG0002749	XP_012640048.2	XP_023413125.1
OG0002751	XP_020142279.1	XP_023413915.1
OG0002752	XP_012629361.1	XP_023402275.1
OG0002753	XP_012603354.1	XP_003420705.1
OG0002754	XP_012622559.1	XP_003411094.1
OG0002755	XP_012646891.1	XP_023408264.1
OG0002756	XP_012627990.1	XP_003418145.1
OG0002757	XP_012602451.2	XP_023398362.1
OG0002758	XP_012614265.1, XP_020136948.1, XP_020136952.1, XP_020136949.1, XP_012614751.1, XP_020136951.1, XP_020136950.1	XP_023397493.1
OG0002759	XP_012602989.1	XP_003411158.1
OG0002760	XP_012614728.1, XP_012614724.1, XP_012614725.1, XP_012614727.1, XP_012614726.1	XP_010594527.1
OG0002761	XP_020137280.1	XP_023411669.1
OG0002762	XP_012619621.1	XP_023414782.1
OG0002763	XP_012591546.1, XP_020137093.1	XP_003417759.1
OG0002764	XP_012640727.1, XP_012640734.1	XP_023413049.1
OG0002765	XP_012599044.1	XP_010595711.1, XP_010595712.1, XP_010595713.1
OG0002766	XP_012598910.1, XP_012598906.1, XP_012598908.1, XP_012598907.1	XP_023413074.1
OG0002767	XP_012607081.1	XP_003409618.1
OG0002768	XP_012607125.1, XP_012607124.1	XP_010587974.1
OG0002769	XP_012607160.1	XP_003409595.1
OG0002770	XP_012591545.1	XP_003418931.1
OG0002771	XP_012599791.1, XP_012599793.1, XP_012599792.1	XP_003410279.2
OG0002772	XP_012599906.1, XP_012599905.1	XP_010588495.1, XP_003410251.1
OG0002773	XP_012639357.1	XP_023410038.1
OG0002774	XP_012623410.1	XP_003415197.1
OG0002775	XP_012623315.1	XP_003415167.1
OG0002776	XP_012623388.1	XP_023409788.1
OG0002777	XP_012597586.1, XP_012597587.1	XP_023399653.1, XP_023399654.1, XP_010585071.2, XP_010585073.1
OG0002778	XP_012601441.1	XP_003406409.1, XP_023399714.1
OG0002779	XP_020141434.1	XP_003408755.1
OG0002780	XP_012622523.1, XP_012622526.1, XP_012622524.1, XP_012616454.1, XP_012622525.1, XP_012622522.1	XP_023401893.1
OG0002781	XP_012613395.1	XP_010586954.1
OG0002782	XP_012633150.1	XP_023402007.1
OG0002783	XP_012598323.1, XP_012598341.1, XP_012598334.1	XP_003408836.1
OG0002784	XP_012598278.1	XP_010587069.2
OG0002785	XP_012629420.1	XP_003408865.1
OG0002786	XP_012610821.1	XP_003408901.1, XP_023402305.1, XP_023402306.1
OG0002787	XP_012607177.1, XP_012607178.1	XP_023402426.1
OG0002788	XP_012601302.2	XP_003420594.1
OG0002789	XP_012602798.1	XP_003417255.1
OG0002791	XP_012596052.1	XP_010594749.2
OG0002792	XP_012596158.1	XP_003417035.1
OG0002793	XP_012627319.1, XP_012627314.1, XP_012627317.1, XP_012627315.1, XP_012627318.1	XP_003407793.1
OG0002794	XP_012634221.1, XP_012634218.1, XP_012634216.1, XP_012634219.1, XP_012634220.1, XP_020136805.1	XP_023412504.1
OG0002795	XP_012612550.1	XP_003408170.1, XP_003407160.1
OG0002796	XP_012608467.1	XP_023413036.1
OG0002797	XP_012609597.1	XP_010596405.1
OG0002798	XP_012597155.1	XP_010597608.1
OG0002799	XP_012597112.1	XP_023415748.1
OG0002800	XP_012642571.1, XP_012642572.1	XP_010597639.2, XP_023415766.1
OG0002801	XP_012603273.1	XP_023408340.1
OG0002802	XP_012612308.1, XP_012612298.1	XP_003417638.1
OG0002803	XP_012620299.1, XP_012620300.1	XP_010595544.2
OG0002804	XP_012605589.1	XP_023408482.1
OG0002805	XP_012605588.1, XP_012605587.1	XP_023408518.1
OG0002806	XP_020137973.1	XP_010589244.1
OG0002807	XP_012625468.1	XP_003407342.1
OG0002808	XP_012592266.1	XP_003407868.1
OG0002809	XP_012636205.1	XP_010585346.1
OG0002810	XP_012646608.1	XP_023400005.1
OG0002811	XP_012624604.1	XP_023399910.1
OG0002812	XP_012594275.1	XP_003404375.1
OG0002813	XP_012608713.1, XP_012608712.1	XP_023399044.1
OG0002814	XP_012644631.2	XP_003407314.1, XP_023400372.1
OG0002815	XP_012591340.1, XP_012591342.1, XP_012591343.1, XP_012591341.1	XP_003406974.1
OG0002817	XP_020146083.1	XP_010593501.1, XP_010593500.1
OG0002818	XP_012631643.1	XP_003411137.1
OG0002819	XP_012631626.1, XP_012631624.1	XP_003411232.1
OG0002820	XP_012639290.1	XP_010588873.2
OG0002821	XP_012644259.1, XP_020138275.1, XP_012644258.1, XP_012644257.1, XP_012644255.1, XP_012644261.1	XP_023406145.1
OG0002822	XP_012623485.1, XP_020137084.1	XP_023394916.1
OG0002823	XP_020138179.1	XP_003412561.1
OG0002824	XP_012618623.1	NP_001272955.1
OG0002825	XP_020144266.1, XP_020144268.1, XP_020144261.1, XP_020144263.1, XP_020144262.1, XP_020144264.1, XP_020144265.1, XP_020144267.1	XP_003411923.2
OG0002826	XP_012643611.2, XP_020144231.1, XP_020145860.1	XP_010590276.1
OG0002827	XP_012643856.1	XP_023411036.1
OG0002828	XP_012633880.1, XP_012633877.1, XP_012633878.1, XP_012633879.1	XP_023403258.1
OG0002829	XP_012607084.1, XP_012607085.1	XP_023403234.1, XP_010587871.1
OG0002830	XP_012643679.1, XP_020144228.1, XP_012643681.1, XP_012643680.1, XP_012643678.1	XP_003411981.1
OG0002831	XP_012631046.1	XP_010585451.1
OG0002832	XP_012602157.2, XP_012602151.2	XP_003423419.2, XP_003423211.2, XP_023398250.1, XP_003423581.1
OG0002833	XP_012613165.1, XP_020142055.1	XP_023415291.1, XP_003419435.1, XP_023415292.1, XP_023415293.1
OG0002834	XP_012633359.1	XP_023415413.1
OG0002835	XP_012625863.1	XP_010588167.1, XP_010588166.1
OG0002836	XP_020140948.1	XP_023403807.1
OG0002838	XP_012626603.1, XP_012626602.1, XP_012626605.1, XP_012626604.1	XP_010588142.1
OG0002839	XP_012626593.1	XP_023403528.1
OG0002840	XP_012596913.1, XP_012596912.1, XP_012596911.1, XP_012596910.1	XP_010591500.1, XP_003413560.1
OG0002841	XP_020139374.1	XP_003413314.1
OG0002842	XP_012646142.1	XP_003413151.1
OG0002843	XP_012645822.2	XP_023396236.1
OG0002844	XP_012593991.1	XP_023396706.1
OG0002845	XP_012624840.1, XP_012624839.1	XP_023397028.1
OG0002846	XP_020139632.1	XP_003422575.1
OG0002847	XP_012591564.1	XP_010596481.1, XP_010596480.1, XP_023414282.1, XP_010596479.1
OG0002848	XP_012599981.1, XP_012599983.1, XP_012599982.1	XP_023414277.1
OG0002849	XP_012612187.1	XP_010590489.1
OG0002850	XP_012641729.1	XP_010593848.1
OG0002851	XP_012622416.1	XP_003415787.1
OG0002852	XP_012610661.1	XP_023405822.1, XP_023405821.1, XP_010589854.1, XP_023405823.1, XP_023405820.1
OG0002853	XP_012610671.1	XP_023405852.1
OG0002854	XP_012628380.1	XP_023396600.1, XP_003421815.1
OG0002855	XP_012628494.1	XP_003421822.2
OG0002856	XP_012626111.2, XP_020135841.1, XP_012626110.2, XP_020135734.1	XP_003415858.1
OG0002857	XP_012604931.1, XP_012604930.1	XP_023413593.1
OG0002858	XP_012604844.1	XP_010595942.1
OG0002859	XP_012611158.1	XP_023413485.1
OG0002860	XP_020138543.1	XP_023395055.1
OG0002861	XP_012607696.1	XP_010597256.1
OG0002862	XP_012612044.1	XP_010597221.1, XP_003419414.1, XP_023415199.1
OG0002863	XP_012619268.1	XP_003419208.1
OG0002864	XP_020138507.1, XP_012619377.1	XP_003419110.1
OG0002865	XP_012618296.1	XP_003409075.1
OG0002866	XP_012602516.1	XP_023404862.1
OG0002868	XP_012616102.1	XP_023404812.1
OG0002869	XP_012615962.1	XP_010589142.1
OG0002870	XP_020143064.1	XP_023411498.1
OG0002871	XP_012622672.1	XP_010587617.1
OG0002872	XP_012623198.1	XP_023402612.1
OG0002873	XP_012625258.1	XP_023402553.1
OG0002874	XP_012625348.1	XP_003409199.1
OG0002875	XP_012626522.1	XP_003409172.1
OG0002876	XP_012602443.2, XP_012602442.2	XP_010597574.1
OG0002877	XP_012595464.1, XP_012595465.1, XP_012595466.1, XP_012595467.1	XP_003408414.1, XP_010586677.1
OG0002878	XP_020141673.1, XP_012590932.1, XP_012590933.1	XP_010592052.1, XP_023408678.1
OG0002879	XP_012621882.1	XP_010596648.1, XP_010596647.1
OG0002880	XP_020141575.1, XP_012622064.1, XP_012622066.1	XP_003418736.1
OG0002881	XP_012622076.1, XP_012622078.1, XP_012622077.1	XP_010596688.1
OG0002882	XP_012603677.1	XP_010592046.2
OG0002883	XP_012638384.1, XP_020140353.1	XP_003420697.1, XP_003420698.1
OG0002884	XP_020140145.1	XP_023409006.1
OG0002885	XP_020140861.1	XP_010592415.2
OG0002886	XP_020140758.1	XP_003421794.1
OG0002887	XP_012635114.1	XP_023414832.1, XP_010596916.1, XP_010596917.1
OG0002888	XP_012635785.1, XP_012635786.1	XP_003412988.1
OG0002889	XP_012635773.1	XP_003412984.1
OG0002890	XP_020141944.1	XP_023411259.1, XP_003416279.1
OG0002891	XP_012607566.2, XP_012607568.2, XP_012607565.2	XP_010600571.1, XP_010600569.1, XP_003406143.1
OG0002892	XP_012616522.1	XP_010599951.1
OG0002893	XP_012615414.1, XP_012615426.1, XP_012615407.1	XP_003410310.1
OG0002894	XP_012590990.1	XP_003410995.1
OG0002895	XP_012624115.1, XP_012624116.1	XP_003415075.1
OG0002896	XP_012624096.1	XP_010593218.1
OG0002897	XP_012624071.1	XP_023409989.1
OG0002898	XP_012610779.1, XP_012610780.1, XP_012610782.1, XP_012610781.1	XP_003412756.1
OG0002899	XP_012643370.1, XP_012643371.1	XP_023396966.1, XP_010599674.1
OG0002900	XP_012640114.1	XP_023410937.1
OG0002901	XP_012612372.1, XP_012612371.1, XP_012612373.1	XP_023394896.1, XP_003420230.1, XP_023394899.1, XP_023394897.1, XP_023394900.1
OG0002902	XP_012592136.1	XP_010596053.1
OG0002903	XP_012637288.1	XP_003418028.1
OG0002904	XP_012593578.1	XP_023413639.1
OG0002905	XP_012604896.1	XP_010592979.1, XP_003414840.1
OG0002906	XP_012607783.1	XP_003420546.1
OG0002907	XP_012622850.1	XP_010599693.1
OG0002908	XP_012593451.1, XP_012593448.1, XP_012593449.1, XP_012593446.1, XP_012593445.1, XP_012593450.1	XP_023404508.1
OG0002909	XP_012634283.1, XP_012634284.1	XP_003417307.1
OG0002910	XP_012591025.1, XP_012591026.1	XP_010586846.1, XP_003423439.1, XP_003423588.1
OG0002913	XP_012616555.1	XP_023400348.1
OG0002914	XP_012591039.1, XP_012591032.1	XP_003410905.1, XP_023404982.1
OG0002915	XP_020139073.1	XP_010584819.2
OG0002916	XP_012639763.1	XP_003408475.1, XP_010586741.1
OG0002917	XP_020144653.1	XP_010598461.1
OG0002918	XP_012614162.1, XP_012614146.1, XP_012614155.1	XP_010588525.1
OG0002919	XP_012600574.1	XP_003418594.2
OG0002920	XP_012591931.1, XP_012591932.1	XP_010586411.1
OG0002921	XP_012636029.1	XP_003413027.1
OG0002922	XP_012617364.1, XP_012617363.1	XP_003422001.1
OG0002923	XP_012608080.1	XP_010598818.1, XP_003420995.1, XP_023395847.1, XP_023395846.1
OG0002924	XP_012617196.2, XP_020139556.1, XP_012617178.2	XP_023398527.1, XP_023396291.1, XP_023396441.1, XP_023396470.1
OG0002925	NP_001296863.1, XP_020142983.1, NP_001296865.1	XP_023404893.1, XP_023397932.1, XP_023397939.1, XP_010600520.2, XP_023398356.1, XP_023404892.1
OG0002926	XP_012602278.1	XP_010598876.1
OG0002927	XP_020144440.1	XP_023401522.1
OG0002928	XP_012634350.1, XP_012634347.1, XP_012634353.1, XP_012634348.1, XP_012634352.1, XP_012634351.1, XP_012634349.1	XP_010595231.1
OG0002930	XP_020138568.1	XP_023415267.1
OG0002931	XP_012596926.1	XP_003405378.1, XP_023395632.1
OG0002932	XP_012599452.1, XP_012599451.1, XP_012599450.1	XP_003422431.1
OG0002933	XP_012598298.2	XP_023396872.1
OG0002934	XP_020144794.1	XP_023400473.1
OG0002935	XP_020139810.1	XP_003410032.2
OG0002938	XP_020142000.1	XP_023415421.1
OG0002939	XP_012597220.1	XP_003419796.1
OG0002940	XP_020139209.1	XP_003420800.1
OG0002941	XP_012629022.1	XP_003418227.1
OG0002942	XP_012613469.1	XP_003408681.1
OG0002943	XP_012619284.1	XP_023415028.1
OG0002944	XP_012626097.1	XP_003415855.1
OG0002945	XP_020145854.1	XP_003415776.1
OG0002946	XP_012610421.1	XP_003411478.1
OG0002947	XP_012628133.1	XP_003405680.1
OG0002948	XP_012592996.1	XP_023405570.1
OG0002949	XP_012642039.1	XP_010600806.2, XP_023397820.1
OG0002950	XP_012607807.1	XP_003415037.1, XP_023409716.1
OG0002951	XP_012608038.1	XP_003421028.2
OG0002952	XP_012610282.1	XP_003423259.2, XP_003423260.1, XP_003405579.1, XP_003405578.1, XP_003423704.1, XP_003405580.1, XP_010595882.1, XP_010595888.1
OG0002955	XP_012591996.1	XP_003404074.1
OG0002955	XP_012591995.1	XP_003404076.1
OG0002956	XP_012600958.1	XP_010585030.1
OG0002957	XP_020144798.1	XP_010585797.1
OG0002958	XP_012626358.1, XP_012626357.1	XP_003407447.1
OG0002959	XP_012629244.1, XP_012629247.1, XP_012629246.1, XP_020144807.1	XP_023396383.1
OG0002960	XP_012602594.2, XP_012602590.2, XP_012602592.2, XP_012602593.2	XP_010598949.1, XP_003421141.1, XP_023395994.1
OG0002961	XP_012605724.1	XP_010585340.1
OG0002962	XP_020139036.1	XP_010585338.2
OG0002963	XP_020138974.1, XP_020139042.1	XP_023399874.1, XP_023399873.1
OG0002964	XP_012626326.2	XP_023399249.1
OG0002965	XP_012604979.1	XP_023399095.1
OG0002966	XP_012609679.1	XP_010585277.1
OG0002967	XP_012609621.1	XP_010584847.1
OG0002968	XP_012609894.1, XP_012609895.1	XP_023399014.1
OG0002969	XP_012609804.1, XP_012609807.1, XP_012609808.1, XP_012609810.1, XP_012609805.1, XP_012609806.1	XP_003406883.2
OG0002970	XP_012617002.1	XP_023398962.1
OG0002971	XP_012616204.1, XP_012616203.1, XP_012616201.1, XP_012616202.1	XP_003420840.1
OG0002972	XP_012629971.1, XP_012629970.1, XP_012629973.1, XP_012629972.1	XP_010598653.2
OG0002973	XP_012629982.1	XP_023395695.1
OG0002974	XP_012630081.1	XP_023395608.1
OG0002975	XP_012630146.1	XP_023395662.1
OG0002976	XP_012630316.1	XP_023397235.1
OG0002976	XP_012630314.1	XP_023397255.1
OG0002977	XP_012630596.1	XP_003416373.1
OG0002978	XP_012630601.1	XP_003416375.1
OG0002979	XP_012630650.1, XP_012634391.1	XP_010594424.1
OG0002980	XP_012607297.1	XP_023400361.1
OG0002981	XP_012644501.1	XP_023404578.1
OG0002982	XP_012596696.2, XP_012606955.2, XP_012606440.2, XP_012611604.1	XP_010589049.1
OG0002983	XP_012632212.1	XP_003410564.1, XP_023404519.1
OG0002984	XP_012639543.1	XP_010586482.1, XP_003408115.1, XP_023401276.1
OG0002986	XP_012638454.1, XP_012638449.1, XP_012638461.1, XP_012638439.1, XP_012638492.1, XP_012638471.1, XP_020145600.1, XP_012638442.1, XP_012638487.1, XP_012638481.1	XP_023401293.1
