Orthogroup	Microcebus_murinus	Myotis_lucifugus
OG0002121	XP_012595935.1	XP_014321408.2
OG0002122	XP_012644787.1	XP_023620756.1
OG0002123	XP_020135987.1	XP_006090941.1
OG0002124	XP_020139520.1	XP_014320633.1
OG0002125	XP_012624775.2	XP_023602597.1
OG0002126	XP_012641139.1	XP_023610298.1
OG0002127	XP_012638165.1	XP_006083653.1, XP_023604712.1, XP_023604715.1
OG0002128	XP_012638183.1	XP_006110053.2
OG0002129	XP_012617832.1, XP_012617834.1, XP_012617833.1	XP_023607224.1
OG0002130	XP_012636281.2	XP_006088022.1
OG0002131	XP_012636270.1	XP_006088016.1
OG0002132	XP_012636390.1	XP_006091490.1
OG0002133	XP_012615793.1	XP_006098050.1
OG0002134	XP_012621619.1, XP_012621618.1	XP_023617496.1, XP_006098043.1
OG0002135	XP_020138592.1	XP_023618451.1
OG0002136	XP_012619123.1, XP_012623657.1	XP_023615479.1
OG0002138	XP_012616071.1	XP_006084199.1
OG0002139	XP_020143218.1	XP_023605803.1
OG0002140	XP_012603593.1	XP_006086818.1
OG0002141	XP_012627746.1	XP_006088205.2
OG0002142	XP_020136315.1	XP_006099046.1
OG0002143	XP_012629690.1, XP_020144496.1, XP_012599997.1	XP_023601913.1
OG0002144	XP_012621818.1	XP_006087566.1
OG0002145	XP_012590845.1	XP_006087970.1
OG0002147	XP_012593872.1	XP_014321204.1, XP_006100351.1, XP_006108484.2
OG0002149	XP_020143030.1, XP_020143032.1, XP_020143035.1, XP_020143038.1, XP_020143036.1	XP_023614453.1, XP_006094518.1, XP_023614454.1
OG0002150	XP_012643380.1	XP_006086874.1, XP_014308596.1, XP_006082361.1
OG0002151	XP_012634665.1, XP_012634664.1, XP_012634663.1, XP_012634666.1	XP_006088943.1, XP_023609676.1, XP_006088944.1
OG0002152	XP_012608954.1	XP_006091838.2
OG0002154	XP_012632315.1	XP_023617891.1
OG0002155	XP_012606935.1	XP_014317854.1
OG0002156	XP_012591000.1, XP_012591002.1, XP_012591001.1	XP_006103766.1
OG0002157	XP_012604679.1	XP_023616470.1
OG0002158	XP_012620255.1	XP_006082128.1
OG0002160	XP_012636992.1	XP_006097734.1
OG0002165	XP_012625969.1, XP_012625968.1	XP_006094734.1
OG0002167	XP_012598643.1	XP_006092410.1
OG0002167	XP_012598650.1	XP_006092412.2
OG0002168	XP_012613861.1	XP_006099711.1
OG0002169	XP_012620395.1	XP_006083336.1
OG0002170	XP_012629454.1	XP_006087039.1
OG0002171	XP_012606323.1, XP_020136561.1, XP_012606320.1, XP_012606325.1, XP_020136564.1, XP_020136560.1	XP_014315775.1
OG0002172	XP_012609958.1	XP_006082750.1
OG0002173	XP_020140181.1	XP_023613881.1
OG0002174	XP_012646365.1, XP_012646366.1	XP_023613452.1
OG0002175	XP_012600415.1, XP_012600414.1	XP_023614506.1
OG0002177	XP_012640265.1, XP_012640264.1	XP_014311229.1
OG0002179	XP_012602251.1	XP_006108592.1
OG0002180	XP_012631470.1, XP_012631469.1	XP_023617636.1, NP_001273946.1
OG0002181	XP_012631471.1	XP_006098231.1, XP_006098229.1, XP_006098232.1, XP_006098230.1, XP_023617668.1, XP_023617669.1
OG0002182	XP_012639426.1	XP_014322742.1, XP_006089712.1, XP_014305486.1
OG0002184	XP_012619162.1	XP_006081193.1
OG0002185	XP_012637041.1, XP_012637042.1	XP_006089144.1
OG0002186	XP_012605965.2, XP_020145790.1, XP_020138107.1	XP_014315792.1
OG0002187	XP_012629958.1, XP_020138021.1, XP_012629954.1, XP_012629952.1, XP_012629953.1, XP_012629957.1, XP_012629955.1, XP_012629959.1	XP_014309912.1
OG0002188	XP_012646471.1	XP_006104533.1, XP_006104534.1, XP_014302308.1
OG0002189	XP_012626038.1, XP_012626039.1	XP_006081883.1
OG0002192	XP_012602165.1	XP_006092112.1, XP_006092111.1
OG0002193	XP_012641927.1	XP_006094684.1, XP_006094682.1, XP_014316172.1
OG0002194	XP_012599610.1	XP_006089736.1, XP_006109114.1
OG0002196	XP_012641877.2	XP_006094670.1
OG0002198	XP_012601735.1, XP_012601734.1	XP_023601467.1
OG0002199	XP_012615232.1	XP_023608098.1
OG0002200	XP_012625289.1, XP_012625292.1, XP_012625290.1, XP_012625291.1, XP_012625288.1	XP_023606574.1
OG0002201	XP_020144830.1	XP_023603284.1
OG0002202	XP_012626292.1	XP_014310579.1
OG0002203	XP_012609830.1, XP_012609826.1, XP_012609829.1, XP_012609828.1	XP_014305317.2
OG0002204	XP_012609764.1, XP_012609765.1	XP_014305639.1
OG0002206	XP_012630330.1	XP_006098685.1
OG0002207	XP_012630673.1	XP_023618114.1
OG0002208	XP_012593425.1	XP_006098914.1
OG0002209	XP_020140495.1	XP_006082208.1
OG0002210	XP_012604527.1	XP_014309263.1
OG0002211	XP_012638958.2	XP_014307225.1
OG0002213	XP_012644403.1	XP_006106034.2
OG0002214	XP_020145839.1	XP_006094271.1
OG0002216	XP_012606129.1, XP_012606127.1, XP_012606128.1	XP_006094117.1
OG0002217	XP_020137151.1	XP_023601709.1
OG0002218	XP_020144349.1	XP_006107186.1
OG0002219	XP_012621598.1	XP_023617515.1
OG0002220	XP_012619226.1, XP_012619225.1, XP_012619224.1	XP_014319368.1, XP_006081224.1, XP_023604812.1
OG0002221	XP_012620071.1	XP_023605069.1, XP_023604002.1
OG0002222	XP_012644323.1, XP_012644324.1	XP_014304151.1
OG0002223	XP_012609450.1, XP_012609451.1	XP_023609422.1
OG0002224	XP_012592909.1, XP_020141914.1	XP_006093328.1
OG0002225	XP_012618134.1	XP_006089803.1
OG0002226	XP_012618040.1, XP_012618039.1, XP_012618042.1, XP_012618037.1, XP_012618041.1, XP_012618038.1	XP_023610909.1
OG0002227	XP_012618008.1, XP_012618009.1	XP_023610906.1
OG0002228	XP_020139240.1	XP_006089115.1
OG0002229	XP_012641810.1	XP_006089120.1
OG0002230	XP_012637053.1	XP_006089147.1
OG0002231	XP_020145634.1, XP_020145630.1, XP_020145629.1, XP_020145633.1, XP_020145632.1, XP_020145627.1, XP_020145631.1, XP_020145628.1, XP_020145635.1	XP_023608541.1
OG0002232	XP_012640029.1, XP_012635643.1	XP_006085930.1, XP_014308845.1
OG0002233	XP_012627796.1	XP_023603108.1
OG0002234	XP_012629202.1	XP_023620684.1
OG0002235	XP_012631201.1	XP_006102651.1
OG0002236	XP_012622591.1	XP_006085137.1, XP_006089842.1
OG0002237	XP_012631766.1	XP_006087404.1
OG0002238	XP_012631732.1	XP_023608549.1
OG0002239	XP_012646965.1	XP_023600021.1
OG0002240	XP_012646959.1, XP_020137493.1, XP_020137494.1	XP_023600019.1, XP_006102969.1, XP_006102968.1
OG0002241	XP_012593928.1, XP_012593927.1	XP_023608341.1
OG0002242	XP_012598115.1, XP_012598116.1	XP_006099474.1, XP_014320419.1
OG0002244	XP_012607168.1, XP_012619552.2, XP_012609558.1	XP_006086790.1, XP_006088270.1
OG0002245	XP_020137216.1	XP_023609228.1
OG0002246	XP_012614575.1, XP_012614584.1, XP_012614578.1, XP_012614581.1, XP_012614579.1, XP_012614582.1, XP_012614576.1, XP_012614585.1, XP_012614577.1, XP_012614580.1	XP_023609642.1
OG0002247	XP_012614819.1	XP_014307804.1
OG0002249	XP_012614868.1, XP_012614869.1	XP_014309480.1
OG0002250	XP_012619630.1, XP_012619629.1	XP_006103547.2
OG0002251	XP_020137095.1	XP_014312842.2, XP_006109094.1
OG0002252	XP_012599338.1, XP_012599337.1, XP_012599253.1	XP_014304281.1, XP_014304285.1
OG0002253	XP_012604083.1, XP_012604086.1, XP_012604085.1, XP_012604084.1	XP_006105143.2
OG0002254	XP_012646357.1, XP_012646358.1, XP_012646362.1, XP_012646359.1, XP_012646360.1, XP_012646361.1, XP_012646356.1, XP_012646363.1	XP_014315044.1
OG0002255	XP_012646349.1	XP_014315066.1
OG0002256	XP_012604698.1, XP_012604699.1	XP_006093967.2
OG0002257	XP_012591998.1	XP_006089932.1
OG0002258	XP_012620542.1, XP_012620544.1, XP_012620543.1	XP_023609713.1
OG0002259	XP_012623170.1, XP_012623171.1	XP_023617328.1
OG0002260	XP_012623274.1, XP_012623264.1	XP_014319042.1
OG0002261	XP_012623321.1	XP_006097920.1
OG0002262	XP_020138032.1, XP_012625344.1, XP_012625347.1, XP_012625345.1	XP_023606614.1, XP_006085162.1, XP_006093233.1
OG0002263	XP_012629359.1, XP_012629357.1, XP_012629358.1, XP_012629360.1	XP_014301023.1
OG0002264	XP_020141378.1, XP_020141371.1	XP_014320273.1
OG0002265	XP_012613479.1, XP_012613480.1	XP_023616520.1, XP_006097015.1
OG0002266	XP_012629395.2	XP_006104766.1
OG0002267	XP_012594098.1	XP_006108717.1, XP_014305656.1
OG0002268	XP_012646503.1	XP_006098349.1, XP_006098350.1
OG0002269	XP_012601966.1	XP_006109929.1, XP_006107979.1
OG0002276	XP_020136688.1	XP_006092502.1
OG0002277	XP_012621192.1, XP_012621195.1	XP_006092454.1
OG0002278	XP_012638484.1, XP_012638580.1, XP_012638698.1	XP_014301801.1, XP_014301799.1, XP_023600981.1, XP_014305681.1
OG0002279	XP_012639981.1	XP_023605181.1, XP_006109389.2
OG0002280	XP_012637577.1	XP_006107900.1
OG0002281	XP_012599531.1	XP_006105867.1
OG0002282	XP_020145192.1	XP_014302523.1, XP_023601715.1, XP_006104835.1
OG0002283	XP_012627489.1, XP_012627491.1, XP_012627490.1	XP_006102140.1
OG0002284	XP_012627447.1	XP_006102157.2
OG0002285	XP_020145057.1	XP_023615900.1, XP_006096350.1, XP_006096349.1
OG0002286	XP_012644977.1	XP_023602971.1, XP_023602968.1, XP_023602967.1, XP_023602970.1, XP_023602972.1, XP_023602969.1
OG0002288	XP_012597310.1, XP_012597309.1	XP_014319614.1
OG0002289	XP_012642599.1, XP_012642598.1, XP_020143352.1, XP_012642596.1, XP_012642594.1, XP_012642595.1, XP_012642597.1, XP_012642600.1	XP_014304345.1
OG0002290	XP_012620379.1	XP_006083340.2
OG0002291	XP_012624396.1	XP_006088132.1
OG0002292	XP_012604438.1, XP_012604437.1, XP_012604439.1	XP_023607887.1, XP_014309344.1, XP_023607886.1, XP_006086594.1, XP_014309343.1
OG0002293	XP_012625566.1, XP_012625565.1	XP_023618234.1
OG0002294	XP_012625495.1, XP_012625491.1, XP_012625493.1, XP_012625494.1, XP_012625492.1	XP_006102779.1
OG0002295	XP_012592279.1, XP_012592280.1	XP_006088130.1
OG0002296	XP_012592073.1	XP_014307406.1
OG0002297	XP_012616300.1	XP_006093293.1
OG0002298	XP_012624606.1	XP_006090411.1, XP_023610946.1
OG0002299	XP_012624891.1, XP_012624892.1, XP_012624893.1	XP_023615529.1
OG0002300	XP_012594283.1	XP_006095902.1
OG0002301	XP_012608638.1	XP_014321926.1
OG0002302	XP_012618010.1	XP_023615470.1
OG0002303	XP_012641405.1, XP_020139856.1	XP_023600094.1, XP_023600090.1
OG0002304	XP_012601111.2	XP_023620449.1
OG0002304	XP_012637810.1	XP_006109726.2
OG0002305	XP_012634991.1	XP_014320101.1
OG0002306	XP_012601150.1, XP_012601143.1	XP_006085379.1, XP_014308222.1
OG0002308	XP_012591255.1, XP_012591230.1	XP_006087328.3
OG0002309	XP_020146123.1, XP_012620683.1	XP_023614316.1
OG0002310	XP_020145226.1	XP_006087330.1
OG0002312	XP_012639166.1, XP_012639165.1	XP_006081839.1
OG0002313	XP_012636435.2, XP_012639618.1, XP_012639617.1	XP_023612894.1
OG0002314	XP_012623557.1	XP_023614659.1
OG0002315	XP_012600202.1, XP_012600199.1, XP_012600201.1, XP_012600200.1, XP_012600203.1	XP_006088389.1
OG0002316	XP_012641616.1	XP_023620324.1, XP_006101092.1, XP_023604041.1, XP_023604040.1
OG0002317	XP_012632836.1	XP_023616604.1, XP_006097096.1
OG0002319	XP_020138402.1	XP_006098318.1, XP_023607586.1
OG0002320	XP_012643543.1	XP_006091762.1
OG0002321	XP_012643742.2	XP_023619245.1
OG0002322	XP_012598170.1, XP_012598171.1, XP_012598169.1	XP_006110147.1
OG0002323	XP_012644131.1, XP_012644123.1	XP_006096836.1
OG0002324	XP_012617403.1, XP_012617408.1, XP_012617406.1, XP_012617405.1	XP_006096941.3
OG0002325	XP_020139630.1	XP_014316789.1
OG0002326	XP_012602158.1, XP_012602135.1	XP_006091985.1, XP_014313937.1
OG0002327	XP_012644025.1	XP_014314032.1, XP_014314031.1
OG0002328	XP_012633494.1, XP_012633493.1	XP_006104404.1
OG0002329	XP_012639277.1	XP_006081775.1
OG0002330	XP_012621747.1, XP_020141462.1	XP_014310680.1
OG0002331	XP_012607174.1	XP_014308475.2
OG0002332	XP_012635431.1, XP_012635432.1	XP_023617994.1
OG0002333	XP_012621095.1	XP_023611486.1, XP_006090928.1
OG0002334	XP_012627081.1, XP_012627082.1	XP_023611453.1
OG0002336	XP_020140851.1	XP_023609818.1
OG0002337	XP_020135961.1	XP_023611436.1
OG0002338	XP_012626930.1	XP_006106511.1
OG0002339	XP_012627114.1	XP_023601764.1
OG0002339	XP_012627105.1	XP_006104912.1, XP_006104914.1
OG0002340	XP_012626850.1, XP_012626851.1, XP_020135937.1	XP_014306202.1
OG0002341	XP_012626661.1	XP_014303609.2
OG0002342	XP_012626493.1, XP_012626495.1, XP_012626494.1	XP_023603304.1
OG0002343	XP_020139436.1	XP_006100458.1
OG0002344	XP_012613893.2	XP_023619101.1, XP_014320616.1
OG0002345	XP_012599385.1	XP_023617610.1, XP_006098149.1
OG0002346	XP_012594131.1	XP_014311133.1, XP_006092966.1
OG0002347	XP_012599972.1, XP_012599967.1, XP_012599971.1, XP_012599973.1, XP_012599970.1	XP_014313357.2
OG0002348	XP_012600494.1	XP_006100529.1
OG0002349	XP_012600376.1, XP_012600377.1, XP_012600375.1	XP_014321643.1, XP_006100541.1
OG0002350	XP_012642071.1, XP_012642067.1, XP_012642069.1, XP_012642068.1, XP_012642070.1	XP_006094614.1
OG0002351	XP_020141060.1	XP_023619151.1
OG0002352	XP_012604594.1	XP_006108396.1
OG0002353	XP_012636260.1, XP_012636261.1, XP_012636259.1	XP_006088012.1
OG0002354	XP_012610238.1, XP_012610240.1, XP_012610239.1	XP_014311937.1
OG0002355	XP_020137634.1	XP_006089556.1
OG0002356	XP_020143635.1	XP_023615298.1
OG0002357	XP_012594727.1, XP_012594728.1, XP_012594725.1	XP_006100787.1, XP_023620080.1
OG0002358	XP_012647021.1	XP_023615321.1
OG0002359	XP_012634896.1, XP_012634897.1, XP_012634898.1	XP_023612504.1
OG0002360	XP_012615894.1	XP_014307115.1
OG0002361	XP_020143248.1	XP_023605777.1
OG0002362	XP_012594964.1	XP_014309567.1
OG0002363	XP_012618064.1, XP_020143037.1, XP_012618082.1, XP_012618056.1, XP_012618047.1, XP_012618073.1	XP_006095727.1
OG0002364	XP_012623852.1	XP_006101778.1
OG0002365	XP_012624897.1	XP_006095933.1
OG0002366	XP_012626382.1	XP_006088173.1
OG0002367	XP_012629548.1	XP_006085354.1
OG0002368	XP_012598324.1	XP_014310252.1
OG0002369	XP_012621793.1	XP_023608608.1
OG0002370	XP_012621919.1, XP_012621917.1, XP_012621918.1, XP_012621915.1, XP_012621916.1	XP_006093107.1
OG0002371	XP_012622012.1, XP_020141566.1	XP_014314981.2
OG0002372	XP_012638443.1	XP_006097573.1
OG0002373	XP_012614202.1, XP_012614203.1, XP_012614204.1	XP_023613589.1
OG0002374	XP_012639530.1	XP_014309619.1, XP_023620809.1
OG0002375	XP_012634584.1	XP_006103956.1
OG0002376	XP_012634465.1	XP_006096659.1
OG0002377	XP_012629483.1, XP_012629482.1, XP_012629484.1	XP_023606065.1
OG0002378	XP_020140864.1	XP_023606109.1
OG0002379	XP_012635107.1	XP_023614615.1
OG0002380	XP_012636052.1	XP_006109264.3
OG0002381	XP_012592308.1	XP_023606272.1
OG0002381	XP_012620064.1	XP_006106059.1
OG0002382	XP_012592429.1	XP_006084990.1
OG0002382	XP_012605305.1	XP_006082371.1
OG0002383	XP_012645106.1	XP_006084874.1, XP_006109390.1, XP_006084873.1, XP_014307838.2
OG0002384	XP_020144412.1	XP_014307731.1, XP_014307727.1, XP_014305828.2, XP_014307725.1, XP_023606265.1, XP_023606268.1, XP_014307728.1, XP_023606269.1, XP_023606248.1
OG0002385	XP_012597483.1	XP_006105911.1
OG0002386	XP_012609030.1	XP_006092995.1
OG0002387	XP_012609042.1	XP_006093003.2
OG0002388	XP_012597547.2	XP_014303417.1
OG0002389	XP_012591747.1	XP_006108051.1
OG0002390	XP_012632339.1	XP_006098460.2
OG0002391	XP_012594351.1	XP_006082494.1
OG0002392	XP_012614231.1, XP_012614227.1	XP_006096976.1, XP_006096977.1
OG0002393	XP_020140602.1	XP_023608738.1
OG0002394	XP_012640219.1	XP_014311207.1, XP_006088642.1
OG0002395	XP_012619064.1	XP_006084701.1
OG0002395	XP_012640125.1	XP_006088608.1
OG0002396	XP_012643383.1	XP_023613278.1
OG0002397	XP_020140817.1	XP_023608754.1
OG0002399	XP_020135729.1, XP_020146139.1, XP_020146142.1	XP_023603030.1, XP_023603029.1, XP_023603032.1, XP_023603028.1, XP_023605141.1, XP_023604139.1
OG0002402	XP_012600315.1	XP_006100518.1
OG0002404	XP_020136396.1	XP_006092385.1
OG0002405	XP_012612716.1, XP_012612717.1	XP_023608792.1, XP_014310379.1
OG0002406	XP_012633194.1	XP_006091039.1
OG0002407	XP_012645100.1, XP_012645097.1, XP_012645098.1	XP_006084860.1
OG0002409	XP_012629870.1, XP_012629869.1	XP_023605580.1
OG0002410	XP_012619789.1	XP_023602205.1
OG0002411	XP_012629968.2	XP_023599732.1, XP_006102692.1
OG0002413	XP_012646836.1, XP_020142532.1	XP_006105521.1
OG0002414	XP_012646320.1	XP_023604155.1
OG0002414	XP_012643888.1	XP_023604154.1, XP_023604426.1, XP_023601993.1
OG0002416	XP_012596927.1	XP_006084302.1
OG0002419	XP_012633255.1	XP_023602630.1, XP_006083411.2, XP_006083413.1, XP_014302828.1
OG0002420	XP_012614992.1	XP_014310621.1, XP_023608977.1, XP_006088034.1
OG0002421	XP_012612420.1	XP_023620268.1
OG0002422	XP_012617627.1	XP_006086658.1, XP_006086659.1
OG0002423	XP_012600408.2	XP_023614510.1
OG0002425	XP_012592148.1, XP_012638570.2, XP_012638563.2, XP_012638556.2, XP_012638565.2	XP_014307625.1, XP_023606885.1
OG0002426	XP_012602792.1, XP_012602793.1, XP_012602794.1	XP_023611402.1, XP_006092504.1
OG0002428	XP_012632854.1	XP_006097118.1, XP_023616618.1
OG0002429	XP_012639766.1	NP_001278669.1
OG0002434	XP_012642088.1, XP_012642089.1, XP_012641905.1, XP_012620141.1	XP_014316236.1
OG0002435	XP_012615173.1, XP_012615172.1, XP_012615175.1, XP_012615174.1	XP_023609968.1
OG0002437	XP_012636678.1	XP_023611383.1
OG0002438	XP_012600933.1	XP_023608374.1
OG0002439	XP_012598195.1	XP_023605931.1
OG0002440	XP_012596376.1, XP_012596375.1, XP_012596373.1, XP_012596374.1	XP_006102269.1, XP_023599412.1
OG0002441	XP_012615078.1, XP_012615081.1, XP_012615080.1, XP_012615079.1	XP_023602635.1
OG0002442	XP_012593282.1	XP_014315881.1
OG0002443	XP_012631009.1	XP_014305484.1
OG0002446	XP_012609858.1	XP_023604465.1
OG0002447	XP_012616999.1, XP_020138918.1, XP_020138917.1, XP_012617000.1, XP_012617001.1	XP_014305884.1
OG0002448	XP_012609229.1	XP_006093798.1, XP_023613855.1
OG0002449	XP_012638509.1	XP_006081420.1
OG0002450	XP_012599411.2	XP_014302873.2
OG0002451	XP_012619888.1, XP_012619887.1, XP_012619889.1	XP_023604045.1
OG0002452	XP_012620843.2, XP_012620845.2	XP_006094290.1, XP_014315979.1
OG0002453	XP_012606048.1	XP_006097298.1
OG0002454	XP_012606193.1, XP_012606192.1, XP_012606191.1	XP_014322841.1, XP_006102042.1
OG0002455	XP_012643137.1, XP_020136735.1	XP_023614096.1, XP_006094053.1
OG0002456	XP_012618577.1	XP_006107374.1
OG0002457	XP_012618529.1	XP_006105812.1
OG0002458	XP_020139574.1	XP_023599037.1
OG0002459	XP_012628944.1	XP_014321990.1
OG0002460	XP_012619955.1, XP_012607258.1	XP_014302743.1
OG0002461	XP_020145723.1	XP_006081296.1
OG0002462	XP_012636997.1, XP_012636996.1, XP_012636998.1	XP_023617219.1, XP_023617218.1, XP_023617221.1
OG0002463	XP_012634415.1	XP_023620467.1
OG0002464	XP_012618081.1, XP_012618084.1, XP_012618080.1, XP_012618085.1, XP_012618086.1, XP_012618083.1	XP_023619368.1
OG0002465	XP_012643492.1	XP_023619493.1
OG0002466	XP_012642771.1	XP_006081669.1
OG0002467	XP_012617218.1, XP_012617219.1	XP_006089167.1
OG0002468	XP_020145785.1, XP_020145663.1, XP_020145664.1	XP_006095443.1, XP_023615156.1, XP_014316907.1, XP_023615154.1, XP_023615155.1
OG0002469	XP_012613663.1, XP_012613664.1	XP_006095440.1, XP_014316901.1
OG0002470	XP_012622386.1, XP_012622385.1, XP_012622388.1	XP_006083741.1
OG0002471	XP_012638752.1	XP_023599026.1
OG0002472	XP_012638738.2	XP_023599016.1
OG0002474	XP_012628991.1	XP_006107021.1
OG0002475	XP_012629223.1, XP_012629222.1, XP_012629224.1	XP_023618751.1
OG0002476	XP_012603362.1, XP_012603363.1	XP_014305930.1
OG0002477	XP_012640198.1	XP_006096056.1, XP_006096055.1
OG0002478	XP_012593912.1, XP_012593913.1, XP_012593914.1	XP_014309797.1
OG0002479	XP_012598746.1	XP_023608348.1
OG0002480	XP_012597840.1	XP_023611762.1
OG0002481	XP_012627987.1	XP_023608358.1
OG0002482	XP_012614590.1	XP_023613127.1
OG0002483	XP_012614760.1	XP_014312892.1
OG0002484	XP_012614477.1	XP_023615943.1
OG0002485	XP_012619689.1	XP_023600547.1
OG0002486	XP_012619728.1	XP_023600397.1
OG0002487	XP_012619776.1, XP_012619775.1	XP_023600422.1
OG0002488	XP_012614357.1	XP_006105443.1
OG0002489	XP_012599228.1	XP_014312824.1, XP_014312825.1, XP_023604975.1, XP_014306274.1, XP_023604976.1
OG0002490	XP_012598935.1	XP_014304553.2
OG0002491	XP_012593263.2	XP_006103733.1
OG0002492	XP_012607099.1, XP_012607102.1, XP_012607100.1, XP_012607101.1, XP_012607098.1	XP_023612867.1, XP_023612869.1, XP_006092673.1, XP_023612868.1
OG0002493	XP_012607133.1	XP_006092679.1
OG0002494	XP_020138648.1	XP_023613412.1
OG0002495	XP_012595989.1	XP_014323493.1
OG0002496	XP_012606600.1	XP_014305077.1
OG0002497	XP_012591221.1	XP_023609779.1
OG0002498	XP_012606774.1, XP_012606773.1	XP_006107824.1
OG0002500	XP_012623214.1	XP_006097869.1
OG0002501	XP_012645760.1, XP_012645759.1	XP_023606567.1
OG0002502	XP_012601709.1, XP_012601707.1, XP_012601710.1, XP_012601711.1, XP_020137828.1, XP_012601708.1	XP_023616938.1
OG0002503	XP_012613478.1, XP_012613477.1, XP_012626124.1	XP_006097035.1
OG0002504	XP_020141170.1	XP_023608286.1
OG0002505	XP_020141173.1, XP_020141172.1, XP_012629439.1, XP_012629434.1, XP_012629436.1, XP_012629435.1, XP_012629438.1	XP_006101730.1
OG0002506	XP_012594094.1, XP_012594095.1, XP_012594093.1	XP_006106036.2
OG0002507	XP_012646510.1	XP_006098343.1, XP_023617788.1
OG0002508	XP_012620262.1	XP_006089301.1, XP_006090817.1
OG0002508	XP_012630771.1	XP_006099466.1, XP_006096915.1, XP_006082142.1
OG0002509	XP_012644886.1, XP_012644885.1	XP_006110006.1
OG0002511	XP_012612379.1	XP_006085757.1
OG0002512	XP_012634309.1	XP_023600485.1, XP_006103509.1, XP_014301352.1
OG0002513	XP_012602890.1, XP_012602889.1, XP_020136783.1, XP_012602892.1	XP_014314363.1, XP_006109577.3
OG0002514	XP_012602964.1	XP_006092509.1
OG0002515	XP_012642119.1	XP_023612629.1
OG0002516	XP_012637527.1	XP_023604126.1
OG0002517	XP_012609230.1	XP_006093704.1, XP_006093705.1, XP_006093703.1, XP_006093706.1
OG0002518	XP_012597361.1	XP_023599546.1
OG0002519	XP_012642558.1	XP_006105781.2, XP_006105782.1, XP_023602442.1
OG0002520	XP_012595995.1	XP_023599751.1
OG0002521	XP_020141878.1, XP_020141881.1, XP_020141880.1, XP_012595973.1, XP_020141877.1, XP_020141879.1	XP_023599763.1
OG0002522	XP_012642421.1	XP_023617253.1
OG0002523	XP_012642414.1, XP_012642413.1	XP_014306170.1
OG0002524	XP_012596587.1	XP_023604241.1
OG0002525	XP_012642827.1	XP_023609684.1
OG0002526	XP_012644021.1	XP_006081164.1, XP_023599874.1
OG0002527	XP_012619853.1, XP_012619852.1	XP_014322967.2
OG0002528	XP_012625590.1	XP_014319828.1
OG0002529	XP_012624517.1	XP_006103275.1
OG0002531	XP_020142594.1	XP_023618057.1
OG0002532	XP_012602212.2	XP_006107412.1
OG0002533	XP_012602244.1	XP_023600347.1
OG0002534	XP_012615780.1, XP_012615781.1	XP_006107372.1
OG0002535	XP_012606584.1	XP_023606695.1
OG0002537	XP_020145874.1	XP_023619585.1
OG0002537	XP_020146085.1	XP_023619586.1
OG0002538	XP_012608886.1	XP_023600450.1
OG0002539	XP_012644550.1, XP_012644551.1	XP_023611097.1
OG0002540	XP_012612579.1, XP_012612582.1, XP_012612580.1, XP_012612581.1, XP_012612578.1	XP_006085083.1
OG0002541	XP_012636479.1, XP_012636478.1	XP_006085109.1
OG0002542	XP_012628783.1	XP_006088855.1
OG0002543	XP_012591335.1	XP_006088808.1
OG0002544	XP_012591608.1, XP_012591609.1, XP_012591610.1	XP_006096283.1
OG0002545	XP_012620935.1	XP_006094257.1, XP_014315947.1, XP_014315949.1, XP_014315948.1, XP_014315946.1
OG0002546	XP_012608024.2, XP_020141496.1, XP_020141731.1	XP_023608615.1
OG0002547	XP_012635392.1, XP_012635390.1, XP_012635389.1	XP_006099211.1
OG0002548	XP_020146136.1	XP_006094215.1
OG0002549	XP_012620728.1, XP_012620727.1, XP_012620731.1, XP_012620734.1, XP_012620736.1, XP_012620730.1, XP_012620735.1, XP_012620737.1, XP_012620733.1, XP_012620732.1	XP_006094249.1
OG0002550	XP_012605804.1	XP_006084015.1
OG0002551	XP_012630786.1, XP_012630787.1, XP_012630790.1, XP_012630789.1	XP_006084177.1
OG0002552	XP_012628164.1, XP_012628163.1	XP_014307007.1, XP_006084128.1, XP_006084126.1
OG0002553	XP_012628167.1, XP_012628169.1, XP_012628170.1, XP_012628166.1	XP_006084123.1
OG0002554	XP_012639217.1	XP_006081816.1
OG0002555	XP_012639060.1, XP_012639059.1	XP_006081919.1
OG0002556	XP_012641640.1	XP_006101062.2, XP_014320227.1
OG0002557	XP_012618388.1	XP_023607643.1, XP_006086286.1, XP_006086287.1
OG0002558	XP_012595280.1	XP_006086229.1
OG0002559	XP_012595248.1, XP_012595246.1, XP_012595249.1, XP_012595247.1	XP_014309080.1, XP_023607601.1, XP_006086226.1
OG0002561	XP_012643738.1, XP_012643739.1, XP_012643737.1, XP_012643740.1	XP_006099897.1
OG0002562	XP_012643949.1, XP_012643948.1, XP_012643950.1	XP_014303478.1, XP_014303475.1, XP_006083494.1
OG0002563	XP_012629760.1	XP_023601070.1
OG0002564	XP_012644064.2	XP_023616366.1
OG0002565	XP_012609565.1	XP_006095236.1, XP_014316721.1, XP_006095237.1
OG0002566	XP_012622900.1	XP_014316737.1
OG0002567	XP_012622969.1, XP_012622968.1, XP_020139666.1	XP_014316778.1
OG0002568	XP_012633802.1	XP_023603447.1, XP_023603893.1, XP_014304212.1, XP_006106840.1, XP_023603446.1, XP_014305874.1
OG0002569	XP_012607731.1	XP_006085421.1
