Orthogroup	Mesocricetus_auratus	Rattus_norvegicus
OG0002095	XP_040584543.1	NP_001100399.1
OG0002096	XP_005078124.1	NP_077063.1
OG0002096	XP_005077731.1	NP_077065.1
OG0002097	XP_040584714.1	NP_001102689.1, XP_063142535.1
OG0002098	XP_040593380.1	NP_001128454.1, XP_063142324.1
OG0002099	XP_040612613.1	NP_001101449.1, XP_038965939.1
OG0002100	XP_005083969.1	NP_001414100.1
OG0002101	XP_040608503.1	NP_058849.1, XP_038944654.1
OG0002102	XP_040587886.1	NP_446128.1
OG0002102	XP_040591172.1	NP_001380770.1
OG0002103	XP_012977719.1	NP_001402767.1, XP_063141818.1
OG0002104	XP_040597157.1, XP_040597158.1, XP_040597160.1, XP_040597159.1	NP_001030021.1
OG0002105	XP_040587635.1, NP_001268511.1	XP_006253192.1, NP_037054.1
OG0002106	XP_040587673.1	NP_001103614.1
OG0002106	XP_005066580.1	NP_001103613.1
OG0002107	XP_005079120.1	NP_001100186.1, XP_063117715.1
OG0002108	XP_012975288.1, XP_005079163.1	XP_017449522.1, NP_647542.1
OG0002109	XP_040608082.1, XP_040608083.1, XP_005076570.1, XP_021086584.1	XP_038958327.1, NP_001014063.1
OG0002110	XP_005080322.1	NP_112376.1
OG0002111	XP_005076299.1	NP_001014285.1
OG0002112	XP_040584439.1, XP_040584435.1, XP_040584440.1, XP_040584438.1, XP_012978649.1, XP_040584436.1, XP_040584437.1	XP_006236052.1, NP_059006.1
OG0002113	XP_012979151.1	NP_001020073.1, XP_006230626.1
OG0002114	XP_005064047.1, XP_005064046.1, XP_005064045.1	XP_063124306.1, NP_001004089.2
OG0002115	XP_005063954.1	XP_063127663.1, NP_001102630.1
OG0002116	XP_012969027.1	XP_006231047.1, NP_001007694.1
OG0002117	XP_040588423.1	NP_001001289.1
OG0002118	XP_005079941.1	NP_001402045.1
OG0002119	XP_040594513.1	NP_001414769.1, XP_038964654.1
OG0002120	XP_040592985.1	NP_110497.1, XP_063142815.1
OG0002121	XP_040594180.1	XP_038963084.1, NP_037357.1
OG0002122	XP_021087039.1	NP_001007681.1, XP_006251829.1
OG0002123	XP_012974263.1	XP_006252603.1
OG0002124	XP_005087158.2	NP_001013901.1, XP_006252861.1
OG0002125	XP_012978370.1, XP_021090476.1	XP_006240908.1, NP_058750.2
OG0002126	XP_040612191.1	NP_001101012.2, XP_006230106.1
OG0002127	XP_040586234.1, XP_040586197.1, XP_040586263.1	XP_006252381.1, NP_001012044.1
OG0002128	XP_040587894.1, XP_005071011.1	XP_063120427.1, XP_038950825.1, NP_446319.1, XP_038954950.1
OG0002129	XP_040595744.1, XP_040595743.1, XP_040595745.1	XP_006243636.1
OG0002130	XP_005068747.1	NP_001101252.1
OG0002131	XP_005068743.1	XP_038960242.1
OG0002132	XP_040588695.1	NP_963854.1, XP_017447097.1
OG0002133	XP_012972130.1	NP_445888.1
OG0002134	XP_012972147.1, XP_005074483.1	NP_446127.3, XP_006235698.1
OG0002135	XP_040587000.1	XP_063127635.1, NP_001025213.2
OG0002136	XP_040609653.1	XP_063120032.1
OG0002137	XP_040587516.1, XP_040587513.1, XP_040587514.1, XP_021089003.1, XP_021089005.1, XP_040587515.1, XP_021089006.1	XP_017453899.1, NP_001102323.1
OG0002138	XP_040593517.1	XP_006237465.1, NP_001414672.1
OG0002139	XP_040599352.1	NP_001388749.1
OG0002140	XP_021084565.1, XP_005073007.1	XP_038964288.1, NP_001128184.1, NP_001128183.1
OG0002141	NP_001268771.1	NP_071596.1, XP_008758769.1
OG0002142	XP_005064309.1, XP_012971817.1	NP_001101030.1, XP_006230519.1
OG0002143	XP_021080939.1, XP_012966438.1, XP_005066861.1, XP_021080940.1	XP_038959276.1, XP_038949988.1, NP_001102649.1, XP_038958782.1
OG0002144	XP_012975511.2	XP_038962407.1
OG0002144	XP_005064829.1	XP_017447680.1
OG0002145	XP_012968415.1	NP_001094192.1, XP_006243182.1
OG0002146	XP_040597141.1	NP_001000090.1
OG0002146	XP_040596860.1	NP_001000091.1
OG0002147	XP_040607660.1, XP_040607662.1, XP_040607663.1, XP_040607661.1	NP_062159.3
OG0002148	XP_012981450.1, XP_040603443.1	NP_001101823.1, XP_063129397.1
OG0002149	XP_040606726.1, XP_040606727.1	XP_006248418.1, XP_038944823.1, XP_221454.5, XP_006248419.1
OG0002150	XP_005076783.1	NP_001014297.1
OG0002151	XP_005076191.1, XP_040608571.1	NP_446231.1, XP_008759298.1
OG0002152	XP_012966113.1	NP_999622.2, XP_038951604.1
OG0002153	XP_040611666.1	NP_001183952.1, XP_017456093.1
OG0002154	XP_005084544.1	NP_001009535.1, XP_038939969.1
OG0002155	XP_005070599.1, XP_040609328.1	NP_446175.1, XP_038938832.1
OG0002156	XP_005078171.1	XP_017454324.1, NP_001020840.1
OG0002157	XP_021087570.1	NP_001399756.1, XP_038946882.1
OG0002158	XP_040600564.1	NP_001014129.1, XP_063136106.1
OG0002159	XP_021079592.2, XP_040600221.1	NP_001388053.1, XP_063136507.1
OG0002160	XP_040611927.1	NP_446330.1, XP_017455929.1
OG0002162	XP_040590163.1, XP_040590164.1, XP_040597119.1, XP_040597118.1, XP_040597287.1, XP_040590190.1	XP_038944185.1, NP_001092953.1, NP_001093127.1, NP_001092943.1, NP_001092967.2
OG0002164	XP_040599798.1	XP_063136336.1, NP_001406497.1
OG0002164	XP_005072536.1	XP_579018.2, XP_006232232.1, XP_001055257.2
OG0002165	XP_040590704.1	NP_598207.2, XP_038936671.1
OG0002165	XP_040590708.1	XP_038936637.1, NP_598198.2
OG0002166	XP_005063475.1	XP_063137361.1, NP_058778.2
OG0002167	XP_040605671.1	NP_001386417.1
OG0002167	XP_040605664.1	NP_665721.1
OG0002168	XP_040595577.1	NP_695229.1
OG0002168	XP_005087136.1	NP_446450.2
OG0002169	XP_005070452.2	NP_112352.2
OG0002169	XP_040605758.1	NP_001103449.1
OG0002170	XP_005068487.1	XP_063118026.1, NP_001005888.1
OG0002171	XP_012976656.1	NP_036984.1
OG0002172	XP_005082275.1, XP_040608985.1, XP_021089823.1	NP_445804.1, XP_006245541.1
OG0002173	XP_005071245.1	NP_001009502.1, XP_017448253.1
OG0002174	XP_040589488.1	NP_036698.1, XP_008768139.1
OG0002175	XP_040613536.1, XP_005074189.1	XP_008758027.1, NP_445826.2
OG0002176	XP_005068975.1, XP_040602760.1	NP_001102917.1, XP_063129696.1
OG0002177	XP_040599986.1, XP_040599988.1, XP_040599987.1	NP_445910.2
OG0002178	XP_021081476.2	XP_017452453.1
OG0002179	XP_005084949.1	NP_112327.1, XP_038967156.1, XP_063118638.1, XP_038955052.1
OG0002179	XP_040611710.1	XP_008771696.1
OG0002180	XP_040609544.1	NP_476455.1, NP_001395737.1
OG0002181	XP_040612828.1	XP_038966744.1, NP_112262.1
OG0002182	XP_040612556.1	NP_001099760.1, XP_063141882.1, XP_038956794.1, XP_017451517.1, XP_038964432.1
OG0002183	XP_005070404.1	NP_001292372.1, NP_112375.1
OG0002184	XP_040597776.1	NP_001385570.1
OG0002184	XP_005077851.1	NP_001108511.1
OG0002185	XP_005071949.1, XP_040604426.1, XP_012970162.1, XP_005071950.1	XP_003750852.1, NP_001273112.1
OG0002186	XP_040612281.1, XP_040597526.1	NP_001020910.1
OG0002187	XP_040593688.1, XP_040593691.1, XP_040593689.1, XP_040593687.1	XP_017454360.1, NP_001012766.1
OG0002188	XP_040609440.1	NP_073163.1
OG0002189	XP_005075241.1, XP_012972644.1, XP_021085838.1	NP_543162.1
OG0002190	XP_005076651.1	NP_001000914.1
OG0002190	XP_005087261.1	NP_001001425.1
OG0002191	XP_021086264.2	NP_001008824.1
OG0002191	XP_005076034.1	NP_001008823.2, XP_038942458.1
OG0002192	XP_005065123.1	NP_001000289.1
OG0002193	XP_005074158.1	NP_001000152.1, NP_001000155.1
OG0002193	XP_005074150.1, XP_005074209.2	NP_001000157.1
OG0002194	XP_005075786.2, XP_040589306.1	NP_001000205.1, NP_001000203.1
OG0002195	XP_005078241.2	NP_001000081.1
OG0002195	XP_040593539.1	XP_038946886.1, NP_001001109.1, NP_001000913.1
OG0002196	XP_005074147.1	NP_001000745.1, NP_001000746.1
OG0002196	XP_005074148.2	NP_001000139.1
OG0002197	XP_012976436.2, XP_012976430.1	NP_001000344.1, NP_001000638.1, NP_001000636.1
OG0002198	NP_001269227.1, XP_021085464.1	XP_008770316.1, NP_001093961.1
OG0002199	XP_021086079.1	NP_001013266.2
OG0002199	XP_005063836.1	NP_001162056.1
OG0002200	XP_012972186.1	XP_063133736.1
OG0002201	XP_021080588.1, XP_012966125.1, XP_040611882.1, XP_021080590.1, XP_012966124.1, XP_005066376.1	NP_001101879.1, XP_008769765.1
OG0002202	XP_005084205.1, XP_040598980.1, XP_040584119.1, XP_040612064.1, XP_040588747.1	XP_038967426.2, NP_001388623.1
OG0002203	XP_005084796.2	NP_001387752.1, NP_062257.2, XP_063128098.1, NP_001401129.1
OG0002204	XP_012979602.3, XP_005084792.1, XP_021091439.1	NP_001101952.1, XP_008757618.1
OG0002207	XP_021089531.1	NP_068709.2, NP_001257617.1, XP_063128492.1, NP_001257618.1
OG0002208	XP_021089321.1	XP_038951343.1, NP_671486.2
OG0002209	XP_005083165.1	XP_006257550.1, NP_001037702.1
OG0002209	XP_040602430.1	NP_001395718.1
OG0002210	XP_005069258.1	NP_001030167.1, XP_006254699.1
OG0002211	XP_005065679.1, XP_040584821.1, XP_012982110.1	XP_038958098.1, NP_001101117.1
OG0002212	XP_005078727.2	NP_001163949.1
OG0002213	XP_040591330.1	XP_017456870.1, NP_445848.1
OG0002214	XP_040612519.1	XP_038964430.1, NP_001029139.1, NP_112248.2
OG0002215	XP_040612455.1	NP_001102737.1
OG0002216	XP_040612292.1, XP_040612291.1, XP_012978998.2	NP_001096830.1
OG0002217	XP_040613443.1	NP_445779.2, XP_008762514.1
OG0002217	XP_040613435.1	XP_063144537.1, NP_775126.1
OG0002218	XP_005088748.3	NP_001099743.1
OG0002218	XP_005077848.1	NP_001101001.1
OG0002219	XP_005068900.1	NP_001094236.1
OG0002220	XP_040613982.1	XP_017456407.1, NP_001099629.1
OG0002221	XP_005084463.1	NP_001178562.1, XP_006229401.1
OG0002222	XP_012974361.1, XP_012974360.1	NP_001101957.1, XP_006229461.1
OG0002223	XP_005139282.2	XP_006251022.1, NP_997487.1
OG0002224	XP_005068827.2	NP_445832.1, XP_063129751.1
OG0002225	XP_005070872.3	XP_006256442.2, NP_001102002.1
OG0002226	XP_040588538.1, XP_012969377.1	NP_001386602.1, XP_008771178.1
OG0002227	XP_040587989.1	XP_006256466.1, NP_001007633.1
OG0002228	XP_005071983.1, XP_040604407.1	NP_001094020.1, XP_008765864.1
OG0002229	XP_021083953.1, XP_005071978.1	XP_038941300.1, NP_001005529.1
OG0002230	XP_040603837.1, NP_001268547.1	NP_001128298.1, NP_001102499.1, XP_038942473.1
OG0002231	XP_040613587.1	NP_001414404.1, XP_017446901.1
OG0002232	XP_040611113.1	NP_001099764.1, XP_006230250.1
OG0002233	XP_012980522.1	XP_017451492.1
OG0002234	XP_005069591.1, XP_012968472.1, XP_012968471.1	NP_001096824.1, XP_006243126.1
OG0002235	XP_040604877.1	XP_038941903.1, NP_001128117.1
OG0002236	XP_040599709.1, XP_040613039.1	XP_017448685.1, NP_058831.1
OG0002237	XP_005072217.1, XP_040612958.1, XP_021084064.1, XP_012970352.1	XP_006238565.1, NP_001020824.1
OG0002238	XP_040612944.1	XP_006238637.2, NP_001407952.1
OG0002239	XP_040590882.1	NP_001182488.1
OG0002240	XP_012975382.1, NP_001268568.1	NP_001264178.1
OG0002241	XP_005073138.1	XP_006255775.1, NP_001020067.1
OG0002242	XP_005076342.1	NP_001009639.1, XP_006255526.1
OG0002243	XP_040587711.1	NP_001395623.1, XP_038950898.1, XP_038959992.1, XP_038959242.1, XP_063136499.1, XP_038967122.1
OG0002244	XP_005080391.1, XP_040612140.1	NP_001015019.2, NP_001385947.1
OG0002245	XP_040587133.1	XP_038945002.1, NP_001001504.1
OG0002246	XP_040587315.1	XP_038944977.1, NP_599232.2
OG0002247	XP_040607270.1	XP_038945268.1, NP_001100589.1
OG0002248	XP_021081850.1, XP_040598544.1	NP_001389475.1, XP_056841535.1
OG0002249	XP_005080040.1	NP_001385942.1, NP_001385943.1
OG0002250	XP_005064402.1	NP_001385604.1
OG0002251	XP_040604141.1	NP_001386528.1, XP_017453077.1
OG0002252	XP_005081796.3	XP_063125562.1, NP_001102293.2, NP_001296289.1, NP_001386231.1
OG0002253	XP_021086878.1, XP_040607910.1, XP_012973873.1	XP_038959759.1, NP_001385900.1
OG0002254	XP_040589483.1, XP_040589482.1	XP_006250634.1, NP_001103033.1
OG0002255	XP_040589550.1	XP_038947719.1, NP_058952.1
OG0002256	XP_040607602.1	XP_063138297.1
OG0002257	XP_005073524.1, XP_021084854.1	NP_598235.2
OG0002258	XP_040593907.1, XP_040593908.1	XP_006250172.1, NP_001100661.1
OG0002259	XP_040608449.1, XP_040608446.1, XP_040608445.1, XP_040608447.1, XP_040608450.1, XP_040608448.1, XP_040608451.1	XP_006232813.1, NP_071621.2
OG0002260	XP_040608365.1	XP_006232797.1, NP_001019968.1
OG0002261	XP_005080232.1	NP_001386057.1, XP_008759425.1
OG0002262	XP_005076507.1, XP_021086552.1	XP_008770385.1, NP_001166943.1
OG0002263	XP_012967666.1, XP_005068449.1	NP_001100223.1, XP_063117833.1
OG0002264	XP_040598963.1	XP_017449939.1, NP_001358270.1
OG0002265	XP_021078482.1, XP_005085865.1	NP_001100726.1
OG0002266	XP_005068464.1	NP_001382521.1, XP_006240500.1
OG0002267	XP_040599289.1	NP_001231668.1, NP_075246.3
OG0002268	XP_040598470.1	NP_001014220.2
OG0002269	XP_012967530.1, XP_012967531.1	NP_001012112.1, XP_008763159.1
OG0002271	XP_040613228.1	XP_038967327.1
OG0002271	XP_040612121.1	XP_038948670.1, XP_038949887.1, NP_001025192.1, XP_038937273.1
OG0002272	XP_040603794.1, XP_040603054.1, XP_040602434.1, XP_040604318.1, XP_040595705.1, XP_040605470.1	XP_063126078.1, XP_038943640.1, XP_038943789.1, XP_063126077.1
OG0002273	XP_012978761.1, XP_012978764.1, XP_040601181.1, XP_040601180.1, XP_040601179.1, XP_012978762.1, XP_012978763.1	NP_001386175.1, NP_001386176.1, XP_038962044.1
OG0002274	XP_005070229.1	XP_006247944.1, NP_954513.2
OG0002274	XP_040606149.1, XP_012968634.1	XP_006247947.1, NP_001013061.1
OG0002275	XP_012968869.1, XP_012968870.1, XP_005069905.1	XP_006247851.1, NP_653355.1
OG0002276	XP_040605901.1, XP_040600223.1	XP_056841552.1, NP_001257731.1, XP_063126070.1, NP_445935.2
OG0002277	XP_012981651.1	XP_006247336.1, NP_001099309.1
OG0002278	XP_005077125.1	NP_001004202.1
OG0002278	XP_021086763.1	NP_001012357.1, XP_008766290.1
OG0002279	XP_021090674.1	NP_001101285.1, XP_006233656.1
OG0002280	XP_040601087.1	XP_006233887.1, NP_001102045.1
OG0002281	XP_040592847.1	NP_445858.1, XP_038961907.1
OG0002282	XP_040600960.1	XP_006233978.1, NP_001101297.1
OG0002283	XP_040591574.1, XP_040591575.1, XP_040591577.1, XP_040591576.1, XP_040591578.1, XP_040591579.1	NP_001386309.1, NP_001386308.1, XP_017447604.3
OG0002284	XP_040591561.1	XP_006234001.1
OG0002285	XP_005082155.1	NP_001101310.1, XP_006234144.1
OG0002287	XP_021081112.1	XP_006242264.1, NP_001101576.1
OG0002288	XP_040608636.1, XP_040608635.1, XP_040608634.1	XP_006242149.1, NP_001012120.1
OG0002289	XP_040610130.1, XP_040610129.1, XP_040610128.1	XP_038935183.1, NP_001030104.1
OG0002290	XP_005070450.1, XP_040589091.1, XP_040589090.1, XP_012969075.1	XP_063129567.1, NP_001020074.2
OG0002291	XP_040589176.1	XP_006251579.3
OG0002291	XP_040594326.1	NP_067733.1
OG0002292	XP_040614022.1	NP_001414345.1, XP_063133661.1
OG0002293	XP_005078893.1	NP_001100118.1, XP_006238093.1
OG0002294	XP_005078857.1, XP_012975082.1, XP_012975080.1, XP_021087850.1	NP_001414134.1, XP_038966927.1
OG0002295	XP_005076541.1, XP_040594715.1	NP_001155318.1, NP_001009422.1, XP_063143689.1
OG0002296	XP_005065858.1	XP_008756834.1, NP_001263983.1
OG0002297	XP_012970609.1, XP_012970608.1, XP_040585302.1	XP_017451922.1, NP_001014121.1
OG0002298	XP_012971503.1, XP_005073733.1	XP_006243547.1, NP_001102243.1
OG0002299	XP_040596591.1, XP_012965713.1	XP_006238011.1, NP_001100110.1
OG0002300	XP_005066288.1	XP_063143365.1, NP_001020445.2
OG0002301	XP_012969058.1	XP_006256657.1, NP_001102009.2
OG0002302	XP_012966704.1, XP_012966705.1	XP_006242385.1, NP_877969.1
OG0002303	XP_040603240.1	NP_071564.2
OG0002303	XP_021081730.1	XP_063129643.1
OG0002304	XP_005083356.1	NP_001121076.1
OG0002304	XP_005086532.1	NP_001128566.1
OG0002305	XP_005084015.1	XP_006236066.1, NP_114193.2
OG0002306	XP_012973321.1, XP_005076260.1, XP_012973320.1, XP_040599135.1	XP_063118616.1, NP_110483.2
OG0002307	XP_040599137.1	NP_001385633.1
OG0002308	XP_005083975.2	XP_006238852.1
OG0002309	XP_005084436.1	NP_001414300.1, XP_006238974.1
OG0002310	XP_040612865.1	NP_001100148.1
OG0002311	XP_040612809.1, XP_040612808.1	NP_001094182.1
OG0002312	XP_021088763.1	XP_038958682.1, NP_001128064.1
OG0002313	XP_040613881.1, XP_021080753.1	XP_006253234.1, NP_001389498.1
OG0002314	XP_005083130.2	NP_001020217.2
OG0002315	XP_005082446.1	XP_006236321.1, NP_955414.1
OG0002316	XP_040597088.1	XP_006236533.1, NP_075224.2
OG0002317	XP_005066588.1	NP_001386306.1
OG0002318	XP_040587638.1	NP_001258056.1
OG0002319	XP_040587792.1	XP_006253292.1, NP_001100788.2
OG0002320	XP_021088088.1	NP_001406622.1, XP_008762783.2
OG0002321	XP_005073694.2, XP_040586591.1	XP_063118675.1
OG0002322	XP_005078333.1, XP_005078332.1	NP_001382551.1, XP_006236762.1
OG0002323	XP_012969575.1, XP_012969573.1, XP_040593251.1	NP_612540.1, XP_006236788.1
OG0002324	XP_040608133.1, XP_040608134.1	NP_001103041.1
OG0002325	XP_005084335.1, XP_012979224.1, XP_040608181.1	XP_006232998.1, XP_227439.6
OG0002326	XP_005065107.1	NP_001000561.1
OG0002326	XP_005065106.2	NP_001000683.1
OG0002327	XP_005065010.3	XP_017447204.1
OG0002328	XP_021082272.1, XP_012969894.1, XP_012969901.1	NP_001273865.1, XP_006230963.1
OG0002329	XP_040590766.1, XP_040590767.1	NP_001101913.1
OG0002330	XP_040610377.1, XP_040588667.1	XP_063138656.1, NP_001386532.1
OG0002331	XP_040585294.1	NP_001258063.1, XP_008765200.1
OG0002332	XP_005069087.1, XP_021082216.1	NP_001029320.1, XP_038960739.1
OG0002333	XP_005077733.2	NP_001102576.1
OG0002334	XP_005077746.1, XP_012974289.1	XP_006252641.1, NP_942026.1
OG0002335	XP_040594402.1	XP_008761345.1, NP_058902.1
OG0002336	XP_012969669.2	XP_038963548.1
OG0002337	XP_012980033.1, XP_021091692.1, XP_021091693.1	XP_063131363.1, NP_001007684.1
OG0002338	XP_005074912.1	NP_001380767.1, NP_001005383.2, XP_063121307.1
OG0002339	XP_012972434.2	NP_001138544.1
OG0002340	XP_005074936.1	XP_006243866.1, NP_001007754.1
OG0002341	XP_021085655.1, XP_005075013.1, XP_040595510.1	XP_008764786.1, NP_067692.2
OG0002342	XP_040596097.1	XP_006243988.1
OG0002343	XP_012980773.2	XP_006252961.1, NP_001013154.1
OG0002344	XP_012978367.1, XP_021090480.1, XP_040593594.1, XP_040593592.1, XP_021090479.1, XP_012978366.1	NP_001386642.1, XP_038935976.1
OG0002345	XP_005077386.1	XP_006242581.1, NP_001007661.1
OG0002346	XP_012971697.2, XP_005074167.2	NP_001011557.1, XP_006229751.1
OG0002347	XP_012971834.1, XP_005073998.1, XP_012971833.1	NP_001414738.1
OG0002348	XP_012971815.1	NP_742030.1
OG0002349	XP_021085177.1	XP_006229837.1, NP_001101965.1
OG0002350	XP_040589445.1, XP_040613268.1	NP_001000165.1
OG0002351	XP_040595796.1, XP_040595699.1	XP_038937924.1, NP_001035108.2, NP_036621.2
OG0002352	XP_012970398.1, XP_005072060.1, XP_021083990.1, XP_012970399.1	NP_037113.2, NP_001375430.1, XP_038936811.1
OG0002353	XP_040602306.1	XP_017447245.1, NP_001101251.1
OG0002354	XP_005086127.1, XP_012980697.1	NP_001099999.1, XP_006235349.1
OG0002355	XP_012979563.1, XP_005084670.1, XP_021091300.1	XP_038960543.1, NP_001100005.1
OG0002356	XP_005082304.1, XP_040609050.1, XP_040609049.1	NP_068544.2, XP_063123735.1
OG0002357	XP_040590489.1	XP_038949087.1, NP_001017376.1
OG0002358	XP_040609021.1, XP_040609023.1, XP_040609024.1, XP_040609022.1	NP_058826.2, XP_006245423.1
OG0002359	XP_021086899.1	NP_001120862.1
OG0002360	XP_040595347.1	XP_006237403.1, XP_038940895.1, NP_001007649.1
OG0002362	XP_040599577.1	XP_008761648.1, NP_001037764.1
OG0002363	XP_012966844.1	NP_001165534.1, XP_006242357.1
OG0002364	XP_040600021.1	XP_006231503.1, NP_001099823.1
OG0002365	XP_005063571.1	NP_001389478.1, XP_038957352.1
OG0002366	XP_012970822.1	XP_063137447.1
OG0002367	XP_040597426.1	XP_006237898.1, NP_001100104.1
OG0002367	XP_021079478.1	XP_063144380.1, NP_001102826.1
OG0002368	XP_021086826.1	NP_001099965.1
OG0002369	XP_012973288.1	XP_006234763.1, NP_037307.2
OG0002370	XP_040601997.1	NP_001099970.1, XP_006234799.1
OG0002371	XP_005068559.1	XP_006234842.1
OG0002372	XP_012972891.1	XP_006243464.1, NP_001178037.1
OG0002373	XP_005075593.1	NP_001386190.1, XP_238546.2
OG0002374	XP_005073845.1	XP_063142893.1, XP_063120574.1, XP_008768633.1, NP_001013202.1
OG0002374	XP_040593888.1	XP_038953212.1
OG0002375	XP_005070930.2	XP_017457083.1, NP_001011944.1
OG0002376	XP_040607699.1, XP_040607702.1, XP_040607705.1, XP_040607701.1, XP_040607703.1, XP_040607700.1, XP_040607707.1, XP_040607706.1, XP_040607704.1	NP_001381942.1, XP_038958382.1, NP_001381940.1, NP_001381941.1
OG0002377	XP_005076110.1	NP_001385847.1, NP_001385848.1
OG0002378	XP_040603414.1, XP_005068176.1	NP_001101824.1, XP_006250732.1
OG0002379	XP_040606638.1	XP_038944667.1
OG0002380	XP_021083637.1	XP_038944287.1, NP_001013138.1
OG0002381	XP_005084468.1	NP_001166998.1
OG0002381	XP_012967896.1	NP_001396209.1
OG0002382	XP_005069763.1	NP_001102651.1
OG0002382	XP_040600611.1	NP_001388121.1
OG0002383	XP_005071670.2	XP_063126846.1, NP_445800.2, NP_001296451.1
OG0002384	XP_005071668.1	NP_036828.2, NP_001009628.1, NP_036873.1
OG0002385	XP_005086738.1	XP_063132738.1, NP_001000536.1
OG0002386	XP_005066423.1	NP_001001511.1
OG0002387	XP_005066417.1	NP_001099221.2, XP_038951236.1
OG0002388	XP_005066536.1	XP_063132510.1, NP_001395622.1
OG0002389	XP_040608988.1	NP_001389395.1, XP_008758169.1
OG0002389	XP_040588206.1	XP_006255939.1, NP_001382085.1
OG0002390	XP_005084549.1	NP_001100381.1, XP_006244959.1
OG0002391	XP_040609396.1	XP_006245085.1, NP_001178738.1
OG0002392	XP_040595273.1, XP_012971343.1, XP_005073425.1	XP_006249953.1, NP_445837.1
OG0002393	XP_012981316.2	XP_006229634.1, NP_058971.1
OG0002394	XP_040600013.1, XP_040600012.1	NP_001009474.1, XP_038955818.1
OG0002395	XP_005081989.1	NP_446446.1
OG0002395	XP_005074293.1	NP_001004072.2
OG0002397	XP_040599724.1	NP_001406040.1, XP_038956324.1
OG0002398	XP_012974895.1	NP_001102465.2, XP_006242714.1
OG0002400	XP_040597902.1, XP_040593598.1, XP_040593593.1, XP_040593583.1, XP_040593588.1	XP_063117414.1, XP_017449405.3, XP_063117416.1, XP_063117420.1, XP_063117417.1, XP_038967405.1, XP_038967403.2, XP_063117415.1, XP_063117419.1, XP_063117418.1, XP_063117421.1, XP_038967401.1, XP_038967404.1, XP_038967400.1, XP_017449406.2, XP_063117413.1
OG0002402	XP_012971707.1	NP_062227.2
OG0002403	XP_005077883.1	XP_234319.3, XP_063129904.1, XP_038940690.1, XP_008767914.1, NP_058848.2, XP_063130905.1, XP_038962175.1
OG0002404	XP_040607145.1	NP_071959.1
OG0002404	XP_040593309.1	NP_001395822.1, XP_063126932.1
OG0002405	XP_040600687.1, XP_012981310.1	NP_058783.1
OG0002406	XP_040598811.1	XP_038968588.1, NP_001399118.1, NP_001002289.2
OG0002407	NP_001268483.1, XP_021083629.1	XP_038943914.1, NP_653345.1
OG0002408	XP_005083752.1	NP_058706.1, NP_001257537.1, NP_001257539.1, NP_001257535.1, NP_001274352.1, NP_001257532.1, NP_001257534.1, NP_001257531.1
OG0002409	XP_005072943.1	XP_017447925.1, NP_036706.1
OG0002410	XP_040610369.1, XP_040610370.1, XP_040610357.1, XP_040610372.1, XP_040610361.1, XP_040610366.1	NP_001006972.1, XP_038963168.1
OG0002411	NP_001268512.1, NP_001268539.1	NP_036674.1
OG0002412	XP_021091479.1	XP_038936514.1, XP_038952408.1, XP_038954061.1, XP_063135092.1
OG0002413	XP_005084911.1	NP_997671.1, NP_001158190.1
OG0002414	NP_001268874.1	XP_008762647.2, NP_062208.2
OG0002415	XP_005066863.1, XP_040597916.1, XP_040597913.1, XP_040597914.1, XP_040597915.1	XP_008759064.1, NP_001101130.1
OG0002416	XP_005072918.1	NP_001037763.1
OG0002417	XP_040604289.1	XP_006246126.1
OG0002418	XP_012968196.1	NP_001102360.1
OG0002419	XP_040589143.1	XP_063129513.1, NP_001102334.1
OG0002420	XP_005068762.1	NP_001102062.1
OG0002421	XP_005072012.2, XP_040603604.1, XP_040597771.1	NP_037124.1
OG0002422	XP_040584956.1	XP_063124657.1
OG0002422	XP_040595668.1, XP_040604541.1	NP_001007609.1
OG0002423	XP_040597781.1, NP_001269051.1	NP_001099754.1, XP_006229932.1
OG0002424	XP_040584220.1, XP_040584223.1, XP_040584221.1, XP_040584222.1	NP_036889.1, XP_006227922.1
OG0002425	NP_001273041.1	NP_001032387.1, NP_908937.2
OG0002426	XP_005070062.1	NP_001007614.1, XP_008766535.1
OG0002427	XP_040608068.1, XP_040594820.1	NP_542944.1, XP_006233121.1
OG0002428	XP_005066597.1, XP_040587802.1, XP_040587799.1, XP_040587801.1	NP_579839.1, XP_038950103.1
OG0002429	XP_040586247.1	XP_006241630.1, NP_072107.2, NP_001288631.1
OG0002430	XP_040608242.1	XP_006232663.1, NP_001099908.1
OG0002431	XP_005065084.1	NP_001001054.1, XP_038961565.1, NP_001000321.1, NP_001000322.1, NP_001000670.1, NP_001000565.1, XP_038961566.1, NP_001001055.1, NP_001000566.1
OG0002432	XP_005078299.1, XP_040593369.1	NP_001000086.1, NP_001000910.1
OG0002433	XP_040586187.1, XP_005069442.2	NP_001000477.1, NP_001000474.1, NP_001000790.1
OG0002433	XP_005069317.3	NP_001000476.1
OG0002434	XP_040613344.1, XP_040587687.1	XP_038953711.1
OG0002435	XP_040584105.1	NP_001100939.1, XP_006227678.1
OG0002436	XP_021080140.1, XP_040590532.1, XP_040590531.1, XP_040590530.1	NP_631924.1, XP_006228446.1
OG0002437	XP_040613746.1, XP_012980574.1, XP_040613747.1	XP_006255085.1, NP_001012758.1
