Orthogroup	Mesocricetus_auratus	Myotis_lucifugus
OG0000709	XP_005083976.1, XP_012978914.1, XP_012978913.1	XP_014310007.1, XP_006087327.1
OG0000710	XP_040610459.1, XP_040610458.1	XP_023606424.1
OG0000711	XP_021084946.1, XP_005073665.1	XP_006083510.1
OG0000712	XP_021087623.1	XP_023614613.1
OG0000713	XP_012977992.1	XP_023612449.1
OG0000714	XP_040600911.1	XP_023617462.1, XP_014319089.1
OG0000714	XP_012977952.1	XP_006097972.1
OG0000715	XP_040592606.1, XP_040592604.1, XP_040592607.1, XP_040592605.1	XP_023619738.1, XP_023619739.1, XP_023603039.1, XP_023603036.1, XP_023603355.1, XP_023619727.1, XP_023603354.1, XP_023603037.1, XP_023603358.1, XP_023603357.1, XP_023603356.1, XP_023603359.1, XP_023603582.1, XP_023603583.1, XP_023619068.1, XP_023619070.1, XP_023619069.1, XP_023619737.1
OG0000716	XP_040584179.1, XP_040584185.1, XP_040584175.1, XP_040584169.1	XP_006091117.1
OG0000717	XP_040600892.1, XP_005088236.1	XP_006098019.1
OG0000718	XP_012977939.1	XP_014308082.1
OG0000719	XP_040588805.1	XP_023611981.1
OG0000721	XP_040586097.1, XP_040586094.1, XP_040586096.1, XP_040586095.1	XP_006087962.1
OG0000722	XP_005068204.1	XP_006103567.1
OG0000724	XP_012969103.1	XP_006082826.2
OG0000725	XP_040609208.1	XP_023617196.1
OG0000726	XP_012976321.1, XP_040589692.1, XP_021088908.1, XP_012976322.1, XP_021088910.1, XP_040589693.1, XP_040589694.1	XP_023611146.1, XP_023611147.1, XP_014312907.1
OG0000731	XP_005071414.1	XP_023617408.1
OG0000732	XP_040595673.1	XP_006097175.1
OG0000733	XP_005074034.1, XP_021085165.1	XP_006102942.1, XP_023599989.1
OG0000734	XP_040610860.1, XP_040588875.1, XP_005068112.2	XP_006098037.1, XP_023604626.1
OG0000735	XP_012975329.1	XP_006084814.1
OG0000735	XP_040600362.1	XP_023603710.1
OG0000736	XP_040588490.1	XP_006101319.1
OG0000736	XP_005072996.1	XP_006086838.1
OG0000737	XP_040611355.1, XP_012977991.1, XP_005082767.1	XP_023614337.1, XP_006094345.1, XP_023614338.1
OG0000739	XP_012972242.1	XP_014309904.1
OG0000740	XP_040584164.1, XP_012982334.1	XP_006095107.1
OG0000743	XP_040591418.1, XP_040591417.1, XP_040591380.1	XP_014317443.1, XP_014305584.1
OG0000744	XP_040599701.1, XP_040610783.1	XP_023606205.1
OG0000744	XP_040603490.1, XP_040597849.1	XP_006086519.1
OG0000745	XP_040586048.1, XP_005084496.1	XP_014319927.1, XP_014319926.1, XP_014319924.1, XP_006098933.1, XP_014319925.1
OG0000746	XP_040592563.1	XP_014309835.1
OG0000748	XP_040604108.1, XP_040602515.1	XP_014308397.1, XP_014312798.1
OG0000749	XP_040589311.1	XP_006093218.1
OG0000750	XP_040592973.1	XP_023601836.1, XP_014302678.1, XP_014302682.1, XP_023601839.1, XP_023604858.1, XP_014306064.1
OG0000750	XP_040592972.1	XP_006105014.1, XP_006108651.1, XP_006105019.1, XP_023601837.1
OG0000751	XP_012969706.1, XP_012969707.1	XP_023609725.1, XP_014311516.1
OG0000752	XP_005087416.1	XP_006095010.1
OG0000752	XP_012973103.1, XP_005076098.2	XP_006095019.1
OG0000754	XP_040599748.1, XP_012973078.2, XP_040605498.1, XP_040596282.1, XP_040599622.1	XP_006098993.1, XP_006098992.1
OG0000755	NP_001268334.1	XP_023616087.1
OG0000755	XP_005071182.2	XP_023613227.1
OG0000756	XP_040612003.1, XP_040612002.1	XP_006086619.1, XP_023607911.1, XP_023607912.1, XP_014309371.1
OG0000757	XP_005072348.1	XP_014315109.1, XP_006093279.1
OG0000758	XP_012978888.1, XP_040612736.1, XP_005083927.1	XP_023608454.1, XP_006087276.1
OG0000759	XP_040593045.1	XP_006101054.1
OG0000760	XP_040595077.1, XP_040593269.1, XP_005071117.1, XP_012969605.1, XP_040593270.1	XP_023616396.1, XP_006096832.1, XP_006096833.1
OG0000761	XP_005076617.1	XP_023612824.1
OG0000762	XP_005065026.1, XP_040600852.1, XP_040600855.1	XP_014313962.2, XP_014306320.1
OG0000763	XP_005083326.2	XP_023602586.1
OG0000764	XP_021089181.2	XP_006087673.1
OG0000765	XP_040602417.1, XP_005072582.1, XP_040602416.1	XP_006089610.1
OG0000767	XP_012966666.1	XP_023615511.1
OG0000768	XP_012968413.1	XP_023608927.1, XP_023608924.1, XP_023608926.1, XP_023608928.1, XP_006087982.1, XP_006087981.1
OG0000769	XP_040606472.1, XP_040606470.1, XP_040606471.1, XP_040606474.1, XP_040606473.1	XP_023602513.1
OG0000770	XP_005068188.1	XP_006084586.1
OG0000770	XP_040597759.1	XP_006084678.1
OG0000770	XP_012975987.1	XP_014308547.1
OG0000775	XP_012973170.1, XP_040605491.1, XP_040605492.1, XP_012973169.1	XP_006099034.1
OG0000776	XP_012969164.1	XP_023616934.1
OG0000777	XP_040595871.1, XP_040595872.1, XP_005073793.1, XP_040595873.1	XP_023607399.1
OG0000778	NP_001268583.1, XP_012967507.1	XP_006106038.1, XP_014303500.1
OG0000779	XP_040596450.1	XP_006100103.1
OG0000779	XP_040596447.1	XP_023619440.1
OG0000780	XP_005081298.1	XP_006085869.1
OG0000781	XP_040589633.1	XP_006094597.1
OG0000782	XP_040591043.1	XP_023604212.1
OG0000783	XP_040591706.1, XP_040591707.1, XP_040591705.1, XP_005087526.1, XP_040591711.1, XP_040591709.1, XP_040591710.1, XP_040591708.1	XP_023604751.1, XP_023608600.1, XP_006087489.1, XP_006087490.1, XP_006108441.1, XP_023608644.1, XP_006087508.1, XP_023603152.1, XP_006087581.2
OG0000784	XP_005065960.1	XP_023613951.1
OG0000785	XP_005087330.1	XP_006094695.1, XP_006108955.1
OG0000786	XP_012981598.1	XP_006094704.1
OG0000789	XP_021088638.1, XP_005064653.1	XP_006092127.1, XP_006108781.1, XP_006092129.1, XP_006092128.1
OG0000791	XP_040590061.1, XP_040604822.1, XP_021081443.2, XP_040604823.1, XP_040604821.1, XP_040604820.1	XP_006105280.2
OG0000792	XP_040585891.1	XP_023613699.1
OG0000792	XP_005086759.1	XP_006101533.1
OG0000793	XP_012970127.1	XP_023617546.1
OG0000794	XP_040613990.1	XP_014318384.1
OG0000795	XP_040597772.1, XP_040609394.1	XP_006088564.2
OG0000796	XP_012965906.1	XP_006101247.1
OG0000797	XP_040590677.1, XP_005077370.1	XP_014319901.1
OG0000798	XP_012967083.1	XP_023604863.1
OG0000798	XP_005077806.1	XP_006108715.1
OG0000799	XP_012970299.1, XP_012970300.1, XP_012970301.1	XP_006087413.1
OG0000800	XP_040589119.1	XP_014322176.1
OG0000800	XP_021084982.1	XP_023620599.1
OG0000801	XP_005064539.2	XP_014300981.1
OG0000802	XP_040600263.1, XP_040612966.1	XP_023615655.1
OG0000803	XP_005081798.1	XP_014304284.2
OG0000803	XP_012977071.1	XP_023603367.1
OG0000804	XP_012976003.1, XP_040608462.1, XP_005080161.1	XP_014319009.1, XP_023617356.1, XP_006097844.1
OG0000805	XP_005082616.1	XP_006089323.1
OG0000806	XP_005068321.1	XP_023616609.1
OG0000807	XP_021086167.1	XP_006099924.1
OG0000808	XP_005078945.1, XP_040595055.1, XP_012975054.1	XP_006103285.1, XP_006103286.1
OG0000809	XP_005082182.2	XP_006091172.1
OG0000810	XP_040587838.1, XP_021079127.1, XP_012981274.1, XP_012981273.1, XP_005086905.1	XP_014302218.1, XP_014302216.1, XP_023601429.1
OG0000811	XP_012981280.1, XP_012981279.1, XP_005086907.1, XP_012981278.1, XP_012981277.1, XP_012981276.1	XP_014302220.1
OG0000812	XP_040585002.1	XP_006088841.1
OG0000813	XP_040584416.1	XP_014310970.1
OG0000814	XP_040612883.1, XP_040612882.1	XP_023608523.1
OG0000815	XP_005083944.1	XP_023608577.1
OG0000816	XP_005082460.1	XP_023609264.1
OG0000817	XP_005084259.1	XP_006102983.1
OG0000817	XP_005070364.1, XP_040593758.1, XP_040593757.1	XP_023617750.1, XP_006098286.1
OG0000818	XP_040586947.1, XP_040586946.1, XP_040586948.1, XP_040586945.1	XP_006102390.1, XP_006102391.1
OG0000820	XP_005084295.1, XP_012979214.1	XP_023616494.1
OG0000821	XP_012977215.1	XP_014319092.2
OG0000822	XP_040606762.1	XP_014305520.1, XP_014305521.1, XP_023604451.1, XP_006108081.2
OG0000823	XP_040610388.1, XP_021082552.1, XP_021082551.1	XP_023610101.1, XP_023610095.1, XP_006081745.1
OG0000825	XP_012965854.1, XP_040593274.1, XP_012965855.1, XP_040593273.1	XP_006100556.2
OG0000826	XP_040585728.1	XP_014303313.1
OG0000827	XP_005074017.1	XP_014313348.1, XP_006091111.1
OG0000828	XP_040596067.1, XP_040596066.1, XP_005082428.1, XP_040596068.1	XP_014323149.1
OG0000829	XP_040585111.1	XP_014305978.1
OG0000830	XP_040588635.1	XP_006104277.1
OG0000831	XP_012974155.1, XP_040600134.1, XP_040600135.1, XP_040599891.1	XP_006085726.1
OG0000832	XP_040610346.1, XP_005077517.1, XP_040610348.1, XP_040610347.1	XP_023607017.1, XP_023607018.1
OG0000833	XP_040609103.1	XP_006082680.1
OG0000834	XP_040608580.1, XP_021088994.1	XP_014320479.1, XP_006099553.1, XP_023618948.1, XP_006099554.1, XP_014320480.1, XP_023618949.1
OG0000836	XP_040601385.1	XP_023616283.1
OG0000836	XP_012978065.1	XP_006096651.1
OG0000837	XP_012970897.1	XP_023605811.1
OG0000838	XP_040599461.1, XP_040599447.1, XP_040599633.1	XP_014313017.1
OG0000839	XP_040598614.1	XP_006088191.1
OG0000840	XP_005073864.1, XP_021085103.1	XP_014305194.1
OG0000841	XP_005071579.1	XP_006091012.1
OG0000842	XP_005066401.1	XP_023612264.1
OG0000843	XP_012979425.1, XP_040609605.1, XP_012979423.1, XP_040609604.1, XP_012979424.1	XP_023617913.1
OG0000844	XP_012969212.1, XP_040609305.1	XP_014317974.1, XP_014317960.1, XP_014317978.1
OG0000845	XP_012981319.1	XP_006087709.1, XP_023608765.1, XP_006087707.1
OG0000846	XP_005087547.1, XP_012981726.1	XP_006108743.2, XP_006106654.1, XP_014304045.1, XP_006087506.1, XP_006087505.1, XP_023608647.1, XP_023604734.1
OG0000848	XP_040592784.1, XP_040592787.1, XP_040592786.1, XP_040592785.1, XP_040592783.1	XP_006085406.1
OG0000849	XP_040598559.1, XP_021081858.1, XP_005068463.1, XP_012967704.1, XP_012967701.1, XP_040598560.1, XP_012967703.1	XP_014302461.1, XP_023601642.1, XP_023601641.1, XP_023604993.1
OG0000852	XP_005067323.1, XP_005067324.1, XP_021081233.1	XP_006095735.1, XP_006095736.1, XP_014317237.1, XP_006095737.1
OG0000853	XP_005069606.1	XP_023607363.1
OG0000854	XP_005068162.1	XP_006103033.1
OG0000854	XP_040602525.1	XP_006103032.1
OG0000855	XP_040611661.1	XP_014321601.1
OG0000855	XP_005075684.1	XP_006100746.1
OG0000856	XP_005085815.1	XP_023614650.1, XP_014316315.1, XP_006094787.1, XP_006094785.1, XP_006094786.1, XP_006094784.1
OG0000858	XP_005065125.1	XP_006092110.1
OG0000858	XP_005065127.1, XP_005065126.1, XP_005064672.1	XP_006091978.1
OG0000859	XP_012978398.2	XP_006099748.1
OG0000860	XP_021091955.2, XP_040589958.1, XP_005085703.2, XP_005085704.1	XP_014303713.1
OG0000861	XP_005073335.2, XP_040584271.1, XP_005073336.1	XP_006089242.1, XP_023609935.1, XP_014311717.1, XP_023609934.1, XP_006089246.1, XP_006089252.1, XP_006089309.1, XP_023609936.1, XP_006089250.1
OG0000862	XP_005065915.1	XP_023605865.1
OG0000863	XP_040606253.1	XP_014308493.1, XP_006106698.1
OG0000863	XP_040585712.1, XP_005074870.1	XP_023603192.1
OG0000864	XP_005066367.1	XP_014303963.1, XP_006105493.2, XP_006109240.2, XP_006105130.1, XP_023620668.1, XP_006108364.1, XP_023600054.1, XP_023613128.1
OG0000866	XP_021091931.1, NP_001268633.1	XP_014303716.1
OG0000867	XP_012977993.1, XP_040611340.1, XP_021090112.1, XP_012977994.1	XP_006102051.1
OG0000868	NP_001268528.1	XP_006086487.2
OG0000868	XP_005074406.1	XP_023609378.1
OG0000869	XP_040588304.1	XP_023610899.1, XP_023610898.1, XP_023610900.1
OG0000870	XP_012967265.1	XP_006102820.1
OG0000871	XP_005081818.2	XP_006085655.1, XP_006109024.1
OG0000871	XP_005070568.1	XP_006082560.1
OG0000872	XP_005079429.1	XP_023609681.1
OG0000873	XP_040605557.1	XP_006101632.1
OG0000874	XP_005082906.1	XP_023610577.1, XP_006089985.1, XP_014312361.1
OG0000875	XP_005072782.1, XP_040598755.1	XP_006091083.1
OG0000876	XP_040598432.1, XP_040598433.1	XP_006109001.2, XP_014301036.1, XP_006103167.1, XP_023600207.1, XP_014301034.1
OG0000877	XP_040603989.1, XP_040605605.1, XP_040605604.1, XP_040605609.1, XP_040605612.1, XP_040605610.1, XP_040605599.1, XP_040605608.1	XP_014316524.1, XP_006095013.1, XP_023614834.1, XP_006095014.1, XP_006095012.1, XP_023614837.1, XP_006095043.1
OG0000879	XP_040591633.1	XP_014317692.1
OG0000880	XP_040584282.1, XP_040614226.1, XP_040614227.1, XP_040584292.1, XP_040614224.1, XP_040614223.1	XP_006084550.1
OG0000881	XP_012978960.1, XP_040591782.1, XP_012978962.1, XP_012978961.1	XP_006084998.1, XP_006084997.1
OG0000882	XP_012978136.1	XP_006085076.1
OG0000883	XP_005068071.1	XP_023605567.1, XP_006084090.1, XP_006084093.1
OG0000884	NP_001268526.1, XP_040599830.1	XP_006109864.1
OG0000886	XP_040604551.1	XP_006106612.1, XP_006106614.1, XP_023603129.1, XP_006106613.1
OG0000887	XP_021080483.1	XP_023605429.1
OG0000888	XP_040593850.1, XP_005083336.1, XP_021090502.1	XP_006101210.1, XP_023620465.1, XP_006101208.1
OG0000889	XP_040612174.1	XP_014312088.1, XP_006109066.1, XP_006108665.1
OG0000889	XP_005075723.3	XP_023610297.1
OG0000890	XP_012971724.1	XP_006094650.1, XP_006094652.2, XP_006094580.1, XP_006094651.1
OG0000891	XP_021083352.1	XP_023604271.1
OG0000892	XP_012975566.1, XP_040597588.1, XP_040597494.1, XP_040597634.1, XP_012975562.1, XP_040597758.1, XP_040597437.1, XP_040597685.1	XP_023620694.1, XP_006101518.1, XP_006105344.1
OG0000893	XP_012967885.1	XP_006104944.1
OG0000894	XP_012965849.1	XP_014319176.1, XP_006084255.1
OG0000895	XP_012970043.1, XP_012970042.1	XP_006090992.1, XP_023611542.1, XP_023611543.1, XP_023611540.1, XP_023611541.1, XP_023611546.1, XP_023611544.1, XP_023611539.1, XP_023611545.1
OG0000898	XP_005087576.2	XP_023615757.1
OG0000901	XP_005071356.1	XP_006089046.1
OG0000901	XP_005071505.1, XP_005071357.3	XP_014311563.1, XP_014311584.1
OG0000902	XP_012975140.1	XP_023618266.1, XP_006098806.1
OG0000903	NP_001297495.1, XP_021091884.1	XP_023599429.1
OG0000903	XP_005085683.1	XP_006102278.1
OG0000904	XP_005072977.1	XP_006085795.1, XP_006090725.1
OG0000905	XP_040596712.1, XP_040596711.1	XP_014305754.2
OG0000905	XP_005078736.1	XP_023604612.1
OG0000906	XP_005079731.3, XP_012975765.2, XP_040610209.1	XP_014322147.1, XP_006101370.1, XP_006101360.1, XP_006101375.1
OG0000907	XP_040601112.1, XP_040601111.1, XP_040601114.1, XP_040601123.1, XP_040601115.1	XP_006108479.1, XP_006109251.2, XP_014305914.1
OG0000908	XP_040585656.1, XP_040585655.1, XP_012974813.1	XP_006104612.1
OG0000909	NP_001297494.1, XP_005083232.1	XP_014308351.1
OG0000910	XP_012971632.2	XP_023603741.1
OG0000913	XP_021089530.2	XP_014313936.1
OG0000914	XP_040589961.1, XP_040589959.1, XP_040589960.1	XP_023604021.1, XP_014305551.2
OG0000914	XP_005067899.1	XP_006102660.1
OG0000915	XP_005139440.2, XP_040589243.1, XP_012979397.1	XP_006109544.1, XP_006095982.1, XP_006095981.1
OG0000916	XP_012982392.1, XP_005065975.1	XP_023613973.1
OG0000917	XP_040597004.1, XP_040591248.1, XP_040584063.1	XP_014306036.1
OG0000917	XP_012979076.2	XP_006090642.1
OG0000919	XP_040590317.1, XP_040590318.1, XP_021078803.2	XP_023616354.1, XP_014318095.1, XP_023616353.1
OG0000920	XP_012981844.1	XP_023604910.1
OG0000921	XP_005078669.1, XP_012974953.1	XP_006106707.1, XP_023603198.1, XP_006106706.1, XP_023605246.1
OG0000922	XP_005074278.1	XP_006088625.1
OG0000922	XP_040612499.1	XP_006094287.1
OG0000923	XP_040589052.1	XP_023606570.1
OG0000923	XP_005079590.1	XP_014318511.1
OG0000924	XP_005077374.1	XP_006093577.1
OG0000924	XP_021089236.1	XP_023601694.1
OG0000925	XP_005065718.1	XP_023607031.1
OG0000927	XP_040586127.1, XP_040586129.1, XP_040586124.1	XP_023599816.1
OG0000928	XP_005067537.2, XP_040597931.1, XP_040611115.1	XP_006102819.1
OG0000929	XP_040592461.1, XP_005076363.1	XP_014320449.1, XP_006099501.1
OG0000930	XP_040607276.1	XP_014308221.1
OG0000931	XP_005081729.1, XP_040604078.1, XP_040604079.1	XP_023611013.1
OG0000932	XP_005081607.1, XP_040604317.1	XP_014301545.1
OG0000934	XP_005086456.2, XP_040598711.1, XP_040598713.1, XP_040598716.1	XP_023617096.1, XP_006097683.1
OG0000935	XP_021081776.1	XP_023605462.1
OG0000936	XP_005070153.1	XP_023612622.1
OG0000937	XP_005075936.1	XP_006098986.1
OG0000938	XP_012967819.1, XP_040602320.1, XP_040602319.1, XP_012967820.1	XP_006088029.1, XP_023608974.1, XP_023608975.1, XP_006088031.1
OG0000939	XP_040591540.1	XP_006102176.1
OG0000940	XP_005066905.4, XP_040610077.1, XP_040610076.1	XP_006102488.1
OG0000941	XP_040593118.1	XP_006093023.1
OG0000942	XP_040611110.1	XP_023604782.1
OG0000945	XP_005082788.1	XP_023606727.1, XP_014308172.1, XP_023606728.1, XP_006085314.1
OG0000946	XP_021087832.1, XP_005078741.1	XP_006086447.1
OG0000947	XP_040612846.1, XP_040612842.1, XP_040612843.1, XP_040612845.1	XP_023617694.1, XP_023617693.1, XP_023617696.1, XP_023617695.1
OG0000948	XP_040596363.1	XP_023614653.1
OG0000949	XP_040586680.1	XP_006094399.1
OG0000950	XP_040608108.1, XP_040608109.1, XP_040608107.1	XP_006097834.1, XP_014305758.2
OG0000951	XP_012968502.1, XP_040610405.1	XP_014310361.1
OG0000952	XP_005071194.1, XP_040594835.1, XP_040594836.1	XP_023611919.1
OG0000953	XP_040595893.1	XP_006106809.1
OG0000953	XP_005071756.2	XP_006084852.1
OG0000954	XP_040585678.1	XP_006104631.1
OG0000955	XP_005084087.1, XP_012979001.1, XP_021090889.1	XP_023613048.1
OG0000956	XP_040584091.1, XP_040584089.1, XP_005074016.1, XP_012971822.1	XP_006091115.2
OG0000957	XP_005064863.1, XP_021086892.1	XP_006091653.1, XP_023612139.1, XP_014313749.1, XP_006091654.1
OG0000959	XP_012977796.2	XP_023615234.1
OG0000960	XP_005066124.1	XP_023612454.1
OG0000961	XP_005072916.1, XP_040599673.1	XP_014307161.1, XP_023605798.1, XP_023605796.1, XP_023605795.1, XP_014307163.1, XP_023605797.1, XP_023605799.1
OG0000962	XP_040609753.1	XP_006091616.2
OG0000963	XP_040597427.1, XP_040597428.1, XP_040597429.1	XP_006085353.2
OG0000964	XP_040606532.1, XP_040606533.1	XP_023611133.1
OG0000965	XP_012973213.1, XP_012973212.1, XP_012973211.1, XP_012973210.1, XP_021086273.1, XP_021086272.1, XP_005076106.1	XP_023606181.1, XP_014307551.1, XP_006084664.1, XP_023606182.1, XP_023606183.1, XP_006084665.1
OG0000966	XP_021085539.1	XP_014318189.1
OG0000968	XP_005076777.2	XP_006082352.1
OG0000969	XP_012980862.1, XP_005086317.1, XP_012980864.1, XP_012980863.1	XP_006087777.1
OG0000970	XP_012981870.1, XP_005087723.1	XP_014310405.1, XP_014310401.1, XP_023608804.1, XP_014310402.1, XP_023608805.1
OG0000972	XP_040591842.1	XP_006106545.1
OG0000975	XP_040601010.1, XP_040606296.1	XP_014307645.1, XP_014305254.1, XP_006103207.1
OG0000976	XP_040599366.1	XP_006095957.1
OG0000977	XP_040587307.1, XP_040587308.1, XP_012975249.2, XP_040587305.1, XP_040587565.1, XP_040587564.1, XP_040587306.1	XP_014320098.1, XP_014317983.1
OG0000978	XP_040606023.1, XP_005069938.1, XP_040606022.1	XP_014306276.1
OG0000979	XP_021087162.1, XP_005077625.1	XP_014320494.1
OG0000979	XP_040610274.1	XP_023600425.1
OG0000980	XP_012981727.1	XP_014310209.1, XP_014310210.1, XP_023608650.1
OG0000981	XP_021079954.1	XP_006084861.1
OG0000981	XP_040604887.1	XP_006105568.1
OG0000982	XP_021078719.1	XP_014307253.1
OG0000983	XP_040609771.1	XP_023612111.1, XP_006091598.2
OG0000984	XP_021086697.1, XP_040600498.1, XP_012973705.1, XP_005076881.1	XP_006082200.1, XP_023613926.1, XP_023613930.1, XP_023613934.1
OG0000985	XP_040612375.1, XP_021088313.1, XP_012975587.1, XP_040612374.1, XP_040612372.1	XP_014318547.1, XP_023616795.1, XP_023616794.1, XP_023616793.1
OG0000986	XP_005069243.1	XP_006086473.1
OG0000988	XP_005069432.1	XP_023617830.1, XP_006107983.1, XP_006107984.1
OG0000991	XP_040613748.1, XP_021090824.2	XP_006090837.1, XP_023611382.1, XP_006090835.1
OG0000992	XP_005074687.1	XP_014302259.1
OG0000993	XP_012982729.1	XP_014307419.1
OG0000994	XP_005063826.1	XP_014309590.1
OG0000995	XP_040601887.1, XP_005079968.1	XP_006081122.2
OG0000996	XP_040589873.1, XP_040589874.1	XP_006107331.1
OG0000997	XP_040605876.1, XP_005081861.1	XP_023618129.1, XP_006098728.1, XP_006098729.1
OG0000998	XP_012977295.1	XP_014305458.1, XP_006108008.1, XP_006109528.1, XP_023604402.1
OG0000999	XP_021089291.1, XP_005081294.1	XP_006098271.1
OG0001000	XP_012974943.1, XP_012974944.1, XP_021087789.1, XP_012974942.1	XP_023602036.1, XP_006105246.1
OG0001001	XP_005065354.1, XP_040613985.1	XP_014319243.1
OG0001002	XP_040611239.1	XP_023602470.1
OG0001003	XP_005077668.2	XP_006100192.1
OG0001004	XP_005074751.1	XP_014311689.1
OG0001005	XP_040585667.1, XP_040585668.1	XP_006093570.1
OG0001006	XP_005069577.1	XP_006093565.1, XP_014315359.1
OG0001007	XP_040591176.1, XP_005073202.1	XP_014304851.1
OG0001008	XP_040593009.1	XP_023611810.1
OG0001009	XP_021088829.1, XP_005080441.1, XP_021088828.1, XP_040587114.1, XP_040587113.1	XP_006088327.1
OG0001010	XP_040607291.1	XP_006081125.1
OG0001011	XP_005064538.1, XP_012967400.1, XP_040611377.1	XP_014322169.2
OG0001012	XP_040604168.1, XP_040604167.1, XP_040604166.1	XP_023620225.1
OG0001013	XP_012977023.1	XP_006107145.1
OG0001014	XP_005078189.1	XP_014305075.2
OG0001015	XP_040592969.1, XP_040592971.1	XP_023601838.1
OG0001016	XP_040593761.1, XP_040593762.1, XP_040593763.1, XP_012978103.2	XP_023610585.1
OG0001018	XP_005080288.2	XP_014316679.1, XP_023614984.1, XP_023614985.1, XP_006095211.1, XP_006095212.1
OG0001019	XP_005077222.1, XP_040608865.1, XP_040608866.1	XP_023610024.1
OG0001020	XP_040605710.1	XP_014302901.2
OG0001021	XP_040610658.1, XP_040610660.1, XP_040610657.1, XP_040610659.1	XP_006093754.1, XP_006093670.1, XP_006093671.1
OG0001022	XP_040610772.1	XP_006095532.1
OG0001024	XP_005075460.2	XP_006102855.2
OG0001025	XP_040589130.1, XP_040589132.1	XP_014302412.1, XP_023602227.1
OG0001026	XP_040604575.1	XP_014321028.1
OG0001026	XP_040604579.1, XP_040604572.1	XP_006100210.1
OG0001027	XP_005078905.1	XP_023618198.1, XP_006098820.1, XP_014319839.1, XP_014319837.1
OG0001028	XP_040595669.1, XP_040595674.1	XP_023618247.1, XP_014303768.2
OG0001029	XP_005072407.3	XP_006100620.1, XP_006100617.1, XP_006100619.1, XP_006100618.1
OG0001031	XP_040612680.1	XP_006087304.1
OG0001032	XP_040586594.1, XP_012971422.1, XP_012971423.1	XP_014320772.1
OG0001033	XP_021086610.1, XP_021086612.1, XP_012973596.1	XP_006092578.1
OG0001034	XP_040609498.1	XP_023615832.1, XP_014316842.1, XP_023615834.1, XP_014316848.1, XP_006082452.1, XP_014310581.1
OG0001035	XP_005076296.1, XP_021086379.1, XP_021086378.1, XP_012973263.1	XP_006085447.1, XP_014308292.1, XP_006085446.1
OG0001036	XP_040601770.1	XP_014314076.1, XP_023612405.1, XP_023612406.1, XP_006092057.1, XP_006092058.1
OG0001037	XP_012965932.1, XP_005066197.1	XP_023605437.1, XP_014306819.1
OG0001038	XP_012972556.1	XP_023611404.1, XP_014313125.1
OG0001039	XP_040588770.1, XP_040588767.1, XP_040588766.1, XP_040588768.1, XP_040588769.1, XP_040594570.1	XP_023618496.1
OG0001040	XP_005077515.1	XP_023607015.1, XP_014308442.1, XP_014308445.1, XP_023607016.1
OG0001041	XP_005083262.1	XP_023617780.1, XP_006098326.1
OG0001042	XP_040608936.1, XP_012973888.1, XP_021086943.1, XP_021086949.1, XP_040608935.1, XP_040608937.1, XP_021086944.1	XP_014322540.1
OG0001043	XP_005078982.2	XP_014319418.1
OG0001044	XP_040599371.1, XP_040599374.1, XP_040599373.1, XP_040599372.1	XP_023605581.1
OG0001045	XP_012966465.1	XP_023615454.1
OG0001047	XP_040608583.1, XP_040608585.1, XP_040608581.1	XP_006107658.1, XP_006108962.2
OG0001048	XP_012966431.1, XP_040597323.1, XP_021080934.1	XP_014322986.1
OG0001049	XP_005069386.1, XP_012968257.1	XP_006087889.2
OG0001050	XP_005086985.1	XP_006087739.1
OG0001051	XP_040607038.1, XP_012974159.2, XP_040607039.1, XP_021087181.2	XP_006084928.1
OG0001053	XP_005087244.1	XP_014301754.1
OG0001054	XP_005065159.1, XP_021087943.1, XP_021087939.1, XP_021087938.1	XP_006098459.1
OG0001055	XP_021078435.1	XP_014318451.1
OG0001056	XP_012979962.1, XP_005085176.1	XP_006097237.1
OG0001060	XP_040611145.1, XP_005079726.2	XP_006101354.1, XP_006101355.1
OG0001061	XP_040587376.1	XP_023616176.1
OG0001062	XP_040584523.1	XP_023620591.1
OG0001062	XP_040604321.1	XP_006103745.1
OG0001064	XP_040589783.1, XP_012971752.2, XP_040589779.1	XP_014321403.1
OG0001065	XP_005078490.1	XP_006101491.1
OG0001065	XP_012974784.1	XP_023620667.1
OG0001066	XP_040612101.1	XP_014303082.1
OG0001066	XP_005075509.1, XP_040585560.1	XP_014308513.2
OG0001067	XP_012980876.1	XP_006109279.2
OG0001067	XP_005086378.1	XP_023602722.1
OG0001068	XP_040591341.1, XP_040591340.1, XP_040591342.1	XP_023615629.1
OG0001069	XP_040611428.1	XP_006098903.1
OG0001070	XP_005065666.1	XP_023613993.1
OG0001070	XP_005068578.1	XP_023611306.1
OG0001071	XP_040612360.1	XP_023616782.1
OG0001072	XP_021090054.2, XP_040589235.1, XP_040589234.1	XP_006107436.1
OG0001073	XP_040599885.1	XP_023604428.1, XP_023604429.1, XP_023604431.1
OG0001074	XP_012976631.1	XP_014321850.1, XP_023603743.1
OG0001074	XP_040588256.1	XP_023600428.1
OG0001075	XP_012977386.1	XP_006096663.3
OG0001075	XP_040588134.1	XP_006100019.1
OG0001076	XP_021087264.1	XP_023602024.1
