Orthogroup	Mesocricetus_auratus	Echinops_telfairi
OG0000493	XP_040604920.1, XP_021091690.2, XP_040604923.1, XP_040604921.1	XP_004712942.1
OG0000494	XP_005073129.1	XP_004704584.1
OG0000495	XP_040587228.1	XP_004705642.1
OG0000496	XP_040607224.1	XP_004705961.2
OG0000497	XP_005082942.1	XP_004699940.1
OG0000498	XP_012976144.1, XP_005080366.1, XP_012976146.1, XP_012976145.1	XP_045154372.1, XP_045154373.1, XP_045154374.1, XP_004714791.1
OG0000499	XP_040591736.1	XP_045143852.1, XP_045143854.1, XP_004699036.1, XP_045143853.1
OG0000500	XP_021081857.1, XP_005068462.1, XP_012967540.1, XP_021081856.1, XP_040598558.1	XP_004698817.1
OG0000501	XP_012968925.1	XP_004707571.1
OG0000502	XP_012975789.1, XP_005079770.1	XP_004700618.1
OG0000503	XP_040586440.1	XP_045143675.1
OG0000505	XP_040584582.1, XP_012976601.1, XP_040584581.1	XP_045144730.1, XP_045144728.1, XP_045144731.1
OG0000506	XP_040603605.1	XP_045152970.1
OG0000507	XP_005079939.1	XP_045143353.1
OG0000508	XP_040602213.1, XP_040602212.1	XP_004698247.1
OG0000510	XP_040606331.1	XP_004696978.1
OG0000511	XP_040606329.1	XP_004697382.1, XP_004697381.1, XP_004697383.1
OG0000512	XP_040601306.1, XP_040601307.1	XP_045154069.1
OG0000513	XP_012970702.1, XP_021084295.1, XP_040600339.1, XP_005072540.1, XP_012970703.1	XP_045146525.1, XP_004711234.1
OG0000517	XP_040608633.1, NP_001297489.1, XP_040608614.1, XP_040608627.1, XP_040608619.1, XP_040608625.1	XP_004700350.1, XP_045146952.1
OG0000519	XP_021090990.2	XP_045148333.1
OG0000520	XP_040590246.1	XP_004710370.1
OG0000521	XP_040591031.1, XP_005079409.1, XP_021088238.1, XP_040590793.1, XP_005079458.2	XP_004705477.1
OG0000521	XP_005079459.1	XP_004705476.1
OG0000522	XP_005081150.1	XP_045155035.1
OG0000523	XP_005084466.1	XP_004699794.1
OG0000524	XP_040598248.1	XP_045144592.1
OG0000524	XP_040604811.1	XP_045149226.1
OG0000525	XP_005069940.1	XP_004709182.1
OG0000525	XP_005067696.1	XP_004713023.1
OG0000526	XP_040612992.1, XP_040612994.1, XP_040612990.1, XP_040612991.1, XP_040612993.1	XP_004699693.1
OG0000527	XP_005080788.1	XP_004712135.1
OG0000528	XP_012971120.1, XP_021084613.1, XP_012971119.1	XP_004704601.1, XP_045149774.1
OG0000529	XP_012976274.1	XP_045140452.1
OG0000530	XP_005073855.1	XP_045140687.1, XP_004696995.1
OG0000531	XP_040593302.1, XP_040593305.1, XP_040593303.1, XP_040593304.1, XP_005071370.1, XP_040593301.1	XP_004706766.1
OG0000532	XP_005068489.1, XP_012967685.1, XP_005068488.1	XP_045143937.1, XP_045143936.1
OG0000533	XP_040598427.1	XP_045143894.1, XP_004698857.1
OG0000534	XP_040605937.1, XP_012968826.1, XP_005070032.1	XP_004709234.1, XP_045155482.1
OG0000535	XP_012973971.1, XP_040593282.1, XP_012973970.1	XP_045141762.1, XP_045141761.1, XP_045141760.1
OG0000536	XP_021086980.1, XP_021086982.1, XP_021086981.1, XP_005077336.1, XP_021086979.1	XP_012859369.1
OG0000537	XP_040594987.1	XP_004699978.1
OG0000537	XP_005082487.1	XP_004699977.1
OG0000538	XP_040612149.1	XP_004711605.1
OG0000538	XP_040588488.1	XP_012863926.1
OG0000538	XP_040593905.1	XP_045151830.1
OG0000539	XP_021084261.1	XP_045150708.1
OG0000540	XP_021089831.1	XP_004701909.1
OG0000540	XP_040594068.1	XP_004702392.2
OG0000541	XP_021078605.2	XP_045151955.1
OG0000542	NP_001268543.1, XP_040584379.1	XP_004702737.1
OG0000544	XP_005066614.1	XP_004707610.1
OG0000544	XP_005063636.1, XP_040600257.1	XP_045147316.1
OG0000545	XP_040603462.1, XP_005066726.2	XP_004710169.2
OG0000545	XP_040587777.1, XP_040588008.1, XP_040600484.1	XP_045143820.1, XP_045143475.1, XP_004712804.1
OG0000547	XP_040606289.1	XP_004713785.2
OG0000547	XP_005064149.1	XP_004713644.1
OG0000548	XP_021082209.1	XP_004703888.1
OG0000550	XP_005073993.1	XP_045149061.1, XP_004708915.1
OG0000551	XP_005074068.1	XP_045149108.1
OG0000552	XP_040599535.1, XP_040599536.1	XP_004700040.1
OG0000553	XP_012966817.1, XP_040609865.1, XP_012966818.1, XP_021081139.1, XP_021081138.1	XP_004711499.1, XP_045143219.1
OG0000554	XP_040597336.1, XP_005066834.1	XP_004698616.1, XP_045142030.1, XP_045142028.1
OG0000555	XP_040597047.1, XP_040597039.1	XP_045141824.1, XP_004697534.1
OG0000557	XP_040606487.1, XP_005073919.1, XP_012971658.1	XP_045140439.1, XP_004713143.1
OG0000558	XP_005066521.2	XP_004712553.1, XP_004712549.1
OG0000558	XP_040611605.1, XP_005066527.1	XP_004712551.1
OG0000559	XP_040596918.1, XP_021090082.2	XP_004707794.1
OG0000560	XP_005079761.1	XP_004700637.1
OG0000560	XP_005087451.1	XP_004707230.1, XP_045155757.1
OG0000561	XP_021087913.1	XP_045145182.1
OG0000562	XP_012972969.2, XP_005075764.2, XP_005075765.1, XP_005088817.3	XP_004716456.1, XP_004716472.1
OG0000563	XP_040589383.1, XP_005087341.1	XP_012863889.1, XP_004717104.1, XP_004717103.1
OG0000564	XP_012967152.1, XP_012967151.1	XP_045149279.1, XP_045149280.1, XP_004712953.1
OG0000565	XP_012981694.2	XP_004717105.1
OG0000565	XP_005074146.1	XP_004717525.1
OG0000566	NP_001268590.1	XP_045150264.1, XP_012862776.1
OG0000567	XP_040599978.1, XP_040588229.1	XP_045144997.1
OG0000568	XP_040610238.1, XP_005087099.2, XP_040602395.1, XP_040600886.1	XP_004710413.1
OG0000568	XP_040599787.1	XP_045141532.1, XP_012861368.1
OG0000569	XP_021080443.1	XP_004710170.1, XP_045139458.1
OG0000569	XP_012977274.1	XP_004715838.1
OG0000571	XP_012976711.1, XP_012976710.1, XP_040612271.1	XP_004705421.1
OG0000572	XP_040592809.1	XP_004704611.1, XP_045149629.1, XP_045149630.1
OG0000573	XP_040594185.1	XP_012860391.1
OG0000573	XP_040612143.1, XP_040585189.1	XP_012860151.1
OG0000573	XP_040613582.1, XP_040598577.1	XP_012864201.1
OG0000574	XP_012978018.1	XP_045142992.1, XP_004697461.1, XP_045143021.1
OG0000575	XP_005087088.3	XP_004698499.1
OG0000576	XP_012971450.1, XP_040586802.1, XP_040586803.1	XP_045143001.1, XP_045142999.1, XP_045143000.1, XP_030740570.1
OG0000577	XP_005085326.1	XP_004717409.1
OG0000577	XP_021085534.1, XP_040606673.1, XP_040606306.1, XP_040606669.1, XP_040606672.1, XP_005074830.1	XP_004706521.1
OG0000578	XP_040612604.1, XP_005075821.1	XP_045146922.1
OG0000579	XP_005074236.1	XP_004702763.1, XP_004710023.1
OG0000580	XP_040609002.1	XP_004701743.2
OG0000581	XP_040587526.1, XP_040587527.1	XP_004701491.1
OG0000582	XP_040599531.1, XP_040599532.1	XP_004700037.1
OG0000583	XP_005067295.1	XP_045143250.1
OG0000584	XP_012966590.1	XP_045152265.1, XP_045152266.1, XP_004716944.1
OG0000585	XP_012973616.1	XP_004706428.2, XP_004706429.1
OG0000586	XP_040606709.1, XP_040606707.1, XP_040606706.1, XP_040606708.1, XP_040606257.1	XP_004706540.2, XP_012861072.3
OG0000587	XP_040606779.1	XP_045143481.1
OG0000588	XP_040596905.1, XP_005088811.4	XP_045151697.1, XP_004712555.1
OG0000589	XP_040601431.1, XP_040601430.1, XP_040601432.1	XP_045154990.1, XP_045154994.1
OG0000591	XP_005074241.1, XP_040599983.1, XP_021085222.1	XP_004710021.1
OG0000592	XP_012980437.1, XP_005085776.1, XP_005085777.1	XP_045144209.1
OG0000593	XP_040599958.1, XP_005085960.1, XP_040599957.1	XP_045144235.1, XP_045144234.1, XP_045144233.1, XP_045144236.1
OG0000594	XP_040600224.1, XP_021078969.1, XP_040600226.1, XP_040600228.1, XP_021078972.1, XP_040600227.1, XP_021078970.1, XP_012981026.1, XP_040600225.1, XP_005086598.1	XP_004715945.1
OG0000595	XP_005083987.2, XP_005083917.1, XP_005083919.2, XP_012978845.1, XP_005083918.2, XP_012978846.2, XP_005083989.3, XP_005083991.2	XP_004699765.2, XP_030741932.1, XP_030742012.1, XP_004699767.1, XP_004699766.1, XP_004705313.1
OG0000596	XP_040590427.1, XP_040590581.1, XP_040590428.1	XP_045148640.1, XP_004710368.2, XP_004710367.2
OG0000598	XP_021082938.1	XP_045150044.1
OG0000598	XP_012980928.1, XP_012980926.1, XP_012980927.1, XP_005086430.1, XP_040598681.1	XP_004698775.1
OG0000599	XP_005077986.1, XP_040610291.1	XP_045153522.1, XP_004704190.1
OG0000600	XP_005088136.4, XP_040604434.1, XP_040604639.1	XP_004697218.1, XP_045140682.1
OG0000601	XP_040593110.1, XP_040593111.1, XP_040593114.1	XP_004715524.1
OG0000601	XP_040594823.1	XP_012863384.1
OG0000602	XP_040587681.1	XP_012864012.1
OG0000602	XP_040589714.1, XP_040589721.1	XP_030741583.1, XP_012864008.1
OG0000603	XP_040612027.1, XP_040612025.1, XP_040612026.1, XP_040589273.1, XP_040597003.1	XP_004716025.1
OG0000604	XP_040602555.1, XP_040602554.1, XP_040602553.1, XP_040602560.1, XP_040602556.1, XP_040602558.1	XP_004713895.1, XP_045144506.1, XP_045144505.1
OG0000605	XP_012979737.2, XP_040591953.1, XP_040591954.1	XP_045148856.1
OG0000605	XP_040591958.1, XP_040591959.1, XP_040591960.1, XP_040591956.1, XP_040591957.1, XP_040591961.1	XP_004710700.1
OG0000606	XP_005086353.2, XP_040590390.1, XP_021078832.2, XP_040590391.1, XP_040590392.1, XP_040590393.1	XP_004710643.1
OG0000607	XP_005073758.1	XP_045150902.1, XP_004696360.1, XP_045144203.1
OG0000607	XP_005081888.1	XP_004715873.1, XP_030743186.1
OG0000608	XP_040595663.1, XP_040595662.1, XP_005081548.1	XP_012863562.1, XP_004698808.1
OG0000610	XP_005071951.1	XP_004697167.1
OG0000611	XP_040594456.1, XP_040594457.1, XP_040594458.1	XP_045153814.1
OG0000612	XP_040591265.1	XP_004698855.1
OG0000613	XP_021086164.1, XP_012973060.1	XP_045155699.1, XP_045155703.1, XP_045155704.1, XP_045155702.1, XP_045155701.1
OG0000614	XP_040597728.1, XP_040597725.1, XP_012968150.1, XP_040597726.1, XP_040597727.1, XP_040597724.1	XP_045141103.1, XP_045141102.1, XP_045141099.1, XP_045141100.1, XP_045141101.1
OG0000615	XP_005074345.1	XP_004706618.1
OG0000615	XP_012978257.1	XP_045154517.1
OG0000616	XP_040596196.1, XP_040596204.1, XP_040596211.1, XP_040596198.1	XP_045145194.1, XP_045145193.1
OG0000617	XP_005078771.1	XP_004711125.1
OG0000617	XP_005078770.1	XP_004711124.1
OG0000618	XP_040589651.1, XP_005085137.1	XP_004713192.1, XP_045144223.1
OG0000619	XP_040587883.1, XP_005066589.1, XP_040587881.1, XP_012966339.1, XP_040587882.1	XP_004707620.1, XP_045142778.1, XP_045142777.1, XP_045142775.1, XP_045142776.1, XP_045142779.1
OG0000620	XP_021083865.1, XP_005071856.1, XP_012970072.1, XP_005071855.1, XP_021083864.1	XP_045142288.1, XP_045142289.1
OG0000621	XP_040601654.1	XP_045153013.1, XP_045153011.1, XP_045153012.1, XP_045153014.1
OG0000622	XP_040595430.1	XP_004704028.1
OG0000623	XP_021078751.1	XP_045155072.1
OG0000624	XP_012968313.1	XP_045141765.1
OG0000624	XP_012978517.2	XP_045156121.1, XP_004717083.1
OG0000625	XP_040614024.1	XP_045149154.1, XP_045149153.1
OG0000626	NP_001268496.1, XP_012972924.1	XP_045147061.1
OG0000628	XP_040599144.1, XP_012978520.1	XP_004700996.1
OG0000629	XP_040598779.1, XP_005063202.1, XP_040598785.1	XP_045147191.1, XP_004700985.1, XP_045147192.1, XP_012861680.1, XP_012859848.1, XP_045144558.1
OG0000630	XP_005064820.1, XP_021086726.1	XP_045144098.1, XP_045144099.1
OG0000631	XP_040584659.1, XP_005075519.2	XP_045142409.1
OG0000632	XP_040609615.1	XP_045151113.1
OG0000633	XP_012981646.1, XP_012981648.1, XP_012981645.1, XP_005087402.1, XP_012981644.1	XP_004699891.1
OG0000635	XP_005064856.2, XP_040600864.1, XP_005064590.2, XP_005064855.2, XP_040600916.1	XP_030740816.1
OG0000636	XP_005079732.1, XP_040610208.1, XP_005079735.2, XP_040610213.1, XP_040610215.1, XP_021088474.2	XP_045152269.1
OG0000638	XP_040607328.1, XP_040586741.1	XP_045143737.1
OG0000639	XP_040590712.1	XP_030741282.2, XP_045153669.1
OG0000640	XP_005065336.1	XP_004697076.1, XP_004704441.1
OG0000641	XP_005072153.1, XP_040595208.1, XP_005066029.2	XP_045154342.1, XP_045142202.1, XP_045155250.1, XP_012859267.1, XP_045152917.1, XP_045142097.1
OG0000643	XP_040600865.1, XP_040600915.1	XP_004712789.3, XP_004698893.1, XP_045144039.1
OG0000644	XP_005064666.1	XP_004708584.1, XP_004708586.1, XP_030741732.1, XP_004708581.1, XP_004708580.1, XP_004708582.1, XP_004708454.1, XP_004708583.1
OG0000644	XP_005065102.2	XP_004717917.1
OG0000645	XP_005074202.2, XP_005074144.1	XP_004717545.1
OG0000647	XP_012976971.1	XP_004703085.1
OG0000648	NP_001268616.1	XP_004714663.1, XP_004714654.1
OG0000649	XP_012981432.2	XP_004710420.1
OG0000650	XP_040611417.1, XP_040611418.1	XP_004714163.2
OG0000651	XP_040584783.1	XP_030744795.1
OG0000652	XP_040612361.1, XP_012975670.1, XP_040612362.1	XP_045154682.1, XP_045154683.1, XP_012860850.1
OG0000653	XP_005079622.1	XP_045155107.1, XP_045155108.1, XP_004705133.1, XP_045155106.1
OG0000655	XP_040613505.1, XP_040613507.1, XP_040613506.1, XP_040613508.1, XP_040613504.1	XP_012863844.1
OG0000656	XP_012977118.1, XP_040604081.1, XP_012977117.1, XP_005081732.1, XP_012977116.1	XP_045141865.1, XP_004705895.1, XP_045141866.1
OG0000657	XP_040594838.1	XP_004706235.2
OG0000658	XP_012969719.1, XP_005071402.1	XP_004706784.1, XP_045153980.1
OG0000660	XP_005088289.1	XP_004700625.1
OG0000661	XP_040610763.1, XP_040610762.1	XP_004700518.1
OG0000662	XP_040586326.1	XP_045151767.1
OG0000662	XP_040586325.1	XP_004697511.1, XP_045155831.1
OG0000663	XP_005068047.1, XP_021081617.1, XP_040611035.1	XP_045147214.1
OG0000664	XP_021087275.1, XP_005077788.1	XP_004708756.1
OG0000665	XP_005083835.1	XP_045143088.1
OG0000665	XP_012978721.1, XP_040601229.1	XP_004708052.1
OG0000666	XP_012972377.1, XP_012972378.1, XP_005074943.1, XP_021085623.1	XP_045153345.1, XP_004715239.1, XP_045153346.1
OG0000667	XP_040584219.1, XP_040584216.1, XP_005074003.1	XP_004708907.1, XP_045149155.1
OG0000668	XP_005072584.2	XP_004697950.1, XP_045151278.1
OG0000669	XP_021083181.1, XP_021083182.1, XP_021083185.1, XP_021083186.1	XP_045145554.1, XP_045145553.1, XP_030741309.2
OG0000670	XP_040594123.1, XP_040594121.1, XP_040594124.1, XP_040594122.1	XP_045146437.1, XP_004717479.1, XP_045146441.1, XP_045146438.1, XP_045146440.1, XP_045146439.1
OG0000671	XP_040609823.1, XP_040609822.1, XP_040609824.1, XP_005067230.1, XP_040609825.1, XP_005067228.1, XP_040609826.1	XP_004711484.1
OG0000672	XP_005064804.1	XP_045144077.1
OG0000673	XP_021083759.1, XP_040606968.1, XP_005071665.2, XP_021083760.1, XP_021083757.1, XP_021083756.1, XP_040606969.1, XP_021083761.1, XP_021083758.1	XP_004713469.1, XP_045152362.1, XP_045152363.1
OG0000675	XP_005080960.1	XP_045147292.1, XP_012861065.1
OG0000680	XP_012970460.1	XP_004710927.2
OG0000681	XP_012965838.1	XP_004701417.1
OG0000681	XP_040601287.1	XP_004701142.1
OG0000682	XP_040603828.1, NP_001268310.1	XP_045155267.1
OG0000683	XP_012969281.1, XP_012969280.1, XP_040588316.1, XP_005070818.1, XP_012969279.1	XP_004716429.1
OG0000684	XP_005086851.1	XP_045148412.1
OG0000685	XP_005083120.1, XP_040596388.1, XP_005083121.1	XP_004714043.1, XP_012863006.1, XP_004714007.1
OG0000686	XP_040603868.1, XP_040603870.1, XP_040603905.1, XP_040603866.1, XP_040603910.1	XP_045140591.1
OG0000687	XP_005072671.1	XP_045147351.1, XP_004703811.1
OG0000687	XP_005068072.2	XP_012864191.1
OG0000688	XP_040611831.1	XP_045154610.1, XP_045154609.1, XP_045154612.1, XP_004715345.1, XP_045154611.1, XP_012859496.1
OG0000689	XP_021091882.1, XP_012980314.1, XP_040600563.1	XP_045144311.1, XP_004715443.2
OG0000690	XP_012975585.1	XP_045154968.1, XP_045154967.1
OG0000692	XP_005084841.1, XP_012979721.1, XP_040592036.1	XP_045148551.1
OG0000693	XP_005085231.1, XP_021091650.1, XP_012980011.1, XP_021091651.1, XP_012980012.1, XP_021091652.1	XP_045145964.1
OG0000694	XP_012982096.1	XP_045141006.1, XP_004703632.1, XP_045141007.1
OG0000695	XP_021085349.1, XP_021085351.1, XP_021085352.1, XP_021085348.1, XP_021085350.1, XP_040603061.1	XP_004703212.1
OG0000696	XP_012971112.1	XP_045149865.1
OG0000697	XP_012971932.1, XP_040592571.1	XP_045149701.1, XP_045149702.1, XP_030742398.1
OG0000697	XP_040592584.1	XP_030742457.1
OG0000698	XP_005076641.1, XP_040608027.1	XP_004699243.1, XP_004699244.2
OG0000699	XP_005064419.1	XP_045140789.1
OG0000700	XP_021088713.1	XP_045154298.1
OG0000701	XP_005076499.1	XP_004703043.1, XP_045149013.1
OG0000702	XP_012968941.1, XP_012968942.1, XP_021082774.1	XP_045155575.1
OG0000703	XP_005071580.1	XP_004712360.1
OG0000703	XP_040601085.1, XP_012980191.1, XP_040601086.1, XP_012980187.1, XP_005085462.1, XP_012980190.1	XP_004714502.2
OG0000704	XP_040610594.1	XP_045145011.1
OG0000705	XP_040585164.1, XP_040585165.1, XP_040585160.1, XP_040585161.1, XP_040585163.1, XP_040585162.1	XP_045139819.1, XP_004704388.1
OG0000706	XP_005078861.1	XP_004712452.1
OG0000707	XP_005075175.1, XP_040613334.1, XP_040613335.1	XP_004712588.2
OG0000710	XP_040610459.1, XP_040610458.1	XP_004708656.1, XP_045150989.1
OG0000711	XP_021084946.1, XP_005073665.1	XP_045142982.1
OG0000712	XP_021087623.1	XP_004713917.1, XP_045139876.1
OG0000713	XP_012977992.1	XP_004708375.1, XP_045147022.1, XP_045147021.1
OG0000714	XP_040600911.1	XP_045140010.1, XP_004708479.1, XP_012859901.1
OG0000714	XP_012977952.1	XP_004708480.1, XP_045147025.1
OG0000716	XP_040584179.1, XP_040584185.1, XP_040584175.1, XP_040584169.1	XP_045148999.1, XP_004708904.1, XP_045149001.1, XP_045149000.1
OG0000717	XP_040600894.1	XP_004717015.1
OG0000717	XP_040600892.1, XP_005088236.1	XP_004717014.1
OG0000718	XP_012977939.1	XP_045151125.1, XP_045151126.1
OG0000719	XP_040588805.1	XP_004698067.1
OG0000720	XP_040598242.1	XP_045147174.1
OG0000721	XP_040586097.1, XP_040586094.1, XP_040586096.1, XP_040586095.1	XP_004712105.1
OG0000722	XP_005068204.1	XP_004703262.1
OG0000723	XP_040611716.1, XP_040612146.1, XP_040611714.1	XP_045154153.1, XP_004700029.1
OG0000724	XP_012969103.1	XP_045151545.1
OG0000725	XP_040609208.1	XP_045151886.1, XP_045151880.1, XP_045151899.1, XP_045151890.1, XP_045151895.1, XP_045151876.1
OG0000726	XP_012976321.1, XP_040589692.1, XP_021088908.1, XP_012976322.1, XP_021088910.1, XP_040589693.1, XP_040589694.1	XP_012863180.1
OG0000728	XP_040589330.1	XP_004717806.1
OG0000728	XP_005077477.1	XP_004717808.2
OG0000731	XP_005071414.1	XP_045154038.1
OG0000731	XP_005071528.1	XP_045154162.1
OG0000732	XP_040595673.1, XP_040595675.1, XP_005082336.1	XP_004704225.1, XP_004704054.1
OG0000733	XP_005074034.1, XP_021085165.1	XP_004708889.1
OG0000734	XP_040610860.1, XP_040588875.1, XP_005068112.2	XP_045153759.1
OG0000735	XP_012975329.1	XP_030740499.1
OG0000735	XP_040600362.1	XP_012864188.1
OG0000736	XP_040588490.1	XP_004710794.1
OG0000736	XP_005072996.1	XP_045144373.1
OG0000737	XP_040611355.1, XP_012977991.1, XP_005082767.1	XP_045156165.1, XP_012862229.1
OG0000738	XP_005078236.1	XP_004714852.1, XP_004714851.1, XP_004714853.1
OG0000738	XP_005078238.1	XP_004714854.2
OG0000739	XP_012972242.1	XP_030743159.1
OG0000740	XP_040584164.1, XP_012982334.1	XP_004702124.1
OG0000744	XP_040599701.1, XP_040610783.1	XP_045146554.1
OG0000744	XP_040603490.1, XP_040597849.1	XP_004696735.1
OG0000745	XP_040586048.1, XP_005084496.1	XP_045151506.1, XP_045151507.1, XP_004714252.1
OG0000746	XP_040592563.1	XP_012860611.1
OG0000747	XP_040607193.1, XP_012975867.1, XP_040607194.1, XP_012975868.1	XP_004705939.1
OG0000748	XP_040604108.1, XP_040602515.1	XP_004705885.1, XP_030742339.1
OG0000749	XP_040589311.1	XP_004699330.1
OG0000750	XP_040592973.1, XP_040592972.1	XP_045154107.1
OG0000751	XP_012969706.1, XP_012969707.1	XP_045153969.1
OG0000752	XP_005087416.1	XP_030743964.1
OG0000752	XP_012973103.1, XP_005076098.2	XP_004707202.1, XP_004707516.1
OG0000754	XP_040599748.1, XP_012973078.2, XP_040605498.1, XP_040596282.1, XP_040599622.1	XP_004707137.1, XP_004707138.1, XP_045152054.1
OG0000755	NP_001268334.1	XP_045151376.1, XP_004697904.1, XP_045151377.1
OG0000755	XP_005071182.2	XP_004710220.1
OG0000756	XP_040612003.1, XP_040612002.1	XP_012861168.2
OG0000757	XP_005072348.1	XP_045150829.1
OG0000757	XP_021084138.1	XP_004696622.2
OG0000758	XP_012978888.1, XP_040612736.1, XP_005083927.1	XP_004699565.1
OG0000759	XP_040593045.1	XP_045146081.1
OG0000760	XP_040595077.1, XP_040593269.1, XP_005071117.1, XP_012969605.1, XP_040593270.1	XP_045142589.1, XP_045142587.1, XP_004696148.1, XP_045142588.1
OG0000761	XP_005076617.1	XP_004699224.1
OG0000762	XP_005065026.1, XP_040600852.1, XP_040600855.1	XP_004708511.2
OG0000763	XP_005083326.2	XP_004714430.1
OG0000764	XP_021089181.2	XP_004704085.1
OG0000765	XP_040602417.1, XP_005072582.1, XP_040602416.1	XP_004697951.1
OG0000766	XP_040587180.1	XP_045152757.1
OG0000767	XP_012966666.1	XP_045143267.1
OG0000768	XP_012968413.1	XP_004712036.1, XP_045141743.1
OG0000769	XP_040606472.1, XP_040606470.1, XP_040606471.1, XP_040606474.1, XP_040606473.1	XP_045140748.1, XP_045140749.1, XP_004713166.1
OG0000770	XP_005068188.1	XP_004703277.1
OG0000770	XP_040597759.1	XP_045140277.1
OG0000770	XP_012975987.1	XP_045154589.1
OG0000772	XP_005065865.2	XP_012859978.3
OG0000772	XP_040584269.1, XP_012982542.2	XP_004710980.1, XP_012859968.1
OG0000775	XP_012973170.1, XP_040605491.1, XP_040605492.1, XP_012973169.1	XP_030744089.1, XP_045155802.1
OG0000776	XP_012969164.1	XP_004718167.2, XP_004701655.1, XP_012859804.1
OG0000777	XP_040595871.1, XP_040595872.1, XP_005073793.1, XP_040595873.1	XP_004709495.1, XP_045142448.1
OG0000778	NP_001268583.1, XP_012967507.1	XP_004698836.1
OG0000779	XP_040596447.1	XP_045143597.1
OG0000780	XP_005081298.1	XP_012863046.2
OG0000781	XP_040589633.1	XP_004717529.1, XP_004717572.1
OG0000782	XP_040591043.1	XP_045154708.1, XP_030743915.1
OG0000783	XP_040591706.1, XP_040591707.1, XP_040591705.1, XP_005087526.1, XP_040591711.1, XP_040591709.1, XP_040591710.1, XP_040591708.1	XP_004718179.2
OG0000785	XP_005088609.1	XP_012863882.1, XP_012863881.1
OG0000785	XP_005087330.1	XP_004717148.1
OG0000787	XP_005087517.1	XP_004717179.1, XP_012863891.1, XP_004717177.1, XP_004717109.1, XP_030741588.1, XP_004717178.2
OG0000790	XP_021079050.1, XP_040611577.1, XP_040611575.1, XP_040611576.1	XP_004717453.1
OG0000792	XP_040585891.1	XP_004709032.2
OG0000792	XP_005086759.1	XP_004715719.2, XP_045140005.1
OG0000793	XP_012970127.1	XP_030741375.1
OG0000794	XP_040613990.1	XP_030744853.1
OG0000795	XP_005074434.1	XP_004703403.1
OG0000796	XP_012965906.1	XP_045146214.1
OG0000797	XP_040590677.1, XP_005077370.1	XP_004709050.1
OG0000798	XP_012967083.1	XP_045149378.1
OG0000798	XP_005077806.1	XP_045145450.1
OG0000799	XP_012970299.1, XP_012970300.1, XP_012970301.1	XP_004699457.1
OG0000800	XP_040589119.1	XP_045141009.1
OG0000800	XP_040611342.1, XP_040611345.1, XP_021084982.1	XP_045141015.1
OG0000801	XP_005064539.2	XP_004705792.1
OG0000802	XP_040600263.1, XP_040612966.1	XP_045147100.1, XP_004718064.1
OG0000803	XP_005081798.1, XP_012977071.1	XP_012860955.1, XP_012860954.1
OG0000804	XP_012976003.1, XP_040608462.1, XP_005080161.1	XP_045150210.1
OG0000805	XP_005082616.1	XP_004696685.2, XP_004702939.1
OG0000806	XP_005068321.1	XP_045144043.1
OG0000806	XP_005087575.1	XP_004717604.1, XP_045141441.1, XP_045141440.1, XP_045141442.1
OG0000808	XP_005078945.1, XP_040595055.1, XP_012975054.1	XP_045152568.1
OG0000809	XP_005082182.2	XP_045152481.1
OG0000810	XP_040587838.1, XP_021079127.1, XP_012981274.1, XP_012981273.1, XP_005086905.1	XP_045148402.1
OG0000811	XP_012981280.1, XP_012981279.1, XP_005086907.1, XP_012981278.1, XP_012981277.1, XP_012981276.1	XP_045148673.1
OG0000812	XP_040585002.1	XP_004702788.1
OG0000812	XP_040612141.1	XP_045151412.1, XP_045147131.1
OG0000813	XP_040584416.1	XP_045144743.1
OG0000814	XP_040612883.1, XP_040612882.1	XP_045148106.1
OG0000815	XP_005083944.1	XP_045147779.1
OG0000816	XP_005082460.1	XP_045144806.1, XP_045144807.1, XP_045144805.1
OG0000817	XP_005084259.1	XP_004702550.1
OG0000817	XP_005070364.1, XP_040593758.1, XP_040593757.1	XP_004711945.1, XP_045143368.1
OG0000818	XP_040586947.1, XP_040586946.1, XP_040586948.1, XP_040586945.1	XP_004696073.1
OG0000820	XP_005084295.1, XP_012979214.1	XP_004717335.1, XP_045139678.1
OG0000821	XP_012977215.1	XP_004708373.1, XP_045146881.1, XP_045146882.1
OG0000822	XP_040606762.1	XP_004713657.1
OG0000823	XP_040610388.1, XP_021082552.1, XP_021082551.1	XP_004711921.1
OG0000825	XP_012965854.1, XP_040593274.1, XP_012965855.1, XP_040593273.1	XP_004715971.1
OG0000826	XP_040585728.1	XP_004716854.1
OG0000827	XP_005074017.1	XP_004708899.1
OG0000828	XP_040596067.1, XP_040596066.1, XP_005082428.1, XP_040596068.1	XP_045150999.1
OG0000829	XP_040585111.1	XP_045153459.1
OG0000830	XP_040588635.1	XP_045152864.1
OG0000831	XP_012974155.1, XP_040600134.1, XP_040600135.1, XP_040599891.1	XP_045143041.1
OG0000832	XP_040610346.1, XP_005077517.1, XP_040610348.1, XP_040610347.1	XP_004715453.1
OG0000833	XP_040609103.1	XP_045149845.1
OG0000834	XP_040608580.1, XP_021088994.1	XP_004709786.1
OG0000835	XP_040602769.1	XP_045145492.1
OG0000836	XP_040601385.1	XP_045147606.1
OG0000836	XP_012978065.1	XP_045142491.1, XP_004703510.2
OG0000837	XP_012970897.1	XP_045149194.1, XP_045149193.1, XP_045149195.1, XP_004716272.1
