Orthogroup	Mesocricetus_auratus	Canis_lupus_familiaris
OG0002087	XP_040594498.1	XP_038408865.1
OG0002088	XP_040613319.1, XP_040613317.1, XP_040613318.1	XP_038409098.1
OG0002089	XP_005086882.1	XP_038409467.1
OG0002090	XP_040588128.1, XP_005084967.1, XP_012979757.1	XP_038409813.1, XP_038409814.1
OG0002091	XP_040585073.1	XP_038409914.1
OG0002092	XP_012980224.1	XP_038411562.1
OG0002093	XP_040592225.1	XP_038411701.1
OG0002094	XP_005085444.1	XP_038412287.1
OG0002095	XP_040594834.1	XP_038421412.1
OG0002095	XP_040584543.1	XP_038412421.1
OG0002096	XP_005078124.1	XP_038412553.1
OG0002096	XP_005077731.1	XP_038422030.1
OG0002097	XP_040584714.1	XP_038412609.1
OG0002098	XP_040593380.1	XP_038413055.1
OG0002099	XP_040612613.1	XP_038413765.1, XP_038413766.1
OG0002100	XP_005083969.1	XP_038414232.1
OG0002101	XP_021078415.2	XP_038414941.1, XP_038442418.1
OG0002102	XP_040591172.1	XP_038425262.1
OG0002104	XP_040597157.1, XP_040597158.1, XP_040597160.1, XP_040597159.1	XP_038415626.1
OG0002105	XP_040587635.1, NP_001268511.1	XP_038416348.1
OG0002106	XP_040587673.1, XP_005066580.1	XP_038416380.1, XP_038416381.1
OG0002107	XP_005079120.1	XP_038416774.1
OG0002108	XP_012975288.1, XP_005079163.1	XP_038416880.1, XP_038416879.1
OG0002109	XP_040608082.1, XP_040608083.1, XP_005076570.1, XP_021086584.1	XP_038417823.1, XP_038417825.1, XP_038417824.1
OG0002110	XP_005080322.1	XP_038438649.1
OG0002111	XP_005076299.1	XP_038418647.1
OG0002112	XP_040584439.1, XP_040584435.1, XP_040584440.1, XP_040584438.1, XP_012978649.1, XP_040584436.1, XP_040584437.1	XP_038418777.1
OG0002113	XP_012979151.1	XP_038418866.1
OG0002114	XP_005064047.1, XP_005064046.1, XP_005064045.1	XP_038419842.1
OG0002115	XP_005063954.1	XP_038420073.1, XP_038420074.1, XP_038420075.1
OG0002116	XP_012969027.1	XP_038420174.1
OG0002117	XP_040591888.1, XP_040586924.1, XP_040588423.1	XP_038420399.1, XP_038420400.1
OG0002118	XP_005079941.1	XP_038420920.1
OG0002119	XP_040594513.1	XP_038421425.1
OG0002120	XP_040592985.1	XP_038421674.1
OG0002121	XP_040594180.1	XP_038421754.1, XP_038421753.1
OG0002122	XP_021087039.1	XP_038421971.1
OG0002123	XP_012974263.1	XP_038421978.1
OG0002124	XP_005087158.2	XP_038422891.1, XP_038422890.1, XP_038422892.1, XP_038422895.1, XP_038422894.1, XP_038422893.1
OG0002125	XP_012978370.1, XP_021090476.1	XP_038423739.1
OG0002126	XP_040612191.1	XP_038424978.1
OG0002127	XP_040586234.1, XP_040586197.1, XP_040586263.1	XP_038425466.1
OG0002128	XP_040587894.1, XP_005071011.1	XP_038425509.1
OG0002129	XP_040595744.1, XP_040595743.1, XP_040595745.1	XP_038427036.1, XP_038427037.1
OG0002130	XP_005068747.1	XP_038427528.1
OG0002131	XP_005068743.1	XP_038427551.1
OG0002132	XP_040588695.1	XP_038428315.1, XP_038428316.1, XP_038428317.1
OG0002133	XP_012972130.1	XP_038428479.1
OG0002134	XP_012972147.1, XP_005074483.1	XP_038428502.1
OG0002135	XP_040587000.1	XP_038430972.1
OG0002136	XP_040609653.1	XP_038431689.1, XP_038433723.1
OG0002138	XP_040593517.1	XP_038432484.1
OG0002139	XP_040599352.1	XP_038432739.1
OG0002140	XP_021084565.1, XP_005073007.1	XP_038433113.1
OG0002141	NP_001268771.1	XP_038434765.1
OG0002142	XP_005064309.1, XP_012971817.1	XP_038435117.1
OG0002143	XP_021080939.1, XP_012966438.1, XP_005066861.1, XP_021080940.1	XP_038439189.1, XP_038435590.1
OG0002144	XP_012975511.2	XP_038435930.1
OG0002144	XP_005064829.1	XP_038435844.1
OG0002145	XP_012968415.1	XP_038436975.1
OG0002146	XP_040597141.1, XP_040596860.1	XP_038437027.1, XP_038445404.1, XP_038444879.1, XP_038445609.1
OG0002147	XP_040607660.1, XP_040607662.1, XP_040607663.1, XP_040607661.1	XP_038437983.1
OG0002149	XP_040606726.1, XP_040606727.1	XP_038438771.1
OG0002150	XP_005076783.1	XP_038442490.1, XP_038442491.1, XP_038442492.1, XP_038439204.1
OG0002151	XP_005076191.1, XP_040608571.1	XP_038439736.1
OG0002152	XP_012966113.1	XP_038440108.1
OG0002153	XP_040611666.1	XP_038440203.1
OG0002154	XP_005084544.1	XP_038441054.1
OG0002155	XP_005070599.1, XP_040609328.1	XP_038441568.1
OG0002156	XP_005078171.1	XP_038442133.1, XP_038442135.1, XP_038442134.1
OG0002157	XP_021087570.1	XP_038442255.1
OG0002158	XP_040600564.1	XP_038444295.1, XP_038444296.1
OG0002159	XP_021079592.2, XP_040600221.1	XP_038444863.1, XP_038445507.1, XP_038445376.1, XP_038445360.1, XP_038444850.1, XP_038445359.1, XP_038444853.1
OG0002165	XP_040590704.1, XP_040590708.1	NP_001002967.1
OG0002166	XP_005063475.1	NP_001003003.2
OG0002167	XP_040605671.1	XP_038403187.1
OG0002167	XP_040605664.1	NP_001003105.1
OG0002168	XP_040595577.1	XP_038436561.1
OG0002168	XP_005087136.1	NP_001003152.1
OG0002169	XP_005070452.2	NP_001003153.1
OG0002169	XP_040605758.1	XP_038419784.1
OG0002170	XP_005068487.1	NP_001003238.1
OG0002171	XP_012976656.1	NP_001003280.1
OG0002172	XP_005082275.1, XP_040608985.1, XP_021089823.1	NP_001003281.1
OG0002173	XP_005071245.1	NP_001009187.1
OG0002174	XP_040589488.1	NP_001012737.1
OG0002175	XP_040613536.1, XP_005074189.1	NP_001041483.1
OG0002176	XP_005068975.1, XP_040602760.1	NP_001128598.1
OG0002177	XP_040599986.1, XP_040599988.1, XP_040599987.1	NP_001183960.1
OG0002179	XP_005084949.1	NP_001239074.1
OG0002181	XP_040612828.1	NP_001239097.1
OG0002182	XP_040612556.1	XP_038428470.1, NP_001239154.1, XP_038439253.1, XP_038399907.1
OG0002183	XP_005070404.1	NP_001239157.1
OG0002184	XP_040597776.1	XP_038407774.1
OG0002184	XP_005077851.1	NP_001239308.1
OG0002185	XP_005071949.1, XP_040604426.1, XP_012970162.1, XP_005071950.1	NP_001240828.1
OG0002187	XP_040593688.1, XP_040593691.1, XP_040593689.1, XP_040593687.1	NP_001273917.1
OG0002188	XP_040597695.1	NP_001274034.1
OG0002189	XP_005075241.1, XP_012972644.1, XP_021085838.1	XP_038442164.1, NP_001300714.1, XP_038420963.1, XP_038442743.1
OG0002190	XP_005076651.1	NP_001300773.1
OG0002191	XP_021086264.2	NP_001332998.1
OG0002191	XP_005076034.1	NP_001332995.1
OG0002192	XP_005065123.1	NP_001375531.1
OG0002193	XP_005074158.1, XP_005074150.1, XP_005074209.2	NP_001375623.1, XP_038424089.1
OG0002194	XP_005075786.2, XP_040589306.1	NP_001375671.1, NP_001375668.1, NP_001375670.1, XP_038424109.1
OG0002195	XP_005078241.2, XP_040593539.1	NP_001375706.1, NP_001375948.1
OG0002196	XP_005074147.1	XP_038424086.1
OG0002196	XP_005074148.2	NP_001375811.1
OG0002197	XP_012976436.2, XP_012976430.1	NP_001376028.1, NP_001376041.1, XP_038445476.1, NP_001376033.1, NP_001376076.1
OG0002198	NP_001269227.1, XP_021085464.1	XP_038381505.1, XP_038381504.1, XP_038381506.1, XP_038381503.1
OG0002199	XP_021086079.1	XP_038436513.1
OG0002199	XP_005063836.1	XP_038381543.1
OG0002200	XP_012972186.1	XP_038381925.1
OG0002201	XP_021080588.1, XP_012966125.1, XP_040611882.1, XP_021080590.1, XP_012966124.1, XP_005066376.1	XP_038383319.1
OG0002202	XP_040588747.1	XP_038383924.1, XP_038415208.1
OG0002203	XP_005084796.2	XP_038384141.1
OG0002204	XP_012979602.3, XP_005084792.1, XP_021091439.1	XP_038384155.1, XP_038384156.1, XP_038384157.1
OG0002207	XP_021089531.1	XP_038385279.1, XP_038442427.1
OG0002208	XP_021089321.1	XP_038385965.1
OG0002209	XP_005083165.1	XP_038444151.1
OG0002210	XP_005069258.1	XP_038386389.1
OG0002211	XP_005065679.1, XP_040584821.1, XP_012982110.1	XP_038386757.1, XP_038386756.1, XP_038386758.1, XP_038386760.1, XP_038386759.1, XP_038386755.1
OG0002212	XP_005078727.2	XP_038386856.1, XP_038386853.1, XP_038386855.1, XP_038386854.1
OG0002213	XP_040591330.1	XP_038387002.1
OG0002214	XP_040612519.1	XP_038441955.1, XP_038387097.1
OG0002215	XP_040612455.1	XP_038420139.1
OG0002216	XP_040612292.1, XP_040612291.1, XP_012978998.2	XP_038387544.1, XP_038387546.1, XP_038387543.1, XP_038387547.1, XP_038425292.1
OG0002217	XP_040613443.1, XP_040613435.1	XP_038387810.1, XP_038387811.1
OG0002218	XP_005088748.3	XP_038388774.1
OG0002218	XP_005077848.1	XP_038388020.1
OG0002219	XP_005068900.1	XP_038388024.1
OG0002220	XP_040613982.1	XP_038388073.1
OG0002221	XP_005084463.1	XP_038388531.1
OG0002222	XP_012974361.1, XP_012974360.1	XP_038388726.1
OG0002223	XP_005139282.2	XP_038389411.1
OG0002224	XP_005068827.2	XP_038389481.1
OG0002225	XP_005070872.3	XP_038390048.1
OG0002226	XP_040588538.1, XP_012969377.1	XP_038390196.1, XP_038390195.1
OG0002227	XP_040587989.1	XP_038390203.1
OG0002228	XP_005071983.1, XP_040604407.1	XP_038390793.1
OG0002229	XP_021083953.1, XP_005071978.1	XP_038390806.1, XP_038390807.1, XP_038390808.1, XP_038390809.1
OG0002230	XP_040603837.1, NP_001268547.1	XP_038390860.1, XP_038390858.1, XP_038390859.1
OG0002231	XP_040613587.1	XP_038391344.1, XP_038391345.1, XP_038391346.1
OG0002232	XP_040611113.1	XP_038391386.1, XP_038395972.1
OG0002233	XP_012980522.1	XP_038391618.1
OG0002234	XP_005069591.1, XP_012968472.1, XP_012968471.1	XP_038392182.1
OG0002235	XP_040604877.1	XP_038392700.1
OG0002236	XP_040599709.1, XP_040613039.1	XP_038393162.1
OG0002237	XP_005072217.1, XP_040612958.1, XP_021084064.1, XP_012970352.1	XP_038393405.1, XP_038393404.1
OG0002238	XP_040612944.1	XP_038393421.1
OG0002239	XP_040590882.1	XP_038393749.1
OG0002240	XP_012975382.1, NP_001268568.1	XP_038393781.1
OG0002241	XP_005073138.1	XP_038394082.1
OG0002242	XP_005076342.1	XP_038394593.1, XP_038394596.1, XP_038394595.1, XP_038394594.1
OG0002243	XP_005063907.1	XP_038435148.1
OG0002243	XP_040587711.1	XP_038445169.1
OG0002244	XP_005080391.1, XP_040612140.1	XP_038394912.1
OG0002245	XP_040587133.1	XP_038394996.1
OG0002246	XP_040587315.1	XP_038395148.1
OG0002247	XP_040607270.1	XP_038395284.1
OG0002248	XP_021081850.1, XP_040598544.1	XP_038395482.1, XP_038400047.1, XP_038398457.1, XP_038421844.1
OG0002249	XP_005080040.1	XP_038395597.1, XP_038395596.1
OG0002250	XP_005064402.1	XP_038395704.1
OG0002251	XP_040604141.1	XP_038396586.1
OG0002252	XP_005081796.3	XP_038396609.1
OG0002253	XP_021086878.1, XP_040607910.1, XP_012973873.1	XP_038397157.1, XP_038397158.1
OG0002254	XP_040589483.1, XP_040589482.1	XP_038397300.1
OG0002255	XP_040589550.1	XP_038397317.1
OG0002257	XP_005073524.1, XP_021084854.1	XP_038398258.1
OG0002258	XP_040593907.1, XP_040593908.1	XP_038398397.1
OG0002259	XP_040608449.1, XP_040608446.1, XP_040608445.1, XP_040608447.1, XP_040608450.1, XP_040608448.1, XP_040608451.1	XP_038398928.1
OG0002261	XP_005080232.1	XP_038399078.1
OG0002262	XP_005076507.1, XP_021086552.1	XP_038399911.1
OG0002263	XP_012967666.1, XP_005068449.1	XP_038400045.1
OG0002264	XP_040598963.1	XP_038400497.1
OG0002265	XP_021078482.1, XP_005085865.1	XP_038400701.1
OG0002266	XP_005068464.1	XP_038401484.1
OG0002267	XP_040599289.1	XP_038401564.1, XP_038401565.1, XP_038401563.1
OG0002268	XP_040598470.1	XP_038401591.1, XP_038401597.1, XP_038401596.1, XP_038401598.1, XP_038401592.1, XP_038401595.1, XP_038401594.1, XP_038401593.1
OG0002269	XP_012967530.1, XP_012967531.1	XP_038401720.1, XP_038401717.1, XP_038401719.1, XP_038401718.1
OG0002270	XP_005076616.1, XP_040598314.1, XP_012967537.1, XP_040598315.1	XP_038401810.1, XP_038408812.1
OG0002271	XP_040613228.1	XP_038401897.1
OG0002271	XP_040612121.1	XP_038418416.1
OG0002272	XP_040603794.1, XP_040603054.1, XP_040602434.1, XP_040604318.1, XP_040595705.1, XP_040605470.1	XP_038402073.1
OG0002273	XP_012978761.1, XP_012978764.1, XP_040601181.1, XP_040601180.1, XP_040601179.1, XP_012978762.1, XP_012978763.1	XP_038402092.1, XP_038402091.1, XP_038402090.1
OG0002274	XP_005070229.1, XP_040606149.1, XP_012968634.1	XP_038402161.1, XP_038402160.1, XP_038402159.1, XP_038402158.1, XP_038402163.1
OG0002275	XP_012968869.1, XP_012968870.1, XP_005069905.1	XP_038402351.1
OG0002276	XP_040605901.1, XP_040600223.1	XP_038402774.1, XP_038402773.1
OG0002277	XP_012981652.1, XP_012981651.1	XP_038403264.1, XP_038432658.1
OG0002278	XP_005077125.1, XP_021086763.1	XP_038404005.1, XP_038404006.1
OG0002279	XP_021090674.1	XP_038404639.1
OG0002280	XP_040601087.1	XP_038404770.1, XP_038404771.1, XP_038404772.1
OG0002281	XP_040592847.1	XP_038404902.1
OG0002282	XP_040600960.1	XP_038404999.1, XP_038404993.1, XP_038404994.1, XP_038404995.1, XP_038404996.1, XP_038404998.1, XP_038404992.1
OG0002283	XP_040591574.1, XP_040591575.1, XP_040591577.1, XP_040591576.1, XP_040591578.1, XP_040591579.1	XP_038405177.1, XP_038405178.1
OG0002284	XP_040591561.1	XP_038405217.1
OG0002285	XP_005082155.1	XP_038405366.1, XP_038405370.1, XP_038405367.1, XP_038405368.1
OG0002286	XP_005066951.1	XP_038406022.1, XP_038406021.1
OG0002287	XP_021081112.1	XP_038406035.1
OG0002288	XP_040608636.1, XP_040608635.1, XP_040608634.1	XP_038406281.1, XP_038406278.1, XP_038406279.1
OG0002289	XP_040610130.1, XP_040610129.1, XP_040610128.1	XP_038406591.1
OG0002290	XP_005070450.1, XP_040589091.1, XP_040589090.1, XP_012969075.1	XP_038407373.1
OG0002291	XP_040589176.1	XP_038407401.1
OG0002291	XP_040594326.1	XP_038408912.1
OG0002292	XP_040614022.1	XP_038408237.1, XP_038408236.1
OG0002293	XP_005078893.1	XP_038408600.1, XP_038408602.1, XP_038432245.1, XP_038408601.1
OG0002294	XP_005078857.1, XP_012975082.1, XP_012975080.1, XP_021087850.1	XP_038408662.1
OG0002295	XP_005076541.1, XP_040594715.1	XP_038408926.1, XP_038408921.1
OG0002296	XP_005065858.1	XP_038409311.1
OG0002297	XP_012970609.1, XP_012970608.1, XP_040585302.1	XP_038410232.1, XP_038410231.1, XP_038410233.1
OG0002298	XP_012971503.1, XP_005073733.1	XP_038410568.1, XP_038410566.1
OG0002299	XP_040596591.1, XP_012965713.1	XP_038410689.1
OG0002301	XP_012969058.1	XP_038410741.1
OG0002302	XP_012966704.1, XP_012966705.1	XP_038410977.1, XP_038433628.1
OG0002303	XP_040603240.1	XP_038412164.1
OG0002304	XP_005083356.1	XP_038423868.1
OG0002304	XP_005086532.1	XP_038412301.1
OG0002305	XP_005084015.1	XP_038412610.1
OG0002306	XP_012973321.1, XP_005076260.1, XP_012973320.1, XP_040599135.1	XP_038413290.1, XP_038413289.1
OG0002308	XP_005083975.2	XP_038413674.1
OG0002309	XP_005084436.1	XP_038413841.1
OG0002310	XP_040612865.1	XP_038414100.1
OG0002311	XP_040612809.1, XP_040612808.1	XP_038414195.1
OG0002312	XP_021088763.1	XP_038414945.1
OG0002313	XP_040613881.1, XP_021080753.1	XP_038415164.1
OG0002314	XP_005083130.2	XP_038415224.1
OG0002315	XP_005082446.1	XP_038415406.1
OG0002316	XP_040597088.1	XP_038415642.1
OG0002317	XP_005066588.1	XP_038415856.1
OG0002318	XP_040587638.1	XP_038416070.1
OG0002319	XP_040587792.1	XP_038416107.1
OG0002320	XP_021088088.1	XP_038416845.1
OG0002321	XP_005073694.2	XP_038417033.1, XP_038445277.1, XP_038417012.1, XP_038445279.1, XP_038445318.1, XP_038445060.1, XP_038445361.1
OG0002322	XP_005078333.1, XP_005078332.1	XP_038417539.1
OG0002323	XP_012969575.1, XP_012969573.1, XP_040593251.1	XP_038417667.1, XP_038417668.1
OG0002324	XP_040608133.1, XP_040608134.1	XP_038417987.1, XP_038417986.1
OG0002325	XP_005084335.1, XP_012979224.1, XP_040608181.1	XP_038418123.1
OG0002326	XP_005065107.1	XP_038418393.1
OG0002326	XP_005065106.2	XP_038420404.1
OG0002327	XP_005065010.3	XP_038419203.1
OG0002328	XP_021082272.1, XP_012969894.1, XP_012969901.1	XP_038419925.1, XP_038419926.1
OG0002329	XP_040590766.1, XP_040590767.1	XP_038420493.1, XP_038420494.1, XP_038420495.1, XP_038420496.1
OG0002330	XP_040610377.1, XP_040588667.1	XP_038420528.1
OG0002331	XP_040585294.1	XP_038420730.1
OG0002332	XP_005069087.1, XP_021082216.1	XP_038421120.1
OG0002333	XP_005077733.2	XP_038421204.1
OG0002334	XP_005077746.1, XP_012974289.1	XP_038421280.1
OG0002335	XP_040594402.1	XP_038421466.1, XP_038421467.1, XP_038421465.1, XP_038421468.1
OG0002336	XP_012969669.2	XP_038421850.1
OG0002337	XP_012980033.1, XP_021091692.1, XP_021091693.1	XP_038422155.1, XP_038422156.1
OG0002338	XP_005074912.1	XP_038422205.1
OG0002339	XP_012972434.2	XP_038422219.1
OG0002340	XP_005074936.1	XP_038422296.1, XP_038422298.1, XP_038422297.1
OG0002341	XP_021085655.1, XP_005075013.1, XP_040595510.1	XP_038422443.1
OG0002342	XP_040596097.1	XP_038422587.1, XP_038422588.1, XP_038422590.1, XP_038422586.1
OG0002343	XP_012980773.2	XP_038422676.1
OG0002344	XP_012978367.1, XP_021090480.1, XP_040593594.1, XP_040593592.1, XP_021090479.1, XP_012978366.1	XP_038422934.1
OG0002345	XP_005077386.1	XP_038424147.1
OG0002346	XP_012971697.2, XP_005074167.2	XP_038424385.1, XP_038424384.1
OG0002347	XP_012971834.1, XP_005073998.1, XP_012971833.1	XP_038424422.1
OG0002348	XP_012971815.1	XP_038424625.1
OG0002349	XP_021085177.1	XP_038424639.1
OG0002350	XP_040589445.1, XP_040613268.1	XP_038424782.1, XP_038424781.1
OG0002351	XP_040595796.1, XP_040595699.1	XP_038426373.1
OG0002352	XP_012970398.1, XP_005072060.1, XP_021083990.1, XP_012970399.1	XP_038426935.1
OG0002353	XP_040602306.1	XP_038427555.1
OG0002354	XP_005086127.1, XP_012980697.1	XP_038427880.1
OG0002355	XP_012979563.1, XP_005084670.1, XP_021091300.1	XP_038428115.1
OG0002356	XP_005082304.1, XP_040609050.1, XP_040609049.1	XP_038429013.1
OG0002357	XP_040590489.1	XP_038429796.1
OG0002358	XP_040609021.1, XP_040609023.1, XP_040609024.1, XP_040609022.1	XP_038430147.1, XP_038430146.1
OG0002359	XP_021086899.1	XP_038432359.1
OG0002360	XP_040595347.1	XP_038432574.1, XP_038432576.1, XP_038432575.1
OG0002362	XP_040599577.1	XP_038433063.1
OG0002363	XP_012966844.1	XP_038433632.1
OG0002364	XP_040600021.1	XP_038434443.1
OG0002365	XP_005063571.1	XP_038434514.1
OG0002366	XP_012970822.1	XP_038434679.1
OG0002367	XP_040597426.1	XP_038435276.1
OG0002368	XP_021086826.1	XP_038435835.1
OG0002369	XP_012973288.1	XP_038435892.1
OG0002370	XP_040601997.1	XP_038436046.1, XP_038436047.1
OG0002371	XP_005068559.1	XP_038436105.1, XP_038436104.1
OG0002372	XP_012972891.1	XP_038436514.1
OG0002373	XP_005075593.1	XP_038436650.1, XP_038436649.1, XP_038436648.1
OG0002375	XP_005070930.2	XP_038437496.1, XP_038437492.1, XP_038437494.1, XP_038437495.1, XP_038437493.1
OG0002376	XP_040607699.1, XP_040607702.1, XP_040607705.1, XP_040607701.1, XP_040607703.1, XP_040607700.1, XP_040607707.1, XP_040607706.1, XP_040607704.1	XP_038437909.1
OG0002377	XP_005076110.1	XP_038438076.1, XP_038438074.1, XP_038438075.1, XP_038438077.1
OG0002378	XP_040603414.1, XP_005068176.1	XP_038438215.1, XP_038438213.1, XP_038438216.1, XP_038438212.1, XP_038438214.1
OG0002379	XP_040606638.1	XP_038438621.1
OG0002380	XP_021083637.1	XP_038438845.1
OG0002382	XP_005069763.1	XP_038439395.1
OG0002382	XP_040600611.1	XP_038442551.1
OG0002383	XP_005071670.2	XP_038439571.1
OG0002384	XP_005071668.1	XP_038439572.1
OG0002385	XP_040611603.1	XP_038439895.1
OG0002385	XP_005086738.1	XP_038439894.1
OG0002386	XP_005066423.1	XP_038440077.1
OG0002387	XP_005066417.1	XP_038440107.1
OG0002388	XP_005066536.1	XP_038440310.1
OG0002389	XP_040588206.1	XP_038440398.1
OG0002390	XP_005084549.1	XP_038441083.1
OG0002391	XP_040609396.1	XP_038441432.1, XP_038441431.1, XP_038441430.1, XP_038441433.1
OG0002392	XP_040595273.1, XP_012971343.1, XP_005073425.1	XP_038441872.1, XP_038441873.1
OG0002393	XP_012981316.2	XP_038442584.1
OG0002394	XP_040600013.1, XP_040600012.1	XP_038442802.1, XP_038442800.1
OG0002395	XP_005074293.1	XP_038442919.1
OG0002397	XP_040599724.1	XP_038444781.1, XP_038444565.1
OG0002402	XP_012971707.1	NP_001003048.1
OG0002403	XP_005077883.1	NP_001003099.1, XP_038438385.1
OG0002404	XP_040607145.1	NP_001003102.2
OG0002405	XP_040600687.1, XP_012981310.1	NP_001003229.1
OG0002406	XP_040598811.1	NP_001005262.2
OG0002407	NP_001268483.1, XP_021083629.1	NP_001006645.1
OG0002408	XP_005083752.1	NP_001008717.1
OG0002409	XP_005072943.1	NP_001008719.1
OG0002410	XP_040610369.1, XP_040610370.1, XP_040610357.1, XP_040610372.1, XP_040610361.1, XP_040610366.1	NP_001013435.2
OG0002411	NP_001268512.1, NP_001268539.1	NP_001041492.1, NP_001032422.1
OG0002412	XP_021091479.1	NP_001041547.1
OG0002413	XP_005084911.1	NP_001041554.1, XP_038403903.1
OG0002414	NP_001268874.1	NP_001041600.1
OG0002415	XP_005066863.1, XP_040597916.1, XP_040597913.1, XP_040597914.1, XP_040597915.1	NP_001138643.1
OG0002416	XP_005072918.1	NP_001138974.1
OG0002417	XP_040604289.1	NP_001191148.1
OG0002418	XP_012968196.1	NP_001191266.1
OG0002419	XP_040589143.1	NP_001191984.1
OG0002420	XP_005068762.1	NP_001238897.1, XP_038404991.1, XP_038439210.1
OG0002421	XP_040597771.1	XP_038442460.1
OG0002422	XP_040584956.1	XP_038417602.1
OG0002422	XP_040604538.1	NP_001239337.1
OG0002423	XP_040597781.1, NP_001269051.1	NP_001268960.1
OG0002424	XP_040584220.1, XP_040584223.1, XP_040584221.1, XP_040584222.1	NP_001271422.1
OG0002425	NP_001273041.1	NP_001273160.1
OG0002426	XP_005070062.1	NP_001273870.1, NP_001273869.1
OG0002427	XP_040608068.1, XP_040594820.1	NP_001273994.1
OG0002428	XP_005066597.1, XP_040587802.1, XP_040587799.1, XP_040587801.1	NP_001277040.1
OG0002429	XP_040586247.1	NP_001278354.1
OG0002430	XP_040608242.1	NP_001349528.1
OG0002431	XP_005065084.1	NP_001375543.1
OG0002432	XP_005078299.1, XP_040593369.1	NP_001375704.1
OG0002433	XP_040586187.1, XP_005069442.2	NP_001375724.1
OG0002433	XP_005069317.3	NP_001375723.1
OG0002434	XP_040613344.1, XP_040587687.1	NP_001375880.1
OG0002435	XP_040584105.1	XP_038381409.1
OG0002436	XP_021080140.1, XP_040590532.1, XP_040590531.1, XP_040590530.1	XP_038381579.1, XP_038381578.1
OG0002437	XP_040613746.1, XP_012980574.1, XP_040613747.1	XP_038381729.1
OG0002438	XP_040597568.1, XP_021085476.1, XP_012972178.1, XP_021085475.1, XP_005074670.1, XP_021085477.1	XP_038381868.1
OG0002439	XP_040614169.1, XP_040614167.1, XP_040614168.1	XP_038382198.1, XP_038382197.1, XP_038382196.1
OG0002440	XP_021080270.1, XP_005065943.1	XP_038382258.1
OG0002441	XP_040614201.1	XP_038382433.1
OG0002442	XP_005063770.1	XP_038383187.1
OG0002443	XP_012979182.1	XP_038383770.1, XP_038383768.1, XP_038383769.1
OG0002444	XP_040592142.1	XP_038383951.1, XP_038383948.1, XP_038383950.1, XP_038383953.1, XP_038383952.1, XP_038383954.1, XP_038383949.1
OG0002445	XP_005084820.1, XP_040591968.1, XP_040591969.1, XP_012979643.1	XP_038384109.1, XP_038384111.1
OG0002446	XP_005064866.1	XP_038425216.1
OG0002447	XP_040590423.1, XP_012980965.2, XP_040590424.1	XP_038384379.1
OG0002448	XP_005081314.2	XP_038385927.1
OG0002449	XP_005065663.1, XP_021078656.1, XP_012980853.1	XP_038386717.1
OG0002450	XP_005078684.1, XP_040596746.1	XP_038386874.1
OG0002451	XP_012975363.1, XP_005079221.1, XP_040607645.1	XP_038386993.1, XP_038386992.1
OG0002452	XP_012975601.1, XP_021088404.1, XP_005079542.1, XP_012975600.1, XP_040612494.1, XP_040612493.1	XP_038387151.1, XP_038445541.1, XP_038387149.1, XP_038387150.1
OG0002453	XP_040612422.1	XP_038387276.1
OG0002454	XP_040612305.1	XP_038387477.1, XP_038387478.1
OG0002455	XP_005081108.1	XP_038387709.1
OG0002456	XP_012976683.1	XP_038387774.1, XP_038387773.1, XP_038387776.1, XP_038387775.1
OG0002457	XP_021089248.1	XP_038387805.1, XP_038387806.1, XP_038387807.1
OG0002458	XP_005065352.1	XP_038388061.1
OG0002458	XP_005083363.1	XP_038423919.1
OG0002459	XP_012973914.3	XP_038388155.1
OG0002460	XP_005083998.1	XP_038388654.1
OG0002460	XP_005065756.3	XP_038388267.1
OG0002461	XP_005065739.1	XP_038388328.1, XP_038437706.1, XP_038429491.1, XP_038436246.1
OG0002462	XP_040611922.1, XP_012974721.1, XP_012974722.1	XP_038389667.1, XP_038389668.1
OG0002464	XP_021083286.1, XP_012969428.1, XP_040588075.1	XP_038390120.1
OG0002465	XP_040603636.1, XP_040603637.1, XP_021087199.1, XP_021087198.1	XP_038390463.1
OG0002466	XP_012974749.1	XP_038390574.1
OG0002467	XP_005067794.3, XP_040604623.1	XP_038390888.1, XP_038390887.1
OG0002468	XP_005082841.1	XP_038391087.1
OG0002469	XP_005082843.1, XP_012978033.1	XP_038391100.1
OG0002470	XP_040607449.1, XP_040599024.1, XP_040603784.1	XP_038426731.1, XP_038391467.1
OG0002471	XP_040585854.1, XP_021078518.1	XP_038391666.1
OG0002472	XP_040586228.1	XP_038391672.1
OG0002473	XP_012968355.1, XP_012968357.1, XP_012968356.1	XP_038391766.1
OG0002474	XP_040585938.1	XP_038391858.1
OG0002475	XP_040585908.1	XP_038392153.1
OG0002476	XP_040604697.1, XP_021081487.2, XP_012967027.2, XP_012967028.2, XP_040604695.1, XP_040604696.1	XP_038393041.1
OG0002477	XP_040597812.1, XP_040591199.1, XP_040590784.1	XP_038393954.1
OG0002478	XP_040592082.1, XP_040592075.1, XP_040592059.1, XP_040592039.1, XP_040592088.1, XP_005073135.1, XP_040592055.1, XP_040592045.1, XP_040592064.1	XP_038394096.1
OG0002479	XP_005073130.2	XP_038435808.1, XP_038394107.1
OG0002480	XP_040592475.1	XP_038394397.1
OG0002481	XP_040593236.1	XP_038394755.1
OG0002482	XP_021088851.1	XP_038395157.1
OG0002483	XP_005080472.1	XP_038395166.1
OG0002484	XP_012975916.1, XP_012975917.1	XP_038395302.1
