Orthogroup	Myotis_lucifugus	Saimiri_boliviensis_boliviensis
OG0003350	XP_023617232.1	XP_039316543.1
OG0003351	XP_023600411.1, XP_023600405.1	XP_039334417.1
OG0003352	XP_023603934.1	XP_039333841.1, XP_039333842.1
OG0003353	XP_023620603.1	XP_003930219.1
OG0003355	XP_023601810.1	XP_039333991.1
OG0003356	XP_014301518.1, XP_014301520.1	XP_010342108.1
OG0003357	XP_014315043.1, XP_006109207.1	XP_039316791.1
OG0003358	XP_014316683.1, XP_006095214.1	XP_010327949.1, XP_010327950.1
OG0003359	XP_006094923.1	XP_003930486.2
OG0003360	XP_023610586.1	XP_003930416.1
OG0003361	XP_006089943.1	XP_010339250.1
OG0003362	XP_014312294.1	XP_039315866.1
OG0003363	XP_006109930.2	XP_039320202.1, XP_039320203.1, XP_039320201.1
OG0003364	XP_006106492.1	XP_010339190.2
OG0003365	XP_006097914.1, XP_014306396.1	XP_003937833.1
OG0003366	XP_006109633.1	XP_010346682.2
OG0003367	XP_006095141.1	XP_010346677.1
OG0003368	XP_006085224.1	XP_003924777.1
OG0003369	XP_006089315.1	XP_010333827.1
OG0003370	XP_006102332.1	XP_003924345.3
OG0003371	XP_023619873.1	XP_003939893.1
OG0003372	XP_006100098.1	XP_003924351.1, XP_010333330.1
OG0003373	XP_023611361.1	XP_010339417.1
OG0003374	XP_006099645.3	XP_039325407.1
OG0003375	XP_006096081.1	XP_003924469.1
OG0003376	XP_006091075.1, XP_014313312.1	XP_010333508.1, XP_010333507.1, XP_010333506.1
OG0003377	XP_006098480.1, XP_023617922.1, XP_023617921.1	XP_003924623.1
OG0003378	XP_023608246.1	XP_003924644.1
OG0003379	XP_023608248.1, XP_006087043.1, XP_023608247.1	XP_003940965.1, XP_010349953.1
OG0003380	XP_006087048.1	XP_039325178.1
OG0003382	XP_006092515.1, XP_023612776.1	XP_003942508.1
OG0003383	XP_023612521.1	XP_010328609.1
OG0003384	XP_006107872.1	XP_010330390.1, XP_003943712.2
OG0003385	XP_023620112.1	XP_039331762.1
OG0003386	XP_014302948.1, XP_006098997.2	XP_003931295.2
OG0003387	XP_023615380.1	XP_039332980.1
OG0003388	XP_023612604.1	XP_010337998.1, XP_010337996.1, XP_010337997.1, XP_010337995.1, XP_039332434.1
OG0003389	XP_023615253.1	XP_003931453.1
OG0003390	XP_006095569.1	XP_010340336.1
OG0003391	XP_023615270.1, XP_006095574.1, XP_023615269.1	XP_003931455.1
OG0003392	XP_023615332.1, XP_006095589.1	XP_039332221.1
OG0003393	XP_006095623.2	XP_039331718.1
OG0003394	XP_006099243.1	XP_010338268.1
OG0003396	XP_006102160.1	XP_003940664.1
OG0003397	XP_023613759.1, XP_023613757.1	XP_003939344.1
OG0003399	XP_023615220.1	XP_003927848.1
OG0003401	XP_006107904.2	XP_039319043.1
OG0003402	XP_006106286.1	XP_039318996.1
OG0003403	XP_006098572.1	XP_003932866.1
OG0003404	XP_006098579.1	XP_003932870.1
OG0003405	XP_023618028.1	XP_039319199.1, XP_039319200.1, XP_039316937.1
OG0003406	XP_023599555.1	XP_010341790.1, XP_039319126.1, XP_010341792.1
OG0003407	XP_014304724.1	XP_003932949.1
OG0003408	XP_006105785.1	XP_039319103.1, XP_039319101.1, XP_039319104.1, XP_039319102.1
OG0003409	XP_023617843.1	XP_039317563.1, XP_039324782.1
OG0003410	XP_006083364.1	XP_039319291.1, XP_039319293.1
OG0003411	XP_023602270.1	XP_039332242.1
OG0003412	XP_006102604.1	XP_039316360.1
OG0003413	XP_006081200.1	XP_003920734.1
OG0003414	XP_006101293.1	XP_039331190.1
OG0003415	XP_014319824.1	XP_010330023.1
OG0003416	XP_014301114.1, XP_006103280.1	XP_003940104.1, XP_010349085.1
OG0003417	XP_023616145.1, XP_023616146.1, XP_023616143.1, XP_023616144.1, XP_023616147.1, XP_023616142.1, XP_014317885.1	XP_010349109.1
OG0003418	XP_023609084.1	XP_010349132.1, XP_003940151.1
OG0003419	XP_006088107.1	XP_003925298.3, XP_010334292.2
OG0003420	XP_023601800.1	XP_039330759.1
OG0003421	XP_006091162.1	XP_003925229.1
OG0003422	XP_014301760.1	XP_010330937.1
OG0003423	XP_006104719.1	XP_010330915.2
OG0003424	XP_023618072.1	XP_003923115.1
OG0003426	XP_023619114.1	XP_010332279.2
OG0003427	XP_023613480.1	XP_003926431.1, XP_010335456.1, XP_010335457.1
OG0003428	XP_014317306.1	XP_003922965.1
OG0003429	XP_023605903.1	XP_039323376.1
OG0003430	XP_006104091.1	XP_003936014.1
OG0003431	XP_023600618.1	XP_010340865.2
OG0003432	XP_006093414.1	XP_003940719.1
OG0003434	XP_006094023.1	XP_010342458.1
OG0003435	XP_006100259.2	XP_039320191.1, XP_039320190.1
OG0003436	XP_023618492.1	XP_010343366.1
OG0003437	XP_006085107.1	XP_039328547.1
OG0003438	XP_023609632.1	XP_003935235.1
OG0003439	XP_014317649.1	XP_039328958.1
OG0003440	XP_006098767.1	XP_010342035.1
OG0003441	XP_006109834.1	XP_010342014.1, XP_039328785.1, XP_039328783.1, XP_039328786.1
OG0003442	XP_006090566.1	XP_003921083.1
OG0003443	XP_023608492.1	XP_039329476.1, XP_010345833.1
OG0003444	XP_006099183.1, XP_014320151.1	XP_039318514.1, XP_039318776.1, XP_010345869.1
OG0003445	XP_006094211.1	XP_010346378.1, XP_003937551.1, XP_010346377.1
OG0003446	XP_014319296.1	XP_003936945.1
OG0003447	XP_023608446.1	XP_003936989.1
OG0003448	XP_014309955.1, XP_023608452.1, XP_006087267.1	XP_010345776.1, XP_003937003.1, XP_003937002.1, XP_010345777.1
OG0003449	XP_023608612.1	XP_003924429.1, XP_039324848.1
OG0003450	XP_006084033.1	XP_010336759.1
OG0003451	XP_023609053.1	XP_003928020.2
OG0003452	XP_014311498.1	XP_003928018.1
OG0003453	XP_014323768.1	XP_003941883.1
OG0003454	XP_023614657.1	XP_039328574.1
OG0003455	XP_006094777.1	XP_003929815.1, XP_039329996.1
OG0003456	XP_014316308.2	XP_039328481.1
OG0003457	XP_006094768.1	XP_039328839.1
OG0003458	XP_023606774.1	XP_039328528.1, XP_039328527.1, XP_039328529.1
OG0003459	XP_006096981.1	XP_010338750.2, XP_010347209.1
OG0003460	XP_006085411.1	XP_003929892.2, XP_010338751.2
OG0003461	XP_023620307.1, XP_023602884.1, XP_023620305.1, XP_023604610.1	XP_003929895.1
OG0003462	XP_023620317.1	XP_010338794.1
OG0003463	XP_023603795.1	XP_039328935.1
OG0003464	XP_014309113.1	XP_039319341.1, XP_039316893.1
OG0003465	XP_023612921.1	XP_003935615.1
OG0003466	XP_006092736.1	XP_039324344.1
OG0003467	XP_014306655.1, XP_006109353.2, XP_023603942.1	XP_010342711.1
OG0003469	XP_023620853.1	XP_039331400.1
OG0003470	XP_006109494.2, XP_006108798.3	XP_003939477.1
OG0003471	XP_006096069.1, XP_006096068.1	XP_003927253.1
OG0003472	XP_006083509.1	XP_003935300.1
OG0003473	XP_023616384.1	XP_003922632.1
OG0003474	XP_006096852.1	XP_003922633.1
OG0003475	XP_006092570.1	XP_039316736.1
OG0003476	XP_006097538.1	XP_003933586.1
OG0003477	XP_023617016.1, XP_006109077.2	XP_039316904.1
OG0003478	XP_006082225.1	XP_039320084.1, XP_039318872.1, XP_003934568.1
OG0003479	XP_006095309.1	XP_010328016.1, XP_003941993.1
OG0003480	XP_023612782.1	XP_003933519.1
OG0003481	XP_023603289.1	XP_039318017.1
OG0003482	XP_023604600.1	XP_039318000.1
OG0003483	XP_014308286.1	XP_010342557.1
OG0003484	XP_006099950.1	XP_003920052.1, XP_003920053.1, XP_003920051.1
OG0003485	XP_014320825.1, XP_006099946.1	XP_039327354.1
OG0003486	XP_023617590.1	XP_010331470.2
OG0003487	XP_006091941.1, XP_006088449.1	XP_003920187.1
OG0003488	XP_023612299.1	XP_003920116.1
OG0003489	XP_006107578.1	XP_039327238.1
OG0003492	XP_014303998.1	XP_010346531.1
OG0003493	XP_023607073.1	XP_039335909.1
OG0003494	XP_006102900.1, XP_014314521.2	XP_010340523.2
OG0003495	XP_014323652.1	XP_039335974.1
OG0003496	XP_006091341.1	XP_003922026.1
OG0003497	XP_014305733.1	XP_010345426.2
OG0003499	XP_006083885.1	XP_039334885.1
OG0003500	XP_006083911.1	XP_003927137.1
OG0003501	XP_023611405.1	XP_039333645.1
OG0003502	XP_006104616.1	XP_003941819.1
OG0003503	XP_023601565.1	XP_039321801.1, XP_003941831.1, XP_039321800.1
OG0003504	XP_023601126.1	XP_010347981.2
OG0003505	XP_023616581.1	XP_003938962.1
OG0003506	XP_023601768.1	XP_010347839.2
OG0003507	XP_006106973.1, XP_006106974.1, XP_023603445.1, XP_006106972.1	XP_039321556.1, XP_039321557.1
OG0003508	XP_006105972.1	XP_039322667.1, XP_039322668.1, XP_039322665.1
OG0003509	XP_023602589.1	XP_039322944.1
OG0003510	XP_006084341.1	XP_003934602.1
OG0003511	XP_006091133.3	XP_039327318.1
OG0003512	XP_006094721.1, XP_023619797.1	XP_003923498.1
OG0003513	XP_006094542.1	XP_039326768.1, XP_039326767.1
OG0003514	XP_014316221.1, XP_006094574.1, XP_023614568.1	XP_003923457.1, XP_039326909.1
OG0003515	XP_006105633.1	XP_003919815.1
OG0003516	XP_023610353.1, XP_006093925.1	XP_003919918.1
OG0003517	XP_006093872.1	XP_010348037.2
OG0003518	XP_006083558.1	XP_003934440.2
OG0003518	XP_006083559.3	XP_003934439.2
OG0003519	XP_023619968.1	XP_003928266.1, XP_003928267.1
OG0003520	XP_023608213.1	XP_039329113.1
OG0003521	XP_006097998.1	XP_039335656.1, XP_003942971.1, XP_039335278.1
OG0003522	XP_014321514.1	XP_003926270.1
OG0003523	XP_023619184.1, XP_023605043.1	XP_003930929.1
OG0003524	XP_023608682.1	XP_039336143.1
OG0003525	XP_023612032.1	XP_010345215.2
OG0003525	XP_023612026.1	XP_003936498.1
OG0003526	XP_006089441.1	XP_010350052.1
OG0003527	XP_014311919.1	XP_039335272.1
OG0003528	XP_006089461.1, XP_023610127.1, XP_023610128.1	XP_039335484.1
OG0003529	XP_006089467.1	XP_003932174.1
OG0003530	XP_006089515.1	XP_003932075.1
OG0003532	XP_006091477.1	XP_010345193.1
OG0003533	XP_023612016.1	XP_003936461.1
OG0003534	XP_014313551.1	XP_039335672.1
OG0003535	XP_006098047.1, XP_006098046.1	XP_003932606.2
OG0003536	XP_023604664.1	XP_039335604.1
OG0003536	XP_006099152.1	XP_003932637.2
OG0003538	XP_006092178.1	XP_003919797.2
OG0003539	XP_023607025.1	XP_039330456.1, XP_039331033.1
OG0003539	XP_006085141.1, XP_014307986.1, XP_014307985.1	XP_039332703.1
OG0003540	XP_023617775.1	XP_039329142.1
OG0003541	XP_006081953.1	XP_039335102.1
OG0003542	XP_006081960.1	XP_039335111.1
OG0003543	XP_014323785.1	XP_010345985.1
OG0003545	XP_006082742.1	XP_010345522.1, XP_003936787.1, XP_010345523.1
OG0003546	XP_014322567.1	XP_003936816.2
OG0003547	XP_006083083.1	XP_039325930.1, XP_039325931.1
OG0003548	XP_014317957.1	XP_039328269.1, XP_010341125.1
OG0003549	XP_006108965.1, XP_006109786.1	XP_003932334.2
OG0003550	XP_023617833.1	XP_039318266.1
OG0003551	XP_023618702.1	XP_039318373.1, XP_039318305.1
OG0003552	XP_006099573.1	XP_003942684.1, XP_010328762.1
OG0003553	XP_006092181.1	XP_010343367.1
OG0003554	XP_006092187.1	XP_010343355.1
OG0003555	XP_014307097.1	XP_039317530.1
OG0003556	XP_023605844.1, XP_006084349.1, XP_006084350.1	XP_010343419.1
OG0003557	XP_014313006.1	XP_010335599.1
OG0003558	XP_006091566.1	XP_003939155.1
OG0003559	XP_023612136.1	XP_003939181.1, XP_003939182.1
OG0003560	XP_014305263.2	XP_010330402.1, XP_010330395.1, XP_003922178.1
OG0003561	XP_023616243.1	XP_039321028.1
OG0003562	XP_006095944.1	XP_039320885.1, XP_039320886.1
OG0003563	XP_023615589.1	XP_039320906.1
OG0003564	XP_023609101.1, XP_014310817.2, XP_014305841.2, XP_023609103.1, XP_023609102.1, XP_023609104.1, XP_014310807.2, XP_023609105.1, XP_006088226.1	XP_039320992.1
OG0003565	XP_023604142.1	XP_039321252.1
OG0003565	XP_023604143.1, XP_014305152.1	XP_039318531.1
OG0003566	XP_023601024.1	XP_039320957.1
OG0003567	XP_006085339.1	XP_039320870.1
OG0003568	XP_014312976.1	XP_039320413.1, XP_010337053.2
OG0003569	XP_023613240.1	XP_039318706.1, XP_010344518.1
OG0003570	XP_023613255.1	XP_003935738.2
OG0003571	XP_006093162.1	XP_010337855.1
OG0003572	XP_006105581.2	XP_010337821.2
OG0003572	XP_014305780.1	XP_039324819.1
OG0003573	XP_014303136.1	XP_010337816.1, XP_010337815.1
OG0003574	XP_006086007.1	XP_039318867.1, XP_039318868.1
OG0003575	XP_006085971.1	XP_039325094.1
OG0003576	XP_023604970.1	XP_039336544.1
OG0003577	XP_006104865.1, XP_023608752.1	XP_010348369.1, XP_039336362.1
OG0003578	XP_023616226.1	XP_039323951.1
OG0003579	XP_006100358.1	XP_003929568.1
OG0003580	XP_023606184.1, XP_006084667.1	XP_010333086.1, XP_003924052.1
OG0003581	XP_006084655.1	XP_039324444.1, XP_010343997.1
OG0003582	XP_023606094.1	XP_003923995.1
OG0003583	XP_006084575.1	XP_039324155.1
OG0003584	XP_006094510.1	XP_010344301.1
OG0003585	XP_006094520.1	XP_003935497.1
OG0003586	XP_006092877.1	XP_039317919.1
OG0003587	XP_023606259.1	XP_003926249.1
OG0003588	XP_006084863.1	XP_039334524.1, XP_039334523.1
OG0003591	XP_014323087.1	XP_010349954.1
OG0003592	XP_006098455.1	XP_039321792.1, XP_003940875.1
OG0003593	XP_006082417.1	XP_003940862.1, XP_010349860.1
OG0003594	XP_006082422.1	XP_003940858.1
OG0003595	XP_006082441.1	XP_039326035.1, XP_010334772.1, XP_010334771.1, XP_010334770.1, XP_010334769.1
OG0003596	XP_014319937.1	XP_039325526.1
OG0003597	XP_006082538.1	XP_003925632.2
OG0003598	XP_006094886.1	XP_003938372.1, XP_039322798.1
OG0003599	XP_006094372.1	XP_003930390.1
OG0003600	XP_023600716.1, XP_006108648.3	XP_003930381.2
OG0003601	XP_006104772.1	XP_003928116.1, XP_003928115.1
OG0003602	XP_006097005.1	XP_039315744.1
OG0003603	XP_023600710.1	XP_010339220.1, XP_039319418.1, XP_010339221.1
OG0003605	XP_023608759.1, XP_023608758.1, XP_023606227.1, XP_023608760.1	XP_039319947.1
OG0003606	XP_014306742.1	XP_003920320.1
OG0003608	XP_006085676.1	XP_003924150.1
OG0003609	XP_006097218.1	XP_010348480.1
OG0003610	XP_014318493.1	XP_003939608.1
OG0003611	XP_006082926.1, XP_023619978.1	XP_010330697.1
OG0003612	XP_006083004.1	XP_003936910.1
OG0003613	XP_023614437.1	XP_003935915.1
OG0003614	XP_006082184.1	XP_003931166.1
OG0003615	XP_023608806.1	XP_003943456.1, XP_039319960.1
OG0003616	XP_006087576.1, XP_006087577.1	XP_003924394.2
OG0003617	XP_006093748.1	XP_003939337.1
OG0003618	XP_006108588.1, XP_023600472.1, XP_014306302.1	XP_039319880.1, XP_039323258.1
OG0003620	XP_023600067.1	XP_010332813.1
OG0003621	XP_006100144.1	XP_003924386.1
OG0003622	XP_006082127.1, XP_006082126.1, XP_023613551.1, XP_023613554.1	XP_003931207.1, XP_003931206.2
OG0003631	XP_006097663.2	XP_003924553.1
OG0003633	XP_023614544.1	XP_003935934.1
OG0003634	XP_006100718.1	XP_010338053.2
OG0003635	XP_014316510.1	XP_010340784.1, XP_003931833.1
OG0003639	XP_006107817.3	XP_003931452.2
OG0003640	XP_014312567.1	XP_003937256.2
OG0003641	XP_023601500.1	XP_010342843.2
OG0003642	XP_006105206.1	XP_003933118.1
OG0003643	XP_023618239.1, XP_023604983.1, XP_023618262.1	XP_003943873.1
OG0003645	XP_023616700.1	XP_003939648.2
OG0003646	XP_023615987.1	XP_003925706.3
OG0003647	XP_014302763.1, XP_023601941.1, XP_014306587.2	XP_003933316.2
OG0003648	XP_006092480.1, XP_014314351.1, XP_023612700.1, XP_023612701.1, XP_023612699.1	XP_003931844.2
OG0003649	XP_023612404.1	XP_003920095.1
OG0003651	XP_006109582.1	XP_010329449.1
OG0003652	XP_014313041.1, XP_014313042.1	XP_003928210.2
OG0003653	XP_023609844.1	XP_039316653.1, XP_039316654.1
OG0003654	XP_006097010.1	XP_039324751.1
OG0003655	XP_006098883.1	XP_039323856.1, XP_010340464.1
OG0003656	XP_023608320.1	XP_039330877.1
OG0003658	XP_006083428.1	XP_010331914.2, XP_010331915.2, XP_010331912.2
OG0003659	XP_014303125.1	XP_010338093.1
OG0003660	XP_006094617.1	XP_010332529.2
OG0003661	XP_006083892.1	XP_039334920.1
OG0003662	XP_023611581.1	XP_010333457.2
OG0003664	XP_023601629.1, XP_006104753.1	XP_003928123.1
OG0003665	XP_006089667.1	XP_039327062.1, XP_039327063.1
OG0003666	XP_014304557.1, XP_023603602.1	XP_039327170.1, XP_039327171.1
OG0003667	XP_006102225.1	XP_003944571.1
OG0003668	XP_014318519.1	XP_039330307.1
OG0003669	XP_006084916.1	XP_003927012.1, XP_039322961.1
OG0003670	XP_006107901.1	XP_003923644.1
OG0003671	XP_023610265.1, XP_014309802.1, XP_006081120.1	XP_039316212.1, XP_003934262.2
OG0003673	XP_014316433.1	XP_003930479.2, XP_010339311.2
OG0003674	XP_006108545.3	XP_039320151.1
OG0003675	XP_006103535.1	XP_003930115.1
OG0003676	XP_006108540.1	XP_039326712.1
OG0003677	XP_006095222.1	XP_003941939.1
OG0003679	XP_006107512.1	XP_003938963.3
OG0003683	XP_006089761.1, XP_006107836.1	XP_003919840.1
OG0003685	XP_006097229.1	XP_010334919.1, XP_039318911.1
OG0003686	XP_023603074.1	XP_039323093.1
OG0003687	XP_023604977.1	XP_039322932.1
OG0003688	XP_023616330.1	XP_010346313.1
OG0003689	XP_006109811.1	XP_003926104.1
OG0003690	XP_006097464.1	XP_003926026.1
OG0003691	XP_023608432.1	XP_010335035.2, XP_003926053.2
OG0003692	XP_006087243.2	XP_010335036.2
OG0003693	XP_014309928.1, XP_006087235.2, XP_014309929.1	XP_003926060.1, XP_003926059.1
OG0003694	XP_006087195.1	XP_039319760.1
OG0003695	XP_006084524.1	XP_010341322.1
OG0003696	XP_006102271.1	XP_003943604.1, XP_010329724.1
OG0003697	XP_006103824.1	XP_003933821.1
OG0003698	XP_014305162.1	XP_010342636.1
OG0003700	XP_014309587.1	XP_039317447.1
OG0003701	XP_006102259.1	XP_039331223.1, XP_039331224.1, XP_039330598.1
OG0003702	XP_023600435.1	XP_039321719.1
OG0003703	XP_014319835.1	XP_039330731.1
OG0003704	XP_006107805.1, XP_014303715.1	XP_010330226.1
OG0003707	XP_023602222.1	XP_039322716.1
OG0003710	XP_006109692.1	XP_039322461.1
OG0003711	XP_023599337.1	XP_003944584.1
OG0003712	XP_006103643.1	XP_003943251.1
OG0003713	XP_023615635.1	XP_039322354.1
OG0003715	XP_006108699.2, XP_014305039.2, XP_023600014.1, XP_006109306.1, XP_023604051.1, XP_023599999.1, XP_023600018.1	XP_039330444.1
OG0003718	XP_006081390.1, XP_023606532.1	XP_003920898.1
OG0003719	XP_014303496.1	XP_003937311.1
OG0003720	XP_023601201.1	XP_003934899.2, XP_010343738.2
OG0003721	XP_014315702.1	XP_010343755.1
OG0003722	XP_014315777.1	XP_039329524.1
OG0003724	XP_023606235.1, XP_014306906.1, XP_014306902.1	XP_039316344.1
OG0003725	XP_023600991.1	XP_010349537.2
OG0003726	XP_023603017.1	XP_003921681.1
OG0003727	XP_023604391.1	XP_010348072.1
OG0003728	XP_006108321.3	XP_039335864.1, XP_039321876.1
OG0003729	XP_006105419.1, XP_014303023.1	XP_039324324.1, XP_039324325.1, XP_039324469.1
OG0003732	XP_006088577.1	XP_039324237.1, XP_039324236.1, XP_010336490.1, XP_039324235.1
OG0003733	XP_006081684.1	XP_039316295.1, XP_039316294.1
OG0003734	XP_014308988.1	XP_003928954.1
OG0003735	XP_006104560.1	XP_039320235.1
OG0003736	XP_014302496.2	XP_039320178.1
OG0003737	XP_023610384.1	XP_039333712.1
OG0003738	XP_023610910.1	XP_003928677.1
OG0003739	XP_023610912.1	XP_003939829.2, XP_010348779.2
OG0003740	XP_014310181.2	XP_003936145.3
OG0003741	XP_023609538.1	XP_010344921.1
OG0003743	XP_023609845.1	XP_010343636.1
OG0003744	XP_014311659.1	XP_039326783.1
OG0003746	XP_023617761.1	XP_010332644.1
OG0003747	XP_023599021.1	XP_039327352.1
OG0003748	XP_006108646.3	XP_010332738.1, XP_003923649.1
OG0003749	XP_006109891.2	XP_003923658.1
OG0003750	XP_014302157.1	XP_010332784.2
OG0003751	XP_023600063.1	XP_010332822.2
OG0003752	XP_006093545.1, XP_023613690.1	XP_003923760.1, XP_003923759.1
OG0003753	XP_006100720.1	XP_003929170.1
OG0003754	XP_006102817.1	XP_003931416.1
OG0003755	XP_023599627.1	XP_039332375.1
OG0003756	XP_014303280.1, XP_014306343.2	XP_039331841.1
OG0003757	XP_006089834.1	XP_003921526.1
OG0003758	XP_014317560.1	XP_003921543.1
OG0003759	XP_023608594.1	XP_039329454.1
OG0003761	XP_006102972.2	XP_010348567.1, XP_010348568.1
OG0003762	XP_023603501.1	XP_003927969.2
OG0003763	XP_023616867.1	XP_039334842.1, XP_039327025.1
OG0003764	XP_023608330.1	XP_003922864.2
OG0003765	XP_006088284.1	XP_039316678.1
OG0003766	XP_023613557.1	XP_010343005.1
OG0003767	XP_014308607.2	XP_003934261.1
OG0003768	XP_014309491.1, XP_006081123.1	XP_039316301.1
OG0003769	XP_006097754.1	XP_003934289.1
OG0003772	XP_014304014.1	XP_003930262.1
OG0003773	XP_023620605.1, XP_006105374.1	XP_010339071.1
OG0003774	XP_006108200.1, XP_006100991.1	XP_010336781.2, XP_003928446.3
OG0003775	XP_023620250.1	XP_010337349.1
OG0003776	XP_023620260.1	XP_039334344.1
OG0003777	XP_023613407.1	XP_010342165.1
OG0003778	XP_006093221.1	XP_003943301.1
OG0003779	XP_023602646.1	XP_003930089.2
OG0003780	XP_006094954.1	XP_010339316.1
OG0003781	XP_006095221.2	XP_010327955.1
OG0003782	XP_006087460.1	XP_003924406.2
OG0003784	XP_023610588.1, XP_006089988.1	XP_010339289.1
OG0003785	XP_023610522.1	XP_003930405.1, XP_010339247.1
OG0003786	XP_023609735.1	XP_039315868.1
OG0003787	XP_023601622.1	XP_039321142.1, XP_039320227.1
OG0003788	XP_014319029.2	XP_010346750.1
OG0003789	XP_006097893.1, XP_014319063.1, XP_014319061.1	XP_039316182.1
OG0003790	XP_023612175.1	XP_010333741.1
OG0003791	XP_023617950.1	XP_003924589.1
OG0003792	XP_023619604.1	XP_010344136.1
OG0003793	XP_006100565.1	XP_010348855.1, XP_003939892.1
OG0003794	XP_006099644.1	XP_003930535.1
OG0003795	XP_023620882.1	XP_003939916.1
OG0003796	XP_023619829.1	XP_010348846.1
OG0003797	XP_023603670.1	XP_010340545.1
OG0003799	XP_006107754.1	XP_039332229.1
OG0003800	XP_023600526.1	XP_039332612.1, XP_039332613.1, XP_039332614.1
OG0003801	XP_023604604.1	XP_039332494.1
OG0003802	XP_023612613.1	XP_039332361.1
OG0003803	XP_014314262.1	XP_010329786.1
OG0003804	XP_023620153.1	XP_039332785.1
OG0003805	XP_014319986.1	XP_039332506.1
OG0003806	XP_023615390.1	XP_039332556.1, XP_039332558.1, XP_039332555.1, XP_039332557.1
OG0003807	XP_006092290.1	XP_039331944.1
OG0003808	XP_006095607.1	XP_039332804.1
OG0003809	XP_006095609.1	XP_039332801.1
OG0003810	XP_006105192.1	XP_003933120.2
OG0003811	XP_006109433.3	XP_039317309.1
OG0003812	XP_006108871.1	XP_039317167.1
OG0003813	XP_023603561.1	XP_039317223.1
OG0003814	XP_023600214.1	XP_003940628.2
OG0003815	XP_014317713.1, XP_006096352.1	XP_003940704.1
OG0003816	XP_023611730.1, XP_006091190.1	XP_003925209.1
OG0003817	XP_014322033.1, XP_006091191.1	XP_010334172.1, XP_003925211.1
OG0003818	XP_006093631.1	XP_003926518.1, XP_010335533.1
OG0003819	XP_023615232.1	XP_003927850.1
OG0003820	XP_023618550.1	XP_039328378.1
OG0003821	XP_023604503.1	XP_039319166.1
OG0003822	XP_006102481.1	XP_039318976.1
OG0003823	XP_006108935.1, XP_014318927.1, XP_014318928.1, XP_023617287.1, XP_023617286.1	XP_003941353.1
OG0003824	XP_006097790.1	XP_003941342.1, XP_010350356.1
OG0003825	XP_006083350.1	XP_010331851.1
OG0003826	XP_014323229.1	XP_039318957.1
OG0003827	XP_023619292.1, XP_006081708.1	XP_039316250.1
OG0003828	XP_023600525.1	XP_010337813.1
OG0003829	XP_006090748.1	XP_039331040.1
OG0003830	XP_006101286.1	XP_003939764.1
OG0003831	XP_006103276.1	XP_039317293.1
OG0003832	XP_006096555.1	XP_003940117.1, XP_010349104.1, XP_039331208.1
OG0003833	XP_023616105.1	XP_039331203.1
OG0003834	XP_023605009.1, XP_006088160.2	XP_039330734.1
OG0003835	XP_023609033.1, XP_023609032.1, XP_006088066.1	XP_003925266.1
OG0003836	XP_023600661.1	XP_003923303.2
OG0003837	XP_006093308.2, XP_006108564.1	XP_003923141.1
OG0003838	XP_023600935.1	XP_039323352.1, XP_039323350.1, XP_003939556.2
OG0003839	XP_014302420.1	XP_003944386.1
OG0003840	XP_023601644.1	XP_003923219.1
OG0003841	XP_006107006.1	XP_003923252.1
OG0003842	XP_006098641.1	XP_003923117.1
OG0003843	XP_006093299.1, XP_023613458.1, XP_023613457.1, XP_014315121.1, XP_014315124.1, XP_006093300.1	XP_003926438.1
OG0003844	XP_023610044.1	XP_003926388.1
OG0003845	XP_023602571.1	XP_010329605.1, XP_039331555.1
OG0003846	XP_006109258.2, XP_023619380.1	XP_039320817.1
OG0003847	XP_006085272.1	XP_003938636.1
OG0003849	XP_023605068.1	XP_003942122.1
OG0003850	XP_006107218.1, XP_014304635.1, XP_023609786.1	XP_003942102.1
OG0003851	XP_006095701.1	XP_010340858.1
OG0003852	XP_006094463.1	XP_010340881.1
OG0003853	XP_014304086.1	XP_039328755.1
OG0003854	XP_006099140.1	XP_010343381.1
OG0003855	XP_006085004.1, XP_014307861.1, XP_014307859.1	XP_010343527.1, XP_010343520.1, XP_003921240.1
OG0003856	XP_006085393.1	XP_039317985.1
OG0003857	XP_006085487.1	XP_010339608.1
OG0003858	XP_023615837.1, XP_023615836.1	XP_039328893.1
OG0003859	XP_006108966.1, XP_006087523.1	XP_003935834.2
OG0003861	XP_014310044.2	XP_003921788.3
OG0003862	XP_006087259.1	XP_003936985.1, XP_039330394.1, XP_039330393.1, XP_039330392.1
OG0003863	XP_006084081.1	XP_003927928.1
OG0003864	XP_023605570.1	XP_039328376.1
OG0003865	XP_006081801.1	XP_010336937.1
OG0003866	XP_023609342.1	XP_010328871.2, XP_010328870.2
OG0003867	XP_006104124.2	XP_003938993.2
OG0003868	XP_023609567.1	XP_039328863.1, XP_039328862.1
OG0003869	XP_023614660.1	XP_039328517.1
OG0003870	XP_023599659.1	XP_039328540.1, XP_039328541.1
OG0003871	XP_023602677.1	XP_039328961.1
OG0003872	XP_006086273.1	XP_039319327.1
OG0003873	XP_014318741.1	XP_039316867.1
OG0003874	XP_006096943.1, XP_014318260.1	XP_003944425.2
OG0003875	XP_023612216.1, XP_014313842.1	XP_003927220.2, XP_003935295.2
OG0003876	XP_006091753.1, XP_023612199.1	XP_003935307.1
OG0003877	XP_006083498.1, XP_014303519.1	XP_010335877.1
