Orthogroup	Myotis_lucifugus	Loxodonta_africana
OG0003376	XP_006091075.1, XP_014313312.1	XP_003408571.1
OG0003377	XP_006098480.1, XP_023617922.1, XP_023617921.1	XP_003408832.2
OG0003378	XP_023608246.1	XP_023402187.1
OG0003379	XP_023608248.1, XP_006087043.1, XP_023608247.1	XP_003408854.1, XP_023402229.1
OG0003380	XP_006087048.1	XP_003408856.1
OG0003382	XP_006092515.1, XP_023612776.1	XP_010595334.2, XP_023412765.1
OG0003383	XP_023612521.1	XP_023409207.1
OG0003384	XP_006107872.1	XP_003414337.1
OG0003385	XP_023620112.1	XP_003414742.1
OG0003386	XP_014302948.1, XP_006098997.2	XP_023409376.1, XP_023409381.1, XP_023409378.1, XP_023409379.1, XP_003414702.1, XP_023409377.1, XP_023409380.1
OG0003387	XP_023615380.1	XP_003414637.1
OG0003388	XP_023612604.1	XP_003414618.1
OG0003389	XP_023615253.1	XP_023411946.1
OG0003390	XP_006095569.1	XP_010594742.1
OG0003391	XP_023615270.1, XP_006095574.1, XP_023615269.1	XP_003416896.1
OG0003392	XP_023615332.1, XP_006095589.1	XP_003416984.1
OG0003393	XP_006095623.2	XP_023412008.1
OG0003394	XP_006099243.1	XP_010594787.1, XP_003416859.1
OG0003396	XP_006102160.1	XP_003407770.1, XP_023400676.1
OG0003397	XP_023613759.1, XP_023613757.1	XP_003405155.1
OG0003398	XP_023620003.1	XP_023414108.1
OG0003399	XP_023615220.1	XP_023414652.1, XP_023414657.1
OG0003401	XP_006107904.2	XP_003422895.1
OG0003402	XP_006106286.1	XP_003419769.1
OG0003403	XP_006098572.1	XP_003419783.2
OG0003405	XP_023618028.1	XP_003419862.1
OG0003406	XP_023599555.1	XP_003419892.3
OG0003407	XP_014304724.1	XP_010597638.1
OG0003408	XP_006105785.1	XP_023415718.1
OG0003409	XP_023617843.1	XP_003413659.1
OG0003410	XP_006083364.1	XP_023412933.1
OG0003411	XP_023602270.1	XP_023412952.1
OG0003412	XP_006102604.1	XP_003404756.1
OG0003414	XP_006101293.1	XP_010586349.2
OG0003415	XP_014319824.1	XP_023400942.1
OG0003416	XP_014301114.1, XP_006103280.1	XP_003407904.1
OG0003417	XP_023616145.1, XP_023616146.1, XP_023616143.1, XP_023616144.1, XP_023616147.1, XP_023616142.1, XP_014317885.1	XP_003407890.1
OG0003418	XP_023609084.1	XP_023400852.1, XP_003407877.1, XP_023400853.1
OG0003419	XP_006088107.1	XP_023400839.1
OG0003420	XP_023601800.1	XP_010586009.1
OG0003421	XP_006091162.1	XP_003407822.2
OG0003422	XP_014301760.1	XP_003422504.1
OG0003423	XP_006104719.1	XP_003422512.1
OG0003424	XP_023618072.1	XP_010587291.1
OG0003426	XP_023619114.1	XP_003404200.1
OG0003427	XP_023613480.1	XP_003404472.1
OG0003428	XP_014317306.1	XP_003404378.1
OG0003429	XP_023605903.1	XP_010597007.1
OG0003430	XP_006104091.1	XP_023398627.1
OG0003431	XP_023600618.1	XP_003415990.1
OG0003431	XP_006103636.2	XP_023410864.1
OG0003432	XP_006093414.1	XP_003408473.1, XP_010586740.1
OG0003434	XP_006094023.1	XP_023410821.1
OG0003435	XP_006100259.2	XP_003421264.1
OG0003436	XP_023618492.1	XP_010585593.1
OG0003437	XP_006085107.1	XP_003407143.1
OG0003438	XP_023609632.1	XP_010585488.1
OG0003439	XP_014317649.1	XP_010585670.1
OG0003440	XP_006098767.1	XP_003407069.1
OG0003441	XP_006109834.1	XP_003407287.1
OG0003442	XP_006090566.1	XP_023400359.1
OG0003443	XP_023608492.1	XP_003415576.1
OG0003444	XP_006099183.1, XP_014320151.1	XP_010593531.1, XP_003415362.1, XP_010593532.1
OG0003445	XP_006094211.1	XP_010593661.1
OG0003446	XP_014319296.1	XP_003415620.1
OG0003447	XP_023608446.1	XP_003415399.1
OG0003448	XP_014309955.1, XP_023608452.1, XP_006087267.1	XP_010593584.1
OG0003449	XP_023608612.1	XP_023396434.1
OG0003450	XP_006084033.1	XP_003405277.1
OG0003451	XP_023609053.1	XP_003417565.1
OG0003452	XP_014311498.1	XP_023412882.1
OG0003453	XP_014323768.1	XP_003409860.1
OG0003454	XP_023614657.1	XP_023394907.1
OG0003455	XP_006094777.1	XP_023394930.1, XP_023394929.1, XP_003420259.1
OG0003456	XP_014316308.2	XP_023394919.1
OG0003457	XP_006094768.1	XP_010598070.1
OG0003458	XP_023606774.1	XP_023395288.1
OG0003459	XP_006096981.1	XP_023404043.1
OG0003460	XP_006085411.1	XP_003420596.2
OG0003462	XP_023620317.1	XP_003409854.1, XP_010588380.1
OG0003463	XP_023603795.1	XP_003420777.1
OG0003464	XP_014309113.1	XP_003412578.1
OG0003465	XP_023612921.1	XP_003412479.2
OG0003466	XP_006092736.1	XP_010590833.1
OG0003467	XP_014306655.1, XP_006109353.2, XP_023603942.1	XP_003415879.1, XP_023410769.1
OG0003468	XP_006105178.1, XP_023601986.1	XP_023397195.1
OG0003468	XP_023601991.1	XP_023397209.1, XP_010599867.1
OG0003469	XP_023620853.1	XP_010591028.1, XP_010591029.1, XP_023414286.1
OG0003470	XP_006109494.2, XP_006108798.3	XP_003411843.1
OG0003471	XP_006096069.1, XP_006096068.1	XP_010590230.1, XP_023406199.1
OG0003472	XP_006083509.1	XP_023406235.1
OG0003473	XP_023616384.1	XP_003413738.1
OG0003474	XP_006096852.1	XP_003413737.1
OG0003475	XP_006092570.1	XP_003409638.1
OG0003476	XP_006097538.1	XP_003409668.1
OG0003477	XP_023617016.1, XP_006109077.2	XP_023403280.1
OG0003478	XP_006082225.1	XP_023409627.1
OG0003479	XP_006095309.1	XP_010587752.1
OG0003480	XP_023612782.1	XP_003409633.1
OG0003481	XP_023603289.1	XP_010585445.1
OG0003482	XP_023604600.1	XP_023400003.1
OG0003483	XP_014308286.1	XP_023400296.1
OG0003484	XP_006099950.1	XP_023406471.1
OG0003485	XP_014320825.1, XP_006099946.1	XP_023406685.1
OG0003486	XP_023617590.1	XP_023406521.1
OG0003487	XP_006091941.1, XP_006088449.1	XP_003421389.1
OG0003488	XP_023612299.1	XP_003412290.1
OG0003489	XP_006107578.1	XP_023398203.1
OG0003492	XP_014303998.1	XP_010597385.2
OG0003493	XP_023607073.1	XP_003416746.1
OG0003494	XP_006102900.1, XP_014314521.2	XP_023411826.1
OG0003495	XP_014323652.1	XP_003416753.1, XP_010594706.1
OG0003496	XP_006091341.1	XP_003405892.1
OG0003497	XP_014305733.1	XP_023403438.1
OG0003499	XP_006083885.1	XP_003409797.1
OG0003500	XP_006083911.1	XP_023403703.1, XP_023403702.1
OG0003501	XP_023611405.1	XP_023403873.1
OG0003502	XP_006104616.1	XP_023407654.1
OG0003503	XP_023601565.1	XP_023408176.1
OG0003504	XP_023601126.1	XP_003413140.2
OG0003505	XP_023616581.1	XP_003421343.2
OG0003506	XP_023601768.1	XP_010599139.1
OG0003507	XP_006106973.1, XP_006106974.1, XP_023603445.1, XP_006106972.1	XP_003421981.1
OG0003508	XP_006105972.1	XP_023396705.1
OG0003510	XP_006084341.1	XP_023410361.1
OG0003511	XP_006091133.3	XP_023394805.1
OG0003512	XP_006094721.1, XP_023619797.1	XP_010597893.1
OG0003513	XP_006094542.1	XP_023394760.1
OG0003514	XP_014316221.1, XP_006094574.1, XP_023614568.1	XP_010597929.1
OG0003515	XP_006105633.1	XP_003412104.1
OG0003516	XP_023610353.1, XP_006093925.1	XP_003412040.1
OG0003517	XP_006093872.1	XP_010590498.1
OG0003518	XP_006083558.1	XP_010590879.1
OG0003518	XP_006083559.3	XP_003412647.1
OG0003519	XP_023619968.1	XP_003414009.1
OG0003520	XP_023608213.1	XP_023408982.1
OG0003521	XP_006097998.1	XP_003411668.1
OG0003522	XP_014321514.1	XP_003409758.1
OG0003523	XP_023619184.1, XP_023605043.1	XP_003415742.1
OG0003524	XP_023608682.1	XP_023410663.1
OG0003525	XP_023612032.1	XP_003411788.1
OG0003525	XP_023612026.1	XP_010590032.1
OG0003526	XP_006089441.1	XP_003411678.1
OG0003527	XP_014311919.1	XP_010589898.1, XP_010589897.1
OG0003528	XP_006089461.1, XP_023610127.1, XP_023610128.1	XP_003411693.1, XP_023405900.1, XP_023405903.1, XP_023405899.1, XP_023405902.1, XP_023405901.1
OG0003529	XP_006089467.1	XP_003411552.1
OG0003530	XP_006089515.1	XP_003411724.1
OG0003531	XP_014317201.1	XP_023405633.1
OG0003532	XP_006091477.1	XP_023406038.1
OG0003533	XP_023612016.1	XP_010590012.1
OG0003534	XP_014313551.1	XP_010590053.1
OG0003535	XP_006098047.1, XP_006098046.1	XP_003411808.1, XP_023406132.1
OG0003536	XP_023604664.1	XP_023394501.1
OG0003537	XP_006095478.1	XP_003419960.1
OG0003538	XP_006092178.1	XP_023408898.1
OG0003539	XP_023607025.1	XP_023407137.1
OG0003540	XP_023617775.1	XP_003414005.1
OG0003541	XP_006081953.1	XP_023410750.1, XP_003415857.1
OG0003542	XP_006081960.1	XP_003415865.1
OG0003543	XP_014323785.1	XP_003412536.1
OG0003544	XP_006082690.1	XP_003417966.1, XP_023413537.1
OG0003545	XP_006082742.1	XP_003417987.1
OG0003546	XP_014322567.1	XP_023396084.1
OG0003547	XP_006083083.1	XP_023396079.1
OG0003548	XP_014317957.1	XP_003419318.1
OG0003549	XP_006108965.1, XP_006109786.1	XP_010597222.1
OG0003550	XP_023617833.1	XP_010597075.2
OG0003551	XP_023618702.1	XP_010597057.1
OG0003552	XP_006099573.1	XP_023415166.1
OG0003553	XP_006092181.1	XP_003410664.1
OG0003554	XP_006092187.1	XP_023404766.1
OG0003555	XP_014307097.1	XP_010589128.1
OG0003556	XP_023605844.1, XP_006084349.1, XP_006084350.1	XP_010593454.1
OG0003557	XP_014313006.1	XP_003405736.1
OG0003558	XP_006091566.1	XP_003405802.1
OG0003559	XP_023612136.1	XP_003405481.1
OG0003560	XP_014305263.2	XP_010597520.2
OG0003561	XP_023616243.1	XP_010587628.2
OG0003562	XP_006095944.1	XP_023402978.1
OG0003563	XP_023615589.1	XP_003409195.1
OG0003564	XP_023609101.1, XP_014310817.2, XP_014305841.2, XP_023609103.1, XP_023609102.1, XP_023609104.1, XP_014310807.2, XP_023609105.1, XP_006088226.1	XP_003409157.1
OG0003565	XP_023604142.1	XP_023415611.1
OG0003566	XP_023601024.1	XP_010597527.1
OG0003567	XP_006085339.1	XP_010597840.2
OG0003568	XP_014312976.1	XP_003408253.2
OG0003569	XP_023613240.1	XP_003418708.1
OG0003570	XP_023613255.1	XP_010596659.1
OG0003571	XP_006093162.1	XP_010596695.1
OG0003572	XP_014305780.1	XP_023394850.1
OG0003573	XP_014303136.1	XP_003420205.1
OG0003574	XP_006086007.1	XP_003420578.2
OG0003575	XP_006085971.1	XP_023414048.1, XP_023414049.1, XP_023414047.1
OG0003576	XP_023604970.1	XP_010596979.1
OG0003577	XP_006104865.1, XP_023608752.1	XP_023396789.1
OG0003578	XP_023616226.1	XP_010588798.1
OG0003579	XP_006100358.1	XP_023404296.1
OG0003580	XP_023606184.1, XP_006084667.1	XP_023409031.1, XP_003414133.1
OG0003581	XP_006084655.1	XP_003414141.1
OG0003582	XP_023606094.1	XP_003414175.1
OG0003583	XP_006084575.1	XP_003414186.1
OG0003585	XP_006094520.1	XP_003413035.2
OG0003586	XP_006092877.1	XP_010591296.1
OG0003588	XP_006084863.1	XP_023407341.1, XP_003412834.1
OG0003589	XP_023610915.1	XP_023411120.1
OG0003591	XP_014323087.1	XP_023398583.1
OG0003593	XP_006082417.1	XP_010600974.1
OG0003594	XP_006082422.1	XP_023398443.1, XP_010600964.1, XP_010600967.1
OG0003595	XP_006082441.1	XP_023398343.1
OG0003596	XP_014319937.1	XP_003406159.1
OG0003597	XP_006082538.1	XP_003406132.1
OG0003598	XP_006094886.1	XP_023403973.1
OG0003599	XP_006094372.1	XP_010597718.1
OG0003600	XP_023600716.1, XP_006108648.3, XP_006108642.1	XP_003419933.1
OG0003601	XP_006104772.1	XP_003415260.1
OG0003602	XP_006097005.1	XP_023409936.1
OG0003603	XP_023600710.1	XP_003410994.1
OG0003605	XP_023608759.1, XP_023608758.1, XP_023606227.1, XP_023608760.1	XP_023396142.1, XP_023396141.1
OG0003606	XP_014306742.1	XP_023397731.1, XP_003422838.1
OG0003608	XP_006085676.1	XP_003416066.1
OG0003609	XP_006097218.1	XP_010596016.1
OG0003610	XP_014318493.1	XP_003418044.1
OG0003611	XP_006082926.1, XP_023619978.1	XP_023407178.1
OG0003612	XP_006083004.1	XP_003412764.1
OG0003613	XP_023614437.1	XP_023409682.1
OG0003614	XP_006082184.1	XP_003414796.1, XP_010592952.1
OG0003615	XP_023608806.1	XP_003421272.1
OG0003616	XP_006087576.1, XP_006087577.1	XP_003421637.1, XP_003421636.1
OG0003618	XP_006108588.1, XP_023600472.1, XP_014306302.1	XP_023402436.1, XP_023398502.1, XP_023413749.1, XP_023397543.1
OG0003620	XP_023600067.1	XP_003418299.2
OG0003621	XP_006100144.1	XP_003420981.1
OG0003622	XP_006082127.1, XP_006082126.1, XP_023613551.1, XP_023613554.1	XP_010598728.1
OG0003631	XP_006097663.2	XP_023402407.1
OG0003633	XP_023614544.1	XP_003414864.1
OG0003634	XP_006100718.1	XP_023412093.1, XP_003416899.1, XP_023412092.1
OG0003635	XP_014316510.1	XP_023412714.1, XP_023412715.1, XP_010595294.1
OG0003636	XP_023618446.1	XP_003420398.1
OG0003639	XP_006107817.3	XP_023411942.1, XP_023409208.1, XP_023409211.1
OG0003640	XP_014312567.1	XP_010590652.2
OG0003641	XP_023601500.1	XP_003404646.1
OG0003642	XP_006105206.1	XP_023412061.1
OG0003643	XP_023618239.1, XP_023604983.1, XP_023618262.1	XP_023402547.1, XP_023401127.1
OG0003646	XP_023615987.1	XP_023398131.1
OG0003647	XP_014302763.1, XP_023601941.1, XP_014306587.2	XP_010587802.1, XP_023403179.1
OG0003648	XP_006092480.1, XP_014314351.1, XP_023612700.1, XP_023612701.1, XP_023612699.1	XP_023412725.1, XP_003417253.1
OG0003649	XP_023612404.1	XP_003412152.1, XP_010590391.1, XP_010590390.1
OG0003651	XP_006109582.1	XP_003422420.1
OG0003652	XP_014313041.1, XP_014313042.1	XP_003407396.1
OG0003653	XP_023609844.1	XP_003404918.1
OG0003654	XP_006097010.1	XP_003408709.1
OG0003655	XP_006098883.1	XP_003416725.1
OG0003656	XP_023608320.1	XP_003417133.1
OG0003658	XP_006083428.1	XP_010595573.1
OG0003659	XP_014303125.1	XP_023411925.1
OG0003660	XP_006094617.1	XP_010599241.1
OG0003661	XP_006083892.1	XP_003409800.2
OG0003662	XP_023611581.1	XP_003408759.2
OG0003664	XP_023601629.1, XP_006104753.1	XP_010593231.1, XP_003415079.1
OG0003665	XP_006089667.1	XP_023406612.1
OG0003666	XP_014304557.1, XP_023603602.1	XP_023415501.1
OG0003667	XP_006102225.1	XP_003406285.1
OG0003668	XP_014318519.1	XP_023410200.1
OG0003669	XP_006084916.1	XP_003412933.1
OG0003670	XP_006107901.1	XP_003418243.1
OG0003671	XP_023610265.1, XP_014309802.1, XP_006081120.1	XP_003422571.1
OG0003673	XP_014316433.1	XP_010588572.2
OG0003674	XP_006108545.3	XP_023405106.1
OG0003675	XP_006103535.1	XP_010596828.1, XP_010596827.1
OG0003676	XP_006108540.1	XP_010597405.1
OG0003677	XP_006095222.1	XP_003415127.2
OG0003679	XP_006107512.1	XP_003423079.2, XP_003423316.3, XP_003423292.2, XP_010600762.2
OG0003680	XP_006094661.1	XP_003421581.1
OG0003681	XP_014313934.1	XP_003423172.1, XP_003423424.1, XP_023398503.1, XP_003423423.2
OG0003683	XP_006089761.1, XP_006107836.1	XP_003412248.1, XP_003412249.1
OG0003686	XP_023603074.1	XP_023406678.1
OG0003687	XP_023604977.1	XP_003406576.1
OG0003688	XP_023616330.1	XP_010598675.1
OG0003689	XP_006109811.1	XP_023399911.1
OG0003689	XP_023599243.1	XP_023399912.1
OG0003690	XP_006097464.1	XP_023399480.1
OG0003691	XP_023608432.1	XP_023399511.1, XP_023399510.1
OG0003692	XP_006087243.2	XP_003406304.1
OG0003693	XP_014309928.1, XP_006087235.2, XP_014309929.1	XP_003406310.2
OG0003694	XP_006087195.1	XP_023399532.1
OG0003695	XP_006084524.1	XP_023402437.1
OG0003696	XP_006102271.1	XP_003404309.2
OG0003697	XP_006103824.1	XP_003419250.1
OG0003698	XP_014305162.1	XP_023415132.1, XP_023415130.1, XP_023415131.1
OG0003700	XP_014309587.1	XP_023400515.1
OG0003701	XP_006102259.1	XP_010598953.1
OG0003702	XP_023600435.1	XP_023399419.1
OG0003703	XP_014319835.1	XP_010586168.1, XP_003407358.1
OG0003704	XP_006107805.1, XP_014303715.1	XP_023399374.1
OG0003707	XP_023602222.1	XP_023399875.1
OG0003711	XP_023599337.1	XP_023398885.1, XP_023398895.1, XP_023398892.1
OG0003712	XP_006103643.1	XP_010584706.1
OG0003713	XP_023615635.1	XP_023411415.1, XP_023411414.1, XP_023411416.1, XP_023411417.1, XP_023411418.1, XP_023411419.1, XP_023411420.1
OG0003715	XP_006108699.2	XP_023410238.1
OG0003717	XP_006098537.1, XP_014305807.1, XP_014311052.1	XP_010588912.1
OG0003718	XP_006081390.1, XP_023606532.1	XP_023401310.1, XP_023401311.1, XP_003408147.1
OG0003719	XP_014303496.1	XP_003416364.1, XP_023411381.1
OG0003720	XP_023601201.1	XP_003415292.1
OG0003721	XP_014315702.1	XP_010593381.2
OG0003722	XP_014315777.1	XP_010593371.1
OG0003724	XP_023606235.1, XP_014306906.1, XP_014306902.1	XP_023401342.1, XP_023401343.1
OG0003725	XP_023600991.1	XP_023408834.1
OG0003726	XP_023603017.1	XP_023408805.1
OG0003727	XP_023604391.1	XP_003413939.2
OG0003728	XP_006108321.3	XP_003413896.1
OG0003729	XP_006105419.1, XP_014303023.1	XP_010600309.1, XP_003422788.2
OG0003732	XP_006088577.1	XP_003411348.1
OG0003734	XP_014308988.1	XP_003420174.1
OG0003735	XP_006104560.1	XP_023405064.1
OG0003736	XP_014302496.2	XP_010593237.1
OG0003737	XP_023610384.1	XP_010587456.1
OG0003738	XP_023610910.1, XP_006108993.3	XP_010587505.1
OG0003739	XP_023610912.1	XP_010587548.1
OG0003740	XP_014310181.2	XP_010591179.1
OG0003741	XP_023609538.1	XP_003404730.1
OG0003743	XP_023609845.1	XP_010590535.1
OG0003744	XP_014311659.1	XP_003404660.1
OG0003746	XP_023617761.1	XP_010595418.1
OG0003747	XP_023599021.1	XP_003417473.1, XP_010595449.1, XP_023412844.1
OG0003748	XP_006108646.3	XP_003418240.1
OG0003749	XP_006109891.2	XP_023413979.1, XP_003418233.1
OG0003750	XP_014302157.1	XP_003418219.1
OG0003751	XP_023600063.1	XP_003418283.1
OG0003752	XP_006093545.1, XP_023613690.1	XP_010593771.1
OG0003753	XP_006100720.1	XP_023412087.1
OG0003754	XP_006102817.1	XP_023412116.1
OG0003755	XP_023599627.1	XP_023412247.1, XP_023412248.1
OG0003756	XP_014303280.1, XP_014306343.2	XP_023395377.1
OG0003757	XP_006089834.1	XP_023405273.1, XP_010589517.1, XP_003411092.1
OG0003758	XP_014317560.1	XP_003411204.1
OG0003759	XP_023608594.1	XP_023405342.1
OG0003761	XP_006102972.2	XP_023407866.1
OG0003762	XP_023603501.1	XP_023407848.1
OG0003763	XP_023616867.1	XP_023413821.1
OG0003764	XP_023608330.1	XP_010596121.1
OG0003765	XP_006088284.1	XP_003416596.1
OG0003766	XP_023613557.1	XP_003422535.2
OG0003767	XP_014308607.2	XP_023397487.1
OG0003768	XP_014309491.1, XP_006081123.1	XP_010594582.2
OG0003772	XP_014304014.1	XP_003418874.1
OG0003773	XP_023620605.1, XP_006105374.1	XP_003418860.1
OG0003774	XP_006108200.1, XP_006100991.1	XP_003417810.1
OG0003775	XP_023620250.1	XP_010595695.1
OG0003776	XP_023620260.1	XP_010595732.1
OG0003777	XP_023613407.1	XP_010596417.1, XP_003418482.1
OG0003778	XP_006093221.1	XP_023414203.1, XP_003418486.1
OG0003779	XP_023602646.1	XP_023414787.1
OG0003780	XP_006094954.1	XP_023404128.1, XP_023404129.1
OG0003781	XP_006095221.2	XP_003415128.2
OG0003782	XP_006087460.1	XP_003421670.1
OG0003784	XP_023610588.1, XP_006089988.1	XP_003410328.1, XP_010588582.1
OG0003785	XP_023610522.1	XP_003419913.1
OG0003786	XP_023609735.1	XP_023404997.1
OG0003787	XP_023601622.1	XP_010589360.1
OG0003788	XP_014319029.2	XP_023409850.1
OG0003789	XP_006097893.1, XP_014319063.1, XP_014319061.1	XP_003415179.2
OG0003790	XP_023612175.1	XP_010585075.1
OG0003791	XP_023617950.1	XP_003408813.1
OG0003792	XP_023619604.1	XP_023396099.1
OG0003793	XP_006100565.1	XP_003408884.1
OG0003794	XP_006099644.1	XP_023401970.1
OG0003795	XP_023620882.1	XP_003408866.1
OG0003796	XP_023619829.1	XP_010587122.1
OG0003797	XP_023603670.1	XP_023412515.1, XP_023412514.1
OG0003799	XP_006107754.1	XP_003417281.1
OG0003801	XP_023604604.1	XP_023412701.1
OG0003802	XP_023612613.1	XP_010592846.1
OG0003803	XP_014314262.1	XP_010592816.1, XP_003414545.1, XP_010592815.1, XP_023409515.1
OG0003804	XP_023620153.1	XP_003414757.1
OG0003805	XP_014319986.1	XP_023409383.1, XP_010592652.2
OG0003806	XP_023615390.1	XP_010592602.1
OG0003807	XP_006092290.1	XP_023409286.1
OG0003808	XP_006095607.1	XP_003416774.1
OG0003809	XP_006095609.1	XP_023411999.1
OG0003810	XP_006105192.1	XP_003417051.1
OG0003811	XP_006109433.3	XP_003412166.2, XP_023398183.1
OG0003812	XP_006108871.1	XP_023395183.1
OG0003813	XP_023603561.1	XP_023400564.1
OG0003814	XP_023600214.1	XP_023400645.1
OG0003815	XP_014317713.1, XP_006096352.1	XP_023400726.1
OG0003816	XP_023611730.1, XP_006091190.1	XP_010585963.2
OG0003817	XP_014322033.1, XP_006091191.1	XP_003407814.1, XP_010585964.1
OG0003818	XP_006093631.1	XP_023413787.1
OG0003819	XP_023615232.1	XP_023414672.1
OG0003820	XP_023618550.1	XP_023395425.1
OG0003822	XP_006102481.1	XP_023415758.1
OG0003823	XP_006108935.1, XP_014318927.1, XP_014318928.1, XP_023617287.1, XP_023617286.1	XP_023408324.1
OG0003824	XP_006097790.1	XP_023408310.1
OG0003825	XP_006083350.1	XP_023408292.1
OG0003826	XP_014323229.1	XP_023415694.1
OG0003827	XP_023619292.1, XP_006081708.1	XP_003404742.1
OG0003828	XP_023600525.1	XP_010588759.1
OG0003829	XP_006090748.1	XP_023401030.1, XP_003407394.1, XP_023401031.1, XP_023401032.1, XP_010586241.1
OG0003830	XP_006101286.1	XP_023400979.1
OG0003831	XP_006103276.1	XP_003407901.1
OG0003832	XP_006096555.1	XP_003407627.1
OG0003833	XP_023616105.1	XP_010586103.1
OG0003834	XP_023605009.1, XP_006088160.2	XP_003407574.1
OG0003835	XP_023609033.1, XP_023609032.1, XP_006088066.1	XP_023400811.1
OG0003836	XP_023600661.1	XP_003403978.2
OG0003837	XP_006093308.2, XP_006108564.1	XP_003404495.1
OG0003838	XP_023600935.1	XP_003422508.1
OG0003839	XP_014302420.1	XP_003422321.1
OG0003840	XP_023601644.1	XP_003421076.1
OG0003841	XP_006107006.1	XP_003403989.1
OG0003842	XP_006098641.1	XP_010585682.1
OG0003843	XP_006093299.1, XP_023613458.1, XP_023613457.1, XP_014315121.1, XP_014315124.1, XP_006093300.1	XP_003404479.1
OG0003844	XP_023610044.1	XP_003404451.2
OG0003845	XP_023602571.1	XP_003422033.1
OG0003846	XP_006109258.2, XP_023619380.1	XP_003408463.1
OG0003847	XP_006085272.1	XP_003408485.2
OG0003848	XP_014315163.1	XP_010586792.1
OG0003849	XP_023605068.1	XP_023397361.1
OG0003850	XP_006107218.1, XP_014304635.1, XP_023609786.1	XP_010599996.1
OG0003851	XP_006095701.1	XP_023410794.1
OG0003852	XP_006094463.1	XP_003414208.2
OG0003853	XP_014304086.1	XP_023400367.1
OG0003854	XP_006099140.1	XP_023400420.1
OG0003855	XP_006085004.1, XP_014307861.1, XP_014307859.1	XP_010585583.1
OG0003856	XP_006085393.1	XP_010585474.1
OG0003857	XP_006085487.1	XP_003406997.1, XP_023400063.1
OG0003858	XP_023615837.1, XP_023615836.1	XP_023415136.1, XP_023400334.1
OG0003859	XP_006108966.1, XP_006087523.1	XP_023396388.1, XP_010599327.2, XP_003421628.2
OG0003861	XP_014310044.2	XP_003411142.1
OG0003862	XP_006087259.1	XP_010593597.1, XP_010593595.1, XP_010593596.1
OG0003863	XP_006084081.1	XP_003405304.1
OG0003864	XP_023605570.1	XP_023394607.1
OG0003865	XP_006081801.1	XP_003417547.1, XP_010595523.1
OG0003866	XP_023609342.1	XP_010596432.1
OG0003867	XP_006104124.2	XP_003413146.1
OG0003868	XP_023609567.1	XP_003420623.1
OG0003869	XP_023614660.1	XP_010600368.1
OG0003870	XP_023599659.1	XP_023403824.1, XP_010588391.1
OG0003871	XP_023602677.1	XP_003410572.1
OG0003872	XP_006086273.1	XP_023406706.1
OG0003874	XP_006096943.1, XP_014318260.1	XP_003422013.1
OG0003875	XP_023612216.1, XP_014313842.1	XP_023406233.1, XP_023406231.1, XP_023406232.1, XP_003411868.1
OG0003876	XP_006091753.1, XP_023612199.1	XP_003411966.1
OG0003877	XP_006083498.1, XP_014303519.1	XP_010594213.1
OG0003878	XP_006083482.1	XP_010594198.1
OG0003879	XP_006104847.1	XP_023412798.1, XP_010595398.1
OG0003880	XP_006103090.2	XP_023395144.1
OG0003881	XP_014304498.1	XP_003420470.1
OG0003882	XP_023616392.1	XP_003413615.1
OG0003884	XP_023612780.1, XP_006106053.2	XP_003409654.1
OG0003885	XP_006096935.1	XP_023396804.1, XP_003422005.1
OG0003886	XP_006095286.1	XP_023403122.1
OG0003887	XP_014316833.1	XP_023403074.1
OG0003889	XP_006096280.1	XP_010585454.1, XP_010585455.1
OG0003890	XP_023606788.1	XP_023400425.1
OG0003891	XP_006088750.1	XP_010585610.1, XP_010585611.1, XP_010585612.1, XP_003407225.1
OG0003892	XP_023609549.1	XP_023400241.1
OG0003893	XP_023617586.1	XP_023406526.1
OG0003894	XP_023612164.1	XP_010590463.1
OG0003894	XP_023612163.1	XP_023406687.1
OG0003895	XP_023603692.1	XP_023397605.1
OG0003896	XP_006102543.1	XP_003419589.1
OG0003897	XP_014323322.1	XP_003419602.1
OG0003898	XP_023620834.1	XP_003419608.1
OG0003899	XP_006104403.1	XP_010597364.1, XP_023415518.1
OG0003902	XP_006109995.1	XP_003419695.1, XP_010588872.1
OG0003903	XP_006107299.1	XP_003419415.1
OG0003905	XP_006081773.1	XP_003410494.1
OG0003906	XP_023613651.1	XP_003406077.2
OG0003907	XP_023608203.1	XP_003405902.1
OG0003908	XP_023609577.1, XP_023605179.1	XP_003410011.1
OG0003909	XP_023599067.1	XP_003422590.1
OG0003910	XP_023599505.1, XP_014323183.1, XP_006102422.1	XP_003409984.1
OG0003911	XP_006091360.1	XP_010588219.1
OG0003912	XP_006091371.1	XP_023403833.1
OG0003913	XP_006091382.1	XP_003409780.1
OG0003914	XP_023605186.1	XP_010588259.1
OG0003915	XP_023619826.1	XP_010588341.1
OG0003916	XP_023620770.1	XP_023403342.1, XP_003410084.1
OG0003917	XP_014313181.2	XP_023403377.1
OG0003919	XP_006100454.1	XP_023407970.1
OG0003920	XP_023604099.1	XP_003413318.1, XP_023408013.1
OG0003921	XP_006099732.1	XP_023408015.1
OG0003922	XP_014320669.2	XP_010591536.1, XP_003413081.1
OG0003923	XP_014322764.1	XP_010599175.1
OG0003924	XP_014302706.2	XP_023396302.1
OG0003925	XP_023602581.1	XP_023396756.1
