Orthogroup	Myotis_lucifugus	Sarcophilus_harrisii
OG0003916	XP_023620770.1	XP_003763005.1
OG0003917	XP_014313181.2	XP_031808064.1
OG0003919	XP_006100454.1	XP_031804021.1, XP_031804022.1
OG0003920	XP_023604099.1	XP_012397389.1
OG0003921	XP_006099732.1	XP_031803858.1
OG0003922	XP_014320669.2	XP_031803855.1
OG0003923	XP_014322764.1	XP_031804187.1
OG0003924	XP_014302706.2	XP_031804158.1, XP_031804157.1, XP_003760932.2
OG0003925	XP_023602581.1	XP_031803698.1
OG0003926	XP_006092979.1	XP_003764689.1
OG0003927	XP_006089679.1	XP_023362037.1
OG0003928	XP_023610278.1	XP_031798825.1
OG0003929	XP_006089641.1	XP_012407954.1, XP_031799844.1
OG0003930	XP_014315562.2	XP_023361998.1
OG0003931	XP_023604949.1	XP_031817776.1, XP_012400749.1
OG0003932	XP_006083554.1	XP_031814309.1
OG0003933	XP_006086108.1	XP_003765876.1
OG0003934	XP_023619969.1, XP_006100700.1, XP_023619970.1	XP_003765816.2
OG0003935	XP_023608239.1	XP_012401691.1, XP_012401690.1, XP_012401689.1, XP_003765799.1
OG0003936	XP_014309681.1, XP_006086972.2	XP_031814559.1
OG0003937	XP_014309678.1, XP_023608232.1, XP_023614391.1	XP_031814577.1
OG0003939	XP_006083712.1	XP_031796199.1
OG0003940	XP_023605296.1	XP_023360922.1, XP_031795982.1
OG0003941	XP_006109794.1	XP_031795967.1
OG0003942	XP_006083987.1	XP_012400050.1
OG0003943	XP_006083824.1	XP_031815692.1
OG0003944	XP_023605357.1	XP_031815696.1
OG0003945	XP_023612031.1	XP_023350990.2
OG0003946	XP_023616012.1	XP_012395380.1
OG0003947	XP_023616073.1	XP_031799404.1
OG0003949	XP_006085235.1	XP_012409064.1, XP_023363083.1
OG0003950	XP_014313574.1	XP_031810443.1, XP_031810442.1
OG0003951	XP_023615214.1	XP_012395137.1
OG0003952	XP_006103804.1, XP_006102350.2	XP_012395116.3
OG0003953	XP_014302110.1	XP_031807576.1
OG0003954	XP_006098340.1	XP_003764536.1
OG0003955	XP_023617786.1	XP_031816620.1, XP_031816622.1
OG0003956	XP_023612463.1	XP_031816630.1
OG0003957	XP_006085568.1	XP_031816665.1, XP_031816666.1
OG0003959	XP_023611787.1, XP_023611781.1, XP_023611772.1, XP_023611777.1	XP_031807336.1, XP_012395220.1
OG0003960	XP_023620090.1	XP_023350545.1
OG0003961	XP_006102996.1	XP_031806695.1, XP_031806697.1, XP_031806696.1, XP_031806690.1, XP_031806692.1, XP_031806693.1, XP_031806691.1, XP_031806694.1
OG0003962	XP_014319377.1	XP_031804508.1
OG0003963	XP_014319372.1	XP_031804512.1, XP_031804513.1, XP_031804511.1
OG0003964	XP_006096604.1	XP_003761155.1
OG0003965	XP_023617814.1	XP_031804617.1
OG0003966	XP_006105596.1	XP_031804802.1
OG0003967	XP_014320538.1	XP_031805006.1
OG0003968	XP_006085613.2	XP_012407248.1
OG0003969	XP_006084203.1	XP_031794157.1
OG0003970	XP_006084230.1	XP_031794124.1, XP_003771269.1
OG0003972	XP_006084285.2	XP_003771246.1
OG0003973	XP_006093742.1, XP_023613815.1, XP_014315474.1	XP_003772211.1
OG0003976	XP_023617085.1	XP_031812151.1, XP_031812150.1, XP_031812149.1
OG0003977	XP_023617060.1	XP_031812577.1
OG0003978	XP_014322046.1	XP_031809242.1, XP_031795830.1
OG0003979	XP_023599005.1	XP_031811572.1, XP_031811573.1, XP_031811571.1
OG0003980	XP_006101795.2	XP_012397416.1
OG0003981	XP_023609131.1	XP_031811718.1
OG0003982	XP_006088236.1	XP_003755383.1
OG0003983	XP_023604824.1, XP_023603739.1	XP_031812854.1
OG0003985	XP_014309155.2	XP_031802288.1
OG0003986	XP_023607697.1	XP_031802281.1
OG0003987	XP_023611249.1	XP_031802214.1
OG0003988	XP_023611204.1	XP_031802181.1
OG0003989	XP_006086440.1	XP_012396724.1
OG0003990	XP_023601934.1	XP_031802071.1
OG0003992	XP_023608653.1	XP_003756009.1
OG0003993	XP_014314928.1	XP_031807968.1
OG0003994	XP_006093176.2	XP_031808072.1, XP_012402186.2, XP_003756110.3, XP_012402178.2, XP_012402196.2
OG0003995	XP_014308972.1	XP_031810981.1
OG0003996	XP_014305962.1, XP_014315311.1, XP_014315310.1	XP_031811290.1
OG0003997	XP_014315306.1	XP_003755674.1
OG0003998	XP_014310473.1	XP_023354145.1
OG0003999	XP_014303195.1	XP_031812660.1
OG0004001	XP_023600897.1	XP_031815079.1
OG0004002	XP_023604506.1, XP_006108160.2, XP_006105472.1, XP_006108158.1, XP_006105473.1, XP_006099968.1, XP_023610143.1	XP_003763438.1
OG0004003	XP_006099984.1	XP_031824197.1
OG0004004	XP_006099989.1	XP_031824185.1
OG0004005	XP_006104855.1, XP_006096022.1, XP_023615622.1	XP_003770442.1
OG0004006	XP_023616225.1, XP_014317986.1	XP_031799037.1
OG0004007	XP_014322519.1	XP_031797785.1, XP_031797786.1, XP_031797784.1, XP_031797783.1
OG0004008	XP_023619690.1	XP_012407483.1
OG0004009	XP_006100342.3, XP_023619674.1, XP_023619678.1, XP_023619675.1, XP_023619676.1, XP_023619673.1	XP_031799624.1, XP_031799623.1
OG0004010	XP_006084629.1	XP_003773015.1
OG0004011	XP_006084577.1, XP_006084576.1, XP_014307458.1, XP_023606077.1	XP_031797124.1
OG0004012	XP_006094515.1	XP_031815525.1
OG0004013	XP_006090989.1	XP_003763662.2
OG0004015	XP_006084811.1	XP_031819451.1, XP_031819450.1, XP_031819449.1, XP_003766433.2
OG0004016	XP_006084817.1	XP_031813251.1
OG0004017	XP_014309341.1	XP_031801964.1, XP_003759635.1
OG0004018	XP_023615148.1, XP_023615147.1, XP_023615149.1	XP_012396658.1, XP_012396656.1, XP_012396657.1
OG0004019	XP_023607927.1	XP_031801975.1
OG0004020	XP_006081528.2	XP_012396649.1
OG0004021	XP_023607581.1	XP_023351658.1, XP_003759618.1
OG0004022	XP_006084894.1	XP_031823940.1
OG0004023	XP_006084880.1	XP_031823922.1
OG0004024	XP_014307704.1	XP_031813291.1
OG0004025	XP_006083248.1	XP_031816402.1
OG0004026	XP_006083270.1	XP_031816433.1
OG0004027	XP_014323576.1	XP_003764005.1
OG0004028	XP_006082425.1	XP_003764113.1
OG0004029	XP_006082814.2	XP_003766028.2
OG0004030	XP_014318049.2	XP_031813934.1
OG0004031	XP_023617049.1	XP_031813902.1
OG0004032	XP_006094906.1	XP_003767672.1
OG0004033	XP_006109089.3	XP_012403075.1
OG0004034	XP_006096966.1	XP_031822730.1
OG0004035	XP_006096962.1	XP_003767909.1
OG0004037	XP_023606228.1	XP_003763521.1
OG0004038	XP_006090643.2	XP_031815274.1
OG0004039	XP_014318481.1	XP_031800957.1
OG0004040	XP_023616719.1	XP_023356800.2
OG0004041	XP_006082903.1	XP_031800490.1
OG0004042	XP_023619507.1	XP_003774763.3
OG0004043	XP_006082995.1	XP_031800450.1, XP_031800451.1
OG0004044	XP_006082865.1	XP_031800458.1, XP_003765679.2
OG0004045	XP_006084752.1	XP_031800778.1
OG0004047	XP_014313859.1, XP_023613630.1, XP_014313869.1	XP_031800872.1
OG0004048	XP_023613327.1	XP_031800714.1
OG0004049	XP_014310386.1	XP_031800339.1
OG0004050	XP_006099900.1	XP_031807197.1
OG0004053	XP_006102030.1	XP_031818406.1
OG0004055	XP_006092095.1	XP_003774011.2
OG0004063	XP_023609396.1	XP_012407732.1
OG0004064	XP_023617028.1	XP_003755659.3
OG0004065	XP_023619170.1	XP_031808347.1
OG0004067	XP_014302300.1	XP_031809380.1
OG0004070	XP_006109420.1	XP_031794987.1
OG0004071	XP_023612305.1, XP_023612304.1	XP_012408481.1
OG0004072	XP_014320677.1	XP_003769168.1
OG0004073	XP_023600035.1	XP_012401095.1
OG0004074	XP_023607115.1	XP_031819490.1
OG0004076	XP_014317869.1	XP_031801401.1, XP_031801400.1, XP_031801399.1, XP_031801398.1, XP_031801397.1
OG0004077	XP_023600078.1	XP_031817164.1
OG0004078	XP_023612490.1	XP_031800209.1, XP_031800211.1, XP_031800210.1
OG0004079	XP_014309090.1	XP_031798310.1, XP_031798309.1, XP_031798308.1
OG0004080	XP_023601911.1	XP_031803615.1
OG0004081	XP_006106608.1	XP_012408299.2
OG0004082	XP_006104444.2	XP_031820967.1
OG0004083	XP_023605173.1	XP_012404419.1
OG0004084	XP_023607530.1	XP_031824688.1, XP_031824687.1
OG0004085	XP_023610728.1, XP_023610727.1, XP_006090141.1	XP_023354744.1
OG0004086	XP_006083213.1	XP_031816338.1, XP_003764000.1
OG0004087	XP_014313603.1, XP_023611990.1	XP_031807412.1
OG0004088	XP_023601855.1	XP_003761086.1, XP_012397865.1
OG0004089	XP_023599138.1	XP_031813356.1
OG0004091	XP_006104076.1	XP_031817841.1
OG0004092	XP_023601362.1	XP_023354657.1, XP_031815180.1
OG0004094	XP_006099362.1	XP_031804755.1
OG0004095	XP_006089974.1	XP_031793179.1
OG0004096	XP_006085553.1, XP_014308395.1	XP_012400631.1
OG0004097	XP_006108684.1	XP_031796694.1
OG0004098	XP_006094360.1	XP_031798730.1
OG0004099	XP_006102546.1, XP_014323319.1	XP_012408283.1, XP_023362321.1
OG0004100	XP_023608243.1	XP_031814552.1
OG0004101	XP_006106475.1	XP_031819759.1
OG0004102	XP_006093809.1, XP_014315509.1, XP_006093807.1, XP_023613856.1	XP_003760186.1, XP_012397066.1, XP_031802647.1
OG0004103	XP_023620239.1	XP_012398736.1
OG0004105	XP_006095585.1	XP_031823544.1
OG0004106	XP_006092639.1	XP_031819322.1
OG0004107	XP_006106307.1	XP_031805639.1
OG0004108	XP_006091002.1	XP_031815584.1
OG0004109	XP_014306482.2	XP_031811861.1, XP_031811856.1
OG0004110	XP_006096329.1, XP_023604247.1	XP_031819274.1, XP_031819320.1
OG0004111	XP_006083492.1	XP_031806247.1, XP_023350766.1, XP_031806248.1
OG0004114	XP_006093665.1	XP_031796035.1
OG0004115	XP_014310266.1	XP_012399761.1, XP_023354601.1
OG0004117	XP_006094685.1	XP_012400884.2
OG0004117	XP_006094609.1	XP_003764889.1
OG0004118	XP_006101353.1	XP_012405924.1, XP_012405923.1, XP_031795364.1
OG0004119	XP_006087590.1	XP_003755821.1
OG0004120	XP_023614425.1, XP_014316086.2, XP_006094451.1	XP_003772885.1
OG0004121	XP_006093952.1, XP_023613971.1, XP_006093927.1, XP_014315589.1	XP_031824363.1
OG0004122	XP_006106800.2	XP_031802554.1
OG0004123	XP_014309942.1	XP_003760012.1
OG0004124	XP_023605986.1	XP_031820085.1
OG0004125	XP_006084504.1, XP_023605985.1	XP_003769535.2
OG0004126	XP_006084484.1	XP_012404819.1
OG0004127	XP_023613989.1	XP_031793424.1
OG0004128	XP_023613959.1	XP_031793428.1
OG0004129	XP_023613990.1, XP_006103829.1	XP_023359077.1, XP_031793412.1, XP_023359072.1, XP_031793413.1
OG0004130	XP_006089253.1	XP_031820234.1
OG0004131	XP_023614901.1	XP_031820167.1
OG0004133	XP_023620675.1, XP_023620674.1	XP_023353061.1, XP_031793563.1
OG0004134	XP_023599325.1	XP_031801408.1
OG0004137	XP_023604268.1	XP_031819269.1, XP_031819267.1, XP_031819268.1
OG0004138	XP_014306450.1	XP_031817597.1
OG0004140	XP_006081387.1	XP_012396571.1
OG0004141	XP_006106480.1	XP_031819758.1
OG0004142	XP_014306575.1, XP_014323035.1	XP_031819135.1, XP_031819139.1, XP_031819136.1, XP_031819138.1, XP_031819137.1
OG0004143	XP_023600638.1	XP_031817533.1
OG0004144	XP_014318082.1	XP_031817480.1
OG0004146	XP_006098725.1, XP_023618119.1	XP_031819652.1
OG0004147	XP_023618126.1	XP_031819638.1
OG0004148	XP_006098759.1	XP_003766633.1
OG0004149	XP_023603877.1, XP_006109030.1, XP_014304854.1	XP_023349923.1
OG0004150	XP_006105811.1	XP_031818636.1, XP_031818637.1
OG0004151	XP_023601807.1, XP_023601808.1	XP_031817415.1
OG0004152	XP_014302975.2	XP_031793831.1
OG0004153	XP_006093774.1	XP_023360867.1
OG0004154	XP_006098279.1	XP_012406347.1
OG0004155	XP_023607910.1	XP_031809346.1
OG0004156	XP_014308081.1	XP_031821235.1
OG0004157	XP_023607254.1, XP_023607251.1, XP_014307901.1	XP_003759448.1, XP_031821520.1, XP_031821526.1
OG0004158	XP_023602254.1, XP_023605086.1	XP_031810295.1
OG0004159	XP_014315898.1	XP_031818236.1
OG0004160	XP_006094093.1	XP_031817395.1
OG0004161	XP_006094088.2	XP_031817396.1
OG0004162	XP_006094051.1	XP_031818597.1
OG0004163	XP_023614154.1, XP_023601872.1	XP_031818594.1
OG0004164	XP_006094049.1	XP_031818599.1
OG0004165	XP_023600970.1	XP_031818613.1, XP_031818612.1
OG0004167	XP_006081282.1	XP_031823318.1, XP_031823336.1, XP_031823328.1
OG0004168	XP_006081303.1, XP_023605946.1	XP_003759919.1
OG0004169	XP_014301824.1	XP_031811352.1, XP_003755632.1
OG0004170	XP_014301811.1	XP_031811374.1
OG0004171	XP_023603255.1	XP_031811425.1
OG0004172	XP_006106471.2	XP_031811436.1
OG0004173	XP_023602696.1	XP_031812169.1
OG0004177	XP_006109037.1	XP_031811499.1
OG0004178	XP_023601137.1	XP_031798313.1
OG0004179	XP_023609420.1	XP_003773365.1, XP_031800120.1
OG0004181	XP_023610372.1, XP_006089763.1	XP_031812768.1
OG0004182	XP_006109773.1	XP_031812757.1
OG0004183	XP_006089786.1	XP_003755077.1
OG0004184	XP_006106819.1, XP_023605107.1	XP_012405613.1, XP_023359093.1
OG0004185	XP_006090325.1	XP_012396087.1
OG0004186	XP_023617186.1	XP_003756879.1
OG0004187	XP_023620272.1	XP_003756859.1
OG0004188	XP_014311621.1, XP_014311620.1, XP_006089118.1	XP_031809480.1
OG0004189	XP_014311656.1	XP_012407368.1
OG0004191	XP_006093573.1	XP_023355224.1, XP_003764259.1
OG0004192	XP_006098928.1	XP_012400598.1, XP_031816771.1
OG0004193	XP_006106589.1	XP_003764439.1
OG0004194	XP_006098369.1	XP_023355148.1
OG0004195	XP_006105485.1	XP_031816044.1
OG0004196	XP_006106420.1	XP_031815970.1
OG0004197	XP_006104368.1	XP_012400426.1
OG0004198	XP_006100708.1	XP_023355211.2
OG0004199	XP_023613683.1	XP_003764251.4
OG0004200	XP_006093549.1	XP_003764269.1
OG0004203	XP_006094733.1, XP_014306555.1	XP_012400512.2
OG0004204	XP_006100722.1, XP_023610730.1	XP_031813208.1
OG0004206	XP_023601958.1	XP_003770767.2
OG0004207	XP_014303109.1	XP_012404207.1
OG0004208	XP_006102656.1	XP_003768803.1
OG0004209	XP_014301906.1	XP_012404138.1
OG0004210	XP_023600848.1	XP_031794499.1, XP_031794510.1, XP_031794505.1
OG0004211	XP_023610449.1	XP_031824790.1
OG0004212	XP_006089847.1	XP_031824819.1
OG0004213	XP_023603706.1	XP_031819589.1
OG0004214	XP_023603050.1	XP_031817423.1
OG0004215	XP_006102970.2	XP_031818794.1
OG0004216	XP_014302958.1	XP_012401060.1
OG0004217	XP_023602746.1	XP_031805966.1
OG0004218	XP_023616866.1	XP_031805980.1
OG0004219	XP_014318625.1	XP_012395825.1
OG0004220	XP_006097410.1	XP_031805999.1
OG0004221	XP_014309774.1	XP_031806034.1, XP_003758515.1
OG0004222	XP_023608332.1, XP_014309781.1	XP_012395807.1, XP_012395806.1
OG0004224	XP_006087112.1, XP_023608353.1	XP_003757894.1, XP_012395326.1
OG0004225	XP_023608356.1	XP_023350779.2
OG0004226	XP_023611837.1, XP_014313451.1, XP_014313449.1, XP_023611836.1	XP_031805836.1
OG0004227	XP_023618854.1	XP_031806166.1
OG0004228	XP_006099450.1	XP_031806171.1
OG0004229	XP_023608319.1	XP_031805106.1
OG0004230	XP_006088279.1	XP_031823748.1
OG0004231	XP_006081127.1, XP_023618995.1, XP_014309591.1, XP_023618960.1	XP_031796461.1
OG0004232	XP_023617208.1	XP_031797606.1, XP_023353191.1
OG0004233	XP_014304654.1	XP_031796747.1
OG0004234	XP_006106097.1	XP_031795652.1, XP_003761645.1
OG0004235	XP_006105002.1	XP_023353661.1
OG0004236	XP_014304013.1, XP_014304894.1	XP_031801434.1
OG0004237	XP_023609203.1, XP_006109058.1	XP_031798540.1
OG0004238	XP_023611077.1	XP_031806501.1
OG0004239	XP_014321805.1	XP_031801691.1
OG0004240	XP_023620244.1	XP_031801653.1
OG0004241	XP_014302652.1	XP_023353532.2, XP_031801596.1
OG0004242	XP_023612850.1	XP_031823094.1
OG0004243	XP_023612893.1	XP_023359210.2
OG0004244	XP_006092674.1	XP_031823054.1
OG0004245	XP_023612886.1	XP_031823047.1
OG0004246	XP_023613438.1	XP_031822955.1
OG0004247	XP_023609183.1	XP_031824606.1
OG0004248	XP_014308569.1	XP_003770623.1
OG0004249	XP_006107799.1	XP_003767605.1, XP_031792960.1
OG0004250	XP_014305019.2	XP_031792956.1
OG0004251	XP_023614690.1	XP_031793134.1
OG0004252	XP_006089978.1	XP_031793170.1, XP_031793168.1, XP_031793169.1
OG0004253	XP_006089975.1	XP_031793174.1
OG0004255	XP_014312300.1	XP_031792893.1
OG0004256	XP_023609763.1, XP_023605089.1	XP_031792819.1
OG0004257	XP_006088997.1	XP_031824239.1
OG0004258	XP_006097815.1	XP_003767460.1
OG0004259	XP_014320579.1	XP_012403085.1
OG0004260	XP_023604707.1, XP_023600284.1	XP_003767833.1
OG0004261	XP_023603580.1, XP_023601538.1	XP_031822844.1, XP_031822836.1
OG0004262	XP_023617326.1	XP_012403644.1, XP_003768184.1
OG0004263	XP_006097852.1	XP_031822638.1
OG0004264	XP_006097865.1	XP_003768178.2
OG0004265	XP_006097909.1, XP_023617329.1, XP_006097906.1, XP_014319065.1, XP_014319067.1	XP_012403641.1
OG0004266	XP_006095148.1	XP_031822538.1
OG0004267	XP_006095202.1	XP_031822466.1
OG0004268	XP_006085178.1	XP_031801833.1
OG0004269	XP_023606637.1	XP_031801862.1
OG0004270	XP_006109032.3	XP_003760035.1
OG0004271	XP_023606608.1, XP_014308456.1	XP_031801824.1
OG0004273	XP_014320957.1	XP_031810914.1
OG0004274	XP_006102317.1	XP_023355198.2
OG0004275	XP_023599454.1	XP_031810959.1
OG0004276	XP_006102284.2	XP_003755950.1
OG0004277	XP_006085916.1	XP_012402381.1
OG0004278	XP_023607294.1	XP_031808108.1, XP_031808110.1, XP_031808111.1, XP_031808109.1
OG0004279	XP_006085897.1	XP_012404770.1
OG0004280	XP_014320290.1	XP_031808810.1
OG0004281	XP_006097020.1	XP_012404556.1
OG0004282	XP_006099635.1	XP_031808525.1
OG0004283	XP_023615683.1	XP_031808541.1
OG0004284	XP_006081724.1	XP_031797224.1
OG0004285	XP_023617953.1	XP_003756293.4
OG0004286	XP_006087017.1	XP_031808300.1
OG0004288	XP_006109381.1	XP_031809061.1, XP_012396230.1
OG0004289	XP_023602886.1	XP_031809054.1
OG0004291	XP_006092394.1	XP_031822180.1
OG0004292	XP_006095034.1, XP_014306338.1, XP_006095033.1, XP_006095003.1	XP_003768282.1, XP_012403744.2, XP_012403747.1
OG0004293	XP_006110066.1	XP_031802794.1
OG0004294	XP_023603678.1, XP_006107231.1	XP_031821724.1
OG0004295	XP_014321713.1	XP_012403762.1
OG0004296	XP_023603189.1, XP_006106688.1, XP_014304073.1	XP_003768920.1
OG0004297	XP_023604484.1	XP_003768647.1
OG0004299	XP_006103489.1	XP_031821655.1
OG0004300	XP_006106540.1	XP_031821607.1, XP_031821605.1, XP_031821606.1
OG0004301	XP_006092217.1	XP_031821747.1
OG0004303	XP_006092215.1	XP_031821750.1, XP_012403927.1
OG0004304	XP_023612513.1	XP_031821826.1
OG0004305	XP_023612668.1	XP_003768209.1
OG0004306	XP_006092452.1, XP_006092453.1	XP_012403721.1
OG0004307	XP_006098979.1	XP_031821977.1, XP_031821978.1
OG0004308	XP_006102919.1	XP_031822260.1, XP_031822261.1
OG0004309	XP_006095679.1, XP_006093054.1, XP_006109047.1, XP_006109048.1	XP_031818710.1, XP_003767987.1
OG0004310	XP_023615389.1, XP_023605049.1	XP_031822351.1
OG0004311	XP_014320810.1, XP_006099938.1	XP_003770036.1, XP_031823465.1
OG0004312	XP_023619281.1	XP_031823471.1, XP_031823470.1, XP_031823469.1
OG0004313	XP_014320215.1	XP_031823636.1
OG0004315	XP_006103239.1	XP_031810645.1
OG0004316	XP_023600229.1	XP_012409340.1
OG0004317	XP_006103184.1, XP_006103185.1, XP_014301048.1	XP_003757556.1, XP_012409515.1
OG0004318	XP_006102150.1	XP_003757417.1
OG0004319	XP_014317683.1, XP_023605078.1	XP_003757179.1
OG0004320	XP_006096326.2	XP_031810152.1
OG0004321	XP_006096335.1	XP_003757157.1
OG0004322	XP_014315480.1	XP_023361044.1
OG0004323	XP_023615218.1	XP_023360070.1
OG0004324	XP_006106433.1	XP_031796839.1, XP_031796840.1
OG0004325	XP_006098576.1	XP_031796547.1
OG0004326	XP_014314630.1	XP_031793940.1, XP_031793941.1, XP_031793939.1
OG0004327	XP_023602828.1	XP_031806301.1
OG0004328	XP_006083378.1	XP_023350713.1
OG0004329	XP_014302580.1	XP_003758312.1
OG0004330	XP_023619794.1, XP_006081133.1	XP_031824390.1
OG0004331	XP_023619518.1	XP_031808969.1
OG0004332	XP_006086633.1	XP_003756501.1
OG0004333	XP_023607763.1	XP_003756630.1
OG0004334	XP_023607872.1	XP_031809216.1
OG0004335	XP_023617635.1	XP_012398155.1
OG0004336	XP_023618181.1	XP_031801301.1
OG0004337	XP_006102758.1	XP_031793146.1
OG0004338	XP_023611699.1	XP_031810056.1
OG0004339	XP_006103977.2	XP_003768946.2, XP_023352552.1
OG0004340	XP_023601613.1	XP_003768976.1
OG0004342	XP_006110087.3	XP_031820961.1, XP_031820962.1
OG0004343	XP_006090769.1	XP_031820569.1, XP_003769215.1, XP_031820568.1
OG0004344	XP_006089411.3	XP_003769253.1
OG0004345	XP_006089400.1	XP_031820475.1
OG0004346	XP_014313901.1	XP_023358877.2
OG0004348	XP_006098078.1	XP_031820323.1
OG0004349	XP_023614430.1	XP_031798022.1
OG0004350	XP_023607724.1, XP_023607725.1, XP_023607723.1, XP_014309190.1	XP_003760417.1
OG0004351	XP_014315162.1, XP_023605029.1	XP_031803063.1
OG0004352	XP_023613543.1	XP_003760440.1
OG0004353	XP_023602926.1	XP_031810949.1
OG0004354	XP_006108090.1	XP_031803191.1
OG0004355	XP_006109332.3	XP_003760578.2
OG0004356	XP_006107211.1	XP_031803248.1
OG0004358	XP_023604064.1	XP_003760594.1, XP_031803216.1
OG0004359	XP_006107368.1	XP_003760524.1
OG0004360	XP_006101336.1	XP_031799271.1
OG0004361	XP_014316114.1	XP_031799965.1
OG0004362	XP_023609282.1, XP_023604893.1	XP_003771658.1
OG0004363	XP_006088406.1	XP_031794930.1
OG0004364	XP_014310978.1	XP_031794896.1
OG0004365	XP_023611107.1	XP_031794843.1
OG0004366	XP_006085075.1	XP_031796610.1
OG0004367	XP_006088845.1	XP_031796425.1
OG0004370	XP_014309968.1	XP_031801854.1
OG0004371	XP_023608481.1	XP_031818118.1, XP_031818122.1, XP_031818123.1, XP_031818121.1, XP_031818117.1, XP_031818119.1
OG0004372	XP_006099202.1	XP_012401362.1, XP_012401361.1
OG0004373	XP_023614262.1	XP_031818019.1, XP_031818018.1, XP_012401347.1
OG0004374	XP_006094239.1	XP_031817980.1
OG0004375	XP_006087386.1, XP_023608544.1, XP_023608543.1	XP_031824982.1, XP_031824981.1, XP_031824980.1
OG0004376	XP_023608506.1	XP_031825043.1
OG0004377	XP_006098238.1	XP_031825081.1
OG0004378	XP_006098246.1	XP_031825110.1
OG0004379	XP_014310267.2	XP_003755798.1
OG0004380	XP_014306975.1	XP_031794830.1
OG0004381	XP_014317514.2	XP_031794762.1
OG0004382	XP_023605685.1	XP_031795677.1
OG0004383	XP_006084172.1	XP_012406041.1
OG0004384	XP_023610694.1	XP_031798845.1
OG0004385	XP_023608756.1, XP_023611313.1	XP_012407578.1
OG0004386	XP_006108736.1, XP_014303615.1, XP_006088365.1	XP_012406509.1
OG0004387	XP_023614663.1	XP_003771711.1
OG0004388	XP_023600289.1	XP_031795405.1
OG0004389	XP_023607593.1	XP_031806595.1
OG0004390	XP_023619697.1	XP_031799791.1
OG0004391	XP_006104648.2	XP_031807288.1
OG0004392	XP_006099911.1	XP_031807190.1
OG0004393	XP_014316058.1	XP_031807111.1
OG0004394	XP_023603141.1	XP_031806270.1
OG0004395	XP_023599882.1	XP_031806806.1
OG0004397	XP_006096878.2, XP_023616407.1, XP_006096877.1	XP_031800137.1
OG0004398	XP_006092560.1	XP_003769856.1
OG0004399	XP_006097560.1	XP_031824571.1, XP_003769919.1, XP_031824572.1
OG0004400	XP_014316722.1	XP_023359350.1, XP_031823294.1
OG0004401	XP_006095241.1	XP_031823295.1
OG0004402	XP_023614969.1	XP_012405157.1
OG0004403	XP_006095294.1, XP_014306703.2	XP_003769968.1
OG0004404	XP_006092152.1	XP_003773818.1, XP_003773816.1
OG0004405	XP_006106124.1	XP_031813081.1
OG0004406	XP_006107978.2, XP_023606838.1	XP_023360562.2, XP_023360563.2
OG0004409	XP_006098133.1	XP_012408021.1
OG0004410	XP_006092011.2	XP_031797369.1
OG0004411	XP_006092025.2	XP_031799820.1
OG0004413	XP_006102575.1, XP_023603605.1	XP_031798452.1
OG0004414	XP_006101653.1	XP_031799486.1
OG0004415	XP_023601405.1	XP_031797473.1, XP_031797475.1, XP_031797474.1
OG0004416	XP_014304005.1, XP_014304004.1	XP_031798497.1
OG0004417	XP_006081727.1	XP_031798828.1, XP_031798827.1, XP_031798829.1
OG0004418	XP_006109591.2, XP_014319356.1	XP_003763847.1
OG0004419	XP_014321353.1	XP_031815863.1
OG0004420	XP_023608199.1	XP_023354970.1
OG0004421	XP_006098554.1	XP_003763904.1
OG0004422	XP_006091353.1	XP_012399151.1
OG0004423	XP_006091363.1	XP_003762534.2
OG0004424	XP_006083894.1	XP_003762467.1
OG0004425	XP_023601375.1	XP_031809793.1
OG0004426	XP_014322365.1	XP_012398995.1, XP_023353851.1
OG0004428	XP_006104902.2	XP_031814349.1
OG0004429	XP_023601765.1	XP_031814496.1
OG0004430	XP_006110124.1	XP_031815415.1, XP_031815395.1, XP_031815392.1, XP_031815407.1, XP_031815403.1, XP_031815422.1
OG0004431	XP_023601244.1	XP_031816642.1, XP_031816632.1
OG0004432	XP_014321315.1	XP_031804032.1
OG0004433	XP_006100489.1	XP_003760809.1
OG0004434	XP_006107041.1	XP_012397610.1
OG0004435	XP_023618226.1, XP_006107650.1	XP_031803751.1
OG0004436	XP_014320617.1	XP_031803799.1
OG0004437	XP_023611175.1, XP_023619064.1	XP_031803782.1
OG0004438	XP_014303640.1	XP_031803465.1
OG0004439	XP_014303487.1	XP_023352315.1
OG0004440	XP_006101949.1	XP_003760944.1
OG0004441	XP_006105055.1	XP_012397732.1
OG0004442	XP_023620401.1	XP_031803644.1
OG0004443	XP_006092842.1	XP_003764345.3
OG0004444	XP_014311248.2	XP_003765599.1
OG0004445	XP_023613138.1, XP_014314792.1	XP_012400753.1
OG0004446	XP_023613148.1	XP_031817734.1, XP_031817735.1, XP_031817737.1, XP_031817736.1
OG0004447	XP_023619812.1	XP_031817260.1
OG0004448	XP_006094643.1	XP_031817867.1, XP_031817866.1
OG0004449	XP_006105625.1	XP_031817948.1
OG0004450	XP_006093888.1	XP_031810381.1, XP_031799980.1
OG0004451	XP_006091666.1	XP_003773706.1
OG0004452	XP_006094676.1	XP_003764866.3
OG0004453	XP_014322824.1	XP_003767110.1
OG0004454	XP_006083577.1	XP_031814263.1
OG0004455	XP_023603921.1	XP_031814304.1
OG0004456	XP_006090584.1	XP_031814317.1
