Orthogroup	Myotis_lucifugus	Canis_lupus_familiaris
OG0002748	XP_023610825.1	XP_038391143.1, XP_038391142.1, XP_038391141.1, XP_038391146.1, XP_038391144.1, XP_038391145.1
OG0002749	XP_006096408.1, XP_006096409.1	XP_038391392.1, XP_038396285.1
OG0002751	XP_023613671.1	XP_038392046.1
OG0002752	XP_006103155.1	XP_038392871.1, XP_038400046.1
OG0002753	XP_023600830.1	XP_038393027.1
OG0002754	XP_006089828.1, XP_006089830.1, XP_023610436.1, XP_006089829.1	XP_038393250.1
OG0002755	XP_023602126.1	XP_038393838.1
OG0002756	XP_006087122.1	XP_038394180.1
OG0002757	XP_023608357.1	XP_038394181.1
OG0002757	XP_023618435.1	XP_038435143.1
OG0002758	XP_014309947.1, XP_023617965.1, XP_023618005.1	XP_038394787.1
OG0002759	XP_006093989.1, XP_006093990.1, XP_006108866.1	XP_038394882.1
OG0002760	XP_014303708.1	XP_038395140.1, XP_038395139.1
OG0002761	XP_006107389.1	XP_038395621.1
OG0002762	XP_014301381.1	XP_038395688.1
OG0002763	XP_006109893.1, XP_014315786.1	XP_038396227.1, XP_038396226.1, XP_038396225.1
OG0002764	XP_023610979.1	XP_038396338.1, XP_038396337.1, XP_038396339.1
OG0002765	XP_014321787.1	XP_038396655.1
OG0002766	XP_006100931.1	XP_038396752.1, XP_038396751.1, XP_038396753.1, XP_038396750.1
OG0002767	XP_023612841.1	XP_038396934.1
OG0002768	XP_014314506.1	XP_038396972.1
OG0002769	XP_006092646.1	XP_038397005.1
OG0002770	XP_023600413.1, XP_023600415.1, XP_023600416.1	XP_038397648.1
OG0002772	XP_023604202.1	XP_038397870.1
OG0002773	XP_023619025.1, XP_023619026.1, XP_023619024.1	XP_038398525.1
OG0002774	XP_014319020.1	XP_038398974.1, XP_038398973.1, XP_038398972.1, XP_038398971.1
OG0002775	XP_014319068.1	XP_038399066.1
OG0002776	XP_006095154.1	XP_038399146.1
OG0002777	XP_006109753.2, XP_006109558.1	XP_038399430.1, XP_038399432.1
OG0002778	XP_006097453.1	XP_038399608.1
OG0002779	XP_014308824.1	XP_038400334.1, XP_038442144.1
OG0002780	XP_023618330.1	XP_038400513.1, XP_038400516.1, XP_038400514.1, XP_038400515.1
OG0002781	XP_023619193.1	XP_038400726.1
OG0002782	XP_014323387.1	XP_038400850.1
OG0002783	XP_006087008.1	XP_038401315.1
OG0002784	XP_006087009.1	XP_038401321.1, XP_038401326.1, XP_038401325.1, XP_038401320.1, XP_038401323.1, XP_038401324.1, XP_038401322.1, XP_038401328.1
OG0002785	XP_014322547.1, XP_023620885.1, XP_023620883.1, XP_006109609.2, XP_006108905.1, XP_023620884.1	XP_038401463.1
OG0002786	XP_023602741.1	XP_038401572.1, XP_038401575.1, XP_038401570.1, XP_038401571.1, XP_038401574.1, XP_038401573.1
OG0002789	XP_023604342.1	XP_038402722.1
OG0002790	XP_006092282.1	XP_038403884.1
OG0002791	XP_023615257.1	XP_038404185.1
OG0002792	XP_006099225.1	XP_038404462.1, XP_038404461.1
OG0002793	XP_023615902.1	XP_038405318.1
OG0002794	XP_006103473.1	XP_038405416.1
OG0002795	XP_006085079.1	XP_038405462.1, XP_038436344.1, XP_038412874.1
OG0002796	XP_006093743.1	XP_038432091.1, XP_038405514.1, XP_038405513.1
OG0002797	XP_006093678.1	XP_038405651.1
OG0002798	XP_006098589.1, XP_006098587.1, XP_006098588.1	XP_038406356.1, XP_038406357.1, XP_038406358.1
OG0002799	XP_014319639.1	XP_038406394.1, XP_038406396.1, XP_038406397.1, XP_038406393.1, XP_038406398.1, XP_038406392.1, XP_038406399.1, XP_038406395.1
OG0002801	XP_014321732.1	XP_038406930.1
OG0002802	XP_023601875.1	XP_038407134.1, XP_038437022.1
OG0002803	XP_023601778.1	XP_038407287.1
OG0002804	XP_006093043.1	XP_038407411.1
OG0002805	XP_023613186.1	XP_038407477.1
OG0002806	XP_023607879.1	XP_038408221.1
OG0002807	XP_006102774.2	XP_038408704.1
OG0002808	XP_023609075.1	XP_038408942.1
OG0002809	XP_006093305.1	XP_038410249.1
OG0002810	XP_023610961.1	XP_038410510.1
OG0002811	XP_023610947.1	XP_038410558.1
OG0002812	XP_023615531.1	XP_038410721.1
OG0002813	XP_023620371.1	XP_038410758.1, XP_038410757.1, XP_038410755.1, XP_038410756.1, XP_038410754.1
OG0002814	XP_006088437.2	XP_038412489.1
OG0002815	XP_006088811.2	XP_038413143.1, XP_038413144.1
OG0002817	XP_006094231.1	XP_038413855.1, XP_038413856.1, XP_038413857.1, XP_038413858.1
OG0002818	XP_014310075.1	XP_038413966.1
OG0002819	XP_014310070.1, XP_006087363.1	XP_038414002.1
OG0002820	XP_023610312.1	XP_038414960.1
OG0002822	XP_006094781.1, XP_014316312.1, XP_006094779.2	XP_038415307.1, XP_038415309.1, XP_038415308.1
OG0002823	XP_006097127.1	XP_038415893.1
OG0002824	XP_006109025.1	XP_038416613.1
OG0002825	XP_023605022.1	XP_038416627.1
OG0002826	XP_006099851.1	XP_038416909.1, XP_038442529.1
OG0002827	XP_014316063.1	XP_038417180.1, XP_038417176.1, XP_038417178.1, XP_038417174.1, XP_038417177.1, XP_038417179.1, XP_038417175.1
OG0002828	XP_023612804.1	XP_038417743.1
OG0002829	XP_006092600.1, XP_023612837.1, XP_006092601.1	XP_038418308.1
OG0002830	XP_023619218.1	XP_038418325.1
OG0002831	XP_023603823.1	XP_038418551.1
OG0002832	XP_006091981.1	XP_038420402.1, XP_038419182.1
OG0002833	XP_014323283.1	XP_038419628.1, XP_038419629.1, XP_038419627.1
OG0002834	XP_014303997.2	XP_038420069.1
OG0002835	XP_006097174.3	XP_038421220.1, XP_038421221.1, XP_038421222.1, XP_038421223.1
OG0002836	XP_006089079.1	XP_038421821.1
OG0002840	XP_006100478.1	XP_038422649.1
OG0002841	XP_006107110.1	XP_038422808.1
OG0002843	XP_006082018.1, XP_014312631.1	XP_038423364.1, XP_038423356.1
OG0002845	XP_006101206.1	XP_038423812.1
OG0002846	XP_023599077.1	XP_038423923.1
OG0002847	XP_006098533.1	XP_038424409.1, XP_038424408.1
OG0002848	XP_014313360.1	XP_038424425.1, XP_038424424.1, XP_038424423.1
OG0002849	XP_006094851.1	XP_038425182.1, XP_038425183.1
OG0002850	XP_006087667.1	XP_038426608.1, XP_038426610.1, XP_038426609.1, XP_038426607.1
OG0002851	XP_014306040.1	XP_038426689.1
OG0002852	XP_014317831.1, XP_006096475.1	XP_038427651.1
OG0002853	XP_006096447.1	XP_038427704.1
OG0002854	XP_014304093.1, XP_006106724.1	XP_038428752.1, XP_038439184.1, XP_038428753.1
OG0002856	XP_006108853.2	XP_038429520.1
OG0002857	XP_006082649.1	XP_038429906.1
OG0002858	XP_006082652.1	XP_038429928.1
OG0002859	XP_023603154.1, XP_006109315.2	XP_038430281.1, XP_038430282.1, XP_038430283.1
OG0002860	XP_023618457.1, XP_006099077.1, XP_023618456.1	XP_038430953.1
OG0002862	XP_014319463.1	XP_038431360.1
OG0002863	XP_023618727.1	XP_038431453.1
OG0002864	XP_006104947.1	XP_038431578.1, XP_038431577.1
OG0002865	XP_023618340.1	XP_038431939.1
OG0002867	XP_014322993.1	XP_038432078.1
OG0002867	XP_023604640.1	XP_038444713.1
OG0002868	XP_006084204.1	XP_038432494.1
OG0002869	XP_014307101.1	XP_038432552.1
OG0002870	XP_023612072.1	XP_038437673.1, XP_038433395.1
OG0002871	XP_023610600.1	XP_038434311.1
OG0002873	XP_006095999.1	XP_038434560.1
OG0002874	XP_006095950.1, XP_006095949.1	XP_038434564.1, XP_038434562.1, XP_038434563.1
OG0002876	XP_023618423.1	XP_038435122.1
OG0002877	XP_006102200.1	XP_038435536.1
OG0002878	XP_014310508.1	XP_038435815.1
OG0002879	XP_006093082.1, XP_006093083.1	XP_038435997.1
OG0002880	XP_006093147.1	XP_038436165.1, XP_038436166.1, XP_038436167.1, XP_038436164.1
OG0002881	XP_006093145.1	XP_038436175.1
OG0002882	XP_006087928.1	XP_038436894.1
OG0002883	XP_006104248.1, XP_006104249.1, XP_006104247.1	XP_038437370.1
OG0002884	XP_006084685.1	XP_038438049.1
OG0002885	XP_006084597.1	XP_038438231.1
OG0002886	XP_006096238.1	XP_038438384.1, XP_038444673.1
OG0002887	XP_023614631.1, XP_023614630.1	XP_038438619.1
OG0002888	XP_006092867.1, XP_023613075.1, XP_014314701.1	XP_038439091.1, XP_038439089.1, XP_038439090.1, XP_038439092.1
OG0002889	XP_023606285.1, XP_006084792.1, XP_023606287.1, XP_023606290.1, XP_023606289.1, XP_023606286.1, XP_023606288.1	XP_038439101.1
OG0002890	XP_006084967.1, XP_006084968.1	XP_038439877.1
OG0002891	XP_023616558.1	XP_038441511.1, XP_038441512.1
OG0002892	XP_023617611.1	XP_038441811.1, XP_038445280.1
OG0002893	XP_006094896.1	XP_038441966.1, XP_038441965.1
OG0002895	XP_006103834.1	XP_038442165.1
OG0002896	XP_006103841.1	XP_038442182.1
OG0002897	XP_023600767.1	XP_038442185.1
OG0002897	XP_023600768.1	XP_038442186.1
OG0002898	XP_023619428.1	XP_038442469.1
OG0002899	XP_006082364.1	XP_038442497.1
OG0002900	XP_023609452.1	XP_038442926.1
OG0002901	XP_014308560.1	XP_038443071.1
OG0002902	XP_006109805.1	XP_038443105.1, XP_038443104.1
OG0002903	XP_006090622.1	XP_038443133.1
OG0002904	XP_023616718.1	XP_038443340.1, XP_038443328.1, XP_038443329.1, XP_038443335.1, XP_038443331.1, XP_038443333.1, XP_038443336.1, XP_038443330.1, XP_038443337.1, XP_038443334.1, XP_038443339.1, XP_038443332.1
OG0002905	XP_014314672.1	XP_038444049.1, XP_038444051.1, XP_038444048.1, XP_038444050.1, XP_038444047.1
OG0002906	XP_006082116.1	XP_038444329.1
OG0002907	XP_023606238.1, XP_023606239.1	XP_038444743.1
OG0002913	XP_006100243.1	NP_001002963.1
OG0002914	XP_006089045.3	NP_001002965.2
OG0002915	XP_023604791.1	NP_001003011.1
OG0002916	XP_023613553.1, XP_023613552.1, XP_006093413.1	NP_001003065.1
OG0002917	XP_023602634.1	NP_001003140.1
OG0002918	XP_023604299.1	NP_001003279.1
OG0002919	XP_023611676.1	XP_038381548.1, XP_038442611.1, NP_001003288.1, XP_038415218.1
OG0002920	XP_023610786.1	NP_001005760.1
OG0002921	XP_023611529.1, XP_006090978.1	NP_001012754.1
OG0002922	XP_023604186.1	NP_001017442.2
OG0002923	XP_006100107.1, XP_023619475.1, XP_023619476.1	NP_001026805.1
OG0002925	XP_023605595.1	NP_001041500.1
OG0002926	XP_006101305.1, XP_023620527.1, XP_023620529.1, XP_006101304.1, XP_023620528.1	NP_001041567.1
OG0002927	XP_006090658.1	NP_001041580.1
OG0002929	XP_023618357.1	NP_001103649.1
OG0002930	XP_006108633.2	NP_001120787.1
OG0002931	XP_006084406.1	NP_001138969.1
OG0002933	XP_023599900.1	NP_001182770.1
OG0002934	XP_023603882.1	NP_001184086.1
OG0002935	XP_023605174.1	NP_001185588.1
OG0002937	XP_006093015.1	NP_001239260.1
OG0002938	XP_006105654.1	NP_001239299.1
OG0002939	XP_006098601.1	XP_038433417.1, NP_001239347.1
OG0002940	XP_006098723.1, XP_006098724.1	NP_001271378.1
OG0002941	XP_006106418.1	NP_001274060.1
OG0002942	XP_023616526.1	NP_001274099.1
OG0002945	XP_006087679.1	NP_001300707.1
OG0002946	XP_023616038.1	NP_001300742.1
OG0002947	XP_006084133.1	NP_001300784.1
OG0002948	XP_023620782.1	NP_001301038.1
OG0002949	XP_006094714.1	NP_001375650.1
OG0002951	XP_006108889.1, XP_023619468.1	NP_001375737.1
OG0002952	XP_006101364.1, XP_006101390.1	NP_001375912.1, NP_001375869.1
OG0002955	XP_014316592.1	XP_038381538.1
OG0002955	XP_014316580.1	XP_038381427.1
OG0002956	XP_006101027.1	XP_038381877.1
OG0002957	XP_014309629.1	XP_038382958.1
OG0002958	XP_006086863.1	XP_038383018.1, XP_038383020.1, XP_038383017.1, XP_038383019.1
OG0002959	XP_006108843.1	XP_038383239.1
OG0002960	XP_006102262.1	XP_038383337.1
OG0002961	XP_023608614.1	XP_038383637.1
OG0002963	XP_023602221.1, XP_014303054.1	XP_038383692.1
OG0002964	XP_023604375.1	XP_038383771.1
OG0002964	XP_023604372.1, XP_023604272.1, XP_023604373.1, XP_014305334.2	XP_038383817.1
OG0002965	XP_006108904.1	XP_038383957.1
OG0002967	XP_006108207.1	XP_038384030.1, XP_038384031.1, XP_038384029.1
OG0002968	XP_006107567.1	XP_038384184.1
OG0002969	XP_006109184.1	XP_038384301.1, XP_038384303.1, XP_038384300.1, XP_038384302.1
OG0002970	XP_006108259.1, XP_006109533.1	XP_038384373.1
OG0002971	XP_014323479.1	XP_038384735.1
OG0002972	XP_023599743.1	XP_038384756.1, XP_038384758.1, XP_038384757.1, XP_038384755.1
OG0002973	XP_023599739.1	XP_038384762.1, XP_038426190.1, XP_038399868.1
OG0002974	XP_006096775.2	XP_038384838.1
OG0002975	XP_006096740.1	XP_038384871.1
OG0002979	XP_023604270.1, XP_014305798.1	XP_038385459.1
OG0002980	XP_023611089.1	XP_038407935.1
OG0002981	XP_023607960.1	XP_038385838.1
OG0002982	XP_014311008.1	XP_038386094.1
OG0002983	XP_006088498.1	XP_038386148.1
OG0002984	XP_006081461.1	XP_038386674.1, XP_038386675.1
OG0002985	XP_006087379.1	XP_038413956.1
OG0002986	XP_014307540.1	XP_038386716.1
OG0002987	XP_023602042.1	XP_038386862.1
OG0002988	XP_023604553.1	XP_038387009.1
OG0002989	XP_023614317.1	XP_038387077.1
OG0002990	XP_006094299.1	XP_038387164.1, XP_038387163.1
OG0002991	XP_006097372.1	XP_038387377.1
OG0002992	XP_006108846.2, XP_006104161.1	XP_038387510.1
OG0002993	XP_023600730.1	XP_038387946.1
OG0002994	XP_023602135.1	XP_038387985.1
OG0002995	XP_023606852.1	XP_038388334.1, XP_038388332.1, XP_038388333.1
OG0002996	XP_006102255.1	XP_038388482.1
OG0002997	XP_023603222.1	XP_038388775.1
OG0002998	XP_006108502.1	XP_038388777.1
OG0003000	XP_023605133.1, XP_023620784.1	XP_038389263.1
OG0003001	XP_006101571.1	XP_038389272.1
OG0003002	XP_023616233.1, XP_023616232.1, XP_006096667.1	XP_038389305.1
OG0003003	XP_023602688.1, XP_006106130.1	XP_038424062.1, XP_038444868.1, XP_038389311.1
OG0003006	XP_006098655.1	XP_038390762.1, XP_038390761.1, XP_038389676.1
OG0003007	XP_023610368.1	XP_038389920.1
OG0003008	XP_006100028.1	XP_038390093.1
OG0003009	XP_023610904.1, XP_023610908.1	XP_038390188.1
OG0003010	XP_006101034.1	XP_038390397.1
OG0003011	XP_023620291.1	XP_038390405.1, XP_038390406.1, XP_038390407.1, XP_038390404.1
OG0003013	XP_023609833.1	XP_038390802.1
OG0003014	XP_006090152.1	XP_038391326.1, XP_038401174.1
OG0003015	XP_006081544.1	XP_038391337.1
OG0003016	XP_006093014.1	XP_038391406.1, XP_038407475.1
OG0003017	XP_006101815.1, XP_006101816.1, XP_023599024.1	XP_038391662.1, XP_038391663.1, XP_038391661.1
OG0003018	XP_006093554.1	XP_038392086.1
OG0003019	XP_023599707.1	XP_038392748.1
OG0003020	XP_006102665.1, XP_006102666.1	XP_038392753.1, XP_038392754.1, XP_038392755.1
OG0003021	XP_006097430.1	XP_038392887.1
OG0003022	XP_006105741.2	XP_038392915.1
OG0003024	XP_006106523.1, XP_006106524.1	XP_038393742.1, XP_038393740.1, XP_038393741.1
OG0003025	XP_006087081.1, XP_006087080.1	XP_038394066.1, XP_038394065.1, XP_038394067.1
OG0003026	XP_006087108.1	XP_038394145.1, XP_038394148.1, XP_038394147.1, XP_038394146.1
OG0003027	XP_006091243.1	XP_038394363.1
OG0003028	XP_014320390.1	XP_038394642.1
OG0003029	XP_006099449.1	XP_038394647.1, XP_038394649.1, XP_038394648.1, XP_038394650.1
OG0003030	XP_006095907.1	XP_038394704.1
OG0003031	XP_023600686.1	XP_038394819.1
OG0003032	XP_023609175.1	XP_038394911.1
OG0003033	XP_006088309.1	XP_038395049.1
OG0003034	XP_014303710.1	XP_038395143.1, XP_038395145.1, XP_038395142.1, XP_038395144.1
OG0003035	XP_023603546.1	XP_038395580.1
OG0003036	XP_023603825.1	XP_038395617.1, XP_038395612.1, XP_038395613.1, XP_038395616.1, XP_038395615.1
OG0003037	XP_006105007.3	XP_038395656.1
OG0003038	XP_006106110.1	XP_038395670.1
OG0003039	XP_014301228.1	XP_038395800.1
OG0003041	XP_023616006.1	XP_038396329.1
OG0003042	XP_006103722.2	XP_038396860.1, XP_038396859.1, XP_038396861.1, XP_038396858.1, XP_038396862.1
OG0003043	XP_006100606.1	XP_038397102.1
OG0003044	XP_006093256.1	XP_038437666.1, XP_038397275.1
OG0003045	XP_014315063.1	XP_038397336.1
OG0003048	XP_006109166.1	XP_038397802.1, XP_038397804.1, XP_038397803.1, XP_038397805.1
OG0003049	XP_006089980.2	XP_038397983.1
OG0003050	XP_023609788.1	XP_038398346.1
OG0003051	XP_023609724.1	XP_038398386.1, XP_038398385.1
OG0003052	XP_023617319.1	XP_038398876.1
OG0003053	XP_023617369.1	XP_038399030.1
OG0003054	XP_006102294.1	XP_038400238.1, XP_038400237.1
OG0003055	XP_006109877.3	XP_038400849.1
OG0003056	XP_006102636.1	XP_038400857.1, XP_038400858.1, XP_038400860.1, XP_038400859.1
OG0003058	XP_023601746.1	XP_038401725.1
OG0003061	XP_014305488.1, XP_023604427.1, XP_006105644.1	XP_038402292.1
OG0003062	XP_006108616.1	XP_038402302.1
OG0003063	XP_023612702.1	XP_038402710.1
OG0003064	XP_006092220.2	XP_038402844.1
OG0003065	XP_023602059.1	XP_038402971.1, XP_038402972.1
OG0003066	XP_006106155.1	XP_038402998.1
OG0003067	XP_006092377.1	XP_038403130.1, XP_038403132.1, XP_038403131.1
OG0003068	XP_014321684.2	XP_038403403.1
OG0003069	XP_023618373.1	XP_038403444.1
OG0003070	XP_014319976.1, XP_006098982.1	XP_038403477.1
OG0003071	XP_023618381.1, XP_006099001.1	XP_038403544.1
OG0003072	XP_006092284.1, XP_023612579.1	XP_038403900.1
OG0003073	XP_006095593.1	XP_038404200.1
OG0003074	XP_023618613.1, XP_006099239.1, XP_023618612.1, XP_014320201.1	XP_038404411.1
OG0003075	XP_006099226.1, XP_023618581.1	XP_038404455.1, XP_038404456.1
OG0003076	XP_006105191.1	XP_038404470.1
OG0003077	XP_006110099.2	XP_038404504.1
OG0003078	XP_006109564.1	XP_038404586.1
OG0003080	XP_006093637.1, XP_006093638.1	XP_038405717.1, XP_038405716.1
OG0003081	XP_006106431.1	XP_038406006.1
OG0003082	XP_006109261.3	XP_038406184.1, XP_038406183.1
OG0003083	XP_014305507.1, XP_006108067.1	XP_038406224.1
OG0003084	XP_014303068.2, XP_014312936.1	XP_038407135.1
OG0003085	XP_006083342.1	XP_038407367.1
OG0003086	XP_023607939.1	XP_038407538.1
OG0003087	XP_006098776.2	XP_038408642.1
OG0003088	XP_023599810.1	XP_038408686.1
OG0003089	XP_014310668.1	XP_038409028.1
OG0003090	XP_023618822.1	XP_038409141.1
OG0003092	XP_006110210.2	XP_038409744.1, XP_038409743.1, XP_038409742.1
OG0003093	XP_006104458.1	XP_038409835.1
OG0003094	XP_023619905.1, XP_006100624.1, XP_023619903.1, XP_023619904.1	XP_038410031.1
OG0003095	XP_023618070.1	XP_038410163.1, XP_038410164.1
OG0003096	XP_006099777.1, XP_014320686.1	XP_038410203.1, XP_038410202.1, XP_038410204.1, XP_038410205.1
OG0003097	XP_014320687.1	XP_038410211.1
OG0003098	XP_006081484.1	XP_038428803.1, XP_038410557.1
OG0003099	XP_023612274.1	XP_038410654.1
OG0003100	XP_006105961.1	XP_038410955.1
OG0003101	XP_014308115.1	XP_038411268.1, XP_038411269.1
OG0003102	XP_014315160.1	XP_038411467.1
OG0003104	XP_023609385.1	XP_038411887.1
OG0003105	XP_023614066.1	XP_038412083.1
OG0003106	XP_006099146.1	XP_038412664.1, XP_038412661.1, XP_038412662.1, XP_038412665.1, XP_038412660.1, XP_038412667.1, XP_038412666.1, XP_038412663.1
OG0003107	XP_006085007.1	XP_038412722.1, XP_038412724.1, XP_038412721.1, XP_038412720.1, XP_038412725.1, XP_038412723.1
OG0003108	XP_006085014.1	XP_038412750.1
OG0003109	XP_006088783.1	XP_038413213.1
OG0003110	XP_023618169.1	XP_038413406.1
OG0003111	XP_023614291.1	XP_038413485.1
OG0003112	XP_023608434.1	XP_038413576.1, XP_038413578.1, XP_038413577.1
OG0003113	XP_006094255.1	XP_038413902.1, XP_038413900.1, XP_038413901.1
OG0003114	XP_006098213.1	XP_038414127.1
OG0003115	XP_006098256.1, XP_006098257.1	XP_038414231.1
OG0003116	XP_023607595.1, XP_023607597.1, XP_023607596.1	XP_038415120.1
OG0003117	XP_014320996.1	XP_038415453.1, XP_038415452.1, XP_038415454.1
OG0003119	XP_006097083.1	XP_038415787.1
OG0003120	XP_006086291.1	XP_038416012.1
OG0003121	XP_006092751.1	XP_038416240.1
OG0003122	XP_023602849.1	XP_038416579.1
OG0003123	XP_006106385.1, XP_006102404.1	XP_038416696.1
OG0003124	XP_023612200.1	XP_038416866.1
OG0003125	XP_023603502.1	XP_038417203.1
OG0003126	XP_014323609.1	XP_038417300.1
OG0003127	XP_006100914.1	XP_038417324.1, XP_038417321.1, XP_038417323.1, XP_038417322.1
OG0003129	XP_006092126.1, XP_006091990.1, XP_006092125.1, XP_006092124.1	XP_038418395.1
OG0003130	XP_006102244.1	XP_038435754.1, XP_038418460.1
OG0003131	XP_023603288.1	XP_038418531.1
OG0003132	XP_014308272.1	XP_038418582.1
OG0003133	XP_023606873.1	XP_038418730.1
OG0003134	XP_023612345.1, XP_006091954.1	XP_038419159.1
OG0003135	XP_006102558.2	XP_038419679.1
OG0003136	XP_023601408.1	XP_038419888.1
OG0003137	XP_006104411.1	XP_038419939.1, XP_038419938.1
OG0003138	XP_023603123.1	XP_038420068.1
OG0003139	XP_014305811.1, XP_006108345.1	XP_038420278.1, XP_038420279.1, XP_038420280.1
OG0003140	XP_023604567.1	XP_038420349.1
OG0003141	XP_006082929.1	XP_038437709.1, XP_038443634.1, XP_038421092.1, XP_038434670.1
OG0003143	XP_014321526.1	XP_038421327.1
OG0003144	XP_023605447.1, XP_023605448.1, XP_006083930.1, XP_006083929.1	XP_038421649.1, XP_038421651.1
OG0003145	XP_006108740.1	XP_038422282.1, XP_038422280.1, XP_038422279.1, XP_038422281.1
OG0003149	XP_023616639.1	XP_038422597.1
OG0003150	XP_023619765.1, XP_014306076.1	XP_038422695.1
OG0003151	XP_006106003.1	XP_038423199.1
OG0003152	XP_006104132.1	XP_038423280.1
OG0003153	XP_006104892.1	XP_038423633.1
OG0003154	XP_014322713.1	XP_038423960.1
OG0003155	XP_023599062.1	XP_038424005.1
OG0003156	XP_023613139.1	XP_038424328.1
OG0003157	XP_006092967.1	XP_038424383.1
OG0003158	XP_006098535.1	XP_038424412.1, XP_038424410.1, XP_038424411.1
OG0003159	XP_014316233.1	XP_038424764.1
OG0003160	XP_023602337.1	XP_038424832.1
OG0003161	XP_023613927.1	XP_038425158.1
OG0003162	XP_023612161.1	XP_038425217.1
OG0003163	XP_014304561.1	XP_038425387.1
OG0003164	XP_006102016.2	XP_038425825.1
OG0003165	XP_006086975.1	XP_038425957.1
OG0003166	XP_006102113.2	XP_038426082.1
OG0003167	XP_006083726.1	XP_038426687.1, XP_038426688.1
OG0003168	XP_006083746.1	XP_038426749.1, XP_038426750.1
OG0003169	XP_023605036.1	XP_038426774.1
OG0003170	XP_014306454.1	XP_038426897.1, XP_038426895.1, XP_038426896.1
OG0003171	XP_006090384.1	XP_038427207.1, XP_038427208.1
OG0003172	XP_006089435.1	XP_038427816.1
OG0003173	XP_006089485.1	XP_038427975.1
OG0003174	XP_014304940.1	XP_038429059.1
OG0003175	XP_014319610.1, XP_023618535.1, XP_023618532.1	XP_038430219.1
OG0003176	XP_023618467.1	XP_038431062.1
OG0003177	XP_023618450.1	XP_038431082.1, XP_038431080.1, XP_038431081.1, XP_038431078.1, XP_038431079.1, XP_038431083.1
OG0003178	XP_023616178.1	XP_038431270.1
OG0003179	XP_023617834.1	XP_038431403.1, XP_038431404.1, XP_038431406.1, XP_038431401.1, XP_038431400.1, XP_038431402.1, XP_038431407.1
OG0003181	XP_014305388.1, XP_014307231.1	XP_038432049.1
OG0003182	XP_023606980.1	XP_038432169.1
OG0003183	XP_023615698.1	XP_038432392.1
OG0003184	XP_023605592.1	XP_038432498.1, XP_038432500.1, XP_038432501.1, XP_038432499.1
OG0003185	XP_006084247.1, XP_023605765.1	XP_038432585.1, XP_038432586.1
OG0003186	XP_006084271.1	XP_038432642.1, XP_038432641.1
OG0003187	XP_023605596.1, XP_006108410.1	XP_038432707.1
OG0003188	XP_023605601.1	XP_038432740.1, XP_038432741.1, XP_038432744.1, XP_038432742.1
OG0003189	XP_006084348.1	XP_038432820.1
OG0003190	XP_006090714.1	XP_038432983.1
OG0003191	XP_006086825.1	XP_038433077.1, XP_038433078.1, XP_038433080.1, XP_038433079.1, XP_038433076.1, XP_038433081.1, XP_038433075.1
OG0003192	XP_014313666.1, XP_006108369.1	XP_038433381.1
OG0003193	XP_014313697.1	XP_038433496.1, XP_038433495.1
OG0003194	XP_006105389.1	XP_038433558.1
OG0003196	XP_023615497.1, XP_023615495.1, XP_023615494.1, XP_023615496.1	XP_038433768.1
OG0003198	XP_006109973.1	XP_038434618.1
OG0003199	XP_006088239.1	XP_038434671.1
OG0003200	XP_023618421.1	XP_038435102.1
OG0003201	XP_023606667.1	XP_038435303.1
OG0003202	XP_023611269.1	XP_038435309.1
OG0003203	XP_023602169.1	XP_038435695.1, XP_038435692.1, XP_038435696.1, XP_038435694.1, XP_038435693.1
OG0003204	XP_023599377.1, XP_006102245.1	XP_038435741.1, XP_038435740.1
OG0003205	XP_006087920.1	XP_038435813.1
OG0003206	XP_014310222.1	XP_038435833.1, XP_038435834.1
OG0003207	XP_006086017.1, XP_014316163.1	XP_038436357.1, XP_038436356.1
OG0003208	XP_006104746.1, XP_006104747.1, XP_023601625.1	XP_038436753.1
OG0003209	XP_014310491.1	XP_038436817.1
OG0003210	XP_006087961.3	XP_038436957.1
OG0003211	XP_006105880.1	XP_038437227.1
OG0003212	XP_014307578.1	XP_038438030.1
OG0003213	XP_006084603.1	XP_038438199.1
OG0003214	XP_006084584.1	XP_038438263.1
OG0003215	XP_006094755.1	XP_038438483.1
OG0003216	XP_014312481.1	XP_038438661.1
OG0003217	XP_023604555.1, XP_023604554.1	XP_038438783.1
OG0003218	XP_006090972.1	XP_038438864.1, XP_038438865.1
OG0003219	XP_014314702.2	XP_038439076.1
OG0003220	XP_014307826.1	XP_038439333.1, XP_038439335.1, XP_038439334.1
OG0003221	XP_006101467.1	XP_038440178.1, XP_038440179.1
OG0003222	XP_006091321.1	XP_038440460.1
OG0003223	XP_006083283.1	XP_038440558.1
OG0003224	XP_006083245.1	XP_038440630.1
OG0003225	XP_023600990.1, XP_006083227.1	XP_038440679.1
OG0003226	XP_014316607.1	XP_038441192.1, XP_038441189.1, XP_038441190.1, XP_038441191.1
OG0003227	XP_006082499.1	XP_038441469.1
OG0003228	XP_006094894.1	XP_038441953.1
OG0003229	XP_006094391.2	XP_038442086.1, XP_038442087.1, XP_038442088.1
OG0003230	XP_014301564.1	XP_038442120.1, XP_038442123.1, XP_038442122.1, XP_038442121.1
OG0003231	XP_014318271.1	XP_038442306.1
OG0003232	XP_006087841.1	XP_038442582.1, XP_038442581.1, XP_038442583.1
OG0003233	XP_006088616.1	XP_038442865.1
