Orthogroup	Rattus_norvegicus	Ursus_americanus
OG0002948	XP_008768433.1, NP_068519.2	XP_045627335.1
OG0002949	XP_063141599.1, NP_001000184.1, NP_001001031.1	XP_045638909.1
OG0002951	NP_001000103.1	XP_045658529.1, XP_045658537.1
OG0002953	NP_001000106.1, XP_063132266.1	XP_045633444.1, XP_045656568.1, XP_045656567.1, XP_045656565.1, XP_045656566.1, XP_045656632.1, XP_045656625.1, XP_045656626.1
OG0002954	NP_001000044.1, NP_001000908.1	XP_045644723.1, XP_045633445.1, XP_045651730.1
OG0002955	XP_217725.3	XP_045661580.1
OG0002956	XP_038952915.1, NP_001385593.1	XP_045646088.1
OG0002957	NP_068509.2, XP_006231198.1	XP_045636964.1
OG0002958	NP_001101066.1, XP_006231225.1	XP_045628568.1
OG0002959	NP_001164034.1, XP_038951567.1	XP_045628326.1
OG0002960	NP_001014030.1, XP_006253757.1	XP_045628537.1
OG0002961	NP_001099693.1, XP_006228314.1	XP_045645226.1
OG0002962	XP_038947471.1, NP_001121011.1	XP_045645232.1, XP_045645234.1, XP_045645233.1
OG0002963	NP_001413839.1	XP_045645406.1
OG0002965	XP_063130847.1, NP_001408401.1	XP_045631144.1, XP_045631145.1
OG0002965	XP_063126075.1, NP_001408407.1	XP_045631123.1
OG0002966	XP_006229058.1, NP_001099726.2	XP_045631109.1
OG0002967	NP_001385540.1, NP_113814.2, NP_001385538.1, NP_001385539.1, XP_038944692.1	XP_045631117.1
OG0002968	NP_001102615.1	XP_045628193.1
OG0002969	XP_006229096.1, NP_001020815.1	XP_045628259.1
OG0002970	NP_001258381.1, XP_038946776.1	XP_045628147.1, XP_045628145.1, XP_045628146.1
OG0002971	NP_001100964.1, XP_006228500.1	XP_045637842.1, XP_045637774.1, XP_045637913.1
OG0002972	NP_001004083.1, XP_038967457.1	XP_045639714.1, XP_045639660.1
OG0002973	NP_001008304.1, XP_006228626.1	XP_045640331.1, XP_045640212.1, XP_045640147.1
OG0002974	NP_001100967.2, XP_038967495.1	XP_045641447.1
OG0002975	NP_001128232.1, NP_116008.2	XP_045641722.1
OG0002977	NP_001100974.1, XP_063117731.1	XP_045652193.1
OG0002978	NP_001274507.1, NP_001274506.1, NP_036656.1, NP_001274508.1	XP_045652132.1
OG0002979	NP_001100977.1, XP_063117777.1	XP_045652087.1
OG0002980	NP_037117.1	XP_045648694.1
OG0002981	NP_001101886.2, XP_006254092.1	XP_045668779.1
OG0002982	NP_446277.1, XP_063132091.1	XP_045668862.1
OG0002983	NP_001386226.1	XP_045668835.1
OG0002984	XP_006231944.1, NP_853660.1	XP_045650213.1
OG0002985	NP_001385929.1, XP_038954068.1	XP_045655507.1
OG0002986	NP_001019949.1, XP_006231910.1	XP_045665756.1
OG0002987	XP_038953626.1	XP_045662830.1
OG0002988	NP_001401942.1	XP_045662697.1
OG0002989	XP_006238988.1, NP_001013187.2	XP_045638114.1
OG0002990	XP_006238994.1, NP_001094179.1, NP_001402799.1	XP_045638524.1
OG0002991	XP_006239145.1	XP_045638337.1
OG0002992	XP_006239280.1, NP_001012764.1	XP_045638261.1
OG0002993	NP_001012106.1	XP_045632821.1
OG0002994	NP_001178622.1	XP_045642853.1
OG0002995	NP_062062.2, XP_006231810.1	XP_045652281.1
OG0002996	XP_063118388.1, NP_001100986.1	XP_045651055.1
OG0002997	XP_038961531.1, NP_001163933.1	XP_045668947.1, XP_045668946.1, XP_045668945.1
OG0002998	NP_001385657.1, XP_008757729.2	XP_045669092.1
OG0002999	XP_008757777.1, NP_062204.2	XP_045669029.1
OG0003000	XP_063129537.1, NP_001414739.1	XP_045627375.1
OG0003001	NP_001100691.1, XP_006251135.1	XP_045627386.1, XP_045627385.1, XP_045627384.1
OG0003002	XP_038948434.1, NP_445843.2	XP_045627352.1
OG0003003	XP_063129008.1, NP_001011911.1	XP_045627324.1
OG0003004	XP_038947551.1, NP_077042.2	XP_045627329.1
OG0003005	NP_001400723.1, XP_063121637.1	XP_045660413.1
OG0003006	NP_037055.1	XP_045648011.1
OG0003008	XP_038954360.2	XP_045639202.1
OG0003009	XP_063134984.1, NP_446096.2	XP_045639559.1
OG0003010	XP_017455499.1, NP_001011918.1	XP_045639105.1, XP_045639106.1
OG0003011	XP_006252879.1	XP_045639621.1
OG0003012	NP_036702.1	XP_045639596.1
OG0003013	NP_001401268.1	XP_045647976.1
OG0003014	XP_006232105.1, NP_001009618.1	XP_045643153.1
OG0003015	NP_037059.2, XP_063137424.1	XP_045643126.1
OG0003017	NP_001128221.1	XP_045654029.1
OG0003018	NP_001120975.1, XP_006243086.1	XP_045653740.1
OG0003019	NP_001102503.1, XP_006246838.1	XP_045653250.1
OG0003020	NP_001401224.1, XP_038941364.1	XP_045653248.1, XP_045653249.1, XP_045653247.1
OG0003021	XP_063125085.1, NP_001128505.1	XP_045634094.1
OG0003022	NP_001100478.1, XP_006246754.1	XP_045634187.1, XP_045634185.1, XP_045634186.1
OG0003023	NP_071952.1, XP_038965237.1	XP_045659414.1
OG0003024	XP_038966377.1, NP_001013234.2	XP_045659508.1
OG0003025	XP_038953863.1, NP_001017511.1	XP_045628702.1, XP_045628701.1
OG0003026	NP_001094485.1	XP_045652020.1
OG0003027	NP_001414566.1, XP_056841030.1	XP_045666218.1
OG0003028	NP_001387877.1, XP_008770779.1	XP_045670900.1, XP_045670901.1
OG0003029	NP_001383381.1, XP_063134260.1	XP_045670993.1
OG0003030	NP_001093942.1, XP_063143131.1	XP_045662956.1
OG0003031	XP_038943047.1, NP_001385690.1	XP_045639882.1
OG0003032	NP_001020296.2	XP_045642063.1
OG0003033	NP_001178845.1	XP_045642166.1, XP_045642167.1
OG0003034	NP_001386614.1, XP_038945995.1	XP_045629781.1, XP_045629779.1, XP_045629780.1
OG0003035	XP_063127720.1, NP_001102857.1	XP_045669290.1
OG0003036	XP_006248976.1, NP_598257.2	XP_045669281.1, XP_045669280.1
OG0003037	XP_006230411.1, NP_001178769.1	XP_045642048.1
OG0003038	NP_758825.2	XP_045642029.1
OG0003039	NP_001387557.1, NP_001387560.1	XP_045641910.1, XP_045641911.1, XP_045641908.1
OG0003040	XP_063142475.1, NP_001385691.1	XP_045626878.1, XP_045626879.1, XP_045626880.1
OG0003041	NP_001017471.1, XP_006245790.1	XP_045640552.1
OG0003042	NP_001007608.1, XP_006246004.1	XP_045639929.1
OG0003043	XP_006233273.1, NP_001094280.1	XP_045657602.1
OG0003044	XP_063129738.1, XP_038940878.1, NP_112361.1	XP_045657734.1
OG0003045	XP_017454640.2, NP_001132956.1	XP_045657760.1
OG0003047	NP_001238855.1	XP_045637756.1
OG0003048	NP_001101814.2	XP_045643606.1, XP_045643605.1
OG0003049	XP_038946871.1, NP_001101821.1	XP_045643787.1
OG0003050	XP_038946339.1, NP_775138.1	XP_045667385.1
OG0003051	NP_001276864.1	XP_045667342.1
OG0003052	NP_076472.2, XP_006232821.1	XP_045644532.1, XP_045644543.1, XP_045644538.1, XP_045649852.1, XP_045667898.1, XP_045643381.1, XP_045634865.1, XP_045634867.1, XP_045644681.1, XP_045640763.1
OG0003053	NP_114028.1, XP_063138973.1	XP_045640152.1
OG0003054	NP_113842.1, XP_006252071.1	XP_045658617.1, XP_045658616.1
OG0003055	NP_068635.1, XP_006240309.1	XP_045666311.1
OG0003056	XP_038967662.1, NP_598199.2	XP_045666454.1
OG0003058	XP_038968511.1, NP_001382041.1	XP_045633162.1
OG0003060	NP_001029252.1	XP_045670495.1, XP_045670496.1
OG0003061	XP_038943469.1, NP_001414610.1	XP_045669827.1
OG0003062	NP_954549.1, XP_006247967.1	XP_045670030.1
OG0003063	NP_001402062.1	XP_045669969.1
OG0003064	XP_006247683.1, NP_001020886.1	XP_045669893.1
OG0003065	NP_001101771.1, XP_038942345.1	XP_045669957.1
OG0003066	NP_001385527.1	XP_045669994.1
OG0003067	NP_001019936.1, XP_006247383.1, XP_038948682.1	XP_045637723.1
OG0003068	XP_063120441.1, XP_038936498.2, NP_001099306.1, XP_008766193.1	XP_045644781.1
OG0003069	XP_063124563.1, NP_742018.2	XP_045669717.1, XP_045669719.1, XP_045669718.1
OG0003070	NP_001385735.1	XP_045669712.1, XP_045669713.1
OG0003071	NP_001073676.1, XP_038942555.1	XP_045669677.1
OG0003072	NP_001013882.1, XP_038941489.1	XP_045629389.1
OG0003073	NP_001013880.1	XP_045629405.1
OG0003074	XP_017452603.1, NP_001011892.1	XP_045629409.1
OG0003075	XP_056840651.1, NP_001388962.1	XP_045629094.1
OG0003076	NP_077375.2, XP_038942843.1	XP_045629269.1
OG0003077	NP_037046.1, XP_063124535.1	XP_045629239.1
OG0003078	XP_038961120.1, NP_001020865.1	XP_045659671.1
OG0003079	XP_038960176.1, NP_001386116.1, NP_001386117.1	XP_045659741.1, XP_045659745.1, XP_045659742.1
OG0003080	NP_077048.2, NP_001103456.1	XP_045645713.1
OG0003081	NP_037332.2, XP_006242242.1	XP_045671432.1
OG0003082	XP_017450763.1	XP_045636018.1
OG0003083	XP_038934321.1, NP_036647.1	XP_045635812.1
OG0003084	NP_001385898.2, NP_001385899.2	XP_045643876.1, XP_045643875.1
OG0003085	NP_001292056.1, XP_006251594.1	XP_045644059.1
OG0003086	NP_001020200.1, XP_006253640.1	XP_045650985.1
OG0003087	NP_001026816.1	XP_045636414.1
OG0003088	XP_063143800.1, NP_001034114.2	XP_045636506.1, XP_045636507.1, XP_045636503.1, XP_045636504.1
OG0003089	XP_038965141.1, NP_596913.1	XP_045670775.1, XP_045670776.1
OG0003090	NP_001100131.1, XP_017448741.1	XP_045647040.1
OG0003091	NP_001102972.1	XP_045658028.1
OG0003092	XP_038943305.1, XP_063135190.1, NP_001008351.1	XP_045627974.1
OG0003093	XP_038954639.1, NP_001101087.2	XP_045642287.1
OG0003094	XP_038939750.1, NP_001012203.1	XP_045656785.1
OG0003095	XP_006244660.1, NP_001100362.1	XP_045657632.1
OG0003096	NP_001386338.1, XP_038940433.1	XP_045657978.1, XP_045657970.1, XP_045657962.1, XP_045657955.1
OG0003097	NP_001406429.1	XP_045658008.1, XP_045658000.1, XP_045657990.1, XP_045658017.1
OG0003098	XP_038951177.1, NP_001009316.1, XP_006235808.1	XP_045650760.1
OG0003099	XP_006238040.1, NP_001128441.1	XP_045663017.1
OG0003100	NP_001100936.2, XP_038966726.1	XP_045626570.1
OG0003101	NP_001385830.1	XP_045661743.1
OG0003102	XP_038934705.1, NP_001020830.2	XP_045668163.1
OG0003103	NP_001387923.1, NP_001387922.1	XP_045633209.1
OG0003104	NP_001413924.1, XP_038948654.1	XP_045672047.1
OG0003105	XP_006250936.1, NP_001385816.1	XP_045671882.1, XP_045671883.1
OG0003106	NP_001071149.1, XP_063142536.1	XP_045649273.1
OG0003107	NP_001102088.1	XP_045649231.1
OG0003108	XP_006236081.1, NP_001178790.1	XP_045649213.1, XP_045649212.1, XP_045649211.1
OG0003109	NP_001100759.1	XP_045648857.1
OG0003110	XP_008761010.1, NP_001015026.1	XP_045648721.1
OG0003111	NP_001011977.1	XP_045638520.1
OG0003112	NP_001178691.2, XP_008762316.1	XP_045655754.1
OG0003113	NP_001398589.1, NP_062113.1	XP_045638480.1, XP_045638479.1
OG0003114	XP_006238701.1, NP_001004236.1	XP_045655614.1, XP_045655615.1
OG0003115	XP_038965534.1, NP_001015006.1	XP_045655686.1, XP_045655685.1
OG0003116	NP_064698.1, XP_038950720.1	XP_045635241.1, XP_045635277.1, XP_045635138.1
OG0003117	XP_006251405.1, NP_001012154.1	XP_045649530.1, XP_045649531.1, XP_045649532.1
OG0003119	NP_001012048.1, XP_038950424.1	XP_045635072.1
OG0003120	NP_001099559.1, XP_006253365.1	XP_045635207.1
OG0003121	NP_001178619.1	XP_045641806.1
OG0003122	NP_001129034.1, XP_038964873.1, XP_017446043.1	XP_045644835.1, XP_045655218.1
OG0003123	NP_036747.1, NP_001289012.1, XP_006239969.1	XP_045631955.1
OG0003124	XP_008762766.1, NP_001386735.1	XP_045665252.1
OG0003125	XP_006239691.1, NP_001019434.2	XP_045665019.1, XP_045665018.1, XP_045665017.1
OG0003126	XP_006234989.1, NP_001020214.1	XP_045664950.1, XP_045664949.1, XP_045664951.1
OG0003127	NP_001128306.1	XP_045664938.1
OG0003130	XP_038952265.1, NP_001121025.1, XP_038949716.1	XP_045661866.1
OG0003131	NP_001257782.1, XP_063128928.1, NP_001257781.1, NP_036677.1	XP_045644470.1
OG0003132	XP_006254063.1, NP_058824.1	XP_045649466.1
OG0003133	XP_006235970.1, NP_955413.1	XP_045649371.1
OG0003134	XP_006234509.1, NP_954524.1	XP_045642666.1
OG0003135	XP_006230835.1, NP_062095.2	XP_045631686.1
OG0003136	NP_001258108.1, XP_008758401.1	XP_045631544.1
OG0003137	XP_003750217.1, NP_001153703.1, NP_001153704.1, NP_001012757.1, XP_038957064.1	XP_045631178.1, XP_045631562.1
OG0003138	XP_006230873.1, NP_001121015.1	XP_045631720.1, XP_045631721.1
OG0003139	NP_445882.2, NP_001401385.1, XP_006231134.1	XP_045642786.1
OG0003140	NP_001383921.1	XP_045642751.1, XP_045642750.1
OG0003141	NP_001388141.1	XP_045644794.1
OG0003142	XP_063122031.1	XP_045630384.1
OG0003143	NP_001012128.1	XP_045668383.1, XP_045668382.1
OG0003144	NP_001020905.1, XP_006237102.1	XP_045664154.1
OG0003145	XP_063121309.1, NP_001100324.1	XP_045663181.1
OG0003146	NP_001073411.1, XP_017451236.1	XP_045663136.1
OG0003147	XP_063121016.1, NP_665719.1	XP_045663132.1
OG0003148	XP_006243894.1, NP_001020075.1	XP_045634592.1
OG0003149	XP_017451091.1, NP_001100340.1	XP_045634835.1
OG0003150	NP_001100776.1	XP_045634759.1
OG0003151	NP_001014230.1	XP_045630474.1, XP_045630476.1, XP_045630473.1
OG0003152	XP_063121108.1, NP_001100172.1	XP_045630334.1
OG0003153	XP_017452198.1	XP_045660283.1, XP_045660282.1, XP_045660281.1, XP_045660280.1
OG0003154	XP_006241071.1, NP_001103084.1	XP_045656190.1, XP_045656189.1
OG0003155	XP_038934561.1, NP_001178706.1	XP_045656015.1
OG0003156	NP_001101962.2, XP_008757873.1	XP_045671550.1
OG0003157	XP_038961829.1, NP_001099750.2	XP_045671579.1
OG0003158	NP_001099751.2	XP_045671542.1
OG0003159	XP_006229946.1, NP_001076041.1	XP_045638702.1
OG0003160	NP_001376161.1, NP_445823.1	XP_045639054.1
OG0003161	NP_001385534.1, XP_038965611.1	XP_045664586.1
OG0003162	XP_038961378.1, NP_001131114.1	XP_045664541.1, XP_045664539.1
OG0003163	XP_038949803.1	XP_045652793.1
OG0003164	XP_017455418.1, NP_001414072.1	XP_045666910.1
OG0003165	NP_001099565.1, XP_006253539.1	XP_045628912.1, XP_045628914.1, XP_045628913.1
OG0003166	NP_001012159.1	XP_045628887.1
OG0003167	XP_063123648.1, NP_001128483.1	XP_045647645.1
OG0003168	NP_001388143.1, XP_006243863.1	XP_045647696.1, XP_045647694.1, XP_045647693.1, XP_045647695.1
OG0003169	XP_038938090.1, NP_001102986.1, NP_001121026.1	XP_045647714.1, XP_045647715.1
OG0003170	NP_001012126.1, NP_001380771.1	XP_045647789.1
OG0003171	NP_001101149.2, XP_038958213.1	XP_045667958.1
OG0003172	XP_006235282.1, NP_446276.1	XP_045663456.1
OG0003173	XP_008760558.1, NP_001005887.2	XP_045662491.1
OG0003174	XP_038950664.1, NP_001406113.1, NP_001406114.1	XP_045652708.1
OG0003175	XP_038940062.1, NP_001102833.1	XP_045649987.1
OG0003176	XP_006249438.1, NP_446212.2	XP_045632515.1
OG0003177	XP_006249441.1, NP_598202.2	XP_045632415.1
OG0003178	NP_001009630.1, XP_006249495.1	XP_045647486.1
OG0003179	XP_001054448.2	XP_045647494.1
OG0003180	NP_446292.2, XP_038954310.1	XP_045658439.1
OG0003181	NP_001094251.1, XP_006237372.1	XP_045637058.1
OG0003182	XP_063142754.1, NP_001037745.2	XP_045631070.1
OG0003183	NP_001101360.1	XP_045637092.1
OG0003184	XP_575668.6, NP_001386371.1	XP_045637046.1, XP_045637045.1
OG0003185	NP_620255.2	XP_045637253.1, XP_045637255.1
OG0003186	XP_017447972.1, NP_037039.1	XP_045637070.1
OG0003187	XP_006237135.1, NP_598196.1	XP_045637306.1, XP_045637309.1, XP_045637307.1, XP_045637308.1
OG0003188	XP_006237600.1, NP_001103073.1	XP_045637427.1
OG0003189	NP_001009600.1, XP_006237623.1	XP_045637383.1, XP_045637382.1
OG0003190	XP_006237666.1	XP_045667679.1
OG0003191	NP_036768.1	XP_045667810.1
OG0003192	XP_017450271.1, NP_001004243.1	XP_045657159.1
OG0003193	XP_038934857.1, NP_001382040.1	XP_045657083.1, XP_045657084.1
OG0003194	NP_001364010.1	XP_045657046.1, XP_045657044.1, XP_045657045.1, XP_045657047.1
OG0003195	NP_001382601.1	XP_045656988.1
OG0003196	XP_008763971.1, NP_808795.1	XP_045656825.1
OG0003197	NP_001364043.1, XP_006231397.1	XP_045666032.1
OG0003198	NP_001008307.1	XP_045658992.1
OG0003199	XP_006231581.1, NP_001178492.1	XP_045659019.1
OG0003200	NP_001107261.2, XP_038943797.1, NP_001137228.1	XP_045665390.1
OG0003201	NP_001009662.1	XP_045645000.1, XP_045645001.1, XP_045645002.1, XP_045645003.1
OG0003202	NP_001103010.1, XP_038966720.1	XP_045645083.1
OG0003203	XP_038965089.2, NP_446429.1	XP_045661594.1
OG0003204	NP_001102125.1, XP_006237934.1	XP_045661868.1
OG0003205	NP_001119772.1, XP_006243238.1	XP_045651179.1
OG0003206	NP_001103115.1, XP_063140665.1	XP_045671697.1
OG0003207	XP_006243469.1, NP_113801.1	XP_045668099.1
OG0003208	NP_001414556.1, XP_038938365.1	XP_045666565.1
OG0003209	NP_445749.1	XP_045651233.1
OG0003210	NP_001020925.1, XP_063121951.1	XP_045651112.1, XP_045651115.1, XP_045651113.1, XP_045651114.1
OG0003211	XP_038944369.1, NP_001094029.1	XP_045641443.1
OG0003212	XP_006233474.1, NP_445778.1	XP_045648074.1
OG0003213	XP_006250739.1, NP_148981.2	XP_045646432.1
OG0003214	XP_017454659.1, NP_001012033.1	XP_045646222.1, XP_045646217.1, XP_045646210.1
OG0003215	NP_001006956.2	XP_045641341.1
OG0003216	NP_001414012.1, XP_006248351.1	XP_045641197.1
OG0003217	XP_008766960.1, NP_998792.2	XP_045641098.1
OG0003218	NP_899154.2, XP_006248422.1	XP_045641071.1, XP_045641073.1, XP_045641072.1, XP_045641070.1
OG0003219	NP_001386225.1, NP_001386224.1, XP_017453535.1, NP_001102525.1	XP_045668556.1
OG0003220	XP_063136586.1, NP_596890.2, XP_038957538.1	XP_045644649.1, XP_045644650.1
OG0003221	NP_001102351.1, XP_006253829.1	XP_045667505.1
OG0003222	XP_006234263.1, NP_062201.2	XP_045637675.1, XP_045637666.1
OG0003223	NP_001004263.1, XP_006234294.1	XP_045636934.1
OG0003224	XP_006234352.1, NP_001015032.2	XP_045636523.1, XP_045636518.1, XP_045636536.1, XP_045636530.1
OG0003225	NP_570832.1, XP_063139097.1	XP_045636257.1, XP_045636237.1
OG0003226	XP_343572.4	XP_045662354.1
OG0003227	NP_001385452.1	XP_045662545.1, XP_045662544.1, XP_045662543.1
OG0003228	NP_001094153.1, XP_038946761.1	XP_045643486.1
OG0003229	XP_006250511.1, NP_001385596.1	XP_045665573.1
OG0003230	XP_038946862.1, NP_001032281.1	XP_045665611.1
OG0003231	XP_006250352.1, NP_001100667.1	XP_045639999.1, XP_045640000.1, XP_045639998.1
OG0003232	NP_001033062.1	XP_045658369.1
OG0003233	XP_038955894.1, NP_001102786.1	XP_045633975.1
OG0003234	NP_001102788.1	XP_045634855.1
OG0003235	XP_038955860.1, NP_001102482.1	XP_045643390.1, XP_045643389.1, XP_045643391.1
OG0003236	XP_063135889.1, NP_036896.1	XP_045651422.1
OG0003237	XP_063136411.1, NP_445861.1	XP_045649864.1
OG0003238	NP_001075427.1	XP_045652199.1
OG0003239	NP_001100420.1	XP_045651920.1
OG0003240	NP_001388137.1, XP_038956254.1	XP_045646648.1
OG0003242	NP_001014245.2, XP_038955853.1	XP_045646654.1
OG0003244	NP_001000266.1	XP_045659891.1, XP_045659882.1, XP_045659864.1
OG0003247	XP_063142724.1, NP_067701.1	XP_045664204.1
OG0003248	NP_037001.1, XP_006253076.1	XP_045654578.1
OG0003249	XP_006231258.1, NP_038199.1	XP_045628433.1
OG0003250	NP_001028243.1	XP_045637741.1
OG0003251	NP_036735.2	XP_045668191.1, XP_045668190.1
OG0003252	XP_038956717.1, NP_058740.1	XP_045652434.1
OG0003253	NP_059031.1	XP_045630371.1, XP_045630362.1, XP_045630389.1, XP_045630380.1, XP_045630399.1
OG0003254	XP_038936635.1, NP_446410.1	XP_045634754.1
OG0003255	NP_445917.1, XP_038966805.1	XP_045662892.1
OG0003256	NP_001000405.1, NP_001412355.1	XP_045636532.1
OG0003257	NP_001128015.2, XP_038966819.1	XP_045661286.1, XP_045661285.1, XP_045661283.1, XP_045661284.1
OG0003258	NP_001399487.1, NP_001178679.1	XP_045658018.1
OG0003259	XP_038952872.1, NP_001129229.1, NP_001014273.1	XP_045644926.1
OG0003260	NP_001101357.1, XP_006237414.1	XP_045637247.1
OG0003261	NP_001030105.2	XP_045671459.1, XP_045671457.1, XP_045671456.1, XP_045671458.1
OG0003262	XP_017447385.1, NP_001034427.1	XP_045642671.1
OG0003263	XP_038949559.1, NP_068542.1	XP_045663454.1
OG0003264	NP_446038.1	XP_045641821.1, XP_045627737.1
OG0003265	NP_598287.1	XP_045641530.1
OG0003266	XP_006234689.1, NP_037056.3	XP_045664460.1
OG0003267	XP_038934528.1	XP_045635863.1
OG0003268	NP_037191.2, XP_006239198.1	XP_045638022.1
OG0003269	NP_001099724.2, XP_063139921.1	XP_045631097.1
OG0003270	XP_006229044.1, NP_062048.1	XP_045631081.1, XP_045631082.1
OG0003271	XP_038945570.1, NP_001382082.1	XP_045647463.1, XP_045647464.1, XP_045647462.1
OG0003272	XP_063136797.1, NP_036709.1	XP_045631871.1, XP_045631865.1
OG0003273	NP_445799.1, XP_006245911.1	XP_045631999.1
OG0003274	XP_063129895.1, NP_075238.2	XP_045654134.1
OG0003275	XP_006253615.1, XP_038966947.1, NP_476482.1	XP_045636814.1
OG0003276	NP_446314.2, XP_006254228.1	XP_045658281.1
OG0003277	NP_598218.1, XP_063120882.1	XP_045654151.1, XP_045654150.1
OG0003278	NP_036821.1, XP_017444286.2	XP_045661322.1, XP_045661323.1, XP_045661321.1
OG0003279	NP_001178883.1, XP_038943957.1	XP_045628486.1, XP_045628487.1
OG0003280	NP_001099943.1, XP_006233384.1	XP_045648775.1, XP_045648767.1
OG0003281	XP_008757904.1, NP_036780.1	XP_045632376.1, XP_045632375.1
OG0003282	NP_001000399.1	XP_045636312.1, XP_045636313.1
OG0003283	NP_001000925.1, XP_002729234.2	XP_045642855.1, XP_045642865.1, XP_045642859.1
OG0003284	NP_001000573.1	XP_045642825.1
OG0003286	NP_001000357.2	XP_045642842.1
OG0003287	NP_001000407.1	XP_045636688.1
OG0003288	NP_001128468.1, NP_001186107.1, XP_038955821.1	XP_045660962.1
OG0003290	XP_038952700.1, NP_001120845.1	XP_045646304.1, XP_045646302.1, XP_045646303.1
OG0003291	XP_006254904.1, NP_001099610.1	XP_045646130.1
OG0003292	NP_001007628.1, XP_008770334.1	XP_045646093.1
OG0003293	XP_038952860.1, NP_001100876.1	XP_045646081.1
OG0003294	NP_001032274.2	XP_045628294.1
OG0003295	XP_038951115.1, NP_001019967.1, XP_038959528.1	XP_045628504.1, XP_045628505.1, XP_045628506.1
OG0003296	XP_038967039.1, NP_001100947.1	XP_045628960.1
OG0003299	NP_001100946.1, XP_006228329.1	XP_045645253.1, XP_045645252.1
OG0003300	XP_063122703.1, NP_001005561.2	XP_045628159.1
OG0003301	XP_038953256.1	XP_045628230.1
OG0003302	NP_776209.1	XP_045628095.1
OG0003303	NP_001414059.1, XP_063130225.1	XP_045665911.1
OG0003304	NP_001258268.1, XP_006228773.1	XP_045642130.1
OG0003305	XP_006228947.1, NP_001099718.2	XP_045652089.1
OG0003306	NP_001414064.1, XP_008757491.2	XP_045652169.1
OG0003307	XP_063134281.1, XP_038954051.1	XP_045642369.1
OG0003308	XP_063132130.1, NP_659549.3	XP_045649896.1
OG0003309	NP_001101908.1	XP_045662815.1
OG0003310	XP_063134074.1, NP_001100884.1	XP_045662758.1
OG0003311	XP_006239189.1, NP_808793.1	XP_045638021.1, XP_045638020.1
OG0003312	NP_001071116.2, XP_017448915.1	XP_045633892.1
OG0003313	NP_569084.1	XP_045657320.1, XP_045652330.1
OG0003314	NP_001257641.1, NP_570094.1, XP_063120666.1, XP_038950011.1	XP_045661132.1
OG0003315	NP_001387157.1, XP_038950221.1	XP_045651343.1
OG0003316	NP_001102385.1, XP_006229411.1	XP_045651342.1
OG0003317	XP_038961563.1, NP_001008510.1	XP_045669064.1
OG0003318	NP_001388311.1	XP_045668977.1
OG0003319	NP_001402726.1	XP_045669060.1
OG0003320	XP_038959826.2	XP_045643205.1, XP_045643221.1
OG0003321	XP_038955086.1, NP_001408038.1	XP_045639087.1
OG0003322	NP_113769.1	XP_045639659.1
OG0003323	NP_001106183.1, NP_001106184.1, XP_063132786.1, NP_113845.2	XP_045651958.1
OG0003324	NP_001029310.1, XP_006246166.1	XP_045648033.1
OG0003325	NP_001388939.1	XP_045647918.1, XP_045647917.1
OG0003326	NP_001094444.2, XP_006254871.1	XP_045671240.1
OG0003327	NP_001382596.1, NP_001007634.1	XP_045671314.1
OG0003328	XP_038959120.1, NP_077073.1	XP_045643277.1
OG0003329	XP_006255117.1, NP_445790.2	XP_045670948.1
OG0003330	NP_001000795.1, NP_001000468.1	XP_045653504.1
OG0003331	XP_017451107.1, NP_001101604.1	XP_045654036.1
OG0003332	XP_063121181.1, NP_001100288.1	XP_045653845.1, XP_045653846.1
OG0003333	XP_038941374.1, NP_001007611.1	XP_045653295.1
OG0003334	XP_006246615.1	XP_045634276.1
OG0003335	NP_001101471.1	XP_045654084.1, XP_045654093.1, XP_045654087.1
OG0003336	XP_006239506.1, NP_036686.2, NP_001103378.1	XP_045659546.1
OG0003337	XP_001078224.2	XP_045659564.1
OG0003339	XP_038954127.1, NP_001387899.1	XP_045628670.1
OG0003340	NP_001178715.1, XP_038953732.1	XP_045662942.1, XP_045652019.1
OG0003341	NP_001103081.1	XP_045651984.1
OG0003342	NP_001099657.2, XP_006255682.1	XP_045666244.1
OG0003343	NP_001386123.1, XP_038953559.1	XP_045666235.1
OG0003344	XP_038953849.1, NP_001102600.1	XP_045670951.1
OG0003345	NP_001100877.1, XP_038953616.1	XP_045670894.1
OG0003346	XP_006249292.1, NP_001004204.1	XP_045642090.1
OG0003347	XP_347164.4	XP_045629786.1
OG0003348	XP_006249178.1, NP_001099386.1	XP_045629830.1
OG0003349	NP_001102321.1	XP_045629758.1
OG0003350	NP_037127.1, XP_006248914.1	XP_045669383.1
OG0003351	XP_006230426.1, NP_001406450.1	XP_045641918.1, XP_045641919.1
OG0003352	NP_001093952.2, XP_006230248.1	XP_045632422.1
OG0003353	NP_001019948.3	XP_045632392.1
OG0003354	XP_038934563.1, NP_001073174.1	XP_045655845.1, XP_045655842.1, XP_045655844.1, XP_045655843.1, XP_045632398.1
OG0003355	XP_006246096.1, NP_001129390.1	XP_045640493.1, XP_045640494.1
OG0003356	NP_001094174.1, XP_006233277.1	XP_045657613.1
OG0003357	XP_063129088.1	XP_045657272.1
OG0003358	NP_001258241.1	XP_045640399.1
OG0003359	XP_038946619.1, NP_001019938.1	XP_045643704.1
OG0003360	NP_001102555.1, XP_006250551.1	XP_045643867.1
OG0003361	XP_063128461.1	XP_045627939.1
