Orthogroup	Rattus_norvegicus	Homo_sapiens
OG0001297	XP_038964546.1, XP_006236754.1, NP_067084.1, XP_038953269.1, XP_038943641.1, XP_038952198.1, XP_063142883.1, XP_063132943.1, XP_038952248.1	NP_066926.1
OG0001298	NP_001102571.1, XP_006252066.1	NP_001269898.1, NP_001269897.1, NP_001124180.1, NP_001269899.1, XP_005268028.1, NP_001124178.1, NP_068763.2
OG0001299	XP_006233778.1, NP_001102044.2	XP_006717305.1, NP_001381130.1, NP_003077.2, NP_001381131.1, NP_001381132.1
OG0001300	XP_038962074.1, NP_001414137.1	NP_055626.3, XP_005263468.1
OG0001301	NP_001013182.3, XP_008759880.1	NP_001116144.1, NP_001339920.1, NP_001339922.1, NP_001339919.1, NP_004050.3, NP_001116143.1, NP_001339917.1, NP_001339921.1, NP_001339918.1, NP_001339928.1, NP_001339923.1, NP_001274319.1, NP_001339924.1, NP_001339925.1, NP_001339926.1, NP_001339927.1
OG0001302	XP_063119697.1, NP_001128272.1	NP_055653.2, XP_024308080.1
OG0001303	XP_063129309.1, NP_001094035.1	XP_011531296.1
OG0001304	NP_001124475.1	NP_001157951.1
OG0001305	NP_955408.1, XP_008770247.1	XP_011541872.1, NP_001032722.1, NP_071909.1
OG0001306	NP_001013121.2	NP_004350.1
OG0001306	NP_001121045.1, XP_063120602.1, XP_063120457.1	NP_060281.2, XP_005251553.1
OG0001308	XP_006256168.1, NP_543167.2	NP_001341.1, NP_001135441.1, NP_001241646.1, XP_005248917.1, NP_001135442.1
OG0001309	NP_001020878.1, XP_063123157.1	NP_001161299.2
OG0001310	XP_006244497.1, NP_001129942.1	NP_001371471.1, NP_001273483.1, NP_061031.2
OG0001311	XP_006244578.1, NP_001009601.1	NP_958930.1, NP_001275964.1, NP_958931.1, NP_958929.1, NP_001275963.1
OG0001312	NP_001012130.1	NP_620061.2
OG0001312	NP_445743.2	NP_000282.1
OG0001313	NP_001102475.1, XP_008765183.1	NP_001265597.1, NP_001265595.1, NP_001265596.1, NP_899050.1, NP_057361.3
OG0001315	NP_001102702.1	XP_016868264.1, NP_620126.2
OG0001316	XP_017448876.1, NP_001389033.1, NP_001030085.1, NP_001395743.1, XP_038948805.1	XP_024304574.1, NP_067652.1
OG0001317	XP_063120096.1, NP_001014288.1, XP_038956530.1	NP_001035858.1, NP_001354967.1, NP_001333390.1, NP_001333389.1, NP_001333391.1, NP_001354971.1, NP_001333386.1, NP_057206.2, XP_011536726.1, NP_001354966.1, NP_001333388.1, NP_001333387.1, NP_001354969.1, NP_001354968.1, NP_001354970.1
OG0001318	XP_017454452.1	XP_016863161.1, NP_009011.1
OG0001319	NP_001029085.1	NP_060854.2, NP_001186506.1, NP_001290559.1
OG0001320	NP_001019499.1, XP_063142578.1, NP_001008399.1	NP_694968.1
OG0001321	XP_006253231.1, XP_577523.4, XP_006253232.1	NP_001107829.1
OG0001322	XP_006239958.1, NP_001100187.1	NP_872431.5, NP_001123481.3, XP_005262670.1
OG0001323	XP_006236770.1, NP_001102713.1	NP_115557.1, NP_001128504.1, NP_001356454.1, NP_001356453.1
OG0001324	XP_006232949.1, NP_001028872.2	NP_859530.1, NP_071358.1, XP_011507753.1
OG0001325	XP_002729127.1, NP_001414660.1	NP_001291692.1, NP_065883.1, NP_001291693.1, XP_047282118.1
OG0001326	NP_001008299.1, XP_063132267.1	NP_001350268.1
OG0001327	XP_006240044.1, NP_001006981.1	NP_001358283.1, NP_001358282.1, NP_061332.2, NP_001350412.1, NP_001358284.1, NP_001350411.1, NP_001358286.1, NP_001008405.1, NP_001358293.1, NP_001358285.1
OG0001328	XP_038960298.1, NP_037057.1	NP_000602.1, NP_001120695.1, NP_976076.1, NP_001120697.1, NP_001120698.1, NP_976075.1, NP_976074.1, NP_001120699.1
OG0001329	NP_113985.2, XP_006234659.1	XP_047282856.1
OG0001330	XP_063129851.1, NP_001406797.1	NP_001291288.1
OG0001330	NP_001414085.1	NP_002449.2
OG0001331	NP_001004260.1, XP_006230837.1	NP_001302430.1, NP_899056.2, XP_047282989.1, NP_002546.3, NP_001302431.1
OG0001332	XP_063137344.1, NP_036876.2	XP_005274088.1, NP_000911.2, NP_071504.2, NP_001035806.1
OG0001333	NP_001257961.1	NP_612377.4
OG0001334	XP_008761461.1, NP_001012097.1	NP_001336162.1, NP_001129503.2, NP_001336163.1, NP_001336166.1, NP_006386.1, NP_001336161.1, NP_001336164.1, NP_001138384.1, NP_001336165.1, NP_001336167.1, XP_006712994.1
OG0001335	XP_038938555.1	NP_996985.2
OG0001336	NP_001101536.2, XP_006240964.1	XP_005259570.1, NP_005215.1
OG0001337	XP_008764838.1	NP_001335234.1, NP_001335236.1, NP_001335235.1, NP_001335240.1, NP_060194.1, NP_001127841.1, NP_001335239.1, NP_001335230.1, NP_001335231.1, NP_001335233.1, NP_001335237.1, NP_001335238.1, NP_001335229.1, NP_001335228.1, NP_001335232.1, NP_001269620.1, NP_001335227.1, NP_001335226.1, XP_005265596.1, NP_006300.1
OG0001338	NP_001032173.2, XP_006235128.1	XP_011527712.1, NP_739580.1, NP_055552.1
OG0001339	NP_001386298.1, NP_001386297.1, NP_001386299.1, NP_001386296.1	NP_068598.1
OG0001340	XP_006248897.1, NP_001101799.1	NP_699202.1, XP_016875923.1
OG0001341	XP_063127321.1, NP_001100588.1	NP_005968.1
OG0001343	XP_006249604.1, NP_001100618.2	NP_001336825.1, NP_071364.4, NP_001336830.1, XP_011528788.1, NP_001336829.1, NP_001336833.1, NP_001336834.1, NP_001336831.1, NP_001336832.1, NP_001397761.1, NP_001336828.1, NP_001336827.1, NP_690054.1
OG0001344	XP_006251217.1, NP_598246.1	NP_001271218.1, NP_001410408.1, NP_001271217.1, NP_001410407.1, NP_001410410.1, NP_001271216.1, NP_001002837.1, NP_001410409.1, NP_001410412.1, NP_001410411.1, NP_001410402.1, NP_001410401.1, NP_001271214.1, NP_001410403.1, NP_001410406.1, NP_001271215.1, NP_001410405.1, NP_001410404.1
OG0001345	XP_006242339.1, NP_620187.1	NP_001265319.1
OG0001346	XP_006242388.1, NP_001008359.1	NP_001137314.1, XP_024304950.1, NP_076961.1, NP_001137313.1, NP_001137315.1
OG0001347	NP_001012224.1, XP_017450513.1	NP_001129495.1
OG0001348	NP_631931.2, XP_006231495.1, XP_008758709.4, NP_114029.1	NP_005054.3
OG0001349	NP_001014269.2, XP_006231609.1	NP_001381880.1, NP_001381881.1, NP_001305029.1, XP_047281806.1, NP_115805.1, NP_001305028.1, NP_001381879.1
OG0001350	XP_038936705.1, NP_001013173.1	NP_001311265.1
OG0001351	XP_006231687.1, NP_058970.1	NP_001231878.1, XP_005270055.1, NP_065969.3
OG0001352	XP_008760438.3	NP_001288100.2, NP_001380972.1, NP_001380974.1, NP_001380975.1, NP_001380970.1, NP_001380976.1, NP_001380977.1, NP_612365.3, NP_001380966.1, NP_001380968.1, NP_001288097.2, XP_047289240.1, NP_001380967.1, NP_001288098.2, NP_001380969.1, NP_001288099.2, NP_001380973.1, NP_001380971.1
OG0001353	NP_001386245.1	NP_001135915.1
OG0001354	XP_006233382.1, NP_001007641.1	NP_001135943.1, NP_065128.2, XP_005263205.1
OG0001355	NP_001385699.1, XP_063126563.1, NP_001385700.1	XP_016862730.1, NP_079439.2
OG0001356	NP_446447.2, XP_006248540.1	NP_976060.1, NP_004042.1, NP_976059.1, XP_011511369.1
OG0001357	XP_038951797.1, NP_001101881.1	NP_001137438.1, NP_001305735.1, NP_001137437.1, NP_057579.1, NP_001137436.1, NP_001305734.1, NP_001245386.1, NP_001305738.1
OG0001358	NP_001012131.1, XP_063123238.1	NP_001122400.1, XP_024308643.1, NP_002185.1
OG0001360	XP_063136638.1	XP_047298370.1, NP_001383061.1, NP_001073611.1, NP_001073610.1, NP_001073615.1, NP_001229851.1, NP_001073609.1, NP_001073613.1, NP_001073607.1, NP_001073614.1, NP_001073608.1, NP_001073606.1, NP_775842.2, NP_001073612.1, XP_011529621.1, XP_016885223.1, NP_001139190.1
OG0001361	NP_001101491.1, XP_017457530.1	NP_085127.2
OG0001362	NP_113734.1, XP_063135887.1	NP_004674.1
OG0001363	XP_006256772.1	NP_009006.2
OG0001364	NP_001100418.1, XP_038955531.1	NP_114113.1
OG0001365	NP_001004224.1, XP_063135906.1	NP_001243376.1, NP_005736.3, NP_001132913.1, NP_001132929.1
OG0001366	NP_536727.2, NP_001258039.1, NP_001258038.1, XP_006237986.1	NP_803182.1, NP_957516.1, NP_055414.2
OG0001368	NP_001160151.1, NP_001160161.1, NP_001160162.1, XP_017447862.1, NP_001078866.1, NP_001103066.1	NP_076411.1, NP_001303822.1
OG0001372	NP_037330.1	NP_000889.3, XP_016885013.1
OG0001372	NP_387502.1	NP_000231.1
OG0001373	NP_113715.1	NP_001008709.1
OG0001373	NP_001257912.1	XP_011536806.1
OG0001374	NP_077069.3, XP_006236903.1	NP_001144.1, NP_001307627.1, NP_001352425.1, XP_016859432.1
OG0001375	XP_038959289.1, XP_038952383.1	NP_055117.1
OG0001376	NP_955422.1, XP_006246551.1	NP_001340158.1
OG0001378	NP_075223.1	NP_001530.1
OG0001379	NP_476556.2	NP_001036817.1, NP_001036818.1
OG0001379	NP_001029245.1, NP_062004.1	NP_001352709.1
OG0001379	NP_001029247.1	NP_001317275.1
OG0001379	NP_001288215.1	NP_001336608.1
OG0001380	NP_058834.1	NP_001374774.1, NP_001342216.1, NP_001342212.1, NP_001374775.1, NP_001291217.1
OG0001381	NP_001099307.1	NP_005792.1
OG0001381	NP_001100337.1	NP_005866.1
OG0001382	XP_038949786.1, NP_071852.2	NP_000680.2
OG0001383	XP_038934368.1, NP_036903.2, NP_001381322.1	NP_000230.1
OG0001384	NP_001000537.1	NP_001004476.1
OG0001386	NP_001000842.1, NP_001000974.1, NP_001000843.1	XP_047276279.1, NP_001001802.2, NP_001005287.1, XP_047299099.1
OG0001387	NP_001000288.1	NP_001005284.2
OG0001388	NP_001000124.1	NP_001005171.2
OG0001389	NP_001000699.1	NP_001005497.1
OG0001390	NP_001001081.1, NP_001000820.1	NP_001005194.2
OG0001391	NP_001000823.1, NP_001000394.1	NP_001004453.2, NP_001005235.1
OG0001394	NP_001000714.1, NP_001000037.1	NP_055381.1, NP_002539.2, NP_001373017.1
OG0001395	NP_001389146.1	NP_001188309.2, XP_016870869.1, NP_387504.2
OG0001395	NP_001100902.1	XP_011521705.1, NP_207837.2
OG0001396	XP_063126902.1, NP_001120809.1	NP_115806.1
OG0001396	XP_038957200.1	XP_054189097.1
OG0001397	XP_038949669.1	NP_001374528.1, NP_001332876.1, NP_001374530.1, NP_001374523.1, NP_001374527.1, NP_001332878.1, NP_001374531.1, NP_001374529.1, NP_001374526.1, NP_689817.1, NP_001374525.1, NP_001332877.1, NP_001374522.1, NP_001374524.1
OG0001398	NP_001013166.1	NP_077286.3, XP_005259313.1
OG0001399	XP_006254415.1, NP_077373.2	NP_001334960.1, NP_001334963.1, NP_001171593.1, NP_001334962.1, NP_001171587.1, NP_001334961.1, NP_001334959.1, NP_001171592.1, NP_001171591.1, NP_001012769.1, NP_001012770.1, NP_001397838.1, NP_001171590.1, NP_001012768.1
OG0001400	XP_038952633.1, NP_001099620.1	NP_112226.2
OG0001401	NP_001178823.1, XP_038952930.1	NP_001274669.1
OG0001401	NP_001100694.1	XP_047271880.1
OG0001402	XP_006239183.1, NP_001101454.1	NP_001230462.1, NP_001230461.1, NP_690048.1
OG0001403	NP_001402858.1, XP_038965970.2	NP_848509.1, XP_005245803.1
OG0001404	NP_001097998.1	NP_004432.1
OG0001404	XP_038965983.1, NP_001120791.2	NP_001296122.1
OG0001405	XP_006243147.1, NP_001020914.1	NP_079510.1, XP_011520396.1, NP_001290176.1
OG0001406	XP_038959395.1, NP_001386718.1	NP_001353666.1, XP_047273227.1
OG0001407	NP_001257585.1	NP_001230030.1, NP_001362741.1, NP_002521.2, NP_001362740.1, NP_001307064.1, NP_001307063.1, NP_001362742.1, NP_001007157.1, NP_001362743.1, NP_001012338.1, NP_001362739.1
OG0001408	NP_001120923.1	XP_047282070.1, NP_001382928.1, NP_113640.1
OG0001409	NP_001000447.1, NP_001000813.1	NP_001005468.1, XP_016873024.1, XP_016873205.1, NP_001005467.1
OG0001410	NP_001380877.1, XP_063121385.1, XP_056840500.1, XP_063122400.1	XP_011541130.1
OG0001411	XP_038943245.1	NP_001291706.1
OG0001411	NP_001386359.1	NP_057125.2
OG0001412	NP_001389140.1	NP_001338902.1
OG0001413	NP_001100894.1, XP_006255560.1	NP_001070253.1, NP_003974.3
OG0001414	XP_006249177.1, NP_001020800.1	NP_001035186.1, NP_076438.1, NP_001035188.1, NP_001350345.1, NP_001350344.1, XP_047276670.1, NP_001035187.1
OG0001415	XP_006247042.1, NP_001099289.1	NP_001350764.1
OG0001415	NP_001178751.1, XP_008765759.1	XP_016879338.1
OG0001416	NP_001037767.1, XP_006233239.2	NP_001380933.1, NP_001380932.1, NP_001005290.1, NP_001337168.1, NP_001337166.1, NP_001337169.1, NP_001337171.1, NP_001337170.1, NP_001337167.1, NP_001380934.1, NP_001350238.1, XP_016858049.1, NP_001027462.1, NP_116025.1, NP_001380931.1
OG0001417	XP_006249326.1, NP_001099393.1	NP_057053.1
OG0001418	XP_006248977.1, NP_663706.2	XP_005249908.2, NP_002351.1
OG0001419	XP_063125807.1, NP_064486.1	NP_001333641.1
OG0001419	XP_017453740.3, NP_598251.1	NP_001271237.2
OG0001420	NP_001405604.1	NP_001158233.1, NP_001158231.1, NP_001158232.1, NP_002726.1, NP_001158230.1, NP_001158234.1, XP_047276563.1
OG0001421	NP_001387702.1, XP_038957156.1	XP_005255767.1, NP_055514.3
OG0001422	XP_006230277.1, NP_596871.2	NP_001244336.1, NP_001244926.1, NP_001244335.1, NP_000409.1, XP_047290022.1
OG0001423	NP_036845.3	NP_002729.2
OG0001423	XP_038941139.1	XP_016880325.1
OG0001423	NP_001386228.1	NP_002728.2
OG0001424	NP_001030098.2	NP_060238.3, XP_047280475.1
OG0001425	XP_038946246.1, NP_036648.2	NP_000706.1, XP_005273308.1
OG0001426	XP_038968329.1, NP_001017457.1	NP_996801.2, XP_006720106.1
OG0001426	NP_445775.2	NP_003667.1
OG0001427	XP_038958585.1, NP_001007742.1, XP_038956255.1, XP_038956820.1	NP_001357080.1, NP_001357081.1, NP_001357079.1, XP_047287294.1, NP_001290024.1
OG0001428	XP_017450045.2, NP_062256.1, XP_038942713.1	NP_006347.1, NP_001003785.1
OG0001429	NP_062192.1, XP_008770388.1	NP_002738.2
OG0001430	NP_001386593.1	NP_542784.1
OG0001431	NP_001316808.1, XP_006240671.1	NP_892116.2, NP_001960.2
OG0001432	XP_006240730.1, NP_001414258.1	XP_006720153.1
OG0001433	XP_038942878.1	NP_001106966.1, NP_001106964.1
OG0001434	XP_008766485.1, NP_001099314.1	NP_001258809.1, XP_006722009.1, NP_057522.1
OG0001435	XP_008766446.1	NP_001369245.1
OG0001436	NP_001007674.1, XP_038941980.1	NP_036461.2
OG0001436	XP_063127333.1, NP_001032294.1	NP_001094070.1
OG0001437	NP_446117.1, XP_006247129.1	NP_001357356.1, NP_003479.1, NP_001229832.1, NP_001357354.1, NP_001357353.1, NP_001229831.1, NP_001357355.1, NP_001357352.1
OG0001439	NP_001127936.1, XP_006241487.1	XP_047297648.1, NP_115714.1
OG0001440	XP_008763447.1, NP_942045.2	NP_001400389.1, NP_001400391.1, NP_004066.1, NP_001400390.1, NP_001400392.1, NP_001400393.1, NP_001400394.1
OG0001441	NP_001099491.1, XP_006251578.1, XP_038969280.1	NP_001177192.1, NP_001177194.1, NP_775269.1, NP_006324.1
OG0001442	XP_063123165.1, NP_001101672.1	NP_001273585.1, NP_076421.2, NP_996262.1, XP_005249365.1, NP_001273584.1
OG0001443	NP_001100360.1, NP_001258060.1, XP_038939110.2	NP_001305699.1, NP_001305698.1, NP_001305696.1, NP_001305697.1, NP_115487.2, NP_001305700.1
OG0001444	XP_063119946.1, NP_001124038.1	NP_001316373.1, NP_116291.1, XP_047278287.1, NP_001316372.1, NP_001316374.1, NP_001316371.1
OG0001445	XP_006246550.1, NP_955421.1	NP_001310859.1, NP_001310864.1, XP_016855721.1, NP_444280.3, NP_001310862.1, NP_001310861.1, NP_001310863.1, NP_001310860.1
OG0001446	XP_038967719.1, NP_036831.2	NP_036460.1
OG0001447	NP_775161.2	NP_001073887.1, XP_011540181.1
OG0001448	XP_038956387.1, XP_038956232.1, XP_008771804.2, XP_008771758.1, XP_006257578.1, XP_038956306.1, XP_017453216.1, XP_008771944.2, XP_006257626.1, XP_063136614.1, XP_063136608.1, XP_006257650.1, XP_003752207.1, XP_038956265.1, XP_006257646.1, XP_017457896.2, XP_006257666.1, NP_001102933.1, XP_038956082.1	NP_001366230.1
OG0001449	XP_038964980.1	XP_011514994.1, NP_001280555.1
OG0001450	XP_006253391.1, NP_001386189.1	NP_001153697.1, NP_112216.3, NP_001153695.1, XP_047278234.1, NP_001153696.1
OG0001451	XP_038959254.1, NP_001395725.1, NP_068636.1, NP_001101156.1, XP_063137889.1	NP_005407.1, NP_001091058.1
OG0001452	NP_001128163.1	NP_001128165.1
OG0001453	NP_001013088.1, XP_038963951.1	NP_001020408.1, NP_001020407.1, NP_001020406.1, XP_005253159.1, NP_001020409.1, NP_003262.1, NP_001020405.1
OG0001454	NP_001008306.1	NP_001229414.1, NP_115701.2, NP_001229413.1, XP_016873901.1, NP_001229411.1, NP_001229415.1, NP_001229412.1, NP_001229410.1
OG0001455	XP_006243787.1, NP_001008329.1	NP_001357169.1, XP_047303043.1, NP_001003931.4, NP_001357168.1, NP_005476.4
OG0001456	NP_058888.1	NP_004221.3
OG0001457	NP_001290073.1	XP_011526751.1, NP_055464.1
OG0001457	NP_071789.2, XP_017452111.1	NP_001188267.1
OG0001458	XP_008758498.2, NP_001099809.1, XP_038957274.1	NP_001380320.1, NP_683876.1
OG0001459	XP_038949439.1, NP_001258417.1	NP_036273.1, XP_011533342.1, NP_001035026.1
OG0001459	XP_038956477.1	NP_001338530.1
OG0001460	XP_063130413.1, NP_001100754.1	NP_001371539.1, NP_001371538.1, NP_056382.1
OG0001461	XP_038938688.1, NP_001414536.1	XP_011532514.1, NP_116752.1, NP_001188501.1, NP_004197.1, NP_001188513.1
OG0001462	NP_001414237.1, XP_006235868.1	NP_542987.2, NP_001180299.1, NP_001180298.1, NP_149072.2
OG0001463	XP_063124238.1, XP_038940610.1, XP_002730104.3, NP_073171.2, NP_073156.3	NP_001623.3, NP_112603.2, NP_001622.2
OG0001465	NP_072130.1, XP_038948326.1	XP_011528430.1
OG0001465	NP_446253.2	NP_036561.1
OG0001466	NP_001385887.1	NP_061907.2
OG0001467	NP_001385987.1, XP_063129576.1	NP_001305058.1, NP_061976.1, NP_001003692.1
OG0001468	NP_071886.1, XP_006242365.1	XP_047285857.1, NP_000011.2
OG0001469	XP_038935281.1, NP_001073175.1	NP_653195.2, XP_016874289.1
OG0001470	NP_001128112.1	NP_660304.1
OG0001471	NP_001012763.1, XP_006237249.1	NP_008894.2
OG0001472	NP_001014268.1, XP_038941565.1	NP_660289.2, NP_001334643.1, NP_001334644.1, NP_001334642.1, NP_001334641.1
OG0001473	NP_001178863.1	NP_000288.1, XP_011530330.1
OG0001473	NP_001402765.1	NP_057196.2
OG0001474	XP_006231696.1, NP_001099671.1	NP_055696.3, XP_006718153.1, NP_001258745.1
OG0001475	XP_038960475.1, NP_001099968.1	NP_001263646.1, NP_001122101.1, NP_001122100.1
OG0001476	NP_001004270.1	NP_001036053.1, NP_005692.1, NP_001036046.1
OG0001477	NP_001094028.1, XP_038944357.1	NP_001340617.1
OG0001478	XP_006248120.1, NP_001013447.1	NP_036262.1, NP_001139549.1, NP_001139550.1, NP_001139551.1, NP_652763.1, XP_047296691.1
OG0001479	XP_017446541.1, NP_062149.1	NP_001309042.2, NP_003351.3, XP_024309978.1, NP_001309041.2, NP_001121646.2, NP_001309043.2
OG0001480	XP_017454816.2, NP_001017495.1	NP_001401564.1, NP_001356817.1, NP_001401568.1, NP_001401569.1, NP_001401565.1, NP_653246.2, NP_001401571.1, NP_001356818.1, NP_001401567.1, NP_001401570.1
OG0001481	XP_006248493.1, NP_001020799.1	NP_001304704.1, XP_006713576.1, NP_001295242.1, NP_001012337.1, NP_001381146.1, XP_047304326.1, NP_001381147.1, NP_001304703.1, NP_060048.2, NP_001381148.1
OG0001482	NP_001258230.1, XP_063137156.1, NP_001258228.1	NP_001307608.1, XP_024309147.1, NP_001035189.1
OG0001483	NP_001159772.1, NP_998732.1	NP_001265715.1, NP_001265714.1, NP_740753.1, XP_047274651.1, NP_055411.1
OG0001484	XP_038964967.1, XP_063140702.1, NP_112381.2	NP_003133.1, NP_001281074.1
OG0001485	XP_006244994.1, NP_071565.2, XP_063133708.1	NP_002147.2, NP_955472.1
OG0001486	NP_476448.1, XP_063122603.1	NP_001341087.1, NP_001341088.1, NP_004448.2, NP_976251.1
OG0001487	XP_017454169.1, NP_775144.1	XP_016856614.1, NP_950252.1
OG0001488	NP_001406486.1, NP_001389075.1	NP_009088.1, NP_009087.1
OG0001489	NP_062083.1	NP_001311255.1, NP_002569.1, NP_001311263.1, NP_001121638.1, NP_001311260.1, NP_001311254.1, NP_001121639.1, NP_001311259.1, NP_001311261.1
OG0001489	XP_008771626.1	NP_001121644.1, NP_001121640.1, XP_016885052.1, NP_001311256.1, NP_001311257.1, NP_001311258.1, NP_001121645.1, NP_001311262.1
OG0001490	XP_006257444.1	NP_001356299.1, NP_001182482.1
OG0001491	XP_006257565.1	NP_001362299.1, XP_006724790.1, NP_001362296.1, NP_001036214.1, NP_001362297.1, NP_001362300.1, NP_001362295.1, NP_001362298.1, NP_001036215.1, NP_001362301.1
OG0001491	NP_001166978.1	NP_006594.3, NP_001362302.1, NP_001362303.1, NP_001036216.1, NP_001362305.1, NP_001362304.1, NP_001269347.1, NP_001362306.1
OG0001492	NP_001014135.2, XP_038955778.2, XP_038940588.1	NP_067677.4, NP_006640.2
OG0001493	XP_006252017.1, NP_001014017.1	NP_001159741.1
OG0001494	NP_001382649.1, XP_063130564.1	NP_003831.2, NP_003832.3, NP_003835.3, NP_003833.4
OG0001497	NP_001395897.1, NP_001012232.1, XP_008768783.1, NP_001395898.1, NP_620257.1, NP_001007016.1, NP_001395600.1	NP_002925.1, NP_002926.2
OG0001502	XP_006253086.1, NP_001106828.1	XP_005263088.1, NP_000900.1
OG0001503	NP_058736.1	NP_001009552.1
OG0001503	NP_058735.1, XP_038944908.1	NP_002706.1
OG0001504	XP_063119176.1, NP_077043.1	NP_598011.1, NP_001911.1, NP_598010.1
OG0001505	NP_001007687.1, XP_006253456.1	XP_005266078.1, NP_061764.2
OG0001506	XP_038962661.1, NP_001000173.1, NP_001000950.1, NP_001001000.1	NP_001382986.1
OG0001507	XP_006232580.1, NP_058786.2	XP_047306103.1
OG0001508	NP_113919.2, XP_006246591.1	NP_001026976.1
OG0001509	XP_017445118.1, NP_113836.2	NP_001265646.1, NP_068702.1, XP_016882364.1, NP_005022.2, NP_001265647.1
OG0001510	XP_038944225.1, NP_001100554.1	NP_001124317.1
OG0001511	NP_037261.1, NP_001388064.1	NP_000576.1
OG0001512	NP_612518.2, XP_006235356.1	XP_011526998.1, NP_036457.1
OG0001513	NP_001004021.1, XP_063124802.1	NP_002265.3, NP_705694.3
OG0001513	NP_001004022.1	NP_002266.3, XP_011523086.1
OG0001514	XP_001070681.6, XP_006237271.1, XP_003751869.1	NP_036544.1
OG0001514	NP_073165.1	NP_002097.1
OG0001515	NP_598277.2	NP_001307193.1, NP_996895.1, NP_036227.1, NP_001307192.1, XP_024303707.1
OG0001516	XP_006241058.3, NP_073194.1	NP_003012.1, XP_011526480.1
OG0001517	NP_001000643.1	NP_001004704.1
OG0001518	NP_001001283.1, NP_001000161.1, NP_001000162.1	NP_001004757.1
OG0001519	NP_001000819.2, NP_001000435.1, XP_038938795.1, NP_001001120.1, XP_038938796.1, XP_063122025.1, NP_001000436.1	NP_001005195.1
OG0001520	NP_999998.1, NP_999997.1, NP_001002291.1	NP_996763.1
OG0001520	NP_999999.1, XP_006246238.1	NP_001245212.1
OG0001521	NP_001000122.1	NP_001004137.1
OG0001522	XP_234948.1, XP_038956618.1, XP_063136677.1, XP_063120456.1, XP_578644.4	XP_016881947.1, NP_001371762.1, NP_689890.1
OG0001523	NP_001099607.1, XP_063133258.1	NP_001338550.1, NP_009126.2, NP_001338561.1, NP_001338541.1, NP_001338540.1, NP_001338544.1, NP_001338543.1, XP_024306849.1, NP_001338539.1, NP_001338548.1, NP_001338547.1, NP_001338546.1, NP_001338549.1, NP_001338545.1, NP_001338542.1
OG0001524	XP_063133380.1, NP_001007689.1	XP_024306851.1, NP_689565.2, NP_001092271.1
OG0001525	NP_037350.2	NP_001186781.1, NP_001186782.1, NP_001186784.1, NP_001186785.1, NP_057366.2
OG0001526	NP_001102374.1, XP_006228255.1	NP_001002836.2
OG0001527	XP_038937965.1	NP_001371730.1
OG0001527	NP_542424.1, XP_038941020.1	NP_665810.1
OG0001528	XP_006257121.1, NP_058913.1	XP_047298554.1, NP_116192.4, NP_001041629.1
OG0001529	NP_446362.1, XP_063124376.1	XP_047293032.1
OG0001529	NP_446363.1	XP_006723535.1
OG0001530	NP_001020849.1, XP_006228476.1	NP_077277.1, XP_005259304.1, NP_001034974.1
OG0001531	NP_001401845.1	NP_002506.2
OG0001531	NP_001414099.1	XP_006723293.1, NP_002507.1
OG0001532	NP_001257613.1, NP_001257611.1, NP_620183.2, NP_001257612.1, NP_001257610.1	NP_000032.1, NP_001289618.1, NP_001289619.1, NP_001289620.1, NP_001289617.1
OG0001533	NP_001013082.2, XP_038960050.1	NP_680474.1
OG0001533	XP_038943161.1, NP_001103961.2	NP_849142.1, XP_047294128.1
OG0001534	NP_001014170.1	XP_011541730.1, NP_057564.3, NP_001028284.1
OG0001535	NP_001102480.1, XP_006245650.1	NP_113626.1
OG0001536	NP_001102010.1, XP_038958431.1	NP_001124537.1
OG0001537	XP_006229442.1, NP_001034095.1	XP_047288893.1, NP_071925.2
OG0001538	NP_001100715.2	NP_001382178.1, NP_001382177.1, NP_006306.2, NP_001382176.1, NP_001382175.1, NP_001382174.1, NP_001304765.1, NP_001382179.1, XP_047305456.1, NP_001382180.1
OG0001539	NP_001020900.1	NP_001316493.1, NP_115743.1
OG0001540	XP_006250911.1, NP_113976.2	XP_016864016.1, NP_001350382.1, NP_001180437.1, NP_005603.3
OG0001541	NP_001387299.1, XP_008770146.1	NP_004476.1, XP_006711824.1, NP_001092192.1, NP_001092191.1
OG0001542	NP_036651.1, XP_008759674.1	NP_001308498.1
OG0001542	XP_008768708.1	NP_001307827.1
OG0001543	NP_001162598.1	NP_001338195.1
OG0001544	XP_006246185.1, NP_899155.1	NP_000797.2, NP_001121116.1, NP_001121120.1, NP_001121117.1, NP_001121115.1
OG0001545	NP_001014111.1	NP_001123519.1, NP_689928.3, NP_001350573.1
OG0001546	NP_001101591.1, XP_006242536.1	NP_689646.2
OG0001547	NP_112643.1, XP_063126031.1	NP_001387957.1
OG0001548	NP_001019405.1, XP_017452591.1	NP_001375334.1
OG0001549	NP_001178573.1	NP_056091.1
OG0001549	XP_063125078.1	XP_005256632.1
OG0001549	NP_001388057.1	NP_001138545.1
OG0001550	NP_001124484.1	NP_065999.2, NP_001139582.1, NP_001071169.1, NP_001139584.1
OG0001550	XP_017448862.1	XP_011540167.1, NP_001337459.1
OG0001551	XP_063144438.1, NP_113929.1	NP_001315548.1
OG0001551	NP_001380621.1, XP_038967504.1	NP_997303.2, XP_011539126.1
OG0001552	NP_074058.2	NP_073729.1, NP_001078950.1
OG0001552	NP_955794.1	NP_115903.1
