Orthogroup	Rattus_norvegicus	Echinops_telfairi
OG0001102	NP_542963.2, XP_006238023.1	XP_004710970.1
OG0001103	NP_110472.2, NP_001381519.1, NP_446099.1	XP_004703432.2, XP_045140226.1
OG0001104	XP_008760904.1, NP_001099182.1	XP_045144921.1
OG0001104	NP_001099181.1, XP_063120964.1	XP_030743476.1
OG0001105	XP_006236573.2, NP_001025098.1	XP_004702910.1
OG0001106	NP_001101331.1, XP_006236610.1	XP_004702823.1
OG0001107	NP_001020054.1, XP_008769575.1	XP_004707624.1
OG0001109	NP_001020291.1, XP_038968096.1	XP_045150094.1, XP_045150095.1
OG0001111	NP_001388322.1	XP_004715054.1
OG0001111	XP_006249474.1, NP_001414550.1	XP_045152633.1
OG0001112	NP_001099957.1, XP_006234511.1	XP_004715017.1, XP_045152991.1
OG0001113	XP_063138814.1, NP_062025.1	XP_045153105.1
OG0001114	XP_063137036.1, NP_647557.1	XP_004715094.1
OG0001114	XP_038944998.1, NP_653359.1	XP_045152668.1
OG0001116	NP_001032733.1, XP_006255314.1	XP_030741370.1
OG0001117	NP_476493.2, XP_006242653.1	XP_004716860.1
OG0001118	NP_001006976.1, XP_038964601.1, XP_006231172.1, XP_038957275.1, NP_001395687.1, XP_038957283.1, XP_063137094.1	XP_045153017.1, XP_004715081.1
OG0001119	XP_006242582.1, NP_001020158.1	XP_045153685.1, XP_045153686.1
OG0001120	NP_001120976.1	XP_045147081.1
OG0001121	XP_063130551.1, NP_001012210.1	XP_045139734.1, XP_004704326.1, XP_045139733.1
OG0001122	NP_001101850.1, XP_038949426.1	XP_045145007.1
OG0001123	XP_006244124.1, NP_620188.1	XP_045150985.1, XP_045150984.1
OG0001124	NP_001032861.2, XP_038937119.1	XP_045153740.1
OG0001125	NP_112271.2, NP_112247.2, XP_008769816.1	XP_004708587.1
OG0001126	NP_001094308.1, XP_017447098.1	XP_045151329.1
OG0001127	XP_006248878.1, NP_001006957.1	XP_004714874.1
OG0001128	XP_006245476.1, NP_001102277.1	XP_012862979.1, XP_045151799.1, XP_045151800.1, XP_045151798.1, XP_004706652.2
OG0001129	NP_073184.3, XP_038940110.1	XP_012859833.1
OG0001130	NP_414541.1, XP_006231440.1	XP_004701068.1
OG0001131	XP_006232215.1, NP_446224.1	XP_004697563.1, XP_045142372.1
OG0001133	XP_006243240.1, NP_001386356.1	XP_030740183.1
OG0001134	XP_006250789.3, NP_001012034.1	XP_045139953.1
OG0001135	NP_001007643.1	XP_004703815.1
OG0001136	XP_038960272.1, NP_001094112.1	XP_004703792.1
OG0001137	XP_006250315.1, NP_001009539.1	XP_045154412.1, XP_045154413.1
OG0001138	XP_063136454.1	XP_030743758.1
OG0001139	NP_001100819.1, XP_006253889.1	XP_004711704.1
OG0001139	NP_001164044.1	XP_045141465.1
OG0001140	NP_001000249.1	XP_012863275.1, XP_004715060.1, XP_004715061.1, XP_004715059.1, XP_004715062.1, XP_004715066.1, XP_004715065.1, XP_004715063.1, XP_012863257.1, XP_012863256.1
OG0001141	NP_001001119.1, NP_001001421.1, NP_001001397.1, NP_001001422.1	XP_004717799.1, XP_004717376.1, XP_004717800.1, XP_012864091.1, XP_004717357.1
OG0001144	XP_038940384.1, NP_001014188.1, NP_001406427.1	XP_045145134.1
OG0001146	NP_113906.2	XP_045153757.1, XP_004697636.1
OG0001147	NP_001094194.1	XP_045153654.1
OG0001148	XP_006232469.1, NP_073637.1	XP_004708596.1, XP_045151002.1
OG0001149	XP_038958936.1, NP_001020794.1	XP_045150506.1
OG0001151	NP_001160150.1, NP_001074406.1	XP_012863651.2, XP_004716284.1
OG0001152	XP_006238442.1, NP_570825.1	XP_004706681.1
OG0001152	NP_113738.1, XP_063143236.1	XP_045145308.1
OG0001153	NP_001164018.1, XP_006237111.1, NP_001164019.1, NP_001164017.1	XP_045145795.1, XP_004718158.2
OG0001154	NP_001000320.1	XP_004708568.1
OG0001157	NP_001000555.1, NP_001000243.1, NP_001000238.1, NP_001000764.1, NP_001001040.1, NP_001000233.1, NP_001000766.1, NP_001001039.1, NP_001000765.1, NP_001000242.1, NP_001000955.1, NP_001000240.1, NP_001000241.1	XP_004714474.1, XP_004714472.1
OG0001159	NP_036892.1, XP_063137410.1	XP_045150515.1
OG0001160	NP_001007691.1, XP_006227702.1	XP_004702021.1
OG0001161	NP_579858.2, XP_006253588.1	XP_045154569.1
OG0001162	NP_446179.2, XP_006253729.1	XP_004713958.1
OG0001163	NP_001387867.1	XP_004715707.1
OG0001164	NP_001020851.1, XP_006228480.1	XP_004710442.1
OG0001165	XP_006228644.1, NP_001017513.1	XP_045148467.1, XP_030742256.1, XP_045148466.1, XP_045148465.1
OG0001166	NP_036963.1, XP_038957466.1	XP_045149586.1
OG0001167	XP_017456071.1, XP_006237779.1	XP_004716173.3
OG0001168	NP_001108509.1	XP_045155125.1, XP_045155123.1, XP_045155124.1, XP_004705112.1
OG0001169	NP_620272.3, XP_006239434.1	XP_045155212.1, XP_045155211.1
OG0001170	XP_063129745.1, NP_445791.2	XP_045145399.1
OG0001174	NP_001385773.1, NP_001385774.1, XP_038943194.1	XP_004713089.1
OG0001175	XP_038954172.1	XP_004704854.2, XP_045149688.1
OG0001176	NP_001099656.1	XP_004704616.1
OG0001177	XP_063127949.1	XP_045140557.1
OG0001177	XP_038945992.1	XP_012860887.3
OG0001178	NP_073180.1, XP_038961739.1	XP_045142471.1
OG0001179	NP_001400254.1, XP_006247755.1	XP_030743989.2
OG0001179	XP_038945791.1	XP_045140310.1
OG0001180	XP_006249019.1, NP_001102532.1	XP_012861015.3
OG0001181	NP_037238.1	XP_045147795.1
OG0001181	NP_037277.1	XP_004702678.1
OG0001182	XP_006233516.1, NP_783187.1	XP_045147876.1
OG0001183	NP_001004445.1, NP_001014791.1	XP_004702622.1, XP_004710122.1
OG0001184	NP_062174.1, XP_063128627.1	XP_045154128.1
OG0001185	NP_001388309.1, XP_063128385.1	XP_004706730.1
OG0001186	XP_006250217.1, NP_001020839.1	XP_004706801.1
OG0001187	XP_038959215.1, NP_598240.1, XP_038934273.1, XP_063124231.1	XP_045152175.1, XP_045153879.1, XP_004716931.2
OG0001188	XP_063130478.1, NP_001386633.1	XP_030740799.2
OG0001189	NP_001400143.1, NP_110486.1, XP_063140681.1	XP_045142528.1, XP_004708387.1
OG0001190	NP_919443.1	XP_045155731.1, XP_045155732.1
OG0001191	NP_446116.2, NP_001409929.1, XP_006233793.1	XP_004714584.1
OG0001192	NP_001123983.1, XP_006242186.1	XP_045148190.1
OG0001193	XP_063124394.1, NP_570095.2	XP_045140903.1
OG0001194	NP_001102136.2, XP_006238227.1	XP_004711121.1
OG0001195	XP_038954571.1, NP_001159747.1	XP_045148668.1
OG0001196	XP_006256016.3, NP_997628.1	XP_004711861.1
OG0001197	XP_006256284.1, NP_001012174.1	XP_045141207.1, XP_004710782.1
OG0001198	NP_001380846.1, XP_008764471.1	XP_004696589.1
OG0001199	NP_113995.2, XP_006243561.1	XP_045150616.1
OG0001200	XP_063135574.1, NP_001102918.1	XP_004696290.1
OG0001201	NP_001037748.1	XP_030742715.1
OG0001201	XP_038955826.1, NP_001102287.2	XP_004716736.1
OG0001202	NP_001029063.1	XP_004696156.1
OG0001202	NP_001101827.1	XP_045140111.1
OG0001203	XP_006236094.1, NP_001101316.1	XP_004702705.1
OG0001204	NP_001013103.1, XP_006236548.1	XP_004702789.1
OG0001205	XP_038937290.1, NP_001178720.1	XP_045142214.1
OG0001206	XP_006238957.1, NP_001102446.1	XP_045154904.1, XP_045154905.1, XP_045154907.1, XP_004705352.1, XP_045154906.1
OG0001207	XP_006238841.1, NP_001101442.1	XP_045155074.1
OG0001208	NP_001007682.1, XP_006251940.1	XP_030740798.1
OG0001210	XP_017456700.1, NP_001376190.1	XP_004708807.1
OG0001211	NP_001182761.1, XP_006232742.1, NP_001009691.3	XP_045151753.1
OG0001211	XP_038959175.1	XP_045149936.1
OG0001212	XP_006232576.1, NP_954536.1	XP_045151718.1, XP_004708791.1, XP_045151716.1
OG0001214	NP_036952.1, XP_006253184.1	XP_004696198.1
OG0001215	NP_036818.2	XP_004696105.1
OG0001215	NP_059053.1, XP_006238891.1	XP_045155047.1, XP_004705000.1
OG0001216	NP_001257691.1, NP_620805.2, XP_038957644.1, NP_001257692.1	XP_045146399.1
OG0001218	NP_001100333.2	XP_045153635.1
OG0001219	NP_001382029.1, XP_006232323.1	XP_004708678.1, XP_045150976.1, XP_045150975.1
OG0001219	NP_001128270.1, XP_063131812.1	XP_004704479.1
OG0001220	XP_002730005.1	XP_004712145.1
OG0001222	NP_001166851.1, XP_063140466.1	XP_045151079.1
OG0001223	NP_001102927.1	XP_012863720.2
OG0001224	NP_001334461.1, XP_038961734.1	XP_045151144.1
OG0001225	NP_001100015.1, XP_008760706.1	XP_045151145.1, XP_004698117.1
OG0001226	XP_006252332.1, NP_001100745.1	XP_004707652.1
OG0001227	NP_001414419.1, XP_038936556.1, NP_001094477.1, XP_038936319.1	XP_045143155.1
OG0001228	NP_001008380.1	XP_045152290.1
OG0001229	NP_001386033.1, XP_006237451.1	XP_004708286.1, XP_045151960.1
OG0001230	XP_038963602.1	XP_004708182.1, XP_030743097.1
OG0001231	NP_001414732.1, XP_006237759.1	XP_004700252.1
OG0001232	XP_063120539.1, NP_001395792.1, XP_038936491.1	XP_030740642.1, XP_004711568.1, XP_004711566.1
OG0001233	XP_006242445.1, NP_037303.1	XP_030740603.1
OG0001234	NP_001029179.1, NP_001029180.1, XP_006252722.1	XP_045139601.1
OG0001235	XP_006234953.1, NP_001156407.1	XP_004709472.1, XP_045142475.1
OG0001236	NP_113810.2, XP_006243471.1	XP_004709491.1
OG0001237	NP_001295361.1	XP_045142450.1
OG0001238	NP_775434.1, XP_006243428.1	XP_004709519.1
OG0001239	NP_001020458.1, XP_038937671.1, XP_063124273.1, XP_038940879.1	XP_004718145.2
OG0001240	NP_001025095.1	XP_045141602.1
OG0001241	XP_017453430.1, NP_001011899.2	XP_045140589.1, XP_045140590.1, XP_045140588.1
OG0001242	NP_001019477.1	XP_012859428.2
OG0001243	NP_001004209.1, XP_006250689.1	XP_004703475.1
OG0001243	NP_001009684.1	XP_004703474.1
OG0001245	XP_006232563.1, NP_001009542.1	XP_004704158.1, XP_045153515.1, XP_045153514.1
OG0001246	XP_006253989.1, NP_001099582.1	XP_004712573.1, XP_045151720.1
OG0001247	NP_786932.2, XP_006250295.1, NP_001405944.1, XP_063128613.1, NP_001129464.1	XP_045154050.1
OG0001248	NP_001100408.1, XP_006257225.1	XP_004717693.1
OG0001249	NP_001178818.1, XP_006234310.1	XP_004710091.1
OG0001249	NP_075216.1, XP_006256887.1	XP_004710033.1, XP_045146646.1
OG0001250	NP_001258040.1, NP_001258041.1	XP_045150990.1, XP_045150991.1, XP_045150992.1
OG0001251	XP_038955597.1, NP_001178516.1	XP_004717851.1
OG0001252	NP_001107877.1, XP_006241791.1	XP_004697431.1
OG0001253	NP_036645.2, NP_001257559.1	XP_004708310.1
OG0001254	NP_571986.1	XP_045149162.1
OG0001254	NP_037035.2	XP_045141634.1
OG0001255	XP_006231915.1, NP_112619.2	XP_004703609.1
OG0001256	NP_742005.1, XP_008765901.1	XP_004696910.1, XP_030744661.1
OG0001257	NP_036663.1, XP_006248665.1	XP_045147202.1
OG0001258	XP_008759324.3, NP_942064.1	XP_004708772.2
OG0001260	NP_001030099.1, XP_063139952.1	XP_004698105.1
OG0001261	XP_006234695.1, NP_037133.1	XP_004708323.1
OG0001262	NP_113875.1	XP_004705308.1
OG0001263	NP_110476.1	XP_004709257.1
OG0001264	NP_058688.2	XP_004697929.1, XP_004697930.1
OG0001264	NP_037128.1	XP_004697931.1
OG0001266	NP_001012183.1, XP_006233582.1	XP_004699386.1
OG0001267	NP_001000071.1	XP_004716988.2
OG0001267	NP_001001074.1, NP_001000940.1	XP_004716964.1, XP_004716987.3
OG0001268	NP_001000131.1, NP_001000134.1	XP_012864014.1, XP_004717535.1
OG0001269	NP_001001022.1, XP_038952315.1, NP_001000748.1, NP_001000129.1	XP_004717540.1
OG0001271	XP_006235735.1, NP_001102814.1	XP_045151415.1
OG0001271	NP_001178872.1	XP_045152010.1
OG0001272	NP_001178895.1	XP_045151190.1
OG0001272	NP_542152.1	XP_045141208.1, XP_004710461.1
OG0001273	NP_001101946.1, NP_001386541.1, NP_001386543.1, NP_001386542.1, NP_001386539.1, NP_001386540.1	XP_045148953.1
OG0001274	NP_001099708.1, XP_063139397.1	XP_030742221.1
OG0001275	XP_063122588.1, NP_001121024.1	XP_004715885.1
OG0001276	NP_446086.1	XP_004714501.1
OG0001277	XP_006254712.1, NP_036978.1	XP_045140829.1, XP_045140827.1, XP_045140830.1, XP_045140828.1
OG0001278	NP_001165626.1, XP_017456384.1	XP_004697119.1
OG0001279	NP_001013174.1, XP_006231903.1	XP_004703563.1, XP_045141044.1, XP_045141043.1
OG0001280	NP_001414652.1	XP_004708268.1
OG0001281	XP_063138835.1	XP_004713268.1
OG0001282	NP_037010.1	XP_004713031.1
OG0001284	XP_063132735.1, NP_001012213.1	XP_004696859.1, XP_045140814.1
OG0001284	NP_075237.1, XP_038945795.1	XP_045147439.1
OG0001285	XP_038958184.1, NP_001013175.1	XP_045141293.1, XP_030744725.1
OG0001286	XP_063137242.1, NP_446426.1	XP_004699277.2, XP_045140055.1
OG0001287	NP_446094.1, XP_017450895.1	XP_004716327.1
OG0001288	NP_001102504.1	XP_045154659.1
OG0001290	NP_001007704.1, XP_006239638.1	XP_004705279.1, XP_045154976.1
OG0001291	NP_001013959.1	XP_004705267.1
OG0001291	NP_001013983.1	XP_004713123.1, XP_004713122.1
OG0001292	XP_008770785.2, NP_001388040.1	XP_004704624.1
OG0001293	NP_001101021.2, XP_006230334.1	XP_004705709.2
OG0001294	NP_001395935.1	XP_045144303.1
OG0001295	NP_997470.2, XP_006249914.1	XP_004699872.1
OG0001296	NP_001014843.1, XP_006249777.1	XP_045154125.1
OG0001297	XP_038964546.1	XP_045145979.1
OG0001297	NP_067084.1, XP_038953269.1, XP_038943641.1, XP_038952198.1, XP_063142883.1	XP_045139735.1
OG0001297	XP_063132943.1, XP_038952248.1	XP_004713914.1
OG0001298	NP_001102571.1, XP_006252066.1	XP_045143545.1, XP_004698529.1, XP_045143544.1
OG0001299	XP_006233778.1, NP_001102044.2	XP_045145221.1
OG0001300	XP_038962074.1, NP_001414137.1	XP_045145163.1
OG0001301	NP_001013182.3, XP_008759880.1	XP_045144450.1
OG0001302	XP_063119697.1, NP_001128272.1	XP_004700682.1
OG0001303	XP_063129309.1, NP_001094035.1	XP_045150125.1
OG0001304	NP_001124475.1	XP_030744746.2
OG0001305	NP_955408.1, XP_008770247.1	XP_045141070.1, XP_004696708.1
OG0001306	NP_001013121.2	XP_004717067.1
OG0001306	XP_063120602.1, XP_063120457.1	XP_004712479.1
OG0001308	XP_006256168.1, NP_543167.2	XP_045148699.1
OG0001309	NP_001020878.1, XP_063123157.1	XP_004710816.1
OG0001310	XP_006244497.1, NP_001129942.1	XP_004710910.1
OG0001311	XP_006244578.1, NP_001009601.1	XP_045150703.1
OG0001312	NP_001012130.1	XP_004696421.1
OG0001312	NP_445743.2	XP_045153875.1, XP_045151969.1, XP_004717695.1
OG0001313	NP_001102475.1, XP_008765183.1	XP_004696390.1
OG0001314	XP_063136594.1	XP_045152226.1
OG0001314	XP_234961.1	XP_004698572.1, XP_004712067.3
OG0001315	NP_001102702.1	XP_045144946.1, XP_004702778.1, XP_045144947.1
OG0001316	XP_017448876.1, NP_001389033.1, NP_001030085.1, NP_001395743.1, XP_038948805.1	XP_045147747.1, XP_004699527.1, XP_012863805.1
OG0001317	XP_063120096.1, NP_001014288.1, XP_038956530.1	XP_004700449.1
OG0001318	XP_017454452.1	XP_004708757.1, XP_045151759.1
OG0001318	XP_006255470.1, NP_001119557.1	XP_045151761.1
OG0001321	XP_006253231.1, XP_577523.4, XP_006253232.1	XP_012863500.1
OG0001322	XP_006239958.1, NP_001100187.1	XP_004696446.1
OG0001323	XP_006236770.1, NP_001102713.1	XP_045139925.1
OG0001324	XP_006232949.1, NP_001028872.2	XP_004716660.1
OG0001325	XP_002729127.1, NP_001414660.1	XP_045151622.1, XP_045151621.1, XP_045151620.1, XP_045151623.1
OG0001326	NP_001008299.1, XP_063132267.1	XP_004708082.1
OG0001327	XP_006240044.1, NP_001006981.1	XP_045144827.1
OG0001329	NP_113985.2, XP_006234659.1	XP_045147058.1
OG0001330	XP_063129851.1, NP_001406797.1	XP_045146358.1
OG0001330	NP_001414085.1	XP_045146359.1
OG0001331	NP_001004260.1, XP_006230837.1	XP_045153277.1, XP_045153278.1
OG0001332	XP_063137344.1, NP_036876.2	XP_045153163.1, XP_004713629.1
OG0001333	NP_001257961.1	XP_045153229.1, XP_045153233.1, XP_045153234.1, XP_045153231.1, XP_045153230.1, XP_045153235.1, XP_004713743.1, XP_045153232.1, XP_045153228.1
OG0001334	XP_008761461.1, NP_001012097.1	XP_030741473.2
OG0001336	NP_001101536.2, XP_006240964.1	XP_004717054.1
OG0001337	XP_008764838.1	XP_045153526.1
OG0001338	NP_001032173.2, XP_006235128.1	XP_045151385.1, XP_004697909.1
OG0001339	NP_001386298.1, NP_001386297.1, NP_001386299.1, NP_001386296.1	XP_004718160.2
OG0001340	XP_006248897.1, NP_001101799.1	XP_045149994.1
OG0001341	XP_063127321.1, NP_001100588.1	XP_004715458.1
OG0001342	NP_001396099.1, XP_063127672.1, NP_064463.1	XP_030743283.2
OG0001343	XP_006249604.1, NP_001100618.2	XP_004715393.2
OG0001344	XP_006251217.1, NP_598246.1	XP_012863797.1
OG0001345	XP_006242339.1, NP_620187.1	XP_045143272.1, XP_045143273.1
OG0001346	XP_006242388.1, NP_001008359.1	XP_004711569.1
OG0001347	NP_001012224.1, XP_017450513.1	XP_004716950.1
OG0001348	NP_631931.2, XP_006231495.1, XP_008758709.4, NP_114029.1	XP_004701051.1
OG0001349	NP_001014269.2, XP_006231609.1	XP_045147378.1, XP_004701044.1, XP_045147379.1
OG0001350	XP_038936705.1, NP_001013173.1	XP_004700984.1
OG0001351	XP_006231687.1, NP_058970.1	XP_045147204.1, XP_004700983.1
OG0001352	XP_008760438.3	XP_045142441.1
OG0001353	NP_001386245.1	XP_004712092.1
OG0001354	XP_006233382.1, NP_001007641.1	XP_045140265.1
OG0001355	NP_001385699.1, XP_063126563.1, NP_001385700.1	XP_004712392.3
OG0001356	NP_446447.2, XP_006248540.1	XP_045143517.1
OG0001357	XP_038951797.1, NP_001101881.1	XP_012860379.1, XP_045154615.1
OG0001358	NP_001012131.1, XP_063123238.1	XP_004701551.1
OG0001360	XP_063136638.1	XP_045154493.1, XP_004713133.2, XP_045154491.1, XP_012862794.2
OG0001361	NP_001101491.1, XP_017457530.1	XP_045146658.1, XP_004709970.1
OG0001362	NP_113734.1, XP_063135887.1	XP_045144257.1, XP_004713249.1
OG0001363	XP_006256772.1	XP_045150518.1
OG0001364	NP_001100418.1, XP_038955531.1	XP_012863345.1
OG0001365	NP_001004224.1, XP_063135906.1	XP_004717633.1, XP_045139723.1
OG0001366	NP_536727.2, NP_001258039.1, NP_001258038.1, XP_006237986.1	XP_045146575.1
OG0001372	NP_037330.1	XP_045144212.1
OG0001372	NP_387502.1	XP_004713284.1
OG0001373	NP_113715.1	XP_045153086.1
OG0001373	NP_001257912.1	XP_004709635.1, XP_012864064.1
OG0001374	NP_077069.3, XP_006236903.1	XP_045150064.1, XP_045150063.1
OG0001375	XP_038943761.1	XP_030741151.1
OG0001376	NP_955422.1, XP_006246551.1	XP_004713005.1
OG0001378	NP_075223.1	XP_045148012.1, XP_030741223.1
OG0001380	NP_058834.1	XP_030742816.1
OG0001381	NP_001099307.1	XP_004717826.1
OG0001381	NP_001100337.1	XP_004708619.1
OG0001382	XP_038949786.1, NP_071852.2	XP_045144461.1
OG0001383	XP_038934368.1, NP_036903.2, NP_001381322.1	XP_004700516.1, XP_004700515.1, XP_004700514.1
OG0001384	NP_001000537.1	XP_004714782.1
OG0001385	XP_227371.1	XP_045151569.1, XP_004717745.1
OG0001385	NP_001007637.1	XP_004714679.1
OG0001386	NP_001000842.1, NP_001000974.1, NP_001000843.1	XP_004714037.1, XP_004714038.1
OG0001387	NP_001000288.1	XP_045152992.1
OG0001389	NP_001000699.1	XP_004717882.1
OG0001390	NP_001001081.1, NP_001000820.1	XP_030744273.1, XP_004716320.1
OG0001391	NP_001000823.1, NP_001000394.1	XP_004712630.2
OG0001392	NP_001000742.1, NP_001000743.1, NP_001000150.1	XP_004717553.1
OG0001394	NP_001000714.1, NP_001000037.1	XP_004707347.1, XP_004706925.1
OG0001395	NP_001389146.1	XP_004701956.1
OG0001395	NP_001100902.1	XP_030742443.2
OG0001396	NP_001120809.1	XP_045148318.1
OG0001397	XP_038949669.1	XP_045148838.1
OG0001398	NP_001013166.1	XP_004704763.1, XP_045149743.1
OG0001399	XP_006254415.1, NP_077373.2	XP_045156134.1
OG0001400	XP_038952633.1, NP_001099620.1	XP_045140559.1, XP_045140558.1
OG0001401	NP_001178823.1, XP_038952930.1	XP_045140847.1
OG0001401	NP_001100694.1	XP_004715188.1
OG0001402	XP_006239183.1, NP_001101454.1	XP_004705146.1
OG0001403	NP_001402858.1, XP_038965970.2	XP_004705399.1
OG0001404	NP_001097998.1	XP_045153752.1
OG0001404	XP_038965983.1, NP_001120791.2	XP_012860746.1
OG0001405	XP_006243147.1, NP_001020914.1	XP_045141768.1, XP_004699772.1
OG0001406	XP_038959395.1, NP_001386718.1	XP_030744793.2
OG0001407	NP_001257585.1	XP_004709952.1
OG0001408	NP_001120923.1	XP_004708143.1
OG0001409	NP_001000447.1, NP_001000813.1	XP_012863078.1
OG0001410	NP_001380877.1, XP_063121385.1, XP_056840500.1, XP_063122400.1	XP_045146184.1
OG0001411	XP_038943245.1, NP_001386359.1	XP_004716205.1
OG0001411	NP_001103047.2, XP_008772060.1	XP_004716399.2
OG0001412	NP_001389140.1	XP_045139787.1, XP_004696216.1, XP_045153293.1
OG0001413	NP_001100894.1, XP_006255560.1	XP_045149578.1
OG0001414	XP_006249177.1, NP_001020800.1	XP_004705653.1
OG0001415	XP_006247042.1, NP_001099289.1	XP_045155741.1
OG0001415	NP_001178751.1, XP_008765759.1	XP_045140103.1
OG0001416	NP_001037767.1, XP_006233239.2	XP_045148038.1
OG0001417	XP_006249326.1, NP_001099393.1	XP_004705624.1
OG0001418	XP_006248977.1, NP_663706.2	XP_004705597.2
OG0001419	XP_063125807.1, NP_064486.1	XP_045155911.1
OG0001419	XP_017453740.3	XP_045139738.1
OG0001420	NP_001405604.1	XP_045140911.1
OG0001421	NP_001387702.1, XP_038957156.1	XP_045140971.1
OG0001422	XP_006230277.1, NP_596871.2	XP_004706106.1
OG0001423	NP_036845.3	XP_004705775.2
OG0001423	XP_038941139.1, NP_001386228.1	XP_012861292.2
OG0001424	NP_001030098.2	XP_004699393.1
OG0001425	XP_006249775.1, NP_877967.2, XP_038946246.1, NP_036648.2	XP_012859394.3
OG0001426	XP_038968329.1, NP_001017457.1	XP_004699173.1
OG0001426	NP_445775.2	XP_004699994.1
OG0001427	XP_038958585.1, NP_001007742.1, XP_038956255.1, XP_038956820.1	XP_004714772.1
OG0001428	XP_017450045.2, NP_062256.1, XP_038942713.1	XP_004709206.1, XP_045150873.1, XP_004703206.1, XP_004700048.1
OG0001429	NP_062192.1, XP_008770388.1	XP_012860237.1
OG0001430	XP_574109.1, NP_112362.1, NP_001386593.1	XP_004718114.1
OG0001431	NP_001316808.1, XP_006240671.1	XP_045143410.1, XP_004699182.1
OG0001432	XP_006240730.1, NP_001414258.1	XP_045143710.1
OG0001434	XP_008766485.1, NP_001099314.1	XP_045155825.1, XP_045155824.1, XP_004707285.1
OG0001435	XP_008766446.1	XP_045155520.1
OG0001436	NP_001007674.1, XP_038941980.1	XP_012861309.1
OG0001436	XP_063127333.1, NP_001032294.1	XP_030744490.2
OG0001437	NP_446117.1, XP_006247129.1	XP_004707086.1
OG0001439	NP_001127936.1, XP_006241487.1	XP_045152351.1, XP_045146842.1, XP_045146832.1
OG0001440	XP_008763447.1, NP_942045.2	XP_045148331.1
OG0001441	NP_001099491.1, XP_006251578.1, XP_038969280.1	XP_004710310.1
OG0001442	XP_063123165.1, NP_001101672.1	XP_004710840.1
OG0001443	NP_001100360.1, NP_001258060.1, XP_038939110.2	XP_045150733.1
OG0001444	XP_063119946.1, NP_001124038.1	XP_004697405.1
OG0001445	XP_006246550.1, NP_955421.1	XP_004696933.1, XP_045140822.1, XP_045140823.1, XP_045140821.1
OG0001446	XP_038967719.1, NP_036831.2	XP_004702640.1
OG0001447	NP_775161.2	XP_004705037.1
OG0001448	XP_038956387.1, XP_038956232.1, XP_008771804.2, XP_008771758.1, XP_006257578.1, XP_038956306.1, XP_017453216.1, XP_008771944.2, XP_006257626.1, XP_063136614.1, XP_063136608.1, XP_006257650.1, XP_003752207.1, XP_038956265.1, XP_006257646.1, XP_017457896.2, XP_006257666.1, NP_001102933.1, XP_038956082.1	XP_012860688.1
OG0001449	XP_038964980.1	XP_030741124.1
OG0001450	XP_006253391.1, NP_001386189.1	XP_045142824.1
OG0001451	XP_038959254.1, NP_001395725.1, NP_068636.1	XP_004717753.1
OG0001452	XP_017455051.1	XP_004696918.1, XP_004699521.1, XP_004706612.1
OG0001452	NP_001128163.1	XP_004709674.1, XP_004709899.1, XP_004702516.1, XP_004710199.1, XP_030741373.1
OG0001453	NP_001013088.1, XP_038963951.1	XP_045146392.1, XP_012863919.1, XP_045146394.1, XP_045146393.1
OG0001454	NP_001008306.1	XP_030743182.1
OG0001455	XP_006243787.1, NP_001008329.1	XP_004715313.1
OG0001456	NP_058888.1	XP_045146286.1
OG0001457	NP_001290073.1	XP_030744206.2
OG0001457	NP_071789.2, XP_017452111.1	XP_045156021.1
OG0001458	XP_008758498.2, NP_001099809.1, XP_038957274.1	XP_045153020.1, XP_045153027.1
OG0001459	XP_038949439.1, NP_001258417.1	XP_004704324.1
OG0001459	XP_038956477.1	XP_004713454.1
OG0001460	XP_063130413.1, NP_001100754.1	XP_004709831.1, XP_012862863.1
OG0001461	XP_038938688.1, NP_001414536.1	XP_004708724.1
OG0001462	NP_001414237.1, XP_006235868.1	XP_045152848.1
OG0001463	XP_063124238.1, XP_038940610.1, XP_002730104.3, NP_073171.2, NP_073156.3	XP_004701896.1, XP_004701897.1
OG0001464	XP_006245551.1, XP_006245552.1	XP_004701879.1
OG0001465	NP_072130.1, XP_038948326.1	XP_045145559.1
OG0001465	NP_446253.2, XP_006251216.1	XP_004716780.1
OG0001466	NP_001385887.1	XP_004709650.1
OG0001467	NP_001385987.1, XP_063129576.1	XP_045145595.1, XP_004715385.1
OG0001468	NP_071886.1, XP_006242365.1	XP_004711519.1
OG0001469	XP_038935281.1, NP_001073175.1	XP_004716956.1, XP_045152292.1
OG0001470	NP_001128112.1	XP_004708677.2
OG0001471	NP_001012763.1, XP_006237249.1	XP_045139600.1
OG0001472	NP_001014268.1, XP_038941565.1	XP_004701120.1
OG0001473	NP_001178863.1	XP_045140269.1
OG0001473	NP_001402765.1	XP_012859635.1
OG0001474	XP_006231696.1, NP_001099671.1	XP_045147529.1, XP_045147530.1
OG0001475	XP_038960475.1, NP_001099968.1	XP_045143923.1, XP_004712758.1
OG0001476	NP_001004270.1	XP_012859795.1, XP_004712107.1
OG0001477	NP_001094028.1, XP_038944357.1	XP_004711343.1
OG0001478	XP_006248120.1, NP_001013447.1	XP_030744686.2
OG0001479	XP_017446541.1, NP_062149.1	XP_004703390.1
OG0001480	XP_017454816.2, NP_001017495.1	XP_045140216.1
OG0001481	XP_006248493.1, NP_001020799.1	XP_004712302.1
