Orthogroup	Rattus_norvegicus	Sus_scrofa
OG0000639	NP_076477.3, XP_006242561.1	XP_020918366.1
OG0000640	XP_063133245.1, NP_062022.2, XP_063130892.1	XP_005661764.1
OG0000641	NP_037358.1	NP_001001636.1
OG0000642	XP_038944880.1	NP_001106147.1
OG0000642	NP_001019466.1	XP_003359058.1
OG0000644	NP_001395893.1, NP_001000933.1	XP_001926245.1
OG0000645	NP_001001282.1, XP_006229976.1, NP_001000137.1	XP_005656671.2, XP_020917886.1, XP_020918048.1
OG0000645	NP_001001023.1	XP_020917894.1, XP_020917884.1
OG0000646	XP_017447042.1, NP_001000309.1	XP_013843086.2
OG0000647	XP_063128285.1, NP_001100638.1	XP_020955210.1
OG0000648	NP_037288.1	NP_999057.1, XP_005653866.1
OG0000649	XP_006228576.1	XP_013844051.1, NP_001254777.1
OG0000650	XP_006254330.1, NP_001028235.1	NP_001230602.1, XP_005668167.1
OG0000651	NP_001070896.1, XP_006231906.1	NP_001231240.1
OG0000652	XP_008762373.1, NP_001128428.1	XP_020951301.1
OG0000653	NP_001010966.1, XP_006239117.1	XP_003356269.1
OG0000655	XP_006232055.3, NP_001099884.1	XP_020932315.1, XP_020932316.1
OG0000656	NP_001008361.1, XP_006245873.1	NP_001231028.1, XP_005662212.1
OG0000657	XP_038953272.1, XP_038964484.1, NP_112391.1, XP_038943784.1, XP_038943785.1, XP_038943767.1, XP_063126125.1, XP_038962177.1, XP_063140932.1, XP_063140929.1, XP_063140938.1, XP_063140935.1, XP_063140934.1, XP_063140928.1, XP_063140930.1, XP_063140936.1, XP_063140937.1, XP_063140933.1, XP_063140939.1, XP_063140931.1, XP_038956322.1, XP_038952192.2, XP_063126026.1	XP_003124794.2
OG0000658	NP_001012207.1, XP_006250244.1	XP_005667835.1, NP_001161126.1
OG0000659	NP_058760.2	NP_999455.1, XP_020921906.1
OG0000659	NP_071775.1, XP_038941184.1	XP_020921898.1, NP_999333.1
OG0000660	NP_001019447.1	XP_020947434.1
OG0000660	XP_063119744.1	XP_020946876.1
OG0000660	NP_001032432.1	XP_020937378.1
OG0000661	NP_001101568.1	XP_020947631.1
OG0000663	XP_017450688.1, XP_006241299.1, XP_008763530.1, XP_017450687.1, XP_008763528.1, XP_063120476.1, XP_038936009.1, XP_001056437.2	XP_020948363.1
OG0000664	NP_037262.3, XP_006255456.1	NP_999130.1, XP_020956107.1
OG0000666	NP_742037.2	NP_999605.1, XP_005669631.1
OG0000667	NP_001101963.1, XP_006229830.1	XP_005667226.2
OG0000668	XP_006235293.1	XP_020933405.1, XP_020933406.1, XP_013840665.1
OG0000669	NP_001406443.1	XP_005670931.2, XP_020928613.1
OG0000670	XP_038964867.1, NP_001414785.1, XP_006237377.1	XP_020948044.1, XP_020948040.1, XP_013843853.1, XP_003126558.1, XP_013843854.1, XP_020948041.1, XP_020948043.1, XP_020948042.1
OG0000671	NP_001101579.1	XP_020948273.1
OG0000672	XP_008760301.1	XP_020953488.1
OG0000673	NP_001106815.1	XP_020925678.1
OG0000674	XP_006257039.2, NP_001020184.1	XP_020935923.1, XP_020935922.1, XP_013841496.1, XP_020935944.1, XP_020935924.1, XP_020935925.1
OG0000675	NP_001012132.1	XP_020936538.1, XP_020936543.1, XP_020936544.1, XP_020936624.1, XP_020936545.1, XP_020936547.1, XP_020936537.1, XP_020936560.1, XP_020936539.1, XP_020936540.1, XP_020936573.1, XP_020936574.1, XP_020936627.1, XP_020936562.1, XP_020936581.1, XP_020936577.1, XP_020936584.1, XP_020936541.1, XP_020936570.1, XP_020936572.1, XP_020936553.1, XP_020936630.1, XP_020936633.1, XP_020936629.1, XP_020936583.1
OG0000679	NP_001013981.1, XP_038956315.1	XP_003135186.1
OG0000680	NP_001303972.1, NP_001274037.1	NP_999249.1
OG0000680	NP_114024.2	XP_013833429.1
OG0000681	NP_001099844.1, XP_063143506.1	XP_020928917.1
OG0000682	XP_038941104.1, NP_058699.2	XP_020921778.1, NP_001302542.1
OG0000683	NP_445746.3, XP_017457041.1	XP_003483510.2
OG0000684	NP_579834.2, XP_063134999.1	NP_001005157.1
OG0000684	NP_446015.2	XP_003123418.5
OG0000685	NP_001000851.1, NP_001000850.1, NP_001000976.1	XP_003134635.1, XP_003134612.1
OG0000686	XP_002727781.1, XP_063126074.1, NP_001013877.1, XP_006246230.1, XP_006246225.1, NP_775172.1	XP_020932194.1, NP_001158208.1
OG0000687	XP_063129923.1	XP_013847980.1
OG0000687	NP_446380.1	XP_005664319.2
OG0000688	NP_001004256.1, XP_006253863.1	NP_001098778.1
OG0000689	XP_006231174.1	XP_003122722.5
OG0000689	NP_001020065.1, XP_017457545.1	XP_020935996.1, XP_020935995.1
OG0000690	XP_006238969.1, NP_001263412.1	XP_003362253.1
OG0000691	NP_001000020.1, NP_001000956.1, NP_001000773.1	XP_020940733.1, XP_013846905.2, XP_013850054.1, XP_020940735.1, XP_020941144.1, XP_003123629.4, XP_020941153.1, XP_003354447.2
OG0000692	XP_006229041.1, NP_061995.1	XP_020950462.1
OG0000693	XP_006254135.1, NP_001386142.1	XP_020920642.1, XP_020920640.1, XP_020920641.1, XP_020920639.1
OG0000694	NP_001264138.1	XP_005672531.1, XP_013840258.1, XP_020937612.1, XP_003134041.2, XP_005672532.1, XP_013840257.1, XP_013853062.2, XP_020937939.1
OG0000695	NP_001013448.1	XP_020956003.1, NP_001231718.1
OG0000696	NP_001099661.1, NP_001406438.1, XP_008770823.1	NP_001231579.1
OG0000697	NP_001011928.1, XP_008770709.1	XP_003355827.2
OG0000697	NP_001008384.1, XP_006255579.1	XP_020949777.1
OG0000698	NP_997469.1	NP_001245306.1
OG0000699	NP_001403323.1, XP_063142744.1, NP_001395739.1	XP_005653067.1
OG0000699	NP_001388699.1	XP_013847906.1
OG0000700	NP_001388993.1, XP_006232736.1	XP_005663295.1
OG0000701	XP_008770330.1, NP_001099604.1	XP_001926583.4, XP_005654482.1, XP_005654481.1, XP_003480376.1
OG0000702	XP_006247750.1, NP_001100533.1	XP_003358042.1, XP_003131291.1
OG0000703	NP_001019937.1	XP_005654105.1, XP_005654104.1
OG0000703	XP_006233893.1, NP_001034123.1	XP_003353752.1
OG0000704	NP_542965.1, XP_008763234.1	XP_020946785.1, NP_999197.1
OG0000705	NP_001101686.1, XP_006244887.1	XP_020941235.1, NP_001131103.1
OG0000706	XP_038965454.1, NP_001013953.1	XP_013841764.1, XP_003353610.1, XP_020921161.1, XP_003480592.1, XP_013841761.1
OG0000707	XP_063144179.1, NP_001253983.1, NP_001013258.1, NP_001253984.1, NP_001382633.1, NP_001382632.1	XP_013849220.2
OG0000708	NP_598305.2, XP_038947523.1	XP_020956089.1, NP_998957.1
OG0000709	NP_001101443.1	XP_003128160.1, XP_013832841.1
OG0000710	XP_006232316.1, NP_001074376.1	NP_001231585.1, XP_020924123.1
OG0000711	NP_001041509.1	XP_005662678.1, XP_003125272.1, XP_003481289.1, XP_003481288.1, XP_005662677.1, XP_005662679.1
OG0000712	NP_001013104.1, XP_038963248.2	XP_003124996.1, XP_003124997.1, XP_013843340.1, XP_020942956.1, XP_013843339.1, XP_003124998.1, XP_003124995.1
OG0000713	NP_001011955.1, XP_017447049.1	XP_013849833.1, XP_005661027.1, XP_005661026.1
OG0000714	XP_063140655.1, NP_001103064.1	XP_020938821.1
OG0000714	NP_001254463.1, XP_006234639.2	XP_005661034.1
OG0000716	NP_058894.1, XP_006229814.1	XP_013834631.2, XP_020918217.1, XP_013834627.2, XP_020918219.1, XP_020918218.1, XP_013834629.2, XP_005667221.2, XP_013834628.2, XP_020918220.1
OG0000717	XP_006235224.1, NP_001102813.1	XP_020933341.1
OG0000717	XP_063139603.1, NP_062131.1	XP_020933992.1
OG0000718	XP_006235536.1, NP_001040562.1	NP_001245334.1, XP_020932887.1
OG0000719	XP_006235676.2, NP_001040576.1	NP_001230601.1, XP_003134521.1
OG0000720	NP_001382083.1	XP_013839209.2
OG0000721	XP_006243191.1, NP_001382569.1	XP_013833510.1, XP_020954681.1, XP_013833513.1, XP_020954683.1, XP_020954685.1, XP_003482286.1, XP_013833512.1, XP_020954684.1, XP_013833514.1, XP_013833511.1, XP_020954682.1
OG0000722	NP_001388365.1	XP_003357028.1
OG0000723	NP_001100821.1, NP_001333297.1, XP_006253934.1, NP_001007733.1	NP_001104726.1
OG0000724	XP_017451859.1, NP_001007667.1	NP_001230605.1, XP_020930303.1
OG0000725	XP_063123468.1, NP_001014240.1, NP_001380809.1, NP_001380810.1	NP_001177204.1, XP_013839960.1
OG0000726	XP_006256737.1, NP_001020096.1	XP_013841522.1, XP_013841523.1, XP_003135078.3, XP_013841521.1
OG0000728	NP_001000272.1	XP_020937653.1, XP_020937491.1, XP_020955688.1, XP_020936936.1, XP_003128310.2, XP_020937985.1, XP_001928325.2, XP_020937357.1
OG0000728	NP_001001374.1, NP_001001373.1	XP_013851952.1, XP_020937954.1
OG0000731	XP_006250268.1	XP_020918845.1
OG0000731	NP_445885.2, XP_038947055.1	XP_003130142.2
OG0000732	XP_038937989.1, NP_068638.1	NP_001001619.1
OG0000732	NP_446412.2	NP_001001618.1, XP_013837023.1
OG0000733	NP_058869.2, XP_038963030.1	NP_001231061.1
OG0000734	NP_898875.1	NP_001230320.1
OG0000734	XP_063123874.1, XP_003751372.2, NP_001103815.2	NP_001192023.1
OG0000735	XP_038960313.1	XP_020932988.1
OG0000736	NP_001385920.1	XP_001929587.1
OG0000736	XP_038964321.1, NP_001076805.1	XP_003126469.3
OG0000737	XP_038951733.1, NP_001100838.1	NP_001272900.1, XP_020919657.1
OG0000738	NP_001000500.1	XP_013852356.1
OG0000738	NP_001000085.1	XP_020946446.1
OG0000738	NP_001000912.1, NP_001000995.1, XP_063128596.1	XP_013852348.1
OG0000740	XP_063126553.1, NP_001102605.1	XP_013848019.1, XP_001927918.3, XP_020944014.1
OG0000741	XP_038952172.1	XP_020920965.1
OG0000741	NP_001389128.1, XP_063132782.1, NP_001395657.1, XP_063132401.1, NP_001387530.1	XP_005660237.2
OG0000742	NP_001094206.1	XP_003128496.1
OG0000743	NP_001395695.1, XP_008757521.2	XP_003481874.2
OG0000744	XP_038955830.1, NP_001129349.1	XP_005673822.1
OG0000744	NP_001100864.1	XP_005661821.1
OG0000745	NP_001028239.1	XP_020918813.1, XP_020918814.1, XP_020918815.1, XP_020918811.1, XP_020918812.1
OG0000746	XP_006255694.1, NP_001100901.1	XP_020949430.1, XP_013853624.1, XP_020949429.1, XP_005664395.1, XP_013853625.1
OG0000747	NP_001099383.1, XP_006248986.1	XP_020941629.1, XP_020941630.1, XP_020941626.1, XP_020941627.1, XP_020941628.1
OG0000748	NP_001014248.2	XP_020943773.1
OG0000749	XP_038947740.1, NP_001100674.1	XP_013852858.2
OG0000752	NP_001389010.1	XP_020922662.1
OG0000752	NP_001395571.1, NP_001395588.1	XP_020922669.1, XP_020922668.1
OG0000753	XP_063125492.1, NP_001400222.1, NP_001400223.1	XP_020922690.1
OG0000754	XP_038957260.1, XP_006247250.1, NP_059007.1	XP_005654012.1, XP_003132737.1, NP_001020389.1
OG0000755	NP_620434.2, XP_038960157.1	XP_003359936.1
OG0000755	NP_620433.1	XP_013851547.1
OG0000756	NP_067724.1, XP_006253648.1	XP_020940444.1
OG0000757	XP_006244705.1, NP_001011710.1	XP_003128480.1, XP_005666151.1, NP_001121909.1
OG0000759	XP_017448218.1	XP_020934270.1
OG0000760	XP_006236805.1, NP_001013948.2	XP_005662516.1, NP_001138318.1
OG0000761	NP_036848.1, XP_038957688.1	NP_001121917.1, XP_020944109.1
OG0000762	NP_001000619.1, NP_001000363.1, NP_001382073.1	XP_020936967.1, XP_020936966.1, XP_020936965.1, XP_020936963.1, XP_020936964.1, XP_020941133.1
OG0000763	XP_006240898.1, NP_446454.2	XP_005661397.1
OG0000764	XP_006251771.1	XP_013836873.2
OG0000765	NP_001032275.1, XP_006235300.1	XP_020933195.1, XP_020933193.1, XP_020933194.1
OG0000766	NP_001093958.1, XP_038945054.1	XP_020929921.1
OG0000767	NP_001116253.3, XP_006242416.1	XP_020937375.1
OG0000768	XP_006243177.1, NP_001101619.1	XP_005656336.1, NP_001231117.1
OG0000769	NP_001100583.1, XP_017453507.1	XP_020926547.1, XP_020926546.1, XP_020926549.1, XP_020926541.1, XP_020926542.1, XP_020926551.1, XP_020926543.1, XP_020926550.1, XP_020926544.1, XP_020926548.1, XP_020926545.1
OG0000770	NP_001004077.1	XP_003129421.2
OG0000770	NP_077357.2	NP_001137180.1
OG0000770	XP_008771496.1	XP_013841482.1
OG0000771	XP_038956308.1	XP_020935938.1
OG0000772	NP_783174.1	XP_020930515.1
OG0000772	NP_783189.1, XP_063121734.1, NP_783190.2, NP_783191.1, XP_063121744.1	XP_013843626.2, XP_001926072.2
OG0000775	XP_006247270.1, NP_001129239.1	XP_005668915.1, XP_020922789.1
OG0000776	NP_058879.1	XP_020931007.1, XP_020930939.1
OG0000777	XP_038937932.1, NP_059013.1	XP_005659637.1, NP_001027528.1
OG0000778	XP_006240518.1, NP_071964.2	NP_001335871.1, NP_999560.2
OG0000779	NP_058936.1, XP_006252013.1	NP_999020.2
OG0000779	NP_058935.2, XP_038949147.1	XP_020954892.1
OG0000780	NP_446126.1	NP_001106918.1, XP_020919632.1
OG0000781	NP_001001271.1, NP_001000136.1	XP_020918051.1, XP_013844948.2
OG0000782	NP_570964.4, XP_008762510.1	XP_013854441.2
OG0000783	NP_001020287.1, XP_006251937.1, NP_001025075.2, NP_001013250.1, XP_006251955.1	XP_020953818.1, NP_001161127.1
OG0000784	NP_001033690.1	NP_001001538.1
OG0000785	NP_001000739.1	XP_003129496.1
OG0000785	NP_001000166.1	XP_003129497.1
OG0000786	NP_001000738.1	XP_003129531.1, XP_020917880.1
OG0000786	NP_001000171.1, NP_001000170.1	XP_003129492.1, XP_003129534.4
OG0000787	NP_001001033.1, XP_063141627.1, NP_001000189.1, NP_001001034.1	XP_003129482.1, XP_020958305.1
OG0000788	NP_001000789.1, NP_001000812.1, XP_063121390.1, NP_001000488.1, NP_001000439.1, NP_001000437.1, NP_001001082.1, NP_001000815.1, NP_001000816.1, NP_001000438.1	XP_003130021.2, XP_020958340.1
OG0000789	XP_017447452.1, NP_001000669.1, NP_001000929.1, NP_001000325.1, NP_001000511.1	XP_020937100.1, XP_020937802.1
OG0000790	XP_008770000.1, NP_001000107.2	XP_003128288.2, XP_020937012.1, XP_020937670.1, XP_020937345.1, XP_020938181.1, XP_020937118.1
OG0000791	NP_001387878.1	XP_020950675.1
OG0000791	XP_063126132.1	XP_020941840.1, XP_020941841.1
OG0000792	NP_001020589.1, XP_017451115.3	XP_013834822.2
OG0000792	NP_476481.1	NP_999189.1
OG0000793	XP_006254212.1, NP_976243.2	XP_005668313.1
OG0000794	NP_036631.1	NP_001193359.1
OG0000796	NP_001414516.1, XP_038964720.1	XP_020928032.1, XP_020928035.1, XP_020928033.1, XP_005671044.3
OG0000797	NP_001019528.1, XP_063122027.1	XP_020918390.1, XP_020918389.1, XP_005667348.1
OG0000798	XP_006246568.1	XP_020923664.1
OG0000798	XP_006255207.1, NP_001008366.1	XP_020937145.1
OG0000799	NP_001014282.1, XP_038966389.1	XP_013854819.1, XP_013854818.1, XP_003356504.1, XP_005665465.1
OG0000800	XP_038957098.1	XP_020944034.1
OG0000800	NP_001099763.2, XP_017444478.1	XP_020942158.1
OG0000801	XP_038941167.1, NP_001263416.1	XP_005662150.1
OG0000802	NP_037098.1, XP_038967490.1	NP_999472.1
OG0000803	XP_006245934.1, NP_852142.1	XP_005662275.1
OG0000804	NP_001007638.1, XP_006232666.1	XP_005663313.1, NP_001231377.1, NP_001231376.1
OG0000805	NP_001015020.1	XP_005665353.1, NP_001231218.1, NP_001231217.1, NP_001231219.1
OG0000806	NP_001103071.1	XP_020955682.1
OG0000807	NP_001414698.1	XP_020922898.1
OG0000807	XP_017453182.1	XP_020922899.1
OG0000808	XP_038965389.1, NP_001100128.1	XP_020921765.1, XP_020921771.1, XP_020921777.1
OG0000810	NP_062240.1, XP_006256079.2	NP_001116639.1, XP_005665878.1
OG0000811	NP_997623.1	NP_001028180.1
OG0000812	XP_063117355.1, XP_063132040.1, XP_038966957.2, NP_001008314.2, XP_006236546.1	XP_003360239.3, XP_020955569.1
OG0000813	NP_001094178.1, XP_017448100.1	XP_020934652.1
OG0000814	NP_001101428.2, XP_063143802.1	XP_005656227.1
OG0000815	XP_006238777.1, NP_113885.1	XP_020949123.1, NP_998924.1
OG0000816	XP_038964349.1, NP_112278.2	NP_999426.1, XP_020934172.1
OG0000817	XP_063143009.1, XP_063142728.1, NP_071787.1	NP_001231450.1
OG0000817	XP_038946347.1, NP_835192.1	NP_001123440.1, XP_020930217.1
OG0000818	XP_006240041.1, NP_001100189.1	XP_020943530.1
OG0000820	NP_001020151.1, XP_008759505.1	XP_020945597.1, XP_020945596.1, XP_020945594.1, XP_020945595.1
OG0000821	XP_006234631.1, NP_001386422.1, NP_001101219.1, NP_001386423.1	XP_013849838.1
OG0000822	XP_006230955.1, NP_071784.1	XP_020938302.1, XP_020938301.1, XP_020938303.1
OG0000823	NP_001009707.1, XP_006232368.1	XP_020957253.1, XP_003129241.2, XP_020957252.1, XP_020957254.1, XP_003129240.2
OG0000825	XP_038957086.1, XP_038957087.1, NP_001019432.1, XP_063142154.1	XP_020924929.1, XP_020924926.1, XP_020924931.1, XP_020924930.1, XP_020924932.1, XP_020924927.1, XP_020924928.1
OG0000826	NP_445864.2, XP_008764212.1	XP_020939452.1
OG0000827	XP_006229808.1, NP_001163905.1	XP_020918209.1, XP_013834616.1, XP_003129719.1, XP_013834615.1, XP_013834617.1
OG0000828	XP_038936646.1, NP_511176.2	XP_020924155.1, NP_001243702.1
OG0000829	NP_001128234.1, XP_008764990.1	XP_020925345.1
OG0000830	XP_038960625.1, NP_942039.1	XP_020933261.1
OG0000831	XP_006232400.1, NP_001382528.1, NP_001032288.1, NP_001395787.1	XP_001926564.3
OG0000832	XP_006232421.1, NP_001011949.1	XP_013835904.1, XP_005668396.1, XP_005668398.1, XP_020921228.1
OG0000833	NP_001026829.2, XP_008765474.1	XP_020930716.1
OG0000834	NP_001102535.2	XP_001928322.2
OG0000835	XP_008768481.1, NP_001013067.2	NP_001231289.1
OG0000836	XP_006231336.1, NP_001099845.2	XP_020928761.1
OG0000836	XP_063137732.1, NP_001381988.1	XP_020957352.1
OG0000837	NP_542146.1	XP_020947993.1, XP_020947992.1, XP_020947990.1, XP_020947989.1, XP_020947994.1, XP_020947991.1
OG0000838	XP_063142801.1, NP_110465.1, XP_063142689.1, NP_058807.1, XP_063142836.1, NP_570092.1, XP_063142798.1, NP_110464.2, NP_571981.1	NP_001243524.1, XP_020946807.1
OG0000839	XP_038949085.1, NP_446059.2	NP_001182250.1, XP_013845942.1
OG0000840	NP_001124472.1, XP_006248084.1	XP_020926608.1, XP_013845652.1, XP_005657210.1, XP_005657209.1, XP_003132806.1
OG0000841	NP_001099346.1, XP_038944837.1, NP_001099347.1, NP_001004129.1, NP_001009177.1, XP_038944838.1, XP_006248477.2, NP_001395711.1, NP_001395794.1, XP_001070063.1	NP_999024.1, NP_999025.1
OG0000842	NP_001102587.1, XP_017456133.1	XP_013832891.1, XP_005665641.1, XP_005665645.1
OG0000843	NP_001386305.1	XP_020931920.1, XP_003133593.2, XP_020931921.1
OG0000844	XP_038940151.1, NP_001103044.1	XP_020931937.1, XP_005672233.2
OG0000845	NP_001019539.1	XP_020936404.1
OG0000846	NP_001012359.1, NP_001006993.2, NP_001398935.1	XP_020954026.1, NP_001038038.1
OG0000848	XP_006236498.1, NP_001102701.1, NP_001382008.1	XP_020934771.1
OG0000849	NP_001167028.1, XP_017449723.1	XP_020955741.1
OG0000853	NP_058781.2	XP_020939116.1, NP_999595.1, NP_999594.1, NP_999596.1, XP_020939132.1
OG0000854	XP_008768278.1, NP_071958.1	XP_005656568.1
OG0000854	NP_068537.2, XP_038948296.1	XP_020956461.1
OG0000856	NP_899157.2, XP_008761044.1	XP_020934253.1
OG0000858	NP_001000285.1, NP_001001123.1, XP_063139353.1, NP_001000286.1, NP_001001050.1, NP_001001049.1	XP_003122819.2, XP_003122820.2
OG0000859	NP_001000419.1, XP_063119231.1	XP_020941157.1, XP_003123489.2, XP_020940760.1, XP_003123458.1, XP_003480814.1
OG0000860	NP_001000111.1, NP_001000112.1	XP_003356139.1, XP_003356143.3, XP_003356145.1
OG0000862	NP_001127897.1, XP_006227704.1	XP_020928105.1
OG0000863	NP_001385814.1	XP_005654122.3
OG0000863	XP_038944637.1	XP_003358870.1
OG0000864	NP_001406684.1	XP_020938079.1
OG0000866	NP_001291745.1, XP_017444130.1	XP_020950793.1
OG0000867	NP_001020206.1, XP_038951957.1	XP_020920567.1, XP_020920569.1, XP_020920568.1
OG0000868	NP_001128467.1, XP_063133660.1	XP_013850710.1, NP_001231022.1
OG0000868	NP_001099475.1, XP_006251098.1	XP_003128996.1
OG0000869	XP_038955055.1, NP_445860.3	XP_005671106.1, XP_001928672.1
OG0000870	XP_006246812.1, NP_001008362.1	XP_020932617.1, XP_020923423.1
OG0000871	NP_001192247.2	XP_003133167.1, XP_020931904.1
OG0000872	XP_063137834.1, NP_001401966.1	XP_020925475.1
OG0000873	NP_058843.1	NP_001004043.1
OG0000873	XP_006240166.1, NP_001102452.2	NP_001020386.1, XP_005656356.1
OG0000874	NP_001096827.1, XP_017454124.1	XP_020919550.1, XP_020919549.1, XP_020919551.1, XP_020919548.1, XP_020919547.1, XP_020919546.1, XP_020919545.1
OG0000875	NP_001385859.1, XP_038969219.1	XP_001926982.1, XP_020955063.1, XP_020955064.1, XP_013833757.1
OG0000876	NP_001013188.2, XP_038968331.1	XP_005656526.1, XP_013844693.1, XP_003128776.3
OG0000877	XP_017453195.1	XP_020922665.1
OG0000878	XP_006247975.1, NP_071781.1	XP_020922080.1
OG0000879	NP_891998.1, NP_001264161.1, XP_006234162.1	XP_020924232.1, XP_020924237.1, XP_013849310.1, XP_003122211.3, XP_005660481.1, XP_020924235.1, XP_020924228.1, XP_020924229.1
OG0000880	XP_038955096.1, XP_038955097.1, XP_063135261.1, NP_788269.1, NP_001128019.1, NP_001389006.1, XP_038955080.1, NP_001389011.1	XP_003121417.1
OG0000881	NP_001094283.1, XP_006236114.1	NP_001153551.1, XP_005667633.1
OG0000882	XP_006236154.1, NP_110471.2	XP_020958083.1
OG0000883	XP_038935919.1, NP_478115.1	NP_001090930.1, XP_005664315.1
OG0000884	XP_063119100.1, NP_037173.1	XP_003126725.4
OG0000885	XP_344707.1, XP_006233045.1, NP_001274045.1, NP_001119566.1	XP_013843546.1, XP_005655454.1, XP_003355249.1, XP_005655453.1, XP_003355248.1
OG0000886	NP_001127900.1, NP_001127901.1	XP_003122628.1
OG0000887	XP_038962947.1, NP_058714.2	XP_005669848.1
OG0000888	NP_077052.1, XP_017450559.1	XP_020939840.1, XP_020939838.1, XP_020939837.1, XP_020939839.1
OG0000889	XP_063125450.1, NP_001382794.1	XP_020938972.1
OG0000891	NP_596904.1	NP_999295.2
OG0000892	NP_001020805.2, NP_001296987.1, XP_006252574.1	XP_003131117.2
OG0000893	NP_001100441.1	XP_005673628.1
OG0000893	NP_001013146.2, XP_006251361.1	XP_001929372.1, XP_013838525.1, XP_005670906.1, XP_020928612.1, XP_003359201.1
OG0000895	NP_001094026.1, XP_008766953.1	XP_020925963.1, XP_020925962.1
OG0000896	NP_001012029.1	XP_020946472.1
OG0000897	NP_001396047.1, NP_001395849.1	XP_003360303.2, XP_020936274.1, XP_013841503.1, XP_003484147.1
OG0000901	NP_001395943.1, NP_001035004.2	XP_020919421.1
OG0000902	XP_038965773.1, NP_001003929.2	XP_020920335.1, XP_003482852.1, XP_003130720.2
OG0000904	NP_001303263.1, NP_036727.1, NP_001303262.1	XP_013843801.1, NP_001106758.1
OG0000905	NP_001025085.1	XP_020949658.1, XP_020949660.1
OG0000905	NP_620811.1, XP_038953401.1	XP_020949663.1
OG0000906	NP_001000066.1, NP_001001371.1, NP_001001381.1, NP_001001366.1	XP_005658026.2, XP_020947422.1, XP_001927161.3, XP_001926105.3, XP_020947424.1, XP_020937771.1, XP_020937773.1
OG0000908	XP_017450976.1, NP_062017.2	NP_999374.1, XP_020936917.1
OG0000909	NP_001386911.1, XP_063127157.1	XP_020920821.1, NP_001012631.1
OG0000910	XP_038944618.1	XP_013838012.2
OG0000911	XP_006257305.1, NP_001019538.1	XP_005658278.3
OG0000913	NP_001000684.1	XP_003124192.2
OG0000914	NP_001295465.1, XP_038959731.1	XP_020952967.1
OG0000914	XP_006246631.1, NP_446201.1	XP_020921847.1, NP_999084.2
OG0000915	XP_063129954.1, XP_063122486.1, XP_038943142.1, NP_598228.1	XP_020929150.1
OG0000916	XP_038969029.1	XP_020942078.1
OG0000916	NP_001119560.1	XP_003480269.1
OG0000917	NP_598245.1, XP_063130166.1	XP_013839807.1, NP_001231793.1
OG0000917	NP_001102835.1	XP_020935718.1
OG0000920	NP_001041345.1, XP_038950517.1	NP_001230839.1, XP_013835922.1
OG0000921	XP_038953925.1, NP_001094415.1	XP_020949565.1, XP_020949566.1
OG0000922	NP_114004.1	XP_003360284.1
OG0000922	NP_001101382.1	XP_013854580.1
OG0000923	NP_001014207.2	NP_001070685.1
OG0000923	NP_001102155.1	NP_001070684.1
OG0000924	NP_001078944.1	XP_003482658.1
OG0000924	XP_006239367.1	NP_998958.1
OG0000925	NP_001102644.1	XP_020940157.1, XP_020940156.1, XP_005661579.1, XP_005661578.1, XP_013850404.1, XP_005661580.1
OG0000926	NP_058991.2, XP_017444562.1	XP_003121696.1
OG0000927	NP_476555.1, XP_008757714.1	XP_020955032.1, XP_001926800.5, XP_020955034.1, XP_020955033.1
OG0000928	NP_110500.2	XP_003358655.1
OG0000928	NP_071956.2	NP_001231345.1
OG0000930	NP_001008363.1, XP_063127515.1	XP_005661924.2
OG0000931	NP_001264002.1, NP_077363.1, XP_006245889.1	NP_001231341.1, XP_013851126.1
OG0000932	NP_001009701.1, XP_038942209.1	XP_005655179.1, XP_020942593.1, XP_020942594.1, XP_013843194.1, XP_020942595.1, XP_005655176.1, XP_005655178.1, XP_013843193.1, XP_020942592.1, XP_020942591.1, XP_003481139.1, XP_005655180.1
OG0000933	XP_038957970.1, NP_001099916.1	XP_020945406.1, XP_020945409.1, XP_020945412.1, XP_020945407.1, XP_020945405.1, XP_020945404.1, XP_020945411.1, XP_020945408.1, XP_020945410.1
OG0000934	NP_001101511.1, XP_038968231.1, NP_001073177.1, NP_620262.2, XP_006240382.1, NP_112605.1	XP_020955153.1
OG0000935	XP_006240711.1, NP_001414349.1	XP_013852773.1
OG0000936	XP_006247393.1, NP_001026821.1	XP_020922545.1
OG0000937	NP_001100512.1, XP_017452803.1	XP_020922768.1
OG0000938	NP_001119763.1	XP_005672767.2, XP_001926484.2
OG0000939	NP_001012094.1, XP_006234035.1	XP_020924639.1
OG0000940	XP_006242025.1, NP_446322.2	XP_020947149.1, XP_020947150.1, XP_003126071.1
OG0000941	NP_001101342.2, XP_008761293.1, NP_001406416.1	NP_001230747.1, XP_020941298.1
OG0000943	XP_038954556.1, NP_058990.1	XP_020954267.1, XP_020954268.1, XP_020954269.1
OG0000945	NP_001257985.1, XP_006241716.1	XP_020944632.1, XP_020944638.1, XP_020944633.1, XP_020944637.1, XP_020944636.1, XP_020944635.1, XP_020944634.1
OG0000946	NP_001385651.1	XP_005662909.1, XP_005662907.1, XP_005662908.1
OG0000947	NP_001030173.1, XP_063144409.1	XP_020952396.1, XP_020952398.1
OG0000948	XP_038964271.1, NP_001128466.1	XP_020919249.1
OG0000949	NP_001030298.1	XP_020943323.1
