Orthogroup	Rattus_norvegicus	Canis_lupus_familiaris
OG0003661	XP_063142375.1, NP_001102112.1	NP_001193864.1
OG0003662	NP_997687.1, XP_006240306.1	NP_001207410.1
OG0003663	XP_008764393.1, NP_071288.1	NP_001239265.1
OG0003664	XP_006250271.1, NP_001178523.1, XP_063129884.1	NP_001239339.1
OG0003665	NP_612528.2, XP_006230071.1	NP_001271404.1
OG0003666	NP_113747.2, XP_017444326.1	NP_001273789.1, XP_038445229.1
OG0003667	NP_001014038.1, XP_006228488.1	NP_001273909.1
OG0003669	XP_038943830.1	XP_038399995.1, XP_038399996.1, XP_038445313.1
OG0003669	NP_446289.1	NP_001274033.1
OG0003670	NP_036805.1, XP_017450965.1	NP_001274058.1
OG0003671	NP_036958.2, XP_006249065.1	NP_001274074.1
OG0003672	XP_063128878.1, NP_073206.2	NP_001274075.1
OG0003673	XP_038946299.1, NP_036855.3	NP_001274081.1
OG0003674	NP_001127968.2, XP_006250426.1	NP_001274088.1
OG0003675	NP_001291197.1	NP_001291210.1
OG0003676	NP_062156.2	NP_001301049.2
OG0003677	XP_006232654.1, NP_036750.1	NP_001349526.2
OG0003678	NP_001000102.2, XP_006251984.1, NP_001000101.1	NP_001375488.1
OG0003679	XP_063121407.1, NP_001000516.1	NP_001375611.1, NP_001375610.1
OG0003680	NP_001396070.1, XP_006229984.1	NP_001375778.1
OG0003681	NP_001000301.1, XP_063139355.1	NP_001375815.1
OG0003682	NP_001001063.1, XP_038961568.1	NP_001375839.1
OG0003683	NP_001000207.1, NP_001001035.1	NP_001375854.1
OG0003684	NP_001000466.1, XP_038936955.1, NP_001000467.1, XP_063121151.1, NP_001000794.1	NP_001376027.1
OG0003685	NP_446148.1, XP_006256756.1	XP_038443289.1
OG0003686	XP_006229046.1, NP_001099721.1	XP_038381468.1, XP_038381466.1
OG0003687	NP_001402813.1, XP_017444633.2	XP_038384276.1
OG0003688	XP_063136752.1	XP_038384954.1
OG0003689	XP_006254998.1	XP_038381501.1
OG0003690	NP_001385595.1, NP_001385594.1, XP_006255014.1	XP_038381634.1
OG0003691	XP_006249670.1, NP_001292210.1	XP_038381758.1, XP_038381757.1
OG0003692	NP_001009448.1, XP_017454332.1	XP_038381759.1
OG0003693	XP_006249691.1, NP_569088.2	XP_038381773.1, XP_038381772.1, XP_038381775.1, XP_038381774.1
OG0003694	NP_001101904.1, XP_006254912.1	XP_038381855.1
OG0003696	XP_038966553.1, NP_001100930.1	XP_038382257.1, XP_038382256.1
OG0003697	NP_001296378.1, XP_003748743.1	XP_038382385.1, XP_038382384.1
OG0003698	NP_001013163.1, XP_008756977.1	XP_038382471.1, XP_038382470.1, XP_038382472.1
OG0003699	XP_063136953.1	XP_038382510.1, XP_038382512.1, XP_038382511.1, XP_038382507.1, XP_038382504.1, XP_038382509.1, XP_038382505.1, XP_038382506.1, XP_038382508.1, XP_038382503.1, XP_038382502.1
OG0003700	NP_113964.2	XP_038383009.1
OG0003701	NP_001094042.1, XP_006253768.1	XP_038383322.1
OG0003702	XP_006228173.1, NP_001019946.1	XP_038383415.1
OG0003703	NP_001012190.1, XP_008761848.1	XP_038408571.1
OG0003704	NP_001128081.2, XP_006228261.1	XP_038383548.1
OG0003705	XP_063122334.1, NP_001008368.1, NP_001396071.1	XP_038383672.1
OG0003706	NP_001100945.1	XP_038383741.1
OG0003707	NP_001414767.1, XP_038953207.1	XP_038383763.1
OG0003708	XP_006228279.1, NP_001101939.1	XP_038383825.1
OG0003709	NP_001119749.1, XP_008757609.1	XP_038384310.1
OG0003710	NP_612529.2, XP_006228441.1	XP_038384513.1
OG0003711	NP_001100957.1	XP_038384569.1
OG0003712	NP_001019429.1, XP_038967305.1	XP_038384683.1
OG0003713	NP_001258193.1, XP_017444845.2	XP_038445119.1, XP_038385419.1
OG0003715	XP_232777.5	XP_038385516.1
OG0003717	NP_445991.2	XP_038386152.1
OG0003718	NP_001003401.1, XP_063137562.1	XP_038386777.1
OG0003719	NP_001020170.1	XP_038386996.1
OG0003720	XP_038966727.1, NP_001240847.1	XP_038387509.1, XP_038387508.1
OG0003721	NP_112632.1, XP_063144548.1	XP_038387554.1
OG0003722	NP_783193.2, XP_063143920.1	XP_038387568.1
OG0003723	NP_511172.1, XP_038938807.1, XP_038948515.1	XP_038388345.1
OG0003724	NP_001099872.1	XP_038388411.1
OG0003725	NP_001388303.1	XP_038388617.1
OG0003726	NP_001099745.1	XP_038388742.1, XP_038388741.1
OG0003727	XP_008757721.1, NP_001295074.1	XP_038388763.1
OG0003728	XP_063121270.1	XP_038388963.1
OG0003729	NP_001009264.1	XP_038389000.1, XP_038389001.1
OG0003730	XP_006251324.1, NP_001100698.1	XP_038389216.1
OG0003732	XP_006251057.1, NP_001099212.1	XP_038389419.1
OG0003733	XP_006253714.1, NP_001102586.1	XP_038389665.1
OG0003734	NP_001008518.1, NP_001382605.1, XP_063136583.1	XP_038389687.1
OG0003735	XP_063132689.1, NP_001012161.1	XP_038389784.1, XP_038389785.1, XP_038389783.1
OG0003737	NP_001178648.3, XP_006256421.2	XP_038389986.1
OG0003738	XP_038954707.1, NP_853670.2	XP_038390182.1, XP_038390181.1, XP_038390180.1
OG0003739	XP_017455221.1, NP_001101838.1	XP_038390363.1
OG0003740	NP_112286.1, XP_063132841.1	XP_038390554.1
OG0003741	XP_063132414.1, NP_001386251.1	XP_038390598.1
OG0003742	XP_038942862.1, NP_112291.1	XP_038390704.1
OG0003743	NP_001099248.1	XP_038390810.1, XP_038390811.1
OG0003744	NP_075243.1, XP_038942729.1	XP_038390902.1
OG0003745	NP_001000480.1, XP_038936956.1	XP_038391496.1
OG0003746	XP_017450901.1	XP_038391535.1
OG0003747	NP_001020831.1, XP_006242862.1	XP_038391664.1, XP_038391665.1
OG0003748	NP_001012123.1	XP_038391849.1
OG0003749	XP_002729961.3	XP_038391869.1, XP_038391870.1
OG0003750	NP_001102998.1, XP_006243021.1	XP_038391912.1
OG0003751	NP_001264193.1, NP_542143.1, XP_063120870.1	XP_038391983.1
OG0003752	XP_008764560.1, NP_001178035.1	XP_038392077.1
OG0003753	XP_006246789.1, NP_001034107.1	XP_038392347.1, XP_038392346.1
OG0003754	XP_006246661.1, NP_037081.2	XP_038392465.1
OG0003755	NP_001025194.1, XP_063124696.1	XP_038392825.1
OG0003756	NP_058903.2, XP_063124885.1, NP_001257727.1, NP_001257726.1	XP_038392923.1
OG0003757	XP_008762107.1, NP_001178795.1	XP_038393217.1
OG0003758	XP_006238472.1, NP_001013954.2	XP_038393299.1
OG0003759	NP_001414383.1, XP_006238632.1	XP_038393420.1
OG0003760	XP_038965121.1, NP_569096.2	XP_038393505.1, XP_038393504.1, XP_038393502.1, XP_038393503.1
OG0003761	XP_006239534.1, NP_001020944.1	XP_038393779.1
OG0003762	NP_001100168.1, XP_006239521.1	XP_038393816.1
OG0003763	XP_574249.5	XP_038393966.1
OG0003764	XP_038953707.1, NP_001100906.1	XP_038394057.1
OG0003765	NP_001070669.1	XP_038394940.1
OG0003766	NP_001099388.1	XP_038395174.1, XP_038395173.1, XP_038395175.1, XP_038395172.1
OG0003767	XP_038945624.1, NP_001020931.1	XP_038395269.1
OG0003768	XP_038945641.1, NP_062162.1	XP_038395345.1
OG0003769	XP_006248925.1, NP_001032425.1	XP_038395403.1
OG0003770	NP_001100591.1, XP_008767187.1	XP_038395424.1, XP_038395425.1
OG0003771	NP_596884.1	XP_038395548.1
OG0003772	XP_006230253.1, NP_955437.2	XP_038395937.1
OG0003773	XP_006230219.1, NP_037079.1	XP_038396004.1
OG0003774	XP_006245960.1, NP_570836.1	XP_038396623.1
OG0003775	XP_038941277.1, NP_001099239.1	XP_038396624.1
OG0003776	NP_001385581.1, XP_063124994.1	XP_038396754.1
OG0003777	NP_001101822.1, XP_017454768.1	XP_038397324.1, XP_038397323.1
OG0003778	XP_006250604.1, NP_001032256.1	XP_038397367.1
OG0003779	XP_038942639.1, NP_001011560.2	XP_038397643.1
OG0003780	NP_001414763.1	XP_038397686.1
OG0003781	NP_446133.1, XP_006232620.1	XP_038397711.1
OG0003782	NP_001264529.1	XP_038397720.1, XP_038409277.1, XP_038414379.1
OG0003783	NP_058844.1	XP_038397835.1
OG0003784	NP_878262.1, XP_063128062.1	XP_038397960.1
OG0003785	XP_017454326.1, NP_001388293.1	XP_038398065.1
OG0003786	NP_001382059.1, XP_006250109.1	XP_038398296.1
OG0003787	NP_001099447.1	XP_038416340.1
OG0003788	NP_001102417.1, XP_038958687.1	XP_038398964.1
OG0003789	NP_001011950.2, XP_063137679.1	XP_038399011.1
OG0003790	NP_001414034.1, XP_038953146.1	XP_038399447.1
OG0003791	XP_006240415.1, NP_001102955.1	XP_038399976.1, XP_038399977.1
OG0003792	NP_001178571.1, XP_006246515.1	XP_038400021.1
OG0003793	NP_001028237.2	XP_038400055.1, XP_038400057.1, XP_038400056.1, XP_038400058.1
OG0003794	NP_001101844.1, XP_038949403.1	XP_038400740.1
OG0003795	NP_071629.2, XP_006240509.1	XP_038401473.1
OG0003796	XP_006240571.1, NP_001278288.1	XP_038401532.1
OG0003797	NP_001015035.1, XP_038942442.1	XP_038402114.1
OG0003798	XP_038943459.1, NP_001385736.1	XP_038402294.1
OG0003799	NP_001101779.1, XP_017452901.1	XP_038402430.1, XP_038402429.1
OG0003800	NP_001014144.1, XP_006247785.1	XP_038402560.1, XP_038402562.1, XP_038402561.1
OG0003801	NP_001178520.2, XP_006247740.2	XP_038402619.1
OG0003802	NP_001013994.1, XP_038942051.1	XP_038402885.1
OG0003803	NP_001139314.1, NP_058809.2, XP_008766203.1	XP_038403033.1, XP_038403034.1
OG0003804	XP_006247416.1, NP_001101768.1	XP_038403310.1
OG0003805	XP_038943790.1	XP_038403539.1
OG0003806	NP_001013993.1, XP_063125168.1	XP_038403774.1
OG0003807	NP_001385733.1, XP_063125472.1	XP_038403899.1, XP_038403898.1
OG0003808	NP_775449.2, XP_038941256.1	XP_038404269.1
OG0003809	XP_006246964.1, NP_001099288.1	XP_038404279.1
OG0003810	NP_001178753.1, XP_006246824.1	XP_038404468.1, XP_038404469.1, XP_038404467.1, XP_038404466.1
OG0003811	XP_063140410.1, NP_001102666.1	XP_038404613.1, XP_038404614.1
OG0003812	NP_001071147.1	XP_038404754.1, XP_038404751.1, XP_038404755.1, XP_038404752.1, XP_038404753.1
OG0003813	XP_038962085.1, NP_001414326.1	XP_038404888.1
OG0003814	XP_006234054.1, NP_072118.2, XP_017447813.1	XP_038405132.1
OG0003815	XP_063140566.1, NP_071583.1	XP_038405380.1, XP_038405379.1, XP_038405378.1
OG0003816	NP_001008355.1, XP_038961194.1	XP_038405383.1
OG0003817	NP_001101308.1	XP_038405384.1
OG0003818	XP_006241504.1, NP_001178839.1	XP_038405700.1
OG0003819	XP_038934269.1, NP_598210.1	XP_038405943.1
OG0003820	NP_631963.1, XP_006241389.1	XP_038405954.1
OG0003821	NP_001388098.1, NP_001388097.1, XP_063120013.1	XP_038406139.1
OG0003822	XP_006242059.1	XP_038406538.1
OG0003823	NP_001092308.1	XP_038406950.1
OG0003824	NP_620274.1, XP_006244798.1	XP_038407004.1, XP_038407005.1, XP_038407006.1
OG0003825	NP_001121009.1, XP_038948002.1	XP_038407330.1
OG0003826	XP_006242091.2, NP_001124045.1	XP_038407500.1
OG0003827	XP_063126030.1	XP_038407742.1
OG0003828	XP_038952766.1, NP_001100857.2	XP_038407808.1
OG0003829	NP_001034098.1, XP_008761988.1	XP_038408343.1
OG0003830	NP_001007002.1, XP_017448856.1	XP_038408493.1, XP_038408492.1, XP_038408491.1
OG0003831	NP_001385889.1	XP_038408803.1
OG0003832	NP_001102133.1, XP_006238146.3	XP_038408830.1, XP_038408829.1
OG0003833	NP_113816.1, XP_038966619.1	XP_038408857.1, XP_038408858.1, XP_038408856.1, XP_038408859.1
OG0003834	XP_017448631.1, NP_620218.1	XP_038409032.1, XP_038409033.1
OG0003835	XP_038965150.1, NP_598284.1	XP_038409229.1
OG0003836	XP_038940385.1	XP_038409251.1
OG0003837	NP_001386280.1	XP_038409265.1
OG0003838	NP_998727.1, XP_063135447.1	XP_038409329.1
OG0003839	XP_063135452.1, NP_001399066.1	XP_038409475.1
OG0003840	NP_001103000.1	XP_038409722.1, XP_038409723.1, XP_038409721.1
OG0003841	NP_001041372.1	XP_038409812.1
OG0003842	NP_445979.1	XP_038410140.1
OG0003843	NP_001100310.1, XP_063121254.1	XP_038410245.1
OG0003844	XP_006244726.1	XP_038410376.1
OG0003845	NP_001406459.1, XP_006228032.1, NP_001096826.1	XP_038410951.1
OG0003846	NP_001012116.1, XP_038935140.1	XP_038411125.1
OG0003847	NP_037179.1, XP_063119101.1	XP_038411271.1, XP_038411270.1
OG0003849	NP_001411401.1, XP_063119336.1	XP_038445044.1, XP_038411641.1, XP_038411628.1, XP_038445042.1
OG0003850	XP_063119663.1, NP_001014107.1	XP_038411727.1
OG0003851	XP_063129722.1, NP_001162608.1	XP_038412121.1
OG0003853	XP_063142308.1	XP_038412530.1
OG0003854	XP_038964489.1, NP_001414386.1	XP_038412633.1
OG0003855	XP_006236131.1, NP_445951.1	XP_038412694.1
OG0003856	NP_001107212.1, NP_072138.2, XP_063134422.1, XP_038954020.1, XP_063134503.1, XP_063134595.1, XP_038938015.1	XP_038413256.1
OG0003857	XP_006242789.1, NP_001014110.1	XP_038413261.1
OG0003858	XP_038956436.1	XP_038413325.1
OG0003859	NP_001000970.1, NP_001000835.1, NP_001000837.1, NP_001000836.1, XP_063130580.1	XP_038413526.1
OG0003860	NP_001034099.2	XP_038413599.1
OG0003861	XP_006238663.1	XP_038417527.1, XP_038414038.1
OG0003862	XP_006238729.1, NP_001101435.1	XP_038414255.1
OG0003863	NP_058954.1, XP_063136452.1, XP_063136453.1, XP_038956261.1, NP_001073365.1, XP_006257542.1	XP_038414563.1
OG0003864	NP_001387882.1	XP_038414737.1
OG0003865	XP_006255469.1, NP_001101916.1	XP_038414822.1, XP_038414821.1
OG0003866	NP_001386353.1	XP_038415074.1, XP_038415075.1
OG0003867	XP_063122293.1, NP_445806.3	XP_038415128.1, XP_038423275.1
OG0003868	NP_001128451.1, XP_006236463.1	XP_038415184.1
OG0003869	XP_063141469.1	XP_038415220.1
OG0003870	NP_955425.2, XP_006235985.1, NP_001258248.1	XP_038415703.1
OG0003871	NP_001178702.1, XP_006240750.1	XP_038415781.1
OG0003872	NP_001013905.1, XP_038950322.1	XP_038416066.1
OG0003873	NP_001004096.1	XP_038416537.1, XP_038417856.1
OG0003874	NP_001012080.1	XP_038416546.1
OG0003875	NP_001386055.1, XP_006239930.1	XP_038416825.1
OG0003876	XP_006239909.1, NP_570135.2	XP_038416864.1, XP_038416865.1
OG0003877	NP_001178835.1	XP_038417241.1, XP_038417242.1, XP_038417240.1
OG0003878	NP_001100174.1	XP_038417279.1
OG0003879	NP_001099979.1, XP_038960502.1	XP_038417407.1
OG0003880	NP_001414146.1, NP_001414147.1	XP_038417451.1
OG0003881	NP_001376169.1	XP_038417458.1
OG0003882	XP_038963530.1, NP_001101341.1	XP_038417676.1
OG0003883	XP_038958948.1, NP_071527.1	XP_038417754.1
OG0003884	XP_006233116.1, NP_001103054.1	XP_038417787.1, XP_038417788.1, XP_038417786.1
OG0003885	XP_038958312.1, NP_001401985.1, NP_001012081.1	XP_038417916.1
OG0003886	NP_036912.3	XP_038418079.1
OG0003887	XP_006232932.1, NP_001014060.2	XP_038418197.1
OG0003888	NP_001000558.1	XP_038418340.1
OG0003889	XP_006234956.1, NP_446302.2	XP_038418557.1
OG0003890	NP_001381957.1, XP_008760871.1	XP_038418717.1
OG0003891	NP_001100048.1, XP_008760867.1	XP_038418762.1, XP_038418764.1, XP_038418763.1
OG0003892	NP_037051.2, XP_063141674.1	XP_038418765.1
OG0003893	XP_006234717.1, NP_001102673.1	XP_038419012.1
OG0003895	XP_017444724.1, NP_001101034.1	XP_038419578.1
OG0003896	NP_001101982.1, XP_038939567.1	XP_038419631.1
OG0003897	XP_038947967.1, NP_620190.1	XP_038419711.1
OG0003898	XP_038962558.1, NP_446200.1, XP_006230695.1	XP_038419750.1
OG0003899	NP_001108514.2, XP_008758398.1, XP_038953989.2	XP_038419915.1
OG0003900	XP_006231040.1, NP_058920.1	XP_038420142.1
OG0003901	XP_063137443.1, NP_542951.1	XP_038420145.1
OG0003902	NP_001004223.1	XP_038420218.1
OG0003903	XP_006231108.1, NP_942072.2	XP_038420334.1
OG0003904	XP_038940190.1, NP_001007737.1	XP_038420363.1
OG0003905	XP_006255364.1, NP_001102976.1	XP_038420505.1, XP_038420506.1
OG0003906	NP_001007728.1, XP_063128507.1	XP_038420964.1
OG0003907	NP_001127919.1, XP_017447114.1	XP_038421029.1
OG0003908	NP_001102821.1	XP_038435147.1, XP_038421186.1
OG0003909	NP_001102754.1, XP_017450534.1	XP_038421325.1
OG0003910	XP_006236944.1, NP_445988.2	XP_038421363.1, XP_038421362.1
OG0003911	XP_063141749.1	XP_038421389.1
OG0003912	XP_017447969.1, NP_254277.1	XP_038421407.1
OG0003913	NP_001019502.1	XP_038421417.1
OG0003914	NP_001399833.1	XP_038421533.1, XP_038421532.1
OG0003915	NP_446331.1, XP_017447884.1	XP_038421739.1
OG0003916	XP_006251825.1, NP_001100723.1	XP_038421961.1
OG0003917	NP_001414283.1, XP_006252737.1	XP_038422048.1
OG0003918	XP_008764721.1, NP_001009670.1	XP_038422201.1
OG0003919	NP_001121062.1	XP_038422700.1
OG0003920	XP_017455703.2, NP_001094378.1	XP_038422828.1
OG0003921	NP_001006966.1	XP_038422849.1
OG0003922	NP_001006965.1	XP_038422852.1, XP_038422851.1
OG0003923	XP_038945834.1, XP_017453960.1, XP_008767240.1, XP_038945832.1, XP_038945833.1, XP_063127904.1	XP_038423401.1
OG0003924	XP_008763424.1, NP_001102459.1	XP_038423420.1
OG0003925	XP_063119259.1, NP_001100241.1	XP_038423682.1
OG0003926	NP_445976.1, XP_008757865.1	XP_038424277.1
OG0003927	NP_001098680.1, XP_006230109.1, NP_001098681.1	XP_038424959.1
OG0003928	NP_001013452.1	XP_038425039.1
OG0003929	XP_008757882.1, NP_542959.1	XP_038425044.1, XP_038425045.1
OG0003930	XP_006229284.1	XP_038425113.1
OG0003931	XP_008769127.1	XP_038425461.1
OG0003932	XP_038949632.1, NP_445972.2	XP_038425595.1
OG0003933	NP_001012046.1, XP_063130412.1, NP_001380765.1	XP_038425785.1
OG0003934	NP_001102856.1, XP_038949573.1	XP_038425868.1
OG0003935	XP_038939195.1, NP_001382563.1	XP_038425928.1
OG0003936	NP_001258001.1, XP_006253540.1	XP_038425962.1, XP_038425961.1
OG0003937	XP_038950529.1, NP_001033680.1	XP_038425982.1, XP_038437147.1
OG0003939	XP_063123421.1, NP_001386273.1, NP_001386274.1	XP_038426657.1, XP_038426656.1, XP_038426655.1, XP_038426658.1
OG0003940	XP_063122217.1, NP_001386314.1	XP_038426796.1
OG0003941	XP_008764812.2, NP_001386202.1	XP_038426797.1
OG0003942	NP_113905.1, XP_006243742.1	XP_038426859.1
OG0003943	XP_038954017.1, XP_008764799.1, NP_001414658.1	XP_038426985.1
OG0003944	NP_001007711.1, XP_006243653.1	XP_038426992.1
OG0003945	NP_001382050.1	XP_038427309.1
OG0003945	XP_038962020.1	XP_038427308.1
OG0003946	NP_942074.1, XP_038961393.1	XP_038427603.1
OG0003947	NP_112641.1, XP_063140715.1	XP_038427664.1
OG0003948	XP_063140649.1, NP_001103031.1	XP_038427828.1, XP_038427826.1, XP_038427829.1
OG0003949	NP_001178001.1, XP_008760605.1	XP_038428238.1
OG0003950	NP_001102075.1, XP_038961470.1	XP_038428408.1, XP_038428409.1, XP_038428407.1
OG0003951	XP_038960579.1, NP_001400165.1	XP_038428573.1
OG0003952	NP_620799.1, XP_038948463.1	XP_038428669.1
OG0003953	XP_006235880.1, NP_001013946.1	XP_038428728.1
OG0003954	NP_001020139.1, XP_006248895.1	XP_038429306.1
OG0003955	NP_110458.1, NP_001032372.1	XP_038429338.1
OG0003957	NP_001100737.1, XP_008768970.1	XP_038429424.1
OG0003958	XP_063130934.1, XP_038949780.1, XP_006252145.1, XP_063130935.1, XP_038949777.1, XP_063130936.1, XP_038949778.1	XP_038429453.1
OG0003959	XP_006252165.1, NP_001073406.1	XP_038429665.1, XP_038429664.1
OG0003960	XP_063130679.1, NP_077340.3	XP_038429800.1, XP_038429799.1, XP_038429801.1
OG0003961	NP_976085.1, XP_063130212.1	XP_038429826.1
OG0003962	XP_063127413.1, NP_001358888.1	XP_038431120.1
OG0003963	NP_001009964.1, XP_006249449.1	XP_038431121.1
OG0003964	XP_006249550.1, NP_001119571.1	XP_038431257.1, XP_038440502.1
OG0003965	NP_446374.2, XP_017453731.1	XP_038431332.1
OG0003966	NP_077049.2, XP_063129069.1	XP_038431612.1
OG0003967	XP_063126732.1, NP_001017383.1, XP_063118844.1, XP_063118851.1, XP_063118850.1	XP_038431922.1
OG0003968	XP_038963593.1, NP_001014080.1	XP_038432123.1
OG0003969	NP_113736.1	XP_038432489.1, XP_038432487.1, XP_038432490.1, XP_038432488.1
OG0003970	NP_001102116.1, XP_063142423.1	XP_038432567.1, XP_038432566.1
OG0003971	NP_001381286.1, NP_001009660.1, NP_001381285.1	XP_038432578.1, XP_038432577.1, XP_038432580.1, XP_038432579.1
OG0003972	NP_001007701.1	XP_038432667.1, XP_038432668.1, XP_038432666.1
OG0003973	XP_006240815.1, NP_001099410.1	XP_038432677.1
OG0003974	NP_877968.3, XP_063119439.1	XP_038433369.1
OG0003975	NP_001388812.1, XP_063118928.1	XP_038433644.1
OG0003976	NP_001014021.2, XP_017455569.1	XP_038433963.1, XP_038433962.1, XP_038433960.1, XP_038433961.1
OG0003977	NP_954677.2, XP_038963353.1	XP_038433991.1, XP_038433995.1
OG0003978	NP_001128380.1, XP_063142377.1	XP_038434031.1
OG0003979	XP_006231590.1, NP_001101996.1	XP_038434474.1
OG0003980	NP_001386393.1	XP_038434488.1
OG0003982	NP_037163.1, XP_006231726.1	XP_038434845.1, XP_038434848.1, XP_038434844.1, XP_038434851.1, XP_038434847.1, XP_038434846.1, XP_038434849.1
OG0003983	NP_071966.1	XP_038434960.1
OG0003984	XP_006232207.1, NP_001128086.1	XP_038435181.1
OG0003985	NP_387500.1	XP_038435191.1
OG0003986	XP_038944186.1, NP_001100400.1	XP_038435193.1
OG0003987	XP_063138109.1	XP_038435314.1
OG0003988	NP_001019511.2, XP_006237843.1	XP_038435359.1
OG0003989	XP_006237806.1, NP_114010.2	XP_038435409.1
OG0003990	XP_017446211.1	XP_038435558.1
OG0003991	NP_001386660.1	XP_038435761.1
OG0003992	XP_063140664.1, NP_001103100.1	XP_038435829.1
OG0003993	XP_006234825.1, NP_001004265.2	XP_038436014.1, XP_038436013.1
OG0003994	XP_006234936.1	XP_038436180.1
OG0003995	NP_001101238.1, XP_063139809.1	XP_038436247.1
OG0003996	XP_008764464.1, NP_001100303.1	XP_038436557.1
OG0003997	XP_063122488.1, XP_063122263.1, NP_001396103.1, NP_001040555.1	XP_038436560.1
OG0003999	XP_038938311.1, NP_001414648.1	XP_038437001.1
OG0004000	NP_001104587.1, XP_006248115.1	XP_038437240.1
OG0004001	NP_036654.2	XP_038437507.1
OG0004002	NP_036970.1	XP_038437530.1
OG0004003	XP_038954657.1, NP_001032869.2	XP_038437578.1
OG0004004	NP_058995.2, NP_001030309.1, XP_038954558.1	XP_038437596.1
OG0004005	XP_008771090.1, NP_037323.1	XP_038437643.1
OG0004006	NP_001389105.1, XP_038959780.1	XP_038437904.1
OG0004007	XP_006233409.1, NP_001414486.1	XP_038437920.1
OG0004008	NP_001008376.1, XP_063138292.1	XP_038437962.1, XP_038437965.1, XP_038437966.1, XP_038437964.1, XP_038437963.1
OG0004009	NP_001101197.1	XP_038437970.1
OG0004010	NP_001020841.1, XP_008768241.1	XP_038438168.1
OG0004011	NP_001099195.1	XP_038438284.1
OG0004012	NP_001009678.1	XP_038438745.1
OG0004013	XP_038938707.1, XP_038953352.1, NP_001032415.1, NP_001388792.1, XP_038948469.1, XP_038956055.1	XP_038438888.1
OG0004014	NP_476488.2	XP_038438969.1
OG0004015	XP_038943926.1, NP_036909.2	XP_038439151.1
OG0004016	NP_001100555.2, XP_063126561.1	XP_038439171.1
OG0004017	NP_001100800.1	XP_038439186.1
OG0004018	NP_001178015.1	XP_038439251.1
OG0004019	NP_001034092.1, XP_006227875.1	XP_038439262.1
OG0004020	NP_001034594.1	XP_038439277.1
OG0004021	NP_001020135.1, XP_006227829.1	XP_038439311.1, XP_038439310.1
OG0004022	XP_063126431.1, NP_001414549.1	XP_038439529.1
OG0004023	NP_001100552.1, XP_038944216.1	XP_038439561.1
OG0004024	NP_062094.1, NP_001120811.1, XP_017453370.1	XP_038439611.1
OG0004025	XP_038960765.1, NP_001258154.1	XP_038440430.1
OG0004026	NP_001099953.1, XP_038960414.1	XP_038440597.1
OG0004027	XP_063139065.1, NP_446177.2	XP_038440776.1
OG0004028	NP_001102266.2, XP_006244998.1	XP_038441137.1
OG0004029	NP_001101691.1, XP_038939577.1	XP_038441474.1
OG0004030	XP_038939258.1, NP_001178739.1	XP_038441629.1
OG0004031	XP_006245236.1, NP_001167457.1	XP_038441660.1
OG0004032	NP_001102798.1, XP_008767713.2	XP_038441987.1
OG0004033	NP_113953.1, XP_038947050.1	XP_038442149.1
OG0004034	NP_001013249.1	XP_038442284.1, XP_038442285.1
OG0004035	NP_001014787.1, XP_017454319.2	XP_038442298.1
OG0004037	NP_001178817.1, XP_006257025.1	XP_038443091.1, XP_038443090.1
OG0004038	XP_038956650.1, XP_008771895.2, XP_008771896.2, XP_038955685.1, NP_001178656.1	XP_038443129.1
OG0004039	XP_063135796.1, NP_001413957.1, NP_001413958.1	XP_038443297.1
OG0004040	XP_063136369.1, NP_001102851.1	XP_038443350.1, XP_038443349.1
OG0004041	NP_001032444.1, XP_006257106.1	XP_038443487.1
OG0004042	XP_002730294.1	XP_038443503.1
OG0004043	NP_001101318.1, XP_006257134.1	XP_038443526.1
OG0004044	XP_038955417.1, NP_058763.1	XP_038443747.1
OG0004045	NP_536335.2, XP_038955357.1	XP_038443772.1, XP_038443771.1, XP_038443768.1, XP_038443770.1, XP_038443769.1, XP_038443773.1
OG0004046	XP_038956253.1, XP_006257452.1, XP_008771699.1, XP_017457859.1	XP_038444030.1, XP_038444031.1
OG0004047	XP_038956426.1, NP_001389157.1	XP_038444280.1
OG0004048	XP_006257661.1	XP_038444372.1
OG0004049	XP_006229582.1	XP_038444548.1
OG0004050	XP_006239896.1	XP_038445592.1, XP_038445561.1, XP_038444869.1
OG0004063	XP_006251011.1, NP_001005882.1	NP_001002955.1
OG0004064	NP_063970.1, XP_038937949.1	NP_001002961.1
OG0004065	XP_038936827.1	NP_001002994.1
OG0004066	NP_062226.2	NP_001003009.2
OG0004067	NP_001382056.1	NP_001003057.1
OG0004068	NP_036924.1, XP_006250207.1	NP_001003061.1
OG0004069	NP_058816.2	NP_001003086.1
OG0004070	XP_006242214.1, NP_037328.1	NP_001003093.1
OG0004071	XP_038957475.1, NP_036977.1	NP_001003172.2
OG0004072	XP_006244668.1, NP_001009353.1	NP_001003198.1
OG0004073	NP_062231.2, XP_006239400.1	NP_001003220.1
OG0004074	XP_063135864.1	NP_001003343.1
OG0004075	NP_001292868.1	NP_001003350.1
OG0004076	NP_001101402.1, XP_038965783.1	NP_001003361.1
OG0004077	NP_001257982.1, NP_036633.2	NP_001003369.2
OG0004078	XP_063135890.1, NP_036897.2	NP_001006649.1
OG0004079	NP_001398690.1	NP_001012665.1
OG0004080	NP_001100635.1, XP_008770611.1	NP_001020132.1
OG0004081	NP_073189.1, XP_006230958.2	NP_001026990.1
