Orthogroup	Rattus_norvegicus	Myotis_lucifugus
OG0001139	NP_001164044.1	XP_006087713.1
OG0001144	XP_038940384.1, NP_001014188.1, NP_001406427.1	XP_023601084.1, XP_023611510.1
OG0001145	NP_037151.2	XP_014317516.2
OG0001146	NP_113906.2	XP_006085369.1
OG0001146	NP_001032734.1, XP_063130300.1	XP_006087456.1
OG0001147	NP_001094194.1	XP_006108362.1, XP_006108800.3, XP_006108360.2, XP_006108361.1
OG0001148	XP_006232469.1, NP_073637.1	XP_006096374.1, XP_014317732.1, XP_023615967.1
OG0001149	XP_038958936.1, NP_001020794.1	XP_006084531.1, XP_006084530.1
OG0001150	NP_001008831.1	XP_006108241.1, XP_014302247.1, XP_006105213.1, XP_014304614.1, XP_023601460.1, XP_023601461.1, XP_006107083.1, XP_023601463.1, XP_006109146.1, XP_006104491.1, XP_006108432.1, XP_006107739.1, XP_014302246.2
OG0001151	NP_001160150.1, NP_001074406.1	XP_006084303.1, XP_014307240.1, XP_014307178.1, XP_014307252.1, XP_023605578.1
OG0001152	XP_006238442.1, NP_570825.1	XP_006098184.1
OG0001152	NP_113738.1, XP_063143236.1	XP_006098191.2
OG0001153	NP_001164018.1, XP_006237111.1, NP_001164019.1, NP_001164017.1	XP_006097965.1, XP_023605482.1
OG0001154	NP_001000320.1	XP_006092123.1
OG0001159	NP_036892.1, XP_063137410.1	XP_023605948.1, XP_014307327.1, XP_023605947.1, XP_014307330.1, XP_006084458.1, XP_023605949.1, XP_014307326.1
OG0001160	NP_001007691.1, XP_006227702.1	XP_006084453.1, XP_023605939.1, XP_014307318.1, XP_023605937.1, XP_023605938.1
OG0001161	NP_579858.2, XP_006253588.1	XP_006102192.1
OG0001162	NP_446179.2, XP_006253729.1	XP_014302265.1
OG0001164	NP_001020851.1, XP_006228480.1	XP_006106481.2
OG0001165	XP_006228644.1, NP_001017513.1	XP_014318128.1, XP_023616344.1, XP_006096795.1
OG0001166	NP_036963.1, XP_038957466.1	XP_023615632.1, XP_014317455.1, XP_023615633.1, XP_014317457.1
OG0001167	XP_017456071.1, XP_006237779.1	XP_014321169.2
OG0001169	NP_620272.3, XP_006239434.1	XP_006103792.1
OG0001170	XP_063129745.1, NP_445791.2	XP_006109401.1
OG0001173	NP_001396021.1, NP_620250.3	XP_006109154.1
OG0001174	NP_001385773.1, NP_001385774.1, XP_038943194.1	XP_006103913.1, XP_023600835.1
OG0001175	XP_038954172.1	XP_006091284.1
OG0001176	NP_001099656.1	XP_023611828.1, XP_006091268.1, XP_006091267.1
OG0001178	NP_073180.1, XP_038961739.1	XP_006093137.1
OG0001179	NP_001400254.1, XP_006247755.1	XP_023604965.1
OG0001179	XP_038945791.1	XP_023604448.1, XP_014305306.1
OG0001180	XP_006249019.1, NP_001102532.1	XP_014304784.1
OG0001181	NP_037238.1	XP_006092644.1
OG0001181	NP_037277.1	XP_014311335.2
OG0001182	XP_006233516.1, NP_783187.1	XP_023607555.1
OG0001183	NP_001004445.1, NP_001014791.1	XP_006082223.1, XP_006082224.1, XP_023619895.1
OG0001184	XP_008768069.1, NP_001099459.2	XP_006109530.2, XP_006094941.2
OG0001184	NP_062174.1, XP_063128627.1	XP_023604887.1, XP_023614691.1
OG0001185	NP_001388309.1, XP_063128385.1	XP_014312299.1, XP_014312296.1, XP_014312297.1, XP_006089920.1
OG0001186	XP_006250217.1, NP_001020839.1	XP_014318989.1, XP_006097829.1, XP_014318990.1
OG0001187	NP_598240.1, XP_038934273.1, XP_063124231.1	XP_023615492.1, XP_023615493.1, XP_006081717.1
OG0001188	XP_063130478.1, NP_001386633.1	XP_006102307.1, XP_006102308.1, XP_023599446.1
OG0001189	NP_001400143.1, NP_110486.1, XP_063140681.1	XP_014313952.1
OG0001190	NP_919443.1	XP_006092303.1
OG0001191	NP_446116.2, NP_001409929.1, XP_006233793.1	XP_006108791.2
OG0001193	XP_063124394.1, NP_570095.2	XP_023619525.1
OG0001194	NP_001102136.2, XP_006238227.1	XP_006109422.3, XP_023608995.1
OG0001195	XP_038954571.1, NP_001159747.1	XP_023600955.1
OG0001196	XP_006256016.3, NP_997628.1	XP_014301602.1, XP_006104721.3
OG0001197	XP_006256284.1, NP_001012174.1	XP_006101307.1
OG0001198	NP_001380846.1, XP_008764471.1	XP_023610960.1
OG0001199	NP_113995.2, XP_006243561.1	XP_023610966.1
OG0001200	XP_063135574.1, NP_001102918.1	XP_014319158.1, XP_023617535.1, XP_014319160.1, XP_023617534.1, XP_006098076.2, XP_014319159.1, XP_014319157.1
OG0001201	NP_001037748.1	XP_006101760.1
OG0001201	XP_038955826.1, NP_001102287.2	XP_006082961.1
OG0001202	NP_001029063.1	XP_006096846.1
OG0001202	NP_001101827.1	XP_023614426.1
OG0001203	XP_006236094.1, NP_001101316.1	XP_006084994.1, XP_023606445.1
OG0001204	NP_001013103.1, XP_006236548.1	XP_014311379.1
OG0001205	XP_038937290.1, NP_001178720.1	XP_023606773.1
OG0001206	XP_006238957.1, NP_001102446.1	XP_023614267.1, XP_023614266.1, XP_006094209.1, XP_006094208.1, XP_006094207.1, XP_006094206.1
OG0001207	XP_006238841.1, NP_001101442.1	XP_023608585.1
OG0001208	NP_001007682.1, XP_006251940.1	XP_006107811.1, XP_006107809.1, XP_006107810.1, XP_014305250.1
OG0001209	XP_038934389.1, NP_113741.1	XP_006084120.1
OG0001210	XP_017456700.1, NP_001376190.1	XP_006081807.1, XP_023610587.1, XP_023610593.1, XP_023610591.1, XP_023610589.1, XP_014311049.1, XP_023610598.1
OG0001211	NP_001182761.1, XP_006232742.1, NP_001009691.3	XP_006081830.1
OG0001211	XP_038959175.1	XP_006083686.2
OG0001212	XP_006232576.1, NP_954536.1	XP_023611185.1
OG0001213	NP_001127888.1, XP_063131280.1	XP_014305647.1
OG0001214	NP_036952.1, XP_006253184.1	XP_023612955.1
OG0001215	NP_036818.2	XP_006096074.1
OG0001215	NP_059053.1, XP_006238891.1	XP_014320144.1
OG0001216	NP_001257691.1, NP_620805.2, XP_038957644.1, NP_001257692.1	XP_014309060.1
OG0001218	XP_008764870.1, NP_001388157.1	XP_023604160.1
OG0001219	NP_001382029.1, XP_006232323.1	XP_023606416.1
OG0001219	NP_001128270.1, XP_063131812.1	XP_014322901.1
OG0001220	XP_002730005.1	XP_023605353.1
OG0001221	NP_001395728.1, NP_001395726.1, NP_001395723.1	XP_006083993.1, XP_006083994.1, XP_006083992.1
OG0001222	NP_001166851.1, XP_063140466.1	XP_014312024.1
OG0001223	NP_001233212.2, XP_063140392.1, NP_001399945.1	XP_023612034.1
OG0001223	NP_001102927.1	XP_006091505.1
OG0001224	NP_001334461.1, XP_038961734.1	XP_023617497.1
OG0001225	NP_001100015.1, XP_008760706.1	XP_023617517.1
OG0001226	XP_006252332.1, NP_001100745.1	XP_023620063.1
OG0001227	NP_001414419.1, XP_038936556.1, NP_001094477.1, XP_038936319.1	XP_006095753.1, XP_006095754.1
OG0001228	NP_001008380.1	XP_006095801.1, XP_023606293.1
OG0001229	NP_001386033.1, XP_006237451.1	XP_023605735.1, XP_006084214.1
OG0001230	XP_038963602.1	XP_023605737.1
OG0001231	NP_001414732.1, XP_006237759.1	XP_014309537.1
OG0001232	XP_063120539.1, NP_001395792.1, XP_038936491.1	XP_014313625.2
OG0001233	XP_006242445.1, NP_037303.1	XP_014317200.2
OG0001234	NP_001029179.1, NP_001029180.1, XP_006252722.1	XP_006097613.1
OG0001235	XP_006234953.1, NP_001156407.1	XP_023607365.1
OG0001236	NP_113810.2, XP_006243471.1	XP_006086011.1
OG0001237	NP_001295361.1	XP_023607397.1, XP_014308911.1, XP_023607398.1, XP_014308913.1, XP_014308914.1
OG0001238	NP_775434.1, XP_006243428.1	XP_014302437.1
OG0001239	NP_001020458.1, XP_038937671.1, XP_063124273.1, XP_038940879.1	XP_023604146.1
OG0001240	NP_001025095.1	XP_023608943.1
OG0001241	XP_017453430.1, NP_001011899.2	XP_006104331.1
OG0001242	NP_001019477.1	XP_014322188.1, XP_014322190.1, XP_006101432.1, XP_014322189.1
OG0001243	NP_001004209.1, XP_006250689.1	XP_006084653.1
OG0001245	XP_006232563.1, NP_001009542.1	XP_006088946.1, XP_023609677.1, XP_006088945.1
OG0001246	XP_006253989.1, NP_001099582.1	XP_014305112.1
OG0001247	NP_786932.2, XP_006250295.1, NP_001405944.1, XP_063128613.1, NP_001129464.1	XP_023600371.1
OG0001248	NP_001100408.1, XP_006257225.1	XP_023619413.1
OG0001249	NP_001178818.1, XP_006234310.1	XP_006082317.1
OG0001249	NP_075216.1, XP_006256887.1	XP_006104243.1
OG0001250	NP_001258040.1, NP_001258041.1	XP_023609494.1
OG0001251	XP_038955597.1, NP_001178516.1	XP_006082178.1
OG0001253	NP_036645.2, NP_001257559.1	XP_023612142.1
OG0001254	NP_571986.1	XP_023616154.1
OG0001254	NP_037035.2	XP_006107421.1
OG0001255	XP_006231915.1, NP_112619.2	XP_006081419.1
OG0001256	NP_742005.1, XP_008765901.1	XP_006102599.1
OG0001257	NP_036663.1, XP_006248665.1	XP_023618990.1
OG0001258	XP_008759324.3, NP_942064.1	XP_023610977.1, XP_023610971.1
OG0001260	NP_001030099.1, XP_063139952.1	XP_023611936.1
OG0001261	XP_006234695.1, NP_037133.1	XP_006091678.1
OG0001263	NP_110476.1	XP_014320988.1, XP_023619487.1, XP_006100174.1, XP_014320987.1
OG0001265	XP_063135646.1	XP_023602728.1
OG0001266	NP_001012183.1, XP_006233582.1	XP_014309019.1, XP_014309018.1, XP_006086152.1
OG0001267	NP_001000071.1	XP_006101376.1
OG0001267	NP_001001074.1, NP_001000940.1	XP_006101359.1
OG0001268	NP_001000131.1, NP_001000134.1	XP_006094659.1
OG0001269	NP_001001022.1, XP_038952315.1, NP_001000748.1, NP_001000129.1	XP_006094655.1
OG0001271	NP_001102814.1	XP_023615176.1
OG0001271	NP_001178872.1	XP_006090829.1
OG0001272	NP_542152.1	XP_006106968.1
OG0001273	NP_001101946.1, NP_001386541.1, NP_001386543.1, NP_001386542.1, NP_001386539.1, NP_001386540.1	XP_023599363.1, XP_006102226.1
OG0001274	NP_001099708.1, XP_063139397.1	XP_023616302.1
OG0001275	XP_063122588.1, NP_001121024.1	XP_006096035.1, XP_023609432.1, XP_014316360.1
OG0001276	NP_446086.1	XP_006108891.1, XP_006109102.1, XP_006109150.2
OG0001277	XP_006254712.1, NP_036978.1	XP_006086480.1, XP_006086478.1, XP_006086476.1, XP_006086477.1
OG0001278	NP_001165626.1, XP_017456384.1	XP_023607761.1
OG0001279	NP_001013174.1, XP_006231903.1	XP_006081322.1, XP_014306377.1, XP_006081324.1, XP_006081323.1
OG0001280	NP_001414652.1	XP_006108110.2, XP_014302487.2
OG0001282	NP_037010.1	XP_006101040.2, XP_023603858.1, XP_023603742.1, XP_023603574.1, XP_023603744.1, XP_014306413.1, XP_006101051.1, XP_006107426.1, XP_023620292.1, XP_023603575.1, XP_023620300.1, XP_023620297.1, XP_023604900.1, XP_023603857.1, XP_023604647.1, XP_014304723.1
OG0001283	XP_006252875.1, NP_001128269.1	XP_023620290.1
OG0001284	XP_063132735.1, NP_001012213.1	XP_006097733.1
OG0001285	XP_038958184.1, NP_001013175.1	XP_014316909.1, XP_006095444.1, XP_023615150.1, XP_014316911.1
OG0001286	XP_038952114.1	XP_023608505.1
OG0001286	XP_063137242.1, NP_446426.1	XP_006100355.1
OG0001287	NP_446094.1, XP_017450895.1	XP_006103463.2
OG0001288	NP_001102504.1	XP_006102802.1, XP_023599852.1
OG0001291	NP_001013959.1	XP_014305403.1
OG0001291	NP_001013983.1	XP_014316118.1
OG0001292	XP_008770785.2, NP_001388040.1	XP_006091247.1, XP_006091249.1, XP_006091250.1, XP_006091248.1
OG0001293	NP_001101021.2, XP_006230334.1	XP_014301379.1
OG0001294	NP_001395935.1	XP_023613523.1
OG0001295	NP_997470.2, XP_006249914.1	XP_006106392.1, XP_023602945.1, XP_006106394.1, XP_014303820.1
OG0001296	NP_001014843.1, XP_006249777.1	XP_023614765.1
OG0001298	NP_001102571.1, XP_006252066.1	XP_014320966.1
OG0001299	XP_006233778.1, NP_001102044.2	XP_014306689.1
OG0001300	XP_038962074.1, NP_001414137.1	XP_023609505.1
OG0001301	NP_001013182.3, XP_008759880.1	XP_023600223.1
OG0001302	XP_063119697.1, NP_001128272.1	XP_014305349.1, XP_023604280.1
OG0001304	NP_001124475.1	XP_006081136.1
OG0001305	NP_955408.1, XP_008770247.1	XP_006086585.1
OG0001306	NP_001013121.2	XP_006101884.3
OG0001306	XP_063120602.1, XP_063120457.1	XP_014319848.2
OG0001308	XP_006256168.1, NP_543167.2	XP_006105512.1, XP_023602285.1, XP_014303096.1
OG0001309	NP_001020878.1, XP_063123157.1	XP_023604507.1
OG0001310	XP_006244497.1, NP_001129942.1	XP_023603975.1
OG0001311	XP_006244578.1, NP_001009601.1	XP_023619896.1
OG0001312	NP_001012130.1	XP_006109772.2
OG0001312	NP_445743.2	XP_006082889.1
OG0001313	NP_001102475.1, XP_008765183.1	XP_014313062.1
OG0001314	XP_063136594.1	XP_014302882.1
OG0001314	NP_001396229.1, NP_001007605.1	XP_006107416.1
OG0001315	NP_001102702.1	XP_006088860.1, XP_023609616.1
OG0001316	XP_017448876.1, NP_001389033.1, NP_001030085.1, NP_001395743.1, XP_038948805.1	XP_006098224.1
OG0001317	XP_063120096.1, NP_001014288.1, XP_038956530.1	XP_006096113.1
OG0001318	XP_017454452.1	XP_014311129.1, XP_006081812.1, XP_023610645.1
OG0001318	XP_006255470.1, NP_001119557.1	XP_006081813.1
OG0001319	NP_001029085.1	XP_023620322.1, XP_023620321.1, XP_023620330.1, XP_023620329.1, XP_023620331.1, XP_023620306.1
OG0001320	NP_001019499.1, XP_063142578.1, NP_001008399.1	XP_023602882.1, XP_014321890.1, XP_014321862.1, XP_023602885.1, XP_014317640.1, XP_023603564.1
OG0001321	XP_006253231.1, XP_577523.4, XP_006253232.1	XP_006092728.1
OG0001322	XP_006239958.1, NP_001100187.1	XP_006096076.1
OG0001323	XP_006236770.1, NP_001102713.1	XP_023600046.1
OG0001324	XP_006232949.1, NP_001028872.2	XP_014316774.1
OG0001325	XP_002729127.1, NP_001414660.1	XP_023615048.1
OG0001326	NP_001008299.1, XP_063132267.1	XP_006085424.1, XP_023606836.1, XP_006085425.1
OG0001327	XP_006240044.1, NP_001006981.1	XP_023606844.1
OG0001328	XP_038960298.1, NP_037057.1	XP_006098125.1
OG0001329	NP_113985.2, XP_006234659.1	XP_014319099.1, XP_023617456.1, XP_023617457.1
OG0001330	NP_001414085.1	XP_023605002.1
OG0001332	XP_063137344.1, NP_036876.2	XP_006101696.1
OG0001333	NP_001257961.1	XP_006101628.1, XP_006101631.1, XP_006101629.1
OG0001334	XP_008761461.1, NP_001012097.1	XP_023605427.1
OG0001335	XP_038938555.1	XP_023605112.1
OG0001336	NP_001101536.2, XP_006240964.1	XP_006101864.1
OG0001337	XP_008764838.1	XP_014318412.1
OG0001338	NP_001032173.2, XP_006235128.1	XP_006096491.1
OG0001339	NP_001386298.1, NP_001386297.1, NP_001386299.1, NP_001386296.1	XP_023616018.1, XP_014317808.1, XP_006096460.1, XP_023616019.1
OG0001340	XP_006248897.1, NP_001101799.1	XP_023617781.1
OG0001341	XP_063127321.1, NP_001100588.1	XP_006092167.2
OG0001342	NP_001396099.1, XP_063127672.1, NP_064463.1	XP_006099096.1, XP_006099118.1, XP_023618455.1, XP_006099116.3
OG0001343	XP_006249604.1, NP_001100618.2	XP_014322872.1
OG0001344	XP_006251217.1, NP_598246.1	XP_006104937.2
OG0001345	XP_006242339.1, NP_620187.1	XP_014313651.1
OG0001346	XP_006242388.1, NP_001008359.1	XP_006091540.1, XP_006091538.1, XP_023612071.1, XP_006091537.1, XP_006091539.1, XP_006091536.1, XP_014313676.1
OG0001347	NP_001012224.1, XP_017450513.1	XP_023615462.1
OG0001348	NP_631931.2, XP_006231495.1, XP_008758709.4, NP_114029.1	XP_006101784.1
OG0001349	NP_001014269.2, XP_006231609.1	XP_014322598.1
OG0001350	XP_038936705.1, NP_001013173.1	XP_006088186.1
OG0001351	XP_006231687.1, NP_058970.1	XP_006088189.1
OG0001352	XP_008760438.3	XP_023602313.1
OG0001353	NP_001386245.1	XP_006087932.1, XP_006087935.1, XP_023608874.1
OG0001354	XP_006233382.1, NP_001007641.1	XP_006096661.1, XP_006096660.1, XP_023616217.1, XP_014317991.1, XP_023616218.1
OG0001355	NP_001385699.1, XP_063126563.1, NP_001385700.1	XP_023606260.1
OG0001356	NP_446447.2, XP_006248540.1	XP_006084810.1
OG0001357	XP_038951797.1, NP_001101881.1	XP_006091834.1, XP_023608936.1
OG0001358	NP_001012131.1, XP_063123238.1	XP_023617906.1
OG0001361	NP_001101491.1, XP_017457530.1	XP_006085690.1, XP_014308525.1, XP_023607092.1, XP_023607094.1
OG0001362	NP_113734.1, XP_063135887.1	XP_006097283.1
OG0001363	XP_006256772.1	XP_006097254.1
OG0001364	NP_001100418.1, XP_038955531.1	XP_006082382.1
OG0001365	NP_001004224.1, XP_063135906.1	XP_023608788.1, XP_023608787.1, XP_023608789.1, XP_023608790.1
OG0001366	NP_536727.2, NP_001258039.1, NP_001258038.1, XP_006237986.1	XP_023615804.1
OG0001372	NP_037330.1	XP_006090629.1
OG0001372	NP_387502.1	XP_006090628.1
OG0001373	NP_113715.1	XP_014323307.1
OG0001373	NP_001257912.1	XP_006099383.1
OG0001374	NP_077069.3, XP_006236903.1	XP_023613208.1
OG0001375	XP_063123867.1	XP_006108314.1
OG0001376	NP_955422.1, XP_006246551.1	XP_023601782.1
OG0001377	XP_038964986.1, XP_063138779.1	XP_006108777.3
OG0001378	NP_075223.1	XP_006098846.1, XP_014310557.1
OG0001380	NP_058834.1	XP_006099810.1, XP_006093180.1
OG0001381	NP_001099307.1	XP_006102593.1, XP_006085843.1, XP_006094996.1
OG0001381	NP_001100337.1	XP_006099806.1
OG0001382	XP_038949786.1, NP_071852.2	XP_006086871.1
OG0001383	XP_038934368.1, NP_036903.2, NP_001381322.1	XP_014316975.1, XP_006095544.1, XP_006105225.1
OG0001385	XP_227371.1	XP_023615055.1
OG0001388	NP_001000124.1	XP_006094653.1, XP_006094583.1
OG0001389	NP_001000699.1	XP_006101361.1
OG0001390	NP_001001081.1, NP_001000820.1	XP_006106911.1
OG0001391	NP_001000823.1, NP_001000394.1	XP_006105694.1
OG0001392	NP_001000159.1	XP_006094686.1
OG0001392	NP_001000742.1, NP_001000743.1, NP_001000150.1	XP_006094678.1, XP_006094677.1
OG0001394	NP_001000714.1, NP_001000037.1	XP_006106678.2, XP_014304065.1
OG0001395	NP_001100902.1	XP_006087123.1
OG0001396	NP_001120809.1	XP_014305483.1
OG0001397	XP_038949669.1	XP_014318072.1
OG0001399	XP_006254415.1, NP_077373.2	XP_014307410.1, XP_023619652.1
OG0001400	XP_038952633.1, NP_001099620.1	XP_006086483.1, XP_023607794.1, XP_023607795.1
OG0001401	NP_001178823.1, XP_038952930.1	XP_006097525.3
OG0001401	NP_001100694.1	XP_023604775.1
OG0001402	XP_006239183.1, NP_001101454.1	XP_006102027.1
OG0001403	NP_001402858.1, XP_038965970.2	XP_023599190.1, XP_006102033.1, XP_023599191.1
OG0001404	NP_001097998.1	XP_023605079.1
OG0001404	XP_038965983.1, NP_001120791.2	XP_023614093.1
OG0001406	XP_038959395.1, NP_001386718.1	XP_006081383.1, XP_023606471.1
OG0001407	NP_001257585.1	XP_014305308.1
OG0001408	NP_001120923.1	XP_014305389.1, XP_014305390.1, XP_006107941.1, XP_006107940.1, XP_014305391.1
OG0001410	NP_001380877.1, XP_063121385.1, XP_056840500.1, XP_063122400.1	XP_023617801.1, XP_023604376.1, XP_023617805.1
OG0001411	XP_038943245.1, NP_001386359.1	XP_006102796.1
OG0001411	NP_001103047.2, XP_008772060.1	XP_006099559.1
OG0001412	NP_001389140.1	XP_014309822.1, XP_023608355.1, XP_014309823.1, XP_014309821.1, XP_023608354.1, XP_006087110.1
OG0001413	NP_001100894.1, XP_006255560.1	XP_023618870.1
OG0001414	XP_006249177.1, NP_001020800.1	XP_006081571.1
OG0001415	XP_006247042.1, NP_001099289.1	XP_006099931.1
OG0001415	NP_001178751.1, XP_008765759.1	XP_006103708.1
OG0001416	NP_001037767.1, XP_006233239.2	XP_006092654.1
OG0001417	XP_006249326.1, NP_001099393.1	XP_023609204.1, XP_006088261.1, XP_006088262.1
OG0001419	XP_063125807.1, NP_064486.1	XP_014305135.1
OG0001421	NP_001387702.1, XP_038957156.1	XP_023602650.1, XP_023602649.1
OG0001422	XP_006230277.1, NP_596871.2	XP_023604482.1, XP_014305566.1, XP_014306359.2, XP_006105003.1
OG0001423	NP_036845.3	XP_023607247.1
OG0001423	XP_038941139.1, NP_001386228.1	XP_023612728.1
OG0001424	NP_001030098.2	XP_006099293.1
OG0001425	XP_006249775.1, NP_877967.2, XP_038946246.1, NP_036648.2	XP_023614780.1
OG0001426	XP_038968329.1, NP_001017457.1	XP_023600203.1
OG0001426	NP_445775.2	XP_006107406.1
OG0001427	XP_038958585.1, NP_001007742.1, XP_038956255.1, XP_038956820.1	XP_006097845.2
OG0001428	XP_017450045.2, NP_062256.1, XP_038942713.1	XP_006103470.1
OG0001429	NP_062192.1, XP_008770388.1	XP_023606563.1
OG0001430	NP_112362.1	XP_006087722.1
OG0001430	NP_001386593.1	XP_006090811.1, XP_006105284.1
OG0001431	NP_001316808.1, XP_006240671.1	XP_023602905.1
OG0001432	XP_006240730.1, NP_001414258.1	XP_014303424.1, XP_014303423.1, XP_006105914.1, XP_006108076.1, XP_014304856.2, XP_014304891.1, XP_023603135.1, XP_014304857.1, XP_014304890.1, XP_014305212.1, XP_006097437.1, XP_014318632.1, XP_023604135.1, XP_023601821.1, XP_006097429.1, XP_006107712.1, XP_006107393.1, XP_006097439.1
OG0001434	XP_008766485.1, NP_001099314.1	XP_006106156.1
OG0001435	XP_008766446.1	XP_006092334.1
OG0001436	NP_001007674.1, XP_038941980.1	XP_023615362.1
OG0001436	XP_063127333.1, NP_001032294.1	XP_023603686.1
OG0001437	NP_446117.1, XP_006247129.1	XP_006095657.1, XP_023615348.1
OG0001439	NP_001127936.1, XP_006241487.1	XP_023616439.1, XP_006096919.1, XP_006091125.1
OG0001440	XP_008763447.1, NP_942045.2	XP_006092785.1
OG0001441	NP_001099491.1, XP_006251578.1, XP_038969280.1	XP_006093055.1, XP_014314884.1, XP_014314885.1, XP_023613221.1
OG0001442	XP_063123165.1, NP_001101672.1	XP_006100638.1
OG0001443	NP_001100360.1, NP_001258060.1, XP_038939110.2	XP_023618078.1
OG0001444	XP_063119946.1, NP_001124038.1	XP_023604065.1
OG0001445	XP_006246550.1, NP_955421.1	XP_014321085.1
OG0001446	XP_038967719.1, NP_036831.2	XP_006085381.1
OG0001447	NP_775161.2	XP_023614304.1
OG0001448	XP_038956387.1, XP_038956232.1, XP_008771804.2, XP_008771758.1, XP_006257578.1, XP_038956306.1, XP_017453216.1, XP_008771944.2, XP_006257626.1, XP_063136614.1, XP_063136608.1, XP_006257650.1, XP_003752207.1, XP_038956265.1, XP_006257646.1, XP_017457896.2, XP_006257666.1, NP_001102933.1, XP_038956082.1	XP_006094322.2
OG0001449	XP_038964980.1	XP_023614656.1
OG0001450	XP_006253391.1, NP_001386189.1	XP_023616569.1
OG0001451	XP_038959254.1, NP_001395725.1, NP_068636.1	XP_023615054.1
OG0001451	NP_001101156.1, XP_063137889.1	XP_023615067.1
OG0001452	XP_017455051.1, NP_001128163.1, NP_001128162.1	XP_006099864.1
OG0001454	NP_001008306.1	XP_006101645.1
OG0001455	XP_006243787.1, NP_001008329.1	XP_023604971.1
OG0001456	NP_058888.1	XP_014301935.1, XP_006104123.1, XP_014312553.1
OG0001457	NP_001290073.1	XP_006101151.2
OG0001457	NP_071789.2, XP_017452111.1	XP_023620378.1, XP_014315113.1
OG0001459	XP_038949439.1, NP_001258417.1	XP_006083624.2
OG0001459	XP_038956477.1	XP_014313633.1
OG0001460	XP_063130413.1, NP_001100754.1	XP_023607462.1
OG0001461	XP_038938688.1, NP_001414536.1	XP_006102366.1, XP_023604963.1
OG0001462	NP_001414237.1, XP_006235868.1	XP_006106725.1
OG0001463	XP_063124238.1, XP_038940610.1, XP_002730104.3, NP_073171.2, NP_073156.3	XP_006082704.1
OG0001464	XP_006245551.1, XP_006245552.1	XP_023605162.1, XP_006109333.1, XP_023614896.1
OG0001465	XP_006251216.1	XP_023601791.1
OG0001466	XP_038946059.1, NP_001385887.1	XP_006105049.1
OG0001467	NP_001385987.1, XP_063129576.1	XP_023605070.1, XP_023618734.1
OG0001468	NP_071886.1, XP_006242365.1	XP_023615427.1
OG0001469	XP_038935281.1, NP_001073175.1	XP_006095873.1
OG0001470	NP_001128112.1	XP_006084936.1, XP_006095447.1
OG0001471	NP_001012763.1, XP_006237249.1	XP_023617084.1, XP_014318790.1
OG0001472	NP_001014268.1, XP_038941565.1	XP_014312438.1
OG0001473	NP_001178863.1	XP_006109856.3
OG0001473	NP_001402765.1	XP_023620915.1
OG0001474	XP_006231696.1, NP_001099671.1	XP_006088207.1
OG0001475	XP_038960475.1, NP_001099968.1	XP_006093071.1
OG0001476	NP_001004270.1	XP_023608946.1, XP_006090127.1
OG0001479	XP_017446541.1, NP_062149.1	XP_023603559.1
OG0001480	XP_017454816.2, NP_001017495.1	XP_006084718.1
OG0001481	XP_006248493.1, NP_001020799.1	XP_006092907.1
OG0001482	NP_001258230.1, XP_063137156.1, NP_001258228.1	XP_006102729.1
OG0001483	NP_001159772.1, NP_998732.1	XP_006097944.1, XP_006108050.1
OG0001484	XP_038964967.1, XP_063140702.1, NP_112381.2	XP_006083216.1
OG0001485	XP_006244994.1, NP_071565.2, XP_063133708.1	XP_014303076.2, XP_006082433.1, XP_023615634.1
OG0001486	NP_476448.1, XP_063122603.1	XP_006082638.1
OG0001487	XP_017454169.1, NP_775144.1	XP_023614365.1
OG0001488	NP_001406486.1, NP_001389075.1	XP_014317570.1, XP_014317571.1
OG0001489	XP_008771626.1	XP_023612542.1
OG0001490	NP_445831.3, XP_006257444.1	XP_006082280.1
OG0001491	XP_006257565.1	XP_023613885.1
OG0001492	NP_001014135.2, XP_038955778.2, XP_038940588.1	XP_006082183.1, XP_014310689.1, XP_014310691.1, XP_023609072.1
OG0001493	XP_006252017.1, NP_001014017.1	XP_023619457.1, XP_014320967.1, XP_014320968.1, XP_023619461.1, XP_023619460.1, XP_023619459.1, XP_006100134.1, XP_023619458.1
OG0001494	NP_001382649.1, XP_063130564.1	XP_023620102.1
OG0001497	NP_001395897.1, NP_001012232.1, XP_008768783.1, NP_001395898.1, NP_620257.1, NP_001007016.1, NP_001395600.1	XP_006087580.1
OG0001499	NP_001094329.1, NP_001163871.1, NP_001163928.1	XP_014305585.1
OG0001502	XP_006253086.1, NP_001106828.1	XP_006081898.1
OG0001503	NP_058735.1, XP_038944908.1	XP_006086657.1
OG0001504	XP_063119176.1, NP_077043.1	XP_006084079.1, XP_006084078.1
OG0001506	XP_038962661.1, NP_001000173.1, NP_001000950.1, NP_001001000.1	XP_006094706.1, XP_006094707.1, XP_006094708.1
OG0001507	XP_006232580.1, NP_058786.2	XP_014312026.1, XP_006081933.1
OG0001508	NP_113919.2, XP_006246591.1	XP_006101461.1
OG0001509	XP_017445118.1, NP_113836.2	XP_014319782.1, XP_014319783.1
OG0001510	XP_038944225.1, NP_001100554.1	XP_006084846.1
OG0001511	NP_037261.1, NP_001388064.1	XP_006081782.1
OG0001512	NP_612518.2, XP_006235356.1	XP_006089465.1
OG0001513	NP_001004021.1, XP_063124802.1	XP_006095000.1
OG0001513	NP_001004022.1	XP_006094998.1
