Orthogroup	Rattus_norvegicus	Urocitellus_parryii
OG0002388	XP_063132510.1, NP_001395622.1	XP_026263481.1
OG0002389	XP_006255939.1, NP_001382085.1	XP_026271092.1
OG0002390	NP_001100381.1, XP_006244959.1	XP_026244856.1, XP_026244854.1
OG0002391	XP_006245085.1, NP_001178738.1	XP_026250354.1
OG0002392	XP_006249953.1, NP_445837.1	XP_026252974.1, XP_026252975.1
OG0002393	XP_006229634.1, NP_058971.1	XP_026268597.1
OG0002394	NP_001009474.1, XP_038955818.1	XP_026252515.1, XP_026252514.1
OG0002395	NP_001004072.2	XP_026261217.1
OG0002396	XP_008771632.1, NP_001178660.2	XP_026236589.1
OG0002397	NP_001406040.1, XP_038956324.1	XP_026268618.1
OG0002398	NP_001102465.2, XP_006242714.1	XP_026255612.1
OG0002402	NP_062227.2	XP_026235288.1
OG0002403	XP_234319.3, XP_063129904.1, XP_038940690.1, XP_008767914.1, NP_058848.2, XP_063130905.1, XP_038962175.1	XP_026243929.1
OG0002404	NP_001395822.1, XP_063126932.1	XP_026264117.1, XP_026242805.1
OG0002405	NP_058783.1	XP_026268579.1, XP_026268578.1, XP_026268577.1, XP_026268576.1
OG0002406	XP_038968588.1, NP_001399118.1, NP_001002289.2	XP_026240974.1
OG0002407	XP_038943914.1, NP_653345.1	XP_026245121.1, XP_026245122.1, XP_026245120.1
OG0002408	NP_058706.1, NP_001257537.1, NP_001257539.1, NP_001257535.1, NP_001274352.1, NP_001257532.1, NP_001257534.1, NP_001257531.1	XP_026251195.1
OG0002409	XP_017447925.1, NP_036706.1	XP_026265080.1
OG0002410	NP_001006972.1, XP_038963168.1	XP_026247929.1
OG0002411	NP_036674.1	XP_026267378.1
OG0002412	NP_998722.1, XP_063126242.1	XP_026239250.1
OG0002413	NP_997671.1, NP_001158190.1	XP_026239402.1
OG0002414	XP_008762647.2, NP_062208.2	XP_026261658.1
OG0002415	XP_008759064.1, NP_001101130.1	XP_026239832.1
OG0002416	NP_001037763.1	XP_026266656.1
OG0002417	XP_006246126.1	XP_026241142.1
OG0002418	NP_001102360.1	XP_026271260.1
OG0002419	XP_063129513.1, NP_001102334.1	XP_026255664.1
OG0002420	NP_001102062.1	XP_026253438.1
OG0002421	NP_037124.1	XP_026257118.1
OG0002422	NP_001007609.1	XP_026255963.1
OG0002423	NP_001099754.1, XP_006229932.1	XP_026256804.1, XP_026256805.1, XP_026238638.1
OG0002425	NP_001032387.1, NP_908937.2	XP_026246652.1, XP_026246651.1
OG0002426	NP_001007614.1, XP_008766535.1	XP_026258083.1, XP_026258084.1
OG0002427	NP_542944.1, XP_006233121.1	XP_026249950.1
OG0002428	NP_579839.1, XP_038950103.1	XP_026265123.1
OG0002429	XP_006241630.1, NP_072107.2, NP_001288631.1	XP_026239047.1
OG0002430	XP_006232663.1, NP_001099908.1	XP_026268785.1
OG0002431	NP_001001054.1, XP_038961565.1, NP_001000321.1, NP_001000322.1, NP_001000670.1, NP_001000565.1, XP_038961566.1, NP_001001055.1, NP_001000566.1	XP_026237889.1
OG0002432	NP_001000086.1, NP_001000910.1	XP_026263798.1
OG0002433	NP_001000477.1, NP_001000474.1, NP_001000790.1	XP_026258516.1, XP_026258519.1, XP_026258517.1
OG0002434	XP_038953711.1	XP_026256729.1, XP_026256885.1
OG0002435	NP_001100939.1, XP_006227678.1	XP_026257752.1
OG0002436	NP_631924.1, XP_006228446.1	XP_026266264.1
OG0002437	XP_006255085.1, NP_001012758.1	XP_026244479.1
OG0002438	NP_001071135.1, XP_038952586.1	XP_026265752.1
OG0002439	XP_006227701.1, NP_001100940.1	XP_026253389.1
OG0002440	NP_001035217.2, XP_017444360.1	XP_026255747.1
OG0002441	NP_596897.1, XP_006227918.1	XP_026248941.1
OG0002442	NP_113702.1	XP_026237881.1
OG0002443	NP_640354.1, XP_006228310.1	XP_026237166.1
OG0002444	NP_001102613.1, XP_038943304.1	XP_026238029.1
OG0002445	XP_006229042.1, NP_758839.3	XP_026262035.1, XP_026262036.1
OG0002446	NP_068526.1	XP_026262126.1
OG0002447	XP_006228414.1, NP_001003710.3	XP_026266248.1
OG0002448	XP_038951971.1, NP_071560.2	XP_026263914.1
OG0002449	NP_001102406.1, XP_008758901.1	XP_026246634.1
OG0002450	NP_001099639.1, XP_006255141.1	XP_026251512.1
OG0002451	XP_006255322.1, NP_001100885.2	XP_026248081.1
OG0002452	NP_001386079.1	XP_026262605.1
OG0002453	XP_063143330.1, NP_058905.1	XP_026247442.1
OG0002454	NP_001120997.1	XP_026247513.1
OG0002455	NP_113797.2	XP_026256597.1
OG0002456	NP_001101459.2, XP_038965998.1	XP_026256623.1
OG0002457	XP_038967263.1, XP_038967262.1	XP_026256632.1, XP_026256633.1
OG0002458	NP_001102358.2	XP_026257000.1
OG0002458	XP_006241029.2, NP_001013236.1	XP_026269691.1
OG0002459	NP_037132.2, XP_017451775.1	XP_026250814.1
OG0002460	NP_542956.1	XP_026249829.1
OG0002460	NP_112392.2	XP_026241687.1
OG0002461	NP_001128177.1	XP_026264826.1
OG0002462	NP_036678.3, XP_006253661.1	XP_026236266.1
OG0002464	XP_008771110.1, NP_001132955.1	XP_026261589.1, XP_026261590.1
OG0002465	XP_008769357.2, NP_001020199.2	XP_026252830.1, XP_026252832.1, XP_026252831.1
OG0002466	NP_001388465.1, XP_006253683.1	XP_026254008.1
OG0002467	NP_001007610.1, XP_006246441.1	XP_026244112.1
OG0002468	NP_001014059.1, XP_038958182.1	XP_026249385.1, XP_026249384.1
OG0002469	XP_038958050.1, NP_058964.1	XP_026249381.1
OG0002470	XP_006252644.1, NP_001007624.1	XP_026257820.1
OG0002471	XP_063122278.1, NP_112328.1	XP_026260359.1
OG0002472	NP_001258207.1	XP_026260340.1
OG0002473	XP_006243164.1, NP_620797.1	XP_026258491.1
OG0002474	XP_038937350.1, NP_001020181.1	XP_026259232.1
OG0002475	XP_017451518.1, NP_001386239.1	XP_026248350.1
OG0002476	XP_008766041.2, NP_001258136.1	XP_026264469.1
OG0002477	XP_063129915.1, NP_112363.1, XP_038943129.1, XP_038938152.1, XP_038948683.1	XP_026257693.1, XP_026257692.1
OG0002478	NP_612513.1, XP_006255768.1	XP_026267186.1
OG0002479	XP_063118859.1, XP_063118860.1, XP_063118861.1, XP_063118866.1, XP_063118864.1, XP_063118863.1, XP_063118865.1, XP_063118862.1, XP_063118790.1, NP_001123353.1, XP_063134347.1	XP_026248775.1
OG0002480	NP_001100895.1, XP_008770725.1	XP_026260265.1
OG0002482	NP_742006.2, XP_038945765.1	XP_026269009.1, XP_026269010.1, XP_026269011.1
OG0002483	XP_017453816.1, NP_001100603.1	XP_026268920.1
OG0002484	XP_038945270.1, NP_001388048.1	XP_026259921.1, XP_026259919.1, XP_026259920.1
OG0002485	XP_008758155.1, NP_001387690.1	XP_026256188.1
OG0002486	XP_006230397.1, NP_075226.1	XP_026236733.1
OG0002487	NP_569095.1, XP_017444198.1	XP_026236727.1, XP_026236726.1
OG0002488	NP_001094132.1	XP_026247879.1
OG0002489	NP_001382483.1, XP_063124608.1	XP_026241371.1
OG0002490	NP_001299592.1	XP_026241155.1
OG0002491	NP_001102948.1	XP_026241194.1
OG0002492	XP_006233190.1, NP_596905.2	XP_026258556.1
OG0002493	NP_001121016.1	XP_026235404.1
OG0002493	NP_001103110.1, XP_017446612.1	XP_026235407.1
OG0002494	XP_008768144.1, NP_001099463.1	XP_026258875.1
OG0002495	NP_598259.2, XP_017451748.1	XP_026264396.1
OG0002496	NP_001102550.1, NP_001007557.1	XP_026261562.1
OG0002497	NP_001014006.1, XP_006250059.1	XP_026248652.1
OG0002498	XP_038947059.1, NP_001380594.1	XP_026261548.1
OG0002499	XP_006232752.1, NP_001102026.1	XP_026260686.1
OG0002500	XP_006232701.1, NP_001012078.2	XP_026260826.1
OG0002501	NP_001414555.1, XP_038953131.1	XP_026254390.1, XP_026254391.1
OG0002502	NP_062058.2	XP_026243849.1
OG0002503	NP_001128228.1, XP_006251846.1, NP_001128229.1	XP_026266815.1
OG0002504	NP_001029123.1	XP_026256416.1
OG0002505	NP_001101517.1, XP_006240491.1	XP_026250026.1
OG0002506	XP_017449517.1, NP_620180.2	XP_026267573.1
OG0002507	NP_001012194.1, XP_006240592.1	XP_026255205.1
OG0002508	NP_001119563.1, XP_038962522.1	XP_026253641.1
OG0002509	XP_006247959.1, NP_001007006.1	XP_026266506.1
OG0002510	NP_001385875.1, XP_038943418.1	XP_026264235.1
OG0002511	NP_001009720.1	XP_026260632.1
OG0002512	XP_038942359.1, NP_001101777.1	XP_026260571.1
OG0002513	XP_038942350.1, NP_001014143.1	XP_026262419.1, XP_026256535.1
OG0002514	XP_038942652.1	XP_026258085.1, XP_026258086.1
OG0002515	XP_008766350.1	XP_026268174.1, XP_026268175.1
OG0002516	XP_006233741.1, NP_001094003.1	XP_026251326.1
OG0002517	XP_063120332.1, NP_001071053.1	XP_026254098.1, XP_026254097.1
OG0002518	XP_038935914.1, NP_445912.2	XP_026267274.1
OG0002519	NP_445783.1	XP_026265992.1, XP_026265993.1
OG0002520	NP_037169.1, NP_001121161.1, XP_006244801.1	XP_026264397.1
OG0002521	NP_001399523.1, NP_001399522.1, XP_006244809.1	XP_026264410.1
OG0002522	XP_038940152.1	XP_026235060.1
OG0002524	NP_997713.1, NP_001159373.1, XP_006255984.1	XP_026271121.1
OG0002525	XP_006246267.1, NP_001017473.1	XP_026268890.1, XP_026268884.1, XP_026268889.1, XP_026268883.1, XP_026268887.1, XP_026268888.1, XP_026268886.1
OG0002526	NP_001102595.1, XP_038952972.1	XP_026251967.1
OG0002526	NP_001100850.1	XP_026251991.1
OG0002527	NP_059017.2	XP_026243643.1
OG0002528	NP_001102441.1, XP_006238156.1	XP_026243651.1, XP_026243656.1, XP_026243652.1, XP_026243653.1, XP_026243650.1, XP_026243655.1
OG0002529	XP_008761912.1, NP_001101407.2	XP_026235684.1
OG0002530	XP_063144605.1	XP_026249145.1
OG0002531	NP_001386395.1, NP_001386394.1, NP_001386396.1	XP_026250278.1, XP_026250280.1
OG0002532	XP_017457133.1, NP_001007696.1	XP_026239289.1
OG0002532	XP_008771682.3	XP_026235927.1
OG0002533	XP_063135107.1, NP_001013091.1	XP_026239479.1, XP_026239480.1
OG0002534	NP_620808.1	XP_026265657.1, XP_026265656.1
OG0002535	NP_001020872.1	XP_026249658.1
OG0002536	NP_001406953.1, NP_036669.3, NP_861545.1, NP_036670.2, XP_063119046.1	XP_026238577.1, XP_026258857.1
OG0002538	NP_001348329.1, NP_001348330.1	XP_026261419.1
OG0002539	NP_001382081.1, XP_063142551.1, NP_001382080.1, XP_063123933.1	XP_026244515.1
OG0002540	XP_038963435.1, NP_001004267.1	XP_026253036.1, XP_026253037.1
OG0002541	NP_001100195.1, XP_006240103.1	XP_026264641.1
OG0002542	NP_001178678.1, XP_038963654.1	XP_026256023.1
OG0002543	NP_001020234.1, XP_006236574.1	XP_026257331.1
OG0002544	NP_001014076.1	XP_026236686.1, XP_026236687.1
OG0002545	NP_062114.1	XP_026249261.1
OG0002547	XP_063143821.1, NP_001071139.1	XP_026249224.1
OG0002548	XP_008762243.1, NP_001009693.1	XP_026249161.1, XP_026249162.1
OG0002549	NP_001102151.1, XP_017448998.1	XP_026249241.1
OG0002551	XP_038934621.1, NP_001100249.2	XP_026253612.1
OG0002552	NP_001129038.1	XP_026253081.1
OG0002553	XP_008763518.1	XP_026253737.1
OG0002554	XP_038953513.1, NP_001010948.1	XP_026248500.1
OG0002555	XP_006232579.1, NP_001102021.1	XP_026251746.1
OG0002556	NP_001385782.1	XP_026235574.1
OG0002557	NP_001099558.1, XP_008769545.1	XP_026260489.1, XP_026260490.1
OG0002558	XP_006253277.1, NP_620267.2	XP_026258687.1
OG0002559	NP_001100785.1, XP_038950470.1	XP_026258700.1, XP_026258701.1
OG0002560	NP_001414101.1	XP_026267012.1
OG0002561	XP_038968855.1, NP_001103144.1	XP_026248657.1
OG0002562	NP_001178836.1, XP_038968537.1	XP_026265917.1
OG0002563	NP_001385641.1	XP_026265262.1
OG0002565	NP_001065244.1	XP_026259795.1, XP_026259794.1
OG0002566	XP_038958712.1, NP_001128065.1	XP_026259805.1
OG0002567	NP_001414341.1	XP_026259675.1, XP_026259676.1
OG0002568	NP_803435.1, XP_008758450.1, NP_997476.2, XP_017445968.2	XP_026263368.1
OG0002569	XP_038952038.1, NP_112355.1, NP_001401109.1	XP_026243419.1
OG0002570	NP_954520.3, XP_008758319.1	XP_026252260.1
OG0002571	NP_446083.1, XP_006230692.1	XP_026255587.1
OG0002572	XP_006231059.1, NP_113892.2	XP_026263428.1, XP_026263429.1
OG0002573	NP_659557.1	XP_026263412.1, XP_026263411.1
OG0002574	XP_006237046.1, NP_001032440.1	XP_026238915.1
OG0002575	NP_665713.2, XP_006251805.2	XP_026257836.1
OG0002576	XP_008769378.3, NP_446032.2	XP_026245790.1, XP_026245789.1, XP_026245792.1
OG0002577	XP_002729925.1, XP_038938730.1	XP_026267641.1
OG0002578	NP_001387889.1, XP_038934914.1	XP_026269767.1
OG0002579	NP_877970.1, NP_001403645.1	XP_026269720.1
OG0002580	XP_063133414.1, NP_604456.2	XP_026243133.1
OG0002581	NP_001108517.1	XP_026265376.1
OG0002582	XP_038949429.1, NP_001019443.1, XP_038949822.1, NP_001406817.1, NP_001014257.1, XP_038949825.1	XP_026249440.1
OG0002583	NP_001099521.1, NP_001257794.1, XP_063130235.1	XP_026249459.1, XP_026249460.1
OG0002584	XP_063130244.1, NP_001099528.1	XP_026255784.1
OG0002585	NP_001102067.1	XP_026248854.1
OG0002586	NP_001020191.1, XP_017447401.1	XP_026248846.1
OG0002587	XP_006244024.2	XP_026261174.1
OG0002588	NP_001414260.1, XP_038950905.2	XP_026244314.1
OG0002589	XP_063137357.1, NP_001257890.1	XP_026262400.1
OG0002590	NP_001020040.1	XP_026235651.1
OG0002591	XP_006235136.1, NP_001099984.1	XP_026241583.1, XP_026241584.1
OG0002592	XP_006235417.1, NP_001071148.2	XP_026239053.1
OG0002593	NP_663773.1, XP_063139211.1	XP_026239046.1, XP_026239049.1, XP_026239048.1, XP_026239045.1
OG0002594	NP_001257876.1, XP_003749646.1	XP_026238930.1
OG0002595	NP_001032429.1	XP_026238999.1, XP_026239000.1
OG0002596	NP_001100007.1, XP_006235591.1	XP_026239136.1, XP_026239137.1
OG0002597	NP_001101273.1	XP_026246786.1
OG0002598	XP_006235754.1, NP_001028880.1	XP_026262571.1
OG0002599	XP_017446938.1, NP_598292.2	XP_026263645.1
OG0002600	NP_001128092.1, XP_006235854.1	XP_026269206.1
OG0002601	XP_008760732.1, NP_001101278.1	XP_026269272.1
OG0002602	NP_001102654.1, XP_006232430.1	XP_026250914.1
OG0002603	NP_001380751.1, NP_001128462.1, XP_038949067.1	XP_026250716.1, XP_026250714.1, XP_026250715.1
OG0002604	XP_017455183.2, NP_001100740.1	XP_026254649.1, XP_026254648.1, XP_026254650.1
OG0002605	NP_001102572.1, XP_008768993.1	XP_026254622.1
OG0002606	NP_001100746.1, XP_006252333.2	XP_026253316.1
OG0002607	XP_008767473.1	XP_026258720.1
OG0002608	XP_017454007.1	XP_026241946.1
OG0002609	NP_112325.1	XP_026264973.1, XP_026264975.1
OG0002610	XP_008767573.1, NP_001009716.1	XP_026264327.1
OG0002611	NP_001008508.2, XP_063127288.1	XP_026264315.1
OG0002612	NP_001388335.1, XP_038948144.1	XP_026269129.1
OG0002613	NP_001388336.1	XP_026269125.1, XP_026269127.1, XP_026269123.1, XP_026269124.1, XP_026269122.1, XP_026269126.1
OG0002614	XP_017454807.1, NP_001019442.1	XP_026264724.1
OG0002615	NP_001364036.1	XP_026264686.1
OG0002617	XP_008771081.2, NP_445745.1	XP_026268321.1
OG0002617	NP_001385971.1, XP_063135537.1	XP_026268319.1
OG0002618	XP_006248768.1, NP_001101795.1	XP_026257483.1
OG0002619	XP_006248733.1, NP_001099331.1	XP_026257469.1
OG0002620	NP_001385778.1, XP_063142190.1	XP_026269643.1
OG0002622	XP_006237763.1, NP_942067.1	XP_026271029.1, XP_026271028.1
OG0002623	XP_006242239.1, NP_476459.1	XP_026264296.1
OG0002624	XP_038936267.1, XP_017450796.1, XP_063120524.1, XP_002729893.2, XP_006242333.2	XP_026257220.1
OG0002625	NP_077068.1, NP_001401832.1	XP_026262852.1
OG0002626	NP_954700.1	XP_026254566.1
OG0002627	NP_001020817.1, XP_006231380.1	XP_026253181.1
OG0002628	NP_001028236.1, XP_038964996.1	XP_026263713.1
OG0002629	XP_006231592.1, NP_001007149.2	XP_026263666.1, XP_026263665.1
OG0002630	NP_001100918.1	XP_026240076.1, XP_026240077.1, XP_026240078.1, XP_026240075.1
OG0002631	NP_955419.1, XP_006241571.1	XP_026238878.1
OG0002632	XP_063129062.1, NP_062055.1	XP_026251105.1
OG0002633	XP_006243407.1, NP_037308.1	XP_026240557.1
OG0002634	NP_001400472.1	XP_026240600.1, XP_026240599.1
OG0002635	NP_001101620.1, XP_006243179.1	XP_026243580.1, XP_026243579.1, XP_026243581.1
OG0002636	NP_001413919.1, XP_038944709.1	XP_026249330.1
OG0002637	NP_001358896.1, XP_017454919.1	XP_026238493.1
OG0002638	XP_006248466.1, NP_001414377.1	XP_026251337.1, XP_026251328.1
OG0002639	NP_001014252.1, XP_006248517.1	XP_026251379.1
OG0002640	NP_001008770.1, XP_063137823.1	XP_026252868.1
OG0002641	NP_942061.2	XP_026237229.1, XP_026237227.1, XP_026237228.1
OG0002642	NP_620432.2, XP_038957607.1	XP_026238621.1
OG0002643	NP_001011923.1, XP_038951416.1	XP_026262895.1
OG0002644	XP_003751758.1, NP_001414128.1	XP_026270390.1, XP_026270386.1, XP_026270389.1, XP_026270388.1, XP_026270387.1
OG0002645	NP_001414369.1, XP_006234278.1	XP_026257236.1
OG0002646	NP_001127976.1, XP_006234375.1	XP_026245320.1, XP_026245321.1
OG0002647	NP_001257967.1, XP_038960342.1	XP_026261427.1, XP_026261428.1
OG0002648	XP_006245018.1, NP_001012003.1	XP_026261126.1
OG0002649	XP_006245020.1	XP_026261115.1
OG0002650	NP_598244.2, XP_008765294.1	XP_026261099.1
OG0002651	XP_038940565.1, XP_063124230.1, XP_006245350.1, XP_063124229.1	XP_026246240.1
OG0002653	XP_038946574.1, NP_001005871.1	XP_026253028.1
OG0002654	NP_001381099.1, XP_006250017.1, NP_001381100.1, NP_001381101.1	XP_026246491.1
OG0002655	NP_446093.1	XP_026266116.1
OG0002656	XP_063136090.1, NP_001171153.1	XP_026266120.1
OG0002657	NP_001100406.1, XP_006257243.1	XP_026235674.1
OG0002658	NP_001070903.1, NP_001032442.1, XP_063134716.1	XP_026236592.1, XP_026235926.1
OG0002659	NP_001395770.1, NP_001101411.1	XP_026265095.1, XP_026265094.1
OG0002660	NP_001094012.1	XP_026257159.1
OG0002660	NP_001161138.1	XP_026236187.1
OG0002661	XP_038955687.1, NP_001178515.1	XP_026243350.1
OG0002662	NP_037329.1, XP_038955432.1	XP_026263203.1
OG0002663	XP_006257176.1, NP_001387859.1	XP_026255762.1
OG0002664	NP_001100415.1, XP_063135965.1	XP_026255765.1, XP_026255766.1
OG0002665	NP_001178664.1, XP_038955603.1	XP_026269608.1
OG0002666	XP_008771823.1, NP_954534.1	XP_026236851.1
OG0002667	NP_001128318.1	XP_026254708.1
OG0002667	NP_001102562.1	XP_026267401.1
OG0002668	XP_006236653.1, NP_062042.1	XP_026260987.1
OG0002669	XP_017447852.2, XP_038961983.1	XP_026242230.1, XP_026242227.1, XP_026242228.1, XP_026242229.1
OG0002670	NP_001414447.1	XP_026268983.1, XP_026268984.1, XP_026268979.1, XP_026268982.1
OG0002676	XP_063119311.1, NP_001009665.1	XP_026240342.1, XP_026240343.1, XP_026240341.1
OG0002677	NP_476492.2, XP_063133813.1	XP_026251506.1, XP_026251508.1
OG0002678	NP_062038.2, XP_063121073.1	XP_026248343.1
OG0002679	NP_671694.1	XP_026270343.1
OG0002679	NP_001099208.1	XP_026270342.1
OG0002681	NP_954865.1	XP_026266723.1
OG0002681	NP_001163814.1	XP_026264343.1
OG0002682	XP_063131118.1, NP_579841.2	XP_026244366.1
OG0002683	NP_113700.2	XP_026235758.1
OG0002684	NP_001041330.1, XP_038946578.1, NP_001041338.2, XP_017454266.1, XP_063128298.1, NP_001316828.2	XP_026258679.1
OG0002685	XP_017457568.1, NP_001091051.1	XP_026250947.1, XP_026250945.1, XP_026250946.1
OG0002686	XP_006239767.1, NP_001178698.1	XP_026266791.1
OG0002687	NP_001019430.2, XP_063138049.1	XP_026263237.1
OG0002688	NP_112274.1, XP_006229469.1	XP_026243931.1
OG0002689	NP_113838.1	XP_026247717.1
OG0002690	NP_037316.3, XP_038958178.1	XP_026262012.1, XP_026262010.1, XP_026262013.1, XP_026262011.1
OG0002691	NP_036990.1	XP_026262171.1
OG0002692	XP_038948894.1, NP_596902.1	XP_026255541.1
OG0002693	XP_006236664.1, NP_113832.1	XP_026263232.1, XP_026263231.1, XP_026263236.1, XP_026263234.1, XP_026263230.1, XP_026263233.1, XP_026263235.1
OG0002694	NP_001178597.1	XP_026264646.1
OG0002695	NP_001290545.1	XP_026258592.1
OG0002696	NP_071955.1	XP_026264584.1
OG0002697	NP_065418.3	XP_026259419.1
OG0002698	NP_001273867.1, NP_001013115.1	XP_026267008.1
OG0002699	NP_001101729.1, XP_063136174.1	XP_026247995.1
OG0002700	NP_037244.1, XP_006250300.1	XP_026236397.1, XP_026236398.1
OG0002701	XP_038958447.1, NP_714944.1	XP_026252304.1, XP_026252305.1
OG0002702	NP_001257969.1	XP_026239284.1, XP_026252521.1
OG0002703	XP_008759681.1, NP_058997.1	XP_026235472.1
OG0002704	XP_017450522.1, NP_001008805.1	XP_026254408.1
OG0002705	NP_001100233.1	XP_026244851.1
OG0002706	XP_006229966.1, NP_001316819.1	XP_026256743.1
OG0002706	NP_072160.2, XP_008758034.2	XP_026256742.1
OG0002707	NP_001000567.1	XP_026235384.1, XP_026235355.1
OG0002710	NP_001000849.1	XP_026265153.1
OG0002710	NP_001000975.1	XP_026265181.1
OG0002711	NP_001001287.1, NP_001001281.1, XP_038941007.1, NP_001388431.1	XP_026256832.1
OG0002712	XP_038949982.1, NP_001001015.1	XP_026267811.1
OG0002713	NP_001000487.1, XP_017450284.1, NP_001000073.1, NP_001000076.1, NP_001000057.1, XP_017453530.1, NP_001000705.1	XP_026237780.1, XP_026254165.1, XP_026237781.1
OG0002714	XP_008762508.1, NP_741991.3	XP_026259429.1
OG0002715	XP_063138905.1, NP_001138331.2	XP_026236535.1
OG0002717	NP_001094054.1, XP_038946774.1	XP_026260422.1
OG0002718	NP_445911.1, XP_006254992.1	XP_026265753.1
OG0002719	NP_001008300.1, XP_006254956.1	XP_026257782.1
OG0002720	XP_017445133.1, NP_068641.2	XP_026236630.1
OG0002721	NP_001263691.1	XP_026253401.1
OG0002722	NP_001414406.1, XP_038955797.1	XP_026270350.1
OG0002723	XP_038940342.1, NP_001014187.1	XP_026270045.1
OG0002724	XP_063143047.1, NP_001300864.1, XP_038956067.1	XP_026236956.1
OG0002725	NP_001020039.1, XP_063140249.1	XP_026262140.1
OG0002726	NP_001017514.1, XP_038943426.1	XP_026262168.1, XP_026261992.1
OG0002727	XP_006228457.1, NP_001099698.1	XP_026259492.1
OG0002728	NP_001257630.1, NP_001257631.1, XP_006228531.1, NP_075410.2, NP_001257632.1	XP_026259604.1
OG0002729	NP_446106.1, XP_006228427.1	XP_026259582.1
OG0002730	NP_001162617.1, XP_063122552.1, XP_038950006.1, XP_038961985.1	XP_026267343.1
OG0002731	NP_001026813.1, XP_063132319.1, XP_063128790.1	XP_026263928.1
OG0002732	NP_001387844.1	XP_026257048.1, XP_026257046.1
OG0002733	NP_001013111.1	XP_026268793.1
OG0002734	NP_001030121.1, XP_006239324.1	XP_026256604.1
OG0002735	XP_008762495.1	XP_026256559.1
OG0002736	XP_063137517.1, NP_001414001.1, NP_001414002.1	XP_026241680.1
OG0002737	XP_006231791.1, NP_001102938.1	XP_026264565.1
OG0002738	XP_038957600.1, NP_612525.1	XP_026259891.1
OG0002739	XP_008757783.1, NP_445980.2	XP_026243879.1
OG0002740	XP_006251308.1, NP_001178609.1, NP_001399442.1, NP_001399441.1	XP_026251056.1
OG0002741	XP_038948455.1, NP_001414394.1	XP_026243309.1
OG0002742	NP_954545.1	XP_026235240.1
OG0002743	NP_071623.2, XP_063129644.1	XP_026235221.1
OG0002744	NP_001291670.1, XP_017457017.1	XP_026249524.1, XP_026249523.1
OG0002745	XP_038954535.1, NP_001120924.1	XP_026250449.1
OG0002746	XP_038955084.1, NP_612539.2, XP_017457025.1	XP_026250413.1
OG0002747	XP_008765881.1, NP_569099.1	XP_026244094.1
OG0002748	NP_788263.2, XP_008758969.2	XP_026266030.1
OG0002749	NP_001099205.1, XP_038942734.1	XP_026236622.1
OG0002750	NP_446226.3, XP_038936630.1	XP_026259281.1
OG0002751	NP_001101614.1, XP_006243068.1	XP_026248396.1
OG0002752	XP_006240547.1, NP_067734.1	XP_026250031.1
OG0002753	NP_001013879.1, XP_063124683.1	XP_026264501.1
OG0002754	NP_001101418.1, XP_038965839.1	XP_026264524.1
OG0002755	XP_038966422.1, NP_001102448.1	XP_026253678.1
OG0002756	NP_001386043.1, NP_001386042.1	XP_026248793.1, XP_026248794.1
OG0002757	NP_001020229.2	XP_026237973.1
OG0002758	XP_221997.5	XP_026268994.1
OG0002759	XP_063138300.1, NP_958822.1	XP_026259105.1, XP_026261924.1, XP_026259123.1, XP_026259124.1
OG0002760	NP_112259.1, NP_001382504.1, XP_038945218.1	XP_026252690.1
OG0002761	NP_001020204.1, XP_063127647.1	XP_026261450.1
OG0002762	NP_001414023.1	XP_026256130.1, XP_026256128.1, XP_026256129.1
OG0002763	XP_063125336.1, NP_001013143.1	XP_026265029.1
OG0002764	XP_006245822.1, NP_112265.1	XP_026241434.1
OG0002765	XP_017453011.1, NP_071799.2	XP_026241450.1
OG0002766	NP_001414055.1, XP_038943020.1	XP_026241394.1, XP_026241392.1
OG0002767	NP_001020189.1, XP_006233185.1	XP_026258550.1, XP_026258549.1
OG0002768	XP_063138514.1, NP_001028251.1	XP_026258625.1
OG0002769	NP_001399480.1, NP_996764.1, XP_006233202.1	XP_026258552.1
OG0002770	XP_063123671.1, NP_001101972.2	XP_026258259.1, XP_026258260.1, XP_026258258.1, XP_026258257.1
OG0002771	XP_038946276.2, NP_036797.2	XP_026252985.1
OG0002772	XP_038946759.1, NP_001012030.1	XP_026257273.1, XP_026257274.1
OG0002773	NP_001014153.1	XP_026261038.1, XP_026261039.1
OG0002774	NP_001029068.1, XP_006232699.1	XP_026260873.1
OG0002775	NP_001099915.1, XP_063137685.1	XP_026260772.1
OG0002776	XP_006232836.1, NP_112268.1	XP_026260731.1
OG0002777	XP_006254518.1, NP_001258404.1	XP_026255788.1
OG0002778	XP_063133647.1, NP_001119771.2	XP_026243820.1
OG0002779	NP_001124471.1, XP_063118250.1	XP_026269759.1, XP_026269768.1, XP_026269751.1
OG0002780	NP_001101494.1, XP_038968168.1	XP_026252181.1
OG0002781	XP_038949718.1	XP_026239871.1
OG0002782	XP_006240298.1, NP_955790.1	XP_026240879.1
OG0002783	NP_001034414.1, XP_038967985.1	XP_026258488.1
OG0002784	XP_006240444.1, NP_001101515.1	XP_026257949.1
OG0002785	NP_001026827.1, XP_006240494.1	XP_026250013.1
OG0002786	XP_038969286.1, NP_001414144.1	XP_026267566.1
OG0002787	NP_001103142.1, XP_006240611.1	XP_026255224.1, XP_026255223.1
OG0002789	XP_038941628.1, NP_077331.1	XP_026262422.1, XP_026262423.1
OG0002790	XP_006247170.1	XP_026253868.1
