Orthogroup	Ictidomys_tridecemlineatus	Rattus_norvegicus
OG0001045	XP_005325039.1	NP_001007660.2
OG0001047	XP_005320821.1	NP_001123511.1, XP_006230505.1
OG0001048	XP_040149845.1, XP_040149846.1, XP_005336067.1, XP_021589411.1	XP_038958959.1, NP_071589.1
OG0001049	XP_013213984.1, XP_005316808.1	NP_001012355.1
OG0001050	XP_005340677.1	NP_001129311.1, XP_006229653.1
OG0001051	XP_005331124.1	NP_001381158.1, XP_038944203.1, NP_852138.2
OG0001052	XP_005340198.1, XP_040138163.1	XP_006254161.1, NP_001012053.2, XP_063133019.1
OG0001053	XP_021591276.1	NP_001011665.1, XP_038954563.1
OG0001054	XP_005324450.1, XP_021581452.1	NP_036849.2, XP_006234501.1
OG0001055	XP_040136059.1, XP_040136018.1	XP_017457722.1, XP_063136593.1
OG0001056	XP_013219902.1, XP_013219900.1, XP_005338716.1, XP_013219901.1	NP_001013979.2, XP_006256769.1
OG0001060	XP_013221336.1, XP_005342289.1, XP_005342492.1	NP_001000591.1, NP_001000063.1
OG0001061	XP_013219017.1	NP_001009681.1
OG0001062	XP_005332474.1	NP_001101323.1
OG0001062	XP_005323726.1	NP_001386603.1
OG0001064	XP_005323256.2	NP_001000121.1, XP_038961998.1
OG0001064	XP_021580862.1	NP_001000935.1, NP_001000504.1
OG0001065	XP_005334943.1	NP_446168.1
OG0001065	XP_005334944.1	NP_036690.2, XP_038951270.1
OG0001066	XP_040127571.1, XP_040127570.1, XP_040129802.1, XP_040129803.1, XP_040124052.1	NP_001101679.1, NP_001013244.1, XP_006244779.1
OG0001067	XP_005338255.1	NP_058772.2
OG0001067	XP_005338257.1	NP_001012064.1
OG0001068	XP_040135958.1	NP_001258162.1, XP_006228912.1
OG0001069	XP_005334329.1	XP_017456135.1
OG0001070	XP_013215640.1	NP_001386431.1
OG0001071	XP_013219765.1	NP_001013185.1, XP_038965709.1, NP_001380980.1
OG0001072	XP_040131703.1, XP_013215148.1, XP_005316943.1, XP_040131705.1, XP_040131704.1, XP_021584609.1, XP_040147853.1	NP_001100988.1, XP_006229354.1
OG0001074	XP_021591114.1	XP_038950121.1, NP_036731.2
OG0001074	XP_005342733.4	NP_073195.2, XP_006231311.1
OG0001075	XP_005339862.1	XP_006233389.1, NP_001129343.1
OG0001075	XP_021582478.1	NP_001094304.1, XP_038954538.1
OG0001076	XP_021584752.1, XP_040127892.1, XP_021584753.1, XP_021584754.1, XP_021584755.1	NP_001386068.1
OG0001077	XP_021590293.1	XP_006246817.1, NP_001139227.2, XP_063126103.1
OG0001078	XP_040150395.1, XP_040144685.1, XP_040139697.1, XP_040138555.1, XP_040137922.1, XP_040139567.1	XP_038942919.1
OG0001079	XP_005339311.1	NP_001004237.1, XP_063143572.1
OG0001080	XP_040133003.1	NP_001020584.1, XP_006249000.1
OG0001080	XP_040133987.1	XP_006242075.1, NP_001166841.1
OG0001082	XP_005327222.1	XP_006245817.1, NP_001100443.1
OG0001082	XP_005322258.1	XP_017450260.1, NP_001008324.1
OG0001083	XP_040142910.1, XP_021590628.1	XP_063126045.1, NP_114026.3
OG0001084	XP_005326605.1, XP_013214656.1, XP_040132857.1, XP_040132858.1, XP_013214655.1, XP_005326606.1	XP_006250449.1, NP_001013203.1
OG0001085	XP_021586223.1	XP_038957489.1, NP_446159.1
OG0001086	XP_021580701.1, XP_040129246.1	NP_001120847.1, XP_038953019.1
OG0001087	XP_013219954.1, XP_013218261.1	NP_001400700.1
OG0001087	XP_005329193.1	NP_476536.2
OG0001088	XP_005322881.1	XP_038968920.1
OG0001089	XP_005334722.1, XP_040129984.1	XP_006240663.1, NP_001008526.1
OG0001090	XP_005332614.1	XP_063125304.1, NP_001007675.1, XP_038956923.1
OG0001091	XP_005339068.1	XP_006256127.1, NP_058892.1
OG0001091	XP_005321144.1	NP_001102048.1
OG0001092	XP_005321044.1	XP_038961180.1, NP_001101303.1
OG0001093	XP_040136405.1	XP_038935296.1, NP_001102198.1
OG0001094	XP_005322396.1, XP_040134945.1, XP_021580144.1	NP_001388010.1
OG0001095	XP_005339146.1, XP_005342973.3	NP_113920.2, XP_063123775.1
OG0001096	XP_040126754.1	XP_038940086.1, NP_113865.1, NP_001399528.1
OG0001097	XP_013218857.1	NP_001101682.1, XP_063123227.1
OG0001098	XP_040142139.1	NP_445740.1
OG0001099	XP_040142161.1, XP_040142159.1, XP_040142163.1, XP_040142160.1, XP_040142164.1	NP_001258169.1, XP_006234061.1
OG0001100	XP_040138307.1, XP_005339055.1, XP_040138306.1	XP_006256137.1, NP_001029329.1
OG0001101	XP_005318777.1	NP_001386064.1, XP_006244532.1, NP_001386067.1, NP_001386065.1, NP_001386066.1
OG0001102	XP_013219579.1, XP_005338069.1	NP_542963.2, XP_006238023.1
OG0001103	XP_040148248.1, XP_005333351.2	NP_110472.2, NP_001381519.1, NP_446099.1
OG0001104	XP_040147639.1	XP_008760904.1, NP_001099182.1
OG0001104	XP_005327031.1	NP_001099181.1, XP_063120964.1
OG0001105	XP_005319331.1	XP_006236573.2, NP_001025098.1
OG0001106	XP_040147760.1, XP_005319235.1, XP_040147759.1, XP_040147761.1, XP_040147758.1	NP_001101331.1, XP_006236610.1
OG0001107	XP_040124208.1, XP_005330621.1, XP_013216378.1, XP_040124212.1, XP_040124216.1, XP_040124215.1, XP_040124209.1	NP_001020054.1, XP_008769575.1
OG0001108	XP_040124908.1, XP_013220532.1	XP_006253294.1, NP_001012352.1
OG0001109	XP_013212819.1	NP_001020291.1, XP_038968096.1
OG0001111	XP_005331612.1	NP_001388322.1
OG0001111	XP_040145372.1	XP_006249474.1, NP_001414550.1
OG0001112	XP_005331649.1	NP_113807.2
OG0001112	XP_040140265.1	NP_001099957.1, XP_006234511.1
OG0001113	XP_013217489.1, XP_005333505.1, XP_040140070.1	XP_063138814.1, NP_062025.1
OG0001114	XP_005331589.1	XP_063137036.1, NP_647557.1
OG0001114	XP_040146860.1	XP_038944998.1, NP_653359.1
OG0001115	XP_040136410.1, XP_021576138.1	XP_002730329.2, NP_001032293.1, XP_006257316.1
OG0001116	XP_005336290.1	NP_001032733.1, XP_006255314.1
OG0001117	XP_040146398.1, XP_005336185.1	NP_476493.2, XP_006242653.1
OG0001118	XP_005331597.1	NP_001006976.1, XP_038964601.1, XP_006231172.1, XP_038957275.1, NP_001395687.1, XP_038957283.1, XP_063137094.1
OG0001119	XP_005337240.1	XP_006242582.1, NP_001020158.1
OG0001120	XP_005336022.1	XP_006229335.1, NP_001120976.1
OG0001121	XP_005330267.1, XP_040137484.1, XP_040137486.1, XP_040137485.1, XP_040137487.1	XP_063130551.1, NP_001012210.1
OG0001122	XP_005330265.1	NP_001101850.1, XP_038949426.1
OG0001123	XP_005337970.1	XP_006244124.1, NP_620188.1
OG0001124	XP_005327091.1	NP_001032861.2, XP_038937119.1
OG0001125	XP_005325778.1	NP_112271.2, NP_112247.2, XP_008769816.1
OG0001126	XP_040131378.1	NP_001094308.1, XP_017447098.1
OG0001127	XP_005317125.1, XP_040137564.1, XP_013216393.1	XP_006248878.1, NP_001006957.1
OG0001128	XP_021582766.1	XP_006245476.1, NP_001102277.1
OG0001129	XP_005326456.1	NP_073184.3, XP_038940110.1
OG0001130	XP_005335301.1	NP_414541.1, XP_006231440.1
OG0001131	XP_005338101.1, XP_040149858.1, XP_040149857.1	XP_006232215.1, NP_446224.1
OG0001132	XP_005316993.1, XP_040131229.1	XP_038938428.1, XP_063122412.1, XP_576426.2, XP_038938419.1, XP_038938427.1, XP_038938422.1, XP_038938429.1, XP_063122413.1, XP_063122269.1, NP_001385946.1
OG0001133	XP_040129914.1	XP_006243240.1, NP_001386356.1
OG0001134	XP_005337314.1	XP_006250789.3, NP_001012034.1
OG0001135	XP_021581579.1, XP_005324626.1, XP_040150375.1	NP_001007643.1
OG0001136	XP_005324658.1	XP_038960272.1, NP_001094112.1
OG0001137	XP_013221431.2	XP_006250315.1, NP_001009539.1
OG0001138	XP_005319561.1	XP_063136454.1
OG0001138	XP_040143518.1, XP_040138994.1	XP_002730221.1
OG0001139	XP_040139605.1, XP_005327557.1, XP_040139606.1	NP_001100819.1, XP_006253889.1
OG0001139	XP_005340705.1	NP_001164044.1
OG0001141	XP_005338905.1, XP_005342399.1, XP_013221670.1, XP_013221094.1, XP_005338896.1	NP_001001119.1, NP_001001421.1, NP_001001397.1, NP_001001422.1
OG0001143	XP_040139685.1, XP_040139686.1, XP_005342764.1	XP_006229979.1, XP_006229977.1, NP_001014045.1, XP_006229974.1
OG0001144	XP_040141673.1	XP_038940384.1, NP_001014188.1, NP_001406427.1
OG0001145	XP_013211801.2	NP_037151.2
OG0001146	XP_005323033.1	NP_113906.2
OG0001146	XP_005341536.1	NP_001032734.1, XP_063130300.1
OG0001147	XP_005333139.1	NP_001094194.1
OG0001148	XP_005339969.1, XP_040125929.1, XP_040125930.1	XP_006232469.1, NP_073637.1
OG0001149	XP_013215970.1	XP_038958936.1, NP_001020794.1
OG0001150	XP_013221721.1, XP_013220059.1, XP_013221893.1, XP_005338991.1	NP_001008831.1
OG0001151	XP_005331981.1	NP_001160150.1, NP_001074406.1
OG0001152	XP_005335975.1	XP_006238442.1, NP_570825.1
OG0001152	XP_005335984.2	NP_113738.1, XP_063143236.1
OG0001153	XP_040146352.1	NP_001164018.1, XP_006237111.1, NP_001164019.1, NP_001164017.1
OG0001154	XP_013221781.1	NP_001000320.1
OG0001156	XP_005328465.1	NP_001000479.1, NP_001000478.1
OG0001157	XP_005320909.1	NP_001000555.1, NP_001000243.1, NP_001000238.1, NP_001000764.1, NP_001001040.1, NP_001000233.1, NP_001000766.1, NP_001001039.1, NP_001000765.1, NP_001000242.1, NP_001000955.1, NP_001000240.1, NP_001000241.1
OG0001159	XP_040137998.1	NP_036892.1, XP_063137410.1
OG0001160	XP_005334899.1	NP_001007691.1, XP_006227702.1
OG0001161	XP_005337492.3, XP_040141538.1, XP_040141540.1, XP_005337490.1, XP_040141539.1	NP_579858.2, XP_006253588.1
OG0001162	XP_005340481.1	NP_446179.2, XP_006253729.1
OG0001163	XP_005342267.1, XP_021577026.1	NP_001387867.1
OG0001164	XP_040135563.1, XP_021590879.1, XP_040135562.1, XP_040135561.1	NP_001020851.1, XP_006228480.1
OG0001165	XP_005336494.1	XP_006228644.1, NP_001017513.1
OG0001166	XP_021585730.1	NP_036963.1, XP_038957466.1
OG0001167	XP_040134078.1	XP_017456071.1, XP_006237779.1
OG0001168	XP_013218804.1, XP_005317742.1, XP_040144149.1, XP_021590389.1	NP_001108509.1
OG0001169	XP_021589120.1	NP_620272.3, XP_006239434.1
OG0001170	XP_013211344.1	XP_063129745.1, NP_445791.2
OG0001171	XP_013217575.1, XP_005333804.1, XP_013217596.1, XP_013217584.1, XP_040129214.1	NP_064481.1, NP_001395678.1
OG0001172	XP_013220278.1	XP_063121067.1, NP_775422.1
OG0001174	XP_040125567.1, XP_013220272.1, XP_005339522.1, XP_013220271.1, XP_013220270.1	NP_001385773.1, NP_001385774.1, XP_038943194.1
OG0001175	XP_005318475.1	XP_038954172.1
OG0001176	XP_005318459.1	NP_001099656.1
OG0001177	XP_040134523.1	XP_063127949.1
OG0001177	XP_040134046.1	XP_038945992.1
OG0001177	XP_040134045.1	XP_038946040.2
OG0001178	XP_013214707.1	NP_073180.1, XP_038961739.1
OG0001179	XP_021589394.1	NP_001400254.1, XP_006247755.1
OG0001179	XP_021575638.2	XP_038945791.1
OG0001180	XP_005339889.1, XP_040134229.1, XP_040134230.1, XP_021575489.1	XP_006249019.1, NP_001102532.1
OG0001181	XP_005338148.1	NP_037238.1
OG0001181	XP_005340722.1	NP_037277.1
OG0001182	XP_005334128.1	XP_006233516.1, NP_783187.1
OG0001183	XP_005321284.1, XP_005319422.1	NP_001004445.1, NP_001014791.1
OG0001184	XP_040134152.1	XP_008768069.1, NP_001099459.2
OG0001185	XP_005319749.1	NP_001388309.1, XP_063128385.1
OG0001186	XP_013211628.1, XP_005319884.1	XP_006250217.1, NP_001020839.1
OG0001187	XP_040136469.1	XP_038959215.1, NP_598240.1, XP_038934273.1, XP_063124231.1
OG0001188	XP_040130054.1	XP_063130478.1, NP_001386633.1
OG0001189	XP_021585298.1	NP_001400143.1, NP_110486.1, XP_063140681.1
OG0001190	XP_040125029.1, XP_005321588.1, XP_040125030.1, XP_040125028.1	NP_919443.1
OG0001191	XP_021590045.1	NP_446116.2, NP_001409929.1, XP_006233793.1
OG0001192	XP_040133163.1	NP_001123983.1, XP_006242186.1
OG0001193	XP_021589281.1	XP_063124394.1, NP_570095.2
OG0001194	XP_005340444.1	NP_001102136.2, XP_006238227.1
OG0001195	XP_005341098.1	XP_038954571.1, NP_001159747.1
OG0001196	XP_013220069.2	XP_006256016.3, NP_997628.1
OG0001197	XP_005318831.2	XP_006256284.1, NP_001012174.1
OG0001198	XP_040138917.1	NP_001380846.1, XP_008764471.1
OG0001199	XP_005324817.1, XP_021581735.1, XP_021581734.1, XP_040138928.1	NP_113995.2, XP_006243561.1
OG0001200	XP_005330194.1	XP_063135574.1, NP_001102918.1
OG0001201	XP_005330198.1	NP_001037748.1
OG0001201	XP_005340029.1	XP_038955826.1, NP_001102287.2
OG0001202	XP_005329410.1	NP_001029063.1
OG0001202	XP_005333322.1	NP_001101827.1
OG0001203	XP_005334744.1, XP_040147403.1	XP_006236094.1, NP_001101316.1
OG0001204	XP_040147716.1, XP_040147715.1, XP_021577924.1, XP_013211402.1, XP_005319188.1	NP_001013103.1, XP_006236548.1
OG0001205	XP_040147772.1, XP_040147773.1	XP_038937290.1, NP_001178720.1
OG0001206	XP_005317879.1	XP_006238957.1, NP_001102446.1
OG0001207	XP_040144403.1, XP_040144404.1, XP_021591705.1, XP_040144405.1	XP_006238841.1, NP_001101442.1
OG0001208	XP_021576572.1, XP_040130359.1, XP_013221223.1, XP_040130358.1, XP_021576571.1, XP_013221224.1	NP_001007682.1, XP_006251940.1
OG0001209	XP_040134995.1, XP_005342695.1	XP_038934389.1, NP_113741.1
OG0001210	XP_005327604.1	XP_017456700.1, NP_001376190.1
OG0001211	XP_040149139.1	NP_001182761.1, XP_006232742.1, NP_001009691.3
OG0001211	XP_021586076.1	XP_038959175.1
OG0001212	XP_013216467.1, XP_005330989.1, XP_040149077.1	XP_006232576.1, NP_954536.1
OG0001213	XP_040149306.1	NP_001127888.1, XP_063131280.1
OG0001214	XP_005329277.1	NP_036952.1, XP_006253184.1
OG0001215	XP_005322681.1, XP_040127265.1	NP_036818.2
OG0001216	XP_040139800.1, XP_021576700.1, XP_040139801.1, XP_005341673.1	NP_001257691.1, NP_620805.2, XP_038957644.1, NP_001257692.1
OG0001218	XP_005333133.1	NP_001100333.2
OG0001218	XP_040147115.1	XP_063122545.1
OG0001218	XP_040146098.1	XP_008764870.1, NP_001388157.1
OG0001219	XP_040126075.1	NP_001382029.1, XP_006232323.1
OG0001219	XP_040137687.1	NP_001128270.1, XP_063131812.1
OG0001220	XP_021583951.1	XP_002730005.1
OG0001221	XP_040126490.1	NP_001395728.1, NP_001395726.1, NP_001395723.1
OG0001222	XP_021585189.1	NP_001166851.1, XP_063140466.1
OG0001223	XP_040131443.1	NP_001102927.1
OG0001224	XP_005325272.1	NP_001334461.1, XP_038961734.1
OG0001225	XP_040130736.1, XP_040130737.1, XP_005325269.1	NP_001100015.1, XP_008760706.1
OG0001226	XP_005342875.3, XP_005342890.2	XP_006252332.1, NP_001100745.1
OG0001227	XP_005325178.1, XP_005325048.1	NP_001414419.1, XP_038936556.1, NP_001094477.1, XP_038936319.1
OG0001228	XP_040132026.1, XP_040136497.1, XP_005325094.1, XP_005325095.1	NP_001008380.1
OG0001229	XP_005338431.1	NP_001386033.1, XP_006237451.1
OG0001230	XP_005338385.1, XP_021590932.1, XP_013219723.1, XP_005338384.1, XP_040126536.1	XP_038963602.1
OG0001231	XP_021575568.1, XP_040136784.1, XP_040136783.1, XP_040136786.1, XP_040136785.1, XP_005339987.1	NP_001414732.1, XP_006237759.1
OG0001232	XP_005324936.1	XP_063120539.1, NP_001395792.1, XP_038936491.1
OG0001233	XP_040136508.1	XP_006242445.1, NP_037303.1
OG0001234	XP_005339112.1	NP_001029179.1, NP_001029180.1, XP_006252722.1
OG0001235	XP_040131662.1, XP_040131663.1, XP_040131661.1, XP_005316590.1, XP_021582275.1	XP_006234953.1, NP_001156407.1
OG0001236	XP_013215136.1	NP_113810.2, XP_006243471.1
OG0001237	XP_021582560.1, XP_021582551.1, XP_021582553.1	NP_001295361.1
OG0001238	XP_005316688.1, XP_040131992.1, XP_021582733.1	NP_775434.1, XP_006243428.1
OG0001239	XP_005316774.2	NP_001020458.1, XP_038937671.1, XP_063124273.1, XP_038940879.1
OG0001240	XP_040130343.1	NP_001025095.1
OG0001241	XP_005323579.1	XP_017453430.1, NP_001011899.2
OG0001242	XP_005330150.1, XP_021585334.1	NP_001019477.1
OG0001243	XP_021576753.1	NP_001009684.1
OG0001246	XP_005337082.2	XP_006253989.1, NP_001099582.1
OG0001247	XP_040143242.1	NP_786932.2, XP_006250295.1
OG0001247	XP_005342596.1	NP_001405944.1, XP_063128613.1, NP_001129464.1
OG0001248	XP_040138526.1	NP_001100408.1, XP_006257225.1
OG0001249	XP_021580885.1	NP_001178818.1
OG0001249	XP_005316016.1	NP_075216.1, XP_006256887.1
OG0001250	XP_005316032.1, XP_040144650.1	NP_001020136.1, XP_063136310.1, NP_001258040.1, NP_001258041.1
OG0001251	XP_040141202.1, XP_040141204.1, XP_040141210.1, XP_013211508.1, XP_040141213.1	XP_038955597.1, NP_001178516.1
OG0001252	XP_040149514.1	NP_001107877.1, XP_006241791.1
OG0001253	XP_040140516.1	NP_036645.2, NP_001257559.1
OG0001254	XP_021583555.1	NP_037035.2
OG0001255	XP_021578139.1, XP_005319582.1, XP_021578140.1, XP_021578138.1, XP_040128529.1	XP_006231915.1, NP_112619.2
OG0001256	XP_040129127.1	NP_742005.1, XP_008765901.1
OG0001257	XP_040147012.1, XP_040147014.1, XP_040147013.1, XP_005334603.1	NP_036663.1, XP_006248665.1
OG0001258	XP_005330960.1	XP_008759324.3, NP_942064.1
OG0001260	XP_040131826.1, XP_013214104.1	NP_001030099.1, XP_063139952.1
OG0001261	XP_005327502.1	XP_006234695.1, NP_037133.1
OG0001262	XP_005333044.1, XP_005333047.1	NP_113875.1
OG0001263	XP_005340606.1	NP_110476.1
OG0001264	XP_040131430.1	NP_058688.2
OG0001264	XP_005320590.1, XP_005320589.1	NP_037128.1
OG0001266	XP_040144805.1, XP_005330736.1, XP_013216398.1, XP_040144806.1	NP_001012183.1, XP_006233582.1
OG0001267	XP_005342293.1	NP_001001074.1, NP_001000940.1
OG0001268	XP_005323365.1, XP_005323364.1, XP_005323363.1, XP_005323169.1	NP_001000131.1, NP_001000134.1
OG0001269	XP_005323174.1	NP_001001022.1, XP_038952315.1, NP_001000748.1, NP_001000129.1
OG0001271	XP_005325255.1	NP_001102814.1
OG0001271	XP_021575820.2	NP_001178872.1
OG0001272	XP_005334657.1	NP_001178895.1
OG0001272	XP_005336640.1	NP_542152.1
OG0001273	XP_005338242.1, XP_013219672.1, XP_013219673.1	NP_001101946.1, NP_001386541.1, NP_001386543.1, NP_001386542.1, NP_001386539.1, NP_001386540.1
OG0001274	XP_021589696.1	NP_001099708.1, XP_063139397.1
OG0001275	XP_021585725.1, XP_040137410.1	XP_063122588.1, NP_001121024.1
OG0001276	XP_005337003.1	NP_446086.1
OG0001277	XP_005324284.1	XP_006254712.1, NP_036978.1
OG0001278	XP_005324275.1	NP_001165626.1, XP_017456384.1
OG0001279	XP_005315703.1, XP_013214771.1	NP_001013174.1, XP_006231903.1
OG0001280	XP_040131046.1, XP_021578600.1, XP_040131044.1, XP_021578602.1, XP_040131045.1, XP_005320226.1, XP_021578599.1	NP_001414652.1
OG0001282	XP_005338600.1	NP_037010.1
OG0001283	XP_040129085.1, XP_040129086.1, XP_005325896.1, XP_013219827.2	XP_006252875.1, NP_001128269.1
OG0001284	XP_040129721.1	XP_063132735.1, NP_001012213.1
OG0001284	XP_021587571.1	NP_075237.1, XP_038945795.1
OG0001285	XP_005319713.1	XP_038958184.1, NP_001013175.1
OG0001286	XP_040127818.1, XP_021587252.2, XP_040127817.1	XP_038952114.1
OG0001286	XP_040148990.1	XP_063137242.1, NP_446426.1
OG0001287	XP_040141325.1, XP_005328445.1	NP_446094.1, XP_017450895.1
OG0001288	XP_013219264.2	NP_001102504.1
OG0001289	XP_005341560.1	XP_038942496.1, NP_001178849.1
OG0001289	XP_013221227.1	NP_001014140.1, XP_063125403.1
OG0001290	XP_040143682.1, XP_005339318.1, XP_040143683.1, XP_021591583.1	NP_001007704.1, XP_006239638.1
OG0001291	XP_005339280.1	NP_001013959.1
OG0001291	XP_005319385.1	NP_001013983.1
OG0001292	XP_005318449.1, XP_013221602.1	XP_008770785.2, NP_001388040.1
OG0001293	XP_040133458.1	NP_001101021.2, XP_006230334.1
OG0001294	XP_005337757.1	NP_001395935.1
OG0001295	XP_005330385.1	NP_997470.2, XP_006249914.1
OG0001296	XP_040134472.1	NP_001014843.1, XP_006249777.1
OG0001297	XP_005335928.1	XP_038964546.1
OG0001298	XP_040130865.1, XP_040130866.1, XP_013219908.1, XP_021591265.1	NP_001102571.1, XP_006252066.1
OG0001299	XP_005336994.1	XP_006233778.1, NP_001102044.2
OG0001300	XP_005337002.1	XP_038962074.1, NP_001414137.1
OG0001301	XP_005321110.1	NP_001013182.3, XP_008759880.1
OG0001302	XP_005335068.1, XP_040132488.1	XP_063119697.1, NP_001128272.1
OG0001303	XP_013212674.1	XP_063129309.1, NP_001094035.1
OG0001304	XP_013213609.1, XP_040128627.1, XP_040128624.1, XP_040128626.1, XP_040128625.1, XP_021581339.1, XP_040128628.1, XP_040128629.1, XP_005324196.1, XP_040128630.1	NP_001124475.1
OG0001305	XP_005327320.1, XP_013214997.1	NP_955408.1, XP_008770247.1
OG0001306	XP_040146747.1	NP_001013121.2
OG0001306	XP_040129310.1	NP_001121045.1, XP_063120602.1, XP_063120457.1
OG0001308	XP_040138387.1, XP_040138388.1, XP_013211280.1, XP_013211279.1	XP_006256168.1, NP_543167.2
OG0001309	XP_005318763.1	NP_001020878.1, XP_063123157.1
OG0001310	XP_005318757.1	XP_006244497.1, NP_001129942.1
OG0001311	XP_005318715.1, XP_040138632.1, XP_013211244.1, XP_040138631.1	XP_006244578.1, NP_001009601.1
OG0001312	XP_005318642.1, XP_005318639.1, XP_005318640.1	NP_001012130.1
OG0001312	XP_005328868.1, XP_040128799.1	NP_445743.2
OG0001313	XP_005318583.1	NP_001102475.1, XP_008765183.1
OG0001314	XP_005316794.1	NP_001396229.1, NP_001007605.1, XP_234961.1
OG0001315	XP_040147695.1, XP_005319167.1, XP_040147696.1, XP_040147697.1	NP_001102702.1
OG0001316	XP_040144524.1	XP_017448876.1, NP_001389033.1, NP_001030085.1, NP_001395743.1, XP_038948805.1
OG0001317	XP_013213696.1	XP_063120096.1, NP_001014288.1, XP_038956530.1
OG0001318	XP_013215127.1	XP_017454452.1
OG0001318	XP_005327601.1	XP_006255470.1, NP_001119557.1
OG0001319	XP_013214702.2	NP_001029085.1
OG0001320	XP_013214720.1	NP_001019499.1, XP_063142578.1, NP_001008399.1
OG0001321	XP_005329268.1	XP_006253231.1, XP_577523.4, XP_006253232.1
OG0001322	XP_005322679.1	XP_006239958.1, NP_001100187.1
OG0001323	XP_013215813.1, XP_040127014.1, XP_021584828.1, XP_040127013.1	XP_006236770.1, NP_001102713.1
OG0001324	XP_005331240.1	XP_006232949.1, NP_001028872.2
OG0001325	XP_040143496.1, XP_005331265.1, XP_021586117.1, XP_040143497.1	XP_002729127.1, NP_001414660.1
OG0001326	XP_040147782.1, XP_040147783.1, XP_005319260.1	NP_001008299.1, XP_063132267.1
OG0001327	XP_040147589.1	XP_006240044.1, NP_001006981.1
OG0001328	XP_013215077.1	XP_038960298.1, NP_037057.1
OG0001329	XP_040139662.1	NP_113985.2, XP_006234659.1
OG0001330	XP_040142674.1	XP_063129851.1, NP_001406797.1
OG0001330	XP_021576201.2, XP_040142675.1	NP_001414085.1
OG0001331	XP_040142677.1	NP_001004260.1, XP_006230837.1
OG0001332	XP_040139973.1	XP_063137344.1, NP_036876.2
OG0001333	XP_005333480.1	NP_001257961.1
OG0001334	XP_005333852.1	XP_008761461.1, NP_001012097.1
OG0001335	XP_021583084.1	XP_038938555.1
OG0001336	XP_021586669.2	NP_001101536.2, XP_006240964.1
OG0001337	XP_005317412.1	XP_008764838.1
OG0001338	XP_040132221.1, XP_040132219.1, XP_040132217.1, XP_040132218.1, XP_040132220.1, XP_005320558.1	NP_001032173.2, XP_006235128.1
OG0001339	XP_040132106.1	NP_001386298.1, NP_001386297.1, NP_001386299.1, NP_001386296.1
OG0001340	XP_040137578.1, XP_005317111.1, XP_040137577.1	XP_006248897.1, NP_001101799.1
OG0001341	XP_013221502.1, XP_005342096.1, XP_013221503.1	XP_063127321.1, NP_001100588.1
OG0001342	XP_005329725.2, XP_040146883.1	NP_001396099.1, XP_063127672.1, NP_064463.1
OG0001343	XP_040147944.1	XP_006249604.1, NP_001100618.2
OG0001344	XP_013220436.1	XP_006251217.1, NP_598246.1
OG0001345	XP_021581785.1	XP_006242339.1, NP_620187.1
OG0001346	XP_040137774.1	XP_006242388.1, NP_001008359.1
OG0001347	XP_040136458.1, XP_005325134.1, XP_040136459.1	NP_001012224.1, XP_017450513.1
OG0001348	XP_013217548.1, XP_005333745.1, XP_013217543.1, XP_005333750.1	NP_631931.2, XP_006231495.1, XP_008758709.4, NP_114029.1
OG0001349	XP_040129026.1, XP_005333726.1, XP_005333727.1	NP_001014269.2, XP_006231609.1
OG0001350	XP_005320728.1, XP_040128608.1, XP_040128609.1	XP_038936705.1, NP_001013173.1
OG0001351	XP_005320729.1	XP_006231687.1, NP_058970.1
OG0001352	XP_005316581.1	XP_008760438.3
OG0001353	XP_040129840.1, XP_021584068.1, XP_040129843.1, XP_021584038.1, XP_013213675.1, XP_021584061.1, XP_040129838.1, XP_040129841.1, XP_040129845.1, XP_021584032.1, XP_040129839.1, XP_005316855.1, XP_040129842.1, XP_021584053.1, XP_040129844.1	NP_001386245.1
OG0001354	XP_013220414.1	XP_006233382.1, NP_001007641.1
OG0001355	XP_021576322.1	NP_001385699.1, XP_063126563.1, NP_001385700.1
OG0001356	XP_040126373.1	NP_446447.2, XP_006248540.1
OG0001357	XP_021583522.1	XP_038951797.1, NP_001101881.1
OG0001358	XP_040150538.1, XP_005324430.1, XP_021581432.1, XP_021581433.1	NP_001012131.1, XP_063123238.1
OG0001359	XP_021577271.2, XP_040142862.1, XP_040142863.1, XP_040142847.1, XP_040142848.1	NP_061998.1, XP_063136601.1, XP_017457706.2, XP_063135844.1, NP_620258.2
OG0001360	XP_005319569.2	XP_063136638.1
OG0001361	XP_040126617.1, XP_005334859.1	NP_001101491.1, XP_017457530.1
OG0001362	XP_005324063.1, XP_040133386.1	NP_113734.1, XP_063135887.1
OG0001363	XP_005338732.1	XP_006256772.1
OG0001364	XP_005337761.1	NP_001100418.1, XP_038955531.1
OG0001365	XP_013220805.1, XP_005340656.1	NP_001004224.1, XP_063135906.1
OG0001366	XP_005339846.1, XP_005339845.1	NP_536727.2, NP_001258039.1, NP_001258038.1, XP_006237986.1
OG0001368	XP_021586452.1, XP_005331985.1	NP_001160151.1, NP_001160161.1
OG0001368	XP_005331982.2, XP_005331983.1, XP_021586451.1	NP_001160162.1, XP_017447862.1, NP_001078866.1, NP_001103066.1
OG0001372	XP_040131739.1	NP_037330.1
OG0001372	XP_005324039.2	NP_387502.1
OG0001373	XP_021587351.2	NP_113715.1
OG0001373	XP_005329678.1	NP_001257912.1
