Orthogroup	Ictidomys_tridecemlineatus	Saimiri_boliviensis_boliviensis
OG0001119	XP_005337240.1	XP_003944999.1
OG0001120	XP_005336022.1	XP_039326868.1
OG0001121	XP_005330267.1, XP_040137484.1, XP_040137486.1, XP_040137485.1, XP_040137487.1	XP_010328400.1, XP_010328399.1, XP_003942290.1
OG0001122	XP_005330265.1	XP_010328394.1, XP_010328395.1
OG0001123	XP_005337970.1	XP_039333403.1, XP_039333404.1, XP_039333405.1
OG0001124	XP_005327091.1	XP_039317821.1
OG0001125	XP_005325778.1	XP_010334091.1
OG0001126	XP_040131378.1	XP_010345238.1
OG0001127	XP_005317125.1, XP_040137564.1, XP_013216393.1	XP_010339925.1
OG0001128	XP_021582766.1	XP_010339464.1
OG0001129	XP_005326456.1	XP_039325963.1
OG0001130	XP_005335301.1	XP_010331503.1, XP_010331501.1, XP_010331502.1, XP_003922366.1
OG0001131	XP_005338101.1, XP_040149858.1, XP_040149857.1	XP_003940244.1, XP_003940245.1
OG0001132	XP_005316993.1, XP_040131229.1	XP_039325047.1, XP_039325011.1
OG0001133	XP_040129914.1	XP_003944202.2, XP_010330338.2
OG0001134	XP_005337314.1	XP_039324428.1
OG0001135	XP_021581579.1, XP_005324626.1, XP_040150375.1	XP_039325918.1, XP_039325917.1, XP_039325916.1, XP_039325919.1
OG0001136	XP_005324658.1	XP_010350330.2
OG0001137	XP_013221431.2	XP_010346881.1, XP_010346880.1, XP_010346879.1
OG0001138	XP_005319561.1	XP_039319929.1, XP_039319931.1, XP_039319930.1
OG0001139	XP_040139605.1, XP_005327557.1, XP_040139606.1	XP_003927437.1
OG0001139	XP_005340705.1	XP_003943960.1
OG0001144	XP_040141673.1	XP_003928223.1
OG0001145	XP_013211801.2	XP_003940812.1
OG0001145	XP_005336504.1	XP_003943223.1
OG0001146	XP_005323033.1	XP_010344348.1
OG0001146	XP_005341536.1	XP_039325355.1
OG0001147	XP_005333139.1	XP_003926342.1
OG0001148	XP_005339969.1, XP_040125929.1, XP_040125930.1	XP_010334078.1, XP_003925085.1
OG0001149	XP_013215970.1	XP_003932497.1
OG0001150	XP_005338991.1	XP_003926451.1, XP_003926452.1
OG0001151	XP_005331981.1	XP_003934563.1, XP_010343398.2, XP_039317626.1, XP_003934567.1, XP_003934566.1
OG0001152	XP_005335975.1	XP_003928163.1
OG0001152	XP_005335984.2	XP_003928239.2
OG0001153	XP_040146352.1	XP_039334508.1, XP_039324132.1
OG0001155	XP_005342148.1, XP_005342165.1	XP_039327219.1
OG0001156	XP_005328465.1	XP_003923618.1, XP_003923619.1
OG0001159	XP_040137998.1	XP_039323240.1
OG0001160	XP_005334899.1	XP_039323819.1
OG0001161	XP_005337492.3, XP_040141538.1, XP_040141540.1, XP_005337490.1, XP_040141539.1	XP_039331067.1
OG0001162	XP_005340481.1	XP_039331199.1, XP_039331198.1
OG0001163	XP_005342267.1, XP_021577026.1	XP_003944744.1
OG0001164	XP_040135563.1, XP_021590879.1, XP_040135562.1, XP_040135561.1	XP_010349264.1, XP_003940302.1
OG0001165	XP_005336494.1	XP_039321781.1, XP_010329323.1, XP_010329324.1
OG0001166	XP_021585730.1	XP_039321429.1
OG0001167	XP_040134078.1	XP_010339558.1
OG0001168	XP_013218804.1, XP_005317742.1, XP_040144149.1, XP_021590389.1	XP_003944630.1, XP_010330874.1
OG0001169	XP_021589120.1	XP_039329567.1, XP_039329566.1, XP_039329565.1
OG0001170	XP_013211344.1	XP_039324124.1
OG0001171	XP_013217597.1	XP_003922461.2
OG0001171	XP_013217575.1, XP_005333804.1, XP_013217596.1, XP_013217584.1, XP_040129214.1	XP_010331694.2
OG0001174	XP_040125567.1, XP_013220272.1, XP_005339522.1, XP_013220271.1, XP_013220270.1	XP_003929323.2, XP_010338198.2
OG0001175	XP_005318475.1	XP_039333120.1, XP_010348940.1, XP_010348936.1, XP_010348939.1, XP_039333145.1, XP_039333118.1, XP_010348937.1, XP_003939966.1, XP_010348938.1, XP_010348941.1
OG0001176	XP_005318459.1	XP_010348962.1, XP_010348961.1, XP_010348963.1, XP_010348960.1
OG0001177	XP_040134523.1	XP_039316357.1
OG0001177	XP_040134046.1	XP_039316356.1, XP_039316353.1
OG0001178	XP_013214707.1	XP_039324811.1
OG0001179	XP_021589394.1	XP_010340778.2
OG0001179	XP_021575638.2	XP_039316540.1
OG0001180	XP_005339889.1, XP_040134229.1, XP_040134230.1, XP_021575489.1	XP_010329925.1, XP_003943799.1
OG0001181	XP_005338148.1	XP_003933458.1
OG0001181	XP_005340722.1	XP_039328812.1
OG0001182	XP_005334128.1	XP_039330254.1, XP_039319677.1
OG0001183	XP_005319422.1	XP_003931131.1
OG0001184	XP_040134152.1	XP_003930464.2
OG0001185	XP_005319749.1	XP_039316092.1
OG0001186	XP_013211628.1, XP_005319884.1	XP_003925439.1
OG0001187	XP_040136469.1	XP_003939292.1
OG0001188	XP_040130054.1	XP_010333317.1, XP_010333315.1, XP_010333316.1
OG0001189	XP_021585298.1	XP_039332700.1, XP_039326426.1, XP_003920083.1
OG0001190	XP_040125029.1, XP_005321588.1, XP_040125030.1, XP_040125028.1	XP_010337999.1
OG0001191	XP_021590045.1	XP_039317397.1, XP_039317399.1, XP_039317398.1, XP_039317396.1, XP_039317395.1
OG0001192	XP_040133163.1	XP_010341696.2, XP_003932862.2
OG0001193	XP_021589281.1	XP_010337313.1
OG0001194	XP_005340444.1	XP_003925316.1
OG0001195	XP_005341098.1	XP_039323141.1, XP_010341143.2, XP_039323629.1
OG0001196	XP_013220069.2	XP_003944368.2
OG0001197	XP_005318831.2	XP_010332065.1, NP_001266943.1
OG0001198	XP_040138917.1	XP_003923314.1
OG0001199	XP_005324817.1, XP_021581735.1, XP_021581734.1, XP_040138928.1	XP_003923027.1
OG0001200	XP_005330194.1	XP_003935978.1
OG0001201	XP_005330198.1	XP_003935989.1
OG0001201	XP_005340029.1	XP_003943131.1
OG0001202	XP_005329410.1	XP_039334571.1
OG0001202	XP_005333322.1	XP_003932004.1
OG0001203	XP_005334744.1, XP_040147403.1	XP_010343418.2, XP_010343415.2, XP_010343417.2
OG0001204	XP_040147716.1, XP_040147715.1, XP_021577924.1, XP_013211402.1, XP_005319188.1	XP_003935195.1
OG0001205	XP_040147772.1, XP_040147773.1	XP_039318024.1, XP_039318025.1
OG0001206	XP_005317879.1	XP_003937547.1
OG0001207	XP_040144403.1, XP_040144404.1, XP_021591705.1, XP_040144405.1	XP_003937038.2
OG0001208	XP_021576572.1, XP_040130359.1, XP_013221223.1, XP_040130358.1, XP_021576571.1, XP_013221224.1	XP_010333405.2
OG0001210	XP_005327604.1	XP_010336930.1, XP_003928054.1, XP_010336931.1
OG0001211	XP_040149139.1	XP_003928036.2
OG0001211	XP_021586076.1	XP_039329177.1
OG0001212	XP_013216467.1, XP_005330989.1, XP_040149077.1	XP_010336864.2, XP_003927986.2, XP_010336865.2
OG0001213	XP_040149306.1	XP_010344411.1
OG0001214	XP_005329277.1	XP_039324013.1
OG0001215	XP_005322681.1, XP_040127265.1	XP_003935268.1
OG0001216	XP_040139800.1, XP_021576700.1, XP_040139801.1, XP_005341673.1	XP_039327152.1, XP_039327151.1, XP_039327153.1
OG0001218	XP_005333133.1	XP_003926476.1
OG0001218	XP_040147115.1	XP_039333510.1
OG0001218	XP_040146098.1	XP_010335313.2
OG0001219	XP_040126075.1	XP_010335909.1
OG0001220	XP_021583951.1	XP_010339910.1, XP_010339911.1
OG0001221	XP_040126490.1	XP_003942650.2, XP_010328730.2, XP_003942651.2
OG0001222	XP_021585189.1	XP_003936405.1
OG0001223	XP_040131443.1	XP_010345213.1
OG0001224	XP_005325272.1	XP_039335198.1, XP_039335199.1
OG0001225	XP_040130736.1, XP_040130737.1, XP_005325269.1	XP_010341429.1, XP_010341426.1, XP_010341425.1, XP_010341427.1, XP_010341428.1, XP_039335704.1
OG0001226	XP_005342875.3, XP_005342890.2	XP_039316942.1
OG0001227	XP_005325178.1, XP_005325048.1	XP_039327752.1, XP_039327751.1
OG0001228	XP_040132026.1, XP_040136497.1, XP_005325094.1, XP_005325095.1	XP_039327972.1, XP_039327973.1, XP_039334587.1
OG0001229	XP_005338431.1	XP_003942206.1
OG0001230	XP_005338385.1, XP_021590932.1, XP_013219723.1, XP_005338384.1	XP_039317557.1, XP_039317558.1
OG0001231	XP_021575568.1, XP_040136784.1, XP_040136783.1, XP_040136786.1, XP_040136785.1, XP_005339987.1	XP_010335655.2, XP_003926666.2, XP_003926665.2, XP_039324252.1
OG0001233	XP_040136508.1	XP_003939272.2
OG0001234	XP_005339112.1	XP_010338907.2, XP_039324029.1
OG0001235	XP_040131662.1, XP_040131663.1, XP_040131661.1, XP_005316590.1	XP_003928940.1
OG0001236	XP_013215136.1	XP_039318844.1, XP_003941666.1
OG0001237	XP_021582560.1, XP_021582551.1, XP_021582553.1	XP_039318744.1, XP_039318745.1
OG0001238	XP_005316688.1, XP_040131992.1, XP_021582733.1	XP_039324946.1
OG0001239	XP_005316774.2	XP_039325007.1
OG0001240	XP_040130343.1	XP_010330342.1, XP_010330340.1, XP_010330341.1
OG0001241	XP_005323579.1	XP_003927696.2
OG0001242	XP_005330150.1, XP_021585334.1	XP_039324114.1, XP_039324115.1, XP_039324116.1, XP_039330552.1, XP_039329884.1
OG0001243	XP_021576753.1	XP_010333081.2
OG0001245	XP_005332569.1	XP_010333999.1
OG0001246	XP_005337082.2	XP_039318652.1, XP_039318653.1, XP_039318651.1, XP_039318650.1
OG0001247	XP_040143242.1	XP_039335051.1, XP_003943419.2
OG0001247	XP_005342596.1	XP_003943421.2
OG0001248	XP_040138526.1	XP_039331455.1
OG0001249	XP_021580885.1	XP_003935920.1
OG0001249	XP_005316016.1	XP_003920347.1
OG0001250	XP_005316032.1, XP_040144650.1	XP_039331508.1, XP_003932662.1, XP_039331509.1, XP_003920375.1, XP_010347078.1, XP_003938224.1
OG0001251	XP_040141202.1, XP_040141204.1, XP_040141210.1, XP_013211508.1, XP_040141213.1	XP_039320051.1
OG0001253	XP_040140516.1	XP_003919989.2
OG0001254	XP_021583555.1	XP_039324596.1
OG0001255	XP_021578139.1, XP_005319582.1, XP_021578140.1, XP_021578138.1, XP_040128529.1	XP_039324158.1, XP_039324154.1, XP_039324151.1
OG0001256	XP_040129127.1	XP_039316581.1, XP_039316580.1, XP_039316582.1
OG0001257	XP_040147012.1, XP_040147014.1, XP_040147013.1, XP_005334603.1	XP_010328820.1
OG0001258	XP_005330960.1	XP_010336891.1
OG0001259	XP_005332288.2	XP_039322406.1, XP_010347815.2, XP_003938891.2
OG0001260	XP_040131826.1, XP_013214104.1	XP_010341403.1
OG0001261	XP_005327502.1	XP_039326217.1
OG0001262	XP_005333044.1, XP_005333047.1	XP_010328456.1
OG0001262	XP_040148478.1, XP_040124399.1	XP_010333480.1
OG0001263	XP_005340606.1	XP_003930000.1
OG0001264	XP_040131430.1	XP_039335585.1
OG0001264	XP_005320590.1, XP_005320589.1	XP_003941112.1
OG0001265	XP_005318850.1	XP_003940555.2, XP_039318655.1, XP_039329063.1, XP_039326674.1
OG0001266	XP_040144805.1, XP_005330736.1, XP_013216398.1, XP_040144806.1	XP_003921457.1
OG0001268	XP_005323365.1, XP_005323364.1, XP_005323363.1, XP_005323169.1	XP_003923430.2
OG0001269	XP_005323174.1	XP_003923889.2
OG0001271	XP_005325255.1	XP_003932650.1
OG0001271	XP_021575820.2	XP_003926049.1
OG0001272	XP_005334657.1	XP_003942979.1
OG0001272	XP_005336640.1	XP_003940341.1
OG0001273	XP_005338242.1, XP_013219672.1, XP_013219673.1	XP_003944563.1
OG0001274	XP_021589696.1	XP_039322357.1, XP_010329265.1, XP_039322358.1, XP_010329264.1
OG0001275	XP_021585725.1	XP_039326265.1, XP_039321529.1
OG0001276	XP_040145099.1	XP_003921321.2
OG0001277	XP_005324284.1	XP_003920596.1
OG0001278	XP_005324275.1	XP_003920605.1
OG0001279	XP_005315703.1, XP_013214771.1	XP_039328846.1, XP_010339084.2
OG0001280	XP_040131046.1, XP_021578600.1, XP_040131044.1, XP_021578602.1, XP_040131045.1, XP_005320226.1, XP_021578599.1	XP_010348295.2, XP_010348301.2
OG0001281	XP_005325364.1	XP_003932704.1
OG0001282	XP_005338600.1	XP_003939804.1
OG0001283	XP_040129085.1, XP_040129086.1, XP_005325896.1, XP_013219827.2	XP_003942598.1
OG0001284	XP_040129721.1	XP_039316499.1
OG0001284	XP_021587571.1	XP_010331462.1
OG0001285	XP_005319713.1	XP_003925926.1, XP_010334929.1, XP_003925927.1, XP_010334928.1
OG0001286	XP_040127818.1, XP_021587252.2, XP_040127817.1	XP_003936234.2
OG0001286	XP_040148990.1	XP_003929578.1, XP_039335074.1
OG0001287	XP_040141325.1, XP_005328445.1	XP_010332724.1, XP_003923633.1
OG0001288	XP_013219264.2	XP_003931410.1
OG0001289	XP_013221227.1	XP_003929336.1
OG0001290	XP_040143682.1, XP_005339318.1, XP_040143683.1, XP_021591583.1	XP_010348664.1, XP_010348665.1
OG0001291	XP_005339280.1	XP_003939685.1
OG0001291	XP_005319385.1	XP_003931157.1
OG0001292	XP_005318449.1, XP_013221602.1	XP_039332536.1
OG0001293	XP_040133458.1	XP_010338967.1
OG0001294	XP_005337757.1	XP_003940801.1
OG0001294	XP_040133014.1	XP_003928508.1
OG0001295	XP_005330385.1	XP_039331388.1, XP_039321517.1
OG0001296	XP_040134472.1	XP_003930480.2
OG0001297	XP_005335928.1	XP_039331594.1, XP_039327255.1
OG0001297	XP_005335929.1	XP_039318009.1
OG0001298	XP_040130865.1, XP_040130866.1, XP_013219908.1, XP_021591265.1	XP_010333358.1, XP_039325302.1
OG0001299	XP_005336994.1	XP_010350478.2
OG0001300	XP_005337002.1	XP_039317412.1
OG0001301	XP_005321110.1	XP_003940079.1
OG0001302	XP_005335068.1, XP_040132488.1	XP_039319042.1
OG0001303	XP_013212674.1	XP_003922743.1
OG0001304	XP_013213609.1, XP_040128627.1, XP_040128624.1, XP_040128626.1, XP_040128625.1, XP_021581339.1, XP_040128628.1, XP_040128629.1, XP_005324196.1, XP_040128630.1	XP_003920691.1
OG0001305	XP_005327320.1, XP_013214997.1	XP_003933977.1
OG0001306	XP_040146747.1	XP_003944954.1
OG0001306	XP_040129310.1	XP_039330555.1
OG0001307	XP_040138245.1, XP_040138273.1, XP_021577160.2, XP_040138270.1, XP_040138271.1	XP_010336432.2, XP_010336431.2, XP_010336430.2, XP_039323738.1
OG0001308	XP_040138387.1, XP_040138388.1, XP_013211280.1, XP_013211279.1	XP_010332325.1, XP_010332324.1
OG0001309	XP_005318763.1	XP_039323729.1
OG0001310	XP_005318757.1	XP_039323445.1, XP_039323444.1
OG0001311	XP_005318715.1, XP_040138632.1, XP_013211244.1, XP_040138631.1	XP_003923063.1, XP_010332185.1, XP_003923065.1
OG0001312	XP_005318642.1, XP_005318639.1, XP_005318640.1	XP_003923151.1
OG0001312	XP_005328868.1, XP_040128799.1	XP_010345651.1
OG0001313	XP_005318583.1	XP_010335433.1, XP_039323861.1, XP_003926411.1, XP_010335435.1, XP_039323860.1
OG0001314	XP_005316794.1	XP_039318743.1, XP_003924266.1, XP_010328796.2, XP_039325188.1, XP_039325720.1
OG0001315	XP_040147695.1, XP_005319167.1, XP_040147696.1, XP_040147697.1	XP_003935175.1
OG0001316	XP_040144524.1	XP_010345720.1
OG0001317	XP_013213696.1	XP_010338468.1
OG0001318	XP_013215127.1	XP_010336926.1
OG0001319	XP_013214702.2	XP_039328794.1, XP_010338766.1, XP_039328795.1, XP_010338762.1, XP_010338763.1, XP_010338764.1
OG0001320	XP_013214720.1	XP_003929894.1
OG0001321	XP_005329268.1	XP_003933888.1
OG0001322	XP_005322679.1	XP_003935270.1, XP_039335152.1
OG0001323	XP_013215813.1, XP_040127014.1, XP_021584828.1, XP_040127013.1	XP_003922612.1, XP_010331711.1, XP_003922611.1, XP_010331710.1
OG0001324	XP_005331240.1	XP_039316066.1, XP_039316067.1, XP_010328032.1
OG0001325	XP_040143496.1, XP_005331265.1, XP_021586117.1, XP_040143497.1	XP_010328002.2
OG0001326	XP_040147782.1, XP_040147783.1, XP_005319260.1	XP_010339621.1, XP_003930801.1
OG0001327	XP_040147589.1	XP_010342539.1
OG0001328	XP_013215077.1	XP_010331578.1
OG0001329	XP_040139662.1	XP_003920067.1
OG0001330	XP_040142674.1	XP_039326296.1
OG0001330	XP_040142675.1	XP_039326295.1
OG0001331	XP_040142677.1	XP_003943345.1
OG0001332	XP_040139973.1	XP_039326379.1, XP_003941263.1, XP_010350285.1, XP_003941264.1, XP_039326378.1, XP_010350286.1, XP_010350287.1
OG0001333	XP_005333480.1	XP_003937757.2
OG0001334	XP_005333852.1	XP_010336062.1, XP_003927102.1, XP_039334474.1, XP_010336063.1
OG0001335	XP_021583084.1	XP_039316117.1, XP_039333505.1, XP_039333506.1
OG0001336	XP_021586669.2	XP_039322094.1, XP_039322093.1
OG0001337	XP_005317412.1	XP_010339808.2
OG0001338	XP_040132221.1, XP_040132219.1, XP_040132217.1, XP_040132218.1, XP_040132220.1, XP_005320558.1	XP_039335567.1, XP_010350128.1
OG0001339	XP_040132106.1	XP_010350097.2
OG0001340	XP_040137578.1, XP_005317111.1, XP_040137577.1	XP_039329152.1, XP_010330565.1, XP_003919772.1, XP_039329151.1
OG0001341	XP_013221502.1, XP_005342096.1, XP_013221503.1	XP_039329226.1, XP_003919783.2, XP_003919782.2
OG0001342	XP_005329725.2, XP_040146883.1	XP_039328162.1, XP_039328266.1, XP_003932396.2
OG0001343	XP_040147944.1	XP_003938534.1, XP_010347499.1, XP_010347498.1, XP_010347497.1
OG0001344	XP_013220436.1	XP_010347426.2
OG0001345	XP_021581785.1	XP_039317593.1
OG0001346	XP_040137774.1	XP_003941495.1, XP_003941496.1
OG0001347	XP_040136458.1, XP_005325134.1, XP_040136459.1	XP_003939307.2
OG0001348	XP_013217548.1, XP_005333745.1, XP_013217543.1, XP_005333750.1	XP_010331487.1, XP_003922350.1
OG0001349	XP_040129026.1, XP_005333726.1, XP_005333727.1	XP_003922335.1
OG0001350	XP_040128608.1	XP_039320967.1
OG0001350	XP_040128609.1	XP_010331294.2
OG0001351	XP_005320729.1	XP_003922251.1, XP_010331261.1
OG0001353	XP_040129840.1, XP_021584068.1, XP_040129843.1, XP_021584038.1, XP_013213675.1, XP_021584061.1, XP_040129838.1, XP_040129841.1, XP_040129845.1, XP_021584032.1, XP_040129839.1, XP_005316855.1, XP_040129842.1, XP_021584053.1, XP_040129844.1	XP_003944833.1, XP_039324867.1
OG0001354	XP_013220414.1	XP_003929539.2
OG0001355	XP_021576322.1	XP_039333523.1, XP_039333521.1, XP_039333522.1, XP_010335253.2
OG0001356	XP_040126373.1	XP_010335242.1, XP_003926238.1
OG0001357	XP_021583522.1	XP_039318567.1, XP_039335600.1
OG0001358	XP_040150538.1, XP_005324430.1, XP_021581432.1, XP_021581433.1	XP_039325670.1, XP_039325669.1, XP_010349870.1
OG0001360	XP_005319569.2	XP_039319938.1, XP_003931145.1
OG0001361	XP_040126617.1, XP_005334859.1	XP_003924138.1
OG0001362	XP_005324063.1, XP_040133386.1	XP_003939555.1, XP_010348461.1
OG0001363	XP_005338732.1	XP_010348523.1
OG0001364	XP_005337761.1	XP_003931189.1
OG0001365	XP_013220805.1, XP_005340656.1	XP_039320088.1
OG0001366	XP_005339846.1, XP_005339845.1	XP_010329864.1, XP_010329863.1, XP_039327022.1
OG0001367	XP_040145039.1	XP_010327961.1, XP_003929370.2
OG0001368	XP_021586452.1, XP_005331985.1, XP_005331982.2, XP_005331983.1, XP_021586451.1	XP_003934564.2
OG0001372	XP_040131739.1	XP_003939528.2
OG0001372	XP_005324039.2	XP_003939638.1
OG0001373	XP_021587351.2	XP_039327409.1
OG0001373	XP_005329678.1	XP_003932298.1
OG0001374	XP_005322165.1, XP_021580002.1, XP_040127018.1	XP_039332505.1
OG0001375	XP_005337467.1	XP_039318052.1
OG0001376	XP_021591702.1, XP_005339503.1, XP_013220269.1	XP_010338238.1
OG0001377	XP_040139765.1	XP_039335638.1
OG0001378	XP_005326240.1	XP_039330635.1
OG0001379	XP_005337535.3	XP_003930410.2, XP_039322177.1
OG0001380	XP_040129202.1, XP_005317458.1, XP_005321085.1, XP_005326944.1	XP_010348245.1, XP_039317724.1, XP_039333987.1
OG0001381	XP_013212572.1	XP_039332336.1
OG0001381	XP_005317461.1	XP_039317882.1
OG0001382	XP_021581302.1	XP_003935663.1
OG0001383	XP_005328788.1, XP_005328787.1, XP_005328786.1	XP_010336721.1
OG0001384	XP_005339488.1	XP_003937938.1
OG0001385	XP_005331320.1, XP_005331321.1	XP_039315792.1
OG0001386	XP_013214718.1	XP_010338730.2, XP_003929873.2
OG0001387	XP_005331742.1	XP_039327217.1, XP_039327218.1
OG0001388	XP_005323178.1, XP_013213102.1	XP_003923439.2
OG0001390	XP_040141377.1, XP_005339576.1	XP_010332709.1
OG0001391	XP_005320988.1, XP_005320987.1	XP_010349694.2
OG0001392	XP_005342168.1	XP_003923873.1
OG0001394	XP_005327988.2, XP_005328013.1	XP_003933188.2, XP_003933128.2
OG0001395	XP_040131293.1	XP_039330957.1
OG0001395	XP_040134734.1	XP_039318678.1
OG0001396	XP_005341629.3	XP_039321956.1
OG0001396	XP_040139852.1	XP_039326637.1
OG0001397	XP_013220742.1	XP_010346307.1, XP_003937478.1, XP_010346306.1
OG0001398	XP_021585752.2	XP_003937349.1, XP_010346161.1, XP_003937350.1
OG0001399	XP_021578660.1	XP_003930727.1
OG0001400	XP_005324286.1, XP_021581384.1	XP_003920595.1
OG0001401	XP_005324257.1	XP_003934027.1
OG0001401	XP_005319031.1	XP_039324370.1
OG0001402	XP_040144079.1, XP_013218719.1	XP_039330261.1, XP_003934873.1, XP_003934872.1
OG0001403	XP_040144072.1, XP_040144070.1, XP_005317683.1, XP_040144073.1	XP_010343716.2
OG0001404	XP_040125759.1	XP_003930993.2
OG0001404	XP_040144021.1	XP_039330305.1
OG0001405	XP_013215527.1, XP_040131988.1, XP_005316911.1, XP_040131989.1	XP_039324686.1
OG0001406	XP_040128676.1, XP_040128677.1, XP_021584570.1	XP_010339427.1, XP_039325171.1
OG0001407	XP_040130921.1	NP_001266902.1, XP_010345114.1
OG0001408	XP_040131906.1	XP_039335987.1, XP_039334763.1
OG0001409	XP_005339616.1, XP_005339617.1, XP_040142741.1	XP_010332977.1
OG0001410	XP_005339560.1	XP_010332715.2
OG0001411	XP_005337392.1	XP_003931399.1
OG0001411	XP_013217937.1	XP_003938571.1
OG0001412	XP_005318513.1	XP_039328157.1, XP_003938118.1
OG0001413	XP_021577357.1	XP_010345131.1, XP_039334120.1, XP_039334117.1, XP_010345132.1
OG0001414	XP_005328521.1	XP_010343021.1, XP_010343022.1, XP_010343023.1
OG0001415	XP_021583737.1	XP_003933067.1
OG0001415	XP_005323700.1	XP_039333796.1
OG0001416	XP_021590803.1	XP_010342291.1, XP_010342292.1, XP_010342293.1
OG0001417	XP_040126257.1	XP_039316282.1, XP_039319696.1
OG0001418	XP_005339892.1	XP_010329916.1
OG0001419	XP_005339898.2	XP_039326131.1
OG0001420	XP_040133289.1	XP_010342877.2, XP_039327485.1
OG0001421	XP_005323936.1, XP_013213438.1	XP_039334083.1, XP_039334084.1, XP_010338962.2
OG0001422	XP_005323831.1, XP_040133439.1	XP_010339114.2
OG0001423	XP_021581219.2	XP_003930252.1
OG0001423	XP_040124750.1	XP_039332525.1
OG0001424	XP_005332407.1	XP_003921473.1
OG0001425	XP_040134074.1, XP_040134073.1	XP_003930471.1
OG0001425	XP_005329527.3, XP_040133869.1	XP_010339303.1, XP_003930470.1
OG0001426	XP_005333968.1	XP_010350679.1
OG0001426	XP_021582835.1	XP_010339212.1
OG0001427	XP_005331459.1	XP_010346771.2
OG0001428	XP_040144608.1	XP_039328983.1
OG0001429	XP_005323123.1, XP_040129035.1, XP_040129037.1	XP_010335107.2, XP_003926119.2
OG0001430	XP_005340693.1	XP_010335820.2, XP_010330094.2
OG0001430	XP_005331803.1	XP_003930607.2
OG0001431	XP_005334729.1	XP_039318746.1, XP_010336320.2
OG0001432	XP_040131815.1	XP_039318715.1
OG0001433	XP_005327909.1, XP_040124512.1	XP_010340668.1
OG0001434	XP_013215359.1, XP_005328186.1, XP_040124622.1	XP_010329780.2, XP_003943665.2, XP_010329778.2, XP_010329779.2
OG0001435	XP_021584000.1	XP_010329793.1
OG0001436	XP_021579773.1	XP_039335024.1, XP_039332805.1
OG0001436	XP_040134557.1	XP_039316299.1
OG0001437	XP_040126452.1	XP_010340248.1, XP_039332142.1, XP_039332141.1
OG0001438	XP_013218549.1	XP_010348262.1
OG0001439	XP_005328762.1, XP_005328763.1	XP_003926583.1
OG0001440	XP_005322380.1	XP_003929699.1
OG0001441	XP_040127001.1, XP_005322145.1, XP_005322143.1	XP_010331826.1, XP_003922726.1
OG0001442	XP_021577550.1	XP_039323636.1, XP_039323637.1, XP_039323638.1
OG0001443	XP_005318681.1, XP_013211193.1	XP_003923108.2, XP_010332240.2
OG0001444	XP_040149394.1	XP_039320667.1, XP_039320665.1, XP_039320666.1, XP_003942087.1
OG0001445	XP_021576500.1, XP_021576501.1, XP_005341338.1, XP_040128594.1, XP_040128593.1, XP_021576503.1	XP_003935422.2, XP_039320566.1
OG0001446	XP_040147642.1, XP_005335995.1	XP_010342419.1
OG0001447	XP_040144282.1, XP_040144283.1, XP_013217589.1	XP_039330501.1, XP_003937576.1
OG0001448	XP_005318074.1	XP_003937591.1
OG0001449	XP_040145521.1	XP_039328808.1
OG0001450	XP_040124219.1, XP_005342563.1, XP_040124222.1, XP_040124221.1	XP_010328533.2
OG0001452	XP_005322607.1	XP_003941624.1
OG0001453	XP_021576681.1	XP_003943357.2
OG0001454	XP_005333462.1, XP_040140017.1	XP_010346652.1, XP_010346650.1, XP_010346653.1, XP_010346651.1
OG0001455	XP_013214819.1	XP_003936654.1
OG0001456	XP_021589520.1, XP_005336175.1, XP_040146420.1	XP_003938994.1, XP_010347931.1, XP_010347930.1
OG0001457	XP_021586582.1	XP_010347806.2
OG0001457	XP_040146958.1	XP_003938881.1
OG0001458	XP_040140214.1	XP_010333438.1, XP_010333442.1, XP_003920227.3, XP_039326820.1
OG0001459	XP_005330271.1	XP_039329204.1
OG0001459	XP_013214016.1	XP_003940798.2
OG0001460	XP_021585746.1, XP_040137584.1, XP_021585733.1, XP_005317104.1	XP_039329393.1, XP_039329394.1, XP_010339986.2
OG0001461	XP_005337984.1	XP_010339747.1
OG0001462	XP_005325371.1	XP_039335201.1, XP_039335202.1, XP_039335203.1
OG0001463	XP_005326548.1, XP_005326549.1, XP_005326547.1	XP_039325712.1, XP_039325462.1, XP_039325711.1, XP_010345498.2
OG0001465	XP_005341935.1	XP_003938490.2
OG0001465	XP_005341940.1	XP_003938500.2
OG0001466	XP_021584981.1, XP_040145451.1, XP_040145453.1, XP_040145452.1, XP_021584983.1, XP_005329645.1, XP_021584980.1	XP_039327509.1
OG0001467	XP_005336120.1	XP_010347472.1
OG0001468	XP_040136552.1, XP_005325031.1, XP_040136553.1	XP_039327764.1, XP_039327765.1, XP_039327766.1
OG0001469	XP_040136454.1, XP_040136453.1, XP_040136456.1, XP_040136455.1	XP_003939324.1
OG0001470	XP_005330315.1	XP_039328882.1
OG0001471	XP_013217903.1, XP_005334470.1	XP_003930053.2, XP_003925499.1
OG0001472	XP_040127662.1, XP_005333779.1	XP_003922429.1
OG0001473	XP_040148098.1	XP_003924208.2
OG0001473	XP_040128521.1	XP_003922351.1
OG0001474	XP_040129332.1, XP_005320745.1, XP_021579007.1, XP_040129331.1	XP_003922238.1
OG0001475	XP_005316452.1, XP_021581405.1, XP_040132228.1	XP_010344530.1
