Orthogroup	Canis_lupus_familiaris	Microcebus_murinus
OG0001452	XP_038416968.1	XP_012643673.1
OG0001453	XP_038419456.1, XP_038419459.1, XP_038419458.1, XP_038419457.1, XP_038419460.1	XP_012624989.1
OG0001454	XP_038419797.1	XP_012633618.1, XP_012633617.1
OG0001455	XP_038422213.1, XP_038422215.1, XP_038422214.1, XP_038422216.1, XP_038422212.1	XP_012626925.1, XP_012626923.1, XP_012626927.1, XP_012626921.1, XP_012626924.1, XP_012626926.1, XP_020135948.1, XP_020135949.1
OG0001456	XP_038423273.1, XP_038423274.1	XP_012646123.1, XP_012646124.1, XP_012646125.1
OG0001457	XP_038423583.1	XP_012617059.2
OG0001457	XP_038423580.1	XP_012617051.1
OG0001458	XP_038424134.1, XP_038424135.1	XP_012612480.1
OG0001459	XP_038425340.1	XP_012638099.1
OG0001459	XP_038444311.1	XP_012602973.1
OG0001460	XP_038425793.1, XP_038425791.1, XP_038425792.1	XP_012603842.1, XP_012603843.1, XP_012603841.1
OG0001461	XP_038426490.1, XP_038426494.1, XP_038426491.1, XP_038426492.1, XP_038426493.1, XP_038426495.1	XP_012625710.1, XP_012625708.1, XP_012625711.1
OG0001462	XP_038428745.1	XP_020137325.1, XP_020137328.1, XP_020137327.1, XP_020137326.1, XP_012628378.1
OG0001463	XP_038428954.1	XP_012647075.1
OG0001464	XP_038430067.1, XP_038430068.1, XP_038430070.1, XP_038430069.1, XP_038430071.1	XP_012604961.1
OG0001465	XP_038430454.1	XP_012619364.1
OG0001465	XP_038431565.1	XP_012619362.1
OG0001466	XP_038430899.1	XP_012637728.1
OG0001467	XP_038431522.1, XP_038431524.1, XP_038431523.1, XP_038431525.1	XP_012619323.1, XP_012619325.1, XP_012619326.1, XP_012619324.1
OG0001468	XP_038433645.1	XP_012618232.1
OG0001469	XP_038433786.1	XP_012619960.1, XP_012619970.1
OG0001470	XP_038439400.1	XP_012592431.1
OG0001471	XP_038434027.1, XP_038434026.1	XP_012606549.1
OG0001472	XP_038434150.1	XP_012621602.1, XP_012621650.1, XP_012621616.1, XP_012621597.1, XP_012621632.1, XP_012621625.1, XP_012621589.1, XP_012621641.1, XP_012621604.1, XP_012621644.1, XP_012621610.1, XP_012621659.1
OG0001473	XP_038438109.1	XP_020140130.1
OG0001473	XP_038434453.1	XP_012624014.1
OG0001474	XP_038434773.1, XP_038434774.1	XP_012627780.1
OG0001475	XP_038435960.1	XP_012621851.1
OG0001476	XP_038436969.1, XP_038436967.1, XP_038436968.1, XP_038436966.1	XP_012590885.1, XP_012590883.1, XP_012590882.1, XP_012590880.1, XP_012590881.1, XP_012590879.1
OG0001477	XP_038437255.1	XP_012636378.1, XP_012636381.1, XP_012636386.1, XP_012636385.1, XP_012636389.1, XP_012636387.1, XP_012636382.1, XP_012636388.1, XP_012636384.1, XP_012636383.1, XP_012636379.1, XP_012636380.1
OG0001478	XP_038437382.1, XP_038437384.1, XP_038437383.1, XP_038437381.1, XP_038437385.1	XP_020140329.1, XP_020140328.1, XP_012638369.1
OG0001479	XP_038437708.1	XP_012635250.1, XP_012635247.1, XP_012635251.1, XP_012635248.1, XP_012635246.1, XP_012635249.1
OG0001480	XP_038438138.1, XP_038438136.1, XP_038438137.1	XP_020140940.1
OG0001481	XP_038438987.1	XP_012635904.1
OG0001482	XP_038439720.1, XP_038439716.1, XP_038439718.1, XP_038439717.1, XP_038439719.1	XP_012638233.2
OG0001483	XP_038440402.1	XP_012591750.1, XP_012591749.1, XP_012591748.1
OG0001484	XP_038440702.1, XP_038440701.1	XP_012637361.1
OG0001485	XP_038441180.1, XP_038441179.1	XP_012632442.1, XP_012632444.1, XP_012632443.1, XP_012632445.1
OG0001486	XP_038441802.1	XP_012597396.1
OG0001487	XP_038442048.1, XP_038442047.1, XP_038442045.1, XP_038442046.1	XP_012629348.1
OG0001488	XP_038445499.1, XP_038445321.1, XP_038445320.1, XP_038445534.1, XP_038443490.1, XP_038445492.1, XP_038445388.1, XP_038445386.1, XP_038444858.1, XP_038443489.1, XP_038445491.1, XP_038443488.1	XP_012612511.1, XP_012612512.1
OG0001489	XP_038444007.1	XP_012605470.1
OG0001491	XP_038444172.1	XP_012601083.2
OG0001492	XP_038444199.1	XP_012605893.1, XP_012609185.1
OG0001502	NP_001002930.1	XP_012591046.1, XP_012591049.1, XP_012591050.1, XP_012591047.1, XP_012591048.1
OG0001503	XP_038416099.1	XP_020138150.1
OG0001503	NP_001003063.1	XP_012617626.1
OG0001504	NP_001003228.1	XP_012609333.1, XP_012609334.1
OG0001505	NP_001012343.1	XP_012644272.1, XP_012644275.1, XP_012644273.1, XP_012644274.1, XP_012644270.1
OG0001507	NP_001018045.1	XP_012639080.1, XP_012639078.1, XP_012639079.1, XP_012639077.1
OG0001508	NP_001075889.1	XP_012603445.1
OG0001508	XP_038392965.1, XP_038392963.1, XP_038392964.1	XP_012603413.1
OG0001509	NP_001182072.1, NP_001182071.1	XP_012630524.1, XP_012630520.1, XP_012630525.1, XP_012630526.1, XP_012630522.1, XP_012630521.1, XP_012630523.1
OG0001510	NP_001182333.1	XP_012645076.1, XP_012645071.1, XP_012645072.1, XP_012645074.1, XP_012645073.1, XP_012645075.1, XP_012645068.1, XP_012645070.1
OG0001511	NP_001184117.1	XP_012639276.1, XP_012639274.1, XP_012639275.1
OG0001512	XP_038388443.1, XP_038394915.1, XP_038417426.1, NP_001238875.1	XP_012610390.1
OG0001513	NP_001333298.1	XP_012621234.1
OG0001513	NP_001240673.1	XP_012621226.1
OG0001514	NP_001274021.1	XP_012593851.1
OG0001515	NP_001274044.1	XP_012615344.1
OG0001516	NP_001301054.1	XP_012624833.1, XP_012624838.1, XP_012624834.1, XP_012624836.1
OG0001517	XP_038419189.1, NP_001375562.1	XP_012643319.1, XP_012643276.1, XP_012643277.2, XP_012643318.1
OG0001520	NP_001375780.1	XP_020140128.1, XP_012594015.1
OG0001521	XP_038424073.1	XP_012620137.1
OG0001521	NP_001376058.1	XP_012620142.1
OG0001522	XP_038381448.1, XP_038381449.1	XP_012596834.1
OG0001523	XP_038381885.1	XP_012600941.1
OG0001524	XP_038381930.1	XP_012601664.1, XP_012601665.1, XP_012601666.1, XP_012601662.1, XP_012601663.1
OG0001525	XP_038407768.1, XP_038405422.1, XP_038400302.1, XP_038432074.1, XP_038402960.1, XP_038402915.1, XP_038445293.1, XP_038445300.1, XP_038445413.1, XP_038445304.1, XP_038383182.1	XP_012593230.1
OG0001526	XP_038383577.1	XP_012595412.1
OG0001527	XP_038383800.1	XP_012626301.1
OG0001527	XP_038402737.1	XP_012602942.1
OG0001528	XP_038443575.1	XP_012591625.1
OG0001528	XP_038383833.1	XP_012626309.1
OG0001529	XP_038402357.1	XP_012611726.1
OG0001529	XP_038384296.1	XP_012609820.1
OG0001530	XP_038384423.1, XP_038384422.1, XP_038384425.1, XP_038384424.1	XP_020139072.1, XP_012616958.1, XP_012616957.1
OG0001531	XP_038400296.1	XP_012628939.1
OG0001531	XP_038384452.1	XP_012616928.1
OG0001532	XP_038384543.1, XP_038384541.1, XP_038384542.1, XP_038384544.1	XP_012616818.1, XP_012616817.1
OG0001533	XP_038384888.1	XP_012630129.1, XP_012630130.1
OG0001534	XP_038386183.1, XP_038386182.1, XP_038386184.1	XP_012604489.1
OG0001535	XP_038388106.1	XP_020145724.1, XP_020145728.1, XP_020145727.1, XP_020145730.1, XP_020145726.1, XP_020145729.1, XP_020145725.1
OG0001536	XP_038388244.1, XP_038388243.1	XP_012629427.1, XP_012629456.1, XP_012629451.1, XP_012629419.1, XP_012629413.1, XP_012629407.1, XP_012629401.1, XP_012629445.1, XP_012629437.1
OG0001537	XP_038388699.1, XP_038388700.1, XP_038388698.1	XP_012629654.1
OG0001538	XP_038389585.1	XP_012638874.1, XP_012638873.1, XP_020137384.1
OG0001539	XP_038389606.1	XP_020145686.1, XP_012593792.1
OG0001539	XP_038438707.1	XP_012642884.1
OG0001540	XP_038412111.1, XP_038412114.1, XP_038412113.1, XP_038412112.1	XP_012613729.2
OG0001541	XP_038389772.1, XP_038389777.1, XP_038389773.1, XP_038389776.1, XP_038389778.1, XP_038389774.1, XP_038389775.1	XP_012593728.1, XP_012593727.1, XP_012593730.1, XP_012593729.1
OG0001542	XP_038437716.1	XP_012635234.1
OG0001542	XP_038390312.1	XP_012615557.1
OG0001543	XP_038390414.1, XP_038390413.1, XP_038390415.1, XP_038390416.1	XP_012620161.1, XP_012620162.1
OG0001544	XP_038390766.1	XP_012608462.1, XP_012608461.1, XP_012608463.1, XP_012608465.1, XP_012608466.1, XP_012608464.1
OG0001545	XP_038391805.1	XP_012628952.1, XP_012628949.1, XP_012628951.1, XP_012628948.1, XP_012628950.1
OG0001546	XP_038392252.1	XP_012604205.1
OG0001547	XP_038408087.1, XP_038408086.1, XP_038408088.1, XP_038392274.1	XP_012617618.1, XP_012617616.1, XP_012617619.1, XP_012617617.1
OG0001548	XP_038392383.1, XP_038392384.1, XP_038392382.1	XP_012634604.1
OG0001549	XP_038444717.1	XP_020140832.1
OG0001550	XP_038393104.1	XP_012622644.1
OG0001551	XP_038393812.1	XP_012646925.1
OG0001552	XP_038394024.1	XP_012591183.1
OG0001552	XP_038428001.1, XP_038428002.1	XP_012610128.1
OG0001553	XP_038394506.1, XP_038394505.1	XP_012598017.1, XP_012598015.1, XP_012598016.1
OG0001554	XP_038395752.1	XP_012619695.1, XP_012619694.1
OG0001555	XP_038395899.1, XP_038395900.1	XP_012614812.1, XP_012614813.1, XP_012614814.1
OG0001556	XP_038397976.1, XP_038397977.1	XP_012637190.1, XP_012637191.1, XP_012637192.1, XP_012637189.1, XP_012637188.1, XP_012637187.1
OG0001557	XP_038398799.1	XP_012606709.1
OG0001557	XP_038419776.1	XP_012612935.2
OG0001558	XP_038398824.1	XP_012606693.1
OG0001558	XP_038398823.1	XP_012606677.1
OG0001559	XP_038411122.1	XP_020144347.1
OG0001559	XP_038411123.1	XP_020144348.1
OG0001560	XP_038401730.1, XP_038401729.1, XP_038401728.1	XP_012601909.1
OG0001561	XP_038403133.1	XP_012598673.1
OG0001562	XP_038404720.1, XP_038404719.1, XP_038404721.1, XP_038404717.1, XP_038404718.1	XP_012637526.1, XP_012637525.1
OG0001563	XP_038407378.1	XP_012620384.1
OG0001564	XP_038407726.1, XP_038407724.1	XP_012642849.1, XP_012594009.1
OG0001565	XP_038408110.1	XP_012617628.1
OG0001565	XP_038444106.1	XP_012594779.1
OG0001566	XP_038408872.1	XP_012624436.1
OG0001567	XP_038410021.1, XP_038410020.1, XP_038410022.1	XP_012628633.1
OG0001568	XP_038410246.1	XP_012616319.1
OG0001569	XP_038444698.1	XP_012640069.1
OG0001569	XP_038416484.1, XP_038410447.1	XP_012644222.1
OG0001570	XP_038443712.1	XP_012608748.1
OG0001570	XP_038410524.1	XP_012624581.1
OG0001571	XP_038410578.1	XP_012603857.1
OG0001572	XP_038410600.1, XP_038410602.1, XP_038410603.1, XP_038410605.1, XP_038410599.1, XP_038410601.1, XP_038410604.1	XP_012606428.1
OG0001573	XP_038411657.1	XP_012608390.1
OG0001574	XP_038411126.1, XP_038411128.1, XP_038411127.1	XP_012617479.1, XP_012617478.1
OG0001575	XP_038429335.1	XP_012599496.1
OG0001576	XP_038412542.1	XP_012644560.1
OG0001577	XP_038440822.1	XP_020143958.1
OG0001577	XP_038413140.1	XP_012591349.1
OG0001578	XP_038413579.1	XP_020145575.1, XP_020145570.1, XP_020145569.1, XP_020145572.1
OG0001579	XP_038414788.1, XP_038414789.1	XP_012628125.1, XP_012628126.1, XP_012628121.1, XP_012628123.1
OG0001580	XP_038415267.1, XP_038415266.1, XP_038415268.1, XP_038415269.1	XP_012623545.1
OG0001581	XP_038415401.1	XP_012600163.1, XP_012600162.1, XP_012600164.1, XP_012600165.1
OG0001582	XP_038415584.1	XP_012641514.1
OG0001583	XP_038415743.1	XP_012641718.1
OG0001584	XP_038416202.1, XP_038417199.1, XP_038417200.1	XP_012643887.1
OG0001585	XP_038416257.1, XP_038416259.1, XP_038416256.1, XP_038416258.1	XP_012640334.1, XP_012640336.1, XP_012640335.1
OG0001586	XP_038417045.1	XP_012643753.1
OG0001587	XP_038418143.1, XP_038418138.1, XP_038418140.1, XP_038418139.1, XP_038418141.1, XP_038418137.1, XP_038418142.1	XP_012622988.1
OG0001588	XP_038418445.1, XP_038418447.1, XP_038418448.1	XP_012633809.1
OG0001589	XP_038418815.1	XP_012625049.1
OG0001590	XP_038418940.1	XP_012594193.1
OG0001591	XP_038418978.1	XP_020142108.1, XP_012595346.1, XP_012595345.1, XP_012595343.1, XP_012595344.1
OG0001592	XP_038419087.1, XP_038419088.1	XP_012613605.1
OG0001592	XP_038419090.1	XP_012613604.1
OG0001593	XP_038419154.1, XP_038419156.1, XP_038419155.1	XP_012605364.1
OG0001594	XP_038419700.1	XP_012613147.1
OG0001594	XP_038431410.1	XP_012612011.1
OG0001595	XP_038421798.1	XP_020140426.1
OG0001596	XP_038423846.1	XP_012601149.1, XP_012601148.1
OG0001597	XP_038428570.1, XP_038424063.1	XP_012603969.1, XP_012603972.1, XP_012603971.1, XP_012603970.1, XP_012603967.1
OG0001598	XP_038424238.1	XP_012595104.1
OG0001599	XP_038424712.1	XP_012600600.1
OG0001600	XP_038425220.1	XP_012603078.1, XP_012603062.1, XP_012603069.1
OG0001601	XP_038444143.1	XP_012594396.1
OG0001601	XP_038426039.1	XP_012621010.1
OG0001602	XP_038426080.1	XP_012620981.1
OG0001603	XP_038426410.1	XP_012597626.1, XP_012597627.1, XP_012597625.1
OG0001604	XP_038426578.1	XP_020136463.1
OG0001605	XP_038427070.1	XP_012617863.1
OG0001606	XP_038427461.1, XP_038427460.1	XP_020137347.1, XP_020137485.1
OG0001607	XP_038427534.1	XP_012636274.1
OG0001608	XP_038428080.1	XP_012610359.1
OG0001609	XP_038428204.1	XP_012610494.1
OG0001610	XP_038428421.1	XP_012598448.1
OG0001610	XP_038439289.1	XP_020145615.1
OG0001611	XP_038428535.1	XP_012621571.1
OG0001612	XP_038428911.1	XP_012610466.1
OG0001613	XP_038429531.1	XP_012626132.2
OG0001614	XP_038430121.1	XP_012647022.1
OG0001615	XP_038431240.1	XP_012612123.1
OG0001616	XP_038431352.1, XP_038431349.1, XP_038431353.1, XP_038431351.1, XP_038431348.1, XP_038431350.1	XP_012612035.1
OG0001617	XP_038432537.1, XP_038432539.1, XP_038432538.1	XP_012615950.1
OG0001618	XP_038432622.1	XP_020143236.1
OG0001619	XP_038433010.1	XP_012595004.1
OG0001620	XP_038433366.1	XP_012607131.1, XP_012607195.1, XP_012607268.1
OG0001621	XP_038433535.1	XP_012617211.1
OG0001622	XP_038433986.1	XP_012600086.1
OG0001623	XP_038434073.1	XP_020136026.1, XP_012634399.2
OG0001624	XP_038438391.1	XP_020139886.1
OG0001625	XP_038439538.1, XP_038439539.1	XP_020142179.1
OG0001626	XP_038439641.1, XP_038439643.1, XP_038439642.1, XP_038439650.1, XP_038439645.1, XP_038439644.1, XP_038439647.1, XP_038439649.1, XP_038439646.1	XP_012635696.1
OG0001627	XP_038439691.1, XP_038439692.1, XP_038439690.1, XP_038439688.1, XP_038439689.1	XP_012638220.1
OG0001628	XP_038440934.1	XP_020143898.1
OG0001629	XP_038441211.1	XP_012594537.1
OG0001630	XP_038441362.1, XP_038441360.1, XP_038441363.1, XP_038441361.1	XP_012594408.1
OG0001631	XP_038441714.1	XP_020143783.1
OG0001632	XP_038442738.1, XP_038442737.1	XP_012640301.1, XP_012640302.1
OG0001633	XP_038443175.1	XP_012603844.1
OG0001634	XP_038443757.1	XP_012635462.1
OG0001635	XP_038444224.1	XP_012620182.1
OG0001636	XP_038444304.1, XP_038444306.1, XP_038444305.1	XP_012602981.1, XP_012602982.1, XP_012602983.1
OG0001637	XP_038444631.1	XP_012612737.1
OG0001645	NP_001002934.2	XP_012638883.1
OG0001645	NP_001003073.1	XP_020139299.1
OG0001646	NP_001003007.2	XP_012620196.1
OG0001647	NP_001182771.1	XP_012624800.1
OG0001647	NP_001003249.1	XP_012615222.1
OG0001648	NP_001003272.1	XP_012591952.1, XP_012591954.1
OG0001649	XP_038423263.1	XP_020139573.1, XP_012646117.1
OG0001649	NP_001003291.1	XP_012646121.1
OG0001650	XP_038434605.1	XP_012625843.1
OG0001650	NP_001003352.1	XP_020138605.1
OG0001651	NP_001280204.1, NP_001280208.1, NP_001280205.1, NP_001006601.2	XP_012619905.1
OG0001652	NP_001020791.1	XP_012642601.1
OG0001653	NP_001020792.1	XP_012599454.1
OG0001653	XP_038384032.1	XP_012609624.2
OG0001654	NP_001074978.1	XP_012635957.1, XP_012635959.1
OG0001655	NP_001091024.1	XP_012599002.1, XP_012598985.1
OG0001656	NP_001124305.1	XP_012593047.1
OG0001657	NP_001138967.1	XP_012623669.1
OG0001657	NP_001138970.1	XP_012623659.1
OG0001658	NP_001165219.1	XP_012616661.2, XP_020137546.1
OG0001659	NP_001177339.1	XP_020139662.1, XP_012621166.1, XP_012621167.1
OG0001660	XP_038430661.1	XP_020138768.1
OG0001660	NP_001184048.1	XP_012640313.1, XP_020138760.1
OG0001661	XP_038403280.1	XP_012621224.1
OG0001661	NP_001240670.1	XP_012621230.1
OG0001662	NP_001257815.1, NP_001257814.1	XP_012593222.2, XP_012593221.2, XP_012598754.2
OG0001664	NP_001375796.1	XP_012623594.1
OG0001664	NP_001375492.1	XP_020145275.1
OG0001665	NP_001375852.1	XP_012643315.1
OG0001666	XP_038419183.1	XP_012602114.1
OG0001666	NP_001375858.1	XP_012602143.1
OG0001667	XP_038381508.1, XP_038417920.1, XP_038417921.1, XP_038417922.1	XP_012617365.1
OG0001668	XP_038382199.1	XP_020142843.1
OG0001669	XP_038382247.1	XP_012596380.1
OG0001670	XP_038422584.1, XP_038422585.1	XP_012626496.1
OG0001671	XP_038383375.1	XP_012607854.1
OG0001672	XP_038383452.1, XP_038383454.1, XP_038383453.1	XP_020139175.1
OG0001673	XP_038383858.1	XP_012641000.1
OG0001673	XP_038443248.1	XP_012593484.1
OG0001674	XP_038384357.1, XP_038409973.1, XP_038409974.1	XP_012628706.1, XP_012628707.1
OG0001675	XP_038384634.1, XP_038384633.1, XP_038384631.1, XP_038384632.1	XP_012616701.1, XP_012616697.1, XP_012616698.1, XP_012616699.1, XP_012616700.1
OG0001676	XP_038384704.1	XP_012613903.1
OG0001677	XP_038384861.1, XP_038384859.1, XP_038384860.1	XP_012630102.1, XP_012630101.1, XP_012630099.1, XP_012630100.1
OG0001678	XP_038387183.1	XP_020145720.1, XP_012620878.2
OG0001679	XP_038388246.1, XP_038388245.1	XP_020145763.1, XP_012629346.1
OG0001680	XP_038437700.1, XP_038389654.1, XP_038389615.1, XP_038407995.1	XP_012617540.1
OG0001681	XP_038389631.1	XP_020141900.1
OG0001682	XP_038390815.1	XP_020139248.1
OG0001682	XP_038435048.1	XP_012636862.1
OG0001683	XP_038390866.1	XP_012610936.1
OG0001684	XP_038391631.1	XP_012627800.1
OG0001685	XP_038391640.1	XP_020142390.1
OG0001686	XP_038427635.1, XP_038391925.1, XP_038409332.1	XP_012629071.1
OG0001687	XP_038393088.1	XP_012622671.1, XP_012622670.1, XP_012622676.1, XP_012622680.1, XP_012622681.1, XP_012622679.1, XP_012622673.1, XP_012622678.1, XP_012622677.1, XP_012622675.1, XP_012622674.1
OG0001688	XP_038393412.1, XP_038393411.1, XP_038393413.1	XP_012631763.1
OG0001689	XP_038393433.1	XP_012631741.1
OG0001689	XP_038432724.1	XP_020143220.1
OG0001690	XP_038393860.1	XP_012646888.2, XP_012646886.2, XP_012646887.2
OG0001691	XP_038394616.1	XP_012598070.1, XP_012598069.1, XP_012598068.1
OG0001692	XP_038394621.1	XP_012598064.1, XP_012598061.1, XP_012598062.1, XP_012598063.1, XP_020138149.1, XP_012598060.1
OG0001693	XP_038394853.1	XP_012616494.1
OG0001694	XP_038394875.1	XP_020139027.1
OG0001695	XP_038394903.1	XP_020137243.1
OG0001695	XP_038404056.1	XP_012645656.1
OG0001696	XP_038395015.1	XP_012597709.1
OG0001697	XP_038395069.1	XP_012597650.1
OG0001698	XP_038395141.1	XP_012614729.1
OG0001699	XP_038395422.1, XP_038395421.1	XP_012614314.1
OG0001700	XP_038401602.1	XP_012646507.1
OG0001700	XP_038395506.1	XP_012614616.2
OG0001701	XP_038395577.1	XP_012614425.1, XP_012614424.1, XP_012614423.1
OG0001702	XP_038443396.1	XP_012611296.1
OG0001702	XP_038396261.1	XP_012639940.1
OG0001703	XP_038402591.1	XP_012634192.1
OG0001703	XP_038396666.1	XP_012599331.1
OG0001704	XP_038397479.1	XP_012603023.1
OG0001705	XP_038397740.1, XP_038399433.1	XP_012597593.1, XP_012597592.1, XP_012597590.1
OG0001706	XP_038421713.1	XP_012616614.2
OG0001706	XP_038397814.1	XP_012599899.1
OG0001707	XP_038397948.1, XP_038397954.1	XP_012614220.1
OG0001708	XP_038398546.1	XP_012639326.1
OG0001709	XP_038399210.1, XP_038399208.1, XP_038399209.1	XP_012646692.1
OG0001710	XP_038399315.1, XP_038399314.1, XP_038399312.1, XP_038399313.1	XP_012645761.1
OG0001711	XP_038399427.1	XP_012597569.1
OG0001712	XP_038400702.1	XP_012613485.1, XP_012607633.1
OG0001713	XP_038401848.1	XP_012601926.1, XP_012601928.1, XP_012601927.1
OG0001714	XP_038402234.1, XP_038402235.1	XP_012644879.1, XP_012644883.1, XP_012644882.1, XP_012644880.1, XP_012644884.1, XP_012644881.1
OG0001715	XP_038402345.1, XP_038402344.1, XP_038402343.1, XP_038402346.1	XP_020136438.1
OG0001716	XP_038402563.1	XP_012634222.1
OG0001717	XP_038402647.1	XP_012611614.1
OG0001718	XP_038403013.1, XP_038403007.1, XP_038403008.1, XP_038403012.1, XP_038403010.1, XP_038403009.1, XP_038403011.1	XP_012642233.1, XP_012642237.1, XP_012642231.1, XP_012642234.1, XP_012642236.1, XP_012642232.1
OG0001719	XP_038403040.1	XP_012642175.1
OG0001720	XP_038404039.1	XP_012644057.1
OG0001721	XP_038404508.1	XP_020145178.1
OG0001721	XP_038423015.1	XP_020139386.1
OG0001722	XP_038406250.1, XP_038406248.1, XP_038406245.1, XP_038406249.1, XP_038406244.1	XP_012597177.1
OG0001723	XP_038406708.1, XP_038406710.1	XP_020145567.1
OG0001724	XP_038406790.1	XP_012598305.1
OG0001725	XP_038406800.1	XP_012593095.1, XP_012593091.1, XP_012593094.1, XP_012593092.1, XP_012593093.1
OG0001726	XP_038407180.1	XP_020144162.1
OG0001727	XP_038407279.1, XP_038407271.1, XP_038407272.1, XP_038407275.1, XP_038407273.1, XP_038407274.1, XP_038407276.1, XP_038407278.1, XP_038407277.1	XP_012620286.1
OG0001728	XP_038440084.1, XP_038440085.1, XP_038407590.1	XP_020135878.1
OG0001729	XP_038408073.1	XP_012617612.1
OG0001730	XP_038409479.1	XP_012596433.1
OG0001730	XP_038409474.1	XP_012596458.1
OG0001731	XP_038410244.1, XP_038410243.1	XP_012616332.1, XP_012616338.1, XP_012616337.1, XP_012616336.1, XP_012616333.1, XP_012616335.1
OG0001732	XP_038410760.1, XP_038410764.1, XP_038410762.1, XP_038410759.1, XP_038410763.1	XP_012608620.1
OG0001733	XP_038410967.1, XP_038410966.1, XP_038410965.1, XP_038410968.1	XP_012638004.1, XP_012638005.1, XP_012638002.1, XP_012638003.1
OG0001735	XP_038428357.1	XP_012635930.1
OG0001735	XP_038411080.1	XP_012617458.1
OG0001737	XP_038411686.1, XP_038411685.1	XP_020144329.1
OG0001738	XP_038443662.1	XP_012611547.1
OG0001738	XP_038412056.1	XP_012617224.1
OG0001739	XP_038412094.1, XP_038412095.1	XP_012613695.1, XP_020140887.1
OG0001740	XP_038412893.1	XP_012597417.1
OG0001741	XP_038413184.1	XP_012634459.1
OG0001742	XP_038413416.1	XP_020145338.1
OG0001743	XP_038413729.1	XP_020135808.1
OG0001744	XP_038414331.1	XP_012608275.1, XP_020141491.1, XP_020141489.1, XP_012608267.1, XP_020141492.1, XP_012608271.1, XP_020141488.1, XP_012608270.1, XP_020141493.1, XP_012608272.1, XP_020141490.1, XP_012608274.1
OG0001745	XP_038435810.1	XP_012632711.1
OG0001745	XP_038414931.1	XP_012629536.1
OG0001746	XP_038415280.1	XP_012623532.1
OG0001746	XP_038415263.1	XP_012623534.1
OG0001747	XP_038415504.1	XP_012596955.1, XP_012596952.1, XP_012596953.1, XP_012596954.1
OG0001748	XP_038416383.1	XP_012599169.1
OG0001749	XP_038416750.1, XP_038416746.1, XP_038416747.1, XP_038416748.1	XP_012631960.1
OG0001750	XP_038416808.1, XP_038416804.1, XP_038416807.1, XP_038416806.1, XP_038416805.1, XP_038416809.1	XP_012643164.1
OG0001751	XP_038417249.1	XP_012643939.1
OG0001752	XP_038418145.1	XP_012623006.1
OG0001753	XP_038418614.1	XP_020145353.1
OG0001754	XP_038418904.1	XP_012645969.1
OG0001755	XP_038418926.1	XP_012594186.1, XP_012594185.1, XP_012594184.1, XP_012594187.1, XP_012594183.1, XP_012594182.1
OG0001756	XP_038419004.1, XP_038419006.1, XP_038419005.1	XP_012595317.1
OG0001757	XP_038419180.1, XP_038419179.1	XP_012605390.1
OG0001758	XP_038419430.1	XP_012645816.1
OG0001759	XP_038419453.1	XP_012624982.1, XP_012624984.1, XP_012624980.1, XP_012624981.1, XP_012624979.1, XP_012624985.1
OG0001760	XP_038419514.1	XP_012613139.1
OG0001761	XP_038419536.1, XP_038419538.1, XP_038419535.1	XP_012613178.1, XP_012613177.1
OG0001762	XP_038421900.1, XP_038421898.1, XP_038421897.1, XP_038421899.1	XP_012603828.1, XP_012603827.1
OG0001763	XP_038422583.1, XP_038422581.1, XP_038422582.1	XP_012626497.1
OG0001764	XP_038423416.1	XP_012646255.1
OG0001765	XP_038423838.1, XP_038423835.1, XP_038423839.1, XP_038423837.1, XP_038423836.1, XP_038423834.1	XP_012601139.1, XP_012601137.1, XP_012601138.1
OG0001766	XP_038443282.1, XP_038443283.1, XP_038424067.1	XP_012593548.1
OG0001767	XP_038426854.1	XP_012622291.1
OG0001767	XP_038424618.1	XP_012600492.1
OG0001768	XP_038424647.1	XP_012600593.1, XP_012600595.1, XP_012600594.1, XP_012600592.1
OG0001769	XP_038425546.1	XP_012616462.1
OG0001771	XP_038426829.1	XP_012622295.1
OG0001772	XP_038427058.1, XP_038427063.1, XP_038427061.1, XP_038427064.1, XP_038427059.1, XP_038427062.1, XP_038427060.1	XP_012617857.1
OG0001773	XP_038427680.1	XP_012610267.1
OG0001774	XP_038427966.1	XP_012610159.1
OG0001775	XP_038428382.1	XP_012636852.1
OG0001775	XP_038428390.1	XP_012598349.1
OG0001776	XP_038428414.1, XP_038428413.1, XP_038428412.1	XP_012598363.1, XP_012598362.1
OG0001777	XP_038428828.1	XP_012628441.1, XP_012628442.1, XP_012628440.1
OG0001778	XP_038430411.1	XP_020145964.1
OG0001779	XP_038430728.1	XP_012637611.1, XP_012637609.1, XP_012637612.1
OG0001780	XP_038431018.1	XP_012633841.1, XP_012633840.1
OG0001781	XP_038431095.1, XP_038431094.1	XP_012607694.1, XP_012607692.1
OG0001782	XP_038431365.1	XP_012612025.1, XP_012612022.1, XP_012612024.1, XP_012612020.1, XP_012612021.1, XP_012612023.1, XP_012612026.1, XP_012612018.1, XP_012612019.1
OG0001783	XP_038432659.1	XP_012633063.1
OG0001784	XP_038432674.1	XP_020143340.1, XP_020143240.1, XP_020143235.1, XP_020143233.1
OG0001785	XP_038432833.1	XP_012631285.1, XP_012631284.1, XP_020143205.1
OG0001786	XP_038432939.1, XP_038432938.1, XP_038432936.1, XP_038432940.1, XP_038432937.1, XP_038432935.1, XP_038432941.1	XP_012640952.1
OG0001787	XP_038433161.1	XP_012644691.1
