Orthogroup	Canis_lupus_familiaris	Ictidomys_tridecemlineatus
OG0002663	XP_038443552.1, XP_038443551.1	XP_040137971.1
OG0002664	XP_038443553.1	XP_021575610.1
OG0002665	XP_038444211.1, XP_038444210.1, XP_038444212.1	XP_021578034.1
OG0002666	XP_038444658.1	XP_040143175.1
OG0002667	XP_038445002.1	XP_040147856.1
OG0002676	NP_001002996.1	XP_005316295.1
OG0002677	NP_001003051.1	XP_005318280.1
OG0002678	NP_001003169.1	XP_005334277.1
OG0002679	NP_001243249.1	XP_005341979.2
OG0002679	NP_001003213.1	XP_005341978.1
OG0002681	NP_001003315.1	XP_021575979.2
OG0002682	NP_001008716.1	XP_040145654.1
OG0002683	NP_001033060.1	XP_040126857.1
OG0002684	NP_001041573.1	XP_021577524.1
OG0002685	NP_001041589.1	XP_040143003.1, XP_013211736.1
OG0002686	NP_001103429.1	XP_013213722.2, XP_040136183.1
OG0002687	NP_001138623.1	XP_005337620.1
OG0002688	NP_001139506.1	XP_040131043.1, XP_005320197.1, XP_040131042.1, XP_040131041.1
OG0002689	NP_001159519.2	XP_021584506.1, XP_005328967.1, XP_021584507.1, XP_040136873.1
OG0002690	NP_001177358.2	XP_005342339.1, XP_013218942.1
OG0002691	NP_001183962.1	XP_005336711.1
OG0002692	NP_001184103.1	XP_005317097.1
OG0002693	NP_001186973.1	XP_013219362.1, XP_013219363.1, XP_005337614.1, XP_013219361.1
OG0002694	NP_001229249.1	XP_005315967.1
OG0002695	NP_001238967.1	XP_005338125.1, XP_040129677.1
OG0002696	XP_038433040.1, NP_001239338.1, XP_038429993.1	XP_005316777.1
OG0002697	NP_001271409.1	XP_005343061.2
OG0002698	NP_001272397.1	XP_040127133.1
OG0002699	NP_001277037.1	XP_013214008.1, XP_040142044.1
OG0002700	NP_001300728.1	XP_021576814.1
OG0002701	NP_001300758.1	XP_005333372.1, XP_040139925.1
OG0002702	XP_038390010.1	XP_040138434.1
OG0002703	NP_001301043.1	XP_005339751.1
OG0002704	NP_001332941.1	XP_005325181.1
OG0002705	NP_001344043.1	XP_040150517.1
OG0002706	NP_001361400.1	XP_013213176.1
OG0002706	NP_001361399.1	XP_021580720.1
OG0002707	NP_001375545.1	XP_005342240.1
OG0002709	NP_001375732.1	XP_005328459.1
OG0002710	NP_001375798.1	XP_005326678.1
OG0002710	NP_001375797.1	XP_005326766.1
OG0002711	NP_001375889.1	XP_005323171.1, XP_005323172.1
OG0002712	NP_001376007.1, NP_001376016.1	XP_005338038.1
OG0002713	NP_001376047.1, NP_001376099.1, XP_038405446.1	XP_013221922.2, XP_005341751.1
OG0002714	XP_038436756.1	XP_040144988.1
OG0002715	XP_038381426.1	XP_040139201.1, XP_040139202.1, XP_021588990.1
OG0002717	XP_038381801.1	XP_021580628.1, XP_040128310.1, XP_040128309.1, XP_005323072.1, XP_021580629.1
OG0002718	XP_038381875.1, XP_038381874.1, XP_038381873.1, XP_038381876.1	XP_040128846.1
OG0002719	XP_038381927.1, XP_038381929.1, XP_038381928.1	XP_005334940.1
OG0002720	XP_038381960.1	XP_005329819.1
OG0002721	XP_038382192.1	XP_021588598.1, XP_040139360.1
OG0002722	XP_038382476.1, XP_038382477.1, XP_038382479.1, XP_038382475.1, XP_038382478.1	XP_021579564.1, XP_021579566.1
OG0002723	XP_038383166.1	XP_040141650.1
OG0002724	XP_038383819.1	XP_005342322.1, XP_040135865.1
OG0002725	XP_038384164.1	XP_040135270.1, XP_040135271.1, XP_005336731.1
OG0002726	XP_038384271.1	XP_040134987.1, XP_040134976.1, XP_040134983.1, XP_040134994.1, XP_040134993.1
OG0002727	XP_038417391.1, XP_038384505.1	XP_005338278.1
OG0002728	XP_038384606.1	XP_005338246.1
OG0002729	XP_038384658.1	XP_005338210.1, XP_013219635.1, XP_005338211.1, XP_013219636.1, XP_040134790.1, XP_040134789.1
OG0002730	XP_038384845.1	XP_005336474.1
OG0002731	XP_038385922.1	XP_005325880.1
OG0002732	XP_038386245.1	XP_040129291.1
OG0002733	XP_038387690.1	XP_021589606.1, XP_040143954.1
OG0002734	XP_038387702.1	XP_040143946.1, XP_040143944.1, XP_005317591.1, XP_040143945.1
OG0002735	XP_038387830.1, XP_038387829.1	XP_040143896.1
OG0002736	XP_038388227.1, XP_038388226.1, XP_038388228.1, XP_038388224.1, XP_038388223.1, XP_038388225.1	XP_013214467.1
OG0002737	XP_038388297.1	XP_040150378.1, XP_005315737.1
OG0002738	XP_038388456.1	XP_005329001.1, XP_021584528.1, XP_040128267.1, XP_040128266.1, XP_040128269.1, XP_021584529.1, XP_021584527.1, XP_021584526.1, XP_040128268.1
OG0002739	XP_038388754.1	XP_013211771.1
OG0002740	XP_038389141.1	XP_005319062.1
OG0002741	XP_038389345.1	XP_040148433.1, XP_040138244.1
OG0002742	XP_038389556.1	XP_005319107.1
OG0002743	XP_038389557.1, XP_038389559.1, XP_038389558.1	XP_005319108.1
OG0002744	XP_038389649.1, XP_038389648.1, XP_038389647.1, XP_038389645.1, XP_038389646.1	XP_013217865.1, XP_013217864.1
OG0002745	XP_038389653.1	XP_040128737.1
OG0002746	XP_038390058.1	XP_021582481.1
OG0002747	XP_038390904.1, XP_038390905.1, XP_038390903.1	XP_040127769.1, XP_040127768.1, XP_040127771.1, XP_040127770.1, XP_005325537.1
OG0002748	XP_038391143.1, XP_038391142.1, XP_038391141.1, XP_038391146.1, XP_038391144.1, XP_038391145.1	XP_040129317.1
OG0002749	XP_038391392.1, XP_038396285.1	XP_005327274.2
OG0002750	XP_038391835.1	XP_013215457.1
OG0002751	XP_038392046.1	XP_005334260.1
OG0002752	XP_038392871.1, XP_038400046.1	XP_005339195.1
OG0002753	XP_038393027.1	XP_005339516.1
OG0002754	XP_038393250.1	XP_013219433.1
OG0002755	XP_038393838.1	XP_013220975.2, XP_040136175.1, XP_040136186.1, XP_013221733.1, XP_005334810.1
OG0002756	XP_038394180.1	XP_040134819.1, XP_005318503.1
OG0002757	XP_038394181.1	XP_040134953.1
OG0002757	XP_038435143.1	XP_013211979.2
OG0002758	XP_038394787.1	XP_013215466.1
OG0002759	XP_038394882.1	XP_005341360.1, XP_040144894.1, XP_040145129.1
OG0002760	XP_038395140.1, XP_038395139.1	XP_021584239.1
OG0002761	XP_038395621.1	XP_040134231.1
OG0002762	XP_038395688.1	XP_021581191.1
OG0002763	XP_038396227.1, XP_038396226.1, XP_038396225.1	XP_005323744.1
OG0002764	XP_038396338.1, XP_038396337.1, XP_038396339.1	XP_040133948.1, XP_040133949.1, XP_005327220.1
OG0002765	XP_038396655.1	XP_021590604.1
OG0002766	XP_038396752.1, XP_038396751.1, XP_038396753.1, XP_038396750.1	XP_005337901.1
OG0002767	XP_038396934.1	XP_005338185.1
OG0002768	XP_038396972.1	XP_040143358.1, XP_005338171.1, XP_040143357.1
OG0002769	XP_038397005.1	XP_005338145.1
OG0002770	XP_038397648.1	XP_040134503.1
OG0002771	XP_038397787.1, XP_038397786.1	XP_040132679.1, XP_005330391.1
OG0002772	XP_038397870.1	XP_021585567.1, XP_005330438.1, XP_040133120.1
OG0002773	XP_038398525.1	XP_013211600.1
OG0002774	XP_038398974.1, XP_038398973.1, XP_038398972.1, XP_038398971.1	XP_005331440.1
OG0002775	XP_038399066.1	XP_013216574.1
OG0002776	XP_038399146.1	XP_040143574.1
OG0002777	XP_038399430.1, XP_038399432.1	XP_021582216.2
OG0002778	XP_038399608.1	XP_005329087.1
OG0002779	XP_038400334.1, XP_038442144.1	XP_005322711.1
OG0002780	XP_038400513.1, XP_038400516.1, XP_038400514.1, XP_038400515.1	XP_005322772.1
OG0002781	XP_038400726.1	XP_040131307.1
OG0002782	XP_038400850.1	XP_021580458.1
OG0002783	XP_038401315.1	XP_040130597.1
OG0002784	XP_038401321.1, XP_038401326.1, XP_038401325.1, XP_038401320.1, XP_038401323.1, XP_038401324.1, XP_038401322.1, XP_038401328.1	XP_021579484.1
OG0002785	XP_038401463.1	XP_005321370.1
OG0002786	XP_038401572.1, XP_038401575.1, XP_038401570.1, XP_038401571.1, XP_038401574.1, XP_038401573.1	XP_021576440.1
OG0002787	XP_038401625.1, XP_038401624.1	XP_005333960.1
OG0002788	XP_038401925.1, XP_038401926.1	XP_040130668.1
OG0002789	XP_038402722.1	XP_013215399.1
OG0002790	XP_038431834.1	XP_021588366.1
OG0002791	XP_038404185.1	XP_005327886.1
OG0002792	XP_038404462.1, XP_038404461.1	XP_005327980.1
OG0002793	XP_038405318.1	XP_040142231.1
OG0002794	XP_038405416.1	XP_005332601.1
OG0002795	XP_038412874.1	XP_005335863.1, XP_005339992.1
OG0002796	XP_038432091.1, XP_038405514.1, XP_038405513.1	XP_005335656.1
OG0002798	XP_038406356.1, XP_038406357.1, XP_038406358.1	XP_040133403.1
OG0002799	XP_038406394.1, XP_038406396.1, XP_038406397.1, XP_038406393.1, XP_038406398.1, XP_038406392.1, XP_038406399.1, XP_038406395.1	XP_005322283.1
OG0002800	XP_038406600.1	XP_040137740.1
OG0002801	XP_038406930.1	XP_013218835.2, XP_040126732.1
OG0002802	XP_038407134.1, XP_038437022.1	XP_040127034.1, XP_040127033.1, XP_040127031.1, XP_005324560.1, XP_040127032.1
OG0002803	XP_038407287.1	XP_005322231.1
OG0002804	XP_038407411.1	XP_005322152.1
OG0002805	XP_038407477.1	XP_005322182.1, XP_040127264.1
OG0002806	XP_038408221.1	XP_040127982.1
OG0002808	XP_038408942.1	XP_040142059.1
OG0002809	XP_038410249.1	XP_040137900.1, XP_040137379.1, XP_021577502.1, XP_005318613.1
OG0002810	XP_038410510.1	XP_013213810.1
OG0002811	XP_038410558.1	XP_021581724.1
OG0002812	XP_038410721.1	XP_005335936.1
OG0002813	XP_038410758.1, XP_038410757.1, XP_038410755.1, XP_038410756.1, XP_038410754.1	XP_040139089.1
OG0002814	XP_038412489.1	XP_005331180.1
OG0002815	XP_038413143.1, XP_038413144.1	XP_005319213.1, XP_040147740.1, XP_040147739.1
OG0002816	XP_038413211.1, XP_038445506.1, XP_038413212.1, XP_038413226.1	XP_005319236.1
OG0002817	XP_038413855.1, XP_038413856.1, XP_038413857.1, XP_038413858.1	XP_013217623.1
OG0002818	XP_038413966.1	XP_040144597.1
OG0002819	XP_038414002.1	XP_005326150.1, XP_013214392.1
OG0002820	XP_038414960.1	XP_013211682.1
OG0002821	XP_038415139.1	XP_040147923.1
OG0002822	XP_038415307.1, XP_038415309.1, XP_038415308.1	XP_040147279.1
OG0002823	XP_038415893.1	XP_005340377.1
OG0002825	XP_038416627.1	XP_005327401.1
OG0002826	XP_038416909.1, XP_038442529.1	XP_005322624.1, XP_040127393.1
OG0002827	XP_038417180.1, XP_038417176.1, XP_038417178.1, XP_038417174.1, XP_038417177.1, XP_038417179.1, XP_038417175.1	XP_005322517.1
OG0002828	XP_038417743.1	XP_013219407.1, XP_013219408.1
OG0002829	XP_038418308.1	XP_040143337.1, XP_040143336.1
OG0002830	XP_038418325.1	XP_013212878.1
OG0002831	XP_038418551.1	XP_040147897.1
OG0002833	XP_038419628.1, XP_038419629.1, XP_038419627.1	XP_040139932.1
OG0002834	XP_038420069.1	XP_013217431.2
OG0002835	XP_038421220.1, XP_038421221.1, XP_038421222.1, XP_038421223.1	XP_040146093.1
OG0002836	XP_038421821.1	XP_021588934.1
OG0002837	XP_038422456.1	XP_021583104.1, XP_040125602.1, XP_013214885.1, XP_013214886.1, XP_005326939.1
OG0002838	XP_038422479.1	XP_013214879.1
OG0002839	XP_038422499.1, XP_038422498.1	XP_005326921.2
OG0002840	XP_038422649.1	XP_040146157.1, XP_040146159.1, XP_040146158.1, XP_013217262.1
OG0002842	XP_038423304.1	XP_005336168.1
OG0002843	XP_038423364.1, XP_038423356.1	XP_040146948.1
OG0002844	XP_038423750.1, XP_038423749.1	XP_005332077.1
OG0002845	XP_038423812.1	XP_005332063.1
OG0002846	XP_038423923.1	XP_040146691.1
OG0002847	XP_038424409.1, XP_038424408.1	XP_021580816.1
OG0002848	XP_038424425.1, XP_038424424.1, XP_038424423.1	XP_013213077.1, XP_021580803.1
OG0002849	XP_038425182.1, XP_038425183.1	XP_040140539.1
OG0002850	XP_038426608.1, XP_038426610.1, XP_038426609.1, XP_038426607.1	XP_005317334.1
OG0002851	XP_038426689.1	XP_005317306.1
OG0002852	XP_038427651.1	XP_005320574.1
OG0002853	XP_038427704.1	XP_005320593.1
OG0002854	XP_038428752.1, XP_038439184.1, XP_038428753.1	XP_005325372.1
OG0002855	XP_038428883.1	XP_040129988.1
OG0002856	XP_038429520.1	XP_005325562.1
OG0002857	XP_038429906.1	XP_021582812.1
OG0002858	XP_038429928.1	XP_040123862.1
OG0002859	XP_038430281.1, XP_038430282.1, XP_038430283.1	XP_021582707.2
OG0002860	XP_038430953.1	XP_040145425.1
OG0002861	XP_038431107.1	XP_005336899.1, XP_040145378.1
OG0002862	XP_038431360.1	XP_021575682.2
OG0002863	XP_038431453.1	XP_005336090.1
OG0002864	XP_038431578.1, XP_038431577.1	XP_005341925.1, XP_005341924.1
OG0002865	XP_038431939.1	XP_005337787.1
OG0002866	XP_038432050.1	XP_013221171.2, XP_005342361.1
OG0002868	XP_038432494.1	XP_005338413.2
OG0002869	XP_038432552.1	XP_021590931.1, XP_040136991.1, XP_040136989.1, XP_040136992.1, XP_040136990.1
OG0002870	XP_038437673.1, XP_038433395.1	XP_040136676.1
OG0002871	XP_038434311.1	XP_040127938.1
OG0002873	XP_038434560.1	XP_013217566.1
OG0002874	XP_038434564.1, XP_038434562.1, XP_038434563.1	XP_005333679.1
OG0002875	XP_038434690.1	XP_040129205.1
OG0002876	XP_038435122.1	XP_013211985.1, XP_005320844.1, XP_005320845.1
OG0002877	XP_038435536.1	XP_021589407.1, XP_005336060.1
OG0002878	XP_038435815.1	XP_013213670.1, XP_005316856.1
OG0002879	XP_038435997.1	XP_005316466.1, XP_005316467.1
OG0002880	XP_038436165.1, XP_038436166.1, XP_038436167.1, XP_038436164.1	XP_040130161.1
OG0002881	XP_038436175.1	XP_005316538.1
OG0002882	XP_038436894.1	XP_005316851.2
OG0002883	XP_038437370.1	XP_005323555.1
OG0002884	XP_038438049.1	XP_005337612.1
OG0002885	XP_038438231.1	XP_040148171.1
OG0002886	XP_038444673.1	XP_013221487.1
OG0002887	XP_038438619.1	XP_021588748.1
OG0002888	XP_038439091.1, XP_038439089.1, XP_038439090.1, XP_038439092.1	XP_013220637.1, XP_005340347.1
OG0002889	XP_038439101.1	XP_021576323.1
OG0002890	XP_038439877.1	XP_005330342.1, XP_040126045.1
OG0002891	XP_038441511.1, XP_038441512.1	XP_005342105.1
OG0002892	XP_038441811.1, XP_038445280.1	XP_005330604.1
OG0002893	XP_038441966.1, XP_038441965.1	XP_040133584.1
OG0002894	XP_038442137.1	XP_005326641.1
OG0002895	XP_038442165.1	XP_005319919.1
OG0002896	XP_038442182.1	XP_005341009.1
OG0002897	XP_038442185.1	XP_040143247.1, XP_040143250.1
OG0002897	XP_038442186.1	XP_021576297.1
OG0002898	XP_038442469.1	XP_040138522.1, XP_005328874.1, XP_021584437.1
OG0002899	XP_038442497.1	XP_005337502.1, XP_005328907.1, XP_013215612.1
OG0002900	XP_038442926.1	XP_040150416.1
OG0002901	XP_038443071.1	XP_005329226.1
OG0002902	XP_038443105.1, XP_038443104.1	XP_005324023.1, XP_021581237.1
OG0002903	XP_038443133.1	XP_005324032.3
OG0002904	XP_038443340.1, XP_038443328.1, XP_038443329.1, XP_038443335.1, XP_038443331.1, XP_038443333.1, XP_038443336.1, XP_038443330.1, XP_038443337.1, XP_038443334.1, XP_038443339.1, XP_038443332.1	XP_021591201.1
OG0002905	XP_038444049.1, XP_038444051.1, XP_038444048.1, XP_038444050.1, XP_038444047.1	XP_021580864.1
OG0002906	XP_038444329.1	XP_021581964.1
OG0002907	XP_038444743.1	XP_021576161.1
OG0002913	NP_001002963.1	XP_005332335.1
OG0002914	NP_001002965.2	XP_040134136.1
OG0002915	NP_001003011.1	XP_005336706.1
OG0002916	NP_001003065.1	XP_005316336.1
OG0002917	NP_001003140.1	XP_021578525.1
OG0002918	NP_001003279.1	XP_005330380.1
OG0002919	XP_038381548.1, XP_038442611.1, NP_001003288.1, XP_038415218.1	XP_005323295.1
OG0002920	NP_001005760.1	XP_005325678.1
OG0002921	NP_001012754.1	XP_021583635.1, XP_005327681.1, XP_013215173.1
OG0002922	NP_001017442.2	XP_021576516.1
OG0002923	NP_001026805.1	XP_005338817.1
OG0002924	NP_001033754.2	XP_040146498.1
OG0002925	NP_001041500.1	XP_040137888.1
OG0002926	NP_001041567.1	XP_005318832.1
OG0002927	NP_001041580.1	XP_005322991.1
OG0002928	NP_001070905.1	XP_005332655.1, XP_040124354.1
OG0002929	NP_001103649.1	XP_005321751.1
OG0002930	NP_001120787.1	XP_005340170.1
OG0002931	NP_001138969.1	XP_040137789.1
OG0002932	NP_001182754.1, NP_001182755.1, NP_001182756.1, NP_001182332.1	XP_040139887.1
OG0002934	NP_001184086.1	XP_005337497.1
OG0002935	NP_001185588.1	XP_005333899.1
OG0002937	NP_001239260.1	XP_013212623.1
OG0002938	NP_001239299.1	XP_005333572.1
OG0002938	XP_038442458.1	XP_005341667.1
OG0002939	XP_038433417.1, NP_001239347.1	XP_005322276.1, XP_040135110.1, XP_013214566.1
OG0002940	NP_001271378.1	XP_005330638.1
OG0002941	NP_001274060.1	XP_005328405.1
OG0002942	NP_001274099.1	XP_021590736.1
OG0002943	XP_038391384.1	XP_040136188.1
OG0002943	NP_001277055.1	XP_021589436.1
OG0002946	NP_001300742.1	XP_021578859.1, XP_021578860.1, XP_040131995.1, XP_005320557.1
OG0002947	NP_001300784.1	XP_040135172.1
OG0002948	NP_001301038.1	XP_021577750.1
OG0002949	NP_001375650.1	XP_005341179.1
OG0002951	NP_001375737.1	XP_005338863.2, XP_005338864.2
OG0002953	NP_001375965.1	XP_005342653.1, XP_005341982.2, XP_013221452.1, XP_005342760.1, XP_013221449.1, XP_021576858.1
OG0002954	NP_001376015.1	XP_005334152.1, XP_013221902.1
OG0002955	XP_038381538.1	XP_021589001.1
OG0002955	XP_038381427.1	XP_021588985.1, XP_005335444.1
OG0002956	XP_038381877.1	XP_013213013.1
OG0002957	XP_038382958.1	XP_040139725.1
OG0002958	XP_038383018.1, XP_038383020.1, XP_038383017.1, XP_038383019.1	XP_005324157.1
OG0002959	XP_038383239.1	XP_040131325.1
OG0002960	XP_038383337.1	XP_005320922.1
OG0002961	XP_038383637.1	XP_021577028.1
OG0002962	XP_038383664.1, XP_038383665.1, XP_038383663.1, XP_038383666.1	XP_005341640.1
OG0002963	XP_038383692.1	XP_021576653.2, XP_021576764.1
OG0002965	XP_038383966.1	XP_040135035.1
OG0002966	XP_038384021.1, XP_038384022.1, XP_038384023.1, XP_038384024.1	XP_005341723.1
OG0002967	XP_038384030.1, XP_038384031.1, XP_038384029.1	XP_005341716.1
OG0002968	XP_038384184.1	XP_040135233.1, XP_013218972.1, XP_005336721.1
OG0002969	XP_038384301.1, XP_038384303.1, XP_038384300.1, XP_038384302.1	XP_040135685.1
OG0002970	XP_038384373.1	XP_005336637.1
OG0002971	XP_038384735.1	XP_005336519.1
OG0002972	XP_038384756.1, XP_038384758.1, XP_038384757.1, XP_038384755.1	XP_040135918.1, XP_005336505.1
OG0002973	XP_038384762.1, XP_038426190.1, XP_038399868.1	XP_005336502.1
OG0002974	XP_038384838.1	XP_005336475.1
OG0002975	XP_038384871.1	XP_013218869.1
OG0002976	XP_038385011.1	XP_005342829.4
OG0002976	XP_038385126.1	XP_021576024.1, XP_021576023.1, XP_040135440.1, XP_040135442.1
OG0002977	XP_038385364.1, XP_038385367.1, XP_038385366.1, XP_038385365.1	XP_005330685.1
OG0002978	XP_038385376.1	XP_013216352.1
OG0002979	XP_038385459.1	XP_040135014.1
OG0002980	XP_038399979.1, XP_038385778.1, XP_038412592.1, XP_038407935.1	XP_005333996.1
OG0002981	XP_038385838.1	XP_040134671.1
OG0002982	XP_038386094.1	XP_005320453.1, XP_013213193.2
OG0002983	XP_038386148.1	XP_040132581.1, XP_021578739.1, XP_005320391.1
OG0002984	XP_038386674.1, XP_038386675.1	XP_005319617.1
OG0002985	XP_038386681.1	XP_005326129.1
OG0002986	XP_038386716.1	XP_005319585.1
OG0002987	XP_038386862.1	XP_040135652.1
OG0002988	XP_038387009.1	XP_005318221.1
OG0002989	XP_038387077.1	XP_040144263.1
OG0002990	XP_038387164.1, XP_038387163.1	XP_021588858.2
OG0002991	XP_038387377.1	XP_005317700.1
OG0002992	XP_038387510.1	XP_040144045.1
OG0002993	XP_038387946.1	XP_005317514.1
OG0002994	XP_038387985.1	XP_013211837.1
OG0002995	XP_038388334.1, XP_038388332.1, XP_038388333.1	XP_005315722.1
OG0002996	XP_038388482.1	XP_040131340.1
OG0002997	XP_038388775.1	XP_013211791.1
OG0002998	XP_038388777.1	XP_005320202.1, XP_040132381.1, XP_040132380.1
OG0002999	XP_038388812.1	XP_005320221.1
OG0003000	XP_038389263.1	XP_040148582.1
OG0003001	XP_038389272.1	XP_005319016.1
OG0003002	XP_038389305.1	XP_040148596.1, XP_040148594.1, XP_005319020.1
OG0003003	XP_038424062.1, XP_038444868.1, XP_038389311.1	XP_040132695.1, XP_021577783.1
OG0003004	XP_038389328.1, XP_038389329.1	XP_005319029.1
OG0003005	XP_038389619.1	XP_005316920.1
OG0003006	XP_038390762.1, XP_038390761.1, XP_038389676.1	XP_005325471.1
OG0003007	XP_038389920.1	XP_040129233.1
OG0003008	XP_038390093.1	XP_040129178.1
OG0003009	XP_038390188.1	XP_040129226.1, XP_040129225.1
OG0003010	XP_038390397.1	XP_005325885.1
OG0003011	XP_038390405.1, XP_038390406.1, XP_038390407.1, XP_038390404.1	XP_005338614.1
OG0003013	XP_038390802.1	XP_021582147.1
OG0003014	XP_038391326.1, XP_038401174.1	XP_005325713.1
OG0003015	XP_038391337.1	XP_005325721.1
OG0003016	XP_038391406.1, XP_038407475.1	XP_005322179.1
OG0003017	XP_038391662.1, XP_038391663.1, XP_038391661.1	XP_005339596.1, XP_040141442.1, XP_021579832.1
OG0003018	XP_038392086.1	XP_005334282.1
OG0003019	XP_038392748.1	XP_040125362.1
OG0003020	XP_038392753.1, XP_038392754.1, XP_038392755.1	XP_005332909.1
OG0003021	XP_038392887.1	XP_005338923.1, XP_040125507.1, XP_040125508.1
OG0003022	XP_038392915.1	XP_005340870.1
OG0003023	XP_038393604.1	XP_021591567.1
OG0003024	XP_038393742.1, XP_038393740.1, XP_038393741.1	XP_040143788.1
OG0003025	XP_038394066.1, XP_038394065.1, XP_038394067.1	XP_005335511.2
OG0003026	XP_038394145.1, XP_038394148.1, XP_038394147.1, XP_038394146.1	XP_005318573.2
OG0003027	XP_038394363.1	XP_013221008.1
OG0003028	XP_038394642.1	XP_005318352.2
OG0003029	XP_038394647.1, XP_038394649.1, XP_038394648.1, XP_038394650.1	XP_005318354.1
OG0003030	XP_038394704.1	XP_040139074.1
OG0003031	XP_038394819.1	XP_005323711.1, XP_021581064.1
OG0003032	XP_038394911.1	XP_005328609.2
OG0003033	XP_038395049.1	XP_013215523.3
OG0003034	XP_038395143.1, XP_038395145.1, XP_038395142.1, XP_038395144.1	XP_005328539.1
OG0003035	XP_038395580.1	XP_005339903.2
OG0003036	XP_038395617.1, XP_038395612.1, XP_038395613.1, XP_038395616.1, XP_038395615.1	XP_005339888.1
OG0003037	XP_038395656.1	XP_005328620.1
OG0003038	XP_038395670.1	XP_005323941.1
OG0003039	XP_038395800.1	XP_021581175.1
OG0003040	XP_038396135.1	XP_040133322.1
OG0003041	XP_038396329.1	XP_021583327.1
OG0003042	XP_038396860.1, XP_038396859.1, XP_038396861.1, XP_038396858.1, XP_038396862.1	XP_005323710.1
OG0003043	XP_038397102.1	XP_005339151.1, XP_013220128.1
OG0003045	XP_038397336.1	XP_021583701.1
OG0003046	XP_038397706.1, XP_038397734.1, XP_038397733.1, XP_038398860.1	XP_040129801.1, XP_005342876.1
OG0003047	XP_038397745.1	XP_040131001.1, XP_040130995.1, XP_021575806.1, XP_021575809.1, XP_021575811.1, XP_021575807.1
OG0003048	XP_038397802.1, XP_038397804.1, XP_038397803.1, XP_038397805.1	XP_005330397.1
OG0003049	XP_038397983.1	XP_005329513.1
OG0003050	XP_038398346.1	XP_005319826.1
OG0003051	XP_038398386.1, XP_038398385.1	XP_040132864.1, XP_021578316.1, XP_021578315.1, XP_005319836.1, XP_040132863.1
OG0003052	XP_038398876.1	XP_021586226.1
OG0003053	XP_038399030.1	XP_005331408.1
OG0003054	XP_038400238.1, XP_038400237.1	XP_005338774.1
OG0003055	XP_038400849.1	XP_040130915.1, XP_040130913.1, XP_040130912.1, XP_040130911.1
OG0003056	XP_038400857.1, XP_038400858.1, XP_038400860.1, XP_038400859.1	XP_005322846.1
OG0003058	XP_038401725.1	XP_040132138.1
OG0003059	XP_038401980.1	XP_013219044.2
OG0003059	XP_038404626.1, XP_038404627.1, XP_038404625.1	XP_005337036.1
OG0003060	XP_038402024.1	XP_005328154.1
OG0003061	XP_038402292.1	XP_040148987.1, XP_040124466.1, XP_040127561.1, XP_040133697.1
OG0003062	XP_038402302.1	XP_005332688.1
OG0003063	XP_038402710.1	XP_040124479.1, XP_005328299.1, XP_040124477.1, XP_040124478.1
OG0003064	XP_038402844.1	XP_005328253.1
OG0003065	XP_038402971.1, XP_038402972.1	XP_040124606.1, XP_005328198.1, XP_040124607.1
OG0003066	XP_038402998.1	XP_040124854.1
OG0003067	XP_038403130.1, XP_038403132.1, XP_038403131.1	XP_005321971.1
OG0003068	XP_038403403.1	XP_040124777.1
OG0003069	XP_038403444.1	XP_021579692.1
OG0003070	XP_038403477.1	XP_013212577.1, XP_040124815.1
OG0003071	XP_038403544.1	XP_005321752.1
OG0003072	XP_038403900.1	XP_013212563.1
OG0003073	XP_038404200.1	XP_005327891.1
OG0003074	XP_038404411.1	XP_040126465.1
OG0003075	XP_038404455.1, XP_038404456.1	XP_040125231.1, XP_005327979.1
OG0003076	XP_038404470.1	XP_040125239.1, XP_021590239.1, XP_040125487.1, XP_040125488.1
OG0003077	XP_038404504.1	XP_013219263.1
OG0003078	XP_038404586.1	XP_040142635.1
OG0003079	XP_038404670.1	XP_013219047.2
OG0003080	XP_038405717.1, XP_038405716.1	XP_005335732.1
OG0003081	XP_038406006.1	XP_005335045.2
OG0003082	XP_038406184.1, XP_038406183.1	XP_005338647.1
OG0003083	XP_038406224.1	XP_013219851.1
OG0003084	XP_038407135.1	XP_005324559.1
OG0003085	XP_038407367.1	XP_021579978.1
OG0003086	XP_038407538.1	XP_005333280.1
OG0003087	XP_038408642.1	XP_005326293.1
OG0003088	XP_038408686.1	XP_005326311.1, XP_021582645.1
OG0003089	XP_038409028.1	XP_040139752.1
OG0003090	XP_038409141.1	XP_013212233.1, XP_013212232.1, XP_005320941.1
OG0003091	XP_038409304.1	XP_005318646.1
OG0003092	XP_038409744.1, XP_038409743.1, XP_038409742.1	XP_021577683.1
OG0003093	XP_038409835.1	XP_040138520.1
OG0003094	XP_038410031.1	XP_005318718.1
OG0003095	XP_038410163.1, XP_038410164.1	XP_005318671.1
OG0003096	XP_038410203.1, XP_038410202.1, XP_038410204.1, XP_038410205.1	XP_005318649.1
OG0003097	XP_038410211.1	XP_040138698.1
OG0003099	XP_038410654.1	XP_040139022.1
OG0003100	XP_038410955.1	XP_021577156.1
OG0003101	XP_038411268.1, XP_038411269.1	XP_021580300.1
OG0003102	XP_038411467.1	XP_021578016.1
OG0003103	XP_038411667.1, XP_038411669.1, XP_038411670.1, XP_038411666.1, XP_038411668.1	XP_005316153.1
OG0003104	XP_038411887.1	XP_005320010.1
OG0003105	XP_038412083.1	XP_005320079.1
