Orthogroup	Canis_lupus_familiaris	Mus_musculus
OG0003064	XP_038402844.1	NP_765985.1, NP_001343388.1, NP_001343387.1
OG0003065	XP_038402971.1, XP_038402972.1	NP_058592.1
OG0003066	XP_038402998.1	NP_001103465.1, NP_035561.1, XP_006532728.1
OG0003067	XP_038403130.1, XP_038403132.1, XP_038403131.1	XP_006532493.1
OG0003068	XP_038403403.1	XP_011247274.1, NP_033571.1, NP_001156780.1, NP_001156779.1
OG0003069	XP_038403444.1	NP_001359458.1
OG0003070	XP_038403477.1	NP_001349489.1
OG0003071	XP_038403544.1	NP_963903.2
OG0003072	XP_038403900.1	NP_778169.1, NP_001092280.1
OG0003073	XP_038404200.1	NP_080984.1
OG0003074	XP_038404411.1	NP_032904.1
OG0003075	XP_038404455.1, XP_038404456.1	XP_006534061.1, NP_080473.1
OG0003076	XP_038404470.1	NP_001404193.1
OG0003077	XP_038404504.1	NP_001156809.1, NP_058025.2, NP_001156808.1
OG0003078	XP_038404586.1	NP_001408829.1, NP_001408824.1, NP_080900.1, NP_001408827.1, NP_001408826.1, NP_001408823.1, NP_001408822.1, NP_001408825.1, XP_006498328.1
OG0003079	XP_038404670.1	NP_001158036.2
OG0003080	XP_038405717.1, XP_038405716.1	NP_001277112.1, NP_031863.3, XP_030100727.1
OG0003081	XP_038406006.1	NP_034078.2
OG0003082	XP_038406184.1, XP_038406183.1	NP_001334472.1, NP_001156617.2
OG0003083	XP_038406224.1	NP_033905.3
OG0003084	XP_038407135.1	NP_001398334.1
OG0003085	XP_038407367.1	XP_006514688.1
OG0003086	XP_038407538.1	NP_666088.1, NP_001162086.1, XP_006517267.1
OG0003087	XP_038408642.1	NP_001406013.1, NP_001406011.1, NP_001406012.1, NP_075720.1
OG0003088	XP_038408686.1	XP_006537831.3, NP_035732.2
OG0003089	XP_038409028.1	NP_001092793.1, NP_001342337.1, XP_006537571.1
OG0003090	XP_038409141.1	NP_001343283.1, NP_659154.2, XP_006537930.1, NP_001343284.1
OG0003091	XP_038409304.1	NP_082110.1
OG0003092	XP_038409744.1, XP_038409743.1, XP_038409742.1	NP_001366297.1, XP_006524925.1, NP_081112.1
OG0003093	XP_038409835.1	XP_036016509.1
OG0003094	XP_038410031.1	NP_001157201.2, XP_006525006.1, NP_082186.2
OG0003095	XP_038410163.1, XP_038410164.1	XP_006524196.1, NP_950181.2, NP_001344925.1, NP_001344926.1
OG0003096	XP_038410203.1, XP_038410202.1, XP_038410204.1, XP_038410205.1	NP_032676.2
OG0003097	XP_038410211.1	XP_036016752.1, NP_114069.2
OG0003098	XP_038428803.1, XP_038410557.1	XP_030101286.1
OG0003099	XP_038410654.1	NP_001012453.1, XP_011248221.1, NP_001342516.1, NP_001012454.1, NP_536719.2
OG0003100	XP_038410955.1	NP_001344751.1, NP_077165.2
OG0003101	XP_038411268.1, XP_038411269.1	NP_780711.1, XP_006520971.2
OG0003102	XP_038411467.1	NP_062330.1, XP_030104522.1
OG0003103	XP_038411667.1, XP_038411669.1, XP_038411670.1, XP_038411666.1, XP_038411668.1	NP_081236.1, XP_006521406.1
OG0003104	XP_038411887.1	NP_001034088.1, NP_001271274.1, XP_017176112.1
OG0003105	XP_038412083.1	NP_950197.1, XP_006535088.1
OG0003106	XP_038412664.1, XP_038412661.1, XP_038412662.1, XP_038412665.1, XP_038412660.1, XP_038412667.1, XP_038412666.1, XP_038412663.1	NP_081879.1, XP_006503667.1
OG0003107	XP_038412722.1, XP_038412724.1, XP_038412721.1, XP_038412720.1, XP_038412725.1, XP_038412723.1	NP_109600.2
OG0003108	XP_038412750.1	XP_030109951.1, NP_034003.1
OG0003109	XP_038413213.1	NP_079796.1
OG0003110	XP_038413406.1	NP_001398676.1
OG0003111	XP_038413485.1	NP_001344191.1, NP_001344192.1, NP_036032.2
OG0003112	XP_038413576.1, XP_038413578.1, XP_038413577.1	NP_001355995.1, NP_038876.3, XP_006503201.1
OG0003113	XP_038413902.1, XP_038413900.1, XP_038413901.1	NP_001153484.1, NP_032152.1
OG0003114	XP_038414127.1	NP_598442.1, XP_006503353.1
OG0003115	XP_038414231.1	NP_001405991.1, NP_001405990.1, NP_001405992.1, NP_075667.1
OG0003116	XP_038415120.1	NP_001311418.1, NP_033749.2
OG0003117	XP_038415453.1, XP_038415452.1, XP_038415454.1	NP_001123929.1
OG0003118	XP_038415734.1	NP_001297440.1, NP_001297441.1
OG0003119	XP_038415787.1	XP_006509814.1, NP_082458.1
OG0003120	XP_038416012.1	NP_001345941.1, NP_035921.2, XP_011240438.1, NP_001074262.1, NP_001273136.1
OG0003121	XP_038416240.1	XP_017168415.1, NP_001368858.1, NP_001153884.1
OG0003122	XP_038416579.1	NP_001103709.1
OG0003123	XP_038416696.1	NP_001396552.1
OG0003124	XP_038416866.1	NP_598807.2
OG0003125	XP_038417203.1	NP_001164475.1
OG0003126	XP_038417300.1	NP_001157000.1, NP_001156999.1
OG0003127	XP_038417324.1, XP_038417321.1, XP_038417323.1, XP_038417322.1	NP_083905.1
OG0003128	XP_038417335.1	NP_001104499.1, NP_001342552.1, XP_011238089.1, NP_001342551.1, NP_082417.3
OG0003130	XP_038435754.1, XP_038418460.1	NP_080495.1
OG0003131	XP_038418531.1	NP_001404388.1, NP_057881.1, NP_001177377.1, NP_001404387.1, NP_001404386.1
OG0003132	XP_038418582.1	XP_006516622.1, NP_032406.1
OG0003133	XP_038418730.1	NP_001411611.1, NP_001346892.1, NP_001346894.1, NP_848843.1, NP_001346893.1
OG0003134	XP_038419159.1	NP_001406957.1, NP_033906.2, NP_001406956.1
OG0003135	XP_038419679.1	NP_001399867.1, NP_001399866.1, NP_035908.1
OG0003136	XP_038419888.1	NP_001348902.1
OG0003137	XP_038419939.1, XP_038419938.1	NP_001153711.1, NP_032016.1, NP_001177365.1
OG0003138	XP_038420068.1	NP_001349328.1, NP_722490.1
OG0003139	XP_038420278.1, XP_038420279.1, XP_038420280.1	NP_001258543.1, NP_032025.2, NP_001397211.1, XP_006526726.1, NP_001258544.1
OG0003140	XP_038420349.1	NP_001348887.1
OG0003141	XP_038437709.1, XP_038443634.1, XP_038421092.1, XP_038434670.1	NP_081457.1
OG0003143	XP_038421327.1	NP_033570.2, XP_011241261.1
OG0003144	XP_038421649.1, XP_038421651.1	NP_001359321.1
OG0003145	XP_038422282.1, XP_038422280.1, XP_038422279.1, XP_038422281.1	NP_780695.1
OG0003146	XP_038422309.1	NP_033179.2, NP_001278468.1, NP_001036244.1, XP_006511727.1, NP_001278467.1, NP_001278466.1
OG0003147	XP_038422315.1, XP_038422316.1	NP_001186146.1, NP_001186147.1, NP_076294.2, XP_030100556.1
OG0003148	XP_038422419.1	NP_598505.1, NP_001365860.1, NP_001365859.1
OG0003149	XP_038422597.1	NP_001103723.2, NP_683727.3, XP_017168648.1
OG0003150	XP_038422695.1	XP_011240634.1, NP_598733.2
OG0003151	XP_038423199.1	NP_612176.1, XP_011240920.1, NP_001192086.1, NP_001192087.1, NP_001346227.1, NP_001346228.1
OG0003152	XP_038423280.1	XP_011240901.1, NP_660136.1
OG0003153	XP_038423633.1	NP_778154.1
OG0003154	XP_038423960.1	NP_079830.2
OG0003155	XP_038424005.1	XP_036011769.1, NP_001028645.1
OG0003156	XP_038424328.1	NP_001355807.1
OG0003157	XP_038424383.1	NP_081010.1
OG0003158	XP_038424412.1, XP_038424410.1, XP_038424411.1	NP_082519.1
OG0003159	XP_038424764.1	NP_033303.3, NP_001076021.1
OG0003160	XP_038424832.1	NP_001346984.1, NP_001346985.1, NP_001346982.1, NP_062375.1
OG0003161	XP_038425158.1	NP_038671.2, XP_006540776.1, NP_001157037.1, NP_001404109.1
OG0003162	XP_038425217.1	NP_001405889.1
OG0003163	XP_038425387.1	NP_001307649.1, NP_001307654.1
OG0003164	XP_038425825.1	NP_001403200.1
OG0003165	XP_038425957.1	NP_795927.2, NP_001363971.1
OG0003166	XP_038426082.1	XP_006508923.1, NP_080200.1
OG0003167	XP_038426687.1, XP_038426688.1	XP_006525144.1, NP_852062.1
OG0003168	XP_038426749.1, XP_038426750.1	XP_036011263.1, NP_001074778.1
OG0003169	XP_038426774.1	NP_082838.2, XP_030100551.1, NP_083661.2
OG0003170	XP_038426897.1, XP_038426895.1, XP_038426896.1	XP_030100247.1, NP_001094953.1
OG0003171	XP_038427207.1, XP_038427208.1	NP_849223.2
OG0003172	XP_038427816.1	NP_001403894.1
OG0003173	XP_038427975.1	NP_032421.2, NP_001230641.1
OG0003174	XP_038429059.1	NP_954866.2
OG0003175	XP_038430219.1	XP_006529326.1, NP_033024.1, NP_001153197.2
OG0003176	XP_038431062.1	NP_001156942.1
OG0003177	XP_038431082.1, XP_038431080.1, XP_038431081.1, XP_038431078.1, XP_038431079.1, XP_038431083.1	XP_011246487.1, NP_001289274.1, NP_001289273.1, NP_035416.1
OG0003178	XP_038431270.1	XP_036021414.1, NP_082487.1
OG0003179	XP_038431403.1, XP_038431404.1, XP_038431406.1, XP_038431401.1, XP_038431400.1, XP_038431402.1, XP_038431407.1	NP_001028600.1, XP_006535084.1
OG0003180	XP_038431726.1	NP_001366467.1, NP_032142.1, NP_001366469.1, NP_001366470.1, NP_001292921.1, NP_001366466.1, NP_001366468.1
OG0003181	XP_038432049.1	NP_082292.1
OG0003182	XP_038432169.1	XP_006506712.1, NP_001404665.1, NP_001074517.1, NP_001404664.1
OG0003183	XP_038432392.1	NP_001366065.1, XP_030110945.1, NP_001343230.1, NP_780623.1, NP_001366062.1, NP_001366063.1, NP_001366064.1
OG0003184	XP_038432498.1, XP_038432500.1, XP_038432501.1, XP_038432499.1	NP_666283.1, NP_001404586.1, XP_006506595.1
OG0003185	XP_038432585.1, XP_038432586.1	NP_001091086.1, NP_659187.2, XP_006506428.1, NP_776289.2
OG0003186	XP_038432642.1, XP_038432641.1	NP_001396396.1, NP_001396399.1, NP_001396398.1, NP_001127863.1, NP_112436.1, NP_001396397.1
OG0003187	XP_038432707.1	NP_149069.1, XP_011239671.1, NP_001076791.1, NP_001272947.1
OG0003188	XP_038432740.1, XP_038432741.1, XP_038432744.1, XP_038432742.1	NP_080621.1
OG0003189	XP_038432820.1	NP_001288230.1
OG0003190	XP_038432983.1	NP_001334435.1, NP_001230092.1, NP_001107031.2, NP_035574.2, XP_006506994.1
OG0003191	XP_038433077.1, XP_038433078.1, XP_038433080.1, XP_038433079.1, XP_038433076.1, XP_038433081.1, XP_038433075.1	NP_032996.2
OG0003192	XP_038433381.1	NP_082279.1, XP_036015490.1
OG0003193	XP_038433496.1, XP_038433495.1	NP_001405593.1
OG0003194	XP_038433558.1	NP_899079.1
OG0003195	XP_038433627.1	NP_036003.2
OG0003196	XP_038433768.1	NP_082161.2, XP_006521478.1
OG0003197	XP_038434161.1	NP_666064.3
OG0003198	XP_038434618.1	NP_598507.3
OG0003199	XP_038434671.1	XP_030106868.1, NP_001239430.1
OG0003200	XP_038435102.1	NP_001137227.1, XP_006536325.1, NP_081440.1
OG0003201	XP_038435303.1	NP_031618.2, NP_001406892.1
OG0003202	XP_038435309.1	XP_006538014.1
OG0003203	XP_038435695.1, XP_038435692.1, XP_038435696.1, XP_038435694.1, XP_038435693.1	NP_062727.1, XP_006537646.1
OG0003204	XP_038435741.1, XP_038435740.1	NP_780384.1
OG0003205	XP_038435813.1	NP_001182360.1, NP_036173.1, XP_006511267.1
OG0003206	XP_038435833.1, XP_038435834.1	NP_077216.1
OG0003207	XP_038436357.1, XP_038436356.1	XP_006511330.1, NP_001033799.1, NP_057920.2
OG0003208	XP_038436753.1	NP_201577.3, NP_001355233.1
OG0003209	XP_038436817.1	XP_011240976.2
OG0003210	XP_038436957.1	NP_082623.1
OG0003211	XP_038437227.1	NP_058620.2
OG0003212	XP_038438030.1	XP_006501801.1, NP_001177781.1, NP_001177783.1, NP_001177784.1, NP_001177785.1
OG0003213	XP_038438199.1	NP_001346277.1, NP_001346273.1, NP_001387445.1, NP_081245.1, NP_001346279.1, NP_001346278.1, NP_001346261.1, XP_006535255.1, NP_001346252.1, NP_001387446.1
OG0003214	XP_038438263.1	XP_006534938.1, NP_940814.1, NP_001346839.1, NP_001346842.1
OG0003215	XP_038438483.1	NP_001239379.1
OG0003216	XP_038438661.1	NP_001103487.1
OG0003217	XP_038438783.1	NP_001007461.1, XP_006522374.1, NP_001355632.1
OG0003218	XP_038438864.1, XP_038438865.1	NP_031440.1
OG0003219	XP_038439076.1	NP_081174.1, NP_001172091.1, NP_001386223.1
OG0003220	XP_038439333.1, XP_038439335.1, XP_038439334.1	NP_032865.2
OG0003221	XP_038440178.1, XP_038440179.1	NP_666154.3, NP_001164114.1
OG0003223	XP_038440558.1	NP_001153036.1, NP_067334.1, XP_006498871.1
OG0003224	XP_038440630.1	NP_056551.2
OG0003225	XP_038440679.1	NP_780721.1
OG0003226	XP_038441192.1, XP_038441189.1, XP_038441190.1, XP_038441191.1	XP_006496371.1
OG0003227	XP_038441469.1	XP_006496376.2, NP_766010.1
OG0003228	XP_038441953.1	NP_659059.1
OG0003229	XP_038442086.1, XP_038442087.1, XP_038442088.1	NP_083124.1
OG0003230	XP_038442120.1, XP_038442123.1, XP_038442122.1, XP_038442121.1	NP_001264887.1
OG0003231	XP_038442306.1	NP_291086.2, XP_006497119.1, NP_001139272.1
OG0003232	XP_038442582.1, XP_038442581.1, XP_038442583.1	XP_006528394.1, NP_083628.3
OG0003233	XP_038442865.1	NP_940801.2, NP_001096837.1
OG0003234	XP_038443057.1, XP_038443060.1, XP_038443058.1, XP_038443059.1, XP_038443056.1	XP_011245984.1, NP_001157011.1
OG0003235	XP_038443220.1, XP_038443219.1	NP_001277573.1, XP_017173928.1, NP_001412901.1, NP_598430.1, NP_001277572.1
OG0003236	XP_038443305.1	NP_001397532.1, NP_032115.1, NP_001397533.1
OG0003237	XP_038443385.1	NP_062765.1
OG0003238	XP_038443451.1	NP_932778.1, NP_001162071.1, XP_006528868.1
OG0003239	XP_038444253.1	XP_006541609.1, NP_001405293.1
OG0003240	XP_038444278.1, XP_038444279.1	XP_006541574.1, NP_001029231.1
OG0003242	XP_038444637.1	XP_006528335.1, NP_001165625.2
OG0003247	NP_001003052.1	NP_001366058.1, NP_001273334.1
OG0003248	NP_001003118.1	NP_001345886.1, XP_036009706.1, NP_001345887.1, NP_057917.2
OG0003249	NP_001003132.1	NP_035402.2
OG0003251	NP_001003246.2	NP_034979.3, NP_001170824.1, NP_001170823.1, NP_001170825.1
OG0003252	NP_001003302.1	XP_017177534.1, NP_065648.1
OG0003253	NP_001003322.1	NP_001368835.1
OG0003254	NP_001005261.1	NP_034044.3, XP_017168608.1
OG0003255	NP_001005380.1	NP_034373.1
OG0003256	XP_038409225.1	NP_667069.2
OG0003257	NP_001019806.1	NP_034820.1
OG0003258	NP_001020570.1	XP_006505680.1, NP_032380.1
OG0003259	NP_001028684.1	NP_080402.3, NP_082770.1
OG0003260	NP_001041485.1	XP_006506863.1, NP_001163866.1
OG0003261	NP_001041548.1	NP_033843.2
OG0003262	NP_001041570.1	NP_659136.1
OG0003263	NP_001295478.1, NP_001135729.1	NP_001295214.1
OG0003265	NP_001181892.1	NP_001345301.1, NP_598871.1
OG0003266	NP_001183951.1	NP_033981.2, XP_006498709.1, NP_001171256.1, NP_001034239.1, NP_001171257.1, NP_001171258.1, NP_001034240.1
OG0003267	NP_001184013.1	NP_001346435.1
OG0003268	NP_001184066.1	XP_006538560.1, NP_031457.2, NP_001274101.1
OG0003269	NP_001184094.1	NP_036002.1
OG0003270	NP_001184095.1	NP_001158168.1, NP_001158169.1, NP_001158170.1, NP_001404085.1, NP_035307.2
OG0003271	NP_001229648.1	XP_006530292.1, NP_033177.3
OG0003272	NP_001239096.1, XP_038419663.1	NP_861461.1, XP_036011318.1, NP_038569.1
OG0003273	NP_001239101.1	NP_001107557.1, NP_001272432.1, NP_075806.2
OG0003274	NP_001239340.1	NP_080250.1
OG0003276	NP_001271415.1	NP_001277984.1
OG0003277	NP_001271420.1	NP_034117.3
OG0003278	NP_001273887.1	NP_001289460.1
OG0003279	NP_001278901.1	NP_068693.1, XP_030106880.1
OG0003280	NP_001300730.1	NP_001165526.1
OG0003281	NP_001300793.1	NP_001258952.1, NP_035455.1
OG0003283	NP_001375556.1	NP_666989.1, NP_997450.1
OG0003284	XP_038418411.1, NP_001375569.1	NP_666453.1, NP_667188.2
OG0003286	NP_001375838.1	NP_666665.2
OG0003287	NP_001375845.1	NP_062359.1
OG0003288	XP_038381514.1, XP_038443014.1, XP_038433964.1	XP_011245968.1, NP_080949.2
OG0003290	XP_038381616.1	XP_006526529.1, NP_778193.1
OG0003291	XP_038381851.1	NP_001001488.2
OG0003292	XP_038381889.1	NP_001276579.1, NP_001276578.1, NP_083295.1, NP_001276577.1, XP_036016896.1
OG0003293	XP_038381913.1	NP_444485.2
OG0003294	XP_038383076.1	NP_001391514.1
OG0003295	XP_038383256.1	NP_001269957.1
OG0003296	XP_038383446.1	NP_080322.2, XP_006540378.1
OG0003299	XP_038383814.1, XP_038383812.1, XP_038383813.1	NP_001136264.1
OG0003300	XP_038384075.1	NP_001406086.1
OG0003301	XP_038384339.1	NP_001074411.1
OG0003301	XP_038384342.1	NP_001028590.1
OG0003302	XP_038384394.1, XP_038384392.1, XP_038384395.1, XP_038384391.1	NP_001390604.1, NP_001390600.1, NP_573497.1, NP_001390602.1, XP_006539641.1, NP_001369479.1, NP_001369478.1, NP_001390601.1, NP_001369481.1, NP_001390603.1
OG0003303	XP_038384499.1	NP_001406264.1, NP_001010836.1, XP_006540189.1
OG0003304	XP_038384974.1	XP_006540448.1, NP_848471.2
OG0003305	XP_038385441.1	NP_808407.2, XP_030098762.1
OG0003306	XP_038385446.1	NP_001391026.1, NP_001391029.1, NP_001391024.1, XP_011248882.1, NP_001391028.1, NP_001391025.1, NP_001391020.1, NP_759017.1, NP_001391022.1, NP_001391023.1
OG0003307	XP_038385639.1	NP_001382166.1, NP_001355957.1
OG0003308	XP_038386037.1	NP_001343416.1, XP_006497610.1, NP_862896.1
OG0003309	XP_038386888.1	XP_006530642.1, NP_444476.1
OG0003310	XP_038386956.1, XP_038386957.1, XP_038386955.1	NP_775607.2, XP_006531054.1
OG0003311	XP_038387438.1	NP_001272806.1, NP_001272804.1, NP_001272801.1, NP_598641.2, XP_006538518.1, NP_001272803.1
OG0003312	XP_038387874.1	NP_001074824.3, XP_017175407.1, NP_001243309.1
OG0003313	XP_038388376.1, XP_038420440.1	NP_034179.1
OG0003314	XP_038388523.1, XP_038388522.1, XP_038422240.1	NP_149409.1
OG0003315	XP_038388571.1, XP_038444725.1	NP_690028.2
OG0003316	XP_038388589.1	NP_536691.2, XP_006540630.1
OG0003317	XP_038388730.1	NP_001278149.1, XP_006541089.1, NP_065608.2, NP_001278150.1, NP_001106999.1
OG0003318	XP_038388883.1	NP_001357699.1
OG0003319	XP_038388910.1	NP_001402725.1
OG0003320	XP_038391250.1, XP_038391245.1, XP_038391252.1, XP_038389684.1	XP_006520074.1, NP_001403339.1, NP_997099.2, NP_659094.1
OG0003321	XP_038389911.1	XP_006514023.1, NP_080083.2
OG0003322	XP_038390487.1, XP_038390485.1, XP_038390486.1	NP_032945.3
OG0003323	XP_038390557.1	NP_001364005.1, NP_001272994.1, NP_001106182.1, NP_036068.2, NP_001272992.1, NP_001272993.1, NP_001033107.1
OG0003324	XP_038390715.1	XP_006534232.1, NP_081687.2
OG0003325	XP_038390885.1, XP_038390886.1, XP_038421185.1	XP_006534076.1
OG0003326	XP_038390984.1, XP_038390985.1, XP_038390983.1	NP_808496.2, XP_006526090.1
OG0003327	XP_038391051.1	NP_001413176.1, NP_001413177.1, NP_001413175.1, NP_001106845.1, NP_001106846.1, XP_030103038.1
OG0003328	XP_038391182.1	NP_001297375.1, NP_001095870.1, NP_001008702.1, NP_001032994.1, NP_075607.2, XP_011243626.1
OG0003329	XP_038391483.1	NP_001412596.1, NP_062636.2
OG0003330	XP_038391495.1	NP_666716.1
OG0003331	XP_038391636.1	NP_075781.3
OG0003332	XP_038391932.1	XP_036010502.1, NP_001344656.1, NP_031988.2
OG0003333	XP_038392651.1	NP_001351698.1, NP_659073.1, XP_006532962.1
OG0003334	XP_038392988.1	NP_038745.1
OG0003335	XP_038393460.1	NP_766005.2, XP_006539275.1
OG0003336	XP_038393811.1	NP_001366056.1, NP_001020559.1
OG0003337	XP_038393835.1	NP_001413098.1, NP_001271202.1, NP_808340.2, NP_001413094.1, NP_001413097.1, NP_001413089.1, NP_001413088.1, NP_001271199.1, NP_001413087.1
OG0003338	XP_038393855.1	NP_075954.1, NP_001135402.1
OG0003339	XP_038394069.1	NP_083159.1, XP_030099677.1
OG0003340	XP_038394141.1	XP_006530990.1, NP_808368.3
OG0003341	XP_038394193.1	NP_038953.1
OG0003342	XP_038394284.1, XP_038394283.1	XP_006530581.1, NP_598714.1
OG0003343	XP_038394379.1, XP_038394378.1	XP_006531324.1, NP_848467.1
OG0003344	XP_038394479.1	XP_011246813.1, NP_077765.1
OG0003345	XP_038394709.1	XP_006530693.1, NP_033998.2
OG0003346	XP_038394932.1	XP_011239209.1, NP_001074863.1, NP_082130.1
OG0003347	XP_038395114.1	NP_001392013.1, NP_001392012.1, NP_034116.3, NP_001278163.1, NP_001392011.1, NP_001392010.1, NP_001278162.1, XP_017176143.1, NP_001392008.1
OG0003348	XP_038395176.1, XP_038395177.1	NP_001276438.1, NP_056614.3, NP_001412435.1, NP_001276436.2, NP_001346135.1, NP_001412436.1, NP_001276440.1, NP_001412434.1
OG0003349	XP_038395324.1	NP_001074900.1
OG0003350	XP_038395394.1, XP_038444983.1	XP_011239305.1, NP_149028.2
OG0003351	XP_038395786.1	NP_001349161.1, XP_030098582.1, NP_001406537.1, NP_001406536.1
OG0003352	XP_038395941.1, XP_038395940.1	XP_006507775.1, NP_666310.1
OG0003353	XP_038396026.1, XP_038396027.1, XP_038396028.1, XP_038396024.1, XP_038396022.1, XP_038396020.1, XP_038396021.1, XP_038396023.1, XP_038396025.1	NP_001035226.1
OG0003354	XP_038396088.1	XP_011240147.1
OG0003355	XP_038396796.1	NP_001344711.1, NP_071867.1
OG0003356	XP_038397121.1	NP_001156987.1, XP_011238479.1, NP_001156986.1, NP_067363.3
OG0003357	XP_038397316.1	XP_006534791.1
OG0003358	XP_038397709.1, XP_038397710.1	NP_079669.2, NP_001156997.1
OG0003359	XP_038397915.1	NP_663483.1, NP_001405002.1, NP_001405003.1, NP_001405004.1, NP_001405000.1, NP_001404999.1, NP_001405001.1
OG0003360	XP_038398025.1	NP_001366357.1, NP_083612.1, XP_030099146.1
OG0003361	XP_038398053.1	NP_001347756.1, NP_032963.1, XP_006497188.1
OG0003362	XP_038398213.1	XP_011246371.1, NP_932107.1
OG0003363	XP_038398736.1	NP_001405215.1, XP_030110829.1, NP_001405214.1, NP_001074644.1
OG0003364	XP_038398758.1	XP_030102994.1
OG0003365	XP_038399075.1	XP_006502046.1, NP_081043.1
OG0003366	XP_038399076.1	NP_001364048.1, NP_001364047.1, NP_001364046.1, NP_001364050.1, NP_001364049.1, XP_036018778.1, NP_001364045.1, NP_034238.1
OG0003367	XP_038399116.1	NP_796015.2, NP_001349304.1, NP_001349305.1
OG0003368	XP_038399425.1, XP_038442367.1	NP_080805.1, XP_036012024.1
OG0003369	XP_038399635.1	NP_001344064.1
OG0003370	XP_038399948.1	NP_001347122.1, NP_034077.1, NP_001129529.1, NP_001139655.1
OG0003371	XP_038400053.1	NP_035305.1, NP_001365804.1
OG0003372	XP_038400170.1	NP_694723.1
OG0003373	XP_038400535.1	NP_079983.1, XP_006516219.1
OG0003374	XP_038400739.1	NP_083514.1
OG0003375	XP_038400827.1	NP_036154.1, XP_006515988.1
OG0003376	XP_038400988.1	NP_001348630.1, NP_001074890.1, NP_001348629.1
OG0003377	XP_038401267.1	NP_001347380.1
OG0003378	XP_038401341.1	NP_082020.1
OG0003379	XP_038401418.1	NP_032178.1
OG0003380	XP_038401429.1, XP_038401430.1	NP_036007.2, NP_001139671.1
OG0003381	XP_038401970.1	NP_035537.1, NP_035538.1, XP_006532722.1, NP_001289488.1, NP_035540.2, NP_035539.1
OG0003382	XP_038402800.1	NP_034624.1, XP_011247063.1
OG0003383	XP_038402810.1	NP_573462.2, NP_001390570.1
OG0003384	XP_038403018.1	XP_006533783.1, NP_080194.1
OG0003385	XP_038403354.1, XP_038403352.1, XP_038403356.1, XP_038403353.1, XP_038403357.1, XP_038403351.1	NP_001412566.1
OG0003386	XP_038403542.1	NP_694744.1
OG0003387	XP_038403862.1	NP_001349954.1
OG0003388	XP_038403953.1	NP_001005223.1
OG0003389	XP_038404147.1	NP_001070149.1
OG0003390	XP_038404152.1	NP_061342.1
OG0003391	XP_038404154.1	NP_001152864.1, NP_033421.3
OG0003392	XP_038404183.1, XP_038404184.1	XP_006532806.1, NP_033323.2
OG0003394	XP_038404404.1	NP_619600.2
OG0003395	XP_038404783.1, XP_038404780.1, XP_038404781.1, XP_038404782.1, XP_038404779.1	NP_780636.1
OG0003396	XP_038405251.1, XP_038405250.1, XP_038405252.1	XP_006498114.1, NP_036053.2
OG0003397	XP_038405508.1	XP_006513448.1, NP_001345456.1, NP_598767.1
OG0003398	XP_038405783.1	XP_017169441.1, NP_877959.2
OG0003399	XP_038405941.1	NP_035347.1, XP_006513445.1, NP_001345413.1, NP_001155309.1, NP_001155311.1, NP_001155312.1, NP_001155310.1
OG0003400	XP_038406075.1	NP_001365686.1
OG0003401	XP_038406110.1	NP_001135829.1
OG0003402	XP_038406226.1	XP_006521141.1, NP_849200.2, NP_001344882.1
OG0003403	XP_038406309.1	NP_079915.1
OG0003404	XP_038442532.1	XP_036018105.1
OG0003405	XP_038406336.1, XP_038406337.1	NP_001398178.1
OG0003406	XP_038406577.1, XP_038406576.1	NP_081495.1
OG0003407	XP_038406594.1	NP_001402990.1, NP_001155964.1, NP_001155965.1, NP_001402989.1, NP_001402987.1, NP_001402988.1, NP_001402986.1, NP_619611.3
OG0003408	XP_038406614.1	XP_006521006.1, NP_001017983.2, NP_001161732.1
OG0003409	XP_038406824.1	NP_001013043.1, NP_001344228.1, XP_006496363.1
OG0003410	XP_038407283.1	NP_082136.2
OG0003411	XP_038407293.1	XP_017169697.1, NP_001399336.1, NP_001030303.1, NP_598775.2, NP_001399335.1, NP_001399337.1
OG0003412	XP_038407643.1	NP_001157144.1, NP_001157143.1, NP_997575.2, XP_017170051.1
OG0003413	XP_038407770.1, XP_038407769.1, XP_038407771.1	NP_775599.1
OG0003414	XP_038408501.1, XP_038408502.1	NP_835162.1, XP_006537815.1
OG0003415	XP_038408607.1	XP_036019628.1, NP_001092818.1, NP_001390760.1, NP_001365603.1, NP_001165525.1, NP_001156873.1, NP_034679.1
OG0003416	XP_038408775.1	NP_775575.2, NP_001156756.1, NP_001156755.1
OG0003417	XP_038408836.1	NP_444379.1
OG0003418	XP_038408905.1	NP_001156735.1
OG0003419	XP_038408964.1	XP_030109279.1, NP_080355.2
OG0003420	XP_038409119.1	NP_001356046.1, NP_001356047.1, NP_001356048.1, NP_001356045.1, NP_001356044.1, NP_082602.1, NP_001356042.1, NP_001356043.1, NP_082603.1, XP_030109674.1
OG0003421	XP_038409179.1, XP_038409181.1	NP_082992.1, NP_001405683.1
OG0003422	XP_038409336.1	NP_001157290.1, XP_006524680.1, NP_001390493.1, NP_001344669.1
OG0003423	XP_038409409.1	XP_030105298.1, NP_001157236.1, NP_001157235.1, NP_079950.2
OG0003424	XP_038410128.1	NP_038716.2
OG0003425	XP_038410165.1	NP_001316547.1, NP_001162091.1
OG0003426	XP_038410189.1	NP_598537.2, XP_006525183.1
OG0003427	XP_038410255.1, XP_038410256.1, XP_038410257.1	NP_766513.2
