Orthogroup	Canis_lupus_familiaris	Urocitellus_parryii
OG0002437	XP_038381729.1	XP_026244479.1
OG0002438	XP_038381868.1	XP_026265752.1
OG0002439	XP_038382198.1, XP_038382197.1, XP_038382196.1	XP_026253389.1
OG0002440	XP_038382258.1	XP_026255747.1
OG0002441	XP_038382433.1	XP_026248941.1
OG0002442	XP_038383187.1	XP_026237881.1
OG0002443	XP_038383770.1, XP_038383768.1, XP_038383769.1	XP_026237166.1
OG0002444	XP_038383951.1, XP_038383948.1, XP_038383950.1, XP_038383953.1, XP_038383952.1, XP_038383954.1, XP_038383949.1	XP_026238029.1
OG0002445	XP_038384109.1, XP_038384111.1	XP_026262035.1, XP_026262036.1
OG0002446	XP_038384223.1	XP_026262126.1
OG0002447	XP_038384379.1	XP_026266248.1
OG0002448	XP_038385927.1	XP_026263914.1
OG0002449	XP_038386717.1	XP_026246634.1
OG0002450	XP_038386874.1	XP_026251512.1
OG0002451	XP_038386993.1, XP_038386992.1	XP_026248081.1
OG0002452	XP_038387151.1, XP_038445541.1, XP_038387149.1, XP_038387150.1	XP_026262605.1
OG0002453	XP_038387276.1	XP_026247442.1
OG0002454	XP_038387477.1, XP_038387478.1	XP_026247513.1
OG0002455	XP_038387709.1	XP_026256597.1
OG0002456	XP_038387774.1, XP_038387773.1, XP_038387776.1, XP_038387775.1	XP_026256623.1
OG0002457	XP_038387805.1, XP_038387806.1, XP_038387807.1	XP_026256632.1, XP_026256633.1
OG0002458	XP_038388061.1	XP_026257000.1
OG0002458	XP_038423919.1	XP_026269691.1
OG0002459	XP_038388155.1	XP_026250814.1
OG0002460	XP_038388654.1	XP_026249829.1
OG0002460	XP_038388267.1	XP_026241687.1
OG0002461	XP_038388328.1, XP_038437706.1, XP_038429491.1, XP_038436246.1	XP_026264826.1
OG0002462	XP_038389667.1, XP_038389668.1	XP_026236266.1
OG0002463	XP_038389716.1	XP_026255317.1
OG0002464	XP_038390120.1	XP_026261589.1, XP_026261590.1
OG0002465	XP_038390463.1	XP_026252830.1, XP_026252832.1, XP_026252831.1
OG0002466	XP_038390574.1	XP_026254008.1
OG0002467	XP_038390888.1, XP_038390887.1	XP_026244112.1
OG0002468	XP_038391087.1	XP_026249385.1, XP_026249384.1
OG0002469	XP_038391100.1	XP_026249381.1
OG0002470	XP_038426731.1, XP_038391467.1	XP_026257820.1
OG0002471	XP_038391666.1	XP_026260359.1
OG0002472	XP_038391672.1	XP_026260340.1
OG0002473	XP_038391766.1	XP_026258491.1
OG0002474	XP_038391858.1	XP_026259232.1
OG0002475	XP_038392153.1	XP_026248350.1
OG0002476	XP_038393041.1	XP_026264469.1
OG0002477	XP_038393954.1	XP_026257693.1, XP_026257692.1
OG0002478	XP_038394096.1	XP_026267186.1
OG0002479	XP_038435808.1, XP_038394107.1	XP_026248775.1
OG0002480	XP_038394397.1	XP_026260265.1
OG0002482	XP_038395157.1	XP_026269009.1, XP_026269010.1, XP_026269011.1
OG0002483	XP_038395166.1	XP_026268920.1
OG0002484	XP_038395302.1	XP_026259921.1, XP_026259919.1, XP_026259920.1
OG0002485	XP_038395747.1, XP_038395745.1, XP_038395746.1	XP_026256188.1
OG0002486	XP_038395795.1	XP_026236733.1
OG0002487	XP_038395838.1	XP_026236727.1, XP_026236726.1
OG0002488	XP_038395858.1, XP_038395857.1	XP_026247879.1
OG0002489	XP_038396552.1	XP_026241371.1
OG0002490	XP_038396776.1, XP_038396777.1, XP_038396778.1, XP_038396774.1, XP_038396775.1, XP_038396779.1	XP_026241155.1
OG0002491	XP_038425369.1, XP_038425366.1, XP_038425365.1, XP_038425367.1, XP_038425368.1, XP_038396872.1	XP_026241194.1
OG0002492	XP_038397045.1	XP_026258556.1
OG0002493	XP_038397091.1	XP_026235404.1
OG0002493	XP_038397087.1	XP_026235407.1
OG0002494	XP_038397299.1, XP_038397297.1, XP_038397298.1	XP_026258875.1
OG0002495	XP_038406848.1	XP_026264396.1
OG0002496	XP_038398753.1, XP_038397730.1	XP_026261562.1
OG0002497	XP_038398177.1	XP_026248652.1
OG0002498	XP_038398778.1, XP_038398780.1, XP_038398781.1, XP_038398779.1	XP_026261548.1
OG0002499	XP_038398950.1	XP_026260686.1
OG0002500	XP_038398981.1	XP_026260826.1
OG0002501	XP_038399319.1	XP_026254390.1, XP_026254391.1
OG0002502	XP_038399601.1, XP_038399600.1, XP_038399599.1	XP_026243849.1
OG0002503	XP_038400659.1, XP_038400660.1, XP_038400658.1	XP_026266815.1
OG0002504	XP_038401443.1	XP_026256416.1
OG0002505	XP_038401447.1, XP_038439326.1	XP_026250026.1
OG0002506	XP_038401560.1	XP_026267573.1
OG0002507	XP_038401608.1	XP_026255205.1
OG0002508	XP_038401947.1	XP_026253641.1
OG0002509	XP_038402000.1, XP_038401999.1	XP_026266506.1
OG0002510	XP_038402412.1, XP_038402416.1, XP_038402413.1, XP_038402414.1, XP_038402415.1	XP_026264235.1
OG0002512	XP_038402490.1	XP_026260571.1
OG0002513	XP_038402716.1, XP_038402713.1, XP_038402715.1	XP_026262419.1, XP_026256535.1
OG0002514	XP_038402785.1	XP_026258085.1, XP_026258086.1
OG0002515	XP_038403104.1	XP_026268174.1, XP_026268175.1
OG0002516	XP_038404716.1	XP_026251326.1
OG0002517	XP_038405617.1	XP_026254098.1, XP_026254097.1
OG0002518	XP_038406548.1, XP_038406549.1	XP_026267274.1
OG0002519	XP_038406616.1, XP_038406615.1	XP_026265992.1, XP_026265993.1
OG0002520	XP_038406847.1	XP_026264397.1
OG0002521	XP_038406852.1	XP_026264410.1
OG0002522	XP_038406981.1	XP_026235060.1
OG0002524	XP_038409538.1, XP_038409537.1, XP_038409536.1, XP_038407534.1	XP_026271121.1
OG0002525	XP_038407738.1	XP_026268890.1, XP_026268884.1, XP_026268889.1, XP_026268883.1, XP_026268887.1, XP_026268888.1, XP_026268886.1
OG0002526	XP_038407865.1	XP_026251991.1
OG0002527	XP_038408517.1, XP_038408516.1, XP_038408518.1	XP_026243643.1
OG0002528	XP_038408568.1, XP_038408570.1	XP_026243651.1, XP_026243656.1, XP_026243652.1, XP_026243653.1, XP_026243650.1, XP_026243655.1
OG0002529	XP_038408783.1	XP_026235684.1
OG0002530	XP_038409076.1	XP_026249145.1
OG0002531	XP_038409262.1, XP_038409260.1, XP_038409261.1, XP_038409263.1	XP_026250278.1, XP_026250280.1
OG0002532	XP_038409755.1	XP_026239289.1
OG0002533	XP_038409870.1	XP_026239479.1, XP_026239480.1
OG0002534	XP_038411037.1, XP_038411038.1	XP_026265657.1, XP_026265656.1
OG0002535	XP_038411307.1, XP_038411308.1, XP_038411309.1	XP_026249658.1
OG0002536	XP_038411634.1, XP_038411637.1	XP_026238577.1, XP_026258857.1
OG0002538	XP_038412494.1, XP_038440849.1	XP_026261419.1
OG0002539	XP_038412562.1, XP_038412560.1, XP_038412563.1, XP_038412561.1	XP_026244515.1
OG0002540	XP_038427260.1, XP_038412882.1	XP_026253036.1, XP_026253037.1
OG0002541	XP_038412942.1, XP_038412943.1, XP_038412944.1	XP_026264641.1
OG0002542	XP_038413061.1, XP_038413062.1	XP_026256023.1
OG0002543	XP_038413146.1	XP_026257331.1
OG0002544	XP_038413314.1	XP_026236686.1, XP_026236687.1
OG0002545	XP_038413499.1, XP_038413501.1, XP_038413497.1, XP_038413498.1	XP_026249261.1
OG0002546	XP_038413570.1	XP_026267825.1, XP_026267826.1
OG0002547	XP_038413791.1	XP_026249224.1
OG0002548	XP_038413814.1, XP_038413813.1, XP_038413812.1, XP_038413815.1	XP_026249161.1, XP_026249162.1
OG0002549	XP_038413886.1	XP_026249241.1
OG0002551	XP_038414647.1	XP_026253612.1
OG0002552	XP_038414799.1	XP_026253081.1
OG0002553	XP_038414802.1	XP_026253737.1
OG0002555	XP_038415026.1	XP_026251746.1
OG0002556	XP_038415659.1	XP_026235574.1
OG0002557	XP_038416032.1	XP_026260489.1, XP_026260490.1
OG0002558	XP_038416141.1, XP_038416140.1	XP_026258687.1
OG0002559	XP_038416155.1, XP_038416154.1, XP_038416153.1	XP_026258700.1, XP_026258701.1
OG0002560	XP_038416614.1	XP_026267012.1
OG0002561	XP_038417030.1	XP_026248657.1
OG0002562	XP_038417234.1	XP_026265917.1
OG0002563	XP_038417480.1	XP_026265262.1
OG0002564	XP_038417613.1	XP_026253205.1
OG0002565	XP_038417996.1	XP_026259795.1, XP_026259794.1
OG0002566	XP_038418036.1, XP_038418035.1, XP_038418034.1	XP_026259805.1
OG0002567	XP_038418109.1	XP_026259675.1, XP_026259676.1
OG0002568	XP_038418453.1, XP_038418450.1, XP_038418444.1	XP_026263368.1
OG0002569	XP_038418592.1, XP_038418591.1	XP_026243419.1
OG0002570	XP_038419637.1, XP_038419638.1	XP_026252260.1
OG0002571	XP_038419799.1	XP_026255587.1
OG0002572	XP_038420149.1	XP_026263428.1, XP_026263429.1
OG0002573	XP_038420220.1	XP_026263412.1, XP_026263411.1
OG0002574	XP_038421731.1, XP_038421729.1	XP_026238915.1
OG0002575	XP_038421930.1	XP_026257836.1
OG0002576	XP_038422832.1	XP_026245790.1, XP_026245789.1, XP_026245792.1
OG0002577	XP_038423453.1, XP_038423455.1	XP_026267641.1
OG0002578	XP_038423900.1	XP_026269767.1
OG0002579	XP_038435557.1, XP_038423978.1	XP_026269720.1
OG0002580	XP_038424463.1	XP_026243133.1
OG0002581	XP_038424885.1	XP_026265376.1
OG0002582	XP_038425384.1	XP_026249440.1
OG0002583	XP_038425454.1, XP_038425455.1, XP_038425453.1	XP_026249459.1, XP_026249460.1
OG0002584	XP_038425803.1	XP_026255784.1
OG0002585	XP_038426138.1	XP_026248855.1, XP_026248854.1
OG0002586	XP_038426141.1	XP_026248846.1
OG0002588	XP_038426702.1	XP_026244314.1
OG0002589	XP_038427102.1	XP_026262400.1
OG0002590	XP_038427117.1, XP_038427118.1	XP_026235651.1
OG0002591	XP_038427582.1, XP_038427580.1, XP_038427583.1, XP_038427581.1	XP_026241583.1, XP_026241584.1
OG0002592	XP_038427931.1	XP_026239053.1
OG0002593	XP_038427937.1	XP_026239046.1, XP_026239049.1, XP_026239048.1, XP_026239045.1
OG0002594	XP_038427993.1	XP_026238930.1
OG0002595	XP_038428030.1	XP_026238999.1, XP_026239000.1
OG0002596	XP_038428339.1, XP_038428337.1, XP_038428338.1, XP_038428336.1, XP_038428335.1	XP_026239136.1, XP_026239137.1
OG0002597	XP_038428428.1	XP_026246786.1
OG0002598	XP_038428603.1	XP_026262571.1
OG0002599	XP_038428730.1	XP_026263645.1
OG0002600	XP_038428802.1	XP_026269206.1
OG0002601	XP_038428831.1	XP_026269272.1
OG0002602	XP_038429206.1	XP_026250914.1
OG0002603	XP_038429430.1	XP_026250716.1, XP_026250714.1, XP_026250715.1
OG0002604	XP_038429576.1	XP_026254649.1, XP_026254648.1, XP_026254650.1
OG0002605	XP_038429581.1, XP_038429580.1	XP_026254622.1
OG0002606	XP_038429785.1	XP_026253316.1
OG0002607	XP_038430849.1	XP_026258720.1
OG0002608	XP_038430990.1	XP_026241946.1
OG0002609	XP_038431323.1	XP_026264973.1, XP_026264975.1
OG0002610	XP_038431420.1, XP_038431419.1, XP_038431422.1, XP_038431421.1	XP_026264327.1
OG0002611	XP_038431440.1	XP_026264315.1
OG0002612	XP_038431497.1	XP_026269129.1
OG0002613	XP_038431508.1	XP_026269125.1, XP_026269127.1, XP_026269123.1, XP_026269124.1, XP_026269122.1, XP_026269126.1
OG0002614	XP_038431618.1	XP_026264724.1
OG0002615	XP_038431646.1	XP_026264686.1
OG0002616	XP_038444054.1, XP_038444056.1, XP_038444055.1, XP_038444057.1	XP_026268299.1
OG0002617	XP_038431738.1	XP_026268321.1
OG0002617	XP_038431737.1	XP_026268319.1
OG0002618	XP_038431866.1	XP_026257483.1
OG0002619	XP_038431932.1	XP_026257469.1
OG0002620	XP_038432156.1	XP_026269643.1
OG0002622	XP_038433128.1	XP_026271029.1, XP_026271028.1
OG0002623	XP_038433246.1	XP_026264296.1
OG0002624	XP_038433309.1	XP_026257220.1
OG0002626	XP_038433647.1	XP_026254566.1
OG0002627	XP_038434137.1	XP_026253181.1
OG0002628	XP_038434489.1	XP_026263713.1
OG0002629	XP_038434491.1	XP_026263666.1, XP_026263665.1
OG0002630	XP_038434857.1	XP_026240076.1, XP_026240077.1, XP_026240078.1, XP_026240075.1
OG0002631	XP_038435751.1, XP_038435750.1, XP_038435753.1, XP_038435748.1, XP_038435752.1, XP_038435749.1	XP_026238878.1
OG0002632	XP_038436222.1	XP_026251105.1
OG0002633	XP_038436446.1	XP_026240557.1
OG0002634	XP_038436645.1, XP_038436642.1, XP_038436643.1, XP_038436646.1, XP_038436644.1	XP_026240600.1, XP_026240599.1
OG0002635	XP_038436985.1, XP_038436984.1, XP_038436983.1	XP_026243580.1, XP_026243579.1, XP_026243581.1
OG0002636	XP_038437297.1	XP_026249330.1
OG0002637	XP_038438250.1, XP_038438249.1, XP_038438248.1, XP_038438251.1	XP_026238493.1
OG0002638	XP_038438918.1, XP_038438916.1, XP_038438917.1	XP_026251337.1, XP_026251328.1
OG0002639	XP_038439016.1	XP_026251379.1
OG0002640	XP_038439254.1	XP_026252868.1
OG0002641	XP_038439319.1, XP_038439320.1	XP_026237229.1, XP_026237227.1, XP_026237228.1
OG0002642	XP_038439344.1, XP_038439343.1, XP_038439345.1	XP_026238621.1
OG0002643	XP_038439980.1	XP_026262895.1
OG0002644	XP_038440308.1, XP_038440307.1, XP_038440309.1	XP_026270390.1, XP_026270386.1, XP_026270389.1, XP_026270388.1, XP_026270387.1
OG0002645	XP_038440503.1	XP_026257236.1
OG0002646	XP_038440697.1	XP_026245320.1, XP_026245321.1
OG0002647	XP_038440860.1	XP_026261427.1, XP_026261428.1
OG0002648	XP_038441230.1	XP_026261126.1
OG0002649	XP_038441238.1	XP_026261115.1
OG0002650	XP_038441284.1, XP_038441283.1	XP_026261099.1
OG0002651	XP_038441638.1, XP_038441636.1, XP_038441640.1, XP_038441639.1, XP_038441637.1	XP_026246240.1
OG0002652	XP_038441864.1	XP_026236610.1
OG0002653	XP_038441881.1	XP_026253028.1
OG0002654	XP_038442027.1	XP_026246491.1
OG0002655	XP_038442465.1, XP_038442466.1	XP_026266116.1
OG0002656	XP_038442471.1	XP_026266120.1
OG0002657	XP_038442477.1, XP_038442478.1, XP_038442476.1	XP_026235674.1
OG0002658	XP_038442493.1, XP_038442489.1	XP_026236592.1, XP_026235926.1
OG0002659	XP_038442527.1, XP_038442528.1	XP_026265095.1, XP_026265094.1
OG0002660	XP_038443029.1	XP_026257159.1
OG0002661	XP_038443106.1	XP_026243350.1
OG0002662	XP_038443462.1, XP_038443461.1	XP_026263203.1
OG0002663	XP_038443552.1, XP_038443551.1	XP_026255762.1
OG0002664	XP_038443553.1	XP_026255765.1, XP_026255766.1
OG0002665	XP_038444211.1, XP_038444210.1, XP_038444212.1	XP_026269608.1
OG0002666	XP_038444658.1	XP_026236851.1
OG0002667	XP_038445002.1	XP_026267401.1
OG0002676	NP_001002996.1	XP_026240342.1, XP_026240343.1, XP_026240341.1
OG0002677	NP_001003051.1	XP_026251506.1, XP_026251508.1
OG0002678	NP_001003169.1	XP_026248343.1
OG0002679	NP_001243249.1	XP_026270343.1
OG0002679	NP_001003213.1	XP_026270342.1
OG0002681	NP_001003315.1	XP_026266723.1
OG0002682	NP_001008716.1	XP_026244366.1
OG0002683	NP_001033060.1	XP_026235758.1
OG0002684	NP_001041573.1	XP_026258679.1
OG0002685	NP_001041589.1	XP_026250947.1, XP_026250945.1, XP_026250946.1
OG0002686	NP_001103429.1	XP_026266791.1
OG0002687	NP_001138623.1	XP_026263237.1
OG0002688	NP_001139506.1	XP_026243931.1
OG0002689	NP_001159519.2	XP_026247717.1
OG0002690	NP_001177358.2	XP_026262012.1, XP_026262010.1, XP_026262013.1, XP_026262011.1
OG0002691	NP_001183962.1	XP_026262171.1
OG0002692	NP_001184103.1	XP_026255541.1
OG0002693	NP_001186973.1	XP_026263232.1, XP_026263231.1, XP_026263236.1, XP_026263234.1, XP_026263230.1, XP_026263233.1, XP_026263235.1
OG0002694	NP_001229249.1	XP_026264646.1
OG0002695	NP_001238967.1	XP_026258592.1
OG0002696	XP_038433040.1, NP_001239338.1, XP_038429993.1	XP_026264584.1
OG0002697	NP_001271409.1	XP_026259419.1
OG0002698	NP_001272397.1	XP_026267008.1
OG0002699	NP_001277037.1	XP_026247995.1
OG0002700	NP_001300728.1	XP_026236397.1, XP_026236398.1
OG0002701	NP_001300758.1	XP_026252304.1, XP_026252305.1
OG0002702	NP_001300792.1, XP_038439896.1	XP_026252521.1
OG0002703	NP_001301043.1	XP_026235472.1
OG0002704	NP_001332941.1	XP_026254553.1
OG0002704	NP_001332949.1	XP_026254408.1
OG0002705	NP_001344043.1	XP_026244851.1
OG0002706	NP_001361400.1	XP_026256743.1
OG0002706	NP_001361399.1	XP_026256742.1
OG0002707	NP_001375545.1	XP_026235384.1, XP_026235355.1
OG0002709	NP_001375732.1	XP_026258524.1
OG0002710	NP_001375798.1	XP_026265153.1
OG0002710	NP_001375797.1	XP_026265181.1
OG0002711	NP_001375889.1	XP_026256832.1
OG0002712	NP_001376007.1, NP_001376016.1	XP_026267811.1
OG0002713	NP_001376047.1, NP_001376099.1, XP_038405446.1	XP_026237780.1, XP_026254165.1, XP_026237781.1
OG0002715	XP_038381426.1	XP_026236535.1
OG0002717	XP_038381801.1	XP_026260422.1
OG0002718	XP_038381875.1, XP_038381874.1, XP_038381873.1, XP_038381876.1	XP_026265753.1
OG0002719	XP_038381927.1, XP_038381929.1, XP_038381928.1	XP_026257782.1
OG0002720	XP_038381960.1	XP_026236630.1
OG0002721	XP_038382192.1	XP_026253401.1
OG0002722	XP_038382476.1, XP_038382477.1, XP_038382479.1, XP_038382475.1, XP_038382478.1	XP_026270350.1
OG0002723	XP_038383166.1	XP_026270045.1
OG0002724	XP_038383819.1	XP_026236956.1
OG0002725	XP_038384164.1	XP_026262140.1
OG0002726	XP_038384271.1	XP_026262168.1, XP_026261992.1
OG0002727	XP_038417391.1, XP_038384505.1	XP_026259492.1
OG0002728	XP_038384606.1	XP_026259604.1
OG0002729	XP_038384658.1	XP_026259582.1
OG0002730	XP_038384845.1	XP_026267343.1
OG0002731	XP_038385922.1	XP_026263928.1
OG0002732	XP_038386245.1	XP_026257048.1, XP_026257046.1
OG0002733	XP_038387690.1	XP_026268793.1
OG0002734	XP_038387702.1	XP_026256604.1
OG0002735	XP_038387830.1, XP_038387829.1	XP_026256559.1
OG0002736	XP_038388227.1, XP_038388226.1, XP_038388228.1, XP_038388224.1, XP_038388223.1, XP_038388225.1	XP_026241680.1
OG0002737	XP_038388297.1	XP_026264565.1
OG0002738	XP_038388456.1	XP_026259891.1
OG0002739	XP_038388754.1	XP_026243879.1
OG0002740	XP_038389141.1	XP_026251056.1
OG0002741	XP_038389345.1	XP_026243309.1
OG0002742	XP_038389556.1	XP_026235240.1
OG0002743	XP_038389557.1, XP_038389559.1, XP_038389558.1	XP_026235221.1
OG0002744	XP_038389649.1, XP_038389648.1, XP_038389647.1, XP_038389645.1, XP_038389646.1	XP_026249524.1, XP_026249523.1, XP_026249521.1, XP_026249522.1
OG0002745	XP_038389653.1	XP_026250449.1
OG0002746	XP_038390058.1	XP_026250413.1
OG0002747	XP_038390904.1, XP_038390905.1, XP_038390903.1	XP_026244094.1
OG0002748	XP_038391143.1, XP_038391142.1, XP_038391141.1, XP_038391146.1, XP_038391144.1, XP_038391145.1	XP_026266030.1
OG0002749	XP_038391392.1, XP_038396285.1	XP_026236622.1
OG0002750	XP_038391835.1	XP_026259281.1
OG0002751	XP_038392046.1	XP_026248396.1
OG0002752	XP_038392871.1, XP_038400046.1	XP_026250031.1
OG0002753	XP_038393027.1	XP_026264501.1
OG0002754	XP_038393250.1	XP_026264524.1
OG0002755	XP_038393838.1	XP_026253678.1
OG0002756	XP_038394180.1	XP_026248793.1, XP_026248794.1
OG0002757	XP_038435143.1	XP_026237973.1
OG0002758	XP_038394787.1	XP_026268994.1
OG0002759	XP_038394882.1	XP_026259105.1, XP_026261924.1, XP_026259123.1, XP_026259124.1
OG0002760	XP_038395140.1, XP_038395139.1	XP_026252690.1
OG0002761	XP_038395621.1	XP_026261450.1
OG0002762	XP_038395688.1	XP_026256130.1, XP_026256128.1, XP_026256129.1
OG0002763	XP_038396227.1, XP_038396226.1, XP_038396225.1	XP_026265029.1
OG0002764	XP_038396338.1, XP_038396337.1, XP_038396339.1	XP_026241434.1
OG0002765	XP_038396655.1	XP_026241450.1
OG0002766	XP_038396752.1, XP_038396751.1, XP_038396753.1, XP_038396750.1	XP_026241394.1, XP_026241392.1
OG0002767	XP_038396934.1	XP_026258550.1, XP_026258549.1
OG0002768	XP_038396972.1	XP_026258625.1
OG0002769	XP_038397005.1	XP_026258552.1
OG0002770	XP_038397648.1	XP_026258259.1, XP_026258260.1, XP_026258258.1, XP_026258257.1
OG0002771	XP_038397787.1, XP_038397786.1	XP_026252985.1
OG0002772	XP_038397870.1	XP_026257273.1, XP_026257274.1
OG0002773	XP_038398525.1	XP_026261038.1, XP_026261039.1
OG0002774	XP_038398974.1, XP_038398973.1, XP_038398972.1, XP_038398971.1	XP_026260873.1
OG0002775	XP_038399066.1	XP_026260772.1
OG0002776	XP_038399146.1	XP_026260731.1
OG0002777	XP_038399430.1, XP_038399432.1	XP_026255788.1
OG0002778	XP_038399608.1	XP_026243820.1
OG0002779	XP_038400334.1, XP_038442144.1	XP_026269759.1, XP_026269768.1, XP_026269751.1
OG0002780	XP_038400513.1, XP_038400516.1, XP_038400514.1, XP_038400515.1	XP_026252181.1
OG0002781	XP_038400726.1	XP_026239871.1
OG0002782	XP_038400850.1	XP_026240879.1
OG0002783	XP_038401315.1	XP_026258488.1
OG0002784	XP_038401321.1, XP_038401326.1, XP_038401325.1, XP_038401320.1, XP_038401323.1, XP_038401324.1, XP_038401322.1, XP_038401328.1	XP_026257949.1
OG0002785	XP_038401463.1	XP_026250013.1
OG0002786	XP_038401572.1, XP_038401575.1, XP_038401570.1, XP_038401571.1, XP_038401574.1, XP_038401573.1	XP_026267566.1
OG0002787	XP_038401625.1, XP_038401624.1	XP_026255224.1, XP_026255223.1
OG0002789	XP_038402722.1	XP_026262422.1, XP_026262423.1
OG0002790	XP_038431834.1	XP_026257498.1
OG0002791	XP_038404185.1	XP_026244800.1
OG0002792	XP_038404461.1	XP_026244562.1
OG0002793	XP_038405318.1	XP_026242287.1
OG0002794	XP_038405416.1	XP_026260672.1
OG0002795	XP_038412874.1	XP_026253044.1
OG0002796	XP_038432091.1, XP_038405514.1, XP_038405513.1	XP_026254227.1, XP_026254229.1, XP_026254228.1
OG0002798	XP_038406356.1, XP_038406357.1, XP_038406358.1	XP_026261709.1, XP_026261708.1, XP_026261711.1, XP_026261710.1
OG0002799	XP_038406394.1, XP_038406396.1, XP_038406397.1, XP_038406393.1, XP_038406398.1, XP_038406392.1, XP_038406399.1, XP_038406395.1	XP_026261760.1
OG0002800	XP_038406600.1	XP_026266003.1, XP_026266004.1
OG0002801	XP_038406930.1	XP_026235323.1
OG0002802	XP_038407134.1, XP_038437022.1	XP_026241552.1
OG0002803	XP_038407287.1	XP_026242964.1
OG0002804	XP_038407411.1	XP_026243028.1
OG0002805	XP_038407477.1	XP_026260910.1
OG0002806	XP_038408221.1	XP_026256999.1
OG0002808	XP_038408942.1	XP_026270349.1
OG0002809	XP_038410249.1	XP_026267022.1
OG0002810	XP_038410510.1	XP_026266627.1
OG0002811	XP_038410558.1	XP_026266191.1
OG0002812	XP_038410721.1	XP_026258314.1
OG0002813	XP_038410758.1, XP_038410757.1, XP_038410755.1, XP_038410756.1, XP_038410754.1	XP_026245386.1
OG0002814	XP_038412489.1	XP_026248560.1
OG0002816	XP_038413211.1, XP_038445506.1, XP_038413212.1, XP_038413226.1	XP_026257353.1
OG0002817	XP_038413855.1, XP_038413856.1, XP_038413857.1, XP_038413858.1	XP_026249198.1
OG0002818	XP_038413966.1	XP_026237549.1
OG0002819	XP_038414002.1	XP_026238445.1, XP_026238440.1
OG0002820	XP_038414960.1	XP_026265092.1
OG0002821	XP_038415139.1	XP_026235945.1
OG0002822	XP_038415307.1, XP_038415309.1, XP_038415308.1	XP_026261183.1
OG0002823	XP_038415893.1	XP_026265125.1, XP_026265126.1
OG0002824	XP_038416613.1	XP_026267007.1
OG0002825	XP_038416627.1	XP_026243504.1
OG0002826	XP_038416909.1, XP_038442529.1	XP_026264092.1
OG0002827	XP_038417180.1, XP_038417176.1, XP_038417178.1, XP_038417174.1, XP_038417177.1, XP_038417179.1, XP_038417175.1	XP_026244196.1
OG0002828	XP_038417743.1	XP_026249892.1
OG0002829	XP_038418308.1	XP_026249926.1
OG0002830	XP_038418325.1	XP_026257602.1
OG0002831	XP_038418551.1	XP_026268000.1
OG0002832	XP_038420402.1, XP_038419182.1	XP_026236234.1, XP_026236237.1
OG0002833	XP_038419628.1, XP_038419629.1, XP_038419627.1	XP_026252247.1
OG0002834	XP_038420069.1	XP_026270240.1, XP_026270239.1
OG0002835	XP_038421220.1, XP_038421221.1, XP_038421222.1, XP_038421223.1	XP_026245649.1
OG0002836	XP_038421821.1	XP_026253627.1
OG0002837	XP_038422456.1	XP_026239591.1, XP_026239594.1, XP_026239593.1, XP_026239595.1, XP_026239598.1, XP_026239597.1, XP_026239596.1, XP_026239592.1
OG0002838	XP_038422479.1	XP_026239686.1
OG0002839	XP_038422499.1, XP_038422498.1	XP_026238009.1
OG0002840	XP_038422649.1	XP_026245798.1
OG0002841	XP_038422808.1	XP_026245824.1, XP_026245823.1
OG0002842	XP_038423304.1	XP_026255471.1
OG0002843	XP_038423364.1, XP_038423356.1	XP_026267623.1, XP_026267624.1, XP_026267625.1
OG0002844	XP_038423750.1, XP_038423749.1	XP_026260131.1
OG0002845	XP_038423812.1	XP_026270519.1
OG0002846	XP_038423923.1	XP_026269710.1
OG0002847	XP_038424409.1, XP_038424408.1	XP_026240485.1
OG0002848	XP_038424425.1, XP_038424424.1, XP_038424423.1	XP_026243101.1, XP_026243104.1, XP_026243102.1
OG0002849	XP_038425182.1, XP_038425183.1	XP_026261074.1
OG0002850	XP_038426608.1, XP_038426610.1, XP_038426609.1, XP_038426607.1	XP_026261608.1
OG0002851	XP_038426689.1	XP_026244387.1, XP_026244388.1, XP_026244386.1
OG0002852	XP_038427651.1	XP_026241637.1, XP_026241636.1
OG0002853	XP_038427704.1	XP_026265490.1, XP_026265491.1
OG0002854	XP_038428752.1, XP_038439184.1, XP_038428753.1	XP_026263607.1
OG0002855	XP_038428883.1	XP_026269292.1
OG0002856	XP_038429520.1	XP_026245539.1, XP_026238539.1
OG0002857	XP_038429906.1	XP_026265332.1, XP_026265333.1
OG0002858	XP_038429928.1	XP_026265319.1
OG0002859	XP_038430281.1, XP_038430282.1, XP_038430283.1	XP_026251793.1
OG0002860	XP_038430953.1	XP_026241827.1
OG0002861	XP_038431107.1	XP_026267850.1, XP_026267849.1
OG0002862	XP_038431360.1	XP_026265012.1, XP_026265011.1
OG0002863	XP_038431453.1	XP_026267979.1
OG0002864	XP_038431578.1, XP_038431577.1	XP_026264693.1
OG0002865	XP_038431939.1	XP_026266321.1
OG0002868	XP_038432494.1	XP_026259092.1
OG0002869	XP_038432552.1	XP_026259044.1
OG0002870	XP_038437673.1, XP_038433395.1	XP_026256424.1
OG0002871	XP_038434311.1	XP_026250557.1
OG0002873	XP_038434560.1	XP_026256909.1
OG0002874	XP_038434564.1, XP_038434562.1, XP_038434563.1	XP_026256931.1
OG0002875	XP_038434690.1	XP_026244917.1
OG0002876	XP_038435122.1	XP_026237199.1
OG0002877	XP_038435536.1	XP_026240554.1
