Orthogroup	Canis_lupus_familiaris	Loxodonta_africana
OG0001296	XP_038397921.1	XP_023404132.1
OG0001297	XP_038398899.1, XP_038417530.1	XP_010598260.1
OG0001298	XP_038400112.1	XP_003420991.1
OG0001299	XP_038404690.1	XP_023398336.1, XP_023398335.1, XP_023398337.1
OG0001300	XP_038404797.1	XP_023397683.1
OG0001301	XP_038405040.1	XP_023400624.1
OG0001302	XP_038406115.1, XP_038406114.1, XP_038406116.1	XP_003422898.1, XP_023397779.1, XP_023397780.1
OG0001303	XP_038407364.1, XP_038407359.1, XP_038407363.1, XP_038407357.1, XP_038407361.1, XP_038407358.1, XP_038407360.1, XP_038407365.1	XP_003413683.1, XP_010591912.1, XP_023408460.1
OG0001304	XP_038407956.1	XP_023404358.1, XP_023404335.1, XP_023404342.1, XP_023404349.1, XP_023404366.1, XP_023404350.1, XP_023404372.1, XP_023404337.1
OG0001305	XP_038408246.1	XP_023408366.1
OG0001306	XP_038408551.1	XP_010586174.1
OG0001307	XP_038409236.1	XP_023397157.1, XP_010600082.2
OG0001308	XP_038409641.1	XP_010598900.1
OG0001309	XP_038409950.1, XP_038409954.1, XP_038409953.1, XP_038409948.1, XP_038409952.1, XP_038409955.1, XP_038409949.1	XP_010586041.1
OG0001310	XP_038409957.1, XP_038409956.1	XP_003404238.2
OG0001311	XP_038410047.1, XP_038410045.1, XP_038410051.1, XP_038410048.1, XP_038410050.1, XP_038410046.1, XP_038410049.1	XP_023401298.1
OG0001312	XP_038410217.1	XP_003404491.1
OG0001312	XP_038443706.1	XP_003412758.1
OG0001313	XP_038410345.1, XP_038410344.1	XP_003404461.1
OG0001314	XP_038411444.1	XP_010592671.1
OG0001315	XP_038413037.1	XP_003407127.1
OG0001316	XP_038414139.1, XP_038414138.1, XP_038414140.1	XP_023410457.1, XP_003415619.1, XP_010593624.1
OG0001317	XP_038414586.1	XP_003405311.1
OG0001318	XP_038414858.1	XP_003417595.1
OG0001321	XP_038416314.1, XP_038416307.1, XP_038416311.1, XP_038416317.1, XP_038416308.1, XP_038416315.1, XP_038416309.1, XP_038416316.1, XP_038416310.1, XP_038416313.1, XP_038416312.1	XP_023406966.1
OG0001322	XP_038416755.1	XP_023406210.1, XP_023406209.1, XP_023406206.1, XP_023406207.1, XP_023406205.1, XP_023406208.1, XP_023406204.1, XP_010590240.1, XP_023406211.1, XP_010590239.1
OG0001323	XP_038417556.1, XP_038417557.1, XP_038417559.1, XP_038417561.1, XP_038417558.1, XP_038417560.1	XP_010592008.1
OG0001324	XP_038418089.1, XP_038418088.1	XP_023403121.1, XP_003409531.1
OG0001325	XP_038418154.1	XP_003409516.1
OG0001326	XP_038418606.1, XP_038418605.1	XP_023400028.1, XP_023400030.1, XP_023400029.1, XP_023400027.1, XP_010585468.1, XP_010585469.1, XP_023400026.1, XP_023400031.1
OG0001327	XP_038418633.1, XP_038418632.1	XP_010585652.1
OG0001328	XP_038418986.1	XP_010590441.1, XP_010590443.1
OG0001329	XP_038419439.1, XP_038419435.1, XP_038419434.1, XP_038419436.1, XP_038419437.1, XP_038419438.1	XP_023406462.1
OG0001330	XP_038419466.1	XP_023397342.1
OG0001330	XP_038420415.1	XP_023397350.1
OG0001331	XP_038419523.1	XP_023397588.1
OG0001332	XP_038419713.1	XP_023415511.1
OG0001333	XP_038419830.1, XP_038419829.1	XP_003419471.1, XP_023415350.1
OG0001334	XP_038421551.1	XP_023403676.1
OG0001335	XP_038422497.1	XP_023403886.1
OG0001336	XP_038423971.1	XP_023397553.1
OG0001337	XP_038426303.1	XP_003415752.1
OG0001338	XP_038427618.1, XP_038427617.1, XP_038427619.1	XP_003411650.1
OG0001339	XP_038427688.1, XP_038427691.1, XP_038427689.1, XP_038427690.1	XP_010589865.1
OG0001340	XP_038429323.1	XP_010592282.1, XP_023408913.1, XP_023408915.1, XP_023408912.1, XP_003414001.1, XP_023408914.1
OG0001341	XP_038429362.1	XP_010592263.1, XP_010592264.1, XP_003414103.1, XP_010592262.1
OG0001342	XP_038431047.1, XP_038432015.1, XP_038431045.1, XP_038431051.1	XP_003420406.1, XP_023394967.1
OG0001343	XP_038431423.1	XP_003419142.1
OG0001344	XP_038431605.1	XP_010597032.1
OG0001345	XP_038433360.1, XP_038433359.1, XP_038433357.1, XP_038433362.1, XP_038433355.1, XP_038433356.1, XP_038433358.1, XP_038433363.1	XP_003405779.1
OG0001346	XP_038433393.1, XP_038433394.1	XP_010594445.1
OG0001347	XP_038433777.1	XP_003405116.1, XP_023412891.1, XP_023412884.1
OG0001348	XP_038434456.1	XP_003409224.1
OG0001349	XP_038434483.1	XP_010587360.1, XP_023402580.1, XP_010587358.1
OG0001350	XP_038434703.1, XP_038434704.1, XP_038434705.1	XP_003408999.1
OG0001351	XP_038434717.1	XP_003409168.1, XP_023402507.1
OG0001352	XP_038436231.1	XP_010598004.1
OG0001353	XP_038436911.1	XP_003413869.1
OG0001354	XP_038437917.1, XP_038437919.1, XP_038437916.1, XP_038437918.1, XP_038437915.1	XP_003410418.1
OG0001355	XP_038439107.1	XP_023407243.1
OG0001356	XP_038439140.1	XP_003412849.1
OG0001357	XP_038440118.1	XP_003416511.1
OG0001358	XP_038441079.1	XP_003406214.1
OG0001359	XP_038442619.1, XP_038442396.1, XP_038442395.1	XP_023395442.1, XP_023395433.1
OG0001360	XP_038444155.1, XP_038444092.1, XP_038444091.1, XP_038442503.1	XP_023409580.1
OG0001361	XP_038443028.1	XP_023410914.1, XP_023410915.1, XP_023410916.1, XP_010594040.1, XP_023410917.1, XP_003415996.1
OG0001362	XP_038443223.1, XP_038443221.1, XP_038443222.1	XP_023413690.1
OG0001363	XP_038443341.1	XP_023413632.1
OG0001364	XP_038444269.1, XP_038444272.1, XP_038444270.1, XP_038444267.1, XP_038444263.1, XP_038444271.1, XP_038444268.1, XP_038444265.1, XP_038444262.1, XP_038444266.1, XP_038444273.1, XP_038444264.1	XP_003420909.1
OG0001365	XP_038444584.1	XP_010599406.1
OG0001366	XP_038445075.1, XP_038445076.1, XP_038445077.1, XP_038445078.1	XP_023395134.1, XP_010598216.1, XP_003420419.1
OG0001372	NP_001002970.2	XP_010596042.1
OG0001372	NP_001002969.1	XP_003418065.3
OG0001373	NP_001003064.2	XP_010597309.1
OG0001374	NP_001003039.2	XP_010591934.1, XP_010591935.1
OG0001376	NP_001121083.1	XP_003420701.1
OG0001377	NP_001238885.1	XP_003407493.1
OG0001378	NP_001239072.1, XP_038408525.1, XP_038407013.1, XP_038408524.1	XP_003407365.1, XP_023400972.1
OG0001379	XP_038442470.1, XP_038391404.1, NP_001239140.1	XP_003415144.1
OG0001380	XP_038435229.1, XP_038400922.1	XP_003415744.1
OG0001381	XP_038426444.1, XP_038426445.1	XP_003415741.1
OG0001382	NP_001273906.1	XP_003407437.1, XP_010585812.1, XP_010585811.2
OG0001383	NP_001287805.1	XP_010584661.1, XP_023395422.1, XP_003405248.1, XP_023414516.1, XP_003405246.1
OG0001384	NP_001375703.1	XP_003415007.1, XP_003415009.1
OG0001384	NP_001300768.1	XP_010593160.1
OG0001385	NP_001349530.1	XP_003415131.1, XP_023409751.1
OG0001386	NP_001375489.1, NP_001375446.1	XP_003420610.1, XP_003420611.2, XP_003420612.1, XP_003420609.1
OG0001387	NP_001375533.1	XP_010599213.1, XP_010599215.1
OG0001388	NP_001375618.1	XP_003423309.1, XP_003423310.1
OG0001388	NP_001375617.1	XP_003421571.1, XP_003423660.1, XP_023394820.1, XP_023398148.1, XP_003423641.1
OG0001389	XP_038405449.1, NP_001375683.1, NP_001375989.1, NP_001375993.1	XP_023396124.1, XP_003405128.1
OG0001390	NP_001375710.1	XP_023397597.1, XP_003422647.1, XP_003422659.1, XP_003423733.2, XP_003417540.2, XP_003417539.2, XP_003422639.1, XP_003422662.1, XP_023412772.1, XP_003422652.1, XP_003422655.1
OG0001391	NP_001375746.1	XP_010585957.1, XP_010585959.1, XP_010585960.1, XP_010585958.1
OG0001393	NP_001375986.1	XP_003422556.1, XP_003422557.1, XP_010600148.1
OG0001395	XP_038383209.1	XP_023395172.1
OG0001395	XP_038394189.1	XP_003417141.1
OG0001396	XP_038383722.1	XP_003406911.1
OG0001397	XP_038385111.1, XP_038385114.1, XP_038385112.1, XP_038385113.1	XP_023397254.1, XP_003422358.1
OG0001398	XP_038385467.1, XP_038385473.1, XP_038385477.1, XP_038385470.1, XP_038385474.1, XP_038385475.1, XP_038385468.1, XP_038385472.1, XP_038385471.1, XP_038385476.1, XP_038385469.1	XP_010594429.1
OG0001399	XP_038385678.1	XP_023404622.1
OG0001400	XP_038386405.1	XP_010589744.1, XP_010589737.1
OG0001401	XP_038386472.1	XP_010589891.1
OG0001401	XP_038389330.1	XP_010589663.1
OG0001402	XP_038387436.1, XP_038387437.1	XP_023410153.1, XP_003415456.1
OG0001403	XP_038387458.1, XP_038387459.1, XP_038387457.1, XP_038387456.1, XP_038387455.1	XP_003415298.1
OG0001404	XP_038426876.1	XP_010597800.1
OG0001404	XP_038387585.1	XP_010593364.1
OG0001405	XP_038387718.1, XP_038388983.1	XP_023408728.1, XP_003413889.1
OG0001406	XP_038388479.1, XP_038445508.1, XP_038388481.1, XP_038388478.1, XP_038388480.1	XP_003408006.1
OG0001407	XP_038388711.1	XP_003413946.1
OG0001408	XP_038388887.1, XP_038388884.1, XP_038388885.1, XP_038388886.1	XP_010592095.1, XP_003413917.1
OG0001409	XP_038391494.1	XP_003422116.2, XP_023396970.1, XP_003422148.2, XP_010599727.1, XP_003422657.1
OG0001410	XP_038391749.1	XP_010599961.2, XP_023413999.1
OG0001411	XP_038392393.1	XP_003416910.1
OG0001411	XP_038431752.1	XP_003419160.1
OG0001412	XP_038405196.1, XP_038394154.1, XP_038394153.1, XP_038409290.1	XP_010596141.1
OG0001413	XP_038394447.1, XP_038394448.1, XP_038394449.1, XP_038394444.1, XP_038394446.1, XP_038394445.1	XP_003417185.1
OG0001414	XP_038394784.1, XP_038394786.1, XP_038394785.1	XP_010600105.1
OG0001415	XP_038404077.1	XP_023409232.1
OG0001415	XP_038394816.1	XP_023413084.1
OG0001416	XP_038394831.1	XP_023403206.1
OG0001417	XP_038394902.1, XP_038394901.1	XP_010594591.1
OG0001418	XP_038395595.1, XP_038395594.1	XP_003416708.1
OG0001419	XP_038404095.1	XP_023409222.1
OG0001419	XP_038395626.1	XP_003416676.1
OG0001420	XP_038395643.1	XP_023411659.1
OG0001421	XP_038395675.1, XP_038395676.1	XP_003418913.1
OG0001422	XP_038395919.1	XP_023414637.1, XP_023414638.1, XP_010596776.1, XP_010596777.1
OG0001423	XP_038395955.1	XP_003418868.1
OG0001423	XP_038402732.1	XP_003417343.1
OG0001424	XP_038397604.1	XP_003411285.1
OG0001425	XP_038397938.1, XP_038397939.1, XP_038425637.1	XP_023404145.1
OG0001426	XP_038401638.1	XP_023402330.1
OG0001427	XP_038398920.1	XP_003414991.1, XP_010593144.1
OG0001428	XP_038413193.1, XP_038414562.1, XP_038399620.1	XP_010595269.1
OG0001429	XP_038399934.1	XP_010585035.1
OG0001430	XP_038444639.1	XP_003420535.1
OG0001430	XP_038399961.1	XP_003408561.1
OG0001431	XP_038401742.1, XP_038401743.1, XP_038401744.1	XP_003408919.1
OG0001432	XP_038401879.1	XP_023402433.1
OG0001433	XP_038402417.1	XP_010595226.1
OG0001434	XP_038403014.1	XP_003414342.1
OG0001435	XP_038403048.1	XP_023409508.1
OG0001436	XP_038403724.1	XP_003414655.1
OG0001437	XP_038403737.1	XP_010592604.1, XP_023409323.1
OG0001438	XP_038405586.1, XP_038405587.1, XP_038405584.1, XP_038405585.1	XP_023413298.1, XP_023413300.1, XP_010596264.1
OG0001439	XP_038405858.1	XP_023414271.1, XP_003405230.1, XP_010596882.1
OG0001440	XP_038406703.1, XP_038406702.1, XP_038406701.1	XP_003405361.1
OG0001441	XP_038407399.1	XP_003413699.1, XP_023408475.1, XP_023408476.1, XP_023408474.1
OG0001442	XP_038410083.1, XP_038410080.1, XP_038410081.1, XP_038410082.1	XP_023401273.1
OG0001443	XP_038410116.1	XP_023401134.1
OG0001444	XP_038411783.1	XP_010600460.1, XP_023397866.1, XP_023397867.1
OG0001445	XP_038412326.1, XP_038412378.1	XP_010599029.1
OG0001446	XP_038413285.1, XP_038413287.1, XP_038413284.1, XP_038413286.1	XP_010585657.1, XP_023400310.1, XP_003407262.1
OG0001447	XP_038413898.1, XP_038413899.1, XP_038413896.1, XP_038413897.1	XP_003415533.1
OG0001448	XP_038413905.1	XP_010593492.1
OG0001449	XP_038415287.1	XP_023394914.1
OG0001449	XP_038415286.1	XP_023394913.1
OG0001450	XP_038415844.1	XP_010590721.1, XP_010590724.1, XP_003412545.1, XP_023406835.1, XP_010590723.1
OG0001451	XP_038416555.1, XP_038416556.1, XP_038418348.1	XP_003415113.1
OG0001452	XP_038416968.1	XP_003411978.1, XP_003414800.1
OG0001454	XP_038419797.1	XP_003419627.1
OG0001455	XP_038422213.1, XP_038422215.1, XP_038422214.1, XP_038422216.1, XP_038422212.1	XP_003410122.2
OG0001456	XP_038423273.1, XP_038423274.1	XP_023408214.1, XP_023408212.1, XP_023408215.1, XP_010591662.1, XP_010591663.1, XP_023408216.1
OG0001457	XP_038423583.1	XP_003421706.1
OG0001457	XP_038423580.1	XP_003421705.1
OG0001458	XP_038424134.1, XP_038424135.1	XP_023415477.1, XP_023415475.1, XP_023415476.1, XP_023415478.1
OG0001459	XP_038425340.1	XP_023407114.1
OG0001459	XP_038444311.1	XP_023395247.1
OG0001460	XP_038425793.1, XP_038425791.1, XP_038425792.1	XP_003409366.2
OG0001461	XP_038426490.1, XP_038426494.1, XP_038426491.1, XP_038426492.1, XP_038426493.1, XP_038426495.1	XP_003409765.1
OG0001462	XP_038428745.1	XP_010599448.1, XP_023396598.1, XP_023396599.1
OG0001463	XP_038428954.1	XP_010595966.1
OG0001464	XP_038430067.1, XP_038430068.1, XP_038430070.1, XP_038430069.1, XP_038430071.1	XP_023413556.1, XP_023413555.1, XP_023413558.1, XP_023413557.1
OG0001465	XP_038430454.1	XP_003419112.1
OG0001465	XP_038431565.1	XP_023415094.1
OG0001466	XP_038430899.1	XP_023394963.1
OG0001467	XP_038431522.1, XP_038431524.1, XP_038431523.1, XP_038431525.1	XP_023415021.1, XP_023415020.1, XP_010597053.1
OG0001468	XP_038433645.1	XP_010595031.1
OG0001469	XP_038433786.1	XP_010595626.1
OG0001470	XP_038439400.1	XP_010591097.1
OG0001471	XP_038434027.1, XP_038434026.1	XP_010587578.1, XP_010587577.1, XP_010587576.1
OG0001472	XP_038434150.1	XP_023402685.1
OG0001473	XP_038438109.1	XP_003414135.1
OG0001473	XP_038434453.1	XP_010587368.1
OG0001474	XP_038434773.1, XP_038434774.1	XP_023402461.1, XP_010587275.1, XP_010587276.1
OG0001475	XP_038435960.1	XP_003418700.1
OG0001476	XP_038436969.1, XP_038436967.1, XP_038436968.1, XP_038436966.1	XP_023408701.1
OG0001477	XP_038437255.1	XP_010588624.1
OG0001478	XP_038437382.1, XP_038437384.1, XP_038437383.1, XP_038437381.1, XP_038437385.1	XP_003419061.1
OG0001479	XP_038437708.1	XP_003410460.1
OG0001480	XP_038438138.1, XP_038438136.1, XP_038438137.1	XP_003414239.1
OG0001481	XP_038438987.1	XP_003413005.1
OG0001482	XP_038439720.1, XP_038439716.1, XP_038439718.1, XP_038439717.1, XP_038439719.1	XP_003422248.1
OG0001483	XP_038440402.1	XP_003421857.1
OG0001484	XP_038440702.1, XP_038440701.1	XP_010601143.1
OG0001485	XP_038441180.1, XP_038441179.1	XP_003406201.1
OG0001486	XP_038441802.1	XP_023396858.1
OG0001487	XP_038442048.1, XP_038442047.1, XP_038442045.1, XP_038442046.1	XP_003410883.1
OG0001488	XP_038445499.1, XP_038445321.1, XP_038445320.1, XP_038445534.1, XP_038443490.1, XP_038445492.1, XP_038445388.1, XP_038445386.1, XP_038444858.1, XP_038443489.1, XP_038445491.1, XP_038443488.1	XP_003420429.1, XP_010598238.1
OG0001490	XP_038444021.1	XP_010592983.1
OG0001491	XP_038444172.1	XP_003414807.1
OG0001492	XP_038444199.1	XP_010592951.1, XP_010597320.1
OG0001502	NP_001002930.1	XP_003418535.1
OG0001503	NP_001003063.1	XP_003404542.1
OG0001504	NP_001003228.1	XP_010597566.1, XP_003405300.1
OG0001505	NP_001012343.1	XP_003412013.1, XP_010590178.1
OG0001506	NP_001017522.1, NP_001375943.1, XP_038424785.1	XP_003423190.1, XP_003423443.1, XP_003423199.1, XP_023397821.1
OG0001507	NP_001018045.1	XP_003422619.1
OG0001508	NP_001075889.1	XP_023395476.1
OG0001508	XP_038392965.1, XP_038392963.1, XP_038392964.1	XP_003420742.1
OG0001510	NP_001182333.1	XP_003412960.1
OG0001511	NP_001184117.1	XP_023412928.1, XP_023412927.1, XP_010595526.1, XP_023412929.1, XP_023412926.1
OG0001512	XP_038388443.1, XP_038394915.1, XP_038417426.1, NP_001238875.1	XP_010589908.1, XP_010589912.1, XP_010589909.1
OG0001513	NP_001333298.1	XP_010592747.1
OG0001513	NP_001240673.1	XP_003414782.1
OG0001515	NP_001274044.1	XP_003408955.2
OG0001516	NP_001301054.1	XP_010599730.1
OG0001517	XP_038419189.1, NP_001375562.1	XP_010600447.1, XP_010590356.1, XP_003422755.1, XP_023397842.1
OG0001518	NP_001375631.1, XP_038424095.1	XP_003421556.1
OG0001519	NP_001375711.1	XP_003422661.1, XP_003422638.1, XP_003422640.1, XP_003422649.1, XP_003422660.1, XP_003422646.1, XP_003417538.1, XP_003422654.1, XP_003422648.1, XP_003422651.1, XP_003422653.1
OG0001520	NP_001375780.1	XP_003404968.1, XP_003404745.1, XP_023408715.1
OG0001521	XP_038424073.1	XP_003423661.1, XP_003423642.1
OG0001521	NP_001376058.1	XP_010599244.2, XP_010600699.1
OG0001522	XP_038381448.1, XP_038381449.1	XP_010585182.1, XP_003406277.1
OG0001523	XP_038381885.1	XP_023399547.1
OG0001524	XP_038381930.1	XP_003406441.1
OG0001525	XP_038405422.1	XP_010598297.1
OG0001526	XP_038383577.1	XP_010584931.1
OG0001527	XP_038383800.1	XP_003406901.1
OG0001527	XP_038402737.1	XP_023412744.1
OG0001528	XP_038443575.1	XP_023407179.1
OG0001528	XP_038383833.1	XP_003406642.1
OG0001529	XP_038402357.1	XP_023412614.1, XP_023412613.1
OG0001530	XP_038384423.1, XP_038384422.1, XP_038384425.1, XP_038384424.1	XP_003406527.1, XP_023398955.1
OG0001531	XP_038400296.1	XP_003408555.1
OG0001532	XP_038384543.1, XP_038384541.1, XP_038384542.1, XP_038384544.1	XP_003406491.1
OG0001534	XP_038386183.1, XP_038386182.1, XP_038386184.1	XP_003404576.2, XP_023405289.1
OG0001535	XP_038388106.1	XP_023403746.1
OG0001536	XP_038388244.1, XP_038388243.1	XP_010587841.1, XP_023403545.1
OG0001537	XP_038388699.1, XP_038388700.1, XP_038388698.1	XP_023408815.1, XP_003413948.1, XP_023408814.1, XP_023408813.1
OG0001538	XP_038389585.1	XP_023405492.1, XP_023405491.1, XP_023405490.1
OG0001539	XP_038389606.1	XP_010586530.1
OG0001540	XP_038412111.1, XP_038412114.1, XP_038412113.1, XP_038412112.1	XP_023410853.1
OG0001541	XP_038389772.1, XP_038389777.1, XP_038389773.1, XP_038389776.1, XP_038389778.1, XP_038389774.1, XP_038389775.1	XP_003410952.1
OG0001542	XP_038437716.1	XP_023404377.1
OG0001542	XP_038390312.1	XP_010587538.1
OG0001543	XP_038390414.1, XP_038390413.1, XP_038390415.1, XP_038390416.1	XP_003418636.1
OG0001544	XP_038390766.1	XP_003404687.1
OG0001545	XP_038391805.1	XP_003418246.1
OG0001546	XP_038392252.1	XP_010593732.1
OG0001547	XP_038408087.1, XP_038408086.1, XP_038408088.1, XP_038392274.1	XP_023404847.1
OG0001548	XP_038392383.1, XP_038392384.1, XP_038392382.1	XP_003416907.1
OG0001549	XP_038393061.1	XP_010598521.2
OG0001549	XP_038444717.1	XP_023413625.1
OG0001550	XP_038393104.1	XP_023405257.1
OG0001551	XP_038393812.1	XP_010591708.2
OG0001552	XP_038394024.1	XP_003418117.1
OG0001553	XP_038394506.1, XP_038394505.1	XP_003417070.2, XP_010595041.1
OG0001554	XP_038395752.1	XP_010596815.1
OG0001555	XP_038395899.1, XP_038395900.1	XP_003418877.1
OG0001556	XP_038397976.1, XP_038397977.1	XP_003410188.1
OG0001557	XP_038398799.1	XP_003410985.1
OG0001557	XP_038419776.1	XP_023415341.1
OG0001558	XP_038398824.1	XP_003410992.1
OG0001558	XP_038398823.1	XP_023405131.1
OG0001559	XP_038400359.1	XP_023401679.1
OG0001560	XP_038401730.1, XP_038401729.1, XP_038401728.1	XP_023402419.1
OG0001561	XP_038403133.1	XP_010592796.1, XP_003407328.1
OG0001562	XP_038404720.1, XP_038404719.1, XP_038404721.1, XP_038404717.1, XP_038404718.1	XP_010600348.1
OG0001563	XP_038407378.1	XP_010591917.1, XP_023408467.1, XP_023408469.1, XP_023408466.1
OG0001564	XP_038407726.1, XP_038407724.1	XP_010591291.1
OG0001565	XP_038408110.1	XP_003404544.1
OG0001565	XP_038444106.1	XP_003414829.1
OG0001566	XP_038408872.1	XP_010586099.1
OG0001567	XP_038410021.1, XP_038410020.1, XP_038410022.1	XP_023401398.1, XP_023401401.1
OG0001568	XP_038410246.1	XP_003404478.1, XP_023400604.1, XP_010585389.1, XP_023400610.1
OG0001569	XP_038444698.1	XP_003415998.1
OG0001569	XP_038416484.1, XP_038410447.1	XP_003404159.1
OG0001570	XP_038443712.1	XP_010591003.1
OG0001570	XP_038410524.1	XP_010584874.1
OG0001571	XP_038410578.1	XP_003404419.2
OG0001572	XP_038410600.1, XP_038410602.1, XP_038410603.1, XP_038410605.1, XP_038410599.1, XP_038410601.1, XP_038410604.1	XP_023399777.1
OG0001574	XP_038411126.1, XP_038411128.1, XP_038411127.1	XP_003408464.1
OG0001575	XP_038412003.1	XP_010593974.1
OG0001575	XP_038429335.1	XP_010592272.1
OG0001576	XP_038412542.1	XP_003407079.1
OG0001577	XP_038440822.1	XP_003406260.2
OG0001577	XP_038413140.1	XP_003407088.2
OG0001578	XP_038413579.1	XP_023410373.1
OG0001579	XP_038414788.1, XP_038414789.1	XP_023394695.1, XP_010598034.1, XP_003405344.1
OG0001580	XP_038415267.1, XP_038415266.1, XP_038415268.1, XP_038415269.1	XP_003422864.1
OG0001581	XP_038415401.1	XP_010598738.1, XP_023395732.1
OG0001582	XP_038415584.1	XP_010598430.2
OG0001583	XP_038415743.1	XP_023395580.1
OG0001584	XP_038416202.1, XP_038417199.1, XP_038417200.1	XP_003416124.2
OG0001585	XP_038416257.1, XP_038416259.1, XP_038416256.1, XP_038416258.1	XP_023406962.1, XP_003412374.2
OG0001586	XP_038417045.1	XP_003411995.1
OG0001587	XP_038418143.1, XP_038418138.1, XP_038418140.1, XP_038418139.1, XP_038418141.1, XP_038418137.1, XP_038418142.1	XP_023403107.1, XP_023403106.1
OG0001588	XP_038418445.1, XP_038418447.1, XP_038418448.1	XP_023415556.1
OG0001589	XP_038418815.1	XP_023397970.1
OG0001590	XP_038418940.1	XP_023406473.1, XP_023406474.1, XP_023406475.1, XP_003412323.1
OG0001591	XP_038418978.1	XP_023406508.1
OG0001592	XP_038419087.1, XP_038419088.1, XP_038419090.1, XP_038419089.1	XP_010590467.1
OG0001593	XP_038419154.1, XP_038419156.1, XP_038419155.1	XP_023396309.1, XP_003421383.1
OG0001594	XP_038419700.1	XP_023415317.1
OG0001594	XP_038431410.1	XP_003419144.1
OG0001595	XP_038421798.1	XP_010588355.1
OG0001596	XP_038423846.1	XP_003422155.1
OG0001597	XP_038428570.1, XP_038424063.1	XP_023394508.1
OG0001598	XP_038424238.1	XP_010593691.1
OG0001599	XP_038424712.1	XP_003420155.1
OG0001600	XP_038425220.1	XP_003412356.1
OG0001601	XP_038444143.1	XP_010592962.1
OG0001601	XP_038426039.1	XP_010592318.1
OG0001602	XP_038426080.1	XP_023408423.1, XP_023408422.1, XP_023408425.1
OG0001603	XP_038426410.1	XP_003415747.3
OG0001605	XP_038427070.1	XP_023411202.1
OG0001606	XP_038427461.1, XP_038427460.1	XP_003411456.1
OG0001607	XP_038427534.1	XP_023405780.1
OG0001608	XP_038428080.1	XP_003411733.1
OG0001609	XP_038428204.1	XP_010589972.1
OG0001610	XP_038428421.1	XP_023405640.1
OG0001610	XP_038439289.1	XP_023398247.1
OG0001611	XP_038428535.1	XP_010597738.1
OG0001612	XP_038428911.1	XP_023405856.1, XP_023405855.1, XP_023405874.1
OG0001613	XP_038429531.1	XP_003415861.1
OG0001614	XP_038430121.1	XP_003417958.1
OG0001615	XP_038431240.1	XP_023415271.1
OG0001616	XP_038431352.1, XP_038431349.1, XP_038431353.1, XP_038431351.1, XP_038431348.1, XP_038431350.1	XP_010597210.2
OG0001617	XP_038432537.1, XP_038432539.1, XP_038432538.1	XP_003410694.1
OG0001618	XP_038432622.1	XP_003410722.1
OG0001619	XP_038433010.1	XP_023410655.1
OG0001620	XP_038433366.1	XP_003405781.1
OG0001621	XP_038433535.1	XP_010594769.1, XP_010594780.1, XP_010594774.1, XP_003405817.1
OG0001622	XP_038433986.1	XP_003408973.1
OG0001623	XP_038434073.1	XP_010596535.1, XP_010596534.1, XP_010596536.1, XP_010596537.1
OG0001624	XP_038438391.1	XP_023409110.1
OG0001625	XP_038439538.1, XP_038439539.1	XP_023407318.1
OG0001626	XP_038439641.1, XP_038439643.1, XP_038439642.1, XP_038439650.1, XP_038439645.1, XP_038439644.1, XP_038439647.1, XP_038439649.1, XP_038439646.1	XP_023407398.1
OG0001627	XP_038439691.1, XP_038439692.1, XP_038439690.1, XP_038439688.1, XP_038439689.1	XP_003416231.2
OG0001628	XP_038440934.1	XP_003406237.1, XP_023398565.1
OG0001629	XP_038441211.1	XP_010600878.1
OG0001630	XP_038441362.1, XP_038441360.1, XP_038441363.1, XP_038441361.1	XP_003406175.1
OG0001631	XP_038441714.1	XP_023397164.1
OG0001632	XP_038442738.1, XP_038442737.1	XP_010594100.1, XP_003416039.1, XP_010594099.1, XP_023411003.1
OG0001634	XP_038443757.1	XP_003412743.2
OG0001635	XP_038444224.1	XP_023395706.1
OG0001636	XP_038444304.1, XP_038444306.1, XP_038444305.1	XP_023395223.1, XP_003420563.1, XP_010598729.1, XP_023395725.1, XP_003420914.1
OG0001637	XP_038444631.1	XP_010599385.2
OG0001645	NP_001002934.2	XP_023405494.1
OG0001645	NP_001003073.1	XP_023406357.1
OG0001646	NP_001003007.2	XP_023395114.1
OG0001647	NP_001182771.1	XP_010599550.1
OG0001647	NP_001003249.1	XP_023400502.1
OG0001648	NP_001003272.1	XP_003408881.1
OG0001649	XP_038423263.1	XP_003413425.1
OG0001649	NP_001003291.1	XP_023408210.1
OG0001650	XP_038434605.1	XP_003409190.1
OG0001650	NP_001003352.1	XP_010597125.2
OG0001651	NP_001280204.1, NP_001280208.1, NP_001280205.1, NP_001006601.2	XP_010588641.1
OG0001652	NP_001020791.1	XP_023415707.1, XP_023415706.1, XP_023415705.1, XP_023415708.1, XP_023415703.1
OG0001653	NP_001020792.1	XP_023397344.1
OG0001653	XP_038384032.1	XP_023399076.1
OG0001654	NP_001074978.1	XP_003413014.1
OG0001656	NP_001124305.1	XP_003411320.1, XP_010589666.1
OG0001657	NP_001138967.1	XP_003422865.1
OG0001657	NP_001138970.1	XP_010600360.1, XP_003422867.1
OG0001658	NP_001165219.1	XP_010589946.1, XP_010589945.1
OG0001659	XP_038381404.1, NP_001177339.1	XP_003410626.1
OG0001660	XP_038430661.1	XP_003421319.1
OG0001660	NP_001184048.1	XP_023396196.1
OG0001661	XP_038403280.1	XP_023409186.1
