Orthogroup	Sus_scrofa	Urocitellus_parryii
OG0002877	XP_020944372.1, NP_999381.1	XP_026240554.1
OG0002878	XP_020953976.1, NP_999577.1	XP_026243498.1
OG0002879	XP_020953278.1	XP_026247204.1, XP_026247200.1
OG0002880	XP_005659741.2	XP_026248148.1
OG0002881	XP_005659746.1	XP_026248167.1
OG0002882	XP_005666187.1, NP_001230611.1	XP_026243542.1
OG0002884	XP_005667041.1	XP_026263245.1
OG0002885	XP_020957539.1	XP_026264775.1
OG0002886	NP_001229952.1, XP_020935130.1	XP_026270838.1
OG0002887	XP_013845614.1, XP_003132741.1, XP_013845613.1	XP_026259334.1
OG0002888	XP_005670169.1	XP_026251860.1, XP_026251857.1
OG0002889	XP_003358812.2	XP_026234989.1
OG0002890	XP_013837672.1, XP_005670059.1	XP_026238731.1, XP_026238732.1
OG0002892	NP_999452.1	XP_026246161.1
OG0002893	XP_005667593.1, XP_003357444.1	XP_026243227.1
OG0002894	XP_003130562.1, XP_020920006.1, XP_020920005.1, XP_013835488.1	XP_026262920.1
OG0002895	XP_020945149.1, XP_005655436.1, XP_020945148.1, XP_005655437.1	XP_026236785.1
OG0002896	XP_005663206.1	XP_026268470.1
OG0002897	XP_020945163.1	XP_026268465.1
OG0002898	XP_013841707.1	XP_026266118.1, XP_026266117.1
OG0002899	XP_020935605.1, XP_013846436.1	XP_026236591.1, XP_026240073.1
OG0002900	XP_005673539.1	XP_026261233.1
OG0002901	XP_020936488.1, XP_020936490.1, XP_020936489.1	XP_026258411.1
OG0002902	NP_001243294.1, XP_005673615.1	XP_026243351.1
OG0002903	NP_001233132.1, XP_013846518.1	XP_026243327.1
OG0002904	XP_020935686.1	XP_026262550.1
OG0002905	XP_001925971.4	XP_026266775.1, XP_026266773.1
OG0002906	XP_003484206.1	XP_026247990.1
OG0002907	XP_020935264.1	XP_026266290.1, XP_026266291.1, XP_026266289.1, XP_026266292.1
OG0002909	XP_020922284.1	XP_026260539.1
OG0002913	XP_020934191.1, NP_001033097.1	XP_026266083.1, XP_026266082.1
OG0002914	NP_999074.1	XP_026248656.1, XP_026248011.1
OG0002915	XP_003127338.2	XP_026262022.1
OG0002916	NP_001302679.1	XP_026240659.1, XP_026240666.1
OG0002917	XP_020954486.1	XP_026262741.1
OG0002918	XP_020957917.1, NP_001027525.1	XP_026252969.1
OG0002919	XP_003482618.1	XP_026243072.1
OG0002920	XP_020932583.1	XP_026257563.1, XP_026257562.1, XP_026257564.1, XP_026257565.1
OG0002921	NP_001335454.1, XP_020923915.1	XP_026249594.1, XP_026249587.1
OG0002922	XP_001928335.1, XP_013848771.1, XP_005653125.1	XP_026237440.1
OG0002923	XP_001928915.1, XP_013833659.1, XP_005666313.1	XP_026261775.1
OG0002924	XP_020939603.1	XP_026270719.1
OG0002925	XP_005655734.2	XP_026266672.1
OG0002926	XP_005665967.1, NP_999317.2, NP_001123713.1	XP_026239349.1, XP_026239350.1
OG0002927	XP_020944916.1	XP_026253088.1, XP_026237420.1
OG0002928	XP_005656967.1, XP_020922244.1	XP_026260667.1
OG0002929	XP_020922794.1, XP_005668921.2, XP_013836451.2, XP_003131608.4	XP_026242573.1
OG0002930	NP_001124201.1, XP_013838403.1	XP_026264981.1
OG0002931	XP_003126546.1	XP_026266655.1
OG0002932	XP_020936241.1	XP_026269439.1
OG0002934	XP_020920265.1	XP_026260250.1
OG0002935	NP_999192.1, XP_005669799.2	XP_026238897.1
OG0002937	XP_003125100.1	XP_026260920.1
OG0002938	XP_003122631.1	XP_026270229.1
OG0002938	NP_001090969.1	XP_026237687.1
OG0002939	XP_003481579.1	XP_026261737.1
OG0002940	XP_003127105.1, XP_003127104.1	XP_026235851.1
OG0002941	XP_020957699.1, NP_001186648.1	XP_026252161.1
OG0002942	XP_020925510.1	XP_026239879.1
OG0002944	XP_005670544.2	XP_026245502.1
OG0002945	NP_001230994.1	XP_026261853.1
OG0002946	NP_999343.1, XP_020932937.1	XP_026241598.1
OG0002947	XP_005664252.1, NP_999421.1	XP_026253506.1
OG0002948	XP_013833988.1	XP_026259060.1
OG0002949	XP_020958319.1, XP_020958307.1	XP_026238040.1
OG0002950	XP_020945258.1	XP_026263760.1
OG0002953	XP_020936668.1, XP_020938182.1, XP_003356637.1, XP_020936670.1	XP_026270344.1
OG0002955	XP_020930551.1	XP_026236786.1
OG0002955	XP_003121259.1	XP_026236780.1, XP_026236789.1
OG0002956	XP_013848314.1	XP_026265745.1
OG0002957	XP_013849082.2	XP_026249809.1
OG0002958	XP_020920446.1	XP_026245044.1
OG0002959	XP_005670454.1	XP_026263154.1
OG0002960	NP_001230818.1, XP_005662305.1	XP_026262727.1
OG0002961	XP_020950702.1	XP_026237015.1
OG0002962	XP_020950681.1	XP_026236999.1
OG0002963	XP_020950638.1, XP_013844155.2	XP_026237162.1, XP_026237451.1
OG0002964	XP_020950549.1	XP_026236940.1
OG0002966	NP_001230345.1, XP_013854144.1	XP_026262074.1
OG0002967	XP_005664839.1	XP_026262149.1
OG0002968	XP_020950394.1, XP_020950392.1, XP_020950393.1, XP_020950390.1	XP_026262183.1, XP_026262182.1
OG0002969	XP_020950328.1	XP_026262156.1
OG0002970	XP_003127294.2	XP_026266255.1
OG0002971	XP_003127202.2	XP_026236819.1
OG0002972	XP_013844042.2	XP_026267319.1
OG0002973	NP_001070690.1	XP_026267339.1
OG0002974	XP_005655879.2	XP_026267322.1
OG0002975	XP_020950008.1	XP_026267908.1
OG0002976	XP_013853873.2	XP_026235052.1
OG0002977	XP_020949957.1	XP_026247070.1
OG0002978	XP_003127063.1	XP_026246992.1
OG0002979	XP_003355879.1	XP_026247016.1
OG0002980	XP_003134775.1	XP_026244532.1
OG0002981	XP_020920404.1	XP_026258121.1
OG0002982	XP_020920661.1	XP_026247585.1
OG0002983	NP_001231383.1, XP_020919692.1	XP_026268359.1, XP_026268369.1, XP_026268349.1
OG0002984	XP_003134059.1	XP_026246611.1
OG0002985	XP_020952313.1	XP_026237512.1
OG0002986	XP_020932546.1	XP_026246618.1
OG0002987	XP_020949584.1	XP_026251433.1
OG0002988	XP_020949874.1	XP_026248070.1
OG0002989	XP_013854595.2	XP_026262591.1
OG0002990	NP_001137185.1, XP_020948911.1	XP_026262604.1
OG0002991	XP_020949006.1, NP_001230143.1	XP_026247403.1
OG0002992	XP_020951211.1	XP_026259422.1
OG0002993	XP_013854436.1, XP_003482001.1, XP_013854435.1	XP_026253726.1
OG0002994	XP_020920575.1	XP_026256968.1
OG0002995	XP_005661595.1, NP_001004028.1	XP_026250341.1, XP_026250342.1
OG0002996	XP_020930772.1	XP_026256329.1
OG0002997	XP_020954637.1, XP_020954636.1	XP_026243978.1
OG0002998	XP_020954626.1	XP_026243945.1
OG0002999	XP_020954572.1	XP_026243886.1
OG0003000	XP_003128908.4	XP_026259144.1
OG0003001	NP_001137174.1, XP_020955947.1	XP_026259401.1
OG0003002	XP_020956678.1	XP_026259682.1
OG0003003	XP_003128900.1	XP_026259493.1
OG0003004	XP_020956667.1	XP_026259368.1
OG0003005	XP_020954499.1	XP_026256310.1
OG0003006	NP_001026951.1	XP_026251155.1
OG0003007	XP_005671069.2	XP_026249499.1
OG0003008	NP_001230113.1	XP_026250432.1
OG0003009	XP_001925718.2	XP_026261568.1
OG0003010	XP_001924213.1	XP_026246074.1, XP_026246073.1, XP_026246075.1
OG0003011	XP_003133137.1	XP_026262440.1
OG0003012	NP_001231430.1	XP_026252817.1
OG0003014	XP_005671677.2, XP_020932267.1	XP_026245924.1
OG0003015	XP_003359784.3	XP_026245920.1
OG0003016	XP_013845597.2, XP_003125099.3	XP_026260924.1
OG0003017	NP_001230781.1, XP_013834996.1	XP_026260380.1
OG0003018	XP_003129895.1	XP_026253991.1
OG0003019	NP_001230286.1, XP_013845500.1	XP_026246275.1
OG0003020	XP_013845516.2	XP_026246326.1
OG0003021	XP_020923569.1	XP_026265202.1
OG0003022	XP_003132075.2	XP_026267137.1
OG0003023	NP_001191303.1	XP_026236288.1
OG0003024	XP_003127591.3	XP_026241873.1
OG0003025	XP_020949385.1	XP_026267212.1, XP_026267211.1
OG0003026	XP_020952705.1	XP_026248800.1
OG0003027	XP_013853653.1	XP_026255065.1
OG0003028	XP_020949701.1, XP_020949703.1, XP_020949702.1	XP_026269060.1
OG0003029	XP_020949705.1	XP_026269045.1
OG0003030	XP_020944330.1	XP_026258305.1
OG0003031	XP_020942573.1	XP_026241431.1
OG0003032	XP_003124494.2	XP_026256224.1
OG0003033	XP_003354545.2, XP_005662033.2, XP_020941974.1	XP_026252608.1, XP_026252610.1, XP_026252607.1, XP_026252612.1, XP_026252611.1, XP_026252609.1
OG0003034	XP_020941915.1, XP_020941914.1	XP_026252689.1
OG0003035	XP_020941634.1	XP_026261456.1, XP_026261455.1
OG0003036	XP_003124292.1	XP_026261445.1
OG0003037	XP_020942048.1	XP_026256228.1
OG0003038	XP_003124516.1	XP_026256222.1
OG0003039	XP_020943669.1	XP_026236730.1, XP_026236731.1
OG0003040	XP_020942190.1	XP_026258249.1
OG0003041	XP_020942302.1	XP_026235808.1
OG0003042	XP_020942564.1	XP_026241257.1, XP_026241255.1, XP_026241258.1, XP_026241256.1, XP_026241253.1
OG0003043	XP_005663686.2	XP_026264957.1, XP_026264956.1
OG0003045	XP_013852847.2	XP_026265760.1
OG0003047	XP_020951744.1	XP_026250289.1
OG0003048	XP_003130657.1	XP_026253001.1
OG0003049	XP_013835447.1, XP_013835448.1, XP_005667938.1, XP_013835449.1, XP_005667937.1, XP_003130467.1	XP_026243272.1
OG0003050	XP_020919347.1, XP_020919346.1, XP_020919349.1, XP_020919348.1	XP_026244281.1
OG0003051	XP_013845072.1, XP_013845071.1	XP_026244225.1
OG0003052	XP_020945298.1	XP_026260753.1
OG0003053	XP_020944215.1, NP_001172060.1	XP_026260718.1
OG0003054	XP_005666280.1, NP_001092063.1	XP_026261834.1, XP_026261833.1
OG0003055	XP_003356782.2	XP_026240876.1
OG0003056	XP_020955585.1, XP_013833739.1	XP_026240883.1
OG0003058	XP_005666501.1	XP_026261246.1, XP_026261244.1, XP_026261245.1
OG0003059	XP_003122388.2	XP_026251399.1
OG0003060	XP_020921750.1, NP_001243457.1	XP_026268212.1
OG0003062	XP_020922164.1	XP_026264174.1
OG0003063	XP_020922379.1, XP_013845364.2	XP_026262426.1
OG0003064	NP_001231640.1, XP_020921756.1	XP_026258052.1
OG0003065	XP_003131369.1	XP_026264047.1
OG0003066	XP_003131380.1	XP_026264029.1, XP_026264028.1
OG0003067	XP_020922596.1	XP_026238230.1
OG0003068	XP_020922722.1	XP_026242719.1
OG0003069	XP_005654002.1, XP_020922739.1, XP_003131577.1	XP_026242917.1, XP_026242918.1, XP_026242916.1
OG0003070	XP_020922763.1	XP_026242641.1
OG0003071	XP_020922792.1, XP_013836450.2, XP_020922793.1	XP_026242535.1
OG0003072	XP_005669058.1, XP_003131714.1, XP_005669059.1, XP_003131717.1	XP_026253789.1
OG0003073	XP_013845439.1	XP_026244723.1
OG0003074	XP_020923238.1	XP_026244664.1
OG0003075	XP_020923276.1	XP_026244730.1
OG0003076	NP_001116549.1	XP_026249750.1
OG0003077	XP_020923351.1	XP_026249703.1
OG0003078	XP_020936851.1	XP_026251393.1
OG0003079	XP_020936697.1	XP_026251338.1
OG0003080	NP_001138317.1, XP_005674435.1	XP_026254100.1, XP_026254102.1, XP_026254101.1
OG0003081	NP_001007192.1, XP_020946854.1	XP_026269355.1
OG0003082	XP_020947059.1, XP_013852928.1, XP_005663800.1, XP_020947060.1	XP_026250121.1, XP_026250118.1, XP_026250123.1, XP_026250122.1, XP_026250119.1
OG0003083	NP_998918.1	XP_026250130.1
OG0003084	XP_003125215.1	XP_026266104.1, XP_026241551.1
OG0003085	XP_003481249.1	XP_026242984.1
OG0003086	XP_020940438.1	XP_026253962.1
OG0003087	XP_013841770.2	XP_026270859.1
OG0003088	XP_020921311.1	XP_026235310.1
OG0003089	XP_020940804.1	XP_026246939.1
OG0003090	XP_013849244.1, XP_020923696.1	XP_026249099.1, XP_026249100.1
OG0003092	NP_001171823.1	XP_026239342.1
OG0003093	XP_003128417.2	XP_026239489.1, XP_026239487.1, XP_026239488.1, XP_026239484.1, XP_026239486.1, XP_026239485.1, XP_026239491.1, XP_026239482.1, XP_026239490.1
OG0003094	XP_005666033.1, NP_001098784.1	XP_026239301.1, XP_026239299.1
OG0003095	XP_001924975.4	XP_026250237.1
OG0003096	NP_999570.1	XP_026271070.1
OG0003097	XP_003128479.1, XP_005666157.1	XP_026271071.1
OG0003098	XP_020933363.1, XP_013841010.2	XP_026235105.1, XP_026269251.1, XP_026269252.1
OG0003099	XP_020945643.1	XP_026266768.1
OG0003100	XP_020941161.1	XP_026236532.1
OG0003101	XP_020944684.1, XP_005662954.1, XP_013852002.1, XP_020944685.1	XP_026240311.1
OG0003102	NP_001230263.1, XP_005662898.1	XP_026263538.1
OG0003103	XP_020946163.1, XP_020946165.1	XP_026265627.1
OG0003104	XP_020956818.1	XP_026242427.1
OG0003105	XP_020957009.1	XP_026241906.1
OG0003106	XP_020919018.1	XP_026255127.1
OG0003107	XP_020958029.1	XP_026268842.1
OG0003109	XP_005673329.1	XP_026257346.1, XP_026263051.1
OG0003110	NP_001231602.1, XP_020934137.1	XP_026244498.1, XP_026244499.1, XP_026244497.1
OG0003111	XP_003127835.1, XP_005665269.1	XP_026249271.1
OG0003112	XP_020952571.1	XP_026266170.1
OG0003113	XP_020951521.1, XP_020951522.1, XP_020951523.1	XP_026249264.1
OG0003114	XP_005665507.1, NP_001230789.1	XP_026253595.1
OG0003115	NP_001230569.1	XP_026253488.1
OG0003116	NP_001090982.1, NP_001092065.1	XP_026236801.1
OG0003117	NP_001116573.2, XP_005673389.1	XP_026255257.1
OG0003118	XP_020934474.1	XP_026261962.1
OG0003119	XP_020936956.1, XP_020936957.1, XP_020933259.1	XP_026251613.1
OG0003120	NP_001230497.1, XP_020930310.1	XP_026260480.1
OG0003121	XP_020933724.1, XP_020933725.1	XP_026245292.1
OG0003123	NP_001116455.1, XP_020941548.1	XP_026241805.1
OG0003124	XP_013851754.1, XP_003125379.1	XP_026271036.1, XP_026254240.1
OG0003125	XP_013851663.1	XP_026261634.1
OG0003126	XP_020942756.1, XP_020942755.1, XP_020942754.1	XP_026269877.1, XP_026269876.1
OG0003127	XP_013851302.1, XP_005662358.1	XP_026269858.1, XP_026269859.1
OG0003128	XP_020942735.1, XP_005658652.1	XP_026238512.1
OG0003130	NP_001172101.1	XP_026239903.1
OG0003131	XP_020919586.1	XP_026259449.1
OG0003132	NP_999193.1	XP_026266319.1
OG0003133	XP_020958219.1	XP_026240735.1
OG0003134	NP_001116666.1, XP_005660930.1	XP_026262293.1
OG0003135	XP_020938415.1	XP_026252239.1, XP_026252240.1, XP_026252238.1
OG0003136	XP_013849554.2	XP_026252360.1
OG0003137	XP_020938525.1, XP_020952596.1	XP_026252363.1
OG0003138	XP_003122642.2	XP_026270246.1
OG0003139	XP_003122675.1	XP_026263358.1
OG0003140	XP_020938618.1, XP_020938617.1, XP_020938620.1, XP_020938619.1	XP_026263405.1, XP_026263408.1, XP_026263407.1, XP_026263406.1, XP_026263409.1
OG0003141	XP_003135228.1	XP_026269807.1
OG0003142	NP_001191045.1, XP_013842857.1	XP_026255567.1
OG0003143	XP_020927400.1	XP_026263899.1
OG0003144	XP_020923934.1, NP_001193465.1	XP_026238907.1
OG0003145	XP_013837197.1, XP_003132279.1	XP_026239644.1
OG0003146	XP_001927890.1	XP_026239773.1, XP_026239772.1, XP_026239774.1
OG0003147	XP_005669647.1	XP_026239746.1, XP_026239745.1, XP_026239744.1
OG0003148	XP_005669593.1, XP_003132253.1	XP_026239630.1, XP_026239629.1
OG0003149	NP_001121949.1, XP_020923852.1	XP_026245867.1, XP_026245868.1, XP_026245866.1
OG0003150	XP_005652970.1	XP_026245886.1
OG0003151	XP_020939484.1	XP_026255384.1
OG0003152	XP_005654910.1, XP_003123274.1, XP_013842881.1	XP_026255481.1
OG0003153	XP_020935486.1, NP_001302667.1	XP_026260017.1, XP_026260018.1, XP_026260016.1
OG0003154	XP_003354010.1	XP_026269740.1
OG0003155	XP_020939967.1	XP_026269760.1
OG0003156	XP_013834665.2	XP_026240476.1
OG0003157	NP_001230529.1	XP_026240516.1
OG0003158	XP_013834643.1, XP_020918233.1, XP_020918230.1, XP_020918232.1, XP_013834644.1, XP_020918231.1	XP_026240486.1
OG0003159	NP_001157121.1, XP_005656677.2	XP_026256781.1, XP_026256782.1
OG0003160	XP_003357183.1	XP_026270159.1
OG0003161	XP_003122982.2	XP_026270278.1
OG0003162	XP_003122951.1	XP_026268064.1
OG0003163	XP_013835961.1	XP_026249442.1
OG0003164	NP_001231230.1	XP_026255251.1
OG0003165	XP_005668600.1, XP_005668599.1, XP_003131137.2, XP_005668598.1	XP_026255904.1
OG0003166	XP_020921652.1	XP_026237734.1
OG0003167	XP_020927016.1	XP_026244321.1
OG0003168	XP_020926991.1, XP_020926992.1	XP_026239683.1
OG0003169	XP_020926982.1	XP_026239715.1, XP_026239675.1
OG0003170	XP_020926784.1, XP_003358612.1, XP_005654084.1	XP_026237919.1
OG0003171	XP_005670002.1	XP_026248723.1
OG0003172	XP_005672877.1, XP_020933851.1, XP_003134407.1	XP_026257846.1, XP_026257847.1
OG0003174	XP_020921230.1	XP_026237703.1
OG0003175	XP_020930273.1, NP_001230879.1	XP_026251842.1, XP_026251844.1
OG0003176	XP_020928496.1	XP_026259187.1
OG0003177	XP_020928053.1	XP_026267856.1
OG0003178	XP_001929124.1	XP_026259212.1
OG0003180	NP_999195.1, XP_005670939.1	XP_026268324.1
OG0003181	XP_020948048.1, XP_020948049.1, NP_001123443.1	XP_026271064.1
OG0003184	XP_020948088.1	XP_026259084.1
OG0003185	NP_001005349.1, XP_020946792.1	XP_026259090.1, XP_026259089.1
OG0003186	XP_003126567.3	XP_026235104.1
OG0003187	XP_005655731.1, NP_998978.2	XP_026266678.1
OG0003188	XP_020948001.1	XP_026267891.1
OG0003189	NP_001231169.1	XP_026269952.1, XP_026269951.1
OG0003190	XP_020948580.1	XP_026248111.1
OG0003191	NP_999081.1, XP_005664077.1	XP_026266493.1
OG0003193	XP_020947261.1, XP_013843712.2	XP_026262885.1, XP_026262886.1
OG0003194	XP_020947300.1	XP_026262808.1
OG0003195	XP_005655627.1	XP_026254532.1
OG0003196	XP_013853026.1	XP_026254580.1, XP_026254581.1, XP_026254579.1
OG0003197	XP_020929670.1	XP_026237763.1
OG0003198	XP_020929144.1	XP_026256902.1, XP_026256901.1
OG0003199	XP_013839166.2	XP_026236417.1
OG0003200	XP_005654210.1, XP_020929536.1	XP_026266075.1
OG0003202	XP_020944972.1	XP_026246571.1
OG0003203	XP_001927136.1, XP_013852061.1	XP_026240333.1
OG0003205	XP_013833544.1	XP_026243552.1, XP_026243551.1
OG0003206	NP_001177110.1, XP_020953688.1	XP_026247680.1
OG0003207	XP_001925711.1	XP_026245826.1
OG0003208	XP_001927994.1	XP_026243617.1
OG0003209	XP_001929104.1	XP_026243518.1
OG0003210	XP_001924578.1	XP_026243597.1
OG0003211	XP_013838009.1	XP_026251927.1, XP_026251926.1, XP_026251925.1
OG0003212	XP_020957405.1	XP_026263241.1
OG0003213	XP_020957468.1	XP_026264780.1
OG0003214	XP_003129420.1	XP_026258928.1
OG0003215	NP_001230427.1	XP_026258197.1, XP_026258198.1, XP_026258196.1
OG0003216	XP_020926077.1	XP_026250459.1
OG0003217	XP_003132721.2	XP_026252038.1
OG0003218	NP_001231276.1, XP_020923873.1	XP_026250448.1, XP_026250441.1, XP_026250455.1
OG0003219	XP_020925801.1	XP_026250590.1
OG0003220	XP_020925517.1, XP_020925518.1	XP_026238607.1
OG0003221	XP_005665665.1	XP_026257959.1
OG0003222	NP_001177205.1	XP_026257234.1
OG0003223	XP_020930107.1, NP_001090892.1	XP_026248859.1
OG0003224	XP_020930707.1, XP_020930708.1	XP_026266925.1
OG0003225	XP_020930803.1, XP_003133511.1, XP_020930804.1, XP_013837670.1	XP_026245368.1
OG0003226	XP_020931384.1	XP_026255110.1, XP_026255111.1
OG0003227	XP_005672182.1, XP_005672181.1	XP_026250360.1, XP_026250361.1
OG0003228	XP_003357440.1	XP_026243319.1
OG0003229	NP_001171682.1, XP_020919636.1	XP_026243794.1, XP_026243793.1
OG0003230	XP_003130559.1, XP_005667980.1	XP_026243774.1
OG0003231	XP_020945237.1	XP_026263758.1
OG0003232	XP_013842001.2	XP_026268603.1
OG0003233	XP_020936245.1	XP_026252531.1, XP_026252526.1, XP_026252527.1, XP_026252530.1, XP_026252532.1, XP_026252529.1
OG0003234	XP_001925750.1, XP_005673578.1	XP_026258400.1
OG0003235	XP_003360330.1	XP_026269531.1
OG0003236	NP_001265696.1	XP_026262553.1
OG0003237	XP_020935192.1, NP_001001860.1	XP_026237384.1
OG0003238	XP_005673716.1	XP_026263200.1, XP_026263199.1
OG0003239	XP_005673976.1	XP_026270949.1, XP_026270948.1
OG0003240	XP_020936486.1	XP_026261383.1
OG0003242	NP_001033721.1	XP_026236868.1
OG0003244	XP_003128330.2, XP_020937578.1, XP_020938178.1	XP_026269170.1, XP_026237274.1, XP_026269169.1
OG0003247	XP_013837378.1, NP_998972.1	XP_026238904.1
OG0003248	XP_003129059.1	XP_026251630.1
OG0003249	NP_999037.1, XP_020937935.1	XP_026247254.1
OG0003250	XP_020953267.1	XP_026236478.1
OG0003251	NP_001005154.2	XP_026263178.1
OG0003252	XP_020937252.1, NP_999566.1	XP_026251636.1
OG0003253	XP_003126622.1	XP_026266756.1
OG0003254	XP_013837024.2, NP_001001620.1	XP_026245853.1
OG0003255	XP_013848160.2	XP_026248554.1
OG0003257	XP_005659206.2	XP_026257734.1
OG0003258	NP_999262.1, XP_013844332.2	XP_026264771.1
OG0003259	NP_998908.1	XP_026270842.1
OG0003260	NP_999141.1, XP_020946779.1	XP_026271250.1
OG0003261	NP_999098.1	XP_026237520.1
OG0003262	XP_003353898.2	XP_026262277.1
OG0003263	XP_020926413.1	XP_026257828.1, XP_026257829.1, XP_026257827.1
OG0003264	NP_001007518.1	XP_026269879.1
OG0003265	XP_020926606.1	XP_026249323.1
OG0003266	XP_020940943.1	XP_026260750.1
OG0003267	XP_020946834.1, NP_999517.1	XP_026254816.1
OG0003268	XP_020953340.1	XP_026259375.1
OG0003269	XP_020948936.1, NP_001182273.1	XP_026262151.1
OG0003270	XP_020950491.1, XP_020950492.1	XP_026262005.1
OG0003271	NP_001098777.2	XP_026265015.1
OG0003272	XP_020938401.1, XP_005660678.3	XP_026252259.1
OG0003273	XP_020941825.1	XP_026265057.1
OG0003274	NP_001090947.1, XP_020923829.1, XP_003480329.1	XP_026257395.1
OG0003275	NP_001254774.1, XP_020919669.1	XP_026268277.1
OG0003276	XP_020927639.1, NP_001136299.1	XP_026268125.1
OG0003277	XP_003358422.1	XP_026257394.1
OG0003278	NP_999385.1, XP_020938661.1	XP_026255721.1
OG0003279	NP_001020392.1, XP_020939384.1	XP_026247286.1
OG0003280	XP_013844819.1, XP_003129333.2, XP_003357106.1	XP_026253903.1, XP_026253902.1
OG0003281	XP_003357662.2, XP_005656830.1, XP_020942134.1, XP_013845135.1	XP_026247935.1
OG0003282	XP_020922639.1, XP_020922635.1, XP_020931338.1	XP_026235259.1
OG0003283	XP_013842716.1, XP_020937090.1, XP_020938025.1, XP_020937091.1, XP_020936958.1	XP_026237426.1
OG0003284	XP_003124229.1	XP_026235014.1
OG0003285	XP_013852364.2	XP_026236603.1
OG0003285	XP_003355171.1, XP_020946474.1	XP_026236604.1
OG0003286	XP_020956193.1	XP_026237826.1
OG0003287	XP_020931214.1, XP_020931202.1, XP_020931182.1, XP_020931195.1, XP_005660290.1	XP_026235792.1
OG0003288	XP_005674521.2	XP_026257153.1
OG0003290	XP_013849425.1	XP_026236897.1
OG0003291	XP_020955704.1, XP_020955690.1, XP_020955694.1, XP_020955700.1	XP_026248995.1
OG0003292	XP_013848326.1, XP_020949035.1, XP_013848328.1	XP_026265754.1
OG0003293	XP_003121492.3	XP_026249554.1, XP_026249553.1
OG0003294	XP_020920071.1	XP_026268824.1
OG0003295	NP_001182299.1	XP_026263170.1
OG0003296	XP_013854363.1	XP_026235525.1
OG0003297	NP_999181.1	XP_026269665.1
OG0003298	XP_020950721.1, XP_020950718.1, XP_020950720.1, XP_020950722.1, XP_005664910.1, XP_005664909.1	XP_026237010.1
OG0003299	XP_020950658.1	XP_026237181.1
OG0003300	XP_020950435.1, XP_013854139.2, XP_013854137.2, XP_020950434.1, XP_020950436.1, XP_013854138.2, XP_005664823.2, XP_003127401.2, XP_003127402.2	XP_026262184.1
OG0003301	XP_020953214.1	XP_026238171.1
OG0003302	XP_013853986.2	XP_026266235.1
OG0003303	XP_020950214.1	XP_026259489.1
OG0003304	XP_005664612.3	XP_026235046.1
OG0003305	XP_003127060.3	XP_026247023.1, XP_026247022.1
OG0003306	XP_020949913.1	XP_026246997.1
OG0003307	XP_020920624.1	XP_026260951.1
OG0003308	XP_005656884.1, NP_999126.1	XP_026236800.1
OG0003309	XP_005655843.1, XP_013843978.1, XP_003355848.1, XP_005655844.1	XP_026251497.1
OG0003310	XP_020952758.1	XP_026248074.1
OG0003311	XP_020951260.1	XP_026247428.1
OG0003312	XP_020953220.1	XP_026266089.1
OG0003314	XP_020937855.1, XP_013841744.1	XP_026267718.1, XP_026267717.1
OG0003315	XP_013848686.2	XP_026250524.1, XP_026250523.1
OG0003316	XP_020954217.1, XP_013848687.1	XP_026250511.1
OG0003317	XP_020918229.1	XP_026243981.1
OG0003318	XP_001929217.2	XP_026243983.1, XP_026264806.1
OG0003319	XP_003356701.3	XP_026243970.1
OG0003321	XP_001926864.1	XP_026249511.1
OG0003322	XP_013837145.1, NP_999408.1	XP_026255339.1
OG0003323	XP_020940031.1	XP_026253940.1
OG0003324	XP_020932473.1	XP_026238152.1
OG0003325	XP_013840358.2, XP_013840357.2	XP_026244105.1
OG0003326	XP_013850780.1, XP_003124138.3	XP_026240225.1
OG0003327	NP_001231654.1	XP_026241725.1
OG0003328	XP_020932308.1	XP_026235961.1
OG0003329	XP_020949683.1, XP_020949686.1, XP_020949688.1, XP_020949685.1, XP_020949687.1	XP_026248415.1, XP_026248416.1
OG0003330	XP_003130033.2, XP_020918713.1	XP_026258511.1, XP_026258480.1
OG0003331	XP_005667542.1, NP_001231651.1	XP_026260399.1
OG0003332	NP_001231750.1	XP_026252114.1
OG0003333	XP_003131992.1	XP_026246312.1
OG0003334	XP_020923629.1	XP_026236114.1
OG0003335	XP_005653389.2	XP_026270623.1
OG0003336	XP_020950937.1	XP_026253687.1
OG0003337	XP_003127587.1	XP_026253677.1
OG0003339	XP_013843931.1	XP_026267209.1, XP_026267210.1
OG0003340	XP_020952704.1, XP_020929682.1	XP_026248779.1, XP_026248780.1, XP_026248778.1
OG0003341	XP_005664390.1	XP_026264909.1
OG0003342	XP_020949464.1, XP_020949463.1, XP_020949462.1	XP_026254998.1, XP_026254997.1, XP_026254996.1
OG0003343	XP_020949516.1, XP_020949515.1	XP_026255031.1
OG0003344	XP_003126971.1	XP_026269055.1
OG0003345	NP_001001649.2	XP_026248412.1
OG0003346	XP_020942017.1, XP_003124484.1, XP_003481059.1	XP_026256110.1
OG0003347	XP_020941924.1	XP_026252627.1
OG0003348	XP_020941894.1	XP_026268938.1
OG0003349	XP_020941804.1	XP_026259986.1
OG0003350	XP_020941745.1	XP_026260003.1
OG0003351	XP_020942088.1	XP_026236742.1
OG0003352	NP_001103892.1, XP_020936970.1	XP_026247890.1
OG0003353	XP_020942149.1, XP_020942150.1	XP_026247864.1
