Orthogroup	Sus_scrofa	Mesocricetus_auratus
OG0001211	XP_020920867.1	XP_012974445.1
OG0001212	XP_003482440.1	XP_005076202.1
OG0001213	XP_013840464.2	XP_012972641.1
OG0001214	XP_005671764.1, NP_001161101.2	XP_005066729.1
OG0001215	XP_020943480.1	XP_012975277.1
OG0001215	NP_001116515.1, XP_005665302.1	XP_005084398.1
OG0001216	XP_020938198.1	XP_005064277.1
OG0001219	XP_003358743.1	XP_040610435.1
OG0001219	XP_013834435.2	XP_012977902.1
OG0001220	NP_001232905.1, XP_020924113.1	XP_005072052.1
OG0001221	XP_020926911.1, XP_020925471.1	XP_040596298.1, XP_005080808.2, XP_005080809.1
OG0001222	XP_020933214.1, XP_005672978.1	XP_005084651.1
OG0001223	XP_020933495.1	XP_040588698.1
OG0001224	XP_013840921.1, NP_001116543.1	XP_040588707.1, XP_005074492.1
OG0001225	XP_013840913.1, NP_001106921.1	XP_005074494.1
OG0001226	XP_020928658.1	XP_040590976.1
OG0001227	XP_020947345.1, XP_020947346.1, XP_013840212.2	XP_040608716.1, XP_040609696.1, XP_040609701.1
OG0001228	NP_001231440.1	XP_005067372.1, XP_012966482.1
OG0001229	XP_005652658.2, XP_020948083.1	XP_040594534.1, XP_040594533.1, XP_040594531.1, XP_040594532.1
OG0001230	XP_003126576.1, XP_005652655.1, XP_003355646.1, XP_001925656.2	XP_005066057.1
OG0001231	XP_003355581.1	XP_040599592.1, XP_040599595.1, XP_040599593.1, XP_040599594.1, XP_021084562.1
OG0001232	XP_013853439.2, XP_020948279.1, XP_020948278.1	XP_040610168.1, XP_040610169.1, XP_012966561.2
OG0001233	XP_003355464.2	XP_005067356.1
OG0001234	NP_001230051.1, XP_020927624.1	XP_012974285.1
OG0001235	XP_005654504.1	XP_040602136.1, XP_021081892.1, XP_040602137.1
OG0001236	XP_001925326.1, XP_005659656.1, XP_013848440.1, XP_005659658.1, XP_020950998.1, XP_020950993.1	XP_005073783.2, XP_005073784.2
OG0001237	XP_020950657.1, XP_020950653.1	XP_040595875.1, XP_040595874.1, XP_021085041.1
OG0001238	XP_020950160.1, XP_013848372.1, XP_020950164.1, XP_020950175.1, XP_020950178.1, XP_020950155.1, XP_020950144.1, XP_013848371.1	XP_040595908.1
OG0001239	XP_001925266.3, XP_013848769.1, XP_020955948.1	XP_040595616.1, XP_040595617.1, XP_040595618.1, XP_040595619.1
OG0001240	XP_013833541.1, XP_020954724.1, XP_005666215.1, XP_001928183.1, XP_005666216.1	XP_005069663.2
OG0001241	XP_020926604.1	XP_005073868.2, XP_012971680.1, XP_040606415.1
OG0001242	XP_003129301.1, XP_003129300.1, XP_005656602.1	XP_012978049.1
OG0001243	XP_020957433.1, XP_020957431.1, XP_020957434.1	XP_005076424.1
OG0001243	XP_020956056.1, NP_001230551.1	XP_005076422.1
OG0001245	XP_005670021.1, NP_001132945.1	XP_040608572.1
OG0001246	XP_005665691.1	XP_040611658.1, XP_040611660.1
OG0001247	NP_001028185.1, XP_013852272.1, XP_020945181.1, XP_020945179.1, XP_020945180.1	XP_012969846.3
OG0001248	XP_013841713.1, XP_013841715.1, XP_013841714.1, XP_013841716.1, XP_020936518.1, XP_020936517.1, XP_013841717.1	XP_021078580.1, XP_040600258.1, XP_021078579.1, XP_040600260.1, XP_040600259.1, XP_021078584.1, XP_021078582.1
OG0001249	XP_003134970.1	XP_012971911.1
OG0001250	NP_001231738.1	XP_040604511.1
OG0001251	XP_013841875.1	XP_040600515.1, XP_040600520.1, XP_040600512.1, XP_040600522.1, XP_040600519.1, XP_040600523.1, XP_040600513.1, XP_040600521.1, XP_040600514.1, XP_040600516.1, XP_040600518.1, XP_040600517.1
OG0001252	XP_020944471.1, XP_020944474.1, XP_020944476.1, XP_020944477.1, XP_020944472.1, XP_020944473.1, XP_020944475.1	XP_040592238.1, XP_005085505.1
OG0001253	XP_005654741.1, NP_999424.1	XP_005064867.1
OG0001254	XP_020922136.1	XP_005078789.1
OG0001254	XP_003121807.3	XP_012972895.1
OG0001255	NP_001157119.1, XP_005672578.1	XP_012980590.1, NP_001268595.1
OG0001256	NP_001230139.1, XP_020934812.1	XP_012970159.1, NP_001268806.1
OG0001257	NP_001182259.1, XP_005670993.1	XP_021087139.1, XP_012974148.1, XP_005077567.1
OG0001258	NP_998926.1, XP_005653633.1	XP_005080135.2
OG0001259	XP_003123142.1, XP_013850183.1, XP_013850182.1, XP_013850184.1	XP_040594541.1, XP_040594542.1
OG0001260	XP_020933475.1	XP_012979889.1, XP_012979887.1, XP_012979890.1
OG0001261	XP_020934291.1	XP_012977671.1
OG0001262	XP_005652973.1	XP_005086186.1
OG0001262	NP_999376.1	XP_005086185.1
OG0001263	XP_005671237.1, NP_001191696.1	XP_040603633.1, XP_040603634.1, XP_005077686.1, XP_040603632.1
OG0001264	NP_999117.1	XP_040602228.1
OG0001264	NP_001161061.1	XP_040600880.1, XP_040602227.1
OG0001265	NP_001231035.1, XP_005665953.2	XP_005084934.1
OG0001266	XP_020949263.1, NP_001038049.1	XP_040607495.1, XP_040607494.1
OG0001267	XP_020937332.1, XP_020947423.1, XP_005655637.1	XP_005079862.1
OG0001267	XP_020936950.1, XP_020937334.1	XP_005079737.1
OG0001268	XP_020918064.1	XP_005074136.2, XP_040587665.1, XP_040589654.1
OG0001269	XP_003482596.3	XP_040613336.1, XP_005074133.2
OG0001271	NP_001116579.1	XP_040588813.1
OG0001271	XP_020954982.1	XP_005065442.1
OG0001272	XP_003134345.1	XP_040602393.1
OG0001272	NP_001231313.1	XP_005086504.1, XP_012980973.1
OG0001273	XP_020950137.1	XP_040590334.1
OG0001274	XP_013853955.1, XP_020950020.1, XP_005664655.1, XP_003355937.1, XP_005664654.1	XP_040590272.1, XP_040590269.1, XP_040590273.1, XP_012980836.1, XP_040590274.1, XP_012980835.1, XP_040590268.1, XP_040590271.1
OG0001275	NP_001302727.1	XP_040591353.1
OG0001276	NP_999325.1	XP_005085496.3
OG0001277	XP_013843072.1, XP_020940607.1, XP_003124058.1, XP_013843071.1	XP_012968217.1
OG0001278	XP_020940612.1, XP_020940613.1, XP_020940609.1, XP_020940614.1, XP_020940610.1, XP_020940611.1	XP_021082306.1, XP_012968215.1, XP_012968213.1
OG0001279	NP_001231149.1	XP_040584906.1
OG0001280	XP_020954566.1	XP_012974379.1, XP_040585506.1, XP_040585499.1, XP_040585492.1, XP_040585495.1
OG0001282	XP_005671202.1, NP_999275.1	XP_012976627.1, XP_021089172.2
OG0001283	XP_020928665.1, XP_003133138.1	XP_040603594.1, XP_005081048.1, XP_040603592.1, XP_012976621.1, XP_040603591.1, XP_040603593.1
OG0001284	XP_005655032.1, NP_001092072.1	XP_005078389.1
OG0001284	XP_020928338.1	XP_040599822.1
OG0001285	XP_020932652.1	XP_040584767.1, XP_040584768.1, XP_040584764.1, XP_040584770.1, XP_040584766.1, XP_040584769.1, XP_040584765.1
OG0001286	XP_020940080.1	XP_021087702.1
OG0001286	XP_005656612.1	XP_040594207.1, XP_040607653.1
OG0001287	XP_003129992.1	XP_005069460.1
OG0001289	XP_020923591.1	XP_040604732.1
OG0001289	XP_020923605.1	XP_040604739.1
OG0001290	XP_003356155.1, XP_005653397.1, XP_005653398.1	XP_012975390.1, XP_005079285.1
OG0001291	XP_003127560.1	XP_005079309.1
OG0001291	XP_020936201.1	XP_005076894.1
OG0001292	XP_005664427.2	XP_005073087.1, XP_012971131.1
OG0001293	XP_005653060.1, XP_005653058.1, XP_005653059.1	XP_012967164.1
OG0001295	NP_001007194.1, XP_005668067.2	XP_005073438.1, XP_005073439.1
OG0001296	XP_003130501.1	XP_040594522.1
OG0001297	NP_001090951.1	XP_012974683.1
OG0001298	XP_020954907.1, XP_020954906.1	XP_040596504.1
OG0001299	XP_020936799.1	XP_012978771.1, XP_040601136.1, XP_040601135.1, XP_012978772.1
OG0001300	XP_020936715.1, XP_005660603.2, XP_005660602.2	XP_040601080.1, XP_012980193.1
OG0001301	XP_013849369.1	XP_040600996.1
OG0001302	XP_020947011.1	XP_040609950.1, XP_040609945.1, XP_040609946.1, XP_040609948.1, XP_040609947.1, XP_040609949.1
OG0001303	XP_020943115.1, XP_020943114.1, XP_020943113.1	XP_040589123.1, XP_040589125.1
OG0001304	XP_003354308.1	XP_005069153.1
OG0001305	XP_020940501.1, XP_020940504.1, XP_020940502.1, XP_020940505.1, XP_020940503.1	XP_040614027.1
OG0001306	XP_020939965.1	XP_040593893.1, XP_005074298.1
OG0001306	XP_020920359.1	XP_005078911.1
OG0001308	XP_005665942.1	XP_012979777.1
OG0001309	XP_020954331.1	XP_005072448.2
OG0001310	XP_020954336.1	XP_005072442.1, XP_040585224.1, XP_040585217.1, XP_040585225.1, XP_040585222.1, XP_040585218.1, XP_040585221.1, XP_040585219.1, XP_040585223.1, XP_040585220.1, XP_040585228.1, XP_040585226.1
OG0001311	XP_001929257.1	XP_005072404.1
OG0001312	NP_998947.1	XP_005072345.1
OG0001312	NP_001093402.1	XP_021080746.2, XP_040600252.1
OG0001313	XP_001929671.1, XP_020954219.1	XP_040585235.1
OG0001314	XP_020956355.1	XP_005075640.1, XP_040605684.1
OG0001315	XP_020958173.1, XP_003357526.1, XP_020958172.1	XP_040594311.1, XP_005087175.1
OG0001316	XP_020952393.1, XP_020952395.1, XP_020952394.1	XP_040612841.1, XP_040612839.1, XP_040612840.1
OG0001317	XP_020948419.1	XP_012967382.2
OG0001318	XP_005666898.1	XP_012974319.1
OG0001320	XP_020934573.1, XP_020934575.1, XP_020934574.1	XP_040597000.1, XP_040597161.1, XP_012981492.1
OG0001321	XP_005671768.1, NP_001177139.1	XP_040587769.1, XP_040587770.1, XP_005066721.1
OG0001322	XP_013843386.1, XP_005655320.1	XP_040586643.1, XP_040586644.1
OG0001323	XP_020942975.1	XP_012974705.1, XP_012974707.1
OG0001324	XP_001929702.4	XP_012979256.1, XP_040608170.1, XP_005084329.1
OG0001325	XP_020945524.1, XP_020945525.1, XP_003125815.1	XP_012979248.1, XP_012979249.1, XP_012979246.1, XP_012979250.1, XP_005084354.1
OG0001326	NP_001188314.1	XP_012970148.1, XP_005071869.1
OG0001327	XP_020958264.1, XP_020958261.1, XP_020958263.1, XP_020958262.1	XP_012973307.1
OG0001328	NP_999335.1, XP_005661088.1	XP_040601875.1
OG0001329	NP_001138690.1, XP_020932844.1	XP_005064946.1, XP_040601834.1
OG0001330	XP_020938242.1	XP_040607314.1
OG0001330	XP_020938146.1	XP_040607306.1
OG0001331	XP_020938285.1, XP_020938286.1, XP_020938284.1, XP_020938287.1, XP_020938282.1, XP_020938288.1, XP_020938283.1, XP_020938289.1	XP_012971940.1, XP_040606896.1
OG0001332	NP_999514.1	XP_012969206.1, XP_005064115.1
OG0001333	XP_003122578.1, XP_005660747.1, XP_020938482.1	XP_005064056.1, XP_040605385.1
OG0001334	XP_013837430.1, NP_001177214.1	XP_040594059.1
OG0001336	XP_005661423.1, XP_013850259.1, XP_013850258.1, XP_005661421.1, XP_005661422.1	XP_005083393.1
OG0001337	XP_020927284.1	XP_021085703.1
OG0001338	XP_020933526.1, XP_003359929.1, XP_020933524.1, XP_020933525.1	XP_005068719.1
OG0001339	XP_020934012.1, XP_020934011.1, XP_020934015.1, XP_020934014.1	XP_021081999.1, XP_012967873.1
OG0001340	XP_013845222.2	XP_040607311.1, XP_040607309.1, XP_040607310.1
OG0001341	XP_020921153.1, XP_020921154.1, XP_020921152.1, XP_020921155.1, XP_020921151.1	XP_040607294.1, XP_040607293.1
OG0001342	XP_020929869.1, XP_020929877.1	XP_040587394.1, XP_005080752.1
OG0001343	NP_001092059.1, XP_005670822.1	XP_005078970.2
OG0001344	XP_013838526.1	XP_005068967.1
OG0001345	XP_003355677.2	XP_040609842.1, XP_040609844.1, XP_040609843.1, XP_040609839.1, XP_040609840.1, XP_040609841.1
OG0001346	XP_020948269.1	XP_012966472.1, XP_021081161.1, XP_012966473.1
OG0001347	NP_001172081.1, XP_020946623.1	XP_021081250.1
OG0001348	XP_020927729.1, NP_998946.1	NP_001268514.1, XP_040590422.1, XP_005063232.2, XP_040599966.1, NP_001268515.1
OG0001349	XP_020928330.1	XP_040599799.1
OG0001350	XP_001927528.1	XP_040598757.1
OG0001351	XP_005671519.2	XP_040598705.1, XP_012967377.1, XP_021084713.1, XP_012967384.1
OG0001352	XP_005659698.1	XP_005068595.2
OG0001353	XP_001927907.1, XP_020954712.1, XP_013833525.1	XP_040585617.1
OG0001354	XP_020957371.1	XP_040607708.1
OG0001355	XP_005670157.2	XP_012969954.1, XP_012969953.1, XP_040606878.1
OG0001356	XP_020925748.1, XP_020925749.1, XP_020925747.1, XP_020925750.1	XP_040606897.1, XP_040606898.1, XP_040606895.1
OG0001357	XP_001928344.1	XP_012965985.1
OG0001358	XP_005672089.1, NP_001231941.1	XP_012979436.1, XP_012979435.1, XP_005084548.1
OG0001359	NP_998961.1, XP_020936536.1	NP_001268490.1, XP_040600106.1, XP_040599757.1, XP_040599758.1, XP_040597177.1, XP_040600104.1, XP_040600105.1, XP_040596990.1, XP_040599755.1
OG0001360	XP_020935579.1	XP_040599810.1
OG0001361	XP_013841468.1, XP_020936180.1	XP_012982000.1, XP_012982001.1, XP_012981999.1, XP_012982002.1
OG0001362	XP_005673630.1, NP_001070688.1	NP_001268634.1
OG0001363	XP_013841562.1	XP_005085153.1
OG0001364	XP_020936242.1	XP_021091881.1, XP_005085618.1
OG0001365	XP_020935331.1	NP_001268873.1, XP_012981307.1
OG0001372	XP_013841525.2, NP_001001864.1	XP_040589639.1
OG0001372	NP_001001640.1, XP_005673626.1	XP_005080602.1
OG0001373	NP_001038024.1	XP_005064128.1
OG0001373	NP_001038025.1	XP_040587038.1
OG0001374	NP_001161111.1	XP_040593141.1, XP_040593140.1
OG0001375	XP_020919592.1	XP_040602576.1
OG0001375	XP_005667966.1	XP_012979749.1
OG0001376	XP_020923688.1	XP_040604689.1
OG0001377	XP_005660499.1	XP_040599318.1, XP_005087587.1, XP_040600860.1
OG0001378	XP_020919646.1, NP_001231092.1	XP_040596123.1, XP_040596119.1, XP_040596127.1, XP_040596131.1
OG0001380	NP_001032223.1	XP_005082388.1, XP_040609061.1, XP_040608129.1, XP_040607421.1
OG0001381	XP_003483030.1	XP_040587625.1, XP_040605624.1
OG0001381	NP_001001635.1	XP_005082385.1
OG0001382	XP_020920570.1	XP_040602477.1, XP_040602478.1, XP_005063828.1
OG0001383	NP_999557.2	XP_040610764.1, XP_040610767.1, XP_040610766.1, XP_040610765.1, XP_005081550.2
OG0001384	XP_003125729.1	XP_005077779.1
OG0001385	XP_020945498.1	XP_040608225.1
OG0001385	XP_020945466.1	XP_005080287.2
OG0001386	XP_003357580.1, XP_020919259.1	XP_040596378.1, XP_040596386.1
OG0001387	XP_005660960.1, XP_020937797.1, XP_020940705.1, XP_020940704.1	XP_012974805.1
OG0001388	XP_020918076.1	XP_005074127.1
OG0001389	XP_020937335.1, XP_020947417.1, XP_020936951.1, XP_005663928.1	XP_005079863.1
OG0001390	XP_005667532.1, XP_020918716.1, XP_013834978.1	XP_040586075.1, XP_012968329.2
OG0001391	XP_020937919.1, XP_013849283.2, XP_020937912.1, XP_003122179.3	XP_040591628.1, XP_040591521.1
OG0001392	XP_013854524.1	XP_005074162.1
OG0001392	XP_003129567.2, XP_013854443.2	XP_012971730.2, XP_005074206.1, XP_005074207.1
OG0001393	XP_020941843.1, XP_003124375.3, XP_003124372.3, XP_003124378.2, XP_003124377.2, XP_003124379.1, XP_005661952.1	XP_040587148.1, XP_040587149.1
OG0001394	XP_020923312.1	XP_005067861.3, XP_012967026.3
OG0001395	XP_020928481.1	XP_040612098.1
OG0001395	XP_020952744.1	XP_040592496.1
OG0001396	XP_020950655.1	XP_012979179.2
OG0001396	XP_020938244.1	XP_021083294.1
OG0001398	XP_005653317.1, XP_003127051.1	XP_040591440.1, XP_005081817.1, XP_040591439.1
OG0001399	XP_020920550.1	XP_005082734.1
OG0001400	XP_003124057.2, XP_013843063.2	XP_021082312.1, XP_021082314.1, XP_012968105.1, XP_021082313.1, XP_005069255.1, XP_021082316.1, XP_021082315.1
OG0001401	XP_020940621.1	XP_005069229.1
OG0001401	XP_020956652.1	XP_040602943.1
OG0001402	XP_005665191.1	XP_012975579.1, XP_005079639.1
OG0001403	NP_998904.1, XP_020949108.1	XP_012975684.1
OG0001404	XP_020925140.1	XP_005072079.1
OG0001404	XP_020951158.1	XP_040612268.1
OG0001405	XP_001927037.1	XP_040585697.1, XP_005069614.1
OG0001406	XP_005661546.2	XP_005065554.1
OG0001407	NP_999436.2	XP_005077831.1
OG0001408	XP_003128500.1, XP_005666166.1, XP_003128501.1	XP_005077895.1
OG0001409	XP_003130060.1, XP_003130061.1, XP_020958346.1	XP_040586017.1, XP_040585952.1, XP_021082356.1, XP_005069419.1
OG0001410	XP_020918702.1	XP_040586137.1, XP_040585946.1, XP_040586181.1, XP_012968475.1, XP_005069312.1
OG0001411	XP_020923382.1	XP_005067508.1
OG0001411	XP_005670961.1	XP_021083187.1
OG0001412	XP_020952730.1	XP_040592302.1
OG0001413	XP_020949815.1, XP_020949811.1, XP_020949813.1, XP_020949816.1, XP_020949810.1, XP_020949812.1, XP_020949814.1	XP_012973325.1
OG0001414	NP_001182285.1	XP_005080477.1, XP_012976183.1
OG0001415	XP_020923113.1	XP_040605214.1
OG0001415	XP_020942543.1	XP_012977158.1
OG0001416	XP_013852743.2	XP_021086638.2
OG0001417	XP_003354569.1, XP_005662079.1, XP_005662080.1	XP_005080500.1
OG0001418	XP_013843148.1, XP_003124297.1, XP_013843149.1, XP_020941625.1	XP_005080042.1
OG0001419	NP_001182252.1, XP_020921722.1	XP_005077039.2
OG0001419	NP_999391.1	XP_040607182.1
OG0001420	XP_020941593.1, XP_020941591.1, XP_020941594.1, XP_020941592.1, XP_020941597.1, XP_020941596.1	XP_005080058.1
OG0001421	XP_005655132.1	XP_012967090.1
OG0001422	XP_020941522.1, NP_999505.1	XP_040610708.1
OG0001423	XP_020942118.1	XP_040611040.1
OG0001424	XP_020938081.1, XP_003127976.1	XP_005083527.1
OG0001425	XP_005667607.2	XP_040595071.1, XP_005079951.1
OG0001426	XP_020955359.1	XP_040598445.1
OG0001426	NP_001231050.1, XP_005653825.1	XP_040593782.1
OG0001427	XP_001924782.1, XP_020945321.1, XP_020945320.1	XP_040608460.1, XP_040608461.1
OG0001428	XP_020921752.1, NP_001231613.1	XP_040605980.1, XP_040590696.1
OG0001429	XP_020948933.1, XP_020948934.1, XP_020948940.1, XP_020948925.1, XP_020948928.1, XP_020948938.1	XP_012973516.1, XP_012973514.1, XP_005076498.1, XP_012973515.1
OG0001430	NP_001038008.1	XP_040600727.1
OG0001431	XP_020937323.1, XP_020937322.1, XP_020937320.1, XP_020937324.1, XP_020937321.1, XP_020953279.1	XP_012967649.1, XP_005068379.1
OG0001432	XP_020937266.1	XP_040598269.1
OG0001433	XP_005653913.2	XP_012968864.1
OG0001434	XP_020922512.1	XP_040605748.1, XP_021082844.1, XP_005070311.1
OG0001435	XP_013836370.1	XP_012968810.1
OG0001436	XP_020921918.1, NP_001038060.2	XP_040605400.1
OG0001436	XP_020941688.1	XP_040607210.1
OG0001437	NP_001191702.1	XP_040605392.1, XP_040605391.1
OG0001438	XP_013843760.1, XP_003481664.1, XP_005655656.1	XP_021088446.1
OG0001439	XP_003126408.3	XP_012976985.1, XP_012976986.1, XP_005081575.1
OG0001440	XP_020947217.1, XP_020947223.1, XP_020947219.1, XP_020947216.1, XP_020947221.1, XP_003126127.1, XP_020947218.1, XP_013843674.1, XP_020947222.1	XP_040611116.1
OG0001441	XP_003125124.1	XP_040589142.1, XP_005070458.1
OG0001442	NP_001121938.1, XP_020953630.1	XP_040585256.1
OG0001443	XP_001929599.2	XP_005072383.1
OG0001444	XP_020946139.1	XP_040592263.1, XP_040592262.1
OG0001445	XP_020938998.1	XP_005067755.1
OG0001446	XP_003134825.1, XP_005673302.1	XP_040598232.1, NP_001297507.1
OG0001447	XP_020951527.1, XP_020951528.1, XP_020951530.1, XP_020951529.1	XP_005079518.1, XP_012975678.1, XP_040612537.1
OG0001448	XP_003361389.3	XP_012975607.1
OG0001449	XP_020934752.1	XP_040584479.1
OG0001450	XP_020933510.1	XP_012966333.1, XP_012966335.1, XP_012966334.1, XP_040587759.1, XP_012966336.1, XP_005066635.1, XP_012966332.1
OG0001452	XP_003125353.1	XP_005073581.1
OG0001454	XP_005660731.1, XP_003353822.1, XP_003353821.1	XP_005064072.1
OG0001455	XP_013837208.1	XP_040595484.1
OG0001456	NP_001230784.1, NP_001230783.1	XP_040586013.1, XP_005078623.1, XP_040586012.1
OG0001457	XP_020939684.1	XP_040595153.1
OG0001457	XP_020939682.1	XP_040595162.1
OG0001458	XP_013849717.2	XP_021081388.1, XP_005063323.1
OG0001459	XP_020920946.1	XP_040596480.1
OG0001459	XP_013846460.1	XP_040600574.1
OG0001460	XP_013836070.2, XP_013836069.2, XP_013836068.2	XP_005070368.1, XP_012968998.1, XP_012968999.1
OG0001461	XP_005669444.1, NP_001230482.1	XP_012977696.1, XP_005082372.1
OG0001462	XP_020933883.1	XP_005074583.1
OG0001463	XP_003133777.1, XP_020930975.1, XP_003133773.1	XP_021089837.2, XP_005082331.1
OG0001464	XP_020931315.1	XP_005082603.1, XP_021090032.1
OG0001465	XP_003483504.1	XP_040602759.1
OG0001466	NP_001116662.1	XP_005080694.1
OG0001467	XP_001929045.2, XP_005670846.2	XP_012967876.1, XP_012967877.1
OG0001468	XP_020947332.1, XP_020947331.1, XP_020947330.1	XP_021081229.1, XP_021081230.1, XP_021081227.1, XP_021081228.1
OG0001469	XP_003126253.1	XP_040609632.1, XP_040609634.1, XP_040609633.1
OG0001470	NP_001177133.1	XP_005069764.1
OG0001471	XP_003483568.1	XP_012965716.1, XP_012965715.1
OG0001472	XP_005671347.1, NP_001230583.1	XP_040600857.1
OG0001473	XP_005667068.2, NP_001232908.1	XP_005076435.1
OG0001473	XP_001927156.2	XP_040599968.1
OG0001474	XP_013839196.1, XP_013839197.1, XP_001926894.1, XP_013839198.1, XP_020928989.1	XP_012968758.1, XP_005063481.1
OG0001475	XP_020953450.1, XP_020953461.1, XP_020953445.1	XP_012978108.1, XP_012978115.1
OG0001476	XP_001929271.1	XP_005069635.1
OG0001477	XP_020926563.1, XP_020926566.1, XP_020926564.1, XP_020926562.1, XP_020926568.1, XP_020926565.1, XP_020926561.1, XP_020926567.1	XP_040606457.1
OG0001478	XP_020923998.1, NP_001155114.1	XP_012971618.1
OG0001479	XP_020955988.1, NP_001302591.1	XP_005077198.1, XP_040607839.1
OG0001480	XP_013834501.2, XP_013834500.2	XP_021086523.1
OG0001481	XP_020924027.1, NP_001165840.1	XP_012969947.1, XP_040606258.1
OG0001482	XP_005670016.1, XP_013837628.1, XP_005670018.1, XP_005670015.1	XP_012980416.1, XP_040608582.1
OG0001483	NP_001162172.1	XP_005087252.1
OG0001484	XP_005671982.1, XP_001925033.2	XP_040601459.1, XP_040601458.1
OG0001485	NP_001241645.1	XP_040594870.1, XP_040609539.1, XP_040609538.1, XP_012969889.2
OG0001486	XP_020930225.1, NP_001137170.1	XP_021083008.1, XP_021083009.1, XP_040609173.1, XP_005070498.1, XP_021083005.1
OG0001487	XP_005667971.1, XP_013835471.1, XP_013835470.1	XP_040594212.1, XP_012971283.1, XP_005073522.1
OG0001488	XP_003135184.2, XP_020937572.1	XP_040600146.1, XP_005088793.3
OG0001489	XP_020936349.1	XP_012977765.1
OG0001490	XP_005673887.1	XP_040600439.1
OG0001491	XP_005673941.1	XP_012973700.1
OG0001492	XP_003135414.1	XP_040600511.1, XP_040599824.1, XP_012969220.1
OG0001493	NP_001231085.1, XP_020953885.1	XP_040596618.1, XP_040609325.1
OG0001494	XP_005670487.1, XP_005670488.1, XP_020928867.1	XP_012969470.1
OG0001497	XP_005658610.3	XP_040592642.1, XP_005087092.3, XP_040592615.1, XP_040597104.1, XP_040592636.1
OG0001499	XP_013850349.1	XP_040591378.1, XP_021089577.1, XP_040591381.1, XP_040591416.1, XP_005081914.1, XP_040591419.1
OG0001502	XP_005666733.1, NP_999453.1	XP_040598151.1, XP_040598150.1, XP_040598152.1
OG0001503	XP_020931469.1	XP_040587805.1
OG0001503	NP_999531.1	XP_005067838.1
OG0001504	NP_999085.1	XP_005068074.1, XP_040610928.1, XP_012967280.1
OG0001505	NP_001231494.1, XP_013850632.2	XP_005082665.1, XP_012977888.1, XP_012977887.1, XP_040589411.1
OG0001506	XP_020958385.1, XP_003129530.1, XP_020958383.1, XP_003129527.1	XP_040587485.1, XP_040587475.1
OG0001507	XP_020956166.1, NP_001018043.1	XP_040608537.1, XP_040608536.1
OG0001508	XP_013836817.1	XP_012967022.1, XP_040604729.1
OG0001508	XP_020923604.1	XP_040604730.1
OG0001510	XP_003358796.1, NP_001302630.1	XP_005071660.1
OG0001511	NP_999555.1, XP_005666908.1	XP_005077782.1, XP_021087270.1, XP_040590775.1
OG0001512	NP_001038078.1, XP_005672893.1	XP_040602461.1, XP_040602463.1, XP_040602462.1
OG0001513	XP_003131484.1	XP_005087422.1
OG0001513	XP_020922660.1	XP_005087423.1
OG0001514	XP_020934317.1	XP_005086833.1
OG0001514	NP_001116594.1	XP_040607676.1, XP_040613046.1
OG0001515	XP_005671119.1, NP_001230445.1	XP_005083590.1
OG0001516	NP_001231321.1, XP_005652865.1	XP_005083331.1
OG0001517	XP_020938026.1	XP_005064639.1
OG0001518	XP_020958332.1, XP_020958331.1	XP_005087322.1
OG0001519	XP_013834977.2	XP_040586050.1, XP_040586130.1, XP_040586160.1
OG0001520	XP_020940746.1, XP_020940745.1	XP_005071946.1
OG0001520	XP_020939076.1	XP_005071945.1
OG0001521	XP_020918077.1, XP_003129624.2	XP_005074128.1
OG0001521	XP_020918074.1	XP_005074192.1
OG0001522	XP_020953243.1	XP_040590065.1, XP_040597049.1, XP_040589782.1, XP_040596991.1, XP_040589792.1, XP_040597036.1
OG0001523	XP_020948972.1	XP_040597557.1
OG0001524	XP_020951677.1	XP_005074686.1
OG0001525	XP_001924714.2	XP_005063772.1
OG0001526	XP_020950768.1	XP_040589948.1, XP_021091938.1
OG0001527	XP_003127454.3	XP_005084207.1
OG0001527	XP_020922400.1	XP_005070046.1
OG0001528	NP_001124445.1	XP_040600182.1
OG0001529	XP_005656960.2	XP_040606063.1
OG0001529	NP_001137592.1, XP_005664718.2	XP_012979720.2
OG0001530	XP_020950277.1	XP_040590615.1
OG0001531	XP_020954849.1	XP_040599073.1
OG0001531	XP_003127279.4	XP_021078831.2
OG0001532	NP_999473.1	XP_005086377.1
OG0001533	XP_020950014.1	XP_005086308.2
OG0001534	XP_003124028.1, XP_020940530.1	XP_005065335.1
OG0001535	XP_020940251.1, XP_020940252.1, XP_020940250.1, XP_020940249.1	XP_005077234.1, XP_012973923.1
OG0001536	XP_003123817.1	XP_005065763.1
OG0001537	XP_005666357.2	XP_021087298.1, XP_040586063.1, XP_005077830.1
OG0001538	XP_020956482.1	XP_005077464.1, XP_012974094.1
OG0001540	XP_003129069.1, XP_020957036.1, XP_005666772.1, XP_003356995.1, XP_005666747.2	XP_040603201.1, XP_040603200.1
OG0001541	XP_020928649.1, XP_020928650.1	XP_040611548.1, XP_040611547.1, XP_040611546.1, XP_040611549.1
OG0001542	NP_999546.1	XP_040607812.1
OG0001542	XP_005671133.1	XP_012978599.1
OG0001543	XP_020930069.1, XP_020930064.1, XP_013838836.1, XP_020930068.1, XP_020930070.1, XP_020930067.1, XP_020930066.1, XP_020930063.1, XP_001926637.1, XP_020930065.1	XP_040603595.1
OG0001544	XP_003134137.4	XP_005071994.1
OG0001545	XP_020918666.1	XP_005069462.1
