Orthogroup	Sus_scrofa	Sarcophilus_harrisii
OG0002366	XP_001924773.1	XP_023351764.1
OG0002367	XP_013852206.1, NP_001182297.1	XP_003759811.1
OG0002367	XP_020945011.1	XP_012396768.1
OG0002368	NP_001230370.1	XP_012401262.1, XP_003756011.1
OG0002369	NP_001098757.1, XP_020938386.1	XP_003756016.2
OG0002370	XP_020953127.1	XP_012401550.1, XP_003756044.1, XP_031807977.1, XP_023356227.1
OG0002371	NP_001231740.1	XP_031808020.1, XP_031808022.1, XP_031808021.1
OG0002372	XP_013848367.1	XP_023353437.1, XP_031811312.1, XP_031811308.1, XP_031811310.1, XP_031811311.1, XP_012398462.1, XP_003755660.1, XP_023353433.1, XP_031811309.1
OG0002373	XP_005658627.2, XP_003121764.3	XP_023353751.1, XP_031811233.1
OG0002374	XP_020926649.1	XP_003763395.1
OG0002375	XP_020926684.1	XP_003763428.1, XP_012399835.1
OG0002376	XP_020957370.1	XP_031798216.1
OG0002377	XP_020957420.1	XP_031797845.1
OG0002378	XP_013853960.1	XP_031800030.1
OG0002379	XP_020926158.1	XP_003763578.1
OG0002380	XP_013837870.2	XP_023354807.2
OG0002381	XP_003483331.2, XP_005659866.1	XP_031794372.1, XP_031801106.1
OG0002382	NP_001116669.1	XP_031813587.1
OG0002382	XP_003360512.1	XP_023362772.2
OG0002383	XP_003132625.1	XP_031813389.1, XP_031813387.1, XP_031813388.1, XP_031816969.1
OG0002384	XP_013843662.2	XP_023357159.1
OG0002385	XP_013832970.2, XP_020955478.1	XP_023359758.1
OG0002386	XP_005665618.1	XP_003760236.3
OG0002386	XP_020955660.1	XP_031802729.1
OG0002387	XP_005652684.1	XP_031802707.1, XP_023352105.1, XP_031802706.1, XP_023352104.1, XP_023352106.1
OG0002388	XP_005656277.2	XP_012404130.1
OG0002390	XP_020930149.1, NP_001090926.1	XP_003764096.1
OG0002391	XP_020931699.1	XP_031814105.1, XP_031814104.1, XP_031814103.1
OG0002392	XP_003130154.1, XP_005656706.1	XP_003767651.2
OG0002393	NP_001182295.1	XP_031800406.1, XP_031800405.1
OG0002394	XP_005673504.1, XP_003134991.1, XP_020935792.1, XP_013841373.1, XP_005673505.1	XP_003765605.1, XP_031814828.1
OG0002395	XP_003360292.2	XP_003763560.1, XP_031792909.1
OG0002402	NP_999454.1	XP_031817291.1, XP_031817292.1, XP_031817293.1
OG0002403	NP_001001634.1	XP_003755215.3
OG0002404	NP_001090948.1	XP_012403687.1
OG0002405	XP_013841982.2	XP_031800608.1
OG0002406	XP_005666378.2, NP_999064.1	XP_031808591.1
OG0002407	NP_999535.1	XP_003770231.3
OG0002408	XP_020936825.1	XP_031807749.1
OG0002409	XP_020947978.1, XP_020947976.1, XP_020947974.1, XP_020947979.1, XP_020947973.1, XP_020947977.1, XP_020947975.1	XP_031794089.1, XP_031794088.1
OG0002410	NP_001106522.1, XP_020941198.1	XP_012398776.1
OG0002411	NP_999582.1	XP_031817499.1, XP_012402643.2
OG0002412	NP_999105.1	XP_003772957.1
OG0002413	NP_001172108.1, NP_001172109.1	XP_003769001.1
OG0002414	XP_020941521.1, XP_020936654.1, NP_999484.1	XP_012396229.2
OG0002416	XP_020948785.1, XP_003126548.1	XP_012401686.1, XP_012405431.1, XP_003770306.2, XP_012405433.1
OG0002417	XP_003124751.1, XP_013851221.1, XP_013851220.1	XP_031801590.1
OG0002418	XP_020934855.1, NP_001191280.1	XP_012399572.1
OG0002419	NP_001191971.1, XP_005653098.1	XP_003758329.1
OG0002420	NP_001070696.1, XP_020932994.1	XP_003758221.1
OG0002421	XP_013846116.1	XP_031809516.1
OG0002422	XP_020940420.1	XP_003756510.1
OG0002423	NP_001269044.1, NP_001269043.1	XP_003764757.1, XP_031817880.1, XP_031817879.1, XP_031817878.1, XP_031817881.1
OG0002424	XP_003121162.1, XP_020941941.1	XP_031793392.1, XP_031798294.1
OG0002425	XP_020932550.1, XP_003359847.1	XP_031822200.1, XP_031801078.1
OG0002427	NP_001038002.1	XP_031823205.1, XP_031823207.1, XP_031823206.1
OG0002428	XP_005657710.2	XP_031806632.1, XP_031806631.1, XP_031806630.1
OG0002429	XP_020944290.1, NP_001121960.1	XP_012397188.1, NP_001278416.1
OG0002430	XP_020946450.1	XP_031822445.1
OG0002432	XP_001927279.1, XP_003355167.2	XP_012405555.1, XP_031824680.1, XP_003770751.2
OG0002433	XP_013832982.2, XP_003130058.1	XP_012400376.1
OG0002434	XP_003482599.3	XP_003766962.1, XP_003764784.1, XP_003764785.1, XP_012400852.1, XP_003764788.1
OG0002435	XP_005659212.1, XP_013847952.1, XP_003121206.1	XP_031793503.1, XP_031793505.1, XP_031793504.1
OG0002436	XP_005664674.3	XP_031819766.1
OG0002437	NP_001231631.1, XP_020929014.1	XP_031802558.1
OG0002438	XP_001926397.4	XP_023351942.1, XP_003760030.1, XP_031801796.1
OG0002439	XP_001924825.2	XP_003769570.1
OG0002440	XP_005659198.1, XP_005659196.1, XP_005659197.1, XP_001929250.1	XP_031793480.1
OG0002441	XP_005654403.1, NP_001137169.1	XP_003769643.1, XP_023359087.1
OG0002442	NP_999278.1, XP_020938458.1	XP_003762178.1
OG0002443	XP_005656031.1, XP_003127516.2	XP_031819375.1, XP_031819374.1, XP_031819373.1, XP_031819371.1, XP_031819372.1
OG0002444	XP_013850516.2	XP_031819152.1
OG0002445	XP_020950427.1, XP_013854133.1	XP_031819252.1
OG0002446	XP_003122952.1	XP_003773697.1
OG0002446	NP_001231161.1	XP_031819297.1
OG0002447	XP_003127293.3	XP_031819748.1, XP_031819749.1
OG0002448	NP_001231177.1, XP_020919699.1	XP_023360876.1, XP_003771949.1
OG0002449	NP_001230877.1, XP_020932210.1	XP_031822761.1
OG0002450	XP_020949580.1	XP_012396161.1, XP_012396160.1, XP_031805767.1, XP_031805770.1, XP_031805769.1, XP_031805768.1, XP_003758904.1
OG0002451	XP_003127035.1	XP_003757290.1
OG0002452	XP_003356337.1, XP_005665244.1	XP_012401422.1
OG0002453	NP_001231011.1, XP_020949000.1	XP_031818265.1
OG0002454	XP_020949077.1, NP_001230555.1	XP_031818429.1, XP_031818428.1
OG0002455	XP_020951127.1	XP_031818592.1, XP_031818593.1
OG0002456	XP_003127692.1	XP_031818620.1
OG0002457	XP_013854458.2	XP_031818638.1
OG0002458	XP_003480935.1	XP_003761683.1
OG0002459	XP_020940210.1	XP_031824747.1
OG0002460	NP_001177181.1	XP_031811387.1
OG0002460	XP_003354261.1	XP_003759890.1
OG0002461	XP_013850421.1, NP_001090943.1	XP_003759907.1
OG0002462	XP_020932179.1, NP_001116580.1	XP_031809540.1
OG0002464	XP_005657453.2	XP_031812694.1
OG0002465	XP_003483561.2	XP_031812110.1
OG0002466	XP_003123715.5	XP_023362356.1
OG0002467	XP_013840359.1, XP_003134174.1	XP_003759154.1, XP_031809432.1, XP_031809431.1, XP_023351370.1
OG0002468	XP_020932670.1	XP_012396862.1
OG0002469	XP_020932216.1, NP_001239144.1	XP_012396867.1, XP_012396868.1
OG0002470	XP_020924092.1, NP_001193372.1	XP_003772057.2, XP_031796120.1
OG0002471	XP_013834997.1	XP_031816804.1, XP_012400583.2
OG0002472	XP_020918747.1	XP_031816806.1
OG0002473	XP_005667503.1	XP_031816061.1
OG0002474	XP_005667461.1, NP_001191698.1	XP_023355177.1, XP_012400412.1, XP_023355178.1
OG0002475	XP_020918416.1, XP_020918417.1, XP_020918419.1, XP_020918415.1, XP_020918420.1, XP_013844966.1, XP_020918421.1, XP_020918418.1, XP_013844964.1	XP_003764293.1
OG0002476	XP_020923680.1	XP_031794242.1
OG0002477	NP_001230274.1	XP_003758535.1, XP_031805979.1
OG0002478	XP_020949398.1	XP_012395791.1
OG0002479	XP_020952702.1	XP_003757900.1
OG0002480	XP_005655825.1	XP_031805937.1
OG0002482	XP_013850941.2	XP_031821214.1
OG0002483	XP_013850931.1	XP_023358561.1
OG0002484	XP_013850852.2	XP_012398298.1, XP_023353286.1, XP_023353285.1, XP_031796370.1, XP_023353284.1
OG0002485	XP_003354583.1, XP_005653075.1, XP_005653076.1	XP_031819756.1, XP_031796075.1
OG0002486	XP_020943648.1	XP_003762116.1, XP_031819365.1
OG0002487	XP_020943687.1, XP_020943688.1	XP_003762126.1
OG0002488	XP_020943698.1, XP_020943699.1	XP_031818983.1
OG0002490	XP_003124771.3	XP_031801618.1, XP_031801619.1, XP_023353556.1
OG0002491	XP_020941256.1, NP_001137192.1	XP_003761998.1
OG0002492	XP_013852758.2	XP_031823055.1
OG0002493	NP_001186292.1	XP_003769760.1
OG0002494	XP_020945891.1	XP_031825187.1, XP_012402988.1, XP_031825185.1, XP_031825186.1, XP_031825184.1
OG0002495	XP_020942781.1	XP_003766761.1
OG0002496	NP_001182275.1, XP_003130589.2	XP_003767796.1
OG0002497	NP_999236.1, XP_020957870.1	XP_031792868.1
OG0002498	XP_020920047.1, XP_020920048.1	XP_031822911.1
OG0002499	XP_003355176.1	XP_023358042.1
OG0002500	XP_020945343.1	XP_031822612.1
OG0002501	XP_013844009.2	XP_023351610.1
OG0002502	XP_005656169.1, NP_999493.2	XP_031802394.1
OG0002503	NP_001230305.1, XP_005660005.1	XP_012404993.1, XP_012404987.1, XP_003756495.1
OG0002504	XP_005666426.1	XP_012402866.3
OG0002505	NP_001038001.1, XP_020954006.1	XP_003756225.1
OG0002506	XP_013833857.2	XP_003756635.1
OG0002507	XP_020953787.1, NP_001230617.1	XP_031809152.1
OG0002508	NP_001177142.1	XP_031793875.1
OG0002509	NP_001188313.1, XP_020921795.1	XP_031821507.1, XP_003768652.1
OG0002510	XP_020922197.1	XP_012404085.1, XP_031821427.1, XP_031821426.1, XP_023358424.1, XP_023358425.1, XP_023358420.1, XP_023358422.1
OG0002511	NP_001070697.1, XP_020921921.1	XP_031821413.1
OG0002512	XP_005653925.1	XP_031821705.1
OG0002515	XP_005668821.3	XP_031821912.1
OG0002516	XP_020936911.1, XP_020936912.1, XP_020936910.1	XP_003757533.2
OG0002517	XP_005655643.1, NP_001171997.1	XP_031797038.1
OG0002518	XP_005663842.1, XP_003355387.1, XP_003355388.1	XP_031796856.1
OG0002519	XP_005663884.2, NP_001230634.1	XP_031795970.1
OG0002520	XP_013851369.1	XP_023357016.1, XP_031814668.1
OG0002521	XP_013851373.2	XP_023357022.1
OG0002522	NP_001137402.1, XP_020941261.1	XP_031817120.1
OG0002523	XP_020942915.1, XP_020942914.1	XP_031804174.1, XP_031804175.1
OG0002524	NP_001095295.1	XP_003768960.2
OG0002525	XP_005655027.2, NP_001230729.1	XP_031809639.1
OG0002526	XP_020940340.1	XP_003761307.1
OG0002527	XP_003357777.1	XP_031799078.1, XP_003761451.1, XP_031799067.1
OG0002528	XP_020920345.1	XP_031801300.1
OG0002529	XP_005660309.2	XP_031792833.1
OG0002530	XP_020923335.1	XP_003757405.2
OG0002531	XP_020954451.1, XP_020954452.1	XP_023358782.1
OG0002532	XP_013833254.2, XP_020935583.1	XP_031820874.1
OG0002533	NP_001230232.1, XP_020953758.1	XP_031820782.1
OG0002534	XP_003125478.1	XP_012403351.3
OG0002535	XP_005662946.1	XP_012397236.1, XP_012397234.1, XP_012397233.1
OG0002536	XP_020944431.1	XP_031803157.1
OG0002537	XP_020939003.1	XP_031816082.1
OG0002538	NP_001231791.1	XP_031816286.1, XP_031816287.1
OG0002539	NP_001131107.1, XP_005673254.1	XP_012406463.1
OG0002540	XP_003130224.1, XP_020958093.1	XP_031796585.1
OG0002541	XP_005667717.1, NP_001231897.1	XP_003772439.1
OG0002542	XP_020934334.1, XP_020934335.1, XP_003134903.2, XP_020934333.1, XP_005673375.2, XP_005673376.2, XP_013841242.2	XP_031796450.1
OG0002543	XP_003134860.1, XP_020934268.1, XP_020934267.1, XP_020934269.1	XP_031796362.1
OG0002544	XP_005673292.1, XP_003134813.3	XP_031794695.1, XP_031794694.1, XP_031794693.1, XP_003771565.1
OG0002545	XP_005653438.2	XP_003765393.1, XP_031817960.1
OG0002546	XP_013833716.1, XP_013853054.2, XP_003128836.2	XP_031805354.1, XP_003755825.2, XP_003755816.1
OG0002547	XP_020951624.1, XP_020951622.1, XP_020951625.1, XP_020951623.1	XP_003765437.2
OG0002548	XP_020951588.1	XP_031818002.1, XP_031818001.1, XP_031818003.1
OG0002550	XP_020948473.1	XP_003770990.1
OG0002551	XP_020948386.1	XP_012406026.1
OG0002552	XP_020948310.1, XP_020948309.1, XP_020948312.1, XP_020948311.1	XP_031795951.1, XP_031795950.1
OG0002553	XP_020948295.1	XP_023360195.1
OG0002554	NP_001131112.1, XP_020955944.1	XP_031797275.1
OG0002555	XP_013834139.1, XP_020956947.1, XP_013834141.1, XP_003129054.3, XP_013834140.1, XP_005666718.1	XP_023361659.1
OG0002556	XP_005657750.1	XP_031795285.1
OG0002557	XP_005671837.1, NP_001137178.1	XP_031806545.1
OG0002558	XP_005671880.1	XP_031797316.1, XP_031797317.1
OG0002559	XP_020933067.1	XP_031799681.1
OG0002560	XP_005662835.1	XP_023350419.1
OG0002561	XP_020943342.1	XP_031807211.1, XP_031807212.1
OG0002562	XP_020943251.1	XP_003758393.1, XP_012395718.1
OG0002563	XP_020942952.1	XP_031805649.1, XP_023351036.1, XP_031805648.1
OG0002564	XP_020942993.1	XP_012407842.2
OG0002565	NP_001230325.1	XP_003769993.1
OG0002566	XP_020945571.1	XP_031823316.1, XP_012405149.1, XP_031823317.1
OG0002567	NP_001230277.1, XP_020944176.1	XP_023359342.1
OG0002569	XP_020934877.1	XP_031807730.1, XP_031807711.1, XP_031807722.1, XP_003762678.1
OG0002571	XP_003122558.1, XP_003122559.1, XP_003122561.1, XP_005660730.1, XP_003122562.1	XP_031799716.1
OG0002572	NP_001230310.1, XP_020935648.1	XP_003774097.1, XP_023362252.1, XP_031799992.1, XP_031799991.1
OG0002573	XP_003122673.2	XP_003774446.1, XP_031799248.1
OG0002574	XP_005657135.1, XP_003358552.1, XP_013845557.1	XP_003762433.1
OG0002575	XP_003132329.2	XP_031809232.1
OG0002576	NP_001077400.1, XP_020931775.1	XP_031803330.1
OG0002578	XP_005661472.1	XP_012397668.1
OG0002579	NP_999396.2	XP_003760903.1
OG0002580	XP_003129727.4	XP_031800937.1, XP_003764675.1
OG0002581	XP_003129442.3	XP_031798277.1
OG0002583	NP_999225.1, XP_005668471.1	XP_012400745.1, XP_012400746.1
OG0002584	NP_001230373.1, XP_020920753.1	XP_003765832.2, XP_023356305.1
OG0002586	XP_005672817.2	XP_031806876.1
OG0002587	XP_003132142.5	XP_012402469.2
OG0002588	NP_001193378.1, XP_013836837.1	XP_012406805.3
OG0002589	NP_001254623.2, XP_013847041.1	XP_003766141.2
OG0002590	XP_013847805.2	XP_031813644.1
OG0002591	XP_020933069.1	XP_003758250.1
OG0002592	NP_001094502.1, XP_005672884.1	XP_031809940.1, XP_031809939.1, XP_031809936.1, XP_031809937.1, XP_031809942.1, XP_031809944.1, XP_031809941.1, XP_031809938.1, XP_031809943.1
OG0002593	XP_001928891.2	XP_031809934.1
OG0002594	XP_013840751.1	XP_003756974.1
OG0002595	XP_020932933.1, NP_001230506.1	XP_031809766.1, XP_031809767.1
OG0002596	XP_001927029.1	XP_031807426.1
OG0002597	XP_020932870.1, NP_001172088.1	XP_031810454.1
OG0002598	XP_005673094.1, NP_001098766.1	XP_031807536.1, XP_031807534.1, XP_031807535.1
OG0002599	XP_020933884.1	XP_031807591.1, XP_023350233.2, XP_031807592.1, XP_031807589.1
OG0002600	XP_020933210.1	XP_003757612.2
OG0002601	XP_020933126.1, XP_020933127.1, XP_020933125.1	XP_031807653.1
OG0002602	XP_020935881.1	XP_031817219.1
OG0002603	XP_020921094.1	XP_003764493.1
OG0002604	XP_003359106.1	XP_031806992.1, XP_031806991.1
OG0002605	XP_020928490.1	XP_003757976.1, XP_031806989.1
OG0002606	NP_001181900.1, XP_005657266.1	XP_031806733.1
OG0002607	XP_020928617.1	XP_031804355.1
OG0002608	XP_020930012.1	XP_031804430.1
OG0002609	XP_001929219.1	XP_031804642.1
OG0002610	XP_001926589.2	XP_031804676.1
OG0002611	NP_001230419.1	XP_031804680.1, XP_031804681.1, XP_031804678.1, XP_031804679.1
OG0002612	NP_001231763.1	XP_031804675.1
OG0002614	XP_013838529.2	XP_031804798.1
OG0002616	NP_001230431.1, XP_005670938.1	XP_031804967.1
OG0002618	XP_020929071.1	XP_031804916.1
OG0002619	XP_020928398.1	XP_031804899.1
OG0002620	XP_020948163.1, XP_013853375.2, XP_003126643.4, XP_020948164.1	XP_031795518.1
OG0002621	XP_020948099.1, XP_020948097.1, XP_020948098.1	XP_003771250.1
OG0002623	XP_003355665.2	XP_031794020.1
OG0002625	XP_020947298.1	XP_012405898.1
OG0002626	NP_001182251.1, XP_013843722.1	XP_031793708.1
OG0002627	XP_005671353.1	XP_031811943.1, XP_031811939.1, XP_031811940.1, XP_031811941.1, XP_031811942.1
OG0002628	NP_001231480.1	XP_031811580.1, XP_031811579.1, XP_031811578.1, XP_031811576.1, XP_031811577.1
OG0002629	XP_020928367.1	XP_012397174.1
OG0002630	XP_005671548.1, NP_001172100.1	XP_003755382.2
OG0002631	XP_005663009.1	XP_003760315.1
OG0002632	XP_005666540.1, NP_001037993.1	XP_031798705.1, XP_012407827.1, XP_012407828.1, XP_003773479.1
OG0002633	XP_020950355.1	XP_023354339.1
OG0002634	NP_001231858.1, XP_020927836.1	XP_031811239.1
OG0002635	XP_020954679.1, XP_020954678.1	XP_003754928.1
OG0002636	XP_020924109.1, NP_001191704.2	XP_012402230.1
OG0002637	XP_020956454.1	XP_003773030.1
OG0002638	XP_020925935.1, XP_020925936.1	XP_031815588.1
OG0002640	XP_020932217.1, NP_001231279.1	XP_031801982.1
OG0002641	XP_020932597.1, XP_020932596.1, XP_020932595.1, XP_020932598.1	XP_031801932.1, XP_031801929.1, XP_031801931.1, XP_031801930.1
OG0002642	NP_001302661.1, XP_020924152.1	XP_031813562.1, XP_031813563.1
OG0002643	XP_020955783.1	XP_031802779.1
OG0002645	XP_005671916.3	XP_012400186.1
OG0002646	XP_020932160.1, XP_020932159.1	XP_031816350.1, XP_031816351.1
OG0002647	XP_013839753.1	XP_003764034.1
OG0002648	XP_020930614.1, XP_020930616.1, XP_020930615.1	XP_003765924.1
OG0002649	XP_013839829.1	XP_012401769.1, XP_031814224.1, XP_012401770.1, XP_031814223.1
OG0002650	XP_020931357.1	XP_031814194.1, XP_031814190.1, XP_031814193.1, XP_031814191.1, XP_031814192.1
OG0002651	XP_020930938.1	XP_023356404.1
OG0002653	XP_020918859.1	XP_023359830.1
OG0002654	XP_020919645.1, NP_001230646.1	XP_031792919.1
OG0002655	NP_999294.2, XP_005673791.1	XP_031800206.1, XP_003775409.2
OG0002656	NP_001230606.1, XP_013841710.2	XP_012408789.1, XP_012408790.1
OG0002657	XP_005673798.1	XP_031800874.1, XP_003774953.2, XP_031800873.1, XP_031800875.1, XP_031800876.1
OG0002660	XP_003135028.3, XP_020936181.1, XP_020936588.1	XP_031815338.1
OG0002661	XP_020936636.1, XP_003360312.1	XP_031815280.1
OG0002662	XP_005673726.1	XP_003774981.3
OG0002663	XP_003360401.1	XP_031800902.1, XP_031800901.1, XP_031800900.1
OG0002664	NP_001001630.1, XP_013846370.1	XP_012408859.1
OG0002665	XP_003135417.1	XP_012408703.2
OG0002666	NP_001106524.1, XP_005674092.1	XP_031800537.1
OG0002667	XP_020934105.1, NP_001129983.1	XP_003762588.3
OG0002669	XP_020937347.1, XP_003122427.2, XP_003122428.2	XP_012409144.1, XP_003757164.1
OG0002670	XP_020941851.1	XP_012404245.1
OG0002671	XP_020953258.1	XP_031817402.1, XP_003764973.3, XP_003766515.1, XP_031813154.1
OG0002676	XP_001925549.2	XP_031802986.1, XP_031802987.1
OG0002677	XP_020949273.1, NP_001243076.1	XP_003757340.2
OG0002678	NP_999162.1, XP_005667383.1	XP_012400476.1
OG0002680	XP_020951813.1, XP_020951811.1, XP_020951812.1	XP_031802428.1, XP_031802427.1, XP_031802426.1
OG0002681	NP_001231283.1	XP_031812157.1
OG0002682	XP_020924616.1	XP_031813269.1, XP_012399205.1
OG0002683	XP_020937616.1, XP_020937487.1, XP_020937493.1, XP_020937488.1, NP_001005149.1, NP_001289317.1, XP_020938122.1, XP_020936942.1, XP_020941506.1, NP_999220.1	XP_003758660.1
OG0002684	XP_020931489.1	XP_031815745.1
OG0002685	NP_001090903.1	XP_023356099.1
OG0002686	XP_020944065.1	XP_031806272.1
OG0002687	XP_020956066.1, NP_001034834.1	XP_031798855.1
OG0002688	XP_020953963.1, NP_999442.1	XP_031811455.1, XP_031811456.1, XP_031811454.1, XP_003755570.1
OG0002689	NP_001302536.1, XP_020946746.1	XP_023360270.1, XP_003771221.1, XP_012406125.2
OG0002690	XP_013854070.1, NP_001230642.1	XP_031817599.1
OG0002691	NP_999245.1	XP_031817598.1
OG0002692	XP_020937149.1, XP_020937650.1, XP_020936682.1, XP_020921448.1, XP_020921447.1, XP_020921059.1, XP_020937478.1, XP_020937659.1, XP_020921058.1, XP_020937745.1, XP_020921445.1	XP_031814417.1
OG0002693	XP_003357127.2	XP_031798192.1
OG0002694	XP_020935549.1, XP_003359494.1	XP_031801081.1
OG0002695	NP_001230568.1	XP_031823064.1
OG0002696	XP_005659919.2, XP_013849961.1	XP_003755720.1
OG0002697	XP_020951190.1, XP_020951189.1, XP_020951191.1	XP_031818467.1
OG0002698	XP_013851821.1, NP_001230610.1	XP_003757945.2
OG0002699	XP_020935550.1	XP_031800328.1, XP_031800329.1
OG0002700	NP_001173223.1	XP_003769682.1, XP_023359143.1
OG0002701	XP_020938349.1, XP_020938350.1	XP_003774393.1
OG0002702	NP_001177132.1, XP_005656281.1	XP_023362970.1
OG0002703	XP_020945787.1	XP_012404989.1, XP_012404988.1, XP_012404990.1
OG0002704	XP_001929315.4	XP_031795493.1, XP_012407202.2
OG0002705	XP_003133589.2, XP_005672077.1	XP_012400341.1, XP_031816188.1, XP_003764105.1, XP_012400342.1, XP_031816187.1
OG0002706	XP_020918130.1	XP_012400842.1, XP_012400841.2
OG0002709	XP_020958339.1, XP_020919610.1, XP_003130031.3, XP_003130011.1, XP_013834964.2	XP_003766796.1
OG0002711	XP_020918065.1	XP_031817332.1, XP_003766898.1
OG0002712	XP_020938127.1, XP_001927604.1, XP_020937566.1	XP_023354705.2, XP_031805141.1
OG0002714	XP_005656096.1, NP_001072148.1	XP_003764928.1
OG0002715	XP_020944148.1, XP_013843889.1, XP_020944140.1	XP_003769473.1, XP_031820160.1
OG0002717	XP_020955427.1	XP_031802032.1
OG0002718	XP_013848333.1, XP_001925846.1	XP_031801797.1
OG0002719	XP_020951674.1	XP_023352040.1, XP_012397017.1, XP_023352041.1, XP_023352042.1
OG0002720	XP_001926511.1	XP_031820109.1, XP_003769489.1
OG0002721	XP_001927667.1	XP_031793524.1
OG0002722	XP_020941554.1	XP_023359109.1, XP_023359112.1, XP_003769663.1
OG0002723	XP_020919664.1	XP_012398808.1
OG0002724	XP_020950537.1, XP_020950538.1	XP_031819335.1
OG0002725	NP_001231907.1, XP_005664772.1	XP_031819279.1, XP_031819278.1
OG0002726	XP_003127333.3	XP_031817612.1
OG0002727	XP_020948918.1, NP_001152781.1	XP_031819056.1
OG0002728	NP_999183.1	XP_031819140.1
OG0002729	XP_003127220.1	XP_031819109.1
OG0002730	NP_001131092.1	XP_031818982.1
OG0002731	XP_020919634.1, NP_001156357.1	XP_031795772.1
OG0002732	XP_003354344.1, XP_003354345.1, XP_005661787.1, XP_013850661.1	XP_003756654.2
OG0002733	XP_003127717.1, XP_020951134.1	XP_031818583.1
OG0002734	XP_020951128.1	XP_031818588.1, XP_031818591.1, XP_031818589.1, XP_031818590.1
OG0002735	XP_013844218.1, XP_005656078.1, XP_020951049.1, XP_003127678.3	XP_031818657.1
OG0002736	XP_020937571.1, XP_020940202.1	XP_023351825.1
OG0002737	XP_003123826.1	XP_012396838.1, XP_023351844.1, XP_031823304.1, XP_003759896.1
OG0002738	XP_020940112.1	XP_012396575.1
OG0002739	XP_001927099.1	XP_003755599.2, XP_031811445.1, XP_031811444.1, XP_031811441.1, XP_031811443.1, XP_031811439.1, XP_031811440.1
OG0002740	XP_003356881.2	XP_031797577.1
OG0002741	XP_013834071.1	XP_023361790.1
OG0002742	XP_020956512.1	XP_031798594.1, XP_031798596.1, XP_031798595.1
OG0002743	XP_020956504.1, XP_020956509.1, XP_020956507.1, XP_020956508.1, XP_020956505.1, XP_020956510.1	XP_023361920.1
OG0002745	XP_020928088.1, XP_020928087.1, XP_020928085.1, XP_020928089.1, XP_020928084.1	XP_031812706.1
OG0002746	XP_020929181.1	XP_003755071.1
OG0002747	XP_003134188.2	XP_003756789.1
OG0002748	NP_001090918.1	XP_003759962.1
OG0002749	XP_020942266.1, XP_020942264.1, XP_003124641.1, XP_020942268.1, XP_020942263.1, XP_020942265.1, XP_020942267.1	XP_031800429.1
OG0002750	XP_020918629.1	XP_031815995.1
OG0002751	XP_020918500.1	XP_031817094.1
OG0002752	XP_013844665.1, NP_001116553.1	XP_003756183.1
OG0002753	XP_020923658.1	XP_031794368.1, XP_031794371.1, XP_031794373.1
OG0002754	XP_013844341.1, NP_001177213.1	XP_003767321.1
OG0002755	XP_003127588.1	XP_031818768.1
OG0002756	XP_003126899.1, XP_005655817.1	XP_031800260.1
OG0002760	XP_020941916.1	XP_031824493.1
OG0002761	XP_013843133.1	XP_031799377.1
OG0002762	XP_020942065.1	XP_031795769.1, XP_023353303.1, XP_031795762.1, XP_031795783.1
OG0002763	NP_001231147.1, XP_020941382.1	XP_031800364.1
OG0002764	NP_999428.1	XP_031800749.1, XP_031800740.1, XP_003761769.2, XP_031800744.1
OG0002765	XP_003481154.1	XP_031801724.1, XP_003762068.1
OG0002766	XP_020942499.1	XP_031801644.1
OG0002767	XP_005663615.1, NP_001230625.1	XP_003769821.1
OG0002768	XP_001929358.3, XP_020945710.1	XP_003769795.1, XP_031823105.1
OG0002769	XP_013852740.1	XP_023359193.1
OG0002771	XP_020920223.1	XP_031793010.1, XP_031793009.1, XP_003767620.1
OG0002772	XP_020920155.1, XP_020920153.1	XP_003767606.3
OG0002773	XP_005663153.1, NP_001231725.1	XP_031792709.1
OG0002774	XP_001928013.1	XP_023358062.1, XP_003768180.1
OG0002775	XP_003125767.1	XP_003768110.1
OG0002776	XP_020945415.1	XP_031822531.1
OG0002778	XP_020951824.1, XP_020951823.1, XP_003127900.1	XP_031802407.1
OG0002779	NP_001230426.1, XP_020953692.1	XP_031808129.1, XP_031808130.1
OG0002780	XP_020956730.1	XP_031808775.1
OG0002781	XP_020941164.1, NP_001245232.1	XP_031808484.1
OG0002782	XP_020955573.1	XP_012404227.1
OG0002783	XP_001928452.4	XP_031808314.1, XP_003756281.1, XP_031808313.1
OG0002784	XP_020955207.1, XP_020955206.1	XP_031808309.1, XP_031808312.1, XP_031808310.1
OG0002785	XP_013833830.1	XP_031808224.1, XP_012402859.1, XP_031808223.1
OG0002786	XP_020953825.1, NP_001184123.1	XP_003756622.2, XP_023360366.1
OG0002787	XP_001925553.2	XP_003756611.1
OG0002789	XP_020922392.1	XP_003768617.1
OG0002790	XP_020921706.1	XP_031822368.1
OG0002791	XP_003131819.3	XP_031824593.1
OG0002792	XP_005657074.1, NP_999415.1	XP_031823676.1, XP_031823677.1, XP_031823675.1
OG0002793	XP_020938613.1, NP_999344.1	XP_031810144.1, XP_031810146.1, XP_031810145.1
OG0002794	XP_003131280.2	XP_031821631.1, XP_031821632.1, XP_031821630.1
OG0002795	NP_001090937.1	XP_031796603.1
OG0002796	NP_001171995.1	XP_003772209.2
OG0002797	XP_001929448.3	XP_031797008.1
