Orthogroup	Ursus_americanus	Mesocricetus_auratus
OG0001729	XP_045650674.1, XP_045650675.1	XP_005067833.1
OG0001730	XP_045651610.1	XP_040588461.1
OG0001731	XP_045658295.1, XP_045658313.1, XP_045658303.1	XP_005072334.1
OG0001732	XP_045662933.1	XP_040589164.1, XP_040589165.1, XP_005070470.1
OG0001733	XP_045626540.1, XP_045626541.1	NP_001268562.1, XP_040614056.1
OG0001735	XP_045660668.1	XP_040588633.1
OG0001735	XP_045661833.1	XP_040586307.1
OG0001736	XP_045659905.1, XP_045659906.1	XP_040592187.1, XP_040592185.1, XP_040592180.1, XP_040592184.1, XP_040592181.1, XP_040592188.1, XP_040592182.1, XP_040592186.1, XP_040592183.1, XP_012980226.1
OG0001737	XP_045633195.1, XP_045633194.1, XP_045633197.1	XP_040592239.1, XP_040592240.1, XP_040592241.1, XP_040592242.1
OG0001738	XP_045644446.1	XP_005086602.1
OG0001738	XP_045671995.1	XP_005080837.2
OG0001740	XP_045649073.1	XP_040599146.1
OG0001741	XP_045648862.1	XP_040594223.1
OG0001742	XP_045648709.1	XP_040584691.1
OG0001743	XP_045627866.1, XP_045627860.1	XP_040612656.1, XP_040612646.1
OG0001744	XP_045640873.1	XP_005087538.1, XP_040591722.1
OG0001745	XP_045645025.1	XP_040597433.1
OG0001746	XP_045648416.1	XP_005083140.1
OG0001746	XP_045648410.1	XP_005083139.1
OG0001747	XP_045649490.1, XP_045649489.1	XP_040602675.1
OG0001748	XP_045641803.1	XP_012966192.1, XP_012966193.1
OG0001749	XP_045663064.1, XP_045663065.1, XP_045663062.1, XP_045663063.1	XP_040586654.1
OG0001750	XP_045669405.1	XP_040586708.1
OG0001751	XP_045664990.1, XP_045664991.1	XP_040586787.1, XP_040586790.1, XP_040586791.1, XP_040586792.1, XP_040586793.1, XP_040586788.1, XP_040586789.1
OG0001752	XP_045646527.1, XP_045646525.1	XP_005084345.1, XP_021091092.1
OG0001753	XP_045649433.1	XP_040599080.1
OG0001754	XP_045664732.1	XP_005064608.1
OG0001755	XP_045664439.1	XP_040601852.1
OG0001756	XP_045664494.1	XP_012977412.1, XP_005064889.1, XP_021087017.1
OG0001757	XP_045642635.1	XP_005065134.1, XP_021087759.1, XP_012976653.1
OG0001758	XP_045664722.1, XP_045664723.1	XP_005064948.1, XP_040601831.1, XP_040601830.1, XP_040601832.1
OG0001759	XP_045626741.1	XP_005064258.1
OG0001760	XP_045626660.1, XP_045626661.1, XP_045626659.1	XP_021083123.1, XP_012971301.1, XP_005064200.1
OG0001761	XP_045659582.1, XP_045659584.1, XP_045626690.1	XP_021083079.2
OG0001762	XP_045663469.1, XP_045663468.1	XP_040603506.1
OG0001763	XP_045634543.1, XP_045634539.1, XP_045634541.1, XP_045634542.1, XP_045634540.1	XP_040595412.1, XP_040595407.1, XP_040595406.1, XP_040595409.1, XP_040595408.1, XP_040595405.1, XP_040595411.1
OG0001764	XP_045630261.1	XP_021091747.2, XP_005085349.2
OG0001765	XP_045656072.1, XP_045656071.1	XP_040594293.1, XP_005083343.1, XP_012978457.1
OG0001766	XP_045646348.1	XP_040589628.1, XP_040589629.1, XP_040589630.1, XP_040589627.1
OG0001767	XP_045647749.1	XP_040596091.1
OG0001767	XP_045672276.1	XP_040613897.1
OG0001768	XP_045672287.1	XP_005074067.1, XP_021085189.1, XP_021085187.1, XP_012971831.1
OG0001769	XP_045652718.1	XP_040614054.1, XP_012969546.1, XP_040614080.1, XP_012969545.1
OG0001770	XP_045647697.1	XP_040595826.1
OG0001771	XP_045647737.1	XP_012970428.1
OG0001772	XP_045669229.1, XP_045669237.1, XP_045669245.1, XP_045669209.1, XP_045669220.1	XP_005080776.1
OG0001773	XP_045664075.1, XP_045664071.1, XP_045664082.1, XP_045664086.1, XP_045664093.1	XP_012967823.2
OG0001774	XP_045662581.1	XP_005084698.1
OG0001775	XP_045660761.1	XP_040588956.1, XP_040588951.1
OG0001775	XP_045660760.1	XP_040588863.1, XP_040588952.1, XP_040588953.1
OG0001776	XP_045660744.1	XP_005085050.2, XP_040589017.1, XP_040589018.1, XP_040589019.1
OG0001777	XP_045650501.1, XP_045650491.1, XP_045650485.1	XP_005074604.1
OG0001778	XP_045652844.1	XP_021079505.1
OG0001779	XP_045634755.1, XP_045634747.1	XP_012976336.1, XP_005080670.1, XP_040587448.1
OG0001780	XP_045631867.1	XP_012976341.1, XP_012976338.1, XP_012976337.1, XP_012976339.1, XP_012976340.1, XP_040587375.1
OG0001781	XP_045632320.1, XP_045632330.1	XP_040587046.1, XP_012975164.1, XP_040587047.1
OG0001782	XP_045647471.1, XP_045647470.1	XP_005078983.2
OG0001783	XP_045637316.1	XP_040595340.1
OG0001784	XP_045637262.1, XP_045637241.1	XP_040594304.1
OG0001785	XP_045637377.1	XP_040599382.1
OG0001786	XP_045667805.1	XP_040599466.1, XP_040599469.1, XP_040599468.1
OG0001787	XP_045667886.1	XP_040607137.1
OG0001788	XP_045657000.1, XP_045656998.1, XP_045656999.1	XP_040609727.1
OG0001789	XP_045658949.1	XP_021087767.1
OG0001790	XP_045659045.1, XP_045659046.1	XP_040598768.1, XP_005063514.1, XP_012971869.1
OG0001791	XP_045671696.1, XP_045671698.1	XP_005064352.1
OG0001792	XP_045628065.1, XP_045628058.1	XP_012967711.1, XP_005068575.1
OG0001793	XP_045668211.1, XP_045668209.1, XP_045668210.1	XP_040602128.1
OG0001794	XP_045633926.1, XP_045635462.1, XP_045636215.1, XP_045634767.1	XP_005075535.1
OG0001796	XP_045641414.1, XP_045641415.1	XP_040606496.1, XP_040606498.1, XP_040606500.1, XP_040606497.1, XP_040606499.1
OG0001797	XP_045641501.1	XP_040606426.1
OG0001798	XP_045668506.1, XP_045668508.1, XP_045668510.1, XP_045668509.1	XP_040606859.1, XP_040606860.1, XP_040606858.1
OG0001799	XP_045669458.1	XP_005076187.1, XP_005076188.1
OG0001800	XP_045643506.1	XP_005073413.2
OG0001801	XP_045639914.1	XP_040594550.1, XP_040594551.1, XP_040594549.1
OG0001802	XP_045640002.1, XP_045640001.1	XP_005078256.1, XP_040593131.1
OG0001803	XP_045661037.1, XP_045652197.1	XP_040600155.1
OG0001804	XP_045655827.1, XP_045661116.1	XP_005076765.1, XP_040599708.1
OG0001805	XP_045660190.1	XP_012981630.1, XP_005087397.1, XP_040600612.1
OG0001806	XP_045661072.1	XP_012980851.1, XP_005086320.1, XP_005086321.1
OG0001809	XP_045672054.1	XP_005087266.1
OG0001810	XP_045644908.1, XP_045644907.1, XP_045644925.1	XP_040600749.1, XP_040596788.1
OG0001812	XP_045651740.1, XP_045651737.1, XP_045659919.1, XP_045651738.1, XP_045651743.1	XP_005085438.1, XP_005085437.1, XP_005085441.1, XP_040587817.1, XP_012980152.3, XP_040589868.1, XP_040584888.1, XP_040584867.1, XP_040584878.1, XP_005085443.1, XP_021091777.1, XP_005085434.1
OG0001815	XP_045633005.1	XP_005072446.1
OG0001816	XP_045648080.1	XP_005087059.1
OG0001816	XP_045648331.1	XP_005087216.2
OG0001817	XP_045662237.1	XP_012977150.1
OG0001818	XP_045635878.1	XP_005067017.1
OG0001818	XP_045669381.1	XP_021088568.1
OG0001819	XP_045632087.1	XP_005082363.1
OG0001820	XP_045664538.1, XP_045664540.1	XP_012967855.1, XP_005068717.1
OG0001821	XP_045641087.1, XP_045641084.1, XP_045641085.1, XP_045641086.1	XP_021083643.1, XP_012970053.1, XP_012970052.1, XP_040606751.1, XP_040606750.1, XP_021083644.1, XP_012970055.1, XP_005071544.1, XP_012970054.1
OG0001822	XP_045654121.1, XP_045654120.1, XP_045654122.1	XP_012977678.1, XP_021089862.1, XP_005082380.1
OG0001824	XP_045641484.1, XP_045641480.1, XP_045641483.1, XP_045641481.1, XP_045641486.1, XP_045641485.1, XP_045641487.1	XP_005073872.1
OG0001825	XP_045660424.1	XP_005080758.1
OG0001825	XP_045650853.1	XP_005069201.1
OG0001826	XP_045636704.1	XP_040613127.1
OG0001826	XP_045655288.1, XP_045632414.1	XP_040590253.1, XP_012979905.2, XP_040601505.1
OG0001827	XP_045634168.1	XP_005067914.2
OG0001828	XP_045626933.1	XP_040601110.1
OG0001829	XP_045656761.1	XP_005067284.1
OG0001829	XP_045657052.1	XP_005067283.1
OG0001830	XP_045664473.1	XP_005064903.1
OG0001832	XP_045628268.1	XP_005076457.2
OG0001832	XP_045628273.1	XP_005076458.1
OG0001833	XP_045643022.1	XP_040588530.1, XP_040588521.1
OG0001834	XP_045643005.1	XP_012966132.1
OG0001834	XP_045643004.1	XP_005063844.1
OG0001835	XP_045642973.1	XP_005064670.1, XP_012975971.2
OG0001836	XP_045638902.1, XP_045638912.1, XP_045638943.1	XP_005087521.1
OG0001837	XP_045644540.1, XP_045644542.1, XP_045644534.1, XP_045636840.1, XP_045636914.1, XP_045642296.1, XP_045630683.1, XP_045649856.1	XP_040596861.1, XP_040596958.1
OG0001838	XP_045656297.1	XP_005086740.2
OG0001838	XP_045633451.1, XP_045633462.1	XP_005067778.1
OG0001839	XP_045640237.1	XP_005078246.1
OG0001840	XP_045646226.1, XP_045646227.1	XP_005065453.1
OG0001841	XP_045661274.1, XP_045661273.1, XP_045661270.1, XP_045661272.1, XP_045661275.1, XP_045661271.1	XP_005065932.1
OG0001842	XP_045631141.1	XP_005084903.1
OG0001843	XP_045628262.1, XP_045628261.1	XP_005084743.1
OG0001844	XP_045671614.1	XP_040590553.1
OG0001845	XP_045668811.1, XP_045668812.1, XP_045668810.1	XP_012979987.1, XP_005085228.1, XP_040611290.1
OG0001846	XP_045643437.1	XP_005081334.1
OG0001847	XP_045662839.1	XP_005078685.1
OG0001848	XP_045662717.1	XP_012975373.1
OG0001849	XP_045638266.1	XP_012975683.1, XP_005079615.1, XP_012975682.1, XP_021088339.1, XP_021088338.1, XP_005079614.1
OG0001850	XP_045638027.1	XP_005079645.1
OG0001851	XP_045640364.1	XP_005081699.1, XP_040604136.1
OG0001852	XP_045652340.1, XP_045652339.1, XP_045652341.1, XP_045652342.1	XP_005065569.1
OG0001853	XP_045655773.1	XP_040612716.1, XP_040612774.1
OG0001855	XP_045639420.1, XP_045639417.1, XP_045639416.1, XP_045639421.1, XP_045639419.1	XP_021083860.1, XP_021083856.1, XP_021083858.1, XP_021083855.1, XP_040601924.1
OG0001856	XP_045639329.1, XP_045639328.1, XP_045639327.1	XP_012969413.1, XP_005070895.1
OG0001857	XP_045639337.1	XP_005081047.1
OG0001858	XP_045664422.1	XP_040602259.1
OG0001858	XP_045648031.1	XP_005072001.1
OG0001859	XP_045671273.1, XP_045671272.1, XP_045671271.1	XP_040597700.1
OG0001860	XP_045671266.1, XP_045671265.1	XP_005074739.3, XP_040596877.1
OG0001861	XP_045653488.1	XP_005069327.1
OG0001861	XP_045646362.1	XP_005087040.1
OG0001862	XP_045653367.1	XP_005067555.1
OG0001863	XP_045634128.1	XP_005067911.2
OG0001863	XP_045634204.1	XP_021081450.1
OG0001864	XP_045655450.1	XP_012970358.1, XP_012970359.1, XP_012970356.1, XP_012970360.1, XP_012970354.1, XP_040612959.1
OG0001865	XP_045659399.1	XP_040590968.1
OG0001866	XP_045659434.1	XP_012975517.2
OG0001867	XP_045670833.1	XP_005078703.1
OG0001868	XP_045642189.1	XP_005080425.1
OG0001868	XP_045633379.1	XP_021089001.1
OG0001869	XP_045642191.1	XP_040587620.1
OG0001870	XP_045630906.1	XP_005069876.1
OG0001870	XP_045669316.1	XP_005080015.1
OG0001871	XP_045642222.1, XP_045642221.1, XP_045642223.1	XP_005064431.2, XP_040610022.1
OG0001872	XP_045631194.1	XP_040610729.1
OG0001873	XP_045626875.1	XP_012972932.1
OG0001874	XP_045657897.1	XP_040607537.1
OG0001875	XP_045657926.1, XP_045657928.1, XP_045657927.1	XP_040607534.1, XP_040607533.1
OG0001876	XP_045669333.1	XP_040607238.1
OG0001877	XP_045644730.1, XP_045644731.1, XP_045644732.1	XP_005081261.1
OG0001878	XP_045664587.1	XP_040589298.1
OG0001878	XP_045643654.1	XP_040593201.1
OG0001879	XP_045632151.1	XP_005068365.1
OG0001879	XP_045652158.1	XP_040593531.1
OG0001880	XP_045639740.1	XP_040608287.1
OG0001881	XP_045637732.1	XP_040613759.1
OG0001882	XP_045666516.1	XP_040591726.1
OG0001883	XP_045658525.1	XP_021091917.2
OG0001884	XP_045658720.1	XP_040596604.1, XP_040596605.1, XP_040596602.1, XP_040596603.1, XP_040599651.1
OG0001885	XP_045654931.1	XP_012970862.1
OG0001886	XP_045663743.1, XP_045663742.1	XP_040598670.1
OG0001887	XP_045663674.1	XP_005084050.1
OG0001888	XP_045630885.1	XP_012968745.1, XP_012968750.1, XP_040606154.1, XP_012968749.1, XP_012968748.1, XP_005069835.2
OG0001889	XP_045669714.1	XP_021086197.1, XP_040605515.1
OG0001890	XP_045659656.1	XP_005083778.1
OG0001891	XP_045647122.1	XP_040591626.1
OG0001891	XP_045669664.1	XP_012978713.2
OG0001892	XP_045627043.1	XP_005085553.1
OG0001894	XP_045645857.1	XP_021088491.1, XP_012975728.1, XP_005079768.1
OG0001895	XP_045645557.1	XP_021089401.1, XP_012977019.1, XP_005081547.1
OG0001896	XP_045635820.1	XP_005067079.1, XP_012966789.1, XP_040608674.1
OG0001897	XP_045635949.1, XP_045635950.1	XP_040610069.1, XP_005067043.1
OG0001898	XP_045635540.1, XP_045635539.1	XP_005083862.1
OG0001899	XP_045635831.1, XP_045635835.1, XP_045635833.1, XP_045635832.1	XP_040611119.1, XP_021090768.1, XP_005083852.1
OG0001900	XP_045627761.1	XP_012969271.1
OG0001901	XP_045627709.1, XP_045627710.1	XP_012972832.2, XP_040607327.1
OG0001902	XP_045650873.1, XP_045650874.1	XP_012970168.1
OG0001903	XP_045650626.1	XP_040604515.1
OG0001904	XP_045636369.1	XP_005080879.1, XP_040596240.1
OG0001905	XP_045636440.1	XP_005078944.1
OG0001906	XP_045647085.1	XP_012972566.1
OG0001907	XP_045661405.1	XP_040595983.1, XP_040595982.1, XP_040595979.1, XP_012971505.1, XP_040595985.1, XP_040595980.1, XP_040595984.1, XP_040595981.1, XP_012971506.1
OG0001908	XP_045633003.1, XP_045633004.1, XP_045633002.1	XP_005072445.1
OG0001909	XP_045662996.1, XP_045662995.1	XP_040596579.1
OG0001910	XP_045662986.1	XP_040596616.1
OG0001911	XP_045661815.1	XP_005072702.1
OG0001912	XP_045659910.1	XP_012980209.1
OG0001913	XP_045633207.1	XP_040594330.1, XP_012980592.2, XP_005086017.3
OG0001914	XP_045671890.1	XP_040603091.1
OG0001915	XP_045668192.1	XP_040586385.1, XP_040586401.1, XP_040586532.1, XP_040586254.1
OG0001916	XP_045636141.1	XP_040610911.1
OG0001917	XP_045652932.1	XP_012974462.1
OG0001917	XP_045654809.1	XP_005080151.1
OG0001918	XP_045648204.1	XP_005084265.1
OG0001918	XP_045660023.1	XP_040595348.1
OG0001919	XP_045631500.1	XP_005064005.1, XP_040604868.1
OG0001920	XP_045665081.1, XP_045665082.1	XP_005073639.1, XP_040586798.1
OG0001921	XP_045664773.1	XP_012974698.1
OG0001922	XP_045646504.1	XP_040608199.1, XP_005084355.1
OG0001923	XP_045642656.1, XP_045642655.1, XP_045642657.1, XP_045642654.1	XP_005065142.1
OG0001924	XP_045644469.1	XP_040602584.1
OG0001925	XP_045649622.1	XP_005080916.1
OG0001925	XP_045664207.1	XP_040594251.1, XP_012965947.1, XP_005066212.1
OG0001926	XP_045664536.1	XP_040601918.1
OG0001927	XP_045649700.1	XP_005063928.1
OG0001928	XP_045642754.1, XP_045642755.1	XP_040603587.1
OG0001929	XP_045654994.1, XP_045654993.1, XP_045654995.1	XP_012968557.1, XP_005069753.1, XP_040610407.1, XP_040610406.1
OG0001930	XP_045660038.1	XP_040594447.1
OG0001931	XP_045668317.1	XP_040593509.1
OG0001932	XP_045663413.1	XP_012974024.1, XP_005077430.1
OG0001933	XP_045663304.1, XP_045663299.1, XP_045663296.1, XP_045663297.1, XP_045663300.1, XP_045663302.1, XP_045663301.1, XP_045663298.1, XP_045663303.1	XP_040603730.1
OG0001934	XP_045663202.1, XP_045663201.1, XP_045663199.1, XP_045663200.1, XP_045663196.1, XP_045663198.1	XP_040596136.1
OG0001936	XP_045667943.1, XP_045667942.1, XP_045667941.1	XP_005087609.1, XP_040610865.1
OG0001937	XP_045630379.1, XP_045630382.1, XP_045630381.1	XP_005085327.1
OG0001938	XP_045632680.1, XP_045632682.1	XP_021089336.1
OG0001939	XP_045656165.1	XP_021090534.1
OG0001940	XP_045638788.1	XP_005074205.1, XP_040587601.1
OG0001941	XP_045671512.1, XP_045671511.1	XP_012971701.1
OG0001942	XP_045638710.1	XP_005074102.1
OG0001943	XP_045664576.1	XP_005083269.1, XP_021090413.1, XP_021090412.1
OG0001944	XP_045668717.1	XP_005077962.1
OG0001944	XP_045652677.1	XP_040584417.1
OG0001945	XP_045632737.1	XP_040602392.1, XP_040602391.1, XP_040602390.1
OG0001946	XP_045665178.1, XP_045665170.1	XP_005068757.1, XP_012967856.1
OG0001947	XP_045664874.1, XP_045664881.1, XP_045664866.1	XP_040602292.1
OG0001948	XP_045664619.1	XP_040602272.1, XP_040594530.1
OG0001949	XP_045664403.1, XP_045664411.1	XP_005068706.1
OG0001950	XP_045660740.1	XP_005085047.1
OG0001951	XP_045650810.1	XP_040588588.1
OG0001952	XP_045650665.1, XP_045650673.1	XP_040588627.1, XP_040600935.1
OG0001953	XP_045653050.1	XP_040596514.1, XP_040596513.1, XP_040596512.1, XP_040596515.1, XP_040596516.1
OG0001954	XP_045665433.1	XP_005064320.1
OG0001954	XP_045630099.1	XP_005075281.1
OG0001955	XP_045630019.1	XP_040591801.1
OG0001956	XP_045649810.1	XP_040598137.1, XP_005075260.1
OG0001957	XP_045634536.1	XP_040587383.1, XP_040587385.1, XP_040587384.1, XP_040587388.1, XP_040587387.1, XP_040587386.1
OG0001958	XP_045658334.1	XP_005063746.1, XP_040601397.1, XP_040601405.1, XP_040601412.1
OG0001959	XP_045637232.1	XP_040593196.1, XP_040593195.1, XP_040593194.1, XP_040593192.1, XP_040593193.1
OG0001960	XP_045637392.1, XP_045637391.1, XP_045637393.1, XP_045637389.1, XP_045637390.1	XP_040599356.1, XP_040599354.1
OG0001961	XP_045667861.1	XP_040599479.1
OG0001962	XP_045667812.1	XP_021084547.1
OG0001963	XP_045667747.1	XP_012970982.1, XP_021084568.1, XP_005073010.1, XP_021084570.1, XP_021084571.1, XP_021084569.1
OG0001964	XP_045657187.1	XP_040609850.1, XP_040609849.1
OG0001965	XP_045656769.1	XP_005067253.1
OG0001966	XP_045656821.1	XP_012966716.1
OG0001967	XP_045640924.1	XP_012965671.2
OG0001967	XP_045640925.1	XP_005063242.2
OG0001968	XP_045665855.1	XP_012974282.1
OG0001969	XP_045659179.1, XP_045659178.1	XP_040598141.1
OG0001970	XP_045659279.1	XP_040608914.1
OG0001971	XP_045665382.1	XP_040608103.1
OG0001971	XP_045649131.1	NP_001268625.1
OG0001972	XP_045668064.1, XP_045668066.1, XP_045668065.1, XP_045668067.1	XP_040602152.1, XP_012967863.1, XP_021081963.1, XP_005068518.1, XP_012967862.1
OG0001973	XP_045651149.1, XP_045651148.1	XP_005069649.1
OG0001974	XP_045651123.1	XP_005069642.2
OG0001975	XP_045641444.1	XP_005073911.1
OG0001976	XP_045655101.1, XP_045655100.1	XP_040607745.1, XP_040607749.1, XP_040607746.1, XP_040607744.1, XP_040607747.1, XP_040607748.1
OG0001977	XP_045648503.1, XP_045648520.1, XP_045648510.1	XP_021089633.1
OG0001978	XP_045641235.1	XP_040606640.1
OG0001979	XP_045644559.1	XP_040610481.1
OG0001980	XP_045644615.1	XP_005069816.1
OG0001981	XP_045667528.1, XP_045667530.1, XP_045667534.1, XP_045667527.1, XP_045667531.1, XP_045667529.1, XP_045667532.1	XP_012966037.1
OG0001982	XP_045659870.1	XP_005087255.2
OG0001983	XP_045662137.1, XP_045662136.1	XP_040601559.1, XP_040601560.1, XP_040601562.1
OG0001984	XP_045633530.1	XP_005070528.1
OG0001985	XP_045643469.1	XP_021079397.1, XP_012981632.1, XP_021079396.1, XP_021079394.1, XP_005087399.1
OG0001986	XP_045640526.1, XP_045640527.1	NP_001268264.1
OG0001987	XP_045644721.1	XP_040599969.1
OG0001988	XP_045631514.1, XP_045631505.1, XP_045631497.1	XP_040599993.1
OG0001990	XP_045631526.1	XP_040600174.1
OG0001991	XP_045656261.1	XP_040600320.1, XP_040600321.1
OG0001992	XP_045670832.1, XP_045670824.1, XP_045670815.1	XP_012978263.1, XP_005083170.1
OG0001993	XP_045660925.1	XP_021086695.1, NP_001366030.1, XP_040602499.1
OG0001994	XP_045654305.1	XP_040600756.1, XP_040600754.1
OG0001995	XP_045661574.1	XP_005065866.2, XP_040584275.1, XP_040584316.1, XP_040584242.1, XP_040584301.1
OG0001997	XP_045662426.1	XP_005070665.1
OG0001998	XP_045641663.1	XP_012971589.1
OG0002001	XP_045645578.1	XP_040587667.1, XP_040610761.1
OG0002002	XP_045665746.1	XP_005065665.1
OG0002003	XP_045670585.1	NP_001268870.1
OG0002004	XP_045639245.1	XP_040591846.1
OG0002005	XP_045668996.1	XP_012974422.1
OG0002005	XP_045646155.1	XP_005074710.1
OG0002006	XP_045667362.1, XP_045667361.1	XP_040593898.1
OG0002008	XP_045628036.1	XP_040603877.1, XP_005084771.1
OG0002009	XP_045652116.1, XP_045652118.1, XP_045652117.1, XP_045652115.1	XP_021089574.1, XP_012977203.1, XP_005081825.1
OG0002011	XP_045633006.1	XP_040585477.1
OG0002012	XP_045666192.1	XP_021084595.1, XP_021084596.1, XP_005139405.2
OG0002013	XP_045654892.1, XP_045654891.1	XP_012974313.1, XP_012974314.1, XP_040590777.1
OG0002015	XP_045636314.1	XP_005076537.1, XP_005076563.1
OG0002016	XP_045643002.1	XP_005063845.2, XP_005063298.1, XP_005063842.1
OG0002017	XP_045642846.1, XP_045642862.1, XP_045642852.1	XP_040601663.1
OG0002018	XP_045656712.1	XP_040610207.1
OG0002018	XP_045656678.1	XP_005079853.1
OG0002019	XP_045638791.1, XP_045638794.1	XP_005074160.1, XP_005074149.1
OG0002020	XP_045663770.1, XP_045663651.1, XP_045648133.1	XP_040590542.1
OG0002021	XP_045646238.1	XP_005065459.1
OG0002022	XP_045666062.1	XP_005065925.1
OG0002023	XP_045661396.1	XP_040614115.1, XP_040614116.1, XP_040599864.1
OG0002024	XP_045628373.1	XP_012966133.1, XP_012966134.1, XP_012966136.1, XP_012966135.1, XP_012966137.1, XP_040611891.1, XP_021080582.1, XP_021080583.1
OG0002025	XP_045631151.1, XP_045631152.1	XP_005084840.1
OG0002026	XP_045628194.1	XP_012979644.1
OG0002027	XP_045628097.1	XP_040591949.1, XP_040591948.1, XP_005084758.1, XP_040591950.1, XP_040591951.1, XP_040591947.1
OG0002029	XP_045641419.1	XP_005086286.1
OG0002029	XP_045648029.1, XP_045648028.1	XP_005072000.1
OG0002031	XP_045655867.1	XP_040591456.1, XP_021089578.1
OG0002032	XP_045639209.1, XP_045643945.1	XP_040611421.1, XP_040611422.1
OG0002033	XP_045650376.1	XP_012968212.1, XP_005069266.1
OG0002034	XP_045650265.1, XP_045650267.1, XP_045650266.1	XP_021079831.1
OG0002035	XP_045661042.1	XP_040600235.1
OG0002035	XP_045662686.1	XP_021088116.1
OG0002036	XP_045638064.1, XP_045638063.1	XP_021088341.1
OG0002037	XP_045638649.1	XP_021088369.1, XP_005079674.1
OG0002038	XP_045638559.1	XP_040613364.1, XP_005081081.1
OG0002039	XP_045637949.1, XP_045633857.1, XP_045637952.1	XP_005081116.1
OG0002039	XP_045637948.1	XP_005081115.1
OG0002040	XP_045664311.1	XP_040584861.1
OG0002041	XP_045637376.1	XP_012970984.1
OG0002042	XP_045668969.1	XP_040585472.1, XP_040585466.1
OG0002043	XP_045668955.1, XP_045668956.1, XP_045668959.1, XP_045668958.1, XP_045668957.1	XP_040585299.1
OG0002044	XP_045630809.1	XP_040602859.1
OG0002045	XP_045627354.1	XP_005068845.2
OG0002046	XP_045639277.1	XP_012969393.1, XP_005070898.1
OG0002047	XP_045647990.1	XP_005071984.1, XP_021083957.1
OG0002048	XP_045655383.1	XP_005075210.1
OG0002048	XP_045647923.1	XP_005067791.1
OG0002050	XP_045643187.1	XP_005078057.1
OG0002051	XP_045659459.1, XP_045659458.1	XP_012975400.1
OG0002052	XP_045654033.1	XP_040586175.1, XP_012980525.2, XP_005085924.2, XP_040585830.1, XP_040586176.1
OG0002053	XP_045653904.1	XP_005083031.1, XP_040602983.1, XP_040600151.1, XP_005069489.2
OG0002054	XP_045634203.1, XP_045634202.1	XP_040604793.1, XP_040604792.1
OG0002055	XP_045634205.1	XP_012967258.1
OG0002056	XP_045658153.1	XP_040613062.1
OG0002057	XP_045659348.1	XP_005079280.1, XP_040590902.1, XP_021088174.1, XP_040590903.1
OG0002058	XP_045652021.1, XP_045649606.1	XP_005073125.1
OG0002059	XP_045666216.1	NP_001268606.1, XP_012971020.1
OG0002060	XP_045666178.1	XP_040592802.1
OG0002061	XP_045670938.1, XP_045670939.1	XP_021086451.1
OG0002062	XP_045671009.1, XP_045671007.1	XP_005076378.1, XP_040592554.1
OG0002063	XP_045642215.1	XP_040609382.1, XP_040609360.1, XP_005064372.3, XP_040609371.1, XP_012967883.1
OG0002064	XP_045642081.1, XP_045642077.1, XP_045642080.1, XP_045642078.1	XP_040587240.1
OG0002065	XP_045656535.1	XP_005063259.1, XP_005087648.1
OG0002066	XP_045641897.1, XP_045641898.1	XP_021084593.1, XP_040599315.1
OG0002067	XP_045640694.1	XP_005081647.1
OG0002068	XP_045657609.1, XP_045657610.1	XP_040607931.1, XP_040607929.1, XP_040607927.1, XP_040607930.1, XP_040607928.1
OG0002069	XP_045657702.1	XP_040607872.1
OG0002070	XP_045643696.1, XP_045643694.1, XP_045643692.1, XP_045643693.1, XP_045643695.1	XP_005073505.1, XP_012971358.1, XP_012971359.1
OG0002071	XP_045640316.1	XP_012976154.1
OG0002072	XP_045663795.1	XP_040598233.1, NP_001268880.1
OG0002073	XP_045663748.1, XP_045663750.1, XP_045663747.1, XP_045663751.1	XP_040598680.1, XP_040598679.1, XP_005086457.2, XP_040598678.1
OG0002074	XP_045670311.1	XP_005070090.1
OG0002075	XP_045670469.1	XP_012968713.3
OG0002075	XP_045661121.1	XP_040604667.1, XP_005067756.1
OG0002076	XP_045633734.1, XP_045633733.1, XP_045633732.1	XP_040608078.1, XP_040605577.1
OG0002077	XP_045669724.1, XP_045669725.1	XP_012973160.1, XP_005075945.1, XP_021086191.1
OG0002078	XP_045646955.1, XP_045646956.1	XP_012977469.1
OG0002079	XP_045645868.1	XP_005079763.1, XP_012975722.1, XP_012975723.1
OG0002080	XP_045645839.1	XP_012975725.1, XP_005079775.1, XP_012975726.1, XP_012975724.1
OG0002081	XP_045635688.1, XP_045635691.1, XP_045635689.1	XP_005067045.1
OG0002082	XP_045627701.1, XP_045627702.1	XP_040585209.1
OG0002084	XP_045644096.1	XP_021082978.1
OG0002085	XP_045636510.1	XP_040595316.1
OG0002086	XP_045636331.1	XP_005078823.1
OG0002087	XP_045636609.1	XP_040594498.1
OG0002088	XP_045647084.1, XP_045647082.1, XP_045647083.1, XP_045647081.1	XP_040613319.1, XP_040613317.1, XP_040613318.1
OG0002089	XP_045651600.1, XP_045651601.1	XP_005086882.1
OG0002090	XP_045633788.1, XP_045633789.1	XP_040588128.1, XP_005084967.1, XP_012979757.1
OG0002091	XP_045632957.1	XP_040585073.1
OG0002092	XP_045634071.1, XP_045634072.1, XP_045634074.1, XP_045634073.1	XP_012980224.1
OG0002093	XP_045633262.1	XP_040592225.1
OG0002094	XP_045651742.1	XP_005085444.1
