Orthogroup	Ursus_americanus	Sarcophilus_harrisii
OG0000489	XP_045648121.1	XP_012407168.1
OG0000489	XP_045631325.1	XP_031796000.1
OG0000490	XP_045638472.1, XP_045638475.1, XP_045638473.1, XP_045638474.1	XP_012402712.1, XP_012402713.1, XP_031818340.1, XP_031818342.1, XP_023357136.1
OG0000491	XP_045657611.1	XP_031820616.1
OG0000491	XP_045638641.1	XP_031818431.1
OG0000492	XP_045669176.1	XP_031811549.1, XP_023352266.1, XP_023352263.1
OG0000493	XP_045653348.1	XP_031821271.1, XP_031821276.1, XP_031821278.1, XP_031821274.1
OG0000493	XP_045653347.1	XP_031821277.1
OG0000494	XP_045652039.1, XP_045652037.1, XP_045652040.1, XP_045652042.1, XP_045652038.1	XP_003757905.1, XP_023350400.1, XP_031807145.1, XP_031807147.1, XP_031807146.1, XP_023350399.1
OG0000495	XP_045629722.1, XP_045629723.1, XP_045629721.1	XP_031821123.1, XP_031821122.1, XP_012404259.1, XP_031821124.1, XP_023358597.1
OG0000497	XP_045643838.1	XP_031793212.1
OG0000498	XP_045640496.1, XP_045640495.1	XP_003768085.1, XP_031822456.1, XP_012403575.1, XP_023357993.1
OG0000499	XP_045666272.1, XP_045666275.1, XP_045666274.1, XP_045666270.1, XP_045666271.1, XP_045666273.1, XP_045666277.1, XP_045666276.1	XP_031808483.1
OG0000500	XP_045663581.1, XP_045663582.1, XP_045663583.1, XP_045663580.1, XP_045663585.1	XP_012402791.1, XP_031808208.1
OG0000501	XP_045670060.1, XP_045670059.1, XP_045670061.1, XP_045670063.1	XP_023358251.1, XP_012403897.1, XP_023358250.1, XP_031821852.1, XP_003768458.1
OG0000502	XP_045645850.1	XP_003772201.1
OG0000502	XP_045645854.1	XP_012406915.1
OG0000503	XP_045661776.1	XP_031802936.1
OG0000504	XP_045649079.1	XP_031796584.1
OG0000505	XP_045648768.1	XP_003771566.1, XP_031794698.1, XP_031794697.1, XP_031794699.1
OG0000506	XP_045642756.1	XP_003774060.1
OG0000507	XP_045639119.1, XP_045639082.1, XP_045639109.1, XP_045639092.1, XP_045639129.1, XP_045639100.1, XP_045639140.1	XP_023354946.1, XP_023354950.1, XP_023354947.1, XP_012400144.1, XP_023354949.1
OG0000508	XP_045666169.1, XP_045666182.1, XP_045666175.1	XP_003757397.1
OG0000510	XP_045669446.1	XP_031815057.1, XP_031815056.1, XP_031815059.1
OG0000511	XP_045669487.1, XP_045669488.1, XP_045669486.1, XP_045669485.1	XP_031815055.1
OG0000512	XP_045637531.1, XP_045637538.1, XP_045637542.1, XP_045637515.1, XP_045637496.1, XP_045637523.1, XP_045637506.1	XP_003763925.1
OG0000514	XP_045647141.1, XP_045646963.1, XP_045647116.1	XP_012409139.2
OG0000517	XP_045635647.1	XP_031794525.1
OG0000518	XP_045642965.1, XP_045642967.1, XP_045642969.1	XP_012408158.1
OG0000518	XP_045642968.1, XP_045642966.1, XP_045642963.1	XP_003773943.1, XP_003773942.1
OG0000519	XP_045645330.1	XP_023357171.2
OG0000520	XP_045641559.1, XP_045641563.1	XP_031818979.1
OG0000521	XP_045633909.1, XP_045633878.1	XP_031818691.1, XP_003766811.1
OG0000522	XP_045630670.1, XP_045630673.1, XP_045630677.1, XP_045630679.1, XP_045630672.1, XP_045630671.1, XP_045630674.1, XP_045630675.1, XP_045630676.1	XP_031818681.1, XP_031818680.1, XP_031818683.1, XP_031818682.1
OG0000523	XP_045651314.1	XP_031811324.1
OG0000524	XP_045649023.1	XP_031796130.1
OG0000524	XP_045669866.1	XP_031821432.1
OG0000524	XP_045653169.1	XP_031821393.1
OG0000525	XP_045670101.1	XP_003768508.1
OG0000525	XP_045634160.1	XP_031793484.1, XP_031793490.1, XP_031793495.1, XP_012398124.1
OG0000526	XP_045658182.1	XP_031824886.1, XP_031824885.1, XP_031824887.1, XP_012403031.1, XP_031824889.1, XP_031824888.1
OG0000527	XP_045647839.1	XP_003763783.1
OG0000527	XP_045659561.1, XP_045659560.1	XP_031818772.1
OG0000528	XP_045651949.1, XP_045651951.1, XP_045651947.1, XP_045651950.1, XP_045651952.1	XP_023350962.1, XP_003758618.3, XP_023350961.1, XP_023350963.1, XP_023350964.1
OG0000529	XP_045642082.1	XP_031823740.1
OG0000530	XP_045669479.1, XP_045669481.1, XP_045669480.1, XP_045669477.1, XP_045644625.1	XP_012399784.1, XP_031815132.1, XP_031815133.1
OG0000531	XP_045667287.1, XP_045667289.1, XP_045667286.1, XP_045667288.1, XP_045667292.1, XP_045667291.1	XP_031792816.1
OG0000532	XP_045663658.1, XP_045663657.1	XP_031808277.1, XP_031808269.1, XP_031808273.1, XP_031808271.1, XP_031808270.1, XP_031808278.1, XP_031808272.1, XP_031808279.1, XP_031808276.1, XP_031808274.1
OG0000533	XP_045631347.1, XP_045631351.1, XP_045631346.1, XP_045631349.1, XP_045631350.1, XP_045631352.1, XP_045631348.1	XP_003756603.2, XP_031809109.1
OG0000534	XP_045669784.1	XP_003768611.1, XP_031821556.1
OG0000535	XP_045643882.1, XP_045643880.1, XP_045643881.1, XP_045643879.1	XP_031806290.1, XP_031806289.1, XP_031806293.1, XP_031806292.1, XP_031806291.1
OG0000536	XP_045643905.1, XP_045643904.1, XP_045643903.1, XP_045643906.1	XP_031806312.1, XP_031806311.1, XP_031806310.1
OG0000537	XP_045665601.1	XP_031822944.1
OG0000537	XP_045665597.1, XP_045665600.1, XP_045665599.1	XP_012403347.1, XP_003767770.1
OG0000538	XP_045652460.1	XP_023362039.1
OG0000538	XP_045627988.1	XP_031820860.1
OG0000538	XP_045637223.1	XP_023360383.2
OG0000539	XP_045633001.1, XP_045633000.1, XP_045633016.1, XP_045632994.1	XP_012405625.1, XP_031820750.1
OG0000540	XP_045650034.1, XP_045648171.1	XP_031795417.1
OG0000541	XP_045633255.1	XP_031803497.1
OG0000542	XP_045649150.1, XP_045649147.1, XP_045649146.1, XP_045649149.1, XP_045649148.1, XP_045649151.1	XP_031796150.1
OG0000543	XP_045648292.1, XP_045648293.1	XP_012406609.1
OG0000544	XP_045635118.1	XP_031806605.1, XP_003758054.1
OG0000544	XP_045640742.1, XP_045640751.1	XP_031812079.1
OG0000545	XP_045641749.1	XP_003773072.1
OG0000545	XP_045646641.1, XP_045669612.1	XP_031814924.1
OG0000547	XP_045631647.1, XP_045631763.1	XP_031799475.1, XP_031797955.1, XP_031797954.1
OG0000548	XP_045638120.1, XP_045638131.1	XP_003763903.1, XP_031815912.1, XP_031815915.1, XP_031815911.1, XP_031815914.1, XP_031815913.1
OG0000549	XP_045632660.1	XP_003760657.1
OG0000550	XP_045671510.1, XP_045671509.1	XP_031817699.1, XP_003764654.1
OG0000551	XP_045672170.1	XP_003766978.1, XP_031817328.1
OG0000552	XP_045667738.1, XP_045667737.1, XP_045667743.1, XP_045667741.1, XP_045667739.1, XP_045667740.1	XP_031794342.1, XP_031794341.1
OG0000553	XP_045657203.1, XP_045657204.1	XP_031796419.1, XP_031796420.1, XP_031796418.1
OG0000554	XP_045662044.1, XP_045662046.1, XP_045662043.1, XP_045662045.1, XP_045662042.1	XP_023351726.1, XP_031802100.1, XP_012396703.1, XP_003759740.1
OG0000555	XP_045661929.1	XP_031802840.1, XP_023352156.1, XP_003760294.1, XP_023352155.1
OG0000557	XP_045641421.1, XP_045641422.1, XP_045641423.1, XP_045641420.1	XP_031815093.1, XP_031815094.1
OG0000558	XP_045656392.1, XP_045656391.1, XP_045656390.1, XP_045656396.1, XP_045656394.1, XP_045656395.1	XP_003768745.1
OG0000560	XP_045645870.1	XP_031797076.1
OG0000560	XP_045637577.1	XP_012403726.1
OG0000561	XP_045636349.1	XP_031825028.1, XP_003761429.1
OG0000563	XP_045638905.1, XP_045638907.1, XP_045638941.1	XP_012402833.2
OG0000564	XP_045653317.1, XP_045653318.1, XP_045653316.1	XP_031821286.1, XP_031821287.1, XP_031821289.1, XP_031821288.1
OG0000565	XP_045638899.1, XP_045638896.1	XP_003764848.1
OG0000565	XP_045638802.1	XP_031813126.1, XP_003767084.3, XP_031813125.1
OG0000565	XP_045638942.1	XP_003764917.1, XP_003766957.1, XP_023355537.1, XP_003764846.1
OG0000566	XP_045653296.1	XP_031821303.1
OG0000567	XP_045659784.1, XP_045648116.1	XP_003765622.1
OG0000568	XP_045644774.1, XP_045632365.1, XP_045632286.1, XP_045650991.1	XP_031819118.1
OG0000569	XP_045666001.1, XP_045652607.1	XP_003765175.2
OG0000571	XP_045638303.1	XP_031818495.1
OG0000572	XP_045666213.1, XP_045666210.1, XP_045666211.1, XP_045666212.1, XP_045666214.1	XP_012396305.1, XP_023351333.1, XP_031805837.1
OG0000573	XP_045645861.1	XP_003772205.1
OG0000574	XP_045661649.1, XP_045661651.1, XP_045661650.1	XP_031803100.1
OG0000575	XP_045640804.1	XP_031810839.1
OG0000576	XP_045644696.1	XP_031807141.1
OG0000577	XP_045630278.1, XP_045641592.1	XP_023354751.2
OG0000578	XP_045659797.1	XP_031799845.1
OG0000579	XP_045649611.1	XP_003775144.1
OG0000579	XP_045644718.1	XP_031814856.1
OG0000581	XP_045647180.1	XP_031806984.1
OG0000581	XP_045647495.1	XP_003761203.1
OG0000582	XP_045667857.1, XP_045667860.1, XP_045667859.1	XP_003771435.1, XP_003771436.1
OG0000583	XP_045657012.1	XP_031793758.1
OG0000584	XP_045656832.1, XP_045656831.1, XP_045656834.1, XP_045656833.1	XP_031793598.1, XP_031793597.1
OG0000585	XP_045641307.1	XP_031815436.1, XP_023354739.1, XP_031815433.1, XP_023354738.1, XP_031815440.1, XP_031815439.1, XP_012399940.1, XP_031815437.1, XP_031815435.1, XP_031815438.1, XP_031815432.1, XP_031815441.1
OG0000586	XP_045641582.1, XP_045641140.1, XP_045641141.1, XP_045641139.1	XP_031815522.1, XP_012402478.1, XP_012402482.1
OG0000587	XP_045668497.1	XP_031815597.1
OG0000589	XP_045639390.1	XP_003763972.1
OG0000590	XP_045669609.1	XP_031814925.1, XP_012401579.1, XP_031814928.1, XP_023356140.1
OG0000591	XP_045656640.1	XP_023356098.1, XP_012401533.1, XP_012401534.1, XP_003765621.1
OG0000592	XP_045627956.1, XP_045646394.1, XP_045646395.1, XP_045646393.1, XP_045646396.1	XP_031801112.1
OG0000593	XP_045655325.1, XP_045655326.1, XP_045655328.1, XP_045655327.1	XP_031800168.1, XP_031800167.1, XP_031800169.1
OG0000594	XP_045655392.1	XP_031800813.1, XP_031800814.1, XP_031800815.1
OG0000596	XP_045642487.1, XP_045627506.1, XP_045663152.1, XP_045663287.1	XP_031817464.1, XP_031817467.1, XP_031817470.1, XP_031817462.1, XP_031817466.1, XP_031817465.1, XP_031817469.1
OG0000597	XP_045639482.1	XP_012409352.1
OG0000598	XP_045643931.1	XP_003758325.3
OG0000598	XP_045663752.1	XP_031808366.1
OG0000599	XP_045668162.1, XP_045668179.1, XP_045668170.1, XP_045668154.1, XP_045668189.1	XP_031813408.1, XP_031813412.1, XP_031813410.1, XP_031813409.1
OG0000601	XP_045634782.1, XP_045634783.1, XP_045634781.1, XP_045634742.1, XP_045634746.1	XP_003763097.2, XP_003763324.2, XP_031806643.1
OG0000602	XP_045638707.1, XP_045638704.1	XP_003764800.2
OG0000602	XP_045638770.1	XP_031817330.1, XP_031817331.1, XP_023356303.1
OG0000602	XP_045638703.1	XP_012400855.1
OG0000603	XP_045636843.1	XP_031801325.1, XP_031801323.1, XP_031801327.1, XP_031801324.1, XP_031801328.1, XP_012398520.1, XP_031801326.1, XP_023353440.1
OG0000604	XP_045636991.1, XP_045636992.1, XP_045636993.1	XP_031801387.1
OG0000605	XP_045628221.1, XP_045628168.1	XP_012397577.2
OG0000606	XP_045632277.1, XP_045632279.1	XP_031819721.1, XP_031819720.1, XP_031819719.1
OG0000607	XP_045659788.1	XP_012404615.1
OG0000607	XP_045661135.1	XP_031818955.1, XP_003765179.1
OG0000608	XP_045647770.1, XP_045647771.1, XP_045647772.1	XP_003763754.1, XP_031815631.1
OG0000611	XP_045667445.1, XP_045667447.1, XP_045667448.1, XP_045667446.1	XP_031792835.1, XP_031792834.1
OG0000612	XP_045631364.1	XP_031809089.1
OG0000613	XP_045629055.1	XP_031822300.1, XP_003768016.1
OG0000615	XP_045636581.1, XP_045660973.1	XP_031800969.1, XP_031815573.1, XP_031815566.1
OG0000616	XP_045636394.1	XP_031799117.1
OG0000617	XP_045636568.1	XP_031817118.1
OG0000617	XP_045636569.1	XP_003762226.1
OG0000618	XP_045649870.1, XP_045649871.1, XP_045636105.1	XP_031794933.1
OG0000619	XP_045635147.1, XP_045635149.1, XP_045635153.1, XP_045635152.1, XP_045635146.1, XP_045635150.1, XP_045635151.1, XP_045635154.1, XP_045635145.1	XP_003758062.1
OG0000620	XP_045649468.1, XP_045649469.1	XP_031807639.1, XP_031807649.1, XP_031807645.1
OG0000621	XP_045642641.1	XP_031799726.1, XP_031799722.1, XP_031799723.1, XP_031799725.1
OG0000622	XP_045634363.1	XP_003762290.1, XP_031815467.1
OG0000623	XP_045634695.1	XP_031804098.1
OG0000624	XP_045651129.1	XP_031812469.1, XP_031812472.1, XP_031812470.1
OG0000624	XP_045656085.1	XP_003760841.1
OG0000625	XP_045672181.1, XP_045672184.1, XP_045672183.1, XP_045672180.1, XP_045672182.1	XP_003764711.2, XP_031817275.1
OG0000626	XP_045652478.1	XP_003773652.1
OG0000628	XP_045659015.1	XP_031811660.1, XP_023351843.1, XP_003755470.1, XP_031811661.1, XP_031811662.1, XP_023351840.1
OG0000629	XP_045659047.1	XP_012396691.1, XP_031811703.1, XP_012396686.1, XP_003755443.1, XP_012396694.1
OG0000630	XP_045671867.1	XP_031807901.1, XP_031807903.1, XP_031807902.1, XP_003759349.1, XP_031807899.1, XP_031807904.1, XP_031807898.1, XP_031807897.1
OG0000631	XP_045643888.1	XP_031811133.1, XP_012399305.1
OG0000632	XP_045662261.1	XP_031816189.1
OG0000633	XP_045643478.1, XP_045643476.1, XP_045643477.1	XP_031793096.1, XP_031793097.1, XP_031793098.1
OG0000635	XP_045636884.1, XP_045642322.1, XP_045642317.1	XP_003759196.1, XP_003759080.2
OG0000638	XP_045652974.1	XP_031816604.1, XP_031816603.1
OG0000639	XP_045653595.1, XP_045653594.1, XP_045653593.1	XP_031816933.1, XP_023355251.2, XP_031816931.1
OG0000640	XP_045650523.1	XP_012406425.1
OG0000641	XP_045668335.1, XP_045668334.1	XP_012399104.1
OG0000642	XP_045670169.1, XP_045632910.1	XP_031821636.1
OG0000645	XP_045638792.1	XP_003764874.1
OG0000645	XP_045638867.1	XP_012400908.1, XP_012400871.2, XP_031813128.1
OG0000645	XP_045638853.1	XP_012400870.1
OG0000647	XP_045646320.1, XP_045646317.1	XP_012396680.1
OG0000648	XP_045636853.1, XP_045636854.1	XP_031793609.1, XP_031793640.1
OG0000649	XP_045633849.1, XP_045634002.1, XP_045634180.1, XP_045634333.1, XP_045634268.1, XP_045633927.1, XP_045634095.1	XP_031817535.1
OG0000650	XP_045643921.1, XP_045643912.1	XP_003771951.1, XP_012406724.1
OG0000651	XP_045665787.1, XP_045665786.1	XP_003762972.1, XP_031822695.1, XP_031822691.1
OG0000652	XP_045638661.1	XP_031817384.1
OG0000653	XP_045638129.1, XP_045638130.1, XP_045638134.1, XP_045638132.1, XP_045638128.1, XP_045638133.1	XP_023355610.1, XP_012400994.1, XP_023355611.1, XP_031818374.1, XP_031818373.1
OG0000655	XP_045643285.1, XP_045643286.1, XP_045643284.1, XP_045643283.1	XP_003759966.1, XP_012396874.1
OG0000656	XP_045640777.1, XP_045640776.1, XP_045640781.1, XP_045640775.1, XP_045640780.1, XP_045640778.1	XP_031801151.1
OG0000657	XP_045639758.1	XP_012398591.1
OG0000658	XP_045670090.1, XP_045670053.1, XP_045670071.1, XP_045670062.1, XP_045670080.1	XP_012403119.1
OG0000659	XP_045637548.1	XP_031822164.1
OG0000659	XP_045637549.1	XP_031822156.1, XP_003768247.1, XP_031822158.1, XP_031822160.1, XP_031822157.1, XP_031822159.1, XP_031822155.1
OG0000660	XP_045645901.1, XP_045657011.1	XP_031793756.1, XP_031793755.1, XP_031793754.1
OG0000661	XP_045645575.1, XP_045645574.1, XP_045645576.1, XP_045645577.1	XP_031796581.1, XP_031796582.1, XP_031796583.1
OG0000662	XP_045661808.1	XP_031802922.1
OG0000662	XP_045661806.1	XP_031802924.1
OG0000663	XP_045635918.1, XP_045635917.1	XP_023360184.1, XP_031796772.1, XP_031796771.1, XP_031796774.1, XP_031796773.1
OG0000664	XP_045654849.1, XP_045654851.1, XP_045654850.1, XP_045654847.1, XP_045654848.1	XP_031798868.1, XP_031798869.1
OG0000665	XP_045664804.1, XP_045664803.1	XP_031805752.1, XP_023350992.1
OG0000666	XP_045663160.1, XP_045663158.1, XP_045663159.1, XP_045663157.1	XP_031814665.1, XP_031814662.1, XP_031814669.1, XP_031814673.1
OG0000667	XP_045672136.1	XP_031817375.1, XP_031817373.1, XP_031817374.1
OG0000668	XP_045663552.1	XP_003757102.2
OG0000670	XP_045637063.1	XP_031794183.1, XP_031794181.1, XP_031794182.1
OG0000671	XP_045657136.1	XP_031793888.1
OG0000672	XP_045672227.1	XP_031807939.1
OG0000673	XP_045667184.1, XP_045667179.1, XP_045667185.1, XP_045667182.1, XP_045667187.1, XP_045667188.1, XP_045667186.1, XP_045667183.1, XP_045667180.1, XP_045667181.1	XP_031823919.1
OG0000675	XP_045660430.1, XP_045649767.1	XP_031800926.1
OG0000680	XP_045660589.1	XP_012404509.2
OG0000681	XP_045658257.1, XP_045658269.1, XP_045658259.1	XP_031805249.1
OG0000682	XP_045633708.1	XP_012403823.1
OG0000683	XP_045658431.1	XP_031804966.1
OG0000684	XP_045651660.1	XP_031821043.1
OG0000684	XP_045667932.1	XP_003760703.1
OG0000685	XP_045649578.1, XP_045649579.1, XP_045649577.1, XP_045649575.1	XP_003771763.1, XP_003771764.1, XP_003771765.1, XP_003771762.1
OG0000686	XP_045647941.1	XP_031809451.1, XP_031802081.1, XP_031801872.1
OG0000687	XP_045654605.1	XP_031795062.1
OG0000688	XP_045667497.1, XP_045667493.1, XP_045667496.1, XP_045667495.1	XP_031802694.1
OG0000689	XP_045642482.1, XP_045645501.1	XP_031798253.1, XP_031797773.1, XP_031797864.1
OG0000690	XP_045638482.1	XP_012401331.1, XP_003765385.1, XP_012401332.1
OG0000693	XP_045642343.1, XP_045642346.1, XP_045642345.1, XP_045642344.1	XP_031795541.1, XP_031795542.1, XP_031795540.1
OG0000694	XP_045650250.1, XP_045650251.1, XP_045650249.1, XP_045650252.1	XP_031821256.1, XP_031821258.1
OG0000695	XP_045671946.1, XP_045671945.1	XP_031799832.1, XP_031799831.1
OG0000696	XP_045628761.1	XP_023350866.1
OG0000697	XP_045670850.1, XP_045670855.1	XP_031806093.1, XP_031806094.1, XP_031806091.1, XP_031806092.1
OG0000698	XP_045657301.1	XP_003769814.1, XP_031824905.1
OG0000699	XP_045641963.1	XP_031796088.1, XP_031796091.1, XP_031796196.1, XP_031796077.1
OG0000699	XP_045642212.1	XP_031796122.1
OG0000701	XP_045646066.1, XP_045646059.1, XP_045646065.1, XP_045646060.1, XP_045646057.1, XP_045646056.1, XP_045646064.1, XP_045646062.1, XP_045646067.1, XP_045646055.1, XP_045646061.1, XP_045646063.1, XP_045646068.1	XP_031801814.1, XP_031801819.1, XP_031801815.1, XP_031801817.1, XP_031801818.1, XP_031801816.1
OG0000702	XP_045670083.1, XP_045670084.1	XP_012404001.1, XP_003768587.1, XP_031821599.1, XP_031821601.1, XP_012404000.1, XP_031821600.1, XP_031821597.1
OG0000703	XP_045668703.1	XP_012397298.1
OG0000703	XP_045626958.1	XP_031805308.1
OG0000704	XP_045645874.1, XP_045645872.1, XP_045645871.1	XP_012406930.1
OG0000705	XP_045627804.1, XP_045627803.1, XP_045627805.1, XP_045627802.1	XP_003765736.1, XP_031814650.1
OG0000706	XP_045636403.1, XP_045636413.1, XP_045636409.1, XP_045636406.1, XP_045636399.1, XP_045636408.1, XP_045636402.1, XP_045636401.1, XP_045636411.1, XP_045636412.1, XP_045636407.1, XP_045636404.1, XP_045636400.1, XP_045636410.1	XP_012398506.1
OG0000707	XP_045647092.1, XP_045647091.1, XP_045647097.1, XP_045647093.1, XP_045647095.1, XP_045647096.1	XP_012409367.1, XP_012409370.1, XP_003757358.1, XP_012409368.1, XP_031810526.1, XP_003757360.1, XP_012409371.1, XP_003757359.1, XP_012409369.1
OG0000708	XP_045671924.1, XP_045671923.1, XP_045671926.1, XP_045671925.1, XP_045671922.1	XP_031799677.1, XP_012408552.1, XP_031799678.1
OG0000709	XP_045627865.1	XP_012405748.3
OG0000710	XP_045644652.1, XP_045644653.1	XP_023356486.1
OG0000711	XP_045665011.1, XP_045665010.1, XP_045665014.1	XP_003758400.1
OG0000712	XP_045664776.1, XP_045664779.1, XP_045664777.1, XP_045664778.1	XP_031805628.1, XP_031805629.1
OG0000713	XP_045664714.1, XP_045664712.1, XP_045664713.1, XP_045664711.1	XP_031797396.1, XP_031797395.1
OG0000714	XP_045664730.1	XP_023362106.1
OG0000714	XP_045664728.1	XP_012408038.3
OG0000715	XP_045660166.1, XP_045659853.1, XP_045660158.1	XP_031803881.1, XP_023352585.1, XP_031803905.1, XP_023352584.1, XP_031803869.1, XP_031803894.1, XP_023352583.1, XP_023352595.1
OG0000716	XP_045672118.1, XP_045672116.1, XP_045672117.1	XP_012400772.1, XP_031817197.1, XP_031817198.1
OG0000717	XP_045632755.1, XP_045632767.1	XP_003758182.1
OG0000718	XP_045660584.1	XP_031809872.1, XP_031809876.1, XP_031809877.1, XP_031809874.1, XP_031809871.1, XP_031809875.1, XP_031809873.1
OG0000719	XP_045660674.1	XP_031807406.1, XP_031807405.1, XP_012395257.1, XP_012395258.1, XP_012395259.1, XP_012395260.1
OG0000720	XP_045659158.1	XP_031811747.1
OG0000721	XP_045651108.1, XP_045651105.1, XP_045651107.1	XP_031812434.1, XP_031812438.1, XP_031812437.1, XP_031812436.1
OG0000722	XP_045645679.1	XP_031799193.1
OG0000724	XP_045633474.1	XP_003765978.1
OG0000725	XP_045633590.1	XP_031813867.1, XP_031813866.1, XP_031813868.1
OG0000726	XP_045656646.1, XP_045656647.1	XP_031815265.1, XP_003763501.1, XP_031815264.1, XP_031815266.1
OG0000731	XP_045670161.1	XP_031792732.1, XP_031792733.1, XP_031792734.1
OG0000731	XP_045670147.1	XP_003767482.1, XP_023357526.1
OG0000732	XP_045634740.1, XP_045634716.1	XP_003772026.2, XP_003772027.2, XP_031795952.1
OG0000733	XP_045672228.1	XP_031817235.1, XP_031817234.1
OG0000734	XP_045645062.1	XP_012396788.1
OG0000734	XP_045627485.1	XP_012395160.1
OG0000735	XP_045664755.1	XP_031805422.1
OG0000735	XP_045663676.1	XP_003757092.1
OG0000736	XP_045633767.1	XP_031820834.1, XP_031820833.1
OG0000736	XP_045667728.1, XP_045667729.1	XP_003771447.1, XP_023360464.1, XP_031794356.1
OG0000737	XP_045643168.1, XP_045643178.1, XP_045643186.1	XP_012406705.1, XP_031795731.1
OG0000738	XP_045640608.1, XP_045640234.1, XP_045640235.1	XP_012403473.2, XP_012403474.1
OG0000739	XP_045646145.1	XP_003760015.1
OG0000740	XP_045661522.1, XP_045661521.1, XP_045661523.1, XP_045661520.1	XP_003769479.1
OG0000742	XP_045628372.1	XP_031799543.1, XP_031799542.1
OG0000742	XP_045668973.1	XP_012397478.2
OG0000743	XP_045652170.1	XP_031805383.1
OG0000744	XP_045655954.1	XP_023362907.1
OG0000744	XP_045650406.1	XP_031820236.1, XP_031820237.1, XP_031820235.1, XP_031796061.1, XP_031809103.1, XP_012408587.1, XP_003763790.3
OG0000745	XP_045639706.1	XP_031816762.1, XP_031816760.1, XP_031816763.1, XP_031816761.1
OG0000746	XP_045651980.1	XP_031805861.1
OG0000747	XP_045669360.1	XP_031797120.1, XP_031797121.1, XP_031797119.1
OG0000748	XP_045639810.1	XP_031801483.1, XP_031801484.1, XP_031801482.1
OG0000749	XP_045657782.1, XP_045657783.1	XP_031825218.1, XP_031825216.1, XP_031825217.1, XP_003767269.1, XP_031825220.1, XP_031825214.1, XP_031825213.1, XP_031825215.1, XP_031825219.1
OG0000751	XP_045667296.1	XP_012403134.1, XP_031792787.1, XP_012403138.1, XP_012403133.1, XP_012403136.1, XP_031792786.1
OG0000752	XP_045637638.1	XP_031822103.1
OG0000752	XP_045637608.1	XP_031822113.1
OG0000753	XP_045637529.1, XP_045637528.1	XP_012403803.1
OG0000754	XP_045669764.1, XP_045669763.1	XP_031821954.1, XP_031821955.1
OG0000755	XP_045664663.1, XP_045664674.1, XP_045644352.1	XP_003758262.1
OG0000756	XP_045650592.1, XP_045650593.1, XP_045650595.1	XP_023359165.1, XP_031808876.1
OG0000757	XP_045658058.1, XP_045658094.1	XP_031820594.1
OG0000758	XP_045655749.1, XP_045655746.1, XP_045655747.1, XP_045655748.1	XP_031825149.1, XP_031825150.1
OG0000759	XP_045648237.1	XP_031795317.1
OG0000760	XP_045644243.1, XP_045644244.1	XP_023351358.1, XP_031805540.1
OG0000761	XP_045657447.1, XP_045657445.1, XP_045657446.1, XP_045658240.1	XP_031823175.1, XP_031823174.1, XP_003769838.1
OG0000763	XP_045660323.1	XP_031803707.1, XP_031803711.1, XP_031803708.1, XP_031803709.1, XP_031803710.1, XP_031803712.1
OG0000764	XP_045647596.1	XP_012406821.1
OG0000765	XP_045663523.1, XP_045663529.1, XP_045663516.1, XP_045663538.1	XP_031810013.1, XP_031810014.1, XP_012409086.1, XP_003757109.1
OG0000766	XP_045635210.1	XP_031804258.1
OG0000767	XP_045657001.1	XP_003772533.1
OG0000768	XP_045651083.1	XP_031812665.1
OG0000769	XP_045641453.1	XP_023354611.1
OG0000770	XP_045646247.1, XP_045634856.1	XP_031815313.1
OG0000772	XP_045661575.1, XP_045661449.1, XP_045661450.1, XP_045661451.1	XP_003769505.1
OG0000775	XP_045669711.1, XP_045669710.1	XP_012405736.1, XP_003770680.1, XP_023359868.1, XP_012405735.1
OG0000776	XP_045633483.1, XP_045633559.1	XP_012401819.1, XP_003765990.1, XP_023356394.1, XP_003765989.1
OG0000777	XP_045668047.1	XP_012399393.1, XP_031811103.1
OG0000778	XP_045671752.1, XP_045671753.1	XP_023360481.1
OG0000779	XP_045658670.1	XP_031810920.1
OG0000779	XP_045658673.1	XP_031810918.1, XP_031810917.1
OG0000780	XP_045649903.1, XP_045644373.1	XP_003771477.1
OG0000781	XP_045638811.1, XP_045638814.1, XP_045638809.1, XP_045638810.1, XP_045638819.1, XP_045638815.1	XP_012402371.1, XP_012402372.2, XP_012400901.1, XP_003764825.1
OG0000782	XP_045633883.1, XP_045633880.1, XP_045633879.1, XP_045633881.1, XP_045633884.1	XP_031818707.1, XP_031818706.1
OG0000783	XP_045640858.1, XP_045640860.1, XP_045640859.1	XP_031807858.1
OG0000784	XP_045661343.1	XP_003769605.2
OG0000785	XP_045638895.1, XP_045627916.1, XP_045646379.1	XP_003764840.1
OG0000785	XP_045638893.1	XP_031813142.1, XP_003764902.2
OG0000786	XP_045638939.1, XP_045638921.1, XP_045638938.1, XP_045638919.1	XP_003764845.1
OG0000787	XP_045639059.1, XP_045639062.1, XP_045639066.1, XP_045639063.1	XP_003766969.2
OG0000791	XP_045645245.1, XP_045632037.1	XP_031800147.1
OG0000792	XP_045653704.1	XP_031817024.1
OG0000792	XP_045631072.1	XP_031819143.1
OG0000793	XP_045668885.1	XP_031795452.1
OG0000794	XP_045633229.1	XP_031795257.1
OG0000795	XP_045672312.1	XP_003773360.1
OG0000797	XP_045653629.1, XP_045653628.1, XP_045653627.1, XP_045653630.1	XP_031816947.1, XP_031816946.1, XP_031816949.1
OG0000798	XP_045634226.1	XP_031794344.1
