Orthogroup	Ursus_americanus	Ictidomys_tridecemlineatus
OG0001250	XP_045656638.1	XP_005316032.1, XP_040144650.1
OG0001251	XP_045649785.1	XP_040141202.1, XP_040141204.1, XP_040141210.1, XP_013211508.1, XP_040141213.1
OG0001252	XP_045634022.1, XP_045634021.1	XP_040149514.1
OG0001253	XP_045664547.1	XP_040140516.1
OG0001254	XP_045636330.1	XP_040142017.1
OG0001254	XP_045666566.1	XP_021583555.1
OG0001255	XP_045665753.1, XP_045665754.1, XP_045665755.1	XP_021578139.1, XP_005319582.1, XP_021578140.1, XP_021578138.1, XP_040128529.1
OG0001256	XP_045650940.1	XP_040129127.1
OG0001257	XP_045671156.1	XP_040147012.1, XP_040147014.1, XP_040147013.1, XP_005334603.1
OG0001258	XP_045654569.1, XP_045654741.1, XP_045654740.1	XP_005330960.1
OG0001259	XP_045632708.1, XP_045632707.1	XP_005332288.2
OG0001260	XP_045660690.1	XP_040131826.1, XP_013214104.1
OG0001261	XP_045664623.1	XP_005327502.1
OG0001262	XP_045634578.1	XP_005333044.1, XP_005333047.1
OG0001262	XP_045658512.1	XP_005333045.1
OG0001263	XP_045639504.1, XP_045639503.1, XP_045639502.1, XP_045639501.1	XP_005340606.1
OG0001264	XP_045666233.1	XP_040131430.1
OG0001264	XP_045666220.1	XP_005320590.1, XP_005320589.1
OG0001266	XP_045657968.1	XP_040144805.1, XP_005330736.1, XP_013216398.1, XP_040144806.1
OG0001267	XP_045652415.1, XP_045652410.1	XP_005342293.1
OG0001268	XP_045627913.1, XP_045638816.1, XP_045638832.1, XP_045638705.1, XP_045638724.1	XP_005323365.1, XP_005323364.1, XP_005323363.1, XP_005323169.1
OG0001269	XP_045638692.1, XP_045638696.1	XP_005323174.1
OG0001270	XP_045632293.1	XP_040135328.1, XP_005342852.1, XP_021590902.1, XP_040135616.1, XP_040135736.1, XP_040135330.1, XP_040135331.1, XP_013221891.2
OG0001271	XP_045664397.1	XP_005325255.1
OG0001271	XP_045646206.1	XP_021575820.2
OG0001272	XP_045632734.1	XP_005334657.1
OG0001272	XP_045628153.1	XP_005336640.1
OG0001273	XP_045629095.1	XP_005338242.1, XP_013219672.1, XP_013219673.1
OG0001274	XP_045641630.1, XP_045641625.1, XP_045641619.1, XP_045641627.1	XP_021589696.1
OG0001275	XP_045652139.1	XP_021585725.1
OG0001276	XP_045669661.1, XP_045669660.1	XP_005337003.1
OG0001276	XP_045638589.1	XP_040145099.1
OG0001277	XP_045650354.1	XP_005324284.1
OG0001278	XP_045650334.1	XP_005324275.1
OG0001279	XP_045652322.1, XP_045652321.1, XP_045652323.1	XP_005315703.1, XP_013214771.1
OG0001280	XP_045669026.1, XP_045669027.1, XP_045669028.1	XP_040131046.1, XP_021578600.1, XP_040131044.1, XP_021578602.1, XP_040131045.1, XP_005320226.1, XP_021578599.1
OG0001281	XP_045651120.1	XP_005325364.1
OG0001282	XP_045639658.1	XP_005338600.1
OG0001283	XP_045639619.1	XP_040129085.1, XP_040129086.1, XP_005325896.1, XP_013219827.2
OG0001284	XP_045659621.1	XP_040129721.1
OG0001284	XP_045658860.1	XP_021587571.1
OG0001285	XP_045643350.1, XP_045643351.1, XP_045643352.1, XP_045643349.1	XP_005319713.1
OG0001286	XP_045659847.1	XP_040127818.1, XP_021587252.2, XP_040127817.1
OG0001286	XP_045648203.1	XP_040148990.1
OG0001287	XP_045653953.1, XP_045653954.1	XP_040141325.1, XP_005328445.1
OG0001288	XP_045660855.1	XP_013219264.2
OG0001289	XP_045634189.1	XP_005341560.1
OG0001289	XP_045634135.1	XP_013221227.1
OG0001290	XP_045659358.1, XP_045659357.1	XP_040143682.1, XP_005339318.1, XP_040143683.1, XP_021591583.1
OG0001291	XP_045659443.1	XP_005339280.1
OG0001291	XP_045646408.1	XP_005319385.1
OG0001292	XP_045666229.1, XP_045666228.1	XP_005318449.1, XP_013221602.1
OG0001293	XP_045641978.1	XP_040133458.1
OG0001294	XP_045632724.1	XP_005337757.1
OG0001294	XP_045640506.1, XP_045640503.1, XP_045640499.1, XP_045640504.1	XP_040133014.1
OG0001295	XP_045643591.1, XP_045643590.1, XP_045643588.1, XP_045643589.1, XP_045643585.1, XP_045643586.1	XP_005330385.1
OG0001296	XP_045643707.1	XP_040134472.1
OG0001297	XP_045664746.1	XP_005335928.1, XP_005335929.1
OG0001298	XP_045658723.1	XP_040130865.1, XP_040130866.1, XP_013219908.1, XP_021591265.1
OG0001299	XP_045659765.1	XP_005336994.1
OG0001300	XP_045669647.1, XP_045669648.1, XP_045669649.1, XP_045669646.1, XP_045669645.1	XP_005337002.1
OG0001301	XP_045626966.1	XP_005321110.1
OG0001302	XP_045671415.1	XP_005335068.1, XP_040132488.1
OG0001303	XP_045644057.1	XP_013212674.1
OG0001304	XP_045650772.1, XP_045650773.1	XP_013213609.1, XP_040128627.1, XP_040128624.1, XP_040128626.1, XP_040128625.1, XP_021581339.1, XP_040128628.1, XP_040128629.1, XP_005324196.1, XP_040128630.1
OG0001305	XP_045650536.1	XP_005327320.1, XP_013214997.1
OG0001306	XP_045656236.1	XP_040146747.1
OG0001306	XP_045636767.1	XP_040129310.1
OG0001308	XP_045651464.1	XP_040138387.1, XP_040138388.1, XP_013211280.1, XP_013211279.1
OG0001309	XP_045632955.1, XP_045632956.1, XP_045632954.1	XP_005318763.1
OG0001310	XP_045632946.1, XP_045632948.1, XP_045632945.1, XP_045632947.1	XP_005318757.1
OG0001311	XP_045656798.1	XP_005318715.1, XP_040138632.1, XP_013211244.1, XP_040138631.1
OG0001312	XP_045661130.1	XP_005318642.1, XP_005318639.1, XP_005318640.1
OG0001312	XP_045649659.1	XP_005328868.1, XP_040128799.1
OG0001313	XP_045659011.1	XP_005318583.1
OG0001314	XP_045666721.1	XP_005316794.1
OG0001315	XP_045648989.1, XP_045648983.1, XP_045648986.1, XP_045648985.1, XP_045648991.1, XP_045648987.1, XP_045648990.1, XP_045648984.1	XP_040147695.1, XP_005319167.1, XP_040147696.1, XP_040147697.1
OG0001316	XP_045655627.1, XP_045655628.1	XP_040144524.1
OG0001317	XP_045635556.1, XP_045635555.1, XP_045635557.1	XP_013213696.1
OG0001318	XP_045654838.1, XP_045654839.1	XP_013215127.1
OG0001319	XP_045648298.1, XP_045648306.1	XP_013214702.2
OG0001320	XP_045648314.1, XP_045648301.1, XP_045648302.1, XP_045648300.1, XP_045648299.1	XP_013214720.1
OG0001321	XP_045641737.1, XP_045641736.1	XP_005329268.1
OG0001322	XP_045663070.1	XP_005322679.1
OG0001323	XP_045644336.1	XP_013215813.1, XP_040127014.1, XP_021584828.1, XP_040127013.1
OG0001324	XP_045646561.1, XP_045646560.1, XP_045646559.1, XP_045646562.1	XP_005331240.1
OG0001325	XP_045646510.1, XP_045646509.1	XP_040143496.1, XP_005331265.1, XP_021586117.1, XP_040143497.1
OG0001326	XP_045649445.1, XP_045649446.1	XP_040147782.1, XP_040147783.1, XP_005319260.1
OG0001327	XP_045649423.1, XP_045649421.1	XP_040147589.1
OG0001328	XP_045664483.1, XP_045664484.1, XP_045664485.1	XP_013215077.1
OG0001329	XP_045664726.1	XP_040139662.1
OG0001330	XP_045626758.1	XP_040142674.1
OG0001330	XP_045626757.1	XP_040142675.1
OG0001331	XP_045626658.1	XP_040142677.1
OG0001332	XP_045631739.1	XP_040139973.1
OG0001333	XP_045631627.1, XP_045631626.1	XP_005333480.1
OG0001334	XP_045668240.1	XP_005333852.1
OG0001335	XP_045634331.1	XP_021583084.1
OG0001336	XP_045656202.1, XP_045656203.1, XP_045656205.1, XP_045656204.1	XP_021586669.2
OG0001337	XP_045654208.1	XP_005317412.1
OG0001338	XP_045664553.1	XP_040132221.1, XP_040132219.1, XP_040132217.1, XP_040132218.1, XP_040132220.1, XP_005320558.1
OG0001339	XP_045664027.1	XP_040132106.1
OG0001340	XP_045653005.1	XP_040137578.1, XP_005317111.1, XP_040137577.1
OG0001341	XP_045653030.1, XP_045653031.1, XP_045653032.1, XP_045653034.1	XP_013221502.1, XP_005342096.1, XP_013221503.1
OG0001342	XP_045632563.1, XP_045632550.1, XP_045632576.1	XP_005329725.2, XP_040146883.1
OG0001343	XP_045647167.1	XP_040147944.1
OG0001344	XP_045647338.1	XP_013220436.1
OG0001345	XP_045657170.1	XP_021581785.1
OG0001346	XP_045657144.1, XP_045657145.1, XP_045657143.1	XP_040137774.1
OG0001347	XP_045656818.1, XP_045656820.1, XP_045656819.1	XP_040136458.1, XP_005325134.1, XP_040136459.1
OG0001348	XP_045658832.1	XP_013217548.1, XP_005333745.1, XP_013217543.1, XP_005333750.1
OG0001349	XP_045658857.1	XP_040129026.1, XP_005333726.1, XP_005333727.1
OG0001350	XP_045659044.1, XP_045659043.1	XP_005320728.1, XP_040128608.1, XP_040128609.1
OG0001351	XP_045659062.1	XP_005320729.1
OG0001352	XP_045626885.1	XP_005316581.1
OG0001353	XP_045651158.1	XP_040129840.1, XP_021584068.1, XP_040129843.1, XP_021584038.1, XP_013213675.1, XP_021584061.1, XP_040129838.1, XP_040129841.1, XP_040129845.1, XP_021584032.1, XP_040129839.1, XP_005316855.1, XP_040129842.1, XP_021584053.1, XP_040129844.1
OG0001354	XP_045655185.1, XP_045655186.1	XP_013220414.1
OG0001355	XP_045668600.1, XP_045668599.1, XP_045668597.1, XP_045668598.1, XP_045668602.1, XP_045668601.1, XP_045668603.1	XP_021576322.1
OG0001356	XP_045668580.1, XP_045668578.1	XP_040126373.1
OG0001357	XP_045667606.1, XP_045667608.1, XP_045667607.1	XP_021583522.1
OG0001358	XP_045662298.1, XP_045662299.1, XP_045662300.1	XP_040150538.1, XP_005324430.1, XP_021581432.1, XP_021581433.1
OG0001359	XP_045669550.1	XP_021577271.2, XP_040142862.1, XP_040142863.1, XP_040142847.1, XP_040142848.1
OG0001361	XP_045643082.1	XP_040126617.1, XP_005334859.1
OG0001362	XP_045646404.1, XP_045646407.1, XP_045646405.1	XP_005324063.1, XP_040133386.1
OG0001364	XP_045645507.1	XP_005337761.1
OG0001365	XP_045658376.1, XP_045658375.1, XP_045658377.1	XP_013220805.1, XP_005340656.1
OG0001366	XP_045652198.1	XP_005339846.1, XP_005339845.1
OG0001367	XP_045640761.1	XP_040145039.1
OG0001372	XP_045644902.1	XP_040131739.1
OG0001372	XP_045644903.1	XP_005324039.2
OG0001373	XP_045631799.1	XP_021587351.2
OG0001373	XP_045657664.1	XP_005329678.1
OG0001374	XP_045644128.1, XP_045644127.1	XP_005322165.1, XP_021580002.1, XP_040127018.1
OG0001375	XP_045644484.1	XP_005337467.1
OG0001376	XP_045634129.1	XP_021591702.1, XP_005339503.1, XP_013220269.1
OG0001377	XP_045636724.1	XP_040139765.1
OG0001378	XP_045636242.1	XP_005326240.1
OG0001380	XP_045654143.1	XP_040129202.1, XP_005317458.1, XP_005321085.1, XP_005326944.1
OG0001381	XP_045637660.1	XP_013212572.1
OG0001381	XP_045654137.1	XP_005317461.1
OG0001383	XP_045645572.1	XP_005328788.1, XP_005328787.1, XP_005328786.1
OG0001384	XP_045640609.1, XP_045640605.1	XP_005339460.1, XP_005339461.1
OG0001384	XP_045640228.1	XP_005339488.1
OG0001385	XP_045646610.1	XP_040145053.1
OG0001385	XP_045639809.1	XP_005331320.1, XP_005331321.1
OG0001386	XP_045649563.1, XP_045649562.1	XP_013214718.1
OG0001387	XP_045642984.1	XP_005331742.1
OG0001388	XP_045638679.1	XP_005323178.1, XP_013213102.1
OG0001389	XP_045652414.1, XP_045656716.1	XP_013221927.1
OG0001390	XP_045653542.1	XP_040141377.1, XP_005339576.1
OG0001391	XP_045647133.1, XP_045647134.1	XP_005320988.1, XP_005320987.1
OG0001392	XP_045671360.1, XP_045671337.1	XP_005342168.1
OG0001392	XP_045638836.1	XP_005342164.1
OG0001393	XP_045629903.1	XP_005341265.1, XP_005341264.1, XP_005341263.1, XP_005341258.1, XP_005341256.1, XP_005341257.1, XP_005341266.1, XP_005342676.1, XP_013221541.1
OG0001394	XP_045629518.1, XP_045629520.1	XP_005327988.2, XP_005328013.1
OG0001395	XP_045628290.1	XP_021575670.1
OG0001395	XP_045652187.1	XP_040134734.1
OG0001396	XP_045645254.1	XP_005341629.3
OG0001397	XP_045642278.1	XP_013220742.1
OG0001398	XP_045652076.1, XP_045652077.1	XP_021585752.2
OG0001399	XP_045631317.1	XP_021578660.1
OG0001400	XP_045650351.1, XP_045650352.1	XP_005324286.1, XP_021581384.1
OG0001401	XP_045651025.1	XP_005324257.1
OG0001401	XP_045627423.1	XP_005319031.1
OG0001402	XP_045638347.1	XP_040144079.1, XP_013218719.1
OG0001403	XP_045638357.1	XP_040144072.1, XP_040144070.1, XP_005317683.1, XP_040144073.1
OG0001404	XP_045647894.1	XP_040125759.1
OG0001404	XP_045638516.1	XP_040144021.1
OG0001405	XP_045660396.1, XP_045660395.1, XP_045660397.1	XP_013215527.1, XP_040131988.1, XP_005316911.1, XP_040131989.1
OG0001406	XP_045665798.1	XP_040128676.1, XP_040128677.1, XP_021584570.1
OG0001407	XP_045669057.1	XP_040130921.1
OG0001408	XP_045668979.1, XP_045668981.1	XP_040131906.1
OG0001409	XP_045653581.1, XP_045653578.1, XP_045653579.1	XP_005339616.1, XP_005339617.1, XP_040142741.1
OG0001410	XP_045653979.1	XP_005339560.1
OG0001411	XP_045660833.1	XP_005337392.1
OG0001411	XP_045658466.1	XP_013217937.1
OG0001412	XP_045652017.1, XP_045652015.1, XP_045652014.1, XP_045652016.1	XP_005318513.1
OG0001413	XP_045670867.1	XP_021577357.1
OG0001414	XP_045629841.1, XP_045629840.1, XP_045629839.1, XP_045629842.1	XP_005328521.1
OG0001415	XP_045629332.1	XP_021583737.1
OG0001415	XP_045640542.1	XP_005323700.1
OG0001416	XP_045657545.1	XP_021590803.1
OG0001417	XP_045642052.1, XP_045642051.1	XP_040126257.1
OG0001418	XP_045669243.1, XP_045669248.1, XP_045669250.1, XP_045669249.1, XP_045669246.1, XP_045669247.1, XP_045669244.1	XP_005339892.1
OG0001419	XP_045669204.1	XP_005339898.2
OG0001420	XP_045669236.1	XP_040133289.1
OG0001421	XP_045642008.1, XP_045642007.1	XP_005323936.1, XP_013213438.1
OG0001422	XP_045631186.1	XP_005323831.1, XP_040133439.1
OG0001423	XP_045632407.1	XP_021581219.2
OG0001423	XP_045670492.1	XP_040124750.1
OG0001424	XP_045657998.1	XP_005332407.1
OG0001425	XP_045643731.1	XP_040134074.1, XP_040134073.1, XP_005329527.3, XP_040133869.1
OG0001426	XP_045631398.1	XP_005333968.1
OG0001427	XP_045640158.1	XP_005331459.1
OG0001428	XP_045661454.1	XP_040144608.1
OG0001428	XP_045670002.1, XP_045670001.1	XP_005332597.1
OG0001429	XP_045646070.1, XP_045646071.1, XP_045646069.1	XP_005323123.1, XP_040129035.1, XP_040129037.1
OG0001430	XP_045646658.1	XP_005340693.1
OG0001430	XP_045655241.1	XP_005331803.1
OG0001431	XP_045633114.1	XP_005334729.1
OG0001432	XP_045655265.1	XP_040131815.1
OG0001433	XP_045670461.1	XP_005327909.1, XP_040124512.1
OG0001434	XP_045669995.1	XP_013215359.1, XP_005328186.1, XP_040124622.1
OG0001435	XP_045670085.1	XP_021584000.1
OG0001436	XP_045628975.1	XP_021579773.1
OG0001436	XP_045669307.1	XP_040134557.1
OG0001437	XP_045629487.1, XP_045629485.1	XP_040126452.1
OG0001438	XP_045645840.1	XP_013218549.1
OG0001439	XP_045645604.1	XP_005328762.1, XP_005328763.1
OG0001440	XP_045635582.1	XP_005322380.1
OG0001441	XP_045644086.1, XP_045644087.1	XP_040127001.1, XP_005322145.1, XP_005322143.1
OG0001442	XP_045657043.1, XP_045657051.1	XP_021577550.1
OG0001443	XP_045657317.1, XP_045657327.1, XP_045657321.1	XP_005318681.1, XP_013211193.1
OG0001444	XP_045633275.1	XP_040149394.1
OG0001445	XP_045630301.1	XP_021576500.1, XP_021576501.1, XP_005341338.1, XP_040128594.1, XP_040128593.1, XP_021576503.1
OG0001446	XP_045648811.1, XP_045648812.1, XP_045648813.1	XP_040147642.1, XP_005335995.1
OG0001447	XP_045638487.1	XP_040144282.1, XP_040144283.1, XP_013217589.1
OG0001448	XP_045638341.1	XP_005318074.1
OG0001449	XP_045648420.1	XP_040145527.1, XP_040145521.1
OG0001450	XP_045635105.1	XP_040124219.1, XP_005342563.1, XP_040124222.1, XP_040124221.1
OG0001452	XP_045665185.1	XP_005322607.1
OG0001454	XP_045631765.1, XP_045631764.1	XP_005333462.1, XP_040140017.1
OG0001455	XP_045663206.1	XP_013214819.1
OG0001456	XP_045630392.1	XP_021589520.1, XP_005336175.1, XP_040146420.1
OG0001457	XP_045632699.1	XP_021586582.1
OG0001457	XP_045632700.1	XP_040146958.1
OG0001458	XP_045643056.1	XP_040140214.1
OG0001459	XP_045652829.1	XP_005330271.1
OG0001459	XP_045655990.1	XP_013214016.1
OG0001460	XP_045666958.1	XP_021585746.1, XP_040137584.1, XP_021585733.1, XP_005317104.1
OG0001461	XP_045654100.1	XP_005337984.1
OG0001462	XP_045650937.1, XP_045650927.1, XP_045650918.1, XP_045650946.1	XP_005325371.1
OG0001463	XP_045650178.1	XP_005326548.1, XP_005326549.1, XP_005326547.1
OG0001464	XP_045650118.1, XP_045650119.1, XP_045650117.1	XP_040123926.1
OG0001465	XP_045647306.1	XP_005341935.1
OG0001465	XP_045647299.1	XP_005341940.1
OG0001466	XP_045633495.1, XP_045633461.1, XP_045633431.1, XP_045633477.1, XP_045633468.1, XP_045633454.1, XP_045633421.1, XP_045633442.1, XP_045633411.1, XP_045633504.1, XP_045633448.1, XP_045633485.1	XP_021584981.1, XP_040145451.1, XP_040145453.1, XP_040145452.1, XP_021584983.1, XP_005329645.1, XP_021584980.1
OG0001467	XP_045647255.1, XP_045647256.1	XP_005336120.1
OG0001468	XP_045656963.1	XP_040136552.1, XP_005325031.1, XP_040136553.1
OG0001469	XP_045656682.1	XP_040136454.1, XP_040136453.1, XP_040136456.1, XP_040136455.1
OG0001471	XP_045665953.1	XP_013217903.1, XP_005334470.1
OG0001472	XP_045665892.1	XP_040127662.1, XP_005333779.1
OG0001473	XP_045647574.1	XP_040148098.1
OG0001473	XP_045658831.1	XP_040128521.1
OG0001474	XP_045659138.1, XP_045659139.1, XP_045659140.1	XP_040129332.1, XP_005320745.1, XP_021579007.1, XP_040129331.1
OG0001475	XP_045672278.1, XP_045672263.1, XP_045672271.1	XP_005316452.1, XP_021581405.1, XP_040132228.1
OG0001476	XP_045651101.1, XP_045651103.1, XP_045651102.1, XP_045651100.1	XP_013213805.1
OG0001477	XP_045641457.1	XP_040143143.1
OG0001478	XP_045669482.1, XP_045669483.1	XP_040142958.1, XP_005323549.1
OG0001479	XP_045655045.1	XP_021585381.1, XP_040148866.1
OG0001480	XP_045647342.1, XP_045647350.1, XP_045647335.1	XP_005341994.1, XP_040148114.1
OG0001481	XP_045668450.1	XP_040126196.1
OG0001482	XP_045667217.1	XP_021590914.1, XP_021590915.1
OG0001483	XP_045659873.1	XP_005338876.1, XP_013219984.1, XP_021591284.1, XP_021591285.1
OG0001484	XP_045636097.1	XP_005324629.1
OG0001485	XP_045662346.1, XP_045662345.1	XP_005324457.1
OG0001486	XP_045631219.1, XP_045631220.1	XP_005330597.1, XP_013216338.1
OG0001487	XP_045665537.1	XP_005319736.1, XP_040132694.1, XP_021578217.1, XP_021578218.1
OG0001488	XP_045631794.1	XP_005342256.1
OG0001490	XP_045644389.1	XP_040140274.1
OG0001491	XP_045655394.1	XP_013211496.1
OG0001492	XP_045649786.1	XP_013211510.1
OG0001493	XP_045658741.1, XP_045658742.1, XP_045658738.1, XP_045658739.1, XP_045658740.1, XP_045658736.1	XP_005338838.1
OG0001499	XP_045652195.1	XP_021585770.1
OG0001502	XP_045654662.1, XP_045654661.1	XP_005329335.1, XP_040149353.1, XP_040149351.1, XP_021584763.1
OG0001503	XP_045635204.1	XP_005343168.1
OG0001503	XP_045650650.1	XP_005335802.1
OG0001504	XP_045635856.1, XP_045635855.1, XP_045635853.1	XP_005324491.1, XP_005324492.1, XP_013213685.1
OG0001505	XP_045667146.1, XP_045667143.1, XP_045667145.1	XP_005334400.1
OG0001506	XP_045638928.1, XP_045638924.1, XP_045638927.1	XP_005342395.1, XP_005342353.1, XP_005342394.1
OG0001507	XP_045654723.1, XP_045654726.1, XP_045654724.1, XP_045654725.1	XP_040149080.1
OG0001508	XP_045634125.1	XP_021576616.1
OG0001508	XP_045634079.1	XP_013221234.1
OG0001509	XP_045652625.1	XP_040135465.1
OG0001510	XP_045667199.1	XP_005331040.1, XP_013216495.1, XP_040126094.1, XP_005331041.1
OG0001511	XP_045654883.1	XP_040148834.1
OG0001512	XP_045662797.1, XP_045662807.1	XP_021578508.1
OG0001513	XP_045637584.1	XP_005321901.1
OG0001513	XP_045637665.1	XP_005321903.1
OG0001514	XP_045649520.1	XP_005340627.1
OG0001514	XP_045648418.1	XP_005325808.1
OG0001515	XP_045639117.1, XP_045639118.1	XP_013214325.1, XP_040133743.1, XP_021582384.1, XP_005325949.1
OG0001516	XP_045656048.1, XP_045656047.1, XP_045656049.1, XP_045656046.1	XP_005332064.1
OG0001517	XP_045642857.1, XP_045642863.1, XP_045642422.1, XP_045642421.1	XP_005341597.1
OG0001518	XP_045671340.1, XP_045671341.1	XP_013221753.1
OG0001519	XP_045653541.1	XP_005339575.1
OG0001520	XP_045646795.1, XP_045635019.1	XP_005340937.1
OG0001520	XP_045635017.1	XP_005340935.1, XP_005340936.1
OG0001521	XP_045638677.1	XP_005323177.1
OG0001521	XP_045638676.1	XP_005323370.1
OG0001522	XP_045629760.1, XP_045629823.1	XP_013221357.1
OG0001523	XP_045646086.1	XP_021580679.1
OG0001524	XP_045671108.1	XP_040126758.1, XP_021588639.1
OG0001525	XP_045650856.1, XP_045628436.1	XP_005324118.1
OG0001526	XP_045630193.1, XP_045630194.1, XP_045630195.1	XP_040135087.1
OG0001527	XP_045670079.1	XP_040124499.1
OG0001528	XP_045660919.1	XP_005340034.1
OG0001529	XP_045670556.1	XP_013217116.1
OG0001530	XP_045632280.1	XP_040135192.1, XP_040135191.1, XP_005336626.1
OG0001531	XP_045658591.1	XP_013212886.2
OG0001532	XP_045668685.1	XP_005338325.1
OG0001533	XP_045641682.1	XP_040135806.1
OG0001533	XP_045641642.1	XP_005336461.1
OG0001534	XP_045650521.1	XP_005327323.2, XP_013215019.1
OG0001535	XP_045664234.1	XP_013214456.1
OG0001536	XP_045652208.1	XP_005326208.1, XP_040129009.1
OG0001537	XP_045669014.1, XP_045669015.1	XP_005320170.1, XP_040130851.1, XP_040130850.1
OG0001538	XP_045630685.1	XP_013211343.1, XP_005319116.1
OG0001539	XP_045652384.1	XP_040128177.1
OG0001539	XP_045641587.1	XP_005341044.1
OG0001540	XP_045671880.1, XP_045671879.1	XP_040148309.1
OG0001541	XP_045639656.1	XP_005320414.1
OG0001542	XP_045655054.1	XP_021585365.1
OG0001542	XP_045639163.1	XP_040128856.1
OG0001543	XP_045639159.1	XP_005338609.1
OG0001544	XP_045648104.1	XP_040128022.1, XP_005325473.1
OG0001545	XP_045653949.1, XP_045653950.1, XP_045653952.1, XP_045653951.1	XP_005328442.1
OG0001546	XP_045653631.1	XP_005329136.1
OG0001547	XP_045650660.1, XP_045650661.1	XP_040128172.1, XP_040128173.1, XP_040128171.1, XP_005335808.1
OG0001548	XP_045660826.1	XP_040125443.1
OG0001549	XP_045634110.1	XP_005339499.1
OG0001549	XP_045658252.1	XP_005338757.2
OG0001550	XP_045658052.1	XP_021586754.1
OG0001551	XP_045659550.1	XP_005334848.1
OG0001552	XP_045662483.1	XP_005329968.1
OG0001553	XP_045670913.1	XP_021577340.1, XP_040135174.1, XP_005318386.1
OG0001554	XP_045641942.1, XP_045641941.1, XP_045641940.1	XP_040133153.1, XP_005323906.1, XP_040133152.1, XP_013213411.1
OG0001555	XP_045631196.1, XP_045631197.1	XP_005323836.1
OG0001556	XP_045643780.1	XP_005329518.1, XP_040132955.1, XP_040132956.1, XP_040132954.1
OG0001557	XP_045652852.1	XP_040133264.1
OG0001557	XP_045631827.1	XP_005333449.1
OG0001558	XP_045653835.1	XP_005326569.2
OG0001558	XP_045653056.1	XP_005326570.1
OG0001559	XP_045661828.1	XP_040149777.1
OG0001559	XP_045661827.1	XP_005316355.1, XP_005316356.1
OG0001560	XP_045633151.1	XP_040130852.1
OG0001561	XP_045637728.1	XP_005321973.1, XP_040124674.1
OG0001562	XP_045659778.1, XP_045659779.1, XP_045659776.1, XP_045659777.1	XP_040142550.1
OG0001563	XP_045644071.1	XP_021579983.1, XP_005322128.1, XP_040127299.1
OG0001564	XP_045650909.1, XP_045650902.1	XP_013218565.2, XP_040129275.1
OG0001565	XP_045646644.1	XP_005319433.1
OG0001567	XP_045656642.1	XP_040138614.1
OG0001568	XP_045658379.1	XP_021577503.1
OG0001569	XP_045660964.1	XP_040144027.1
OG0001569	XP_045660892.1	XP_040137966.1
OG0001570	XP_045651710.1	XP_005328886.1
OG0001571	XP_045654364.1	XP_005324798.1
OG0001573	XP_045633198.1	XP_005316162.1
OG0001573	XP_045633211.1	XP_005316164.3
OG0001574	XP_045661825.1	XP_005316354.1
OG0001575	XP_045671856.1	XP_005320052.1
OG0001575	XP_045653019.1	XP_005317107.1
OG0001576	XP_045648675.1	XP_005319461.1
OG0001577	XP_045656271.1	XP_005324673.1
OG0001577	XP_045648909.1	XP_005319211.1
OG0001578	XP_045655765.1, XP_045655764.1	XP_005317951.1
OG0001579	XP_045635785.1, XP_045635787.1, XP_045635786.1	XP_005322413.1, XP_021580150.1
OG0001580	XP_045648396.1	XP_021582904.2
OG0001581	XP_045648569.1	XP_021586042.1
OG0001582	XP_045648336.1, XP_045648334.1, XP_045648337.1, XP_045648333.1, XP_045648335.1	XP_005326698.1
OG0001583	XP_045648187.1	XP_040147895.1
OG0001584	XP_045665031.1, XP_045665034.1, XP_045665032.1, XP_045665033.1, XP_045665030.1	XP_005336606.1
OG0001585	XP_045641712.1	XP_021584703.1, XP_040150675.1, XP_040150668.1, XP_021584704.1, XP_040150661.1, XP_013215732.1
OG0001586	XP_045665126.1, XP_045665128.1, XP_045665127.1, XP_045665125.1	XP_021580245.1, XP_013212858.1, XP_040127453.1
OG0001587	XP_045646539.1, XP_045646538.1, XP_045646537.1	XP_040143488.1
OG0001588	XP_045649752.1, XP_045649750.1	XP_013216749.1, XP_013216751.1
OG0001589	XP_045626787.1	XP_005341664.1
OG0001590	XP_045664446.1	XP_040140421.1
OG0001591	XP_045664469.1	XP_040140452.1, XP_021583483.1, XP_040140453.1, XP_005327478.1
OG0001592	XP_045664535.1, XP_045664534.1	XP_005327513.1
OG0001593	XP_045642670.1	XP_005331641.1, XP_013216686.1
OG0001594	XP_045631662.1	XP_005333414.1
OG0001594	XP_045647160.1	XP_040146844.1
OG0001595	XP_045664036.1	XP_013217676.2
OG0001596	XP_045656078.1, XP_045656079.1	XP_040146650.1, XP_040146651.1, XP_021586521.1, XP_021586520.1
OG0001597	XP_045664394.1, XP_045664395.1	XP_040137959.1
OG0001598	XP_045646728.1, XP_045646729.1, XP_045646726.1, XP_045646727.1	XP_013219165.1
OG0001599	XP_045638700.1	XP_040140819.1
OG0001600	XP_045664542.1	XP_005327518.1
OG0001601	XP_045628932.1	XP_013216177.2
OG0001602	XP_045628910.1, XP_045628909.1	XP_005342404.1
OG0001603	XP_045654161.1	XP_040146820.1, XP_005317452.1, XP_040139616.1, XP_040145970.1
OG0001604	XP_045630436.1	XP_021587445.1, XP_013217223.1, XP_040145825.1, XP_005317357.1
OG0001605	XP_045669044.1	XP_013214250.1
OG0001606	XP_045665442.1	XP_040130219.1
OG0001607	XP_045664946.1	XP_005320537.1
