Orthogroup	Urocitellus_parryii	Saimiri_boliviensis_boliviensis
OG0000818	XP_026252019.1, XP_026251943.1	XP_039335288.1, XP_039335299.1, XP_010336254.1, XP_010336256.1, XP_010336255.1, XP_039335295.1, XP_010336257.1, XP_003927276.1
OG0000819	XP_026237649.1	XP_003944240.1
OG0000820	XP_026236763.1	XP_003944427.1
OG0000821	XP_026254955.1	XP_039326692.1
OG0000822	XP_026267074.1, XP_026267075.1	XP_010350198.1, XP_010350199.1, XP_039327195.1, XP_039327194.1
OG0000823	XP_026246704.1	XP_003927751.2
OG0000825	XP_026238874.1	XP_010336167.1
OG0000826	XP_026255653.1	XP_010327842.1
OG0000827	XP_026243132.1, XP_026243131.1	XP_003923542.1, XP_010332642.1, XP_010332643.1
OG0000828	XP_026263870.1	XP_003926257.1, XP_010335264.1, XP_010335265.1
OG0000829	XP_026244409.1	XP_010333948.1
OG0000831	XP_026250875.1	XP_010343262.1, XP_039331264.1, XP_039331309.1
OG0000832	XP_026250919.1	XP_039329186.1, XP_010343282.1, XP_039329187.1, XP_010343283.1
OG0000833	XP_026251994.1	XP_010334486.1
OG0000834	XP_026258769.1	XP_003932353.1
OG0000835	XP_026264683.1	XP_010347425.2
OG0000836	XP_026258970.1	XP_003929524.1
OG0000837	XP_026265086.1	XP_003934576.1
OG0000838	XP_026247736.1	XP_010335595.1
OG0000839	XP_026244909.1, XP_026244911.1, XP_026244908.1	XP_039320933.1, XP_039320934.1, XP_039320935.1, XP_010331249.2
OG0000840	XP_026249324.1, XP_026249325.1	XP_039336552.1, XP_039336551.1, XP_010336597.1, XP_010336598.1, XP_003927691.1
OG0000841	XP_026251966.1	XP_003941698.1
OG0000842	XP_026240351.1	XP_010336336.1, XP_010336335.1, XP_039318600.1, XP_010336334.1, XP_003927380.1
OG0000843	XP_026244808.1	XP_010349871.1
OG0000844	XP_026258155.1	XP_003925613.1, XP_010334655.1
OG0000845	XP_026236875.1, XP_026236872.1, XP_026236873.1, XP_026236874.1	XP_010330105.1, XP_010330104.1, XP_010330103.1
OG0000846	XP_026270015.1, XP_026270016.1	XP_003924433.1, XP_010333422.1
OG0000848	XP_026266972.1, XP_026266973.1	XP_010338748.1, XP_010338749.1
OG0000849	XP_026250036.1	XP_010348877.2, XP_010348874.1, XP_010348876.1, XP_010348873.1, XP_010348875.1
OG0000852	XP_026254436.1, XP_026254435.1, XP_026254437.1, XP_026254434.1	XP_010348139.2
OG0000853	XP_026248110.1	XP_003928902.1
OG0000854	XP_026263564.1, XP_026263563.1, XP_026236442.1	XP_039324187.1
OG0000855	XP_026258269.1	XP_010339953.1
OG0000856	XP_026261160.1, XP_026261159.1	XP_039327064.1, XP_010338697.2
OG0000859	XP_026238349.1, XP_026238348.1, XP_026245681.1	XP_039322377.1
OG0000863	XP_026250800.1	XP_039333353.1
OG0000866	XP_026236319.1, XP_026236317.1, XP_026236314.1, XP_026236311.1, XP_026236318.1, XP_026236315.1, XP_026236316.1, XP_026236313.1, XP_026236312.1, XP_026236320.1	XP_039321652.1, XP_039321655.1, XP_010330216.1, XP_039321653.1, XP_039321654.1
OG0000867	XP_026256987.1, XP_026256989.1, XP_026256988.1	XP_010339538.1, XP_010339537.1, XP_010339536.1
OG0000868	XP_026240221.1	XP_003920593.1, XP_010336686.1
OG0000868	XP_026242892.1	XP_003933709.1, XP_010342508.1
OG0000869	XP_026261601.1	XP_003928671.2, XP_039334416.1
OG0000870	XP_026236498.1	XP_010340296.1
OG0000871	XP_026260495.1	XP_010329723.2
OG0000871	XP_026245108.1	XP_010334650.1
OG0000872	XP_026268656.1	XP_039330322.1, XP_010334152.2
OG0000873	XP_026252376.1	XP_010346634.1
OG0000873	XP_026269491.1	XP_003924261.1
OG0000874	XP_026243270.1, XP_026243271.1	XP_010339288.2, XP_003930450.2, XP_010329477.2
OG0000875	XP_026240931.1, XP_026240932.1, XP_026240930.1, XP_026240929.1	XP_010333514.1
OG0000876	XP_026270902.1, XP_026270904.1, XP_026270901.1, XP_026270903.1	XP_003941656.1, XP_010350672.1
OG0000879	XP_026242208.1, XP_026242207.1	XP_039330631.1, XP_010349678.1, XP_039330632.1, XP_003940690.1, XP_010349679.1
OG0000880	XP_026250857.1, XP_026250844.1, XP_026250855.1, XP_026250867.1, XP_026250866.1	XP_003936020.2
OG0000881	XP_026255169.1, XP_026255170.1	XP_010343454.1, XP_010343451.1
OG0000882	XP_026247296.1	XP_010344002.1
OG0000883	XP_026253377.1, XP_026253379.1	XP_010338464.2
OG0000884	XP_026238001.1, XP_026254488.1	XP_010338520.2
OG0000885	XP_026269926.1	XP_039315898.1, XP_039320560.1, XP_039319576.1
OG0000886	XP_026270224.1, XP_026270223.1, XP_026270225.1, XP_026270221.1	XP_003937696.2, XP_010346537.2, XP_010346536.2, XP_010346542.2, XP_003937697.2, XP_010346543.2, XP_010346538.2, XP_003937699.2, XP_010346541.2, XP_010346540.2, XP_010346544.2, XP_010346539.2, XP_039332306.1
OG0000887	XP_026238849.1, XP_026238848.1	XP_039334762.1
OG0000888	XP_026270467.1	XP_039322130.1
OG0000889	XP_026251692.1	XP_039326447.1
OG0000890	XP_026256860.1	XP_003923444.1
OG0000891	XP_026249495.1	XP_010328378.1, XP_010328379.1
OG0000892	XP_026255101.1, XP_026255128.1, XP_026255112.1, XP_026255125.1, XP_026255134.1, XP_026255117.1	XP_039329054.1, XP_003928275.1
OG0000893	XP_026250987.1	XP_010347438.1
OG0000894	XP_026259005.1	XP_003944936.1
OG0000895	XP_026250962.1	XP_003935448.1
OG0000896	XP_026263776.1	XP_039316010.1, XP_039316012.1
OG0000898	XP_026270843.1	XP_003943977.1, XP_010330116.1, XP_003943978.1, XP_010330117.1
OG0000901	XP_026248655.1, XP_026248622.1	XP_010334466.1
OG0000902	XP_026243726.1	XP_039331059.1
OG0000903	XP_026261891.1	XP_003924299.1
OG0000904	XP_026247703.1	XP_039334838.1, XP_003945204.2, XP_039316934.1
OG0000905	XP_026248422.1	XP_010345036.1
OG0000908	XP_026255463.1, XP_026255462.1	XP_003941812.1, XP_010327803.1, XP_010327805.1
OG0000909	XP_026244166.1, XP_026244167.1	XP_039329145.1, XP_039329147.1, XP_039329146.1
OG0000910	XP_026249307.1	XP_003927710.1
OG0000911	XP_026266281.1, XP_026266285.1, XP_026266283.1, XP_026266280.1, XP_026266282.1, XP_026266286.1, XP_026266279.1, XP_026266277.1, XP_026266284.1	XP_003940191.1
OG0000913	XP_026236240.1	XP_039326278.1
OG0000914	XP_026246414.1	XP_010338132.2
OG0000915	XP_026256935.1	XP_010336217.1, XP_003936731.1, XP_039321290.1, XP_039335153.1
OG0000916	XP_026249631.1, XP_026249632.1	XP_039323648.1
OG0000917	XP_026235331.1	XP_003933840.1
OG0000917	XP_026243379.1	XP_010333115.1
OG0000919	XP_026267932.1	XP_010329254.1, XP_003943173.1
OG0000920	XP_026240257.1	XP_003920582.2
OG0000920	XP_026237706.1, XP_026237707.1, XP_026237710.1, XP_026237708.1, XP_026237711.1, XP_026237709.1, XP_026237705.1, XP_026237713.1, XP_026237714.1	XP_039329225.1
OG0000921	XP_026251460.1, XP_026251462.1, XP_026251461.1	XP_010329639.1, XP_039317887.1, XP_003943525.1
OG0000922	XP_026252498.1	XP_039331342.1
OG0000922	XP_026263559.1	XP_039326869.1
OG0000923	XP_026258041.1	XP_003936440.1
OG0000923	XP_026247454.1	XP_039330177.1
OG0000924	XP_026248280.1	XP_003923811.1
OG0000924	XP_026256553.1	XP_039330468.1
OG0000925	XP_026238412.1	XP_039336562.1, XP_039336571.1, XP_039336519.1
OG0000926	XP_026258388.1, XP_026258389.1	XP_039336030.1
OG0000928	XP_026235659.1	XP_039336281.1
OG0000928	XP_026236482.1	XP_039331820.1
OG0000930	XP_026259946.1	XP_039316289.1, XP_010343070.1
OG0000931	XP_026241120.1, XP_026241118.1, XP_026241119.1	XP_003928527.1
OG0000932	XP_026241340.1	XP_010337244.1
OG0000933	XP_026260822.1, XP_026260821.1	XP_039315761.1
OG0000935	XP_026261273.1, XP_026261272.1	XP_003933408.1
OG0000936	XP_026268160.1	XP_010329795.1
OG0000937	XP_026242748.1	XP_039331658.1, XP_039331657.1, XP_039331656.1, XP_039331655.1
OG0000938	XP_026253433.1, XP_026253434.1	XP_003933240.2, XP_010342045.1, XP_010342046.1
OG0000939	XP_026242194.1, XP_026242193.1	XP_003940667.1
OG0000940	XP_026267302.1, XP_026267303.1, XP_026267300.1, XP_026267301.1	XP_039319092.1, XP_039319089.1, XP_039319090.1, XP_039319091.1
OG0000941	XP_026260887.1	XP_003922701.1, XP_010331803.1, XP_010331802.1
OG0000943	XP_026239481.1	XP_010332347.1, XP_003923218.1, XP_010332348.1, XP_039323834.1
OG0000944	XP_026240386.1	XP_039320278.1
OG0000945	XP_026262456.1, XP_026262457.1	XP_039320552.1
OG0000946	XP_026263482.1	XP_003933760.1
OG0000947	XP_026253470.1, XP_026253475.1, XP_026253474.1, XP_026253472.1, XP_026253473.1	XP_039329883.1, XP_010343187.1
OG0000948	XP_026265165.1	XP_010338733.2, XP_010338732.2, XP_003929876.2
OG0000949	XP_026249955.1	XP_010350602.1
OG0000949	XP_026250102.1, XP_026250029.1, XP_026249884.1	XP_010350603.1
OG0000951	XP_026268007.1, XP_026268009.1, XP_026268010.1, XP_026268008.1	XP_039335106.1, XP_039335109.1, XP_039335108.1, XP_039335107.1
OG0000952	XP_026266710.1	XP_010335203.1
OG0000953	XP_026245874.1, XP_026245871.1, XP_026245875.1, XP_026245872.1, XP_026245873.1	XP_003926319.1
OG0000953	XP_026245178.1	XP_003927050.1
OG0000954	XP_026255499.1, XP_026255502.1, XP_026255500.1, XP_026255503.1	XP_010327827.1, XP_003941832.1
OG0000955	XP_026251894.1, XP_026251893.1, XP_026251892.1	XP_010350598.1, XP_003941556.1
OG0000956	XP_026243114.1	XP_039318178.1, XP_039318177.1, XP_039318179.1
OG0000957	XP_026268065.1	XP_010329202.1, XP_010329173.1
OG0000958	XP_026262563.1	XP_003932654.1, XP_003932653.1
OG0000959	XP_026252058.1	XP_010334501.2
OG0000960	XP_026266856.1	XP_010343368.1
OG0000961	XP_026266684.1	XP_003934555.1
OG0000962	XP_026262800.1	XP_003939211.1
OG0000963	XP_026264282.1, XP_026264284.1, XP_026264279.1, XP_026264280.1, XP_026264283.1, XP_026264281.1	XP_010344334.1
OG0000964	XP_026249789.1	XP_039336478.1
OG0000965	XP_026235433.1	XP_010333085.1, XP_010333084.1
OG0000966	XP_026250397.1	XP_010344264.1
OG0000967	XP_026271100.1	XP_003945019.2
OG0000968	XP_026258667.1, XP_026258668.1	XP_010330472.1, XP_010330479.1, XP_010330471.1, XP_010330480.1, XP_010330475.1, XP_003944316.1, XP_010330474.1, XP_010330473.1
OG0000969	XP_026259326.1	XP_003943460.2, XP_010329575.2, XP_010329574.2, XP_010329573.2
OG0000970	XP_026259299.1	XP_003943451.1
OG0000971	XP_026237582.1	XP_010336516.1
OG0000972	XP_026246874.1	XP_010339382.1
OG0000975	XP_026267871.1	XP_039322241.1, XP_039323673.1, XP_039328712.1, XP_039324072.1, XP_003940088.2
OG0000976	XP_026269866.1	XP_003941334.1
OG0000976	XP_026256924.1	XP_003922299.1
OG0000977	XP_026267838.1	XP_010341156.2
OG0000978	XP_026260666.1	XP_039332503.1, XP_039332502.1, XP_010340689.1
OG0000979	XP_026257451.1	XP_039318296.1
OG0000979	XP_026236708.1	XP_039334231.1, XP_039334230.1
OG0000980	XP_026267788.1, XP_026267786.1	XP_010344586.1
OG0000981	XP_026246274.1	XP_010338101.1
OG0000982	XP_026249029.1	XP_039323314.1
OG0000983	XP_026262827.1	XP_039328468.1, XP_039328470.1, XP_039328469.1
OG0000984	XP_026268475.1	XP_010340023.1, XP_010340021.1, XP_039319974.1, XP_010340022.1
OG0000985	XP_026247525.1	XP_003944632.1
OG0000986	XP_026240238.1	XP_010336737.1
OG0000987	XP_026235010.1, XP_026235022.1, XP_026235033.1	XP_003920124.1
OG0000988	XP_026258499.1	XP_003923922.2, XP_039327384.1
OG0000989	XP_026235456.1, XP_026235457.1	XP_010345561.2
OG0000991	XP_026244457.1, XP_026244458.1	XP_010335032.1, XP_039319785.1, XP_010335031.1
OG0000992	XP_026257763.1	XP_010333902.1
OG0000993	XP_026236440.1	XP_010341299.1
OG0000994	XP_026245077.1, XP_026245078.1	XP_003935664.1, XP_039317210.1, XP_003935665.1
OG0000995	XP_026259935.1	XP_039334958.1, XP_039318118.1, XP_039335337.1, XP_003933901.1, XP_039330504.1, XP_010343076.1, XP_039328819.1
OG0000996	XP_026236949.1, XP_026236947.1	XP_003944131.1, XP_010330264.1
OG0000997	XP_026235874.1	XP_003938732.1, XP_039322326.1
OG0000998	XP_026247042.1, XP_026247041.1, XP_026247043.1, XP_026247044.1	XP_010331967.1, XP_010346162.1
OG0000999	XP_026264353.1	XP_010339474.1
OG0001000	XP_026251426.1, XP_026251428.1, XP_026251427.1, XP_026251425.1	XP_010329641.1, XP_039316812.1
OG0001001	XP_026247101.1	XP_010338187.1
OG0001002	XP_026268922.1	XP_039320160.1
OG0001003	XP_026252798.1	XP_039334331.1, XP_039334330.1, XP_003922141.2, XP_039323619.1
OG0001004	XP_026270412.1	XP_039335929.1, XP_039335964.1, XP_003934071.1, XP_039335884.1, XP_039335853.1, XP_039336001.1, XP_039335792.1
OG0001005	XP_026248341.1, XP_026248338.1, XP_026248342.1	XP_010332829.2, XP_003923734.2, XP_010332828.2
OG0001006	XP_026248359.1	XP_010332881.1
OG0001007	XP_026257714.1	XP_010330838.1
OG0001008	XP_026255052.1	XP_010348965.1
OG0001009	XP_026252727.1	XP_003934190.1
OG0001010	XP_026259933.1	XP_039316307.1
OG0001011	XP_026258293.1, XP_026258295.1, XP_026258291.1, XP_026258292.1	XP_010339068.1
OG0001012	XP_026241061.1	XP_039334049.1, XP_039334050.1, XP_039334048.1
OG0001013	XP_026241306.1, XP_026241304.1	XP_039334224.1
OG0001013	XP_026241305.1	XP_039334225.1
OG0001014	XP_026266495.1	XP_010340596.1
OG0001014	XP_026261521.1	XP_003930346.1
OG0001016	XP_026243284.1	XP_003930456.1
OG0001017	XP_026261520.1, XP_026261518.1, XP_026261519.1	XP_039320152.1
OG0001018	XP_026268750.1	XP_039315794.1, XP_010327947.2, XP_010327948.2
OG0001019	XP_026237562.1, XP_026237561.1	XP_039319465.1, XP_039319464.1
OG0001020	XP_026264066.1	XP_039332906.1
OG0001021	XP_026254174.1	XP_003926501.1
OG0001022	XP_026242412.1	XP_003927841.1
OG0001023	XP_026251686.1	XP_003919891.2
OG0001023	XP_026250166.1	XP_039319159.1
OG0001024	XP_026269852.1, XP_026269853.1	XP_010350339.2, XP_039331401.1, XP_039331411.1, XP_010350337.2, XP_039331399.1, XP_010350338.2, XP_003941332.2
OG0001025	XP_026242983.1	XP_039319189.1, XP_010331856.1
OG0001026	XP_026255950.1	XP_039328903.1
OG0001026	XP_026255970.1	XP_039328902.1
OG0001027	XP_026243734.1, XP_026243735.1, XP_026243732.1, XP_026243731.1, XP_026243733.1	XP_003943893.1
OG0001028	XP_026243695.1, XP_026243694.1	XP_003943871.2, XP_003943872.2
OG0001029	XP_026239295.1	XP_010332174.1
OG0001030	XP_026265654.1, XP_026265653.1	XP_010328109.2
OG0001031	XP_026268681.1	XP_039329511.1
OG0001032	XP_026259983.1	XP_003941613.2, XP_003941611.2, XP_010350635.2, XP_039317343.1, XP_010350634.2
OG0001033	XP_026249896.1	XP_039316854.1
OG0001034	XP_026261107.1	XP_039325969.1, XP_039325968.1, XP_039325971.1, XP_039325970.1
OG0001035	XP_026251571.1	XP_003921153.1, XP_003921154.1
OG0001036	XP_026254946.1, XP_026254944.1, XP_026254945.1	XP_003920094.1, XP_010332284.1, XP_010332287.1
OG0001037	XP_026238766.1	XP_003927126.1
OG0001038	XP_026239660.1, XP_026239661.1, XP_026239662.1	XP_010345361.1
OG0001039	XP_026246756.1, XP_026246755.1	XP_039335699.1
OG0001040	XP_026250903.1	XP_039329188.1, XP_039329190.1, XP_010343288.1, XP_039329189.1, XP_010343284.1, XP_003934474.1, XP_010343287.1, XP_010343286.1
OG0001041	XP_026244163.1, XP_026244161.1, XP_026244162.1	XP_010331647.2, XP_010331611.2, XP_039329141.1, XP_003919774.2, XP_010331576.2
OG0001042	XP_026270570.1	XP_039325483.1, XP_010345565.1, XP_039325482.1, XP_010345566.1
OG0001043	XP_026264996.1	XP_003932345.1, XP_010341213.1
OG0001044	XP_026269940.1	XP_003934603.2
OG0001045	XP_026254601.1	XP_010348140.1
OG0001046	XP_026255310.1	XP_010338931.2
OG0001047	XP_026240099.1, XP_026240098.1	XP_003922153.1, XP_039320909.1, XP_039320910.1
OG0001048	XP_026240525.1	XP_010349194.1
OG0001049	XP_026243575.1, XP_026243578.1, XP_026243576.1, XP_026243577.1	XP_010338581.1, XP_039324718.1
OG0001050	XP_026258952.1	XP_003923986.1
OG0001050	XP_026268581.1	XP_039333349.1, XP_039320003.1
OG0001051	XP_026245196.1	XP_010335919.1, XP_010335920.1
OG0001052	XP_026270335.1	XP_010330996.1, XP_003944770.1
OG0001053	XP_026271097.1, XP_026271098.1, XP_026271099.1	XP_003944896.1
OG0001054	XP_026244849.1, XP_026244850.1	XP_010349893.1, XP_039326028.1
OG0001056	XP_026262499.1, XP_026262497.1, XP_026262496.1	XP_003935653.1, XP_010348507.1
OG0001060	XP_026236701.1	XP_003939334.2
OG0001061	XP_026259197.1	XP_003932221.1
OG0001062	XP_026261188.1	XP_010338673.1
OG0001062	XP_026241159.1	XP_039333955.1
OG0001063	XP_026263822.1	XP_039327825.1
OG0001063	XP_026265369.1	XP_039328453.1
OG0001064	XP_026243047.1	XP_039326267.1, XP_003923902.1
OG0001065	XP_026257772.1	XP_003938217.1
OG0001065	XP_026257774.1	XP_010347063.1
OG0001067	XP_026259472.1	XP_010349236.1
OG0001067	XP_026259579.1	XP_010349444.2
OG0001068	XP_026246968.1, XP_026246974.1, XP_026246970.1, XP_026246973.1, XP_026246969.1, XP_026246972.1, XP_026246971.1	XP_039321531.1, XP_003937379.2
OG0001069	XP_026266039.1	XP_003930672.1
OG0001070	XP_026249068.1	XP_039326023.1
OG0001071	XP_026247408.1	XP_003921323.1
OG0001072	XP_026256301.1	XP_010329844.1, XP_039336044.1, XP_039336043.1, XP_010329845.1
OG0001074	XP_026262445.1, XP_026262444.1	XP_003939805.2
OG0001075	XP_026260446.1	XP_010338400.2
OG0001075	XP_026261580.1	XP_003928689.1
OG0001076	XP_026267761.1	XP_003930015.1
OG0001077	XP_026249724.1	XP_010340266.1
OG0001078	XP_026246317.1	XP_003929290.2
OG0001079	XP_026270650.1	XP_039329471.1
OG0001080	XP_026261462.1	XP_010329913.2
OG0001080	XP_026267264.1	XP_010341776.1
OG0001081	XP_026247926.1	XP_039333931.1
OG0001082	XP_026241422.1	XP_003928557.2, XP_010336872.1
OG0001082	XP_026261750.1	XP_003932875.1
OG0001084	XP_026261529.1, XP_026261522.1, XP_026261528.1, XP_026261525.1, XP_026261526.1, XP_026261523.1, XP_026261524.1, XP_026261530.1	XP_003930337.2, XP_010339179.2, XP_039320142.1
OG0001085	XP_026260837.1	XP_003937912.1
OG0001085	XP_026263089.1	XP_003927462.2
OG0001086	XP_026249564.1	XP_039319790.1, XP_010335148.1
OG0001087	XP_026261769.1	XP_010333306.1
OG0001087	XP_026240431.1	XP_003927376.1
OG0001088	XP_026240933.1	XP_003924518.1
OG0001089	XP_026261282.1, XP_026261281.1, XP_026261284.1, XP_026261283.1	XP_010342251.1, XP_010342250.1
OG0001090	XP_026260551.1	XP_003931786.2
OG0001091	XP_026271236.1	XP_039322767.1
OG0001091	XP_026242233.1	XP_010339704.1
OG0001092	XP_026242320.1, XP_026242317.1, XP_026242316.1, XP_026242318.1, XP_026242315.1	XP_010349636.1
OG0001093	XP_026254279.1	XP_010348266.1
OG0001094	XP_026253727.1	XP_003929685.1
OG0001096	XP_026267119.1, XP_026267120.1	XP_003922831.1, XP_003922830.2, XP_003922829.1
OG0001097	XP_026268343.1	XP_003941348.2
OG0001098	XP_026249136.1	XP_003925252.1
OG0001099	XP_026264423.1, XP_026264427.1, XP_026264428.1, XP_026264426.1, XP_026264424.1, XP_026264425.1, XP_026264430.1	XP_010334194.1
OG0001100	XP_026271132.1	XP_010330574.1, XP_010330572.1, XP_010330573.1
OG0001101	XP_026239242.1	XP_003923307.1
OG0001102	XP_026248544.1, XP_026248545.1	XP_039323872.1
OG0001103	XP_026264256.1	XP_039324147.1, XP_039324480.1
OG0001104	XP_026270355.1	XP_003921204.1
OG0001104	XP_026239738.1	XP_010345383.1
OG0001105	XP_026263256.1	XP_003935214.2
OG0001106	XP_026257367.1, XP_026257366.1	XP_039318077.1, XP_010339595.1, XP_039318078.1, XP_010339597.1, XP_039318079.1
OG0001107	XP_026236072.1, XP_026236071.1, XP_026236070.1, XP_026236073.1	XP_010328525.1, XP_010328526.1
OG0001108	XP_026265237.1, XP_026265236.1	XP_003938156.1
OG0001109	XP_026241960.1	XP_039330492.1
OG0001110	XP_026270183.1, XP_026237938.1, XP_026253194.1, XP_026238678.1, XP_026237939.1	XP_010350373.2, XP_003922893.2, XP_010332023.2
OG0001111	XP_026267423.1	XP_003920503.3
OG0001111	XP_026267847.1	XP_039328097.1
OG0001112	XP_026262382.1	XP_010332953.1
OG0001112	XP_026262380.1	XP_039326982.1, XP_003920157.2
OG0001113	XP_026252452.1, XP_026252450.1, XP_026252453.1, XP_026252451.1	XP_039326476.1
OG0001114	XP_026263396.1	XP_039326389.1
OG0001114	XP_026263831.1	XP_010345976.2
OG0001115	XP_026235915.1, XP_026235760.1	XP_039319903.1, XP_039319901.1, XP_039319902.1
OG0001116	XP_026255468.1	XP_010327755.1, XP_003941759.1
OG0001117	XP_026255376.1, XP_026255375.1	XP_039322174.1, XP_039322173.1, XP_039322175.1
OG0001118	XP_026267422.1	XP_010333448.1, XP_039326953.1, XP_039327311.1
OG0001119	XP_026251895.1	XP_003944999.1
OG0001120	XP_026239900.1	XP_039326868.1
OG0001121	XP_026249432.1, XP_026249433.1, XP_026249431.1	XP_010328400.1, XP_010328399.1, XP_003942290.1
OG0001122	XP_026249448.1	XP_010328394.1, XP_010328395.1
OG0001123	XP_026263836.1, XP_026263837.1	XP_039333403.1, XP_039333404.1, XP_039333405.1
OG0001124	XP_026239612.1	XP_039317821.1
OG0001125	XP_026262404.1, XP_026262405.1	XP_010334091.1
OG0001126	XP_026246741.1	XP_010345238.1
OG0001127	XP_026244159.1, XP_026244160.1	XP_010339925.1
OG0001128	XP_026252039.1, XP_026252037.1	XP_010339464.1
OG0001129	XP_026251799.1	XP_039325963.1
OG0001130	XP_026250562.1	XP_010331503.1, XP_010331501.1, XP_010331502.1, XP_003922366.1
OG0001131	XP_026238047.1, XP_026238101.1	XP_003940244.1, XP_003940245.1
OG0001132	XP_026240686.1, XP_026240716.1	XP_039325047.1, XP_039325011.1
OG0001133	XP_026243613.1	XP_003944202.2, XP_010330338.2
OG0001134	XP_026269461.1	XP_039324428.1
OG0001135	XP_026245323.1	XP_039325918.1, XP_039325917.1, XP_039325916.1, XP_039325919.1
OG0001136	XP_026245294.1, XP_026245332.1	XP_010350330.2
OG0001137	XP_026236370.1	XP_010346881.1, XP_010346880.1, XP_010346879.1
OG0001138	XP_026268477.1	XP_039319929.1, XP_039319931.1, XP_039319930.1
OG0001139	XP_026262917.1	XP_003927437.1
OG0001139	XP_026235406.1	XP_003943960.1
OG0001144	XP_026247278.1	XP_003928223.1
OG0001145	XP_026268435.1	XP_003940812.1
OG0001145	XP_026267320.1	XP_003943223.1
OG0001146	XP_026246586.1	XP_010344348.1
OG0001146	XP_026269987.1	XP_039325355.1
OG0001147	XP_026245655.1	XP_003926342.1
OG0001148	XP_026263965.1	XP_010334078.1, XP_003925085.1
OG0001149	XP_026237077.1	XP_003932497.1
OG0001151	XP_026267884.1, XP_026267888.1	XP_003934563.1, XP_010343398.2, XP_039317626.1, XP_003934567.1, XP_003934566.1
OG0001152	XP_026254322.1	XP_003928163.1
OG0001153	XP_026238887.1	XP_039334508.1, XP_039324132.1
OG0001155	XP_026256708.1, XP_026256833.1	XP_039327219.1
OG0001156	XP_026258520.1, XP_026258507.1	XP_003923618.1, XP_003923619.1
OG0001159	XP_026253423.1	XP_039323240.1
OG0001160	XP_026253397.1, XP_026253398.1, XP_026253396.1	XP_039323819.1
OG0001161	XP_026260244.1	XP_039331067.1
OG0001162	XP_026267693.1, XP_026267690.1, XP_026267691.1, XP_026267689.1	XP_039331199.1, XP_039331198.1
OG0001163	XP_026237007.1, XP_026237009.1, XP_026237008.1	XP_003944744.1
OG0001164	XP_026259595.1	XP_010349264.1, XP_003940302.1
OG0001165	XP_026267341.1	XP_039321781.1, XP_010329323.1, XP_010329324.1
OG0001166	XP_026246990.1	XP_039321429.1
OG0001167	XP_026264334.1	XP_010339558.1
OG0001168	XP_026247523.1, XP_026247522.1	XP_003944630.1, XP_010330874.1
OG0001169	XP_026253725.1, XP_026253724.1	XP_039329567.1, XP_039329566.1, XP_039329565.1
OG0001170	XP_026251115.1	XP_039324124.1
OG0001171	XP_026271012.1	XP_003922461.2
OG0001173	XP_026258741.1	XP_039323957.1, XP_039320363.1
OG0001174	XP_026264468.1, XP_026264467.1, XP_026264466.1, XP_026264465.1	XP_003929323.2, XP_010338198.2
OG0001175	XP_026255050.1	XP_039333120.1, XP_010348940.1, XP_010348936.1, XP_010348939.1, XP_039333145.1, XP_039333118.1, XP_010348937.1, XP_003939966.1, XP_010348938.1, XP_010348941.1
OG0001176	XP_026255029.1	XP_010348962.1, XP_010348961.1, XP_010348963.1, XP_010348960.1
OG0001177	XP_026252700.1	XP_039316357.1
OG0001177	XP_026268917.1	XP_039316356.1, XP_039316353.1
OG0001178	XP_026246672.1	XP_039324811.1
OG0001179	XP_026267486.1	XP_010340778.2
OG0001179	XP_026263008.1	XP_039316540.1
OG0001180	XP_026261446.1, XP_026261447.1, XP_026261448.1	XP_010329925.1, XP_003943799.1
OG0001181	XP_026258601.1	XP_003933458.1
OG0001181	XP_026240763.1	XP_039328812.1
OG0001182	XP_026261945.1	XP_039330254.1, XP_039319677.1
OG0001183	XP_026264851.1	XP_003931131.1
OG0001184	XP_026243166.1	XP_010339349.2, XP_010339298.2
OG0001185	XP_026248647.1	XP_039316092.1
OG0001186	XP_026261026.1, XP_026261025.1	XP_003925439.1
OG0001187	XP_026254404.1	XP_003939292.1
OG0001188	XP_026261868.1	XP_010333317.1, XP_010333315.1, XP_010333316.1
OG0001189	XP_026254962.1, XP_026254961.1	XP_039332700.1, XP_039326426.1, XP_003920083.1
OG0001190	XP_026253767.1	XP_010337999.1
OG0001191	XP_026251230.1, XP_026251229.1, XP_026251231.1, XP_026251232.1	XP_039317397.1, XP_039317399.1, XP_039317398.1, XP_039317396.1, XP_039317395.1
OG0001192	XP_026238111.1, XP_026238112.1	XP_010341696.2, XP_003932862.2
OG0001193	XP_026255907.1	XP_010337313.1
OG0001194	XP_026235902.1	XP_003925316.1
OG0001195	XP_026270108.1	XP_039323141.1, XP_010341143.2, XP_039323629.1
OG0001196	XP_026271124.1	XP_003944368.2
OG0001197	XP_026239439.1, XP_026239438.1, XP_026239440.1	XP_010332065.1, NP_001266943.1
OG0001198	XP_026266971.1	XP_003923314.1
OG0001199	XP_026266828.1	XP_003923027.1
OG0001200	XP_026245421.1, XP_026245422.1	XP_003935978.1
OG0001201	XP_026245402.1, XP_026245403.1	XP_003935989.1
OG0001201	XP_026268385.1	XP_003943131.1
OG0001202	XP_026253185.1	XP_039334571.1
OG0001202	XP_026258365.1	XP_003932004.1
