Orthogroup	Saimiri_boliviensis_boliviensis	Canis_lupus_familiaris
OG0001703	XP_010337373.2	XP_038396666.1
OG0001704	XP_039327709.1, XP_039329421.1	XP_038439903.1
OG0001704	XP_039329777.1, XP_039324667.1	XP_038397479.1
OG0001705	XP_003924784.1, XP_010333734.1	XP_038397740.1, XP_038399433.1
OG0001706	XP_003927171.2	XP_038421713.1
OG0001706	XP_039321911.1	XP_038397814.1
OG0001707	XP_003930461.1	XP_038397948.1, XP_038397954.1
OG0001708	XP_003928143.1	XP_038398546.1
OG0001709	XP_039315795.1, XP_039321086.1	XP_038399210.1, XP_038399208.1, XP_038399209.1
OG0001710	XP_010333715.2, XP_039319675.1	XP_038399315.1, XP_038399314.1, XP_038399312.1, XP_038399313.1
OG0001711	XP_003924779.1	XP_038399427.1
OG0001712	XP_003930558.1	XP_038400702.1
OG0001713	XP_039318712.1	XP_038401848.1
OG0001714	XP_039332974.1, XP_039332973.1	XP_038402234.1, XP_038402235.1
OG0001715	XP_010340644.1	XP_038402345.1, XP_038402344.1, XP_038402343.1, XP_038402346.1
OG0001716	XP_003931792.3	XP_038402563.1
OG0001717	XP_039331810.1	XP_038402647.1
OG0001718	XP_003943657.1	XP_038403013.1, XP_038403007.1, XP_038403008.1, XP_038403012.1, XP_038403010.1, XP_038403009.1, XP_038403011.1
OG0001719	XP_003943672.1	XP_038403040.1
OG0001720	XP_010341933.2	XP_038404039.1
OG0001721	XP_039317414.1	XP_038404508.1
OG0001721	XP_039322029.1	XP_038423015.1
OG0001722	XP_039319197.1, XP_039319196.1, XP_039319198.1	XP_038406250.1, XP_038406248.1, XP_038406245.1, XP_038406249.1, XP_038406244.1
OG0001723	XP_039327821.1	XP_038406708.1, XP_038406710.1
OG0001724	XP_010331932.1	XP_038406790.1
OG0001725	XP_003922824.2	XP_038406800.1
OG0001726	XP_039334430.1	XP_038407180.1
OG0001727	XP_010331874.1, XP_039334827.1	XP_038407279.1, XP_038407271.1, XP_038407272.1, XP_038407275.1, XP_038407273.1, XP_038407274.1, XP_038407276.1, XP_038407278.1, XP_038407277.1
OG0001728	XP_039318541.1, XP_039318540.1	XP_038440084.1, XP_038440085.1, XP_038407590.1
OG0001729	XP_003920646.1, XP_010337103.1	XP_038408073.1
OG0001730	XP_039323368.1	XP_038409479.1
OG0001730	XP_010330564.2	XP_038409474.1
OG0001731	XP_010335468.1, XP_010335467.1, XP_010335466.1, XP_003926440.1	XP_038410244.1, XP_038410243.1
OG0001732	XP_039323482.1, XP_039323480.1, XP_039323479.1, XP_039323481.1	XP_038410760.1, XP_038410764.1, XP_038410762.1, XP_038410759.1, XP_038410763.1
OG0001733	XP_010329592.1, XP_003943481.1	XP_038410967.1, XP_038410966.1, XP_038410965.1, XP_038410968.1
OG0001734	XP_010332415.2	XP_038411018.1
OG0001735	XP_003936462.1	XP_038428357.1
OG0001735	XP_039320555.1	XP_038411080.1
OG0001736	XP_010328104.1, NP_001266926.1	XP_038411627.1
OG0001737	XP_039320791.1	XP_038411686.1, XP_038411685.1
OG0001738	XP_003936914.1	XP_038443662.1
OG0001738	XP_003933670.1	XP_038412056.1
OG0001739	XP_039324514.1	XP_038412094.1, XP_038412095.1
OG0001741	XP_003935242.2	XP_038413184.1
OG0001742	XP_039328760.1	XP_038413416.1
OG0001743	XP_039329494.1	XP_038413729.1
OG0001744	XP_010344576.1	XP_038414331.1
OG0001745	XP_039324278.1	XP_038414931.1
OG0001745	XP_039320538.1, XP_039331968.1, XP_039327400.1	XP_038435274.1
OG0001746	XP_003929844.1	XP_038415280.1
OG0001746	XP_003929845.2	XP_038415263.1
OG0001747	XP_003930826.3, XP_039317954.1	XP_038415504.1
OG0001748	XP_039324199.1, XP_039324198.1	XP_038416383.1
OG0001749	XP_010344045.1	XP_038416748.1
OG0001750	XP_003935287.1, XP_010344067.1, XP_010344068.1	XP_038416808.1, XP_038416804.1, XP_038416807.1, XP_038416806.1, XP_038416805.1, XP_038416809.1
OG0001751	XP_039316741.1, XP_003926842.1	XP_038417249.1
OG0001752	XP_003941990.1, XP_010328015.1	XP_038418145.1
OG0001753	XP_010342422.1	XP_038418614.1
OG0001754	XP_010331923.1	XP_038418904.1
OG0001755	XP_003920050.2	XP_038418926.1
OG0001756	XP_003920016.1, XP_010331510.1, XP_039326526.1	XP_038419004.1, XP_038419006.1, XP_038419005.1
OG0001757	XP_039326836.1, XP_003920154.1	XP_038419180.1, XP_038419179.1
OG0001758	XP_039326691.1, XP_039326690.1, XP_010331981.1, XP_010331986.1	XP_038419430.1
OG0001759	XP_039327250.1	XP_038419453.1
OG0001760	XP_010329451.1	XP_038419514.1
OG0001762	XP_010349227.2, XP_039333318.1	XP_038421900.1, XP_038421898.1, XP_038421897.1, XP_038421899.1
OG0001763	XP_010335307.2	XP_038422583.1, XP_038422581.1, XP_038422582.1
OG0001764	XP_039322836.1, XP_039322838.1, XP_039322837.1, XP_039322839.1, XP_003938949.1	XP_038423416.1
OG0001765	XP_003936925.2, XP_039321512.1	XP_038423838.1, XP_038423835.1, XP_038423839.1, XP_038423837.1, XP_038423836.1, XP_038423834.1
OG0001766	XP_010348495.1	XP_038443282.1, XP_038443283.1, XP_038424067.1
OG0001767	XP_003925113.1	XP_038426854.1
OG0001767	XP_039326796.1	XP_038424618.1
OG0001768	XP_039326830.1, XP_010332612.1, XP_003923483.1, XP_003923485.1	XP_038424647.1
OG0001769	XP_039329310.1	XP_038425546.1
OG0001771	XP_039336211.1	XP_038426829.1
OG0001772	XP_010339862.1	XP_038427058.1, XP_038427063.1, XP_038427061.1, XP_038427064.1, XP_038427059.1, XP_038427062.1, XP_038427060.1
OG0001773	XP_010350101.1	XP_038427680.1
OG0001774	XP_003932097.1	XP_038427966.1
OG0001775	XP_010345216.1	XP_038428382.1
OG0001776	XP_003936507.1	XP_038428414.1, XP_038428413.1, XP_038428412.1
OG0001777	XP_039335453.1, XP_039335452.1	XP_038428828.1
OG0001778	XP_039329290.1	XP_038430411.1
OG0001779	XP_039327680.1, XP_010345958.1, XP_039327681.1, XP_003937162.1	XP_038430728.1
OG0001780	XP_039328445.1, XP_039328446.1, XP_039328443.1, XP_039328444.1, XP_010341177.1, XP_010341178.1	XP_038431018.1
OG0001781	XP_003932277.1	XP_038431095.1, XP_038431094.1
OG0001782	XP_010341211.1, XP_003932339.1	XP_038431365.1
OG0001783	XP_010335697.1	XP_038432659.1
OG0001784	XP_003926724.1	XP_038432674.1
OG0001785	XP_003934619.1, XP_039317588.1, XP_010343421.1, XP_039317587.1, XP_039317590.1	XP_038432833.1
OG0001786	XP_010335596.1	XP_038432939.1, XP_038432938.1, XP_038432936.1, XP_038432940.1, XP_038432937.1, XP_038432935.1, XP_038432941.1
OG0001787	XP_003926692.1	XP_038433161.1
OG0001788	XP_039328227.1, XP_039328226.1	XP_038433606.1, XP_038433607.1, XP_038433605.1
OG0001789	XP_039321094.1, XP_039321095.1, XP_010331438.1	XP_038434566.1, XP_038434567.1, XP_038434568.1, XP_038434565.1
OG0001790	XP_010331278.1, XP_003922253.1	XP_038434706.1, XP_038434710.1, XP_038434709.1, XP_038434707.1
OG0001791	XP_010330360.1, XP_003922175.1, XP_039321077.1, XP_010330365.1, XP_039321076.1, XP_003922174.1	XP_038434940.1
OG0001792	XP_003928980.1, XP_010337843.1	XP_038436170.1
OG0001793	XP_003928946.1	XP_038436238.1, XP_038436237.1, XP_038436239.1, XP_038436236.1
OG0001794	XP_003929041.1	XP_038436504.1
OG0001795	XP_003928370.1	XP_038437096.1
OG0001796	XP_003934375.1	XP_038437184.1
OG0001797	XP_010336609.1	XP_038437328.1, XP_038437326.1, XP_038437325.1, XP_038437327.1
OG0001798	XP_010339737.1	XP_038439061.1, XP_038439060.1, XP_038439059.1
OG0001799	XP_010334004.1, XP_003925024.1	XP_038439723.1, XP_038439722.1, XP_038439724.1
OG0001800	XP_039322996.1, XP_010347229.1	XP_038441929.1, XP_038441933.1, XP_038441932.1, XP_038441931.1, XP_038441936.1, XP_038441930.1, XP_038441928.1, XP_038441934.1, XP_038441935.1, XP_038441927.1
OG0001801	XP_010346842.1	XP_038442283.1, XP_038442282.1, XP_038442281.1
OG0001803	XP_010349974.1	XP_038443518.1
OG0001804	XP_003935924.1	XP_038443904.1
OG0001805	XP_010348053.1, XP_003939141.1	XP_038444396.1, XP_038444397.1, XP_038444398.1
OG0001815	XP_003923041.1	XP_038409301.1
OG0001816	XP_003936196.1	NP_001003128.1, XP_038401023.1
OG0001816	XP_003929890.1	XP_038415596.1
OG0001817	XP_003940889.1	NP_001003243.1
OG0001818	XP_003932938.1	XP_038406589.1
OG0001818	XP_039316522.1	NP_001003274.1
OG0001819	XP_003926261.1	NP_001010957.1
OG0001820	XP_039335543.1	NP_001013441.1
OG0001821	XP_039333282.1	NP_001120970.1
OG0001822	XP_039317801.1	NP_001131124.1
OG0001823	XP_003924826.2	NP_001138542.1
OG0001824	XP_003927708.1	NP_001157169.1
OG0001825	XP_003921742.1	XP_038388958.1
OG0001825	XP_010337981.1	NP_001191267.1
OG0001826	XP_039329053.1, XP_039325613.1	XP_038417544.1
OG0001827	NP_001268789.1	NP_001268859.1
OG0001829	XP_003939195.1	XP_038432093.1
OG0001829	XP_003939194.1	NP_001300762.1
OG0001830	XP_039327263.1	NP_001300796.1
OG0001834	XP_039327333.1	XP_038419124.1
OG0001834	XP_003920195.2	NP_001375521.1
OG0001836	XP_010332943.2, XP_003923399.2, XP_003923398.1	NP_001375646.1, NP_001375930.1, XP_038424788.1
OG0001837	XP_003935825.1	NP_001375851.1
OG0001839	XP_003938088.1	XP_038442315.1, NP_001376125.1
OG0001840	XP_003926036.1, XP_010335021.1	XP_038381699.1, XP_038381697.1, XP_038381696.1
OG0001841	XP_039323521.1	XP_038382233.1
OG0001842	XP_039321563.1, XP_003944282.2	XP_038383926.1
OG0001843	XP_003940352.1	XP_038384306.1, XP_038384305.1, XP_038384308.1, XP_038384307.1, XP_038384309.1
OG0001844	XP_010330819.1, XP_010330818.1, XP_010330817.1	XP_038384587.1
OG0001845	XP_003938438.1, XP_010347370.1	XP_038385847.1, XP_038385844.1, XP_038385849.1, XP_038385846.1, XP_038385845.1, XP_038385848.1
OG0001846	XP_003930706.1	XP_038385888.1
OG0001847	XP_010329656.2, XP_010329687.2, XP_003943544.2, XP_010329655.2	XP_038386869.1
OG0001848	XP_039336314.1, XP_003937313.1	XP_038386995.1
OG0001849	XP_003921313.1	XP_038387353.1, XP_038387354.1
OG0001850	XP_039329799.1	XP_038387464.1
OG0001851	XP_003928487.1	XP_038396577.1, XP_038387977.1
OG0001852	XP_003920850.1	XP_038388386.1
OG0001853	XP_039335342.1	XP_038388518.1
OG0001853	XP_039324655.1, XP_039330509.1	XP_038413589.1
OG0001854	XP_003930071.1, XP_010338940.1	XP_038389717.1
OG0001855	XP_003935410.1, XP_010344194.1	XP_038389788.1
OG0001856	XP_010337597.2, XP_039334332.1, XP_010337596.2, XP_039334333.1, XP_003928683.2, XP_039334334.1	XP_038390143.1, XP_038390145.1, XP_038390147.1, XP_038390146.1, XP_038390144.1
OG0001857	XP_003942600.1	XP_038390408.1
OG0001858	XP_010344966.1	XP_038390725.1
OG0001859	XP_010342873.1	XP_038390939.1, XP_038390941.1, XP_038390935.1, XP_038390943.1, XP_038390940.1, XP_038390934.1, XP_038390942.1, XP_038390937.1, XP_038390936.1
OG0001860	XP_010342838.1, XP_003934057.1, XP_010342836.1, XP_039326080.1	XP_038390980.1
OG0001861	XP_003923668.1, XP_039316191.1	XP_038391436.1
OG0001861	XP_003944048.1	XP_038442440.1
OG0001862	XP_003929174.1	XP_038392522.1
OG0001863	XP_003929440.3	XP_038392870.1
OG0001863	XP_010338174.2	XP_038392874.1
OG0001865	XP_010348649.1, XP_010348647.1, XP_010348650.1, XP_010348648.1, XP_039330472.1	XP_038393567.1
OG0001866	XP_039330051.1, XP_039330050.1, XP_003939692.1	XP_038393621.1, XP_038428983.1, XP_038393624.1, XP_038393622.1, XP_038393623.1, XP_038393625.1
OG0001867	XP_010345032.1, XP_003936301.1, XP_010345033.1	XP_038394717.1
OG0001868	XP_003934175.1	XP_038395076.1
OG0001868	XP_039327510.1	XP_038430895.1
OG0001869	XP_039316544.1	XP_038395079.1
OG0001870	XP_039331787.1	XP_038402260.1
OG0001870	XP_003934302.1	XP_038395483.1
OG0001871	XP_003930134.1, XP_010338992.1	XP_038395766.1, XP_038395767.1, XP_038395761.1, XP_038395762.1, XP_038395764.1, XP_038395765.1, XP_038395763.1
OG0001872	XP_010339107.1, XP_010339105.1, XP_010339106.1, XP_010339103.1, XP_010339110.1, XP_010339108.1, XP_010339111.1, XP_010339104.1, XP_010339109.1	XP_038395924.1
OG0001873	XP_039334110.1	XP_038396133.1, XP_038396134.1
OG0001874	XP_003921432.2	XP_038397510.1
OG0001874	XP_010345509.1	XP_038397508.1
OG0001875	XP_039330430.1, XP_039330432.1, XP_039330431.1, XP_010345629.1, XP_039330429.1	XP_038397549.1
OG0001876	XP_039319962.1, XP_039319957.1, XP_039319955.1, XP_039319963.1, XP_039319956.1	XP_038397641.1, XP_038444322.1, XP_038444310.1
OG0001877	XP_039325081.1	XP_038417429.1
OG0001877	XP_039318053.1, XP_039336122.1	XP_038397647.1
OG0001877	XP_003943145.2, XP_010329229.2	XP_038443606.1
OG0001878	XP_003919948.1	XP_038425154.1
OG0001878	XP_003938396.2	XP_038397663.1
OG0001879	XP_039318840.1	XP_038401840.1
OG0001879	XP_039320147.1	XP_038398676.1
OG0001880	XP_010327890.1	XP_038399164.1
OG0001881	XP_039319772.1, XP_039319774.1, XP_039319773.1, XP_039334834.1	XP_038399596.1, XP_038399597.1, XP_038399595.1, XP_038399598.1
OG0001883	NP_001265469.1, XP_010333229.1	XP_038400177.1
OG0001884	XP_010333355.1	XP_038400130.1, XP_038400131.1, XP_038438735.1
OG0001885	XP_039324964.1	XP_038400596.1
OG0001886	XP_010333605.2	XP_038401230.1
OG0001887	XP_003924657.1	XP_038401351.1
OG0001888	XP_039331923.1	XP_038402156.1
OG0001889	XP_003931260.1	XP_038403458.1, XP_038403457.1
OG0001890	XP_010350397.1	XP_038404545.1
OG0001891	XP_003941422.1	XP_038404742.1
OG0001892	XP_003940062.1	XP_038405018.1
OG0001894	XP_010348256.1	XP_038405563.1
OG0001895	XP_003927832.1	XP_038405909.1
OG0001896	XP_010341709.1, XP_010341710.1, XP_010341711.1, XP_010341708.1	XP_038406352.1
OG0001897	XP_039318934.1	XP_038406523.1, XP_038406520.1, XP_038406521.1, XP_038406522.1
OG0001898	XP_039319182.1	XP_038406677.1, XP_038406675.1, XP_038406676.1
OG0001899	XP_010338555.1, XP_010338556.1	XP_038406707.1, XP_038406706.1, XP_038406705.1
OG0001900	XP_010331929.1	XP_038406778.1
OG0001901	XP_039331544.1, XP_039331540.1, XP_010347676.1	XP_038406972.1, XP_038406973.1, XP_038406975.1, XP_038406974.1
OG0001902	XP_010344884.1, XP_039316612.1, XP_003936138.1	XP_038407745.1, XP_038407746.1
OG0001903	XP_010336962.2	XP_038408113.1
OG0001904	XP_039331150.1	XP_038408506.1, XP_038408503.1, XP_038408505.1, XP_038408504.1
OG0001905	XP_010349089.1	XP_038408796.1
OG0001906	XP_010334246.1, XP_010334247.1	XP_038409093.1, XP_038409096.1, XP_038409097.1, XP_038409095.1
OG0001907	XP_039323727.1	XP_038409278.1
OG0001908	XP_039323443.1	XP_038409958.1, XP_038409959.1
OG0001909	XP_003922969.1, XP_003922970.1	XP_038410686.1, XP_038410687.1, XP_038410688.1
OG0001910	XP_003922967.1	XP_038410695.1
OG0001911	XP_010329170.1, XP_010329169.1, XP_010329167.1, XP_003943072.1, XP_010329168.1, XP_010329166.1	XP_038411129.1, XP_038411130.1
OG0001912	XP_010328229.2	XP_038411623.1, XP_038411622.1
OG0001913	XP_039320729.1, XP_039320728.1	XP_038411643.1, XP_038411642.1
OG0001914	XP_039324518.1	XP_038411917.1
OG0001915	XP_039320282.1	XP_038412269.1
OG0001916	XP_039328102.1	XP_038414517.1
OG0001917	XP_003934484.1	XP_038429230.1
OG0001917	XP_003928032.1	XP_038414930.1
OG0001918	XP_039328842.1	XP_038415713.1
OG0001918	XP_039334348.1	XP_038420945.1
OG0001919	XP_010346582.1	XP_038419985.1
OG0001919	XP_003944029.1	XP_038417128.1
OG0001920	XP_003944025.1	XP_038417146.1, XP_038417145.1, XP_038417148.1, XP_038417147.1
OG0001921	XP_039319746.1	XP_038417514.1
OG0001922	XP_010327994.2	XP_038418164.1
OG0001923	XP_003920159.1	XP_038418388.1
OG0001924	XP_010339694.2	XP_038418528.1, XP_038418524.1, XP_038418527.1, XP_038418529.1, XP_038418523.1, XP_038418525.1, XP_038418522.1, XP_038418526.1
OG0001925	XP_039334941.1	XP_038421679.1
OG0001926	XP_010330364.1	XP_038419091.1, XP_038419092.1
OG0001927	XP_003920303.3	XP_038420169.1, XP_038420165.1, XP_038420167.1, XP_038420166.1, XP_038420168.1, XP_038420171.1, XP_038420170.1
OG0001928	XP_010333653.1	XP_038420313.1
OG0001929	XP_003936288.1, XP_003936287.1	XP_038420655.1, XP_038420653.1, XP_038420654.1, XP_038420657.1, XP_038420656.1, XP_038420658.1
OG0001930	XP_003931594.1	XP_038420903.1, XP_038420902.1, XP_038420904.1
OG0001931	XP_039333379.1	XP_038421514.1
OG0001932	XP_039333596.1, XP_039333595.1, XP_039333594.1	XP_038421966.1
OG0001933	XP_039333300.1	XP_038422100.1
OG0001934	XP_010345385.1	XP_038422228.1, XP_038422227.1, XP_038422229.1, XP_038422230.1, XP_038422231.1
OG0001935	XP_003926469.1	XP_038422634.1, XP_038422636.1, XP_038422638.1, XP_038422637.1, XP_038422635.1
OG0001936	XP_003941743.1, XP_039322633.1	XP_038422974.1, XP_038422976.1, XP_038422977.1, XP_038422975.1
OG0001937	XP_039322858.1, XP_039322860.1	XP_038423389.1, XP_038423392.1, XP_038423391.1, XP_038423390.1, XP_038423388.1
OG0001938	XP_039322928.1, XP_003938908.1	XP_038423477.1, XP_038423478.1, XP_038423476.1, XP_038423472.1, XP_038423474.1, XP_038423473.1
OG0001939	XP_039323083.1, XP_039322336.1	XP_038423930.1
OG0001940	XP_003923879.1	XP_038424087.1
OG0001941	XP_010343952.2	XP_038424293.1
OG0001942	XP_003923461.1	XP_038424698.1
OG0001943	XP_003919957.1	XP_038425170.1, XP_038425171.1, XP_038425172.1
OG0001944	XP_003925090.1	XP_038427135.1
OG0001944	XP_039329201.1	XP_038425524.1
OG0001945	XP_003942981.2	XP_038427338.1
OG0001946	XP_010342052.2	XP_038427515.1, XP_038427516.1, XP_038427514.1, XP_038427517.1
OG0001947	XP_010342066.1	XP_038427561.1
OG0001948	XP_010342090.1, XP_010342089.1, XP_039318001.1	XP_038427610.1
OG0001949	XP_003941138.1, XP_003941137.1	XP_038427637.1, XP_038427638.1, XP_038427636.1
OG0001950	XP_010345222.1, XP_003936508.1	XP_038428411.1
OG0001951	XP_039335429.1	XP_038428761.1
OG0001952	XP_039335456.1, XP_039335455.1	XP_038428819.1
OG0001953	XP_010333556.1	XP_038429404.1, XP_038429405.1, XP_038429407.1, XP_038429408.1
OG0001954	XP_039321056.1	XP_038435075.1
OG0001954	XP_003937237.1	XP_038429694.1
OG0001955	XP_039317123.1	XP_038429778.1, XP_038429780.1, XP_038429781.1, XP_038429783.1, XP_038429782.1, XP_038429784.1, XP_038429779.1
OG0001956	XP_003935638.1	XP_038429843.1, XP_038429841.1, XP_038429840.1, XP_038429842.1
OG0001957	XP_039327930.1	XP_038430755.1
OG0001958	XP_039323695.1, XP_010331602.1	XP_038431974.1
OG0001959	XP_010339424.1, XP_039317510.1	XP_038432390.1, XP_038432388.1, XP_038432389.1, XP_038432387.1, XP_038432386.1
OG0001960	XP_039317520.1, XP_039317522.1, XP_010343404.2	XP_038432752.1
OG0001961	XP_010335603.1	XP_038432956.1
OG0001962	XP_039327957.1, XP_010335617.1	XP_038433014.1
OG0001963	XP_003926683.1	XP_038433139.1
OG0001964	XP_039317539.1	XP_038433338.1, XP_038433339.1, XP_038433337.1
OG0001965	XP_039328471.1, XP_039328472.1	XP_038433453.1
OG0001966	XP_003939308.1, XP_003939309.1	XP_038433771.1
OG0001967	XP_039321103.1	XP_038433881.1
OG0001967	XP_039321152.1	XP_038433879.1
OG0001968	XP_003930025.1	XP_038433941.1
OG0001969	XP_010330966.1	XP_038434817.1
OG0001970	XP_039320971.1	XP_038434905.1
OG0001971	XP_039321159.1	XP_038435110.1
OG0001971	XP_003924023.1	XP_038437672.1
OG0001972	XP_003928915.1	XP_038436315.1
OG0001973	XP_003944827.1, XP_039324870.1	XP_038436926.1, XP_038436929.1, XP_038436927.1, XP_038436928.1
OG0001974	XP_010331061.1	XP_038436952.1
OG0001975	XP_003922063.2, XP_039336396.1	XP_038437218.1
OG0001976	XP_003929496.1, XP_010338374.1	XP_038437820.1
OG0001977	XP_039324307.1, XP_039324309.1, XP_039324308.1	XP_038437950.1
OG0001978	XP_010348333.1	XP_038438636.1
OG0001979	XP_010333988.1	XP_038439749.1
OG0001980	XP_039336243.1	XP_038439838.1
OG0001981	XP_010336394.2	XP_038439959.1
OG0001982	XP_039323552.1	XP_038440396.1
OG0001983	XP_003921878.2, XP_003921879.1	XP_038440879.1, XP_038440880.1
OG0001984	XP_003925541.1	XP_038441752.1
OG0001985	XP_010347282.1	XP_038441980.1
OG0001986	XP_003943422.3	XP_038442193.1, XP_038442197.1
OG0001987	XP_010334682.2	XP_038442748.1
OG0001988	XP_039331577.1, XP_003920381.1	XP_038442777.1
OG0001990	XP_039320988.1, XP_010329203.1, XP_039331798.1	XP_038443549.1
OG0001991	XP_039320085.1	XP_038443804.1
OG0001992	XP_003931136.1	XP_038444132.1, XP_038444133.1, XP_038444134.1
OG0001993	XP_010340012.1	XP_038444166.1
OG0001994	XP_003921837.1	XP_038444690.1, XP_038444691.1, XP_038444692.1
OG0002001	XP_010335592.1, XP_003926601.1	NP_001003103.1
OG0002002	XP_010338620.2, XP_039325761.1	NP_001003226.1
OG0002003	XP_039335354.1, XP_039335358.1	NP_001003263.1
OG0002005	XP_003921706.1	NP_001003313.1
OG0002005	XP_003926083.1	NP_001003312.1
OG0002006	XP_010334356.1, XP_010334354.1, XP_010334355.1	NP_001003351.1
OG0002008	XP_039319710.1, XP_010349349.1	XP_038426108.1, NP_001019807.1, XP_038395375.1
OG0002009	XP_039323053.1	NP_001041574.1
OG0002010	XP_039326259.1	XP_038390029.1, XP_038413255.1
OG0002010	XP_010335224.2, XP_039323869.1, XP_039329193.1	NP_001239156.1
OG0002011	XP_003923033.1	NP_001271421.1
OG0002012	XP_003939988.1, XP_003939989.1	NP_001274059.1
OG0002013	XP_010336952.2, XP_010336953.2, XP_003928075.2, XP_010336955.2, XP_010336954.2	NP_001300703.1
OG0002014	XP_010344572.2	XP_038405991.1, NP_001375452.1
OG0002015	XP_003925315.1	NP_001375458.1
OG0002016	XP_003920194.1	NP_001375523.1
OG0002020	XP_010329250.1, XP_010329251.2	XP_038381486.1, XP_038381604.1, XP_038381603.1, XP_038384894.1
OG0002021	XP_039319699.1, XP_039319698.1, XP_010335019.2, XP_010335020.2, XP_039319697.1	XP_038381676.1
OG0002022	XP_010335836.1, XP_039323878.1, XP_010335835.1	XP_038445502.1, XP_038382183.1
OG0002023	XP_039321808.1, XP_010344628.2	XP_038382400.1
OG0002024	XP_010347106.2	XP_038383326.1
OG0002025	XP_039322178.1, XP_010349422.2	XP_038384007.1, XP_038384005.1, XP_038384008.1, XP_038384006.1, XP_038384009.1
OG0002026	XP_003940423.3	XP_038384101.1
OG0002027	XP_003940364.2	XP_038384277.1
OG0002028	XP_039322250.1, XP_039322245.1, XP_010330813.2, XP_010330806.1, XP_039322248.1, XP_010330815.2	XP_038384593.1
OG0002029	XP_039321798.1	XP_038384832.1
OG0002029	XP_010344995.2	XP_038389677.1
OG0002030	XP_039336459.1	XP_038385212.1, XP_038437516.1
OG0002031	XP_039322487.1, XP_039322486.1	XP_038385262.1, XP_038385261.1
OG0002032	XP_003930678.1	XP_038385964.1, XP_038385963.1
OG0002033	XP_010336569.1	XP_038386374.1, XP_038386378.1, XP_038386375.1, XP_038386376.1, XP_038386377.1
OG0002034	XP_010334900.1	XP_038386572.1, XP_038386571.1, XP_038386573.1, XP_038386574.1, XP_038386575.1
OG0002035	XP_010346125.1	XP_038387037.1
OG0002036	XP_010343740.1	XP_038387516.1
OG0002037	XP_003934919.1	XP_038387549.1
OG0002039	XP_003935067.3	XP_038387723.1
OG0002040	XP_010338534.1, XP_010338530.1	XP_038388199.1, XP_038388196.1, XP_038388198.1, XP_038388197.1
OG0002041	XP_003934601.1	XP_038388389.1, XP_038432801.1
OG0002042	XP_039335931.1, XP_039335930.1	XP_038388838.1
OG0002043	XP_010348436.1, XP_010348433.1, XP_003921717.1	XP_038388873.1, XP_038388874.1
OG0002044	XP_039324258.1	XP_038389129.1
OG0002045	XP_010336463.1	XP_038389508.1
OG0002046	XP_039334058.1	XP_038390174.1, XP_038390175.1
OG0002047	XP_039316345.1, XP_010336618.2, XP_010336488.1	XP_038390787.1
OG0002048	XP_039335112.1	XP_038429529.1
OG0002048	XP_010342890.1	XP_038390880.1
OG0002049	XP_003934040.1	XP_038391033.1
OG0002050	XP_003925979.1	XP_038391274.1
OG0002051	XP_010348605.1	XP_038391475.1
OG0002053	XP_039326355.1	XP_038391892.1
OG0002054	XP_003929309.1, XP_003929308.1	XP_038392876.1, XP_038392875.1
OG0002055	XP_010338214.2	XP_038392983.1
OG0002056	XP_003921536.1	XP_038393259.1, XP_038393258.1, XP_038393257.1, XP_038393261.1, XP_038393262.1, XP_038393260.1, XP_038393256.1
OG0002057	XP_039329890.1, XP_003939712.1, XP_039329891.1	XP_038393509.1, XP_038393508.1
OG0002058	XP_039327337.1, XP_039334182.1	XP_038394140.1
OG0002059	XP_003939968.1, XP_010348943.1, XP_010348944.1	XP_038394272.1
OG0002060	XP_003939969.2	XP_038394281.1
OG0002061	XP_039329901.1, XP_039329910.1, XP_039329905.1, XP_039329913.1, XP_010348999.1, XP_039329903.1, XP_039329906.1	XP_038394424.1, XP_038394423.1
OG0002062	XP_003936377.2	XP_038394440.1
OG0002063	XP_039334418.1	XP_038394792.1
OG0002064	XP_039316274.1, XP_039316275.1	XP_038394922.1
OG0002065	XP_003944705.1	XP_038395374.1, XP_038410364.1, XP_038409361.1, XP_038399954.1
OG0002066	XP_010339012.2	XP_038395814.1, XP_038395812.1, XP_038395813.1
OG0002067	XP_010337326.1	XP_038396724.1
OG0002068	XP_003933298.2	XP_038397118.1, XP_038397117.1
OG0002069	XP_003933337.1	XP_038397225.1
OG0002070	XP_003944186.1	XP_038397913.1, XP_038397912.1
OG0002071	XP_010346778.1, XP_010346779.1, XP_010346780.1, XP_010346776.1, XP_039316018.1, XP_010346777.1, XP_010346781.1	XP_038398900.1
OG0002072	XP_010333549.2, XP_039325238.1, XP_039325237.1, XP_010333552.2, XP_039325239.1	XP_038401175.1
OG0002073	XP_003924603.2	XP_038401228.1, XP_038401227.1, XP_038401226.1
OG0002074	XP_039332389.1, XP_039332388.1, XP_003942479.1	XP_038402854.1
OG0002075	XP_003943644.1	XP_038402925.1, XP_038402926.1, XP_038402924.1
OG0002075	XP_039320210.1	XP_038412286.1
OG0002076	XP_010328994.1	XP_038403344.1
OG0002077	XP_010340150.1, XP_010340149.1, XP_010340151.1	XP_038403484.1
OG0002078	XP_003940702.1	XP_038405362.1
OG0002079	XP_003939355.1, XP_003939354.1	XP_038405539.1
OG0002080	XP_039327921.1	XP_038405598.1, XP_038405599.1
OG0002081	XP_039318932.1, XP_039318933.1	XP_038406483.1
