Orthogroup	Saimiri_boliviensis_boliviensis	Echinops_telfairi
OG0001043	XP_003932345.1, XP_010341213.1	XP_004709591.1
OG0001044	XP_003934603.2	XP_004713857.1
OG0001045	XP_010348140.1	XP_045143230.1, XP_045143228.1, XP_004711423.1, XP_045143229.1
OG0001047	XP_003922153.1, XP_039320909.1, XP_039320910.1	XP_004701296.2, XP_045147438.1
OG0001048	XP_010349194.1	XP_004697556.1, XP_045143492.1
OG0001049	XP_010338581.1, XP_039324718.1	XP_045141715.1
OG0001050	XP_003923986.1	XP_004703276.1
OG0001051	XP_010335919.1, XP_010335920.1	XP_045152341.1, XP_045152340.1, XP_045152339.1, XP_004713511.1
OG0001052	XP_010330996.1, XP_003944770.1	XP_004717461.1
OG0001053	XP_003944896.1	XP_004717360.1
OG0001054	XP_010349893.1, XP_039326028.1	XP_045152133.1, XP_045152120.1, XP_004701780.1
OG0001055	XP_010348557.1, XP_010347603.2	XP_045144261.1, XP_045144262.1
OG0001056	XP_003935653.1, XP_010348507.1	XP_045144264.1, XP_045144265.1, XP_045144266.1
OG0001060	XP_003939334.2	XP_004716978.2
OG0001061	XP_003932221.1	XP_012861856.1
OG0001063	XP_039328453.1	XP_045141776.1, XP_004709681.2, XP_030741963.1, XP_012861119.1, XP_045147609.1
OG0001064	XP_039326267.1, XP_003923902.1	XP_004708986.1
OG0001065	XP_003938217.1	XP_045145373.1
OG0001065	XP_010347063.1	XP_004714653.1
OG0001067	XP_010349444.2	XP_045148440.1
OG0001068	XP_039321531.1, XP_003937379.2	XP_004715884.1
OG0001069	XP_003930672.1	XP_045141557.1
OG0001070	XP_039326023.1	XP_045141504.1
OG0001070	XP_039328132.1	XP_045140878.1, XP_045143118.1
OG0001070	XP_039319986.1	XP_045142486.1
OG0001072	XP_010329844.1, XP_039336044.1, XP_039336043.1, XP_010329845.1	XP_004699788.1, XP_045141752.1
OG0001074	XP_003922499.1	XP_004701425.1
OG0001075	XP_010338400.2	XP_045140259.1
OG0001075	XP_003928689.1	XP_045147619.1
OG0001077	XP_010340266.1	XP_045149259.1
OG0001078	XP_003929290.2	XP_004709241.2
OG0001079	XP_039329471.1	XP_045155069.1
OG0001080	XP_010341776.1	XP_045147669.1
OG0001081	XP_039333931.1	XP_030740264.2
OG0001082	XP_003928557.2, XP_010336872.1	XP_004705906.1
OG0001082	XP_003932875.1	XP_012860589.1, XP_045147983.1
OG0001083	XP_010340371.1, XP_039332888.1	XP_012860855.1
OG0001084	XP_003930337.2, XP_010339179.2, XP_039320142.1	XP_004700024.1
OG0001085	XP_003937912.1	XP_004714774.2
OG0001085	XP_003927462.2	XP_030743040.1
OG0001086	XP_039319790.1, XP_010335148.1	XP_045152168.1, XP_045152167.1, XP_045152169.1
OG0001087	XP_010333306.1	XP_045149504.1, XP_004698553.1
OG0001087	XP_003927376.1	XP_004715351.2
OG0001088	XP_003924518.1	XP_045144136.1
OG0001089	XP_010342251.1, XP_010342250.1	XP_004698874.2
OG0001090	XP_003931786.2	XP_045155664.1, XP_004709204.1
OG0001091	XP_039322767.1	XP_004711753.1
OG0001091	XP_010339704.1	XP_004713307.1
OG0001092	XP_010349636.1	XP_004713413.1
OG0001093	XP_010348266.1	XP_004700613.1, XP_045146495.1, XP_045146492.1
OG0001094	XP_003929685.1	XP_004700395.1
OG0001095	XP_003922821.1	XP_045139840.1, XP_045139841.1, XP_004704380.1
OG0001096	XP_003922831.1, XP_003922830.2, XP_003922829.1	XP_004704389.1
OG0001097	XP_003941348.2	XP_004704406.1
OG0001098	XP_003925252.1	XP_004718018.2, XP_004712638.1
OG0001099	XP_010334194.1	XP_045152572.1
OG0001100	XP_010330574.1, XP_010330572.1, XP_010330573.1	XP_004711761.1, XP_045148767.1
OG0001101	XP_003923307.1	XP_030742779.1
OG0001102	XP_039323872.1	XP_004710970.1
OG0001103	XP_039324147.1, XP_039324480.1	XP_004703432.2, XP_045140226.1
OG0001104	XP_003921204.1	XP_045144921.1
OG0001104	XP_010345383.1	XP_030743476.1
OG0001105	XP_003935214.2	XP_004702910.1
OG0001106	XP_039318077.1, XP_010339595.1, XP_039318078.1, XP_010339597.1, XP_039318079.1	XP_004702823.1
OG0001107	XP_010328525.1, XP_010328526.1	XP_004707624.1
OG0001109	XP_039330492.1	XP_045150094.1, XP_045150095.1
OG0001111	XP_003920503.3	XP_004715054.1
OG0001111	XP_039328097.1	XP_045152633.1
OG0001112	XP_039326982.1, XP_003920157.2	XP_004715017.1, XP_045152991.1
OG0001113	XP_039326476.1	XP_045153105.1
OG0001114	XP_039326389.1	XP_004715094.1
OG0001114	XP_010345976.2	XP_045152668.1
OG0001116	XP_010327755.1, XP_003941759.1	XP_030741370.1
OG0001117	XP_039322174.1, XP_039322173.1, XP_039322175.1	XP_004716860.1
OG0001118	XP_010333448.1, XP_039326953.1, XP_039327311.1	XP_045153017.1, XP_004715081.1
OG0001119	XP_003944999.1	XP_045153685.1, XP_045153686.1
OG0001120	XP_039326868.1	XP_045147081.1
OG0001121	XP_010328400.1, XP_010328399.1, XP_003942290.1	XP_045139734.1, XP_004704326.1, XP_045139733.1
OG0001122	XP_010328394.1, XP_010328395.1	XP_045145007.1
OG0001123	XP_039333403.1, XP_039333404.1, XP_039333405.1	XP_045150985.1, XP_045150984.1
OG0001124	XP_039317821.1	XP_045153740.1
OG0001125	XP_010334091.1	XP_004708587.1
OG0001126	XP_010345238.1	XP_045151329.1
OG0001127	XP_010339925.1	XP_004714874.1
OG0001128	XP_010339464.1	XP_012862979.1, XP_045151799.1, XP_045151800.1, XP_045151798.1, XP_004706652.2
OG0001129	XP_039325963.1	XP_012859833.1
OG0001130	XP_010331503.1, XP_010331501.1, XP_010331502.1, XP_003922366.1	XP_004701068.1
OG0001131	XP_003940244.1, XP_003940245.1	XP_004697563.1, XP_045142372.1
OG0001133	XP_003944202.2, XP_010330338.2	XP_030740183.1
OG0001134	XP_039324428.1	XP_045139953.1
OG0001135	XP_039325918.1, XP_039325917.1, XP_039325916.1, XP_039325919.1	XP_004703815.1
OG0001136	XP_010350330.2	XP_004703792.1
OG0001137	XP_010346881.1, XP_010346880.1, XP_010346879.1	XP_045154412.1, XP_045154413.1
OG0001138	XP_039319929.1, XP_039319931.1, XP_039319930.1	XP_030743758.1
OG0001139	XP_003927437.1	XP_004711704.1
OG0001139	XP_003943960.1	XP_045141465.1
OG0001144	XP_003928223.1	XP_045145134.1
OG0001145	XP_003943223.1	XP_004710563.1
OG0001146	XP_010344348.1	XP_004697636.1
OG0001147	XP_003926342.1	XP_045153654.1
OG0001148	XP_010334078.1, XP_003925085.1	XP_004708596.1, XP_045151002.1
OG0001149	XP_003932497.1	XP_045150506.1
OG0001151	XP_003934563.1, XP_010343398.2, XP_039317626.1, XP_003934567.1, XP_003934566.1	XP_012863651.2, XP_004716284.1
OG0001152	XP_003928163.1	XP_004706681.1
OG0001152	XP_003928239.2	XP_045145308.1
OG0001153	XP_039334508.1, XP_039324132.1	XP_045145795.1, XP_004718158.2
OG0001155	XP_039327219.1	XP_012863999.1, XP_004717560.1, XP_004717563.2, XP_004717543.1
OG0001159	XP_039323240.1	XP_045150515.1
OG0001160	XP_039323819.1	XP_004702021.1
OG0001161	XP_039331067.1	XP_045154569.1
OG0001162	XP_039331199.1, XP_039331198.1	XP_004713958.1
OG0001163	XP_003944744.1	XP_004715707.1
OG0001164	XP_010349264.1, XP_003940302.1	XP_004710442.1
OG0001165	XP_039321781.1, XP_010329323.1, XP_010329324.1	XP_045148467.1, XP_030742256.1, XP_045148466.1, XP_045148465.1
OG0001166	XP_039321429.1	XP_045149586.1
OG0001167	XP_010339558.1	XP_004716173.3
OG0001168	XP_003944630.1, XP_010330874.1	XP_045155125.1, XP_045155123.1, XP_045155124.1, XP_004705112.1
OG0001169	XP_039329567.1, XP_039329566.1, XP_039329565.1	XP_045155212.1, XP_045155211.1
OG0001170	XP_039324124.1	XP_045145399.1
OG0001171	XP_003922461.2	XP_004701409.2
OG0001174	XP_003929323.2, XP_010338198.2	XP_004713089.1
OG0001175	XP_039333120.1, XP_010348940.1, XP_010348936.1, XP_010348939.1, XP_039333145.1, XP_039333118.1, XP_010348937.1, XP_003939966.1, XP_010348938.1, XP_010348941.1	XP_004704854.2, XP_045149688.1
OG0001176	XP_010348962.1, XP_010348961.1, XP_010348963.1, XP_010348960.1	XP_004704616.1
OG0001177	XP_039316357.1	XP_045140557.1
OG0001177	XP_039316356.1, XP_039316353.1	XP_012860887.3
OG0001178	XP_039324811.1	XP_045142471.1
OG0001179	XP_010340778.2	XP_030743989.2
OG0001179	XP_039316540.1	XP_045140310.1
OG0001180	XP_010329925.1, XP_003943799.1	XP_012861015.3
OG0001181	XP_003933458.1	XP_045147795.1
OG0001181	XP_039328812.1	XP_004702678.1
OG0001182	XP_039330254.1, XP_039319677.1	XP_045147876.1
OG0001183	XP_010337180.1	XP_004702622.1
OG0001183	XP_003931131.1	XP_004710122.1
OG0001184	XP_010339349.2, XP_010339298.2	XP_045154128.1
OG0001185	XP_039316092.1	XP_004706730.1
OG0001186	XP_003925439.1	XP_004706801.1
OG0001187	XP_003939292.1	XP_045152175.1, XP_045153879.1, XP_004716931.2
OG0001188	XP_010333317.1, XP_010333315.1, XP_010333316.1	XP_030740799.2
OG0001189	XP_039332700.1, XP_039326426.1, XP_003920083.1	XP_045142528.1, XP_004708387.1
OG0001190	XP_010337999.1	XP_045155731.1, XP_045155732.1
OG0001191	XP_039317397.1, XP_039317399.1, XP_039317398.1, XP_039317396.1, XP_039317395.1	XP_004714584.1
OG0001192	XP_010341696.2, XP_003932862.2	XP_045148190.1
OG0001193	XP_010337313.1	XP_045140903.1
OG0001194	XP_003925316.1	XP_004711121.1
OG0001195	XP_039323629.1	XP_045148668.1
OG0001196	XP_003944368.2	XP_004711861.1
OG0001197	XP_010332065.1, NP_001266943.1	XP_045141207.1, XP_004710782.1
OG0001198	XP_003923314.1	XP_004696589.1
OG0001199	XP_003923027.1	XP_045150616.1
OG0001200	XP_003935978.1	XP_004696290.1
OG0001201	XP_003935989.1	XP_030742715.1
OG0001201	XP_003943131.1	XP_004716736.1
OG0001202	XP_039334571.1	XP_004696156.1
OG0001202	XP_003932004.1	XP_045140111.1
OG0001203	XP_010343418.2, XP_010343415.2, XP_010343417.2	XP_004702705.1
OG0001204	XP_003935195.1	XP_004702789.1
OG0001205	XP_039318024.1, XP_039318025.1	XP_045142214.1
OG0001206	XP_003937547.1	XP_045154904.1, XP_045154905.1, XP_045154907.1, XP_004705352.1, XP_045154906.1
OG0001207	XP_003937038.2	XP_045155074.1
OG0001208	XP_010333405.2	XP_030740798.1
OG0001210	XP_010336930.1, XP_003928054.1, XP_010336931.1	XP_004708807.1
OG0001211	XP_003928036.2	XP_045151753.1
OG0001211	XP_039329177.1	XP_045149936.1
OG0001212	XP_010336864.2, XP_003927986.2, XP_010336865.2	XP_045151718.1, XP_004708791.1, XP_045151716.1
OG0001213	XP_010344411.1	XP_030740519.2
OG0001214	XP_039324013.1	XP_004696198.1
OG0001215	XP_003935268.1	XP_004696105.1
OG0001215	XP_003937070.1	XP_004705000.1
OG0001216	XP_039327152.1, XP_039327151.1, XP_039327153.1	XP_045146399.1
OG0001218	XP_003926476.1	XP_045153635.1
OG0001219	XP_010335909.1	XP_004708678.1, XP_045150976.1, XP_045150975.1
OG0001220	XP_010339910.1, XP_010339911.1	XP_004712145.1
OG0001222	XP_003936405.1	XP_045151079.1
OG0001223	XP_010345213.1	XP_012863720.2
OG0001224	XP_039335198.1, XP_039335199.1	XP_045151144.1
OG0001225	XP_010341429.1, XP_010341426.1, XP_010341425.1, XP_010341427.1, XP_010341428.1, XP_039335704.1	XP_045151145.1, XP_004698117.1
OG0001226	XP_039316942.1	XP_004707652.1
OG0001227	XP_039327752.1, XP_039327751.1	XP_045143155.1
OG0001228	XP_039327972.1, XP_039327973.1, XP_039334587.1	XP_045152290.1
OG0001229	XP_003942206.1	XP_004708286.1, XP_045151960.1
OG0001230	XP_039317557.1, XP_039317558.1	XP_004708182.1, XP_030743097.1
OG0001231	XP_010335655.2, XP_003926666.2, XP_003926665.2, XP_039324252.1	XP_004700252.1
OG0001233	XP_003939272.2	XP_030740603.1
OG0001234	XP_010338907.2, XP_039324029.1	XP_045139601.1
OG0001235	XP_003928940.1, XP_039324766.1, XP_039324767.1	XP_004709472.1, XP_045142475.1
OG0001236	XP_039318844.1, XP_003941666.1	XP_004709491.1
OG0001237	XP_039318744.1, XP_039318745.1	XP_045142450.1
OG0001238	XP_039324946.1	XP_004709519.1
OG0001239	XP_039325007.1	XP_004718145.2
OG0001240	XP_010330342.1, XP_010330340.1, XP_010330341.1	XP_045141602.1
OG0001241	XP_003927696.2	XP_045140589.1, XP_045140590.1, XP_045140588.1
OG0001242	XP_039324114.1, XP_039324115.1, XP_039324116.1, XP_039330552.1, XP_039329884.1	XP_012859428.2
OG0001243	XP_039324200.1	XP_004703475.1
OG0001243	XP_010333081.2	XP_004703474.1
OG0001244	XP_039334713.1, XP_003926992.1	XP_004713534.1, XP_004713535.1
OG0001245	XP_039336269.1	XP_004704158.1, XP_045153515.1, XP_045153514.1
OG0001246	XP_039318652.1, XP_039318653.1, XP_039318651.1, XP_039318650.1	XP_004712573.1, XP_045151720.1
OG0001247	XP_039335051.1, XP_003943419.2, XP_003943421.2	XP_045154050.1
OG0001248	XP_039331455.1	XP_004717693.1
OG0001249	XP_003935920.1	XP_004710091.1
OG0001249	XP_003920347.1	XP_004710033.1, XP_045146646.1
OG0001250	XP_039331508.1, XP_003932662.1, XP_039331509.1, XP_003920375.1, XP_010347078.1, XP_003938224.1	XP_045146671.1, XP_004710020.1, XP_045150990.1, XP_045150991.1, XP_045150992.1
OG0001251	XP_039320051.1	XP_004717851.1
OG0001253	XP_003919989.2	XP_004708310.1
OG0001254	XP_003926845.1, XP_039331052.1	XP_045149162.1
OG0001254	XP_039324596.1	XP_045141634.1
OG0001255	XP_039324158.1, XP_039324154.1, XP_039324151.1	XP_004703609.1
OG0001256	XP_039316581.1, XP_039316580.1, XP_039316582.1	XP_004696910.1, XP_030744661.1
OG0001257	XP_010328820.1	XP_045147202.1
OG0001258	XP_010336891.1	XP_004708772.2
OG0001260	XP_010341403.1	XP_004698105.1
OG0001261	XP_039326217.1	XP_004708323.1
OG0001262	XP_010328456.1	XP_004705308.1
OG0001262	XP_010333480.1	XP_030742001.1
OG0001263	XP_003930000.1	XP_004709257.1
OG0001264	XP_039335585.1	XP_004697929.1, XP_004697930.1
OG0001264	XP_003941112.1	XP_004697931.1
OG0001265	XP_003940555.2, XP_039318655.1, XP_039329063.1, XP_039326674.1	XP_045153985.1
OG0001265	XP_039321767.1	XP_045146173.1, XP_030742270.1
OG0001266	XP_003921457.1	XP_004699386.1
OG0001268	XP_003923430.2	XP_012864014.1, XP_004717535.1
OG0001269	XP_003923889.2	XP_004717540.1
OG0001271	XP_003932650.1	XP_045151415.1
OG0001271	XP_003926049.1	XP_045152010.1
OG0001272	XP_003942979.1	XP_045151190.1
OG0001272	XP_003940341.1	XP_045141208.1, XP_004710461.1
OG0001273	XP_003944563.1	XP_045148953.1
OG0001274	XP_039322357.1, XP_010329265.1, XP_039322358.1, XP_010329264.1	XP_030742221.1
OG0001275	XP_039326265.1, XP_039321529.1	XP_004715885.1
OG0001276	XP_039317464.1	XP_004714501.1
OG0001277	XP_003920596.1	XP_045140829.1, XP_045140827.1, XP_045140830.1, XP_045140828.1
OG0001278	XP_003920605.1	XP_004697119.1
OG0001279	XP_039328846.1, XP_010339084.2	XP_004703563.1, XP_045141044.1, XP_045141043.1
OG0001280	XP_010348295.2, XP_010348301.2	XP_004708268.1
OG0001281	XP_039324146.1, XP_039336409.1	XP_004713268.1
OG0001282	XP_003939804.1	XP_004713031.1
OG0001284	XP_039316499.1	XP_004696859.1, XP_045140814.1
OG0001284	XP_010331462.1	XP_045147439.1
OG0001285	XP_003925926.1, XP_010334929.1, XP_003925927.1, XP_010334928.1	XP_045141293.1, XP_030744725.1
OG0001286	XP_003929578.1, XP_039335074.1	XP_004699277.2, XP_045140055.1
OG0001287	XP_010332724.1, XP_003923633.1	XP_004716327.1
OG0001288	XP_003931410.1	XP_045154659.1
OG0001289	XP_039332071.1	XP_004703105.1
OG0001290	XP_010348664.1, XP_010348665.1	XP_004705279.1, XP_045154976.1
OG0001291	XP_003939685.1	XP_004705267.1
OG0001291	XP_003931157.1	XP_004713123.1, XP_004713122.1
OG0001292	XP_039332536.1	XP_004704624.1
OG0001293	XP_010338967.1	XP_004705709.2
OG0001294	XP_003940801.1	XP_045144303.1
OG0001294	XP_003928508.1	XP_004705883.2
OG0001295	XP_039331388.1, XP_039321517.1	XP_004699872.1
OG0001296	XP_003930480.2	XP_045154125.1
OG0001297	XP_039331594.1, XP_039327255.1	XP_045145979.1
OG0001297	XP_010328282.1	XP_045139735.1
OG0001297	XP_039318009.1	XP_045140323.1
OG0001298	XP_010333358.1, XP_039325302.1	XP_045143545.1, XP_004698529.1, XP_045143544.1
OG0001299	XP_010350478.2	XP_045145221.1
OG0001300	XP_039317412.1	XP_045145163.1
OG0001301	XP_003940079.1	XP_045144450.1
OG0001302	XP_039319042.1	XP_004700682.1
OG0001303	XP_003922743.1	XP_045150125.1
OG0001304	XP_003920691.1	XP_030744746.2
OG0001305	XP_003933977.1	XP_045141070.1, XP_004696708.1
OG0001306	XP_003944954.1	XP_004717067.1
OG0001306	XP_039330555.1	XP_004712479.1
OG0001307	XP_010336432.2, XP_010336431.2, XP_010336430.2, XP_039323738.1	XP_045148712.1
OG0001308	XP_010332325.1, XP_010332324.1	XP_045148699.1
OG0001309	XP_039323729.1	XP_004710816.1
OG0001310	XP_039323445.1, XP_039323444.1	XP_004710910.1
OG0001311	XP_003923063.1, XP_010332185.1, XP_003923065.1	XP_045150703.1
OG0001312	XP_003923151.1	XP_004696421.1
OG0001312	XP_010345651.1	XP_045153875.1, XP_045151969.1, XP_004717695.1
OG0001313	XP_010335433.1, XP_039323861.1, XP_003926411.1, XP_010335435.1, XP_039323860.1	XP_004696390.1
OG0001314	XP_039327456.1	XP_045152226.1
OG0001314	XP_010328796.2	XP_004711357.1
OG0001315	XP_003935175.1	XP_045144946.1, XP_004702778.1, XP_045144947.1
OG0001316	XP_010345720.1	XP_045147747.1, XP_004699527.1, XP_012863805.1
OG0001317	XP_010338468.1	XP_004700449.1
OG0001318	XP_010336926.1	XP_045151759.1
OG0001321	XP_003933888.1	XP_012863500.1
OG0001322	XP_003935270.1, XP_039335152.1	XP_004696446.1
OG0001323	XP_003922612.1, XP_010331711.1, XP_003922611.1, XP_010331710.1	XP_045139925.1
OG0001324	XP_039316066.1, XP_039316067.1, XP_010328032.1	XP_004716660.1
OG0001325	XP_010328002.2	XP_045151622.1, XP_045151621.1, XP_045151620.1, XP_045151623.1
OG0001326	XP_010339621.1, XP_003930801.1	XP_004708082.1
OG0001327	XP_010342539.1	XP_045144827.1
OG0001329	XP_003920067.1	XP_045147058.1
OG0001330	XP_039326296.1	XP_045146358.1
OG0001331	XP_003943345.1	XP_045153277.1, XP_045153278.1
OG0001332	XP_039326379.1, XP_003941263.1, XP_010350285.1, XP_003941264.1, XP_039326378.1, XP_010350286.1, XP_010350287.1	XP_045153163.1, XP_004713629.1
OG0001333	XP_003937757.2	XP_045153229.1, XP_045153233.1, XP_045153234.1, XP_045153231.1, XP_045153230.1, XP_045153235.1, XP_004713743.1, XP_045153232.1, XP_045153228.1
OG0001334	XP_010336062.1, XP_003927102.1, XP_039334474.1, XP_010336063.1	XP_030741473.2
OG0001336	XP_039322094.1, XP_039322093.1	XP_004717054.1
OG0001337	XP_010339808.2	XP_045153526.1
OG0001338	XP_039335567.1, XP_010350128.1	XP_045151385.1, XP_004697909.1
OG0001339	XP_010350097.2	XP_004718160.2
OG0001340	XP_039329152.1, XP_010330565.1, XP_003919772.1, XP_039329151.1	XP_045149994.1
OG0001341	XP_039329226.1, XP_003919783.2, XP_003919782.2	XP_004715458.1
OG0001342	XP_039328162.1, XP_039328266.1, XP_003932396.2	XP_030743283.2
OG0001343	XP_003938534.1, XP_010347499.1, XP_010347498.1, XP_010347497.1	XP_004715393.2
OG0001344	XP_010347426.2	XP_012863797.1
OG0001345	XP_039317593.1	XP_045143272.1, XP_045143273.1
OG0001346	XP_003941495.1, XP_003941496.1	XP_004711569.1
OG0001347	XP_003939307.2	XP_004716950.1
OG0001348	XP_010331487.1, XP_003922350.1	XP_004701051.1
OG0001349	XP_003922335.1	XP_045147378.1, XP_004701044.1, XP_045147379.1
OG0001350	XP_039320966.1, XP_039320967.1, XP_010331294.2	XP_004700984.1
OG0001351	XP_003922251.1, XP_010331261.1	XP_045147204.1, XP_004700983.1
OG0001353	XP_003944833.1, XP_039324867.1	XP_004712092.1
OG0001354	XP_003929539.2	XP_045140265.1
OG0001355	XP_039333523.1, XP_039333521.1, XP_039333522.1, XP_010335253.2	XP_004712392.3
OG0001356	XP_010335242.1, XP_003926238.1	XP_045143517.1
OG0001357	XP_039335600.1	XP_012860379.1, XP_045154615.1
OG0001358	XP_039325670.1, XP_039325669.1, XP_010349870.1	XP_004701551.1
OG0001360	XP_039319938.1, XP_003931145.1	XP_045154493.1, XP_004713133.2, XP_045154491.1, XP_012862794.2
OG0001361	XP_003924138.1	XP_045146658.1, XP_004709970.1
OG0001362	XP_003939555.1, XP_010348461.1	XP_045144257.1, XP_004713249.1
OG0001363	XP_010348523.1	XP_045150518.1
OG0001364	XP_003931189.1	XP_012863345.1
OG0001365	XP_039320088.1	XP_004717633.1, XP_045139723.1
OG0001366	XP_010329864.1, XP_010329863.1, XP_039327022.1	XP_045146575.1
OG0001367	XP_010327961.1, XP_003929370.2	XP_004717967.2
OG0001372	XP_003939528.2	XP_045144212.1
OG0001372	XP_003939638.1	XP_004713284.1
OG0001373	XP_039327409.1	XP_045153086.1
OG0001373	XP_003932298.1	XP_004709635.1, XP_012864064.1
OG0001374	XP_039332505.1	XP_045150064.1, XP_045150063.1
OG0001376	XP_010338238.1	XP_004713005.1
OG0001377	XP_003938260.2, XP_039316656.1	XP_045143391.1
OG0001378	XP_039330635.1	XP_045148012.1, XP_030741223.1
OG0001380	XP_039333987.1	XP_030742816.1
OG0001381	XP_039332336.1	XP_004717826.1
OG0001381	XP_039317882.1	XP_004708619.1
OG0001383	XP_010336721.1	XP_004700516.1, XP_004700515.1, XP_004700514.1
OG0001384	XP_003937938.1	XP_004714782.1
OG0001386	XP_010338730.2, XP_003929873.2	XP_004714037.1, XP_004714038.1
OG0001387	XP_039327217.1, XP_039327218.1	XP_045152992.1
OG0001390	XP_010332709.1	XP_030744273.1, XP_004716320.1
OG0001391	XP_010349694.2	XP_004712630.2
OG0001394	XP_003933188.2, XP_003933128.2	XP_004707347.1, XP_004706925.1
OG0001395	XP_039330957.1	XP_004701956.1
OG0001395	XP_039318678.1	XP_030742443.2
OG0001396	XP_039321956.1	XP_045148318.1
OG0001397	XP_010346307.1, XP_003937478.1, XP_010346306.1	XP_045148838.1
OG0001398	XP_003937349.1, XP_010346161.1, XP_003937350.1	XP_004704763.1, XP_045149743.1
OG0001399	XP_003930727.1	XP_045156134.1
OG0001400	XP_003920595.1	XP_045140559.1, XP_045140558.1
OG0001401	XP_003934027.1	XP_045140847.1
OG0001401	XP_039324370.1	XP_004715188.1
OG0001402	XP_039330261.1, XP_003934873.1, XP_003934872.1	XP_004705146.1
OG0001403	XP_010343716.2	XP_004705399.1
OG0001404	XP_003930993.2	XP_045153752.1
OG0001404	XP_039330305.1	XP_012860746.1
OG0001405	XP_039324686.1	XP_045141768.1, XP_004699772.1
OG0001406	XP_010339427.1, XP_039325171.1	XP_030744793.2
OG0001407	NP_001266902.1	XP_004709952.1
OG0001408	XP_039335987.1, XP_039334763.1	XP_004708143.1
OG0001409	XP_010332977.1	XP_012863078.1
OG0001410	XP_010332715.2	XP_045146184.1
OG0001411	XP_003931399.1	XP_004716205.1
OG0001411	XP_003938571.1	XP_004716399.2
OG0001412	XP_039328157.1, XP_003938118.1	XP_045139787.1, XP_004696216.1, XP_045153293.1
OG0001413	XP_010345131.1, XP_039334120.1, XP_039334117.1, XP_010345132.1	XP_045149578.1
OG0001414	XP_010343021.1, XP_010343022.1, XP_010343023.1	XP_004705653.1
OG0001415	XP_003933067.1	XP_045155741.1
OG0001415	XP_039333796.1	XP_045140103.1
OG0001416	XP_010342291.1, XP_010342292.1, XP_010342293.1	XP_045148038.1
OG0001417	XP_039316282.1, XP_039319696.1	XP_004705624.1
OG0001418	XP_010329916.1	XP_004705597.2
OG0001419	XP_039332311.1	XP_045155911.1
OG0001419	XP_039326131.1	XP_045139738.1
OG0001420	XP_010342877.2, XP_039327485.1	XP_045140911.1
OG0001421	XP_039334083.1, XP_039334084.1, XP_010338962.2	XP_045140971.1
OG0001422	XP_010339114.2	XP_004706106.1
OG0001423	XP_003930252.1	XP_004705775.2
OG0001423	XP_039332525.1	XP_012861292.2
OG0001424	XP_003921473.1	XP_004699393.1
OG0001425	XP_003930471.1, XP_010339303.1, XP_003930470.1	XP_012859394.3
OG0001426	XP_010350679.1	XP_004699173.1
OG0001426	XP_010339212.1	XP_004699994.1
OG0001427	XP_010346771.2	XP_004714772.1
OG0001428	XP_039328983.1	XP_004709206.1, XP_045150873.1, XP_004703206.1, XP_004700048.1
OG0001429	XP_010335107.2, XP_003926119.2	XP_012860237.1
OG0001430	XP_010335820.2, XP_010330094.2, XP_003930607.2	XP_004718114.1
OG0001431	XP_039318746.1, XP_010336320.2	XP_045143410.1, XP_004699182.1
OG0001432	XP_039318715.1	XP_045143710.1
OG0001433	XP_039320358.1	XP_004711044.1, XP_004718043.2
OG0001434	XP_010329780.2, XP_003943665.2, XP_010329778.2, XP_010329779.2	XP_045155825.1, XP_045155824.1, XP_004707285.1
OG0001435	XP_010329793.1	XP_045155520.1
OG0001436	XP_039335024.1, XP_039332805.1	XP_012861309.1
OG0001436	XP_039316299.1	XP_030744490.2
OG0001437	XP_010340248.1, XP_039332142.1, XP_039332141.1	XP_004707086.1
OG0001438	XP_010348262.1	XP_004700615.1, XP_045146090.1, XP_045146092.1, XP_045146088.1
OG0001439	XP_003926583.1	XP_045152351.1, XP_045146842.1, XP_045146832.1
OG0001440	XP_003929699.1	XP_045148331.1
OG0001441	XP_010331826.1, XP_003922726.1	XP_004710310.1
OG0001442	XP_039323636.1, XP_039323637.1, XP_039323638.1	XP_004710840.1
OG0001443	XP_003923108.2, XP_010332240.2	XP_045150733.1
OG0001444	XP_039320667.1, XP_039320665.1, XP_039320666.1, XP_003942087.1	XP_004697405.1
OG0001445	XP_003935422.2, XP_039320566.1	XP_004696933.1, XP_045140822.1, XP_045140823.1, XP_045140821.1
OG0001446	XP_010342419.1	XP_004702640.1
OG0001447	XP_039330501.1, XP_003937576.1	XP_004705037.1
OG0001448	XP_003937591.1	XP_012860688.1
OG0001449	XP_039328808.1	XP_030741124.1
OG0001450	XP_010328533.2	XP_045142824.1
OG0001451	XP_039315966.1, XP_039315963.1	XP_004717753.1, XP_030741622.1, XP_030741623.1
OG0001452	XP_003941624.1	XP_004709674.1, XP_004709899.1, XP_004702516.1, XP_004710199.1, XP_030741373.1
OG0001453	XP_003943357.2	XP_045146392.1, XP_012863919.1, XP_045146394.1, XP_045146393.1
OG0001454	XP_010346652.1, XP_010346650.1, XP_010346653.1, XP_010346651.1	XP_030743182.1
OG0001455	XP_003936654.1	XP_004715313.1
OG0001456	XP_003938994.1, XP_010347931.1, XP_010347930.1	XP_045146286.1
OG0001457	XP_010347806.2	XP_030744206.2
OG0001457	XP_003938881.1	XP_045156021.1
OG0001458	XP_010333438.1, XP_010333442.1, XP_003920227.3, XP_039326820.1	XP_045153020.1, XP_045153027.1
