Orthogroup	Saimiri_boliviensis_boliviensis	Sarcophilus_harrisii
OG0003031	XP_039333665.1, XP_039333667.1, XP_003928399.2, XP_039333666.1	XP_031801571.1, XP_031801573.1, XP_031801570.1, XP_031801572.1
OG0003032	XP_039316411.1	XP_003767985.1
OG0003033	XP_039316424.1	XP_031823817.1
OG0003035	XP_039326849.1	XP_031806048.1
OG0003036	XP_003943797.1	XP_003761550.1
OG0003037	XP_003930079.1	XP_031793311.1
OG0003038	XP_003930086.1	XP_012398136.1
OG0003038	XP_003930087.1	XP_012398139.1
OG0003039	XP_010338999.1, XP_010339002.1, XP_010339000.1, XP_010338998.1, XP_010338997.1	XP_003762115.1
OG0003040	XP_010339033.2	XP_031798455.1, XP_012398196.1
OG0003042	XP_039333929.1	XP_031801574.1, XP_031801575.1
OG0003043	XP_010342104.1, XP_010342103.1, XP_003933288.1	XP_003769753.1, XP_012404997.1
OG0003044	XP_039335789.1, XP_039316842.1, XP_010339421.2, XP_039329508.1	XP_031825164.1
OG0003045	XP_003933363.1	XP_031825201.1, XP_031825199.1, XP_031825200.1
OG0003046	XP_010346804.2	XP_031822677.1, XP_012405667.1
OG0003047	XP_039319679.1	XP_031802480.1
OG0003048	XP_003938335.1	XP_031792999.1, XP_003767619.1
OG0003049	XP_039319417.1	XP_031793166.1, XP_031793167.1
OG0003050	XP_003925388.1	XP_031792794.1
OG0003051	XP_003925396.1	XP_031824238.1
OG0003052	XP_010346783.1	XP_031822659.1
OG0003053	XP_039320442.1, XP_039324333.1, XP_010346708.1	XP_031822577.1
OG0003054	XP_010333300.1, XP_003924320.1	XP_023355362.2
OG0003055	XP_003924476.1	XP_031808565.1
OG0003056	XP_003924474.1	XP_003756400.2
OG0003058	XP_039318878.1, XP_010342258.2, XP_039318877.1	XP_023359955.1
OG0003059	XP_003941461.1	XP_031807857.1
OG0003060	XP_039332860.1, XP_010329801.1, XP_039332862.1, XP_010329800.1, XP_039332859.1, XP_003943687.1, XP_039332858.1, XP_010329798.1	XP_031821911.1, XP_031821910.1
OG0003061	XP_039332986.1	XP_031821450.1
OG0003062	XP_039332563.1, XP_039332562.1, XP_003931717.2	XP_003768705.1
OG0003063	XP_003931845.1	XP_031821552.1, XP_031821553.1
OG0003064	XP_039331870.1	XP_031821755.1, XP_031821754.1
OG0003065	XP_003943709.2, XP_010329751.2	XP_031821848.1, XP_003768483.1
OG0003066	XP_003943630.1	XP_031821853.1, XP_031821854.1
OG0003067	XP_003942773.1, XP_010328878.1, XP_003942772.2	XP_012403701.1
OG0003068	XP_003931244.2	XP_031822015.1
OG0003069	XP_039332676.1	XP_031821987.1
OG0003070	XP_003931273.1	XP_031821972.1, XP_003768381.1, XP_012403849.1, XP_031821973.1
OG0003071	XP_010340172.2	XP_031821942.1, XP_031821943.1, XP_031821944.1, XP_031821940.1
OG0003072	XP_010338017.1	XP_031822370.1, XP_003767966.1
OG0003073	XP_039332215.1	XP_031823556.1, XP_031823557.1
OG0003074	XP_003929387.2, XP_039332838.1, XP_010338269.2	XP_031823654.1, XP_031823653.1
OG0003075	XP_039332791.1	XP_031823669.1, XP_031823668.1, XP_031823666.1, XP_031823667.1
OG0003077	XP_039332400.1	XP_031813244.1
OG0003078	XP_010350416.1	XP_031807773.1
OG0003079	XP_039317218.1	XP_031810794.1, XP_031810796.1, XP_031810799.1, XP_031810797.1, XP_031810795.1, XP_031810798.1
OG0003080	XP_010335537.2	XP_012406997.1, XP_003772329.1
OG0003081	XP_003932839.1	XP_031796835.1, XP_031796837.1, XP_031796836.1
OG0003082	XP_003932793.2	XP_031796522.1
OG0003083	XP_039318974.1	XP_031794778.1, XP_031794775.1, XP_031794777.1
OG0003084	XP_039328539.1, XP_010335757.1, XP_010335756.1, XP_010335758.1	XP_003758358.1
OG0003085	XP_010331840.1	XP_012395628.1
OG0003086	XP_010336893.2	XP_012405103.2
OG0003087	XP_003943862.1	XP_003761813.1
OG0003088	XP_039330983.1	XP_031801210.1, XP_031801209.1, XP_031801211.1, XP_031801208.1, XP_031801207.1
OG0003090	XP_010334206.1	XP_031810040.1, XP_012409108.2
OG0003091	XP_010332295.2	XP_031820595.1
OG0003092	XP_003923223.1	XP_031820888.1, XP_031811789.1
OG0003093	XP_039323741.1	XP_023358728.1
OG0003094	XP_010332176.1	XP_031820685.1
OG0003095	XP_010332265.1	XP_031820613.1
OG0003096	XP_010332288.1	XP_003769188.1
OG0003097	XP_003923144.1, XP_010332293.1	XP_012404571.1, XP_003769189.1
OG0003098	XP_039335448.1	XP_003757650.2
OG0003099	XP_039321445.1	XP_031820383.1
OG0003100	XP_010329593.2	XP_012404948.1
OG0003101	XP_010347572.1	XP_031802979.1, XP_003760373.1
OG0003102	XP_003933749.1	XP_031803069.1
OG0003103	XP_010328197.2	XP_012397449.2, XP_031803406.1
OG0003104	XP_003941016.1	XP_031799299.1
OG0003105	XP_039324483.1	XP_023361765.1, XP_031797644.1
OG0003106	XP_003921229.1	XP_012406729.1
OG0003107	XP_010343575.1	XP_031795864.1
OG0003108	XP_039328700.1, XP_010343625.1	XP_031795876.1, XP_031795877.1
OG0003109	XP_039319095.1, XP_003930776.1	XP_031808649.1
OG0003110	XP_010342084.1, XP_003921097.1	XP_003771602.1
OG0003111	XP_010346384.1	XP_031818000.1, XP_012401645.2
OG0003112	XP_039330035.1	XP_012401458.1, XP_023356020.1, XP_012401457.1
OG0003113	XP_010346404.2, XP_003937583.2	XP_003765384.1
OG0003114	XP_010345699.1	XP_031825057.1, XP_012405767.1, XP_003770725.1
OG0003115	XP_003936975.1	XP_031825112.1
OG0003117	XP_003930839.1	XP_003762603.1, XP_012399208.1, XP_031813215.1
OG0003118	XP_039328615.1	XP_012406628.1
OG0003119	XP_039317056.1, XP_039317055.1	XP_031806675.1
OG0003120	XP_010347007.1	XP_012395431.2
OG0003122	XP_039331503.1, XP_003939481.1	XP_012395366.1
OG0003123	XP_039319600.1, XP_039319611.1, XP_010336244.1	XP_031806983.1, XP_031807157.1
OG0003124	XP_003935305.1, XP_010344086.1	XP_031807313.1, XP_031807312.1, XP_023350354.1
OG0003125	XP_039330435.1, XP_039328559.1, XP_039330433.1	XP_031806210.1, XP_031806211.1, XP_031806212.1, XP_023350776.1
OG0003126	XP_003941314.1	XP_012395514.1
OG0003127	XP_039323274.1	XP_003758152.2
OG0003128	XP_003941298.1	XP_031806823.1, XP_031806830.1
OG0003130	XP_039320086.1, XP_003938798.2, XP_039336549.1	XP_003760314.1
OG0003131	XP_039318074.1, XP_039318073.1	XP_023354035.1, XP_003762585.1
OG0003132	XP_003930809.2	XP_031807671.1
OG0003133	XP_003921173.1, XP_010342863.1	XP_031794560.1
OG0003134	XP_003920164.2, XP_010333030.2	XP_012408175.1, XP_023362176.1, XP_012408176.1, XP_023362175.1
OG0003136	XP_010346608.2	XP_031797262.1
OG0003137	XP_003937737.1	XP_031799210.1
OG0003138	XP_003937689.1, XP_039326406.1	XP_031799508.1
OG0003139	XP_003920260.1	XP_031797881.1
OG0003140	XP_039327189.1, XP_039327188.1	XP_012408206.2
OG0003141	XP_039328403.1, XP_039326749.1, XP_010330700.1, XP_039316152.1, XP_039329855.1, XP_039325288.1	XP_031800942.1, XP_031817086.1
OG0003144	XP_010336108.1	XP_023353933.1
OG0003145	XP_010345405.1, XP_003936669.1, XP_010345404.1	XP_003762310.1, XP_031814554.1, XP_012398944.1
OG0003146	XP_003936754.2	XP_012398934.1
OG0003147	XP_003936692.1	XP_003762349.1
OG0003148	XP_003936720.1	XP_031815223.1, XP_031815227.1
OG0003149	XP_010335302.2, XP_003926300.2	XP_031794380.1
OG0003150	XP_039321378.1	XP_003760832.2
OG0003151	XP_039322140.1	XP_012397351.1, XP_031803410.1, XP_031803409.1, XP_023352323.1
OG0003152	XP_039321859.1	XP_012397390.3
OG0003153	XP_003938874.1	XP_031803669.1
OG0003154	XP_003944520.1	XP_003760879.1, XP_031803888.1, XP_031803889.1
OG0003155	XP_039322218.1, XP_039322220.1, XP_039322217.1, XP_039322219.1	XP_031804191.1
OG0003156	XP_003935112.2	XP_031817721.1
OG0003157	XP_039318113.1	XP_031819582.1, XP_003764657.1
OG0003158	XP_003935096.1	XP_031817697.1
OG0003160	XP_003919829.2, XP_039325877.1	XP_031817942.1
OG0003161	XP_039326843.1	XP_031799718.1
OG0003162	XP_010329989.1	XP_012407988.1, XP_031797670.1
OG0003163	XP_010328387.2	XP_031817309.1
OG0003164	XP_039329050.1	XP_031814440.1, XP_031814439.1, XP_031814436.1, XP_031814438.1, XP_031814434.1, XP_031814437.1, XP_031814433.1
OG0003165	XP_010337132.1	XP_003765789.1
OG0003167	XP_003924980.1, XP_039336051.1	XP_031796165.1, XP_031796166.1, XP_031796164.1, XP_031796162.1
OG0003168	XP_010334122.1, XP_010334124.1	XP_031796062.1
OG0003169	XP_010334113.1, XP_039336267.1	XP_003774768.1
OG0003170	XP_010339882.1, XP_010339883.1	XP_031815645.1
OG0003171	XP_010334047.1	XP_031813420.1, XP_031813419.1
OG0003172	XP_039333104.1, XP_039335397.1	XP_012409095.1
OG0003173	XP_003932093.1	XP_031809740.1, XP_031809741.1, XP_031809739.1, XP_023362695.1
OG0003174	XP_010343243.1	XP_031817831.1
OG0003175	XP_039326070.1, XP_003936799.1	XP_031824099.1
OG0003176	XP_039327947.1, XP_039327946.1	XP_031804475.1
OG0003177	XP_010341157.2, XP_003932284.2	XP_031804482.1
OG0003178	XP_039328391.1	XP_031804596.1
OG0003179	XP_039318269.1	XP_031813243.1, XP_003761256.1
OG0003181	XP_039327953.1, XP_039328295.1	XP_003772498.1
OG0003182	XP_039318317.1, XP_039318314.1, XP_039318319.1, XP_039318316.1, XP_039318315.1, XP_039318318.1	XP_031795505.1
OG0003183	XP_039317598.1	XP_012406252.1
OG0003184	XP_003942209.2	XP_023360330.2, XP_031794146.1, XP_031794145.1
OG0003185	XP_003944927.1	XP_003771280.1, XP_023360326.1
OG0003186	XP_039328098.1	XP_031796053.1
OG0003187	XP_003934552.1	XP_031794053.1
OG0003188	XP_003934572.2, XP_010343403.2, XP_039317637.1	XP_012406212.1
OG0003189	XP_003934608.1	XP_031794198.1
OG0003190	XP_010335612.1	XP_031794321.1
OG0003191	XP_003926661.1, XP_010335652.1	XP_003770891.1
OG0003192	XP_003941508.1	XP_031793915.1
OG0003193	XP_039327695.1, XP_003939183.1	XP_031793813.1
OG0003194	XP_003939206.1	XP_031793779.1
OG0003195	XP_010335424.1, XP_039328351.1	XP_003772256.3
OG0003196	XP_039333043.1, XP_010348217.1	XP_003771560.2
OG0003197	XP_039321265.1	XP_031811950.1
OG0003198	XP_003922282.1, XP_039321069.1, XP_039321070.1, XP_039321067.1, XP_039321068.1	XP_031811642.1
OG0003199	XP_039321256.1	XP_031811670.1
OG0003200	XP_010329891.1	XP_031812928.1
OG0003201	XP_003935568.1	XP_031802231.1
OG0003202	XP_003935574.1	XP_031802217.1
OG0003203	XP_039320544.1, XP_010347701.1	XP_012397173.1
OG0003204	XP_039320838.1, XP_003938801.1	XP_031802871.1
OG0003205	XP_003944203.1, XP_010330339.1	XP_031812487.1, XP_031812489.1, XP_031812485.1, XP_031812488.1
OG0003206	XP_003925948.3, XP_039318707.1	XP_031807881.1
OG0003207	XP_039324966.1	XP_031811067.1, XP_012400893.1
OG0003208	XP_003929732.1, XP_039325309.1	XP_003755734.1
OG0003209	XP_003929715.1, XP_039316700.1	XP_031812194.1
OG0003210	XP_003943046.2	XP_031812444.1
OG0003211	XP_010336646.1, XP_010336645.1, XP_003927746.1	XP_003763838.1
OG0003212	XP_010338448.1	XP_031799825.1
OG0003213	XP_010333036.1	XP_031798219.1
OG0003214	XP_003923984.1	XP_003773032.2, XP_023361545.2, XP_031799709.1
OG0003215	XP_039333046.1	XP_031814734.1
OG0003216	XP_010348343.2, XP_010348342.2, XP_010348344.2	XP_012399960.2
OG0003217	XP_010344272.2	XP_003763642.1
OG0003218	XP_010344251.1	XP_023356826.1
OG0003220	XP_039334753.1, XP_039334754.1	XP_031813556.1, XP_031813558.1
OG0003221	XP_010336321.1	XP_031802655.1, XP_003760192.1, XP_031802653.1, XP_031802652.1, XP_031802654.1
OG0003222	XP_003922016.1	XP_031816511.1
OG0003223	XP_003921990.2	XP_023355001.1
OG0003224	XP_003921965.1	XP_003763961.1, XP_012400226.1
OG0003225	XP_003921948.1, XP_010350646.1	XP_003763974.1
OG0003226	XP_039325819.1	XP_031816095.1, XP_031816096.1
OG0003227	XP_003925664.1	XP_003766039.1
OG0003228	XP_010347269.1, XP_010347268.1	XP_031793089.1
OG0003229	XP_003930394.2	XP_031824530.1, XP_003767760.1
OG0003230	XP_003930379.1, XP_010339229.1, XP_010339228.1	XP_031822943.1, XP_003767780.1
OG0003231	XP_039316057.1	XP_003767912.1, XP_031822701.1
OG0003232	XP_010330073.1, XP_039320102.1	XP_031800261.1, XP_003774748.1
OG0003233	XP_010333198.1, XP_039331612.1	XP_012401503.1
OG0003234	XP_003924119.1	XP_023354743.1
OG0003235	XP_010348459.1	XP_031814937.1
OG0003236	XP_003939593.1	XP_031800626.1
OG0003238	XP_039331639.1, XP_010329889.2, XP_039331637.1, XP_039331638.1	XP_012401861.3
OG0003239	XP_039320081.1, XP_010340047.1, XP_039320082.1	XP_003774839.1
OG0003240	XP_003931196.1	XP_031800685.1
OG0003241	XP_003943949.1	XP_031800712.1, XP_031800711.1, XP_031800713.1
OG0003242	XP_010330100.1, XP_010330101.1, XP_003943956.1	XP_031800332.1, XP_031800331.1
OG0003243	XP_039316146.1	XP_012403472.1
OG0003247	XP_010336079.1	XP_031810912.1, XP_031810925.1, XP_031810919.1, XP_031810943.1, XP_031810933.1, XP_031810945.1
OG0003248	XP_039335125.1, XP_010328874.1	XP_031797381.1
OG0003249	XP_003928233.1	XP_023353678.1
OG0003250	XP_003924849.1	XP_031802629.1
OG0003251	XP_010342544.2, XP_010342545.1, XP_039320579.1, XP_039320578.1	XP_012397269.2
OG0003252	XP_010344316.1, XP_010344388.1	XP_031798991.1
OG0003253	XP_039317671.1	XP_023360388.1, XP_023360390.1, XP_003771361.1
OG0003254	XP_003926306.1, XP_003926308.1, XP_003926307.1	XP_031795946.1, XP_003772039.1
OG0003255	XP_010332077.1, XP_003922972.1	XP_031820366.1, XP_031820370.1, XP_031820369.1, XP_031820368.1
OG0003256	XP_010334305.1	XP_003762824.2
OG0003257	XP_010329728.1	XP_003769578.1, XP_031793497.1
OG0003258	XP_010346169.2	XP_031824769.1
OG0003259	XP_003920032.1, XP_003943975.1	XP_031800224.1
OG0003260	XP_010331241.1	XP_031794731.1, XP_031812943.1
OG0003261	XP_010341683.1	XP_031793944.1
OG0003262	XP_003920183.1, XP_039326795.1	XP_031798545.1, XP_003773923.1
OG0003263	XP_010329236.1, XP_010329237.1	XP_031794110.1
OG0003264	XP_039320362.1, XP_003941333.1	XP_003757821.2
OG0003265	XP_003927692.1	XP_003766985.1
OG0003266	XP_010331672.1	XP_031798137.1
OG0003267	XP_039327845.1	XP_031793602.1
OG0003268	XP_003934953.1	XP_031818535.1, XP_031818533.1, XP_031818534.1
OG0003269	XP_010349433.1, XP_010349432.1	XP_031819170.1
OG0003270	XP_039322489.1	XP_031819171.1
OG0003271	XP_010341208.2	XP_023354465.2
OG0003272	XP_003941239.1	XP_031797738.1
OG0003273	XP_010330904.1	XP_003761723.1
OG0003274	XP_010339773.2, XP_039318507.1, XP_003923384.1	XP_031796329.1
OG0003275	XP_003941169.1	XP_003761858.1
OG0003276	XP_003935402.1	XP_012403401.1
OG0003277	XP_003930934.1	XP_023360909.2
OG0003278	XP_039323764.1	XP_023359042.1
OG0003279	XP_003928231.1	XP_012399523.2
OG0003280	XP_003929549.1	XP_031797374.1, XP_031797373.1
OG0003281	XP_010339083.1	XP_003761794.1
OG0003282	XP_003925313.2, XP_003925312.2	XP_003761906.1, XP_031805456.1
OG0003284	XP_003920128.2	XP_003773820.1, XP_003773814.1, XP_012408090.1, XP_003773813.1, XP_003773815.1, XP_003773812.1
OG0003285	XP_003937937.1	XP_003767954.1
OG0003285	XP_003937939.1	XP_012402953.1, XP_003767946.1
OG0003286	XP_003920484.2	XP_031797199.1, XP_003774609.2
OG0003287	XP_003943834.1	XP_003763058.1
OG0003288	XP_003924139.1	XP_023361549.2, XP_031815344.1
OG0003290	XP_010335014.1, XP_039319578.1	XP_003760169.1, XP_023352076.1, XP_023352075.1
OG0003291	XP_039319693.1, XP_039319695.1, XP_039319692.1, XP_039319694.1	XP_023351938.1, XP_003760016.1
OG0003292	XP_010335096.1	XP_003759599.1
OG0003293	XP_003926113.1	XP_003759598.1
OG0003294	XP_010344452.1	XP_031799762.1
OG0003295	XP_039330856.1, XP_010347095.1	XP_003761299.1
OG0003297	XP_039318456.1	XP_031795494.1
OG0003298	XP_039322651.1	XP_031819389.1, XP_031819390.1
OG0003299	XP_039321958.1, XP_039321957.1, XP_039321959.1	XP_031817659.1
OG0003300	XP_010349413.1	XP_031817667.1
OG0003301	XP_039321690.1, XP_039321325.1	XP_023356781.1
OG0003302	XP_039321363.1	XP_031819771.1
OG0003303	XP_039322416.1, XP_039322417.1, XP_039322415.1	XP_031819059.1, XP_031819057.1, XP_031819058.1
OG0003305	XP_003937359.1, XP_003937358.1	XP_031810250.1, XP_031810249.1, XP_003757242.1, XP_023349926.1
OG0003306	XP_039323020.1	XP_003757249.2
OG0003307	XP_010347393.2, XP_010347353.1, XP_010347352.1	XP_003771883.2
OG0003308	XP_039334800.1, XP_010334479.2	XP_031794452.1
OG0003309	XP_010329642.1	XP_031810427.1, XP_031810428.1, XP_031810429.1, XP_003757329.1
OG0003310	XP_003937322.1	XP_031810375.1
OG0003311	XP_010343714.1	XP_031818402.1
OG0003312	XP_039329980.1	XP_031818687.1
OG0003313	XP_003928378.2, XP_039325200.1, XP_039332959.1	XP_031822854.1
OG0003315	XP_010349542.2, XP_039335944.1	XP_003755634.1
OG0003316	XP_003940589.1	XP_003755633.1
OG0003317	XP_003921688.1	XP_003755576.1
OG0003318	XP_010349948.2, XP_039335984.1, XP_039316785.1	XP_003755502.1
OG0003319	XP_010349562.2	XP_031811518.1
OG0003321	XP_003928751.2	XP_031812807.1
OG0003322	XP_003930010.1, XP_003930011.1	XP_031812161.1, XP_003755217.1
OG0003323	XP_039316570.1	XP_031809629.1
OG0003324	XP_039316616.1	XP_023361986.1
OG0003325	XP_010342887.1	XP_031809429.1, XP_031809427.1, XP_031809428.1, XP_031809430.1
OG0003326	XP_003934053.2	XP_023361352.1
OG0003327	XP_003925918.2	XP_003759406.1, XP_031820787.1, XP_031820796.1
OG0003328	XP_003925955.1	XP_031820313.1, XP_031820303.1, XP_031820294.1
OG0003329	XP_039317678.1	XP_031806178.1
OG0003331	XP_003923581.2	XP_031816795.1
OG0003332	XP_003923683.2	XP_003764203.1
OG0003333	XP_003929233.1	XP_012404148.1
OG0003334	XP_003929331.1	XP_031793440.1
OG0003335	XP_039329702.1, XP_039329705.1, XP_010348684.1, XP_039329703.1, XP_039329704.1	XP_031818945.1
OG0003336	XP_003927976.1	XP_031818783.1, XP_031818784.1
OG0003337	XP_039329943.1	XP_031818769.1
OG0003338	XP_010336832.1, XP_039329962.1, XP_039329963.1	XP_031818762.1, XP_031818761.1
OG0003339	XP_003922856.1	XP_023351210.1
OG0003340	XP_039325626.1, XP_039317931.1	XP_003757895.1
OG0003341	XP_010330892.2	XP_031805864.1
OG0003342	XP_003939977.1	XP_031805835.1
OG0003343	XP_010348988.1, XP_010348986.1, XP_010348987.1	XP_031805890.1
OG0003344	XP_003936363.1	XP_003758475.1
OG0003345	XP_010345034.2	XP_031806192.1, XP_031806193.1, XP_031806194.1
OG0003346	XP_039316561.1	XP_031823737.1, XP_031823736.1
OG0003347	XP_039316638.1	XP_031823866.1
OG0003348	XP_039316437.1	XP_031821184.1
OG0003350	XP_039316543.1	XP_031799913.1
OG0003351	XP_039334417.1	XP_003762105.1
OG0003352	XP_039333841.1, XP_039333842.1	XP_031801440.1, XP_031801439.1, XP_031801438.1, XP_031801441.1
OG0003353	XP_003930219.1	XP_023353195.1
OG0003354	XP_010339060.1	XP_023353181.2
OG0003355	XP_039333991.1	XP_031801601.1, XP_031801602.1, XP_031801600.1, XP_003762016.1
OG0003356	XP_010342108.1	XP_003769742.1
OG0003357	XP_039316791.1	XP_031825192.1
OG0003358	XP_010327949.1, XP_010327950.1	XP_003768061.1, XP_012403577.1
OG0003359	XP_003930486.2	XP_003767678.1
OG0003360	XP_003930416.1	XP_031793202.1
OG0003361	XP_010339250.1	XP_031793219.1
OG0003362	XP_039315866.1	XP_031792884.1, XP_003767546.1, XP_031792885.1
OG0003363	XP_039320202.1, XP_039320203.1, XP_039320201.1	XP_003767808.1
OG0003364	XP_010339190.2	XP_031822893.1
OG0003365	XP_003937833.1	XP_003768159.1
OG0003366	XP_010346682.2	XP_031822556.1
OG0003367	XP_010346677.1	XP_031822545.1, XP_003768106.1, XP_031822546.1, XP_031822544.1, XP_031822543.1, XP_023358054.1
OG0003368	XP_003924777.1	XP_003759615.1
OG0003369	XP_010333827.1	XP_031802433.1
OG0003370	XP_003924345.3	XP_023355287.1
OG0003371	XP_003939893.1	XP_003756190.1, XP_031808161.1
OG0003372	XP_003924351.1, XP_010333330.1	XP_031810931.1, XP_023355163.1
OG0003373	XP_010339417.1	XP_003756350.1, XP_023358344.1
OG0003374	XP_039325407.1	XP_031805158.1
OG0003375	XP_003924469.1	XP_031808551.1
OG0003376	XP_010333508.1, XP_010333507.1, XP_010333506.1	XP_003756425.1
OG0003377	XP_003924623.1	XP_031808359.1, XP_023357783.1, XP_023357776.1, XP_012403226.1
OG0003378	XP_003924644.1	XP_003756277.2, XP_031808305.1
OG0003379	XP_003940965.1, XP_010349953.1	XP_012402921.1
OG0003380	XP_039325178.1	XP_003756233.1, XP_031808257.1, XP_031808258.1
OG0003382	XP_003942508.1	XP_012403941.1
OG0003383	XP_010328609.1	XP_003768502.1
OG0003384	XP_010330390.1, XP_003943712.2	XP_003768470.3
OG0003385	XP_039331762.1	XP_031822043.1
OG0003386	XP_003931295.2	XP_031821946.1
OG0003387	XP_039332980.1	XP_031822357.1
OG0003388	XP_010337998.1, XP_010337996.1, XP_010337997.1, XP_010337995.1, XP_039332434.1	XP_003768039.1
OG0003389	XP_003931453.1	XP_012405264.1, XP_031823528.1
OG0003390	XP_010340336.1	XP_031823533.1, XP_031823534.1
OG0003391	XP_003931455.1	XP_031823530.1
OG0003392	XP_039332221.1	XP_031823549.1
OG0003393	XP_039331718.1	XP_031823614.1
OG0003394	XP_010338268.1	XP_031823645.1, XP_031823646.1, XP_023359479.2
OG0003395	XP_003941431.1	XP_003757504.1
OG0003396	XP_003940664.1	XP_012409198.1, XP_031810180.1
OG0003397	XP_003939344.1	XP_023361043.1
OG0003398	XP_003926558.1	XP_031796811.1, XP_031796812.1, XP_031796810.1
OG0003399	XP_003927848.1	XP_031795052.1
OG0003400	XP_010341635.1	XP_031796801.1
OG0003401	XP_039319043.1	XP_031795347.1
OG0003402	XP_039318996.1	XP_031793900.1
OG0003403	XP_003932866.1	XP_031793952.1
OG0003404	XP_039323540.1, XP_039323539.1, XP_003932870.1	XP_031795974.1
OG0003405	XP_039319199.1, XP_039319200.1, XP_039316937.1	XP_003772300.1
OG0003406	XP_010341790.1, XP_039319126.1, XP_010341792.1	XP_031796830.1
OG0003407	XP_003932949.1	XP_012406111.1
OG0003408	XP_039319103.1, XP_039319101.1, XP_039319104.1, XP_039319102.1	XP_031795969.1
OG0003409	XP_039317563.1, XP_039324782.1	XP_031814657.1, XP_031814659.1, XP_031814658.1, XP_031814660.1
OG0003410	XP_039319291.1, XP_039319293.1	XP_031806381.1, XP_003758300.1, XP_031806383.1, XP_031806382.1
OG0003411	XP_039332242.1	XP_003758298.1
OG0003412	XP_039316360.1	XP_031809671.1
OG0003413	XP_003920734.1	XP_031824376.1, XP_031824371.1
OG0003416	XP_003940104.1, XP_010349085.1	XP_031792943.1
OG0003417	XP_010349109.1	XP_003760713.3
OG0003418	XP_010349132.1, XP_003940151.1	XP_012398872.2
OG0003419	XP_003925298.3, XP_010334292.2	XP_031801407.1
OG0003420	XP_039330759.1	XP_031810488.1
OG0003421	XP_003925229.1	XP_031810072.1, XP_031810071.1
OG0003422	XP_010330937.1	XP_012404328.1
OG0003423	XP_010330915.2	XP_023359781.1
OG0003424	XP_003923115.1	XP_003769162.1, XP_031820623.1
OG0003425	XP_010332267.1, XP_003923120.1	XP_003769173.1
OG0003426	XP_010332279.2	XP_012404558.1
OG0003427	XP_003926431.1, XP_010335456.1, XP_010335457.1	XP_003769204.1
OG0003428	XP_003922965.1	XP_031820358.1, XP_023358897.1, XP_023358900.1, XP_003769356.1, XP_031820359.1
OG0003429	XP_039323376.1	XP_003769410.1
OG0003430	XP_003936014.1	XP_003770691.1
OG0003431	XP_010340865.2	XP_012407679.1
OG0003432	XP_003940719.1	XP_003760346.1, XP_031802931.1, XP_031802930.1
OG0003433	XP_010328214.2	XP_031803161.1, XP_003762770.1
OG0003434	XP_010342458.1	XP_023361772.1
OG0003435	XP_039320191.1, XP_039320190.1	XP_031816128.1, XP_023353763.2
OG0003436	XP_010343366.1	XP_031795809.1
OG0003437	XP_039328547.1	XP_031796551.1
OG0003438	XP_003935235.1	XP_031807453.1
OG0003439	XP_039328958.1	XP_031794708.1, XP_012406433.1, XP_031794707.1
OG0003440	XP_010342035.1	XP_023360601.1
OG0003441	XP_010342014.1, XP_039328785.1, XP_039328783.1, XP_039328786.1	XP_031794767.1
OG0003442	XP_003921083.1	XP_031794805.1, XP_031794804.1, XP_031794806.1
OG0003443	XP_039329476.1, XP_010345833.1	XP_012401411.1
OG0003444	XP_039318514.1, XP_039318776.1, XP_010345869.1	XP_023355955.1, XP_003765431.1
OG0003445	XP_010346378.1, XP_003937551.1, XP_010346377.1	XP_003765389.1
OG0003446	XP_003936945.1	XP_031825061.1
OG0003447	XP_003936989.1	XP_031825119.1
OG0003448	XP_010345776.1, XP_003937003.1, XP_003937002.1, XP_010345777.1	XP_031825140.1
OG0003449	XP_003924429.1, XP_039324848.1	XP_031807859.1
OG0003450	XP_010336759.1	XP_031794414.1
OG0003451	XP_003928020.2	XP_003773183.1
OG0003452	XP_003928018.1	XP_012407620.1, XP_031799665.1
OG0003453	XP_003931588.1	XP_003763856.1
OG0003453	XP_003941883.1	XP_031795369.1
OG0003454	XP_039328574.1	XP_031795099.1
OG0003455	XP_003929815.1, XP_039329996.1	XP_031795071.1
OG0003456	XP_039328481.1	XP_031795060.1
OG0003457	XP_039328839.1	XP_031795056.1
OG0003458	XP_039328528.1, XP_039328527.1, XP_039328529.1	XP_023360744.1
OG0003460	XP_003929892.2, XP_010338751.2	XP_003771790.1
OG0003461	XP_003929895.1	XP_012406586.1, XP_031795253.1
OG0003462	XP_010338794.1	XP_031795306.1, XP_031795303.1, XP_031795302.1, XP_031795304.1, XP_003772782.1
OG0003463	XP_039328935.1	XP_023360784.1, XP_031795441.1
OG0003464	XP_039319341.1, XP_039316893.1	XP_031806562.1
OG0003465	XP_003935615.1	XP_012407386.1
OG0003466	XP_039324344.1	XP_031799318.1
OG0003467	XP_010342711.1	XP_031798975.1, XP_031798977.1, XP_031798976.1
OG0003469	XP_039331400.1	XP_031800839.1
OG0003470	XP_003939477.1	XP_012395348.1
OG0003471	XP_003927253.1	XP_031805476.1, XP_031805477.1, XP_031805475.1
OG0003472	XP_003935300.1	XP_031805425.1
OG0003473	XP_003922632.1	XP_023361940.1
OG0003474	XP_003922633.1	XP_031798264.1
OG0003475	XP_039316736.1	XP_031823181.1
OG0003476	XP_003933586.1	XP_031823242.1
OG0003477	XP_039316904.1	XP_031823258.1
