Orthogroup	Saimiri_boliviensis_boliviensis	Mus_musculus
OG0001309	XP_039323729.1	NP_035679.3, NP_001155195.1, NP_001155194.1, XP_006524067.1
OG0001310	XP_039323445.1, XP_039323444.1	NP_940813.1
OG0001311	XP_003923063.1, XP_010332185.1, XP_003923065.1	NP_001344059.1, NP_083367.1, XP_011244991.1
OG0001312	XP_003923151.1	NP_112467.2
OG0001312	XP_010345651.1	NP_032854.2
OG0001313	XP_010335433.1, XP_039323861.1, XP_003926411.1, XP_010335435.1, XP_039323860.1	NP_001153201.1, NP_033025.2
OG0001314	XP_039324980.1	NP_061341.1
OG0001315	XP_003935175.1	XP_011239722.1, NP_780307.1
OG0001316	XP_010345720.1	NP_084144.2, NP_001355106.1, XP_006503548.1
OG0001317	XP_010338468.1	NP_084128.2
OG0001318	XP_010336926.1	XP_030099715.1
OG0001319	XP_039328794.1, XP_010338766.1, XP_039328795.1, XP_010338762.1, XP_010338763.1, XP_010338764.1	NP_112537.2, NP_778200.1
OG0001320	XP_003929894.1	NP_666279.1, NP_777620.1
OG0001321	XP_003933888.1	NP_001346042.1, NP_001028320.1
OG0001322	XP_003935270.1, XP_039335152.1	XP_006515102.1, NP_796305.3
OG0001323	XP_003922612.1, XP_010331711.1, XP_003922611.1, XP_010331710.1	NP_001398524.1, NP_001398522.1, NP_663545.2, NP_001398523.1, NP_001398521.1
OG0001324	XP_039316066.1, XP_039316067.1, XP_010328032.1	NP_084065.1, XP_006502323.1, NP_001307421.1
OG0001325	XP_010328002.2	NP_084350.1, XP_006502370.1, NP_001344792.1
OG0001326	XP_010339621.1, XP_003930801.1	NP_077232.2
OG0001327	XP_010342539.1	NP_001157562.1, NP_031556.1
OG0001328	XP_010331578.1	NP_001403854.1, NP_001403853.1, NP_031678.1, NP_001403852.1, NP_001104530.1, NP_001355144.1, NP_862906.1, XP_017174551.1
OG0001329	XP_003920067.1	NP_001129527.1, NP_001258390.1, NP_001258359.1, NP_031682.1, NP_001258391.1, NP_001258360.1, NP_001258361.1
OG0001330	XP_039326296.1	NP_034974.2, XP_006508562.1
OG0001330	XP_039326295.1	XP_006508716.2, NP_083077.2
OG0001331	XP_003943345.1	NP_001403968.1, XP_006508574.1, NP_001036225.1, NP_032793.2, NP_001403969.1, NP_001403970.1
OG0001332	XP_039326379.1, XP_003941263.1, XP_010350285.1, XP_003941264.1, XP_039326378.1, XP_010350286.1, XP_010350287.1	NP_001156418.1
OG0001333	XP_003937757.2	NP_001028620.1, NP_001348975.1, XP_006531847.1
OG0001334	XP_010336062.1, XP_003927102.1, XP_039334474.1, XP_010336063.1	NP_001240646.1
OG0001335	XP_039316117.1, XP_039333505.1, XP_039333506.1	NP_001365572.1, XP_030100627.1, NP_001289932.1, NP_950201.2, XP_006512232.1, NP_001013798.2, NP_796043.1, NP_808266.1, XP_011241290.1, NP_001028966.1, NP_001008428.1, XP_017169231.1, NP_796044.2, XP_011241263.1, NP_808371.1, XP_006512244.1, NP_001014417.1, NP_056608.1, NP_001170891.1, XP_017168938.1, NP_941076.1
OG0001336	XP_039322094.1, XP_039322093.1	NP_001275554.1, NP_001275555.1, XP_006513264.1, NP_031906.1
OG0001337	XP_010339808.2	XP_011241302.1
OG0001338	XP_039335567.1, XP_010350128.1	NP_001349795.1, XP_006499202.1, NP_780654.1
OG0001339	XP_010350097.2	NP_001364053.1, NP_001364054.1, NP_937819.3, NP_001139556.2
OG0001340	XP_039329152.1, XP_010330565.1, XP_003919772.1, XP_039329151.1	NP_542985.4, XP_006504863.1, NP_001411683.1, NP_001411682.1
OG0001341	XP_039329226.1, XP_003919783.2, XP_003919782.2	NP_001243015.1
OG0001342	XP_039328162.1, XP_039328266.1, XP_003932396.2	NP_742123.2, NP_742124.2
OG0001343	XP_003938534.1, XP_010347499.1, XP_010347498.1, XP_010347497.1	NP_001346782.1, XP_006534894.1, NP_619587.3
OG0001344	XP_010347426.2	XP_030101477.1, NP_766027.2
OG0001345	XP_039317593.1	NP_001159930.1, NP_598847.2, NP_001159928.1, XP_006520298.1
OG0001346	XP_003941495.1, XP_003941496.1	NP_001403000.1
OG0001347	XP_003939307.2	NP_032711.2, NP_001289270.1, NP_001289267.1, XP_006520636.1, NP_001289268.1, NP_001289272.1, NP_001289269.1, NP_001387305.1
OG0001348	XP_010331487.1, XP_003922350.1	NP_033153.2, NP_077770.1, NP_033154.2
OG0001349	XP_003922335.1	NP_663478.2, NP_001123997.1, XP_006527067.1, NP_001123998.1
OG0001350	XP_039320966.1, XP_039320967.1, XP_010331294.2	NP_062632.2, NP_001161977.1, NP_001342171.1, XP_006527291.1, NP_001401593.1, NP_001401592.1
OG0001351	XP_003922251.1, XP_010331261.1	XP_036017329.1, NP_032175.2, NP_001343214.1, NP_001397383.1
OG0001352	XP_003928962.2	NP_001360940.1
OG0001353	XP_003944833.1, XP_039324867.1	XP_036010982.1
OG0001354	XP_003929539.2	NP_082203.1
OG0001355	XP_039333523.1, XP_039333521.1, XP_039333522.1, XP_010335253.2	NP_766410.2, XP_006522181.1
OG0001356	XP_010335242.1, XP_003926238.1	XP_036016023.1, NP_780386.3, NP_001116155.1
OG0001357	XP_039318567.1, XP_039335600.1	NP_001239568.1
OG0001358	XP_039325670.1, XP_039325669.1, XP_010349870.1	NP_032410.2, XP_011236743.1
OG0001361	XP_003924138.1	XP_006528049.1, NP_001034150.1
OG0001362	XP_003939555.1, XP_010348461.1	NP_001404943.1, NP_001404944.1, NP_033086.1, NP_001404946.1, NP_001404945.1
OG0001363	XP_010348523.1	NP_001413215.1, NP_758960.1, XP_030107250.1, NP_001277723.1, NP_001413208.1, NP_001413213.1, NP_001413204.1, NP_001413203.1, NP_001413207.1, NP_001277721.1, NP_001413206.1, NP_001413202.1, NP_001413205.1, NP_001413200.1, NP_001413199.1, NP_001277724.1, NP_001413212.1
OG0001364	XP_003931189.1	NP_113565.2, XP_017174134.1
OG0001365	XP_039320088.1	NP_001300627.1, NP_001413068.1, XP_006528111.1, NP_036190.2, NP_001413069.1
OG0001366	XP_010329864.1, XP_010329863.1, XP_039327022.1	NP_109625.1, XP_006529061.1, NP_001345495.1, NP_001345497.1, NP_001345496.1, NP_001186175.1
OG0001368	XP_003934564.2	NP_444442.1, NP_996901.1, NP_444441.1, NP_067537.1, NP_996910.1
OG0001372	XP_003939528.2	NP_766366.2
OG0001372	XP_003939638.1	NP_776101.3
OG0001373	XP_039327409.1	NP_114074.1
OG0001373	XP_003932298.1	NP_001411466.1, NP_001357876.1
OG0001374	XP_039332505.1	NP_001396366.1, NP_001396371.1, XP_036021654.1, NP_038499.2, NP_001396368.1, NP_001396367.1, NP_001318049.1, NP_001396373.1
OG0001375	XP_039318052.1	NP_035473.2
OG0001376	XP_010338238.1	NP_001258285.1, NP_001258286.1, NP_666130.1, XP_011247207.1
OG0001377	XP_039319352.1	XP_036011620.1
OG0001377	XP_003938260.2, XP_039316656.1	XP_036018027.1
OG0001378	XP_039330635.1	NP_001158143.1, NP_032324.1, NP_001158144.1
OG0001380	XP_039333987.1	NP_035159.3
OG0001381	XP_039332336.1	NP_035638.1
OG0001381	XP_039317882.1	NP_081168.1
OG0001382	XP_003935663.1	NP_036051.1, NP_001348433.1, NP_001348432.1, NP_001348435.1, NP_038495.2, NP_001348434.1
OG0001383	XP_010336721.1	NP_059068.1, NP_038618.1
OG0001384	XP_003937938.1	NP_666382.2
OG0001385	XP_039315792.1	NP_035439.1
OG0001386	XP_010338730.2, XP_003929873.2	NP_666482.1, NP_666481.1, NP_666864.1
OG0001387	XP_039327217.1, XP_039327218.1	NP_666781.2
OG0001388	XP_003923439.2	NP_667313.2
OG0001390	XP_010332709.1	NP_085030.2
OG0001391	XP_010349694.2	XP_017173989.1, NP_666873.1
OG0001392	XP_003923873.1	NP_038647.2
OG0001394	XP_003933188.2, XP_003933128.2	NP_001011851.1
OG0001395	XP_039330957.1	XP_011242826.1, NP_001074598.1
OG0001395	XP_039318678.1	NP_569724.2
OG0001396	XP_039321956.1	XP_017177814.1
OG0001397	XP_010346307.1, XP_003937478.1, XP_010346306.1	NP_001230837.1, XP_006540454.1
OG0001398	XP_003937349.1, XP_010346161.1, XP_003937350.1	XP_036009348.1, NP_077724.2
OG0001399	XP_003930727.1	NP_001070658.1
OG0001400	XP_003920595.1	XP_036017041.1, NP_036028.2
OG0001401	XP_003934027.1	NP_848864.1
OG0001401	XP_039324370.1	NP_071861.1
OG0001402	XP_039330261.1, XP_003934873.1, XP_003934872.1	NP_666268.1, NP_001157266.1
OG0001403	XP_010343716.2	NP_082271.1, NP_001272778.1, NP_001272775.1, XP_036020344.1, NP_001272776.1, NP_001272774.1
OG0001404	XP_003930993.2	NP_775623.3
OG0001404	XP_039330305.1	XP_006538597.1, NP_001277682.1
OG0001405	XP_039324686.1	NP_001020546.1, XP_036011067.1, NP_075680.1
OG0001406	XP_010339427.1, XP_039325171.1	NP_001363928.1, NP_001159537.1, XP_006517659.1
OG0001407	NP_001266902.1, XP_010345114.1	NP_032772.3
OG0001408	XP_039335987.1, XP_039334763.1	NP_001171221.1, XP_036009543.1, NP_080273.1
OG0001409	XP_010332977.1	NP_667080.1, NP_666487.2
OG0001410	XP_010332715.2	NP_766355.3, NP_001139429.1, XP_006510368.1, NP_001346880.1, NP_848852.1, NP_001186485.1
OG0001411	XP_003931399.1	NP_291040.1
OG0001411	XP_003938571.1	NP_077760.1
OG0001412	XP_039328157.1, XP_003938118.1	NP_081120.2, XP_006531345.1
OG0001413	XP_010345131.1, XP_039334120.1, XP_039334117.1, XP_010345132.1	XP_006531198.1
OG0001414	XP_010343021.1, XP_010343022.1, XP_010343023.1	XP_006504675.1, NP_001241691.1, NP_084313.1
OG0001415	XP_003933067.1	XP_006533389.1, NP_631974.1
OG0001415	XP_039333796.1	NP_659065.1
OG0001416	XP_010342291.1, XP_010342292.1, XP_010342293.1	NP_001177090.1, NP_064360.1
OG0001417	XP_039316282.1, XP_039319696.1	NP_001343887.1, NP_001343884.1, NP_001343883.1, NP_079726.1, XP_030110612.1, NP_001343885.1, NP_001343888.1, NP_001343886.1
OG0001418	XP_010329916.1	XP_006504716.1, NP_034887.1
OG0001419	XP_039332311.1	NP_742145.1, XP_036012476.1
OG0001419	XP_039326131.1	XP_006504732.1, NP_766311.2
OG0001420	XP_010342877.2, XP_039327485.1	NP_001346029.1, NP_001346028.1, NP_001346026.1, NP_001408231.1, NP_032949.3, XP_006504723.1, NP_001240819.1, NP_001346027.1
OG0001421	XP_039334083.1, XP_039334084.1, XP_010338962.2	NP_001390988.1, NP_001390987.1, NP_766337.2, NP_001390990.1, NP_001390991.1, NP_001390989.1
OG0001422	XP_010339114.2	NP_001350912.1, NP_001008700.1
OG0001423	XP_003930252.1	NP_032881.1
OG0001423	XP_039332525.1	XP_036012317.1
OG0001424	XP_003921473.1	NP_001413664.1, NP_001413662.1, NP_001413665.1, NP_001413659.1, NP_001276454.1, NP_001276453.1, NP_001413660.1, NP_001413657.1, NP_001413661.1, NP_001413666.1, NP_001413663.1, NP_001346692.1, NP_001413655.1, NP_001413656.1, NP_001413653.1, NP_077156.2, NP_001413654.1
OG0001425	XP_003930471.1	NP_001407586.1, NP_033607.2
OG0001425	XP_010339303.1, XP_003930470.1	NP_001406911.1, XP_011246208.1
OG0001426	XP_010350679.1	NP_081575.2
OG0001426	XP_010339212.1	NP_031879.1
OG0001427	XP_010346771.2	NP_808331.1, XP_036018941.1
OG0001428	XP_003924489.2, XP_003931796.1, XP_039328983.1	NP_082138.1, NP_001404862.1, NP_001404863.1, NP_001404861.1
OG0001429	XP_010335107.2, XP_003926119.2	NP_766220.2
OG0001430	XP_010335820.2	NP_443067.1
OG0001430	XP_003930607.2	NP_001156405.1
OG0001431	XP_039318746.1, XP_010336320.2	NP_775539.1, NP_829887.1
OG0001432	XP_039318715.1	XP_006515832.1
OG0001433	XP_039320358.1	NP_059076.1, NP_001106960.1
OG0001433	XP_010340668.1	XP_006533807.1, NP_001106959.1, NP_001106958.1
OG0001434	XP_010329780.2, XP_003943665.2, XP_010329778.2, XP_010329779.2	XP_030102266.1, NP_543122.1, NP_001344509.1
OG0001435	XP_010329793.1	NP_001390783.1, NP_001390781.1, XP_006533108.1, NP_001390784.1
OG0001436	XP_039335024.1, XP_039332805.1	NP_001382352.1
OG0001436	XP_039316299.1	NP_780426.1
OG0001437	XP_010340248.1, XP_039332142.1, XP_039332141.1	NP_001036006.1, NP_033778.2, XP_030101341.1
OG0001439	XP_003926583.1	XP_036020520.1, NP_079707.1, NP_001404758.1, XP_036018053.1
OG0001440	XP_003929699.1	NP_031797.1
OG0001441	XP_010331826.1, XP_003922726.1	NP_001317578.1, NP_065583.2
OG0001442	XP_039323636.1, XP_039323637.1, XP_039323638.1	NP_001272942.1, NP_001401370.1, NP_001272957.1, NP_001401372.1, NP_001401373.1, NP_001401371.1
OG0001443	XP_003923108.2, XP_010332240.2	NP_081008.1, XP_006524906.1
OG0001444	XP_039320667.1, XP_039320665.1, XP_039320666.1, XP_003942087.1	NP_203535.1, NP_001345862.1
OG0001445	XP_003935422.2, XP_039320566.1	NP_001343381.1
OG0001446	XP_010342419.1	NP_038788.2
OG0001447	XP_039330501.1, XP_003937576.1	NP_001289010.1
OG0001448	XP_003937591.1	NP_081312.2
OG0001450	XP_010328533.2	NP_001344222.2
OG0001451	XP_039315966.1, XP_039315963.1	XP_017175001.1, NP_033291.1, NP_033290.1, NP_035608.1, NP_001191356.1
OG0001452	XP_003941624.1	XP_006504134.1, NP_077780.3, NP_001128164.1
OG0001453	XP_003943357.2	NP_001390284.1, NP_001239517.1, NP_001390286.1, NP_444312.1, NP_001390285.1, NP_001390287.1
OG0001454	XP_010346652.1, XP_010346650.1, XP_010346653.1, XP_010346651.1	XP_030106933.1, NP_081512.1
OG0001455	XP_003936654.1	NP_001298079.1
OG0001456	XP_003938994.1, XP_010347931.1, XP_010347930.1	XP_006510082.1, NP_034463.2
OG0001457	XP_010347806.2	XP_006524220.1
OG0001457	XP_003938881.1	NP_001361548.1
OG0001458	XP_010333438.1, XP_010333442.1, XP_003920227.3, XP_039326820.1	NP_079934.2, XP_006527313.1, NP_083775.1, NP_068364.1, NP_001297260.1, XP_036017546.1
OG0001459	XP_039329204.1	NP_032741.2, XP_006518743.1
OG0001459	XP_003940798.2	NP_001390528.1
OG0001460	XP_039329393.1, XP_039329394.1, XP_010339986.2	NP_001365697.1, NP_001365698.1
OG0001461	XP_010339747.1	NP_001158034.1, XP_006512105.1, NP_848792.2
OG0001462	XP_039335201.1, XP_039335202.1, XP_039335203.1	NP_808520.2, NP_001278362.1, XP_006500671.1, NP_780760.2
OG0001463	XP_039325712.1, XP_039325462.1, XP_039325711.1, XP_010345498.2	XP_006529145.1, NP_031459.3, NP_031458.2, NP_001074551.1
OG0001465	XP_003938490.2	NP_001025108.1, XP_011242032.1
OG0001465	XP_003938500.2	NP_653103.1
OG0001466	XP_039327509.1	NP_780301.1
OG0001467	XP_010347472.1	NP_001343319.1
OG0001468	XP_039327764.1, XP_039327765.1, XP_039327766.1	NP_001264186.1, NP_001264188.1, NP_033742.2, NP_001264187.1, NP_001264184.1
OG0001469	XP_003939324.1	XP_006521554.1, NP_083073.1
OG0001470	XP_039317742.1	NP_001273901.1, NP_001021382.1
OG0001471	XP_003930053.2, XP_003925499.1	NP_080333.1, XP_030111415.1, NP_001289369.1, NP_001289368.1
OG0001472	XP_003922429.1	XP_017173780.1
OG0001473	XP_003924208.2	XP_006534878.1, NP_032887.3
OG0001473	XP_003922351.1	XP_006527206.1, NP_852087.2
OG0001474	XP_003922238.1	XP_006527280.1
OG0001475	XP_010344530.1	NP_001411691.1, NP_001411690.1, NP_001139326.1, XP_011237721.1, NP_001028426.2
OG0001476	XP_003943047.2	NP_848461.1, XP_011241086.1
OG0001477	XP_003927721.1	NP_001139358.1
OG0001478	XP_003927681.1, XP_010336590.1	XP_006523130.1, NP_001159398.1, NP_062373.3, NP_001159397.1
OG0001479	XP_010338352.1, XP_003929485.1	NP_035804.2, XP_006501373.1
OG0001480	XP_010333077.1	NP_083100.1, NP_001157022.1, XP_006535321.1
OG0001481	XP_039333296.1, XP_039333298.1, XP_039333297.1, XP_039333295.1, XP_039333294.1, XP_039333292.1, XP_039333293.1	NP_001405884.1, NP_109669.1
OG0001482	XP_039336203.1, XP_039336205.1, XP_039336204.1	NP_001273888.1, NP_001157682.1, NP_598436.1
OG0001483	XP_039323359.1, XP_039323356.1, XP_039323360.1, XP_039323357.1	NP_075651.1, NP_001342351.1
OG0001484	XP_003921941.1	NP_001407972.1, NP_033304.1, NP_001407974.1, NP_001407973.1, NP_001103615.1, NP_001407975.1, NP_001407982.1, NP_001407981.1, NP_001407983.1, NP_001407978.1, NP_001342194.1, NP_001407979.1
OG0001485	XP_039334955.1, XP_010334775.2, XP_003925742.2	NP_001343441.1, NP_034607.3
OG0001486	XP_039325752.1, XP_010334545.2, XP_010334544.2, XP_039325751.1	NP_001396007.1, NP_001028778.2, NP_001396006.1, NP_083093.2
OG0001487	XP_003938207.1, XP_010347058.1, XP_010347057.1	NP_001139279.1, XP_006529430.1
OG0001488	XP_010330179.2, XP_039331616.1	NP_001074942.1
OG0001489	XP_010344650.1	NP_001181975.1
OG0001490	XP_003935896.2	NP_001103694.1, NP_001396938.1, NP_001103692.1, NP_001103693.1, XP_006528761.1, NP_001396939.1, NP_034155.2
OG0001491	XP_039319907.1	NP_001277642.1
OG0001492	XP_039328299.1, XP_003931167.2, XP_039330716.1	NP_082552.1, NP_001001981.2, NP_001129698.1, NP_001395996.1, NP_001395995.1
OG0001493	XP_039325303.1, XP_003924377.1, XP_010333360.1	XP_006518908.1, NP_663437.2
OG0001494	XP_039316939.1, XP_010346108.1, XP_010346032.2, XP_010346036.1, XP_010346038.2, XP_010346107.1	NP_064671.2, XP_036014468.1
OG0001497	XP_003924425.1	NP_444341.1, NP_031921.1, NP_444342.1, NP_031920.1, NP_059085.2, NP_062271.2, NP_444343.2
OG0001502	XP_003942765.1	NP_001345884.1, NP_035064.1, XP_006509657.1
OG0001503	XP_039319300.1	NP_059070.1
OG0001503	XP_003920630.1	NP_062284.1
OG0001504	XP_003927925.1, XP_003927926.1	NP_001177380.1, NP_031859.1
OG0001505	XP_010349768.1	NP_036130.1, XP_006508870.1, NP_001411953.1, NP_001411954.1
OG0001506	XP_003923866.1	NP_666959.1
OG0001507	XP_010336883.1	NP_001343917.1, NP_068696.2, NP_001343916.1
OG0001508	XP_039332078.1, XP_039332079.1, XP_039332080.1	NP_001318041.1
OG0001508	XP_039332243.1	NP_001318043.1
OG0001509	XP_039322018.1	NP_062376.2, NP_919302.1, NP_443717.1, NP_443718.1, XP_011248950.1
OG0001510	XP_003927052.1, XP_010336014.1	NP_001334955.1
OG0001511	XP_003928071.1, XP_003928070.1, XP_010336948.1, XP_010336949.1	XP_006530768.1, NP_032383.1, NP_001241676.1
OG0001512	XP_039335182.1, XP_039336185.1	NP_031922.1, XP_036014029.1
OG0001513	XP_003942832.1	NP_034792.1
OG0001513	XP_039332457.1	NP_032495.2
OG0001514	XP_039317983.1, XP_039324496.1	NP_058030.1
OG0001515	XP_003939835.1	NP_061299.3, XP_006519355.1
OG0001516	XP_010347734.1, XP_010347735.1, XP_010347732.1, XP_010347731.1, XP_010347730.1, XP_010347733.1	NP_001345478.1
OG0001519	XP_003923610.1	NP_667094.2, XP_017168883.1, NP_667093.2, NP_666960.2
OG0001521	XP_003923438.2	NP_666437.2
OG0001522	XP_003944449.1	NP_001103786.2, NP_001013787.1, NP_001172102.1, NP_001093656.1
OG0001523	XP_003926107.2	NP_036102.2, NP_001129562.1, NP_001390118.1
OG0001524	XP_039319550.1, XP_039319549.1, XP_003924926.1, XP_039319551.1	XP_006525587.1, NP_722489.1
OG0001525	XP_039317371.1	XP_006527285.1
OG0001526	XP_039323019.1, XP_039323011.1, XP_039323016.1, XP_039323013.1, XP_039323012.1, XP_039323018.1, XP_039323015.1, XP_039323014.1, XP_039323017.1	XP_006540376.1, NP_001366229.1, NP_001366228.1, NP_001366227.1, NP_001013030.1
OG0001527	XP_010330271.1	NP_001407137.1
OG0001527	XP_003931856.2	NP_542375.1, NP_001186230.1, XP_011247022.1
OG0001528	XP_003943129.1, XP_003943130.1	NP_031541.1, NP_001288769.1, XP_006527816.1
OG0001528	XP_039321701.1	XP_006540047.1, NP_001004153.2
OG0001529	XP_039332044.1	NP_001106170.1
OG0001529	XP_003940359.2	NP_035311.1
OG0001530	XP_039322453.1, XP_039322456.1, XP_010349300.1, XP_010349299.1, XP_039322454.1, XP_039322455.1	NP_001345775.1, XP_006539992.1, NP_775606.1
OG0001531	XP_010333665.2	XP_036013454.1
OG0001531	XP_039322227.1	XP_036009100.1, NP_001025048.2
OG0001532	XP_010349445.2	NP_033826.2, NP_001292748.1, XP_030097875.1, NP_001292773.1, NP_001292772.1
OG0001533	XP_039322737.1	NP_056611.2
OG0001533	XP_003943174.1	XP_006539925.1
OG0001534	XP_039324358.1	XP_017173462.1, NP_001344400.1, NP_001344402.1, NP_001344399.1, NP_080696.1, NP_001344401.1
OG0001535	XP_010338325.1, XP_003920762.1	NP_080773.1
OG0001536	XP_010338638.1	NP_001124540.1, NP_001124541.1, NP_849247.3
OG0001537	XP_039336033.1, XP_039336032.1	NP_877583.1, NP_001116252.1, XP_011249134.1, NP_083928.1
OG0001538	XP_010343457.1	NP_001363929.1
OG0001539	XP_039327476.1, XP_039327477.1	XP_030103276.1, NP_082382.1, NP_001289468.1, NP_001289467.1
OG0001540	XP_039324192.1, XP_010342423.2	NP_035393.2, XP_006534905.1
OG0001541	XP_039320199.1	NP_034447.1, NP_001289926.1
OG0001542	XP_003929490.1	NP_001333564.1
OG0001542	XP_039334241.1	NP_001411390.1
OG0001543	XP_039334365.1	XP_006519324.1, NP_001303677.1, NP_666040.1
OG0001544	XP_003934790.1, XP_003934792.1	NP_001345964.1, NP_034380.1, XP_006532258.1
OG0001545	XP_003923636.1	NP_766626.1, NP_001344586.1, NP_001344585.2
OG0001546	XP_003923802.1, XP_010332903.1, XP_003923803.1	XP_011240669.1, NP_081238.2, NP_001158046.1
OG0001547	XP_039332377.1, XP_003920636.1, XP_039333110.1	NP_001349622.1
OG0001548	XP_039332662.1, XP_003931397.1, XP_039332661.1	NP_001344889.1, XP_006532992.1, NP_001344894.1, NP_808286.2
OG0001549	XP_039332091.1	NP_001004143.2
OG0001549	XP_003939647.3	NP_062334.2
OG0001550	XP_039329900.1	NP_001273150.1, XP_030109639.1
OG0001551	XP_003927971.1	XP_006539139.1, NP_062715.2
OG0001551	XP_003927973.1	XP_017175793.1
OG0001552	XP_003932092.1	NP_080011.1
OG0001553	XP_003936357.1	NP_001355315.1
OG0001554	XP_010338989.2	NP_001344746.1, XP_006508261.1, NP_001272836.1, NP_081629.1, NP_001272834.1, NP_001272835.1
OG0001555	XP_039334366.1	NP_001390491.1, NP_663562.1, NP_001347740.1, XP_036008449.1
OG0001556	XP_010339285.1, XP_003930448.1	XP_006497325.1, NP_058547.2
OG0001557	XP_039320125.1	XP_030099002.1
OG0001557	XP_003937788.1	NP_034050.1
OG0001558	XP_003930365.1	NP_570960.2
OG0001558	XP_003930363.1	NP_033924.2
OG0001559	XP_039316118.1	NP_075616.2
OG0001560	XP_039318733.1	NP_001276418.1, NP_001276416.1, NP_001276417.1, NP_083083.3, XP_006516352.1
OG0001561	XP_039331733.1, XP_010328877.1	NP_001346255.1, NP_001346256.1, NP_001346254.1, NP_659079.1
OG0001562	XP_039317458.1	NP_001243450.1, NP_001243451.1
OG0001563	XP_010331833.1	NP_758464.2
OG0001564	XP_010330155.2	NP_001334424.1, XP_030101904.1, NP_038772.1
OG0001565	XP_010337001.1	NP_001349614.1
OG0001566	XP_039331018.1, XP_039331017.1	XP_006538250.1, NP_082413.2, NP_001139396.1, NP_001139397.1
OG0001567	XP_039323612.1, XP_003923054.1, XP_039323614.1	NP_001093922.1, XP_006524037.1
OG0001568	XP_010335461.1	XP_006511367.1, NP_001157252.1, NP_064371.2
OG0001569	XP_039323433.1	XP_036010385.1, NP_001177973.1
OG0001570	XP_039323146.1, XP_039331590.1	NP_064373.1
OG0001570	XP_039323851.1	NP_766095.1
OG0001571	XP_003923008.2	NP_001346887.2
OG0001572	XP_010332112.1	NP_001317685.1, NP_001317686.1, NP_001317684.1, NP_079747.1, XP_006538226.1
OG0001573	XP_039320561.1	NP_001129161.1, XP_006520964.1, NP_001398786.1, NP_001398787.1, NP_001129160.1, NP_001398785.1, NP_035967.1
OG0001574	XP_039320541.1, XP_039320542.1, XP_003943074.1	NP_038951.1
OG0001575	XP_039324332.1	NP_808229.1
OG0001575	XP_039329284.1	NP_035799.1
OG0001576	XP_039328906.1	NP_001398735.1, NP_001398734.1, NP_001398733.1, NP_001398732.1, NP_001351525.1, NP_001351524.1, NP_001075147.1, NP_001398731.1, NP_001398740.1, XP_006505211.1, NP_001398739.1, NP_001398738.1, NP_001398742.1, NP_001398737.1, NP_001398741.1
OG0001577	XP_039325942.1	XP_006498620.2
OG0001577	XP_039328590.1	NP_001157112.1
OG0001578	XP_003945022.1, XP_039330036.1, XP_039330037.1	NP_077782.1, NP_001034087.1
OG0001579	XP_003929666.1	NP_082610.1, NP_081467.2
OG0001580	XP_010338713.2	NP_780617.2, XP_006505389.1
OG0001581	XP_010341133.2	NP_001334030.1
OG0001582	XP_039328505.1, XP_039328503.1, XP_039328504.1, XP_039328502.1, XP_039328501.1	NP_001078886.1, NP_001078885.1, NP_001342676.1, NP_001342675.1, XP_011239752.1, NP_001078884.1, NP_065614.2
OG0001583	XP_010327871.1	XP_006535838.1, NP_067445.3, NP_001276686.1
OG0001584	XP_039319223.1	XP_017173066.1, NP_857632.4, NP_001390142.1
OG0001585	XP_003933874.2	NP_001344246.1, NP_001344245.1, NP_569054.2, XP_006509341.1
OG0001586	XP_003941587.1	NP_082426.1
OG0001587	XP_010328020.1	NP_001398021.1, NP_001398019.1, NP_001398020.1, NP_064298.1
OG0001588	XP_003920273.2	NP_001365339.1
OG0001589	XP_003943379.1	NP_001171275.1
OG0001590	XP_039326481.1, XP_010331782.2, XP_010331781.2	NP_001342554.1, NP_001104319.1, NP_780390.3, NP_001077279.1, XP_036018489.1
OG0001591	XP_010331596.2, XP_003920022.2	NP_694766.1, NP_001411642.1
OG0001592	XP_010330476.1	NP_084113.1, NP_001343483.1, NP_001137155.1
OG0001593	XP_010333052.1, XP_010333048.1	NP_598601.1
OG0001594	XP_010350275.2	NP_001277747.1
OG0001594	XP_039318434.1	NP_796052.2
OG0001595	XP_010348408.1	XP_030110934.1
OG0001596	XP_010337550.1, XP_010337551.1, XP_003928651.1, XP_010337552.1, XP_039321481.1	NP_766045.2
OG0001597	XP_010341438.1, XP_010341437.1	NP_001278114.1, NP_001408055.1, NP_001408052.1, NP_035627.1, NP_001408053.1, NP_001408054.1
OG0001598	XP_010350590.1	NP_001186413.1
OG0001599	XP_010332565.2	NP_001278283.1, NP_001398914.1, NP_031517.2, XP_006507325.1, NP_001398919.1, NP_001398918.1, NP_001398917.1, NP_001398921.1, NP_001398920.1, NP_001398916.1, NP_001398915.1
OG0001601	XP_010340008.1	NP_082564.3, NP_001103612.1
OG0001601	XP_039329068.1	NP_666319.2
OG0001603	XP_003930937.3	NP_001344491.1, XP_006512103.1, NP_001344490.1, NP_695019.1, NP_001344489.1
OG0001604	XP_003936102.2, XP_039315889.1	NP_001273437.1, NP_038755.1
OG0001605	XP_003930983.1, XP_039317911.1	XP_006510920.1, NP_032906.2, NP_001182013.1, NP_001397382.1, NP_035766.2
OG0001606	XP_003933223.1	NP_001276559.1, NP_001342617.1, NP_083260.1, NP_001276560.1
OG0001607	XP_003933250.1	NP_001135418.1
