Orthogroup	Loxodonta_africana	Mesocricetus_auratus
OG0002137	XP_003421296.1	XP_040587516.1, XP_040587513.1, XP_040587514.1, XP_021089003.1, XP_021089005.1, XP_040587515.1, XP_021089006.1
OG0002138	XP_003410830.2	XP_040593517.1
OG0002139	XP_010593283.1	XP_040599352.1
OG0002140	XP_003405757.1, XP_010594005.1, XP_010594009.1	XP_021084565.1, XP_005073007.1
OG0002141	XP_010587277.1	NP_001268771.1
OG0002142	XP_003419702.1	XP_005064309.1, XP_012971817.1
OG0002143	XP_010586682.1	XP_021080939.1, XP_012966438.1, XP_005066861.1, XP_021080940.1
OG0002144	XP_023414542.1	XP_012975511.2
OG0002144	XP_003418775.1	XP_005064829.1
OG0002145	XP_010592071.1	XP_012968415.1
OG0002146	XP_003418750.1	XP_040597141.1
OG0002147	XP_010588765.2, XP_010588766.1, XP_023404293.1, XP_023404292.1, XP_023404295.1	XP_040607660.1, XP_040607662.1, XP_040607663.1, XP_040607661.1
OG0002148	XP_003414245.1, XP_003414246.1, XP_003414247.1, XP_003414244.1	XP_012981450.1, XP_040603443.1
OG0002149	XP_010591247.1	XP_040606726.1, XP_040606727.1
OG0002150	XP_023409694.1, XP_003414878.1	XP_005076783.1
OG0002151	XP_003416300.1, XP_010594352.1	XP_005076191.1, XP_040608571.1
OG0002152	XP_023411579.1	XP_012966113.1
OG0002153	XP_023411463.1	XP_040611666.1
OG0002154	XP_023398520.1	XP_005084544.1
OG0002155	XP_010600491.1, XP_003406133.1	XP_005070599.1, XP_040609328.1
OG0002156	XP_023405139.1	XP_005078171.1
OG0002157	XP_023409943.1	XP_021087570.1
OG0002158	XP_003420901.1, XP_010598727.1	XP_040600564.1
OG0002159	XP_023407177.1	XP_021079592.2, XP_040600221.1
OG0002160	XP_003404720.1, XP_010590993.1	XP_040611927.1
OG0002162	XP_010585375.1, XP_023399896.1	XP_040590163.1, XP_040590164.1, XP_040597119.1, XP_040597118.1, XP_040597287.1, XP_040590190.1
OG0002164	XP_010600344.2, XP_010597113.1, XP_010597274.2	XP_040599798.1, XP_005072536.1
OG0002165	XP_003415651.1	XP_040590708.1
OG0002166	XP_023414577.1	XP_005063475.1
OG0002167	XP_003414297.1, XP_003414298.1	XP_040605671.1
OG0002168	XP_023414082.1	XP_040595577.1
OG0002168	XP_023408038.1	XP_005087136.1
OG0002169	XP_010591918.1	XP_005070452.2
OG0002169	XP_003419620.1	XP_040605758.1
OG0002170	XP_003408621.1	XP_005068487.1
OG0002171	XP_023410109.1	XP_012976656.1
OG0002172	XP_023413496.1	XP_005082275.1, XP_040608985.1, XP_021089823.1
OG0002173	XP_010588365.1, XP_010588366.1, XP_010588367.1	XP_005071245.1
OG0002174	XP_003418528.2	XP_040589488.1
OG0002175	XP_023394772.1	XP_040613536.1, XP_005074189.1
OG0002177	XP_003416035.1	XP_040599986.1, XP_040599988.1, XP_040599987.1
OG0002178	XP_003420700.2	XP_021081476.2
OG0002179	XP_003423254.1	XP_040611710.1
OG0002181	XP_003415618.1	XP_040612828.1
OG0002182	XP_010590548.1, XP_003414658.1, XP_003407369.1	XP_040612556.1
OG0002183	XP_023412938.1	XP_005070404.1
OG0002184	XP_010588836.1	XP_040597776.1
OG0002184	XP_003413936.1	XP_005077851.1
OG0002185	XP_010590470.1	XP_005071949.1, XP_040604426.1, XP_012970162.1, XP_005071950.1
OG0002186	XP_023410048.1	XP_005082880.1
OG0002187	XP_003406320.1	XP_040593688.1, XP_040593691.1, XP_040593689.1, XP_040593687.1
OG0002188	XP_023408468.1	XP_040597695.1
OG0002189	XP_003415842.1	XP_005075241.1, XP_012972644.1, XP_021085838.1
OG0002190	XP_010587975.1	XP_005076651.1
OG0002190	XP_003421853.2, XP_003421897.1	XP_005087261.1
OG0002191	XP_003414766.1	XP_021086264.2
OG0002191	XP_003414765.1	XP_005076034.1
OG0002192	XP_003421410.1	XP_005065123.1
OG0002193	XP_003421528.1, XP_010599264.1	XP_005074158.1, XP_005074150.1, XP_005074209.2
OG0002194	XP_023406667.1, XP_023406388.1	XP_005075786.2, XP_040589306.1
OG0002195	XP_023409739.1	XP_005078241.2
OG0002195	XP_023409738.1	XP_040593539.1
OG0002196	XP_003421498.1, XP_003421496.1	XP_005074147.1
OG0002198	XP_003406823.1	NP_001269227.1, XP_021085464.1
OG0002199	XP_010585801.1	XP_005063836.1
OG0002200	XP_010585034.1	XP_012972186.1
OG0002201	XP_023395985.1	XP_021080588.1, XP_012966125.1, XP_040611882.1, XP_021080590.1, XP_012966124.1, XP_005066376.1
OG0002202	XP_003406646.1	XP_040588747.1
OG0002203	XP_023399827.1	XP_005084796.2
OG0002204	XP_023399005.1	XP_012979602.3, XP_005084792.1, XP_021091439.1
OG0002207	XP_023395594.1	XP_021089531.1
OG0002208	XP_010589014.2	XP_021089321.1
OG0002209	XP_003414813.1	XP_005083165.1, XP_040602430.1
OG0002210	XP_010589714.1, XP_023405890.1, XP_010589711.1, XP_003404619.1	XP_005069258.1
OG0002211	XP_023401306.1, XP_023401305.1, XP_023401307.1, XP_003408145.1	XP_005065679.1, XP_040584821.1, XP_012982110.1
OG0002212	XP_003416327.1	XP_005078727.2
OG0002213	XP_023411382.1	XP_040591330.1
OG0002214	XP_003415524.1	XP_040612519.1
OG0002215	XP_023410231.1	XP_040612455.1
OG0002216	XP_003415434.1	XP_040612292.1, XP_040612291.1, XP_012978998.2
OG0002217	XP_010591387.1	XP_040613443.1, XP_040613435.1
OG0002218	XP_003413825.1	XP_005088748.3
OG0002218	XP_003413826.1	XP_005077848.1
OG0002219	XP_010600310.1	XP_005068900.1
OG0002220	XP_010588077.2	XP_040613982.1
OG0002221	XP_010598467.1	XP_005084463.1
OG0002222	XP_010592141.1	XP_012974361.1, XP_012974360.1
OG0002223	XP_023405564.1	XP_005139282.2
OG0002224	XP_023395885.1, XP_003411343.2, XP_003411428.1	XP_005068827.2
OG0002225	XP_023402761.1	XP_005070872.3
OG0002226	XP_023402813.1	XP_040588538.1, XP_012969377.1
OG0002227	XP_023402817.1	XP_040587989.1
OG0002228	XP_003404682.2	XP_005071983.1, XP_040604407.1
OG0002229	XP_003404680.1, XP_010590561.1	XP_021083953.1, XP_005071978.1
OG0002230	XP_003404672.1	XP_040603837.1, NP_001268547.1
OG0002231	XP_003407925.1	XP_040613587.1
OG0002232	XP_003418866.1	XP_040611113.1
OG0002233	XP_010595436.1	XP_012980522.1
OG0002235	XP_010594893.1	XP_040604877.1
OG0002236	XP_003411087.1	XP_040599709.1, XP_040613039.1
OG0002237	XP_003411114.2	XP_005072217.1, XP_040612958.1, XP_021084064.1, XP_012970352.1
OG0002238	XP_010589572.1	XP_040612944.1
OG0002239	XP_023407876.1	XP_040590882.1
OG0002240	XP_003413532.1	XP_012975382.1, NP_001268568.1
OG0002241	XP_003418203.1, XP_010596129.1, XP_010596128.1	XP_005073138.1
OG0002242	XP_003417064.1, XP_010595032.1	XP_005076342.1
OG0002243	XP_010597419.1	XP_040587711.1
OG0002244	XP_010594603.2	XP_005080391.1, XP_040612140.1
OG0002245	XP_023411613.1	XP_040587133.1
OG0002246	XP_003422532.1	XP_040587315.1
OG0002247	XP_003422524.1	XP_040607270.1
OG0002248	XP_010587113.1	XP_021081850.1, XP_040598544.1
OG0002249	XP_010594557.1, XP_003416542.1	XP_005080040.1
OG0002250	XP_003418831.2	XP_005064402.1
OG0002253	XP_023403178.1	XP_021086878.1, XP_040607910.1, XP_012973873.1
OG0002254	XP_003418511.1	XP_040589483.1, XP_040589482.1
OG0002255	XP_010596416.1	XP_040589550.1
OG0002256	XP_010589437.1	XP_040607602.1
OG0002257	XP_023404951.1	XP_005073524.1, XP_021084854.1
OG0002258	XP_003410934.1	XP_040593907.1, XP_040593908.1
OG0002259	XP_023409857.1	XP_040608449.1, XP_040608446.1, XP_040608445.1, XP_040608447.1, XP_040608450.1, XP_040608448.1, XP_040608451.1
OG0002261	XP_023409799.1	XP_005080232.1
OG0002262	XP_003406350.1, XP_023399563.1	XP_005076507.1, XP_021086552.1
OG0002263	XP_010587114.1, XP_003408878.1, XP_010587115.1	XP_012967666.1, XP_005068449.1
OG0002264	XP_003408523.2, XP_023401892.1	XP_040598963.1
OG0002265	XP_023401948.1	XP_021078482.1, XP_005085865.1
OG0002266	XP_003408869.1	XP_005068464.1
OG0002267	XP_003408898.1, XP_023402302.1, XP_023402303.1	XP_040599289.1
OG0002268	XP_003408917.2	XP_040598470.1
OG0002269	XP_023402316.1	XP_012967530.1, XP_012967531.1
OG0002271	XP_023410069.1	XP_040613228.1
OG0002272	XP_023409155.1	XP_040603794.1, XP_040603054.1, XP_040602434.1, XP_040604318.1, XP_040595705.1, XP_040605470.1
OG0002275	XP_003417275.1	XP_012968869.1, XP_012968870.1, XP_005069905.1
OG0002276	XP_003417351.1	XP_040605901.1, XP_040600223.1
OG0002277	XP_010592760.1	XP_012981651.1
OG0002278	XP_023409249.1	XP_005077125.1, XP_021086763.1
OG0002279	XP_023397946.1	XP_021090674.1
OG0002280	XP_003423272.1	XP_040601087.1
OG0002281	XP_003407565.2	XP_040592847.1
OG0002282	XP_010585871.1, XP_023400608.1	XP_040600960.1
OG0002283	XP_010585907.1	XP_040591574.1, XP_040591575.1, XP_040591577.1, XP_040591576.1, XP_040591578.1, XP_040591579.1
OG0002285	XP_003407799.1, XP_023400717.1	XP_005082155.1
OG0002286	XP_023398076.1	XP_005066951.1
OG0002287	XP_010600954.1	XP_021081112.1
OG0002288	XP_003419781.1	XP_040608636.1, XP_040608635.1, XP_040608634.1
OG0002289	XP_003419830.1	XP_040610130.1, XP_040610129.1, XP_040610128.1
OG0002290	XP_010591915.1, XP_003413686.1	XP_005070450.1, XP_040589091.1, XP_040589090.1, XP_012969075.1
OG0002291	XP_003407876.1	XP_040594326.1
OG0002292	XP_010589264.1, XP_003404569.1, XP_023405154.1	XP_040614022.1
OG0002293	XP_010586161.1, XP_023400949.1	XP_005078893.1
OG0002294	XP_023401123.1	XP_005078857.1, XP_012975082.1, XP_012975080.1, XP_021087850.1
OG0002295	XP_003407870.1, XP_003407871.2	XP_005076541.1, XP_040594715.1
OG0002296	XP_010590622.1	XP_005065858.1
OG0002297	XP_023400728.1	XP_012970609.1, XP_012970608.1, XP_040585302.1
OG0002298	XP_003404424.1, XP_023399932.1	XP_012971503.1, XP_005073733.1
OG0002299	XP_023399493.1	XP_040596591.1, XP_012965713.1
OG0002300	XP_010600603.1	XP_005066288.1
OG0002302	XP_023412227.1, XP_010594982.1, XP_023412219.1	XP_012966704.1, XP_012966705.1
OG0002304	XP_010598754.1	XP_005083356.1, XP_005086532.1
OG0002305	XP_010585596.2	XP_005084015.1
OG0002306	XP_023400311.1	XP_012973321.1, XP_005076260.1, XP_012973320.1, XP_040599135.1
OG0002307	XP_003407263.1	XP_040599137.1
OG0002308	XP_003415371.1	XP_005083975.2
OG0002309	XP_023410070.1	XP_005084436.1
OG0002310	XP_010593631.1	XP_040612865.1
OG0002311	XP_003415605.1	XP_040612809.1, XP_040612808.1
OG0002312	XP_003417567.2	XP_021088763.1
OG0002313	XP_003412483.1	XP_040613881.1, XP_021080753.1
OG0002314	XP_003422863.2	XP_005083130.2
OG0002315	XP_010598745.1, XP_003420916.1	XP_005082446.1
OG0002316	XP_003410055.1, XP_003410056.1	XP_040597088.1
OG0002317	XP_010590726.1, XP_010590725.1	XP_005066588.1
OG0002319	XP_023406905.1, XP_010590776.1, XP_023406904.1, XP_003412599.1, XP_023406906.1	XP_040587792.1
OG0002320	XP_010590255.1	XP_021088088.1
OG0002321	XP_023406314.1	XP_005073694.2
OG0002322	XP_003413758.1	XP_005078333.1, XP_005078332.1
OG0002323	XP_023408549.1	XP_012969575.1, XP_012969573.1, XP_040593251.1
OG0002324	XP_023396815.1	XP_040608133.1, XP_040608134.1
OG0002325	XP_003409526.1	XP_005084335.1, XP_012979224.1, XP_040608181.1
OG0002326	XP_023398015.1	XP_005065107.1, XP_005065106.2
OG0002327	XP_010590367.1	XP_005065010.3
OG0002328	XP_010597360.1	XP_021082272.1, XP_012969894.1, XP_012969901.1
OG0002329	XP_023412930.1, XP_010595527.1, XP_010595528.1, XP_003417554.1	XP_040590766.1, XP_040590767.1
OG0002330	XP_010591715.1, XP_003410489.1	XP_040610377.1, XP_040588667.1
OG0002331	XP_003416716.1	XP_040585294.1
OG0002332	XP_003406064.1	XP_005069087.1, XP_021082216.1
OG0002333	XP_023403366.1, XP_003409879.1	XP_005077733.2
OG0002334	XP_023403869.1	XP_005077746.1, XP_012974289.1
OG0002335	XP_023403636.1	XP_040594402.1
OG0002336	XP_010587997.1, XP_010587995.1, XP_010587996.1	XP_012969669.2
OG0002337	XP_023403400.1	XP_012980033.1, XP_021091692.1, XP_021091693.1
OG0002338	XP_003410117.1	XP_005074912.1
OG0002339	XP_003409906.1	XP_012972434.2
OG0002340	XP_003410134.1, XP_010588074.1	XP_005074936.1
OG0002341	XP_010588129.1, XP_023403516.1, XP_003409723.1	XP_021085655.1, XP_005075013.1, XP_040595510.1
OG0002342	XP_023403552.1	XP_040596097.1
OG0002343	XP_023407967.1	XP_012980773.2
OG0002344	XP_023408053.1	XP_012978367.1, XP_021090480.1, XP_040593594.1, XP_040593592.1, XP_021090479.1, XP_012978366.1
OG0002345	XP_003415705.2	XP_005077386.1
OG0002346	XP_003418590.1	XP_012971697.2, XP_005074167.2
OG0002347	XP_023414279.1	XP_012971834.1, XP_005073998.1, XP_012971833.1
OG0002348	XP_023394738.1	XP_012971815.1
OG0002349	XP_023394741.1	XP_021085177.1
OG0002350	XP_003423785.1, XP_003421559.2, XP_003421560.1	XP_040589445.1, XP_040613268.1
OG0002351	XP_003415748.1	XP_040595796.1, XP_040595699.1
OG0002352	XP_003420016.1	XP_012970398.1, XP_005072060.1, XP_021083990.1, XP_012970399.1
OG0002353	XP_010589836.1	XP_040602306.1
OG0002354	XP_023405906.1, XP_023405904.1, XP_003411695.1, XP_023405905.1	XP_005086127.1, XP_012980697.1
OG0002355	XP_003411578.1	XP_012979563.1, XP_005084670.1, XP_021091300.1
OG0002356	XP_023413462.1	XP_005082304.1, XP_040609050.1, XP_040609049.1
OG0002357	XP_023406991.1	XP_040590489.1
OG0002358	XP_003418007.1	XP_040609021.1, XP_040609023.1, XP_040609024.1, XP_040609022.1
OG0002359	XP_010589098.1	XP_021086899.1
OG0002360	XP_010589144.1, XP_010589145.1, XP_010589146.1	XP_040595347.1
OG0002362	XP_023410800.1	XP_040599577.1
OG0002363	XP_003405496.1	XP_012966844.1
OG0002364	XP_023402589.1	XP_040600021.1
OG0002365	XP_010587344.1	XP_005063571.1
OG0002366	XP_023402510.1	XP_012970822.1
OG0002367	XP_003420060.1	XP_040597426.1
OG0002369	XP_023414400.1	XP_012973288.1
OG0002370	XP_023414447.1, XP_003418715.2, XP_023414448.1, XP_023414446.1	XP_040601997.1
OG0002371	XP_003418730.1	XP_005068559.1
OG0002372	XP_003418383.1	XP_012972891.1
OG0002373	XP_003418410.1	XP_005075593.1
OG0002375	XP_023414900.1, XP_023414899.1, XP_023414901.1, XP_023414898.1	XP_005070930.2
OG0002376	XP_003410423.1	XP_040607699.1, XP_040607702.1, XP_040607705.1, XP_040607701.1, XP_040607703.1, XP_040607700.1, XP_040607707.1, XP_040607706.1, XP_040607704.1
OG0002377	XP_023409018.1, XP_023409017.1, XP_023409016.1, XP_003414130.1, XP_023409015.1	XP_005076110.1
OG0002378	XP_023409085.1	XP_040603414.1, XP_005068176.1
OG0002379	XP_003419018.2	XP_040606638.1
OG0002380	XP_023407532.1	XP_021083637.1
OG0002381	XP_003420657.1	XP_012967896.1
OG0002382	XP_003412924.1	XP_005069763.1
OG0002382	XP_010598356.1	XP_040600611.1
OG0002383	XP_003412830.2, XP_023407339.1	XP_005071670.2
OG0002384	XP_003412956.1	XP_005071668.1
OG0002385	XP_010598991.1	XP_040611603.1
OG0002385	XP_003421187.2	XP_005086738.1
OG0002386	XP_003417865.1	XP_005066423.1
OG0002387	XP_023411582.1	XP_005066417.1
OG0002388	XP_023411473.1	XP_005066536.1
OG0002390	XP_003406004.1	XP_005084549.1
OG0002391	XP_003406161.1	XP_040609396.1
OG0002392	XP_003410289.1	XP_040595273.1, XP_012971343.1, XP_005073425.1
OG0002393	XP_003421747.1	XP_012981316.2
OG0002394	XP_003416024.1	XP_040600013.1, XP_040600012.1
OG0002395	XP_003410493.1	XP_005081989.1
OG0002395	XP_010594055.1	XP_005074293.1
OG0002397	XP_023396511.1	XP_040599724.1
OG0002402	XP_003420093.2	XP_012971707.1
OG0002403	XP_003413919.1	XP_005077883.1
OG0002404	XP_003414315.1	XP_040607145.1
OG0002405	XP_003421749.1	XP_040600687.1, XP_012981310.1
OG0002406	XP_023402027.1	XP_040598811.1
OG0002407	XP_003412957.1	NP_001268483.1, XP_021083629.1
OG0002408	XP_023398181.1	XP_005083752.1
OG0002409	XP_023409909.1	XP_005072943.1
OG0002410	XP_023414671.1	XP_040610369.1, XP_040610370.1, XP_040610357.1, XP_040610372.1, XP_040610361.1, XP_040610366.1
OG0002411	XP_003420836.1	NP_001268512.1, NP_001268539.1
OG0002412	XP_023395971.1	XP_021091479.1
OG0002413	XP_023395947.1, XP_010598903.1	XP_005084911.1
OG0002414	XP_010594172.1	NP_001268874.1
OG0002415	XP_023401613.1, XP_003408420.1	XP_005066863.1, XP_040597916.1, XP_040597913.1, XP_040597914.1, XP_040597915.1
OG0002416	XP_023395622.1	XP_005072918.1
OG0002418	XP_023404744.1	XP_012968196.1
OG0002419	XP_023412992.1, XP_023412991.1, XP_023412990.1	XP_040589143.1
OG0002420	XP_010589824.1, XP_003411476.1	XP_005068762.1
OG0002421	XP_003404703.1	XP_005072012.2, XP_040603604.1, XP_040597771.1
OG0002422	XP_003404541.1	XP_040595668.1, XP_040604541.1
OG0002423	XP_023394816.1	XP_040597781.1, NP_001269051.1
OG0002424	XP_003419254.2	XP_040584220.1, XP_040584223.1, XP_040584221.1, XP_040584222.1
OG0002425	XP_010586498.1	NP_001273041.1
OG0002426	XP_003417352.1	XP_005070062.1
OG0002427	XP_003409648.1	XP_040608068.1, XP_040594820.1
OG0002428	XP_003412557.1, XP_010590735.1	XP_005066597.1, XP_040587802.1, XP_040587799.1, XP_040587801.1
OG0002429	XP_010586608.1, NP_001278408.1, NP_001288705.1	XP_040586247.1
OG0002430	XP_010593048.1, XP_010593047.1, XP_010593046.1	XP_040608242.1
OG0002431	XP_003423025.2, XP_023397623.1	XP_005065084.1
OG0002432	XP_003415015.1, XP_003415220.2, XP_003415219.2, XP_003415017.2, XP_010593321.1	XP_005078299.1, XP_040593369.1
OG0002433	XP_023397319.1	XP_040586187.1, XP_005069442.2
OG0002433	XP_003418337.1, XP_003418338.3, XP_003422410.1, XP_003418339.2	XP_005069317.3
OG0002434	XP_023396354.1	XP_040613344.1, XP_040587687.1
OG0002435	XP_023405238.1	XP_040584105.1
OG0002437	XP_023399948.1	XP_040613746.1, XP_012980574.1, XP_040613747.1
OG0002438	XP_003406760.1	XP_040597568.1, XP_021085476.1, XP_012972178.1, XP_021085475.1, XP_005074670.1, XP_021085477.1
OG0002439	XP_023406603.1, XP_003403932.1	XP_040614169.1, XP_040614167.1, XP_040614168.1
OG0002440	XP_023402987.1	XP_021080270.1, XP_005065943.1
OG0002441	XP_003419277.1	XP_040614201.1
OG0002442	XP_010598294.1	XP_005063770.1
OG0002443	XP_023399355.1	XP_012979182.1
OG0002444	XP_023399849.1	XP_040592142.1
OG0002445	XP_010584786.1	XP_005084820.1, XP_040591968.1, XP_040591969.1, XP_012979643.1
OG0002446	XP_003412358.2	XP_005064866.1
OG0002447	XP_010584772.2	XP_040590423.1, XP_012980965.2, XP_040590424.1
OG0002448	XP_003410615.1	XP_005081314.2
OG0002449	XP_023401295.1, XP_003408131.1	XP_005065663.1, XP_021078656.1, XP_012980853.1
OG0002450	XP_023411327.1	XP_005078684.1, XP_040596746.1
OG0002451	XP_023411371.1	XP_012975363.1, XP_005079221.1, XP_040607645.1
OG0002452	XP_010593473.1, XP_023410257.1	XP_012975601.1, XP_021088404.1, XP_005079542.1, XP_012975600.1, XP_040612494.1, XP_040612493.1
OG0002453	XP_003415322.1	XP_040612422.1
OG0002454	XP_003415447.1, XP_010593396.1	XP_040612305.1
OG0002455	XP_010591351.1	XP_005081108.1
OG0002456	XP_023407793.1	XP_012976683.1
OG0002457	XP_023408249.1	XP_021089248.1
OG0002458	XP_003405060.1	XP_005065352.1
OG0002459	XP_010587957.1	XP_012973914.3
OG0002460	XP_003413951.1	XP_005083998.1
OG0002461	XP_023401375.1	XP_005065739.1
OG0002462	XP_003404718.1	XP_040611922.1, XP_012974721.1, XP_012974722.1
OG0002464	XP_010587498.1	XP_021083286.1, XP_012969428.1, XP_040588075.1
OG0002465	XP_023414339.1	XP_040603636.1, XP_040603637.1, XP_021087199.1, XP_021087198.1
OG0002466	XP_003404732.1	XP_012974749.1
OG0002467	XP_023406664.1, XP_023406668.1	XP_005067794.3, XP_040604623.1
OG0002468	XP_003408065.1	XP_005082841.1
OG0002469	XP_010586428.2	XP_005082843.1, XP_012978033.1
OG0002470	XP_023395795.1	XP_040607449.1, XP_040599024.1, XP_040603784.1
OG0002471	XP_023412845.1, XP_010595450.1	XP_040585854.1, XP_021078518.1
OG0002472	XP_023412846.1	XP_040586228.1
OG0002473	XP_003418254.1, XP_023413994.1, XP_023413996.1, XP_023413995.1	XP_012968355.1, XP_012968357.1, XP_012968356.1
OG0002474	XP_003418236.1	XP_040585938.1
OG0002476	XP_023395472.1	XP_040604697.1, XP_021081487.2, XP_012967027.2, XP_012967028.2, XP_040604695.1, XP_040604696.1
OG0002477	XP_003418096.1	XP_040597812.1, XP_040591199.1, XP_040590784.1
OG0002478	XP_023413893.1	XP_040592082.1, XP_040592075.1, XP_040592059.1, XP_040592039.1, XP_040592088.1, XP_005073135.1, XP_040592055.1, XP_040592045.1, XP_040592064.1
OG0002479	XP_023413898.1	XP_005073130.2
OG0002480	XP_023412383.1	XP_040592475.1
OG0002481	XP_023412278.1	XP_040593236.1
OG0002481	XP_010587570.1	XP_040603785.1
OG0002482	XP_003422527.1	XP_021088851.1
OG0002483	XP_023397452.1	XP_005080472.1
OG0002484	XP_010594585.1	XP_012975916.1, XP_012975917.1
OG0002485	XP_023414706.1, XP_023414707.1	XP_021084439.1
OG0002486	XP_003418891.2	XP_012969772.1
OG0002487	XP_010596796.1	XP_005064471.1, XP_021084638.1
OG0002488	XP_003418884.1, XP_023414669.1	XP_005064476.1
OG0002489	XP_023413058.1, XP_010595671.1, XP_010595674.1	XP_040604127.1
OG0002490	XP_023413077.1	XP_012977176.2, XP_012977173.2, XP_012977175.2, XP_012977174.2
OG0002492	XP_003409432.1, XP_023403201.1, XP_023403202.1	XP_005076708.3
OG0002493	XP_003409580.1	XP_040607954.1
OG0002494	XP_010596412.1, XP_023414182.1, XP_010596413.1	XP_040589402.1
OG0002495	XP_023408372.1	XP_040585433.1, XP_040585432.1
OG0002496	XP_003410980.1, XP_003411078.1	XP_040595246.1, XP_012974601.1
OG0002497	XP_010589266.1, XP_023404976.1, XP_023404974.1, XP_023404975.1	XP_040594465.1, XP_040594466.1
OG0002498	XP_003410984.1	XP_021087517.1, XP_040593613.1, XP_005078184.1
OG0002499	XP_023409853.1	XP_021088729.1
OG0002500	XP_023409844.1	XP_040608404.1
OG0002501	XP_023399916.1	XP_040597490.1
OG0002502	XP_010585421.2	XP_005065438.1, XP_040613758.1
OG0002503	XP_003408673.1	XP_040591690.1
OG0002504	XP_010587099.1	XP_005068475.1
OG0002505	XP_003408862.1	XP_012967632.1
OG0002506	XP_003408638.1	XP_012967594.1
OG0002507	XP_023402336.1	XP_040598460.1
OG0002508	XP_003405317.1	XP_040598220.1
OG0002509	XP_023412552.1, XP_003417377.1	XP_012968594.1, XP_005069862.1
OG0002510	XP_023412493.1	XP_005070253.1
OG0002511	XP_010598031.1	XP_005069925.1
OG0002512	XP_003417429.1, XP_010595245.1	XP_005070262.3
OG0002513	XP_003417340.1, XP_023412728.1, XP_010595302.1	XP_005070035.1
OG0002514	XP_003417263.1	XP_040605893.1
OG0002515	XP_010592805.1	XP_005070136.1
OG0002516	XP_003422842.1	XP_040601157.1, XP_005083722.1
OG0002517	XP_010596301.1, XP_003405178.1	XP_040610634.1
OG0002518	XP_023415760.1	XP_040610094.1
OG0002519	XP_003419834.1	XP_021081012.1, XP_005067005.1
OG0002520	XP_023408373.1	XP_012972788.1
OG0002521	XP_010591869.1	XP_040585243.1
OG0002522	XP_023408282.1	XP_021085953.1
OG0002523	XP_023396889.1	XP_021085965.1
OG0002524	XP_003422308.1	XP_021079152.1, XP_005086894.1, XP_005086895.1
OG0002525	XP_003404740.2	XP_040604504.1
OG0002526	XP_010588736.1, XP_010592014.1	XP_012968154.1
OG0002527	XP_023400975.1	XP_005078925.2
OG0002528	XP_023400955.1, XP_023400956.1, XP_003407673.1	XP_005078904.1
OG0002529	XP_003407900.1	XP_021087959.1, XP_012975156.1, XP_021087960.1, XP_040594923.1, XP_005078806.1
OG0002530	XP_023400812.1	XP_040613332.1, XP_040613333.1
OG0002531	XP_023402834.1	XP_040585252.1, XP_021084144.1, XP_040585253.1
OG0002532	XP_010598888.1	XP_012979769.2
OG0002533	XP_023401860.1	XP_021083132.1, XP_021083133.1, XP_005070724.1
OG0002534	XP_010600466.1, XP_010600467.1	XP_040592178.1
OG0002535	XP_010586768.1, XP_003408494.1	XP_040586578.1
OG0002536	XP_003422469.1	XP_040592379.1, XP_040592346.1
OG0002537	XP_023396131.1	XP_040604659.1
OG0002538	XP_003406258.1, XP_023398592.1	XP_012973476.1, XP_005065204.1
OG0002539	XP_010585693.1	XP_012974529.1, XP_021087488.1, XP_040593803.1
OG0002540	XP_003407156.1	XP_012976609.1, XP_012976610.1
OG0002541	XP_023400146.1	XP_012973289.1
OG0002542	XP_023400115.1	XP_005087240.1
OG0002543	XP_003407081.1	XP_040593554.1
OG0002544	XP_003407265.1	XP_040584488.1, XP_005081011.1
OG0002545	XP_003415529.1	XP_021088402.1, XP_005079523.1
OG0002547	XP_023410313.1, XP_003415353.1, XP_023410312.1	XP_005084427.1
OG0002548	XP_003415546.1	XP_012979321.2, XP_005084432.2
OG0002549	XP_023410275.1	XP_005079516.1
OG0002550	XP_003405265.1, XP_010597279.1	XP_005068116.1
OG0002551	XP_023395468.1	XP_040610989.1, XP_040610988.1, XP_040610990.1
OG0002552	XP_003405349.1	XP_012967378.1, XP_040598229.1
OG0002553	XP_003405685.1	XP_040611089.1
OG0002554	XP_003417594.1	XP_005077792.1
OG0002555	XP_023414261.1, XP_003418544.1	XP_040608547.1
OG0002557	XP_003412458.1	XP_040587688.1
OG0002558	XP_010590783.1	XP_012966299.1, XP_012966300.1
OG0002559	XP_023406913.1, XP_003412467.1	XP_040587756.1
OG0002560	XP_023406172.1, XP_003411921.2	XP_040586873.1
OG0002561	XP_023406312.1, XP_023406311.1, XP_023406313.1	XP_005073614.1
OG0002562	XP_023411066.1, XP_010594184.1, XP_003416137.1, XP_010594182.1, XP_023411065.1, XP_010594181.1, XP_010594185.1	XP_040586779.1
OG0002563	XP_003420454.2	XP_005076149.1
OG0002565	XP_003409557.1	XP_005084304.1
OG0002566	XP_010587958.1	XP_005084381.2
OG0002567	XP_003409530.1	XP_012979259.1, XP_040608180.1
OG0002568	XP_023415535.1	XP_040588659.1, XP_040603844.1
OG0002569	XP_003406941.1	XP_021083868.1
OG0002570	XP_010597293.1	XP_040606286.1
OG0002571	XP_003419626.1	XP_005064073.1, XP_040589695.1
OG0002572	XP_003419687.1	XP_040604050.1, XP_040604052.1, XP_012972109.1
OG0002573	XP_003419527.1, XP_010597415.1	XP_040603849.1
