Orthogroup	Loxodonta_africana	Mus_musculus
OG0001882	XP_003408715.1	XP_011243290.1, NP_001347155.1, NP_001273410.1, NP_001347154.1
OG0001884	XP_003420993.1	XP_036014667.1, NP_067412.1
OG0001885	XP_003408620.2	NP_080812.1, NP_001348620.1, NP_001348619.1, XP_006516243.1
OG0001886	XP_023402140.1	XP_011242520.1, NP_001388195.1, NP_001191982.1, NP_112149.2, NP_001191981.1
OG0001887	XP_023402193.1	NP_001264225.1, XP_030102793.1, NP_001348527.1, NP_001348530.1, NP_001348528.1, NP_001348529.1, NP_082381.1, NP_001264226.1
OG0001888	XP_003417364.1	NP_001241664.1
OG0001889	XP_023409393.1	NP_001350159.1, NP_112460.1
OG0001890	XP_023397638.1	XP_011237493.1, NP_082369.1
OG0001891	XP_023400743.1	NP_083739.1, XP_006498459.1
OG0001891	XP_023397956.1	NP_001034184.1, NP_001405661.1
OG0001892	XP_003407684.1	XP_030107813.1, NP_733480.1, NP_001343362.1, NP_001343363.1
OG0001893	XP_023400655.1	NP_001276477.1, NP_001276476.1
OG0001894	XP_023413250.1	NP_598764.1, XP_006513076.1
OG0001895	XP_023414556.1	NP_001395211.1
OG0001896	XP_003419788.1, XP_010597607.1	NP_084505.2
OG0001897	XP_010597629.1	NP_001405601.1
OG0001898	XP_023395001.1, XP_023394997.1, XP_023395021.1	NP_038750.2
OG0001899	XP_023394953.1	XP_030101190.1, NP_083108.1, NP_001366453.1, NP_001366455.1, NP_001366454.1
OG0001900	XP_023408410.1	XP_006513131.1
OG0001901	XP_003413763.1	XP_011236719.1, NP_081374.1, NP_001343411.1
OG0001902	XP_003404739.1, XP_023407694.1, XP_023407696.1	NP_666086.2, NP_001405098.1, XP_006532828.1
OG0001903	XP_010589006.1	NP_001344517.1
OG0001904	XP_010586188.1	NP_001074812.1
OG0001905	XP_003407899.1	XP_006538308.1, NP_001406122.1, NP_001406121.1, NP_001406123.1, NP_081542.2, NP_001406124.1
OG0001906	XP_023400804.1, XP_010586022.1	NP_077219.1
OG0001907	XP_003404421.1	NP_001346884.1, NP_001094952.2, NP_001408299.1, NP_001408300.1, NP_001408298.1, NP_001171202.1, XP_006511239.1
OG0001908	XP_003403968.1, XP_023401605.1, XP_023401595.1	NP_001406137.1, NP_001406136.1, NP_659188.1, XP_006523532.1
OG0001909	XP_023403052.1	NP_001342427.1, NP_067293.1, NP_001366457.1
OG0001910	XP_003404380.1	NP_001156492.1
OG0001911	XP_023401685.1, XP_010586732.1, XP_003408465.1	NP_001344935.1, NP_780343.1, NP_001344936.1
OG0001912	XP_010600018.1	NP_032441.4
OG0001913	XP_003422467.1	NP_001157512.2, NP_001157508.2, NP_001157511.2, NP_032555.2, NP_001157510.2, NP_001157509.2, NP_001361067.1, XP_036015094.1
OG0001914	XP_023405626.1	NP_032092.1, XP_006503796.1
OG0001915	XP_023401449.1	NP_001161746.1, NP_808580.2, XP_006521159.1, NP_899017.2, XP_006521088.1, XP_006521565.1, NP_083268.1, NP_113555.1
OG0001916	XP_003405289.1	XP_006514065.1, NP_001155840.1, NP_001192027.1, NP_080519.2, NP_001155841.1
OG0001917	XP_010587663.1	NP_034880.1
OG0001917	XP_010595508.1	NP_035969.2
OG0001918	XP_010584656.1	NP_001192314.1, NP_001192315.1, NP_076224.1
OG0001919	XP_003419656.1	NP_034249.1
OG0001919	XP_003416106.1	NP_065603.2
OG0001920	XP_003416110.1, XP_023411015.1	NP_001139696.1, NP_077746.3, NP_001139695.1, NP_001139694.1
OG0001921	XP_023395155.1	NP_659166.1, XP_030111193.1, NP_001351482.1, NP_001351483.1, NP_001240621.1
OG0001922	XP_023403082.1	NP_001342634.1
OG0001924	XP_003407181.1	NP_001156832.1, NP_001412580.1
OG0001925	XP_010588471.1	NP_808431.2
OG0001926	XP_003412353.1, XP_023406534.1, XP_023406533.1, XP_010590469.1	NP_001349794.1, NP_776111.1, NP_001020273.1, NP_001349793.1
OG0001927	XP_010597409.1, XP_023415445.1, XP_023415444.1	NP_001091707.1, XP_006527482.1, NP_598520.1
OG0001928	XP_023415457.1	XP_006527004.1
OG0001929	XP_003410477.1, XP_023404415.1	NP_001008502.2
OG0001930	XP_003416720.2	XP_006529908.1, NP_573449.2, NP_001366283.1, NP_001078878.1, NP_001366284.1
OG0001931	XP_003409793.1	XP_036022146.1
OG0001932	XP_023403867.1	NP_080214.1
OG0001933	XP_023403397.1	NP_001160003.1, NP_001160004.1, XP_006519350.1, NP_062333.1
OG0001934	XP_003410125.1, XP_023403419.1	NP_001273427.1, NP_035703.2, NP_001075123.1
OG0001935	XP_023399899.1	XP_030111552.2
OG0001937	XP_003421324.1	NP_079977.3
OG0001938	XP_023396483.1	NP_001334337.1, NP_001346742.1
OG0001939	XP_003422605.2	NP_075920.4, XP_006514088.1
OG0001940	XP_003421495.1	NP_666426.2, NP_001011854.2
OG0001941	XP_023414302.1	NP_001347683.2, NP_001347685.1, NP_001347682.2, NP_001402962.1, NP_083890.2, NP_001347684.1, NP_001371080.1, NP_001347681.2, NP_001371077.2, NP_001402963.1, XP_036009434.1
OG0001942	XP_010597919.1	NP_001390478.1, NP_001390482.1, NP_001390481.1, NP_598708.3, NP_001390480.1, NP_001390476.1, NP_001390474.1, NP_001390473.1, XP_006507238.1, NP_001390477.1, NP_001390475.1, NP_001390479.1
OG0001943	XP_003412019.1	NP_001347741.1, XP_006540617.1, NP_001013386.2
OG0001944	XP_023407041.1	XP_030103906.1
OG0001945	XP_003411692.2	NP_001342618.1, NP_083262.1, XP_006500368.1
OG0001946	XP_023405773.1	XP_006500074.1, NP_001074559.1
OG0001948	XP_010589843.1	XP_006500229.1, NP_001135443.1, NP_081754.2
OG0001949	XP_010589852.1, XP_023405818.1	NP_001277960.1, NP_001277961.1, NP_081405.2
OG0001950	XP_003411632.2	NP_001407621.1, NP_035255.1
OG0001951	XP_010599442.2	NP_001171180.1, NP_001171177.1, NP_001171178.1, NP_001171179.1, NP_001349965.1, NP_001349964.1, NP_001171181.1, NP_001349966.1, NP_665703.2, XP_006500657.1, NP_001361599.1
OG0001953	XP_003414081.2	NP_001157627.1, XP_036014557.1, NP_038897.4
OG0001954	XP_023415595.1	NP_080667.1
OG0001955	XP_023406788.1	NP_001240665.1, XP_036014427.1, NP_666090.1
OG0001956	XP_003412537.1	XP_006509671.1, NP_955396.2, NP_001357900.1
OG0001957	XP_010598120.1, XP_003420374.2	XP_006530557.1, NP_083808.1
OG0001958	XP_003409299.1	NP_080763.2, XP_006527376.1
OG0001960	XP_003405703.1, XP_023410181.1, XP_023410174.1	NP_569714.2
OG0001962	XP_023410612.1	XP_011239869.1
OG0001963	XP_023411006.1	XP_006507144.1, NP_001276590.1, NP_080330.1, NP_001276591.1
OG0001964	XP_010594297.1	NP_001343879.1, NP_001276582.1, XP_006521226.1, NP_001343880.1
OG0001965	XP_023411682.1	XP_006520954.1, NP_035848.1
OG0001966	XP_003405113.1	NP_031652.1, XP_006520435.1, NP_001070257.1, NP_001345879.1, NP_001103686.1
OG0001967	XP_023402981.1	NP_808271.1
OG0001967	XP_023402627.1	NP_032069.2, NP_038816.1
OG0001968	XP_003408979.1	NP_001297382.1
OG0001969	XP_010587271.1	NP_034409.1, XP_006526744.1, NP_001272386.1
OG0001970	XP_023415562.1	NP_067289.2, NP_001334566.1, NP_996738.2, NP_001004468.1, XP_006508127.1
OG0001971	XP_010597569.1	NP_899071.2, XP_036008587.1
OG0001971	XP_010592476.2	NP_659204.1
OG0001972	XP_003420165.1	XP_006500193.1, NP_001342512.1, NP_081257.1
OG0001973	XP_003413870.1	NP_001398570.1, NP_001291690.1, NP_001398572.1, NP_001398571.1, XP_036010486.1, NP_031809.2, NP_001398573.1
OG0001974	XP_003413873.1	NP_001344844.1, NP_001344843.1, NP_001344842.1, NP_789801.1, XP_006511423.1, NP_001344841.1
OG0001975	XP_003410366.1	XP_006523163.1, NP_077220.2
OG0001976	XP_010588811.1	XP_036018886.1, NP_660115.1, NP_001343359.1
OG0001977	XP_010588776.1	NP_001128621.1, XP_006501997.1, NP_001128622.1, NP_080504.3
OG0001978	XP_023414848.1	NP_001028410.1, XP_006522010.1
OG0001979	XP_023411291.1	NP_001347963.1
OG0001980	XP_010594327.1	NP_001396626.1
OG0001981	XP_010595849.1	NP_001346926.1, NP_033094.3, XP_006516672.1
OG0001982	XP_023396653.1	NP_034944.2
OG0001983	XP_003406020.1, XP_003406248.2	NP_082511.1, NP_001074697.1, NP_084464.3
OG0001984	XP_003406097.1	NP_001407067.1, NP_058574.3, NP_001407068.1, NP_001407069.1, NP_001407066.1, NP_001407071.1, NP_001104301.1, NP_001407070.1
OG0001985	XP_003410311.1	NP_001408339.1
OG0001986	XP_010593346.1	NP_653142.2
OG0001987	XP_023410994.1	NP_001028502.1, NP_001277356.1, NP_001346001.1, NP_001277357.1
OG0001988	XP_003416089.1	NP_001297651.1
OG0001989	XP_010594049.1	NP_079713.2, NP_001257651.1
OG0001990	XP_003412786.1	NP_032810.4
OG0001991	XP_023396946.1	XP_006528531.1, NP_001189429.2
OG0001992	XP_003414821.1	NP_064652.2, NP_001072981.1
OG0001993	XP_023409617.1	XP_006541566.1, NP_001028594.1, XP_036020565.1, NP_001160053.1
OG0001994	XP_010599412.1	NP_001388780.1, NP_001388779.1, NP_001025464.1, NP_001388778.1
OG0001995	XP_003404143.1, XP_003404156.1, XP_003404147.1	NP_001010829.1, NP_001010839.1, NP_001010835.1, NP_001010827.1, NP_001010838.1
OG0001997	XP_023398232.1	NP_079873.1
OG0001998	XP_023403946.1	NP_001349385.1, NP_032450.1
OG0002001	XP_023414401.1	NP_034916.1
OG0002002	XP_003408134.1, XP_010586501.1, XP_010586504.1	XP_011242939.1
OG0002004	XP_023402900.1	XP_006518654.1
OG0002005	XP_010592105.1	NP_001405485.1
OG0002005	XP_003406327.1	NP_079744.1
OG0002006	XP_010589263.1	XP_011246228.1, NP_032511.3
OG0002007	XP_010586971.1	NP_703187.2
OG0002008	XP_003406869.1	XP_036012041.1, NP_034370.2
OG0002009	XP_023411409.1	NP_001185945.1, XP_006540107.1, NP_067266.1, NP_001185944.1
OG0002010	XP_003408394.2	NP_035421.2
OG0002011	XP_023401683.1	XP_006524794.1, NP_067382.1
OG0002011	XP_023401673.1	NP_067381.1, XP_036016607.1
OG0002012	XP_003417202.2	NP_001411746.1, NP_001411745.1, XP_006531108.1, NP_036128.3
OG0002013	XP_023404470.1	XP_011246598.1, NP_001316556.1
OG0002015	XP_003407601.2	NP_667035.1
OG0002016	XP_003421390.1	NP_667007.1, NP_667008.1, NP_001011850.1
OG0002018	XP_003405541.1	NP_666884.2, NP_666885.1
OG0002019	XP_003421508.1, XP_023396343.1, XP_003421502.1	NP_667309.1, NP_667305.1
OG0002020	XP_023395654.1, XP_023395653.1	NP_032522.2, NP_001389967.1
OG0002021	XP_010584986.1	XP_006526561.1, NP_001170935.1, NP_898854.1
OG0002022	XP_023407271.1	NP_001157063.1, NP_001157062.1, NP_083351.1, XP_006512949.1
OG0002023	XP_010597148.1	NP_001107005.1, NP_001365987.1, NP_780603.1, NP_001107004.1
OG0002024	XP_010598952.1	XP_006517020.1, NP_001258326.1
OG0002025	XP_003406886.1	NP_937893.1
OG0002026	XP_023398989.1	NP_001277623.1, NP_001369413.1, NP_001240849.1, NP_001369411.1, NP_080546.1, NP_001369412.1, NP_001369410.1, NP_001369409.1, XP_006541180.1, NP_001277624.1
OG0002027	XP_003406577.1	NP_001166032.1, NP_064395.2, NP_975009.1, XP_006541075.1
OG0002029	XP_023395674.1	NP_032017.2
OG0002029	XP_010592483.1	NP_001004147.1
OG0002030	XP_010598601.1	NP_739566.1
OG0002031	XP_003420848.1	XP_011248850.1, NP_001161982.1, NP_001161983.1, NP_001161984.1, NP_666299.1, NP_001161981.1
OG0002032	XP_010589012.2	NP_001342137.1, NP_001342138.1, NP_032605.1, NP_001342134.1, NP_001342139.1, NP_001342136.1
OG0002033	XP_023405835.1	NP_722488.2, XP_006525925.1
OG0002034	XP_023401242.1	XP_006517714.1, NP_808381.1
OG0002036	XP_003415291.1	NP_001334149.1
OG0002037	XP_023410120.1	NP_001343422.1, XP_006539281.1
OG0002038	XP_010591677.1	NP_081339.1
OG0002039	XP_003413482.1	NP_079613.3
OG0002040	XP_023409575.1	NP_001413509.1, XP_006517539.1
OG0002041	XP_003405714.1, XP_023410344.1, XP_010593399.1	XP_017177182.1, NP_068360.4
OG0002042	XP_010592104.1	XP_036008876.1, NP_848822.2
OG0002043	XP_003413811.1	NP_766492.2
OG0002044	XP_010589644.1	NP_001318011.1
OG0002045	XP_010589689.1, XP_003411335.2	NP_080031.1
OG0002046	XP_010587502.1	XP_017169349.1, NP_001303602.1, NP_033189.2, NP_001303603.1
OG0002047	XP_003404683.1	NP_001124526.1
OG0002048	XP_010593952.1	NP_068560.1
OG0002048	XP_003404667.1	NP_001074637.1
OG0002050	XP_003407933.1	NP_035299.4, XP_006520097.1
OG0002051	XP_003413549.2	NP_001344177.1, NP_001157194.1, XP_006539211.1, NP_001157193.1
OG0002052	XP_023394809.1, XP_010597950.1, XP_003420104.1	NP_001161056.1, NP_001028955.1, NP_001161058.1, NP_001121982.1, NP_001028497.1
OG0002053	XP_010596225.1	NP_077228.1
OG0002054	XP_023395363.1	NP_001289184.1
OG0002055	XP_003420719.1	NP_035971.1, XP_006533340.1, NP_001277963.1
OG0002056	XP_003411198.1, XP_023405290.1, XP_023405291.1	NP_766460.2, XP_011238824.1
OG0002057	XP_023407936.1	NP_001034248.1, NP_001034247.1, NP_001271243.1, NP_001034246.1, NP_001271241.1, NP_067377.4
OG0002058	XP_003418210.1	NP_080848.1
OG0002059	XP_010595118.1, XP_010595117.1, XP_003417126.1, XP_010595119.1, XP_010595116.1	XP_006530985.1, NP_666329.2
OG0002060	XP_003417208.1	NP_031942.2
OG0002061	XP_023412376.1	NP_001317977.1, XP_006530763.1, NP_032243.2
OG0002062	XP_023412271.1	XP_006531304.1, NP_067466.1
OG0002063	XP_010596885.1	NP_573508.1
OG0002064	XP_010594609.1	XP_036020889.1, NP_038865.1, NP_001123948.1
OG0002065	XP_023397415.1	NP_001268953.1, NP_001268942.1, NP_001268941.1
OG0002066	XP_023414677.1	NP_001186199.1, NP_001170778.1
OG0002067	XP_023413073.1	NP_001387167.1, NP_001387164.1, NP_001387166.1, NP_001387165.1
OG0002068	XP_003409573.1	NP_081469.2, XP_036019191.1
OG0002069	XP_003418520.1	NP_001343453.1, NP_766113.1, XP_006501352.1
OG0002070	XP_003410400.1	XP_006529510.1, NP_766231.2, NP_001399623.1
OG0002071	XP_023409867.1	XP_036019245.1, NP_001276530.1, NP_001276529.1, NP_001027586.1, NP_001027585.1, NP_690012.2, NP_082736.1
OG0002072	XP_003408810.2	NP_031673.2, XP_036013066.1, NP_001272987.1, NP_001272978.1, NP_001021385.1
OG0002073	XP_003408826.1	NP_766002.2, XP_006516332.1
OG0002074	XP_023409563.1	NP_001343303.1, NP_031831.2, XP_036012169.1
OG0002075	XP_003414350.1	NP_033547.1
OG0002076	XP_023409423.1	NP_034476.1, XP_006532296.1
OG0002077	XP_003414716.1	NP_083241.1, XP_006534438.1, NP_001156861.1
OG0002078	XP_003407800.1, XP_023400718.1	NP_666365.1
OG0002079	XP_023413193.1	NP_776094.2
OG0002080	XP_003405174.3	NP_001345901.1
OG0002081	XP_003419808.1	NP_083068.1
OG0002082	XP_010591849.1, XP_003413647.1	NP_001404867.1, NP_742051.1, NP_001404865.1, NP_001404866.1
OG0002083	XP_010595561.1	NP_001269048.1, NP_001269047.1
OG0002084	XP_023408481.1	XP_006514791.1, NP_001346091.1, NP_795956.1
OG0002085	XP_023400920.1, XP_003407339.1, XP_010586147.1	NP_766454.1, XP_006537972.1
OG0002086	XP_003407909.1	NP_001073853.1, NP_001073855.1
OG0002087	XP_010586102.1	XP_006538271.1, NP_080619.2
OG0002088	XP_003407842.1	NP_001263375.1, NP_001408060.1, NP_032551.3
OG0002089	XP_003422320.1	NP_001177378.1
OG0002090	XP_003403988.1	NP_001104569.1, NP_031695.1
OG0002091	XP_003403974.1	NP_001400264.1, NP_001334330.1, NP_001400267.1, NP_035043.1, NP_001334331.1, NP_001400271.1, NP_001400268.1, NP_001400263.1, NP_001400265.1, NP_001400266.1, NP_001400269.1, NP_001400272.1, NP_001361732.1, NP_001104302.1
OG0002092	XP_003408357.2	NP_001028391.2
OG0002093	XP_010600003.1	NP_001389975.1, NP_001158072.1, NP_001365915.1, NP_598452.2, NP_001365914.1, NP_001365913.1, NP_001343558.1, NP_082640.2, XP_030104578.1
OG0002094	XP_010600202.1, XP_023398086.1, XP_010599042.2	NP_001011866.1
OG0002094	XP_010597577.1	NP_667164.1, NP_001011776.1
OG0002095	XP_003409778.1	NP_059505.1
OG0002095	XP_003420932.2	XP_036022186.1
OG0002096	XP_003407296.1	NP_031506.1
OG0002096	XP_003410095.1	NP_031505.1
OG0002097	XP_023400229.1	NP_001074498.1
OG0002098	XP_003407123.1	NP_001398289.1, NP_001348176.1, NP_001398288.1, NP_001398287.1, NP_001398285.1, NP_064323.2, NP_001398282.1, NP_001398281.1, NP_001348177.1, NP_001158205.1, XP_036008133.1, NP_001158206.1
OG0002099	XP_023410324.1, XP_023410325.1	NP_001405911.1, NP_001405908.1, NP_034343.2, NP_001405910.1, NP_001405909.1, XP_036019571.1
OG0002100	XP_010593604.1	XP_011238739.2, NP_001366208.1
OG0002101	XP_003417586.1	NP_058655.3
OG0002102	XP_003415686.2	NP_663758.2
OG0002103	XP_003420265.1	NP_536715.3
OG0002105	XP_023410784.1	XP_017168032.1, NP_033940.1, NP_001271338.1
OG0002106	XP_003415901.1, XP_003415877.1	NP_001104788.1, NP_083659.1
OG0002107	XP_003411951.1	NP_035989.1, XP_036013300.1
OG0002108	XP_010590340.1	NP_001265511.1, NP_001265513.1, NP_032921.1, NP_001265512.1, NP_001265510.1
OG0002109	XP_003409664.1	XP_006502275.1, NP_001136424.1
OG0002111	XP_010585647.1	NP_038663.2
OG0002112	XP_003407222.1	XP_006503620.2, NP_033178.2, NP_001230002.1, NP_001230001.1
OG0002113	XP_023398121.1	NP_001165536.1, NP_001165535.1, NP_001344754.1, NP_722472.1, XP_006536303.1
OG0002114	XP_010597341.1	NP_001389993.1, NP_001158040.1, NP_001389994.1, NP_001157954.1, NP_001157953.1, NP_035509.4, XP_036017386.1, NP_001157952.1
OG0002115	XP_003419672.1	NP_958813.1, XP_006527232.1
OG0002116	XP_003419689.1	NP_081688.2, XP_036017577.1
OG0002117	XP_003421446.1, XP_023396325.1	NP_666457.1, NP_667201.1
OG0002118	XP_003405919.1	NP_950186.3
OG0002119	XP_010588462.2	XP_036008144.1, NP_001371148.1
OG0002120	XP_023403721.1	NP_035087.3
OG0002121	XP_010588342.1	NP_001398091.1, NP_001398092.1, NP_001398090.1, NP_001398089.1, NP_001398083.1, NP_001398084.1, NP_059079.2, XP_006506444.1, NP_001398088.1, NP_001398087.1, NP_001398086.1, NP_001398085.1
OG0002122	XP_023403344.1	NP_001317993.1
OG0002123	XP_023403348.1	NP_001297374.1
OG0002124	XP_023408026.1	XP_011240630.1, NP_082446.2
OG0002125	XP_010599554.1	NP_001264194.1, NP_033351.1, NP_001345441.1
OG0002126	XP_010590536.1	NP_001390423.1
OG0002127	XP_023407066.1	NP_001411443.1, NP_001411441.1, NP_001234913.1, NP_001411442.1, XP_036014400.1, NP_001411444.1, NP_032905.2
OG0002128	XP_023407044.1, XP_023403960.1	NP_033455.1
OG0002129	XP_023411225.1	XP_006510809.1, NP_001028382.1
OG0002130	XP_003411525.1	NP_663509.2
OG0002131	XP_003411547.1	NP_035558.1, NP_001342183.1
OG0002132	XP_003411770.1	NP_001405469.1, NP_001405467.1, NP_001405466.1, NP_079975.2, NP_001405468.1
OG0002133	XP_010590085.1	NP_001103376.1
OG0002134	XP_023394490.1	NP_001398322.1
OG0002135	XP_023395056.1	XP_006530368.1
OG0002136	XP_003405100.1, XP_023396968.1	XP_011243797.1
OG0002137	XP_003421296.1	XP_006504381.1, NP_067286.1
OG0002138	XP_003410830.2	XP_006505930.1, NP_941006.2
OG0002139	XP_010593283.1	XP_006505720.1, NP_032540.2
OG0002140	XP_003405757.1, XP_010594005.1, XP_010594009.1	NP_001342574.1
OG0002141	XP_010587277.1	XP_006526679.3, NP_031637.1
OG0002142	XP_003419702.1	XP_011248163.1, NP_001272940.1, NP_598516.2, NP_001272936.1, NP_001272938.1
OG0002143	XP_010586682.1	NP_001334135.1
OG0002144	XP_023414542.1	XP_011238048.1
OG0002144	XP_003418775.1	XP_006500389.1, NP_083508.1
OG0002145	XP_010592071.1	NP_001298005.1, XP_006511149.1
OG0002146	XP_003418750.1	NP_666429.2, XP_017171512.1, NP_666428.2
OG0002147	XP_010588765.2, XP_010588766.1, XP_023404293.1, XP_023404292.1, XP_023404295.1	NP_031435.1
OG0002148	XP_003414245.1, XP_003414246.1, XP_003414247.1, XP_003414244.1	NP_001357683.1, NP_631937.1
OG0002149	XP_010591247.1	NP_001025060.1, XP_006521961.1
OG0002150	XP_023409694.1, XP_003414878.1	NP_001162050.1, NP_079979.2
OG0002151	XP_003416300.1, XP_010594352.1	NP_033276.1
OG0002152	XP_023411579.1	XP_006516968.1
OG0002153	XP_023411463.1	NP_001074520.1
OG0002154	XP_023398520.1	XP_006496001.1, NP_705784.1
OG0002155	XP_010600491.1, XP_003406133.1	XP_011236737.1, NP_067270.1, NP_001177913.1, NP_001177914.1
OG0002156	XP_023405139.1	NP_001344171.1, NP_082137.1, XP_006535661.1
OG0002157	XP_023409943.1	XP_011237176.2, NP_001399755.1
OG0002158	XP_003420901.1, XP_010598727.1	NP_001345385.1
OG0002159	XP_023407177.1	NP_001371195.1, NP_001371196.1
OG0002160	XP_003404720.1	NP_001349147.1, XP_017170865.1
OG0002160	XP_010590993.1	NP_034076.1
OG0002162	XP_010585375.1, XP_023399896.1	NP_001098118.1, XP_036009214.1, NP_001371875.1, XP_036009253.1, NP_001361579.2, XP_036008379.1, XP_036009215.1, NP_001098114.2
OG0002164	XP_010600344.2, XP_010597113.1, XP_010597274.2	XP_017174154.1, XP_006528697.1, NP_113567.1, NP_899143.3, NP_001229866.1, NP_001092791.2, NP_808586.2, XP_006528528.1, NP_083735.3, XP_017174123.1
OG0002165	XP_003415651.1	NP_062344.1
OG0002166	XP_023414577.1	NP_001265534.1, NP_033496.1
OG0002167	XP_003414297.1, XP_003414298.1	XP_017169700.1, NP_598789.1
OG0002168	XP_023414082.1	NP_775589.1
OG0002168	XP_023408038.1	NP_075615.2
OG0002169	XP_010591918.1	NP_033022.1
OG0002169	XP_003419620.1	NP_083852.1
OG0002170	XP_003408621.1	NP_032105.2, XP_017170449.1
OG0002171	XP_023410109.1	NP_001272413.1, XP_017175475.1, NP_001272411.1, NP_001272412.1, NP_032335.2, NP_001408036.1, NP_001408035.1
OG0002172	XP_023413496.1	XP_036012962.1, NP_001258536.1, NP_031748.2
OG0002173	XP_010588365.1, XP_010588366.1, XP_010588367.1	XP_036021602.1, NP_780522.1
OG0002174	XP_003418528.2	NP_001254550.1
OG0002175	XP_023394772.1	XP_036008591.1, NP_001369387.1, NP_034661.1, NP_001350911.1
OG0002177	XP_003416035.1	NP_062747.1, XP_006528985.1
OG0002178	XP_003420700.2	NP_034733.4
OG0002181	XP_003415618.1	NP_067448.1
OG0002182	XP_010590548.1, XP_003414658.1, XP_003407369.1	XP_036014175.1, NP_036105.2
OG0002184	XP_010588836.1	XP_036016836.1
OG0002184	XP_003413936.1	NP_033812.3
OG0002185	XP_010590470.1	NP_001098000.1, XP_006533994.1, NP_001098026.1, NP_001098027.1, NP_079702.3
OG0002187	XP_003406320.1	NP_035930.1
OG0002189	XP_003415842.1	XP_036010125.1, NP_079712.1
OG0002190	XP_010587975.1	NP_666700.1
OG0002190	XP_003421853.2, XP_003421897.1	NP_666725.1
OG0002191	XP_003414766.1	NP_034796.1
OG0002191	XP_003414765.1	NP_001028569.2
OG0002192	XP_003421410.1	NP_666783.1
OG0002193	XP_003421528.1, XP_010599264.1	NP_667294.1, NP_667032.2
OG0002194	XP_023406667.1, XP_023406388.1	NP_667244.2, NP_667245.1
OG0002195	XP_023409739.1	NP_666928.2
OG0002195	XP_023409738.1	NP_666927.2
OG0002196	XP_003421498.1, XP_003421496.1	NP_001011793.1, NP_001011845.2
OG0002198	XP_003406823.1	NP_001258645.1, NP_001288301.1, NP_032586.1, NP_001258646.1
OG0002199	XP_010585801.1	NP_032049.1
OG0002200	XP_010585034.1	NP_001347902.1
OG0002201	XP_023395985.1	NP_056574.2, XP_006516992.1
OG0002202	XP_003406646.1	NP_079624.1
OG0002203	XP_023399827.1	NP_001008422.1
OG0002204	XP_023399005.1	NP_001405961.1, NP_001405962.1
OG0002207	XP_023395594.1	NP_032787.1, NP_001274142.1, NP_001104543.1, NP_001403939.1, NP_001403938.1, NP_001403937.1, NP_001403936.1, NP_001274146.1, NP_001403935.1
OG0002208	XP_010589014.2	NP_666226.2
OG0002209	XP_003414813.1	NP_001343288.1, NP_079819.1
OG0002210	XP_010589714.1, XP_023405890.1, XP_010589711.1, XP_003404619.1	NP_001348196.1, NP_001158093.1, NP_001348193.1, NP_064396.2, XP_006526189.1, NP_001348194.1, NP_001348195.1, NP_001348198.1, NP_001348197.1
OG0002211	XP_023401306.1, XP_023401305.1, XP_023401307.1, XP_003408145.1	NP_849249.1
OG0002212	XP_003416327.1	NP_077787.3
OG0002213	XP_023411382.1	NP_001032812.2, NP_031432.2, XP_006530643.1, NP_001103226.1, NP_001032813.1
OG0002214	XP_003415524.1	NP_001029138.1, NP_058591.2
OG0002215	XP_023410231.1	NP_694800.1
OG0002216	XP_003415434.1	XP_006539101.1, NP_080659.1
OG0002217	XP_010591387.1	NP_001139779.1, NP_077723.3, XP_011248609.1, NP_062675.2
OG0002218	XP_003413825.1	NP_032615.2
OG0002218	XP_003413826.1	NP_032614.2
OG0002219	XP_010600310.1	NP_598485.1
OG0002220	XP_010588077.2	NP_598535.1
OG0002221	XP_010598467.1	NP_808561.2, XP_006541021.1
OG0002222	XP_010592141.1	NP_001347638.1
OG0002223	XP_023405564.1	XP_030110224.1, NP_035734.4, NP_001371100.1, NP_001346109.2
OG0002224	XP_023395885.1, XP_003411343.2, XP_003411428.1	NP_035532.2
OG0002225	XP_023402761.1	NP_001073293.1
OG0002226	XP_023402813.1	NP_001157846.1, NP_001386598.1, XP_006513025.2, NP_001386600.1
OG0002227	XP_023402817.1	XP_006514102.1, NP_001186116.1, NP_081213.1
OG0002228	XP_003404682.2	XP_011247125.1, NP_683514.2, NP_945174.1
OG0002229	XP_003404680.1, XP_010590561.1	NP_598556.1
OG0002230	XP_003404672.1	NP_036021.1, XP_006533369.1
OG0002231	XP_003407925.1	XP_011243643.1, NP_001008420.1
OG0002232	XP_003418866.1	NP_082453.2, NP_001347672.1, NP_001347673.1, XP_036009503.1
OG0002233	XP_010595436.1	NP_473437.2, NP_001171318.1, NP_001171316.1, NP_001171317.1, XP_030099888.1
OG0002235	XP_010594893.1	NP_766148.2, XP_011247218.1
OG0002236	XP_003411087.1	NP_033777.1, NP_001171073.1, XP_017175412.1, NP_001171076.1, NP_001171075.1
OG0002237	XP_003411114.2	XP_036020444.1, NP_084261.1
OG0002238	XP_010589572.1	XP_011238834.1, NP_001412052.1, NP_001412053.1, NP_001272887.1, NP_001272885.1, NP_766462.2
OG0002239	XP_023407876.1	NP_001075026.1
OG0002240	XP_003413532.1	NP_065594.2
OG0002241	XP_003418203.1, XP_010596129.1, XP_010596128.1	NP_001365945.1, NP_001365946.1, NP_001365947.1, NP_780394.1, XP_006531460.1
OG0002242	XP_003417064.1, XP_010595032.1	XP_036010147.1, NP_080757.1
