Orthogroup	Loxodonta_africana	Urocitellus_parryii
OG0000409	XP_010600428.1	XP_026270166.1
OG0000409	XP_023397819.1, XP_010600425.1, XP_010600417.1	XP_026270167.1
OG0000411	XP_003407872.1, XP_003407594.1	XP_026235477.1, XP_026235523.1, XP_026235563.1, XP_026235537.1
OG0000412	XP_023400486.1	XP_026266402.1
OG0000413	XP_023414783.1	XP_026256249.1, XP_026256247.1, XP_026256251.1, XP_026256250.1, XP_026256248.1
OG0000414	XP_023405180.1	XP_026261938.1
OG0000416	XP_010600282.1	XP_026270981.1
OG0000417	XP_023400828.1	XP_026246937.1
OG0000417	XP_023399929.1	XP_026246887.1
OG0000418	XP_010586048.1	XP_026246923.1, XP_026246922.1, XP_026246921.1
OG0000419	XP_010585762.1	XP_026244486.1
OG0000421	XP_023406212.1	XP_026269399.1
OG0000422	XP_003416744.1	XP_026264663.1
OG0000423	XP_023405972.1	XP_026239028.1
OG0000425	XP_023415618.1	XP_026266069.1
OG0000427	XP_023407161.1, XP_023407162.1	XP_026236105.1, XP_026237760.1, XP_026268373.1
OG0000428	XP_003412539.1, XP_003412538.1, XP_010590710.1, XP_023406813.1	XP_026251625.1, XP_026251616.1
OG0000431	XP_023414673.1, XP_023414674.1, XP_003418887.1	XP_026236717.1, XP_026236715.1, XP_026236716.1, XP_026247938.1, XP_026247937.1, XP_026247871.1
OG0000432	XP_003417411.1	XP_026266600.1
OG0000432	XP_003405721.1	XP_026269961.1
OG0000433	XP_003423509.2, XP_023401118.1	XP_026237360.1
OG0000434	XP_003413375.1	XP_026255638.1
OG0000436	XP_003408581.1	XP_026246828.1
OG0000437	XP_010584749.1, XP_023398931.1, XP_010584748.1, XP_023398932.1	XP_026259566.1, XP_026259568.1, XP_026259567.1, XP_026259569.1, XP_026259570.1
OG0000438	XP_023406785.1	XP_026244106.1
OG0000438	XP_023395464.1	XP_026256264.1
OG0000439	XP_003410960.1	XP_026268794.1, XP_026268788.1
OG0000440	XP_003408747.1, XP_023402004.1, XP_023402006.1	XP_026240927.1, XP_026240928.1
OG0000441	XP_023409199.1	XP_026263991.1, XP_026263992.1, XP_026263993.1
OG0000442	XP_023397183.1	XP_026271179.1, XP_026235716.1, XP_026235715.1
OG0000443	XP_023415561.1	XP_026254126.1
OG0000445	XP_003416197.1	XP_026263974.1
OG0000445	XP_003416251.1	XP_026263973.1
OG0000446	XP_023405736.1, XP_010589797.1, XP_010589798.1, XP_003411703.1	XP_026248832.1
OG0000446	XP_023409681.1	XP_026252571.1
OG0000447	XP_003412504.1	XP_026254625.1, XP_026254628.1, XP_026254624.1, XP_026254627.1, XP_026254623.1, XP_026254629.1
OG0000448	XP_003419204.1, XP_023415029.1	XP_026269140.1
OG0000449	XP_003410441.1	XP_026258985.1
OG0000450	XP_023407463.1, XP_023407462.1, XP_003413003.1, XP_023407461.1	XP_026249825.1
OG0000451	XP_003405850.1, XP_023398632.1, XP_010601145.1	XP_026245304.1, XP_026245305.1, XP_026245303.1
OG0000452	XP_010593191.1	XP_026236357.1, XP_026236354.1, XP_026236356.1, XP_026236358.1
OG0000454	XP_023403218.1, XP_023403219.1, XP_023403220.1, XP_003409615.1	XP_026258600.1
OG0000455	XP_003409483.1	XP_026269496.1, XP_026269488.1, XP_026269495.1
OG0000456	XP_010584723.1	XP_026266304.1
OG0000457	XP_023414386.1	XP_026255273.1
OG0000457	XP_003405184.1	XP_026254187.1
OG0000458	XP_010597810.1	XP_026239678.1
OG0000458	XP_023394604.1	XP_026239709.1
OG0000458	XP_003409956.1	XP_026245817.1
OG0000459	XP_023396421.1, XP_023396422.1	XP_026269979.1, XP_026269978.1, XP_026269981.1, XP_026269980.1
OG0000460	XP_003420299.1	XP_026261215.1
OG0000460	XP_023397748.1, XP_003422858.1, XP_010600361.1	XP_026268494.1
OG0000461	XP_003421456.2, XP_003421454.1, XP_003421455.1, XP_003421453.1, XP_010599231.1, XP_010599230.1, XP_023396326.1, XP_003421392.2, XP_003421452.2, XP_003421450.1, XP_010599229.1, XP_003421449.1, XP_023396332.1	XP_026262316.1, XP_026262360.1
OG0000462	XP_003423580.1, XP_023414555.1, XP_003423524.1, XP_003423557.2, XP_023398522.1, XP_003418758.1, XP_003423526.1, XP_023414553.1, XP_003418754.1, XP_003418762.1	XP_026237366.1, XP_026237361.1, XP_026237353.1
OG0000464	XP_023399900.1	XP_026235534.1, XP_026235532.1, XP_026235533.1, XP_026235536.1, XP_026235535.1, XP_026235539.1, XP_026235538.1
OG0000465	XP_023411402.1, XP_003416372.1	XP_026247000.1, XP_026247001.1, XP_026247002.1, XP_026246999.1
OG0000467	XP_023412847.1, XP_003417476.1	XP_026260382.1, XP_026260381.1
OG0000468	XP_010595618.1	XP_026241315.1, XP_026241316.1
OG0000469	XP_003414500.1, XP_003414499.1, XP_003414497.1, XP_003414498.1	XP_026242602.1, XP_026242603.1, XP_026242927.1, XP_026242926.1
OG0000470	XP_023409262.1, XP_010592556.1	XP_026253813.1, XP_026253814.1
OG0000471	XP_023400855.1, XP_010586096.1, XP_023400856.1, XP_023400857.1, XP_023400854.1, XP_023400858.1, XP_010586095.1	XP_026270735.1
OG0000472	XP_003408467.1	XP_026238843.1
OG0000472	XP_023406039.1	XP_026264085.1
OG0000473	XP_003408239.1, XP_010586816.1, XP_010586817.1	XP_026262897.1, XP_026262912.1, XP_026262894.1, XP_026262904.1
OG0000474	XP_023397367.1	XP_026265622.1, XP_026265620.1, XP_026265621.1, XP_026238600.1
OG0000475	XP_010593550.1	XP_026249174.1, XP_026249172.1
OG0000476	XP_010590383.1	XP_026254884.1
OG0000477	XP_010597316.1	XP_026252474.1
OG0000477	XP_003419604.1	XP_026252477.1, XP_026252476.1, XP_026252478.1
OG0000479	XP_023411526.1, XP_023397226.1, XP_023397224.1, XP_023397225.1, XP_023397227.1	XP_026269194.1
OG0000482	XP_023403305.1	XP_026258573.1
OG0000482	XP_023415543.1	XP_026263441.1
OG0000483	XP_023409519.1, XP_010592822.1, XP_023409518.1	XP_026264068.1
OG0000484	XP_003408057.1	XP_026247108.1
OG0000485	XP_023395766.1	XP_026248576.1
OG0000485	XP_010598742.1, XP_023395735.1, XP_003420917.1	XP_026235703.1
OG0000487	XP_023409174.1, XP_003414430.1	XP_026263147.1
OG0000487	XP_003414431.1	XP_026263137.1
OG0000488	XP_010584998.1	XP_026260413.1
OG0000489	XP_023400414.1	XP_026266337.1
OG0000490	XP_023410178.1, XP_023410177.1, XP_023410176.1, XP_023410180.1, XP_023410179.1	XP_026247445.1, XP_026247444.1
OG0000491	XP_003403935.1	XP_026250275.1
OG0000491	XP_023404198.1	XP_026249363.1
OG0000491	XP_010593637.2	XP_026247446.1
OG0000492	XP_003420176.1, XP_003420590.1	XP_026245905.1
OG0000492	XP_023408763.1	XP_026244034.1
OG0000493	XP_010594868.1	XP_026246416.1, XP_026246415.1
OG0000494	XP_003418135.1	XP_026248786.1, XP_026248787.1
OG0000495	XP_010600109.1, XP_010600110.1, XP_010600111.1	XP_026268934.1, XP_026268933.1, XP_026268932.1
OG0000496	XP_010592653.1	XP_026263002.1, XP_026259914.1, XP_026262979.1
OG0000497	XP_023394443.1	XP_026243218.1
OG0000498	XP_010593050.1	XP_026268728.1, XP_026268727.1
OG0000499	XP_023401955.1, XP_023401952.1, XP_003408710.1, XP_023401954.1, XP_023401951.1, XP_023401953.1, XP_010586952.1	XP_026239911.1, XP_026239910.1
OG0000500	XP_023402269.1, XP_003408870.2, XP_023402270.1	XP_026250058.1
OG0000501	XP_023409524.1, XP_003414552.1	XP_026264076.1, XP_026264075.1, XP_026264081.1, XP_026264077.1, XP_026264080.1, XP_026264082.1, XP_026264078.1
OG0000502	XP_003405171.1	XP_026254122.1
OG0000502	XP_010596254.1	XP_026254123.1
OG0000503	XP_023401702.1	XP_026240197.1
OG0000504	XP_010585543.1, XP_003407154.1, XP_010585542.1, XP_010585544.1	XP_026264590.1, XP_026264568.1, XP_026264563.1, XP_026264575.1, XP_026264582.1, XP_026264552.1
OG0000506	XP_023415465.1, XP_003419541.1, XP_023415461.1, XP_023415463.1, XP_023415458.1, XP_023415459.1, XP_023415462.1, XP_023415464.1	XP_026263330.1, XP_026263329.1, XP_026263331.1
OG0000507	XP_003405916.1	XP_026235480.1
OG0000508	XP_003411506.1	XP_026265541.1
OG0000509	XP_023411372.1	XP_026256473.1, XP_026268901.1
OG0000510	XP_003419071.1	XP_026255171.1
OG0000511	XP_003419098.1, XP_003419099.1, XP_003419100.1	XP_026255199.1
OG0000512	XP_023398704.1	XP_026257253.1, XP_026257254.1
OG0000513	XP_010599679.1, XP_023396918.1	XP_026235763.1
OG0000514	XP_003407517.3	XP_026242111.1
OG0000514	XP_003407519.2, XP_023398359.1	XP_026266124.1, XP_026266125.1
OG0000514	XP_003407535.1	XP_026266123.1
OG0000515	XP_023394974.1	XP_026258713.1
OG0000517	XP_023415641.1	XP_026238516.1
OG0000518	XP_023398018.1, XP_003423174.1, XP_003423165.1	XP_026236239.1
OG0000518	XP_003423173.1, XP_023398249.1	XP_026236233.1
OG0000518	XP_010600585.1	XP_026236235.1
OG0000520	XP_003420821.1	XP_026267362.1
OG0000521	XP_010591700.1	XP_026253761.1, XP_026253762.1
OG0000521	XP_010591699.1	XP_026253672.1
OG0000522	XP_003413504.1	XP_026266100.1
OG0000523	XP_003420658.1	XP_026262756.1
OG0000524	XP_010585522.1	XP_026263921.1
OG0000524	XP_010595364.1	XP_026264177.1
OG0000525	XP_023412495.1	XP_026260575.1
OG0000525	XP_023395473.1	XP_026237502.1
OG0000526	XP_003411205.1	XP_026238461.1
OG0000527	XP_010591441.2	XP_026253700.1, XP_026253701.1
OG0000528	XP_010595126.1	XP_026254995.1, XP_026254994.1
OG0000529	XP_023411761.1	XP_026256135.1
OG0000530	XP_010596943.1, XP_010596945.1, XP_010596946.1, XP_010596944.1	XP_026261733.1
OG0000531	XP_023405000.1, XP_023405001.1, XP_023404999.1, XP_010589288.1, XP_010589289.1, XP_003410919.1	XP_026244238.1, XP_026244237.1
OG0000532	XP_023402226.1	XP_026257788.1, XP_026257795.1
OG0000533	XP_023402424.1	XP_026270909.1
OG0000534	XP_010595299.1, XP_003417339.1	XP_026262425.1, XP_026262424.1
OG0000535	XP_023413032.1	XP_026241522.1, XP_026241518.1, XP_026241517.1, XP_026241516.1, XP_026241519.1, XP_026241520.1, XP_026241521.1
OG0000536	XP_023413026.1, XP_003417596.1	XP_026241541.1
OG0000537	XP_003419931.1, XP_023394475.1	XP_026243789.1
OG0000537	XP_003423738.2, XP_010597724.1	XP_026243782.1, XP_026243781.1
OG0000538	XP_023406599.1	XP_026251646.1
OG0000538	XP_010598873.1	XP_026239203.1
OG0000538	XP_023404483.1	XP_026263060.1
OG0000539	XP_023401713.1	XP_026239316.1
OG0000539	XP_023400148.1, XP_023402858.1	XP_026239318.1
OG0000540	XP_003417952.2	XP_026251808.1
OG0000540	XP_010598587.1	XP_026267044.1
OG0000541	XP_023397378.1	XP_026265557.1
OG0000542	XP_003407164.1	XP_026247315.1
OG0000543	XP_023403810.1, XP_010588388.1	XP_026235595.1, XP_026235596.1
OG0000544	XP_023402606.1	XP_026250540.1
OG0000545	XP_003414833.1	XP_026264853.1
OG0000545	XP_003422834.1	XP_026238080.1
OG0000547	XP_023415503.1, XP_023415295.1	XP_026252324.1
OG0000548	XP_010584629.1	XP_026245257.1
OG0000550	XP_023414283.1, XP_010596482.1	XP_026240511.1
OG0000551	XP_023394750.1	XP_026264940.1
OG0000552	XP_003405746.1, XP_023410689.1, XP_023410686.1	XP_026248105.1
OG0000553	XP_003405772.1	XP_026257231.1, XP_026257229.1
OG0000554	XP_023401581.1	XP_026239781.1
OG0000555	XP_010586695.1, XP_010586696.1	XP_026239431.1, XP_026239423.1
OG0000556	XP_023403948.1, XP_023403947.1	XP_026249359.1
OG0000557	XP_010588648.1, XP_010588649.1, XP_003410373.1	XP_026267480.1
OG0000558	XP_003416460.1	XP_026263451.1
OG0000558	XP_003416464.1	XP_026263450.1
OG0000560	XP_003405165.1	XP_026254075.1
OG0000560	XP_003414284.1	XP_026242862.1
OG0000561	XP_003407366.1	XP_026243737.1
OG0000562	XP_003412074.1, XP_003412073.1, XP_003412223.1, XP_003412224.1	XP_026265348.1
OG0000563	XP_010600422.2, XP_023398031.1, XP_003422932.1, XP_003423192.1, XP_003423191.1, XP_003423442.1	XP_026237566.1
OG0000564	XP_023412179.1, XP_023412178.1, XP_003416945.1	XP_026246256.1
OG0000565	XP_003421593.1, XP_003421594.1	XP_026256793.1
OG0000566	XP_003416950.2	XP_026246322.1
OG0000567	XP_023401820.1, XP_010594094.1	XP_026250941.1
OG0000568	XP_003423458.1	XP_026259573.1
OG0000569	XP_023395640.1	XP_026247060.1
OG0000571	XP_010593369.1, XP_023410108.1	XP_026259406.1, XP_026259407.1
OG0000572	XP_003417123.1	XP_026255079.1, XP_026255078.1
OG0000574	XP_023401737.1, XP_003408223.1	XP_026263011.1, XP_026263023.1, XP_026263030.1, XP_026263017.1, XP_026263005.1
OG0000575	XP_003421688.1, XP_023396415.1, XP_010599296.1	XP_026269996.1
OG0000576	XP_023411054.1, XP_023411055.1	XP_026260004.1, XP_026261641.1
OG0000577	XP_023396294.1	XP_026270757.1
OG0000577	XP_010599090.1	XP_026252056.1
OG0000578	XP_023406640.1	XP_026265367.1
OG0000579	XP_003414860.1	XP_026258430.1
OG0000579	XP_010594096.2	XP_026250930.1
OG0000580	XP_010595963.2, XP_003418003.1, XP_023413460.1, XP_003418002.1, XP_023413461.1	XP_026268524.1, XP_026268526.1, XP_026268523.1, XP_026268525.1
OG0000581	XP_010597072.2	XP_026264326.1
OG0000581	XP_023415064.1	XP_026264325.1
OG0000582	XP_010593745.1, XP_003405743.1	XP_026248161.1
OG0000583	XP_023395729.1, XP_023412023.1	XP_026262848.1
OG0000584	XP_023395157.1	XP_026254489.1, XP_026254491.1, XP_026254490.1, XP_026254487.1
OG0000585	XP_023414817.1, XP_003418992.1	XP_026258219.1, XP_026258203.1
OG0000586	XP_023407584.1, XP_023407575.1, XP_023407583.1	XP_026252073.1, XP_026250876.1
OG0000587	XP_023407499.1	XP_026251044.1
OG0000588	XP_023398007.1	XP_026263470.1, XP_026263473.1, XP_026263474.1, XP_026263472.1, XP_026263471.1
OG0000589	XP_003405860.1	XP_026245359.1, XP_026245355.1, XP_026245358.1, XP_026245357.1
OG0000590	XP_023397668.1	XP_026238085.1
OG0000591	XP_023410985.1, XP_023410984.1	XP_026250938.1, XP_026250940.1
OG0000592	XP_010596028.1	XP_026236083.1, XP_026269521.1, XP_026269519.1, XP_026269520.1
OG0000593	XP_003420411.1	XP_026263220.1
OG0000594	XP_010598051.1, XP_010591012.1, XP_003412765.1	XP_026235483.1
OG0000595	XP_003415387.1, XP_010591790.1, XP_003415386.1	XP_026253521.1
OG0000598	XP_023412989.1	XP_026255701.1
OG0000598	XP_010587055.1	XP_026257306.1
OG0000599	XP_003416187.1	XP_026248699.1, XP_026248701.1, XP_026248700.1
OG0000600	XP_010592672.2, XP_023406454.1	XP_026236472.1, XP_026236471.1, XP_026236470.1, XP_026236466.1, XP_026236463.1, XP_026236465.1, XP_026236467.1
OG0000602	XP_023396359.1	XP_026256726.1
OG0000602	XP_023396358.1	XP_026256827.1
OG0000603	XP_003407828.3	XP_026268276.1, XP_026268275.1
OG0000604	XP_010585803.1, XP_003407428.1	XP_026249822.1
OG0000605	XP_003406876.1	XP_026262128.1
OG0000605	XP_003406575.2	XP_026262091.1
OG0000606	XP_023398944.1	XP_026259539.1, XP_026259542.1, XP_026259538.1, XP_026259543.1, XP_026259541.1
OG0000607	XP_010584991.1	XP_026265315.1
OG0000607	XP_003422348.1	XP_026235868.1
OG0000608	XP_003420037.1, XP_010597804.1, XP_010597805.1, XP_023394600.1, XP_010597806.1, XP_010597803.1	XP_026239743.1
OG0000609	XP_010589681.1, XP_010589684.1, XP_010589683.1, XP_023405526.1	XP_026259341.1, XP_026259327.1, XP_026259333.1
OG0000610	XP_003404674.1, XP_010596048.2	XP_026244138.1
OG0000610	XP_003422489.1	XP_026243167.1
OG0000610	XP_010598373.1	XP_026253953.1
OG0000611	XP_003411023.1	XP_026244214.1, XP_026244215.1
OG0000612	XP_010587138.2	XP_026269576.1
OG0000613	XP_003414654.1	XP_026263589.1, XP_026263590.1
OG0000615	XP_010586202.1	XP_026253372.1
OG0000615	XP_023409646.1	XP_026269407.1
OG0000616	XP_003407370.1	XP_026243745.1
OG0000617	XP_003407608.1	XP_026270721.1
OG0000617	XP_003407880.1	XP_026270713.1
OG0000618	XP_003405306.1	XP_026252782.1
OG0000619	XP_003412549.1	XP_026265110.1
OG0000620	XP_010585458.1, XP_003406926.1, XP_023400006.1	XP_026266422.1, XP_026266423.1, XP_026266421.1
OG0000621	XP_023396321.1	XP_026262344.1, XP_026262345.1, XP_026262346.1
OG0000622	XP_023403510.1	XP_026239585.1
OG0000623	XP_023408005.1	XP_026245831.1
OG0000624	XP_023408686.1	XP_026243510.1, XP_026243511.1
OG0000624	XP_023397038.1	XP_026270515.1
OG0000625	XP_003420088.1, XP_023394717.1, XP_023394718.1	XP_026235293.1, XP_026235292.1, XP_026235291.1
OG0000626	XP_023406696.1	XP_026251656.1
OG0000627	XP_010589218.1, XP_010589219.1, XP_023404846.1, XP_023404841.1, XP_003410853.1	XP_026271061.1, XP_026238566.1, XP_026271246.1, XP_026271247.1
OG0000628	XP_023402519.1, XP_010587304.1, XP_023402517.1, XP_010587306.1, XP_010587305.1, XP_023402518.1	XP_026256965.1
OG0000629	XP_010587296.2	XP_026244972.1
OG0000630	XP_023414402.1, XP_010596617.1	XP_026246985.1, XP_026246977.1, XP_026246998.1, XP_026247008.1, XP_026246991.1
OG0000631	XP_010596306.1	XP_026240556.1
OG0000632	XP_023398557.1	XP_026244835.1
OG0000633	XP_023404088.1, XP_023404089.1, XP_003410171.1, XP_023404086.1, XP_023404085.1, XP_023404091.1, XP_023404087.1, XP_023404090.1	XP_026243291.1
OG0000634	XP_003420427.1	XP_026269398.1
OG0000634	XP_003420428.1	XP_026238142.1
OG0000635	XP_003423525.1, XP_003418756.1, XP_023414554.1	XP_026238536.1
OG0000635	XP_003423579.1, XP_003418759.1, XP_023398358.1, XP_003418765.1	XP_026237342.1, XP_026237362.1
OG0000638	XP_003414007.1	XP_026257219.1
OG0000639	XP_003415649.1	XP_026248249.1
OG0000639	XP_003415648.1	XP_026248251.1, XP_026248252.1
OG0000640	XP_010589315.1	XP_026257005.1
OG0000641	XP_003409795.1	XP_026238846.1
OG0000642	XP_003419055.1	XP_026237581.1
OG0000642	XP_003417316.1	XP_026260640.1
OG0000643	XP_003418766.1, XP_003418764.1, XP_010596705.1	XP_026237373.1, XP_026237365.1, XP_026237364.1, XP_026237355.1, XP_026237343.1, XP_026237363.1, XP_026237354.1, XP_026237341.1
OG0000644	XP_003423237.1	XP_026236223.1
OG0000644	XP_003423169.1, XP_003423121.1, XP_003423134.1, XP_003422927.1, XP_023397818.1, XP_003423122.1, XP_003423137.1, XP_023398517.1, XP_003423135.1	XP_026236221.1
OG0000645	XP_003421497.1, XP_010599249.1, XP_003421499.1	XP_026256723.1
OG0000645	XP_003421598.3	XP_026256867.1
OG0000646	XP_023397994.1, XP_003423041.2, XP_003423120.2, XP_023398316.1, XP_003422712.2, XP_023398313.1	XP_026237386.1, XP_026236226.1
OG0000646	XP_003423496.2, XP_010600837.1, XP_003422677.1, XP_003423470.2, XP_023397911.1, XP_003422736.2, XP_003423039.1, XP_023397614.1, XP_003422735.1, XP_023397992.1, XP_023398296.1	XP_026236213.1
OG0000647	XP_003406312.1	XP_026260416.1
OG0000648	XP_003407771.1, XP_023400472.1, XP_003407794.1, XP_003407787.1, XP_003407633.1	XP_026236343.1, XP_026260243.1, XP_026257780.1
OG0000649	XP_023399783.1	XP_026259458.1, XP_026259459.1
OG0000650	XP_010589009.1, XP_010589010.1, XP_023404664.1, XP_010589008.1	XP_026263917.1, XP_026263916.1
OG0000651	XP_023401296.1	XP_026246627.1, XP_026246626.1
OG0000652	XP_023410056.1, XP_023410175.1	XP_026247439.1, XP_026247437.1, XP_026247436.1, XP_026247441.1, XP_026247440.1
OG0000653	XP_003415463.1	XP_026247552.1
OG0000655	XP_010586416.1, XP_023401208.1, XP_003408054.1, XP_023401209.1	XP_026266020.1, XP_026266019.1, XP_026266021.1
OG0000656	XP_010595649.1	XP_026241265.1
OG0000658	XP_010593248.1, XP_010593247.1, XP_003415274.1	XP_026244235.1, XP_026244233.1, XP_026244234.1
OG0000659	XP_010592767.1	XP_026242575.1
OG0000660	XP_003405153.1	XP_026254247.1
OG0000660	XP_003405825.1	XP_026262857.1
OG0000661	XP_003405243.1	XP_026242391.1
OG0000662	XP_023401687.1	XP_026239680.1
OG0000663	XP_023394559.1, XP_010597944.1, XP_023394539.1, XP_023394545.1, XP_023394556.1	XP_026254344.1
OG0000664	XP_023412917.1	XP_026248503.1, XP_026248502.1, XP_026248504.1, XP_026248501.1
OG0000665	XP_023412793.1, XP_023412794.1, XP_023412795.1	XP_026238473.1
OG0000666	XP_023403436.1	XP_026239775.1
OG0000667	XP_003418561.1	XP_026243109.1, XP_026243108.1, XP_026243110.1
OG0000668	XP_003411523.1, XP_010589890.1	XP_026257907.1, XP_026257906.1
OG0000669	XP_003419161.1	XP_026237486.1, XP_026237484.1, XP_026237485.1, XP_026237487.1
OG0000670	XP_010589161.1	XP_026235101.1
OG0000671	XP_003405794.1, XP_023411518.1, XP_010594470.1	XP_026256432.1, XP_026256433.1, XP_026256434.1, XP_026256431.1
OG0000672	XP_010596635.1, XP_023414414.1	XP_026249290.1
OG0000673	XP_023407342.1	XP_026245192.1, XP_026245193.1
OG0000674	XP_010598046.1, XP_003420240.2	XP_026243372.1
OG0000679	XP_003420440.1	XP_026237945.1
OG0000681	XP_023402713.1	XP_026264762.1
OG0000681	XP_003409296.2	XP_026264747.1
OG0000681	XP_010587430.1	XP_026264748.1
OG0000682	XP_003414745.1	XP_026242486.1
OG0000683	XP_010597015.1	XP_026268313.1, XP_026268317.1, XP_026268316.1, XP_026268314.1, XP_026268315.1, XP_026268312.1
OG0000684	XP_023408086.1	XP_026255582.1
OG0000685	XP_003420631.1, XP_010598426.2, XP_010598425.1	XP_026265152.1, XP_026265182.1
OG0000686	XP_023406738.1	XP_026244114.1
OG0000688	XP_023411467.1	XP_026240419.1, XP_026240418.1, XP_026240416.1, XP_026240417.1, XP_026240420.1
OG0000689	XP_023395702.1	XP_026261381.1
OG0000690	XP_003415532.1, XP_010593493.1, XP_010593494.1, XP_010593495.1	XP_026249202.1, XP_026249203.1
OG0000691	XP_003423072.1, XP_003422183.1, XP_003423101.1, XP_003404764.1, XP_003404762.1, XP_003405008.1	XP_026238660.1, XP_026236923.1
OG0000692	XP_003406592.2	XP_026262000.1
OG0000693	XP_003420755.1	XP_026264902.1
OG0000695	XP_023405589.1, XP_010589730.1, XP_023405588.1, XP_023405590.1	XP_026243053.1
OG0000696	XP_010596111.1	XP_026257696.1
OG0000697	XP_003417181.1	XP_026269070.1
OG0000697	XP_003417180.1	XP_026269072.1
OG0000699	XP_023414713.1	XP_026256220.1
OG0000700	XP_003415000.1	XP_026271001.1
OG0000700	XP_003414998.1	XP_026271002.1
OG0000701	XP_003406347.1, XP_023399558.1	XP_026249581.1
OG0000702	XP_010595286.1, XP_023412709.1	XP_026267497.1, XP_026267494.1, XP_026267495.1, XP_026267493.1
OG0000703	XP_003413011.1	XP_026250381.1
OG0000703	XP_003423046.1	XP_026251222.1, XP_026251223.1
OG0000704	XP_010596162.1, XP_023413139.1, XP_003405160.1, XP_010596161.1, XP_010596159.1, XP_010596163.1	XP_026254103.1
OG0000705	XP_010591879.1, XP_023408389.1, XP_023408386.1, XP_023408388.1, XP_003413662.1	XP_026267130.1
OG0000706	XP_023401124.1	XP_026235412.1
OG0000707	XP_010586026.1, XP_003407845.1	XP_026249103.1, XP_026249105.1
OG0000708	XP_010593999.1	XP_026242225.1, XP_026242220.1, XP_026242201.1, XP_026242210.1, XP_026242192.1
OG0000709	XP_010593560.1, XP_003415372.1, XP_010593559.1	XP_026268700.1
OG0000710	XP_023411252.1, XP_003416275.1	XP_026238640.1, XP_026238644.1, XP_026238649.1, XP_026238653.1, XP_026238634.1
OG0000711	XP_023411057.1, XP_023411059.1, XP_023411058.1, XP_023411056.1, XP_010594174.1	XP_026261652.1, XP_026261654.1, XP_026261651.1, XP_026261653.1
OG0000712	XP_010598254.1, XP_003420441.1, XP_010598253.1, XP_023395154.1, XP_010598255.1, XP_010598256.1, XP_023395153.1, XP_010598252.1	XP_026269897.1
OG0000713	XP_003412313.1	XP_026254949.1, XP_026254951.1, XP_026254950.1
OG0000714	XP_023406463.1	XP_026260659.1
OG0000716	XP_010596470.1	XP_026243052.1, XP_026243054.1
OG0000717	XP_010590101.1	XP_026248808.1
OG0000717	XP_003411823.1	XP_026248853.1
OG0000718	XP_003411597.2, XP_010589990.1	XP_026238933.1
OG0000719	XP_023406053.1	XP_026264153.1
OG0000720	XP_023402453.1	XP_026244923.1
OG0000721	XP_010592065.1	XP_026243556.1
OG0000722	XP_003414194.1	XP_026264242.1
OG0000723	XP_003417891.1	XP_026237446.1, XP_026238070.1, XP_026237444.1, XP_026238211.1, XP_026238150.1, XP_026238147.1, XP_026238149.1, XP_026238148.1
OG0000724	XP_010600300.1	XP_026246119.1, XP_026246121.1, XP_026246115.1, XP_026246117.1, XP_026246116.1, XP_026246120.1, XP_026246118.1
OG0000725	XP_010600235.1, XP_023397047.1, XP_010600237.1, XP_010600234.1, XP_023397056.1, XP_010600233.1, XP_023397058.1, XP_023397057.1, XP_023397061.1	XP_026246097.1
OG0000726	XP_010596043.1, XP_023413721.1, XP_023413722.1, XP_023413724.1, XP_023413723.1	XP_026243338.1
OG0000727	XP_010585724.1	XP_026235931.1, XP_026258666.1, XP_026258665.1, XP_026258664.1, XP_026258663.1
OG0000731	XP_003414926.1	XP_026261032.1, XP_026261034.1, XP_026261033.1
OG0000732	XP_023403553.1, XP_023403555.1, XP_023403554.1	XP_026245686.1
OG0000732	NP_001267807.1, XP_023403324.1	XP_026245682.1
OG0000733	XP_023394686.1, XP_010597877.1, XP_003420080.1	XP_026243069.1, XP_026243070.1, XP_026243066.1, XP_026243068.1
OG0000734	XP_010586609.1	XP_026250974.1
OG0000734	XP_023394491.1	XP_026246759.1
OG0000735	XP_010590253.1	XP_026258906.1
OG0000735	XP_003411674.1	XP_026257868.1
OG0000736	XP_023402053.1	XP_026239257.1, XP_026239256.1
OG0000736	XP_023410741.1	XP_026248125.1
OG0000737	XP_010588990.1, XP_010588986.1, XP_010588987.1, XP_023404635.1, XP_010588988.1	XP_026258157.1, XP_026258158.1
OG0000738	XP_003415022.1	XP_026263787.1
OG0000738	XP_003415025.3, XP_010593323.1	XP_026263773.1
OG0000739	XP_010585011.1, XP_010585002.1, XP_010585009.1, XP_023399518.1, XP_010585001.1, XP_023399516.1, XP_010585004.1	XP_026248960.1
OG0000740	XP_003404209.1	XP_026237289.1, XP_026237285.1
OG0000742	XP_010585815.1	XP_026245036.1, XP_026245037.1
OG0000742	XP_010592088.1	XP_026243958.1
OG0000744	XP_023396949.1	XP_026266267.1
OG0000744	XP_003404611.1	XP_026240145.1
OG0000745	XP_003417460.1	XP_026248180.1
OG0000746	XP_010595142.1, XP_010595139.1, XP_010595140.1	XP_026255037.1, XP_026255038.1
OG0000747	XP_010594558.1	XP_026261507.1
OG0000748	XP_023413194.1	XP_026238586.1
OG0000749	XP_023414204.1, XP_023414207.1, XP_023414211.1, XP_023414208.1, XP_023414205.1, XP_023414206.1, XP_023414210.1, XP_003418487.1	XP_026265766.1
