Orthogroup	Mus_musculus	Homo_sapiens
OG0001712	NP_081391.1, NP_001038948.1, NP_001347471.1	NP_653179.1, XP_011535664.3
OG0001713	NP_001346221.1, NP_001346163.1, NP_082299.1	NP_060425.2, NP_663747.1
OG0001715	NP_001191059.1, NP_064343.1, NP_001191058.1, XP_036012760.1	NP_112230.1, XP_006721726.1
OG0001716	NP_056622.1	NP_055410.1
OG0001716	NP_598790.1, NP_001405279.1	XP_047292375.1, NP_064586.1
OG0001717	NP_808445.2, NP_001348522.1, XP_017170063.1	NP_001338193.2, XP_011523263.1, NP_060411.3, NP_001373908.1, NP_001275700.2, NP_001373915.1, NP_001373912.1, NP_001275699.2, NP_001338194.2, NP_001094091.2, NP_001373907.1, NP_001094092.2
OG0001718	NP_082768.1	NP_001245324.1
OG0001719	NP_080818.1, XP_006534097.1	NP_001137252.1, XP_011523182.1, NP_001308169.1, NP_057100.1, NP_001308170.1, NP_001353655.1
OG0001720	NP_001390791.1, NP_001390792.1, NP_001390793.1, NP_034846.2, NP_001390785.1, NP_001390790.1, NP_001390794.1, NP_001390786.1, NP_001278174.1, NP_001390788.1, NP_001390789.1, XP_006532411.1, NP_001278176.1, NP_001390787.1, NP_001278175.1	NP_039269.2, NP_002302.2
OG0001721	XP_006497689.1	NP_000709.1
OG0001721	XP_006530650.1	NP_075461.2
OG0001722	NP_001403027.1, NP_001164425.2, NP_001357576.1, NP_001004150.2, XP_036015295.1	NP_059132.1, NP_001304967.1, XP_005261701.1
OG0001723	NP_001013046.1	NP_001306595.1
OG0001724	NP_081211.3	XP_005264070.1, NP_001047.1, NP_789795.1
OG0001725	NP_001334332.1, XP_006524330.1	NP_001309291.1, NP_115917.1, XP_006712865.1, NP_001135823.1, NP_001135824.1
OG0001726	NP_064648.3, XP_011244620.1	NP_001317022.1, NP_001317007.1, NP_001317011.1, NP_001317006.1, NP_001317013.1, NP_001317014.1, NP_004792.1, NP_001317024.1, NP_001317017.1, NP_001317016.1, NP_001317025.1, NP_001317012.1, NP_001317023.1, NP_001317015.1, NP_001129131.1
OG0001727	XP_006514928.2	NP_001309052.1
OG0001728	NP_079663.1	NP_057546.1, NP_001158730.1, NP_001273417.1, NP_001273418.1, NP_001121183.1, NP_001273413.1, NP_112231.3
OG0001729	NP_079628.1, NP_001313543.1	NP_055217.2
OG0001730	NP_258439.1, NP_001357956.1	NP_067069.2
OG0001730	NP_001156664.1	NP_001003693.1, NP_001340263.1
OG0001731	XP_006495642.1	NP_054770.1
OG0001732	NP_077248.1, XP_036012007.1	XP_011534369.1, NP_071756.2
OG0001733	NP_038712.3	NP_003185.1
OG0001734	XP_889797.1	NP_000980.1
OG0001735	NP_067395.1	NP_006273.1
OG0001735	NP_062609.2	XP_016869245.1
OG0001736	NP_035968.1	NP_803430.1, NP_803429.1, NP_803252.1, NP_001343299.1
OG0001737	XP_006521606.1, NP_084475.1	NP_055604.3
OG0001738	NP_033897.1, XP_006527823.1	NP_001034929.2
OG0001738	NP_083126.1	NP_036242.1
OG0001740	XP_006515027.1	XP_011513469.1
OG0001740	NP_001334308.1	NP_004947.2, NP_001357484.1, NP_001357485.1, NP_001156620.1, NP_001156621.1
OG0001741	XP_006505793.1, NP_001397184.1	XP_016867753.1
OG0001742	XP_006505170.1	NP_001350328.1, NP_001350329.1, NP_001350322.1, NP_001350323.1, NP_001350324.1, NP_001350327.1, NP_001009571.2, NP_001350326.1, NP_001350325.1, NP_001350321.1, NP_060424.9, NP_001350320.1, NP_001350319.1, NP_001161412.1, XP_005250753.1, NP_001350318.1
OG0001743	XP_011238722.1, NP_031585.2, NP_031584.1, NP_001242948.1	XP_006710679.1, XP_011540326.2, NP_001711.2, NP_861525.2
OG0001744	NP_001104589.1	NP_878269.1, NP_878272.1, NP_067001.3
OG0001746	NP_071858.3	NP_061116.5
OG0001746	NP_001007573.1, XP_017176952.1	NP_062815.3
OG0001747	NP_001348871.1, NP_032920.2	NP_001243808.1, NP_001120690.1, NP_006221.3
OG0001748	NP_001154987.2, NP_001154988.2, NP_848903.3	NP_001338673.1, NP_001338674.1, NP_001338682.1, NP_001338672.1, NP_001338677.1, NP_001912.2, NP_001338676.1, NP_001338679.1, XP_005262835.1, NP_001012750.1
OG0001749	NP_084034.2, NP_001139591.1, XP_006515309.1, NP_001351361.1	NP_110424.1, XP_024308931.1
OG0001750	NP_001351189.1	NP_001269653.1, NP_001269652.1, NP_068744.1, XP_011531316.1, NP_001269651.1, NP_001269650.1, NP_001269649.1, NP_001269648.1
OG0001751	XP_036013665.1, XP_036008356.1, XP_011244883.1, NP_080329.1, NP_001342387.1	NP_079051.9
OG0001752	XP_017175125.1, NP_057921.1	NP_037485.2, XP_011507751.1
OG0001753	XP_006516011.1, NP_795904.3	XP_011514555.1, NP_001358085.1, NP_001032209.1, NP_001358098.1, NP_001358075.1, NP_001358087.1, NP_001358111.1, NP_001358102.1, NP_001358089.1, NP_001358099.1, NP_001358086.1, NP_001358079.1, NP_001358088.1, NP_001358103.1, NP_001358104.1
OG0001754	NP_001405611.1, NP_081220.1, NP_001405613.1, NP_001405625.1, NP_001405628.1, NP_001405627.1, NP_001405608.1, NP_001405614.1, NP_001405609.1, NP_001405623.1, NP_001405619.1, NP_001405621.1, NP_001405618.1, NP_001405616.1	NP_631917.1
OG0001755	NP_001349616.1	NP_001263653.1, NP_001263652.1, XP_006718201.1, NP_001263656.1, NP_001263655.1, NP_001263654.1, NP_620142.2, NP_001263651.1
OG0001756	XP_006499797.1, NP_796164.1	NP_060863.3, XP_011518506.1, NP_001139013.1
OG0001757	XP_006499274.1, NP_001074729.1	XP_006718788.1, NP_203754.2
OG0001758	NP_899003.1, XP_006499537.1	NP_570139.3, XP_005253274.1
OG0001759	NP_001104520.1, NP_033972.2, NP_001104519.1	NP_620599.1, XP_024304548.1, NP_004348.2, NP_001034579.1, NP_620598.1
OG0001760	XP_017177874.1	NP_001284590.1, XP_006718181.1, NP_001284588.1, NP_001284587.1, NP_001284589.1, NP_005697.2
OG0001762	XP_006518050.1	NP_001278872.1, NP_001278870.1, XP_016862420.1, NP_065736.1, NP_001278871.1
OG0001763	NP_001139532.1, NP_001139531.1, XP_006512166.1, NP_666340.3	NP_001177636.1
OG0001764	XP_006508924.1, NP_080334.3	NP_078828.2, XP_047295389.1
OG0001765	NP_038679.3	NP_009096.2
OG0001766	NP_031924.1	NP_006570.1
OG0001767	NP_776142.1	NP_057661.3
OG0001767	NP_001157135.1	NP_002860.2
OG0001768	NP_898991.1, XP_006507703.1	NP_001264137.1
OG0001769	NP_001240688.1	NP_001334899.1, NP_001334900.1, NP_001121087.1, NP_001229792.1, NP_001334896.1, XP_011533429.1, NP_001334898.1, NP_001334894.1, NP_001334895.1, NP_001334897.1, NP_001334893.1, NP_060463.2, NP_001334892.1
OG0001770	NP_001240760.1	NP_001186109.1, NP_001365440.1, NP_001186111.1, NP_001365441.1, NP_001001486.1, NP_001001487.1, NP_001365442.1, NP_001186112.1, NP_001365443.1, NP_001186110.1, NP_001186114.1, NP_001001485.1, NP_001365616.1, NP_001186108.1, NP_055197.2, NP_001186113.1
OG0001771	NP_001127899.1	NP_001127895.1, NP_001269694.1, NP_001269693.1
OG0001771	NP_780774.1, NP_001127898.1	NP_001127894.1
OG0001772	NP_848826.1	NP_001121777.1, NP_065086.2, NP_001170775.1, NP_001121778.1, XP_005247711.1, NP_001121776.1
OG0001773	NP_001277957.1, NP_922936.3, XP_017173693.1, NP_001277956.1	NP_001354538.1
OG0001774	NP_001407742.1, NP_001407740.1, NP_075619.2, NP_001407741.1, NP_001132983.1, NP_001132984.1, NP_001407739.1, NP_001407743.1, NP_001407737.1, NP_001407738.1, NP_001132985.1, XP_036015619.1, NP_001407736.1, NP_001407735.1	NP_057951.1
OG0001775	XP_006500047.3, NP_001153886.1	NP_671731.1
OG0001775	NP_001400665.1, NP_001155278.1	NP_671730.1, XP_047296036.1
OG0001776	NP_082304.1	NP_542170.3, XP_005260667.1
OG0001777	NP_001041613.1, NP_659143.1	NP_001182583.1, NP_001182582.1, NP_115916.3, NP_852150.2, NP_001076582.1
OG0001778	NP_001156419.1	NP_001411193.1, NP_001411183.1, NP_001411186.1, NP_001411184.1, NP_001411188.1, NP_001411199.1, NP_001411200.1, NP_001411198.1, NP_001411197.1, NP_001411194.1, NP_689933.1, NP_001411195.1, NP_002489.1
OG0001779	NP_001404975.1, NP_659068.1	NP_001291886.1
OG0001780	NP_780683.1, NP_001346878.1, NP_001346879.1	NP_001171467.1
OG0001781	NP_598669.1, NP_083372.1	NP_001273144.1
OG0001782	NP_001010825.2, XP_006530348.1	NP_009007.2
OG0001783	XP_006505561.1, NP_001395179.1, NP_001395177.1, NP_001395176.1, NP_001036088.1, NP_001258508.1, NP_031931.2, NP_001395178.1, NP_001342144.1	NP_001400668.1, NP_001400671.1, NP_001400672.1, NP_001400669.1, XP_011518905.1, NP_001400670.1, NP_004417.2, NP_001400667.1
OG0001784	XP_011239624.1, NP_783327.2	NP_002855.2, XP_016875252.1, XP_006719119.1, NP_001334352.2, NP_000005.3, NP_001334353.2, NP_001334354.2
OG0001785	NP_001258516.1	NP_004438.3, NP_001400761.1, NP_001400763.1, NP_001400760.1, NP_001400762.1, XP_047284450.1
OG0001786	NP_001397235.1	XP_005253518.1, NP_002898.2, NP_116559.1
OG0001787	NP_001346937.1, NP_001346936.1, NP_001392182.1, NP_001392184.1, NP_001392185.1, NP_001392187.1, NP_001346938.1, NP_001392183.1, NP_001392186.1, NP_001346939.1, NP_001392188.1, NP_690029.2, NP_001021118.1, NP_001392190.1, NP_001263269.1, NP_001392189.1	NP_001265393.1
OG0001788	NP_700456.1, XP_006520746.1	NP_110436.1, XP_024304978.1
OG0001789	NP_001365702.1	NP_077302.3, NP_001374223.1
OG0001790	NP_001161963.1, XP_006526825.1, NP_001161964.1, NP_035180.2	NP_055271.2
OG0001791	NP_001405692.1	NP_001258769.1
OG0001792	NP_001403882.1, NP_001341998.1	NP_001308856.1, NP_001015001.1, NP_066270.1, NP_001362413.1
OG0001793	NP_067482.4, NP_001155975.1, XP_006500029.1	NP_067022.1, NP_001258142.1
OG0001794	NP_001034608.1	NP_004483.1, NP_001307858.1, NP_001307859.1
OG0001796	NP_001239369.1, NP_001239367.1, NP_080243.3, NP_001239368.1	NP_001093890.1
OG0001797	NP_001406224.1	XP_011528048.1, NP_006125.2
OG0001798	NP_001156631.1, NP_034111.1, NP_001156632.1	NP_005008.2, NP_001299602.1
OG0001799	XP_006501701.1, NP_942564.2, NP_001344780.1	NP_001305740.1, NP_055741.2, NP_001305739.1
OG0001800	NP_034862.1	NP_006329.2, NP_963924.1
OG0001801	NP_001344133.1	NP_056541.2
OG0001802	NP_848713.1	NP_001264153.1, NP_001264152.1, NP_003555.1
OG0001803	NP_001153099.1	NP_001354171.1, NP_055614.1, XP_011529375.1, NP_001124332.2, NP_001354170.2, NP_001354169.2, NP_620074.4, NP_001354165.2, NP_001354161.2, NP_001354162.2, NP_001354163.2, NP_001354168.2, NP_001354167.2, NP_001269070.2, NP_001354172.2
OG0001804	NP_080745.2, XP_006528667.1, NP_113558.1	NP_112564.1, NP_001278206.1, NP_112563.1
OG0001805	NP_848855.2, NP_001352041.1, XP_036017845.1, NP_001352040.1	NP_775101.1, XP_005262422.1, NP_001171678.1, NP_001171679.1
OG0001806	NP_001280552.1	NP_001288160.1, NP_005333.2, NP_001288157.1, NP_001288158.1, XP_047298018.1
OG0001808	NP_034714.1, XP_006496739.1	NP_060095.2
OG0001809	XP_036016580.1, XP_036016506.1, NP_001005485.1, NP_666440.2	NP_110503.3
OG0001810	NP_001096135.1, NP_001268460.1, NP_001268459.1	NP_001017990.1, NP_001017991.1, NP_542451.1
OG0001811	NP_001170955.1, NP_056556.1, NP_001191959.1, XP_030101972.1, NP_001095083.1	XP_035717090.1, NP_114167.2, NP_001305156.1, NP_001264260.1, NP_112237.2, XP_047299290.1, NP_114169.2, NP_114168.1, NP_149461.2, NP_001264261.1, XP_047299291.1, XP_003846529.1
OG0001812	NP_001011828.1, NP_001011750.2, NP_001011751.1, NP_666827.2, NP_666828.1	NP_001342221.1, XP_047276149.1
OG0001815	NP_080249.2	NP_002621.1
OG0001816	NP_079548.1	NP_003936.1
OG0001817	NP_001342200.1, XP_006499208.1, NP_001342202.1, NP_035706.1, NP_001170790.1, NP_001170791.1	NP_001305870.1, NP_001027452.1, NP_001316168.1, NP_001316169.1, XP_047301573.1, NP_001316170.1, NP_006278.1
OG0001818	NP_033034.1	NP_002863.1
OG0001818	NP_001334459.1	NP_061485.1
OG0001819	NP_001276489.1, NP_001395036.1, XP_036010725.1, NP_001395035.1, NP_001276488.1, NP_001276487.1, NP_705768.4	NP_116195.2, XP_005265572.1
OG0001820	NP_035300.1, NP_001265185.1	NP_001073592.1, NP_001073591.1, NP_001073590.1, NP_000302.1, NP_898902.1
OG0001821	NP_001272722.1, NP_062778.2, XP_011244279.1	NP_003769.1, NP_997708.1, XP_005247912.1
OG0001822	NP_001159374.1, NP_031640.1	NP_001091679.1
OG0001823	NP_859420.2	NP_722453.1, NP_619585.1, NP_619584.1
OG0001823	XP_017173468.1, NP_001035883.1, NP_081963.1, NP_001035885.1, NP_001035884.1	XP_024306928.1, NP_001295160.1, NP_722452.1, NP_036321.2
OG0001824	NP_001157167.2, NP_083181.2, XP_030105174.1	NP_001155967.2, NP_001155968.2, NP_062542.5
OG0001825	NP_079636.2	NP_031390.1
OG0001825	NP_079974.1	NP_001157940.1, NP_861974.1
OG0001827	NP_001343450.1	NP_001303849.1, NP_001303848.1, NP_001303850.1, XP_047292150.1, NP_001303852.1, NP_001303851.1
OG0001827	NP_080486.1	NP_057162.4
OG0001828	XP_036011877.1, NP_038749.1	NP_000963.1
OG0001829	NP_033831.1	XP_005268895.1, NP_001642.1
OG0001829	NP_033829.3	NP_000477.1
OG0001830	NP_001104759.1, NP_001399497.1, NP_001399498.1, NP_001104761.1, NP_001104762.1, NP_001399503.1, NP_001399504.1, NP_001104760.1, NP_001399501.1, NP_001399500.1, NP_001399499.1, NP_058019.2, NP_001399506.1, NP_001399507.1	NP_005889.3
OG0001832	NP_666504.1	NP_001005471.1
OG0001832	NP_667238.2	NP_112166.2
OG0001833	NP_666910.1, NP_666912.1	NP_001004733.1
OG0001834	NP_666952.1	NP_001005283.1
OG0001834	NP_001011831.1	NP_001005212.1
OG0001836	NP_001011848.1, XP_017177759.1, NP_001011755.1	NP_001005167.1, NP_001005168.2
OG0001837	NP_666703.2, NP_001011530.2	NP_001004717.1
OG0001838	NP_997576.1, NP_001011769.2	NP_001001957.2
OG0001840	NP_075638.2, XP_030106430.1, NP_001276460.1	NP_001357177.1
OG0001841	NP_001346463.1, NP_619608.1, XP_011241505.1	NP_055908.1, XP_011533935.1, NP_001278963.1, NP_001356435.1, NP_001278964.1
OG0001842	NP_766488.2, XP_006540923.1	NP_149121.2, XP_047295556.1, XP_005258533.3, NP_443116.2, NP_001335293.2
OG0001843	NP_034259.2, NP_001139818.1	XP_011524907.1, NP_001300834.1, NP_001416.1
OG0001844	XP_030098675.1, NP_001390930.1, NP_001025104.2, NP_001390929.1, NP_001407040.1, NP_001347394.1, NP_061261.2, XP_017177861.1	NP_004225.3
OG0001845	NP_031772.1	XP_016871198.1, NP_001307890.1, NP_001231063.1, NP_005195.2
OG0001846	NP_083742.3	NP_848930.1
OG0001846	NP_997114.1, XP_036012482.1	XP_047291920.1, NP_001137440.1
OG0001847	NP_083081.2, XP_006531473.1	NP_005877.2
OG0001848	NP_001121642.1, XP_006531477.1, NP_001121643.1, NP_775545.1	NP_001365672.1
OG0001849	NP_001077385.1, NP_598468.2, XP_006539213.1	XP_005245792.1, NP_689578.2
OG0001850	XP_006539319.1, NP_001342116.1, NP_001243041.1, NP_084035.1, NP_001342117.1	NP_001093095.1, NP_001093096.1, NP_062457.3
OG0001851	XP_006524373.1	XP_047290824.1
OG0001852	NP_775568.1	NP_055548.4, NP_001336363.2, NP_001098721.2, NP_001271165.2, NP_001271166.2, XP_005248689.1
OG0001854	NP_035893.1, XP_011239595.1	NP_001316582.1, NP_001316580.1, NP_659448.1, NP_001316579.1, NP_001316591.1, NP_001316592.1, NP_001316588.1, NP_001316593.1, XP_047280672.1, NP_001316587.1, NP_001316589.1, NP_001316585.1, NP_001316590.1, NP_001316586.1, NP_001316577.1, NP_001316578.1, NP_001316576.1, NP_001316581.1, NP_001316584.1, NP_001316583.1
OG0001855	NP_001318048.1	NP_001032354.1
OG0001856	NP_001359307.1	NP_055246.2, XP_011537939.1
OG0001857	NP_001303669.1, NP_001303668.1, NP_001365744.1, NP_081740.2, NP_001303666.1, NP_001303662.1, NP_001303661.1, NP_001303664.1, NP_001365743.1, NP_001303665.1, NP_001303663.1, NP_001365742.1	NP_001230707.1, XP_016872264.1
OG0001858	NP_705721.3	NP_001311121.1, NP_705902.2
OG0001858	NP_666074.1	NP_078870.1
OG0001859	NP_598894.1	NP_116565.3
OG0001860	NP_031911.1	NP_000103.2, XP_016864680.1
OG0001861	NP_001028641.1	NP_859072.1, XP_016873064.1
OG0001861	XP_011246143.1, NP_001030066.1	NP_940853.1
OG0001862	NP_031466.2	NP_000688.2, XP_011522082.2
OG0001863	NP_849201.1	NP_006033.1, XP_016880969.1
OG0001863	XP_030102020.1	XP_016880968.1
OG0001863	NP_061275.2	NP_006032.1
OG0001864	NP_001342389.1, NP_082670.1, NP_001342388.1	NP_001303864.1, NP_057210.2, NP_001369181.1, NP_001369180.1, NP_001369183.1, NP_001369178.1, NP_001369179.1, NP_001369182.1
OG0001865	XP_006539015.1, NP_796160.1	NP_001277193.1, NP_001104251.1
OG0001866	NP_001349910.1, XP_006539194.1, NP_080671.1	NP_008964.3
OG0001867	XP_006530687.1, NP_033996.4, NP_001403376.1	NP_001788.2
OG0001868	NP_766129.1	NP_001304732.1
OG0001868	NP_001034812.1	NP_001074294.2
OG0001869	NP_001276483.1, NP_083935.3, NP_001276484.1, NP_001276485.1, NP_001276486.1, XP_017176632.1	NP_001304714.1, NP_057170.1, NP_001304715.1, XP_011514595.1, NP_001304718.1, NP_001304716.1, NP_001304717.1
OG0001870	XP_006533322.1, NP_766390.2	NP_001070650.1
OG0001870	NP_032010.2	NP_003079.1
OG0001871	XP_006507225.1, NP_849232.1	NP_787096.2, XP_047289933.1
OG0001872	XP_017167873.1, NP_084118.1	NP_001138820.1
OG0001873	NP_075686.3	NP_001335459.1, NP_001335458.1, NP_001335463.1, NP_001335466.1, NP_001335464.1, NP_001335462.1, NP_001335461.1, NP_001335465.1, NP_001335456.1, NP_001335457.1, NP_001335460.1, NP_001013009.2
OG0001874	NP_598632.2	XP_011538818.1, NP_006408.3
OG0001874	NP_112735.1	NP_001362575.1
OG0001875	NP_777357.2	NP_001257313.1
OG0001876	NP_001382923.1	NP_001382924.1
OG0001877	NP_075633.2, NP_001413149.1, NP_001413150.1, NP_001239447.1	NP_001138880.1
OG0001878	XP_017175426.1, NP_808310.2	NP_001158058.1
OG0001879	NP_031447.1	XP_011534714.1
OG0001879	NP_031448.2	NP_001117.2
OG0001880	NP_001159455.1	NP_001362541.1, XP_011508517.1, NP_001362546.1, NP_001362547.1, NP_055662.3, NP_001362548.1, NP_001362549.1, NP_001362551.1, NP_001362550.1, NP_001362545.1, NP_001362544.1, NP_001362543.1, NP_001362552.1, NP_001362554.1, NP_001317659.1
OG0001881	NP_001074692.1, XP_006525875.1, NP_001239424.1	NP_976037.1, NP_976036.1, XP_006722582.1, NP_002885.1
OG0001882	NP_001273412.1, NP_001273411.1, NP_659090.1	NP_001257453.1, NP_001257452.1, NP_758840.1
OG0001882	XP_011243290.1, NP_001347155.1, NP_001273410.1, NP_001347154.1	NP_001257454.1, NP_068374.1
OG0001884	XP_036014667.1, NP_067412.1	NP_060394.1, XP_016876879.1
OG0001885	NP_080812.1, NP_001348620.1, NP_001348619.1, XP_006516243.1	NP_001369438.1, NP_001357534.1, NP_001003803.2, NP_001369436.1, XP_011534954.2, NP_001369439.1, NP_056499.3, NP_001003805.2
OG0001886	XP_011242520.1, NP_001388195.1, NP_001191982.1, NP_112149.2, NP_001191981.1	NP_001128520.1, NP_001128519.1, NP_569736.1, XP_047286898.1, NP_001128521.1
OG0001887	NP_001264225.1, XP_030102793.1, NP_001348527.1, NP_001348530.1, NP_001348528.1, NP_001348529.1, NP_082381.1, NP_001264226.1	NP_001353415.1, NP_001353417.1, NP_001353414.1, NP_001353416.1, NP_065154.2, NP_001353418.1, NP_001136017.1, XP_047287566.1, NP_001353419.1
OG0001888	NP_001241664.1	XP_011521908.2, NP_001180582.1, NP_001093877.1, NP_001180586.1, NP_001180584.1, NP_001028218.1, NP_001093878.1, NP_001180583.1
OG0001889	NP_001350159.1, NP_112460.1	NP_001245177.1, XP_006722178.1, NP_954871.1
OG0001890	XP_011237493.1, NP_082369.1	NP_001028285.1
OG0001891	NP_001034184.1, NP_001405661.1	NP_892019.2, XP_011516937.1
OG0001892	XP_030107813.1, NP_733480.1, NP_001343362.1	NP_001273726.1, NP_054783.2, XP_047279213.1, NP_001273728.1, NP_001273725.1, NP_001273727.1
OG0001893	NP_001276477.1, NP_001276476.1	NP_001387764.1, NP_001387762.1, NP_001387763.1, NP_001273928.1
OG0001894	NP_598764.1, XP_006513076.1	NP_116175.1, NP_001290053.1, NP_001290054.1
OG0001895	NP_001395211.1	NP_006645.3, NP_001265282.1, NP_001265283.1, NP_001265286.1, NP_001265284.1, NP_001265280.1, NP_001036020.1, NP_001265285.1, XP_016874206.1
OG0001896	NP_084505.2	NP_612211.1, NP_001018060.1, NP_001269814.1, NP_001269813.1, XP_047297136.1, NP_001018062.1
OG0001897	NP_001405601.1	NP_001002880.3, NP_056188.1
OG0001898	NP_038750.2	NP_003481.3, NP_001356837.1, NP_001356836.1, XP_011528707.1, NP_001356838.1, NP_001129246.1, NP_001356839.1, NP_598344.2
OG0001899	XP_030101190.1, NP_083108.1, NP_001366453.1, NP_001366455.1, NP_001366454.1	NP_079474.2, NP_001028222.1, XP_011537069.1
OG0001900	XP_006513131.1	NP_001358423.1, NP_001381830.1, NP_001358269.1
OG0001901	XP_011236719.1, NP_081374.1, NP_001343411.1	NP_660213.1
OG0001902	NP_666086.2, NP_001405098.1, XP_006532828.1	NP_055926.1, XP_011532775.1
OG0001903	NP_001344517.1	XP_011541593.2
OG0001904	NP_001074812.1	NP_060795.1, NP_001242983.1
OG0001905	XP_006538308.1, NP_001406122.1, NP_001406121.1, NP_001406123.1, NP_081542.2, NP_001406124.1	NP_001273883.1, NP_001273882.1, NP_001273881.1, NP_001273880.1, XP_011516037.1, NP_001273879.1, NP_659401.2
OG0001906	NP_077219.1	NP_001358852.1, NP_001291439.1, NP_001291440.1, NP_112496.1, NP_001291438.1
OG0001907	NP_001346884.1, NP_001094952.2, NP_001408299.1, NP_001408300.1, NP_001408298.1, NP_001171202.1, XP_006511239.1	XP_047274088.1
OG0001908	NP_001406137.1, NP_001406136.1, NP_659188.1, XP_006523532.1	XP_011512556.1, NP_006644.1
OG0001909	NP_001342427.1, NP_067293.1, NP_001366457.1	NP_001164278.1, XP_047275523.1, NP_001309395.1, NP_065228.4, NP_001309396.1
OG0001910	NP_001156492.1	NP_443136.2, NP_001310181.1, NP_001273180.1, NP_001273179.1, XP_005266870.1, NP_001310192.1, NP_001310186.1, NP_001310193.1, NP_001310189.1, NP_001310190.1, NP_001273183.1, NP_001310184.1, NP_001273181.1, NP_001310183.1, NP_001310191.1, NP_001310182.1
OG0001911	NP_001344935.1, NP_780343.1, NP_001344936.1	NP_001257308.1
OG0001912	NP_032441.4	XP_006716740.1, NP_003715.3, NP_001266281.1, NP_001070995.2
OG0001913	NP_001157512.2, NP_001157508.2, NP_001157511.2, NP_032555.2, NP_001157510.2, NP_001157509.2, NP_001361067.1, XP_036015094.1	NP_001120685.1, NP_002337.1
OG0001914	NP_032092.1, XP_006503796.1	NP_001364084.1, NP_001273756.1, XP_011511977.1, NP_001317619.1, NP_001364073.1, NP_001364074.1, NP_001364077.1, NP_000798.2, NP_001364078.1, NP_001364080.1, NP_001364079.1, NP_001107647.1, NP_001364075.1, NP_001364076.1
OG0001915	NP_001161746.1, NP_808580.2, XP_006521159.1, NP_899017.2, XP_006521088.1, XP_006521565.1, NP_083268.1, NP_113555.1	XP_011515460.1, NP_113603.1
OG0001916	XP_006514065.1, NP_001155840.1, NP_001192027.1, NP_080519.2, NP_001155841.1	NP_001338214.1, NP_037376.2, NP_001338216.1, NP_001338218.1, NP_001338217.1, NP_001338215.1, NP_001338220.1, NP_001338212.1, NP_001338213.1, NP_001338211.1
OG0001917	NP_034880.1	NP_005575.1
OG0001917	NP_035969.2	NP_006430.1
OG0001918	NP_001004365.1	NP_065178.1
OG0001918	NP_001192314.1, NP_001192315.1, NP_076224.1	NP_005712.1
OG0001919	NP_034249.1	NP_001269374.1
OG0001919	NP_065603.2	NP_055415.1
OG0001920	NP_001139696.1, NP_077746.3, NP_001139695.1, NP_001139694.1	XP_006712180.1
OG0001921	NP_659166.1, XP_030111193.1, NP_001351482.1, NP_001351483.1, NP_001240621.1	NP_001316720.1, NP_001128493.1, NP_001128495.1, NP_001316721.1, NP_001316722.1, NP_001128494.1, XP_024308937.1, NP_115589.2
OG0001922	NP_001342634.1	NP_000440.1
OG0001923	NP_038927.2	NP_036588.1
OG0001924	NP_001156832.1, NP_001412580.1	NP_001036227.1
OG0001925	NP_084266.1	NP_945351.1
OG0001925	NP_808431.2	NP_940962.1, XP_016861849.1
OG0001926	NP_001349794.1, NP_776111.1, NP_001020273.1, NP_001349793.1	NP_689529.1
OG0001927	NP_001091707.1, XP_006527482.1, NP_598520.1	NP_001357738.1, NP_001350038.1, NP_001350037.1
OG0001928	XP_006527004.1	NP_056348.2, NP_001338905.1, NP_001338907.1, NP_001338909.1, NP_001338908.1, NP_001338906.1
OG0001929	NP_001008502.2	NP_689831.2, XP_011529982.1, NP_001171478.1
OG0001930	XP_006529908.1, NP_573449.2, NP_001366283.1, NP_001078878.1, NP_001366284.1	NP_619543.2, NP_878919.2, XP_047300851.1, NP_060704.2, NP_001008410.1
OG0001931	XP_036022146.1	NP_001336200.1, NP_001336201.1, NP_001336204.1, NP_001336205.1, NP_001336202.1, NP_001336203.1, NP_055823.1, NP_001336198.1, NP_001336199.1, NP_001121696.1, NP_001336193.1, NP_001336192.1, NP_001017395.2, NP_001336197.1, NP_001336194.1, NP_001336195.1
OG0001932	NP_080214.1	NP_008973.1, NP_001092253.1
OG0001933	NP_001160003.1, NP_001160004.1, XP_006519350.1, NP_062333.1	NP_057413.2
OG0001934	NP_001273427.1, NP_035703.2, NP_001075123.1	XP_047304232.1
OG0001935	XP_030111552.2	NP_001245209.1, NP_659481.2, XP_047303355.1
OG0001936	XP_030099599.1, NP_061241.1	NP_005707.1
OG0001937	NP_079977.3	NP_001035927.1, NP_777554.1, NP_001035926.1
OG0001938	NP_001334337.1, NP_001346742.1	NP_777378.1, NP_631900.1, NP_777377.1
OG0001939	NP_075920.4, XP_006514088.1	NP_116242.3, NP_001356722.1, NP_001356721.1, NP_001369337.1, NP_001356719.1, NP_001356723.1, NP_001369338.1, NP_001369339.1, NP_001356718.1
OG0001941	NP_001347683.2, NP_001347685.1, NP_001347682.2, NP_001402962.1, NP_083890.2, NP_001347684.1, NP_001371080.1, NP_001347681.2, NP_001371077.2, NP_001402963.1, XP_036009434.1	NP_001280109.1, NP_001280108.1, NP_009104.3
OG0001942	NP_001390478.1, NP_001390482.1, NP_001390481.1, NP_598708.3, NP_001390480.1, NP_001390476.1, NP_001390474.1, NP_001390473.1, XP_006507238.1, NP_001390477.1, NP_001390475.1, NP_001390479.1	XP_011543356.1
