Orthogroup	Mus_musculus	Sus_scrofa
OG0001418	XP_006504716.1, NP_034887.1	XP_013843148.1, XP_003124297.1, XP_013843149.1, XP_020941625.1
OG0001419	NP_742145.1, XP_036012476.1	NP_001182252.1, XP_020921722.1
OG0001419	XP_006504732.1, NP_766311.2	NP_999391.1
OG0001420	NP_001346029.1, NP_001346028.1, NP_001346026.1, NP_001408231.1, NP_032949.3, XP_006504723.1, NP_001240819.1, NP_001346027.1	XP_020941593.1, XP_020941591.1, XP_020941594.1, XP_020941592.1, XP_020941597.1, XP_020941596.1
OG0001421	NP_001390988.1, NP_001390987.1, NP_766337.2, NP_001390990.1, NP_001390991.1, NP_001390989.1	XP_005655132.1
OG0001422	NP_001350912.1, NP_001008700.1	XP_020941522.1, NP_999505.1
OG0001423	NP_032881.1	XP_020942118.1
OG0001423	XP_036012317.1	XP_020922399.1
OG0001424	NP_001413664.1, NP_001413662.1, NP_001413665.1, NP_001413659.1, NP_001276454.1, NP_001276453.1, NP_001413660.1, NP_001413657.1, NP_001413661.1, NP_001413666.1, NP_001413663.1, NP_001346692.1, NP_001413655.1, NP_001413656.1, NP_001413653.1, NP_077156.2, NP_001413654.1	XP_020938081.1, XP_003127976.1
OG0001425	NP_001407586.1, NP_033607.2, NP_001406911.1, XP_011246208.1	XP_005667607.2
OG0001426	NP_081575.2	XP_020955359.1
OG0001426	NP_031879.1	NP_001231050.1, XP_005653825.1
OG0001427	NP_808331.1, XP_036018941.1	XP_001924782.1, XP_020945321.1, XP_020945320.1
OG0001428	NP_082138.1, NP_001404862.1, NP_001404863.1, NP_001404861.1	XP_020921752.1, NP_001231613.1
OG0001429	NP_766220.2	XP_020948933.1, XP_020948934.1, XP_020948940.1, XP_020948925.1, XP_020948928.1, XP_020948938.1
OG0001430	NP_443067.1	NP_001038008.1
OG0001431	NP_775539.1, NP_829887.1	XP_020937323.1, XP_020937322.1, XP_020937320.1, XP_020937324.1, XP_020937321.1, XP_020953279.1
OG0001432	XP_006515832.1	XP_020937266.1
OG0001433	NP_059076.1, NP_001106960.1, XP_006533807.1, NP_001106959.1, NP_001106958.1	XP_005653913.2
OG0001434	XP_030102266.1, NP_543122.1, NP_001344509.1	XP_020922512.1
OG0001435	NP_001390783.1, NP_001390781.1, XP_006533108.1, NP_001390784.1	XP_013836370.1
OG0001436	NP_001382352.1	XP_020921918.1, NP_001038060.2
OG0001436	NP_780426.1	XP_020941688.1
OG0001437	NP_001036006.1, NP_033778.2, XP_030101341.1	NP_001191702.1
OG0001438	NP_080535.2, NP_001157709.1	XP_013843760.1, XP_003481664.1, XP_005655656.1
OG0001439	XP_036020520.1, NP_079707.1, NP_001404758.1, XP_036018053.1	XP_003126408.3
OG0001440	NP_031797.1	XP_020947217.1, XP_020947223.1, XP_020947219.1, XP_020947216.1, XP_020947221.1, XP_003126127.1, XP_020947218.1, XP_013843674.1, XP_020947222.1
OG0001441	NP_001317578.1, NP_065583.2	XP_003125124.1
OG0001442	NP_001272942.1, NP_001401370.1, NP_001272957.1, NP_001401372.1, NP_001401373.1, NP_001401371.1	NP_001121938.1, XP_020953630.1
OG0001443	NP_081008.1, XP_006524906.1	XP_001929599.2
OG0001444	NP_203535.1, NP_001345862.1	XP_020946139.1
OG0001445	NP_001343381.1	XP_020938998.1
OG0001446	NP_038788.2	XP_003134825.1, XP_005673302.1
OG0001447	NP_001289010.1	XP_020951527.1, XP_020951528.1, XP_020951530.1, XP_020951529.1
OG0001448	NP_081312.2	XP_003361389.3
OG0001450	NP_001344222.2	XP_020933510.1
OG0001452	NP_001357818.1	XP_003125355.1
OG0001452	XP_006504134.1, NP_077780.3, NP_001128164.1	XP_003125353.1
OG0001454	XP_030106933.1, NP_081512.1	XP_005660731.1, XP_003353822.1, XP_003353821.1
OG0001455	NP_001298079.1	XP_013837208.1
OG0001456	XP_006510082.1, NP_034463.2	NP_001230784.1, NP_001230783.1
OG0001457	XP_006524220.1	XP_020939684.1
OG0001457	NP_001361548.1	XP_020939682.1
OG0001458	NP_079934.2, XP_006527313.1, NP_083775.1, NP_068364.1, NP_001297260.1, XP_036017546.1	XP_013849717.2
OG0001459	NP_032741.2, XP_006518743.1	XP_020920946.1
OG0001459	NP_001390528.1	XP_013846460.1
OG0001460	NP_001365697.1, NP_001365698.1	XP_013836070.2, XP_013836069.2, XP_013836068.2
OG0001461	NP_001158034.1, XP_006512105.1, NP_848792.2	XP_005669444.1, NP_001230482.1
OG0001462	NP_808520.2, NP_001278362.1, XP_006500671.1, NP_780760.2	XP_020933883.1
OG0001463	XP_006529145.1, NP_031459.3, NP_031458.2, NP_001074551.1	XP_003133777.1, XP_020930975.1, XP_003133773.1
OG0001464	XP_011246417.1, XP_006496584.1, NP_001075215.1, NP_001365592.1, NP_291094.2, XP_001477761.1, XP_017174378.1, NP_001365593.1, XP_011237029.1	XP_020931315.1
OG0001465	NP_001025108.1, XP_011242032.1	XP_003483504.1
OG0001466	NP_780301.1	NP_001116662.1
OG0001467	NP_001343319.1	XP_001929045.2, XP_005670846.2
OG0001468	NP_001264186.1, NP_001264188.1, NP_033742.2, NP_001264187.1, NP_001264184.1	XP_020947332.1, XP_020947331.1, XP_020947330.1
OG0001469	XP_006521554.1, NP_083073.1	XP_003126253.1
OG0001470	NP_001273901.1, NP_001021382.1	NP_001177133.1
OG0001471	NP_080333.1, XP_030111415.1, NP_001289369.1, NP_001289368.1	XP_003483568.1
OG0001472	XP_017173780.1	XP_005671347.1, NP_001230583.1
OG0001473	XP_006534878.1, NP_032887.3	XP_005667068.2, NP_001232908.1
OG0001473	XP_006527206.1, NP_852087.2	XP_001927156.2
OG0001474	XP_006527280.1	XP_013839196.1, XP_013839197.1, XP_001926894.1, XP_013839198.1, XP_020928989.1
OG0001475	NP_001411691.1, NP_001411690.1, NP_001139326.1, XP_011237721.1, NP_001028426.2	XP_020953450.1, XP_020953461.1, XP_020953445.1
OG0001476	NP_848461.1, XP_011241086.1	XP_001929271.1
OG0001477	NP_001139358.1	XP_020926563.1, XP_020926566.1, XP_020926564.1, XP_020926562.1, XP_020926568.1, XP_020926565.1, XP_020926561.1, XP_020926567.1
OG0001478	XP_006523130.1, NP_001159398.1, NP_062373.3, NP_001159397.1	XP_020923998.1, NP_001155114.1
OG0001479	NP_035804.2, XP_006501373.1	XP_020955988.1, NP_001302591.1
OG0001480	NP_083100.1, NP_001157022.1, XP_006535321.1	XP_013834501.2, XP_013834500.2
OG0001481	NP_001405884.1, NP_109669.1	XP_020924027.1, NP_001165840.1
OG0001482	NP_001273888.1, NP_001157682.1, NP_598436.1	XP_005670016.1, XP_013837628.1, XP_005670018.1, XP_005670015.1
OG0001483	NP_075651.1, NP_001342351.1	NP_001162172.1
OG0001484	NP_001407972.1, NP_033304.1, NP_001407974.1, NP_001407973.1, NP_001103615.1, NP_001407975.1, NP_001407982.1, NP_001407981.1, NP_001407983.1, NP_001407978.1, NP_001342194.1, NP_001407979.1	XP_005671982.1, XP_001925033.2
OG0001485	NP_001343441.1, NP_034607.3	NP_001241645.1
OG0001486	NP_001396007.1, NP_001028778.2, NP_001396006.1, NP_083093.2	XP_020930225.1, NP_001137170.1
OG0001487	NP_001139279.1, XP_006529430.1	XP_005667971.1, XP_013835471.1, XP_013835470.1
OG0001488	NP_001074942.1	XP_003135184.2, XP_020937572.1
OG0001489	NP_001181975.1	XP_020936349.1
OG0001490	NP_001103692.1, NP_001103693.1	XP_005673887.1
OG0001491	NP_001277642.1	XP_005673941.1
OG0001492	NP_082552.1, NP_001001981.2, NP_001129698.1, NP_001395996.1, NP_001395995.1	XP_003135414.1
OG0001493	XP_006518908.1, NP_663437.2	NP_001231085.1, XP_020953885.1
OG0001494	NP_064671.2, XP_036014468.1	XP_005670487.1, XP_005670488.1, XP_020928867.1
OG0001497	NP_444341.1, NP_031921.1, NP_444342.1, NP_031920.1, NP_059085.2, NP_062271.2, NP_444343.2	XP_005658610.3
OG0001499	XP_017177388.1, NP_001092800.1, NP_033726.1, XP_030099003.1, NP_065588.1, NP_001092799.1, NP_001242995.1, NP_001257471.1, NP_001257472.1, XP_030098618.1, XP_030098761.1, NP_001297562.1, NP_001268455.1, NP_001243002.1, XP_006540554.1, NP_001357807.1, NP_001357808.1	XP_013850349.1
OG0001502	NP_001345884.1, NP_035064.1, XP_006509657.1	XP_005666733.1, NP_999453.1
OG0001503	NP_059070.1	XP_020931469.1
OG0001503	NP_062284.1	NP_999531.1
OG0001504	NP_001177380.1, NP_031859.1	NP_999085.1
OG0001505	NP_036130.1, XP_006508870.1, NP_001411953.1, NP_001411954.1	NP_001231494.1, XP_013850632.2
OG0001506	NP_666959.1	XP_020958385.1, XP_003129530.1, XP_020958383.1, XP_003129527.1
OG0001507	NP_001343917.1, NP_068696.2, NP_001343916.1	XP_020956166.1, NP_001018043.1
OG0001508	NP_001318041.1	XP_013836817.1
OG0001508	NP_001318043.1	XP_020923604.1
OG0001510	NP_001334955.1	XP_003358796.1, NP_001302630.1
OG0001511	XP_006530768.1, NP_032383.1, NP_001241676.1	NP_999555.1, XP_005666908.1
OG0001512	NP_031922.1, XP_036014029.1	NP_001038078.1, XP_005672893.1
OG0001513	NP_034792.1	XP_003131484.1
OG0001513	NP_032495.2	XP_020922660.1
OG0001514	NP_058030.1	XP_020934317.1, NP_001116594.1
OG0001515	NP_061299.3, XP_006519355.1	XP_005671119.1, NP_001230445.1
OG0001516	NP_001345478.1	NP_001231321.1, XP_005652865.1
OG0001518	NP_667331.1, NP_667329.2	XP_020958332.1, XP_020958331.1
OG0001519	NP_667094.2, XP_017168883.1, NP_667093.2, NP_666960.2	XP_013834977.2
OG0001520	NP_666449.2	XP_020940746.1, XP_020940745.1
OG0001520	NP_035129.2	XP_020939076.1
OG0001521	NP_666437.2	XP_020918077.1, XP_003129624.2
OG0001521	NP_997504.1	XP_020918074.1
OG0001522	NP_001103786.2, NP_001013787.1, NP_001172102.1, NP_001093656.1	XP_020953243.1
OG0001523	NP_036102.2, NP_001129562.1, NP_001390118.1	XP_020948972.1
OG0001524	XP_006525587.1, NP_722489.1	XP_020951677.1
OG0001525	XP_006527285.1	XP_001924714.2
OG0001526	XP_006540376.1, NP_001366229.1, NP_001366228.1, NP_001366227.1, NP_001013030.1	XP_020950768.1
OG0001527	NP_001407137.1	XP_003127454.3
OG0001527	XP_011247022.1	XP_020922400.1
OG0001528	NP_031541.1, NP_001288769.1, XP_006527816.1	NP_001124445.1
OG0001529	NP_001106170.1	XP_005656960.2
OG0001529	NP_035311.1	NP_001137592.1, XP_005664718.2
OG0001530	NP_001345775.1, XP_006539992.1, NP_775606.1	XP_020950277.1
OG0001531	XP_036013454.1	XP_020954849.1
OG0001531	XP_036009100.1, NP_001025048.2	XP_003127279.4
OG0001532	NP_033826.2, NP_001292748.1, XP_030097875.1, NP_001292773.1, NP_001292772.1	NP_999473.1
OG0001533	NP_056611.2	XP_020950014.1
OG0001533	XP_006539925.1	XP_020953201.1
OG0001534	XP_017173462.1, NP_001344400.1, NP_001344402.1, NP_001344399.1, NP_080696.1, NP_001344401.1	XP_003124028.1, XP_020940530.1
OG0001535	NP_080773.1	XP_020940251.1, XP_020940252.1, XP_020940250.1, XP_020940249.1
OG0001536	NP_001124540.1, NP_001124541.1, NP_849247.3	XP_003123817.1
OG0001537	NP_877583.1, NP_001116252.1, XP_011249134.1, NP_083928.1	XP_005666357.2
OG0001538	NP_001363929.1	XP_020956482.1
OG0001540	NP_035393.2, XP_006534905.1	XP_003129069.1, XP_020957036.1, XP_005666772.1, XP_003356995.1, XP_005666747.2
OG0001541	NP_034447.1, NP_001289926.1	XP_020928649.1, XP_020928650.1
OG0001542	NP_001333564.1	NP_999546.1
OG0001542	NP_001411390.1	XP_005671133.1
OG0001543	XP_006519324.1, NP_001303677.1, NP_666040.1	XP_020930069.1, XP_020930064.1, XP_013838836.1, XP_020930068.1, XP_020930070.1, XP_020930067.1, XP_020930066.1, XP_020930063.1, XP_001926637.1, XP_020930065.1
OG0001544	NP_001345964.1, NP_034380.1, XP_006532258.1	XP_003134137.4
OG0001545	NP_766626.1, NP_001344586.1, NP_001344585.2	XP_020918666.1
OG0001546	XP_011240669.1, NP_081238.2, NP_001158046.1	XP_003357319.1, XP_020918386.1, XP_003129868.2, XP_013834798.1, XP_013834797.1, XP_020918387.1, XP_020918385.1, XP_005667350.1, XP_020918388.1, XP_020918384.1
OG0001547	NP_001349622.1	NP_999125.1, XP_005653005.1
OG0001548	NP_001344889.1, XP_006532992.1, NP_001344894.1, NP_808286.2	XP_003483136.1, XP_020923376.1, XP_005669205.1, XP_005669204.1
OG0001549	NP_001004143.2	XP_020923704.1
OG0001549	NP_062334.2	XP_003135145.2
OG0001550	NP_001273150.1, XP_030109639.1	XP_020952171.1
OG0001551	XP_006539139.1, NP_062715.2	XP_020950941.1
OG0001551	XP_017175793.1	XP_020950940.1
OG0001552	NP_080011.1	NP_001164298.1
OG0001553	NP_001355315.1	XP_020949762.1, XP_020949765.1, XP_020949764.1, XP_020949766.1, XP_020949763.1
OG0001554	NP_001344746.1, XP_006508261.1, NP_001272836.1, NP_081629.1, NP_001272834.1, NP_001272835.1	XP_013847955.1, XP_005653072.1, XP_003354584.1, XP_005653070.1, XP_020942081.1
OG0001555	NP_001390491.1, NP_663562.1, NP_001347740.1, XP_036008449.1	XP_020942092.1, XP_020942093.1, XP_020942095.1, XP_020942094.1
OG0001556	XP_006497325.1, NP_058547.2	NP_999443.1, XP_005667947.1
OG0001557	XP_030099002.1	XP_020920046.1
OG0001557	NP_034050.1	XP_020938469.1
OG0001558	NP_570960.2	XP_020920134.1
OG0001558	NP_033924.2	NP_001093658.1
OG0001559	NP_075616.2	XP_003355060.1
OG0001560	NP_001276418.1, NP_001276416.1, NP_001276417.1, NP_083083.3, XP_006516352.1	XP_020937203.1
OG0001561	NP_001346255.1, NP_001346256.1, NP_001346254.1, NP_659079.1	XP_005657005.1, NP_001231483.1
OG0001562	NP_001243450.1, NP_001243451.1	XP_020936914.1, XP_020936915.1
OG0001563	NP_758464.2	XP_020943108.1, XP_020943106.1, XP_020943107.1
OG0001564	NP_001334424.1, XP_030101904.1, NP_038772.1	XP_020940000.1
OG0001565	NP_001349614.1	XP_020926040.1
OG0001565	NP_062642.1	NP_001244285.1
OG0001566	XP_006538250.1, NP_082413.2, NP_001139396.1, NP_001139397.1	XP_005660353.1, XP_003353640.1, XP_013849168.1, XP_003353639.1, XP_005660354.1
OG0001567	NP_001093922.1, XP_006524037.1	XP_020954387.1, XP_020954390.1, XP_003356680.2, XP_020954389.1, XP_020954388.1
OG0001568	XP_006511367.1, NP_001157252.1, NP_064371.2	XP_020954487.1
OG0001569	XP_036010385.1, NP_001177973.1	XP_001925444.2
OG0001570	NP_064373.1	XP_020936360.1
OG0001570	NP_766095.1	XP_020947781.1
OG0001571	NP_001346887.2	XP_001927354.4
OG0001572	NP_001317685.1, NP_001317686.1, NP_001317684.1, NP_079747.1, XP_006538226.1	XP_005659333.1, NP_001230437.1
OG0001573	NP_001129161.1, XP_006520964.1, NP_001398786.1, NP_001398787.1, NP_001129160.1, NP_001398785.1, NP_035967.1	XP_003125990.1
OG0001574	NP_038951.1	XP_005663004.1, NP_001033095.1
OG0001575	NP_808229.1	XP_020956868.1
OG0001575	NP_035799.1	XP_020921172.1
OG0001576	NP_001398735.1, NP_001398734.1, NP_001398733.1, NP_001398732.1, NP_001351525.1, NP_001351524.1, NP_001075147.1, NP_001398731.1, NP_001398740.1, XP_006505211.1, NP_001398739.1, NP_001398738.1, NP_001398742.1, NP_001398737.1, NP_001398741.1	XP_020934947.1
OG0001577	XP_006498620.2	XP_020931974.1
OG0001577	NP_001157112.1	XP_020934229.1
OG0001578	NP_077782.1, NP_001034087.1	XP_020952575.1, XP_020952572.1, XP_020952573.1
OG0001579	NP_082610.1, NP_081467.2	XP_020948319.1, XP_020948318.1, XP_020948320.1
OG0001580	NP_780617.2, XP_006505389.1	XP_013846218.1, XP_005657778.1, XP_003134620.1, XP_020934222.1
OG0001581	NP_001334030.1	XP_013841061.2
OG0001582	NP_001078886.1, NP_001078885.1, NP_001342676.1, NP_001342675.1, XP_011239752.1, NP_001078884.1, NP_065614.2	XP_020934425.1
OG0001583	XP_006535838.1, NP_067445.3, NP_001276686.1	XP_003134573.3
OG0001584	XP_017173066.1, NP_857632.4, NP_001390142.1	XP_020943290.1, XP_005662688.1, XP_003125285.1, XP_005662687.1
OG0001585	NP_001344246.1, NP_001344245.1, NP_569054.2, XP_006509341.1	NP_001090913.1
OG0001586	NP_082426.1	XP_005653103.1
OG0001587	NP_001398021.1, NP_001398019.1, NP_001398020.1, NP_064298.1	NP_001231536.1
OG0001588	NP_001365339.1	NP_001116633.1
OG0001589	NP_001171275.1	NP_001103527.1, XP_005653033.2
OG0001590	NP_001342554.1, NP_001104319.1, NP_780390.3, NP_001077279.1, XP_036018489.1	XP_013845531.2
OG0001591	NP_694766.1, NP_001411642.1	XP_005661077.1, XP_003122923.1, XP_020938856.1
OG0001592	NP_084113.1, NP_001343483.1, NP_001137155.1	XP_003122944.2, XP_005661121.1, XP_005661119.1, XP_005661120.1
OG0001593	NP_598601.1	XP_003122764.1, XP_005660956.1, XP_013849768.1, XP_013849767.1
OG0001594	NP_001277747.1	NP_001231807.1
OG0001594	NP_796052.2	XP_001924414.2
OG0001595	XP_030110934.1	XP_020926497.1
OG0001596	NP_766045.2	XP_020939862.1, XP_020939860.1, XP_020939861.1
OG0001597	NP_001278114.1, NP_001408055.1, NP_001408052.1, NP_035627.1, NP_001408053.1, NP_001408054.1	NP_001020396.1, XP_005673091.1, XP_013844448.1
OG0001598	NP_001186413.1	XP_020957679.1, NP_001231625.1
OG0001599	NP_001278283.1, NP_001398914.1, NP_031517.2, XP_006507325.1, NP_001398919.1, NP_001398918.1, NP_001398917.1, NP_001398921.1, NP_001398920.1, NP_001398916.1, NP_001398915.1	XP_020918117.1, XP_005653716.1, XP_005653715.1, XP_020918116.1
OG0001601	NP_082564.3, NP_001103612.1	XP_013841811.2
OG0001601	NP_666319.2	XP_003131149.1
OG0001603	NP_001344491.1, XP_006512103.1, NP_001344490.1, NP_695019.1, NP_001344489.1	XP_003132171.1
OG0001604	NP_001273437.1, NP_038755.1	XP_003358397.3
OG0001605	XP_006510920.1, NP_032906.2, NP_001182013.1, NP_001397382.1, NP_035766.2	NP_001233142.1, XP_020924119.1
OG0001606	NP_001276559.1, NP_001342617.1, NP_083260.1, NP_001276560.1	XP_020933910.1
OG0001607	NP_001135418.1	XP_020933710.1, XP_001928819.4
OG0001608	NP_001349695.1, NP_001349697.1, NP_001349696.1, XP_006498907.1, NP_001349698.1, NP_001349694.1, NP_001349692.1, NP_573505.2	XP_003360012.1
OG0001609	NP_001342355.1, NP_058612.3	XP_001928497.1
OG0001610	NP_001342409.1	XP_020933973.1
OG0001610	XP_006517233.1	XP_020932792.1
OG0001611	NP_001278101.1, NP_001032254.1, NP_001278108.1, NP_001032255.1	XP_005673069.1, NP_001106923.1
OG0001613	NP_001350374.1, NP_001350373.1, NP_032278.1, NP_001350372.1	NP_999228.1, XP_020927763.1
OG0001614	NP_081360.1, XP_006529921.1	XP_020930945.1
OG0001615	NP_032655.1	XP_020927721.1, NP_001302499.1
OG0001616	NP_001346869.1	XP_013838437.2, XP_003132974.4, XP_005670797.2
OG0001617	NP_783627.2, NP_001139398.1, NP_001139399.1, XP_006506297.1	XP_005652671.1, XP_005652669.1, XP_020948082.1, XP_005652670.1, XP_013842959.1, XP_013842971.1
OG0001618	NP_001397307.1, NP_001397304.1, NP_001397306.1, NP_001397305.1, XP_036021876.1, NP_001397300.1, NP_035531.3	XP_020948050.1
OG0001619	XP_011239890.1, NP_796196.3	XP_020947847.1
OG0001620	NP_081328.2, NP_001344989.1, NP_001344987.1, XP_006521413.1, NP_001344988.1	XP_013853419.2, XP_020948241.1, XP_020948239.1, XP_020948240.1
OG0001621	NP_001390483.1, NP_001001884.1, XP_006521185.1	XP_013853016.1
OG0001622	NP_001074599.2, XP_030103646.1	XP_020928655.1
OG0001623	XP_017176986.1, NP_919320.1	XP_005671051.2
OG0001624	NP_001361643.1	XP_013834245.2
OG0001624	NP_001158211.1	XP_003360305.1
OG0001625	XP_006522645.1, NP_766409.2	XP_020925644.1, XP_020925643.1, XP_020925641.1, XP_020925640.1, XP_020925639.1, XP_020925645.1, XP_020925642.1
OG0001626	NP_038779.2, XP_017172511.1, NP_001348218.1, NP_001344021.1	XP_020925718.1
OG0001627	NP_080139.3, XP_006501980.1	XP_020925393.1, XP_005670011.1
OG0001628	NP_001349586.1	XP_003133562.2, XP_005672046.1, XP_013839769.1
OG0001629	NP_659131.2	XP_020930234.1, NP_001171387.1
OG0001630	NP_067287.1, XP_011236865.1, NP_001185990.1, NP_001185989.1	XP_013839854.1, XP_003133640.3
OG0001631	XP_006496604.1, NP_081253.1, NP_001343193.1	XP_013839973.2, XP_020930588.1, XP_020930587.1, XP_001925579.3
OG0001632	NP_001317978.1	XP_003134971.2
OG0001634	NP_001390564.1, NP_001390563.1, XP_006528450.1, NP_001258738.1, NP_001258739.1	XP_020936068.1
OG0001635	XP_011249294.1, NP_001258378.1, NP_001258377.1, NP_666063.1, NP_001258376.1, NP_001258379.1, NP_001258380.1	XP_020935816.1
OG0001636	NP_084415.1	XP_020936473.1, XP_020936472.1, XP_020936471.1, XP_020936474.1
OG0001637	NP_113556.2	XP_020936402.1, XP_020936400.1
OG0001637	NP_001258503.1, NP_083203.2	XP_013834160.2
OG0001638	NP_666799.1	XP_003124173.4
OG0001639	XP_006501534.1, NP_997130.2	NP_001231290.1
OG0001640	NP_001258513.1, XP_011238225.1, NP_001258514.1, NP_058055.1	XP_020933266.1
OG0001641	NP_001242989.1, XP_017171771.1, NP_001171049.1, NP_001091447.2, NP_001079007.1, NP_001119798.1, NP_001013411.1, XP_011248365.1, NP_001075113.1, XP_011248342.1, NP_001264416.1, NP_001264441.1, NP_001243410.2, NP_001264460.1, NP_001264504.1, XP_030102319.1, NP_001365432.1, NP_001365430.1, NP_001365433.1, NP_001365431.1, NP_001345210.1	XP_013842998.2
OG0001642	XP_006520585.1, NP_032556.1, NP_001258348.1, NP_001258375.1, NP_034868.1, NP_001258347.1, NP_001258345.1, NP_001258346.1, NP_001365170.1, NP_001365169.1, NP_001402926.1, NP_001238985.1, NP_001344934.1, NP_065244.2, XP_030104339.1, NP_001358034.1, NP_001361159.1, NP_001297367.1	XP_020944423.1
OG0001643	NP_071875.2	XP_020941116.1
OG0001643	XP_006527569.1, NP_001361062.1	XP_003353885.2, XP_013849722.2, XP_013849721.2
OG0001645	NP_032832.2	XP_020956470.1
OG0001645	NP_666198.1	XP_005661864.1
OG0001646	NP_031945.1	NP_999274.1
OG0001646	NP_291090.2	XP_005655631.2, NP_998988.1
OG0001647	NP_034431.1	NP_001038003.1
OG0001647	NP_032165.3	NP_001033712.1
OG0001648	NP_001400560.1, NP_001093579.1, NP_001093580.1	XP_005656359.1
OG0001649	NP_034623.1	NP_001138851.1, NP_998981.1
OG0001650	NP_666212.3	XP_001929355.3
OG0001650	NP_035034.2	XP_005670835.2
OG0001651	NP_001185752.1	NP_999537.1
OG0001652	NP_001343890.1, NP_001398697.1, XP_011243833.1, NP_033244.2	NP_001161100.1, XP_005663856.1
OG0001653	NP_034113.1	NP_001032810.1
OG0001653	NP_032463.1	XP_005664835.1
OG0001654	XP_006521792.1, NP_038831.2	XP_005654095.1, NP_001265677.1
OG0001655	NP_444489.2, XP_006523803.1, NP_034911.3	XP_020942523.1, XP_020941517.1, NP_999356.1
OG0001656	NP_001394961.1, NP_001394960.1, NP_001394962.1, NP_001074613.2, NP_001171373.1	XP_020956673.1, XP_020956672.1, XP_020956674.1
OG0001657	NP_001001453.1	XP_013846219.1
OG0001657	NP_851792.1	XP_013841022.2
OG0001658	NP_733486.2, NP_083673.3	XP_020933924.1, XP_020933925.1, XP_003483994.1, XP_013840778.1, XP_005672953.1, XP_013840779.1
OG0001659	NP_001349639.1, XP_036013392.1, NP_001349638.1, NP_001349637.1, NP_780609.4, NP_001349636.1	XP_020920518.1, XP_020920520.1, XP_020920519.1
OG0001660	NP_766473.1	XP_020927989.1
OG0001660	NP_780641.2	XP_020928079.1
OG0001661	NP_058654.1	XP_020922659.1, XP_020922661.1
OG0001662	NP_032244.2, NP_001077424.1	XP_020942626.1, XP_020942625.1
OG0001663	NP_666209.1	XP_001924427.4
OG0001664	NP_666863.1	XP_003130340.1
OG0001665	NP_001011517.2	XP_020938024.1, XP_020937089.1, XP_020937088.1, XP_020937757.1, XP_020937665.1
OG0001666	NP_666791.1	XP_003122824.1
OG0001667	XP_011238480.1, NP_067492.2, NP_001139473.1, NP_001342639.1	XP_020945608.1, XP_013852672.1, XP_020945607.1, XP_005663592.1
OG0001668	XP_006512612.1, NP_058672.1	XP_020942692.1
OG0001669	NP_001153414.1, NP_001028425.1, XP_006512502.1	XP_020942456.1
OG0001670	NP_001182366.1, XP_036010812.1	XP_013837042.1
OG0001671	NP_081161.1, NP_001347659.1, NP_001347662.1, NP_001347660.1	XP_020953075.1, XP_020953074.1
OG0001672	NP_001277365.1, NP_001277370.1, XP_030098287.1, NP_001277371.1, NP_001277369.1, NP_001277367.1, NP_001001447.1	XP_020953080.1
OG0001674	NP_079641.1, NP_001158201.1	XP_013833381.1
OG0001675	NP_001406075.1, NP_001028377.1	XP_005655971.1
OG0001676	NP_001399573.1, NP_032514.1, NP_001123625.1, NP_001399576.1, NP_001399578.1, NP_001399577.1, NP_001399572.1, NP_001123624.1, NP_001399571.1, NP_001123623.1, NP_001399569.1, NP_001399570.1, NP_001399575.1, NP_001399574.1, XP_006539628.1, NP_001123622.1	XP_020950100.1
OG0001677	XP_036009485.1, NP_001135393.1	XP_020950023.1
OG0001678	XP_006502722.1, NP_001005506.2, NP_001186624.1	XP_003127822.4, XP_005665236.2
OG0001679	NP_001347080.1, NP_444338.2	XP_005655046.1, NP_999398.1
OG0001681	NP_083830.3, NP_001404827.1, NP_001404826.1, NP_001404828.1, NP_001404829.1	XP_020956756.1, XP_020956755.1, XP_020956757.1
OG0001682	NP_001277638.1	XP_020932256.1
OG0001682	XP_030097945.1	XP_013839345.1
OG0001683	XP_006534165.1, NP_081225.1, NP_001343406.1, NP_001350015.1, NP_001350013.1, NP_001350014.1	XP_003134168.1, XP_013840355.1, XP_020932362.1, XP_013840354.1
OG0001684	NP_001392180.1, NP_067314.2, NP_001392175.1, NP_001392179.1, NP_001392177.1, XP_036011047.1, NP_001392176.1, NP_001392178.1	XP_020918763.1, XP_020918767.1, XP_020918765.1, XP_020918762.1, XP_020918764.1
OG0001685	NP_084038.1	XP_020918760.1, XP_013835002.2
OG0001686	NP_038823.2, XP_036010936.1	NP_001231066.1
OG0001687	NP_081888.1	XP_005656203.1
OG0001688	NP_663525.1	XP_005665470.1, XP_003356507.1
OG0001689	NP_001269666.1	XP_003128047.2
OG0001689	NP_079840.2	XP_013843825.1
OG0001690	NP_081239.1, XP_030109620.1, NP_001343251.1	XP_020950968.1
OG0001691	XP_006531566.1, NP_084428.1	XP_013853686.1
OG0001692	NP_001159866.1, NP_083164.1, XP_017168480.1	XP_020949691.1
OG0001693	NP_848716.2	XP_020930602.1
OG0001694	NP_001156820.1, NP_597995.1, NP_001156822.1, NP_001156821.1, XP_006502418.1, NP_109624.1	XP_020945770.1
OG0001695	NP_033968.2	XP_005662075.1
OG0001695	NP_033969.2	XP_005674660.3
OG0001696	NP_031951.2, XP_011239157.1	NP_001302653.1, XP_020941430.1
