Orthogroup	Mus_musculus	Ictidomys_tridecemlineatus
OG0002160	XP_017170865.1	XP_040129484.1, XP_005333191.1, XP_021587233.1, XP_021587234.1
OG0002164	XP_017174154.1, XP_006528697.1, NP_113567.1, NP_899143.3, NP_001229866.1, NP_001092791.2, NP_808586.2, XP_006528528.1, NP_083735.3, XP_017174123.1	XP_040139041.1, XP_040145210.1
OG0002165	NP_034939.2	XP_040142729.1
OG0002165	NP_062344.1	XP_005329176.1
OG0002166	NP_001265534.1, NP_033496.1	XP_040133496.1
OG0002167	XP_017169700.1, NP_598789.1	XP_005321944.1
OG0002167	NP_598785.1	XP_005321943.1
OG0002168	NP_775589.1	XP_005316715.1
OG0002168	NP_075615.2	XP_005333101.1
OG0002169	NP_033022.1	XP_005322129.1
OG0002169	NP_083852.1	XP_005333451.1
OG0002170	NP_032105.2, XP_017170449.1	XP_021579497.2
OG0002171	NP_001272413.1, XP_017175475.1, NP_001272411.1, NP_001272412.1, NP_032335.2, NP_001408036.1, NP_001408035.1	XP_040144024.1
OG0002172	XP_036012962.1, NP_001258536.1, NP_031748.2	XP_005326451.1, XP_040123993.1, XP_040136187.1
OG0002173	XP_036021602.1, NP_780522.1	XP_005333933.1
OG0002174	NP_001254550.1	XP_005327784.1
OG0002175	XP_036008591.1, NP_001369387.1, NP_034661.1, NP_001350911.1	XP_040140825.1
OG0002176	NP_001171162.1, NP_058618.2, NP_001369220.1, NP_001171174.1, NP_001369219.1, XP_036012743.1	XP_040147959.1, XP_040147958.1, XP_040147960.1, XP_005341929.1
OG0002177	NP_062747.1, XP_006528985.1	XP_005316030.1
OG0002178	NP_034733.4	XP_040125587.1
OG0002180	NP_035164.1	XP_005318028.1
OG0002181	NP_067448.1	XP_040144516.1, XP_005318030.1
OG0002182	XP_036014175.1, NP_036105.2	XP_013213643.1
OG0002183	XP_036014166.1	XP_040143918.1
OG0002183	NP_001029037.1, NP_077239.1	XP_005322068.1
OG0002184	XP_036016836.1	XP_021591709.1
OG0002184	NP_033812.3	XP_005320200.1
OG0002185	NP_001098000.1, XP_006533994.1, NP_001098026.1, NP_001098027.1, NP_079702.3	XP_005325506.1
OG0002186	XP_006539175.1	XP_040145091.1
OG0002187	NP_035930.1	XP_005323074.1
OG0002188	NP_065625.2	XP_021581349.1
OG0002189	XP_036010125.1, NP_079712.1	XP_013215775.1, XP_040149475.1, XP_040149473.1, XP_005329322.1
OG0002190	NP_666700.1	XP_005338196.1
OG0002190	NP_666725.1	XP_005338894.1
OG0002191	NP_034796.1	XP_005321886.1
OG0002191	NP_001028569.2	XP_040124946.1
OG0002192	NP_666783.1	XP_005331658.1
OG0002193	NP_667294.1, NP_667032.2	XP_005342147.1
OG0002194	NP_667244.2, NP_667245.1	XP_005341125.1
OG0002195	NP_666927.2	XP_005339481.1
OG0002196	NP_666942.1	XP_005342150.1
OG0002197	NP_001005227.2, NP_001005225.1, NP_666675.2	XP_005341605.2, XP_005341601.1
OG0002198	NP_001258645.1, NP_001288301.1, NP_032586.1, NP_001258646.1	XP_005334959.1
OG0002199	NP_071773.2	XP_005316692.1
OG0002199	NP_032049.1	XP_005324191.1
OG0002200	NP_001347902.1	XP_040129005.1
OG0002201	NP_056574.2, XP_006516992.1	XP_013212112.1
OG0002202	NP_079624.1	XP_005342333.1
OG0002203	NP_001008422.1	XP_040135723.1
OG0002204	NP_001405961.1, NP_001405962.1	XP_040135321.1
OG0002207	NP_032787.1, NP_001274142.1, NP_001104543.1, NP_001403939.1, NP_001403938.1, NP_001403937.1, NP_001403936.1, NP_001274146.1, NP_001403935.1	XP_021585708.1
OG0002208	NP_666226.2	XP_005334335.2
OG0002209	NP_001343288.1	XP_005319404.1
OG0002209	NP_079819.1	XP_005320629.1
OG0002210	NP_001348196.1, NP_001158093.1, NP_001348193.1, NP_064396.2, XP_006526189.1, NP_001348194.1, NP_001348195.1, NP_001348198.1, NP_001348197.1	XP_005324289.1
OG0002211	NP_849249.1	XP_005329012.1
OG0002212	NP_077787.3	XP_005318292.1
OG0002213	NP_001032812.2, NP_031432.2, XP_006530643.1, NP_001103226.1, NP_001032813.1	XP_005318224.1
OG0002214	NP_001029138.1, NP_058591.2	XP_040130785.1, XP_005317828.1
OG0002215	NP_694800.1	XP_005317782.1
OG0002217	NP_001139779.1, NP_077723.3, XP_011248609.1, NP_062675.2	XP_005317552.1
OG0002218	NP_032615.2	XP_005320285.1
OG0002218	NP_032614.2	XP_005320196.1
OG0002219	NP_598485.1	XP_005319041.1
OG0002220	NP_598535.1	XP_005327283.1
OG0002221	NP_808561.2, XP_006541021.1	XP_005320118.1
OG0002222	NP_001347638.1	XP_040131795.1, XP_040131800.1, XP_021578563.1, XP_040131799.1, XP_005320179.1, XP_040131796.1, XP_040131797.1, XP_013211796.1, XP_040131801.1, XP_040131798.1
OG0002223	XP_030110224.1, NP_035734.4, NP_001371100.1, NP_001346109.2	XP_005319968.1
OG0002224	NP_035532.2	XP_040150201.1, XP_005318971.1, XP_040148511.1
OG0002225	NP_001073293.1	XP_005326029.1
OG0002226	NP_001157846.1, NP_001386598.1, XP_006513025.2, NP_001386600.1	XP_040128088.1, XP_040128087.1
OG0002227	XP_006514102.1, NP_001186116.1, NP_081213.1	XP_021582428.1
OG0002228	XP_011247125.1, NP_683514.2, NP_945174.1	XP_021582146.1
OG0002229	NP_598556.1	XP_013214153.1, XP_013214152.1, XP_005325484.1
OG0002230	NP_036021.1, XP_006533369.1	XP_040127980.1, XP_013214148.2, XP_021582161.1, XP_013214149.1, XP_040127979.1
OG0002231	XP_011243643.1, NP_001008420.1	XP_021575712.1
OG0002232	NP_082453.2, NP_001347672.1, NP_001347673.1, XP_036009503.1	XP_005323808.1
OG0002233	NP_473437.2, NP_001171318.1, NP_001171316.1, NP_001171317.1, XP_030099888.1	XP_005330810.1
OG0002234	NP_001273570.1, XP_006510521.1, NP_849237.2	XP_021588089.1, XP_005334316.1
OG0002235	NP_766148.2, XP_011247218.1	XP_021587052.1
OG0002236	NP_033777.1, NP_001171073.1, XP_017175412.1, NP_001171076.1, NP_001171075.1	XP_005337779.1
OG0002237	XP_036020444.1, NP_084261.1	XP_013214415.1, XP_013214416.1
OG0002238	XP_011238834.1, NP_001412052.1, NP_001412053.1, NP_001272887.1, NP_001272885.1, NP_766462.2	XP_040144621.1
OG0002239	NP_001075026.1	XP_040143790.1
OG0002240	NP_065594.2	XP_013218077.1, XP_040143810.1, XP_040143809.1, XP_005334797.1
OG0002241	NP_001365945.1, NP_001365946.1, NP_001365947.1, NP_780394.1, XP_006531460.1	XP_040135933.1, XP_005335514.1
OG0002242	XP_036010147.1, NP_080757.1	XP_005318373.1
OG0002244	NP_077128.2, XP_036018031.1	XP_005328608.1, XP_040148842.1
OG0002245	NP_001074937.1, NP_001074935.1, NP_001074934.1, NP_001074933.1, NP_065064.2, NP_001334417.1, NP_001074932.1, NP_001074931.1, XP_011239187.1, NP_001074938.1, NP_001074939.1, NP_001231865.1, NP_001074936.1	XP_013215533.1
OG0002246	NP_001346540.1, XP_030110791.1, NP_113583.2	XP_040134039.1, XP_013215500.1
OG0002247	NP_057892.2	XP_005339804.1
OG0002248	NP_001365456.1, NP_001365454.1	XP_040129923.1, XP_040129924.1
OG0002249	NP_079880.1, NP_001343892.1	XP_005339894.1
OG0002250	NP_001407169.1, NP_598704.2, NP_001035774.1, NP_001407168.1, NP_001407172.1, NP_001407171.1, NP_001407173.1, NP_001407170.1	XP_005323930.1
OG0002251	NP_084074.1, NP_001344069.1	XP_005337832.1, XP_021590576.1, XP_040132854.1, XP_040132855.1, XP_021590577.1
OG0002252	NP_035451.1, NP_001371026.1, NP_001371023.1, NP_001371027.1, NP_001371029.1, NP_001070889.1	XP_040133467.1
OG0002253	NP_001106950.1, XP_017175000.1, NP_033172.2	XP_040145139.1
OG0002254	NP_877422.2	XP_005327789.2
OG0002255	NP_035708.2	XP_013215187.1, XP_021583694.1, XP_021583695.1, XP_013215186.1
OG0002256	NP_034853.1, NP_001155242.1	XP_005339180.1
OG0002256	NP_001155241.1	XP_005339181.1
OG0002257	NP_032895.1	XP_040133502.1, XP_013211599.1
OG0002258	NP_775600.1, NP_001343418.1, XP_011237114.1	XP_021578321.1, XP_005319844.1, XP_040133410.1
OG0002259	NP_071314.1, XP_006502211.1	XP_040145062.1
OG0002261	NP_001396408.1, NP_001396410.1, NP_001032811.2, NP_001396416.1, NP_001396415.1, NP_033744.1, NP_001396412.1, NP_001396413.1, NP_001396417.1, NP_001396418.1, NP_001396414.1, NP_001396409.1, NP_001396411.1	XP_005331375.1
OG0002262	NP_001345235.1	XP_040129173.1
OG0002263	XP_006516134.1, NP_058552.1	XP_005339196.1
OG0002264	XP_030102642.1, NP_001315976.1	XP_021580396.1
OG0002265	NP_543119.2	XP_040132079.1, XP_005338008.1, XP_005338009.1
OG0002266	NP_705815.1	XP_005321405.2
OG0002267	XP_006515979.1, NP_766541.2	XP_013221070.1, XP_040131607.1, XP_040131606.1
OG0002268	NP_848728.2	XP_005333954.1
OG0002269	XP_006516357.1, NP_780416.2, NP_001348845.1, NP_001348846.1	XP_040131004.1, XP_005341061.1
OG0002270	NP_001348843.1, NP_081636.1, XP_030101292.1	XP_040143117.1, XP_005334710.1
OG0002271	NP_001347587.1, NP_001347586.1, NP_080296.3	XP_005341690.1
OG0002272	NP_001359500.1, XP_006534667.1, NP_001156644.1, XP_980150.2, NP_001191966.1, XP_054875549.1, NP_001099031.1	XP_005322000.1
OG0002273	NP_001005424.2, NP_001386174.1	XP_040142602.1, XP_040142601.1, XP_040142600.1, XP_021590011.1
OG0002274	NP_001405967.1, NP_001405968.1, NP_081183.3, NP_001405966.1, XP_006533917.1, XP_006532811.1, NP_663348.2	XP_040124245.1
OG0002275	NP_001254520.1, NP_001020788.1, NP_001254521.1, XP_006534467.1, NP_083778.2, NP_001020789.1	XP_005332682.1
OG0002276	NP_034785.1	XP_005328277.1
OG0002277	NP_082300.1, XP_030102201.1	XP_005321923.1
OG0002278	NP_033165.1, NP_035468.1	XP_005321556.1, XP_005321555.1
OG0002279	NP_001277342.1, XP_006497912.1, NP_033448.2	XP_040142606.1
OG0002280	NP_001107046.1	XP_040142523.1, XP_040142524.1, XP_040142522.1, XP_005337009.1
OG0002281	NP_001411588.1	XP_005321150.1, XP_013212098.1
OG0002282	NP_083122.1, XP_030107995.1	XP_040139769.1
OG0002283	NP_001263354.1, NP_035503.1	XP_005321064.1
OG0002284	NP_001107041.1	XP_005321046.1
OG0002285	NP_950190.2	XP_040142204.1
OG0002286	NP_001104758.1	XP_040132171.1
OG0002287	XP_030104178.1, NP_001152993.1	XP_013218180.1, XP_005335059.1
OG0002288	NP_001398349.1, NP_032695.3	XP_005338621.1
OG0002289	NP_082607.3, XP_036015501.1	XP_005322338.1
OG0002290	NP_001349796.1	XP_005322126.1, XP_040126615.1
OG0002291	NP_001004025.1	XP_005326396.1
OG0002292	NP_001344385.1	XP_005327307.1
OG0002293	NP_081554.2	XP_040141892.1, XP_005326274.1, XP_005334654.1
OG0002294	NP_001032798.1, NP_001356127.1, XP_006537591.1, NP_951012.2, NP_001413084.1, NP_001413083.1	XP_005326300.1
OG0002295	NP_082805.1, NP_079899.1	XP_040142051.1
OG0002296	NP_001159888.2	XP_040137991.1
OG0002297	NP_001342051.1, NP_083105.3, XP_030099067.1	XP_040138710.1, XP_040138709.1
OG0002298	NP_001139441.1, NP_001139440.1, NP_081376.2	XP_005324812.1
OG0002299	NP_001366555.1, NP_001366556.1, NP_109658.2, XP_006538446.1	XP_005338065.1, XP_040139053.1, XP_040139051.1, XP_040139052.1
OG0002300	NP_079945.1	XP_005335935.1
OG0002301	NP_766061.2, XP_006512697.1	XP_005330178.1
OG0002302	NP_001029044.1	XP_021581845.1, XP_013213946.1, XP_005325020.1, XP_040136562.1, XP_040136563.1
OG0002303	NP_444414.2	XP_005333335.1
OG0002304	NP_510962.2	XP_040146657.1
OG0002304	NP_001128565.1	XP_005331150.1
OG0002305	NP_001404759.1, NP_076222.1, NP_001404761.1, NP_001404760.1	XP_005340071.1, XP_013220508.1, XP_021575617.1
OG0002306	NP_001258638.1, NP_001258637.1, NP_034863.1	XP_005335996.1
OG0002308	NP_001005788.2	XP_040144386.1
OG0002309	NP_955767.1, XP_017175755.1	XP_040144314.1
OG0002310	NP_082418.1, NP_001356004.1, NP_001356005.1	XP_005318046.1
OG0002311	NP_778195.1, XP_006503160.1	XP_040144494.1, XP_013218596.1
OG0002312	NP_766270.2	XP_040149126.1, XP_005337656.1, XP_040149127.1
OG0002313	NP_001411742.1, NP_033582.2, NP_001411744.1, NP_001411743.1, XP_006509379.1	XP_005329309.1
OG0002314	NP_083804.3	XP_005326672.2
OG0002315	NP_031589.1	XP_040147341.1, XP_005331139.1
OG0002316	NP_083914.2, XP_030111522.1, NP_001155094.1, NP_001155093.1	XP_021582969.1
OG0002317	NP_001012685.2	XP_013220649.1, XP_005340359.1, XP_013220647.1
OG0002319	NP_001161394.1, NP_080860.3, NP_001161393.1, XP_006509248.1	XP_040125106.1, XP_013220681.1, XP_005340430.1, XP_040125105.1
OG0002320	NP_001369758.1, NP_001369759.1, NP_001369760.1, NP_001369757.1, NP_001369756.1, NP_001369761.1, NP_780640.2, NP_001369755.1, XP_006515093.1, NP_001369754.1	XP_013212826.2, XP_005322650.2
OG0002321	XP_006514423.1, XP_030110817.1	XP_021580246.2
OG0002322	NP_083156.2, NP_001349038.1, XP_030111504.1	XP_005329459.1
OG0002323	XP_006506646.1, NP_077201.1, NP_001349007.1, NP_001349009.1, NP_001349008.1	XP_005329402.1, XP_013215821.1
OG0002324	NP_081517.2	XP_013221151.1
OG0002325	NP_766100.1, NP_084161.1, XP_006501313.1	XP_040143483.1
OG0002326	NP_667222.1, NP_666794.1	XP_005331671.1, XP_005331672.1
OG0002327	NP_001298045.1	XP_021585271.1, XP_005330024.1
OG0002328	NP_001411741.1, NP_077193.1, NP_001343923.1, NP_001411740.1	XP_040140077.1, XP_005333517.1, XP_005333516.1
OG0002329	NP_663575.1	XP_005327620.1, XP_013220509.1
OG0002330	NP_079799.1, XP_036019119.1	XP_005327628.1
OG0002331	NP_001390081.1	XP_013221150.1
OG0002332	NP_001135421.1, NP_001408816.1, NP_001408818.1, NP_001408819.1, NP_001408820.1, NP_001135420.1, NP_062274.1, NP_001408817.1	XP_005315867.1, XP_040150232.1
OG0002333	NP_034550.2, NP_001411398.1	XP_040145717.1
OG0002334	NP_758468.2, NP_001129712.1, NP_780552.1	XP_040145682.1, XP_005317268.1
OG0002335	NP_033346.2, NP_001397375.1, NP_001397377.1, NP_001397376.1, XP_006505933.1	XP_040147414.1
OG0002336	XP_030111245.1, NP_001074615.1, NP_001391015.1	XP_040146897.1
OG0002337	XP_036014787.1	XP_005317242.1, XP_040145635.1, XP_013217214.1
OG0002338	NP_079647.1, NP_001263371.1	XP_013214883.1, XP_021583204.1
OG0002339	NP_083576.1	XP_040125719.1
OG0002340	NP_062694.1, NP_001344218.1, XP_030100321.1, NP_001344219.1, NP_001344220.1	XP_005327017.1
OG0002341	NP_001366530.1	XP_005326943.1
OG0002342	XP_006512427.1, NP_083114.2	XP_005332975.1
OG0002343	NP_035396.1	XP_021587160.1
OG0002344	NP_067294.2, NP_001258405.1, XP_006524773.1, NP_001258407.1, NP_001258408.1, NP_001258406.1	XP_040147118.1
OG0002345	NP_079810.2, XP_017169000.1	XP_005338072.1
OG0002346	NP_079736.1	XP_040128443.1, XP_040149117.1, XP_005323328.1, XP_005323329.1
OG0002347	XP_006507886.1, NP_001170883.1	XP_040140928.1, XP_021580804.1, XP_021580805.1, XP_040140929.1
OG0002348	NP_038774.1	XP_021580755.1
OG0002349	NP_796047.2, NP_001345843.1	XP_021580750.1
OG0002350	XP_017177763.1, NP_667267.1	XP_021577152.1
OG0002351	NP_666342.1, NP_001408349.1, NP_570934.1	XP_005317428.2
OG0002351	XP_011241272.1	XP_040145950.1
OG0002352	NP_032650.1, XP_006510888.1	XP_005328070.1
OG0002353	NP_001347313.1, NP_766446.2, NP_001347311.1, XP_006499571.1	XP_021578834.2
OG0002354	NP_032470.3	XP_005320653.1
OG0002355	XP_006500160.1, NP_080937.3, NP_001158290.1	XP_013216039.2
OG0002356	NP_067281.2, NP_001407081.1, NP_001264854.1, NP_001407080.1	XP_040123949.1, XP_040123948.1, XP_040123947.1, XP_005326489.1, XP_021582751.1
OG0002357	NP_666093.1, XP_006518442.1	XP_040149040.1
OG0002358	NP_056565.1, NP_001153637.2, XP_006529587.1, NP_001153636.1, NP_001407607.1, NP_001407608.1, NP_001153635.2	XP_005326543.2
OG0002359	NP_081109.1, NP_001032846.1, XP_030105881.1	XP_005334017.1, XP_040137150.1
OG0002360	XP_006505627.1, NP_038566.1	XP_040136970.1
OG0002362	XP_017177262.1	XP_040137882.1, XP_005331026.1, XP_021581915.1, XP_040136709.1, XP_040137884.1, XP_040134276.1, XP_040137783.1, XP_021584518.2, XP_040136803.1
OG0002363	NP_001155239.1, NP_001155240.1, NP_766039.2, XP_030104297.1	XP_021581929.1
OG0002364	NP_001157832.1, NP_001157831.1, XP_006527061.1, NP_663477.3	XP_021588857.1, XP_005335284.1
OG0002365	NP_938038.2, XP_011245647.1	XP_040129523.1
OG0002366	NP_001400915.1, XP_030106819.1, NP_038786.2, NP_001264029.1, NP_001157571.1, NP_001157572.1, NP_001400916.1, NP_001157573.1	XP_013212010.1
OG0002367	NP_871789.1	XP_005322986.1
OG0002367	XP_017175682.1, NP_001074179.1	XP_021580608.1
OG0002368	NP_080795.1, XP_030107859.1, NP_001405537.1, NP_001405540.1, NP_001405539.1, NP_001405546.1, NP_001405542.1, NP_001405545.1, NP_001405544.1, NP_001405543.1	XP_005337202.1
OG0002369	NP_001407876.1, NP_001407867.1, NP_001407871.1, NP_001407868.1, NP_033188.3, NP_001407872.1, NP_001407874.1, NP_001407873.1, NP_001407866.1, NP_001407875.1, XP_036015740.1	XP_005337190.1
OG0002370	NP_001343396.2	XP_005316491.1
OG0002371	NP_001153081.1, NP_001153082.1, NP_079933.2, NP_001153084.1, XP_006500079.1	XP_013214691.1
OG0002372	XP_006511636.1, NP_663593.2	XP_040131104.1
OG0002373	NP_849264.1	XP_005316994.1, XP_040131037.1
OG0002374	NP_032277.3	XP_005323646.1
OG0002375	XP_006524160.1, NP_001229356.1, NP_694702.1	XP_040143004.1
OG0002376	NP_001343238.1, NP_080507.2	XP_005340782.1
OG0002377	XP_006506147.2, NP_899006.1	XP_021590380.1
OG0002378	NP_001369779.1	XP_040148173.1, XP_005339380.1
OG0002379	NP_001404801.1, NP_848835.1	XP_021588742.1
OG0002380	XP_011244153.1, NP_733548.2	XP_021583629.1
OG0002381	NP_075728.1	XP_005320123.1
OG0002382	NP_035573.3	XP_005330314.1
OG0002382	NP_033263.2	XP_040140317.1
OG0002383	NP_001077373.1, NP_001077374.1	XP_040126097.1
OG0002384	XP_006521876.1, XP_006522387.1, NP_958763.1, NP_001095881.1	XP_021586036.1
OG0002385	NP_666955.2	XP_021590111.1
OG0002385	NP_666752.1, XP_006516742.1	XP_005337156.1
OG0002386	NP_032131.2	XP_005327533.1, XP_021583554.2
OG0002387	XP_006516902.1, NP_031798.2	XP_040138072.1
OG0002388	NP_001276544.1, XP_006516727.1	XP_005337134.1
OG0002389	XP_006508493.1	XP_021579105.1
OG0002389	NP_001355355.1	XP_040138183.1, XP_040138180.1
OG0002390	NP_001390540.1	XP_021581430.1
OG0002391	NP_001108081.1	XP_021588793.1
OG0002392	XP_006529147.1, NP_473418.3	XP_021585525.1, XP_005330375.1
OG0002393	NP_001186280.1, NP_001186281.1, XP_006528407.1, NP_036170.1	XP_040142876.1
OG0002394	NP_081429.1	XP_005316049.2
OG0002395	NP_032836.1	XP_005341209.1
OG0002396	NP_001019312.1, XP_030107204.1	XP_040138979.1
OG0002397	NP_001406071.1	XP_021591067.1, XP_040142778.1, XP_040142794.1, XP_040142793.1
OG0002398	NP_001394473.1, NP_001394472.1, NP_001344738.1, NP_001394467.1, NP_035883.2, NP_001394468.1, NP_001394470.1, NP_001394469.1, NP_001394471.1, XP_011240755.1, NP_001394475.1, NP_001394474.1, NP_001394476.1, NP_001394477.1, NP_001394479.1, NP_001394478.1	XP_005336164.2
OG0002402	NP_001404384.1, NP_001404382.1, NP_001404381.1, NP_001404383.1, NP_035801.3	XP_005323241.1
OG0002403	XP_036015561.1	XP_005320237.1
OG0002405	NP_031568.2, NP_001398705.1	XP_040142801.1, XP_040142804.1, XP_005340648.1, XP_040142811.1, XP_040142798.1
OG0002406	NP_001239543.1	XP_005322856.1
OG0002407	NP_033735.3	XP_005331050.1, XP_005331051.1
OG0002409	NP_001350679.1, NP_032197.3, XP_006505636.1	XP_005331952.1
OG0002410	NP_001139783.1	XP_013213420.1
OG0002411	NP_031838.2, NP_034127.2	XP_005336556.1, XP_005336507.1
OG0002412	NP_035426.1	XP_005318881.1
OG0002412	XP_036014186.1	XP_040144889.1
OG0002413	NP_034515.1, NP_001172111.1	XP_005318876.1
OG0002414	XP_006523926.1, NP_035293.1	XP_005336605.1
OG0002415	XP_011246439.1, NP_033929.2, NP_001077426.1	XP_040149322.1
OG0002416	NP_954607.1	XP_005342679.1
OG0002417	NP_001258366.1, NP_001258365.1, NP_001365713.1, NP_001365712.1, NP_081173.1, NP_001258362.1, NP_001365711.1, NP_001258364.1, NP_001258363.1, NP_001365710.1, NP_001365709.1	XP_005323694.1
OG0002418	XP_036017008.1, NP_775570.1	XP_013220277.1
OG0002419	NP_076395.2, XP_006514834.1	XP_013212655.2
OG0002420	NP_067310.1	XP_013211878.1, XP_005320511.1, XP_021578819.1
OG0002421	NP_032748.1	XP_040142889.1
OG0002423	NP_001156445.1	XP_040140827.1
OG0002424	XP_006523356.1, NP_032578.2	XP_040139449.1, XP_040139450.1, XP_040139451.1
OG0002425	NP_081415.1, NP_001015889.1	NP_001273169.1
OG0002426	NP_001342605.1, NP_031866.2, NP_001342606.1	XP_005328274.1
OG0002427	NP_001397442.1, NP_001355567.1, NP_001397441.1, NP_001397439.1, NP_001397438.1, NP_001397440.1, XP_006501183.1, NP_035067.2	XP_005334962.1
OG0002429	NP_001095928.1	NP_001278561.1, NP_001288718.1, XP_040149307.1
OG0002430	NP_035442.1, NP_001397502.1, NP_001397503.1, NP_001397504.1, NP_001397505.1, XP_036018862.1	XP_005331311.1, XP_040143522.1
OG0002431	NP_667055.2, NP_666977.2, XP_017174009.1, NP_666980.1, NP_666981.2	XP_005342621.1
OG0002432	NP_997020.3, NP_666925.2	XP_005339482.1
OG0002433	NP_666479.1	XP_005328482.2, XP_005328481.1
OG0002434	NP_666965.2	XP_005323368.1, XP_005323369.1
OG0002435	XP_006512786.1, NP_766373.2	XP_005321414.1, XP_040139373.1, XP_040139374.1
OG0002436	NP_034450.1, NP_001399405.1, NP_001399404.1, NP_001399400.1, NP_001399401.1, NP_001399406.1, NP_001399403.1, NP_001399402.1	XP_040135564.1
OG0002437	NP_001348073.1, NP_001348072.1, NP_001289285.1, XP_036016848.1, NP_001348074.1, NP_001348071.1, NP_766221.1	XP_021575534.1
OG0002438	NP_958750.1, XP_006526133.1	XP_005323108.1, XP_021580674.2
OG0002439	NP_766525.3, NP_001271283.1, XP_006512803.1, NP_001071175.1	XP_040139361.1
OG0002440	XP_006512540.1, NP_001345725.1, NP_079619.4	XP_005321429.1, XP_021579580.1
OG0002441	NP_080920.2, XP_006523408.3	XP_005321486.1
OG0002442	NP_032439.2, NP_001041642.1, XP_011245457.1	XP_021581274.1, XP_005324113.1, XP_040141663.1
OG0002443	XP_030098750.1, NP_001347558.1, NP_077134.1	XP_040135755.1
OG0002444	XP_017167838.1, NP_001405894.1	XP_040135903.1, XP_040135900.1, XP_040135902.1, XP_005342720.1, XP_040135901.1
OG0002445	NP_109618.1	XP_005336804.1
OG0002446	NP_035829.1	XP_005328111.1
OG0002446	NP_035828.1	XP_005336714.1
OG0002447	XP_006540120.2	XP_005336636.1, XP_040135636.1
OG0002448	NP_001292366.1	XP_005325861.1, XP_021582346.1
OG0002449	NP_001033691.1	XP_013211530.1
OG0002450	NP_001036180.2, XP_006531195.1	XP_013221180.1
OG0002451	NP_001357999.1, NP_067365.2, NP_001357998.1, XP_036010096.1	XP_005318230.1
OG0002452	NP_082879.1	XP_021590841.1
OG0002453	NP_001411880.1, NP_079573.2	XP_005317767.1
OG0002454	NP_001406141.1, NP_001406138.1, NP_082211.1	XP_005317677.1, XP_040144067.1
OG0002455	NP_032701.2, XP_036019700.1	XP_040143942.1, XP_040143941.1, XP_005317589.1, XP_040143940.1
OG0002456	NP_001356221.1, NP_032572.3, NP_001155271.2, XP_006538677.1, NP_001408172.2	XP_040143917.1
OG0002457	NP_001074643.1	XP_040143916.1, XP_005317554.1, XP_040143915.1, XP_021589419.1
OG0002458	NP_031900.3	XP_005327293.1
OG0002459	NP_001344056.1, XP_006529306.1	XP_021582565.1
OG0002460	NP_033827.2	XP_005320154.1
OG0002461	NP_031775.1	XP_005315726.1
OG0002462	NP_034206.1, NP_001278730.1	XP_021588000.1, XP_021588002.1
OG0002464	NP_722474.2	XP_005326058.2
OG0002465	NP_001347003.1, XP_006519708.1, NP_083665.2	XP_021587636.1, XP_040127875.1, XP_005333809.1, XP_040127874.1, XP_021587635.1
OG0002466	NP_032765.3	XP_005333221.1
OG0002467	XP_006532913.1, NP_663401.2, NP_850930.1	XP_005325521.1
OG0002468	XP_006517806.1, NP_080403.4, NP_001107022.1, NP_001347734.1	XP_021578198.1
OG0002469	XP_036013850.1, NP_001278368.1, NP_666054.2	XP_005319719.1, XP_013211569.1
OG0002470	XP_036014717.1	XP_005317227.1
OG0002471	NP_001408439.1, NP_001344541.1, NP_001344540.1, NP_001344539.1, NP_001344543.1, NP_001344542.1, XP_030100152.1, NP_898994.2	XP_040141441.1
OG0002472	NP_001025009.1	XP_013220313.1
OG0002473	NP_001346629.1, NP_839941.1, NP_001077386.1, NP_001273543.1	XP_005328456.1
OG0002474	NP_001157215.1, NP_848507.2, NP_001157214.1	XP_013215431.1
OG0002475	XP_011240675.1, NP_001396886.1, NP_001182610.1	XP_021588085.2
OG0002476	NP_033047.2, XP_036012349.1, NP_001032853.1	XP_005339509.1, XP_021591688.1
OG0002477	XP_036018681.1, NP_058018.2, XP_036019379.1	XP_013218405.1
OG0002478	NP_082226.1, XP_006531440.1	XP_005335518.1
OG0002479	NP_081034.1	XP_005318524.1
OG0002480	XP_006531254.1, NP_061293.2, NP_598718.2, NP_001273189.1	XP_021577379.1
OG0002482	NP_033729.1, NP_001276939.1, XP_036020624.1	XP_040134040.1
OG0002483	NP_001390246.1, NP_113596.2, NP_001390244.1	XP_005328525.1
OG0002484	XP_011239315.1, NP_598496.3	XP_005339789.1
OG0002485	NP_796336.1	XP_013213439.1
OG0002486	NP_001355284.1, NP_034199.1, NP_001355287.1, XP_036008534.1, NP_001355285.1, NP_001355286.1, NP_001399253.1	XP_005323888.2
OG0002487	NP_034028.1, NP_001399177.1, NP_001288303.1, NP_001399176.1, XP_006507348.1	XP_040132865.1, XP_005323875.1
OG0002488	NP_666312.1	XP_005323862.1
OG0002489	NP_001401132.1	XP_005337815.1
OG0002490	XP_006524706.1, NP_001395135.1, NP_001156742.1	XP_040133331.1
OG0002491	XP_006524740.1, NP_062705.1	XP_040132847.1
OG0002492	NP_001171241.1, XP_036018970.1	XP_013219608.1
OG0002493	NP_766273.1	XP_005339160.1
OG0002493	NP_083330.1	XP_005339171.1
OG0002494	NP_001155211.1, XP_006534863.1, NP_573511.2, NP_001155210.1	XP_005327788.1
OG0002495	NP_001343407.1, NP_573456.1, XP_006495672.1	XP_040126766.1
