Orthogroup	Homo_sapiens	Ictidomys_tridecemlineatus
OG0002813	NP_671488.1, NP_009004.2, NP_001186492.1	XP_040139089.1
OG0002814	NP_001351243.1, NP_001334857.1, NP_001092099.1, XP_006716037.1, NP_001092100.1, NP_001092097.2, NP_116032.1	XP_005331180.1
OG0002815	NP_001316925.1, NP_787083.1, NP_001316926.1, XP_011513500.1	XP_005319213.1, XP_040147740.1, XP_040147739.1
OG0002816	NP_976033.1	XP_005319236.1
OG0002817	NP_001335620.1, NP_689587.1	XP_013217623.1
OG0002818	NP_683707.3, NP_001403224.1, NP_683706.3, NP_683704.2, NP_078862.4, NP_001403223.1, NP_001403221.1, NP_001403222.1	XP_040144597.1
OG0002819	NP_001253.1, NP_523240.1	XP_005326150.1, XP_013214392.1
OG0002821	XP_011533074.1, NP_055682.1	XP_040147923.1
OG0002822	XP_011514699.1, NP_060708.1	XP_040147279.1
OG0002823	XP_005273716.1, NP_115712.1	XP_005340377.1
OG0002824	NP_001002.1	XP_021583463.2
OG0002825	NP_001336110.1	XP_005327401.1
OG0002826	XP_011531105.1, NP_000174.1	XP_005322624.1, XP_040127393.1
OG0002827	NP_001132960.1	XP_005322517.1
OG0002828	NP_001240781.1	XP_013219407.1, XP_013219408.1
OG0002829	NP_777556.1	XP_040143337.1, XP_040143336.1
OG0002830	NP_001288253.1, NP_001159712.1, NP_001159711.1, NP_006560.3	XP_013212878.1
OG0002831	NP_001369735.1, NP_005219.2, XP_047275908.1, NP_001333829.1, NP_001333870.1, NP_001333828.1, NP_001333827.1, NP_001333826.1, NP_958439.1, NP_958440.1, NP_958441.1	XP_040147897.1
OG0002833	NP_071733.1, XP_005274110.1	XP_040139932.1
OG0002834	NP_115720.2, NP_001258760.2, NP_001122085.2, XP_047283655.1, NP_001122084.2	XP_013217431.2
OG0002835	NP_001124382.1	XP_040146093.1
OG0002836	NP_001387634.1, NP_001387638.1, XP_011531630.1, NP_001387636.1, NP_775742.4, NP_001366139.1, NP_001387643.1, NP_001387640.1, NP_001158268.1, NP_001337922.1	XP_021588934.1
OG0002837	NP_075062.2	XP_021583104.1, XP_040125602.1, XP_013214885.1, XP_013214886.1, XP_005326939.1
OG0002838	NP_002664.2, XP_011532135.1, NP_001123554.1	XP_013214879.1
OG0002839	XP_024309067.1	XP_005326921.2
OG0002840	NP_001382589.1	XP_040146157.1, XP_040146159.1, XP_040146158.1, XP_013217262.1
OG0002842	NP_001303870.1, NP_001303866.1, NP_001303869.1, NP_001303871.1, XP_006722845.2, NP_001303867.1, NP_001303868.1, NP_001303865.1	XP_005336168.1
OG0002843	NP_001037852.1, NP_077317.2, XP_047295388.1, NP_001037853.1, NP_653294.1	XP_040146948.1
OG0002844	XP_011526643.1	XP_005332077.1
OG0002845	NP_653165.2, NP_998733.1	XP_005332063.1
OG0002846	NP_061832.2	XP_040146691.1
OG0002847	XP_011543138.1, NP_001350410.1, NP_659455.3	XP_021580816.1
OG0002848	NP_001025030.1	XP_013213077.1, XP_021580803.1
OG0002849	NP_001091992.1, NP_006401.3, NP_001091991.1, NP_001091990.1, NP_001091993.1	XP_040140539.1
OG0002850	NP_060367.1, XP_006713279.1	XP_005317334.1
OG0002851	NP_001339906.1, XP_005265616.1	XP_005317306.1
OG0002852	NP_001034229.1	XP_005320574.1
OG0002853	NP_073597.2	XP_005320593.1
OG0002854	NP_060366.1, XP_047296202.1	XP_005325372.1
OG0002855	NP_001305782.1, XP_011527130.1	XP_040129988.1
OG0002856	NP_001273611.1, NP_057312.1, NP_001273612.1, NP_872603.1, XP_006714294.1	XP_005325562.1
OG0002857	NP_001336000.1, NP_115652.2, NP_001336001.1, NP_001335998.1, NP_001161080.1, XP_047301937.1	XP_021582812.1
OG0002858	NP_064579.3, NP_001263990.1, XP_011509802.1	XP_040123862.1
OG0002859	NP_073728.1, XP_005246168.1	XP_021582707.2
OG0002860	NP_001137251.1	XP_040145425.1
OG0002861	NP_612441.1, NP_001291922.1, XP_016874252.1	XP_005336899.1, XP_040145378.1
OG0002862	NP_055140.1, NP_001263400.1	XP_021575682.2
OG0002863	NP_001005735.1, XP_011528141.1, NP_665861.1, NP_009125.1, NP_001336885.1, NP_001244316.1	XP_005336090.1
OG0002864	NP_000346.2	XP_005341925.1, XP_005341924.1
OG0002865	NP_008988.2, NP_127490.1, NP_001005413.1	XP_005337787.1
OG0002866	NP_002249.1	XP_013221171.2, XP_005342361.1
OG0002867	NP_001435.1	XP_040128293.1, XP_040147693.1, XP_005336065.1, XP_040125469.1
OG0002868	NP_001400193.1, NP_001400195.1, NP_001400197.1, NP_001400196.1, NP_001400194.1, NP_001400192.1, NP_001233.2, XP_016875723.1	XP_005338413.2
OG0002869	NP_001369154.1, NP_001369155.1, NP_005430.1	XP_021590931.1, XP_040136991.1, XP_040136989.1, XP_040136992.1, XP_040136990.1
OG0002870	XP_047284955.1	XP_040136676.1
OG0002871	NP_001271252.1, NP_001271251.1, NP_001035192.1, NP_001271253.1, NP_001271250.1, NP_001271256.1, NP_001271255.1, NP_001035191.1, NP_001271249.1, NP_149984.1	XP_040127938.1
OG0002872	NP_001092301.1, NP_849154.1, XP_011537553.1	XP_040129347.1, XP_005335318.1, XP_040129348.1
OG0002873	NP_001275653.1, NP_001248332.1, NP_002493.3, NP_001309863.1, NP_001070962.1, NP_001309864.1	XP_013217566.1
OG0002874	NP_076945.2	XP_005333679.1
OG0002875	NP_569157.2, NP_001008541.1, NP_005953.4	XP_040129205.1
OG0002876	NP_056537.1	XP_013211985.1, XP_005320844.1, XP_005320845.1
OG0002877	NP_001138350.1	XP_021589407.1, XP_005336060.1
OG0002878	NP_000490.1	XP_013213670.1, XP_005316856.1
OG0002879	NP_001369371.1	XP_005316466.1, XP_005316467.1
OG0002880	NP_001359009.1, NP_689668.3, XP_047288143.1	XP_040130161.1
OG0002881	NP_001311295.1	XP_005316538.1
OG0002882	NP_001273668.1, NP_116296.1, NP_957717.1, NP_001273669.1, XP_011520426.1, NP_001273671.1, NP_001273670.1	XP_005316851.2
OG0002883	NP_001748.1	XP_005323555.1
OG0002884	NP_001121902.1, XP_024309922.1, NP_001121901.1, NP_001362787.1, NP_001362784.1, NP_064544.2, NP_001362786.1, NP_001362785.1	XP_005337612.1
OG0002885	NP_001003810.1, NP_002129.2, NP_112737.1, NP_112738.1	XP_040148171.1
OG0002886	XP_005274808.1	XP_013221487.1
OG0002887	NP_001127928.1	XP_021588748.1
OG0002888	NP_001366398.1	XP_013220637.1, XP_005340347.1
OG0002889	NP_031388.2	XP_021576323.1
OG0002890	XP_011510627.1, NP_852006.1, NP_005823.1, NP_001265840.1	XP_005330342.1, XP_040126045.1
OG0002891	NP_005887.2, NP_001269316.1, NP_001269315.1	XP_005342105.1
OG0002892	XP_005246698.1, NP_001130002.1, NP_006207.1, NP_001130000.1	XP_005330604.1
OG0002893	NP_001964.2	XP_040133584.1
OG0002894	XP_047276558.1, NP_001311009.1, NP_001381274.1, NP_997351.2	XP_005326641.1
OG0002895	NP_113611.2, XP_024305880.1, NP_663735.2	XP_005319919.1
OG0002896	NP_001375330.1, NP_001375331.1, XP_047284799.1, NP_001386720.1, NP_001311045.1, NP_001311043.1, NP_003106.3, NP_001311044.1, NP_001311042.1, NP_001386719.1, NP_001311046.1	XP_005341009.1
OG0002897	NP_055512.1	XP_040143247.1, XP_040143250.1
OG0002897	NP_001128712.1	XP_021576297.1
OG0002898	XP_006724702.1, NP_005287.1, NP_001264929.1	XP_040138522.1, XP_005328874.1, XP_021584437.1
OG0002899	NP_001006613.1, NP_001006615.1, NP_057387.1, NP_001006614.1	XP_005337502.1, XP_005328907.1, XP_013215612.1
OG0002900	NP_001340819.1, NP_001340821.1, NP_001397686.1, NP_001340824.1, NP_001340823.1	XP_040150416.1
OG0002901	NP_001386799.1	XP_005329226.1
OG0002902	NP_001092261.1, NP_067065.1, NP_001092260.1	XP_005324023.1, XP_021581237.1
OG0002903	NP_001116137.1, NP_001347.3	XP_005324032.3
OG0002904	NP_001156793.2	XP_021591201.1
OG0002905	NP_001129497.1	XP_021580864.1
OG0002906	XP_047297721.1	XP_021581964.1
OG0002907	NP_001161442.1, XP_005262253.1, NP_001161444.1, NP_079193.2, NP_001161443.1	XP_021576161.1
OG0002908	NP_060794.1	XP_040133523.1, XP_040133524.1, XP_040133525.1, XP_040133522.1, XP_040133527.1, XP_040133526.1
OG0002909	NP_001156467.1	XP_040124381.1, XP_040124382.1, XP_040124383.1
OG0002913	XP_011514525.1, NP_000236.2, NP_001120972.1	XP_005332335.1
OG0002915	NP_620116.1, NP_620119.2, NP_001278359.1, NP_001278358.1, NP_004315.1, NP_001278357.1	XP_005336706.1
OG0002916	NP_001158088.1, NP_003497.2, NP_001158087.1	XP_005316336.1
OG0002917	NP_001287954.2, XP_016878010.1, NP_001341941.1, NP_783297.2, NP_001341944.1, NP_001287955.1, NP_001317168.1, NP_001341943.1, NP_001341942.1, NP_003248.3	XP_021578525.1
OG0002918	XP_047302455.1	XP_005330380.1
OG0002919	NP_001298130.1, NP_001284.1, NP_001298128.1, NP_001298129.1, NP_001298131.1	XP_005323295.1
OG0002920	NP_001121143.1, NP_002301.1, NP_001351227.1, NP_001351226.1, XP_047273128.1	XP_005325678.1
OG0002921	NP_005685.1, NP_001368932.1, NP_001368931.1	XP_021583635.1, XP_005327681.1, XP_013215173.1
OG0002922	NP_859054.1, NP_005257.2	XP_021576516.1
OG0002923	NP_001186768.2, NP_004041.2	XP_005338817.1
OG0002925	XP_047284777.1	XP_040137888.1
OG0002926	NP_001165289.1	XP_005318832.1
OG0002927	XP_006716504.1, NP_001399757.1	XP_005322991.1
OG0002928	NP_001160051.1	XP_005332655.1, XP_040124354.1
OG0002929	NP_001268425.1	XP_005321751.1
OG0002930	XP_011536932.2, NP_001170899.1, NP_001170904.1, NP_671737.1, NP_067638.3, NP_001170902.1	XP_005340170.1
OG0002931	NP_076410.1	XP_040137789.1
OG0002932	NP_001121070.1	XP_040139887.1
OG0002934	NP_004929.2, NP_001275660.1, NP_001275659.1, NP_001275658.1, XP_047278842.1	XP_005337497.1
OG0002935	NP_001341583.1, NP_001341582.1, NP_001341584.1, NP_001341585.1, NP_000907.2	XP_005333899.1
OG0002936	NP_001240605.1	XP_005329833.1, XP_040139290.1
OG0002938	NP_004065.1	XP_005333572.1
OG0002939	NP_003923.2	XP_005322276.1, XP_040135110.1, XP_013214566.1
OG0002940	NP_758844.1, NP_001268461.1	XP_005330638.1
OG0002941	NP_001157750.1	XP_005328405.1
OG0002942	NP_001334841.1	XP_021590736.1
OG0002943	XP_011528297.1	XP_021589436.1
OG0002944	NP_776297.2	XP_005325555.1
OG0002945	NP_001240308.1	XP_005317323.1, XP_040145792.1
OG0002946	NP_005107.4, NP_976072.1	XP_021578859.1, XP_021578860.1, XP_040131995.1, XP_005320557.1
OG0002947	NP_001104755.1, XP_016874748.1, NP_001400935.1	XP_040135172.1
OG0002948	XP_011512195.1, NP_006008.1	XP_021577750.1
OG0002949	NP_001005166.3	XP_005341179.1
OG0002954	NP_001342164.2	XP_005334152.1, XP_013221902.1
OG0002955	NP_001010905.1	XP_021588985.1, XP_005335444.1
OG0002956	NP_001275910.1, NP_001357238.1, XP_016881056.1, NP_001275909.1, NP_775800.3, NP_001275911.1	XP_013213013.1
OG0002957	XP_047279911.1, NP_001317620.1, NP_001336768.1, NP_001336767.1, NP_001092272.1, NP_001317622.1, NP_001336769.1, NP_115547.1, NP_001317623.1	XP_040139725.1
OG0002958	XP_005251926.1, NP_001129292.1, NP_037522.1	XP_005324157.1
OG0002959	NP_001358123.1, XP_011516425.1	XP_040131325.1
OG0002960	NP_060150.4	XP_005320922.1
OG0002961	XP_005259409.1, NP_116225.2	XP_021577028.1
OG0002962	XP_011525529.1, NP_001357025.1	XP_005341640.1
OG0002963	XP_054185641.1, NP_001167552.1	XP_021576653.2, XP_021576764.1
OG0002966	NP_001257568.1	XP_005341723.1
OG0002967	NP_009052.4	XP_005341716.1
OG0002968	NP_055234.1, XP_006723205.1	XP_040135233.1, XP_013218972.1, XP_005336721.1
OG0002969	XP_005258750.1, NP_036583.2	XP_040135685.1
OG0002970	XP_005259500.1, NP_055496.2	XP_005336637.1
OG0002971	NP_085055.2, XP_011525651.1	XP_005336519.1
OG0002972	NP_444274.1, NP_542770.2	XP_040135918.1, XP_005336505.1
OG0002973	NP_004587.1	XP_005336502.1
OG0002974	NP_001124296.1, NP_003160.2, NP_001306919.1, NP_001104490.1, NP_001124297.1, NP_001306920.1	XP_005336475.1
OG0002975	NP_001372580.1, NP_001005335.1, XP_047294693.1, NP_001524.2	XP_013218869.1
OG0002976	NP_940941.2	XP_005342829.4
OG0002976	NP_001013681.2, XP_006723276.1	XP_021576024.1, XP_021576023.1, XP_040135440.1, XP_040135442.1
OG0002977	NP_071912.2, NP_001121367.1, XP_011525524.1, NP_001121368.1	XP_005330685.1
OG0002978	NP_001272758.1, NP_001274364.1, NP_004355.2, NP_001274353.1	XP_013216352.1
OG0002979	XP_005259419.1, NP_001239570.1, NP_003787.2	XP_040135014.1
OG0002980	NP_001278233.1	XP_005333996.1
OG0002981	NP_068506.2	XP_040134671.1
OG0002982	XP_047281210.1, NP_001001973.1, NP_005165.1	XP_005320453.1, XP_013213193.2
OG0002983	NP_054742.2	XP_040132581.1, XP_021578739.1, XP_005320391.1
OG0002984	XP_005248605.1, NP_061945.1	XP_005319617.1
OG0002986	NP_579917.1	XP_005319585.1
OG0002987	XP_006721251.1	XP_040135652.1
OG0002988	NP_001352253.1, NP_001035374.2, XP_011521577.1, NP_001035375.2, NP_001352252.1	XP_005318221.1
OG0002989	NP_932157.1, NP_001372048.1, NP_001372038.1, NP_001372049.1, NP_001372051.1, NP_001317417.1, NP_001372050.1, NP_001372041.1, NP_001372052.1, NP_004418.2	XP_040144263.1
OG0002990	NP_001036236.1, NP_001317397.1, NP_005347.3, XP_024302814.1	XP_021588858.2
OG0002991	NP_001006666.1	XP_005317700.1
OG0002992	NP_001238906.1	XP_040144045.1
OG0002993	NP_006332.3, XP_047286738.1, NP_001120797.1	XP_005317514.1
OG0002994	NP_001354380.1, NP_001354382.1, NP_001354376.1, NP_001354377.1, XP_011517904.1, NP_065875.3, NP_001354383.1, NP_001354381.1, NP_001354384.1, NP_001354379.1, NP_001354378.1	XP_013211837.1
OG0002995	NP_001875.1, XP_011541470.1	XP_005315722.1
OG0002996	NP_001341304.1, XP_011542170.1, NP_001341305.1, NP_001341301.1, NP_001341303.1, NP_001341302.1, NP_001096080.1, NP_001341307.1, NP_443135.3, NP_001341306.1	XP_040131340.1
OG0002997	NP_001310958.1, NP_001310963.1	XP_013211791.1
OG0002998	NP_940928.2, XP_047288438.1	XP_005320202.1, XP_040132381.1, XP_040132380.1
OG0002999	NP_001276752.1	XP_005320221.1
OG0003000	NP_001365546.1, XP_011512174.1, NP_001073991.2, NP_001365544.1	XP_040148582.1
OG0003001	NP_001128643.1, NP_114117.1, XP_011512074.1, NP_001128642.1	XP_005319016.1
OG0003002	XP_011512215.1, NP_005105.1	XP_040148596.1, XP_040148594.1, XP_005319020.1
OG0003003	NP_060286.1, XP_011511807.1, NP_001139197.1	XP_040132695.1, XP_021577783.1
OG0003004	NP_001274693.1, NP_001369156.1, NP_055207.1, NP_001274692.1, NP_001035190.1, NP_001369157.1	XP_005319029.1
OG0003005	NP_001374074.1, NP_001374075.1, NP_001374077.1, NP_001374076.1, NP_001374078.1, NP_001374071.1, NP_055894.6, NP_001374073.1, XP_011519689.1, NP_653173.1, NP_001374072.1	XP_005316920.1
OG0003006	NP_004051.1, NP_001350944.1, NP_954854.1, NP_001350947.1, XP_047273818.1	XP_005325471.1
OG0003007	NP_066267.2	XP_040129233.1
OG0003008	NP_277031.1, NP_277035.2, NP_001309295.1, NP_001309294.1, NP_277033.1, NP_001309293.1, XP_024303737.1, NP_001345192.1, NP_277032.1, NP_001309296.1	XP_040129178.1
OG0003009	NP_001165404.1	XP_040129225.1
OG0003010	XP_005269798.1	XP_005325885.1
OG0003011	NP_001357084.1, NP_620167.1, NP_001357086.1, XP_005269606.1, NP_001357085.1, NP_001255982.1	XP_005338614.1
OG0003012	NP_001305829.1, NP_001305831.1, NP_001305834.1, XP_047281055.1, NP_001305835.1, NP_001305830.1, NP_001305833.1	XP_021587637.1
OG0003013	NP_001336661.1	XP_040148996.1, XP_040148997.1
OG0003013	NP_001336663.1, NP_001336664.1, NP_001336662.1, XP_011532726.1, NP_001253964.1, NP_443159.1, NP_001124336.1	XP_021582147.1
OG0003014	XP_011512246.1, NP_006704.3	XP_005325713.1
OG0003015	NP_004923.1, XP_011512223.1	XP_005325721.1
OG0003016	NP_001316681.1	XP_005322179.1
OG0003017	NP_001265433.1	XP_005339596.1, XP_040141442.1, XP_021579832.1
OG0003018	NP_060665.3, NP_001287950.1, NP_001287948.1, NP_001287946.1, NP_001076439.1, XP_047283153.1, NP_001076438.1	XP_005334282.1
OG0003019	XP_047291955.1, NP_958928.1, NP_001307801.1, NP_001307800.1, NP_001307799.1, NP_001307806.1	XP_040125362.1
OG0003020	XP_011522036.1, NP_776089.2, NP_079290.1	XP_005332909.1
OG0003021	NP_001335051.1, NP_001335050.1, NP_001335055.1, NP_001335053.1, NP_001335054.1, NP_006461.3, NP_001335049.1, NP_001335048.1	XP_005338923.1, XP_040125507.1, XP_040125508.1
OG0003022	NP_001333096.1, NP_001333098.1, NP_065704.2, NP_001333097.1, NP_001333100.1, NP_001333099.1	XP_005340870.1
OG0003023	XP_016857278.1	XP_021591567.1
OG0003024	NP_005332.1, NP_001265576.1, NP_001265577.1, XP_047274820.1	XP_040143788.1
OG0003025	NP_079007.2	XP_005335511.2
OG0003026	NP_689550.2	XP_005318573.2
OG0003027	NP_001188481.1	XP_013221008.1
OG0003028	NP_171608.2	XP_005318352.2
OG0003029	NP_060848.2	XP_005318354.1
OG0003030	NP_001013417.1	XP_040139074.1
OG0003031	XP_016878448.1, NP_660313.1	XP_005323711.1, XP_021581064.1
OG0003032	NP_001353578.1, NP_001123541.2, NP_001353576.1, NP_001353577.1, XP_011513556.2, NP_001035935.3, NP_001035934.3, NP_056226.3, NP_001035933.3, NP_001139805.1	XP_005328609.2
OG0003033	NP_001357331.1, NP_115784.1	XP_013215523.3
OG0003034	NP_112223.1, XP_011514891.1	XP_005328539.1
OG0003035	NP_001291453.1, NP_001291454.1, NP_001013859.1, NP_001291452.1, NP_001013858.1, NP_003541.2	XP_005339903.2
OG0003036	NP_001496.1, NP_001035055.1, NP_001091671.1	XP_005339888.1
OG0003037	NP_001035919.1	XP_005328620.1
OG0003038	NP_690865.1	XP_021581202.1, XP_005323943.1
OG0003038	NP_037390.2, NP_660183.1	XP_005323941.1
OG0003039	NP_001077082.1, XP_005255180.1	XP_021581175.1
OG0003040	NP_001291700.1, NP_057319.1	XP_040133322.1
OG0003041	NP_001339049.1	XP_021583327.1
OG0003042	NP_683721.1	XP_005323710.1
OG0003043	NP_060089.1	XP_005339151.1, XP_013220128.1
OG0003045	XP_005271314.1	XP_021583701.1
OG0003047	NP_001382329.1, NP_001073678.1	XP_040131001.1, XP_040130995.1, XP_021575806.1, XP_021575809.1, XP_021575811.1, XP_021575807.1
OG0003048	NP_054895.1	XP_005330397.1
OG0003049	NP_001362357.1	XP_005329513.1
OG0003050	XP_005245436.1, NP_066988.1	XP_005319826.1
OG0003051	NP_005675.3	XP_040132864.1, XP_021578316.1, XP_021578315.1, XP_005319836.1, XP_040132863.1
OG0003052	XP_006711722.1	XP_021586226.1
OG0003053	NP_001995.1, NP_001129293.1	XP_005331408.1
OG0003054	NP_878256.1, NP_004572.3	XP_005338774.1
OG0003055	NP_001374860.1, NP_068814.2	XP_040130915.1, XP_040130913.1, XP_040130912.1, XP_040130911.1
OG0003056	NP_004848.3	XP_005322846.1
OG0003058	NP_003291.2	XP_040132138.1
OG0003059	NP_976222.1, XP_011516974.1	XP_013219044.2
OG0003059	NP_997393.3	XP_005337036.1
OG0003060	NP_001380958.1, NP_001380957.1	XP_005328154.1
OG0003061	NP_001397124.1, NP_065965.5	XP_040148987.1, XP_040124466.1, XP_040127561.1, XP_040133697.1
OG0003062	NP_001073271.1, NP_001393671.1, NP_000143.2, NP_001073272.1, XP_047291675.1, NP_001393670.1	XP_005332688.1
OG0003063	XP_024306789.2, NP_004685.2, NP_001167637.1	XP_040124479.1, XP_005328299.1, XP_040124477.1, XP_040124478.1
OG0003064	NP_085053.1, XP_005257760.1	XP_005328253.1
OG0003065	NP_003945.2, XP_047292953.1	XP_040124606.1, XP_005328198.1, XP_040124607.1
OG0003066	NP_001136077.1	XP_040124854.1
OG0003067	NP_114068.1, XP_011523115.1, NP_005890.2, NP_001278501.1, NP_001278500.1	XP_005321971.1
OG0003068	NP_009075.1, NP_001356544.1, NP_001356543.1, XP_016880505.1	XP_040124777.1
OG0003069	NP_001381685.1, NP_055541.1, NP_001381684.1, XP_005257917.1	XP_021579692.1
OG0003070	NP_001120700.1	XP_040124815.1
OG0003071	NP_055712.1, XP_024306421.1, NP_001138837.1	XP_005321752.1
OG0003072	XP_011523189.1, NP_057161.1, NP_001015509.1	XP_013212563.1
OG0003073	NP_612472.1	XP_005327891.1
OG0003074	NP_001159392.1, NP_000925.2, XP_005256758.2, NP_001159393.1	XP_040126465.1
OG0003075	NP_076991.3, XP_047292653.1	XP_040125231.1, XP_005327979.1
OG0003076	XP_016880150.1, NP_001121557.1, NP_000040.1	XP_040125239.1, XP_021590239.1, XP_040125487.1, XP_040125488.1
OG0003077	NP_777617.1, NP_005164.2, NP_777615.1, NP_777618.1, NP_777616.1, NP_777613.1, NP_777614.1, XP_011522183.1	XP_013219263.1
OG0003078	XP_047279352.1, NP_001001710.1	XP_040142635.1
OG0003079	XP_047279407.1, NP_958854.1, NP_057299.1	XP_013219047.2
OG0003080	NP_001181982.1	XP_005335732.1
OG0003081	NP_001138606.1, NP_001138607.1, NP_001138609.1, NP_004368.1, NP_689452.1, NP_689451.1	XP_005335045.2
OG0003082	NP_001092764.1, XP_005261847.1	XP_005338647.1
OG0003083	XP_047297435.1, NP_001243459.1, NP_001243460.1, NP_000705.2	XP_013219851.1
OG0003084	XP_011531210.1	XP_005324559.1
OG0003085	NP_060127.3, NP_001002243.1, NP_001381924.1, NP_001362901.1, NP_001362902.1, NP_001381925.1, NP_001362900.1, NP_001362899.1, NP_001362898.1, NP_982261.2	XP_021579978.1
OG0003086	NP_001092691.1	XP_005333280.1
OG0003087	NP_001273960.1, NP_038470.1, NP_001273962.1, NP_001273961.1	XP_005326293.1
OG0003088	NP_006280.3	XP_005326311.1, XP_021582645.1
OG0003089	NP_001007170.1	XP_040139752.1
OG0003090	XP_011516652.1	XP_013212233.1, XP_013212232.1, XP_005320941.1
OG0003091	XP_005248907.1, NP_001139124.2	XP_005318646.1
OG0003092	NP_005634.1	XP_021577683.1
OG0003093	NP_775829.2, XP_047274288.1	XP_040138520.1
OG0003094	XP_047274119.1, NP_476502.1	XP_005318718.1
OG0003095	NP_055751.1	XP_005318671.1
OG0003096	NP_000246.2, XP_005249200.1	XP_005318649.1
OG0003097	XP_005249262.1, NP_060602.2	XP_040138698.1
OG0003098	NP_077275.1	XP_005325383.1
OG0003099	XP_005248736.1, NP_001229738.1, NP_055757.3, NP_001229743.1, NP_001229742.1, NP_001229740.1	XP_040139022.1
OG0003100	NP_001273310.1, NP_001273309.1, NP_115824.1, XP_024302337.1, NP_001273308.1	XP_021577156.1
OG0003101	NP_694560.1	XP_021580300.1
OG0003102	NP_001308891.1, NP_001308895.1, NP_001308894.1, NP_001308893.1, NP_001308892.1, XP_006716601.2, NP_036604.2, NP_001308890.1	XP_021578016.1
OG0003103	NP_001159709.1, NP_079012.3	XP_005316153.1
OG0003104	NP_006086.1	XP_005320010.1
OG0003105	NP_079285.2, XP_006714118.1	XP_005320079.1
OG0003106	NP_689919.1	XP_040147080.1, XP_005340074.1
OG0003107	NP_001337601.1	XP_005334730.1
OG0003108	NP_001250.1, NP_001138778.1, XP_047275672.1	XP_040147439.1, XP_021576070.1, XP_040147437.1, XP_040147438.1
OG0003109	NP_001132971.1, NP_001124182.1, XP_047276056.1	XP_040129736.1
OG0003109	NP_036454.1	XP_005319234.1
OG0003110	NP_036470.1, XP_005250296.1	XP_005334010.1, XP_040147532.1
OG0003111	XP_005270810.1, NP_055281.2	XP_005317867.1, XP_040144312.1, XP_040144311.1
OG0003112	NP_061008.2, NP_001017922.1, XP_047299542.1	XP_040144419.1
OG0003113	NP_076872.1, NP_001005752.1	XP_005317843.1
OG0003114	NP_005718.2, XP_011538762.1	XP_005318041.1
OG0003115	NP_001029196.1, NP_061973.1, NP_001029195.1	XP_013220341.1
OG0003117	NP_001248763.1	XP_005319311.1, XP_021578008.1, XP_013211437.1
OG0003119	NP_001350040.1, NP_001350039.1, NP_001167631.1, NP_071354.2, XP_047278035.1, NP_001167630.1	XP_005329340.1
OG0003120	NP_001098684.1, NP_001269201.1, NP_001248761.1, NP_004665.2, XP_005273739.1	XP_040147742.1
OG0003121	NP_001290348.1	XP_005329308.3
OG0003122	NP_009030.1, NP_004291.1, NP_001035739.1	XP_021583409.1
OG0003123	NP_001274118.1	XP_005327413.1
OG0003124	NP_001309030.1	XP_040127332.1
OG0003125	NP_005804.1, XP_005264294.1	XP_005336599.1
OG0003126	NP_001156995.1, NP_848590.3	XP_005339637.1, XP_040126680.1, XP_040126679.1
OG0003127	NP_057128.2, NP_955368.1, NP_001307777.1, XP_011509585.1, XP_011509047.1	XP_005339630.1
OG0003128	NP_001017396.1, NP_001278533.1, NP_001269327.1, NP_001278534.1, NP_066574.2	XP_040126661.1
OG0003130	NP_001241681.1	XP_005316382.2, XP_040139631.1
OG0003131	XP_047275888.1	XP_021590398.1
OG0003132	XP_016867663.2, NP_002183.1	XP_005319271.1
OG0003133	NP_001116310.1	XP_005319528.1, XP_021578117.1, XP_040147613.1, XP_021578118.1
OG0003134	NP_001027466.1, NP_000053.2	XP_005331643.1
OG0003135	NP_065174.1, NP_001018080.1	XP_040139958.1, XP_013217503.1
OG0003136	NP_872362.4, NP_001339310.2, NP_001265180.3, NP_001070709.3, NP_001339311.2, NP_001265179.3, NP_001287749.2, NP_001339313.2, NP_001339312.2	XP_005333623.1
OG0003137	NP_001988.1	XP_005333511.1
OG0003138	NP_001369377.1, NP_848537.1, NP_001369291.1, NP_001369293.1, NP_113659.3, NP_001369290.1	XP_005333567.1
OG0003139	NP_004102.1	XP_005331571.1, XP_013216776.1
OG0003140	XP_005274134.1, NP_060436.4	XP_021586284.1
OG0003141	NP_001164218.1	XP_040137849.1
OG0003142	NP_001041706.1	XP_005336169.1
OG0003144	NP_001265199.1, NP_006345.1	XP_021587705.1, XP_005333881.1
OG0003145	XP_011532083.1	XP_021583181.1
OG0003146	NP_001276990.1	XP_013214917.1
OG0003147	XP_006713017.1, NP_006832.1	XP_005327003.1
OG0003148	NP_075054.3	XP_040125630.1
OG0003149	NP_001373350.1	XP_040146089.1
OG0003150	NP_001186125.1	XP_013217278.1, XP_040146181.1, XP_040146180.1, XP_013217277.1, XP_040146179.1, XP_021587168.1, XP_021587169.1, XP_021587170.1, XP_013217279.1
OG0003151	NP_001308368.1	XP_005336209.1
OG0003152	NP_001374277.1, NP_001374276.1, NP_001308340.1, NP_114123.2, XP_011526650.1	XP_040146421.1
OG0003153	NP_891549.1	XP_040146587.1
OG0003154	NP_001303252.1, NP_001303253.1, XP_011526372.1, NP_002686.3	XP_005332013.1
OG0003155	XP_005259602.1, NP_001372529.1, NP_001372528.1, NP_001372527.1, NP_001372526.1, NP_872383.1	XP_040146751.1
