Orthogroup	Homo_sapiens	Sarcophilus_harrisii
OG0002997	NP_001310958.1, NP_001310963.1	XP_031811470.1, XP_031811471.1, XP_031811469.1
OG0002998	NP_940928.2, XP_047288438.1	XP_031811460.1, XP_031811461.1, XP_031811462.1, XP_023352698.2
OG0002999	NP_001369551.1, NP_001276752.1	XP_031811492.1
OG0003000	NP_001365546.1, XP_011512174.1, NP_001073991.2, NP_001365544.1	XP_031797241.1
OG0003001	NP_001128643.1, NP_114117.1, XP_011512074.1, NP_001128642.1	XP_003773422.2, XP_031799061.1
OG0003002	XP_011512215.1, NP_005105.1	XP_003773427.1
OG0003003	NP_060286.1, XP_011511807.1, NP_001139197.1	XP_003773430.1
OG0003004	NP_001274693.1, NP_001369156.1, NP_055207.1, NP_001274692.1, NP_001035190.1, NP_001369157.1	XP_031798736.1
OG0003005	NP_001374074.1, NP_001374075.1, NP_001374077.1, NP_001374076.1, NP_001374078.1, NP_001374071.1, NP_055894.6, NP_001374073.1, XP_011519689.1, NP_653173.1, NP_001374072.1	XP_031812625.1
OG0003006	NP_004051.1, NP_001350944.1, NP_954854.1, NP_001350947.1, XP_047273818.1	XP_012407720.1, XP_023361843.1
OG0003007	NP_066267.2	XP_031812769.1
OG0003008	NP_277031.1, NP_277035.2, NP_001309295.1, NP_001309294.1, NP_277033.1, NP_001309293.1, XP_024303737.1, NP_001345192.1, NP_277032.1, NP_001309296.1	XP_031812710.1
OG0003009	NP_071407.4, NP_001165404.1	XP_031812412.1
OG0003010	XP_005269798.1	XP_031812246.1, XP_031812247.1, XP_031812248.1
OG0003011	NP_001357084.1, NP_620167.1, NP_001357086.1, XP_005269606.1, NP_001357085.1, NP_001255982.1	XP_012396191.1
OG0003012	NP_001305829.1, NP_001305831.1, NP_001305834.1, XP_047281055.1, NP_001305835.1, NP_001305830.1, NP_001305833.1, NP_036216.2, NP_005262.1	XP_012395327.3
OG0003013	NP_001336661.1, NP_001336663.1, NP_001336664.1, NP_001336662.1, XP_011532726.1, NP_001253964.1, NP_443159.1, NP_001124336.1	XP_031809473.1
OG0003014	XP_011512246.1, NP_006704.3	XP_003760002.1
OG0003015	NP_004923.1, XP_011512223.1	XP_031802006.1, XP_003759693.1, XP_031802005.1
OG0003016	NP_001316681.1	XP_003758001.1
OG0003017	NP_001265433.1, NP_689926.1, XP_011541109.1, NP_001265432.1	XP_003764397.1
OG0003018	NP_060665.3, NP_001287950.1, NP_001287948.1, NP_001287946.1, NP_001076439.1, XP_047283153.1, NP_001076438.1	XP_003764271.1, XP_031817042.1
OG0003019	XP_047291955.1, NP_958928.1, NP_001307801.1, NP_001307800.1, NP_001307799.1, NP_001307806.1	XP_031821343.1
OG0003020	XP_011522036.1, NP_776089.2, NP_079290.1	XP_023358509.1
OG0003023	XP_016857278.1	XP_031818867.1
OG0003024	NP_005332.1, NP_001265576.1, NP_001265577.1, XP_047274820.1	XP_031818806.1
OG0003025	NP_079007.2	XP_003758505.2
OG0003026	NP_689550.2	XP_003757901.1
OG0003027	NP_001188481.1	XP_003758590.1
OG0003028	NP_171608.2	XP_031806167.1, XP_031806170.1, XP_031806169.1
OG0003029	NP_060848.2	XP_031805097.1
OG0003030	NP_005181.2, XP_047275440.1, NP_001350466.1, NP_001013417.1	XP_012404690.1
OG0003031	XP_016878448.1, NP_660313.1	XP_031801571.1, XP_031801573.1, XP_031801570.1, XP_031801572.1
OG0003032	NP_001353578.1, NP_001123541.2, NP_001353576.1, NP_001353577.1, XP_011513556.2, NP_001035935.3, NP_001035934.3, NP_056226.3, NP_001035933.3, NP_001139805.1	XP_003767985.1
OG0003033	NP_001357331.1, NP_115784.1	XP_031823817.1
OG0003035	NP_001291453.1, NP_001291454.1, NP_001013859.1, NP_001291452.1, NP_001013858.1, NP_003541.2	XP_031806048.1
OG0003036	NP_001496.1, NP_001035055.1, NP_001091671.1	XP_003761550.1
OG0003037	NP_001035919.1	XP_031793311.1
OG0003038	NP_690865.1	XP_012398136.1
OG0003038	NP_037390.2, NP_660183.1	XP_012398139.1
OG0003039	NP_001077082.1, XP_005255180.1	XP_003762115.1
OG0003040	NP_001291700.1, NP_057319.1	XP_031798455.1, XP_012398196.1
OG0003042	NP_683721.1	XP_031801574.1, XP_031801575.1
OG0003043	NP_060089.1	XP_003769753.1, XP_012404997.1
OG0003044	NP_000960.2	XP_031825164.1
OG0003045	XP_005271314.1	XP_031825201.1, XP_031825199.1, XP_031825200.1
OG0003047	NP_001382329.1, NP_001073678.1	XP_031802480.1
OG0003048	NP_054895.1	XP_031792999.1, XP_003767619.1
OG0003049	NP_001362357.1	XP_031793166.1, XP_031793167.1
OG0003050	XP_005245436.1, NP_066988.1	XP_031792794.1
OG0003051	NP_005675.3	XP_031824238.1
OG0003052	XP_006711722.1	XP_031822659.1
OG0003053	NP_001229754.1, NP_001129294.1, NP_001229753.1, NP_001365354.1, NP_001365353.1, NP_001995.1, NP_001129293.1	XP_031822577.1
OG0003054	NP_878256.1, NP_004572.3	XP_023355362.2
OG0003055	NP_001374860.1, NP_068814.2	XP_031808565.1
OG0003056	NP_004848.3	XP_003756400.2
OG0003058	NP_003291.2	XP_023359955.1
OG0003059	NP_976222.1, XP_011516974.1	XP_031807857.1
OG0003059	NP_997393.3	XP_012399805.1, XP_012409508.2
OG0003060	NP_001380958.1, NP_001380957.1	XP_031821911.1, XP_031821910.1
OG0003061	NP_001397124.1, NP_065965.5	XP_031821450.1
OG0003062	NP_001073271.1, NP_001393671.1, NP_000143.2, NP_001073272.1, XP_047291675.1, NP_001393670.1	XP_003768705.1
OG0003063	XP_024306789.2, NP_004685.2, NP_001167637.1	XP_031821552.1, XP_031821553.1
OG0003064	NP_085053.1, XP_005257760.1	XP_031821755.1, XP_031821754.1
OG0003065	NP_003945.2, XP_047292953.1	XP_031821848.1, XP_003768483.1
OG0003066	NP_001136077.1, NP_004238.3, NP_001245283.1, NP_001245282.1	XP_031821853.1, XP_031821854.1
OG0003067	NP_114068.1, XP_011523115.1, NP_005890.2, NP_001278501.1, NP_001278500.1	XP_012403701.1
OG0003068	NP_009075.1, NP_001356544.1, NP_001356543.1, XP_016880505.1	XP_031822015.1
OG0003069	NP_001381685.1, NP_055541.1, NP_001381684.1, XP_005257917.1	XP_031821987.1
OG0003070	NP_006798.1, NP_001120700.1	XP_031821972.1, XP_003768381.1, XP_012403849.1, XP_031821973.1
OG0003071	NP_055712.1, XP_024306421.1, NP_001138837.1	XP_031821942.1, XP_031821943.1, XP_031821944.1, XP_031821940.1
OG0003072	XP_011523189.1, NP_057161.1, NP_001015509.1	XP_031822370.1, XP_003767966.1
OG0003073	NP_612472.1, NP_001153879.1	XP_031823556.1, XP_031823557.1
OG0003074	NP_001159392.1, NP_000925.2, XP_005256758.2, NP_001159393.1	XP_031823654.1, XP_031823653.1
OG0003075	NP_076991.3, XP_047292653.1	XP_031823669.1, XP_031823668.1, XP_031823666.1, XP_031823667.1
OG0003077	NP_777617.1, NP_005164.2, NP_777615.1, NP_777618.1, NP_777616.1, NP_777613.1, NP_777614.1, XP_011522183.1	XP_031813244.1
OG0003078	XP_047279352.1, NP_001001710.1	XP_031807773.1
OG0003079	XP_047279407.1, NP_958854.1, NP_057299.1	XP_031810794.1, XP_031810796.1, XP_031810799.1, XP_031810797.1, XP_031810795.1, XP_031810798.1
OG0003080	NP_001181982.1	XP_012406997.1, XP_003772329.1
OG0003081	NP_001138606.1, NP_001138607.1, NP_001138609.1, NP_004368.1, NP_689452.1, NP_689451.1	XP_031796835.1, XP_031796837.1, XP_031796836.1
OG0003082	NP_001092764.1, XP_005261847.1	XP_031796522.1
OG0003083	XP_047297435.1, NP_001243459.1, NP_001243460.1, NP_000705.2	XP_031794778.1, XP_031794775.1, XP_031794777.1
OG0003084	XP_011531210.1	XP_003758358.1
OG0003085	NP_060127.3, NP_001002243.1, NP_001381924.1, NP_001362901.1, NP_001362902.1, NP_001381925.1, NP_001362900.1, NP_001362899.1, NP_001362898.1, NP_982261.2	XP_012395628.1
OG0003086	NP_001092691.1	XP_012405103.2
OG0003087	NP_001273960.1, NP_038470.1, NP_001273962.1, NP_001273961.1	XP_003761813.1
OG0003088	NP_006280.3	XP_031801210.1, XP_031801209.1, XP_031801211.1, XP_031801208.1, XP_031801207.1
OG0003090	XP_011516652.1	XP_031810040.1, XP_012409108.2
OG0003091	XP_005248907.1, NP_001139124.2	XP_031820595.1
OG0003092	NP_005634.1	XP_031820888.1, XP_031811789.1
OG0003093	NP_775829.2, XP_047274288.1	XP_023358728.1
OG0003094	XP_047274119.1, NP_476502.1	XP_031820685.1
OG0003095	NP_055751.1	XP_031820613.1
OG0003096	NP_000246.2, XP_005249200.1	XP_003769188.1
OG0003097	XP_005249262.1, NP_060602.2	XP_012404571.1, XP_003769189.1
OG0003098	NP_077275.1	XP_003757650.2
OG0003099	XP_005248736.1, NP_001229738.1, NP_055757.3, NP_001229743.1, NP_001229742.1, NP_001229740.1	XP_031820383.1
OG0003100	NP_001273310.1, NP_001273309.1, NP_115824.1, XP_024302337.1, NP_001273308.1	XP_012404948.1
OG0003101	NP_694560.1	XP_031802979.1, XP_003760373.1
OG0003102	NP_001308891.1, NP_001308895.1, NP_001308894.1, NP_001308893.1, NP_001308892.1, XP_006716601.2, NP_036604.2, NP_001308890.1	XP_031803069.1
OG0003103	NP_001159709.1, NP_079012.3	XP_012397449.2, XP_031803406.1
OG0003104	NP_001386953.1, XP_011511917.1, NP_006086.1, NP_001386954.1, NP_001098999.1, NP_001386956.1, NP_001386955.1	XP_031799299.1
OG0003105	NP_079285.2, XP_006714118.1	XP_023361765.1, XP_031797644.1
OG0003106	NP_689919.1	XP_012406729.1
OG0003107	NP_001337601.1	XP_031795864.1
OG0003108	NP_001250.1, NP_001138778.1, XP_047275672.1	XP_031795876.1, XP_031795877.1
OG0003109	NP_001132971.1, NP_001124182.1, XP_047276056.1, NP_036454.1	XP_031808649.1
OG0003110	NP_036470.1, XP_005250296.1	XP_003771602.1
OG0003111	XP_005270810.1, NP_055281.2	XP_031818000.1, XP_012401645.2
OG0003112	NP_061008.2, NP_001017922.1, XP_047299542.1	XP_012401458.1, XP_023356020.1, XP_012401457.1
OG0003113	NP_076872.1, NP_001005752.1	XP_003765384.1
OG0003114	NP_005718.2, XP_011538762.1	XP_031825057.1, XP_012405767.1, XP_003770725.1
OG0003115	NP_001029196.1, NP_061973.1, NP_001029195.1	XP_031825112.1
OG0003117	NP_001248763.1	XP_003762603.1, XP_012399208.1, XP_031813215.1
OG0003118	NP_001356747.2, NP_001356744.1, NP_001356749.1, NP_001356750.1, NP_001356743.1, NP_001096646.1, NP_001356745.1, NP_001380592.1	XP_012406628.1
OG0003119	NP_001350040.1, NP_001350039.1, NP_001167631.1, NP_071354.2, XP_047278035.1, NP_001167630.1	XP_031806675.1
OG0003120	NP_001098684.1, NP_001269201.1, NP_001248761.1, NP_004665.2, XP_005273739.1	XP_012395431.2
OG0003122	NP_009030.1, NP_004291.1, NP_001035739.1	XP_012395366.1
OG0003123	NP_001274118.1	XP_031806983.1, XP_031807157.1
OG0003124	NP_001309030.1	XP_031807313.1, XP_031807312.1, XP_023350354.1
OG0003125	NP_005804.1, XP_005264294.1	XP_031806210.1, XP_031806211.1, XP_031806212.1, XP_023350776.1
OG0003126	NP_001156995.1, NP_848590.3	XP_012395514.1
OG0003127	NP_057128.2, NP_955368.1, NP_001307777.1, XP_011509585.1, XP_011509047.1	XP_003758152.2
OG0003128	NP_001017396.1, NP_001278533.1, NP_001269327.1, NP_001278534.1, NP_066574.2	XP_031806823.1, XP_031806830.1
OG0003129	NP_003688.1	XP_012408564.1
OG0003130	NP_001241681.1	XP_003760314.1
OG0003131	XP_047275888.1	XP_023354035.1, XP_003762585.1
OG0003132	XP_016867663.2, NP_002183.1	XP_031807671.1
OG0003133	NP_001116310.1	XP_031794560.1
OG0003134	NP_001027466.1, NP_000053.2	XP_012408175.1, XP_023362176.1, XP_012408176.1, XP_023362175.1
OG0003136	NP_872362.4, NP_001339310.2, NP_001265180.3, NP_001070709.3, NP_001339311.2, NP_001265179.3, NP_001287749.2, NP_001339313.2, NP_001339312.2	XP_031797262.1
OG0003137	NP_001988.1	XP_031799210.1
OG0003138	NP_001369377.1, NP_848537.1, NP_001369291.1, NP_001369293.1, NP_113659.3, NP_001369290.1	XP_031799508.1
OG0003139	NP_004102.1	XP_031797881.1
OG0003140	XP_005274134.1, NP_060436.4	XP_012408206.2
OG0003141	NP_001164218.1	XP_031800942.1, XP_031817086.1
OG0003142	NP_077268.1	XP_031803342.1
OG0003142	NP_001041706.1	XP_031803343.1, XP_031803345.1
OG0003144	NP_001265199.1, NP_006345.1	XP_023353933.1
OG0003145	XP_011532083.1	XP_003762310.1, XP_031814554.1, XP_012398944.1
OG0003146	NP_001276990.1	XP_012398934.1
OG0003147	XP_006713017.1, NP_006832.1	XP_003762349.1
OG0003148	NP_075054.3	XP_031815223.1, XP_031815227.1
OG0003149	NP_001373350.1	XP_031794380.1
OG0003150	NP_001186125.1	XP_003760832.2
OG0003151	NP_001308368.1	XP_012397351.1, XP_031803410.1, XP_031803409.1, XP_023352323.1
OG0003152	NP_001374277.1, NP_001374276.1, NP_001308340.1, NP_114123.2, XP_011526650.1	XP_012397390.3
OG0003153	NP_891549.1	XP_031803669.1
OG0003154	NP_001303252.1, NP_001303253.1, XP_011526372.1, NP_002686.3	XP_003760879.1, XP_031803888.1, XP_031803889.1
OG0003155	XP_005259602.1, NP_001372529.1, NP_001372528.1, NP_001372527.1, NP_001372526.1, NP_872383.1	XP_031804191.1
OG0003156	NP_001381377.1, NP_001381381.1, NP_001381378.1, NP_996811.2, NP_001381379.1, NP_001381380.1, XP_016873423.1, NP_001381402.1, NP_001381376.1, NP_996810.2	XP_031817721.1
OG0003157	NP_001180467.1, NP_001337324.1, NP_001337325.1, NP_001337323.1, NP_060950.3, NP_001180466.1, NP_001243475.1, NP_001243476.1, NP_001337322.1	XP_031819582.1, XP_003764657.1
OG0003158	NP_005031.1, NP_955450.2, NP_001306143.1	XP_031817697.1
OG0003160	NP_036324.1	XP_031817942.1
OG0003161	NP_001265168.1, NP_001035059.1, NP_001265165.1, NP_001265167.1, NP_008837.1, NP_116170.3	XP_031799718.1
OG0003162	NP_112494.3, XP_016873868.1	XP_012407988.1, XP_031797670.1
OG0003163	NP_001380905.1, NP_001380907.1, NP_001380909.1, NP_001380908.1, NP_001380906.1, NP_114121.2, NP_001307628.1, NP_001380904.1, NP_001153780.1, NP_001307656.1	XP_031817309.1
OG0003164	XP_005254109.1, NP_002262.4	XP_031814440.1, XP_031814439.1, XP_031814436.1, XP_031814438.1, XP_031814434.1, XP_031814437.1, XP_031814433.1
OG0003165	NP_001339533.1	XP_003765789.1
OG0003166	NP_001340580.1, NP_001340581.1, NP_001340578.1, NP_001340579.1, NP_001340577.1, NP_001340576.1, NP_001340574.1, NP_001340573.1, NP_001340575.1, XP_011533146.1, NP_542418.1, NP_075387.1	XP_031814623.1
OG0003167	NP_055965.1, XP_047303735.1	XP_031796165.1, XP_031796166.1, XP_031796164.1, XP_031796162.1
OG0003168	NP_055417.1	XP_031796062.1
OG0003169	NP_001165377.1	XP_003774768.1
OG0003170	NP_001091069.1, NP_001091068.1, XP_006713836.1, NP_079522.2	XP_031815645.1
OG0003171	XP_047303891.1, NP_001171646.1, NP_001171647.1, NP_056323.2	XP_031813420.1, XP_031813419.1
OG0003172	NP_001349700.1, NP_001349699.1, NP_808227.1, NP_001243615.1, NP_001886.1	XP_012409095.1
OG0003173	NP_001244066.1	XP_031809740.1, XP_031809741.1, XP_031809739.1, XP_023362695.1
OG0003174	NP_001258779.1, NP_001135440.1, NP_570141.3, NP_954863.2, NP_001382907.1, NP_954868.2, NP_954869.2, NP_954870.3, NP_001277153.2	XP_031817831.1
OG0003175	XP_016860182.1, NP_071894.1	XP_031824099.1
OG0003176	NP_001137378.1, NP_006691.1	XP_031804475.1
OG0003177	NP_001137326.1	XP_031804482.1
OG0003178	NP_001273124.1, NP_001273125.1, NP_001273126.1, NP_001273120.1, NP_075046.1, XP_016875318.1, NP_001273127.1, NP_001273121.1	XP_031804596.1
OG0003179	NP_001375128.1, XP_047297261.1	XP_031813243.1, XP_003761256.1
OG0003181	NP_001342210.1, NP_079141.2	XP_003772498.1
OG0003182	NP_113669.1, NP_001290413.1	XP_031795505.1
OG0003183	XP_047284080.1, NP_006666.1, NP_001161792.1	XP_012406252.1
OG0003184	NP_055680.3	XP_023360330.2, XP_031794146.1, XP_031794145.1
OG0003185	NP_001333779.1, NP_001725.1	XP_003771280.1, XP_023360326.1
OG0003186	NP_001291495.1, NP_001635.2, NP_005880.2	XP_031796053.1
OG0003187	NP_001186734.1, NP_031386.2	XP_031794053.1
OG0003188	NP_060520.2, NP_001350542.1	XP_012406212.1
OG0003189	NP_001308351.1, NP_001166.3, NP_001308349.1, NP_001308352.1, NP_001308350.1	XP_031794198.1
OG0003190	XP_011519134.2, NP_001317714.1, NP_821078.1, NP_008871.3, NP_001248343.1, NP_694534.1, NP_001248344.1	XP_031794321.1
OG0003191	XP_016875164.1, NP_945316.1	XP_003770891.1
OG0003192	NP_078880.2	XP_031793915.1
OG0003193	NP_001280214.1, NP_075559.2, XP_011536993.1, NP_001280215.1	XP_031793813.1
OG0003194	XP_047285725.1, NP_116290.1, NP_001244063.1, NP_001244062.1	XP_031793779.1
OG0003195	NP_001129741.1, NP_001129738.1, NP_055579.1, NP_001129736.1, NP_001129740.1, NP_001129739.1	XP_003772256.3
OG0003196	NP_001230716.1	XP_003771560.2
OG0003197	NP_056003.1, XP_006717795.2, NP_001106834.1, NP_001317567.1, NP_001273734.1	XP_031811950.1
OG0003198	XP_006717943.1, NP_057000.2	XP_031811642.1
OG0003199	NP_001013049.1, XP_011537501.1, NP_001193498.1, NP_001193501.1, NP_443150.3, NP_001193500.1, NP_001193499.1, NP_001374485.1	XP_031811670.1
OG0003200	NP_001137229.1, NP_001296403.1, XP_011538510.1, NP_085129.1, NP_001137231.1, NP_001137230.1	XP_031812928.1
OG0003201	NP_001308767.1, NP_004047.3, NP_001308766.1, NP_001308768.1	XP_031802231.1
OG0003202	XP_011526829.1, NP_690603.3	XP_012395077.1
OG0003202	XP_016868848.1, NP_001291462.1	XP_031802217.1
OG0003203	NP_001400883.1, NP_001400880.1	XP_012397173.1
OG0003204	NP_078889.1	XP_031802871.1
OG0003205	NP_958934.1, NP_005536.1	XP_031812487.1, XP_031812489.1, XP_031812485.1, XP_031812488.1
OG0003206	NP_078989.1, XP_016878060.1	XP_031807881.1
OG0003207	NP_055363.1, NP_001136357.1	XP_031811067.1, XP_012400893.1
OG0003208	XP_047288332.1	XP_003755734.1
OG0003209	NP_001193725.1, NP_001398010.1, XP_047288618.1, NP_872271.1, NP_872270.1, NP_001193728.1, NP_001303247.1, NP_002645.3	XP_031812194.1
OG0003210	NP_001243481.1	XP_031812444.1
OG0003211	NP_058636.1	XP_003763838.1
OG0003212	NP_006448.5, NP_001011513.4, NP_001243356.2, NP_001243357.2, NP_001243354.2, NP_001243355.2	XP_031799825.1
OG0003213	NP_001387083.1	XP_031798219.1
OG0003214	NP_001035292.1	XP_003773032.2, XP_023361545.2, XP_031799709.1
OG0003215	NP_001035271.1, NP_001035289.1, NP_001035273.1, NP_063948.1, NP_001035272.1, NP_001035290.1	XP_031814734.1
OG0003216	XP_005247971.1, NP_055463.1	XP_012399960.2
OG0003217	NP_001307395.1, NP_775841.2, NP_001350881.1, XP_011510920.1, NP_001307396.1, NP_001307397.1	XP_003763642.1
OG0003218	NP_001116.1	XP_023356826.1
OG0003220	NP_006209.2, XP_006713721.1	XP_031813556.1, XP_031813558.1
OG0003221	XP_047274550.1, NP_877434.2	XP_031802655.1, XP_003760192.1, XP_031802653.1, XP_031802652.1, XP_031802654.1
OG0003222	NP_775265.1, NP_006177.1, XP_005246678.1	XP_031816511.1
OG0003223	NP_001269282.1, NP_000879.2	XP_023355001.1
OG0003224	NP_004473.2, XP_005246506.1	XP_003763961.1, XP_012400226.1
OG0003225	NP_001135742.1, NP_001276692.1	XP_003763974.1
OG0003226	XP_011508897.1, NP_653230.2	XP_031816095.1, XP_031816096.1
OG0003227	NP_055744.2, NP_001129665.1, NP_001129666.1	XP_003766039.1
OG0003228	NP_001258792.1, NP_001258794.1, NP_001258793.1, XP_024303889.1, NP_060673.1	XP_031793089.1
OG0003229	XP_011507496.2, NP_620151.1, NP_001362584.1	XP_031824530.1, XP_003767760.1
OG0003230	NP_001188465.1	XP_031822943.1, XP_003767780.1
OG0003231	NP_065840.2, NP_001128522.1	XP_003767912.1, XP_031822701.1
OG0003232	NP_001305432.1, NP_001386.1, XP_011529425.1	XP_031800261.1, XP_003774748.1
OG0003233	NP_001166210.2	XP_012401503.1
OG0003234	NP_079435.1	XP_023354743.1
OG0003235	NP_008846.2	XP_031814937.1
OG0003236	NP_002040.1	XP_031800626.1
OG0003238	NP_001171748.1, NP_061940.1, XP_047298145.1	XP_012401861.3
OG0003239	NP_001258115.1, XP_011529678.1	XP_003774839.1
OG0003240	NP_001340382.1, NP_001380925.1, NP_001094827.1	XP_031800685.1
OG0003241	NP_003483.1	XP_031800712.1, XP_031800711.1, XP_031800713.1
OG0003242	NP_001009933.1, XP_005277886.1, NP_001009934.1, NP_001290549.1, NP_006721.1, NP_001009932.1	XP_031800332.1, XP_031800331.1
OG0003243	NP_004824.1	XP_012403472.1
OG0003247	NP_001128416.1, NP_001289750.1	XP_031810912.1, XP_031810925.1, XP_031810919.1, XP_031810943.1, XP_031810933.1, XP_031810945.1
OG0003248	NP_006165.1, NP_001304021.1, NP_001304020.1, XP_011530317.1	XP_031797381.1
OG0003249	XP_047279659.1, NP_005050.2, NP_008842.1, NP_604390.1, XP_047279663.1	XP_023353678.1
OG0003250	NP_001380276.1, NP_001380277.1, NP_001275965.2, NP_954636.1, NP_055225.1, NP_001380274.1, NP_001362421.1, NP_001305451.1, NP_001380275.1, NP_001380273.1, XP_011523953.1	XP_031802629.1
OG0003251	NP_002458.2	XP_012397269.2
OG0003252	NP_001303281.1, NP_000306.1	XP_031798991.1
OG0003253	NP_001116320.1, NP_001116319.1, NP_003035.3, NP_001193860.1, XP_011519312.1	XP_023360388.1, XP_023360390.1, XP_003771361.1
OG0003254	XP_016861174.1	XP_031795946.1, XP_003772039.1
OG0003255	XP_011533687.1, NP_006572.2	XP_031820366.1, XP_031820370.1, XP_031820369.1, XP_031820368.1
OG0003256	NP_001004485.1	XP_003762824.2
OG0003257	XP_016866963.1	XP_003769578.1, XP_031793497.1
OG0003258	NP_001245145.1, NP_001245143.1, NP_001306162.1, NP_001550.1, XP_005270884.1, NP_001361188.1, NP_001245144.1	XP_031824769.1
OG0003259	NP_076423.2	XP_031800224.1
OG0003260	NP_004235.4, NP_001357075.1, XP_047285851.1, NP_981961.2, NP_001357074.1	XP_031794731.1, XP_031812943.1
OG0003261	NP_001078895.2, NP_000478.3, NP_001078894.2, NP_001078896.2, NP_001078897.1, NP_001349711.1, XP_011528993.1	XP_031793944.1
OG0003262	NP_056272.2, XP_011543201.1	XP_031798545.1, XP_003773923.1
OG0003263	NP_001159715.1	XP_031794110.1
OG0003264	NP_001853.2	XP_003757821.2
OG0003265	NP_751951.1	XP_003766985.1
OG0003266	XP_005253288.1, NP_000601.3	XP_031798137.1
OG0003267	NP_001353452.1, NP_001001323.1, NP_001353449.1, NP_001399975.1, NP_001353450.1, NP_001673.2, NP_001399976.1, NP_001353451.1, NP_001353453.1	XP_031793602.1
OG0003268	NP_000469.3	XP_031818535.1, XP_031818533.1, XP_031818534.1
OG0003269	NP_001230055.1, NP_005037.1	XP_031819170.1
OG0003270	NP_001012982.1, NP_001012983.1	XP_031819171.1
OG0003271	NP_001193538.1	XP_023354465.2
OG0003272	NP_000843.1	XP_031797738.1
OG0003273	XP_006720960.1, NP_001137451.1, NP_060138.1	XP_003761723.1
OG0003274	NP_003964.3, NP_001030168.1	XP_031796329.1
OG0003275	NP_001305116.1, NP_002131.2, NP_112552.1, NP_001305117.1, XP_005252017.1, NP_112553.1	XP_003761858.1
OG0003276	NP_963837.1, NP_963838.1, NP_963839.1, NP_006490.3, XP_047276365.1	XP_012403401.1
OG0003277	XP_047303494.1, NP_001164643.1, NP_001328.1, NP_001164645.1, NP_001164642.1	XP_023360909.2
OG0003278	NP_001278159.1	XP_023359042.1
OG0003279	NP_001300958.1, XP_047279218.1, NP_001254635.1, NP_054862.1	XP_012399523.2
OG0003280	XP_006714337.1, NP_064524.3	XP_031797374.1, XP_031797373.1
OG0003281	XP_016879014.1	XP_003761794.1
OG0003282	NP_001004482.1, NP_001004481.1, NP_001001956.1	XP_003761906.1, XP_031805456.1
OG0003284	NP_001005270.3	XP_003773820.1, XP_003773814.1, XP_012408090.1, XP_003773813.1, XP_003773815.1, XP_003773812.1
OG0003285	NP_001004475.1	XP_003767954.1
OG0003287	NP_001004487.1	XP_003763058.1
OG0003288	NP_077027.1, XP_011543887.1	XP_023361549.2, XP_031815344.1
OG0003290	NP_055728.1, XP_011524185.1	XP_003760169.1, XP_023352076.1, XP_023352075.1
OG0003291	NP_001361314.1	XP_023351938.1, XP_003760016.1
OG0003292	NP_001381308.1	XP_003759599.1
OG0003293	NP_061166.1	XP_003759598.1
OG0003294	NP_001243805.1, NP_001341265.1, NP_001341272.1, NP_001341268.1, NP_001341271.1, NP_001341267.1, NP_001341269.1, NP_001341273.1, NP_001341260.1, NP_001341261.1	XP_031799762.1
OG0003295	NP_006708.2	XP_003761299.1
OG0003297	XP_011544435.1, NP_001269155.1, NP_001269154.1, NP_001269157.1, NP_001269156.1, NP_001269158.1, NP_803124.1	XP_031795494.1
OG0003298	XP_016882356.1, NP_057619.1	XP_031819389.1, XP_031819390.1
OG0003299	NP_001078957.1, NP_001268940.1, XP_005258869.1	XP_031817659.1
OG0003300	NP_057524.3	XP_031817667.1
OG0003301	NP_001121798.1, XP_016881607.1	XP_023356781.1
OG0003303	NP_006654.2, NP_001135974.1, XP_016881666.1	XP_031819059.1, XP_031819057.1, XP_031819058.1
OG0003305	NP_055725.2, NP_001129628.1	XP_031810250.1, XP_031810249.1, XP_003757242.1, XP_023349926.1
OG0003306	XP_011525856.1	XP_003757249.2
OG0003307	NP_001382162.1, NP_001308044.1, NP_001381944.1, XP_047281698.1, NP_659460.3, NP_001021554.1	XP_003771883.2
OG0003308	NP_001008213.1, NP_001008214.1, NP_068815.2, NP_001008212.1	XP_031794452.1
OG0003309	NP_001317485.1	XP_031810427.1, XP_031810428.1, XP_031810429.1, XP_003757329.1
OG0003310	NP_056087.2, XP_047289825.1, NP_001317467.1, NP_001121369.1, NP_001295263.1	XP_031810375.1
OG0003311	NP_000428.2, XP_011539830.1	XP_031818402.1
OG0003312	XP_047285952.1, NP_001380915.1, NP_036363.2, NP_056950.2, NP_001380917.1, NP_001007258.1, NP_001380916.1	XP_031818687.1
OG0003313	NP_789785.1, NP_001182572.1, XP_011510839.1, NP_000782.1	XP_031822854.1
OG0003315	NP_001035706.2	XP_003755634.1
OG0003316	NP_937886.1	XP_003755633.1
OG0003317	NP_001290162.1, NP_002192.2, NP_001290166.1, NP_001290165.1, NP_001290164.1, NP_001290163.1	XP_003755576.1
OG0003318	NP_001153587.1, NP_001153585.1, NP_001153588.1, NP_001153586.1, NP_653198.2	XP_003755502.1
OG0003319	NP_001008227.1, NP_001335632.1, NP_001335631.1, XP_024305670.1, NP_001335629.1, NP_001335630.1, NP_001335628.1, NP_001335633.1, NP_001273979.1, NP_001335635.1	XP_031811518.1
OG0003321	NP_919274.1, XP_016871372.1, NP_001310910.1, NP_001310906.1, NP_001310908.1, NP_001310909.1, NP_001310907.1	XP_031812807.1
