Orthogroup	Echinops_telfairi	Myotis_lucifugus
OG0001962	XP_045144419.1	XP_023611280.1
OG0001963	XP_030743203.1	XP_014309527.1
OG0001964	XP_012862394.1	XP_006086775.1
OG0001965	XP_004711471.1	XP_006091572.1
OG0001966	XP_004716945.1	XP_006095855.1, XP_006095854.1, XP_006095853.1
OG0001967	XP_045147465.1	XP_023610597.1
OG0001968	XP_045146183.1	XP_023601547.1
OG0001969	XP_012859614.1	XP_006088216.1
OG0001970	XP_045147450.1	XP_006108948.1
OG0001971	XP_012860283.1	XP_006084630.1
OG0001972	XP_004709481.1	XP_014308955.1, XP_006086043.1
OG0001973	XP_004712093.2	XP_006087939.1
OG0001974	XP_004712099.2	XP_006087958.1
OG0001975	XP_004713152.1	XP_023611878.1, XP_006105879.1, XP_023599013.1
OG0001976	XP_004703371.1	XP_006107177.1
OG0001977	XP_004703343.2	XP_023614179.1
OG0001978	XP_004706440.1	XP_023610700.1
OG0001979	XP_030743478.1	XP_023609675.1
OG0001980	XP_004708638.1	XP_014311418.1
OG0001981	XP_004711819.1	XP_006085764.1
OG0001983	XP_004701770.1	XP_006083132.1, XP_006083131.1
OG0001984	XP_004701682.1	XP_023617368.1
OG0001985	XP_004699893.1	XP_023614794.1, XP_023614795.1, XP_006094903.1
OG0001986	XP_045154034.1	XP_014301174.1, XP_006103340.2
OG0001987	XP_045146700.1	XP_023609511.1
OG0001988	XP_012861951.2, XP_045143299.1, XP_045143297.1, XP_045143298.1, XP_045143296.1	XP_006088657.1
OG0001989	XP_045144975.1, XP_045144976.1, XP_045149156.1	XP_014313077.1
OG0001989	XP_045146663.1, XP_045149432.1	XP_006088600.1
OG0001990	XP_045152940.1	XP_023620278.1
OG0001991	XP_045146546.1, XP_045146545.1	XP_023606220.1
OG0001992	XP_004713098.1	XP_006082221.1, XP_006088277.1
OG0001993	XP_045151813.1	XP_023613939.1, XP_023610466.1, XP_023603594.1, XP_014305789.1, XP_014304804.1, XP_014304583.2, XP_014312987.1
OG0001994	XP_045141448.1	XP_014317626.1, XP_006096228.1
OG0001997	XP_045152943.1, XP_030743428.1, XP_045153317.1	XP_006082457.1, XP_023615882.1
OG0001999	XP_045151901.1	XP_023615672.1, XP_023615682.1, XP_023615695.1
OG0002001	XP_004700519.1	XP_006097958.1
OG0002002	XP_045140867.1, XP_004703608.1, XP_045141221.1	XP_023606770.1
OG0002003	XP_045152832.1	XP_023615200.1, XP_023615203.1
OG0002004	XP_045147122.1	XP_006090247.1
OG0002005	XP_004703075.1	XP_006087208.1, XP_023600556.1
OG0002006	XP_004706845.1	XP_014311576.1
OG0002007	XP_004717979.1, XP_004698681.1	XP_006108926.2, XP_023619003.1
OG0002008	XP_045150558.1	XP_014317094.1
OG0002009	XP_045149798.1	XP_023615647.1
OG0002010	XP_012862453.2	XP_014309227.1
OG0002011	XP_045150677.1	XP_023602404.1
OG0002012	XP_004704863.2	XP_006091302.1
OG0002013	XP_045149493.1	XP_006081770.1
OG0002015	XP_004711118.1	XP_014310708.1
OG0002016	XP_004715026.1, XP_004714973.1	XP_006092097.1
OG0002017	XP_030741663.1	XP_006092147.2
OG0002018	XP_004716979.1	XP_006101356.1
OG0002020	XP_004715894.1	XP_006096737.1, XP_006096734.1
OG0002021	XP_045152076.1	XP_006090858.1
OG0002022	XP_004702023.1	XP_023605941.1, XP_006084455.1, XP_014307323.2, XP_023605944.1, XP_023605943.1, XP_023605942.1, XP_014307324.1
OG0002023	XP_004701980.1	XP_006103822.3
OG0002024	XP_045154586.1	XP_014323058.1
OG0002026	XP_045148563.1	XP_006107350.2
OG0002027	XP_045148867.1	XP_023603531.1
OG0002030	XP_004696962.1, XP_045148913.1	XP_006099627.1
OG0002031	XP_004715917.2	XP_006098739.1, XP_014319771.1
OG0002032	XP_004714162.2	XP_014319906.1
OG0002033	XP_045140746.1	XP_006086496.1
OG0002035	XP_012861829.1, XP_045146520.1	XP_014305444.1
OG0002035	XP_045149619.1, XP_045149618.1	XP_006082788.1, XP_006109208.1
OG0002036	XP_030743861.1	XP_006104165.1
OG0002037	XP_045155006.1, XP_004705167.1	XP_014315788.1
OG0002039	XP_004705449.2	XP_006094128.1
OG0002040	XP_030744858.1, XP_045141074.1	XP_006081262.1
OG0002041	XP_045144337.1	XP_006084338.1
OG0002042	XP_045142257.1, XP_004708265.1	XP_023601656.1
OG0002043	XP_045142256.1	XP_023602691.1, XP_014305190.1
OG0002044	XP_045145436.1	XP_023601180.1
OG0002045	XP_045140328.1	XP_006095057.1
OG0002046	XP_012859690.1, XP_004701204.2	XP_006100011.1
OG0002047	XP_045140441.1, XP_030743737.1	XP_006089114.1
OG0002048	XP_004697159.3	XP_006089165.1
OG0002049	XP_045140655.1	XP_014306612.1, XP_023616987.1, XP_014305951.1, XP_023616983.1
OG0002050	XP_045141308.1, XP_045141307.1, XP_004698138.1	XP_014312512.1
OG0002054	XP_045149354.1, XP_004716363.1	XP_006097432.1
OG0002055	XP_004716837.1, XP_045146215.1	XP_006105816.1
OG0002056	XP_004699437.1	XP_006089820.1
OG0002057	XP_004705283.1	XP_006108890.1
OG0002058	XP_004703929.1, XP_045148653.1, XP_012863539.1, XP_004710163.1, XP_012859550.1	XP_006087149.1
OG0002059	XP_045149604.1, XP_004704604.1	XP_006091282.1
OG0002060	XP_004704607.1	XP_006091276.3
OG0002061	XP_004704646.1	XP_006091210.1
OG0002062	XP_004704877.1	XP_014320462.1
OG0002063	XP_004706061.1	XP_014302663.1
OG0002064	XP_045142001.1	XP_023609210.1, XP_006088280.1, XP_023609211.1
OG0002065	XP_004711721.1	XP_006103996.1
OG0002066	XP_030744358.1	XP_023600394.1
OG0002067	XP_045141145.1	XP_006100936.1
OG0002068	XP_004699616.1	XP_014301526.1
OG0002069	XP_004699630.1	XP_014319251.1
OG0002070	XP_004700124.1	XP_023601841.1
OG0002071	XP_045154292.1	XP_023617406.1
OG0002072	XP_004698765.2	XP_006097704.1
OG0002073	XP_004699096.2	XP_014319552.1
OG0002074	XP_045155625.1, XP_004707322.1, XP_045155624.1, XP_045155626.1	XP_023612530.1
OG0002075	XP_004696936.1	XP_014314153.1
OG0002076	XP_045155601.1	XP_023620129.1
OG0002077	XP_045155816.1, XP_045155817.1, XP_004707147.1	XP_006098983.2
OG0002078	XP_045146140.1, XP_004716530.1	XP_023615898.1, XP_023615899.1, XP_014317707.1, XP_023615897.1, XP_014317709.1
OG0002079	XP_004700639.1	XP_006093725.1
OG0002080	XP_004700614.1	XP_014315444.1
OG0002081	XP_004700315.1	XP_006107195.1
OG0002082	XP_004704401.1	XP_006097802.1
OG0002083	XP_045150056.1, XP_004710272.1, XP_045150054.1, XP_045150055.1	XP_006083394.1, XP_023605197.1, XP_006109372.1
OG0002084	XP_004710307.1, XP_045150106.1	XP_023613224.1
OG0002085	XP_004712465.1	XP_023599791.1
OG0002086	XP_004711080.1	XP_006102750.1
OG0002087	XP_004711042.1	XP_014317876.1, XP_014317878.1, XP_006096528.1
OG0002088	XP_045152530.1, XP_004712593.1	XP_023608996.1
OG0002089	XP_004711766.1, XP_045148760.1	XP_023601616.1
OG0002090	XP_030742776.1, XP_045150809.1	XP_014304390.1
OG0002091	XP_004710813.1	XP_023600652.1
OG0002092	XP_004697433.1	XP_014306765.2
OG0002093	XP_045142736.1	XP_014306411.1
OG0002095	XP_004702564.1	XP_006091377.1
OG0002095	XP_004707875.2	XP_023609288.1
OG0002096	XP_004702456.1	XP_006090935.1
OG0002097	XP_004702695.1	XP_006099149.1
OG0002098	XP_045144736.1	XP_006088857.1
OG0002099	XP_045154965.1, XP_004705008.1	XP_014320159.1
OG0002100	XP_004699540.1	XP_006098250.1
OG0002101	XP_045151605.1	XP_006081837.1
OG0002102	XP_004696533.1	XP_006109761.1
OG0002103	XP_045144853.1	XP_023604188.1, XP_006110153.1
OG0002105	XP_004696519.1	XP_023612967.1
OG0002106	XP_004696513.1	XP_014303895.1, XP_006106472.1
OG0002107	XP_004696108.1	XP_023612245.1, XP_023612244.1, XP_006091788.1
OG0002109	XP_045139677.1	XP_014318745.1, XP_006097545.1
OG0002110	XP_004716699.1	XP_014316847.1, XP_014316846.1, XP_006095351.1
OG0002111	XP_045144880.1	XP_006085510.1
OG0002112	XP_004702686.2	XP_023609542.1
OG0002114	XP_004713740.1	XP_023620872.1
OG0002115	XP_004713561.1	XP_006106620.1
OG0002116	XP_045153284.1, XP_045153285.1, XP_004713544.1	XP_006105938.1, XP_014303440.1
OG0002117	XP_004715032.1	XP_006092092.1, XP_006092094.1
OG0002118	XP_004711950.2	XP_006101586.1
OG0002119	XP_045148979.1	XP_023605064.1
OG0002120	XP_045145728.1	XP_006083931.1
OG0002121	XP_045145833.1	XP_014321408.2
OG0002122	XP_045145773.1, XP_045145772.1	XP_023620756.1
OG0002123	XP_012860039.1	XP_006090941.1
OG0002124	XP_030741345.1, XP_045145615.1	XP_014320633.1
OG0002125	XP_004714328.1	XP_023602597.1
OG0002126	XP_012862425.1	XP_023610298.1
OG0002127	XP_004714150.1	XP_006083653.1, XP_023604712.1, XP_023604715.1
OG0002128	XP_045142912.1	XP_006110053.2
OG0002129	XP_045143384.1	XP_023607224.1
OG0002130	XP_004697885.1	XP_006088022.1
OG0002131	XP_004697888.1	XP_006088016.1
OG0002132	XP_004698051.2	XP_006091490.1
OG0002133	XP_045151351.1	XP_006098050.1
OG0002134	XP_004698111.1	XP_023617496.1, XP_006098043.1
OG0002135	XP_004709760.2	XP_023618451.1
OG0002136	XP_045152272.1, XP_045141268.1	XP_023615479.1
OG0002138	XP_004708166.1	XP_006084199.1
OG0002139	XP_004716267.1	XP_023605803.1
OG0002140	XP_004700060.1, XP_045152320.1	XP_006086818.1
OG0002141	XP_004701336.1	XP_006088205.2
OG0002142	XP_004700926.1, XP_045147246.1	XP_006099046.1
OG0002143	XP_030740746.1	XP_023601913.1
OG0002144	XP_012862712.1	XP_006087566.1
OG0002145	XP_004712034.1	XP_006087970.1
OG0002147	XP_004703337.2	XP_014321204.1, XP_006100351.1, XP_006108484.2
OG0002148	XP_004703462.1	XP_006084624.1
OG0002149	XP_004706462.1	XP_023614453.1, XP_006094518.1, XP_023614454.1
OG0002150	XP_045146535.1	XP_006086874.1, XP_014308596.1, XP_006082361.1
OG0002151	XP_004704157.1	XP_006088943.1, XP_023609676.1, XP_006088944.1
OG0002152	XP_045154614.1	XP_006091838.2
OG0002154	XP_045152005.1, XP_004701784.1, XP_045152009.1	XP_023617891.1
OG0002155	XP_012859788.1	XP_014317854.1
OG0002156	XP_004699985.1	XP_006103766.1
OG0002157	XP_045154309.1	XP_023616470.1
OG0002158	XP_004715415.1	XP_006082128.1
OG0002165	XP_004709061.1, XP_004709063.1	XP_006094734.1
OG0002167	XP_004703996.1	XP_006092410.1
OG0002168	XP_004715521.1	XP_006099711.1
OG0002169	XP_004710230.1	XP_006083336.1
OG0002170	XP_045143983.1	XP_006087039.1
OG0002171	XP_004705174.1	XP_014315775.1
OG0002172	XP_004701746.1, XP_045151395.1	XP_006082750.1
OG0002173	XP_045146057.1	XP_023613881.1
OG0002174	XP_004699635.1	XP_023613452.1
OG0002175	XP_004708967.2	XP_023614506.1
OG0002177	XP_004703885.1	XP_014311229.1
OG0002179	XP_004717277.1, XP_045148198.1	XP_006108592.1
OG0002180	XP_045146595.1, XP_045146818.1, XP_045141423.1	XP_023617636.1, NP_001273946.1
OG0002181	XP_045147867.1	XP_006098231.1, XP_006098229.1, XP_006098232.1, XP_006098230.1, XP_023617668.1, XP_023617669.1
OG0002182	XP_045146908.1	XP_014305486.1
OG0002183	XP_012861057.1	XP_006108994.1
OG0002184	XP_045154522.1, XP_045140992.1	XP_006081193.1
OG0002185	XP_004696809.1	XP_006089144.1
OG0002186	XP_012863079.2	XP_014315792.1
OG0002187	XP_004703080.1	XP_014309912.1
OG0002188	XP_004696783.1	XP_014302308.1
OG0002189	XP_045146429.1, XP_004717438.1	XP_006081883.1
OG0002190	XP_004699584.3	XP_006092691.1
OG0002192	XP_004715010.1	XP_006092112.1, XP_006092111.1
OG0002193	XP_012864016.1	XP_006094684.1, XP_006094682.1, XP_014316172.1
OG0002194	XP_004716493.1, XP_004716494.2	XP_006089736.1, XP_006109114.1
OG0002196	XP_004717568.1	XP_006094670.1
OG0002198	XP_004704003.1	XP_023601467.1
OG0002199	XP_004713897.1	XP_023608098.1
OG0002200	XP_004703046.1	XP_023606574.1
OG0002202	XP_004715735.1	XP_014310579.1
OG0002203	XP_045148565.1	XP_014305317.2
OG0002204	XP_004710725.1	XP_014305639.1
OG0002206	XP_045148799.1	XP_006098685.1
OG0002207	XP_045148852.1	XP_023618114.1
OG0002208	XP_045141567.1	XP_006098914.1
OG0002209	XP_004713108.1	XP_006082208.1
OG0002210	XP_004718142.2, XP_045140774.1	XP_014309263.1
OG0002211	XP_004703594.1, XP_045140950.1	XP_014307225.1
OG0002213	XP_004704951.4	XP_006106034.2
OG0002214	XP_004705052.1	XP_006094271.1
OG0002215	XP_045154930.1	XP_006102952.1
OG0002216	XP_004705164.1	XP_006094117.1
OG0002217	XP_004705217.1	XP_023601709.1
OG0002218	XP_004709961.1	XP_006107186.1
OG0002219	XP_045151349.1	XP_023617515.1
OG0002220	XP_004706692.1	XP_014319368.1, XP_006081224.1, XP_023604812.1
OG0002221	XP_004699796.3	XP_023605069.1, XP_023604002.1
OG0002222	XP_004709928.1	XP_014304151.1
OG0002223	XP_045140058.1	XP_023609422.1
OG0002224	XP_004706418.1	XP_006093328.1
OG0002226	XP_012859692.1	XP_023610909.1
OG0002227	XP_030741808.2	XP_023610906.1
OG0002228	XP_004696822.1	XP_006089115.1
OG0002229	XP_012862282.1, XP_045140793.1	XP_006089120.1
OG0002230	XP_004696808.1, XP_045140759.1	XP_006089147.1
OG0002231	XP_004698148.1	XP_023608541.1
OG0002232	XP_030744362.1, XP_004705780.1, XP_045152386.1, XP_012862489.1	XP_006085930.1, XP_014308845.1
OG0002233	XP_045139602.1	XP_023603108.1
OG0002234	XP_045153731.1	XP_023620684.1
OG0002235	XP_045149367.1	XP_006102651.1
OG0002236	XP_045141323.1, XP_004703936.1	XP_006085137.1, XP_006089842.1
OG0002237	XP_045147895.1, XP_004699462.1	XP_006087404.1
OG0002238	XP_004699714.1	XP_023608549.1
OG0002239	XP_045154991.1	XP_023600021.1
OG0002240	XP_004705249.1	XP_023600019.1, XP_006102969.1, XP_006102968.1
OG0002241	XP_045149661.1	XP_023608341.1
OG0002242	XP_004704671.1	XP_006099474.1, XP_014320419.1
OG0002244	XP_004705986.1	XP_006086790.1, XP_006088270.1
OG0002245	XP_004705690.1	XP_023609228.1
OG0002246	XP_004705660.1	XP_023609642.1
OG0002247	XP_045139691.1, XP_045139686.1, XP_045139687.1, XP_045139683.1, XP_045139685.1	XP_014307804.1
OG0002248	XP_045145114.1	XP_023600197.1
OG0002249	XP_045147073.1, XP_045141840.1, XP_004705598.1, XP_045141839.1	XP_014309480.1
OG0002250	XP_004705705.2	XP_006103547.2
OG0002251	XP_045141246.1	XP_014312842.2, XP_006109094.1
OG0002253	XP_004699293.1	XP_006105143.2
OG0002254	XP_004699320.1	XP_014315044.1
OG0002255	XP_045147979.1	XP_014315066.1
OG0002257	XP_004706718.1	XP_006089932.1
OG0002258	XP_012861180.1	XP_023609713.1
OG0002259	XP_030743698.2	XP_023617328.1
OG0002260	XP_045154263.1	XP_014319042.1
OG0002261	XP_004714809.1	XP_006097920.1
OG0002262	XP_045152215.1, XP_012860214.1	XP_023606614.1, XP_006085162.1, XP_006093233.1
OG0002263	XP_004698821.1	XP_014301023.1
OG0002264	XP_045143577.1	XP_014320273.1
OG0002265	XP_045143864.1, XP_045143865.1	XP_023616520.1, XP_006097015.1
OG0002266	XP_045144064.1	XP_006104766.1
OG0002267	XP_004699153.1	XP_006108717.1, XP_014305656.1
OG0002268	XP_004699181.1	XP_006098349.1, XP_006098350.1
OG0002269	XP_004699165.1	XP_006109929.1, XP_006107979.1
OG0002270	XP_004698879.1, XP_045142019.1, XP_045151780.1	XP_023604183.1, XP_006109054.1
OG0002276	XP_004707337.1, XP_045155584.1, XP_045141132.1, XP_045148105.1	XP_006092502.1
OG0002278	XP_045155863.1, XP_045155862.1	XP_014301801.1, XP_014301799.1, XP_023600981.1, XP_014305681.1
OG0002279	XP_045145280.1	XP_023605181.1, XP_006109389.2
OG0002280	XP_045145292.1	XP_006107900.1
OG0002281	XP_004713302.1	XP_006105867.1
OG0002282	XP_045144453.1	XP_014302523.1, XP_023601715.1, XP_006104835.1
OG0002283	XP_004713346.3	XP_006102140.1
OG0002285	XP_004716529.1	XP_023615900.1, XP_006096350.1, XP_006096349.1
OG0002286	XP_045146567.1	XP_023602971.1, XP_023602968.1, XP_023602967.1, XP_023602970.1, XP_023602972.1, XP_023602969.1
OG0002288	XP_004700751.1	XP_014319614.1
OG0002289	XP_004700765.1	XP_014304345.1
OG0002290	XP_004710235.1	XP_006083340.2
OG0002291	XP_004711030.1	XP_006088132.1
OG0002292	XP_004696698.1	XP_023607887.1, XP_014309344.1, XP_023607886.1, XP_006086594.1, XP_014309343.1
OG0002293	XP_004712440.1	XP_023618234.1
OG0002294	XP_004712455.1	XP_006102779.1
OG0002295	XP_004711026.1	XP_006088130.1
OG0002296	XP_004702287.2	XP_014307406.1
OG0002297	XP_004696415.1	XP_006093293.1
OG0002298	XP_004718148.1	XP_006090411.1, XP_023610946.1
OG0002299	XP_045150387.1	XP_023615529.1
OG0002300	XP_030742734.1	XP_006095902.1
OG0002301	XP_045150250.1	XP_014321926.1
OG0002302	XP_045143271.1	XP_023615470.1
OG0002303	XP_012860294.1	XP_023600094.1, XP_023600090.1
OG0002304	XP_012863875.1	XP_023620449.1
OG0002305	XP_004702696.1	XP_014320101.1
OG0002306	XP_004702639.1	XP_006085379.1, XP_014308222.1
OG0002307	XP_012864143.1, XP_045144877.1	XP_006085380.1
OG0002308	XP_045154663.1	XP_006087328.3
OG0002309	XP_004705022.1	XP_023614316.1
OG0002310	XP_004699515.1	XP_006087330.1
OG0002312	XP_045151739.1	XP_006081839.1
OG0002313	XP_004712701.1, XP_004716469.1	XP_023612894.1
OG0002314	XP_004714009.1	XP_023614659.1
OG0002315	XP_004707950.1, XP_045144920.1	XP_006088389.1
OG0002316	XP_004702530.2	XP_023620324.1, XP_006101092.1, XP_023604041.1, XP_023604040.1
OG0002317	XP_045142644.1	XP_023616604.1, XP_006097096.1
OG0002318	XP_045142608.1	XP_006086255.2
OG0002319	XP_004696251.1	XP_006098318.1, XP_023607586.1
OG0002320	XP_045142857.1	XP_006091762.1
OG0002322	XP_045139792.1, XP_004713909.1, XP_045139794.1, XP_045139793.1	XP_006110147.1
OG0002323	XP_045142659.1, XP_004696150.1, XP_045142658.1	XP_006096836.1
OG0002324	XP_045139679.1, XP_045139682.1, XP_045139681.1	XP_006096941.3
OG0002325	XP_045151633.1	XP_014316789.1
OG0002326	XP_004717916.1	XP_006091985.1
OG0002326	XP_004717913.1	XP_014313937.1
OG0002327	XP_004708424.1	XP_014314032.1, XP_014314031.1
OG0002328	XP_045153287.1, XP_004713577.1	XP_006104404.1
OG0002329	XP_004712199.1, XP_045149490.1	XP_006081775.1
OG0002330	XP_012860231.1, XP_004712192.1	XP_014310680.1
OG0002331	XP_004703926.2	XP_014308475.2
OG0002332	XP_004703991.1, XP_045155666.1	XP_023617994.1
OG0002333	XP_045145811.1, XP_004702453.1, XP_045145810.1	XP_023611486.1, XP_006090928.1
OG0002334	XP_004715337.1	XP_023611453.1
OG0002335	XP_045145732.1	XP_014306746.1, XP_006083853.1, XP_006083852.1
OG0002336	XP_004702471.1, XP_045145816.1	XP_023609818.1
OG0002337	XP_004715261.2	XP_023611436.1
OG0002338	XP_004715315.1, XP_045153321.1	XP_006106511.1
OG0002339	XP_012863319.2, XP_004715306.1	XP_023601764.1
OG0002339	XP_004715309.1	XP_006104912.1, XP_006104914.1
OG0002340	XP_004715243.1	XP_014306202.1
OG0002341	XP_045153520.1, XP_004704032.1	XP_014303609.2
OG0002342	XP_004704053.1	XP_023603304.1
OG0002343	XP_004705296.1	XP_006100458.1
OG0002344	XP_004715590.2, XP_045145688.1	XP_023619101.1, XP_014320616.1
OG0002345	XP_045153715.1	XP_023617610.1, XP_006098149.1
OG0002346	XP_004709003.1, XP_045149145.1, XP_045149143.1, XP_045149144.1	XP_014311133.1, XP_006092966.1
OG0002347	XP_004708910.2	XP_014313357.2
OG0002348	XP_004708866.1	XP_006100529.1
OG0002349	XP_030742282.1	XP_014321643.1, XP_006100541.1
OG0002350	XP_030741584.1, XP_004717099.1	XP_006094614.1
OG0002351	XP_004704131.1	XP_023619151.1
OG0002352	XP_045143375.1, XP_045143376.1, XP_004712146.1	XP_006108396.1
OG0002353	XP_004697890.1, XP_045151224.1	XP_006088012.1
OG0002354	XP_004697974.1	XP_014311937.1
OG0002355	XP_045151362.1, XP_045151360.1, XP_045151361.1, XP_004698017.1, XP_045151359.1	XP_006089556.1
OG0002356	XP_004701733.2	XP_023615298.1
OG0002357	XP_004707649.1, XP_045142865.1	XP_006100787.1, XP_023620080.1
OG0002358	XP_004701900.1	XP_023615321.1
OG0002359	XP_045151847.1	XP_023612504.1
OG0002360	XP_045151958.1, XP_045151959.1	XP_014307115.1
OG0002361	XP_045151931.1, XP_045151930.1	XP_023605777.1
OG0002362	XP_012859424.2	XP_014309567.1
OG0002363	XP_045143248.1, XP_045143249.1	XP_006095727.1
OG0002364	XP_004701054.1	XP_006101778.1
OG0002365	XP_004701025.1	XP_006095933.1
OG0002366	XP_004700992.1	XP_006088173.1
OG0002368	XP_004712730.1	XP_014310252.1
OG0002369	XP_045143606.1	XP_023608608.1
OG0002370	XP_004712816.1	XP_006093107.1
OG0002371	XP_045142446.1	XP_014314981.2
OG0002372	XP_004709523.1	XP_006097573.1
OG0002373	XP_045141687.1, XP_045141689.1, XP_045141688.1, XP_004711981.1, XP_045141686.1	XP_023613589.1
OG0002374	XP_045142089.1, XP_045140272.1	XP_014309619.1, XP_023620809.1
OG0002375	XP_004697368.2	XP_006103956.1
OG0002376	XP_004703508.1	XP_006096659.1
OG0002377	XP_045140124.1, XP_004703316.1	XP_023606065.1
OG0002378	XP_045140086.1, XP_045140088.1, XP_045140087.1, XP_004703289.1	XP_023606109.1
OG0002379	XP_004706437.1	XP_023614615.1
OG0002380	XP_045142091.1	XP_006109264.3
OG0002382	XP_045151009.1	XP_006084990.1
OG0002383	XP_045152388.1	XP_006084874.1, XP_006109390.1, XP_006084873.1, XP_014307838.2
OG0002384	XP_045152373.1	XP_014307731.1, XP_014307727.1, XP_014305828.2, XP_014307725.1, XP_023606265.1, XP_023606268.1, XP_014307728.1, XP_023606269.1, XP_023606248.1
OG0002385	XP_030743788.1	XP_006105911.1
OG0002386	XP_004712246.1	XP_006092995.1
OG0002386	XP_004712271.2	XP_023613184.1
OG0002387	XP_045154003.1	XP_006093003.2
OG0002388	XP_045151684.1	XP_014303417.1
OG0002389	XP_045154658.1	XP_006108051.1
OG0002390	XP_004701552.1	XP_006098460.2, XP_006082413.1
OG0002391	XP_004701615.1	XP_006082494.1
OG0002392	XP_004699879.1, XP_045154070.1	XP_006096976.1, XP_006096977.1
OG0002393	XP_030744879.2	XP_023608738.1
OG0002394	XP_045146615.1	XP_014311207.1, XP_006088642.1
OG0002395	XP_004703331.1	XP_006084701.1
OG0002395	XP_004714917.1, XP_045146653.1	XP_006088608.1
OG0002397	XP_045141497.1, XP_045141421.1, XP_030744886.1	XP_023608754.1
OG0002402	XP_004708875.1	XP_006100518.1
OG0002403	XP_045143500.1	XP_023613826.1
OG0002404	XP_004707254.1	XP_006092385.1
OG0002405	XP_004717640.1	XP_023608792.1, XP_014310379.1
OG0002406	XP_045144091.1, XP_045155425.1	XP_006091039.1
OG0002407	XP_004713522.1	XP_006084860.1
OG0002409	XP_004716282.1	XP_023605580.1
OG0002410	XP_045140841.1	XP_023602205.1
OG0002411	XP_004710397.1	XP_023599732.1, XP_006102692.1
OG0002412	XP_004711801.1	XP_006105528.1
OG0002413	XP_004718092.3	XP_006105521.1
OG0002414	XP_045142963.1	XP_023604154.1, XP_023604426.1, XP_023601993.1
OG0002416	XP_004717724.1	XP_006084302.1
OG0002419	XP_045150135.1	XP_023602630.1, XP_006083411.2, XP_006083413.1, XP_014302828.1
OG0002420	XP_004697875.1	XP_014310621.1, XP_023608977.1, XP_006088034.1
OG0002421	XP_045150319.1, XP_045141759.1, XP_004696840.1	XP_023620268.1
OG0002422	XP_012860032.2	XP_006086659.1
OG0002423	NP_001269023.1, XP_045148989.1	XP_023614510.1
OG0002425	NP_001273101.1	XP_014307625.1, XP_023606885.1
OG0002426	XP_004707336.1	XP_023611402.1, XP_006092504.1
OG0002427	XP_004699210.1	XP_006092546.1
OG0002428	XP_004707617.1	XP_006097118.1, XP_023616618.1
OG0002429	NP_001278483.1, NP_001288680.1, XP_030740405.1	NP_001278669.1
OG0002434	XP_004717542.1	XP_014316236.1
OG0002435	XP_004702183.1	XP_023609968.1
OG0002437	XP_012860224.1	XP_023611383.1
OG0002438	XP_004703168.2	XP_023608374.1
OG0002439	XP_045150266.1	XP_023605931.1
OG0002440	XP_004702170.1	XP_006102269.1, XP_023599412.1
OG0002441	XP_004702147.1, XP_045150641.1, XP_045150639.1, XP_045150640.1	XP_023602635.1
OG0002442	XP_004714516.1	XP_014315881.1
OG0002443	XP_012863499.2	XP_014305484.1
OG0002446	XP_045148572.1	XP_023604465.1
OG0002447	XP_045148885.1, XP_004710458.1	XP_014305884.1
OG0002448	XP_030744918.1	XP_006093798.1, XP_023613855.1
OG0002449	XP_004703745.1	XP_006081420.1
OG0002450	XP_004704701.1	XP_014302873.2
OG0002451	XP_004704733.1	XP_023604045.1
OG0002452	XP_004705369.3	XP_006094290.1, XP_014315979.1
OG0002453	XP_004705098.1	XP_006097298.1
OG0002454	XP_045155110.1	XP_014322841.1, XP_006102042.1
OG0002455	XP_045155130.1, XP_004705196.1	XP_023614096.1, XP_006094053.1
OG0002456	XP_045155008.1	XP_006107374.1
OG0002457	XP_004705215.1	XP_006105812.1
OG0002458	XP_045156059.1	XP_023599037.1
OG0002459	XP_045141126.1	XP_014321990.1
OG0002460	XP_004709914.1	XP_014302743.1
OG0002461	XP_045155832.1, XP_045152235.1, XP_030744850.1	XP_006081296.1
OG0002462	XP_045140744.1	XP_023617219.1, XP_023617218.1, XP_023617221.1
OG0002463	XP_045149345.1	XP_023620467.1
OG0002464	XP_045147618.1	XP_023619368.1
OG0002465	XP_012861765.1	XP_023619493.1
OG0002466	XP_045140406.1	XP_006081669.1
OG0002467	XP_004696804.1	XP_006089167.1
OG0002468	XP_004703688.1	XP_006095443.1, XP_023615156.1, XP_014316907.1, XP_023615154.1, XP_023615155.1
OG0002469	XP_004703690.2	XP_006095440.1, XP_014316901.1
OG0002470	XP_045153616.1, XP_045153617.1	XP_006083741.1
OG0002471	XP_004714214.1, XP_045139585.1	XP_023599026.1
OG0002472	XP_004714212.1	XP_023599016.1
OG0002474	XP_045139550.1, XP_004712826.2, XP_045139549.1	XP_006107021.1
OG0002475	XP_045153696.1	XP_023618751.1
OG0002476	XP_045149322.1, XP_045149321.1	XP_014305930.1
OG0002477	XP_004710007.1, XP_004705772.1	XP_006096056.1, XP_006096055.1
OG0002478	XP_004704582.1	XP_014309797.1
OG0002479	XP_012860603.1	XP_023608348.1
OG0002480	XP_004704636.1	XP_023611762.1
OG0002482	XP_004705664.1, XP_045139558.1	XP_023613127.1
OG0002483	XP_045140069.1	XP_014312892.1
OG0002484	XP_045140444.1	XP_023615943.1
OG0002485	XP_045141813.1	XP_023600547.1
OG0002486	XP_045140826.1	XP_023600397.1
OG0002487	XP_004705747.1	XP_023600422.1
