Orthogroup	Echinops_telfairi	Microcebus_murinus
OG0002935	XP_004702322.1	XP_020139810.1
OG0002936	XP_004702044.1	XP_012637099.1, XP_012637108.1, XP_012637115.1
OG0002937	XP_030742538.1, XP_045152232.1, XP_045150255.1, XP_045154466.1	XP_012605653.1
OG0002938	XP_030743437.1, XP_045154303.1, XP_045153382.1	XP_020142000.1
OG0002939	XP_004700327.1, XP_045149481.1, XP_045154608.1	XP_012597220.1
OG0002940	XP_004715856.1	XP_020139209.1
OG0002941	XP_004712831.1	XP_012629022.1
OG0002943	XP_045145477.1	XP_012619284.1
OG0002944	XP_004696173.1	XP_012626097.1
OG0002945	XP_004704083.1	XP_012617450.1
OG0002946	XP_045151372.1, XP_004697908.1	XP_012610421.1
OG0002947	XP_045147604.1	XP_012628133.1
OG0002948	XP_045140322.1	XP_012592996.1
OG0002949	XP_004717167.1	XP_012642039.1
OG0002950	XP_004714787.1, XP_004714788.1, XP_004714871.1	XP_012607807.1
OG0002951	XP_004698947.1, XP_004698948.1	XP_012608038.1
OG0002952	XP_004700914.1, XP_004700651.1, XP_004700652.1	XP_012610282.1
OG0002956	XP_012860239.1	XP_012600958.1
OG0002957	XP_012862994.1	XP_020144798.1
OG0002958	XP_004713884.3	XP_012626358.1, XP_012626357.1
OG0002959	XP_030741278.1	XP_012629244.1, XP_012629247.1, XP_012629246.1, XP_020144807.1
OG0002960	XP_004717794.1	XP_012602594.2, XP_012602590.2, XP_012602592.2, XP_012602593.2
OG0002962	XP_004715771.1	XP_020139036.1
OG0002963	XP_045148324.1	XP_020138974.1, XP_020139042.1
OG0002964	XP_045148335.1	XP_012626326.2
OG0002965	XP_045148925.1	XP_012604979.1, XP_020139173.1
OG0002966	XP_004710745.1	XP_012609679.1
OG0002967	XP_045148558.1	XP_012609621.1
OG0002968	XP_004710491.1	XP_012609894.1, XP_012609895.1
OG0002969	XP_004710468.1	XP_012609804.1, XP_012609807.1, XP_012609808.1, XP_012609810.1, XP_012609805.1, XP_012609806.1
OG0002970	XP_045148593.1	XP_012617002.1
OG0002971	XP_004710404.1	XP_012616204.1, XP_012616203.1, XP_012616201.1, XP_012616202.1
OG0002972	XP_004710564.1	XP_012629971.1, XP_012629970.1, XP_012629973.1, XP_012629972.1
OG0002973	XP_004710395.1	XP_012629982.1
OG0002974	XP_004710375.1	XP_012630081.1
OG0002976	XP_004715877.1	XP_012630316.1
OG0002977	XP_045149745.1, XP_045149746.1	XP_012630596.1
OG0002978	XP_004704969.1	XP_012630601.1
OG0002979	XP_004704962.2	XP_012630650.1, XP_012634391.1
OG0002980	XP_030741942.1	XP_012607297.1
OG0002981	XP_045145996.1	XP_012644501.1
OG0002982	XP_030744911.2, XP_045150589.1	XP_012596696.2, XP_012606955.2, XP_012606440.2, XP_012611604.1
OG0002983	XP_045145743.1	XP_012632212.1
OG0002984	XP_045141170.1	XP_012639543.1
OG0002986	XP_004703746.1	XP_012638454.1, XP_012638449.1, XP_012638461.1, XP_012638439.1, XP_012638492.1, XP_012638471.1, XP_020145600.1, XP_012638442.1, XP_012638487.1, XP_012638481.1
OG0002988	XP_004704739.2	XP_012644413.1
OG0002989	XP_004705045.1	XP_012620778.1
OG0002990	XP_004705067.1	XP_012620863.1
OG0002991	XP_045154860.1	XP_012606147.1
OG0002992	XP_004705408.1	XP_020144177.1
OG0002993	XP_004705231.1	XP_012640808.1
OG0002994	XP_045139456.1	XP_020139771.1
OG0002995	XP_045141267.1, XP_045141266.1, XP_004703560.1	XP_012639840.1
OG0002996	XP_012861508.2	XP_012615713.1
OG0002997	XP_045142303.1	XP_012618764.1
OG0002998	XP_045142312.1	XP_012618766.1
OG0002999	XP_004708271.1, XP_045142294.1	XP_012618738.1, XP_012618739.1
OG0003001	XP_004707818.1	XP_012593023.1
OG0003002	XP_004707812.1	XP_012593044.1, XP_012593043.1
OG0003003	XP_045145419.1	XP_012595147.1
OG0003004	XP_004715190.1	XP_012595156.1, XP_012595155.1
OG0003005	XP_004699777.2	XP_012593818.1
OG0003006	XP_004696828.1, XP_045140707.1	XP_012608458.1
OG0003007	XP_045147256.1	XP_012618225.1
OG0003008	XP_004701195.3	XP_012618107.1
OG0003009	XP_045147625.1	XP_012618018.1
OG0003009	XP_012859691.3	XP_012618031.1
OG0003010	XP_030744236.1	XP_012617928.1, XP_012617930.1, XP_012617929.1
OG0003011	XP_004713035.1	XP_012617955.1
OG0003012	XP_045149233.1	XP_012643491.1
OG0003014	XP_004698144.1	XP_020144369.1, XP_012593903.1
OG0003015	XP_004698146.1	XP_012593880.1, XP_012593883.1, XP_020145637.1, XP_012593879.1, XP_012593882.1, XP_012593878.1
OG0003017	XP_004714216.1	XP_012638753.1
OG0003018	XP_004709023.1	XP_012605038.1
OG0003019	XP_004712990.1, XP_045149337.1, XP_030742712.1	XP_012630901.1, XP_012630910.1
OG0003020	XP_004713068.2	XP_012630863.1
OG0003021	XP_030742369.1	XP_012603337.1
OG0003022	XP_045149231.1	XP_012603442.1, XP_012603443.1, XP_012603444.1
OG0003023	XP_045155163.1	XP_020136864.1
OG0003024	XP_004705254.1	XP_012646979.1, XP_012646978.1
OG0003025	XP_045149646.1	XP_020138382.1
OG0003026	XP_004704835.1	XP_012602018.1, XP_012602017.1
OG0003027	XP_045149563.1	XP_012597874.1
OG0003028	XP_004704901.1	XP_012598043.1, XP_012598042.1
OG0003029	XP_045149783.1, XP_045149784.1, XP_004704680.1	XP_012598044.1
OG0003030	XP_045150364.1, XP_045139905.1	XP_012594271.1
OG0003031	XP_045141951.1	XP_012593275.1
OG0003032	XP_045141352.1	XP_012619558.1
OG0003033	XP_004706048.2	XP_020136931.1, XP_012597676.1
OG0003034	XP_004705666.1	XP_012614907.1
OG0003035	XP_004705940.1	XP_012614411.1
OG0003036	XP_004705935.1	XP_020137278.1
OG0003037	XP_045141347.1	XP_012619577.1
OG0003039	XP_045139994.1	XP_012619737.1
OG0003040	XP_045141912.1	XP_012591526.1, XP_012591527.1, XP_012591524.1, XP_012591523.1, XP_012591525.1, XP_012591521.1, XP_012591520.1
OG0003041	XP_045141989.1	XP_012640540.1, XP_012640593.1, XP_012640569.1, XP_012640585.1, XP_012640580.1, XP_012640532.1, XP_012640558.1, XP_012640549.1, XP_012640574.1, XP_012640550.1
OG0003042	XP_004705831.1	XP_012593276.1
OG0003043	XP_045147957.1	XP_012607072.1, XP_012607071.1
OG0003044	XP_004699318.1, XP_012859567.1	XP_012646377.1
OG0003045	XP_045147811.1	XP_012646324.1
OG0003046	XP_045154452.1	XP_012623116.1, XP_012623109.1, XP_012623113.1, XP_012623114.1
OG0003047	XP_004703112.1	XP_012601732.1
OG0003048	XP_004699864.1	XP_012599908.1
OG0003049	XP_004699919.1	XP_012637161.1, XP_012637160.1
OG0003050	XP_045153908.1	XP_012620482.1, XP_012620481.1, XP_012620483.1
OG0003051	XP_004706774.1	XP_012620533.1, XP_012620534.1, XP_012620532.1, XP_012620531.1
OG0003052	XP_045154337.1	XP_012623120.1
OG0003053	XP_045154429.1	XP_012623278.1
OG0003054	XP_045143857.1	XP_012611495.1
OG0003055	XP_004698706.1	XP_012633141.1, XP_012633142.1, XP_012633140.1
OG0003056	XP_004699058.1	XP_020141339.1, XP_012633158.1
OG0003058	XP_004698844.1	XP_012601824.1
OG0003059	XP_004714495.2	XP_012640003.1
OG0003059	XP_012863149.2	XP_012639972.1
OG0003060	XP_004696935.1	XP_012642135.1
OG0003061	XP_045155714.1, XP_045155456.1	XP_020136655.1, XP_020136658.1
OG0003062	XP_045155767.1	XP_012611741.1
OG0003063	XP_004709393.2	XP_012602883.1
OG0003064	XP_004707592.2	XP_012602753.1, XP_012602754.1
OG0003065	XP_012861268.1	XP_012642275.1
OG0003066	XP_045155483.1, XP_004707286.1	XP_012642228.1
OG0003067	XP_004707554.2	XP_012598679.1
OG0003068	XP_045155265.1	XP_012621403.1
OG0003069	XP_030744093.1	XP_012621424.1
OG0003070	XP_004707148.1	XP_012643344.1
OG0003071	XP_004707130.1	XP_012645157.1, XP_012645158.1
OG0003072	XP_004707065.1	XP_012627184.1
OG0003073	XP_004707385.1	XP_012596065.1, XP_012596064.1, XP_012596060.1, XP_012596061.1, XP_012596062.1, XP_012596066.1, XP_012596063.1
OG0003074	XP_045155610.1	XP_012596244.1
OG0003075	XP_004706928.1, XP_045155600.1	XP_012596236.1
OG0003076	XP_045149418.1, XP_004716222.1	XP_020136832.1, XP_020136833.1, XP_020136831.1
OG0003077	XP_045149269.1	XP_020136596.1
OG0003078	XP_004714528.1	XP_012639935.1
OG0003079	XP_045145148.1	XP_012637482.1
OG0003080	XP_004700578.1	XP_012632551.1
OG0003081	XP_004700662.1	XP_012644955.1, XP_012644953.1
OG0003082	XP_045148959.1	XP_012613041.1
OG0003083	XP_004700289.1	XP_020143298.1
OG0003084	XP_004699815.1	XP_012611256.1
OG0003085	XP_004710236.1	XP_012620375.1
OG0003086	XP_004697058.3	XP_012617729.1, XP_012617730.1, XP_012617727.1, XP_012617732.1, XP_012617733.1, XP_012617731.1, XP_012617728.1
OG0003087	XP_030741215.2	XP_012625522.1
OG0003088	XP_045145036.1	XP_012625452.1
OG0003090	XP_004712604.1	XP_012624265.1, XP_012624266.1
OG0003091	XP_004696624.2	XP_012616364.1, XP_012616365.1, XP_012616371.1, XP_012616369.1, XP_012616373.1, XP_012616367.1, XP_012616363.1, XP_012616366.1, XP_012616372.1, XP_012616370.1, XP_012616374.1, XP_012616368.1
OG0003092	XP_004717284.1	XP_012602226.1
OG0003093	XP_045150715.1	XP_012602387.1
OG0003094	XP_030742764.1	XP_012628617.1
OG0003095	XP_004710937.1	XP_012611898.1
OG0003096	XP_004696426.1	XP_012616313.1
OG0003097	XP_045150864.1	XP_012616318.1, XP_012616317.1
OG0003098	XP_004716123.1	XP_012628420.1
OG0003099	XP_004696297.1	XP_012606397.1
OG0003100	XP_045150432.1	XP_012637998.1, XP_012637995.1, XP_012637997.1, XP_012637996.1, XP_012637999.1
OG0003101	XP_004697489.1	XP_012641768.1, XP_012641767.1, XP_012641769.1
OG0003102	XP_004697701.1	XP_012640873.1
OG0003103	XP_045154203.1, XP_004697675.1, XP_045154260.1	XP_012608361.1
OG0003104	XP_030744412.1	XP_020140265.1
OG0003105	XP_004706391.1	XP_012613711.1, XP_012613714.1, XP_012613712.1, XP_012613710.1, XP_012613715.1, XP_012613713.1
OG0003106	XP_012860081.1	XP_012635036.1
OG0003107	XP_004702711.1	XP_012635079.1, XP_012635081.1, XP_012635077.1, XP_012635080.1, XP_012635078.1, XP_012635082.1
OG0003108	XP_004702715.1	XP_012635091.1
OG0003109	XP_045140230.1, XP_045148115.1	XP_012596742.1
OG0003110	XP_004707829.1	XP_012612763.1, XP_012612764.1
OG0003111	XP_004705023.1	XP_012620686.1, XP_012620685.1, XP_012620687.1
OG0003112	XP_030743863.1	XP_020145577.1
OG0003113	XP_004705040.1	XP_012620763.1, XP_012620762.1
OG0003114	XP_004699520.1, XP_045141422.1	XP_012631510.1, XP_020145280.1
OG0003115	XP_004699541.1	XP_012631391.1
OG0003116	XP_045142798.1	XP_020138408.1, XP_020138424.1
OG0003117	XP_045142298.1	XP_012618870.1
OG0003118	XP_004702386.3	XP_012641710.1, XP_012641711.1, XP_012641709.1
OG0003119	XP_045142785.1	XP_012640513.1
OG0003120	XP_045142497.1	XP_020138108.1
OG0003122	XP_030740483.2, XP_030741115.1, XP_045147879.1	XP_012638709.1
OG0003123	XP_004696085.1	XP_012634433.1, XP_012634434.1, XP_012634432.1
OG0003124	XP_045142654.1	XP_012643572.1, XP_012643573.1, XP_012643574.1, XP_012643571.1
OG0003125	XP_004711168.1	XP_012643900.1, XP_012643899.1
OG0003126	XP_004704526.1	XP_012642350.1
OG0003127	XP_004704422.1, XP_045139871.1	XP_012642340.1
OG0003128	XP_045139808.1	XP_012642322.1
OG0003129	XP_004708444.1	XP_012602140.1, XP_012602120.2
OG0003130	XP_004718049.1, XP_004712321.1	XP_012628266.1
OG0003131	XP_045142293.1, XP_004708097.1	XP_012591468.1
OG0003132	XP_045142343.1, XP_004708088.1	XP_012596430.1, XP_012596428.1, XP_020145498.1, XP_012596427.1, XP_012596429.1
OG0003133	XP_004702670.1, XP_045144887.1	XP_012602582.1
OG0003134	XP_030743383.1	XP_012605406.1
OG0003135	XP_030743440.2	XP_012613005.1, XP_012613004.1
OG0003136	XP_004713585.1	XP_012633515.1
OG0003137	XP_004713581.1	XP_012633498.1, XP_012633497.1
OG0003138	XP_004713562.1	XP_012633349.1
OG0003139	XP_004714993.1	XP_020141942.1
OG0003140	XP_004715097.1	XP_012633781.1
OG0003143	XP_045150960.1, XP_045150961.1, XP_004708601.1, XP_045150962.1	XP_012625812.1, XP_012625813.1
OG0003144	XP_004702311.1	XP_012616025.1
OG0003146	XP_045153309.1	XP_020135920.1
OG0003147	XP_004715233.1	XP_012626796.1, XP_012626798.1, XP_012626794.1, XP_012626797.1
OG0003148	XP_012863320.1, XP_004708021.2	XP_012626700.1, XP_012626699.1, XP_012626701.1
OG0003149	XP_045153553.1	XP_012625764.1, XP_012625763.1, XP_012625768.1, XP_012625767.1
OG0003150	XP_004705575.2	XP_012596888.1
OG0003151	XP_004716889.1	XP_012646061.1
OG0003152	XP_004716867.1	XP_012646131.1, XP_012646132.1, XP_020139638.1
OG0003153	XP_030744427.1, XP_012863134.1	XP_020139539.1
OG0003154	XP_045155959.1	XP_012601180.1
OG0003155	XP_004717069.1	XP_020139579.1
OG0003156	XP_045149172.1	XP_012594133.1
OG0003157	XP_045149085.1	XP_012594122.1
OG0003158	XP_004708913.2	XP_012591565.1
OG0003159	XP_004708956.1	XP_012620135.1, XP_012620134.1
OG0003160	XP_004717122.1	XP_012641994.1
OG0003161	XP_045147075.1	XP_012636071.1
OG0003162	XP_004708312.1	XP_012603049.1, XP_012603041.1
OG0003163	XP_045144995.1	XP_020145979.1
OG0003164	XP_004704329.1	XP_012612446.1
OG0003165	XP_004704355.1	XP_012607495.1, XP_012607496.1, XP_012607494.1
OG0003167	XP_045153618.1	XP_012622415.1, XP_012622413.1, XP_012622414.1
OG0003168	XP_004704064.1	XP_012622374.2
OG0003169	XP_004704236.3	XP_012622372.1, XP_012622347.1
OG0003170	XP_004712156.1	XP_012643216.1, XP_020141898.1
OG0003171	XP_045153386.1, XP_004704182.1	XP_012642389.1, XP_012642399.1
OG0003172	XP_004697953.1	XP_012610474.1
OG0003173	XP_045151531.1, XP_045151530.1, XP_045151532.1, XP_045151529.1	XP_012610129.1
OG0003174	XP_045143013.1	XP_012634115.1
OG0003175	XP_045151947.1	XP_012611184.1, XP_012611185.1
OG0003176	XP_004709713.1	XP_012633817.2, XP_012633818.2, XP_012633816.2, XP_012633815.2, XP_012633819.2, XP_012633820.2
OG0003177	XP_045152629.1	XP_020138571.1
OG0003178	XP_012861896.1	XP_012612099.1, XP_020143480.1
OG0003179	XP_030741787.2	XP_020138642.1
OG0003180	XP_045145502.1	XP_012604729.1
OG0003181	XP_045149015.1, XP_045152258.1, XP_045149191.1, XP_004717486.1	XP_012633070.1
OG0003182	XP_045151818.1	XP_012603193.1
OG0003183	XP_030743089.1	XP_012638633.1
OG0003184	XP_045151938.1	XP_012615906.1
OG0003185	XP_012861476.2	XP_012615927.1
OG0003186	XP_045146458.1	XP_012633081.1
OG0003187	XP_004717667.3	XP_012610981.1
OG0003188	XP_045149209.1, XP_004716286.1	XP_012629884.1, XP_012629885.1
OG0003189	XP_004713821.1	XP_012609200.1
OG0003190	XP_045144406.1	XP_020143331.1
OG0003191	XP_004700055.1	XP_012595036.2
OG0003193	XP_012862410.2	XP_012617149.1
OG0003194	XP_045143227.1	XP_012617442.1
OG0003195	XP_045143270.1	XP_012618001.1
OG0003196	XP_004716972.1	XP_012619755.1, XP_012619745.1, XP_012619763.1
OG0003197	XP_004701396.1	XP_012621802.1
OG0003198	XP_045147363.1, XP_004701003.1	XP_012625925.1, XP_012625916.1
OG0003199	XP_045147359.1	XP_012626288.1
OG0003200	XP_045147588.1	XP_012636901.1
OG0003201	XP_004697635.1	XP_012614997.1
OG0003203	XP_004697772.1	XP_012628310.1, XP_012628311.1
OG0003205	XP_004712022.1	XP_012603715.1
OG0003206	XP_012863804.2	XP_012598322.1, XP_012598320.1, XP_012598319.1, XP_012598321.1, XP_012598318.1
OG0003207	XP_004709489.2	XP_012618926.1, XP_012618925.1, XP_012618924.1
OG0003208	XP_045141740.1, XP_045141739.1, XP_004712004.1	XP_012623800.1, XP_012623801.1, XP_012623802.1
OG0003209	XP_045141657.1	XP_012623708.1
OG0003210	XP_045141642.1	XP_012590891.1
OG0003211	XP_030744710.1	XP_012619921.1, XP_012619920.1
OG0003212	XP_045140266.1	XP_012619061.1
OG0003213	XP_045139954.1	XP_020140855.1
OG0003214	XP_004703275.1	XP_020140142.1
OG0003216	XP_004706520.1	XP_012632658.1
OG0003217	XP_004706466.1	XP_012643000.1
OG0003218	XP_004701520.1	XP_012636035.1
OG0003219	XP_004712387.1	XP_012635792.1
OG0003220	XP_004708654.1, XP_045150967.1	XP_012592471.1
OG0003221	XP_045151709.1, XP_004712526.1	XP_012608993.1
OG0003222	XP_004703866.1	XP_012598174.1
OG0003223	XP_004703853.1	XP_012600726.1
OG0003224	XP_004703830.1	XP_012616627.1
OG0003225	XP_012860405.2	XP_012637336.1, XP_012637335.1
OG0003226	XP_045150932.1	XP_012632459.1, XP_012632460.1, XP_012632461.1, XP_012632462.1
OG0003227	XP_004701823.1, XP_045150867.1	XP_012624576.1, XP_012594322.1
OG0003228	XP_004700170.1	XP_012615295.1, XP_012615286.1
OG0003229	XP_045143022.1, XP_004700204.1	XP_012601055.1
OG0003230	XP_045153978.1	XP_012591008.1
OG0003231	XP_045154306.1	XP_012604639.1
OG0003232	XP_030744899.1	XP_012612747.1
OG0003233	XP_004709993.1	XP_012640157.1, XP_012640159.1
OG0003234	XP_004713935.1	XP_012612385.1, XP_012612386.1
OG0003235	XP_004713251.1	XP_012605182.1
OG0003236	XP_004713224.1	XP_012593533.1
OG0003237	XP_004713191.1	XP_012611293.1, XP_012611294.1
OG0003238	XP_045144218.1	XP_012603284.1, XP_020141924.1
OG0003239	XP_004715432.1	XP_012620203.1
OG0003240	XP_004697015.1, XP_045144306.1	XP_012620263.1
OG0003241	XP_004717654.1	XP_012592150.1, XP_012612685.2, XP_012612683.2
OG0003242	XP_004717650.1	XP_012613624.1
OG0003243	XP_004714862.1	XP_012607819.1, XP_012607821.1, XP_012607820.1, XP_012607823.1, XP_012607822.1
OG0003247	XP_045145953.1	XP_012616092.1
OG0003248	XP_004708799.1	XP_012591045.2
OG0003250	XP_030743172.1	XP_012601698.1
OG0003251	XP_045141972.1	XP_012640836.1
OG0003252	XP_004711615.2	XP_012636066.1
OG0003253	XP_004710357.1	XP_012603743.1
OG0003254	XP_004704055.1	XP_012625760.1, XP_012625759.1
OG0003255	XP_004710969.2	XP_012624899.1
OG0003256	XP_004711028.1	XP_012618642.1, XP_012609237.2, XP_012609236.1
OG0003257	XP_004702008.1	XP_012615159.1
OG0003258	XP_004699671.1	XP_012622687.1
OG0003259	XP_045144132.1, XP_004717590.1, XP_045139690.1	XP_012608023.1
OG0003260	XP_030743102.2	XP_012616115.1
OG0003261	XP_004700659.1	XP_012644947.1
OG0003262	XP_045152966.1, XP_004714967.1, XP_045152965.1	XP_012605361.1, XP_012605359.1, XP_012605360.1
OG0003263	XP_004702598.2	XP_012637861.1
OG0003264	XP_045139878.1, XP_045148192.1, XP_045148170.1, XP_045143895.1	XP_012642412.1
OG0003265	XP_004697010.1	XP_012602460.1, XP_012602457.1, XP_012602455.1, XP_012602459.1, XP_012602458.1, XP_012602461.1, XP_012602453.1, XP_012602462.1, XP_012602456.1
OG0003266	XP_045146799.1	XP_012610860.1
OG0003267	XP_045148610.1	XP_012609324.1
OG0003268	XP_045154874.1	XP_012624158.1
OG0003269	XP_012862147.1	XP_020138971.1
OG0003270	XP_045148709.1, XP_004710754.1	XP_012609667.1, XP_012609668.1
OG0003271	XP_045152794.1	XP_012612140.1
OG0003272	XP_030743401.1	XP_012612853.1
OG0003273	XP_004705811.1	XP_012645683.1
OG0003274	XP_045140212.1, XP_045142473.1, XP_004708618.1	XP_012625683.1
OG0003275	XP_004716019.1	XP_012635264.2
OG0003276	XP_004712244.1	XP_012593744.1
OG0003277	XP_045150997.1	XP_012597628.1
OG0003278	XP_004702167.2	XP_020142853.1, XP_020142851.1, XP_020142850.1, XP_020142852.1, XP_020142854.1
OG0003279	XP_012861098.1	XP_012593405.1, XP_012593388.1, XP_012593397.1
OG0003280	XP_045140217.1, XP_004703346.1	XP_020140162.1
OG0003281	XP_004705782.1, XP_045141345.1	XP_012635656.1, XP_012635657.1
OG0003282	XP_004711027.1	XP_012618638.1, XP_012618639.1
OG0003284	XP_004708515.3	XP_012643290.1
OG0003285	XP_004714841.1	XP_012604161.1
OG0003285	XP_004714842.1	XP_012604160.1
OG0003286	XP_004708434.1	XP_012643258.1
OG0003287	XP_012862648.1, XP_004712511.1, XP_004712508.1, XP_004712512.1, XP_004712514.1, XP_004712513.1	XP_012625640.1
OG0003288	XP_045146652.1	XP_020143624.1, XP_012629188.1, XP_020140646.1
OG0003290	XP_012863552.1, XP_045152182.1	XP_012644383.1
OG0003291	XP_004703068.1	XP_020137704.1
OG0003292	XP_004703166.1	XP_012600951.1
OG0003293	XP_045152156.1	XP_012625281.1, XP_012625282.1, XP_012625283.1, XP_012625280.1
OG0003294	XP_045145301.1	XP_020144886.1
OG0003295	XP_004697641.1	XP_012593976.1
OG0003296	XP_045148267.1, XP_045148266.1	XP_012613523.1
OG0003297	XP_004710524.1, XP_045151878.1, XP_045151875.1, XP_045151877.1	XP_012603212.1
OG0003298	XP_004715706.1	XP_012605702.1, XP_012605703.1, XP_012605701.1
OG0003299	XP_004715760.1	XP_012631022.1, XP_012631024.1
OG0003300	XP_045148582.1	XP_012609613.1
OG0003302	XP_045148594.1	XP_012616980.1
OG0003303	XP_045148607.1	XP_012616846.1
OG0003305	XP_004704768.1	XP_012630635.1
OG0003306	XP_045149714.1	XP_020138781.1
OG0003308	XP_045141515.1	XP_012621157.1
OG0003309	XP_045149612.1	XP_012606874.1, XP_012606875.1, XP_012606873.1
OG0003310	XP_004704724.1	XP_012628068.2
OG0003311	XP_045155204.1	XP_012606266.1
OG0003312	XP_045154732.1	XP_012618483.1
OG0003313	XP_004703566.1, XP_045142520.1	XP_012622267.1, XP_012629556.2
OG0003315	XP_045152449.1, XP_004709904.1, XP_045152450.1	XP_012620017.1
OG0003316	XP_004709903.1	XP_012620030.1, XP_012620031.1, XP_012620029.1
OG0003317	XP_004709954.1	XP_012644325.1
OG0003318	XP_045142280.1, XP_012861464.2	XP_012618670.1
OG0003319	XP_030740350.1	XP_012607239.1
OG0003320	XP_004698415.1	XP_012591883.1, XP_012591885.1
OG0003321	XP_004701160.1	XP_012618267.1
OG0003323	XP_030744682.1	XP_012642791.1
OG0003324	XP_045140631.1	XP_020139284.1
OG0003325	XP_045140560.1	XP_020139278.1, XP_020139277.1, XP_012617220.2
OG0003326	XP_045140649.1	XP_012597062.1, XP_012597064.1, XP_012597066.1, XP_012597065.1
OG0003327	XP_004703679.1	XP_012595869.1
OG0003328	XP_012864173.1	XP_020145815.1, XP_012638679.1
OG0003329	XP_004704906.1	XP_012598132.1
OG0003330	XP_004716829.2	XP_012611354.2, XP_012638741.1
OG0003331	XP_004714217.1	XP_012627823.1
OG0003332	XP_004712902.1	XP_020142292.1, XP_012629081.1, XP_020142290.1, XP_020142291.1
OG0003333	XP_030742350.1, XP_045149342.1	XP_012631482.1
OG0003334	XP_045146208.1	XP_012603325.1
OG0003335	XP_045155087.1, XP_045155088.1	XP_012631815.1, XP_012631816.1
OG0003336	XP_004711058.1, XP_030740915.1, XP_030742401.1, XP_045155145.1	XP_012646927.1
OG0003337	XP_045155058.1	XP_012646903.1
OG0003338	XP_004705243.1	XP_020137409.1
OG0003339	XP_030742439.1	XP_012593935.2
OG0003340	XP_012860605.1	XP_012602015.2, XP_012618717.1
OG0003341	XP_004704844.1	XP_012627986.1
OG0003342	XP_004704614.1	XP_012627905.1
OG0003343	XP_004704868.1	XP_012597984.1
OG0003344	XP_045149656.1	XP_012597996.1
OG0003345	XP_045148986.1	XP_012598117.1
OG0003346	XP_004705633.1, XP_045141141.1	XP_012619529.1
OG0003347	XP_045140593.1	XP_012614339.1
OG0003348	XP_004705655.1	XP_012614627.1
OG0003349	XP_045139665.1	XP_012614902.1
OG0003350	XP_004705612.1	XP_012614336.1
OG0003351	XP_045141929.1	XP_020137128.1
OG0003352	XP_004705765.1	XP_020137006.1
OG0003353	XP_004706126.1	XP_012645586.1
OG0003354	XP_045141937.1	XP_012645628.1
OG0003355	XP_004705843.1	XP_020136983.1, XP_020136984.1
OG0003356	XP_004699283.2	XP_012603868.1
OG0003357	XP_045147977.1	XP_012646350.1
OG0003358	XP_004714677.1	XP_012646712.1, XP_012646711.1, XP_012646714.1, XP_012646715.1
OG0003359	XP_045154023.1	XP_012615901.1
OG0003361	XP_045153996.1	XP_012637068.1, XP_012637072.1, XP_012637071.1, XP_012637069.1, XP_012637070.1
OG0003362	XP_004706734.1	XP_020139966.1
OG0003363	XP_004700026.1	XP_012606749.1
OG0003364	XP_030743683.1	XP_012606734.1
OG0003365	XP_045154421.1, XP_004714811.1	XP_012623415.1
OG0003366	XP_045154286.1	XP_012623357.1
OG0003367	XP_004714709.1, XP_045154433.1	XP_012623361.1
OG0003369	XP_004702945.1	XP_012601715.1, XP_012601714.1
OG0003370	XP_045143860.1, XP_045143861.1, XP_045143858.1, XP_045143859.1	XP_012611532.1, XP_012611533.1
OG0003371	XP_045146430.1, XP_004699142.1	XP_012594031.1
OG0003372	XP_045143993.1, XP_004698538.1, XP_045143994.1	XP_012608208.1
OG0003373	XP_045143986.1	XP_012638241.1, XP_012638242.1, XP_012638244.1, XP_012638243.1
OG0003376	XP_004698729.2	XP_012636615.1
OG0003377	XP_045143849.1	XP_012597919.1
OG0003378	XP_030740901.1	XP_012598470.1
OG0003379	XP_004698810.2	XP_012629457.1, XP_012629458.1
OG0003380	XP_004699121.1	XP_012629447.1
OG0003382	XP_045155320.1	XP_012602955.1
OG0003383	XP_004707333.1	XP_012602940.1
OG0003384	XP_004707283.1	XP_012642211.1
OG0003385	XP_004707174.1	XP_012621353.1
OG0003386	XP_004707131.1, XP_045143654.1	XP_012645147.1
OG0003387	XP_004707072.2	XP_012622588.1
OG0003388	XP_030741493.1, XP_045155376.1, XP_045155377.1, XP_045155378.1	XP_012634495.1
OG0003389	XP_030741283.1	XP_020136699.1, XP_012596258.1, XP_012596257.1, XP_020136700.1
OG0003391	XP_045155766.1, XP_004706993.1	XP_012596128.1, XP_012596129.1, XP_012596127.1
OG0003392	XP_045155473.1	XP_012596033.1
OG0003394	XP_045155803.1, XP_004706939.1	XP_012596233.2
OG0003395	XP_004714503.1	XP_012637440.1, XP_012637439.1, XP_012637438.1
OG0003396	XP_004713358.1	XP_012627417.1, XP_012627418.1
OG0003397	XP_004700628.1	XP_012608406.1
OG0003399	XP_004700505.1	XP_020143574.1
OG0003400	XP_045148073.1	XP_012645016.1
OG0003401	XP_004700681.1	XP_012645037.1
OG0003402	XP_045151917.1, XP_004700290.1	XP_012597378.1
OG0003403	XP_004700345.1	XP_012597224.1
OG0003404	XP_004700341.1	XP_012597147.1
OG0003405	XP_045148729.1, XP_004700745.1	XP_012597150.1, XP_012597149.1
OG0003406	XP_004700761.1	XP_012642627.1, XP_012642628.1
OG0003407	XP_004700769.1	XP_012642579.1
OG0003408	XP_004700775.1	XP_012642556.1
