Orthogroup	Echinops_telfairi	Sus_scrofa
OG0003062	XP_045155767.1	XP_020922164.1
OG0003063	XP_004709393.2	XP_020922379.1, XP_013845364.2
OG0003064	XP_004707592.2	NP_001231640.1, XP_020921756.1
OG0003065	XP_012861268.1	XP_003131369.1
OG0003066	XP_045155483.1, XP_004707286.1	XP_003131380.1
OG0003067	XP_004707554.2	XP_020922596.1
OG0003068	XP_045155265.1	XP_020922722.1
OG0003069	XP_030744093.1	XP_005654002.1, XP_020922739.1, XP_003131577.1
OG0003070	XP_004707148.1	XP_020922763.1
OG0003071	XP_004707130.1	XP_020922792.1, XP_013836450.2, XP_020922793.1
OG0003072	XP_004707065.1	XP_005669058.1, XP_003131714.1, XP_005669059.1, XP_003131717.1
OG0003073	XP_004707385.1	XP_013845439.1
OG0003074	XP_045155610.1	XP_020923238.1
OG0003075	XP_004706928.1, XP_045155600.1	XP_020923276.1
OG0003076	XP_045149418.1, XP_004716222.1	NP_001116549.1
OG0003077	XP_045149269.1	XP_020923351.1
OG0003078	XP_004714528.1	XP_020936851.1
OG0003079	XP_045145148.1	XP_020936697.1
OG0003080	XP_004700578.1	NP_001138317.1, XP_005674435.1
OG0003081	XP_004700662.1	NP_001007192.1, XP_020946854.1
OG0003082	XP_045148959.1	XP_020947059.1, XP_013852928.1, XP_005663800.1, XP_020947060.1
OG0003083	XP_004700289.1	NP_998918.1
OG0003084	XP_004699815.1	XP_003125215.1
OG0003085	XP_004710236.1	XP_003481249.1
OG0003086	XP_004697058.3	XP_020940438.1
OG0003087	XP_030741215.2	XP_013841770.2
OG0003088	XP_045145036.1	XP_020921311.1
OG0003090	XP_004712604.1	XP_013849244.1, XP_020923696.1
OG0003092	XP_004717284.1	NP_001171823.1
OG0003093	XP_045150715.1	XP_003128417.2
OG0003094	XP_030742764.1	XP_005666033.1, NP_001098784.1
OG0003095	XP_004710937.1	XP_001924975.4
OG0003096	XP_004696426.1	NP_999570.1
OG0003097	XP_045150864.1	XP_003128479.1, XP_005666157.1
OG0003098	XP_004716123.1	XP_020933363.1, XP_013841010.2
OG0003099	XP_004696297.1	XP_020945643.1
OG0003100	XP_045150432.1	XP_020941161.1
OG0003101	XP_004697489.1	XP_020944684.1, XP_005662954.1, XP_013852002.1, XP_020944685.1
OG0003102	XP_004697701.1	NP_001230263.1, XP_005662898.1
OG0003103	XP_045154203.1, XP_004697675.1, XP_045154260.1	XP_020946163.1, XP_020946165.1
OG0003104	XP_030744412.1	XP_020956818.1
OG0003105	XP_004706391.1	XP_020957009.1
OG0003106	XP_012860081.1	XP_020919018.1
OG0003107	XP_004702711.1	XP_020958029.1
OG0003110	XP_004707829.1	NP_001231602.1, XP_020934137.1
OG0003111	XP_004705023.1	XP_003127835.1, XP_005665269.1
OG0003112	XP_030743863.1	XP_020952571.1
OG0003113	XP_004705040.1	XP_020951521.1, XP_020951522.1, XP_020951523.1
OG0003114	XP_004699520.1, XP_045141422.1	XP_005665507.1, NP_001230789.1
OG0003115	XP_004699541.1	NP_001230569.1
OG0003116	XP_045142798.1	NP_001090982.1, NP_001092065.1
OG0003117	XP_045142298.1	NP_001116573.2, XP_005673389.1
OG0003118	XP_004702386.3	XP_020934474.1
OG0003119	XP_045142785.1	XP_020936956.1, XP_020936957.1, XP_020933259.1
OG0003120	XP_045142497.1	NP_001230497.1, XP_020930310.1
OG0003122	XP_030740483.2, XP_030741115.1, XP_045147879.1	XP_020943613.1
OG0003123	XP_004696085.1	NP_001116455.1, XP_020941548.1
OG0003124	XP_045142654.1	XP_013851754.1, XP_003125379.1
OG0003125	XP_004711168.1	XP_013851663.1
OG0003126	XP_004704526.1	XP_020942756.1, XP_020942755.1, XP_020942754.1
OG0003127	XP_004704422.1, XP_045139871.1	XP_013851302.1, XP_005662358.1
OG0003128	XP_045139808.1	XP_020942735.1, XP_005658652.1
OG0003129	XP_004708444.1	XP_020937781.1, XP_020937782.1, XP_003122356.3
OG0003130	XP_004718049.1	XP_020944285.1
OG0003130	XP_004712321.1	NP_001172101.1
OG0003131	XP_045142293.1, XP_004708097.1	XP_020919586.1
OG0003132	XP_045142343.1, XP_004708088.1	NP_999193.1
OG0003133	XP_004702670.1, XP_045144887.1	XP_020958219.1
OG0003134	XP_030743383.1	NP_001116666.1, XP_005660930.1
OG0003135	XP_030743440.2	XP_020938415.1
OG0003136	XP_004713585.1	XP_013849554.2
OG0003137	XP_004713581.1	XP_020938525.1, XP_020952596.1
OG0003138	XP_004713562.1	XP_003122642.2
OG0003139	XP_004714993.1	XP_003122675.1
OG0003140	XP_004715097.1	XP_020938618.1, XP_020938617.1, XP_020938620.1, XP_020938619.1
OG0003141	XP_004715942.1	XP_003135228.1
OG0003143	XP_045150960.1, XP_045150961.1, XP_004708601.1, XP_045150962.1	XP_020927400.1
OG0003144	XP_004702311.1	XP_020923934.1, NP_001193465.1
OG0003146	XP_045153309.1	XP_001927890.1
OG0003147	XP_004715233.1	XP_005669647.1
OG0003148	XP_012863320.1, XP_004708021.2	XP_005669593.1, XP_003132253.1
OG0003149	XP_045153553.1	NP_001121949.1, XP_020923852.1
OG0003150	XP_004705575.2	XP_005652970.1
OG0003151	XP_004716889.1	XP_020939484.1
OG0003152	XP_004716867.1	XP_005654910.1, XP_003123274.1, XP_013842881.1
OG0003153	XP_030744427.1, XP_012863134.1	XP_020935486.1, NP_001302667.1
OG0003154	XP_045155959.1	XP_003354010.1
OG0003155	XP_004717069.1	XP_020939967.1
OG0003156	XP_045149172.1	XP_013834665.2
OG0003157	XP_045149085.1	NP_001230529.1
OG0003158	XP_004708913.2	XP_013834643.1, XP_020918233.1, XP_020918230.1, XP_020918232.1, XP_013834644.1, XP_020918231.1
OG0003159	XP_004708956.1	NP_001157121.1, XP_005656677.2
OG0003160	XP_004717122.1	XP_003357183.1
OG0003161	XP_045147075.1	XP_003122982.2
OG0003162	XP_004708312.1	XP_003122951.1
OG0003163	XP_045144995.1	XP_013835961.1
OG0003164	XP_004704329.1	NP_001231230.1
OG0003165	XP_004704355.1	XP_005668600.1, XP_005668599.1, XP_003131137.2, XP_005668598.1
OG0003166	XP_004704483.1	XP_020921652.1
OG0003167	XP_045153618.1	XP_020927016.1
OG0003168	XP_004704064.1	XP_020926991.1, XP_020926992.1
OG0003169	XP_004704236.3	XP_020926982.1
OG0003170	XP_004712156.1	XP_020926784.1, XP_003358612.1, XP_005654084.1
OG0003171	XP_045153386.1, XP_004704182.1	XP_005670002.1
OG0003172	XP_004697953.1	XP_020933851.1
OG0003174	XP_045143013.1	XP_020921230.1
OG0003175	XP_045151947.1	XP_020930273.1, NP_001230879.1
OG0003176	XP_004709713.1	XP_020928496.1
OG0003177	XP_045152629.1	XP_020928053.1
OG0003178	XP_012861896.1	XP_001929124.1
OG0003179	XP_030741787.2	XP_003132984.4, XP_020928976.1
OG0003180	XP_045145502.1	NP_999195.1, XP_005670939.1
OG0003181	XP_045149015.1, XP_045152258.1, XP_045149191.1, XP_004717486.1	XP_020948048.1, XP_020948049.1, NP_001123443.1
OG0003184	XP_045151938.1	XP_020948088.1
OG0003185	XP_012861476.2	NP_001005349.1, XP_020946792.1
OG0003186	XP_045146458.1	XP_003126567.3
OG0003187	XP_004717667.3	XP_005655731.1, NP_998978.2
OG0003188	XP_045149209.1, XP_004716286.1	XP_020948001.1
OG0003189	XP_004713821.1	NP_001231169.1
OG0003190	XP_045144406.1	XP_020948580.1
OG0003191	XP_004700055.1	NP_999081.1, XP_005664077.1
OG0003192	XP_045143170.1	XP_020948245.1
OG0003193	XP_012862410.2	XP_020947261.1, XP_013843712.2
OG0003194	XP_045143227.1	XP_020947300.1
OG0003195	XP_045143270.1	NP_001132948.1, XP_005655627.1
OG0003196	XP_004716972.1	XP_013853026.1
OG0003197	XP_004701396.1	XP_020929670.1, XP_020937094.1
OG0003198	XP_045147363.1, XP_004701003.1	XP_020929144.1
OG0003199	XP_045147359.1	XP_013839166.2
OG0003200	XP_045147588.1	XP_005654210.1, XP_020929536.1
OG0003201	XP_004697635.1	XP_020944999.1, XP_020944998.1, XP_020945000.1
OG0003203	XP_004697772.1	XP_001927136.1, XP_013852061.1
OG0003205	XP_004712022.1	XP_013833544.1
OG0003206	XP_012863804.2	NP_001177110.1, XP_020953688.1
OG0003207	XP_004709489.2	XP_001925711.1
OG0003208	XP_045141740.1, XP_045141739.1, XP_004712004.1	XP_001927994.1
OG0003209	XP_045141657.1	XP_001929104.1
OG0003210	XP_045141642.1	XP_001924578.1
OG0003211	XP_030744710.1	XP_013838009.1
OG0003212	XP_045140266.1	XP_020957405.1
OG0003213	XP_045139954.1	XP_020957468.1
OG0003214	XP_004703275.1	XP_003129420.1
OG0003215	XP_045142200.1, XP_004706507.1	NP_001230427.1
OG0003216	XP_004706520.1	XP_020926077.1
OG0003217	XP_004706466.1	XP_003132721.2
OG0003218	XP_004701520.1	NP_001231276.1, XP_020923873.1
OG0003219	XP_004712387.1	XP_020925801.1
OG0003220	XP_004708654.1, XP_045150967.1	XP_020925517.1, XP_020925518.1
OG0003221	XP_045151709.1, XP_004712526.1	XP_005665665.1
OG0003222	XP_004703866.1	NP_001177205.1
OG0003223	XP_004703853.1	XP_020930107.1, NP_001090892.1
OG0003224	XP_004703830.1	XP_020930707.1, XP_020930708.1
OG0003225	XP_012860405.2	XP_020930803.1, XP_003133511.1, XP_020930804.1, XP_013837670.1
OG0003226	XP_045150932.1	XP_020931384.1
OG0003227	XP_004701823.1, XP_045150867.1	XP_005672182.1, XP_005672181.1
OG0003228	XP_004700170.1	XP_003357440.1
OG0003229	XP_045143022.1, XP_004700204.1	NP_001171682.1, XP_020919636.1
OG0003230	XP_045153978.1	XP_003130559.1, XP_005667980.1
OG0003231	XP_045154306.1	XP_020945237.1
OG0003232	XP_030744899.1	XP_013842001.2
OG0003233	XP_004709993.1	XP_020936245.1
OG0003234	XP_004713935.1	XP_001925750.1, XP_005673578.1
OG0003235	XP_004713251.1	XP_003360330.1
OG0003236	XP_004713224.1	NP_001265696.1
OG0003237	XP_004713191.1	XP_020935192.1, NP_001001860.1
OG0003238	XP_045144218.1	XP_005673716.1
OG0003239	XP_004715432.1	XP_005673976.1
OG0003240	XP_004697015.1, XP_045144306.1	XP_020936486.1
OG0003241	XP_004717654.1	XP_003135535.2
OG0003242	XP_004717650.1	NP_001033721.1
OG0003244	XP_004717457.1	XP_003128330.2, XP_020937578.1, XP_020938178.1, XP_020937346.1, XP_020937404.1
OG0003247	XP_045145953.1	XP_013837378.1, NP_998972.1
OG0003248	XP_004708799.1	XP_003129059.1
OG0003250	XP_030743172.1	XP_020953267.1
OG0003251	XP_045141972.1	NP_001005154.2
OG0003252	XP_004711615.2	XP_020937252.1, NP_999566.1
OG0003253	XP_004710357.1	XP_003126622.1
OG0003254	XP_004704055.1	XP_013837024.2, NP_001001620.1
OG0003255	XP_004710969.2	XP_013848160.2
OG0003256	XP_030743236.2	XP_003122101.2, XP_020931332.1
OG0003257	XP_004702008.1	XP_005659206.2
OG0003258	XP_004699671.1	NP_999262.1, XP_013844332.2
OG0003259	XP_045144132.1, XP_004717590.1, XP_045139690.1	NP_998908.1
OG0003260	XP_030743102.2	NP_999141.1, XP_020946779.1
OG0003261	XP_004700659.1	NP_999098.1
OG0003262	XP_045152966.1, XP_004714967.1, XP_045152965.1	XP_003353898.2
OG0003263	XP_004702598.2	XP_020926413.1
OG0003264	XP_045139878.1, XP_045148192.1, XP_045148170.1, XP_045143895.1	NP_001007518.1
OG0003265	XP_004697010.1	XP_020926606.1
OG0003266	XP_045146799.1	XP_020940943.1
OG0003267	XP_045148610.1	XP_020946834.1, NP_999517.1
OG0003268	XP_045154874.1	XP_020953340.1
OG0003269	XP_012862147.1	XP_020948936.1, NP_001182273.1
OG0003270	XP_045148709.1, XP_004710754.1	XP_020950491.1, XP_020950492.1
OG0003271	XP_045152794.1	NP_001098777.2
OG0003272	XP_030743401.1	XP_020938401.1, XP_005660678.3
OG0003273	XP_004705811.1	XP_020941825.1
OG0003274	XP_045140212.1, XP_045142473.1, XP_004708618.1	NP_001090947.1, XP_020923829.1, XP_003480329.1
OG0003275	XP_004716019.1	NP_001254774.1, XP_020919669.1
OG0003276	XP_004712244.1	XP_020927639.1, NP_001136299.1
OG0003277	XP_045150997.1	XP_003358422.1
OG0003278	XP_004702167.2	NP_999385.1, XP_020938661.1
OG0003279	XP_012861098.1	NP_001020392.1, XP_020939384.1
OG0003280	XP_045140217.1, XP_004703346.1	XP_013844819.1, XP_003129333.2, XP_003357106.1
OG0003281	XP_004705782.1, XP_045141345.1	XP_003357662.2, XP_005656830.1, XP_020942134.1, XP_013845135.1
OG0003282	XP_004711027.1	XP_020922639.1, XP_020922635.1, XP_020931338.1
OG0003283	XP_004708534.1	XP_013842716.1, XP_020937090.1, XP_020938025.1, XP_020937091.1, XP_020936958.1
OG0003284	XP_004708515.3	XP_003124229.1
OG0003285	XP_004714841.1	XP_013852364.2
OG0003285	XP_004714842.1	XP_003355171.1, XP_020946474.1
OG0003286	XP_004708434.1	XP_020956193.1
OG0003287	XP_012862648.1, XP_004712511.1, XP_004712508.1, XP_004712512.1, XP_004712514.1, XP_004712513.1	XP_020931214.1, XP_020931202.1, XP_020931182.1, XP_020931195.1, XP_005660290.1
OG0003288	XP_045146652.1	XP_005674521.2
OG0003289	XP_045144319.1, XP_045145818.1, XP_045146099.1	XP_020953273.1
OG0003290	XP_012863552.1, XP_045152182.1	XP_013849425.1
OG0003291	XP_004703068.1	XP_020955704.1, XP_020955690.1, XP_020955694.1, XP_020955700.1
OG0003292	XP_004703166.1	XP_013848326.1, XP_020949035.1, XP_013848328.1
OG0003293	XP_045152156.1	XP_003121492.3
OG0003294	XP_045145301.1	XP_020920071.1
OG0003295	XP_004697641.1	NP_001182299.1
OG0003296	XP_045148267.1, XP_045148266.1	XP_013854363.1
OG0003297	XP_004710524.1, XP_045151878.1, XP_045151875.1, XP_045151877.1	NP_999181.1
OG0003298	XP_004715706.1	XP_020950721.1, XP_020950718.1, XP_020950720.1, XP_020950722.1, XP_005664910.1, XP_005664909.1
OG0003299	XP_004715760.1	XP_020950658.1
OG0003300	XP_045148582.1	XP_020950435.1, XP_013854139.2, XP_013854137.2, XP_020950434.1, XP_020950436.1, XP_013854138.2, XP_005664823.2, XP_003127401.2, XP_003127402.2
OG0003302	XP_045148594.1	XP_013853986.2
OG0003303	XP_045148607.1	XP_020950214.1
OG0003305	XP_004704768.1	XP_003127060.3
OG0003306	XP_045149714.1	XP_020949913.1
OG0003308	XP_045141515.1	XP_005656884.1, NP_999126.1
OG0003309	XP_045149612.1	XP_005655843.1, XP_013843978.1, XP_003355848.1, XP_005655844.1
OG0003310	XP_004704724.1	XP_020952758.1
OG0003311	XP_045155204.1	XP_020951260.1
OG0003312	XP_045154732.1	XP_020953220.1
OG0003313	XP_004703566.1, XP_045142520.1	NP_001230993.1, XP_020935282.1
OG0003315	XP_045152449.1, XP_004709904.1, XP_045152450.1	XP_013848686.2
OG0003316	XP_004709903.1	XP_003121694.1, XP_005659848.1, XP_020954217.1, XP_013848687.1
OG0003317	XP_004709954.1	XP_020918229.1
OG0003318	XP_045142280.1, XP_012861464.2	XP_001929217.2
OG0003319	XP_030740350.1	XP_003356701.3
OG0003320	XP_004698415.1	XP_020932755.1
OG0003321	XP_004701160.1	XP_001926864.1
OG0003323	XP_030744682.1	XP_020940031.1
OG0003324	XP_045140631.1	XP_020932473.1
OG0003325	XP_045140560.1	XP_013840358.2, XP_013840357.2
OG0003326	XP_045140649.1	XP_013850780.1, XP_003124138.3
OG0003327	XP_004703679.1	NP_001231654.1
OG0003328	XP_012864173.1	XP_020932308.1
OG0003329	XP_004704906.1	XP_020949683.1, XP_020949686.1, XP_020949688.1, XP_020949685.1, XP_020949687.1
OG0003330	XP_004716829.2	XP_003130033.2, XP_020918713.1
OG0003331	XP_004714217.1	XP_005667542.1, NP_001231651.1
OG0003332	XP_004712902.1	NP_001231750.1
OG0003333	XP_030742350.1, XP_045149342.1	XP_003131992.1
OG0003335	XP_045155087.1, XP_045155088.1	XP_005653389.2
OG0003336	XP_004711058.1, XP_030740915.1, XP_030742401.1, XP_045155145.1	XP_020950937.1
OG0003337	XP_045155058.1	XP_003127587.1
OG0003339	XP_030742439.1	XP_013843931.1
OG0003340	XP_004717994.2, XP_012860605.1	XP_020952704.1, XP_020929682.1
OG0003341	XP_004704844.1	XP_005664390.1
OG0003342	XP_004704614.1	XP_020949464.1, XP_020949463.1, XP_020949462.1
OG0003343	XP_004704868.1	XP_020949516.1, XP_020949515.1
OG0003344	XP_045149656.1	XP_003126971.1
OG0003345	XP_045148986.1, XP_045149841.1	NP_001001649.2
OG0003346	XP_004705633.1, XP_045141141.1	XP_020942017.1, XP_003124484.1, XP_003481059.1
OG0003347	XP_045140593.1	XP_020941924.1
OG0003348	XP_004705655.1	XP_020941894.1
OG0003349	XP_045139665.1	XP_020941804.1
OG0003350	XP_004705612.1	XP_020941745.1
OG0003351	XP_045141929.1	XP_020942088.1
OG0003352	XP_004705765.1	NP_001103892.1, XP_020936970.1
OG0003353	XP_004706126.1	XP_020942149.1, XP_020942150.1
OG0003354	XP_045141937.1	XP_020942163.1
OG0003355	XP_004705843.1	XP_003124758.1, XP_005662296.1
OG0003356	XP_004699283.2	XP_013843622.1, NP_001230478.1
OG0003357	XP_045147977.1	XP_020945908.1, XP_020945907.1
OG0003358	XP_004714677.1	NP_001177097.1
OG0003359	XP_045154023.1	XP_020918976.1
OG0003361	XP_045153996.1	XP_005656809.1, NP_001121962.1
OG0003362	XP_004706734.1	XP_020919473.1, XP_003482787.1, XP_020919474.1
OG0003363	XP_004700026.1	XP_020920073.1
OG0003364	XP_030743683.1	XP_020920049.1
OG0003365	XP_045154421.1, XP_004714811.1	XP_001929318.1, XP_005663384.1
OG0003366	XP_045154286.1	XP_013852474.2
OG0003367	XP_004714709.1, XP_045154433.1	XP_020945413.1
OG0003368	XP_004718232.2, XP_012861124.1, XP_045144286.1	XP_003356458.1
OG0003369	XP_004702945.1	XP_020951799.1
OG0003370	XP_045143860.1, XP_045143861.1, XP_045143858.1, XP_045143859.1	XP_020954880.1
OG0003371	XP_045146430.1, XP_004699142.1	XP_001927117.4, XP_005656508.1
OG0003372	XP_045143993.1, XP_004698538.1, XP_045143994.1	XP_001928758.1, XP_020954882.1, XP_013833657.1
OG0003373	XP_045143986.1	XP_020956836.1
OG0003375	XP_004698700.1	NP_001230991.1
OG0003376	XP_004698729.2	XP_005666381.1, NP_001231847.1
OG0003377	XP_045143849.1	NP_001161109.1, XP_020953816.1
OG0003378	XP_030740901.1	XP_020955209.1, XP_013844651.1
OG0003379	XP_004698810.2	XP_003482347.1
OG0003380	XP_004699121.1	XP_003356817.2
OG0003382	XP_045155320.1	NP_001001631.1
OG0003383	XP_004707333.1	XP_013836300.1, XP_020922427.1, XP_013836299.1, XP_003131332.1
OG0003384	XP_004707283.1	XP_003131396.3
OG0003385	XP_004707174.1	XP_005653968.1, NP_001137197.1
OG0003386	XP_004707131.1, XP_045143654.1	XP_020922786.1
OG0003387	XP_004707072.2	XP_020922941.1
OG0003388	XP_030741493.1, XP_045155376.1, XP_045155377.1, XP_045155378.1	XP_005669076.2
OG0003389	XP_030741283.1	XP_005669143.1
OG0003390	XP_004706992.1	XP_003358215.1
OG0003391	XP_045155766.1, XP_004706993.1	XP_003483115.1
OG0003392	XP_045155473.1	XP_020923139.1
OG0003393	XP_045155897.1	NP_001240747.1
OG0003394	XP_045155803.1	XP_020923228.1, XP_020923227.1
OG0003395	XP_004714503.1	XP_003353751.1
OG0003396	XP_004713358.1	XP_005660484.1, NP_001103416.1
OG0003397	XP_004700628.1	XP_013853071.1, XP_013853072.1, XP_003126302.1
OG0003399	XP_004700505.1	XP_020947649.1
OG0003400	XP_045148073.1	XP_013849487.1
OG0003401	XP_004700681.1	XP_020947009.1
OG0003402	XP_045151917.1, XP_004700290.1	XP_003481572.1
OG0003403	XP_004700345.1	XP_020946627.1, NP_001152777.1
OG0003404	XP_004700341.1	NP_001177155.1
OG0003405	XP_045148729.1, XP_004700745.1	NP_001177114.1, XP_020946599.1
OG0003406	XP_004700761.1	XP_013852987.1, XP_003481602.1
OG0003407	XP_004700769.1	XP_020947191.1, XP_013852993.1
OG0003408	XP_004700775.1	XP_005663883.1, NP_001231670.1
OG0003409	XP_004704492.1, XP_045139906.1	XP_003354755.3
OG0003410	XP_004710320.1	XP_020943165.1
OG0003411	XP_045150059.1, XP_045150058.1, XP_045150060.1, XP_004710256.1	XP_020943143.1
OG0003412	XP_045140454.1	XP_005661496.1
OG0003413	XP_045140912.1	XP_020940308.1, XP_020940307.1, XP_020940310.1, XP_020940309.1
OG0003414	XP_045145190.1	XP_003130744.3
OG0003415	XP_045145250.1	XP_003130718.4, XP_020920331.1, XP_020920330.1
OG0003416	XP_045152455.1	XP_020921789.1
OG0003417	XP_045152585.1	XP_020922070.1
OG0003418	XP_045152489.1	XP_001926629.2
OG0003419	XP_004711014.1, XP_045152490.1	XP_001924429.4
OG0003420	XP_045152583.1	XP_020923467.1
OG0003421	XP_004712617.2	XP_020923801.1
OG0003422	XP_045148721.1	XP_005653508.1, NP_001116637.1
OG0003423	XP_045148764.1	NP_001161063.1, XP_013833057.1
OG0003424	XP_004710933.1	XP_020954454.1
OG0003425	XP_004710938.1	XP_001927569.1, XP_005656285.1
OG0003426	XP_045150830.1	XP_020953791.1, NP_001193284.1
OG0003427	XP_045150840.1, XP_004696406.1	XP_001929666.1
OG0003429	XP_045150548.1	NP_001073675.2, XP_020940006.1
OG0003430	XP_004702064.1	NP_001090895.1
OG0003431	XP_004706393.1	XP_020957056.1
OG0003432	XP_012862158.2	XP_020944220.1, NP_001177134.1
OG0003433	XP_045143576.1	XP_013851865.1, NP_001295755.1
OG0003434	XP_004706385.1	NP_001302685.1
OG0003436	XP_004702698.1	XP_020958186.1, XP_020958183.1, XP_020958184.1, XP_020958185.1
OG0003437	XP_004702761.2, XP_045144804.1	XP_020957696.1, NP_001231936.1
OG0003438	XP_004702918.1	NP_001186737.1, XP_020934128.1
OG0003439	XP_045144873.1	XP_003134810.3
OG0003440	XP_012861414.1	XP_005673277.1
OG0003441	XP_030741146.2	XP_003134785.1
OG0003442	XP_004707921.2	XP_003134795.1
OG0003443	XP_012860696.1	XP_020952648.1
OG0003444	XP_004705004.1	NP_001231917.1
OG0003445	XP_012860708.1	XP_020951596.1, XP_020951597.1, XP_020951595.1
OG0003446	XP_004699526.1	XP_020952384.1
OG0003447	XP_004699548.1	XP_020952492.1
OG0003448	XP_045147857.1	XP_020948930.1, NP_001161119.2
OG0003449	XP_045143679.1, XP_004698935.1, XP_045143678.1	NP_001231400.1
OG0003450	XP_045145775.1	XP_020948691.1
OG0003451	XP_004708821.1	NP_999329.1
OG0003452	XP_045151758.1	XP_020957158.1
OG0003454	XP_030741086.1	XP_020934530.1
OG0003455	XP_004714019.1	XP_003360155.1, XP_003360156.1
OG0003456	XP_004714087.1	XP_005654326.1
OG0003457	XP_004714090.1	XP_020934153.1
OG0003459	XP_004699880.1	XP_020934769.1, XP_020934770.1, XP_020934767.1
OG0003460	XP_004713987.1	XP_020934095.1, NP_001116658.1
OG0003462	XP_045145797.1, XP_012860035.2	XP_020934916.1
OG0003463	XP_004702393.1	XP_020934336.1
OG0003464	XP_004696564.1	XP_013839531.1, XP_001925958.2, XP_005671830.1, XP_005671831.1
OG0003465	XP_004696540.1	XP_020933611.1, XP_020933612.1
OG0003466	XP_012859753.1	XP_020931222.1
OG0003467	XP_045142506.1	XP_020930455.1
OG0003468	XP_045145519.1	XP_005653826.1, XP_013833696.1
OG0003469	XP_045152913.1	XP_003135199.3
OG0003470	XP_045150207.1	XP_005662826.1, NP_001231136.1
OG0003471	XP_004696101.1	XP_003125468.1
OG0003472	XP_045142860.1, XP_004696120.1, XP_045142859.1	XP_020944028.1
OG0003473	XP_045142866.1	XP_020943000.1
OG0003474	XP_004696164.1	XP_005662497.1
OG0003475	XP_045147873.1	XP_020946380.1
OG0003476	XP_045139649.1	XP_003125868.1
OG0003478	XP_030743180.1	XP_003135387.3
OG0003479	XP_045151628.1, XP_045151627.1, XP_004716669.1	NP_001191299.1, XP_013852617.1
OG0003480	XP_004699229.2	XP_020946398.1
OG0003481	XP_004708095.1	XP_020957614.1, NP_001128437.1
OG0003482	XP_045142250.1	XP_020919590.1
OG0003483	XP_045144648.1, XP_004702651.1	XP_020958256.1
OG0003484	XP_004708361.1	NP_001121953.1, XP_020932599.1
OG0003485	XP_004708359.1	NP_001098756.1, XP_005652858.1
OG0003486	XP_045146875.1	XP_020938871.1, XP_020938872.1, XP_020938870.1, XP_020938874.1, XP_020938869.1, XP_013849914.1
OG0003487	XP_004714971.1	XP_020938686.1, XP_003122806.1
OG0003488	XP_004708420.1	XP_013849804.2
OG0003489	XP_004717231.1	NP_001230739.1
OG0003490	XP_004717266.2	XP_020938257.1
OG0003491	XP_004713810.1	XP_020938290.1
OG0003492	XP_045153151.1	XP_003122627.4
OG0003493	XP_045154262.1	XP_005672436.2
OG0003494	XP_004703924.1	XP_020931989.1
OG0003495	XP_004703923.1	XP_020932151.1, XP_020932149.1, XP_020932150.1, XP_020932148.1
OG0003496	XP_004703878.1	NP_998915.1
OG0003497	XP_004715297.1, XP_045153568.1	NP_001003663.1
OG0003498	XP_030742822.1, XP_045150963.1	XP_020927404.1, XP_020927403.1, XP_003483205.2
OG0003499	XP_012860018.2	XP_013837444.1, XP_005669852.1, XP_003132420.3
OG0003500	XP_004702303.1	XP_020924976.1
OG0003501	XP_045153467.1	XP_020924547.1
OG0003502	XP_045146287.1	XP_013842827.1
OG0003503	XP_004716850.1	XP_003123225.2
OG0003504	XP_004716859.1	XP_020932381.1, NP_001116581.1
OG0003505	XP_012860538.1, XP_004714355.1	XP_020928563.1
OG0003506	XP_045146249.1	XP_020939580.1
OG0003507	XP_004714316.1	NP_001116607.1, XP_020932438.1
OG0003508	XP_045156105.1	XP_020939768.1
OG0003509	XP_004714438.1	XP_005661405.1, XP_020935518.1
OG0003510	XP_004713819.1	XP_003126507.1
OG0003511	XP_004708894.1	XP_005667195.1, XP_013834603.1, XP_020918191.1, XP_013834602.1
OG0003512	XP_045149058.1, XP_045149059.1, XP_045149060.1	XP_003129684.1
OG0003513	XP_045149029.1	NP_001230734.1
OG0003514	XP_004708845.1	XP_020957597.1, NP_001116663.1
OG0003515	XP_004717117.1	XP_020917998.1
OG0003516	XP_004711622.1	XP_020938956.1
OG0003517	XP_045146985.1	NP_001092073.1
OG0003518	XP_004708027.1	XP_001924985.5
OG0003518	XP_004707971.1	XP_003131043.2
OG0003519	XP_004718154.2	XP_003131107.1
OG0003520	XP_045139921.1	XP_020921606.1
OG0003521	XP_004715357.1	NP_001038067.1
OG0003522	XP_045150952.1, XP_004708709.2	XP_020927383.1
OG0003523	XP_004708730.1	NP_001155226.1, XP_020923913.1
OG0003524	XP_045153619.1	XP_013836883.2
OG0003526	XP_012863328.1	XP_020933945.1
OG0003527	XP_045151222.1, XP_045150892.1	XP_020933745.1
OG0003528	XP_004697971.1	XP_003359989.1
OG0003529	XP_004697984.1	NP_001005727.1, XP_005672891.1
OG0003530	XP_045151488.1	XP_020932987.1, NP_001165835.1
OG0003532	XP_004698337.1	XP_003134500.1, XP_003134501.1
OG0003533	XP_045151213.1, XP_045151212.1	XP_005673018.1
OG0003534	XP_004698096.1	XP_020933052.1
OG0003535	XP_004698372.1	XP_020933177.1
OG0003536	XP_045151417.1	XP_013840923.1, NP_001106920.1
OG0003537	XP_004717198.1	NP_001098783.1, XP_005673097.1
OG0003540	XP_045149925.1	XP_020920827.1
OG0003541	XP_045142750.1, XP_004696178.1	XP_005670541.1
