Orthogroup	Echinops_telfairi	Ictidomys_tridecemlineatus
OG0001557	XP_045154137.1	XP_040133264.1
OG0001558	XP_004699990.1	XP_005326569.2
OG0001558	XP_004699991.1	XP_005326570.1
OG0001559	XP_030742729.1	XP_040149777.1
OG0001560	XP_045144179.1, XP_030740877.1, XP_045144180.1	XP_040130852.1
OG0001561	XP_045155834.1, XP_045155833.1, XP_045155835.1, XP_004707555.1	XP_005321973.1, XP_040124674.1
OG0001562	XP_004714497.1	XP_040142550.1
OG0001563	XP_004710313.1, XP_045150011.1, XP_045150010.1, XP_045150009.1	XP_021579983.1, XP_005322128.1, XP_040127299.1
OG0001564	XP_045140832.1	XP_013218565.2, XP_040129275.1
OG0001565	XP_004696674.1	XP_005335799.1
OG0001565	XP_045146993.1, XP_004710131.1	XP_005319433.1
OG0001567	XP_004710824.1	XP_040138614.1
OG0001568	XP_004696410.1	XP_021577503.1
OG0001569	XP_045150262.1	XP_040137966.1
OG0001570	XP_004714196.2, XP_004718053.1	XP_005328886.1
OG0001571	XP_004696332.1	XP_005324798.1
OG0001573	XP_004697681.2	XP_005316164.3
OG0001574	XP_004697515.1	XP_005316354.1
OG0001575	XP_012861054.2	XP_005320052.1
OG0001576	XP_004707844.1	XP_005319461.1
OG0001577	XP_004701493.1	XP_005324673.1
OG0001577	XP_004702804.1	XP_005319211.1
OG0001578	XP_004702785.1	XP_005317951.1
OG0001579	XP_045146503.1, XP_004700410.1, XP_045146505.1	XP_005322413.1, XP_021580150.1
OG0001580	XP_004714053.2	XP_021582904.2
OG0001581	XP_045144683.1, XP_045144685.1, XP_045144679.1, XP_045144684.1, XP_045144680.1, XP_045144682.1, XP_045144677.1, XP_045144678.1	XP_021586042.1
OG0001582	XP_045144576.1	XP_005326698.1
OG0001583	XP_004702388.1	XP_040147895.1
OG0001584	XP_045142996.1	XP_005336606.1
OG0001585	XP_004696530.1	XP_021584703.1, XP_040150675.1, XP_040150668.1, XP_021584704.1, XP_040150661.1, XP_013215732.1
OG0001586	XP_004711149.1, XP_045142995.1	XP_021580245.1, XP_013212858.1, XP_040127453.1
OG0001587	XP_045151636.1	XP_040143488.1
OG0001589	XP_045146348.1	XP_005341664.1
OG0001590	XP_004708358.1	XP_040140421.1
OG0001591	XP_004708338.1	XP_040140452.1, XP_021583483.1, XP_040140453.1, XP_005327478.1
OG0001592	XP_004708316.1	XP_005327513.1
OG0001593	XP_045152998.1, XP_045152999.1, XP_004714965.1	XP_005331641.1, XP_013216686.1
OG0001594	XP_045153088.1	XP_005333414.1
OG0001594	XP_045145596.1	XP_040146844.1
OG0001595	XP_030741436.1	XP_013217676.2
OG0001596	XP_004714350.1	XP_040146650.1, XP_040146651.1, XP_021586521.1, XP_021586520.1
OG0001597	XP_004698390.1	XP_040137959.1
OG0001598	XP_004708954.1	XP_013219165.1
OG0001599	XP_045149102.1	XP_040140819.1
OG0001600	XP_045147003.1	XP_005327518.1
OG0001601	XP_045151792.1	XP_040140907.1
OG0001601	XP_004704475.2	XP_013216177.2
OG0001602	XP_004704484.1	XP_005342404.1
OG0001603	XP_004708623.1	XP_040146820.1, XP_005317452.1, XP_040139616.1, XP_040145970.1
OG0001604	XP_045153622.1, XP_004704092.1, XP_045153623.1	XP_021587445.1, XP_013217223.1, XP_040145825.1, XP_005317357.1
OG0001605	XP_045150970.1, XP_045150969.1	XP_013214250.1
OG0001606	XP_004698212.1	XP_040130219.1
OG0001607	XP_004697887.1	XP_005320537.1
OG0001608	XP_045151452.1	XP_040131370.1
OG0001609	XP_045151197.1, XP_045151198.1	XP_040129926.1, XP_021585187.1, XP_040129927.1
OG0001610	XP_004698085.1	XP_021581988.1
OG0001610	XP_004698174.1	XP_040129325.1
OG0001611	XP_045151267.1	XP_040131374.1
OG0001613	XP_004696181.1, XP_045142544.1, XP_045142543.1	XP_005325564.1, XP_040149794.1, XP_021582183.1, XP_005325565.1
OG0001614	XP_004718095.2	XP_021582745.1
OG0001615	XP_004709623.1	XP_040145328.1
OG0001616	XP_045152809.1, XP_045152811.1, XP_004709700.1, XP_045152810.1	XP_013220554.1
OG0001617	XP_004708181.1	XP_021590933.1
OG0001619	XP_045144418.1	XP_013215625.1
OG0001620	XP_004711491.1	XP_013213983.1
OG0001621	XP_045143233.1	XP_021581821.1, XP_021581822.1, XP_040136601.1, XP_005324984.1
OG0001622	XP_045139575.1	XP_040127861.1, XP_021591444.1, XP_021591443.1
OG0001623	XP_004716826.1, XP_045146210.1, XP_045146211.1, XP_045146212.1	XP_040127948.1, XP_013217913.1, XP_040127949.1, XP_005334454.1
OG0001624	XP_045140287.1	XP_021590217.1
OG0001625	XP_004713482.1, XP_045152349.1	XP_005331080.1
OG0001626	XP_045143493.1, XP_004712404.1, XP_045143494.1	XP_021590994.1
OG0001627	XP_004704303.1	XP_005338348.1, XP_040125948.1, XP_040125949.1
OG0001628	XP_004701524.1	XP_005324722.1
OG0001629	XP_045152248.1, XP_004701793.2	XP_005340917.1
OG0001630	XP_004701598.1	XP_013220049.1, XP_040150663.1, XP_005338979.1
OG0001631	XP_004701673.1	XP_013216336.1, XP_013216334.1, XP_013216335.1, XP_040123789.1, XP_040123790.1
OG0001632	XP_004710031.1	XP_013212992.1, XP_013212994.1, XP_013212995.1, XP_005316017.1
OG0001634	XP_045146529.1	XP_040139640.1
OG0001635	XP_045144290.1	XP_040141308.1
OG0001636	XP_004713455.1	XP_013213989.1
OG0001637	XP_004717652.1	XP_005340689.1
OG0001638	XP_004715000.1	XP_005342839.1, XP_005331750.1
OG0001638	XP_004714952.1, XP_004714953.2	XP_005331666.2
OG0001639	XP_012864074.1	XP_040145057.1
OG0001639	XP_004717758.1	XP_040143520.1, XP_040143521.1
OG0001640	XP_045152888.1	XP_005325404.1, XP_040131087.1
OG0001645	XP_045145414.1	XP_021577873.2
OG0001645	XP_004696777.1	XP_021581360.1
OG0001646	XP_045143282.1	XP_005325173.1
OG0001647	XP_004714338.1	XP_005332068.1
OG0001647	XP_004713881.1	XP_013213526.1
OG0001648	XP_004698583.1, XP_045143892.1	XP_040130779.1
OG0001649	XP_045146285.1	XP_005336336.1
OG0001649	XP_004716901.2	XP_021589521.2
OG0001650	XP_012859627.1	XP_005333665.1
OG0001650	XP_004715407.2	XP_005336109.1
OG0001651	XP_004713144.1, XP_045152697.1	XP_040143139.1
OG0001652	XP_045148002.1	XP_040134311.1, XP_040134319.1, XP_040134316.1
OG0001653	XP_012863915.2	XP_005340817.1
OG0001653	XP_004710739.1	XP_040134933.1
OG0001654	XP_004712284.1	XP_005327717.1
OG0001655	XP_045141371.1, XP_030744349.2, XP_045141959.1	XP_005337944.2, XP_021590665.2, XP_021590663.1, XP_040134489.1
OG0001656	XP_004715197.1	XP_021577881.1
OG0001657	XP_004714055.1	XP_005326760.1
OG0001657	XP_012863009.1	XP_005326759.1
OG0001658	XP_012863417.1, XP_045151176.1, XP_045151175.1, XP_045151173.1, XP_045151174.1	XP_005343041.2
OG0001659	XP_004714156.1	XP_005334325.1
OG0001660	XP_030743298.1	XP_005336390.1
OG0001660	XP_045152667.1	XP_021589598.2
OG0001662	XP_004705821.1, XP_004705822.1	NP_001299611.1
OG0001663	XP_045145176.1	XP_013213534.1
OG0001665	XP_030741760.1, XP_004708436.1	XP_005330001.1, XP_005330002.1, XP_005341600.1, XP_005341586.1, XP_005330113.1, XP_005341598.1, XP_021576647.2
OG0001666	XP_004714954.1	XP_005331745.1, XP_005331746.1
OG0001667	XP_045139654.1	XP_021576519.1
OG0001669	XP_004702004.1	XP_040138004.1
OG0001670	XP_030743528.1	XP_013217269.1
OG0001671	XP_045148290.1, XP_004715715.1	XP_005342460.1, XP_005342461.1
OG0001673	XP_030740927.2	XP_013213469.1
OG0001674	XP_045141507.1, XP_045155351.1	XP_040127239.1
OG0001675	XP_004710425.1	XP_040136084.1
OG0001676	XP_045148632.1	XP_021590838.1
OG0001677	XP_004710546.1	XP_005336464.1
OG0001678	XP_045154900.1	XP_040144232.1, XP_005317798.1, XP_013219533.1
OG0001679	XP_030744829.1	XP_005326205.1
OG0001680	XP_045149431.1, XP_004697756.1, XP_045155865.1, XP_045147904.1	XP_040131207.1, XP_040127251.1, XP_005335859.1
OG0001681	XP_045140145.1, XP_004706408.1, XP_045140146.1	XP_021578382.1, XP_040148481.1
OG0001682	XP_030744533.2	XP_021582153.1
OG0001682	XP_045147287.1	XP_021579063.1
OG0001684	XP_045139591.1	XP_040141451.1
OG0001685	XP_012859783.2, XP_004704948.1, XP_045139620.1, XP_004714218.1	XP_040141450.1, XP_021585825.1, XP_005330822.1
OG0001686	XP_004712899.1, XP_045139800.1, XP_045142241.1, XP_045154643.1, XP_045149880.1	XP_005328384.1
OG0001687	XP_012859284.2	XP_040145123.1
OG0001688	XP_030741953.1	XP_013214431.1, XP_013214430.1, XP_021582507.1
OG0001689	XP_004717721.1	XP_040144626.1
OG0001690	XP_004705242.1, XP_045155131.1	XP_040143839.1
OG0001691	XP_004704898.2	XP_005318359.1
OG0001692	XP_045149811.1	XP_013222004.1, XP_021577312.1, XP_021577311.1
OG0001693	XP_045155071.1	XP_005315914.1
OG0001695	XP_004707406.1	XP_005327828.1
OG0001696	XP_045141853.1	XP_013215532.1
OG0001697	XP_012860997.2	XP_005320282.1, XP_005328575.1
OG0001699	XP_045141833.1	XP_021575643.1
OG0001700	XP_012860981.1	XP_005343080.3
OG0001702	XP_012862823.2	XP_005341969.1
OG0001702	XP_004705916.1	XP_005327245.1
OG0001703	XP_045155654.1	XP_005332581.1
OG0001703	XP_045141223.1	XP_040133350.1
OG0001704	XP_030741803.1	XP_005334131.1
OG0001705	XP_045140468.1, XP_004703011.1	XP_040129738.1, XP_013214184.1
OG0001706	XP_004714169.3	XP_021585990.1
OG0001706	XP_004699862.1	XP_040134371.1
OG0001707	XP_045154016.1	XP_013218687.1, XP_040134154.1
OG0001708	XP_004706903.1	XP_040133577.1
OG0001709	XP_004714795.1	XP_040143531.1, XP_005331331.1
OG0001710	XP_012860206.1	XP_040129411.1, XP_040129404.1
OG0001710	XP_045151978.1	XP_040129419.1
OG0001711	XP_004703014.1	XP_005325628.1
OG0001712	XP_004704382.1, XP_045143888.1	XP_005338007.1
OG0001713	XP_045143941.1, XP_004698885.1	XP_005341975.1, XP_005334689.1
OG0001714	XP_045155943.1, XP_045155942.1, XP_004709152.1	XP_005332728.1, XP_005332730.1
OG0001715	XP_004709312.1	XP_005332683.1, XP_013217151.1, XP_013217150.1
OG0001716	XP_004713083.1	XP_005332603.1, XP_005339534.2
OG0001717	XP_045155683.1	XP_040126479.1, XP_021589400.1
OG0001718	XP_004707289.1	XP_040124618.1
OG0001719	XP_004707564.1, XP_045141897.1, XP_045146463.1, XP_045144182.1	XP_005328174.1
OG0001720	XP_004707019.1	XP_005327822.1
OG0001721	XP_045145270.1	XP_021589960.1
OG0001721	XP_045145639.1	XP_040146928.1
OG0001722	XP_004700710.2	XP_013219832.2, XP_005342928.1
OG0001724	XP_045139903.1, XP_045139904.1	XP_013220125.1, XP_013221969.3
OG0001725	XP_004704383.1	XP_021591475.1, XP_021591476.1, XP_040126828.1, XP_040126827.1, XP_021591474.1
OG0001726	XP_045141668.1	XP_040127253.1
OG0001727	XP_004710259.1	XP_040127278.1
OG0001728	XP_030743746.1, XP_045154011.1, XP_012862579.1	XP_005327532.1
OG0001729	XP_004696666.1	XP_005335815.1, XP_040128751.1, XP_005335818.1, XP_040128754.1, XP_040128753.1, XP_005335819.1
OG0001730	XP_045148196.1	XP_005339050.2
OG0001730	XP_004711853.2	XP_040138314.1
OG0001731	XP_045150754.1	XP_021577506.1, XP_005318623.1, XP_040124207.1
OG0001732	XP_004696283.1	XP_005330184.1
OG0001733	XP_004701958.1	XP_040139559.1, XP_040139560.1, XP_005342550.1
OG0001734	XP_004696110.1	XP_005322655.1
OG0001735	XP_004698064.1	XP_005325343.1
OG0001735	XP_045142405.1	XP_040149757.1
OG0001737	XP_004718120.2	XP_021579327.1, XP_040149462.1, XP_005316142.1
OG0001738	XP_045146162.1	XP_021590339.1
OG0001738	XP_004706344.1	XP_005320066.1
OG0001739	XP_045140076.1	XP_040148312.1
OG0001740	XP_012860107.1	XP_040147648.1
OG0001741	XP_004702821.1	XP_021577937.1
OG0001743	XP_030743838.1, XP_012860701.1	XP_040144366.1
OG0001744	XP_045143931.1, XP_045143930.1, XP_004698489.1	XP_013220399.1
OG0001746	XP_012863010.2	XP_005326660.1
OG0001746	XP_004714063.1	XP_005326661.1
OG0001747	XP_045142268.1	XP_040147814.1, XP_021577982.1, XP_040147813.1, XP_005319292.2
OG0001748	XP_004696193.1	XP_040150073.1
OG0001749	XP_004696104.1, XP_045142799.1	XP_005322682.1
OG0001750	XP_004696115.1	XP_005322658.1
OG0001751	XP_004711177.1, XP_045142946.1	XP_013219176.1, XP_040127053.1, XP_005324602.1
OG0001752	XP_045151626.1, XP_045151625.1	XP_040143491.1
OG0001753	XP_030741063.1	XP_005335987.1
OG0001754	XP_030741671.1	XP_005330097.1
OG0001755	XP_045146962.1	XP_040140419.1, XP_013215071.1, XP_040140420.1, XP_040140418.1
OG0001756	XP_030741720.1	XP_005327493.1
OG0001757	XP_045152958.1, XP_045152959.1	XP_040140267.1, XP_040140266.1, XP_040140268.1, XP_021586307.1, XP_005331654.1
OG0001758	XP_004708372.1	XP_040140398.1, XP_040140397.1, XP_005330094.1
OG0001759	XP_045146391.1, XP_004717229.1	XP_005341694.1, XP_013221299.1, XP_040139848.1, XP_040139849.1, XP_021576702.1
OG0001760	XP_045153223.1, XP_004713815.1	XP_005340457.1
OG0001762	XP_045146030.1	XP_005335395.1
OG0001763	XP_045153634.1	XP_021587116.1
OG0001764	XP_045146239.1	XP_005332199.1
OG0001765	XP_004714348.1	XP_005332053.1, XP_040146646.1, XP_040146645.1
OG0001766	XP_045144222.1, XP_004713271.1, XP_045151318.1	XP_021591186.1, XP_005338700.1
OG0001767	XP_004716041.2	XP_013214834.2
OG0001768	XP_004708975.1	XP_040140858.1, XP_005323228.1
OG0001769	XP_012861435.1, XP_045143055.1	XP_021575351.1
OG0001770	XP_004704060.2	XP_005327058.1
OG0001772	XP_012861570.2	XP_013214244.1
OG0001773	XP_030742899.1	XP_021578873.1
OG0001774	XP_045152007.1, XP_004697989.1	XP_040130437.1
OG0001776	XP_045151319.1, XP_004698079.1	XP_013214050.1, XP_005325309.1
OG0001777	XP_004716088.1	XP_005325462.1
OG0001778	XP_045143124.1	XP_040137843.1
OG0001779	XP_004709794.2	XP_005329603.1, XP_040145511.1, XP_040145512.1
OG0001781	XP_004709605.1, XP_045152713.1	XP_040145377.1, XP_005336893.1
OG0001782	XP_004709592.1	XP_040145314.1, XP_040145315.1, XP_021575674.1, XP_005340152.1
OG0001783	XP_045146445.1	XP_005341404.1
OG0001784	XP_045146452.1	XP_021576534.2
OG0001785	XP_045144354.1, XP_045144355.1, XP_045144353.1	XP_021586421.1
OG0001786	XP_045144320.1, XP_045144322.1, XP_045144321.1, XP_004713848.1	XP_013215616.1
OG0001787	XP_004700070.1	XP_005334092.1
OG0001788	XP_045143258.1, XP_045143259.1, XP_004711435.1	XP_005325011.1, XP_013213920.1, XP_040136567.1
OG0001789	XP_004701016.1	XP_021587530.1, XP_021587527.1, XP_005333682.1, XP_021587528.1, XP_021587529.1
OG0001790	XP_004700986.1	XP_005320725.1
OG0001791	XP_045147595.1, XP_045148944.1, XP_004700942.2	XP_005320801.1
OG0001792	XP_004709447.1, XP_045153069.1	XP_021581974.1, XP_040130167.1
OG0001793	XP_004709551.1	XP_040131038.1, XP_040131039.1, XP_021582232.1, XP_005316587.1
OG0001794	XP_004709520.1, XP_045155488.1	XP_005316689.1
OG0001795	XP_004706491.1	XP_005334224.1
OG0001796	XP_004711365.1	XP_013213646.1, XP_021581410.1, XP_021581411.1
OG0001797	XP_045140753.1, XP_045140754.1	XP_005323581.1
OG0001798	XP_045143486.1, XP_045143485.1, XP_004712315.1	XP_040126174.1, XP_005340338.1
OG0001799	XP_045153653.1, XP_004704161.1	XP_040125964.1
OG0001800	XP_004699887.1	XP_005330353.1
OG0001801	XP_045154369.1	XP_040145002.1
OG0001802	XP_045154440.1, XP_045154441.1	XP_005339439.1
OG0001803	XP_004715495.1	XP_005335257.1
OG0001804	XP_045154527.1	XP_005323474.1, XP_013213194.1
OG0001805	XP_004713419.1	XP_040142325.1
OG0001806	XP_004710801.1	XP_040142710.1, XP_040139650.1
OG0001807	XP_004715446.1	XP_005319548.1
OG0001808	XP_004716615.2	XP_040145003.1, XP_040145005.1
OG0001809	XP_004717802.2	XP_005338903.1, XP_013219992.1
OG0001809	XP_012863945.1, XP_004717801.1	XP_040137924.1
OG0001815	XP_004710817.1	XP_005318760.1, XP_005318932.1, XP_005318761.1, XP_005318762.1, XP_005318931.1, XP_040137952.1
OG0001816	XP_004713989.1, XP_045144715.1	XP_005326700.1
OG0001817	XP_004701781.1	XP_005324449.1
OG0001818	XP_004700360.1	XP_005322336.1
OG0001819	XP_004708606.1	XP_013219534.1, XP_021590693.1, XP_021590694.1
OG0001820	XP_045151286.1	XP_005320560.1, XP_040130291.1
OG0001821	XP_004706550.1	XP_005327674.1
OG0001822	XP_004708614.1, XP_004708613.1	XP_005317465.1
OG0001823	XP_045152177.1	XP_040130248.1
OG0001824	XP_004711354.1	XP_040142922.1, XP_040142921.1, XP_005323585.1, XP_040142924.1, XP_040142923.1
OG0001825	XP_004699780.2	XP_005316931.1
OG0001825	XP_004706632.1	XP_005339545.1
OG0001826	XP_045145021.1	XP_040137745.1
OG0001827	XP_045149411.1	XP_040141619.1, XP_005338920.1
OG0001828	XP_012863062.1	XP_005337061.1
OG0001829	XP_012862375.1	XP_005325167.2
OG0001829	XP_045143145.1	XP_005324988.1
OG0001830	XP_004708337.1	XP_005327479.1
OG0001832	XP_004697276.1	XP_013221203.2
OG0001833	XP_004715047.3, XP_004715043.1, XP_004715042.1, XP_030743380.1, XP_012863252.2, XP_004715040.2, XP_004715036.1, XP_030743370.1, XP_004715049.1, XP_004715038.1, XP_004715041.3	XP_005331623.1, XP_005331717.1
OG0001834	XP_004714974.1	XP_040140238.1
OG0001834	XP_004715028.1	XP_005331630.1
OG0001836	XP_004717164.1, XP_004717165.2, XP_004717166.1	XP_013221666.1
OG0001837	XP_004698480.1, XP_004698903.1, XP_004698902.1	XP_013221730.1
OG0001838	XP_004697290.1, XP_004697291.1	XP_005342818.1
OG0001839	XP_004714867.1	XP_005339449.1
OG0001840	XP_004715976.1	XP_005334438.1
OG0001841	XP_045150435.1, XP_004702014.1	XP_005321412.1
OG0001842	XP_045148681.1, XP_012862157.1, XP_012864157.1	XP_040134940.1
OG0001843	XP_045148906.1, XP_004710467.1	XP_013218991.1, XP_013218990.1
OG0001844	XP_045148450.1	XP_021590889.1
OG0001845	XP_004702332.1	XP_040133595.1
OG0001846	XP_004716071.1	XP_005325840.1
OG0001846	XP_004707165.1	XP_021579673.2
OG0001847	XP_045149596.1, XP_004704700.1	XP_005318289.1, XP_021577158.1, XP_040135662.1, XP_021577154.1, XP_021577159.1
OG0001848	XP_045149549.1	XP_021576919.1
OG0001849	XP_004705129.1, XP_045155096.1	XP_021590264.1
OG0001850	XP_045155032.1, XP_045155033.1, XP_045155031.1	XP_021590102.1, XP_005317681.1, XP_013219690.1, XP_013219687.1
OG0001851	XP_012860977.2	XP_040133877.1, XP_005337826.1, XP_040133878.1
OG0001852	XP_012860353.1	XP_040129717.1
OG0001853	XP_045154829.1	XP_021588480.1, XP_021591174.1
OG0001855	XP_004712238.1, XP_045154161.1	XP_005320417.1
OG0001856	XP_045147620.1	XP_040129227.1
OG0001857	XP_045149427.1	XP_005338606.1
OG0001858	XP_045151478.1	XP_021578864.1
OG0001858	XP_004696832.1	XP_005334763.1
OG0001859	XP_045140805.1	XP_005324207.1, XP_013213583.1, XP_040128770.1
OG0001860	XP_004697140.1	XP_040128796.1, XP_040128797.1, XP_021581359.1, XP_013213540.1
OG0001861	XP_012862734.1	XP_005328401.2
OG0001862	XP_004712929.1	XP_005332803.1
OG0001864	XP_045148094.1	XP_013214417.1
OG0001865	XP_004705274.1	XP_040143701.1
OG0001866	XP_004705271.1	XP_040143724.1, XP_013220190.1
OG0001867	XP_045149840.1	XP_040135980.1, XP_040135983.1, XP_040135981.1, XP_021577241.1, XP_040135984.1, XP_040135982.1, XP_005318315.1
OG0001868	XP_004705680.1	XP_005328567.1
OG0001868	XP_004709649.1	XP_005329646.1
OG0001869	XP_045139930.1, XP_045139931.1, XP_045139932.1	XP_005328652.1
OG0001870	XP_004709290.1	XP_005332708.1
OG0001870	XP_004705603.2	XP_005340094.1
OG0001871	XP_012861017.2	XP_005323904.1
OG0001872	XP_004706108.1	XP_005323828.1
OG0001873	XP_004706143.2	XP_005323769.2
OG0001874	XP_045147670.1	XP_005330767.1
OG0001875	XP_045147671.1	XP_021585789.1, XP_021585791.1, XP_005330753.1, XP_021585788.1
OG0001876	XP_045140377.1	XP_013219421.1
OG0001877	XP_045152919.1	XP_005340005.1, XP_040137914.1
OG0001878	XP_004711650.1	XP_005326792.1
OG0001878	XP_030743664.1	XP_040133447.1
OG0001879	XP_045143965.1	XP_040130306.1
OG0001879	XP_004700013.1	XP_005326622.1
OG0001880	XP_045154322.1	XP_040143535.1
OG0001881	XP_004702960.1	XP_013215679.1
OG0001882	XP_004698663.1	XP_005322790.1
OG0001883	XP_045143594.1	XP_040131827.1, XP_040131819.1
OG0001884	XP_004698531.1, XP_045143648.1	XP_013219915.1
OG0001885	XP_004698634.1	XP_040132301.1, XP_040132300.1, XP_005322934.1
OG0001886	XP_004698777.2	XP_005321307.1
OG0001887	XP_004699113.1	XP_013212258.2
OG0001888	XP_004709264.1	XP_005342020.2
OG0001889	XP_004707153.1	XP_040124802.1
OG0001890	XP_045145260.1, XP_045145255.1, XP_004714524.1, XP_045145259.1, XP_045145256.1, XP_045145257.1, XP_045145258.1	XP_040142640.1
OG0001891	XP_004714555.2	XP_005337052.1
OG0001892	XP_004713394.3	XP_005321126.1
OG0001893	XP_045144527.1	XP_013212226.1
OG0001894	XP_012859592.1	XP_040136416.1, XP_005335678.1, XP_040136417.1
OG0001895	XP_045148089.1, XP_004700513.1	XP_005328790.1
OG0001896	XP_045147872.1, XP_004700338.1, XP_045147870.1	XP_040133383.1
OG0001897	XP_004700313.1	XP_005322307.1
OG0001898	XP_004700378.1	XP_040134697.1
OG0001899	XP_045147089.1	XP_005322381.1
OG0001900	XP_045139884.1	XP_013220960.1
OG0001901	XP_045142206.1, XP_004704511.1	XP_040126863.1
OG0001902	XP_004696883.1	XP_005335792.1, XP_021589236.1
OG0001903	XP_045140974.1	XP_040129646.1, XP_021589240.1, XP_005335797.1, XP_021589239.1
OG0001904	XP_004712414.1	XP_040141843.1, XP_005334240.1, XP_021588022.1, XP_013217800.1
OG0001905	XP_045152553.1, XP_045152552.1	XP_005326356.2
OG0001906	XP_004712592.1	XP_005329740.1
OG0001907	XP_004696335.1	XP_005324805.1
OG0001908	XP_004710908.1	XP_040138579.1, XP_040138578.1, XP_005318759.1
OG0001909	XP_004710966.1, XP_045150430.1	XP_005338066.1, XP_040139049.1
OG0001910	XP_045150407.1	XP_005338060.1
OG0001911	XP_045143163.1	XP_005316353.1, XP_013212938.1
OG0001912	XP_004697687.1	XP_005316176.1, XP_040149484.1, XP_040149483.1, XP_040149482.1
OG0001913	XP_004697680.1	XP_005316163.1
OG0001914	XP_004706326.1	XP_021578448.1
OG0001916	XP_004700475.1	XP_040136145.1
OG0001917	XP_045149919.1	XP_005317152.1
OG0001917	XP_004708764.1	XP_005337651.1
OG0001918	XP_004711951.1	XP_005315987.1
OG0001919	XP_004713576.2	XP_005333529.2
OG0001919	XP_004711161.1	XP_005322534.1
OG0001920	XP_045142956.1	XP_040127481.1, XP_005322530.1, XP_040144468.1
OG0001921	XP_045139845.1	XP_040127531.1
OG0001922	XP_045151588.1, XP_045151589.1	XP_021586123.1
OG0001923	XP_045153010.1, XP_004714962.1	XP_040140260.1
OG0001924	XP_045142287.1	XP_005337602.1
OG0001925	XP_004702503.1	XP_005333922.2
OG0001926	XP_004708315.1	XP_040140511.1, XP_013215086.1, XP_005327514.1
OG0001927	XP_004713681.1, XP_045153224.1	XP_040140149.1
OG0001928	XP_012863269.2, XP_045152969.1, XP_045152968.1	XP_021586278.1, XP_021586279.1, XP_005331583.1
OG0001929	XP_004711901.1	XP_021589732.1
OG0001930	XP_045143360.1	XP_040150041.1
OG0001931	XP_004702434.1	XP_013217655.1
OG0001932	XP_045145935.1, XP_045145937.1, XP_045145938.1, XP_004702593.1, XP_045145936.1	XP_040145593.1, XP_005317223.1, XP_021586502.1, XP_021586509.1, XP_005317224.1
OG0001933	XP_045153569.1	XP_005317256.1
OG0001934	XP_045153510.1	XP_013214814.1
OG0001935	XP_045148289.1	XP_021576789.1, XP_021576790.1, XP_013221373.1, XP_040135704.1
OG0001936	XP_004715539.1	XP_005336313.1, XP_013218802.1
OG0001937	XP_004717383.1	XP_005332176.1, XP_005332175.1, XP_005332177.1
OG0001938	XP_045156034.1, XP_004714393.1	XP_040146510.1
OG0001939	XP_045156052.1	XP_040146693.1
OG0001940	XP_004717566.1	XP_013211186.2, XP_013221535.1, XP_005342144.1
OG0001941	XP_030742278.1	XP_005323353.1
OG0001942	XP_045149093.1	XP_013213107.1
OG0001943	XP_004711690.1	XP_005336004.1, XP_005336005.1
OG0001944	XP_030740598.2, XP_045150937.1	XP_021575930.1
OG0001945	XP_045151280.1	XP_005334659.1
OG0001946	XP_045151352.1	XP_005320524.1, XP_021578821.1, XP_021578822.1
OG0001947	XP_045151152.1	XP_021578840.1
OG0001949	XP_045151328.1	XP_005320569.1
OG0001950	XP_004698359.2	XP_005325306.1
OG0001951	XP_045152896.1	XP_013214112.1
OG0001952	XP_004716090.1	XP_040131514.1
OG0001954	XP_045147308.1	XP_021579067.1
OG0001954	XP_045142772.1	XP_040148540.1
OG0001955	XP_045142731.1	XP_013215780.1
OG0001956	XP_045142904.1, XP_045142905.1, XP_004707631.1	XP_005329347.1
OG0001957	XP_045152738.1, XP_004709788.1	XP_005329614.1
OG0001958	XP_004701144.1, XP_045147183.1, XP_045147182.1	XP_040127870.1
OG0001959	XP_004710539.1	XP_005334055.1
OG0001960	XP_004716270.1, XP_045147683.1	XP_005331966.1
OG0001961	XP_045144352.1	XP_040136848.1
OG0001962	XP_045144419.1	XP_040136829.1
OG0001963	XP_030743203.1	XP_040136763.1, XP_040136764.1
OG0001964	XP_012862394.1	XP_040137777.1
OG0001965	XP_004711471.1	XP_005324955.1
OG0001966	XP_004716945.1	XP_040136460.1
OG0001967	XP_045147465.1	XP_005343122.3
OG0001969	XP_012859614.1	XP_021579014.1
OG0001970	XP_045147450.1	XP_040129389.1
OG0001971	XP_012860283.1	XP_005339361.1
OG0001972	XP_004709481.1	XP_005316979.1
OG0001973	XP_004712093.2	XP_005316859.1
OG0001975	XP_004713152.1	XP_040142895.1
OG0001976	XP_004703371.1	XP_040148925.1, XP_005330161.1
OG0001977	XP_004703343.2	XP_021582320.1
OG0001978	XP_004706440.1	XP_013219585.1
OG0001979	XP_030743478.1	XP_040125983.1
OG0001980	XP_004708638.1	XP_040126030.1
OG0001981	XP_004711819.1	XP_040138116.1
OG0001982	XP_004717366.1	XP_005338877.1
OG0001983	XP_004701770.1	XP_005324702.1
OG0001984	XP_004701682.1	XP_005330568.1
OG0001985	XP_004699893.1	XP_005329554.1
OG0001986	XP_045154034.1	XP_005342598.1
OG0001987	XP_045146700.1	XP_040142714.1
OG0001988	XP_012861951.2, XP_045143299.1, XP_045143297.1, XP_045143298.1, XP_045143296.1	XP_040144249.1
