Orthogroup	Echinops_telfairi	Mus_musculus
OG0001085	XP_030743040.1	NP_032258.2
OG0001086	XP_045152168.1, XP_045152167.1, XP_045152169.1	XP_036016934.1, NP_663331.1, NP_001344435.1
OG0001087	XP_045149504.1, XP_004698553.1	XP_006518429.1, NP_818773.1
OG0001087	XP_004715351.2	NP_079784.1
OG0001088	XP_045144136.1	NP_001366004.1
OG0001089	XP_004698874.2	NP_001311411.1, NP_081680.1, XP_006516280.1, NP_001311409.1, NP_001311410.1
OG0001090	XP_045155664.1, XP_004709204.1	NP_001239313.1
OG0001091	XP_004711753.1	NP_001348431.1, NP_001396828.1, NP_001348430.1, NP_062340.1, NP_001396831.1
OG0001091	XP_004713307.1	NP_660126.1
OG0001092	XP_004713413.1	NP_001366368.1, NP_001396931.1, NP_001396930.1, NP_001396929.1, NP_955006.1, NP_001396927.1, NP_001366371.1, NP_001396933.1, NP_001366372.1, NP_001366370.1, NP_001396928.1, NP_001366369.1, NP_001396925.1, NP_001396926.1, XP_006498026.1, NP_001396934.1, NP_001396932.1
OG0001093	XP_004700613.1, XP_045146495.1, XP_045146492.1	NP_082368.1, NP_082327.2, XP_006514235.1, NP_001129709.1
OG0001094	XP_004700395.1	XP_006513874.1, NP_796362.1
OG0001095	XP_045139840.1, XP_045139841.1, XP_004704380.1	NP_061221.2
OG0001096	XP_004704389.1	NP_001276462.1, NP_001399527.1, NP_034342.1
OG0001097	XP_004704406.1	NP_001363960.1, NP_001363958.1, NP_001363963.1, NP_001363962.1, NP_001363961.1, NP_001033007.2, NP_001363959.1
OG0001098	XP_004718018.2, XP_004712638.1	NP_035146.1, XP_036019714.1, XP_006537729.1, NP_001366449.1, NP_032794.1
OG0001099	XP_045152572.1	NP_001313530.1, XP_011237352.1, NP_033447.2
OG0001100	XP_004711761.1, XP_045148767.1	NP_115849.2
OG0001101	XP_030742779.1	NP_001276419.1
OG0001102	XP_004710970.1	NP_766453.2
OG0001103	XP_004703432.2, XP_045140226.1	NP_032202.1, NP_976065.1, NP_033166.1
OG0001104	XP_045144921.1	NP_001404893.1, XP_036020611.1, NP_862898.1
OG0001104	XP_030743476.1	NP_001153825.1
OG0001105	XP_004702910.1	XP_006506676.1, NP_001276642.1
OG0001106	XP_004702823.1	NP_001349138.1, NP_666070.2, NP_001349141.1, NP_001349140.1, NP_001349139.1, NP_001349142.1
OG0001107	XP_004707624.1	NP_083313.1
OG0001109	XP_045150094.1, XP_045150095.1	NP_082177.2
OG0001111	XP_004715054.1	NP_766030.3
OG0001111	XP_045152633.1	NP_001404401.1, XP_011246483.1, NP_001404403.1, NP_032078.2, NP_001404402.1
OG0001112	XP_004715017.1, XP_045152991.1	NP_058610.1, XP_036018284.1
OG0001113	XP_045153105.1	NP_031626.1, XP_036017307.1, NP_001103974.1
OG0001114	XP_004715094.1	NP_075531.2
OG0001114	XP_045152668.1	XP_006504334.1, NP_598656.1
OG0001116	XP_030741370.1	NP_080626.1
OG0001117	XP_004716860.1	NP_001103776.1, NP_057888.1, NP_001103777.1, NP_001103775.1
OG0001118	XP_045153017.1, XP_004715081.1	XP_006527444.1, NP_081485.2, NP_081111.1
OG0001119	XP_045153685.1, XP_045153686.1	XP_006510600.1, NP_075642.1
OG0001120	XP_045147081.1	NP_001399395.1
OG0001121	XP_045139734.1, XP_004704326.1, XP_045139733.1	NP_075722.1, XP_006519455.1, NP_001157692.1
OG0001122	XP_045145007.1	NP_001347539.1
OG0001123	XP_045150985.1, XP_045150984.1	XP_006512062.1, NP_001158044.1, NP_001344704.1, NP_598502.2, NP_001344705.1, NP_001344703.1
OG0001124	XP_045153740.1	XP_017168895.1
OG0001125	XP_004708587.1	NP_780295.2, NP_796296.1, XP_006516597.1
OG0001126	XP_045151329.1	XP_006499441.1
OG0001127	XP_004714874.1	XP_006504891.1, NP_705800.1
OG0001128	XP_012862979.1, XP_045151799.1, XP_045151800.1, XP_045151798.1, XP_004706652.2	NP_001347816.1, NP_766562.1
OG0001129	XP_012859833.1	NP_001407763.1, NP_001407762.1, NP_598577.1, NP_001407764.1
OG0001130	XP_004701068.1	NP_001333632.1
OG0001131	XP_004697563.1, XP_045142372.1	NP_001397456.1, NP_001397453.1, NP_032888.1, NP_001397455.1, NP_001397444.1, NP_001397445.1, NP_001397454.1, NP_001397449.1, XP_036018835.1
OG0001133	XP_030740183.1	NP_001155007.1, XP_006511292.1, NP_001155013.1, NP_001155010.1, NP_001155008.1, NP_001155011.1, NP_001155012.1, NP_001155009.1, NP_796167.2
OG0001134	XP_045139953.1	NP_001297593.1, XP_006534769.1
OG0001135	XP_004703815.1	XP_006500320.1, NP_082797.1
OG0001136	XP_004703792.1	NP_001191094.1
OG0001137	XP_045154412.1, XP_045154413.1	NP_065604.2
OG0001138	XP_030743758.1	XP_006541630.1
OG0001139	XP_004711704.1	NP_001369785.1, NP_620085.2
OG0001139	XP_045141465.1	XP_036017663.1, NP_613073.2
OG0001140	XP_012863275.1, XP_004715060.1, XP_004715061.1, XP_004715059.1, XP_004715062.1, XP_004715066.1, XP_004715065.1, XP_004715063.1, XP_012863257.1, XP_012863256.1	NP_001011788.1
OG0001141	XP_004717799.1, XP_004717376.1, XP_004717800.1, XP_012864091.1, XP_004717357.1	NP_667044.1, NP_001011721.2, NP_667045.1
OG0001144	XP_045145134.1	NP_001158196.1
OG0001147	XP_045153654.1	NP_034051.2
OG0001148	XP_004708596.1, XP_045151002.1	NP_001343939.1, NP_081847.3, XP_036019203.1, NP_001343937.1, NP_001343936.1
OG0001149	XP_045150506.1	XP_006512781.1, NP_035834.2
OG0001151	XP_012863651.2, XP_004716284.1	NP_851793.1, NP_996906.1
OG0001152	XP_004706681.1	NP_031696.1
OG0001152	XP_045145308.1	NP_001035744.1
OG0001153	XP_045145795.1, XP_004718158.2	NP_001396884.1, NP_032214.1, NP_001396883.1, NP_001342195.1, XP_036021758.1
OG0001154	XP_004708568.1	NP_666963.2
OG0001154	XP_004708579.1	NP_667221.2
OG0001157	XP_004714474.1, XP_004714472.1	NP_667175.1, NP_667165.1, NP_667171.1, NP_667172.1, NP_667174.1, NP_667173.1, NP_667166.1, NP_667145.1, NP_001011867.1
OG0001159	XP_045150515.1	NP_033564.2, NP_001351572.1, NP_001351573.1, NP_001351574.1
OG0001160	XP_004702021.1	NP_001161769.1, XP_006512922.1, NP_082244.2
OG0001161	XP_045154569.1	XP_030103327.1
OG0001162	XP_004713958.1	NP_059069.1, XP_006516940.1
OG0001163	XP_004715707.1	NP_001407646.1, NP_001407639.1, NP_001407644.1, NP_001407645.1, NP_001407640.1, NP_666290.2, NP_001407641.1, NP_001277361.1, NP_001407643.1, NP_001407638.1, NP_001407642.1, NP_001407647.1, NP_001407637.1, NP_001407635.1, NP_001407636.1, NP_001277358.1
OG0001164	XP_004710442.1	NP_783599.1
OG0001165	XP_045148467.1, XP_030742256.1, XP_045148466.1, XP_045148465.1	NP_573473.1
OG0001166	XP_045149586.1	NP_034014.1
OG0001167	XP_004716173.3	NP_001095908.1, NP_001095907.1, NP_001342566.1, NP_001342567.1, NP_001393363.1, NP_001342568.1, NP_001393368.1, NP_001393367.1, NP_083069.1, NP_001393362.1, NP_001095906.1, NP_001393369.1, NP_001393370.1, NP_001342570.1, NP_001393364.1, NP_001393366.1, NP_001393365.1, NP_001342571.1, XP_036018526.1, NP_001393371.1
OG0001168	XP_045155125.1, XP_045155123.1, XP_045155124.1, XP_004705112.1	NP_080315.1
OG0001169	XP_045155212.1, XP_045155211.1	NP_001157177.1, NP_056612.1, NP_001157176.1, NP_001157179.1, NP_001157178.1
OG0001170	XP_045145399.1	NP_109646.2, NP_001343947.1, NP_001412726.1, NP_001343948.1, NP_001343949.1, XP_006504259.1
OG0001172	XP_004714269.1	NP_667026.1, NP_997443.1
OG0001174	XP_004713089.1	NP_001009927.1
OG0001175	XP_004704854.2, XP_045149688.1	XP_030099497.1, NP_853527.2
OG0001176	XP_004704616.1	XP_006530979.1, NP_666327.2
OG0001177	XP_045140557.1	NP_034973.2, XP_036021305.1
OG0001177	XP_012860887.3	XP_036021547.1
OG0001178	XP_045142471.1	NP_033248.1, NP_001171264.1, NP_001399560.1, NP_001399558.1, NP_001399556.1, NP_001399555.1, NP_001399557.1, NP_001399559.1, NP_001171263.1, XP_006499117.1
OG0001179	XP_030743989.2	XP_006533316.1, NP_766388.2
OG0001179	XP_045140310.1	NP_808547.3, XP_006504775.1
OG0001180	XP_012861015.3	NP_084534.2, NP_001033792.1, XP_030110776.1, NP_001349135.1
OG0001181	XP_045147795.1	NP_034436.1
OG0001181	XP_004702678.1	NP_034435.1
OG0001182	XP_045147876.1	NP_001240699.1, NP_001398044.1, NP_001398039.1, NP_001240697.1, NP_001398043.1, NP_001240698.1, NP_001398045.1, NP_001398047.1, NP_001398046.1, NP_001398049.1, NP_001398048.1, NP_001398050.1, NP_001398034.1, NP_001398037.1, NP_001398038.1, NP_001398033.1, NP_001342590.1, NP_001398036.1, NP_620083.1
OG0001183	XP_004702622.1, XP_004710122.1	NP_079801.2, NP_705723.1
OG0001184	XP_045154128.1	NP_001341989.1, NP_038527.2
OG0001185	XP_004706730.1	XP_036018760.1, NP_001347774.1, NP_001347776.1, NP_001407870.1, NP_001347773.2, NP_001407869.1, NP_035407.1
OG0001186	XP_004706801.1	NP_001342061.1, NP_081555.2
OG0001187	XP_045152175.1, XP_045153879.1, XP_004716931.2	NP_080744.1
OG0001188	XP_030740799.2	NP_001346992.1, NP_083056.2, XP_030103911.1
OG0001189	XP_045142528.1, XP_004708387.1	NP_001278411.1, NP_001407341.1, XP_011237637.1, NP_001278410.1, NP_001012335.1, NP_001012336.1, NP_034914.1, NP_001278412.1
OG0001190	XP_045155731.1, XP_045155732.1	NP_081664.2, NP_001071104.1, NP_001350041.1
OG0001191	XP_004714584.1	XP_006497851.1, NP_619606.1
OG0001192	XP_045148190.1	NP_796365.1, NP_001344646.1, XP_011243983.1
OG0001193	XP_045140903.1	XP_030101662.1
OG0001194	XP_004711121.1	NP_001288341.1, NP_032043.3, XP_036019572.1
OG0001195	XP_045148668.1	NP_001392452.1, NP_001392453.1, NP_001392454.1, NP_001392451.1, NP_001010833.2, NP_001392450.1, NP_001392456.1, NP_001392458.1, NP_001392457.1, NP_001392455.1
OG0001196	XP_004711861.1	NP_001390799.1, NP_001273504.1, NP_001390798.1, NP_001390796.1, NP_665829.1, XP_030105308.1, NP_671493.1, NP_001273502.1
OG0001197	XP_045141207.1, XP_004710782.1	NP_034350.1
OG0001198	XP_004696589.1	NP_081724.1, XP_006511597.1, NP_083710.2
OG0001199	XP_045150616.1	NP_035757.2, XP_017168769.1, NP_001158264.1
OG0001200	XP_004696290.1	XP_006512896.1, NP_080687.1
OG0001201	XP_030742715.1	NP_059500.2
OG0001201	XP_004716736.1	XP_011245947.2
OG0001202	XP_004696156.1	NP_663546.1
OG0001202	XP_045140111.1	NP_081011.1
OG0001203	XP_004702705.1	NP_001096626.1
OG0001204	XP_004702789.1	NP_001120820.1, NP_001348508.1, NP_001348510.1, NP_001348509.1, NP_001348511.1, NP_001120821.1, NP_001348507.1, NP_001348505.1, XP_030111460.1, NP_001348506.1, NP_082311.3
OG0001205	XP_045142214.1	NP_001346877.1, NP_766508.3
OG0001206	XP_045154904.1, XP_045154905.1, XP_045154907.1, XP_004705352.1, XP_045154906.1	NP_001413062.1, NP_620046.1, NP_001156738.1, NP_001413061.1
OG0001207	XP_045155074.1	XP_006502878.1, NP_034787.2
OG0001208	XP_030740798.1	NP_001240623.1
OG0001210	XP_004708807.1	NP_001350400.1, NP_001350401.1, NP_001350399.1, XP_006530626.1, NP_598584.2
OG0001211	XP_045151753.1	NP_001344389.1
OG0001211	XP_045149936.1	NP_064362.1
OG0001212	XP_045151718.1, XP_004708791.1, XP_045151716.1	XP_006502047.1, NP_573450.2
OG0001214	XP_004696198.1	NP_001289092.1
OG0001215	XP_004696105.1	NP_001365858.1, NP_036168.1
OG0001215	XP_045155047.1, XP_004705000.1	NP_778163.1
OG0001216	XP_045146399.1	NP_660117.2, NP_001165571.1, NP_001165572.1
OG0001218	XP_045153635.1	NP_694739.1, XP_011241266.1
OG0001219	XP_004708678.1, XP_045150976.1, XP_045150975.1	NP_001192290.1
OG0001219	XP_004704479.1	NP_001413562.1, NP_001019675.2, NP_001036114.1, NP_001036115.1, NP_001036116.1
OG0001220	XP_004712145.1	NP_001116323.1, XP_036010823.1
OG0001222	XP_045151079.1	XP_006500191.1, NP_081244.2
OG0001223	XP_012863720.2	NP_083601.1
OG0001224	XP_045151144.1	NP_001297015.1
OG0001225	XP_045151145.1, XP_004698117.1	NP_001074603.1, NP_001366387.1
OG0001226	XP_004707652.1	NP_001128623.1, NP_001128624.1, NP_659057.2, XP_006518849.1
OG0001227	XP_045143155.1	NP_032502.3, NP_034799.2
OG0001228	XP_045152290.1	NP_001164382.1, NP_079661.1
OG0001229	XP_004708286.1, XP_045151960.1	XP_006506403.1, NP_001156741.2, NP_001156740.2
OG0001230	XP_004708182.1, XP_030743097.1	NP_001157561.1
OG0001231	XP_004700252.1	NP_001334445.1
OG0001232	XP_030740642.1, XP_004711568.1, XP_004711566.1	XP_017172193.2, NP_001011733.2, NP_001011780.1, XP_030104546.1, NP_001011779.1
OG0001233	XP_030740603.1	XP_006520545.1, NP_038594.2
OG0001234	XP_045139601.1	NP_001389939.1, NP_001389938.1, NP_001271248.1, NP_001389937.1, NP_001389936.1, NP_001389932.1, NP_062718.2, NP_001029160.1, NP_001389927.1
OG0001235	XP_004709472.1, XP_045142475.1	NP_001156406.3, XP_006499896.1
OG0001236	XP_004709491.1	NP_081694.1, NP_056621.4, XP_011241069.1
OG0001237	XP_045142450.1	NP_001295354.1
OG0001238	XP_004709519.1	NP_082363.2, XP_006511526.1
OG0001239	XP_004718145.2	NP_079648.1, NP_001311486.1, NP_001311485.1, XP_006511403.1, NP_001311487.1
OG0001240	XP_045141602.1	XP_017168751.1, NP_001155951.1, NP_033317.2, NP_001155948.1, NP_001155947.1
OG0001241	XP_045140589.1, XP_045140590.1, XP_045140588.1	NP_001412024.1, NP_001412023.1, NP_034386.2, NP_001344280.1
OG0001242	XP_012859428.2	XP_011238510.1, NP_080854.1
OG0001243	XP_004703475.1	NP_444492.1
OG0001243	XP_004703474.1	NP_932147.2
OG0001246	XP_004712573.1, XP_045151720.1	NP_065592.1, XP_006516786.1
OG0001247	XP_045154050.1	NP_001070657.1, XP_006496722.1, NP_001391947.1
OG0001248	XP_004717693.1	NP_001171253.1, NP_001171252.1, NP_001345676.1, NP_001028423.1, XP_017173946.1
OG0001249	XP_004710091.1	NP_001345296.1
OG0001249	XP_004710033.1, XP_045146646.1	XP_017173902.1
OG0001250	XP_045150990.1, XP_045150991.1, XP_045150992.1	NP_001404749.1, NP_001404752.1, NP_001404748.1, NP_001404751.1, NP_079595.1
OG0001251	XP_004717851.1	XP_006541560.1, NP_848897.3
OG0001252	XP_004697431.1	NP_001159860.1
OG0001253	XP_004708310.1	NP_031566.4, NP_001041604.1
OG0001254	XP_045149162.1	NP_570959.1, XP_011248391.1
OG0001254	XP_045141634.1	NP_001398080.1
OG0001255	XP_004703609.1	NP_001347465.1
OG0001256	XP_004696910.1, XP_030744661.1	NP_031623.1, NP_001103970.1, NP_001103969.1
OG0001257	XP_045147202.1	XP_036015657.1, NP_031770.2, NP_001104532.1, NP_001104533.1
OG0001258	XP_004708772.2	NP_036035.3, XP_006501523.1
OG0001260	XP_004698105.1	NP_001239508.1, NP_001239507.1
OG0001261	XP_004708323.1	NP_001231127.1
OG0001262	XP_004705308.1	NP_001335156.1
OG0001263	XP_004709257.1	XP_006518532.1, NP_033888.2
OG0001264	XP_004697929.1, XP_004697930.1	NP_033862.1
OG0001264	XP_004697931.1	NP_035155.1
OG0001266	XP_004699386.1	NP_001344605.1, NP_001344601.1, NP_001344602.1, NP_001344604.1, NP_001344603.1, NP_034098.1
OG0001267	XP_004716988.2	NP_001292362.1
OG0001267	XP_004716964.1, XP_004716987.3	NP_666762.1
OG0001268	XP_012864014.1, XP_004717535.1	NP_667299.1, NP_667264.1, NP_667265.1
OG0001269	XP_004717540.1	NP_667323.1, NP_667284.1
OG0001270	XP_045148599.1	XP_017177639.1, NP_001003393.1
OG0001271	XP_045151415.1	NP_084037.3
OG0001271	XP_045152010.1	NP_001034262.1
OG0001272	XP_045151190.1	NP_062606.1
OG0001272	XP_045141208.1, XP_004710461.1	NP_080174.1, XP_030097834.1
OG0001273	XP_045148953.1	NP_666295.2, NP_780351.1, NP_001277390.1, XP_006539902.1
OG0001274	XP_030742221.1	XP_017167785.1, NP_081746.1
OG0001275	XP_004715885.1	NP_001347583.1
OG0001276	XP_004714501.1	NP_034320.1, XP_006497739.1
OG0001277	XP_045140829.1, XP_045140827.1, XP_045140830.1, XP_045140828.1	NP_034327.1, XP_006525704.1
OG0001278	XP_004697119.1	NP_001357968.1, NP_080411.1, NP_001357969.1, NP_001357970.1
OG0001279	XP_004703563.1, XP_045141044.1, XP_045141043.1	NP_663428.2, XP_006517424.1
OG0001280	XP_004708268.1	NP_001369440.1
OG0001281	XP_004713268.1	XP_036016094.1
OG0001282	XP_004713031.1	NP_033186.1
OG0001284	XP_004696859.1, XP_045140814.1	NP_081600.1, XP_006516912.2
OG0001284	XP_045147439.1	NP_001349310.1
OG0001285	XP_045141293.1, XP_030744725.1	NP_001295435.1
OG0001286	XP_004699277.2, XP_045140055.1	XP_006501056.1
OG0001287	XP_004716327.1	NP_766357.1, XP_006510316.1
OG0001288	XP_045154659.1	NP_808233.1
OG0001290	XP_004705279.1, XP_045154976.1	NP_077792.2
OG0001291	XP_004705267.1	NP_082789.1
OG0001291	XP_004713123.1, XP_004713122.1	NP_082790.1
OG0001292	XP_004704624.1	XP_011246741.1, NP_001355280.1, NP_001355281.1, NP_001074399.1, NP_001355279.1
OG0001293	XP_004705709.2	NP_796200.1, NP_001349126.1, NP_001349125.1, NP_001391331.1, NP_001391329.1, NP_001391332.1, NP_001391334.1, NP_001391333.1, XP_006508015.1
OG0001295	XP_004699872.1	NP_082596.2, NP_001292998.1
OG0001296	XP_045154125.1	NP_081252.1
OG0001297	XP_045139735.1	NP_079560.1
OG0001297	XP_004713914.1, XP_045140323.1	NP_001177256.1
OG0001298	XP_045143545.1, XP_004698529.1, XP_045143544.1	XP_006519681.1, NP_083166.1
OG0001299	XP_045145221.1	NP_001393662.1, NP_001393660.1, NP_001393661.1, XP_011237366.1, NP_001277348.1, NP_758842.1
OG0001300	XP_045145163.1	NP_001398128.1, NP_001398125.1, NP_001355088.1, NP_001398126.1, NP_001398124.1, NP_001398130.1, NP_001398127.1, NP_001005420.1, NP_001398123.1, NP_001398129.1
OG0001301	XP_045144450.1	NP_765992.2, NP_001343403.1, NP_001343404.1, XP_006498378.1
OG0001302	XP_004700682.1	NP_852077.1, XP_006520903.1
OG0001303	XP_045150125.1	NP_075813.2
OG0001304	XP_030744746.2	NP_084185.1, XP_006526414.1
OG0001305	XP_045141070.1, XP_004696708.1	NP_109674.2, XP_006526428.1, NP_001347743.1
OG0001306	XP_004717067.1	NP_808281.1
OG0001306	XP_004712479.1	NP_080551.1
OG0001308	XP_045148699.1	NP_001342633.1, NP_031855.3, NP_001186662.1, XP_006523644.1
OG0001309	XP_004710816.1	NP_035679.3, NP_001155195.1, NP_001155194.1, XP_006524067.1
OG0001310	XP_004710910.1	NP_940813.1
OG0001311	XP_045150703.1	NP_001344059.1, NP_083367.1, XP_011244991.1
OG0001312	XP_004696421.1	NP_112467.2
OG0001312	XP_045153875.1, XP_045151969.1, XP_004717695.1	NP_032854.2
OG0001313	XP_004696390.1	NP_001153201.1, NP_033025.2
OG0001315	XP_045144946.1, XP_004702778.1, XP_045144947.1	XP_011239722.1, NP_780307.1
OG0001316	XP_045147747.1, XP_004699527.1, XP_012863805.1	NP_084144.2, NP_001355106.1, XP_006503548.1
OG0001317	XP_004700449.1	NP_084128.2
OG0001318	XP_045151759.1	XP_030099715.1
OG0001318	XP_045151761.1	NP_001177933.1
OG0001321	XP_012863500.1	NP_001346042.1, NP_001028320.1
OG0001322	XP_004696446.1	XP_006515102.1, NP_796305.3
OG0001323	XP_045139925.1	NP_001398524.1, NP_001398522.1, NP_663545.2, NP_001398523.1, NP_001398521.1
OG0001324	XP_004716660.1	NP_084065.1, XP_006502323.1, NP_001307421.1
OG0001325	XP_045151622.1, XP_045151621.1, XP_045151620.1, XP_045151623.1	NP_084350.1, XP_006502370.1, NP_001344792.1
OG0001326	XP_004708082.1	NP_077232.2
OG0001327	XP_045144827.1	NP_001157562.1, NP_031556.1
OG0001329	XP_045147058.1	NP_001129527.1, NP_001258390.1, NP_001258359.1, NP_031682.1, NP_001258391.1, NP_001258360.1, NP_001258361.1
OG0001330	XP_045146358.1	NP_034974.2, XP_006508562.1
OG0001330	XP_045146359.1	XP_006508716.2, NP_083077.2
OG0001331	XP_045153277.1, XP_045153278.1	NP_001403968.1, XP_006508574.1, NP_001036225.1, NP_032793.2, NP_001403969.1, NP_001403970.1
OG0001332	XP_045153163.1, XP_004713629.1	NP_001156418.1
OG0001333	XP_045153229.1, XP_045153233.1, XP_045153234.1, XP_045153231.1, XP_045153230.1, XP_045153235.1, XP_004713743.1, XP_045153232.1, XP_045153228.1	NP_001028620.1, NP_001348975.1, XP_006531847.1
OG0001334	XP_030741473.2	NP_001240646.1
OG0001336	XP_004717054.1	NP_001275554.1, NP_001275555.1, XP_006513264.1, NP_031906.1
OG0001337	XP_045153526.1	XP_011241302.1
OG0001338	XP_045151385.1, XP_004697909.1	NP_001349795.1, XP_006499202.1, NP_780654.1
OG0001339	XP_004718160.2	NP_001364053.1, NP_001364054.1, NP_937819.3, NP_001139556.2
OG0001340	XP_045149994.1	NP_542985.4, XP_006504863.1, NP_001411683.1, NP_001411682.1
OG0001341	XP_004715458.1	NP_001243015.1
OG0001342	XP_030743283.2	NP_742123.2, NP_742124.2
OG0001343	XP_004715393.2	NP_001346782.1, XP_006534894.1, NP_619587.3
OG0001344	XP_012863797.1	XP_030101477.1, NP_766027.2
OG0001345	XP_045143272.1, XP_045143273.1	NP_001159930.1, NP_598847.2, NP_001159928.1, XP_006520298.1
OG0001346	XP_004711569.1	NP_001403000.1
OG0001347	XP_004716950.1	NP_032711.2, NP_001289270.1, NP_001289267.1, XP_006520636.1, NP_001289268.1, NP_001289272.1, NP_001289269.1, NP_001387305.1
OG0001348	XP_004701051.1	NP_033153.2, NP_077770.1, NP_033154.2
OG0001349	XP_045147378.1, XP_004701044.1, XP_045147379.1	NP_663478.2, NP_001123997.1, XP_006527067.1, NP_001123998.1
OG0001350	XP_004700984.1	NP_062632.2, NP_001161977.1, NP_001342171.1, XP_006527291.1, NP_001401593.1, NP_001401592.1
OG0001351	XP_045147204.1, XP_004700983.1	XP_036017329.1, NP_032175.2, NP_001343214.1, NP_001397383.1
OG0001352	XP_045142441.1	NP_001360940.1
OG0001353	XP_004712092.1	XP_036010982.1
OG0001354	XP_045140265.1	NP_082203.1
OG0001355	XP_004712392.3	NP_766410.2, XP_006522181.1
OG0001356	XP_045143517.1	XP_036016023.1, NP_780386.3, NP_001116155.1
OG0001357	XP_012860379.1, XP_045154615.1	NP_001239568.1
OG0001358	XP_004701551.1	NP_032410.2, XP_011236743.1
OG0001361	XP_045146658.1, XP_004709970.1	XP_006528049.1, NP_001034150.1
OG0001362	XP_045144257.1, XP_004713249.1	NP_001404943.1, NP_001404944.1, NP_033086.1, NP_001404946.1, NP_001404945.1
OG0001363	XP_045150518.1	NP_001413215.1, NP_758960.1, XP_030107250.1, NP_001277723.1, NP_001413208.1, NP_001413213.1, NP_001413204.1, NP_001413203.1, NP_001413207.1, NP_001277721.1, NP_001413206.1, NP_001413202.1, NP_001413205.1, NP_001413200.1, NP_001413199.1, NP_001277724.1, NP_001413212.1
OG0001364	XP_012863345.1	NP_113565.2, XP_017174134.1
OG0001365	XP_004717633.1, XP_045139723.1	NP_001300627.1, NP_001413068.1, XP_006528111.1, NP_036190.2, NP_001413069.1
OG0001366	XP_045146575.1	NP_109625.1, XP_006529061.1, NP_001345495.1, NP_001345497.1, NP_001345496.1, NP_001186175.1
OG0001372	XP_045144212.1	NP_766366.2
OG0001372	XP_004713284.1	NP_776101.3
OG0001373	XP_045153086.1	NP_114074.1
OG0001373	XP_004709635.1, XP_012864064.1	NP_001411466.1, NP_001357876.1
OG0001374	XP_045150064.1, XP_045150063.1	NP_001396366.1, NP_001396371.1, XP_036021654.1, NP_038499.2, NP_001396368.1, NP_001396367.1, NP_001318049.1, NP_001396373.1
OG0001375	XP_030741151.1	XP_003085350.1
OG0001376	XP_004713005.1	NP_001258285.1, NP_001258286.1, NP_666130.1, XP_011247207.1
OG0001377	XP_045143391.1	XP_036018027.1
OG0001378	XP_045148012.1, XP_030741223.1	NP_001158143.1, NP_032324.1, NP_001158144.1
OG0001380	XP_030742816.1	NP_035159.3
OG0001381	XP_004717826.1	NP_035638.1
OG0001381	XP_004708619.1	NP_081168.1
OG0001382	XP_045144461.1	NP_036051.1, NP_001348433.1, NP_001348432.1, NP_001348435.1, NP_038495.2, NP_001348434.1
OG0001383	XP_004700516.1, XP_004700515.1, XP_004700514.1	NP_059068.1, NP_038618.1
OG0001384	XP_004714782.1	NP_666382.2
OG0001385	XP_045151569.1, XP_004717745.1	NP_033126.2
OG0001386	XP_004714037.1, XP_004714038.1	NP_666482.1, NP_666481.1, NP_666864.1
OG0001387	XP_045152992.1	NP_666781.2
OG0001389	XP_004717882.1	NP_667144.1
OG0001390	XP_030744273.1, XP_004716320.1	NP_085030.2
OG0001391	XP_004712630.2	XP_017173989.1, NP_666873.1
OG0001392	XP_004717553.1	NP_667258.2, NP_667052.1, NP_667287.2
OG0001394	XP_004707347.1, XP_004706925.1	NP_001011851.1
OG0001395	XP_004701956.1	XP_011242826.1, NP_001074598.1
OG0001395	XP_030742443.2	NP_569724.2
OG0001396	XP_045148318.1	XP_017177814.1
OG0001396	XP_004717264.1	NP_001263692.1, NP_001009929.1
OG0001397	XP_045148838.1	NP_001230837.1, XP_006540454.1
OG0001398	XP_004704763.1, XP_045149743.1	XP_036009348.1, NP_077724.2
OG0001399	XP_045156134.1	NP_001070658.1
OG0001400	XP_045140559.1, XP_045140558.1	XP_036017041.1, NP_036028.2
OG0001401	XP_045140847.1	NP_848864.1
OG0001401	XP_004715188.1	NP_071861.1
OG0001402	XP_004705146.1	NP_666268.1, NP_001157266.1
OG0001403	XP_004705399.1	NP_082271.1, NP_001272778.1, NP_001272775.1, XP_036020344.1, NP_001272776.1, NP_001272774.1
OG0001404	XP_045153752.1	NP_775623.3
OG0001404	XP_012860746.1	XP_006538597.1, NP_001277682.1
OG0001405	XP_045141768.1, XP_004699772.1	NP_001020546.1, XP_036011067.1, NP_075680.1
OG0001406	XP_030744793.2	NP_001363928.1, NP_001159537.1, XP_006517659.1
OG0001407	XP_004709952.1	NP_032772.3
OG0001408	XP_004708143.1	NP_001171221.1, XP_036009543.1, NP_080273.1
OG0001409	XP_012863078.1	NP_667080.1, NP_666487.2
OG0001410	XP_045146184.1	NP_766355.3, NP_001139429.1, XP_006510368.1, NP_001346880.1, NP_848852.1, NP_001186485.1
OG0001411	XP_004716205.1	NP_001278077.1, NP_291040.1
OG0001411	XP_004716399.2	NP_077760.1
OG0001412	XP_045139787.1, XP_004696216.1, XP_045153293.1	NP_081120.2, XP_006531345.1
OG0001413	XP_045149578.1	XP_006531198.1
OG0001414	XP_004705653.1	XP_006504675.1, NP_001241691.1, NP_084313.1
OG0001415	XP_045155741.1	XP_006533389.1, NP_631974.1
OG0001415	XP_045140103.1	NP_659065.1
OG0001416	XP_045148038.1	NP_001177090.1, NP_064360.1
