Orthogroup	Sarcophilus_harrisii	Microcebus_murinus
OG0003410	XP_031806381.1, XP_003758300.1, XP_031806383.1, XP_031806382.1	XP_020141923.1
OG0003411	XP_003758298.1	XP_012620313.1
OG0003412	XP_031809671.1	XP_012610041.1
OG0003413	XP_031824376.1, XP_031824371.1	XP_012619182.1
OG0003416	XP_031792943.1	XP_012624551.1
OG0003417	XP_003760713.3	XP_012624492.1
OG0003418	XP_012398872.2	XP_012624397.1
OG0003419	XP_031801407.1	XP_012592228.1, XP_012592224.1, XP_012592226.1, XP_012592223.1, XP_012592227.1
OG0003420	XP_031810488.1	XP_012624295.1
OG0003421	XP_031810072.1, XP_031810071.1	XP_012627134.1
OG0003422	XP_012404328.1	XP_012591784.1
OG0003423	XP_023359781.1	XP_012596607.1, XP_012596606.1
OG0003424	XP_003769162.1, XP_031820623.1	XP_012598842.1, XP_012598841.1, XP_012598840.1
OG0003425	XP_003769173.1	XP_012611908.1, XP_012611909.1, XP_012611907.1, XP_012611910.1
OG0003426	XP_012404558.1	XP_012600290.2
OG0003427	XP_003769204.1	XP_012636214.1, XP_012636215.1
OG0003428	XP_031820358.1, XP_023358897.1, XP_023358900.1, XP_003769356.1, XP_031820359.1	XP_012624871.1
OG0003429	XP_003769410.1	XP_012608559.1
OG0003430	XP_003770691.1	XP_020142748.1
OG0003431	XP_012407679.1	XP_020139821.1
OG0003431	XP_031799361.1	XP_020139822.1
OG0003432	XP_003760346.1, XP_031802931.1, XP_031802930.1	XP_012639765.1
OG0003433	XP_031803161.1, XP_003762770.1	XP_012608339.1
OG0003434	XP_023361772.1	XP_020140872.1
OG0003435	XP_031816128.1, XP_023353763.2	XP_012634031.1, XP_012634033.1
OG0003436	XP_031795809.1	XP_012635014.1
OG0003437	XP_031796551.1	XP_012636482.1
OG0003438	XP_031807453.1	XP_012591301.1
OG0003439	XP_031794708.1, XP_012406433.1, XP_031794707.1	XP_012591588.2
OG0003440	XP_023360601.1	XP_012612755.1
OG0003441	XP_031794767.1	XP_012612762.1, XP_020145344.1
OG0003442	XP_031794805.1, XP_031794804.1, XP_031794806.1	XP_012607287.1
OG0003443	XP_012401411.1	XP_012591259.1, XP_012591260.1
OG0003444	XP_023355955.1, XP_003765431.1	XP_012638180.1, XP_012635348.1
OG0003445	XP_003765389.1	XP_012620667.1, XP_012620668.1
OG0003446	XP_031825061.1	XP_020144117.1
OG0003447	XP_031825119.1	XP_012631356.1
OG0003448	XP_031825140.1	XP_012631324.1
OG0003449	XP_031807859.1	XP_012608051.1
OG0003450	XP_031794414.1	XP_020143540.1
OG0003451	XP_003773183.1	XP_012639137.1, XP_012639139.1, XP_012639136.1, XP_012639135.1
OG0003452	XP_012407620.1, XP_031799665.1	XP_012639133.1, XP_012639134.1, XP_012639132.1
OG0003453	XP_031795369.1	XP_020145222.1
OG0003454	XP_031795099.1	XP_012623528.1, XP_012623527.1, XP_012623526.1, XP_012623530.1
OG0003455	XP_031795071.1	XP_012623482.1
OG0003456	XP_031795060.1	XP_012623469.1
OG0003457	XP_031795056.1	XP_012623454.1
OG0003458	XP_023360744.1	XP_012641563.1
OG0003460	XP_003771790.1	XP_012641559.1
OG0003461	XP_012406586.1, XP_031795253.1	XP_012641591.1
OG0003462	XP_031795306.1, XP_031795303.1, XP_031795302.1, XP_031795304.1, XP_003772782.1	XP_012641652.1, XP_012641650.1, XP_012641651.1
OG0003463	XP_023360784.1, XP_031795441.1	XP_012641732.1
OG0003464	XP_031806562.1	XP_012618428.1, XP_012618429.1, XP_020138414.1, XP_012618430.1, XP_020138413.1
OG0003465	XP_012407386.1	XP_012640484.1, XP_012640485.1
OG0003466	XP_031799318.1	XP_012640378.1, XP_012640379.1
OG0003467	XP_031798975.1, XP_031798977.1, XP_031798976.1	XP_012640438.1
OG0003469	XP_031800839.1	XP_012591582.1, XP_012591680.1
OG0003470	XP_012395348.1	XP_012618611.1
OG0003471	XP_031805476.1, XP_031805477.1, XP_031805475.1	XP_012631953.1, XP_012631954.1
OG0003472	XP_031805425.1	XP_012643548.1, XP_012643549.1
OG0003473	XP_023361940.1	XP_012644083.1
OG0003474	XP_031798264.1	XP_012644092.1
OG0003475	XP_031823181.1	XP_012633889.1
OG0003476	XP_031823242.1	XP_012617302.1, XP_012617306.1, XP_012617305.1, XP_012617304.1, XP_012617301.1, XP_012617303.1, XP_012617300.1
OG0003477	XP_031823258.1	XP_012617326.1
OG0003478	XP_003774807.1	XP_020144632.1, XP_020140612.1, XP_020135877.1, XP_012635942.1
OG0003479	XP_012405183.1	XP_012623010.1
OG0003480	XP_031823168.1	XP_012633917.1
OG0003481	XP_031813063.1	XP_012591469.1
OG0003482	XP_031813025.1	XP_020145526.1
OG0003483	XP_023360541.1	XP_012601731.1, XP_020145379.1, XP_012601706.1, XP_012601699.1, XP_020145378.1
OG0003484	XP_003773738.1	XP_012594181.1
OG0003485	XP_012408031.1	XP_012594190.1
OG0003486	XP_012408008.1	XP_012595308.1
OG0003487	XP_031798541.1	XP_012605356.1, XP_012605358.1, XP_012605357.1
OG0003488	XP_003773778.1	XP_012644287.1
OG0003489	XP_031798409.1	XP_012624987.1, XP_012624986.1
OG0003491	XP_031798375.1	XP_012613090.1
OG0003492	XP_031799671.1, XP_031799670.1	XP_012633361.1
OG0003493	XP_031815698.1	XP_012616501.1, XP_012616498.1, XP_012616499.1, XP_012616497.1
OG0003494	XP_031815713.1	XP_012605449.1
OG0003495	XP_023354907.1	XP_012595366.1
OG0003496	XP_031816536.1	XP_012635417.1
OG0003497	XP_003762354.2, XP_031814740.1	XP_012626824.1, XP_012626823.1
OG0003499	XP_031811294.1, XP_012399095.1	XP_012640729.1
OG0003500	XP_031810861.1, XP_012399063.1	XP_012616054.1, XP_012616057.1, XP_012616055.1
OG0003501	XP_031813888.1	XP_012626973.1, XP_012626972.1
OG0003502	XP_012397341.1	XP_012646022.1
OG0003503	XP_003760488.2	XP_012646048.1
OG0003504	XP_031803377.1, XP_031803379.1, XP_023352354.1, XP_023352353.1	XP_012646095.1
OG0003506	XP_031812820.1	XP_012646181.1
OG0003507	XP_031803680.1, XP_012397482.1	XP_012624711.1
OG0003508	XP_031803714.1	XP_012624752.1
OG0003509	XP_031803721.1	XP_012624859.1, XP_012642642.1
OG0003510	XP_003771234.1	XP_012609196.1
OG0003511	XP_012400784.2	XP_012600597.1
OG0003512	XP_031817299.1	XP_012600565.2
OG0003513	XP_031817356.1, XP_003764735.1	XP_012600334.1, XP_012600333.1, XP_012600335.1
OG0003514	XP_031817894.1	XP_012600476.1, XP_012600475.1
OG0003515	XP_031817940.1, XP_031817939.1, XP_003765366.1	XP_012641995.1
OG0003516	XP_031797883.1	XP_012636165.1
OG0003517	XP_031798706.1	XP_020142142.1
OG0003518	XP_031817051.1, XP_012407549.2	XP_012620439.1
OG0003519	XP_012401703.1, XP_031814481.1	XP_012611341.1, XP_012611340.1
OG0003520	XP_031814594.1	XP_020146098.1
OG0003521	XP_023350610.2	XP_012594641.1, XP_012594646.1
OG0003522	XP_012406848.1	XP_012625838.1, XP_012625840.1, XP_012625839.1
OG0003523	XP_031795890.1	XP_012625652.2
OG0003524	XP_031796247.1	XP_012641818.1
OG0003526	XP_031810006.1, XP_031810007.1, XP_003757097.1	XP_020137374.1
OG0003527	XP_023363114.1	XP_012610083.1
OG0003528	XP_031809977.1	XP_012610647.1
OG0003529	XP_031805377.1	XP_012610094.1
OG0003530	XP_003756981.1	XP_012610255.1
OG0003532	XP_031807421.1	XP_012636177.1, XP_012636154.1, XP_012636143.1, XP_012636171.1, XP_012636164.1
OG0003533	XP_031807420.1	XP_012636102.1, XP_012636110.1, XP_012636095.1
OG0003534	XP_031807434.1, XP_031807433.1, XP_031807432.1, XP_023350314.1	XP_012598460.1
OG0003535	XP_031807463.1, XP_031807464.1	XP_012615802.1, XP_012615803.1
OG0003536	XP_031807503.1	XP_012621565.1
OG0003537	XP_003759237.1	XP_012625936.1
OG0003538	XP_003764511.1	XP_020146054.1, XP_012592296.1
OG0003539	XP_003766925.1	XP_012619083.1, XP_012598140.1
OG0003540	XP_031816607.1	XP_020146044.1
OG0003541	XP_031798945.1, XP_003773131.1, XP_023361648.1	XP_012626109.1
OG0003542	XP_023361615.1	XP_012626136.1
OG0003543	XP_003758089.1	XP_012594679.1, XP_012594680.1, XP_012607914.1
OG0003544	XP_023359518.1, XP_031824026.1	XP_012604866.1
OG0003544	XP_031824027.1	XP_012604867.1, XP_012604865.1
OG0003545	XP_031824148.1	XP_012608751.1
OG0003546	XP_031813341.1	XP_020143670.1
OG0003547	XP_031813308.1	XP_020143686.1, XP_020143688.1, XP_020143685.1, XP_020143683.1, XP_020143684.1, XP_020143687.1
OG0003548	XP_031804548.1	XP_012611931.1
OG0003549	XP_031804610.1	XP_012612149.1
OG0003550	XP_031804660.1	XP_020138537.1
OG0003551	XP_031804722.1	XP_012619289.1
OG0003552	XP_031804994.1	XP_012632165.1
OG0003553	XP_003771387.1, XP_023360400.1	XP_012602690.1
OG0003554	XP_023360401.1, XP_003771379.1, XP_031795404.1	XP_012603789.1
OG0003555	XP_031816553.1, XP_031794137.1	XP_012615902.1
OG0003556	XP_031794201.1, XP_012406147.1, XP_031794200.1	XP_012631286.1
OG0003557	XP_023360256.1	XP_020143334.1
OG0003558	XP_012402184.1, XP_012402185.1, XP_031793860.1, XP_003766366.1, XP_031793859.1	XP_012613701.1
OG0003559	XP_031796049.1	XP_020140552.1, XP_012616900.1
OG0003561	XP_023351090.1	XP_012620661.1
OG0003562	XP_031811606.1	XP_012625172.1
OG0003563	XP_023351953.1, XP_003755463.1, XP_031811624.1	XP_012625518.1
OG0003564	XP_003755397.1	XP_012630145.1
OG0003565	XP_031811852.1	XP_020136338.1
OG0003566	XP_031812858.1, XP_031812857.1	XP_012636786.1
OG0003567	XP_003759826.2, XP_031802254.1	XP_012644724.1
OG0003568	XP_003759778.1	XP_012592645.1
OG0003569	XP_003756065.1	XP_020141541.1
OG0003570	XP_031807983.1	XP_012621934.1
OG0003571	XP_031808038.1	XP_012622050.1
OG0003572	XP_003756113.1	XP_020141591.1
OG0003573	XP_031808092.1, XP_031808091.1, XP_003756145.1	XP_012622160.1
OG0003574	XP_003755989.1	XP_012618897.1
OG0003575	XP_003755772.1	XP_012638498.1
OG0003576	XP_012399867.1	XP_012634519.1
OG0003577	XP_031824158.1	XP_012635526.1, XP_012635523.1, XP_012635524.1, XP_012635525.1
OG0003578	XP_031799673.1	XP_020140079.1
OG0003579	XP_003772993.1	XP_012593868.1
OG0003580	XP_031799743.1	XP_020140131.1
OG0003581	XP_031799780.1	XP_012629513.1
OG0003582	XP_003773017.1	XP_020140138.1
OG0003583	XP_031799695.1	XP_020140601.1
OG0003584	XP_023351070.1, XP_031805512.1	XP_020143136.1
OG0003585	XP_003763639.1	XP_012642991.2
OG0003588	XP_031813609.1	XP_012645103.1
OG0003589	XP_031813443.1	XP_020141732.1
OG0003591	XP_031816259.1	XP_012641316.1
OG0003592	XP_003764092.1	XP_012632328.1, XP_012632329.1
OG0003593	XP_012400340.1	XP_012632367.1, XP_012632363.1, XP_012632365.1, XP_012632366.1
OG0003594	XP_023355121.1	XP_012632392.1
OG0003595	XP_031816093.1, XP_012400370.1	XP_012594554.1
OG0003596	XP_031814096.1, XP_031814095.1	XP_012594313.1
OG0003597	XP_003766009.1	XP_012606934.1
OG0003598	XP_031793084.1, XP_031793083.1, XP_031793082.1, XP_012403270.2	XP_012615040.1, XP_012615053.1, XP_012615043.1
OG0003599	XP_003767764.2, XP_031796735.1	XP_012646875.1
OG0003600	XP_003758790.1	XP_012591013.1
OG0003601	XP_003767425.1	XP_020141024.1
OG0003602	XP_031822737.1	XP_020140358.1
OG0003603	XP_023357773.1, XP_023357775.1	XP_012590992.1
OG0003605	XP_003774874.1	XP_020140697.1
OG0003606	XP_003765658.1	XP_012619119.1
OG0003607	XP_031814915.1, XP_031814916.1	XP_012619124.1
OG0003608	XP_031815352.1	XP_012640076.1
OG0003609	XP_003764891.1	XP_012617445.1
OG0003610	XP_012408890.2	XP_012593574.1
OG0003611	XP_003775057.1	XP_012639802.1
OG0003612	XP_031800759.1, XP_031800755.1, XP_031800756.1, XP_031800758.1, XP_031800757.1	XP_012605758.1
OG0003613	XP_031800828.1	XP_012605954.1
OG0003614	XP_031801102.1	XP_012605859.1
OG0003616	XP_003755871.1, XP_003755872.1	XP_012608107.1, XP_012608106.1
OG0003618	XP_031819681.1	XP_012592662.1
OG0003620	XP_031817173.1	XP_012629128.1
OG0003621	XP_031810885.1, XP_031810886.1	XP_012608182.1
OG0003631	XP_003756315.1, XP_023358078.1, XP_023358081.1	NP_001296874.1
OG0003632	XP_031792986.1	XP_012599922.1
OG0003633	XP_023362639.2	XP_012606553.1, XP_012606545.1
OG0003634	XP_031813214.1	XP_012634634.1
OG0003635	XP_023358347.1	XP_012602902.1, XP_012602901.1
OG0003636	XP_031804421.1	XP_012637769.1
OG0003637	XP_003771589.1	XP_012616553.1
OG0003638	XP_023351288.1	XP_012619090.1
OG0003639	XP_031823525.1	XP_012596253.1
OG0003640	XP_031807322.1	XP_012630827.2
OG0003641	XP_031809372.1, XP_031809371.1	XP_012597059.1, XP_012597060.1, XP_012597061.1
OG0003642	XP_031813228.1, XP_031813179.1, XP_031813177.1	XP_012634764.1
OG0003643	XP_003761816.1	XP_012625554.1
OG0003644	XP_003757573.3	XP_012639963.1
OG0003645	XP_012408911.1	XP_012612407.1
OG0003646	XP_031814206.1, XP_031814207.1	XP_012594462.1, XP_012594464.1, XP_012594461.1, XP_012594463.1
OG0003647	XP_031822994.1, XP_031822993.1, XP_031822995.1	XP_012604081.1, XP_012604082.1
OG0003648	XP_031821547.1	XP_012602884.1
OG0003649	XP_031798890.1	XP_012645009.1, XP_012644999.1
OG0003650	XP_012400274.1	XP_012606551.1
OG0003652	XP_031817652.1, XP_003762196.1, XP_031817656.1	XP_012625175.1
OG0003653	XP_031809471.1	XP_012641811.1
OG0003654	XP_003758854.1	XP_012613482.1
OG0003655	XP_012396517.1, XP_003763843.1	XP_012604677.1
OG0003656	XP_031805086.1, XP_003759249.1	XP_020138168.1, XP_020138169.1
OG0003657	XP_031811595.1	XP_012625031.1
OG0003658	XP_031806316.1	XP_012610861.1, XP_012610851.1
OG0003659	XP_031821299.1	XP_012631694.1
OG0003661	XP_031811162.1	XP_012640711.1
OG0003662	XP_023358623.2	XP_012633164.1
OG0003663	XP_031815917.1	XP_012629097.1
OG0003664	XP_003767426.1	XP_012600754.1
OG0003665	XP_031800027.1, XP_031800028.1	XP_012641181.1
OG0003666	XP_031798451.1, XP_031798449.1	XP_012613012.1, XP_012613013.1
OG0003667	XP_003766845.3	XP_012616721.1, XP_012616722.1, XP_012616723.1
OG0003668	XP_031818317.1, XP_031818316.1	XP_012606011.1
OG0003669	XP_031823975.1	XP_012592376.1
OG0003670	XP_003764185.1, XP_023355171.1, XP_031816004.1	XP_012628984.1
OG0003671	XP_012402835.1, XP_012402805.2	XP_012614752.1, XP_012614754.1, XP_020137205.1, XP_012614733.1
OG0003672	XP_031819467.1	XP_020137124.1, XP_012619704.1
OG0003673	XP_012403285.1, XP_012403284.1, XP_012403286.1	XP_012616022.1, XP_012616014.1
OG0003674	XP_031822890.1, XP_031822888.1, XP_031822889.1	XP_012606729.1
OG0003675	XP_012398337.2	XP_012619659.1, XP_012619658.1, XP_012619657.1
OG0003676	XP_031799955.1, XP_031799956.1	XP_012633637.1
OG0003677	XP_031822447.1, XP_003768057.1	XP_012646716.1
OG0003678	XP_003755862.1	XP_012608108.1
OG0003679	XP_003760908.1	XP_012617215.1
OG0003680	XP_003764808.3, XP_003764807.2	XP_012641894.2
OG0003680	XP_012400863.1	XP_012641893.1
OG0003681	XP_003773908.1, XP_003773907.1	XP_020142457.1, XP_012602128.2, XP_012602110.1
OG0003682	XP_003774608.1, XP_003774607.1	XP_020142411.1, XP_012643267.2, XP_012643268.2
OG0003683	XP_012409208.1, XP_003757214.2	XP_012599616.1
OG0003684	XP_003764156.1	XP_012611353.1
OG0003686	XP_031819161.1	XP_012609695.1
OG0003687	XP_031817614.1	XP_012609877.1
OG0003688	XP_031817666.1, XP_031817485.1	XP_012630225.1, XP_012630226.1, XP_012630224.1
OG0003689	XP_031801907.1	XP_020137899.1, XP_012600885.2
OG0003690	XP_031802603.1	XP_020137821.1
OG0003691	XP_003760137.3	XP_020137799.1, XP_020137800.1, XP_020137801.1
OG0003692	XP_031802546.1	XP_020137897.1, XP_020137895.1, XP_020137896.1, XP_012603847.2, XP_020137894.1
OG0003693	XP_031802044.1, XP_031802043.1	XP_012629907.1
OG0003694	XP_003760019.1	XP_012600925.1
OG0003695	XP_031820104.1	XP_020142792.1
OG0003696	XP_031793487.1, XP_031793488.1	XP_012596367.1
OG0003697	XP_003769632.1	XP_012615134.1
OG0003698	XP_031793358.1	XP_012632268.1
OG0003700	XP_031799558.1	XP_012626354.1
OG0003701	XP_031807429.1, XP_031807435.1	XP_012602600.1, XP_012602599.1, XP_012602602.1
OG0003703	XP_003761854.1	XP_012625593.1
OG0003707	XP_031817634.1, XP_031817635.1, XP_031819337.1, XP_031819327.1, XP_031819334.1, XP_031819333.1, XP_012401275.1	XP_012630987.1
OG0003708	XP_031819348.1, XP_031819347.1, XP_031819350.1	XP_012630985.1, XP_012630986.1
OG0003709	XP_031817626.1	XP_012609793.1, XP_012609797.1, XP_012609798.1, XP_012609796.1, XP_012609795.1
OG0003710	XP_031819061.1	XP_012616859.1
OG0003712	XP_031819114.1	XP_012613940.1, XP_012613938.1
OG0003713	XP_031810245.1	XP_020138875.1
OG0003714	XP_012399510.1	XP_012608021.1
OG0003717	XP_031795470.1	XP_020139660.1
OG0003718	XP_003759510.1	XP_012639045.1
OG0003719	XP_031810334.1, XP_031810332.1, XP_031810333.1, XP_012409244.1	XP_012619876.1, XP_012619875.1
OG0003720	XP_031817393.1	XP_020136441.1
OG0003721	XP_031818471.1, XP_031818472.1	XP_012605962.1
OG0003722	XP_031818488.1	XP_012606083.1
OG0003723	XP_003759921.1	XP_012639828.1
OG0003724	XP_023351568.1, XP_023351567.1	XP_012622223.1, XP_012622224.1
OG0003725	XP_012398111.1	XP_012620011.1
OG0003726	XP_003755575.1, XP_012397935.1, XP_012397939.1	XP_012644330.1
OG0003727	XP_012397830.1	XP_012618784.1
OG0003728	XP_031812615.1	XP_012593810.1
OG0003732	XP_023361816.2	XP_012609364.1
OG0003734	XP_012402266.1	XP_012622171.1, XP_012622170.1
OG0003735	XP_012403410.1	XP_012593726.1
OG0003736	XP_031822758.1, XP_031822757.1	XP_012619795.1, XP_012631484.1, XP_012631483.1
OG0003737	XP_031812754.1	XP_012618180.1
OG0003738	XP_012403422.1	XP_012618044.1
OG0003739	XP_031812284.1	XP_012615402.1
OG0003740	XP_031809623.1	XP_012642787.1
OG0003741	XP_023362328.1	XP_012642757.1
OG0003742	XP_003759176.1	XP_012612433.1
OG0003743	XP_031809466.1, XP_031809467.1	XP_012620415.1
OG0003744	XP_031809416.1, XP_031809417.1	XP_012596337.1, XP_012596336.1
OG0003745	XP_003764158.1, XP_023355144.1, XP_003764161.1	XP_012645288.2, XP_012611301.2
OG0003746	XP_023355328.1	XP_012595081.1
OG0003747	XP_031816803.1	XP_012638754.1
OG0003748	XP_003764206.3	XP_012628987.1, XP_020142333.1, XP_012628986.1
OG0003749	XP_003764212.2	XP_012629007.1, XP_012629006.1, XP_012629005.1
OG0003750	XP_012400431.1, XP_003764221.1	XP_012629065.1
OG0003751	XP_023355206.2, XP_023355207.2	XP_012629147.1
OG0003753	XP_031813210.1	XP_012634633.1
OG0003754	XP_003768849.1	XP_012634871.1, XP_012634873.1, XP_012634872.1
OG0003755	XP_031821386.1	XP_012632971.2
OG0003756	XP_031823732.1, XP_031823733.1	XP_020136853.1
OG0003757	XP_003767333.1, XP_012403014.1	XP_012622577.2
OG0003758	XP_023357454.1, XP_003767350.1	XP_012640586.1
OG0003759	XP_031824408.1	XP_012631743.2
OG0003760	XP_031818931.1, XP_031818932.1	XP_012631836.1
OG0003761	XP_003765269.1, XP_031818796.1	XP_012646960.1, XP_012646961.1
OG0003762	XP_031818778.1	XP_020137436.1
OG0003763	XP_012395831.1	XP_012592568.2
OG0003764	XP_031806042.1	XP_012620094.1
OG0003765	XP_031823760.1	XP_012619523.1
OG0003766	XP_012405731.1	XP_012614940.1, XP_012614939.1, XP_012614938.1
OG0003767	XP_012404262.1	XP_012614452.1
OG0003768	XP_031796451.1	XP_012614493.1, XP_012614494.1
OG0003769	XP_012398226.1	XP_012614321.1
OG0003770	XP_031818334.1, XP_031818347.1, XP_031818341.1	XP_012614295.1
OG0003772	XP_031801442.1	XP_012635583.1
OG0003773	XP_031797886.1	XP_020136988.1
OG0003774	XP_003762168.2	XP_012599132.1
OG0003775	XP_031818257.1	XP_012599321.1
OG0003776	XP_023353579.1, XP_031801648.1, XP_012398733.1, XP_003762043.1	XP_020137189.1
OG0003777	XP_003767266.1	XP_012646347.2
OG0003778	XP_031825211.1	XP_012646302.1
OG0003779	XP_031798496.1, XP_031798587.1, XP_031795585.1, XP_031798419.1, XP_031798658.1, XP_031795613.1	XP_012619604.1
OG0003780	XP_023357696.1, XP_031793122.1	XP_012616466.1
OG0003781	XP_003768058.1	XP_012646717.1
OG0003782	XP_012399936.1	XP_012608159.1
OG0003783	XP_031792988.1	XP_012599841.1, XP_012599842.1
OG0003784	XP_031793148.1	XP_012637186.1
OG0003785	XP_031793224.1	XP_020140009.1
OG0003786	XP_031792817.1	XP_012628037.1
OG0003787	XP_031822849.1	XP_012606701.1
OG0003788	XP_031822622.1, XP_031822624.1, XP_031822620.1, XP_031822623.1, XP_031822621.1	XP_012623411.1
OG0003789	XP_031822589.1	XP_020141113.1
OG0003790	XP_031802292.1	XP_020137773.1
OG0003791	XP_031808387.1, XP_031808386.1	XP_012597432.1, XP_012597439.1
OG0003793	XP_031808162.1	XP_012594032.2
OG0003794	XP_031808500.1	XP_020141353.1
OG0003795	XP_031808221.1, XP_031808220.1	XP_012629418.1
OG0003796	XP_003756204.1	XP_012594066.1, XP_012594065.1
OG0003797	XP_003768921.1	XP_020136760.1
OG0003798	XP_023358442.2	XP_012611639.2
OG0003799	XP_003768724.2	XP_012611720.1
OG0003800	XP_003768519.1	XP_012634241.1
OG0003801	XP_012403992.2	XP_012634171.1
OG0003802	XP_031821799.1	XP_012602843.1, XP_020136730.1, XP_012602841.1, XP_012602842.1, XP_012602840.1
OG0003803	XP_003768448.1, XP_012403879.1	XP_012642182.1, XP_012642181.1
OG0003804	XP_031822084.1	XP_012621294.1, XP_012621293.1
OG0003805	XP_031821952.1, XP_031821951.1	XP_012645144.1
OG0003806	XP_031822316.1	XP_012617561.1, XP_012617497.1
OG0003807	XP_012403502.3	XP_012603884.1, XP_012627487.1
OG0003808	XP_031823577.1	XP_012596139.1, XP_012596142.1, XP_012596140.1
OG0003809	XP_031823579.1	XP_012596145.1
OG0003810	XP_031813236.1	XP_012634779.1, XP_012634778.1
OG0003811	XP_031807808.1	XP_020145163.1
OG0003812	XP_031810778.1	XP_012637465.1
OG0003813	XP_031810734.1	XP_012599517.1
OG0003814	XP_031810583.1	XP_012627538.1
OG0003815	XP_012409157.1	XP_012627264.1, XP_012627263.1, XP_012627262.1
OG0003816	XP_012409134.1	XP_012627239.1
OG0003817	XP_003757145.1	XP_012627244.1, XP_012627245.1
OG0003818	XP_031796958.1	XP_012632525.1, XP_012632524.1, XP_012632522.1, XP_012632523.1, XP_012632521.1
OG0003819	XP_031794837.1	XP_012644211.1, XP_012644209.1
OG0003820	XP_031796020.1	XP_012606449.1
OG0003821	XP_031794988.1	XP_012612518.1
OG0003822	XP_031796890.1	XP_012597344.1
OG0003823	XP_003765703.1	XP_012642477.1
OG0003824	XP_003765692.1	XP_012642444.1
OG0003825	XP_031806411.1, XP_023350685.1, XP_031806409.1, XP_031806412.1, XP_031806413.1, XP_031806414.1	XP_012620352.1
OG0003827	XP_031809644.1	XP_012642834.1
OG0003828	XP_012399495.1	XP_020145794.1
OG0003829	XP_031802691.1	XP_012625098.1, XP_012625097.1
OG0003830	XP_031799207.1	XP_012619838.2, XP_012628114.1
OG0003831	XP_031792887.1	XP_012624544.1
OG0003832	XP_003761425.2	XP_012624503.1
OG0003833	XP_012398559.2	XP_012624455.1
OG0003834	XP_031799032.1	XP_012592164.1
OG0003835	XP_031810533.1, XP_031810534.1	XP_012624354.1, XP_012615792.1
OG0003836	XP_003769080.1	XP_012616268.1, XP_012616265.1, XP_012616267.1, XP_012616266.1
OG0003837	XP_031820598.1	XP_012600259.1
OG0003838	XP_003768930.1	XP_012591769.1, XP_012591768.1, XP_012591767.1
OG0003839	XP_012404361.1	XP_012596464.1
OG0003840	XP_031820898.1	XP_012602217.1
OG0003841	XP_003769052.1	XP_012602266.1
OG0003842	XP_003769136.1	XP_012598844.1
OG0003843	XP_023358798.1	XP_020142729.1
OG0003844	XP_031820524.1	XP_012642492.1
OG0003845	XP_003769670.1	XP_012637989.1, XP_012637990.1
OG0003846	XP_031802913.1	XP_020144526.1, XP_020144524.1, XP_020144525.1, XP_012617477.2
OG0003847	XP_031802980.1	XP_012641750.1
OG0003850	XP_023352411.1, XP_003760574.1, XP_023352412.1	XP_012615553.1
OG0003851	XP_031798198.1	XP_020139891.1
OG0003852	XP_031799984.1	XP_012641366.1
OG0003853	XP_031794875.1	XP_012644583.1
OG0003854	XP_031795812.1	XP_012635018.1
OG0003856	XP_031807545.1	XP_012633016.1
OG0003857	XP_031807569.1	XP_012633021.1
OG0003859	XP_003755842.2	XP_012608248.1
OG0003860	XP_031818200.1	XP_012611038.1, XP_012603933.1
OG0003861	XP_031805621.1	XP_012629808.2, XP_012631575.1
OG0003863	XP_031796295.1	XP_012630695.1
OG0003864	XP_031793762.1	XP_012628100.1, XP_012628099.1
OG0003865	XP_031798649.1, XP_031798648.1	XP_012639250.1, XP_012639249.1
OG0003866	XP_012407582.1	XP_012616177.1, XP_012591029.1
OG0003867	XP_031803355.1, XP_031803351.1	XP_012646127.1
OG0003868	XP_023360724.1	XP_012623599.1
OG0003869	XP_031795130.1	XP_012623556.1, XP_012623555.1, XP_020145281.1
OG0003870	XP_023360769.2, XP_031795328.1	XP_012641683.1, XP_012641682.1, XP_012641684.1
OG0003871	XP_023360785.1	XP_012641741.1
OG0003872	XP_031806539.1	XP_012631193.1
OG0003873	XP_003769898.1	XP_012617324.1, XP_020140010.1, XP_012617321.1, XP_012617319.1, XP_012617322.1, XP_012617318.1, XP_012617323.1, XP_012617325.1
OG0003874	XP_031823290.1, XP_031823289.1, XP_023359277.2, XP_031823287.1	XP_012617414.1
OG0003875	XP_031805415.1	XP_012643537.2
OG0003876	XP_031807310.1, XP_031807311.1, XP_031807309.1	XP_012643570.1, XP_012643569.1
OG0003877	XP_031806222.1	XP_020144195.1
OG0003878	XP_003758373.1	XP_012612110.1
OG0003879	XP_031803340.1	XP_012598276.1
OG0003880	XP_031805664.1	XP_012629789.1
OG0003881	XP_031805659.1	XP_012629780.1, XP_012629779.1
OG0003882	XP_031805558.1	XP_012611783.1, XP_012611780.1
OG0003883	XP_031823192.1	XP_012633869.1
OG0003884	XP_031823213.1	XP_012617252.1, XP_012617251.1
OG0003885	XP_031823277.1, XP_003769935.1	XP_012617373.1
OG0003886	XP_003769965.2	XP_020139721.1
OG0003887	XP_031823400.1	XP_012623070.1, XP_012623071.1
OG0003889	XP_031812883.1	XP_012596996.1
OG0003890	XP_031794549.1	XP_012602658.1
OG0003891	XP_003771508.1	XP_012634956.1
OG0003892	XP_031794518.1	XP_020145390.1
OG0003893	XP_003773714.1	XP_012595303.1, XP_012595304.1
