Orthogroup	Sarcophilus_harrisii	Echinops_telfairi
OG0001199	XP_031820451.1, XP_003769286.1	XP_045150616.1
OG0001200	XP_012404706.1, XP_012404705.1, XP_003769379.1	XP_004696290.1
OG0001201	XP_031800653.1, XP_031817918.1	XP_030742715.1, XP_004716736.1
OG0001202	XP_031805053.1	XP_004696156.1
OG0001202	XP_031798671.1	XP_045140111.1
OG0001203	XP_003771965.1	XP_004702705.1
OG0001204	XP_012406866.1	XP_004702789.1
OG0001205	XP_031808861.1	XP_045142214.1
OG0001206	XP_012401337.1, XP_012401334.1, XP_003765416.1, XP_031818026.1	XP_045154904.1, XP_045154905.1, XP_045154907.1, XP_004705352.1, XP_045154906.1
OG0001207	XP_031818193.1, XP_012401454.1, XP_031818192.1, XP_031818191.1, XP_031798850.1	XP_045155074.1
OG0001208	XP_031810855.1	XP_030740798.1
OG0001209	XP_003771133.1	XP_004700399.2
OG0001210	XP_003773212.1	XP_004708807.1
OG0001211	XP_031799171.1	XP_045151753.1
OG0001211	XP_031816561.1	XP_045149936.1
OG0001212	XP_003773152.1, XP_031799298.1, XP_031799297.1, XP_023361671.1	XP_045151718.1, XP_004708791.1, XP_045151716.1
OG0001213	XP_031806657.1	XP_030740519.2
OG0001214	XP_031797985.1	XP_004696198.1
OG0001215	XP_031805469.1	XP_004696105.1
OG0001215	XP_012401371.1, XP_031818091.1	XP_045155047.1, XP_004705000.1
OG0001216	XP_031798393.1	XP_045146399.1
OG0001218	XP_031816383.1, XP_031816348.1	XP_045153635.1
OG0001219	XP_012401945.1	XP_004708678.1, XP_045150976.1, XP_045150975.1
OG0001219	XP_012401659.1	XP_004704479.1
OG0001220	XP_003766509.2	XP_004712145.1
OG0001222	XP_031809917.1	XP_045151079.1
OG0001223	XP_023351386.1, XP_031801156.1, XP_003775225.1	XP_012863720.2
OG0001224	XP_031807490.1	XP_045151144.1
OG0001225	XP_012395154.1, XP_031807495.1, XP_003757732.1, XP_031807494.1, XP_031807496.1	XP_045151145.1, XP_004698117.1
OG0001226	XP_031806735.1, XP_031806737.1, XP_031806736.1, XP_031806734.1	XP_004707652.1
OG0001227	XP_003772253.2	XP_045143155.1
OG0001228	XP_031793647.1	XP_045152290.1
OG0001229	XP_023360318.1, XP_031794136.1, XP_003771297.1, XP_023360319.1	XP_004708286.1, XP_045151960.1
OG0001230	XP_031794128.1, XP_031794127.1, XP_003771267.1	XP_004708182.1, XP_030743097.1
OG0001231	XP_031793964.1	XP_004700252.1
OG0001233	XP_031796042.1	XP_030740603.1
OG0001234	XP_023350428.1, XP_012395594.1, XP_023350433.1, XP_012395608.1, XP_012395588.1, XP_003755235.1, XP_012395592.1, XP_023350402.1, XP_012395597.1	XP_045139601.1
OG0001235	XP_031811006.1, XP_031811007.1	XP_004709472.1, XP_045142475.1
OG0001236	XP_031811069.1, XP_031811070.1	XP_004709491.1
OG0001238	XP_012398396.1	XP_004709519.1
OG0001239	XP_012398841.1, XP_031811199.1, XP_012398844.1	XP_004718145.2
OG0001240	XP_031812482.1, XP_031812483.1, XP_031812484.1	XP_045141602.1
OG0001241	XP_012399852.1	XP_045140589.1, XP_045140590.1, XP_045140588.1
OG0001242	XP_023361494.2	XP_012859428.2
OG0001243	XP_003774554.1	XP_004703475.1
OG0001243	XP_003774556.1	XP_004703474.1
OG0001244	XP_031823980.1, XP_031824620.1	XP_004713534.1, XP_004713535.1
OG0001245	XP_031813483.1	XP_004704158.1, XP_045153515.1, XP_045153514.1
OG0001246	XP_003762791.1	XP_004712573.1, XP_045151720.1
OG0001247	XP_012403072.1	XP_045154050.1
OG0001248	XP_023362809.1	XP_004717693.1
OG0001249	XP_031800986.1	XP_004710091.1
OG0001249	XP_003765635.1, XP_023356113.1	XP_004710033.1, XP_045146646.1
OG0001250	XP_012401545.1, XP_012401544.1	XP_045146671.1, XP_004710020.1, XP_045150990.1, XP_045150991.1, XP_045150992.1
OG0001251	XP_031800850.1	XP_004717851.1
OG0001252	XP_003760463.1, XP_031803130.1, XP_012397308.1, XP_031803134.1, XP_031803137.1, XP_031803132.1, XP_031803135.1, XP_031803136.1, XP_031803138.1, XP_031803139.1, XP_031803133.1, XP_031803140.1	XP_004697431.1
OG0001253	XP_031800019.1	XP_004708310.1
OG0001254	XP_031825176.1	XP_045152586.1, XP_045149162.1
OG0001254	XP_031811173.1	XP_045141634.1
OG0001255	XP_031822718.1, XP_031822710.1, XP_031822725.1, XP_031822703.1	XP_004703609.1
OG0001256	XP_031809698.1, XP_031809696.1, XP_031809699.1	XP_004696910.1, XP_030744661.1
OG0001257	XP_031804854.1	XP_045147202.1
OG0001258	XP_031797180.1	XP_004708772.2
OG0001260	XP_023350298.1, XP_031807438.1, XP_031807439.1	XP_004698105.1
OG0001261	XP_023362076.1	XP_004708323.1
OG0001262	XP_012397634.1	XP_004705308.1
OG0001262	XP_012397635.1	XP_030742001.1
OG0001263	XP_031812609.1	XP_004709257.1
OG0001264	XP_012408588.2	XP_004697929.1, XP_004697930.1, XP_004697931.1, XP_030742858.1, XP_004698235.1
OG0001265	XP_003770768.2	XP_045153985.1, XP_045146173.1, XP_030742270.1
OG0001266	XP_031824119.1	XP_004699386.1
OG0001267	XP_012407137.1, XP_012407136.1	XP_004716988.2, XP_004716964.1, XP_004716987.3
OG0001268	XP_003764814.1, XP_031813119.1, XP_003764810.2	XP_012864014.1, XP_004717535.1
OG0001269	XP_003764779.1, XP_003764795.4, XP_031813115.1	XP_004717540.1
OG0001270	XP_031819764.1	XP_045148599.1, XP_045148894.1, XP_045148895.1
OG0001271	XP_003757728.1	XP_045151415.1
OG0001271	XP_031802555.1	XP_045152010.1
OG0001272	XP_031806888.1	XP_045151190.1
OG0001272	XP_031819754.1	XP_045141208.1, XP_004710461.1
OG0001273	XP_031819132.1	XP_045148953.1
OG0001274	XP_031818988.1	XP_030742221.1
OG0001275	XP_031810223.1	XP_004715885.1
OG0001276	XP_012409504.1, XP_031810787.1	XP_004714501.1
OG0001277	XP_003756738.1	XP_045140829.1, XP_045140827.1, XP_045140830.1, XP_045140828.1
OG0001278	XP_031809335.1, XP_003756744.1	XP_004697119.1
OG0001279	XP_003759923.1, XP_031822931.1	XP_004703563.1, XP_045141044.1, XP_045141043.1
OG0001280	XP_031811560.1	XP_004708268.1
OG0001281	XP_012395098.1, XP_031807583.1	XP_004713268.1
OG0001282	XP_031812233.1, XP_031805230.1	XP_004713031.1
OG0001284	XP_003756893.1	XP_004696859.1, XP_045140814.1
OG0001284	XP_031811575.1	XP_045147439.1
OG0001285	XP_003759951.1	XP_045141293.1, XP_030744725.1
OG0001286	XP_031799311.1	XP_004699277.2, XP_045140055.1
OG0001287	XP_031816031.1, XP_031816032.1, XP_031794167.1	XP_004716327.1
OG0001289	XP_031823689.1	XP_004703105.1
OG0001290	XP_031818926.1, XP_031818925.1	XP_004705279.1, XP_045154976.1
OG0001291	XP_003765228.1	XP_004705267.1, XP_004713123.1, XP_004713122.1
OG0001292	XP_031805881.1, XP_031805882.1	XP_004704624.1
OG0001293	XP_031795878.1, XP_003761638.1	XP_004705709.2
OG0001294	XP_012398632.1, XP_023353499.1, XP_031801486.1, XP_023353500.1	XP_045144303.1, XP_004705883.2
OG0001295	XP_031793016.1	XP_004699872.1
OG0001296	XP_012403275.2	XP_045154125.1
OG0001297	XP_031805344.1	XP_045145979.1, XP_045139735.1, XP_004713914.1, XP_045140323.1
OG0001298	XP_012400182.1	XP_045143545.1, XP_004698529.1, XP_045143544.1
OG0001299	XP_023350118.1	XP_045145221.1
OG0001300	XP_031810789.1	XP_045145163.1
OG0001301	XP_031810625.1	XP_045144450.1
OG0001302	XP_031795346.1, XP_023359967.1, XP_031795345.1	XP_004700682.1
OG0001303	XP_031806420.1, XP_031806422.1, XP_031806421.1	XP_004710240.1, XP_045150125.1, XP_045150126.1
OG0001304	XP_003759558.1	XP_030744746.2
OG0001305	XP_031809218.1, XP_031809221.1, XP_031809219.1, XP_031809220.1	XP_045141070.1, XP_004696708.1
OG0001306	XP_031804128.1	XP_004717067.1
OG0001306	XP_012398093.2	XP_004712479.1
OG0001308	XP_031820935.1	XP_045148699.1
OG0001309	XP_031820747.1	XP_004710816.1
OG0001310	XP_031820727.1	XP_004710910.1
OG0001311	XP_003769122.1	XP_045150703.1
OG0001312	XP_031801059.1	XP_004696421.1, XP_045153875.1, XP_045151969.1, XP_004717695.1
OG0001313	XP_003769227.1, XP_023358828.1, XP_031820552.1, XP_023358829.1, XP_023358832.1, XP_031820551.1	XP_004696390.1
OG0001314	XP_031811163.1	XP_045152226.1
OG0001314	XP_003755737.1	XP_004698572.1, XP_004712067.3, XP_004711357.1
OG0001315	XP_031796470.1	XP_045144946.1, XP_004702778.1, XP_045144947.1
OG0001316	XP_031825062.1	XP_045147747.1, XP_004699527.1, XP_012863805.1
OG0001317	XP_003771076.1	XP_004700449.1
OG0001318	XP_003773202.1	XP_045151760.1, XP_004708757.1, XP_045151759.1, XP_045151761.1
OG0001321	XP_003773060.1	XP_012863500.1
OG0001322	XP_031805463.1	XP_004696446.1
OG0001324	XP_031823347.1	XP_004716660.1
OG0001325	XP_031823365.1	XP_045151622.1, XP_045151621.1, XP_045151620.1, XP_045151623.1
OG0001326	XP_023354416.1, XP_031807815.1, XP_031807810.1	XP_004708082.1
OG0001327	XP_003771546.1	XP_045144827.1
OG0001329	XP_023362554.1	XP_045147058.1
OG0001330	XP_031799450.1	XP_045146358.1
OG0001330	XP_031799451.1	XP_045146359.1
OG0001331	XP_031798402.1	XP_045153277.1, XP_045153278.1
OG0001332	XP_031799482.1	XP_045153163.1, XP_004713629.1
OG0001334	XP_023353955.1, XP_031811135.1, XP_012399054.1	XP_030741473.2
OG0001336	XP_031803873.1, XP_031803872.1, XP_031803868.1, XP_031803874.1, XP_031803870.1, XP_031803871.1	XP_004717054.1
OG0001337	XP_031824633.1	XP_045153526.1
OG0001338	XP_023350456.1, XP_012395403.1, XP_012395402.1	XP_045151385.1, XP_004697909.1
OG0001339	XP_031798661.1, XP_012407894.1	XP_004718160.2
OG0001340	XP_031816613.1, XP_031816612.1	XP_045149994.1
OG0001341	XP_031816629.1, XP_031816628.1	XP_004715458.1
OG0001342	XP_003761196.1	XP_030743283.2
OG0001343	XP_031804673.1	XP_004715393.2
OG0001344	XP_031804793.1	XP_012863797.1
OG0001345	XP_003771419.1	XP_045143272.1, XP_045143273.1
OG0001347	XP_012407029.1	XP_004716950.1
OG0001348	XP_003759259.1, XP_031812551.1, XP_031812552.1	XP_004701051.1
OG0001349	XP_031811574.1	XP_045147378.1, XP_004701044.1, XP_045147379.1
OG0001350	XP_031811697.1, XP_031811696.1, XP_031811695.1, XP_003755432.1	XP_004700984.1
OG0001351	XP_003755416.1, XP_031811706.1, XP_031811704.1, XP_031811705.1	XP_045147204.1, XP_004700983.1
OG0001352	XP_031808094.1	XP_045142441.1
OG0001353	XP_031812458.1	XP_004712092.1
OG0001354	XP_023361510.1, XP_003772973.1	XP_045140265.1
OG0001355	XP_031813381.1, XP_031813379.1, XP_031813380.1	XP_004712392.3
OG0001356	XP_031819447.1	XP_045143517.1
OG0001357	XP_031802700.1, XP_003760220.1, XP_023352097.1, XP_023352096.1, XP_023352094.1	XP_012860379.1, XP_045154615.1
OG0001358	XP_003764109.1, XP_023355106.1, XP_023355105.1, XP_023355111.1, XP_023355110.1, XP_031816166.1	XP_004701551.1
OG0001361	XP_003763548.1, XP_023354694.1, XP_031815339.1, XP_023354695.1	XP_045146658.1, XP_004709970.1
OG0001362	XP_012401587.1, XP_023356158.1	XP_045144257.1, XP_004713249.1
OG0001363	XP_031816682.1	XP_004713205.1, XP_045150518.1
OG0001365	XP_012408637.1	XP_004717633.1, XP_045139723.1
OG0001372	XP_031815240.1	XP_045144212.1
OG0001372	XP_031815244.1	XP_004713284.1
OG0001373	XP_031799114.1	XP_045153086.1
OG0001373	XP_031804435.1	XP_004709635.1, XP_012864064.1
OG0001374	XP_023350449.1, XP_012395374.1	XP_045150064.1, XP_045150063.1
OG0001375	XP_031812960.1	XP_030740346.2, XP_030741151.1
OG0001376	XP_031794143.1	XP_004713005.1
OG0001377	XP_023350027.1	XP_045143391.1, XP_045144547.1
OG0001378	XP_031825020.1, XP_003761430.2	XP_045148012.1, XP_030741223.1
OG0001380	XP_003771997.1	XP_030742816.1
OG0001381	XP_012402497.1	XP_004717826.1
OG0001381	XP_031795895.1	XP_004708619.1
OG0001382	XP_012398360.1, XP_003761680.1, XP_031795353.1, XP_003761681.3, XP_012398358.1	XP_045144461.1
OG0001383	XP_003770901.1	XP_004700516.1, XP_004700515.1, XP_004700514.1
OG0001384	XP_003767952.2, XP_003767953.1	XP_004714783.2, XP_045154381.1, XP_004714781.1
OG0001384	XP_012403480.1	XP_004714782.1
OG0001385	XP_031822458.1, XP_012403572.1, XP_031822459.1	XP_045151569.1, XP_004717745.1, XP_004714679.1
OG0001386	XP_031794064.1, XP_031794066.1, XP_003771746.1	XP_004714037.1, XP_004714038.1
OG0001387	XP_031799544.1, XP_003773965.2, XP_003773963.2	XP_045152992.1
OG0001389	XP_003772524.3, XP_012407135.1	XP_004700647.1
OG0001389	XP_012407309.1, XP_012407134.1, XP_003772506.1, XP_003772507.1, XP_003772505.3, XP_031797109.1, XP_031797108.1	XP_004717882.1
OG0001390	XP_012400571.1	XP_030744273.1, XP_004716320.1
OG0001391	XP_012409142.2, XP_012409143.2	XP_004712630.2
OG0001392	XP_012400878.2, XP_031813137.1, XP_031813136.1	XP_004717553.1
OG0001394	XP_012407174.1	XP_004717642.1
OG0001394	XP_012395732.1	XP_004707347.1, XP_004706925.1
OG0001395	XP_012398109.1	XP_004701956.1, XP_030742443.2
OG0001396	XP_031799453.1	XP_045148318.1, XP_004717264.1
OG0001398	XP_031810266.1	XP_004704763.1, XP_045149743.1
OG0001399	XP_031795699.1	XP_045156134.1
OG0001400	XP_023361227.1	XP_045140559.1, XP_045140558.1
OG0001401	XP_031809350.1, XP_031809351.1	XP_045140847.1
OG0001401	XP_031797425.1	XP_004715188.1
OG0001402	XP_023355614.1, XP_003765001.1	XP_004705146.1
OG0001403	XP_031818408.1	XP_004705399.1
OG0001404	XP_031815633.1	XP_045153752.1
OG0001404	XP_031818499.1	XP_012860746.1
OG0001405	XP_031812634.1	XP_045141768.1, XP_004699772.1
OG0001406	XP_031822268.1, XP_031822277.1	XP_030744793.2
OG0001407	XP_012397723.1	XP_045152408.1, XP_004709952.1
OG0001408	XP_031811541.1	XP_004708143.1
OG0001410	XP_031816069.1, XP_031816072.1	XP_045146184.1
OG0001411	XP_031813197.1	XP_004716205.1
OG0001411	XP_031804960.1	XP_004716399.2
OG0001412	XP_003757893.1	XP_045154312.1, XP_030742407.2, XP_045139787.1, XP_004696216.1, XP_045153293.1
OG0001413	XP_031806076.1, XP_031806077.1	XP_045149578.1
OG0001415	XP_031823481.1	XP_045155741.1
OG0001415	XP_031801582.1	XP_045140103.1
OG0001416	XP_031823077.1	XP_045148038.1
OG0001417	XP_003770113.1	XP_004705624.1
OG0001418	XP_031797179.1, XP_031797156.1, XP_031797171.1, XP_031797184.1, XP_031797162.1	XP_004705597.2
OG0001419	XP_031823488.1	XP_045155911.1
OG0001419	XP_031797302.1	XP_045139738.1
OG0001420	XP_003761546.1	XP_045140911.1
OG0001421	XP_031795672.1, XP_031795685.1, XP_031795693.1, XP_031795678.1, XP_031795663.1	XP_045140971.1
OG0001422	XP_012398788.1	XP_004706106.1
OG0001423	XP_031801445.1	XP_004705775.2
OG0001423	XP_031821528.1	XP_012861292.2
OG0001424	XP_031824738.1	XP_004699393.1
OG0001425	XP_031793133.1	XP_012859394.3
OG0001426	XP_003756600.1	XP_004699173.1
OG0001426	XP_031822920.1	XP_004699994.1
OG0001427	XP_003768146.1, XP_023358049.1	XP_004714772.1
OG0001428	XP_003768526.1	XP_004709206.1, XP_045150873.1, XP_004703206.1, XP_004700048.1
OG0001429	XP_003759593.1	XP_012860237.1
OG0001430	XP_031800313.1, XP_031801142.1	XP_004718114.1
OG0001431	XP_031809060.1, XP_012405570.1, XP_031809059.1	XP_045143410.1, XP_004699182.1
OG0001432	XP_031808741.1	XP_045143710.1
OG0001433	XP_003768723.1	XP_004711044.1, XP_004718043.2, XP_045155447.1
OG0001434	XP_023358247.1, XP_031821856.1, XP_023358246.1	XP_045155825.1, XP_045155824.1, XP_004707285.1
OG0001435	XP_031821890.1, XP_031821891.1, XP_031821889.1	XP_045155520.1
OG0001436	XP_003768017.1	XP_012861309.1
OG0001436	XP_031796762.1	XP_030744490.2
OG0001437	XP_003768007.1	XP_004707086.1
OG0001438	XP_003772199.1	XP_004700615.1, XP_045146090.1, XP_045146092.1, XP_045146088.1
OG0001439	XP_012405918.1, XP_012405919.1	XP_045152351.1, XP_045146842.1, XP_045146832.1
OG0001440	XP_031794404.1	XP_045148331.1
OG0001441	XP_003758267.1	XP_004710310.1
OG0001442	XP_031820666.1	XP_004710840.1
OG0001443	XP_031820634.1, XP_031820632.1, XP_031820633.1, XP_031820631.1, XP_031820636.1, XP_031820635.1	XP_045150733.1
OG0001444	XP_031803219.1, XP_031803218.1, XP_031805110.1, XP_031803220.1, XP_031803217.1	XP_004697405.1
OG0001445	XP_012398907.1	XP_004696933.1, XP_045140822.1, XP_045140823.1, XP_045140821.1
OG0001446	XP_031794674.1, XP_031794673.1, XP_031794675.1	XP_004702640.1
OG0001447	XP_031817964.1, XP_031817963.1	XP_004705037.1
OG0001448	XP_003765383.1	XP_012860688.1
OG0001449	XP_031795091.1, XP_031795090.1	XP_045144841.1, XP_030741124.1
OG0001450	XP_012395448.1	XP_045142824.1
OG0001451	XP_023357992.1, XP_003770669.1	XP_004717753.1, XP_030741622.1, XP_030741623.1
OG0001452	XP_003767134.2	XP_045147365.1, XP_004696918.1, XP_004699521.1, XP_004706612.1, XP_004709674.1, XP_004709899.1, XP_004702516.1, XP_004710199.1, XP_030741373.1
OG0001454	XP_031799714.1	XP_030743182.1
OG0001455	XP_012399240.1, XP_012399241.1, XP_031814188.1	XP_004715313.1
OG0001456	XP_031803356.1	XP_045146286.1
OG0001457	XP_023352485.1, XP_023352483.2	XP_030744206.2, XP_045156021.1
OG0001458	XP_031797221.1, XP_012408484.1	XP_045153020.1, XP_045153027.1
OG0001459	XP_031800281.1	XP_004704324.1, XP_004713454.1
OG0001460	XP_003765848.2	XP_004709831.1, XP_012862863.1
OG0001461	XP_012398949.1, XP_012398948.1	XP_004708724.1
OG0001462	XP_012395087.1	XP_045152848.1
OG0001463	XP_031824002.1	XP_004701896.1, XP_004701897.1
OG0001465	XP_003762713.2	XP_045145559.1
OG0001465	XP_031804765.1	XP_004716780.1
OG0001466	XP_031804383.1	XP_004709650.1
OG0001467	XP_031804685.1	XP_045145595.1, XP_004715385.1
OG0001468	XP_012406944.2	XP_004711519.1
OG0001469	XP_031793580.1, XP_003772370.1, XP_012407017.1, XP_003772371.1, XP_023361153.1, XP_031793578.1, XP_031793579.1, XP_031793577.1, XP_012407015.1	XP_004716956.1, XP_045152292.1
OG0001470	XP_031813586.1	XP_004708677.2
OG0001471	XP_031820000.1	XP_030744865.2, XP_045148291.1, XP_045139600.1, XP_030742042.2
OG0001472	XP_031811946.1	XP_004701120.1
OG0001473	XP_023362438.1	XP_045140269.1
OG0001473	XP_031812553.1	XP_012859635.1
OG0001474	XP_023351550.1	XP_045147529.1, XP_045147530.1
OG0001475	XP_003756039.1, XP_031807942.1, XP_031807943.1, XP_031807944.1	XP_045143923.1, XP_004712758.1
OG0001476	XP_031812430.1, XP_031812429.1, XP_031812428.1	XP_012859795.1, XP_004712107.1
OG0001477	XP_031815156.1	XP_004711343.1
OG0001478	XP_003763424.1	XP_030744686.2
OG0001479	XP_031799110.1	XP_004703390.1
OG0001480	XP_003773010.1	XP_045140216.1
OG0001482	XP_031813470.1, XP_031813472.1	XP_045153551.1
OG0001483	XP_012405521.1, XP_003770413.1	XP_004717355.1
OG0001484	XP_003763983.2	XP_004703813.1, XP_045142197.1
OG0001485	XP_031816120.1	XP_004701572.1, XP_045152885.1, XP_045146552.1
OG0001486	XP_003766194.1	XP_004701700.1
OG0001487	XP_031792910.1, XP_003767576.1, XP_031792911.1	XP_004706716.1, XP_045154187.1, XP_045154186.1
OG0001489	XP_031800195.1	XP_045154510.1
OG0001490	XP_031800312.1	XP_004710111.1, XP_045151754.1
OG0001491	XP_023362661.1	XP_004713114.1
OG0001492	XP_012408699.1, XP_023351348.1	XP_045151905.1, XP_004713760.3
OG0001493	XP_003755880.1, XP_012400257.1	XP_004698953.1
OG0001494	XP_012395505.1	XP_045142782.1, XP_045142781.1
OG0001502	XP_012407585.1	XP_045151712.1, XP_004708798.1
OG0001503	XP_031799652.1	XP_045146172.1, XP_004696253.1
OG0001503	XP_003756509.1	XP_004696672.1
OG0001504	XP_031795425.1	XP_004700456.1, XP_045146498.1
OG0001505	XP_003757965.1, XP_031807011.1	XP_045142642.1, XP_004707805.1
OG0001507	XP_023361677.1, XP_003773163.1, XP_031799058.1	XP_045151765.1, XP_045151766.1, XP_004708783.1
OG0001508	XP_031823690.1	XP_045146758.1
OG0001510	XP_031816965.1	XP_004713463.1
OG0001511	XP_012407654.1	XP_045149485.1
OG0001512	XP_031809952.1	XP_045150115.1, XP_004697981.1, XP_045151258.1, XP_045148226.1
OG0001513	XP_023358110.1	XP_004707213.2
OG0001514	XP_012395215.1	XP_045142252.1, XP_045155709.1
OG0001515	XP_031805330.1	XP_004701237.1, XP_045147506.1
OG0001516	XP_003760860.1	XP_004714455.1
OG0001517	XP_003773833.1	XP_004708532.1, XP_004708527.1
OG0001518	XP_003764885.2, XP_031813139.1, XP_012402785.1	XP_004717139.1, XP_004717093.1, XP_004717135.2, XP_004717136.1
OG0001521	XP_003764789.1, XP_023355525.1	XP_004717587.1, XP_004717588.1
OG0001523	XP_031801800.1	XP_004703165.1
OG0001524	XP_031802543.1, XP_031802542.1, XP_023352039.1, XP_012397008.1	XP_004703902.1
OG0001525	XP_003762176.1	XP_004714513.1
OG0001526	XP_031819928.1	XP_030742250.2
OG0001527	XP_031819321.1	XP_004715730.1, XP_045155418.1
OG0001529	XP_031821437.1	XP_012861761.2
OG0001529	XP_031819312.1	XP_012862115.2
OG0001531	XP_031808133.1	XP_045144084.1
OG0001531	XP_031819729.1	XP_045148601.1
OG0001532	XP_031819094.1	XP_045148655.1
OG0001533	XP_031817472.1	XP_045148641.1, XP_004715817.1
OG0001534	XP_031809224.1, XP_003756649.1	XP_004718253.2
OG0001535	XP_031824600.1, XP_023351506.1, XP_003759395.1, XP_031824611.1, XP_012396475.1	XP_004706646.1, XP_045141023.1
OG0001536	XP_031823647.1	XP_012860342.1
OG0001537	XP_023352904.1	XP_004709924.1
OG0001538	XP_023361970.1	XP_012863673.1, XP_012863284.2
OG0001539	XP_031822105.1, XP_031822101.1	XP_004706447.1, XP_045142133.1, XP_045142134.1, XP_045142135.1
OG0001540	XP_031799627.1	XP_004706353.1
OG0001541	XP_031822796.1	XP_004712235.1
OG0001542	XP_031798900.1	XP_045140032.1
OG0001542	XP_031812300.1	XP_045147634.1
OG0001543	XP_031812224.1, XP_031812223.1, XP_031812225.1	XP_004713037.1
OG0001544	XP_031809494.1, XP_031809493.1, XP_031809495.1	XP_004696825.1
OG0001545	XP_012400393.1, XP_031816029.1, XP_031816027.1, XP_003764172.1, XP_031816028.1, XP_031816026.1, XP_031816024.1	XP_004716325.1
OG0001546	XP_003764317.1	XP_045153724.1, XP_004709049.1
OG0001547	XP_031808920.1, XP_003756511.1	XP_045140568.1, XP_030744759.2
OG0001548	XP_031813201.1, XP_031813200.1	XP_045149356.1, XP_004716206.1
OG0001549	XP_031796251.1	XP_004713003.1, XP_004713196.1
OG0001550	XP_031824781.1	XP_030741915.1
OG0001551	XP_003767026.1	XP_045155143.1
OG0001551	XP_031813156.1	XP_012860777.1
OG0001552	XP_031806030.1	XP_012859358.1
OG0001552	XP_003756972.1	XP_030742936.1
OG0001553	XP_031806118.1	XP_004704661.1
OG0001554	XP_012398323.1	XP_045141822.1
OG0001555	XP_031818711.1, XP_031818703.1, XP_031818724.1, XP_031818718.1	XP_012860913.1
OG0001556	XP_031793153.1, XP_031793154.1, XP_031793155.1	XP_004699915.1
OG0001557	XP_031822912.1	XP_045154137.1
OG0001558	XP_003767778.1	XP_004699990.1
OG0001558	XP_031822926.1	XP_004699991.1
OG0001559	XP_003760337.1	XP_030742729.1
OG0001560	XP_031809062.1	XP_045144179.1, XP_030740877.1, XP_045144180.1
OG0001561	XP_003768200.1, XP_023358087.1	XP_045155834.1, XP_045155833.1, XP_045155835.1, XP_004707555.1
OG0001562	XP_003757532.2	XP_004714497.1
OG0001563	XP_031806439.1	XP_004710313.1, XP_045150011.1, XP_045150010.1, XP_045150009.1
OG0001565	XP_003756508.1	XP_004696674.1
OG0001565	XP_031800785.1	XP_045146993.1, XP_004710131.1
OG0001566	XP_031801406.1, XP_023353457.1, XP_003761883.1	XP_004711038.1, XP_045152484.1
OG0001567	XP_012404542.3	XP_004710824.1
OG0001568	XP_031820583.1, XP_012404582.1, XP_023358804.1, XP_012404581.1, XP_031820581.1, XP_031820582.1	XP_004696410.1
OG0001569	XP_012404612.2, XP_031800464.1	XP_045150262.1
OG0001570	XP_031800489.1	XP_004714196.2, XP_004718053.1
OG0001570	XP_003769276.1	XP_045150258.1
OG0001571	XP_023358865.1	XP_004696332.1
OG0001572	XP_031820408.1	XP_004696321.1
OG0001573	XP_012399336.1, XP_031803162.1, XP_031803160.1, XP_023354197.1	XP_030740495.2, XP_004697681.2
OG0001574	XP_012397203.1, XP_031802916.1, XP_031802915.1, XP_031802917.1, XP_031802914.1, XP_031802918.1	XP_004697515.1
OG0001575	XP_031798935.1	XP_012861054.2
OG0001576	XP_031794855.1	XP_004707844.1
OG0001577	XP_012400288.2	XP_004701493.1
OG0001577	XP_031796368.1	XP_004702804.1
OG0001578	XP_031818216.1, XP_031818217.1	XP_004702785.1
OG0001579	XP_023360190.1, XP_012406058.1	XP_045146503.1, XP_004700410.1, XP_045146505.1
OG0001580	XP_031796092.1	XP_004714053.2
OG0001581	XP_031794973.1, XP_003771688.1	XP_045144683.1, XP_045144685.1, XP_045144679.1, XP_045144684.1, XP_045144680.1, XP_045144682.1, XP_045144677.1, XP_045144678.1
OG0001582	XP_031795214.1	XP_045144576.1
OG0001583	XP_012406627.1, XP_003771838.1, XP_012406626.1	XP_004702388.1
OG0001584	XP_031807138.1, XP_031807140.1, XP_031807136.1, XP_031807135.1, XP_031807134.1, XP_031807139.1	XP_045142996.1
OG0001585	XP_023361585.1	XP_004696530.1
OG0001586	XP_023357307.1, XP_003767145.1	XP_004711149.1, XP_045142995.1
OG0001587	XP_031823360.1, XP_031823359.1, XP_012405174.1, XP_003769970.1	XP_045151636.1
OG0001589	XP_031798616.1	XP_045146348.1
OG0001590	XP_031798516.1	XP_004708358.1
OG0001591	XP_031798296.1	XP_004708338.1
OG0001592	XP_031798591.1, XP_003773709.1	XP_004708316.1
OG0001593	XP_012408143.1	XP_045152998.1, XP_045152999.1, XP_004714965.1
OG0001594	XP_031798992.1	XP_045153088.1, XP_045145596.1
OG0001595	XP_031801236.1	XP_030741436.1
OG0001596	XP_031803980.1, XP_023352618.1, XP_003760843.1	XP_004714350.1
OG0001597	XP_031807519.1	XP_004698390.1
OG0001598	XP_012400540.1, XP_023355283.1	XP_004708954.1
OG0001599	XP_031817887.1	XP_045149102.1
OG0001600	XP_031797671.1, XP_003773699.1	XP_045147003.1
OG0001601	XP_003774810.1	XP_045151792.1
OG0001601	XP_023356249.1	XP_004704475.2
OG0001602	XP_031814627.1, XP_031814626.1	XP_004704484.1
OG0001603	XP_031808249.1, XP_031808259.1	XP_004708623.1
