Orthogroup	Sarcophilus_harrisii	Mesocricetus_auratus
OG0000540	XP_031795417.1	XP_040595294.1, XP_021089831.1, XP_040594068.1
OG0000541	XP_031803497.1	XP_021078605.2
OG0000542	XP_031796150.1	NP_001268543.1, XP_040584379.1
OG0000543	XP_012406609.1	XP_040597144.1, XP_040597143.1, XP_040597145.1, XP_040597146.1, XP_040597142.1
OG0000544	XP_031806605.1, XP_003758054.1	XP_005066614.1
OG0000544	XP_031812079.1	XP_005063636.1, XP_040600257.1
OG0000545	XP_003773072.1	XP_040603462.1, XP_005066726.2
OG0000545	XP_031814924.1	XP_040587777.1, XP_040588008.1, XP_040600484.1
OG0000547	XP_031799475.1, XP_031797955.1, XP_031797954.1	XP_040606289.1, XP_005064149.1
OG0000548	XP_003763903.1, XP_031815912.1, XP_031815915.1, XP_031815911.1, XP_031815914.1, XP_031815913.1	XP_021082209.1
OG0000549	XP_003760657.1	XP_040607694.1, XP_005081423.1
OG0000550	XP_031817699.1, XP_003764654.1	XP_021085151.1, XP_005073993.1, XP_040584398.1, XP_040584390.1, XP_040584401.1
OG0000551	XP_003766978.1, XP_031817328.1	XP_005074068.1
OG0000552	XP_031794342.1, XP_031794341.1	XP_040599535.1, XP_040599536.1
OG0000553	XP_031796419.1, XP_031796420.1, XP_031796418.1	XP_012966817.1, XP_040609865.1, XP_012966818.1, XP_021081139.1, XP_021081138.1
OG0000554	XP_023351726.1, XP_031802100.1, XP_012396703.1, XP_003759740.1	XP_040597336.1, XP_005066834.1
OG0000555	XP_031802840.1, XP_023352156.1, XP_003760294.1, XP_023352155.1	XP_040597047.1, XP_040597039.1
OG0000557	XP_031815093.1, XP_031815094.1	XP_040606487.1, XP_005073919.1, XP_012971658.1
OG0000558	XP_003768745.1	XP_012966028.1, XP_005066521.2, XP_040611605.1, XP_005066527.1
OG0000560	XP_031797076.1	XP_040610598.1, XP_005079761.1, XP_012975791.1
OG0000560	XP_012403726.1	XP_005087451.1
OG0000561	XP_031825028.1, XP_003761429.1	XP_021087913.1
OG0000563	XP_012402833.2	XP_040589383.1, XP_005087341.1
OG0000564	XP_031821286.1, XP_031821287.1, XP_031821289.1, XP_031821288.1	XP_012967152.1, XP_012967151.1
OG0000565	XP_003764848.1	XP_012981694.2
OG0000565	XP_031813126.1, XP_003767084.3, XP_031813125.1	XP_005074146.1
OG0000566	XP_031821303.1	NP_001268590.1
OG0000567	XP_003765622.1	XP_040599978.1, XP_040588229.1, XP_005074240.1, XP_040603965.1
OG0000568	XP_031819118.1	XP_040610238.1, XP_005087099.2, XP_040602395.1, XP_040600886.1, XP_040599787.1
OG0000569	XP_003765175.2	XP_021080443.1, XP_012977274.1
OG0000571	XP_031818495.1	XP_012976711.1, XP_012976710.1, XP_040612271.1
OG0000572	XP_012396305.1, XP_023351333.1, XP_031805837.1	XP_040592809.1
OG0000573	XP_003772205.1	XP_040594185.1, XP_040612143.1, XP_040585189.1, XP_040613582.1, XP_040598577.1, XP_005079767.2, XP_040604681.1, XP_040606656.1
OG0000574	XP_031803100.1	XP_012978018.1
OG0000575	XP_031810839.1	XP_005087088.3
OG0000576	XP_031807141.1	XP_012971450.1, XP_040586802.1, XP_040586803.1
OG0000577	XP_023354751.2	XP_005085326.1, XP_021085534.1, XP_040606673.1, XP_040606306.1, XP_040606669.1, XP_040606672.1, XP_005074830.1
OG0000578	XP_031799845.1	XP_040612604.1, XP_005075821.1
OG0000579	XP_003775144.1	XP_005076279.2, XP_005076746.1
OG0000579	XP_031814856.1	XP_005074236.1
OG0000581	XP_031806984.1	XP_040587474.1
OG0000581	XP_003761203.1	XP_040587526.1, XP_040587527.1
OG0000582	XP_003771435.1, XP_003771436.1	XP_040599531.1, XP_040599532.1
OG0000583	XP_031793758.1	XP_005067295.1
OG0000584	XP_031793598.1, XP_031793597.1	XP_012966590.1
OG0000585	XP_031815436.1, XP_023354739.1, XP_031815433.1, XP_023354738.1, XP_031815440.1, XP_031815439.1, XP_012399940.1, XP_031815437.1, XP_031815435.1, XP_031815438.1, XP_031815432.1, XP_031815441.1	XP_012973616.1
OG0000586	XP_031815522.1, XP_012402478.1, XP_012402482.1	XP_040606709.1, XP_040606707.1, XP_040606706.1, XP_040606708.1, XP_040606257.1
OG0000587	XP_031815597.1	XP_040606779.1
OG0000589	XP_003763972.1	XP_040601431.1, XP_040601430.1, XP_040601432.1
OG0000590	XP_031814925.1, XP_012401579.1, XP_031814928.1, XP_023356140.1	XP_040597934.1
OG0000591	XP_023356098.1, XP_012401533.1, XP_012401534.1, XP_003765621.1	XP_005074241.1, XP_040599983.1, XP_021085222.1
OG0000592	XP_031801112.1	XP_012980437.1, XP_005085776.1, XP_005085777.1
OG0000593	XP_031800168.1, XP_031800167.1, XP_031800169.1	XP_040599958.1, XP_005085960.1, XP_040599957.1
OG0000594	XP_031800813.1, XP_031800814.1, XP_031800815.1	XP_040600224.1, XP_021078969.1, XP_040600226.1, XP_040600228.1, XP_021078972.1, XP_040600227.1, XP_021078970.1, XP_012981026.1, XP_040600225.1, XP_005086598.1
OG0000595	XP_003765534.2, XP_003765535.1, XP_003765532.1, XP_003765533.1, XP_003765531.2, XP_003766608.1	XP_005083987.2, XP_005083917.1, XP_005083919.2, XP_012978845.1, XP_005083918.2, XP_012978846.2, XP_005083989.3, XP_005083991.2
OG0000596	XP_031817464.1, XP_031817467.1, XP_031817470.1, XP_031817462.1, XP_031817466.1, XP_031817465.1, XP_031817469.1	XP_040590427.1, XP_040590581.1, XP_040590428.1
OG0000597	XP_012409352.1	XP_040611275.1, XP_040593651.1
OG0000598	XP_003758325.3	XP_021082938.1
OG0000598	XP_031808366.1	XP_012980928.1, XP_012980926.1, XP_012980927.1, XP_005086430.1, XP_040598681.1
OG0000599	XP_031813408.1, XP_031813412.1, XP_031813410.1, XP_031813409.1	XP_005077986.1, XP_040610291.1
OG0000601	XP_003763097.2, XP_003763324.2, XP_031806643.1	XP_040593110.1, XP_040593111.1, XP_040593114.1, XP_040594823.1
OG0000602	XP_003764800.2	XP_040587681.1, XP_040589714.1, XP_040589721.1
OG0000603	XP_031801325.1, XP_031801323.1, XP_031801327.1, XP_031801324.1, XP_031801328.1, XP_012398520.1, XP_031801326.1, XP_023353440.1	XP_040612027.1, XP_040612025.1, XP_040612026.1, XP_040589273.1, XP_040597003.1
OG0000604	XP_031801387.1	XP_040602555.1, XP_040602554.1, XP_040602553.1, XP_040602560.1, XP_040602556.1, XP_040602558.1
OG0000605	XP_012397577.2	XP_012979737.2, XP_040591953.1, XP_040591954.1, XP_040591958.1, XP_040591959.1, XP_040591960.1, XP_040591956.1, XP_040591957.1, XP_040591961.1
OG0000606	XP_031819721.1, XP_031819720.1, XP_031819719.1	XP_005086353.2, XP_040590390.1, XP_021078832.2, XP_040590391.1, XP_040590392.1, XP_040590393.1
OG0000607	XP_012404615.1	XP_005073758.1
OG0000607	XP_031818955.1, XP_003765179.1	XP_005081888.1
OG0000608	XP_003763754.1, XP_031815631.1	XP_040595663.1, XP_040595662.1, XP_005081548.1
OG0000611	XP_031792835.1, XP_031792834.1	XP_040594456.1, XP_040594457.1, XP_040594458.1
OG0000612	XP_031809089.1	XP_040591265.1, XP_040598410.1
OG0000613	XP_031822300.1, XP_003768016.1	XP_021086164.1, XP_012973060.1
OG0000615	XP_031800969.1, XP_031815573.1, XP_031815566.1	XP_005074345.1, XP_012978257.1
OG0000616	XP_031799117.1	XP_040596196.1, XP_040596204.1, XP_040596211.1, XP_040596198.1
OG0000617	XP_031817118.1	XP_005078771.1
OG0000617	XP_003762226.1	XP_005078770.1
OG0000618	XP_031794933.1	XP_040589651.1, XP_005085137.1, XP_040610930.1
OG0000619	XP_003758062.1	XP_040587883.1, XP_005066589.1, XP_040587881.1, XP_012966339.1, XP_040587882.1
OG0000620	XP_031807639.1, XP_031807649.1, XP_031807645.1	XP_021083865.1, XP_005071856.1, XP_012970072.1, XP_005071855.1, XP_021083864.1
OG0000621	XP_031799726.1, XP_031799722.1, XP_031799723.1, XP_031799725.1	XP_040601654.1
OG0000622	XP_003762290.1, XP_031815467.1	XP_040595430.1
OG0000623	XP_031804098.1	XP_021078751.1
OG0000624	XP_031812469.1, XP_031812472.1, XP_031812470.1	XP_012968313.1
OG0000624	XP_003760841.1	XP_012978517.2
OG0000625	XP_003764711.2, XP_031817275.1	XP_040614024.1
OG0000626	XP_003773652.1	NP_001268496.1, XP_012972924.1
OG0000628	XP_031811660.1, XP_023351843.1, XP_003755470.1, XP_031811661.1, XP_031811662.1, XP_023351840.1	XP_040599144.1, XP_012978520.1
OG0000629	XP_012396691.1, XP_031811703.1, XP_012396686.1, XP_003755443.1, XP_012396694.1	XP_040598779.1, XP_005063202.1, XP_040598785.1
OG0000630	XP_031807901.1, XP_031807903.1, XP_031807902.1, XP_003759349.1, XP_031807899.1, XP_031807904.1, XP_031807898.1, XP_031807897.1	XP_005064820.1, XP_021086726.1
OG0000631	XP_031811133.1, XP_012399305.1	XP_040584659.1, XP_005075519.2
OG0000632	XP_031816189.1	XP_040609615.1
OG0000633	XP_031793096.1, XP_031793097.1, XP_031793098.1	XP_012981646.1, XP_012981648.1, XP_012981645.1, XP_005087402.1, XP_012981644.1
OG0000635	XP_003759196.1, XP_003759080.2	XP_005064858.1, XP_005064856.2, XP_040600864.1, XP_005064590.2, XP_005064855.2, XP_040600916.1
OG0000638	XP_031816604.1, XP_031816603.1	XP_040599778.1, XP_040589643.1, XP_040607328.1, XP_040586741.1, XP_040597111.1
OG0000639	XP_031816933.1, XP_023355251.2, XP_031816931.1	XP_040590712.1, XP_040590710.1
OG0000640	XP_012406425.1	XP_005065336.1
OG0000641	XP_012399104.1	XP_040606556.1, XP_040606303.1, XP_005072153.1, XP_040595208.1, XP_005066029.2
OG0000642	XP_031821636.1	XP_040600801.1, XP_040611572.1, XP_040610554.1, XP_040605985.1
OG0000645	XP_003764874.1	XP_005074202.2, XP_005074144.1
OG0000647	XP_012396680.1	XP_040594624.1, XP_005081504.1, XP_012976971.1
OG0000648	XP_031793609.1, XP_031793640.1	NP_001268616.1
OG0000649	XP_031817535.1	XP_012981432.2
OG0000650	XP_003771951.1, XP_012406724.1	XP_040611417.1, XP_040611418.1
OG0000651	XP_003762972.1, XP_031822695.1, XP_031822691.1	XP_040584783.1
OG0000652	XP_031817384.1	XP_040612361.1, XP_012975670.1, XP_040612362.1
OG0000653	XP_023355610.1, XP_012400994.1, XP_023355611.1, XP_031818374.1, XP_031818373.1	XP_005079622.1
OG0000654	XP_031802899.1	XP_040586303.1
OG0000655	XP_003759966.1, XP_012396874.1	XP_040613505.1, XP_040613507.1, XP_040613506.1, XP_040613508.1, XP_040613504.1
OG0000656	XP_031801151.1	XP_012977118.1, XP_040604081.1, XP_012977117.1, XP_005081732.1, XP_012977116.1
OG0000657	XP_012398591.1	XP_040594838.1, XP_040604148.1
OG0000658	XP_012403119.1	XP_012969719.1, XP_005071402.1
OG0000659	XP_031822164.1	XP_040605645.1
OG0000659	XP_031822156.1, XP_003768247.1, XP_031822158.1, XP_031822160.1, XP_031822157.1, XP_031822159.1, XP_031822155.1	XP_040605641.1
OG0000660	XP_031793756.1, XP_031793755.1, XP_031793754.1	XP_005088289.1, XP_012966851.2
OG0000661	XP_031796581.1, XP_031796582.1, XP_031796583.1	XP_040610763.1, XP_040610762.1
OG0000662	XP_031802922.1	XP_005072701.1
OG0000662	XP_031802925.1, XP_031802923.1	XP_040586326.1
OG0000662	XP_031802924.1	XP_040586325.1
OG0000663	XP_023360184.1, XP_031796772.1, XP_031796771.1, XP_031796774.1, XP_031796773.1	XP_005068047.1, XP_021081617.1, XP_040611035.1
OG0000664	XP_031798868.1, XP_031798869.1	XP_021087275.1, XP_005077788.1
OG0000665	XP_031805752.1, XP_023350992.1	XP_005083835.1, XP_012978721.1, XP_040601229.1, XP_005083833.1
OG0000666	XP_031814665.1, XP_031814662.1, XP_031814669.1, XP_031814673.1	XP_012972377.1, XP_012972378.1, XP_005074943.1, XP_021085623.1
OG0000667	XP_031817375.1, XP_031817373.1, XP_031817374.1	XP_040584219.1, XP_040584216.1, XP_005074003.1
OG0000668	XP_003757102.2	XP_005072584.2
OG0000670	XP_031794183.1, XP_031794181.1, XP_031794182.1	XP_040594123.1, XP_040594121.1, XP_040594124.1, XP_040594122.1
OG0000671	XP_031793888.1	XP_040609823.1, XP_040609822.1, XP_040609824.1, XP_005067230.1, XP_040609825.1, XP_005067228.1, XP_040609826.1
OG0000672	XP_031807939.1	XP_005064804.1
OG0000673	XP_031823919.1	XP_021083759.1, XP_040606968.1, XP_005071665.2, XP_021083760.1, XP_021083757.1, XP_021083756.1, XP_040606969.1, XP_021083761.1, XP_021083758.1
OG0000675	XP_031800926.1	XP_005080960.1
OG0000680	XP_012404509.2	NP_001268772.1, XP_012970460.1
OG0000681	XP_031805249.1	XP_012965838.1, XP_040601287.1
OG0000682	XP_012403823.1	XP_040603828.1, NP_001268310.1
OG0000683	XP_031804966.1	XP_012969281.1, XP_012969280.1, XP_040588316.1, XP_005070818.1, XP_012969279.1
OG0000684	XP_031821043.1	XP_005086851.1
OG0000684	XP_003760703.1	XP_005087613.1
OG0000685	XP_003771763.1, XP_003771764.1, XP_003771765.1, XP_003771762.1	XP_005083120.1, XP_040596388.1, XP_005083121.1
OG0000686	XP_031809451.1, XP_031802081.1, XP_031801872.1	XP_040603868.1, XP_040603870.1, XP_040603905.1, XP_040603866.1, XP_040603910.1
OG0000687	XP_003758414.1	XP_005072671.1
OG0000687	XP_031795062.1	XP_005068072.2
OG0000688	XP_031802694.1	XP_040611831.1
OG0000689	XP_031798253.1, XP_031797773.1, XP_031797864.1	XP_021091882.1, XP_012980314.1, XP_040600563.1
OG0000690	XP_012401331.1, XP_003765385.1, XP_012401332.1	XP_012975585.1
OG0000693	XP_031795541.1, XP_031795542.1, XP_031795540.1	XP_005085231.1, XP_021091650.1, XP_012980011.1, XP_021091651.1, XP_012980012.1, XP_021091652.1
OG0000694	XP_031821256.1, XP_031821258.1	XP_012982096.1
OG0000695	XP_031799832.1, XP_031799831.1	XP_021085349.1, XP_021085351.1, XP_021085352.1, XP_021085348.1, XP_021085350.1, XP_040603061.1
OG0000696	XP_023350866.1	XP_012971112.1
OG0000697	XP_031806093.1, XP_031806094.1, XP_031806091.1, XP_031806092.1	XP_012971932.1, XP_040592571.1, XP_040592584.1
OG0000698	XP_003769814.1, XP_031824905.1	XP_005076641.1, XP_040608027.1
OG0000698	XP_031824568.1, XP_031824567.1	XP_021086623.1, XP_040608026.1, XP_005076642.2
OG0000699	XP_031796088.1, XP_031796091.1, XP_031796196.1, XP_031796077.1	XP_012982256.2
OG0000699	XP_031796122.1	XP_005064419.1
OG0000701	XP_031801814.1, XP_031801819.1, XP_031801815.1, XP_031801817.1, XP_031801818.1, XP_031801816.1	XP_005076499.1
OG0000702	XP_012404001.1, XP_003768587.1, XP_031821599.1, XP_031821601.1, XP_012404000.1, XP_031821600.1, XP_031821597.1	XP_012968941.1, XP_012968942.1, XP_021082774.1
OG0000703	XP_012397298.1	XP_005071580.1
OG0000703	XP_031805308.1	XP_040601085.1, XP_012980191.1, XP_040601086.1, XP_012980187.1, XP_005085462.1, XP_012980190.1
OG0000704	XP_012406930.1	XP_040610594.1
OG0000705	XP_003765736.1, XP_031814650.1	XP_040585164.1, XP_040585165.1, XP_040585160.1, XP_040585161.1, XP_040585163.1, XP_040585162.1
OG0000706	XP_012398506.1	XP_005078861.1
OG0000707	XP_012409367.1, XP_012409370.1, XP_003757358.1, XP_012409368.1, XP_031810526.1, XP_003757360.1, XP_012409371.1, XP_003757359.1, XP_012409369.1	XP_005075175.1, XP_040613334.1, XP_040613335.1
OG0000708	XP_031799677.1, XP_012408552.1, XP_031799678.1	XP_040585108.1, XP_005080814.1, XP_005080815.1
OG0000709	XP_012405748.3	XP_005083976.1, XP_012978914.1, XP_012978913.1
OG0000710	XP_023356486.1	XP_040610459.1, XP_040610458.1
OG0000711	XP_003758400.1	XP_021084946.1, XP_005073665.1
OG0000712	XP_031805628.1, XP_031805629.1	XP_021087623.1
OG0000713	XP_031797396.1, XP_031797395.1	XP_012977992.1
OG0000714	XP_023362106.1	XP_040600911.1
OG0000714	XP_012408038.3	XP_012977952.1
OG0000715	XP_031803881.1, XP_023352585.1, XP_031803905.1, XP_023352584.1, XP_031803869.1, XP_031803894.1, XP_023352583.1, XP_023352595.1	XP_040592606.1, XP_040592604.1, XP_040592607.1, XP_040592605.1
OG0000716	XP_012400772.1, XP_031817197.1, XP_031817198.1	XP_040584179.1, XP_040584185.1, XP_040584175.1, XP_040584169.1
OG0000717	XP_003758182.1	XP_040600894.1, XP_040600892.1, XP_005088236.1
OG0000718	XP_031809872.1, XP_031809876.1, XP_031809877.1, XP_031809874.1, XP_031809871.1, XP_031809875.1, XP_031809873.1	XP_012977939.1
OG0000719	XP_031807406.1, XP_031807405.1, XP_012395257.1, XP_012395258.1, XP_012395259.1, XP_012395260.1	XP_040588805.1
OG0000720	XP_031811747.1	XP_040598242.1
OG0000721	XP_031812434.1, XP_031812438.1, XP_031812437.1, XP_031812436.1	XP_040586097.1, XP_040586094.1, XP_040586096.1, XP_040586095.1
OG0000722	XP_031799193.1	XP_005068204.1
OG0000724	XP_003765978.1	XP_012969103.1
OG0000725	XP_031813867.1, XP_031813866.1, XP_031813868.1	XP_040609208.1
OG0000726	XP_031815265.1, XP_003763501.1, XP_031815264.1, XP_031815266.1	XP_012976321.1, XP_040589692.1, XP_021088908.1, XP_012976322.1, XP_021088910.1, XP_040589693.1, XP_040589694.1
OG0000731	XP_031792732.1, XP_031792733.1, XP_031792734.1	XP_005071414.1
OG0000731	XP_003767482.1, XP_023357526.1	XP_005071528.1
OG0000732	XP_003772026.2, XP_003772027.2, XP_031795952.1	XP_040595673.1, XP_040595675.1, XP_005082336.1
OG0000733	XP_031817235.1, XP_031817234.1	XP_005074034.1, XP_021085165.1
OG0000734	XP_012396788.1	XP_040607161.1
OG0000734	XP_012395160.1	XP_040610860.1, XP_040588875.1, XP_005068112.2
OG0000735	XP_031805422.1	XP_012975329.1
OG0000735	XP_003757092.1	XP_040600362.1, XP_040589192.1, XP_040607984.1, XP_040602400.1
OG0000736	XP_031820834.1, XP_031820833.1	XP_040588490.1
OG0000736	XP_003771447.1, XP_023360464.1, XP_031794356.1	XP_005072996.1
OG0000737	XP_012406705.1, XP_031795731.1	XP_040611355.1, XP_012977991.1, XP_005082767.1
OG0000738	XP_012403473.2, XP_012403474.1	XP_005078236.1, XP_005078238.1, XP_005078301.1
OG0000739	XP_003760015.1	XP_012972242.1
OG0000740	XP_003769479.1	XP_040584164.1, XP_012982334.1
OG0000742	XP_031799543.1, XP_031799542.1	XP_040602411.1
OG0000742	XP_012397478.2	XP_021087355.1
OG0000743	XP_031805383.1	XP_040591418.1, XP_040591417.1, XP_040591380.1
OG0000744	XP_023362907.1	XP_040599701.1, XP_040610783.1
OG0000744	XP_031820236.1, XP_031820237.1, XP_031820235.1, XP_031796061.1, XP_031809103.1, XP_012408587.1, XP_003763790.3	XP_040603490.1, XP_040597849.1
OG0000745	XP_031816762.1, XP_031816760.1, XP_031816763.1, XP_031816761.1	XP_040586048.1, XP_005084496.1
OG0000746	XP_031805861.1	XP_040592563.1
OG0000747	XP_031797120.1, XP_031797121.1, XP_031797119.1	XP_040607193.1, XP_012975867.1, XP_040607194.1, XP_012975868.1
OG0000748	XP_031801483.1, XP_031801484.1, XP_031801482.1	XP_040604108.1, XP_040602515.1
OG0000749	XP_031825218.1, XP_031825216.1, XP_031825217.1, XP_003767269.1, XP_031825220.1, XP_031825214.1, XP_031825213.1, XP_031825215.1, XP_031825219.1	XP_040589311.1
OG0000751	XP_012403134.1, XP_031792787.1, XP_012403138.1, XP_012403133.1, XP_012403136.1, XP_031792786.1	XP_012969706.1, XP_012969707.1
OG0000752	XP_031822103.1	XP_005087416.1
OG0000752	XP_031822113.1	XP_012973103.1, XP_005076098.2
OG0000753	XP_012403803.1	XP_021086243.1, XP_012973165.1, XP_012973163.1, XP_012973164.1, XP_012973166.1
OG0000754	XP_031821954.1, XP_031821955.1	XP_040599748.1, XP_012973078.2, XP_040605498.1, XP_040596282.1, XP_040599622.1
OG0000755	XP_003758262.1	NP_001268334.1, XP_005071182.2
OG0000756	XP_023359165.1, XP_031808876.1	XP_040612003.1, XP_040612002.1
OG0000757	XP_031820594.1	XP_005072348.1, XP_021084138.1
OG0000758	XP_031825149.1, XP_031825150.1	XP_012978888.1, XP_040612736.1, XP_005083927.1
OG0000759	XP_031795317.1	XP_040593045.1
OG0000760	XP_023351358.1, XP_031805540.1	XP_040595077.1, XP_040593269.1, XP_005071117.1, XP_012969605.1, XP_040593270.1
OG0000761	XP_031823175.1, XP_031823174.1, XP_003769838.1	XP_005076617.1
OG0000763	XP_031803707.1, XP_031803711.1, XP_031803708.1, XP_031803709.1, XP_031803710.1, XP_031803712.1	XP_005083326.2
OG0000764	XP_012406821.1	XP_021089181.2
OG0000765	XP_031810013.1, XP_031810014.1, XP_012409086.1, XP_003757109.1	XP_040602417.1, XP_005072582.1, XP_040602416.1
OG0000766	XP_031804258.1	XP_040587180.1
OG0000767	XP_003772533.1	XP_012966666.1
OG0000768	XP_031812665.1	XP_012968413.1
OG0000769	XP_023354611.1	XP_040606472.1, XP_040606470.1, XP_040606471.1, XP_040606474.1, XP_040606473.1
OG0000770	XP_031815313.1	XP_005068188.1, XP_040597759.1, XP_012975987.1
OG0000772	XP_003769505.1	XP_005065865.2, XP_040584269.1, XP_012982542.2
OG0000775	XP_012405736.1, XP_003770680.1, XP_023359868.1, XP_012405735.1	XP_012973170.1, XP_040605491.1, XP_040605492.1, XP_012973169.1
OG0000776	XP_012401819.1, XP_003765990.1, XP_023356394.1, XP_003765989.1	XP_012969164.1
OG0000777	XP_012399393.1, XP_031811103.1	XP_040595871.1, XP_040595872.1, XP_005073793.1, XP_040595873.1
OG0000778	XP_023360481.1	NP_001268583.1, XP_012967507.1
OG0000779	XP_031810920.1	XP_040596450.1
OG0000779	XP_031810918.1, XP_031810917.1	XP_040596447.1
OG0000780	XP_003771477.1	XP_005081298.1
OG0000781	XP_012402371.1, XP_012402372.2, XP_012400901.1, XP_003764825.1	XP_040589633.1, XP_005074203.1
OG0000782	XP_031818707.1, XP_031818706.1	XP_040591043.1
OG0000783	XP_031807858.1	XP_040591706.1, XP_040591707.1, XP_040591705.1, XP_005087526.1, XP_040591711.1, XP_040591709.1, XP_040591710.1, XP_040591708.1
OG0000784	XP_003769605.2	XP_005065960.1
OG0000785	XP_003764840.1	XP_005088609.1
OG0000785	XP_031813142.1, XP_003764902.2	XP_005087330.1
OG0000786	XP_003764845.1	XP_012981598.1
OG0000787	XP_003766969.2	XP_005087517.1
OG0000791	XP_031800147.1	XP_040590061.1, XP_040604822.1, XP_021081443.2, XP_040604823.1, XP_040604821.1, XP_040604820.1, XP_021089696.1
OG0000792	XP_031817024.1	XP_040585891.1
OG0000792	XP_031819143.1	XP_005086759.1
OG0000793	XP_031795452.1	XP_012970127.1
OG0000794	XP_031795257.1	XP_040613990.1
OG0000795	XP_003773360.1	XP_005074434.1, XP_040597328.1, XP_040597772.1, XP_040609394.1
OG0000797	XP_031816947.1, XP_031816946.1, XP_031816949.1	XP_040590677.1, XP_005077370.1
OG0000798	XP_031794344.1	XP_012967083.1
OG0000798	XP_031794755.1	XP_005077806.1
OG0000799	XP_031824934.1, XP_023359636.1	XP_012970299.1, XP_012970300.1, XP_012970301.1
OG0000800	XP_031797972.1	XP_040589119.1, XP_040611342.1, XP_040611345.1, XP_021084982.1
OG0000801	XP_012398200.2	XP_005064539.2
OG0000802	XP_012400352.1	XP_040600263.1, XP_040612966.1
OG0000803	XP_031801519.1, XP_012398640.1, XP_031801518.1, XP_012398586.1, XP_031801522.1	XP_005081798.1, XP_012977071.1
OG0000804	XP_031822649.1, XP_003768147.1	XP_012976003.1, XP_040608462.1, XP_005080161.1
OG0000805	XP_012396982.1	XP_005082616.1
OG0000806	XP_031801040.1, XP_031801042.1, XP_031801041.1	XP_005068321.1, XP_005087575.1
OG0000807	XP_003768026.1, XP_031822292.1, XP_031822293.1	XP_040605411.1, XP_012973157.1, XP_012973156.1, XP_021086167.1, XP_040605412.1
OG0000808	XP_031793005.1, XP_031792998.1, XP_012398137.1, XP_031793013.1, XP_031792989.1	XP_005078945.1, XP_040595055.1, XP_012975054.1
OG0000809	XP_003757131.1	XP_005082182.2
OG0000810	XP_012404360.1, XP_003768994.1, XP_012404359.1	XP_040587838.1, XP_021079127.1, XP_012981274.1, XP_012981273.1, XP_005086905.1
OG0000811	XP_012404396.1, XP_031820969.1, XP_031820971.1	XP_012981280.1, XP_012981279.1, XP_005086907.1, XP_012981278.1, XP_012981277.1, XP_012981276.1
OG0000812	XP_031796411.1	XP_040593752.1, XP_040585002.1, XP_040612141.1
OG0000813	XP_031794907.1	XP_040584416.1
OG0000814	XP_031825023.1, XP_031825022.1, XP_031825024.1	XP_040612883.1, XP_040612882.1
OG0000815	XP_031825123.1	XP_005083944.1
OG0000816	XP_023360661.1, XP_003771694.1, XP_031794999.1	XP_005082460.1
OG0000817	XP_031795370.1	XP_005084259.1
OG0000817	XP_003763845.1	XP_005070364.1, XP_040593758.1, XP_040593757.1
OG0000818	XP_012395341.2	XP_040586947.1, XP_040586946.1, XP_040586948.1, XP_040586945.1
OG0000820	XP_031823284.1, XP_031823283.1, XP_003769908.1	XP_005084295.1, XP_012979214.1
OG0000821	XP_012408061.2	XP_012977215.1
OG0000822	XP_031799257.1	XP_040606762.1
OG0000823	XP_031797755.1, XP_003773250.1	XP_040610388.1, XP_021082552.1, XP_021082551.1
OG0000824	XP_031800964.1	XP_012969629.1
OG0000825	XP_031810036.1, XP_031810041.1	XP_012965854.1, XP_040593274.1, XP_012965855.1, XP_040593273.1
OG0000826	XP_031803388.1	XP_040585728.1
OG0000827	XP_003764677.2, XP_031817210.1, XP_023355457.1	XP_005074017.1
OG0000828	XP_012398915.1	XP_040596067.1, XP_040596066.1, XP_005082428.1, XP_040596068.1
OG0000829	XP_031796181.1	XP_040585111.1
OG0000830	XP_031807673.1	XP_040588635.1
OG0000831	XP_031817838.1	XP_012974155.1, XP_040600134.1, XP_040600135.1, XP_040599891.1
OG0000832	XP_031817861.1	XP_040610346.1, XP_005077517.1, XP_040610348.1, XP_040610347.1
OG0000833	XP_031813725.1	XP_040609103.1
OG0000834	XP_012397922.1, XP_031804329.1, XP_003761124.1	XP_040608580.1, XP_021088994.1
OG0000835	XP_031804752.1	XP_040602769.1
OG0000836	XP_031812839.1	XP_040601385.1
OG0000836	XP_012407458.1	XP_012978065.1
OG0000837	XP_031794078.1, XP_012406213.1, XP_031794079.1	XP_012970897.1
OG0000838	XP_003771208.1, XP_031794286.1	XP_040599461.1, XP_040599447.1, XP_040599633.1
OG0000839	XP_031811713.1, XP_031811716.1, XP_031811708.1, XP_031811710.1, XP_031811714.1, XP_031811712.1, XP_031811707.1, XP_031811711.1	XP_040598614.1
OG0000840	XP_031815175.1, XP_031815173.1, XP_031815177.1, XP_031815179.1, XP_031815176.1, XP_031815178.1	XP_005073864.1, XP_021085103.1
OG0000841	XP_003763677.2	XP_005071579.1
OG0000842	XP_031802689.1, XP_031802690.1, XP_031802688.1	XP_005066401.1
OG0000844	XP_003766988.2, XP_023357188.1	XP_012969212.1, XP_040609305.1
OG0000845	XP_031800280.1, XP_003774709.1	XP_012981319.1
OG0000846	XP_023351118.1, XP_023351119.1, XP_031807861.1	XP_005087547.1, XP_012981726.1
OG0000847	XP_003770947.1	XP_040610212.1, XP_040610248.1
