Orthogroup	Sarcophilus_harrisii	Mus_musculus
OG0001076	XP_031812159.1	NP_001013799.2, XP_036014633.1
OG0001078	XP_031821401.1	NP_001389747.1, NP_001389750.1, NP_001264008.1, XP_017169751.1, NP_001103127.1, NP_001389748.1, NP_032114.2, NP_001389754.1, NP_001389753.1, NP_001264009.1, NP_001389752.1
OG0001079	XP_031818913.1, XP_031818912.1, XP_031818914.1, XP_031818910.1, XP_031818911.1	XP_006539158.1, NP_079614.1
OG0001080	XP_031797125.1, XP_031797131.1	NP_001155020.1
OG0001080	XP_031796227.1	NP_001365927.1
OG0001081	XP_031819079.1, XP_031819087.1, XP_031819095.1, XP_031819098.1	XP_017167854.1, NP_083615.3
OG0001082	XP_003761764.1	NP_058577.1
OG0001082	XP_031796761.1	NP_038900.1
OG0001083	XP_012398719.1	XP_036010330.1, NP_032529.2, XP_036010329.1, XP_036021546.1, XP_036008359.1
OG0001084	XP_031822876.1	NP_001156762.1
OG0001085	XP_031822652.1, XP_031822651.1	NP_032257.3, NP_032258.2
OG0001086	XP_031801831.1, XP_031801832.1, XP_003759579.1	XP_036016934.1, NP_663331.1, NP_001344435.1
OG0001087	XP_031810955.1, XP_003755943.1	XP_006518429.1, NP_818773.1
OG0001087	XP_031802677.1	NP_079784.1
OG0001088	XP_031808653.1	NP_001366004.1
OG0001089	XP_031809038.1	NP_001311411.1, NP_081680.1, XP_006516280.1, NP_001311409.1, NP_001311410.1
OG0001090	XP_031821642.1, XP_003768572.1, XP_023358302.1, XP_031821646.1, XP_031821644.1, XP_031821645.1, XP_023358301.1	NP_001239313.1
OG0001091	XP_003775360.4	NP_001348431.1, NP_001396828.1, NP_001348430.1, NP_062340.1, NP_001396831.1
OG0001091	XP_003757456.2	NP_660126.1
OG0001092	XP_023350028.1	NP_001366368.1, NP_001396931.1, NP_001396930.1, NP_001396929.1, NP_955006.1, NP_001396927.1, NP_001366371.1, NP_001396933.1, NP_001366372.1, NP_001366370.1, NP_001396928.1, NP_001366369.1, NP_001396925.1, NP_001396926.1, XP_006498026.1, NP_001396934.1, NP_001396932.1
OG0001093	XP_023361042.1, XP_003772218.1	NP_082368.1, NP_082327.2, XP_006514235.1, NP_001129709.1
OG0001094	XP_012406066.3	XP_006513874.1, NP_796362.1
OG0001095	XP_003766984.2, XP_003766982.1	NP_061221.2
OG0001096	XP_031814651.1	NP_001276462.1, NP_001399527.1, NP_034342.1
OG0001097	XP_003765696.1	NP_001363960.1, NP_001363958.1, NP_001363963.1, NP_001363962.1, NP_001363961.1, NP_001033007.2, NP_001363959.1
OG0001098	XP_003759146.2	NP_035146.1, XP_036019714.1, XP_006537729.1, NP_001366449.1, NP_032794.1
OG0001099	XP_023363148.1	NP_001313530.1, XP_011237352.1, NP_033447.2
OG0001100	XP_023359766.2	NP_115849.2
OG0001101	XP_003769082.1	NP_001276419.1
OG0001102	XP_031820373.1, XP_031820374.1, XP_023358888.1, XP_003769347.1, XP_031820371.1, XP_031820372.1	NP_766453.2
OG0001103	XP_012407411.1, XP_012407412.1, XP_012407410.2	NP_032202.1, NP_976065.1, NP_033166.1
OG0001104	XP_003771485.1	NP_001404893.1, XP_036020611.1, NP_862898.1
OG0001104	XP_031814320.1	NP_001153825.1
OG0001105	XP_031796371.1	XP_006506676.1, NP_001276642.1
OG0001106	XP_031808673.1	NP_001349138.1, NP_666070.2, NP_001349141.1, NP_001349140.1, NP_001349139.1, NP_001349142.1
OG0001107	XP_003758067.2	NP_083313.1
OG0001108	XP_031806540.1, XP_031806541.1, XP_012395411.1, XP_003758019.1, XP_023350474.1	NP_001344152.1, NP_080145.1
OG0001109	XP_012402912.1, XP_031807220.1	NP_082177.2
OG0001111	XP_031799638.1	NP_766030.3
OG0001111	XP_031804492.1	NP_001404401.1, XP_011246483.1, NP_001404403.1, NP_032078.2, NP_001404402.1
OG0001112	XP_012408161.1	XP_036015513.1, NP_032946.1, NP_058610.1, XP_036018284.1
OG0001113	XP_003774221.2	NP_031626.1, XP_036017307.1, NP_001103974.1
OG0001114	XP_031799518.1	NP_075531.2
OG0001114	XP_031804275.1	XP_006504334.1, NP_598656.1
OG0001116	XP_012397553.1, XP_023352538.1	NP_080626.1
OG0001117	XP_031803376.1, XP_031803375.1	NP_001103776.1, NP_057888.1, NP_001103777.1, NP_001103775.1
OG0001118	XP_012408214.1, XP_031798838.1, XP_023362232.1, XP_031798836.1	XP_006527444.1, NP_081485.2, NP_081111.1
OG0001119	XP_031816891.1, XP_003764348.1	XP_006510600.1, NP_075642.1
OG0001120	XP_003773687.1, XP_023362065.1	NP_001399395.1
OG0001121	XP_031817812.1	NP_075722.1, XP_006519455.1, NP_001157692.1
OG0001122	XP_003764618.1	NP_001347539.1
OG0001123	XP_031796327.1	XP_006512062.1, NP_001158044.1, NP_001344704.1, NP_598502.2, NP_001344705.1, NP_001344703.1
OG0001124	XP_031815626.1	XP_017168895.1
OG0001125	XP_023356530.1	NP_780295.2, NP_796296.1, XP_006516597.1
OG0001126	XP_023350302.1	XP_006499441.1
OG0001127	XP_023355370.1, XP_003764540.1	XP_006504891.1, NP_705800.1
OG0001128	XP_031824623.1	NP_001347816.1, NP_766562.1, XP_006529688.1
OG0001129	XP_031824116.1, XP_031824115.1	NP_001407763.1, NP_001407762.1, NP_598577.1, NP_001407764.1
OG0001130	XP_031812084.1, XP_031812085.1, XP_031812083.1	NP_001333632.1
OG0001131	XP_031802098.1	NP_001397456.1, NP_001397453.1, NP_032888.1, NP_001397455.1, NP_001397444.1, NP_001397445.1, NP_001397454.1, NP_001397449.1, XP_036018835.1
OG0001132	XP_031811302.1, XP_012398587.3	NP_001074783.1, XP_006511596.1, NP_001156615.1
OG0001133	XP_031812491.1, XP_031812490.1	NP_001155007.1, XP_006511292.1, NP_001155013.1, NP_001155010.1, NP_001155008.1, NP_001155011.1, NP_001155012.1, NP_001155009.1, NP_796167.2
OG0001134	XP_031799839.1, XP_031799837.1, XP_031799838.1	NP_001297593.1, XP_006534769.1
OG0001135	XP_031816353.1	XP_006500320.1, NP_082797.1
OG0001136	XP_031816301.1	NP_001191094.1
OG0001137	XP_031793274.1, XP_031793272.1, XP_031793271.1, XP_031793273.1, XP_031793270.1, XP_031793275.1	NP_065604.2
OG0001139	XP_031800593.1	NP_001369785.1, NP_620085.2
OG0001139	XP_031808955.1	XP_036017663.1, NP_613073.2
OG0001144	XP_023354442.1, XP_023354440.1	NP_001158196.1
OG0001145	XP_031822759.1	NP_033029.2
OG0001145	XP_031819047.1	NP_083667.1
OG0001146	XP_031810872.1	XP_030103952.1, NP_766189.1
OG0001147	XP_003762993.1, XP_023354325.1, XP_031816922.1	NP_034051.2
OG0001148	XP_023356513.1, XP_023356512.1	NP_001343939.1, NP_081847.3, XP_036019203.1, NP_001343937.1, NP_001343936.1
OG0001152	XP_031799359.1	NP_031696.1, NP_001035744.1
OG0001153	XP_003762449.1	NP_001396884.1, NP_032214.1, NP_001396883.1, NP_001342195.1, XP_036021758.1
OG0001154	XP_012408115.1	NP_666963.2, NP_667221.2
OG0001156	XP_003764148.1, XP_031813082.1	NP_667316.2, NP_667317.1, NP_667319.1
OG0001157	XP_003758914.2, XP_031805390.1, XP_031805391.1	NP_667175.1, NP_667165.1, NP_667171.1, NP_667172.1, NP_667174.1, NP_667173.1, NP_667166.1, NP_667145.1, NP_001011867.1
OG0001159	XP_023359011.1	NP_033564.2, NP_001351572.1, NP_001351573.1, NP_001351574.1
OG0001160	XP_031793521.1, XP_031793522.1, XP_031793523.1	NP_001161769.1, XP_006512922.1, NP_082244.2
OG0001161	XP_031801304.1	XP_030103327.1
OG0001162	XP_003759389.1	NP_059069.1, XP_006516940.1
OG0001163	XP_031819385.1	NP_001407646.1, NP_001407639.1, NP_001407644.1, NP_001407645.1, NP_001407640.1, NP_666290.2, NP_001407641.1, NP_001277361.1, NP_001407643.1, NP_001407638.1, NP_001407642.1, NP_001407647.1, NP_001407637.1, NP_001407635.1, NP_001407636.1, NP_001277358.1
OG0001165	XP_003766742.1	NP_573473.1
OG0001166	XP_031810234.1, XP_031810232.1, XP_031810233.1, XP_031810235.1, XP_031810236.1	NP_034014.1
OG0001167	XP_031795687.1	NP_001095908.1, NP_001095907.1, NP_001342566.1, NP_001342567.1, NP_001393363.1, NP_001342568.1, NP_001393368.1, NP_001393367.1, NP_083069.1, NP_001393362.1, NP_001095906.1, NP_001393369.1, NP_001393370.1, NP_001342570.1, NP_001393364.1, NP_001393366.1, NP_001393365.1, NP_001342571.1, XP_036018526.1, NP_001393371.1
OG0001168	XP_003765066.1	NP_080315.1
OG0001169	XP_031818719.1, XP_003765051.1, XP_023355637.1, XP_003765052.1	NP_001157177.1, NP_056612.1, NP_001157176.1, NP_001157179.1, NP_001157178.1
OG0001170	XP_031798233.1, XP_031799402.1	NP_109646.2, NP_001343947.1, NP_001412726.1, NP_001343948.1, NP_001343949.1, XP_006504259.1
OG0001171	XP_003758967.2	NP_032357.2, NP_444447.1, NP_001349059.1, XP_030106559.1, NP_001095075.1
OG0001172	XP_003764379.2	NP_666994.2, NP_666652.1, NP_666384.1
OG0001172	XP_012400568.2	NP_667026.1, NP_997443.1
OG0001173	XP_031804279.1, XP_031823731.1	NP_001300913.1, NP_035794.1
OG0001174	XP_031794449.1, XP_031794469.1, XP_031794454.1, XP_031794463.1, XP_031794458.1, XP_031794473.1	NP_001009927.1
OG0001175	XP_003758625.3	XP_030099497.1, NP_853527.2
OG0001176	XP_031805818.1	XP_006530979.1, NP_666327.2
OG0001177	XP_031824492.1	NP_034973.2, XP_036021305.1, XP_036021547.1, XP_036021552.1
OG0001178	XP_012402149.1, XP_031808023.1	NP_033248.1, NP_001171264.1, NP_001399560.1, NP_001399558.1, NP_001399556.1, NP_001399555.1, NP_001399557.1, NP_001399559.1, NP_001171263.1, XP_006499117.1
OG0001179	XP_023358338.1	XP_006533316.1, NP_766388.2
OG0001179	XP_031805696.1	NP_808547.3, XP_006504775.1
OG0001180	XP_003761549.1, XP_031797256.1, XP_012398254.1	NP_084534.2, NP_001033792.1, XP_030110776.1, NP_001349135.1
OG0001181	XP_031823083.1	NP_034436.1
OG0001181	XP_003771511.1	NP_034435.1
OG0001182	XP_031825259.1	NP_001240699.1, NP_001398044.1, NP_001398039.1, NP_001240697.1, NP_001398043.1, NP_001240698.1, NP_001398045.1, NP_001398047.1, NP_001398046.1, NP_001398049.1, NP_001398048.1, NP_001398050.1, NP_001398034.1, NP_001398037.1, NP_001398038.1, NP_001398033.1, NP_001342590.1, NP_001398036.1, NP_620083.1
OG0001183	XP_003774819.1	NP_079801.2, NP_705723.1
OG0001184	XP_031824436.1	XP_006497285.1, NP_001355694.1, NP_001341989.1, NP_038527.2
OG0001185	XP_031792892.1	XP_036018760.1, NP_001347774.1, NP_001347776.1, NP_001407870.1, NP_001347773.2, NP_001407869.1, NP_035407.1
OG0001186	XP_023357547.1, XP_023357546.1, XP_003767458.1, XP_012403104.1	NP_001342061.1, NP_081555.2
OG0001187	XP_031793608.1	NP_080744.1
OG0001188	XP_031810952.1, XP_031810951.1	NP_001346992.1, NP_083056.2, XP_030103911.1
OG0001189	XP_031798899.1	NP_001278411.1, NP_001407341.1, XP_011237637.1, NP_001278410.1, NP_001012335.1, NP_001012336.1, NP_034914.1, NP_001278412.1
OG0001190	XP_003768049.1, XP_023357963.1	NP_081664.2, NP_001071104.1, NP_001350041.1
OG0001191	XP_031805289.1	XP_006497851.1, NP_619606.1
OG0001192	XP_031796907.1, XP_031796908.1	NP_796365.1, NP_001344646.1, XP_011243983.1
OG0001193	XP_031808954.1	XP_030101662.1
OG0001194	XP_031800022.1, XP_031800029.1, XP_031800010.1, XP_031800000.1, XP_031799994.1, XP_031800016.1	NP_001288341.1, NP_032043.3, XP_036019572.1
OG0001195	XP_012404334.1, XP_012404333.1, XP_012404336.1, XP_012404331.1, XP_012404332.1	NP_001392452.1, NP_001392453.1, NP_001392454.1, NP_001392451.1, NP_001010833.2, NP_001392450.1, NP_001392456.1, NP_001392458.1, NP_001392457.1, NP_001392455.1
OG0001196	XP_003768985.2	NP_001390799.1, NP_001273504.1, NP_001390798.1, NP_001390796.1, NP_665829.1, XP_030105308.1, NP_671493.1, NP_001273502.1
OG0001197	XP_031820859.1, XP_031820858.1, XP_031820857.1, XP_031820856.1, XP_031820855.1	NP_034350.1
OG0001198	XP_031820457.1	NP_081724.1, XP_006511597.1, NP_083710.2
OG0001199	XP_031820451.1, XP_003769286.1	NP_035757.2, XP_017168769.1, NP_001158264.1
OG0001200	XP_012404706.1, XP_012404705.1, XP_003769379.1	XP_006512896.1, NP_080687.1
OG0001201	XP_031800653.1, XP_031817918.1	NP_059500.2, XP_011245947.2
OG0001202	XP_031805053.1	XP_006506032.1, NP_001405103.1, NP_001405106.1, NP_001405104.1, NP_001405105.1, NP_663546.1
OG0001202	XP_031798671.1	NP_081011.1
OG0001203	XP_003771965.1	NP_001096626.1
OG0001204	XP_012406866.1	NP_001120820.1, NP_001348508.1, NP_001348510.1, NP_001348509.1, NP_001348511.1, NP_001120821.1, NP_001348507.1, NP_001348505.1, XP_030111460.1, NP_001348506.1, NP_082311.3
OG0001205	XP_031808861.1	NP_001346877.1, NP_766508.3
OG0001206	XP_012401337.1, XP_012401334.1, XP_003765416.1, XP_031818026.1	NP_001413062.1, NP_620046.1, NP_001156738.1, NP_001413061.1
OG0001207	XP_031818193.1, XP_012401454.1, XP_031818192.1, XP_031818191.1, XP_031798850.1	XP_006502878.1, NP_034787.2
OG0001208	XP_031810855.1	NP_001240623.1
OG0001209	XP_003771133.1	XP_011241681.1, NP_035044.1
OG0001210	XP_003773212.1	NP_001350400.1, NP_001350401.1, NP_001350399.1, XP_006530626.1, NP_598584.2
OG0001211	XP_031799171.1	NP_001344389.1
OG0001211	XP_031816561.1	NP_064362.1
OG0001212	XP_003773152.1, XP_031799298.1, XP_031799297.1, XP_023361671.1	XP_006502047.1, NP_573450.2
OG0001213	XP_031806657.1	XP_006509804.1
OG0001214	XP_031797985.1	NP_001289092.1
OG0001215	XP_031805469.1	NP_001365858.1, NP_036168.1
OG0001215	XP_012401371.1, XP_031818091.1	NP_778163.1
OG0001216	XP_031798393.1	NP_660117.2, NP_001165571.1, NP_001165572.1
OG0001218	XP_031816383.1, XP_031816348.1	NP_694739.1, XP_011241266.1, NP_955765.1, XP_006512376.1, NP_683742.2
OG0001219	XP_012401945.1	NP_001192290.1
OG0001219	XP_012401659.1	NP_001413562.1, NP_001019675.2, NP_001036114.1, NP_001036115.1, NP_001036116.1
OG0001220	XP_003766509.2	NP_001231691.1, NP_001116323.1, XP_036010823.1, NP_035940.3
OG0001222	XP_031809917.1	XP_006500191.1, NP_081244.2
OG0001223	XP_023351386.1, XP_031801156.1, XP_003775225.1	NP_001170872.1, XP_011237710.1, NP_001171319.1, NP_001012743.2, XP_006499938.1, NP_083601.1
OG0001224	XP_031807490.1	NP_001297015.1
OG0001225	XP_012395154.1, XP_031807495.1, XP_003757732.1, XP_031807494.1, XP_031807496.1	NP_001074603.1, NP_001366387.1
OG0001226	XP_031806735.1, XP_031806737.1, XP_031806736.1, XP_031806734.1	NP_001128623.1, NP_001128624.1, NP_659057.2, XP_006518849.1
OG0001227	XP_003772253.2	NP_032502.3, NP_034799.2
OG0001228	XP_031793647.1	NP_001164382.1, NP_079661.1
OG0001229	XP_023360318.1, XP_031794136.1, XP_003771297.1, XP_023360319.1	XP_006506403.1, NP_001156741.2, NP_001156740.2
OG0001230	XP_031794128.1, XP_031794127.1, XP_003771267.1	NP_001157561.1
OG0001231	XP_031793964.1	NP_001334445.1
OG0001233	XP_031796042.1	XP_006520545.1, NP_038594.2
OG0001234	XP_023350428.1, XP_012395594.1, XP_023350433.1, XP_012395608.1, XP_012395588.1, XP_003755235.1, XP_012395592.1, XP_023350402.1, XP_012395597.1	NP_001389939.1, NP_001389938.1, NP_001271248.1, NP_001389937.1, NP_001389936.1, NP_001389932.1, NP_062718.2, NP_001029160.1, NP_001389927.1
OG0001235	XP_031811006.1, XP_031811007.1	NP_001156406.3, XP_006499896.1
OG0001236	XP_031811069.1, XP_031811070.1	NP_081694.1, NP_056621.4, XP_011241069.1
OG0001238	XP_012398396.1	NP_082363.2, XP_006511526.1
OG0001239	XP_012398841.1, XP_031811199.1, XP_012398844.1	NP_079648.1, NP_001311486.1, NP_001311485.1, XP_006511403.1, NP_001311487.1
OG0001240	XP_031812482.1, XP_031812483.1, XP_031812484.1	XP_017168751.1, NP_001155951.1, NP_033317.2, NP_001155948.1, NP_001155947.1
OG0001241	XP_012399852.1	NP_001412024.1, NP_001412023.1, NP_034386.2, NP_001344280.1
OG0001242	XP_023361494.2	XP_011238510.1, NP_080854.1
OG0001243	XP_003774554.1	NP_444492.1
OG0001243	XP_003774556.1	NP_932147.2
OG0001245	XP_031813484.1	NP_062719.2
OG0001246	XP_003762791.1	NP_065592.1, XP_006516786.1
OG0001247	XP_012403072.1	NP_001070657.1, XP_006496722.1, NP_001391947.1
OG0001248	XP_023362809.1	NP_001171253.1, NP_001171252.1, NP_001345676.1, NP_001028423.1, XP_017173946.1
OG0001249	XP_031800986.1	NP_001345296.1
OG0001249	XP_003765635.1, XP_023356113.1	XP_017173902.1
OG0001250	XP_012401545.1, XP_012401544.1	NP_079708.2, NP_001404749.1, NP_001404752.1, NP_001404748.1, NP_001404751.1, NP_079595.1
OG0001251	XP_031800850.1	XP_006541560.1, NP_848897.3
OG0001252	XP_003760463.1, XP_031803130.1, XP_012397308.1, XP_031803134.1, XP_031803137.1, XP_031803132.1, XP_031803135.1, XP_031803136.1, XP_031803138.1, XP_031803139.1, XP_031803133.1, XP_031803140.1	NP_001159860.1
OG0001253	XP_031800019.1	NP_031566.4, NP_001041604.1
OG0001254	XP_031825176.1	NP_570959.1, XP_011248391.1
OG0001254	XP_031811173.1	NP_001398080.1
OG0001255	XP_031822718.1, XP_031822710.1, XP_031822725.1, XP_031822703.1	NP_001347465.1
OG0001256	XP_031809698.1, XP_031809696.1, XP_031809699.1	NP_031623.1, NP_001103970.1, NP_001103969.1
OG0001257	XP_031804854.1	XP_036015657.1, NP_031770.2, NP_001104532.1, NP_001104533.1
OG0001258	XP_031797180.1	NP_036035.3, XP_006501523.1
OG0001260	XP_023350298.1, XP_031807438.1, XP_031807439.1	NP_001239508.1, NP_001239507.1
OG0001261	XP_023362076.1	NP_001231127.1
OG0001262	XP_012397634.1	NP_001335156.1
OG0001262	XP_012397635.1	NP_001335157.1, NP_063936.1, NP_001335158.1
OG0001263	XP_031812609.1	XP_006518532.1, NP_033888.2
OG0001264	XP_012408588.2	NP_033862.1, NP_035155.1, XP_006498973.1
OG0001265	XP_003770768.2	NP_080239.1
OG0001266	XP_031824119.1	NP_001344605.1, NP_001344601.1, NP_001344602.1, NP_001344604.1, NP_001344603.1, NP_034098.1
OG0001267	XP_012407137.1, XP_012407136.1	NP_001292362.1, NP_666762.1
OG0001268	XP_003764814.1, XP_031813119.1, XP_003764810.2	NP_667299.1, NP_667264.1, NP_667265.1
OG0001269	XP_003764779.1, XP_003764795.4, XP_031813115.1	NP_667323.1, NP_667284.1
OG0001270	XP_031819764.1	XP_017177639.1, NP_001003393.1
OG0001271	XP_003757728.1	NP_084037.3
OG0001271	XP_031802555.1	NP_001034262.1
OG0001272	XP_031806888.1	NP_062606.1
OG0001272	XP_031819754.1	NP_080174.1, XP_030097834.1
OG0001273	XP_031819132.1	NP_666295.2, NP_780351.1, NP_001277390.1, XP_006539902.1
OG0001274	XP_031818988.1	XP_017167785.1, NP_081746.1
OG0001275	XP_031810223.1	NP_001347583.1
OG0001276	XP_012409504.1, XP_031810787.1	NP_034320.1, XP_006497739.1
OG0001277	XP_003756738.1	NP_034327.1, XP_006525704.1
OG0001278	XP_031809335.1, XP_003756744.1	NP_001357968.1, NP_080411.1, NP_001357969.1, NP_001357970.1
OG0001279	XP_003759923.1, XP_031822931.1	NP_663428.2, XP_006517424.1
OG0001280	XP_031811560.1	NP_001369440.1
OG0001281	XP_012395098.1, XP_031807583.1	NP_001342450.1, NP_079863.1, NP_001342447.1, NP_001342446.1, NP_001342445.1, NP_001342449.1, XP_036016094.1
OG0001282	XP_031812233.1, XP_031805230.1	NP_033186.1
OG0001283	XP_031812229.1	NP_081993.1, NP_001405481.1, NP_001347538.1, XP_006519622.1, NP_001405480.1, NP_001347537.1, NP_001405482.1
OG0001284	XP_003756893.1	NP_081600.1, XP_006516912.2
OG0001284	XP_031811575.1	NP_001349310.1
OG0001285	XP_003759951.1	NP_001295435.1
OG0001286	XP_012408212.1	NP_001273108.1
OG0001286	XP_031799311.1	XP_006501056.1
OG0001287	XP_031816031.1, XP_031816032.1, XP_031794167.1	NP_766357.1, XP_006510316.1
OG0001289	XP_031823693.1	XP_006534056.1, NP_080459.2
OG0001290	XP_031818926.1, XP_031818925.1	NP_077792.2
OG0001291	XP_003765228.1	NP_082789.1, NP_082790.1
OG0001292	XP_031805881.1, XP_031805882.1	XP_011246741.1, NP_001355280.1, NP_001355281.1, NP_001074399.1, NP_001355279.1
OG0001293	XP_031795878.1, XP_003761638.1	NP_796200.1, NP_001349126.1, NP_001349125.1, NP_001391331.1, NP_001391329.1, NP_001391332.1, NP_001391334.1, NP_001391333.1, XP_006508015.1
OG0001295	XP_031793016.1	NP_082596.2, NP_001292998.1
OG0001296	XP_012403275.2	NP_081252.1
OG0001297	XP_031805344.1	NP_001034481.1, NP_079560.1, NP_001177256.1
OG0001298	XP_012400182.1	XP_006519681.1, NP_083166.1
OG0001299	XP_023350118.1	NP_001393662.1, NP_001393660.1, NP_001393661.1, XP_011237366.1, NP_001277348.1, NP_758842.1
OG0001300	XP_031810789.1	NP_001398128.1, NP_001398125.1, NP_001355088.1, NP_001398126.1, NP_001398124.1, NP_001398130.1, NP_001398127.1, NP_001005420.1, NP_001398123.1, NP_001398129.1
OG0001301	XP_031810625.1	NP_765992.2, NP_001343403.1, NP_001343404.1, XP_006498378.1
OG0001302	XP_031795346.1, XP_023359967.1, XP_031795345.1	NP_852077.1, XP_006520903.1
OG0001303	XP_031806420.1, XP_031806422.1, XP_031806421.1	NP_075813.2
OG0001304	XP_003759558.1	NP_084185.1, XP_006526414.1
OG0001305	XP_031809218.1, XP_031809221.1, XP_031809219.1, XP_031809220.1	NP_109674.2, XP_006526428.1, NP_001347743.1
OG0001306	XP_031804128.1	NP_808281.1
OG0001306	XP_012398093.2	NP_080551.1
OG0001308	XP_031820935.1	NP_001342633.1, NP_031855.3, NP_001186662.1, XP_006523644.1
OG0001309	XP_031820747.1	NP_035679.3, NP_001155195.1, NP_001155194.1, XP_006524067.1
OG0001310	XP_031820727.1	NP_940813.1
OG0001311	XP_003769122.1	NP_001344059.1, NP_083367.1, XP_011244991.1
OG0001312	XP_031801059.1	NP_112467.2, NP_032854.2
OG0001313	XP_003769227.1, XP_023358828.1, XP_031820552.1, XP_023358829.1, XP_023358832.1, XP_031820551.1	NP_001153201.1, NP_033025.2
OG0001314	XP_003755737.1	NP_061341.1
OG0001315	XP_031796470.1	XP_011239722.1, NP_780307.1
OG0001316	XP_031825062.1	NP_084144.2, NP_001355106.1, XP_006503548.1
OG0001317	XP_003771076.1	NP_084128.2
OG0001318	XP_003773202.1	NP_084421.1, XP_030099715.1, NP_001177933.1
OG0001319	XP_031795264.1	NP_112537.2, NP_778200.1
OG0001320	XP_031795247.1, XP_031795269.1, XP_031795255.1	NP_666279.1, NP_777620.1
OG0001321	XP_003773060.1	NP_001346042.1, NP_001028320.1
OG0001322	XP_031805463.1	XP_006515102.1, NP_796305.3
OG0001324	XP_031823347.1	NP_084065.1, XP_006502323.1, NP_001307421.1
OG0001325	XP_031823365.1	NP_084350.1, XP_006502370.1, NP_001344792.1
OG0001326	XP_023354416.1, XP_031807815.1, XP_031807810.1	NP_077232.2
OG0001327	XP_003771546.1	NP_001157562.1, NP_031556.1
OG0001328	XP_031798987.1, XP_031798988.1	NP_001403854.1, NP_001403853.1, NP_031678.1, NP_001403852.1, NP_001104530.1, NP_001355144.1, NP_862906.1, XP_017174551.1
OG0001329	XP_023362554.1	NP_001129527.1, NP_001258390.1, NP_001258359.1, NP_031682.1, NP_001258391.1, NP_001258360.1, NP_001258361.1
OG0001330	XP_031799450.1	NP_034974.2, XP_006508562.1
OG0001330	XP_031799451.1	XP_006508716.2, NP_083077.2
OG0001331	XP_031798402.1	NP_001403968.1, XP_006508574.1, NP_001036225.1, NP_032793.2, NP_001403969.1, NP_001403970.1
OG0001332	XP_031799482.1	NP_001156418.1
OG0001334	XP_023353955.1, XP_031811135.1, XP_012399054.1	NP_001240646.1
OG0001336	XP_031803873.1, XP_031803872.1, XP_031803868.1, XP_031803874.1, XP_031803870.1, XP_031803871.1	NP_001275554.1, NP_001275555.1, XP_006513264.1, NP_031906.1
OG0001337	XP_031824633.1	XP_011241302.1
OG0001338	XP_023350456.1, XP_012395403.1, XP_012395402.1	NP_001349795.1, XP_006499202.1, NP_780654.1
OG0001339	XP_031798661.1, XP_012407894.1	NP_001364053.1, NP_001364054.1, NP_937819.3, NP_001139556.2
OG0001340	XP_031816613.1, XP_031816612.1	NP_542985.4, XP_006504863.1, NP_001411683.1, NP_001411682.1
OG0001341	XP_031816629.1, XP_031816628.1	NP_001243015.1
OG0001342	XP_003761196.1	NP_742123.2, NP_742124.2
OG0001343	XP_031804673.1	NP_001346782.1, XP_006534894.1, NP_619587.3
OG0001344	XP_031804793.1	XP_030101477.1, NP_766027.2
OG0001345	XP_003771419.1	NP_001159930.1, NP_598847.2, NP_001159928.1, XP_006520298.1
OG0001347	XP_012407029.1	NP_032711.2, NP_001289270.1, NP_001289267.1, XP_006520636.1, NP_001289268.1, NP_001289272.1, NP_001289269.1, NP_001387305.1
OG0001348	XP_003759259.1, XP_031812551.1, XP_031812552.1	NP_033153.2, NP_077770.1, NP_033154.2
OG0001349	XP_031811574.1	NP_663478.2, NP_001123997.1, XP_006527067.1, NP_001123998.1
OG0001350	XP_031811697.1, XP_031811696.1, XP_031811695.1, XP_003755432.1	NP_062632.2, NP_001161977.1, NP_001342171.1, XP_006527291.1, NP_001401593.1, NP_001401592.1
OG0001351	XP_003755416.1, XP_031811706.1, XP_031811704.1, XP_031811705.1	XP_036017329.1, NP_032175.2, NP_001343214.1, NP_001397383.1
OG0001352	XP_031808094.1	NP_001360940.1
OG0001353	XP_031812458.1	XP_036010982.1
OG0001354	XP_023361510.1, XP_003772973.1	NP_082203.1
OG0001355	XP_031813381.1, XP_031813379.1, XP_031813380.1	NP_766410.2, XP_006522181.1
OG0001356	XP_031819447.1	XP_036016023.1, NP_780386.3, NP_001116155.1
OG0001357	XP_031802700.1, XP_003760220.1, XP_023352097.1, XP_023352096.1, XP_023352094.1	NP_001239568.1
OG0001358	XP_003764109.1, XP_023355106.1, XP_023355105.1, XP_023355111.1, XP_023355110.1, XP_031816166.1	NP_032410.2, XP_011236743.1
OG0001361	XP_003763548.1, XP_023354694.1, XP_031815339.1, XP_023354695.1	XP_006528049.1, NP_001034150.1
OG0001362	XP_012401587.1, XP_023356158.1	NP_001404943.1, NP_001404944.1, NP_033086.1, NP_001404946.1, NP_001404945.1
OG0001363	XP_031816682.1	NP_001413215.1, NP_758960.1, XP_030107250.1, NP_001277723.1, NP_001413208.1, NP_001413213.1, NP_001413204.1, NP_001413203.1, NP_001413207.1, NP_001277721.1, NP_001413206.1, NP_001413202.1, NP_001413205.1, NP_001413200.1, NP_001413199.1, NP_001277724.1, NP_001413212.1
OG0001365	XP_012408637.1	NP_001300627.1, NP_001413068.1, XP_006528111.1, NP_036190.2, NP_001413069.1
OG0001372	XP_031815240.1	NP_766366.2
OG0001372	XP_031815244.1	NP_776101.3
OG0001373	XP_031799114.1	NP_114074.1
