Orthogroup	Sarcophilus_harrisii	Urocitellus_parryii
OG0001994	XP_031800315.1	XP_026270855.1
OG0001995	XP_003769501.2, XP_031824403.1, XP_031824450.1, XP_031824451.1	XP_026237150.1
OG0001997	XP_031814221.1, XP_003765926.1, XP_031814220.1, XP_003765927.1	XP_026261131.1
OG0001998	XP_012402695.1	XP_026249376.1
OG0001999	XP_031816091.1	XP_026255100.1
OG0002001	XP_031794451.1, XP_031794016.1, XP_031796590.1	XP_026242389.1, XP_026242388.1, XP_026242390.1
OG0002002	XP_023354342.2, XP_003762971.2	XP_026249024.1
OG0002003	XP_031807550.1	XP_026268045.1
OG0002004	XP_031805326.1	XP_026245980.1
OG0002005	XP_012397096.2	XP_026244041.1
OG0002005	XP_012396932.1	XP_026248978.1
OG0002006	XP_031792879.1, XP_012403174.2	XP_026248672.1
OG0002007	XP_003759373.1	XP_026265828.1, XP_026270196.1
OG0002008	XP_031819289.1	XP_026262024.1
OG0002009	XP_031810242.1	XP_026247014.1, XP_026247015.1
OG0002010	XP_031802125.1	XP_026264872.1, XP_026253094.1
OG0002011	XP_012405628.1	XP_026239319.1, XP_026239320.1
OG0002012	XP_031805873.1, XP_031805870.1, XP_031805869.1, XP_031805346.1	XP_026255006.1
OG0002013	XP_031799989.1	XP_026241976.1
OG0002014	XP_003755796.1	XP_026267813.1, XP_026236409.1, XP_026236406.1
OG0002015	XP_003763311.2	XP_026235219.1
OG0002016	XP_003774009.2, XP_003774012.3, XP_003773928.1	XP_026262315.1, XP_026262371.1
OG0002017	XP_012408092.1	XP_026237113.1, XP_026237435.1
OG0002018	XP_012405542.1	XP_026242340.1, XP_026242253.1
OG0002019	XP_003764872.1, XP_003764879.2, XP_031813131.1, XP_031813135.1, XP_031817337.1, XP_003764876.2, XP_012400876.2	XP_026256891.1, XP_026256695.1
OG0002020	XP_031818999.1	XP_026267970.1
OG0002021	XP_023352054.2, XP_003760157.3, XP_031802575.1, XP_012397039.2, XP_023352060.2, XP_031802576.1, XP_023352059.2, XP_023352058.2	XP_026244465.1
OG0002022	XP_031793531.1, XP_031793530.1	XP_026253404.1
OG0002023	XP_031793403.1, XP_031793404.1	XP_026237758.1
OG0002024	XP_031816182.1	XP_026262704.1, XP_026262703.1
OG0002026	XP_031819256.1	XP_026261975.1
OG0002027	XP_031817615.1	XP_026262016.1, XP_026262017.1
OG0002029	XP_031818969.1	XP_026267340.1, XP_026237101.1
OG0002030	XP_003763431.1	XP_026235853.1, XP_026265877.1
OG0002031	XP_031819654.1, XP_003765188.2	XP_026247075.1
OG0002032	XP_012406343.1, XP_023360493.1, XP_031794482.1, XP_012406344.1	XP_026236582.1
OG0002033	XP_031809310.1	XP_026240246.1
OG0002034	XP_023351531.1	XP_026241705.1
OG0002035	XP_031810302.1	XP_026266012.1
OG0002036	XP_003764993.2	XP_026259403.1
OG0002037	XP_031817394.1	XP_026259385.1, XP_026259384.1
OG0002038	XP_031818514.1, XP_031818516.1, XP_031818515.1, XP_031818508.1, XP_031818511.1, XP_031818513.1, XP_031818518.1, XP_031818510.1, XP_031818512.1, XP_031818517.1, XP_031818509.1	XP_026259424.1
OG0002039	XP_031818598.1, XP_031818603.1	XP_026256621.1, XP_026256635.1
OG0002040	XP_031823795.1	XP_026241649.1, XP_026241650.1
OG0002041	XP_031794196.1, XP_031794197.1, XP_031794195.1	XP_026269956.1, XP_026269958.1, XP_026269957.1, XP_026269955.1
OG0002042	XP_031811554.1, XP_031811553.1	XP_026244030.1, XP_026244031.1, XP_026244028.1, XP_026244029.1, XP_026244027.1
OG0002043	XP_012397116.1	XP_026243910.1, XP_026243912.1, XP_026243909.1
OG0002044	XP_031797564.1	XP_026251081.1
OG0002045	XP_023361840.1, XP_031800048.1, XP_003773399.1	XP_026259157.1
OG0002046	XP_012402959.1, XP_031812417.1	XP_026261617.1, XP_026261618.1
OG0002047	XP_031809485.1, XP_003756836.1, XP_031809484.1, XP_031796087.1	XP_026251144.1, XP_026251145.1, XP_026251146.1, XP_026270817.1
OG0002048	XP_023361631.2	XP_026245526.1
OG0002048	XP_031809435.1	XP_026244068.1
OG0002049	XP_031805375.1, XP_012396140.1, XP_031805373.1	XP_026240304.1
OG0002050	XP_031819993.1, XP_031819968.1, XP_031819977.1, XP_031819985.1	XP_026245936.1
OG0002051	XP_031818829.1, XP_031818828.1, XP_012401189.1	XP_026268668.1
OG0002053	XP_031815969.1, XP_003760471.2	XP_026252171.1
OG0002054	XP_023358608.1, XP_003768917.1	XP_026265198.1, XP_026265199.1
OG0002055	XP_023353082.1, XP_031793394.1, XP_003761373.1	XP_026236117.1, XP_026236116.1, XP_026236118.1, XP_026236120.1, XP_026236119.1
OG0002056	XP_031824856.1, XP_031824858.1, XP_031824857.1, XP_031824860.1, XP_031824859.1, XP_031824855.1	XP_026264513.1
OG0002057	XP_031818928.1, XP_031818929.1	XP_026270702.1, XP_026270703.1
OG0002059	XP_031805842.1, XP_031805843.1	XP_026254986.1, XP_026254985.1
OG0002060	XP_031805844.1	XP_026254981.1
OG0002061	XP_031805952.1	XP_026260257.1
OG0002062	XP_003758490.1, XP_031806074.1	XP_026260294.1, XP_026260293.1
OG0002063	XP_012398116.1, XP_003761380.1	XP_026256175.1, XP_026256173.1, XP_026256174.1
OG0002064	XP_031823744.1	XP_026256254.1, XP_026256253.1
OG0002065	XP_031821097.1	XP_026263574.1, XP_026270079.1
OG0002066	XP_031819204.1, XP_031819219.1, XP_031819196.1, XP_031819212.1	XP_026236718.1
OG0002067	XP_031801679.1	XP_026241359.1
OG0002068	XP_031823029.1, XP_031823028.1	XP_026235466.1
OG0002069	XP_023359158.2	XP_026237751.1, XP_026265407.1, XP_026265408.1, XP_026235188.1
OG0002070	XP_003767591.1, XP_023357608.1	XP_026257286.1
OG0002071	XP_003768190.2	XP_026260810.1
OG0002072	XP_031808399.1	XP_026257966.1, XP_026257975.1, XP_026257994.1, XP_026257984.1, XP_026257990.1
OG0002073	XP_031808365.1	XP_026257673.1
OG0002074	XP_003768533.1	XP_026258038.1
OG0002075	XP_003768463.1	XP_026264023.1
OG0002075	XP_031816230.1	XP_026235739.1
OG0002076	XP_023358140.1	XP_026242490.1, XP_026242489.1, XP_026242488.1
OG0002077	XP_031821966.1, XP_012403843.1, XP_031821965.1	XP_026242858.1
OG0002078	XP_023363175.2	XP_026242166.1, XP_026242169.1, XP_026242167.1
OG0002079	XP_031797065.1	XP_026254074.1, XP_026254069.1, XP_026254068.1, XP_026254071.1, XP_026254073.1, XP_026254070.1, XP_026254067.1
OG0002080	XP_031797048.1, XP_031797049.1, XP_031797051.1, XP_031797050.1	XP_026254173.1, XP_026254172.1
OG0002081	XP_031796876.1, XP_031796878.1, XP_031796877.1	XP_026267278.1, XP_026267277.1
OG0002082	XP_003765698.1	XP_026268358.1
OG0002083	XP_003758320.1	XP_026255679.1
OG0002084	XP_031806457.1	XP_026242945.1
OG0002085	XP_031801213.1	XP_026235370.1, XP_026235363.1
OG0002086	XP_031793108.1	XP_026234997.1
OG0002087	XP_031801395.1, XP_003761885.1, XP_031801394.1, XP_031801396.1, XP_023353462.1	XP_026271058.1
OG0002088	XP_003757355.1	XP_026249092.1
OG0002089	XP_031821021.1, XP_003768957.1	XP_026271169.1, XP_026271167.1
OG0002090	XP_031820832.1	XP_026239266.1, XP_026239269.1, XP_026239268.1, XP_026239267.1
OG0002091	XP_023358736.1	XP_026239230.1
OG0002092	XP_031803129.1, XP_023352293.1, XP_031803127.1, XP_031803128.1	XP_026258837.1, XP_026258836.1
OG0002093	XP_003760563.1	XP_026265702.1
OG0002094	XP_031805393.1, XP_012399134.1, XP_003754998.1, XP_003754997.1	XP_026237976.1
OG0002095	XP_012406499.2	XP_026248563.1
OG0002096	XP_003771630.1	XP_026267454.1
OG0002097	XP_031794488.1	XP_026255132.1
OG0002098	XP_031796443.1	XP_026256001.1
OG0002099	XP_031818046.1	XP_026249188.1, XP_026249189.1, XP_026249190.1
OG0002100	XP_031825113.1	XP_026253490.1
OG0002101	XP_012396622.1, XP_031797507.1	XP_026240471.1
OG0002102	XP_003774491.1	XP_026245288.1
OG0002102	XP_003764375.1	XP_026251908.1
OG0002103	XP_023361234.1	XP_026254359.1
OG0002105	XP_031798804.1, XP_003773079.1, XP_003773080.2	XP_026246438.1
OG0002106	XP_003773084.1, XP_003773093.1	XP_026256380.1, XP_026256392.1
OG0002108	XP_031807302.1, XP_012395288.1	XP_026259939.1
OG0002109	XP_031823238.1, XP_003769893.1	XP_026263086.1, XP_026263085.1
OG0002110	XP_003769990.1	XP_026238535.1
OG0002111	XP_031794610.1	XP_026251542.1
OG0002112	XP_023360500.1	XP_026240753.1
OG0002113	XP_031798386.1	XP_026235154.1
OG0002114	XP_031799495.1	XP_026252335.1
OG0002115	XP_031798479.1	XP_026270187.1
OG0002116	XP_031798792.1	XP_026263355.1, XP_026263356.1
OG0002117	XP_003774017.2, XP_003774016.1, XP_031799541.1, XP_003774015.1	XP_026262320.1
OG0002118	XP_031815840.1	XP_026252872.1
OG0002119	XP_031812498.1	XP_026266690.1
OG0002120	XP_031810608.1	XP_026238761.1
OG0002121	XP_023353897.2	XP_026264810.1
OG0002122	XP_031809098.1	XP_026257807.1
OG0002123	XP_031809004.1	XP_026244427.1
OG0002124	XP_031803825.1	XP_026245626.1, XP_026245628.1, XP_026245627.1
OG0002125	XP_031803741.1	XP_026260175.1, XP_026260174.1
OG0002126	XP_031800024.1	XP_026251687.1
OG0002127	XP_031817773.1, XP_031817774.1	XP_026236827.1
OG0002128	XP_031814257.1	XP_026267746.1
OG0002129	XP_031813676.1	XP_026240847.1
OG0002130	XP_031806946.1	XP_026241626.1
OG0002131	XP_003758237.1	XP_026241621.1
OG0002132	XP_012395252.1, XP_012395251.1	XP_026238973.1, XP_026238972.1
OG0002133	XP_023350291.1	XP_026246729.1
OG0002134	XP_031807477.1, XP_003757744.1, XP_031807479.1, XP_031807478.1, XP_023350288.1	XP_026246781.1, XP_026246782.1, XP_026246783.1
OG0002135	XP_031804425.1	XP_026241939.1
OG0002136	XP_031793621.1	XP_026254443.1
OG0002138	XP_012406180.1	XP_026259085.1
OG0002139	XP_023360352.1	XP_026267892.1
OG0002140	XP_031793987.1	XP_026271034.1
OG0002141	XP_031805219.1	XP_026244955.1
OG0002142	XP_031812941.1, XP_031812942.1	XP_026237187.1
OG0002143	XP_003759715.1, XP_031802067.1	XP_026238619.1, XP_026239580.1
OG0002144	XP_031807923.1, XP_012401336.1, XP_031807925.1	XP_026249300.1
OG0002144	XP_023355906.2	XP_026246136.1
OG0002145	XP_031812676.1	XP_026243582.1
OG0002146	XP_003755797.1	XP_026267799.1
OG0002147	XP_003772994.1	XP_026253895.1
OG0002148	XP_012407433.1	XP_026264805.1
OG0002149	XP_031815536.1	XP_026252132.1
OG0002151	XP_031813481.1, XP_012402062.1	XP_026259438.1, XP_026259437.1
OG0002152	XP_023352100.1	XP_026240374.1
OG0002153	XP_031802638.1, XP_031802637.1	XP_026263504.1
OG0002154	XP_003764107.1	XP_026244844.1
OG0002155	XP_003766010.2	XP_026259130.1, XP_026259132.1
OG0002156	XP_003767773.1	XP_026262930.1, XP_026262931.1
OG0002157	XP_023357849.1, XP_023357850.1, XP_012403448.1	XP_026237625.1
OG0002158	XP_031801045.1	XP_026261403.1
OG0002160	XP_031809576.1	XP_026254034.1, XP_026254033.1
OG0002162	XP_023359952.2	XP_026235562.1
OG0002165	XP_003764328.1	XP_026248256.1, XP_026248275.1
OG0002166	XP_031798391.1, XP_031798400.1	XP_026258286.1
OG0002167	XP_003768210.2	XP_026242570.1
OG0002168	XP_031811288.1	XP_026240675.1
OG0002168	XP_031803812.1	XP_026245706.1
OG0002169	XP_031806444.1	XP_026242943.1
OG0002169	XP_031797558.1	XP_026252358.1
OG0002170	XP_003758875.1	XP_026257582.1
OG0002171	XP_003764942.1	XP_026259365.1
OG0002172	XP_031824109.1	XP_026251828.1, XP_026251819.1
OG0002173	XP_031809613.1	XP_026248479.1, XP_026248481.1, XP_026248480.1
OG0002174	XP_031825179.1, XP_031825181.1, XP_031825180.1	XP_026258890.1
OG0002175	XP_031817882.1	XP_026256762.1
OG0002176	XP_031804771.1, XP_003762716.2, XP_031804767.1, XP_031804768.1, XP_031804769.1	XP_026264729.1
OG0002177	XP_031814855.1, XP_031814853.1, XP_003765620.1, XP_031814854.1	XP_026250944.1, XP_026250943.1
OG0002178	XP_031796332.1	XP_026264441.1
OG0002179	XP_031820861.1	XP_026239331.1
OG0002180	XP_031825077.1	XP_026253591.1
OG0002181	XP_031825073.1	XP_026253590.1
OG0002182	XP_031797684.1	XP_026265379.1
OG0002183	XP_012395663.1	XP_026244704.1, XP_026255693.1
OG0002184	XP_031794545.1	XP_026271262.1
OG0002184	XP_031811459.1	XP_026244047.1
OG0002185	XP_031809456.1, XP_031809457.1	XP_026244082.1, XP_026244079.1
OG0002186	XP_031818476.1	XP_026259377.1
OG0002187	XP_031802018.1	XP_026260430.1
OG0002188	XP_012407260.1	XP_026270440.1
OG0002189	XP_031800059.1	XP_026251599.1
OG0002190	XP_003769819.1	XP_026258575.1, XP_026238095.1, XP_026269157.1
OG0002191	XP_003768296.1	XP_026242734.1
OG0002191	XP_003768297.1	XP_026242596.1
OG0002192	XP_003773980.1, XP_023362203.1, XP_003773977.1, XP_003773976.1, XP_003773972.1, XP_003773973.1	XP_026262358.1
OG0002193	XP_031817338.1, XP_031817340.1, XP_031813133.1	XP_026256870.1
OG0002194	XP_012409205.1, XP_012396243.1	XP_026270814.1
OG0002195	XP_003767935.1	XP_026263775.1, XP_026263774.1
OG0002196	XP_012400906.1, XP_003764860.1, XP_003764862.1	XP_026256720.1
OG0002197	XP_003773840.3, XP_023362163.2, XP_003773848.1, XP_012408113.1	XP_026235403.1
OG0002198	XP_031802544.1, XP_003760133.1	XP_026257756.1
OG0002199	XP_003755656.2	XP_026240687.1
OG0002199	XP_012398564.2	XP_026249824.1
OG0002200	XP_031801810.1	XP_026249585.1
OG0002201	XP_031816948.1	XP_026262719.1
OG0002202	XP_031805352.1	XP_026236955.1
OG0002203	XP_031817590.1	XP_026262028.1
OG0002204	XP_031817592.1, XP_031817619.1	XP_026262197.1, XP_026262198.1, XP_026262199.1
OG0002207	XP_012402430.2	XP_026247024.1
OG0002208	XP_003771498.1	XP_026236577.1
OG0002209	XP_003772996.1	XP_026235340.1, XP_026257958.1
OG0002210	XP_012406893.1	XP_026240180.1
OG0002211	XP_023351593.1, XP_003759509.1	XP_026249072.1
OG0002212	XP_031805788.1	XP_026251504.1, XP_026251503.1, XP_026251502.1
OG0002213	XP_031810322.1	XP_026248030.1, XP_026248029.1
OG0002214	XP_031818167.1	XP_026262626.1
OG0002215	XP_012401467.1	XP_026247367.1
OG0002216	XP_031805732.1, XP_031817057.1, XP_031818466.1	XP_026259417.1
OG0002217	XP_031818656.1, XP_031818655.1	XP_026256579.1
OG0002218	XP_012397639.2, XP_003755593.1	XP_026244049.1, XP_026244021.1
OG0002219	XP_031802624.1	XP_026251070.1
OG0002220	XP_003761761.1	XP_026247096.1
OG0002221	XP_012398288.1, XP_003755650.1, XP_023353333.1	XP_026262763.1, XP_026262761.1, XP_026262762.1
OG0002222	XP_031811427.1	XP_026243991.1
OG0002223	XP_023361819.1, XP_003773361.1	XP_026241563.1
OG0002224	XP_031798344.1, XP_031798345.1, XP_012407753.1, XP_031798118.1, XP_031797724.1	XP_026259531.1
OG0002225	XP_003755070.1	XP_026250403.1
OG0002226	XP_031812414.1	XP_026261572.1
OG0002227	XP_012408916.1	XP_026261584.1, XP_026261585.1
OG0002228	XP_031809483.1, XP_003756831.1	XP_026251143.1, XP_026251142.1
OG0002229	XP_031809472.1	XP_026251164.1
OG0002230	XP_031805274.1, XP_003756810.1	XP_026244133.1
OG0002231	XP_003759689.1	XP_026249414.1
OG0002232	XP_003761930.2	XP_026247961.1
OG0002233	XP_031816779.1	XP_026260377.1, XP_026260376.1
OG0002234	XP_003764297.1, XP_031816973.1, XP_031816972.1	XP_026248380.1
OG0002235	XP_012404182.1	XP_026246291.1
OG0002236	XP_031824827.1	XP_026266801.1
OG0002237	XP_031824936.1	XP_026238016.1, XP_026238010.1
OG0002238	XP_031824957.1	XP_026238033.1, XP_026238037.1, XP_026238041.1, XP_026238030.1
OG0002239	XP_031817420.1	XP_026241912.1
OG0002240	XP_031818795.1	XP_026241775.1, XP_026241773.1
OG0002241	XP_031806072.1	XP_026267198.1, XP_026267197.1
OG0002243	XP_003774603.1	XP_026263403.1, XP_026263404.1
OG0002244	XP_003770112.1	XP_026256189.1
OG0002245	XP_031823790.1	XP_026252715.1
OG0002246	XP_012404268.1	XP_026269003.1
OG0002247	XP_023358609.1, XP_031824286.1, XP_003768918.1, XP_012404298.1	XP_026259938.1
OG0002248	XP_031808157.1, XP_031808155.1	XP_026250053.1, XP_026250054.1
OG0002249	XP_031797122.1	XP_026261494.1
OG0002250	XP_012398345.1, XP_023353305.1, XP_023353304.1, XP_012398347.1	XP_026256150.1
OG0002253	XP_031822997.1, XP_031822996.1, XP_031822998.1	XP_026257183.1
OG0002254	XP_031825188.1, XP_003767275.1, XP_031825189.1, XP_031825190.1	XP_026258898.1
OG0002255	XP_031825196.1, XP_031825195.1, XP_031825197.1	XP_026258882.1, XP_026258883.1, XP_026258884.1, XP_026258881.1
OG0002256	XP_003767372.1, XP_031825242.1	XP_026259121.1, XP_026259122.1
OG0002257	XP_031792907.1	XP_026248660.1
OG0002258	XP_031792782.1	XP_026244295.1
OG0002259	XP_003768143.1, XP_031822640.1	XP_026260864.1
OG0002261	XP_023358035.1	XP_026260722.1
OG0002262	XP_012396613.1, XP_003759588.2	XP_026249576.1
OG0002263	XP_003756188.1	XP_026250020.1
OG0002264	XP_031808823.1	XP_026267097.1
OG0002265	XP_012396135.1, XP_023351169.1	XP_026239919.1, XP_026239920.1
OG0002266	XP_012402819.2	XP_026250010.1
OG0002268	XP_031809160.1	XP_026255204.1
OG0002269	XP_031809074.1	XP_026269573.1
OG0002270	XP_031809014.1	XP_026261350.1, XP_026261210.1
OG0002271	XP_031798445.1	XP_026235139.1
OG0002272	XP_003768425.1	XP_026242580.1
OG0002273	XP_031807843.1	XP_026251255.1
OG0002275	XP_003768698.1	XP_026264195.1, XP_026264196.1, XP_026264197.1, XP_026264198.1, XP_026264199.1, XP_026264194.1
OG0002276	XP_031801936.1	XP_026258045.1
OG0002277	XP_003768249.1	XP_026242922.1
OG0002279	XP_031807825.1	XP_026251320.1
OG0002280	XP_031805306.1, XP_031805303.1, XP_031805302.1, XP_031805307.1, XP_031805305.1, XP_012409460.1, XP_031805301.1, XP_031805304.1	XP_026251206.1
OG0002281	XP_003757459.1	XP_026242342.1
OG0002282	XP_031810667.1	XP_026242264.1
OG0002283	XP_031810559.1	XP_026242244.1
OG0002284	XP_031810540.1	XP_026242313.1
OG0002285	XP_031810116.1, XP_031810117.1, XP_012409152.1	XP_026242162.1
OG0002286	XP_031796224.1	XP_026269353.1
OG0002287	XP_012405849.2	XP_026269329.1, XP_026269326.1, XP_026269328.1, XP_026269330.1, XP_026269327.1
OG0002289	XP_003771173.3	XP_026265966.1
OG0002290	XP_031806430.1	XP_026242995.1, XP_026242993.1
OG0002291	XP_031806450.1	XP_026235509.1, XP_026242992.1
OG0002292	XP_031809205.1, XP_003756632.1, XP_031809206.1, XP_031809208.1	XP_026256997.1
OG0002293	XP_003761819.1	XP_026243683.1, XP_026243682.1, XP_026243684.1
OG0002294	XP_003761811.2	XP_026270411.1
OG0002295	XP_003761910.1	XP_026271276.1, XP_026235741.1
OG0002296	XP_023358981.1	XP_026236644.1
OG0002297	XP_031820588.1, XP_031820587.1, XP_003769196.1	XP_026256670.1, XP_026256668.1
OG0002298	XP_031820441.1	XP_026266269.1
OG0002299	XP_012404679.1	XP_026248548.1
OG0002300	XP_031820349.1	XP_026258300.1
OG0002301	XP_031820340.1	XP_026245425.1
OG0002302	XP_031793733.1, XP_031793734.1, XP_012406945.1	XP_026254534.1, XP_026254535.1
OG0002303	XP_031799362.1	XP_026236431.1, XP_026236434.1
OG0002304	XP_031803990.1	XP_026270474.1, XP_026248602.1
OG0002305	XP_023360874.1	XP_026255152.1, XP_026255146.1, XP_026255150.1, XP_026255149.1, XP_026255147.1, XP_026255148.1, XP_026255153.1, XP_026255151.1
OG0002306	XP_003771562.1, XP_023360564.1	XP_026264058.1
OG0002307	XP_023360566.2, XP_012397463.1	XP_026264070.1
OG0002309	XP_003765410.1, XP_031818010.1, XP_031818012.1, XP_031818008.1, XP_031818009.1, XP_031818011.1, XP_031818013.1, XP_031818014.1	XP_026249223.1
OG0002310	XP_031825052.1	XP_026253507.1
OG0002311	XP_031825098.1	XP_026253460.1
OG0002312	XP_023361715.1, XP_023361714.1	XP_026240540.1, XP_026240538.1, XP_026240539.1
OG0002314	XP_003771741.1	XP_026265190.1
OG0002315	XP_003771674.1, XP_003771675.1	XP_026235698.1
OG0002316	XP_003771814.1	XP_026235592.1
OG0002318	XP_031798548.1	XP_026265218.1
OG0002319	XP_031797322.1	XP_026269835.1
OG0002320	XP_031805421.1	XP_026266514.1
OG0002321	XP_031807194.1	XP_026238724.1
OG0002322	XP_012395985.1	XP_026251866.1
OG0002323	XP_031805497.1	XP_026253255.1
OG0002324	XP_031823286.1, XP_012405120.1, XP_031823285.1	XP_026236760.1
OG0002325	XP_012405186.1	XP_026259820.1
OG0002326	XP_003773905.3, XP_023362170.1	XP_026236225.1, XP_026236216.1
OG0002327	XP_023362154.2	XP_026254856.1
OG0002328	XP_012408277.1, XP_003774166.1	XP_026252280.1, XP_026252279.1
OG0002329	XP_031800051.1, XP_031800050.1, XP_031800049.1	XP_026241992.1
OG0002330	XP_003773236.1	XP_026241969.1
OG0002331	XP_031815707.1	XP_026244051.1
OG0002332	XP_031816551.1	XP_026244672.1
OG0002333	XP_003762700.2	XP_026244335.1
OG0002334	XP_031807930.1	XP_026244399.1, XP_026244400.1
OG0002335	XP_031811669.1, XP_031811663.1	XP_026238775.1
OG0002336	XP_023353861.1, XP_023353862.1	XP_026253639.1
OG0002337	XP_003762612.1	XP_026244355.1, XP_026244356.1, XP_026244357.1
OG0002338	XP_003762644.1	XP_026239605.1, XP_026239604.1
OG0002340	XP_023353835.1, XP_012398955.1, XP_003762307.1, XP_003762308.1	XP_026239784.1
OG0002341	XP_031815476.1, XP_031815493.1, XP_031815481.1, XP_031815497.1, XP_031815487.1	XP_026239801.1
OG0002342	XP_031793543.1, XP_031793536.1	XP_026245617.1, XP_026245619.1
OG0002343	XP_031803765.1	XP_026245836.1
OG0002344	XP_031803796.1	XP_026245813.1
OG0002345	XP_031816902.1, XP_003764344.1, XP_023355258.1, XP_031816903.1, XP_031816904.1	XP_026258529.1
OG0002346	XP_012400766.1	XP_026240536.1, XP_026240537.1
OG0002347	XP_003764663.1	XP_026243099.1, XP_026243100.1
OG0002348	XP_031817311.1	XP_026264919.1
OG0002349	XP_031817320.1, XP_031817321.1	XP_026264937.1
OG0002350	XP_003764897.1	XP_026256794.1
OG0002351	XP_031807518.1	XP_026262232.1, XP_026261687.1, XP_026261362.1, XP_026257413.1, XP_026261702.1
OG0002352	XP_003763771.1	XP_026240788.1
OG0002353	XP_031806971.1, XP_031806970.1, XP_031806969.1, XP_031806972.1, XP_031806968.1	XP_026241619.1
OG0002354	XP_031809973.1, XP_031809974.1, XP_003757062.1, XP_031809972.1	XP_026257910.1
OG0002355	XP_023362893.2	XP_026239054.1
OG0002356	XP_031824001.1, XP_031824000.1	XP_026268552.1
OG0002357	XP_031806732.1, XP_031806731.1, XP_031806730.1	XP_026253341.1, XP_026253340.1
OG0002358	XP_003770205.1	XP_026268520.1
OG0002359	XP_012406256.1, XP_012406254.1, XP_012406255.1, XP_012406253.1	XP_026238647.1
OG0002360	XP_031794118.1, XP_031794120.1, XP_031802556.1, XP_031794119.1	XP_026259050.1
OG0002362	XP_003772759.2	XP_026266494.1, XP_026248152.1, XP_026248149.1
OG0002364	XP_031812556.1	XP_026250552.1
OG0002365	XP_031811587.1, XP_031811588.1, XP_031811590.1, XP_031811589.1, XP_012397197.1, XP_003755491.1, XP_031811591.1	XP_026263715.1
OG0002366	XP_023351764.1	XP_026244904.1
OG0002367	XP_003759811.1	XP_026264274.1
OG0002367	XP_012396768.1	XP_026264286.1
OG0002368	XP_012401262.1, XP_003756011.1	XP_026248419.1, XP_026248410.1
OG0002369	XP_003756016.2	XP_026248517.1
OG0002370	XP_012401550.1, XP_003756044.1, XP_031807977.1, XP_023356227.1	XP_026248708.1
OG0002371	XP_031808020.1, XP_031808022.1, XP_031808021.1	XP_026248772.1
OG0002372	XP_023353437.1, XP_031811312.1, XP_031811308.1, XP_031811310.1, XP_031811311.1, XP_012398462.1, XP_003755660.1, XP_023353433.1, XP_031811309.1	XP_026240678.1
OG0002373	XP_023353751.1, XP_031811233.1	XP_026240566.1
OG0002374	XP_003763395.1	XP_026255183.1
OG0002375	XP_003763428.1, XP_012399835.1	XP_026265866.1
OG0002376	XP_031798216.1	XP_026260436.1, XP_026258954.1
OG0002377	XP_031797845.1	XP_026260994.1
OG0002378	XP_031800030.1	XP_026264791.1, XP_026264790.1
OG0002379	XP_003763578.1	XP_026259343.1
OG0002380	XP_023354807.2	XP_026251654.1
OG0002381	XP_031794372.1, XP_031801106.1	XP_026245166.1, XP_026262759.1
OG0002382	XP_023362772.2	XP_026248024.1
OG0002383	XP_031813389.1, XP_031813387.1, XP_031813388.1, XP_031816969.1	XP_026245171.1
OG0002384	XP_023357159.1	XP_026245204.1
OG0002385	XP_023359758.1	XP_026270406.1, XP_026270395.1
OG0002386	XP_003760236.3	XP_026240432.1
OG0002387	XP_031802707.1, XP_023352105.1, XP_031802706.1, XP_023352104.1, XP_023352106.1	XP_026240383.1, XP_026240382.1, XP_026240384.1
OG0002388	XP_012404130.1	XP_026263481.1
OG0002389	XP_031821103.1, XP_031821104.1	XP_026271092.1
OG0002390	XP_003764096.1	XP_026244856.1, XP_026244854.1
OG0002391	XP_031814105.1, XP_031814104.1, XP_031814103.1	XP_026250354.1
OG0002392	XP_003767651.2	XP_026252974.1, XP_026252975.1
OG0002393	XP_031800406.1, XP_031800405.1	XP_026268597.1
OG0002394	XP_003765605.1, XP_031814828.1	XP_026252515.1, XP_026252514.1
OG0002395	XP_003763560.1, XP_031792909.1	XP_026261217.1
OG0002402	XP_031817291.1, XP_031817292.1, XP_031817293.1	XP_026235288.1
OG0002403	XP_003755215.3	XP_026243929.1
OG0002404	XP_003768202.1	XP_026264117.1, XP_026242805.1, XP_026255194.1
OG0002405	XP_031800608.1	XP_026268579.1, XP_026268578.1, XP_026268577.1, XP_026268576.1
OG0002406	XP_031808591.1	XP_026240974.1
OG0002407	XP_003770231.3	XP_026245121.1, XP_026245122.1, XP_026245120.1
OG0002408	XP_031807749.1	XP_026251195.1
OG0002409	XP_031794089.1, XP_031794088.1	XP_026265080.1
OG0002410	XP_012398776.1	XP_026247929.1
OG0002411	XP_031817499.1, XP_012402643.2	XP_026267378.1
OG0002412	XP_003772957.1	XP_026239250.1
OG0002413	XP_003769001.1	XP_026239402.1
OG0002414	XP_012396229.2	XP_026261658.1
OG0002416	XP_012401686.1, XP_012405431.1, XP_003770306.2, XP_012405433.1	XP_026266685.1, XP_026266656.1
OG0002417	XP_031801590.1	XP_026241142.1
OG0002418	XP_012399572.1	XP_026271260.1
OG0002419	XP_003758329.1	XP_026255664.1
OG0002420	XP_003758221.1	XP_026253438.1
OG0002421	XP_031809516.1	XP_026257118.1
OG0002422	XP_003756510.1	XP_026255963.1
