Orthogroup	Sarcophilus_harrisii	Ictidomys_tridecemlineatus
OG0001656	XP_023361867.1	XP_021577881.1
OG0001657	XP_012406539.1	XP_005326760.1
OG0001657	XP_003771752.1	XP_005326759.1
OG0001658	XP_031809774.1	XP_005343041.2
OG0001659	XP_012406358.1, XP_031794455.1, XP_003771478.1, XP_031794456.1	XP_005334325.1
OG0001660	XP_003760989.1	XP_005336390.1
OG0001660	XP_012397794.2	XP_021589598.2
OG0001661	XP_012403735.3	XP_013212530.1, XP_040124723.1
OG0001662	XP_012398656.1	NP_001299611.1
OG0001663	XP_031799688.1	XP_013213534.1
OG0001664	XP_003771748.1, XP_003771769.1	XP_005326681.1, XP_040147074.1
OG0001665	XP_012408093.1	XP_005330001.1, XP_005330002.1, XP_005341600.1, XP_005341586.1, XP_005330113.1, XP_005341598.1, XP_021576647.2
OG0001666	XP_003773911.1	XP_005331745.1, XP_005331746.1
OG0001667	XP_003769905.1, XP_031823270.1	XP_021576519.1
OG0001668	XP_031793517.1	XP_040139363.1
OG0001669	XP_031793491.1	XP_040138004.1
OG0001670	XP_012398105.1	XP_013217269.1, XP_040127052.1
OG0001671	XP_031820006.1, XP_003766804.1	XP_005342460.1, XP_005342461.1
OG0001674	XP_003769094.2	XP_013211272.1, XP_005318758.1, XP_040127239.1
OG0001675	XP_003766345.2	XP_040136084.1
OG0001676	XP_031819116.1	XP_021590838.1
OG0001677	XP_031818984.1, XP_031818985.1	XP_005336464.1
OG0001678	XP_031818136.1, XP_031818135.1, XP_031818134.1	XP_040144232.1, XP_005317798.1, XP_013219533.1
OG0001679	XP_003759877.1	XP_005326205.1
OG0001680	XP_003762933.1	XP_040131207.1, XP_040127251.1, XP_005335859.1
OG0001681	XP_031800058.1	XP_021578382.1, XP_040148481.1
OG0001682	XP_031809464.1	XP_021582153.1
OG0001682	XP_031812893.1	XP_021579063.1
OG0001684	XP_003764441.1	XP_040141451.1
OG0001685	XP_031816797.1	XP_040141450.1, XP_021585825.1, XP_005330822.1
OG0001686	XP_003764197.1	XP_005328384.1
OG0001687	XP_031824776.1, XP_031824772.1, XP_031824775.1, XP_031824771.1, XP_031824773.1, XP_023359739.2	XP_040145123.1
OG0001688	XP_031824938.1, XP_031824940.1, XP_031824937.1, XP_031824939.1	XP_013214431.1, XP_013214430.1, XP_021582507.1
OG0001689	XP_031824953.1	XP_040144626.1
OG0001690	XP_031818758.1, XP_031818759.1, XP_031818760.1	XP_040143839.1
OG0001691	XP_031806164.1	XP_005318359.1
OG0001692	XP_031806159.1, XP_031806161.1, XP_031806160.1	XP_013222004.1, XP_021577312.1, XP_021577311.1
OG0001693	XP_003775033.2	XP_005315914.1
OG0001694	XP_031823044.1	XP_040144978.1
OG0001695	XP_031823756.1	XP_005328611.1
OG0001695	XP_031823458.1	XP_005327828.1
OG0001696	XP_031823800.1	XP_013215532.1
OG0001697	XP_031823824.1	XP_005320282.1, XP_005328575.1
OG0001698	XP_031814814.1	XP_005328541.1
OG0001699	XP_031801428.1, XP_012399377.1	XP_021575643.1
OG0001700	XP_003756616.2	XP_005333955.1, XP_005343080.3
OG0001701	XP_023353236.1, XP_031797116.1, XP_003761563.1	XP_040134608.1
OG0001702	XP_012398402.2	XP_005341969.1, XP_005327245.1
OG0001703	XP_031821613.1	XP_005332581.1
OG0001703	XP_003762065.1	XP_040133350.1
OG0001704	XP_031792607.1	XP_005334131.1
OG0001705	XP_031824316.1	XP_040129738.1, XP_013214184.1
OG0001706	XP_031810204.1	XP_021585990.1
OG0001706	XP_031792994.1	XP_040134371.1
OG0001707	XP_031793138.1	XP_013218687.1, XP_040134154.1
OG0001708	XP_031792700.1	XP_040133577.1
OG0001709	XP_023357982.1, XP_003768066.1, XP_012403610.1	XP_040143531.1, XP_005331331.1
OG0001710	XP_031801868.1	XP_040129411.1, XP_040129404.1
OG0001710	XP_031801869.1	XP_040129419.1
OG0001711	XP_012396634.1	XP_005325628.1
OG0001712	XP_031808835.1, XP_031808834.1	XP_005338007.1
OG0001713	XP_012404884.1	XP_005341975.1, XP_005334689.1
OG0001714	XP_031821511.1	XP_005332728.1, XP_005332730.1
OG0001715	XP_023358418.1	XP_005332683.1, XP_013217151.1, XP_013217150.1
OG0001716	XP_023358286.1	XP_005332603.1
OG0001716	XP_023353240.1	XP_005339534.2
OG0001717	XP_012403996.1	XP_040126479.1, XP_021589400.1
OG0001718	XP_003768473.1, XP_012403899.1	XP_040124618.1
OG0001719	XP_031821878.1, XP_031821879.1, XP_031821877.1, XP_031821875.1, XP_031821880.1	XP_005328174.1
OG0001720	XP_031823456.1	XP_005327822.1
OG0001721	XP_031807708.1	XP_021589960.1
OG0001721	XP_031803535.1	XP_040146928.1
OG0001722	XP_031796397.1	XP_013219832.2, XP_005342928.1
OG0001723	XP_031794410.1, XP_031794409.1	XP_005322382.2
OG0001724	XP_003766983.2	XP_013220125.1, XP_013221969.3
OG0001725	XP_003765737.2	XP_021591475.1, XP_021591476.1, XP_040126828.1, XP_040126827.1, XP_021591474.1
OG0001726	XP_031813031.1	XP_040127253.1
OG0001727	XP_003758302.1, XP_031806379.1, XP_023350700.1	XP_040127278.1
OG0001728	XP_003760230.1, XP_012397099.1	XP_005327532.1
OG0001729	XP_003756532.1	XP_005335815.1, XP_040128751.1, XP_005335818.1, XP_040128754.1, XP_040128753.1, XP_005335819.1
OG0001730	XP_031824488.1	XP_005339050.2, XP_040138314.1
OG0001731	XP_003769198.1	XP_021577506.1, XP_005318623.1, XP_040124207.1
OG0001732	XP_012404697.1, XP_031820336.1, XP_031820335.1, XP_031820334.1, XP_031820333.1	XP_005330184.1
OG0001733	XP_031793297.1	XP_040139559.1, XP_040139560.1, XP_005342550.1
OG0001734	XP_003763793.1	XP_005322655.1
OG0001735	XP_003757774.2	XP_005325343.1
OG0001735	XP_031802892.1	XP_040149757.1
OG0001736	XP_031803156.1, XP_003760482.1	XP_005316167.1
OG0001737	XP_031803415.1	XP_021579327.1, XP_040149462.1, XP_005316142.1
OG0001738	XP_023362677.2	XP_021590339.1
OG0001738	XP_031798478.1	XP_005320066.1
OG0001739	XP_023361763.1	XP_040148312.1
OG0001740	XP_031796571.1	XP_040147648.1
OG0001741	XP_031808569.1	XP_021577937.1
OG0001742	XP_031794788.1	XP_021587785.1
OG0001743	XP_012401368.1	XP_040144366.1
OG0001744	XP_031807871.1	XP_013220399.1
OG0001745	XP_003759814.1	XP_013213095.1
OG0001746	XP_031795103.1	XP_005326660.1
OG0001746	XP_031795104.1	XP_005326661.1
OG0001747	XP_031807399.1, XP_031807398.1, XP_031807400.1	XP_040147814.1, XP_021577982.1, XP_040147813.1, XP_005319292.2
OG0001748	XP_031797285.1	XP_040150073.1
OG0001749	XP_031805471.1	XP_005322682.1
OG0001750	XP_031812974.1	XP_005322658.1
OG0001752	XP_003770012.1	XP_040143491.1
OG0001753	XP_031794628.1	XP_005335987.1
OG0001754	XP_031799603.1	XP_005330097.1
OG0001755	XP_031800040.1	XP_040140419.1, XP_013215071.1, XP_040140420.1, XP_040140418.1
OG0001756	XP_031797654.1	XP_005327493.1
OG0001757	XP_012408171.1	XP_040140267.1, XP_040140266.1, XP_040140268.1, XP_021586307.1, XP_005331654.1
OG0001758	XP_031797870.1, XP_031797867.1, XP_031797868.1	XP_040140398.1, XP_040140397.1, XP_005330094.1
OG0001759	XP_031799447.1	XP_005341694.1, XP_013221299.1, XP_040139848.1, XP_040139849.1, XP_021576702.1
OG0001760	XP_031798421.1	XP_005340457.1
OG0001762	XP_031809336.1	XP_005335395.1
OG0001763	XP_012398902.1	XP_021587116.1
OG0001764	XP_003762774.1, XP_003762806.1, XP_003763037.1, XP_031804154.1, XP_031804155.1, XP_003760924.2	XP_005332199.1
OG0001765	XP_031803972.1, XP_031803973.1, XP_031803974.1	XP_005332053.1, XP_040146646.1, XP_040146645.1
OG0001766	XP_003775214.1, XP_031800640.1	XP_021591186.1, XP_005338700.1
OG0001767	XP_003763735.1	XP_013214834.2
OG0001768	XP_023355499.1	XP_040140858.1, XP_005323228.1
OG0001769	XP_031814271.1	XP_021575351.1
OG0001770	XP_031796066.1	XP_005327058.1
OG0001771	XP_031795958.1	XP_005327075.1
OG0001772	XP_031813663.1	XP_013214244.1
OG0001773	XP_031798662.1, XP_031798666.1, XP_031798665.1, XP_031798664.1, XP_031798663.1	XP_021578873.1
OG0001774	XP_031809733.1	XP_040130437.1
OG0001776	XP_003757344.1	XP_013214050.1, XP_005325309.1
OG0001777	XP_031807662.1, XP_003757609.1, XP_012409555.1	XP_005325462.1
OG0001778	XP_031817826.1, XP_012400714.1, XP_031817825.1, XP_023355409.1	XP_040137843.1
OG0001779	XP_031804292.1	XP_005329603.1, XP_040145511.1, XP_040145512.1
OG0001780	XP_031804440.1	XP_040146885.1
OG0001781	XP_031804504.1	XP_040145377.1, XP_005336893.1
OG0001782	XP_003761143.1	XP_040145314.1, XP_040145315.1, XP_021575674.1, XP_005340152.1
OG0001783	XP_031794184.1	XP_005341404.1
OG0001784	XP_012406159.1	XP_021576536.2, XP_021576534.2
OG0001785	XP_031794221.1	XP_021586421.1
OG0001786	XP_012406138.1, XP_012406139.1	XP_013215616.1
OG0001787	XP_031794007.1	XP_005334092.1
OG0001788	XP_031793739.1, XP_031793738.1	XP_005325011.1, XP_013213920.1, XP_040136567.1
OG0001789	XP_031811616.1	XP_021587530.1, XP_021587527.1, XP_005333682.1, XP_021587528.1, XP_021587529.1
OG0001790	XP_012396670.1	XP_005320725.1
OG0001791	XP_031811858.1	XP_005320801.1
OG0001792	XP_031808065.1, XP_003756105.1	XP_021581974.1, XP_040130167.1
OG0001793	XP_031808102.1	XP_040131038.1, XP_040131039.1, XP_021582232.1, XP_005316587.1
OG0001794	XP_003755654.1	XP_005316689.1
OG0001795	XP_003765571.1, XP_031814708.1	XP_005334224.1
OG0001796	XP_031815125.1, XP_031815127.1	XP_013213646.1, XP_021581410.1, XP_021581411.1
OG0001797	XP_012402264.1, XP_012402265.1, XP_003766455.1	XP_005323581.1
OG0001798	XP_031821864.1	XP_040126174.1, XP_005340338.1
OG0001799	XP_031813479.1, XP_031813477.1, XP_031813476.1, XP_031813478.1	XP_040125964.1
OG0001800	XP_031793066.1	XP_005330353.1
OG0001801	XP_031822724.1	XP_040145002.1
OG0001802	XP_003767913.1, XP_031822702.1, XP_012403471.1	XP_005339439.1
OG0001803	XP_031801121.1	XP_005335257.1
OG0001805	XP_031800270.1	XP_040142325.1
OG0001806	XP_003774876.1, XP_031800789.1, XP_023362753.1	XP_040142710.1, XP_040139650.1
OG0001807	XP_012408716.1	XP_005319548.1
OG0001808	XP_031824685.1, XP_031824550.1	XP_021576810.1, XP_040145003.1, XP_040145005.1
OG0001810	XP_003762607.1, XP_012399201.1	XP_021576924.2
OG0001815	XP_003769100.1	XP_005318760.1, XP_005318932.1, XP_005318761.1, XP_005318762.1, XP_005318931.1, XP_040137952.1
OG0001816	XP_003756878.1	XP_005334174.1
OG0001816	XP_012406597.1, XP_012406598.1, XP_012406596.1	XP_005326700.1
OG0001817	XP_031816203.1	XP_005324449.1
OG0001818	XP_003771174.1	XP_005322336.1
OG0001818	XP_031797762.1	XP_013220393.3
OG0001819	XP_031796328.1	XP_013219534.1, XP_021590693.1, XP_021590694.1
OG0001820	XP_031806492.1, XP_003757997.1	XP_005320560.1, XP_040130291.1
OG0001821	XP_031815552.1	XP_005327674.1
OG0001822	XP_031795924.1	XP_005317465.1
OG0001823	XP_012396955.1	XP_040130248.1
OG0001824	XP_003763481.2	XP_040142922.1, XP_040142921.1, XP_005323585.1, XP_040142924.1, XP_040142923.1
OG0001825	XP_012397573.3	XP_005316931.1
OG0001825	XP_012399571.2	XP_005339545.1
OG0001826	XP_003761334.1	XP_040142667.1, XP_013218633.1, XP_040137745.1
OG0001827	XP_031824343.1	XP_040141619.1, XP_005338920.1
OG0001828	XP_031810777.1	XP_005337061.1, XP_040123703.1
OG0001829	XP_003770923.1	XP_005325167.2
OG0001829	XP_003770922.1	XP_005324988.1
OG0001830	XP_031798298.1	XP_005327479.1
OG0001831	XP_031820001.1	XP_040135612.1, XP_005336784.2, XP_005342840.4, XP_040135614.1
OG0001832	XP_012404120.2	XP_013221208.2
OG0001832	XP_003768742.1	XP_013221203.2
OG0001834	XP_003774008.2, XP_003774010.1	XP_040140238.1, XP_005331630.1
OG0001836	XP_003764847.1	XP_013221666.1
OG0001837	XP_003755813.1	XP_013221730.1
OG0001838	XP_003768743.1	XP_005342818.1
OG0001839	XP_003770787.1	XP_005339474.3, XP_005339449.1
OG0001840	XP_003760146.1	XP_005334438.1
OG0001841	XP_031793506.1	XP_005321412.1
OG0001842	XP_023356856.2	XP_040134940.1
OG0001843	XP_031819319.1	XP_013218991.1, XP_013218990.1
OG0001845	XP_003772666.1, XP_012407242.1	XP_040133595.1
OG0001846	XP_031795756.1	XP_005325840.1, XP_021579673.2
OG0001847	XP_031805783.1, XP_031805782.1, XP_031805781.1	XP_005318289.1, XP_021577158.1, XP_040135662.1, XP_021577154.1, XP_021577159.1
OG0001848	XP_031810341.1	XP_021576919.1
OG0001849	XP_031818364.1	XP_021590264.1
OG0001850	XP_031818414.1, XP_031818413.1, XP_031818412.1	XP_021590102.1, XP_005317681.1, XP_013219690.1, XP_013219687.1
OG0001851	XP_023353485.1, XP_031801506.1, XP_023353486.1, XP_012398597.1	XP_040133877.1, XP_005337826.1, XP_040133878.1
OG0001852	XP_031822807.1, XP_031822803.1	XP_040129717.1
OG0001853	XP_031818203.1	XP_021588480.1, XP_021591174.1
OG0001855	XP_012403399.1, XP_003767849.1, XP_012403398.1	XP_005320417.1
OG0001856	XP_031805243.1	XP_040129227.1
OG0001857	XP_031812227.1, XP_031812226.1	XP_005338606.1
OG0001858	XP_023361979.1	XP_021578864.1, XP_005334763.1
OG0001859	XP_031809376.1	XP_005324207.1, XP_013213583.1, XP_040128770.1
OG0001860	XP_031809368.1, XP_031809367.1, XP_031809370.1	XP_040128796.1, XP_040128797.1, XP_021581359.1, XP_013213540.1
OG0001861	XP_031815965.1	XP_005328401.2, XP_005340862.1
OG0001862	XP_031821253.1	XP_005332803.1
OG0001864	XP_003770381.1	XP_013214417.1
OG0001865	XP_031818879.1	XP_040143701.1
OG0001866	XP_031818865.1	XP_040143724.1, XP_013220190.1
OG0001867	XP_031806196.1, XP_031806195.1, XP_031806197.1	XP_040135980.1, XP_040135983.1, XP_040135981.1, XP_021577241.1, XP_040135984.1, XP_040135982.1, XP_005318315.1
OG0001868	XP_031823838.1	XP_005328567.1
OG0001868	XP_031804391.1	XP_005329646.1
OG0001869	XP_031823839.1	XP_005328652.1
OG0001870	XP_003768662.1	XP_005332708.1
OG0001870	XP_012398297.1	XP_005340094.1
OG0001871	XP_031819615.1	XP_005323904.1
OG0001872	XP_003762156.1, XP_023353649.1	XP_005323828.1
OG0001873	XP_031798440.1	XP_005323769.2
OG0001875	XP_031824706.1	XP_021585789.1, XP_021585791.1, XP_005330753.1, XP_021585788.1
OG0001877	XP_031800423.1	XP_005340005.1, XP_040137914.1
OG0001878	XP_031800045.1	XP_005326792.1
OG0001878	XP_031824433.1	XP_040133447.1
OG0001879	XP_031808999.1	XP_040130306.1
OG0001879	XP_003767823.1	XP_005326622.1
OG0001880	XP_031822498.1	XP_040143535.1
OG0001881	XP_031802392.1, XP_031802393.1	XP_013215679.1
OG0001882	XP_012403844.1	XP_005322790.1
OG0001883	XP_031810934.1, XP_031810932.1, XP_012400307.1	XP_040131827.1, XP_040131819.1
OG0001884	XP_031810900.1, XP_031810901.1, XP_031810899.1, XP_031810898.1	XP_013219915.1
OG0001885	XP_003756451.1	XP_040132301.1, XP_040132300.1, XP_005322934.1
OG0001886	XP_031808361.1	XP_005321307.1
OG0001887	XP_031808293.1	XP_013212258.2
OG0001888	XP_031824332.1	XP_005342020.2
OG0001889	XP_031821983.1, XP_031821982.1	XP_040124802.1
OG0001890	XP_003757580.1, XP_023350153.1	XP_040142640.1
OG0001892	XP_012409411.1	XP_005321126.1
OG0001893	XP_031810555.1, XP_031810556.1, XP_031810558.1	XP_013212226.1
OG0001894	XP_031797060.1, XP_031797061.1	XP_040136416.1, XP_005335678.1, XP_040136417.1
OG0001895	XP_031796542.1, XP_031796544.1, XP_031796543.1	XP_005328790.1
OG0001896	XP_031794075.1, XP_031794076.1	XP_040133383.1
OG0001897	XP_031795906.1, XP_031795907.1, XP_031795908.1, XP_031795905.1, XP_031795901.1	XP_005322307.1
OG0001899	XP_003771147.1	XP_005322381.1
OG0001900	XP_031814637.1	XP_013220960.1
OG0001901	XP_003765695.1, XP_012401612.1, XP_023356184.1, XP_023356183.1	XP_040126863.1
OG0001902	XP_031809638.1	XP_005335792.1, XP_021589236.1
OG0001903	XP_031808893.1	XP_040129646.1, XP_021589240.1, XP_005335797.1, XP_021589239.1
OG0001904	XP_031799129.1	XP_040141843.1, XP_005334240.1, XP_021588022.1, XP_013217800.1
OG0001905	XP_003761411.2	XP_005326356.2
OG0001906	XP_031810520.1	XP_005329740.1
OG0001907	XP_003769296.1	XP_005324805.1
OG0001908	XP_031820744.1	XP_040138579.1, XP_040138578.1, XP_005318759.1
OG0001909	XP_031820361.1	XP_005338066.1, XP_040139049.1
OG0001910	XP_031820360.1	XP_005338060.1
OG0001911	XP_031802919.1	XP_005316353.1, XP_013212938.1
OG0001912	XP_031803153.1	XP_005316176.1, XP_040149484.1, XP_040149483.1, XP_040149482.1
OG0001913	XP_031803158.1, XP_031803159.1	XP_005316163.1
OG0001914	XP_003773333.1	XP_021578448.1
OG0001915	XP_031803207.1	XP_040149599.1, XP_040149600.1
OG0001916	XP_023360094.1	XP_040136145.1
OG0001917	XP_003764562.1	XP_005317152.1
OG0001917	XP_003773187.1	XP_005337651.1
OG0001918	XP_031815841.1	XP_005315987.1
OG0001919	XP_031799698.1	XP_005333529.2
OG0001919	XP_003757868.1	XP_005322534.1
OG0001920	XP_003757876.1	XP_040127481.1, XP_005322530.1, XP_040144468.1
OG0001921	XP_031805631.1, XP_031805632.1, XP_031805634.1, XP_031805630.1, XP_031805633.1	XP_040127531.1
OG0001922	XP_031823373.1	XP_021586123.1
OG0001923	XP_012408152.1, XP_031799765.1, XP_012408153.1	XP_005331646.1, XP_040140259.1, XP_040140260.1, XP_013216718.1
OG0001924	XP_031813072.1, XP_003762582.1	XP_005337602.1
OG0001925	XP_003762452.2	XP_005333922.2
OG0001926	XP_003773708.1, XP_031799643.1, XP_012408005.1	XP_040140511.1, XP_013215086.1, XP_005327514.1
OG0001927	XP_031798788.1, XP_031798787.1	XP_040140149.1
OG0001928	XP_031797590.1	XP_021586278.1, XP_021586279.1, XP_005331583.1
OG0001929	XP_031797195.1	XP_021589732.1
OG0001930	XP_023354937.1	XP_040150041.1
OG0001931	XP_003762498.1	XP_013217655.1
OG0001932	XP_031809115.1	XP_040145593.1, XP_005317223.1, XP_021586502.1, XP_021586509.1, XP_005317224.1
OG0001933	XP_031813290.1, XP_023354064.1, XP_031813301.1, XP_003762609.1	XP_005317256.1
OG0001934	XP_031814394.1, XP_031814399.1, XP_031814385.1, XP_031814378.1	XP_013214814.1
OG0001936	XP_031803572.1	XP_005336313.1, XP_013218802.1
OG0001937	XP_031804199.1	XP_005332176.1, XP_005332175.1, XP_005332177.1
OG0001938	XP_031803602.1, XP_012397509.1, XP_012397510.1	XP_040146510.1
OG0001940	XP_003764858.1, XP_003764863.2	XP_013211186.2, XP_013221535.1, XP_005342144.1
OG0001941	XP_012400754.1	XP_005323353.1
OG0001942	XP_031817871.1	XP_013213107.1
OG0001943	XP_031797219.1	XP_005336004.1, XP_005336005.1
OG0001944	XP_031814261.1	XP_021575930.1
OG0001945	XP_031806884.1, XP_031806887.1, XP_031806886.1, XP_031806885.1, XP_031806877.1	XP_005334659.1
OG0001946	XP_031806941.1	XP_005320524.1, XP_021578821.1, XP_021578822.1
OG0001947	XP_031806973.1	XP_021578840.1
OG0001948	XP_031806487.1, XP_003757989.1	XP_040130469.1, XP_005322405.1
OG0001949	XP_023351048.1, XP_012395993.1	XP_005320569.1
OG0001950	XP_023350008.1, XP_023350009.1, XP_012409343.1, XP_023350007.1, XP_031810436.1, XP_012409342.1	XP_005325306.1
OG0001951	XP_031807618.1	XP_013214112.1
OG0001952	XP_023350205.1	XP_040131514.1
OG0001953	XP_023355350.1, XP_031816647.1	XP_005337638.1
OG0001954	XP_031812904.1	XP_021579067.1
OG0001954	XP_031805502.1	XP_040148540.1
OG0001955	XP_031806739.1, XP_031806743.1, XP_031806741.1, XP_031806740.1	XP_013215780.1
OG0001956	XP_031806686.1, XP_031806687.1	XP_005329347.1
OG0001957	XP_031813086.1, XP_031804312.1	XP_005329614.1
OG0001958	XP_031812843.1, XP_012407391.1, XP_031812842.1, XP_031812844.1, XP_023361647.1, XP_023361676.1, XP_031812841.1, XP_012407432.1	XP_040127870.1
OG0001959	XP_031795177.1, XP_003771367.2	XP_005334055.1
OG0001960	XP_003771321.1	XP_005331966.1
OG0001961	XP_031794294.1	XP_040136848.1
OG0001962	XP_023360450.1	XP_040136829.1
OG0001963	XP_012405829.1, XP_031793996.1, XP_031793995.1, XP_012405828.1	XP_040136763.1, XP_040136764.1
OG0001964	XP_031796270.1	XP_040137777.1
OG0001965	XP_031793847.1	XP_005324955.1
OG0001966	XP_012407019.1	XP_040136460.1
OG0001967	XP_023350669.2, XP_031812051.1	XP_005343122.3, XP_005343099.2
OG0001968	XP_031812152.1	XP_005339132.1
OG0001969	XP_031811777.1	XP_021579014.1
OG0001970	XP_031811834.1	XP_040129389.1
OG0001971	XP_031812933.1	XP_005320838.2
OG0001971	XP_003773016.1	XP_005339361.1
OG0001972	XP_031811033.1	XP_005316979.1
OG0001973	XP_003755025.1, XP_012402618.1	XP_005316859.1
OG0001975	XP_031815113.1, XP_031815111.1, XP_031815112.1, XP_031815114.1, XP_031815117.1, XP_031815116.1, XP_031815118.1, XP_031815115.1	XP_040142895.1
OG0001976	XP_023361550.1	XP_040148925.1, XP_005330161.1
OG0001977	XP_031799350.1, XP_003772984.1, XP_031799351.1, XP_031799352.1	XP_021582320.1
OG0001978	XP_023354720.1	XP_013219585.1
OG0001979	XP_031813486.1	XP_040125983.1
OG0001980	XP_031813531.1	XP_040126030.1
OG0001981	XP_012397135.2	XP_040138116.1
OG0001983	XP_031816273.1	XP_005324702.1
OG0001984	XP_031813856.1	XP_005330568.1
OG0001985	XP_031793101.1	XP_005329554.1
OG0001986	XP_012403073.1	XP_005342598.1
OG0001987	XP_012401546.2	XP_040142714.1
OG0001988	XP_003766623.1	XP_040144249.1
OG0001989	XP_031815370.1	XP_005334883.1
OG0001990	XP_003775007.2	XP_013220499.1
OG0001992	XP_003774808.1	XP_040140863.1, XP_005319418.1
OG0001993	XP_023362665.2	XP_021578049.1
OG0001994	XP_031800315.1	XP_040143447.1, XP_005342132.1
OG0001995	XP_003769501.2, XP_031824403.1, XP_031824450.1, XP_031824451.1	XP_005329821.1
OG0001997	XP_031814221.1, XP_003765926.1, XP_031814220.1, XP_003765927.1	XP_005338955.1, XP_013220038.1
OG0001998	XP_012402695.1	XP_005323563.1, XP_040142948.1, XP_040142949.1
OG0001999	XP_031816091.1	XP_040150597.1, XP_040150594.1, XP_040150598.1, XP_021576260.1, XP_021576261.1, XP_040150596.1, XP_040150599.1, XP_040150595.1, XP_040150600.1, XP_013220934.1
OG0002001	XP_031794451.1, XP_031794016.1, XP_031796590.1	XP_040141094.1, XP_005328781.1
OG0002002	XP_023354342.2, XP_003762971.2	XP_013215654.1
OG0002003	XP_031807550.1	XP_040130974.1
OG0002004	XP_031805326.1	XP_040128803.1
OG0002005	XP_012397096.2	XP_040130709.1
OG0002006	XP_031792879.1, XP_012403174.2	XP_005319771.1
OG0002007	XP_003759373.1	XP_021580441.1
OG0002008	XP_031819289.1	XP_005336709.1, XP_040149356.1
OG0002009	XP_031810242.1	XP_005330730.1
OG0002010	XP_031802125.1	XP_005335882.1
OG0002011	XP_012405628.1	XP_040139624.1, XP_013211187.2
OG0002012	XP_031805873.1, XP_031805870.1, XP_031805869.1, XP_031805346.1	XP_005318456.1
OG0002013	XP_031799989.1	XP_013215129.1, XP_021583577.1, XP_021583576.1, XP_040149215.1
OG0002014	XP_003755796.1	XP_005341467.3, XP_005342730.1, XP_005342729.1
OG0002015	XP_003763311.2	XP_013220685.2, XP_005340450.2
OG0002016	XP_003774009.2, XP_003774012.3, XP_003773928.1	XP_005331727.2, XP_005331631.1
OG0002017	XP_012408092.1	XP_005341584.1, XP_005329999.1
OG0002018	XP_012405542.1	XP_005341765.1, XP_005341766.1
OG0002019	XP_003764872.1, XP_003764879.2, XP_031813131.1, XP_031813135.1, XP_031817337.1, XP_003764876.2, XP_012400876.2	XP_005342166.1, XP_005342155.1
OG0002020	XP_031818999.1	XP_005340575.2
OG0002021	XP_023352054.2, XP_003760157.3, XP_031802575.1, XP_012397039.2, XP_023352060.2, XP_031802576.1, XP_023352059.2, XP_023352058.2	XP_021588196.1
OG0002023	XP_031793403.1, XP_031793404.1	XP_005321473.1, XP_040139446.1, XP_040139445.1
OG0002024	XP_031816182.1	XP_005320920.1
OG0002026	XP_031819256.1	XP_005336764.1
OG0002027	XP_031817615.1	XP_040134739.1
OG0002029	XP_031818969.1	XP_005336481.1, XP_005334766.1
OG0002030	XP_003763431.1	XP_013216363.1
OG0002031	XP_031819654.1, XP_003765188.2	XP_005330659.1
OG0002032	XP_012406343.1, XP_023360493.1, XP_031794482.1, XP_012406344.1	XP_040133528.1
OG0002033	XP_031809310.1	XP_005324298.1, XP_021581389.1, XP_021581390.1
OG0002034	XP_023351531.1	XP_040129494.1
OG0002035	XP_031810302.1	XP_005318213.1
OG0002036	XP_003764993.2	XP_005317666.1
OG0002037	XP_031817394.1	XP_021589941.1, XP_040144040.1, XP_005317653.1
OG0002038	XP_031818514.1, XP_031818516.1, XP_031818515.1, XP_031818508.1, XP_031818511.1, XP_031818513.1, XP_031818518.1, XP_031818510.1, XP_031818512.1, XP_031818517.1, XP_031818509.1	XP_005318122.1, XP_040144011.1, XP_040144010.1, XP_040144013.1, XP_040144009.1, XP_040144012.1
OG0002039	XP_031818598.1, XP_031818603.1	XP_005317583.1, XP_005317584.1
OG0002040	XP_031823795.1	XP_040129138.1, XP_040129139.1, XP_005326202.1
OG0002041	XP_031794196.1, XP_031794197.1, XP_031794195.1	XP_021577278.1, XP_005331943.1
OG0002042	XP_031811554.1, XP_031811553.1	XP_005320232.1
OG0002043	XP_012397116.1	XP_013211794.1
OG0002044	XP_031797564.1	XP_021577834.1
OG0002045	XP_023361840.1, XP_031800048.1, XP_003773399.1	XP_005318986.1, XP_013211305.1, XP_021577726.1, XP_021577727.1, XP_021577725.1, XP_021577728.1, XP_040148522.1
OG0002046	XP_012402959.1, XP_031812417.1	XP_021582440.1, XP_005325998.1
OG0002047	XP_031809485.1, XP_003756836.1, XP_031809484.1, XP_031796087.1	XP_005341128.1
OG0002048	XP_023361631.2	XP_005325567.1
OG0002048	XP_031809435.1	XP_005325517.1
OG0002049	XP_003758899.1	XP_005324252.1
OG0002049	XP_031805375.1, XP_012396140.1, XP_031805373.1	XP_040129050.1, XP_040129051.1, XP_040129049.1, XP_005324339.1
OG0002050	XP_031819993.1, XP_031819968.1, XP_031819977.1, XP_031819985.1	XP_040129556.1, XP_040129555.1, XP_005325697.1, XP_013214223.1
OG0002051	XP_031818829.1, XP_031818828.1, XP_012401189.1	XP_040143738.1, XP_005339272.1
OG0002053	XP_031815969.1, XP_003760471.2	XP_040144788.1, XP_005328403.1
OG0002054	XP_023358608.1, XP_003768917.1	XP_005338916.1, XP_005338915.1, XP_040125497.1
OG0002055	XP_023353082.1, XP_031793394.1, XP_003761373.1	XP_040125551.1
