Orthogroup	Sarcophilus_harrisii	Canis_lupus_familiaris
OG0001899	XP_003771147.1	XP_038406707.1, XP_038406706.1, XP_038406705.1
OG0001900	XP_031814637.1	XP_038406778.1
OG0001901	XP_003765695.1, XP_012401612.1, XP_023356184.1, XP_023356183.1	XP_038406972.1, XP_038406973.1, XP_038406975.1, XP_038406974.1
OG0001902	XP_031809638.1	XP_038407745.1, XP_038407746.1
OG0001903	XP_031808893.1	XP_038408113.1
OG0001904	XP_031799129.1	XP_038408506.1, XP_038408503.1, XP_038408505.1, XP_038408504.1
OG0001905	XP_003761411.2	XP_038408796.1
OG0001906	XP_031810520.1	XP_038409093.1, XP_038409096.1, XP_038409097.1, XP_038409095.1
OG0001907	XP_003769296.1	XP_038409278.1
OG0001908	XP_031820744.1	XP_038409958.1, XP_038409959.1
OG0001909	XP_031820361.1	XP_038410686.1, XP_038410687.1, XP_038410688.1
OG0001910	XP_031820360.1	XP_038410695.1
OG0001911	XP_031802919.1	XP_038411129.1, XP_038411130.1
OG0001912	XP_031803153.1	XP_038411623.1, XP_038411622.1
OG0001913	XP_031803158.1, XP_031803159.1	XP_038411643.1, XP_038411642.1
OG0001914	XP_003773333.1	XP_038411917.1
OG0001915	XP_031803207.1	XP_038412269.1
OG0001916	XP_023360094.1	XP_038414517.1
OG0001917	XP_003764562.1	XP_038429230.1
OG0001917	XP_003773187.1	XP_038414930.1
OG0001918	XP_031795355.1	XP_038415713.1
OG0001918	XP_031815841.1	XP_038420945.1
OG0001919	XP_031799698.1	XP_038419985.1
OG0001919	XP_003757868.1	XP_038417128.1
OG0001920	XP_003757876.1	XP_038417146.1, XP_038417145.1, XP_038417148.1, XP_038417147.1
OG0001921	XP_031805631.1, XP_031805632.1, XP_031805634.1, XP_031805630.1, XP_031805633.1	XP_038417514.1
OG0001922	XP_031823373.1	XP_038418164.1
OG0001923	XP_012408152.1, XP_031799765.1, XP_012408153.1	XP_038418388.1
OG0001924	XP_031813072.1, XP_003762582.1	XP_038418528.1, XP_038418524.1, XP_038418527.1, XP_038418529.1, XP_038418523.1, XP_038418525.1, XP_038418522.1, XP_038418526.1
OG0001925	XP_031794567.1	XP_038418693.1
OG0001925	XP_003762452.2	XP_038421679.1
OG0001926	XP_003773708.1, XP_031799643.1, XP_012408005.1	XP_038419091.1, XP_038419092.1
OG0001927	XP_031798788.1, XP_031798787.1	XP_038420169.1, XP_038420165.1, XP_038420167.1, XP_038420166.1, XP_038420168.1, XP_038420171.1, XP_038420170.1
OG0001928	XP_031797590.1	XP_038420313.1
OG0001929	XP_031797195.1	XP_038420655.1, XP_038420653.1, XP_038420654.1, XP_038420657.1, XP_038420656.1, XP_038420658.1
OG0001930	XP_023354937.1	XP_038420903.1, XP_038420902.1, XP_038420904.1
OG0001931	XP_003762498.1	XP_038421514.1
OG0001932	XP_031809115.1	XP_038421966.1
OG0001933	XP_031813290.1, XP_023354064.1, XP_031813301.1, XP_003762609.1	XP_038422100.1
OG0001934	XP_031814394.1, XP_031814399.1, XP_031814385.1, XP_031814378.1	XP_038422228.1, XP_038422227.1, XP_038422229.1, XP_038422230.1, XP_038422231.1
OG0001936	XP_031803572.1	XP_038422974.1, XP_038422976.1, XP_038422977.1, XP_038422975.1
OG0001937	XP_031804199.1	XP_038423389.1, XP_038423392.1, XP_038423391.1, XP_038423390.1, XP_038423388.1
OG0001938	XP_031803602.1, XP_012397509.1, XP_012397510.1	XP_038423477.1, XP_038423478.1, XP_038423476.1, XP_038423472.1, XP_038423474.1, XP_038423473.1
OG0001940	XP_003764858.1, XP_003764863.2	XP_038424087.1
OG0001941	XP_012400754.1	XP_038424293.1
OG0001942	XP_031817871.1	XP_038424698.1
OG0001943	XP_031797219.1	XP_038425170.1, XP_038425171.1, XP_038425172.1
OG0001944	XP_031813638.1	XP_038427135.1
OG0001944	XP_031814261.1	XP_038425524.1
OG0001945	XP_031806884.1, XP_031806887.1, XP_031806886.1, XP_031806885.1, XP_031806877.1	XP_038427338.1
OG0001946	XP_031806941.1	XP_038427515.1, XP_038427516.1, XP_038427514.1, XP_038427517.1
OG0001947	XP_031806973.1	XP_038427561.1
OG0001948	XP_031806487.1, XP_003757989.1	XP_038427610.1
OG0001949	XP_023351048.1, XP_012395993.1	XP_038427637.1, XP_038427638.1, XP_038427636.1
OG0001950	XP_023350008.1, XP_023350009.1, XP_012409343.1, XP_023350007.1, XP_031810436.1, XP_012409342.1	XP_038428411.1
OG0001951	XP_031807618.1	XP_038428761.1
OG0001952	XP_023350205.1	XP_038428819.1
OG0001953	XP_023355350.1, XP_031816647.1	XP_038429404.1, XP_038429405.1, XP_038429407.1, XP_038429408.1
OG0001954	XP_031812904.1	XP_038435075.1
OG0001954	XP_031805502.1	XP_038429694.1
OG0001955	XP_031806739.1, XP_031806743.1, XP_031806741.1, XP_031806740.1	XP_038429778.1, XP_038429780.1, XP_038429781.1, XP_038429783.1, XP_038429782.1, XP_038429784.1, XP_038429779.1
OG0001956	XP_031806686.1, XP_031806687.1	XP_038429843.1, XP_038429841.1, XP_038429840.1, XP_038429842.1
OG0001957	XP_031813086.1, XP_031804312.1	XP_038430755.1
OG0001958	XP_031812843.1, XP_012407391.1, XP_031812842.1, XP_031812844.1, XP_023361647.1, XP_023361676.1, XP_031812841.1, XP_012407432.1	XP_038431974.1
OG0001959	XP_031795177.1, XP_003771367.2	XP_038432390.1, XP_038432388.1, XP_038432389.1, XP_038432387.1, XP_038432386.1
OG0001960	XP_003771321.1	XP_038432752.1
OG0001961	XP_031794294.1	XP_038432956.1
OG0001962	XP_023360450.1	XP_038433014.1
OG0001963	XP_012405829.1, XP_031793996.1, XP_031793995.1, XP_012405828.1	XP_038433139.1
OG0001964	XP_031796270.1	XP_038433338.1, XP_038433339.1, XP_038433337.1
OG0001965	XP_031793847.1	XP_038433453.1
OG0001966	XP_012407019.1	XP_038433771.1
OG0001967	XP_023350669.2, XP_031812051.1	XP_038433881.1, XP_038433879.1
OG0001968	XP_031812152.1	XP_038433941.1
OG0001969	XP_031811777.1	XP_038434817.1
OG0001970	XP_031811834.1	XP_038434905.1
OG0001971	XP_031812933.1	XP_038435110.1
OG0001971	XP_003773016.1	XP_038437672.1
OG0001972	XP_031811033.1	XP_038436315.1
OG0001973	XP_003755025.1, XP_012402618.1	XP_038436926.1, XP_038436929.1, XP_038436927.1, XP_038436928.1
OG0001974	XP_031812450.1	XP_038436952.1
OG0001975	XP_031815113.1, XP_031815111.1, XP_031815112.1, XP_031815114.1, XP_031815117.1, XP_031815116.1, XP_031815118.1, XP_031815115.1	XP_038437218.1
OG0001976	XP_023361550.1	XP_038437820.1
OG0001977	XP_031799350.1, XP_003772984.1, XP_031799351.1, XP_031799352.1	XP_038437950.1
OG0001978	XP_023354720.1	XP_038438636.1
OG0001979	XP_031813486.1	XP_038439749.1
OG0001980	XP_031813531.1	XP_038439838.1
OG0001981	XP_012397135.2	XP_038439959.1
OG0001983	XP_031816273.1	XP_038440879.1, XP_038440880.1
OG0001984	XP_031813856.1	XP_038441752.1
OG0001985	XP_031793101.1	XP_038441980.1
OG0001986	XP_012403073.1	XP_038442193.1, XP_038442197.1
OG0001987	XP_012401546.2	XP_038442748.1
OG0001988	XP_003766623.1	XP_038442777.1
OG0001989	XP_031815370.1	XP_038442962.1
OG0001990	XP_003775007.2	XP_038443549.1
OG0001992	XP_003774808.1	XP_038444132.1, XP_038444133.1, XP_038444134.1
OG0001993	XP_023362665.2	XP_038444166.1
OG0001994	XP_031800315.1	XP_038444690.1, XP_038444691.1, XP_038444692.1
OG0002001	XP_031794451.1, XP_031794016.1, XP_031796590.1	NP_001003103.1
OG0002002	XP_023354342.2, XP_003762971.2	NP_001003226.1
OG0002003	XP_031807550.1	NP_001003263.1
OG0002004	XP_031805326.1	NP_001003300.2
OG0002005	XP_012397096.2	NP_001003313.1
OG0002005	XP_012396932.1	NP_001003312.1
OG0002006	XP_031792879.1, XP_012403174.2	NP_001003351.1
OG0002007	XP_003759373.1	XP_038412268.1, NP_001183978.1, NP_001007132.1
OG0002008	XP_031819289.1	XP_038426108.1, NP_001019807.1, XP_038395375.1
OG0002009	XP_031810242.1	NP_001041574.1
OG0002010	XP_031802125.1	XP_038443384.1, XP_038390029.1, XP_038413255.1, NP_001239156.1
OG0002011	XP_012405628.1	NP_001271421.1
OG0002012	XP_031805873.1, XP_031805870.1, XP_031805869.1, XP_031805346.1	NP_001274059.1
OG0002013	XP_031799989.1	NP_001300703.1
OG0002014	XP_003755796.1	XP_038405991.1, NP_001375452.1
OG0002015	XP_003763311.2	XP_038407568.1, NP_001375458.1
OG0002016	XP_003774009.2, XP_003774012.3, XP_003773928.1	NP_001375523.1
OG0002017	XP_012408092.1	NP_001375558.1, XP_038418405.1, XP_038418404.1, XP_038418406.1, XP_038419191.1, NP_001375982.1, XP_038419190.1, XP_038418403.1
OG0002018	XP_012405542.1	XP_038433814.1, XP_038444927.1, NP_001375758.1, NP_001375784.1
OG0002019	XP_003764872.1, XP_003764879.2, XP_031813131.1, XP_031813135.1, XP_031817337.1, XP_003764876.2, XP_012400876.2	NP_001375996.1, NP_001376002.1
OG0002020	XP_031818999.1	XP_038381486.1, XP_038381604.1, XP_038381603.1, XP_038384894.1
OG0002021	XP_023352054.2, XP_003760157.3, XP_031802575.1, XP_012397039.2, XP_023352060.2, XP_031802576.1, XP_023352059.2, XP_023352058.2	XP_038381676.1
OG0002022	XP_031793531.1, XP_031793530.1	XP_038445502.1, XP_038382183.1
OG0002023	XP_031793403.1, XP_031793404.1	XP_038389610.1, XP_038382400.1
OG0002024	XP_031816182.1	XP_038383326.1
OG0002026	XP_031819256.1	XP_038384101.1
OG0002027	XP_031817615.1	XP_038384277.1
OG0002029	XP_031818969.1	XP_038384832.1, XP_038389677.1
OG0002030	XP_003763431.1	XP_038385212.1, XP_038437516.1
OG0002031	XP_031819654.1, XP_003765188.2	XP_038385262.1, XP_038385261.1
OG0002032	XP_012406343.1, XP_023360493.1, XP_031794482.1, XP_012406344.1	XP_038385964.1, XP_038385963.1
OG0002033	XP_031809310.1	XP_038386374.1, XP_038386378.1, XP_038386375.1, XP_038386376.1, XP_038386377.1
OG0002034	XP_023351531.1	XP_038386572.1, XP_038386571.1, XP_038386573.1, XP_038386574.1, XP_038386575.1
OG0002035	XP_031810302.1	XP_038387037.1
OG0002036	XP_003764993.2	XP_038387516.1
OG0002037	XP_031817394.1	XP_038387549.1
OG0002038	XP_031818514.1, XP_031818516.1, XP_031818515.1, XP_031818508.1, XP_031818511.1, XP_031818513.1, XP_031818518.1, XP_031818510.1, XP_031818512.1, XP_031818517.1, XP_031818509.1	XP_038387607.1
OG0002039	XP_031818598.1, XP_031818603.1	XP_038387723.1
OG0002040	XP_031823795.1	XP_038388199.1, XP_038388196.1, XP_038388198.1, XP_038388197.1
OG0002041	XP_031794196.1, XP_031794197.1, XP_031794195.1	XP_038388389.1, XP_038432801.1
OG0002042	XP_031811554.1, XP_031811553.1	XP_038388838.1
OG0002043	XP_012397116.1	XP_038388873.1, XP_038388874.1
OG0002044	XP_031797564.1	XP_038389129.1
OG0002045	XP_023361840.1, XP_031800048.1, XP_003773399.1	XP_038389508.1
OG0002046	XP_012402959.1, XP_031812417.1	XP_038390174.1, XP_038390175.1
OG0002047	XP_031809485.1, XP_003756836.1, XP_031809484.1, XP_031796087.1	XP_038390787.1
OG0002048	XP_023361631.2	XP_038429529.1
OG0002048	XP_031809435.1	XP_038390880.1
OG0002049	XP_031805375.1, XP_012396140.1, XP_031805373.1	XP_038391033.1
OG0002050	XP_031819993.1, XP_031819968.1, XP_031819977.1, XP_031819985.1	XP_038391274.1
OG0002051	XP_031818829.1, XP_031818828.1, XP_012401189.1	XP_038391475.1
OG0002053	XP_031815969.1, XP_003760471.2	XP_038391892.1
OG0002054	XP_023358608.1, XP_003768917.1	XP_038392876.1, XP_038392875.1
OG0002055	XP_023353082.1, XP_031793394.1, XP_003761373.1	XP_038392983.1
OG0002056	XP_031824856.1, XP_031824858.1, XP_031824857.1, XP_031824860.1, XP_031824859.1, XP_031824855.1	XP_038393259.1, XP_038393258.1, XP_038393257.1, XP_038393261.1, XP_038393262.1, XP_038393260.1, XP_038393256.1
OG0002057	XP_031818928.1, XP_031818929.1	XP_038393509.1, XP_038393508.1
OG0002059	XP_031805842.1, XP_031805843.1	XP_038394272.1
OG0002060	XP_031805844.1	XP_038394281.1, XP_038394276.1
OG0002061	XP_031805952.1	XP_038394424.1, XP_038394423.1
OG0002062	XP_003758490.1, XP_031806074.1	XP_038394440.1
OG0002063	XP_012398116.1, XP_003761380.1	XP_038394792.1
OG0002064	XP_031823744.1	XP_038394922.1
OG0002065	XP_031821097.1	XP_038395374.1, XP_038410364.1, XP_038409361.1, XP_038399954.1
OG0002066	XP_031819204.1, XP_031819219.1, XP_031819196.1, XP_031819212.1	XP_038395814.1, XP_038395812.1, XP_038395813.1
OG0002067	XP_031801679.1	XP_038396724.1
OG0002068	XP_031823029.1, XP_031823028.1	XP_038397118.1, XP_038397117.1
OG0002069	XP_023359158.2	XP_038397225.1
OG0002070	XP_003767591.1, XP_023357608.1	XP_038397913.1, XP_038397912.1
OG0002071	XP_003768190.2	XP_038398900.1
OG0002072	XP_031808399.1	XP_038401175.1
OG0002073	XP_031808365.1	XP_038401228.1, XP_038401227.1, XP_038401226.1
OG0002074	XP_003768533.1	XP_038402854.1
OG0002075	XP_003768463.1	XP_038402925.1, XP_038402926.1, XP_038402924.1
OG0002075	XP_031816230.1	XP_038412286.1
OG0002076	XP_023358140.1	XP_038403344.1
OG0002077	XP_031821966.1, XP_012403843.1, XP_031821965.1	XP_038403484.1
OG0002078	XP_023363175.2	XP_038405362.1
OG0002079	XP_031797065.1	XP_038405539.1
OG0002080	XP_031797048.1, XP_031797049.1, XP_031797051.1, XP_031797050.1	XP_038405598.1, XP_038405599.1
OG0002081	XP_031796876.1, XP_031796878.1, XP_031796877.1	XP_038406483.1
OG0002082	XP_003765698.1	XP_038406949.1
OG0002083	XP_003758320.1	XP_038407208.1
OG0002084	XP_031806457.1	XP_038407408.1
OG0002085	XP_031801213.1	XP_038408695.1, XP_038408692.1, XP_038408694.1, XP_038408693.1, XP_038408696.1
OG0002086	XP_031793108.1	XP_038408735.1
OG0002087	XP_031801395.1, XP_003761885.1, XP_031801394.1, XP_031801396.1, XP_023353462.1	XP_038408865.1
OG0002088	XP_003757355.1	XP_038409098.1
OG0002089	XP_031821021.1, XP_003768957.1	XP_038409467.1
OG0002090	XP_031820832.1	XP_038409813.1, XP_038409814.1
OG0002091	XP_023358736.1	XP_038409914.1
OG0002092	XP_031803129.1, XP_023352293.1, XP_031803127.1, XP_031803128.1	XP_038411562.1
OG0002093	XP_003760563.1	XP_038411701.1
OG0002094	XP_031805393.1, XP_012399134.1, XP_003754998.1, XP_003754997.1	XP_038412287.1
OG0002095	XP_031812327.1	XP_038421412.1
OG0002095	XP_012406499.2	XP_038412421.1
OG0002096	XP_003771630.1	XP_038412553.1
OG0002096	XP_003762368.1	XP_038422030.1
OG0002097	XP_031794488.1	XP_038412609.1
OG0002098	XP_031796443.1	XP_038413055.1
OG0002099	XP_031818046.1	XP_038413765.1, XP_038413766.1
OG0002100	XP_031825113.1	XP_038414232.1
OG0002101	XP_012396622.1, XP_031797507.1	XP_038414941.1, XP_038442418.1
OG0002102	XP_003774491.1	XP_038415125.1
OG0002102	XP_003764375.1	XP_038425262.1
OG0002103	XP_023361234.1	XP_038415361.1, XP_038415364.1, XP_038415360.1, XP_038415359.1, XP_038415358.1, XP_038415356.1, XP_038415357.1, XP_038415362.1, XP_038415363.1
OG0002104	XP_031795268.1, XP_031795265.1, XP_031795266.1, XP_012406590.2	XP_038415634.1, XP_038415626.1
OG0002105	XP_031798804.1, XP_003773079.1, XP_003773080.2	XP_038416348.1
OG0002106	XP_003773084.1, XP_003773093.1	XP_038416380.1, XP_038416381.1
OG0002108	XP_031807302.1, XP_012395288.1	XP_038416880.1, XP_038416879.1
OG0002109	XP_031823238.1, XP_003769893.1	XP_038417823.1, XP_038417825.1, XP_038417824.1
OG0002110	XP_003769990.1	XP_038438649.1, XP_038418208.1, XP_038418209.1
OG0002111	XP_031794610.1	XP_038418647.1
OG0002112	XP_023360500.1	XP_038418777.1
OG0002113	XP_031798386.1	XP_038418866.1
OG0002114	XP_031799495.1	XP_038419842.1
OG0002115	XP_031798479.1	XP_038420073.1, XP_038420074.1, XP_038420075.1
OG0002116	XP_031798792.1	XP_038420174.1
OG0002117	XP_003774017.2, XP_003774016.1, XP_031799541.1, XP_003774015.1	XP_038420399.1, XP_038420400.1
OG0002118	XP_031815840.1	XP_038420920.1
OG0002119	XP_031812498.1	XP_038421425.1
OG0002120	XP_031810608.1	XP_038421674.1
OG0002121	XP_023353897.2	XP_038421754.1, XP_038421753.1
OG0002122	XP_031809098.1	XP_038421971.1
OG0002123	XP_031809004.1	XP_038421978.1
OG0002124	XP_031803825.1	XP_038422891.1, XP_038422890.1, XP_038422892.1, XP_038422895.1, XP_038422894.1, XP_038422893.1
OG0002125	XP_031803741.1	XP_038423739.1
OG0002126	XP_031800024.1	XP_038424978.1
OG0002127	XP_031817773.1, XP_031817774.1	XP_038425466.1
OG0002128	XP_031814257.1	XP_038425509.1
OG0002129	XP_031813676.1	XP_038427036.1, XP_038427037.1
OG0002130	XP_031806946.1	XP_038427528.1
OG0002131	XP_003758237.1	XP_038427551.1
OG0002132	XP_012395252.1, XP_012395251.1	XP_038428315.1, XP_038428316.1, XP_038428317.1
OG0002133	XP_023350291.1	XP_038428479.1
OG0002134	XP_031807477.1, XP_003757744.1, XP_031807479.1, XP_031807478.1, XP_023350288.1	XP_038428502.1
OG0002135	XP_031804425.1	XP_038430972.1
OG0002136	XP_031793621.1	XP_038431689.1, XP_038433723.1
OG0002137	XP_031804267.1	XP_038432019.1
OG0002138	XP_012406180.1	XP_038432484.1
OG0002139	XP_023360352.1	XP_038432739.1
OG0002140	XP_031793987.1	XP_038433113.1
OG0002141	XP_031805219.1	XP_038434765.1
OG0002142	XP_031812941.1, XP_031812942.1	XP_038435117.1
OG0002143	XP_003759715.1, XP_031802067.1	XP_038439189.1, XP_038435590.1
OG0002144	XP_031807923.1, XP_012401336.1, XP_031807925.1	XP_038435930.1
OG0002144	XP_023355906.2	XP_038435844.1
OG0002145	XP_031812676.1	XP_038436975.1
OG0002146	XP_003755797.1	XP_038437027.1, XP_038445404.1, XP_038444879.1, XP_038445609.1
OG0002147	XP_003772994.1	XP_038437983.1
OG0002148	XP_012407433.1	XP_038438185.1
OG0002149	XP_031815536.1	XP_038438771.1
OG0002151	XP_031813481.1, XP_012402062.1	XP_038439736.1
OG0002152	XP_023352100.1	XP_038440108.1
OG0002153	XP_031802638.1, XP_031802637.1	XP_038440203.1
OG0002154	XP_003764107.1	XP_038441054.1
OG0002155	XP_003766010.2	XP_038441568.1
OG0002156	XP_003767773.1	XP_038442133.1, XP_038442135.1, XP_038442134.1
OG0002157	XP_023357849.1, XP_023357850.1, XP_012403448.1	XP_038442255.1
OG0002158	XP_031801045.1	XP_038444295.1, XP_038444296.1
OG0002165	XP_003764328.1	NP_001002967.1
OG0002166	XP_031798391.1, XP_031798400.1	NP_001003003.2
OG0002167	XP_031822175.1	XP_038403187.1
OG0002167	XP_003768210.2	NP_001003105.1
OG0002168	XP_031811288.1	XP_038436561.1
OG0002168	XP_031803812.1	NP_001003152.1
OG0002169	XP_031806444.1	NP_001003153.1
OG0002169	XP_031797558.1	XP_038419784.1
OG0002170	XP_003758875.1	NP_001003238.1
OG0002171	XP_003764942.1	NP_001003280.1
OG0002172	XP_031824109.1	NP_001003281.1
OG0002173	XP_031809613.1	NP_001009187.1
OG0002174	XP_031825179.1, XP_031825181.1, XP_031825180.1	NP_001012737.1
OG0002175	XP_031817882.1	NP_001041483.1
OG0002176	XP_031804771.1, XP_003762716.2, XP_031804767.1, XP_031804768.1, XP_031804769.1	NP_001128598.1
OG0002177	XP_031814855.1, XP_031814853.1, XP_003765620.1, XP_031814854.1	NP_001183960.1
OG0002178	XP_031796332.1	NP_001229643.1
OG0002179	XP_031820861.1	NP_001239074.1
OG0002180	XP_031825077.1	NP_001239094.1
OG0002181	XP_031825073.1	NP_001239097.1
OG0002182	XP_031797684.1	XP_038428470.1, NP_001239154.1, XP_038439253.1, XP_038399907.1
OG0002183	XP_012395663.1	NP_001239157.1
OG0002184	XP_031794545.1	XP_038407774.1
OG0002184	XP_031811459.1	NP_001239308.1
OG0002185	XP_031809456.1, XP_031809457.1	NP_001240828.1
OG0002186	XP_031818476.1	NP_001240835.1
OG0002187	XP_031802018.1	NP_001273917.1
OG0002188	XP_012407260.1	XP_038430356.1, NP_001274034.1, NP_001274035.1
OG0002189	XP_031800059.1	XP_038442164.1, NP_001300714.1, XP_038420963.1, XP_038442743.1
OG0002190	XP_003769819.1	NP_001300773.1
OG0002191	XP_003768296.1	NP_001332998.1
OG0002191	XP_003768297.1	NP_001332995.1
OG0002192	XP_003773980.1, XP_023362203.1, XP_003773977.1, XP_003773976.1, XP_003773972.1, XP_003773973.1	NP_001375532.1, NP_001375531.1
OG0002193	XP_031817338.1, XP_031817340.1, XP_031813133.1	NP_001375623.1, XP_038424089.1
OG0002194	XP_012409205.1, XP_012396243.1	NP_001375671.1, NP_001375668.1, NP_001375670.1, XP_038424109.1
OG0002195	XP_003767935.1	NP_001375706.1, NP_001375948.1
OG0002196	XP_012400906.1, XP_003764860.1, XP_003764862.1	XP_038424086.1, NP_001375767.1, NP_001375811.1
OG0002197	XP_003773840.3, XP_023362163.2, XP_003773848.1, XP_012408113.1	NP_001376028.1, NP_001376041.1, XP_038445476.1, NP_001376033.1, NP_001376076.1
OG0002198	XP_031802544.1, XP_003760133.1	XP_038381505.1, XP_038381504.1, XP_038381506.1, XP_038381503.1
OG0002199	XP_003755656.2	XP_038436513.1
OG0002199	XP_012398564.2	XP_038381543.1
OG0002200	XP_031801810.1	XP_038381925.1
OG0002201	XP_031816948.1	XP_038383319.1
OG0002202	XP_031805352.1	XP_038383924.1, XP_038415208.1, XP_038438381.1, XP_038383818.1
OG0002203	XP_031817590.1	XP_038384141.1
OG0002204	XP_031817592.1, XP_031817619.1	XP_038384155.1, XP_038384156.1, XP_038384157.1
OG0002207	XP_012402430.2	XP_038385279.1, XP_038442427.1
OG0002208	XP_003771498.1	XP_038385965.1
OG0002209	XP_003772996.1	XP_038386137.1, XP_038444151.1
OG0002210	XP_012406893.1	XP_038386389.1
OG0002211	XP_023351593.1, XP_003759509.1	XP_038386757.1, XP_038386756.1, XP_038386758.1, XP_038386760.1, XP_038386759.1, XP_038386755.1
OG0002212	XP_031805788.1	XP_038386856.1, XP_038386853.1, XP_038386855.1, XP_038386854.1
OG0002213	XP_031810322.1	XP_038387002.1
OG0002214	XP_031818167.1	XP_038441955.1, XP_038387097.1
OG0002215	XP_012401467.1	XP_038387241.1, XP_038420139.1, XP_038445635.1, XP_038412657.1
OG0002216	XP_031805732.1, XP_031817057.1, XP_031818466.1	XP_038387544.1, XP_038387546.1, XP_038387543.1, XP_038387547.1, XP_038425292.1
OG0002217	XP_031818656.1, XP_031818655.1	XP_038387810.1, XP_038387811.1
OG0002218	XP_012397639.2, XP_003755593.1	XP_038388774.1, XP_038388020.1
OG0002219	XP_003757742.4	XP_038428524.1
OG0002219	XP_031802624.1	XP_038388024.1
OG0002220	XP_003761761.1	XP_038388073.1
OG0002221	XP_012398288.1, XP_003755650.1, XP_023353333.1	XP_038388531.1
OG0002222	XP_031811427.1	XP_038388726.1
OG0002223	XP_023361819.1, XP_003773361.1	XP_038389411.1
OG0002224	XP_031798344.1, XP_031798345.1, XP_012407753.1, XP_031798118.1, XP_031797724.1	XP_038389481.1
OG0002225	XP_003755070.1	XP_038390048.1
OG0002226	XP_031812414.1	XP_038390196.1, XP_038390195.1
OG0002227	XP_012408916.1	XP_038390203.1
OG0002228	XP_031809483.1, XP_003756831.1	XP_038390793.1
OG0002229	XP_031809472.1	XP_038390806.1, XP_038390807.1, XP_038390808.1, XP_038390809.1
OG0002230	XP_031805274.1, XP_003756810.1	XP_038390860.1, XP_038390858.1, XP_038390859.1
OG0002231	XP_003759689.1	XP_038391344.1, XP_038391345.1, XP_038391346.1
OG0002232	XP_003761930.2	XP_038391386.1, XP_038395972.1
OG0002233	XP_031816779.1	XP_038391618.1
OG0002234	XP_003764297.1, XP_031816973.1, XP_031816972.1	XP_038392182.1
OG0002235	XP_012404182.1	XP_038392700.1
OG0002236	XP_031824827.1	XP_038393162.1
OG0002237	XP_031824936.1	XP_038393405.1, XP_038393404.1
OG0002238	XP_031824957.1	XP_038393421.1
OG0002239	XP_031817420.1	XP_038393749.1
OG0002240	XP_031818795.1	XP_038393781.1
OG0002241	XP_031806072.1	XP_038394082.1
OG0002243	XP_003774603.1	XP_038394770.1, XP_038435148.1, XP_038445169.1
OG0002244	XP_003770112.1	XP_038394912.1
OG0002245	XP_031823790.1	XP_038394996.1
OG0002246	XP_012404268.1	XP_038395148.1
OG0002247	XP_023358609.1, XP_031824286.1, XP_003768918.1, XP_012404298.1	XP_038395284.1
OG0002248	XP_031808157.1, XP_031808155.1	XP_038395482.1, XP_038400047.1, XP_038398457.1, XP_038421844.1
OG0002249	XP_031797122.1	XP_038395597.1, XP_038395596.1
OG0002250	XP_012398345.1, XP_023353305.1, XP_023353304.1, XP_012398347.1	XP_038395704.1
OG0002252	XP_031817021.1, XP_012399417.1, XP_012399418.1	XP_038396609.1
OG0002253	XP_031822997.1, XP_031822996.1, XP_031822998.1	XP_038397157.1, XP_038397158.1
OG0002254	XP_031825188.1, XP_003767275.1, XP_031825189.1, XP_031825190.1	XP_038397300.1
OG0002255	XP_031825196.1, XP_031825195.1, XP_031825197.1	XP_038397317.1
OG0002256	XP_003767372.1, XP_031825242.1	XP_038397390.1, XP_038397388.1, XP_038397391.1
OG0002257	XP_031792907.1	XP_038398258.1
OG0002258	XP_031792782.1	XP_038398397.1
OG0002259	XP_003768143.1, XP_031822640.1	XP_038398928.1
OG0002261	XP_023358035.1	XP_038399078.1
OG0002262	XP_012396613.1, XP_003759588.2	XP_038399911.1
OG0002263	XP_003756188.1	XP_038400045.1
OG0002264	XP_031808823.1	XP_038400497.1
OG0002265	XP_012396135.1, XP_023351169.1	XP_038400701.1
OG0002266	XP_012402819.2	XP_038401484.1
OG0002268	XP_031809160.1	XP_038401591.1, XP_038401597.1, XP_038401596.1, XP_038401598.1, XP_038401592.1, XP_038401595.1, XP_038401594.1, XP_038401593.1
OG0002269	XP_031809074.1	XP_038401720.1, XP_038401717.1, XP_038401719.1, XP_038401718.1
OG0002270	XP_031809014.1	XP_038401810.1, XP_038408812.1
OG0002271	XP_031798445.1	XP_038401897.1, XP_038418416.1
OG0002272	XP_003768425.1	XP_038402073.1
OG0002273	XP_031807843.1	XP_038402092.1, XP_038402091.1, XP_038402090.1
OG0002275	XP_003768698.1	XP_038402351.1
OG0002276	XP_031801936.1	XP_038402774.1, XP_038402773.1
OG0002277	XP_003768249.1	XP_038403264.1, XP_038432658.1
OG0002279	XP_031807825.1	XP_038404639.1
OG0002280	XP_031805306.1, XP_031805303.1, XP_031805302.1, XP_031805307.1, XP_031805305.1, XP_012409460.1, XP_031805301.1, XP_031805304.1	XP_038404770.1, XP_038404771.1, XP_038404772.1
OG0002281	XP_003757459.1	XP_038404902.1
OG0002282	XP_031810667.1	XP_038404999.1, XP_038404993.1, XP_038404994.1, XP_038404995.1, XP_038404996.1, XP_038404998.1, XP_038404992.1
OG0002283	XP_031810559.1	XP_038405177.1, XP_038405178.1
OG0002284	XP_031810540.1	XP_038405217.1
