Orthogroup	Sarcophilus_harrisii	Loxodonta_africana
OG0001362	XP_012401587.1, XP_023356158.1	XP_023413690.1
OG0001363	XP_031816682.1	XP_023413632.1
OG0001365	XP_012408637.1	XP_010599406.1
OG0001372	XP_031815240.1	XP_010596042.1
OG0001372	XP_031815244.1	XP_003418065.3
OG0001373	XP_031799114.1	XP_010597309.1
OG0001374	XP_023350449.1, XP_012395374.1	XP_010591934.1, XP_010591935.1
OG0001375	XP_031812960.1	XP_010585450.1, XP_003406932.2
OG0001376	XP_031794143.1	XP_003420701.1
OG0001377	XP_023350027.1	XP_003407493.1
OG0001378	XP_031825020.1, XP_003761430.2	XP_003407365.1, XP_023400972.1
OG0001380	XP_003771997.1	XP_003415744.1
OG0001381	XP_031795895.1	XP_003415741.1
OG0001382	XP_012398360.1, XP_003761680.1, XP_031795353.1, XP_003761681.3, XP_012398358.1	XP_023400513.1, XP_003407437.1, XP_010585812.1, XP_010585811.2
OG0001383	XP_003770901.1	XP_010584661.1, XP_023395422.1, XP_003405248.1, XP_023414516.1, XP_003405246.1
OG0001384	XP_003767952.2, XP_003767953.1	XP_003415007.1, XP_003415009.1
OG0001384	XP_012403480.1	XP_010593160.1
OG0001385	XP_031822458.1, XP_012403572.1, XP_031822459.1	XP_003415131.1, XP_023409751.1
OG0001386	XP_031794064.1, XP_031794066.1, XP_003771746.1	XP_003420610.1, XP_003420611.2, XP_003420612.1, XP_003420609.1
OG0001387	XP_031799544.1, XP_003773965.2, XP_003773963.2	XP_010599213.1, XP_010599215.1
OG0001388	XP_003764778.1	XP_003423309.1, XP_003423310.1, XP_003421571.1, XP_003423660.1, XP_023394820.1, XP_023398148.1, XP_003423641.1
OG0001389	XP_003772524.3, XP_012407135.1	XP_010595989.1
OG0001389	XP_012407309.1, XP_012407134.1, XP_003772506.1, XP_003772507.1, XP_003772505.3, XP_031797109.1, XP_031797108.1	XP_023396124.1, XP_003405128.1
OG0001390	XP_012400571.1	XP_023397597.1, XP_003422647.1, XP_003422659.1, XP_003423733.2, XP_003417540.2, XP_003417539.2, XP_003422639.1, XP_003422662.1, XP_023412772.1, XP_003422652.1, XP_003422655.1
OG0001391	XP_012409142.2, XP_012409143.2	XP_010585957.1, XP_010585959.1, XP_010585960.1, XP_010585958.1
OG0001394	XP_012395732.1	XP_003416874.2, XP_003416875.2, XP_003416882.1
OG0001395	XP_012398109.1	XP_023395172.1, XP_003417141.1
OG0001396	XP_031799453.1	XP_003406911.1
OG0001398	XP_031810266.1	XP_010594429.1
OG0001399	XP_031795699.1	XP_023404622.1
OG0001400	XP_023361227.1	XP_010589744.1, XP_010589737.1
OG0001401	XP_031809350.1, XP_031809351.1	XP_010589891.1
OG0001401	XP_031797425.1	XP_010589663.1
OG0001402	XP_023355614.1, XP_003765001.1	XP_023410153.1, XP_003415456.1
OG0001403	XP_031818408.1	XP_003415298.1
OG0001404	XP_031815633.1	XP_010597800.1
OG0001404	XP_031818499.1	XP_010593364.1
OG0001405	XP_031812634.1	XP_023408728.1, XP_003413889.1
OG0001406	XP_031822268.1, XP_031822277.1	XP_003408006.1
OG0001407	XP_012397723.1	XP_003413946.1
OG0001408	XP_031811541.1	XP_010592095.1, XP_003413917.1
OG0001410	XP_031816069.1, XP_031816072.1	XP_010599961.2, XP_023413999.1
OG0001411	XP_031813197.1	XP_003416910.1
OG0001411	XP_031804960.1	XP_003419160.1
OG0001412	XP_003757893.1	XP_010596141.1
OG0001413	XP_031806076.1, XP_031806077.1	XP_003417185.1
OG0001415	XP_031823481.1	XP_023409232.1
OG0001415	XP_031801582.1	XP_023413084.1
OG0001416	XP_031823077.1	XP_023403206.1
OG0001417	XP_003770113.1	XP_010594591.1
OG0001418	XP_031797179.1, XP_031797156.1, XP_031797171.1, XP_031797184.1, XP_031797162.1	XP_003416708.1
OG0001419	XP_031823488.1	XP_023409222.1
OG0001419	XP_031797302.1	XP_003416676.1
OG0001420	XP_003761546.1	XP_023411659.1
OG0001421	XP_031795672.1, XP_031795685.1, XP_031795693.1, XP_031795678.1, XP_031795663.1	XP_003418913.1
OG0001422	XP_012398788.1	XP_023414637.1, XP_023414638.1, XP_010596776.1, XP_010596777.1
OG0001423	XP_031801445.1	XP_003418868.1
OG0001423	XP_031821528.1	XP_003417343.1
OG0001424	XP_031824738.1	XP_003411285.1
OG0001425	XP_031793133.1	XP_023404145.1
OG0001426	XP_003756600.1	XP_023402330.1
OG0001426	XP_031822920.1	XP_010589381.1
OG0001427	XP_003768146.1, XP_023358049.1	XP_003414991.1, XP_010593144.1
OG0001428	XP_003768526.1	XP_010595269.1
OG0001429	XP_003759593.1	XP_010585035.1
OG0001430	XP_031800313.1, XP_031801142.1	XP_003420535.1, XP_003408561.1
OG0001431	XP_031809060.1, XP_012405570.1, XP_031809059.1	XP_003408919.1
OG0001432	XP_031808741.1	XP_023402433.1
OG0001433	XP_003768723.1	XP_010595226.1
OG0001434	XP_023358247.1, XP_031821856.1, XP_023358246.1	XP_003414342.1
OG0001435	XP_031821890.1, XP_031821891.1, XP_031821889.1	XP_023409508.1
OG0001436	XP_003768017.1	XP_003414655.1
OG0001436	XP_031796762.1	XP_003416553.1
OG0001437	XP_003768007.1	XP_010592604.1, XP_023409323.1
OG0001438	XP_003772199.1	XP_023413298.1, XP_023413300.1, XP_010596264.1
OG0001439	XP_012405918.1, XP_012405919.1	XP_023414271.1, XP_003405230.1, XP_010596882.1
OG0001440	XP_031794404.1	XP_003405361.1
OG0001441	XP_003758267.1	XP_003413699.1, XP_023408475.1, XP_023408476.1, XP_023408474.1
OG0001442	XP_031820666.1	XP_023401273.1
OG0001443	XP_031820634.1, XP_031820632.1, XP_031820633.1, XP_031820631.1, XP_031820636.1, XP_031820635.1	XP_023401134.1
OG0001444	XP_031803219.1, XP_031803218.1, XP_031805110.1, XP_031803220.1, XP_031803217.1	XP_010600460.1, XP_023397866.1, XP_023397867.1
OG0001445	XP_012398907.1	XP_010599029.1
OG0001446	XP_031794674.1, XP_031794673.1, XP_031794675.1	XP_010585657.1, XP_023400310.1, XP_003407262.1
OG0001447	XP_031817964.1, XP_031817963.1	XP_003415533.1
OG0001448	XP_003765383.1	XP_010593492.1
OG0001449	XP_031795091.1, XP_031795090.1	XP_023394914.1, XP_023394913.1
OG0001450	XP_012395448.1	XP_010590721.1, XP_010590724.1, XP_003412545.1, XP_023406835.1, XP_010590723.1
OG0001451	XP_023357992.1, XP_003770669.1	XP_023409744.1, XP_023409743.1, XP_003415113.1
OG0001452	XP_003767134.2	XP_003411978.1, XP_003414800.1
OG0001454	XP_031799714.1	XP_003419627.1
OG0001455	XP_012399240.1, XP_012399241.1, XP_031814188.1	XP_003410122.2
OG0001456	XP_031803356.1	XP_023408214.1, XP_023408212.1, XP_023408215.1, XP_010591662.1, XP_010591663.1, XP_023408216.1
OG0001457	XP_023352485.1, XP_023352483.2	XP_003421706.1, XP_003421705.1
OG0001458	XP_031797221.1, XP_012408484.1	XP_023415477.1, XP_023415475.1, XP_023415476.1, XP_023415478.1
OG0001459	XP_031800281.1	XP_023407114.1, XP_023395247.1
OG0001460	XP_003765848.2	XP_003409366.2
OG0001461	XP_012398949.1, XP_012398948.1	XP_003409765.1
OG0001462	XP_012395087.1	XP_010599448.1, XP_023396598.1, XP_023396599.1
OG0001463	XP_031824002.1	XP_010595966.1
OG0001465	XP_003762713.2	XP_003419112.1
OG0001465	XP_031804765.1	XP_023415094.1
OG0001466	XP_031804383.1	XP_023394963.1
OG0001467	XP_031804685.1	XP_023415021.1, XP_023415020.1, XP_010597053.1
OG0001468	XP_012406944.2	XP_010595031.1
OG0001469	XP_031793580.1, XP_003772370.1, XP_012407017.1, XP_003772371.1, XP_023361153.1, XP_031793578.1, XP_031793579.1, XP_031793577.1, XP_012407015.1	XP_010595626.1
OG0001470	XP_031813586.1	XP_010591097.1
OG0001471	XP_031820000.1	XP_010587578.1, XP_010587577.1, XP_010587576.1
OG0001472	XP_031811946.1	XP_023402685.1
OG0001473	XP_023362438.1	XP_003414135.1
OG0001473	XP_031812553.1	XP_010587368.1
OG0001474	XP_023351550.1	XP_023402461.1, XP_010587275.1, XP_010587276.1
OG0001475	XP_003756039.1, XP_031807942.1, XP_031807943.1, XP_031807944.1	XP_003418700.1
OG0001476	XP_031812430.1, XP_031812429.1, XP_031812428.1	XP_023408701.1
OG0001477	XP_031815156.1	XP_010588624.1
OG0001478	XP_003763424.1	XP_003419061.1
OG0001479	XP_031799110.1	XP_003410460.1
OG0001480	XP_003773010.1	XP_003414239.1
OG0001482	XP_031813470.1, XP_031813472.1	XP_003422248.1
OG0001483	XP_012405521.1, XP_003770413.1	XP_003421857.1
OG0001484	XP_003763983.2	XP_010601143.1
OG0001485	XP_031816120.1	XP_003406201.1
OG0001486	XP_003766194.1	XP_023396858.1
OG0001487	XP_031792910.1, XP_003767576.1, XP_031792911.1	XP_003410883.1
OG0001489	XP_031800195.1	XP_003414848.1, XP_010592986.1
OG0001490	XP_031800312.1	XP_010592983.1
OG0001491	XP_023362661.1	XP_003414807.1
OG0001492	XP_012408699.1, XP_023351348.1	XP_010592951.1, XP_010597320.1
OG0001493	XP_003755880.1, XP_012400257.1	XP_003421031.1
OG0001494	XP_012395505.1	XP_010590676.1, XP_010590677.1
OG0001502	XP_012407585.1	XP_003418535.1
OG0001503	XP_003756509.1	XP_003404542.1
OG0001504	XP_031795425.1	XP_010597566.1, XP_003405300.1
OG0001505	XP_003757965.1, XP_031807011.1	XP_003412013.1, XP_010590178.1
OG0001507	XP_023361677.1, XP_003773163.1, XP_031799058.1	XP_003422619.1
OG0001508	XP_012405339.1	XP_023395476.1
OG0001508	XP_031823690.1	XP_003420742.1
OG0001510	XP_031816965.1	XP_003412960.1
OG0001511	XP_012407654.1	XP_023412928.1, XP_023412927.1, XP_010595526.1, XP_023412929.1, XP_023412926.1
OG0001512	XP_031809952.1	XP_010589908.1, XP_010589912.1, XP_010589909.1
OG0001513	XP_023358110.1	XP_010592747.1
OG0001513	XP_012403750.1	XP_003414782.1
OG0001514	XP_012395215.1	XP_010596578.1
OG0001515	XP_031805330.1	XP_003408955.2
OG0001516	XP_003760860.1	XP_010599730.1
OG0001517	XP_003773833.1	XP_010600447.1, XP_010590356.1, XP_003422755.1, XP_023397842.1, XP_003412112.1
OG0001518	XP_003764885.2, XP_031813139.1, XP_012402785.1	XP_003421556.1, XP_010599239.1, XP_010599269.1, XP_010599270.1, XP_003421609.1, XP_003421555.1, XP_003421550.1
OG0001521	XP_003764789.1, XP_023355525.1	XP_003423661.1, XP_003423642.1, XP_010599244.2, XP_010600699.1
OG0001523	XP_031801800.1	XP_023399547.1
OG0001524	XP_031802543.1, XP_031802542.1, XP_023352039.1, XP_012397008.1	XP_003406441.1
OG0001525	XP_003762176.1	XP_010598297.1
OG0001526	XP_031819928.1	XP_010584931.1
OG0001527	XP_031819321.1	XP_003406901.1, XP_023412744.1
OG0001529	XP_031821437.1	XP_023412614.1, XP_023412613.1
OG0001529	XP_031819312.1	XP_003406879.1
OG0001531	XP_031808133.1	XP_003408555.1
OG0001531	XP_031819729.1	XP_023399810.1
OG0001532	XP_031819094.1	XP_003406491.1
OG0001533	XP_031817472.1	XP_010598688.1, XP_023395668.1
OG0001534	XP_031809224.1, XP_003756649.1	XP_003404576.2, XP_023405289.1
OG0001535	XP_031824600.1, XP_023351506.1, XP_003759395.1, XP_031824611.1, XP_012396475.1	XP_023403746.1
OG0001536	XP_031823647.1	XP_010587841.1, XP_023403545.1
OG0001537	XP_023352904.1	XP_023408815.1, XP_003413948.1, XP_023408814.1, XP_023408813.1
OG0001538	XP_023361970.1	XP_023405492.1, XP_023405491.1, XP_023405490.1
OG0001539	XP_031822105.1, XP_031822101.1	XP_010586530.1
OG0001540	XP_031799627.1	XP_023410853.1
OG0001541	XP_031822796.1	XP_003410952.1
OG0001542	XP_031798900.1	XP_023404377.1
OG0001542	XP_031812300.1	XP_010587538.1
OG0001543	XP_031812224.1, XP_031812223.1, XP_031812225.1	XP_003418636.1
OG0001544	XP_031809494.1, XP_031809493.1, XP_031809495.1	XP_003404687.1
OG0001545	XP_012400393.1, XP_031816029.1, XP_031816027.1, XP_003764172.1, XP_031816028.1, XP_031816026.1, XP_031816024.1	XP_003418246.1
OG0001546	XP_003764317.1	XP_010593732.1
OG0001547	XP_031808920.1, XP_003756511.1	XP_023404847.1
OG0001548	XP_031813201.1, XP_031813200.1	XP_003416907.1
OG0001549	XP_031796251.1	XP_010598521.2, XP_023413625.1
OG0001550	XP_031824781.1	XP_023405257.1
OG0001551	XP_003767026.1	XP_010591708.2
OG0001551	XP_031813156.1	XP_003413231.1
OG0001552	XP_031806030.1	XP_003418117.1
OG0001553	XP_031806118.1	XP_003417070.2, XP_010595041.1
OG0001554	XP_012398323.1	XP_010596815.1
OG0001555	XP_031818711.1, XP_031818703.1, XP_031818724.1, XP_031818718.1	XP_003418877.1
OG0001556	XP_031793153.1, XP_031793154.1, XP_031793155.1	XP_003410188.1
OG0001557	XP_031822912.1	XP_003410985.1
OG0001557	XP_031797541.1	XP_023415341.1
OG0001558	XP_003767778.1	XP_003410992.1
OG0001558	XP_031822926.1	XP_023405131.1
OG0001559	XP_003760337.1	XP_023401679.1
OG0001560	XP_031809062.1	XP_023402419.1
OG0001561	XP_003768200.1, XP_023358087.1	XP_010592796.1, XP_003407328.1
OG0001562	XP_003757532.2	XP_010600348.1
OG0001563	XP_031806439.1	XP_010591917.1, XP_023408467.1, XP_023408469.1, XP_023408466.1
OG0001565	XP_003756508.1	XP_003404544.1
OG0001565	XP_031800785.1	XP_003414829.1
OG0001566	XP_031801406.1, XP_023353457.1, XP_003761883.1	XP_010586099.1
OG0001567	XP_012404542.3	XP_023401398.1, XP_023401401.1
OG0001568	XP_031820583.1, XP_012404582.1, XP_023358804.1, XP_012404581.1, XP_031820581.1, XP_031820582.1	XP_003404478.1, XP_023400604.1, XP_010585389.1, XP_023400610.1
OG0001569	XP_012404612.2, XP_031800464.1	XP_003415998.1, XP_003404159.1
OG0001570	XP_031800489.1	XP_010591003.1
OG0001570	XP_003769276.1	XP_010584874.1
OG0001571	XP_023358865.1	XP_003404419.2
OG0001572	XP_031820408.1	XP_023399777.1
OG0001573	XP_012399336.1, XP_031803162.1, XP_031803160.1, XP_023354197.1	XP_003422445.1
OG0001574	XP_012397203.1, XP_031802916.1, XP_031802915.1, XP_031802917.1, XP_031802914.1, XP_031802918.1	XP_003408464.1
OG0001575	XP_031798935.1	XP_010593974.1
OG0001575	XP_012400662.1	XP_010592272.1
OG0001576	XP_031794855.1	XP_003407079.1
OG0001577	XP_012400288.2	XP_003406260.2
OG0001577	XP_031796368.1	XP_003407088.2
OG0001578	XP_031818216.1, XP_031818217.1	XP_023410373.1
OG0001579	XP_023360190.1, XP_012406058.1	XP_023394695.1, XP_010598034.1, XP_003405344.1
OG0001580	XP_031796092.1	XP_003422864.1
OG0001581	XP_031794973.1, XP_003771688.1	XP_010598738.1, XP_023395732.1
OG0001582	XP_031795214.1	XP_010598430.2
OG0001583	XP_012406627.1, XP_003771838.1, XP_012406626.1	XP_023395580.1
OG0001584	XP_031807138.1, XP_031807140.1, XP_031807136.1, XP_031807135.1, XP_031807134.1, XP_031807139.1	XP_003416124.2
OG0001585	XP_023361585.1	XP_023406962.1, XP_003412374.2
OG0001586	XP_023357307.1, XP_003767145.1	XP_003411995.1
OG0001587	XP_031823360.1, XP_031823359.1, XP_012405174.1, XP_003769970.1	XP_023403107.1, XP_023403106.1
OG0001589	XP_031798616.1	XP_023397970.1
OG0001590	XP_031798516.1	XP_023406473.1, XP_023406474.1, XP_023406475.1, XP_003412323.1
OG0001591	XP_031798296.1	XP_023406508.1
OG0001592	XP_031798591.1, XP_003773709.1	XP_010590467.1
OG0001593	XP_012408143.1	XP_023396309.1, XP_003421383.1
OG0001594	XP_031798992.1	XP_023415317.1, XP_003419144.1
OG0001595	XP_031801236.1	XP_010588355.1
OG0001596	XP_031803980.1, XP_023352618.1, XP_003760843.1	XP_003422155.1
OG0001597	XP_031807519.1	XP_023394508.1
OG0001598	XP_012400540.1, XP_023355283.1	XP_010593691.1
OG0001599	XP_031817887.1	XP_003420155.1
OG0001600	XP_031797671.1, XP_003773699.1	XP_003412356.1
OG0001601	XP_003774810.1	XP_010592962.1
OG0001601	XP_023356249.1	XP_010592318.1
OG0001602	XP_031814627.1, XP_031814626.1	XP_023408423.1, XP_023408422.1, XP_023408425.1
OG0001603	XP_031808249.1, XP_031808259.1	XP_003415747.3
OG0001604	XP_003772084.2	XP_023410657.1
OG0001605	XP_023356526.1	XP_023411202.1
OG0001606	XP_031806931.1, XP_031806932.1, XP_003758199.1	XP_003411456.1
OG0001607	XP_031806961.1, XP_031806955.1, XP_031806953.1, XP_012395601.1, XP_031806959.1, XP_031806960.1, XP_031806958.1, XP_031806957.1, XP_031806962.1, XP_031806954.1, XP_031806952.1, XP_031806956.1	XP_023405780.1
OG0001608	XP_031809783.1	XP_003411733.1
OG0001609	XP_012409062.1, XP_031809916.1	XP_010589972.1
OG0001610	XP_031810445.1	XP_023405640.1
OG0001610	XP_031801958.1	XP_023398247.1
OG0001611	XP_023350286.1	XP_010597738.1
OG0001613	XP_003773114.1	XP_003415861.1
OG0001614	XP_031824622.1	XP_003417958.1
OG0001615	XP_031804578.1	XP_023415271.1
OG0001616	XP_003761200.2	XP_010597210.2
OG0001617	XP_003771266.1	XP_003410694.1
OG0001618	XP_031794185.1, XP_031794186.1, XP_023361238.1, XP_031794187.1, XP_031794188.1	XP_003410722.1
OG0001619	XP_023360454.1	XP_023410655.1
OG0001620	XP_003771417.1	XP_003405781.1
OG0001621	XP_023360028.1	XP_010594769.1, XP_010594780.1, XP_010594774.1, XP_003405817.1
OG0001622	XP_031812129.1, XP_031812128.1	XP_003408973.1
OG0001623	XP_031812240.1, XP_031812241.1	XP_010596535.1, XP_010596534.1, XP_010596536.1, XP_010596537.1
OG0001624	XP_031797824.1	XP_023409110.1, XP_003420245.2
OG0001625	XP_031823933.1, XP_031823934.1, XP_031823932.1	XP_023407318.1
OG0001626	XP_031813260.1	XP_023407398.1
OG0001627	XP_031816940.1, XP_031813458.1	XP_003416231.2
OG0001628	XP_003764063.1	XP_003406237.1, XP_023398565.1
OG0001629	XP_031816085.1, XP_031816084.1, XP_031816086.1, XP_031816088.1, XP_031816087.1	XP_010600878.1
OG0001630	XP_003766054.1	XP_003406175.1
OG0001631	XP_031813884.1	XP_023397164.1
OG0001632	XP_031805321.1, XP_012401548.2	XP_010594100.1, XP_003416039.1, XP_010594099.1, XP_023411003.1
OG0001634	XP_031800562.1	XP_003412743.2
OG0001635	XP_031800541.1	XP_023395706.1
OG0001637	XP_003774770.1	XP_010599385.2, XP_003418552.1
OG0001638	XP_012408124.1, XP_031799547.1, XP_003773951.1, XP_012408125.1	XP_010600782.1, XP_003423582.1
OG0001638	XP_003773909.1	XP_003423171.1
OG0001639	XP_012403579.2	XP_023409698.1, XP_003414948.2
OG0001643	XP_031799523.1	XP_010597502.2
OG0001643	XP_031798270.1	XP_010597505.2
OG0001645	XP_031798175.1	XP_023405494.1
OG0001645	XP_031809365.1	XP_023406357.1
OG0001646	XP_031818678.1	XP_023408252.1
OG0001646	XP_003772259.2	XP_023395114.1
OG0001647	XP_031804107.1	XP_010599550.1
OG0001647	XP_003761903.1	XP_023400502.1
OG0001648	XP_031808789.1, XP_031808790.1, XP_031808788.1, XP_031808787.1, XP_031808791.1	XP_003408881.1
OG0001649	XP_031803360.1, XP_012397383.1	XP_003413425.1, XP_023408210.1
OG0001650	XP_003755458.1	XP_003409190.1
OG0001650	XP_031804727.1	XP_010597125.2
OG0001651	XP_012402203.1	XP_010588641.1
OG0001652	XP_031794190.1	XP_023415707.1, XP_023415706.1, XP_023415705.1, XP_023415708.1, XP_023415703.1
OG0001653	XP_031819961.1	XP_023397344.1, XP_023399076.1
OG0001654	XP_003763676.1	XP_003413014.1
OG0001656	XP_023361867.1	XP_003411320.1, XP_010589666.1
OG0001657	XP_012406539.1	XP_003422865.1
OG0001657	XP_003771752.1	XP_010600360.1, XP_003422867.1
OG0001658	XP_031809774.1	XP_010589946.1, XP_010589945.1
OG0001659	XP_012406358.1, XP_031794455.1, XP_003771478.1, XP_031794456.1	XP_003410626.1
OG0001660	XP_003760989.1	XP_003421319.1
OG0001660	XP_012397794.2	XP_023396196.1
OG0001661	XP_012403735.3	XP_023409186.1
OG0001661	XP_012403734.2	XP_003414783.1
OG0001662	XP_012398656.1	NP_001267813.1
OG0001663	XP_031799688.1	XP_023395211.1, XP_003420530.1
OG0001664	XP_003771748.1, XP_003771769.1	XP_003420613.1, XP_003420628.1
OG0001665	XP_012408093.1	XP_010600877.1
OG0001666	XP_012408159.1	XP_003422926.1, XP_023397993.1, XP_010600609.2
OG0001666	XP_003773911.1	XP_023398479.1, XP_003423416.3, XP_003423204.2, XP_003423418.2, XP_023398040.1, XP_003423686.3
OG0001667	XP_003769905.1, XP_031823270.1	XP_010599621.2
OG0001668	XP_031793517.1	XP_010585638.1
OG0001669	XP_031793491.1	XP_023404346.1, XP_023404280.1, XP_003404330.1, XP_023404304.1
OG0001670	XP_012398105.1	XP_003409741.1
OG0001671	XP_031820006.1, XP_003766804.1	XP_003406283.1, XP_023399474.1
OG0001674	XP_003769094.2	XP_023401580.1, XP_003403966.1
OG0001675	XP_003766345.2	XP_003406273.1
OG0001676	XP_031819116.1	XP_023398282.1
OG0001677	XP_031818984.1, XP_031818985.1	XP_003420820.1
OG0001678	XP_031818136.1, XP_031818135.1, XP_031818134.1	XP_003415329.1
OG0001679	XP_003759877.1	XP_023395101.1, XP_023403045.1, XP_003404772.1
OG0001680	XP_003762933.1	XP_010591967.2
OG0001681	XP_031800058.1	XP_003411435.1
OG0001682	XP_031809464.1	XP_010590522.1
OG0001683	XP_023361572.1	XP_010590405.1, XP_010590412.1, XP_003404671.1
OG0001684	XP_003764441.1	XP_003417468.1
OG0001685	XP_031816797.1	XP_010595445.1, XP_010595444.1, XP_003417470.2
OG0001686	XP_003764197.1	XP_003418217.1
OG0001687	XP_031824776.1, XP_031824772.1, XP_031824775.1, XP_031824771.1, XP_031824773.1, XP_023359739.2	XP_023405418.1, XP_023405255.1
OG0001688	XP_031824938.1, XP_031824940.1, XP_031824937.1, XP_031824939.1	XP_023405336.1
OG0001689	XP_031824953.1	XP_010589564.1, XP_003405651.1
OG0001690	XP_031818758.1, XP_031818759.1, XP_031818760.1	XP_023407840.1, XP_023407841.1
OG0001691	XP_031806164.1	XP_023412264.1
OG0001692	XP_031806159.1, XP_031806161.1, XP_031806160.1	XP_010595024.1
OG0001693	XP_003775033.2	XP_010594721.1
OG0001694	XP_031823044.1	XP_003409427.1
OG0001695	XP_031823756.1	XP_003416586.1
OG0001695	XP_031823458.1	XP_023409243.1
OG0001696	XP_031823800.1	XP_010594633.1
OG0001697	XP_031823824.1	XP_010594643.1
OG0001698	XP_031814814.1	XP_010594067.1, XP_003416617.2
OG0001699	XP_031801428.1, XP_012399377.1	XP_023411722.1
OG0001700	XP_003756616.2	XP_023402337.1, XP_023411710.1
OG0001701	XP_023353236.1, XP_031797116.1, XP_003761563.1	XP_023411680.1
OG0001702	XP_012398402.2	XP_003420410.1, XP_003417765.1
OG0001703	XP_031821613.1	XP_023412687.1
OG0001703	XP_003762065.1	XP_023413066.1
OG0001704	XP_031792607.1	XP_003411261.1
OG0001705	XP_031824316.1	XP_010585070.1
OG0001706	XP_031810204.1	XP_003409825.2
OG0001706	XP_031792994.1	XP_003410273.1
OG0001707	XP_031793138.1	XP_010588577.1
OG0001708	XP_031792700.1	XP_023410042.1
OG0001709	XP_023357982.1, XP_003768066.1, XP_012403610.1	XP_010593058.1
OG0001710	XP_031801868.1, XP_031801869.1	XP_003406781.2
OG0001711	XP_012396634.1	XP_003406374.1
OG0001712	XP_031808835.1, XP_031808834.1	XP_010586950.1
OG0001713	XP_012404884.1	XP_010587178.1
OG0001714	XP_031821511.1	XP_003417372.1, XP_010595181.1, XP_010595182.1
OG0001715	XP_023358418.1	XP_010595213.1
OG0001716	XP_023358286.1	XP_023412502.1
OG0001716	XP_023353240.1	XP_023395492.1
OG0001717	XP_012403996.1	XP_010595287.1
OG0001718	XP_003768473.1, XP_012403899.1	XP_023409523.1
OG0001719	XP_031821878.1, XP_031821879.1, XP_031821877.1, XP_031821875.1, XP_031821880.1	XP_010592930.1
OG0001720	XP_031823456.1	XP_003414592.1
OG0001721	XP_031807708.1	XP_023397659.1
OG0001721	XP_031803535.1	XP_023408094.1
OG0001722	XP_031796397.1	XP_003419772.1
OG0001723	XP_031794410.1, XP_031794409.1	XP_023394942.1
OG0001724	XP_003766983.2	XP_003413667.1
OG0001725	XP_003765737.2	XP_010591881.1
OG0001726	XP_031813031.1	XP_003417657.1
OG0001727	XP_003758302.1, XP_031806379.1, XP_023350700.1	XP_023412934.1
OG0001728	XP_003760230.1, XP_012397099.1	XP_010595876.1
OG0001729	XP_003756532.1	XP_023403984.1, XP_003405067.1
OG0001730	XP_031824488.1	XP_023397114.1, XP_023397112.1
OG0001731	XP_003769198.1	XP_003404481.2
OG0001732	XP_012404697.1, XP_031820336.1, XP_031820335.1, XP_031820334.1, XP_031820333.1	XP_003404367.1
OG0001733	XP_031793297.1	XP_023396818.1, XP_003422029.1
OG0001734	XP_003763793.1	XP_003408456.1
OG0001735	XP_003757774.2	XP_003411776.1
OG0001735	XP_031802892.1	XP_010586726.1
OG0001736	XP_031803156.1, XP_003760482.1	XP_003422446.1
OG0001737	XP_031803415.1	XP_010600006.1, XP_010600005.1
OG0001738	XP_023362677.2	XP_003412766.1
OG0001738	XP_031798478.1	XP_003415930.1
OG0001739	XP_031799131.1	XP_023410849.1
OG0001739	XP_023361763.1	XP_023410850.1
OG0001740	XP_031796571.1	XP_010585538.1, XP_010585536.1, XP_023400151.1, XP_010585540.1, XP_010585539.1
OG0001741	XP_031808569.1	XP_023400077.1
OG0001742	XP_031794788.1	XP_010585690.1
OG0001743	XP_012401368.1	XP_003415564.1, XP_003415364.2
OG0001744	XP_031807871.1	XP_003421626.2
OG0001745	XP_003759814.1	XP_010597832.1
OG0001746	XP_031795103.1	XP_023398540.1
OG0001746	XP_031795104.1	XP_003422872.3
OG0001747	XP_031807399.1, XP_031807398.1, XP_031807400.1	XP_023414382.1
OG0001748	XP_031797285.1	XP_003415876.2
OG0001749	XP_031805471.1	XP_023406203.1
OG0001750	XP_031812974.1	XP_003411865.1
OG0001752	XP_003770012.1	XP_023403099.1
OG0001753	XP_031794628.1	XP_003407058.1
OG0001754	XP_031799603.1	XP_010590418.1
OG0001755	XP_031800040.1	XP_010590422.1
OG0001756	XP_031797654.1	XP_010590450.1, XP_003412343.1, XP_010590449.1, XP_023406520.1, XP_010590448.1
OG0001757	XP_012408171.1	XP_023396320.1
OG0001758	XP_031797870.1, XP_031797867.1, XP_031797868.1	XP_003412314.1
OG0001760	XP_031798421.1	XP_023397331.1, XP_010599978.1, XP_010599976.1, XP_010599977.1, XP_023397330.1, XP_023397329.1
OG0001761	XP_031798432.1	XP_023397591.1
OG0001762	XP_031809336.1	XP_010588005.1
OG0001763	XP_012398902.1	XP_003409953.3
OG0001764	XP_003762774.1, XP_003762806.1, XP_003763037.1, XP_031804154.1, XP_031804155.1, XP_003760924.2	XP_003421362.1, XP_023396268.1
OG0001765	XP_031803972.1, XP_031803973.1, XP_031803974.1	XP_023397031.1
OG0001766	XP_003775214.1, XP_031800640.1	XP_023413611.1, XP_010596015.2
OG0001767	XP_003763735.1	XP_003420019.1
OG0001768	XP_023355499.1	XP_023394748.1, XP_003420099.1, XP_023394749.1
OG0001769	XP_031814271.1	XP_010590893.1
